montreal	मॉन्ट्रियल
rugăciune	नमाज़
rugăciune	प्रार्थना
rugăciune	दुआ
luther	लूथर
personalitatea	व्यक्तित्व
atelierul	वर्कशॉप
atelierul	कार्यशाला
cook	कुक
tara	देश
tara	tara
abur	भाप
oleg	oleg
respectarea	अनुपालन
vama	कस्टम
interimar	अंतरिम
adult	प्रौढ़
adult	बालिग
adult	वयस्क
împarte	विभाजित
experimental	प्रयोगात्मक
experimental	प्रायोगिक
logica	तर्क
logica	लॉजिक
helsinki	हेलसिंकी
julia	जूलिया
mussolini	मुसोलिनी
scooby	स्कूबी
faimos	मशहूर
faimos	प्रसिद्ध
nuntă	शादी
nuntă	विवाह
anastasia	अनास्तासिया
bat	बैट
bat	बल्ले
bat	बल्ला
bat	चमगादड़
apr	अप्रैल
apr	अप्रेल
mintea	मन
mintea	दिमाग
dmitri	दिमित्री
americanii	अमेरिकी
alexei	एलेक्सी
sârb	सर्बियाई
documentul	दस्तावेज
documentul	दस्तावेज़
baba	baba
baba	बाबा
preocupat	चिंतित
brusc	अचानक
brusc	एकाएक
brusc	अचानक
japonezi	जापानी
inspirată	प्रेरित
paraguay	पैराग्वे
jennifer	जेनिफर
facto	facto
cantal	cantal
izolat	insulated
izolat	पृथक
berg	बर्ग
anulat	रद्द
anulat	रद्द
precizează	बताएँ
evaluare	दर्जा
evaluare	रेटिंग
evaluare	दरजा
evaluare	मूल्यांकन
evaluare	मूल्यांकन
asediu	घेराबंदी
asediu	घेरा
divizat	विभक्त
divizat	विभाजित
divizat	विभाजित
taxe	करों
taxe	कर
taxe	फीस
taxe	शुल्क
novo	नोवो
încurajat	प्रोत्साहित
enterprise	उद्यम
enterprise	एंटरप्राइज
enterprise	एंटरप्राइज़
inamic	शत्रु
inamic	दुश्मन
vehicul	वाहन
vehicul	गाडी
botanică	वनस्पति
arma	शस्त्र
arma	शस्त्रों
arma	हथियार
arma	बंदूक
arma	गन
diferențele	भिन्नताएं
diferențele	मतभेद
hanul	सराय
hanul	inn
hanul	इन
presupus	माना
presupus	कथित
musulmane	मुसलमान
musulmane	मुस्लमान
musulmane	मुस्लिम
modificată	परिवर्तित
modificată	संशोधित
modificată	परिवर्धित
arakan	अराकन
definitivă	निर्णायक
rasa	नस्ल
rasa	दौड़
rasa	जाति
rasa	रेस
restaurarea	जीर्णोद्धार
restaurarea	पुनरुद्धार
restaurarea	बहाली
emerit	emeritus
cafenea	कैफ़े
permanente	स्थायी
permanente	स्थाई
vizibilă	दृष्टिगोचर
vizibilă	दृश्यमान
vizibilă	दृश्य
asociație	सम्बद्धता
asociație	एसोसिएशन
asociație	संघ
index	निर्देशिका
index	इंडेक्स
index	सूचकांक
index	अनुक्रमणिका
moral	नैतिक
moral	moral
kenneth	केनेथ
trofee	ट्राफियां
asigurări	बीमा
asigurări	बीमे
dispute	विवाद
dispute	विवादों
portughez	पुर्तगाली
funcționar	क्लर्क
haiti	हैती
sindromul	सिंड्रोम
locație	लोकेशन
locație	अवस्थिति
locație	स्थान
prezență	उपस्थिति
prezență	मौजूदगी
prezență	उपस्थिति
eugene	यूजीन
persan	फारसी
persan	फ़ारसी
persan	पारसी
traseu	ट्रेल
traseu	मार्ग
traseu	रूट
îmbunătățit	उन्नत
vinde	बेचें
atlantique	atlantique
logic	तार्किक
logic	लॉजिकल
logic	तर्क
logic	लॉजिक
precizie	परिशुद्धता
precizie	परिशुद्धता
precizie	शुद्धता
precizie	सटीकता
măsoară	अन्दाज़
măsoară	माप
dom	डोम
dom	गुम्बद
dom	डॉम
dom	डोम
fame	प्रसिद्धि
fame	शोहरत
fame	ख्याति
fame	कीर्ति
controlat	नियंत्रित
coleg	सहयोगी
coleg	सहकर्मी
express	अभिव्यक्त
express	एक्सप्रेस
express	एक्स्प्रेस
baltice	बाल्टिक
mustafa	मुस्तफा
mustafa	mustafa
ardere	दहन
cost	लागत
modifică	सुधारें
boeing	बोइंग
întoarcere	रिटर्न
întoarcere	वापसी
cercetătorii	शोधकर्ताओं
peșteră	गुफ़ा
peșteră	गुफा
senat	सीनेट
gay	समलैंगिकों
gay	गे
gay	gay
creta	क्रेट
creta	चाक
ming	मिंग
montgomery	मोंटगोमरी
egiptean	मिस्र
egiptean	मिस्री
egiptean	मिश्र
variabile	चर
variabile	परिवर्तनशील
variabile	परिवर्तनीय
variabile	चर
variabile	परिवर्तनीय
mediterană	भूमध्यसागरीय
metale	धातु
metale	मेटल
metale	धातु
metale	धातुओं
pană	पंख
pană	बट्टे
bush	बुश
standardele	मानकों
daneză	डेनिश
daneză	दानिश
daneză	डैनिश
verticală	अनुलंब
verticală	खड़ा
verticală	लंबवत
renunță	निरस्त
azerbaidjan	अज़रबैजान
niveluri	टियर
niveluri	स्तर
mitchell	मिशेल
notat	विख्यात
strategică	सामरिक
strategică	रणनीतिक
cambodgia	कम्बोडिया
cambodgia	कंबोडिया
pablo	पाब्लो
morris	मॉरिस
lent	धीमे
lent	धीमा
lent	स्लो
lent	मन्द
lent	slow
academice	शैक्षिक
academice	अकादमिक
ice	बर्फ़
ice	आइस
ice	बर्फ
kate	केट
oregon	ऑरेगॉन
bănci	बैंक
bănci	बैंक्स
bănci	बैंकों
bănci	बैंको
restaurant	भोजनालय
restaurant	रेस्टोरेंट
restaurant	रेस्तरां
afectate	प्रभावित
baltă	डबरा
uriaș	दैत्य
uriaș	दानव
tabere	कैम्प
tabere	शिविरों
alma	अल्मा
formulă	फ़ॉर्मूला
formulă	सूत्र
kentucky	केंटकी
mărfuri	कार्गो
belle	बेल
belle	बेले
grâu	गेहूँ
grâu	गेहूं
cuantică	क्वांटम
văzute	देखा
văzute	देखी
walt	वॉल्ट
dublin	डबलिन
festivaluri	त्यौहार
ball	गेंद
ball	बॉल
rusesc	रूसी
concepte	अवधारणाओं
echivalentul	समतुल्य
fani	फ़ैन
fani	प्रशंसकों
fani	प्रशंसक
postum	मरणोपरांत
participanții	प्रतिभागियों
participanții	प्रतिभागी
participanții	भागीदार
mandate	वारंट
morminte	क़ब्रों
colegi	साथियों
colegi	सहयोगियों
colegi	सहकर्मियों
colegi	सहकर्मी
potențialul	क्षमता
potențialul	सामर्थ्य
potențialul	संभावित
exactă	सटीक
horror	डरावना
horror	हॉरर
vizibile	दृष्टिगोचर
vizibile	दृश्यमान
vizibile	दृश्य
uss	uss
flash	फ़्लैश
flash	फ्लैश
duminica	sunday
duminica	रविवार
duminica	संडे
srl	llc
srl	srl
materia	पदार्थ
persia	फारस
elementare	वृद्धिशील
christina	क्रिस्टीना
arhipelagul	द्वीपसमूह
succesiunea	उत्तराधिकार
protocol	प्रोटोकाल
protocol	प्रोटोकॉल
update	अपडेट
update	अद्यतन
execută	निष्पादन
execută	चलाएँ
ecuador	इक्वाडोर
bull	bull
bull	बैल
bull	बुल
bull	सांड
kenya	केन्या
kenya	कीनिया
ntupdate	ntupdate
îngropat	दफन
îngropat	दफ़न
îngropat	दफ्न
november	नवंबर
november	नवम्बर
locații	अवस्थिति
locații	स्थान
locații	स्थितियाँ
biblie	बाइबिल
biblie	बाइबल
durere	दर्द
durere	पीड़ा
întâlniri	मुलाकातें
întâlniri	बैठकों
întâlniri	बैठक
întâlniri	मुठभेड़ों
recomandat	अनुशंसित
taiwan	ताइवान
taiwan	ताईवान
dramatică	नाटकीय
populată	आबादी
tereza	टेरेसा
tereza	टेरेसा
dex	डेक्स
semnată	हस्ताक्षरित
baptiste	बैप्टिस्ट
stelele	तारों
stelele	तारे
stelele	सितारे
stelele	तारें
stelele	सितारों
emisă	निर्गत
emisă	जारी
emisă	उत्सर्जित
compuși	यौगिकों
praf	धूल
praf	पाउडर
praf	चूर्ण
haga	हेग
zeus	ज़ीउस
animat	एनिमेटेड
nintendo	निन्टेंडो
semnal	signal
semnal	संकेत
semnal	सिग्नल
ceas	देखिये
ceas	देखना
ceas	देखें
ceas	घड़ी
ceas	क्लॉक
democrație	लोकतंत्र
alfa	अल्फ़ा
alfa	पारदर्शिता
alfa	अल्फा
alfa	अल्फा
partener	साथी
partener	पार्टनर
partener	साझेदार
partener	संगी
cerințele	आवश्यकताओं
cerințele	आवश्यकताएँ
inventator	आविष्कारक
bolta	वॉल्ट
vizitează	विज़िट
vizibil	दृष्टिगोचर
vizibil	दृश्यमान
vizibil	दृश्य
rgb	rgb
rgb	आरजीबी
sporturi	क्रीड़ा
sporturi	खेलकूद
sporturi	स्पोर्ट्स
sporturi	खेल
informatii	जानकारी
informatii	सूचना
informatii	सुचना
informatii	एनोटेशन
informatii	जानकारी
informatii	सूचना
observație	अवलोकन
parker	पार्कर
zeilor	देवताओं
discovery	खोज
discovery	डिस्कवरी
găsiți	ढूंढें
găsiți	ढूँढें
dur	रफ
dur	रूखी
dur	अशिष्ट
dur	कठिन
dur	मुश्किल
tăiat	कट
tăiat	काटें
etajul	फर्श
etajul	तल
etajul	मंजिल
strategie	कार्यनीति
strategie	रणनीति
peisaj	परिदृश्य
peisaj	आड़ा
peisaj	लैंडस्केप
attila	अत्तिला
experiment	प्रयोग
finalizată	पूर्ण
finalizată	पूरा
finalizată	समाप्त
vinci	विंची
reptile	सरीसृपों
convinge	मनाना
convinge	राजी
sportul	खेल
leul	सिंगापूर
leul	शेर
personalul	कार्मिक
personalul	कर्मियों
personalul	स्टाफ़
personalul	स्टाफ
plată	भुगतान
won	जीता
won	जीते
won	जीती
integrarea	एकीकरण
integrarea	संयोजन
reci	कोल्ड
reci	ठंड
reci	सर्दी
reci	ठंडा
integrat	एकीकृत
roosevelt	रूज़वेल्ट
aviație	विमानों
aviație	विमान
aviație	विमानन
spanioli	स्पैनिश
spanioli	स्पेनिश
spanioli	स्पेनी
heinz	हाइन्ज़
petit	पेटिट
thompson	थॉम्पसन
wallace	वालेस
ploaie	बारिश
ploaie	रेन
ploaie	वर्षा
ploaie	बरसात
islamului	इस्लाम
islamului	islam
bremen	ब्रेमेन
artificial	कृत्रिम
solară	सौर
disponibilă	उपलब्ध
disponibilă	उपलब्धियाँ
reprezentative	जनप्रतिनिधि
reprezentative	प्रतिनिधि
marino	मारिनो
fetele	लड़कियां
fetele	लड़कियाँ
fetele	girls
fetele	लड़कियों
primită	प्राप्त
strategia	कार्यनीति
strategia	रणनीति
culmea	रिज
culmea	लकीरें
identice	एकसमान
fotografia	photo
fotografia	फोटो
fotografia	फ़ोटो
fotografia	फोटोग्राफी
fotografia	फ़ोटोग्राफ़ी
fotografia	छायांकन
fotografia	छायाचित्र
aia	उस
aia	कि
separarea	जुदाई
separarea	विरह
datoria	कर्तव्य
datoria	ड्यूटी
scrisoarea	लेटर
scrisoarea	पत्र
scrisoarea	अक्षर
eroul	हीरो
eroul	hero
eroul	नायक
eroul	नायिका
aviației	विमानों
aviației	विमान
aviației	विमानन
rupt	टूटी
rupt	टूटा
integrate	एकीकृत
panama	पनामा
afc	afc
utilizări	उपयोग
greaca	ग्रीक
greaca	यूनानी
nancy	नैंसी
comisie	कमीशन
comisie	आयोग
arkansas	अरकंसास
sinteza	संश्लेषण
cauzele	ध्येय
cauzele	कारण
cauzele	कल्याणकारी
veniturile	राजस्व
veniturile	आय
veniturile	आमदनी
veniturile	इनकम
veniturile	आय
atomic	परमाणु
clinton	क्लिंटन
împărăteasă	सम्राज्ञी
integrare	एकीकरण
integrare	संयोजन
districtele	जिले
miercurea	बुधवार
miercurea	बुधवार
scenele	दृश्यों
dramatice	नाटकीय
transmiterea	संचरण
transmiterea	प्रेषण
transmiterea	हस्तांतरण
hunter	हंटर
hunter	शिकारी
armeni	अर्मेनियाई
vera	वेरा
vera	वीरा
demo	डेमो
standarde	मानकों
minimă	न्यूनतम
simț	भाव
datată	दिनाँक
utilă	उपयोगी
utilă	उपयोगी
utilă	सहायक
predare	पढ़ाने
predare	शिक्षण
airlines	एयरलाइन
airlines	एयरलाइंस
sănătatea	सेहत
sănătatea	स्वास्थ्य
climă	जलवायु
pătrat	वर्ग
pătrat	स्क्वायर
pătrat	वर्गाकार
raze	किरणें
epic	महाकाव्य
epic	epic
epic	एपिक
grație	कृपा
grație	ग्रेस
grație	अनुग्रह
avere	भाग्य
avere	सौभाग्य
avere	दौलत
avere	माल
windsor	विंडसर
fin	जोडे
birou	आफिस
birou	ऑफिस
birou	कार्यालय
birou	ऑफ़िस
birou	दफ्तर
birou	डेस्कटॉप
secretul	गोपनीय
secretul	गुप्त
secretul	भेद
secretul	रहस्य
trilogia	त्रयी
aniversare	बर्थडे
aniversare	जन्मदिन
aniversare	जन्मदिवस
aniversare	वर्षगाँठ
aniversare	सालगिरह
aniversare	वर्षगांठ
pib	जीडीपी
frumusețea	ब्यूटी
frumusețea	सुन्दरता
frumusețea	सुंदरता
frumusețea	सौंदर्य
executată	चलाया
musulmană	मुसलमान
musulmană	मुस्लमान
musulmană	मुस्लिम
rob	रॉब
rob	रोब
concret	कंक्रीट
frumusețe	ब्यूटी
frumusețe	सुन्दरता
frumusețe	सुंदरता
frumusețe	सौंदर्य
laboratorul	प्रयोगशाला
laboratorul	लैब
laboratorul	lab
mâini	हाथों
mâini	हाथ
mâini	हैंड्स
ala	अला
ala	आला
ala	ala
batalionul	बटालियन
decorative	सजावटी
conștient	जागरूक
conștient	सचेत
sectoare	सेक्टर
șansă	चांस
șansă	अवसर
șansă	मौका
autostrada	हाईवे
autostrada	राजमार्ग
fabricație	विनिर्माण
fabricație	निर्माण
treimi	तिहाई
alegere	पसंद
alegere	चुनाव
notre	notre
moștenire	विरासत
moștenire	उत्तराधिकार
mode	मोड
mode	विधि
linda	लिंडा
split	विभाजित
cascada	झरने
cascada	झरना
cascada	जलप्रपात
lev	लेव
colin	कॉलिन
colin	कोलिन
legendele	महापुरूष
măsurile	उपाय
măsurile	उपायों
germana	जर्मन
germana	जर्मनी
gruparea	समूहीकरण
intenționat	जानबूझकर
iulius	जूलियस
virusul	वाइरस
virusul	विषाणु
virusul	वायरस
tribul	कबीले
tribul	जनजाति
petrolul	तेल
petrolul	ऑयल
petrolul	आयल
erori	त्रुटि
erori	गलतियाँ
erori	त्रुटियां
erori	त्रुटियाँ
unghiul	कोण
egipteană	मिस्र
egipteană	मिस्री
egipteană	मिश्र
implementarea	कार्यान्वयन
implementarea	क्रियान्वयन
organizațiile	संगठनों
msg	मैसेज
msg	मेसेज
masacrul	नरसंहार
patria	मातृभूमि
patria	मातृभूमि
aval	डाउनस्ट्रीम
capitole	अध्याय
hessa	hessen
hessa	हेस
musulman	मुसलमान
musulman	मुस्लमान
musulman	मुस्लिम
omagiu	श्रद्धांजलि
omagiu	नमन
runda	दौर
runda	गोल
runda	राउंड
runda	गोलाकार
negativă	नकारात्मक
negativă	ऋणात्मक
manuale	पाठ्यपुस्तकों
orientales	orientales
estimează	एस्टीमेट
estimează	अनुमान
dezvăluit	अनावरण
dezvăluit	नाज़िल
maritim	मेरीटाइम
nixon	निक्सन
zborul	फ्लाइट
zborul	फ़्लाइट
zborul	उडान
zborul	उड़ान
arcade	आर्केड
voluntar	स्वैच्छिक
voluntar	voluntary
voluntar	स्वयंसेवक
voluntar	स्वयंसेवी
tramvai	ट्राम
responsabilitatea	उत्तरदायित्व
responsabilitatea	ज़िम्मेदारी
responsabilitatea	जिम्मेदारी
ceh	चेक
elias	एलियास
stâncă	शैल
stâncă	रॉक
stâncă	चट्टान
sfert	क्वार्टर
violente	हिंसक
colț	कॉर्नर
colț	कोना
colț	कोने
eșec	असफल
eșec	विफल
eșec	असफल
eșec	नाकामी
eșec	असफलता
eșec	विफलता
cannes	कैन
trib	कबीले
trib	जनजाति
varna	varna
currentclub	currentclub
houston	ह्यूस्टन
eficientă	कुशल
eficientă	प्रभावी
împărăteasa	सम्राज्ञी
proiectare	डिजाइन
proiectare	डिज़ाइन
proiectare	डिजाइनिंग
violență	हिंसा
eleanor	एलेनोर
deșert	रेगिस्तान
deșert	मरुस्थल
oferta	ऑफर
oferta	प्रस्ताव
favorabile	अनुकूल
castro	कास्त्रो
geologice	भूगर्भिक
franc	फ़्रैंक
furtună	आंधी
furtună	अंधड़
furtună	आंधी
furtună	तूफान
furtună	तूफ़ान
vatican	वेटिकन
ken	केन
remarcabil	उल्लेखनीय
remarcabil	उत्कृष्ट
remarcabil	बकाया
subdivizate	subdivided
regulate	रेगुलर
regulate	नियमित
rwanda	रवांडा
biblioteci	लाइब्रेरी
biblioteci	पुस्तकालय
biblioteci	पुस्तकालयों
ciudat	अजीब
ciudat	अजीब
ciudat	विषम
productions	प्रोडक्शन्स
națiune	देश
națiune	राष्ट्र
națiune	स्वदेश
sinteză	संश्लेषण
mal	मल
adăpost	आश्रय
status	स्टेटस
status	स्थिति
status	प्रस्थिति
status	औकात
tower	बुर्जों
tower	बुर्ज
tower	टावर
tower	मीनार
pradă	शिकार
regiment	रेजीमेंट
feb	फरवरी
feb	feb
feb	फ़रवरी
feb	फर
artista	कलाकार
titan	टाइटेनियम
titan	टाइटन
mărci	ब्रांड
mărci	ब्रांड्स
revue	revue
ordinele	ऑर्डर
ordinele	आदेश
ozn	ufo
excepții	अपवाद
excepții	छूटों
explicații	स्पष्टीकरण
valabil	वैध
valabil	मान्य
monroe	मुनरो
duh	जिनी
facultate	विश्वविद्यालय
facultate	यूनिवर्सिटी
facultate	विश्वविद्यालयों
facultate	कॉलेज
facultate	संकाय
neptun	वरुण
apache	अपाचे
rome	रोम
manuscrise	पांडुलिपियों
teologice	theological
rădăcini	जड़
rădăcini	जड़ें
monarhiei	बादशाही
monarhiei	राजशाही
monarhiei	राजतंत्र
monarhiei	साम्राज्य
raf	raf
ierarhia	पदानुक्रम
săraci	बेचारी
săraci	बेचारे
săraci	गरीब
săraci	बेचारा
săraci	ग़रीब
mâine	कल
regulamentul	नियमन
regulamentul	विनियम
regulamentul	विनियमन
vina	दोष
randy	रैंडी
administratorii	व्यवस्थापक
administratorii	प्रशासकों
administratorii	प्रशासक
administratorii	व्यवस्थापक
colorate	रंगीन
versiunile	संस्करण
seven	सात
dorită	चाही
pasărea	पंछी
pasărea	पक्षी
pasărea	चिड़िया
pasărea	बर्ड
tei	linden
tei	लाइम
văduva	विधवा
garcia	गार्सिया
casetă	कैसेट
casetă	टेप
musical	संगीतमय
musical	musical
fericit	हैप्पी
fericit	मुबारक
fericit	खुश
fericit	प्रसन्न
patriei	मातृभूमि
poze	फोटो
poze	तस्वीरें
poze	फ़ोटो
poze	तस्वीरें
poze	pics
poze	छवियाँ
poze	चित्र
poze	पिक्चर्स
poze	तस्वीरें
procent	प्रतिशत
procent	प्रतिशत
constanta	स्थिरांक
constanta	निरंतर
armat	सशस्त्र
armat	हथियारबंद
mongolii	मंगोलिया
mongolii	मंगोल
sodiu	सोडियम
prenume	बेनाम
prenume	सरनेम
prenume	उपनाम
tentativă	अंतरिम
prinde	catch
prinde	कैच
lut	मिट्टी
filolog	भाषाशास्त्री
dieter	dieter
răspândire	फैला
răspândire	फैल
răspândire	प्रसार
răspândire	स्प्रेड
patricia	पेट्रीसिया
liberty	लिबर्टी
liberty	स्वाधीनता
liberty	स्वतंत्रता
cetățenia	राष्ट्रीयता
cetățenia	नागरिकता
usd	usd
nice	नाइस
nice	nice
atașat	संलग्न
spadă	तलवार
bolivia	बोलिविया
bolivia	बोलीविया
ciuperci	मशरूम
ciuperci	मशरूम
maryland	मेरीलैंड
criteriul	मानदंड
colaborează	साझेदारी
goga	गोगा
performanțe	निष्पादन
performanțe	प्रदर्शन
pakistan	pakistan
pakistan	पाकिस्तान
pakistan	पाकिस्तानी
optică	ऑप्टिकल
optică	प्रकाशिकी
profesoară	शिक्षक
profesoară	अध्यापक
profesoară	टीचर
nad	nad
solide	ठोस
artificială	कृत्रिम
banks	बैंक
banks	बैंक्स
banks	बैंकों
banks	बैंको
instrucțiuni	निर्देश
aluminiu	एल्युमिनियम
aluminiu	एल्यूमिनियम
generali	सेनापतियों
ziarist	पत्रकार
generic	जेनरिक
generic	जेनेरिक
amonte	अपस्ट्रीम
turismul	पर्यटन
ajax	अजाक्स
flacăra	लौ
flacăra	ज्वाला
grupări	समूहों
grupări	समूह
dinți	दांत
liège	liège
evidentă	प्रत्यक्ष
evidentă	स्पष्ट
distincția	भेद
nod	नोड
nod	गांठ
glasgow	ग्लासगो
geniu	प्रतिभा
geniu	जीनियस
geniu	प्रतिभाशाली
broadway	ब्रॉडवे
întreprinderea	उद्यम
întreprinderea	एंटरप्राइज
întreprinderea	एंटरप्राइज़
toledo	टोलेडो
autorilor	रचयिता
autorilor	लेखक
abdul	अब्दुल
cavaleria	प्यादे
brand	ब्रांड
colțul	कॉर्नर
colțul	कोना
colțul	कोने
cuplu	जोड़ा
cuplu	जोड़ी
cuplu	युगल
evanghelia	इंजील
evanghelia	सुसमाचार
evanghelia	इन्जील
informativ	सूचनात्मक
informativ	जानकारीपूर्ण
mărturie	गवाही
alpii	ऐल्प्स
concursuri	प्रतियोगिताओं
concursuri	प्रतियोगिताओं
condiție	हालत
condiție	स्थिति
condiție	शर्त
condiție	कंडीशन
pedeapsă	पेनल्टी
pedeapsă	दंड
pedeapsă	सजा
pedeapsă	दंड
onorific	मानद
combinat	संयोजित
combinat	संयुक्त
grey	सलेटी
grey	ग्रे
grey	धूसर
como	como
cartiere	पड़ोस
cartiere	जिले
stand	स्टैंड
șanse	संभावना
șanse	चांस
șanse	अवसर
șanse	मौका
guvernele	सरकारों
guvernele	सरकारें
confederația	परिसंघ
confederația	परिषद
confederația	कनफेडरेशन
ward	वार्ड
localnicilor	स्थानीय
organisme	जीवों
organisme	लाशें
consul	कौंसुल
deciziile	फैसले
deciziile	निर्णय
nevada	नेवाडा
iarbă	घास
iarbă	ग्रास
iarbă	खरपतवार
completat	पूर्ण
completat	पूरा
completat	समाप्त
comitet	समिति
comitet	कमेटी
capabilă	सक्षम
masivă	विशाल
inițiativă	पहल
saga	गाथा
natalia	नतालिया
reformă	सुधार
celtic	सेल्टिक
arestarea	गिरफ़्तारी
arestarea	गिरफ्तार
arestarea	गिरफ्तारी
arestarea	गिरफ़्तार
hart	हार्ट
vânzarea	बिक्री
bella	बेला
daily	रोज
daily	नित्य
daily	रोजाना
daily	दैनिक
daily	प्रतिदिन
daily	रोज़
rit	रीति
chitarist	guitarist
italiana	इतालवी
sociologie	समाजवाद
sociologie	समाजशास्त्र
variabilă	चर
variabilă	परिवर्तनशील
variabilă	परिवर्तनीय
antrenat	प्रशिक्षित
divine	दिव्य
divine	परमात्मा
divine	दैवी
grecesc	ग्रीक
grecesc	यूनानी
sabia	तलवार
proiectarea	डिजाइन
proiectarea	डिज़ाइन
existent	मौजूदा
instalarea	संस्थापन
instalarea	स्थापना
instalarea	अधिष्ठापन
instalarea	संस्थापना
afectată	प्रभावित
tropicale	उष्ण
tropicale	तीव्र
kane	केन
puerto	प्यूर्टो
cheltuielile	व्यय
cheltuielile	खर्चों
cheltuielile	खर्चे
cheltuielile	खर्च
costurile	खर्चा
costurile	लागत
semnate	हस्ताक्षरित
văi	घाटियों
dallas	डलास
geometrie	ज्यामिती
geometrie	ज्यामिति
geometrie	भूगोल
notele	ग्रेड
calde	गरम
clienți	ग्राहक
aplica	लागू
calul	हॉर्स
calul	घोड़ी
calul	घोड़ो
calul	घोड़े
calul	घोड़ा
abuz	दुरुपयोग
abuz	दुरूपयोग
abuz	दुर्व्यवहार
abuz	गाली
unghi	कोण
madagascar	मेडागास्कर
relativă	संबंधी
relativă	रिश्तेदार
relativă	सापेक्ष
examenul	परीक्षा
examenul	एग्जाम
examenul	exam
operație	ऑपरेशन
operație	संचालन
operație	आपरेशन
operație	सर्जरी
peisajul	परिदृश्य
peisajul	आड़ा
peisajul	लैंडस्केप
copaci	वृक्ष
copaci	पेड़ों
copaci	पेड़
urs	भालू
nina	नीना
stâlpi	खंभे
stâlpi	स्तंभों
stâlpi	मीनारें
divorțat	तलाकशुदा
divorțat	तलाक
stratul	लेयर
stratul	परत
plantele	पौधे
orientală	प्राच्य
rick	रिक
polițist	पुलिसकर्मी
polițist	पुलिसवाला
jeremy	जेरेमी
locuitor	निवासी
cafea	कॉफ़ी
cafea	कॉफी
profesional	पेशेवर
aziz	अज़ीज़
aziz	अजीज
