mecanismos	mehanizmi
favoráveis	povoljno
favoráveis	povoljan
favoráveis	povoljan
opa	ups
opa	ups
bourbon	bourbon
bourbon	burbona
hardy	hardy
fêmeas	ženke
angelo	angelo
trens	vlakovi
trens	vlakove
trens	vlakova
sudão	sudanu
verbo	glagol
móvel	mobilni
móvel	mobitel
ampliação	povećanje
ampliação	zoom
abraço	zagrli
abraço	zagrljaj
copas	srcima
copas	srca
vestido	obučena
vestido	obučen
vestido	odjevena
vestido	haljina
vestido	haljinu
muralhas	zidovi
muralhas	zidine
muralhas	zidove
muralhas	zidova
barragem	brani
barragem	brane
barragem	brana
informar	obavijestiti
jefferson	jefferson
simão	simone
simão	simon
simão	simona
identificado	označena
identificado	označeni
identificado	označen
identificado	označeno
identificado	identificiran
identificado	identificirao
identificado	identificirana
residencial	stambeni
residencial	stambene
bastos	bastos
delegação	delegacija
delegação	izaslanstvo
michelle	michelle
simmons	simmons
expresso	express
expresso	espresso
expresso	izrazila
expresso	izrazio
human	ljudski
jstor	jstor
precipitação	padalina
khan	khan
khan	kan
corda	konopac
corda	konop
corda	uže
coligação	koalicije
coligação	koaliciju
coligação	koalicija
coligação	koaliciji
espíritos	duhovi
ritual	ritual
luna	luna
concluir	završi
concluir	zaključiti
teto	strop
teto	krov
possibilidades	mogućnosti
restaurantes	restorani
restaurantes	restorane
cozinha	kuhanje
cozinha	kuha
cozinha	kuhinje
cozinha	kuhinja
mariano	mariano
introduziu	uveo
introduziu	uvela
introduziu	predstavio
explorar	istraživanje
explorar	istražuje
explorar	istraživanje
explorar	istraži
delgada	vitak
gaspar	gaspar
comer	jedemo
comer	jede
comer	jedi
mísseis	rakete
mísseis	projektili
mísseis	projektil
mísseis	raketa
dívida	duga
dívida	dugovi
dívida	dug
field	polje
complementar	komplementarne
complementar	upotpuniti
definidos	definirana
raças	trke
raças	rase
raças	utrke
albânia	albansko
albânia	albanski
albânia	albanska
albânia	albanija
second	drugi
second	drugo
second	druga
únicas	jedinstvena
únicas	jedinstveni
únicas	jedinstveno
únicas	jedinstven
quebec	quebec
luigi	luigi
navarra	navarre
amar	voljeni
amar	voljeti
amar	amar
fio	žica
fio	žicu
fio	žice
fio	konac
fio	nit
infecção	infekcija
infecção	zaraza
infecção	infekcije
aparelhos	uređaje
aparelhos	uređaji
ideais	ideale
ideais	idealno
ideais	ideal
ideais	idealan
ideais	idealna
vizinha	susjed
vizinha	susjeda
vizinha	susjed
vizinha	susjeda
fame	slava
fame	slave
fame	slavu
águia	eagle
águia	orao
antioquia	antiohije
move	pokreti
move	potezi
soberania	suverenitet
biografias	biografije
oklahoma	oklahoma
oklahoma	oklahomi
main	main
main	glavni
main	glavno
main	glavna
sabor	okus
sabor	ukus
sabor	okusa
sabor	okusi
sabor	okus
sabor	okusa
kentucky	kentucky
negativo	negativan
negativo	negativna
negativo	negativno
negativo	negativni
causado	uzrokovao
causado	uzrokovalo
protestantes	protestanti
protestantes	protestantska
protestantes	prosvjednici
protestantes	prosvjednika
protestantes	protestanti
protestantes	prosvjednici
protestantes	prosvjednika
protestantes	protestanti
cantada	sung
inês	inez
inês	ines
inês	agnes
bonita	lepa
bonita	lijepa
bonita	zgodna
úteis	korisne
úteis	koristan
úteis	korisno
úteis	korisna
úteis	korisni
úteis	korisno
navegador	navigator
navegador	preglednik
vaz	vaz
anfíbio	amfibijski
anfíbio	vodozemac
petersburgo	petersburgu
remo	veslanje
remo	remus
remo	veslo
remo	veslo
remo	reket
remo	remo
juízes	suci
juízes	sudije
juízes	žiri
juízes	suce
iowa	iowi
silver	srebro
silver	srebrni
silver	silver
moça	djevojka
moça	devojka
moça	cura
moça	gospa
moça	dama
moça	damo
heaven	raja
heaven	raj
heaven	nebesa
heaven	nebo
corretamente	pravilno
ralph	ralph
entende	razumije
entende	razumijem
entende	shvati
responde	odgovor
responde	odgovori
responde	odgovor
responde	odgovori
responde	odgovorite
georg	georg
fixo	popravio
fixo	fiksna
fixo	fiksne
fixo	fiksni
fixo	popravljen
fixo	fiksni
penas	pera
penas	perje
penas	pera
penas	pero
penas	perje
gardens	vrtovi
gardens	gardens
gardens	vrtove
segura	sigurno
segura	sef
segura	sigurna
segura	osigurano
segura	osigurati
info	info
info	podaci
info	informacije
introduzida	uveo
introduzida	uvela
introduzida	predstavio
faro	faro
jesuítas	isusovci
jesuítas	jezuit
chipre	cipar
falcão	falcon
falcão	jastreb
falcão	sokol
falcão	jastreb
falcão	hawk
falcão	sokol
capturar	uhvatiti
capturar	hvatanje
capturar	hvatanje
saudita	saudijske
marítimo	pomorski
pen	olovka
pen	olovku
pen	pen
pen	pero
inseto	kukac
inseto	insekata
inseto	kukac
inseto	buba
inseto	bug
expectativa	očekivanje
expectativa	očekivanja
expectativa	očekivanja
expectativa	očekivanjima
sultão	sultana
sultão	sultan
gerenciamento	upravljanje
gerenciamento	uprava
gerenciamento	upravljanje
gerenciamento	menadžment
estrangeiras	strani
estrangeiras	strano
formados	formirana
financiamento	financiranja
financiamento	financiranje
financiamento	sredstva
financiamento	financiranja
financiamento	financiranje
protesto	prigovor
protesto	protest
protesto	prosvjed
protesto	protesta
pecado	grijeha
pecado	grijeh
pecado	greh
fugiu	pobjegla
fugiu	pobjegao
drive	pogon
drive	vozi
burocratas	birokrati
burocratas	birokrat
pensando	razmišljam
pensando	razmišljanje
pensando	misleći
pensando	mislio
wellington	wellington
pilar	stub
pilar	stup
pilar	pilar
geográfico	geographic
geográfico	geografski
full	pun
full	full
full	puna
full	puni
roberts	roberts
pato	patak
pato	patka
pato	duck
classificadas	povjerljivo
participante	sudionik
concreto	konkretno
concreto	beton
concreto	betona
ama	ama
ama	dadilja
ama	voli
fiável	pouzdani
fiável	pouzdana
fiável	pouzdan
fiável	pouzdano
protegido	zaštićeno
protegido	zaštićena
protegido	zaštićen
protegido	zaštićeni
prefixo	prefiks
concedida	odobreno
institucional	institucionalne
square	trgu
square	trg
square	kvadrat
lendas	legende
emmy	emmy
emmy	emi
prato	jelo
prato	tanjur
mixagem	mix
mixagem	miks
mixagem	miješanje
anuais	godišnje
anuais	godišnja
anuais	godišnji
difusão	difuzija
difusão	emitiranje
psd	psd
tributo	danak
tributo	počast
uruguaio	urugvajac
muro	zid
muro	zida
fraco	slaba
fraco	slabo
fraco	slabi
fraco	slab
dezesseis	sixteen
dezesseis	šesnaest
demonstração	demo
demonstração	demonstracija
demonstração	demonstracija
demonstração	demonstracije
faculdades	fakultete
bull	bika
bull	bik
bull	bull
salário	placa
salário	plaće
salário	plaća
salário	plata
salário	plaće
rodolfo	rodolfo
rodolfo	rudolph
rodolfo	rudolf
wallace	wallace
cole	cole
cole	kol
comandos	komandosi
comandos	naredbe
comandos	kontrole
comandos	kontrolira
recomendação	preporuka
recomendação	preporuku
recomendação	preporuke
coberto	pokrivena
coberto	pokriven
coberto	pokriveni
coberto	pokriveno
conspiração	zavjeru
conspiração	zavjera
conspiração	zemljište
conspiração	parcela
conspiração	urota
conspiração	zavjere
conspiração	zavjera
justificar	opravdavajući
justificar	opravdati
carol	carol
fall	jesen
fall	pad
gilbert	gilbert
jake	jake
concorrentes	natjecatelji
concorrentes	natjecatelji
concorrentes	natjecatelja
bibliotecas	knjižnice
bibliotecas	biblioteke
aníbal	hannibal
sagrada	svetinja
sagrada	sveto
detalhe	detalj
triste	tužno
triste	žalosno
triste	tužna
doente	pacijent
doente	strpljiv
doente	pacijentica
doente	bolesna
doente	bolestan
doente	bolesno
doente	bolesnik
aveiro	aveiro
happy	sretno
happy	sretan
prédios	građevine
prédios	zgrade
radar	radar
radar	radaru
representações	prikazi
bonito	zgodan
bonito	zgodni
bonito	lepa
bonito	lijepa
bonito	zgodna
saboia	savoie
