прогрес	napredak
мускули	mišići
мускули	mišićima
мускули	mišiće
мускули	mišić
сив	gray
сив	siva
сив	sive
сив	sivi
сив	siva
етапи	faze
етапи	etapa
етапи	stadijuma
комитети	komiteti
оливър	oliver
сесия	sjednicu
сесия	sjednici
сесия	sjednica
придава	pridaje
лозенград	kırklareli
вулкана	vulkan
освобождаване	puštanje
освобождаване	oslobađanje
членство	članstvo
железен	željezo
ръкопис	rukopis
чиновник	službenik
сняг	snijeg
записано	snimila
записано	snimljene
записано	snimljen
записано	snimio
реалност	stvarnost
безплатно	free
интервюта	intervjue
ватикана	vatikana
ватикана	vatikan
масиви	matričnih
антония	antonia
жител	stanovnik
представления	predstave
еберхард	eberhard
отказ	odbiti
отказ	odbijaju
отказ	odbijanja
отказ	odbijanje
отказ	uskraćivanja
рикардо	riccardo
рикардо	ricardo
навън	izvan
навън	iz
навън	out
присъединяване	pristupanje
здравко	zdravko
продажбите	prodaja
мъжко	mužjak
убеден	uvjeren
свидетелство	certifikat
художниците	slikara
покрит	pokriveni
покрит	pokrivena
покрит	pokrivene
бележка	napomena
бележка	dopis
мероприятия	događaja
мероприятия	događaji
мероприятия	dešavanja
бронзови	bronzana
бронзови	bronza
морган	morgan
пресата	press
пресата	štampa
пиетро	pietro
доброволно	dobrovoljnoj
доброволно	dobrovoljnu
доброволно	dobrovoljne
доброволно	dobrovoljnog
окото	oka
окото	oko
заменена	zamijenio
заменена	zamijenjeni
преса	press
преса	štampa
уайлд	wilde
бета	beta
регистрация	registracija
регистрация	registraciju
регистрация	registracije
реймънд	raymond
мариана	marianna
мариана	marijana
мариана	marijanska
сопот	sopot
сключен	zaključila
сключен	zaključio
ням	nijemi
ням	glup
физическо	fizički
физическо	fizičko
физическо	fizičke
показване	prikaz
показване	show
показване	emisiju
показване	nastup
показване	šou
показване	sou
платна	platna
платна	platno
ирански	iranska
ирански	iranski
про	pro
износ	izvoz
износ	izvoza
износ	izvoz
роналдо	ronaldo
марта	marta
марта	martha
кралско	royal
кралско	kraljevska
кралско	kraljevsko
кралско	kraljevski
рицарите	vitezova
индекс	indeks
лодка	čamac
емигранти	imigranti
платно	platna
платно	platno
родина	domovina
родина	fatherland
гласът	glas
йоханес	johannes
алтернатива	alternativna
алтернатива	alternativa
парична	monetarna
подчертава	osvjetljava
тимор	timor
тайните	tajne
тайните	tajni
лидерите	lideri
николаос	nikolaos
бъдещи	budućnost
чува	čuje
пшеница	pšenice
баланс	mjerilo
баланс	bilans
кучето	psa
кучето	pas
кучето	dog
кучето	ker
свидетел	svjedok
орбитата	orbitu
орбитата	orbiti
подвид	podvrsta
цвайбрюкен	zweibrücken
организъм	organizam
организъм	organizma
отпадъци	otpad
централа	central
централа	centralni
централа	centralna
централа	sjedište
сватба	brak
сватба	vjenčanje
сватба	vjenčanja
литра	litara
резерв	rezervi
резерв	rezerve
резерв	rezerva
лицата	lica
мъченици	šehida
радванска	radwańska
отделяне	razdvajanje
заслужава	zaslužuje
видях	vidio
полезно	koristan
полезно	saradnici
полезно	korisno
полезно	korisni
полезно	korisne
полезно	korisna
полезно	korisni
извършена	izvela
извършена	nastupao
извършена	izvedena
извършена	izvodili
способен	sposoban
способен	sposobni
гледам	posmatra
гледам	posmatranje
гледам	posmatrao
траките	tračani
стивънс	stephens
стивънс	stevens
диапазон	domet
диапазон	dometa
напоследък	nedavno
алан	allan
алан	alan
мара	mara
убеди	uvjeriti
бийч	beech
документация	dokumentacija
документация	dokumentaciju
последици	posljedice
последици	posledica
последици	implikacijama
последици	implikacija
последици	uticaji
последици	efekti
последици	posljedica
ясна	jasna
пътека	put
пътека	treadmill
пътека	trag
учителите	nastavnike
учителите	nastavnika
учителите	nastavnici
учителите	profesori
шерлок	sherlock
осман	osman
изстрелване	pokretanje
изстрелване	pokretanje
изстрелване	pokrenuti
орфей	orfej
колела	točkove
федерална	federalni
федерална	federalno
правомощия	ovlasti
правомощия	sile
правомощия	autoritet
вълк	wolf
вълк	vuk
вълк	vuka
слаб	slabi
слаб	slaba
слаб	slab
слаб	tanke
способни	sposoban
способни	sposobni
падуа	padova
уейн	wayne
съществувало	postojala
съществувало	postojalo
съществувало	postojao
съществувало	postojale
разновидност	raznovrsnost
разновидност	različitih
нашия	naše
нашия	naša
нашия	naš
брут	brutus
хърбърт	herbert
екшън	akcija
отдих	rekreativnih
отдих	opuštanja
духовен	duhovne
духовен	duhovni
духовен	duhovnih
духовен	duhovno
духовен	duhovnog
духовен	duhovnu
фишер	fišer
фишер	fischer
гръб	nazad
гръб	back
гръб	vrati
гнездото	gnijezdo
тетово	tetovu
тетово	tetova
моцарт	mozart
въстания	ustanaka
яйцата	jaja
реконструкция	rekonstrukcije
реконструкция	rekonstrukcija
реконструкция	obnova
реконструкция	rekonstrukciju
реконструкция	reconstruction
тухли	cigli
финалите	finale
затворници	zarobljenike
затворници	zatvorenici
затворници	zatvorenika
дженифър	jennifer
правителствата	vlade
неа	nea
инфо	info
записана	snimila
записана	snimljene
записана	snimljen
записана	snimio
математици	matematičari
математици	matematičara
елин	elin
детройт	detroit
ушите	uši
продуктите	proizvodi
министрите	ministri
хънт	lov
афера	afera
херодот	herodot
проведено	sprovedeno
проведено	sprovedena
проведено	provedena
проведено	obavljenog
проведено	izvela
проведено	nastupao
проведено	izvedena
проведено	izvodili
единични	singl
нормална	normalno
нормална	normalan
нормална	normalni
нормална	normalne
нормална	normalna
рая	nebo
рая	raj
съотношение	proporcija
съотношение	odnos
съчетание	kombinacija
духовно	duhovne
духовно	duhovni
духовно	duhovnih
духовно	duhovno
духовно	duhovnog
духовно	duhovnu
духовно	duhovno
частно	privatno
частно	privatne
частно	privatni
частно	privatna
разрешава	omogućava
стипендия	stipendiju
стипендия	stipendija
блато	močvara
блато	marsh
илюстрации	illustrations
хабсбург	habsburška
хабсбург	habsburg
гризачи	glodara
нарушава	krše
дворецът	palata
дворецът	palača
дъска	odbor
дъска	plank
томи	tommy
излъчването	emitiranje
проектиране	dizajn
проектиране	dizajnira
мърфи	murphy
учебници	udžbenika
учебници	udžbenici
кей	kay
експозиция	izloženost
експозиция	izlaganje
алпийски	alpskom
алпийски	alpsko
модерен	moderna
модерен	savremena
модерен	savremen
модерен	moderno
остра	akutni
остра	akutne
остра	oštrim
остра	oštre
остра	oštru
остра	oštrog
наблизо	obližnje
балет	balet
трайно	trajno
трайно	trajnog
трайно	trajnu
последователност	niz
тънки	tanke
мъртъв	mrtva
мъртъв	mrtvi
мъртъв	mrtvo
мъртъв	mrtav
заряд	optužba
заряд	naboj
коло	colo
подправки	začina
подправки	začin
разтвор	rješenje
разтвор	rješenja
разтвор	rešenje
ума	um
дамаск	damask
установена	ustanovljen
установена	uspostavljena
установена	ustanovljene
установена	ustanovljena
черво	crijevo
хумор	humor
хумор	humor
интензивно	intenzivne
интензивно	intenzivna
интензивно	intenzivne
интензивно	intenzivan
интензивно	izrazito
радослав	radoslava
радослав	radoslav
популация	populacija
одобрява	odobrava
одобрява	odobri
подобрения	poboljšanja
подобрения	poboljšanje
драган	dragan
организиране	organizuju
организиране	organizovati
организиране	organizirati
организиране	organizuje
ужасите	horrors
злото	zlo
силва	silva
премахва	uklanja
възприемат	primjećuju
култ	kult
трафик	saobraćaj
баку	baku
специфична	specifične
специфична	konkretne
специфична	specifična
погребението	sahrane
рой	roy
рой	roj
живите	živi
живите	living
живите	živo
живите	živa
монахиня	nun
спонсор	sponzor
остатъци	ostataka
луиджи	luigi
робство	ropstva
остър	oštrim
остър	oštre
остър	oštru
остър	oštrog
остър	akutni
остър	akutne
династии	dinastije
вестфалия	vestfalija
детство	djetinjstvo
важи	primjenjuje
стаята	sobu
стаята	soba
стаята	sobe
битките	bitaka
струга	struga
патрон	pokrovitelj
таня	tanja
таня	tanya
таня	tanja
увеличение	povećanje
увеличение	porast
увеличение	povećati
възпитание	njeguje
възпитание	odgoj
възпитание	obrazovanje
възпитание	odgoja
възпитание	odgoj
заслужил	zaradio
заслужил	stekao
устойчивост	stabilnost
устойчивост	održivost
устойчивост	otpor
устойчивост	otpornost
устойчивост	otpornosti
бъркли	berkeley
камери	kamere
експерти	stručnjaci
подчинение	pokornosti
изключен	disabled
изключен	isključen
изключен	isključena
изключен	protjerala
блокиран	blokiran
блокиран	blokirao
блокиран	blokirane
блокиран	blokirali
блокиран	blokirala
затруднения	poteškoća
затруднения	teškoće
затруднения	poteškoće
затруднения	poteškoća
затруднения	teškoće
приказка	tale
приказка	bajka
приказка	priča
метър	metar
метър	metra
модификации	modifikacije
джан	jan
джан	zhang
саймън	simon
свързване	obavezujuća
свързване	veza
свързване	povezuje
свързване	povezivanje
свързване	povezivati
свързване	povezati
свързване	povezivanja
удоволствие	zadovoljstvo
лийдс	leeds
шумахер	schumacher
неизвестна	nepoznata
неизвестна	nepoznat
неизвестна	nepoznati
сок	sok
сок	sock
пейзаж	pejzaž
ивици	pruge
базел	basel
затваря	zatvara
клетва	zakletva
покровител	pokrovitelj
сблъсъци	sukobi
наталия	natalija
наталия	natalia
разделено	podijeljeni
разделено	podijeljene
разделено	podijeljen
разделено	podijeljeno
кери	carrie
кери	kerry
леонард	leonard
показател	mjerilo
показател	indeks
показател	indikator
пробив	proboj
пробив	iskorak
пробив	proboj
пробив	kršenje
комунизма	komunizam
осъжда	osuđuje
църквите	crkava
домашен	dom
домашен	home
домашен	domaće
домашен	domaćem
домашен	domaća
домашен	domaći
построи	izgradnji
построи	gradi
построи	grade
построи	graditi
построи	sagraditi
ален	alain
конкурси	takmičenjima
бук	beech
германци	nijemci
компютъра	računar
реализъм	realizam
делегати	delegati
делегати	delegata
гуам	guama
настояване	insistiranjem
настояване	insistiranje
ботове	bots
повреда	neuspjeh
повреда	štetu
повреда	oštećenja
повреда	štete
повреда	oštećenje
оксфорд	oxford
аквитания	akvitanija
сет	set
съдържащ	nalazili
дива	divljeg
дива	divlji
дива	wild
дива	divlja
дива	diva
девети	deveti
двоен	dvostruki
двоен	dupla
двоен	dvostruko
двоен	dvostruke
археология	arheologija
археология	arheologija
ескадрила	eskadrila
ескадрила	eskadrile
шум	buke
опитът	iskustva
опитът	iskustvo
психологически	psihološki
психологически	psihički
психологически	psihološki
бенджамин	benjamin
стълб	stub
стълб	pol
каменица	kamenica
опери	operas
описана	opisala
описана	opisane
описана	opisan
описана	opisao
абдул	abdul
прием	prijem
светлана	svetlana
пен	penn
пен	pen
специализирана	specijalizirane
специализирана	specijalizovani
сух	suha
сух	suho
кристали	kristali
сървър	server
хофман	hoffman
хофман	hofman
училищата	škole
мей	mei
фотограф	fotografa
лого	logo
лого	logos
мирослав	miroslav
материалите	materijale
материалите	materijalima
материалите	materijala
материалите	materijali
почит	počast
почит	homage
атлетика	atletici
съдът	sud
хирургия	hirurgija
отражение	odraz
вегас	vegas
влакна	vlakana
влакна	vlakna
влакна	fiber
влакна	vlakna
влакна	vlakana
бенедикт	benedikt
бенедикт	benedikta
поделение	jedinica
предложена	ponudio
предложена	ponudila
предложена	predložio
предложена	predloženo
предложена	predloženi
насърчава	podstiče
насърчава	promovira
признати	priznala
признати	priznata
признати	priznao
признати	priznat
швабия	švabija
джонатан	jonathan
катя	katja
никита	nikita
илюстрация	ilustracija
романс	romantika
дик	dick
дъно	dno
санчес	sanchez
заплахи	prijetnje
заплахи	prijetnjama
заплахи	prijetnji
женско	ženka
интерпретация	tumačenje
щастлив	sretan
щастлив	sretna
щастлив	happy
нина	nina
изтрита	deleted
изтрита	izbrisani
изтрита	brišu
кухина	šupljina
анонимен	anonimno
предупреждение	upozorenje
предупреждение	upozoravajući
предупреждение	upozorenja
успехите	uspjesima
успехите	uspjehe
имущество	imovine
имущество	vlasništvo
имущество	imovina
имущество	imovinu
имущество	imovinska
приключения	avanture
приключения	avanturu
приключения	avantura
спасение	spas
секции	sekcije
доклади	izvještaje
доклади	izvještajima
доклади	izveštaji
доклади	izvještaji
домове	domova
домове	domovi
домове	domove
олтара	altar
нютон	njutn
нютон	newton
решено	riješen
решено	riješiti
решено	odlučili
решено	odlučilo
решено	odlučila
решено	odlučio
решено	odlučan
решено	utvrdili
оставката	ostavke
оставката	ostavku
оставката	ostavka
винсент	vincent
реализация	realizaciju
реализация	realizaciji
реализация	realizacija
реализация	shvatanje
реализация	realizacija
изключителна	izuzetne
изключителна	izvanredan
изключителна	neuobičajena
изключителна	neriješenim
изключителна	izuzetnim
изключителна	izuzetne
изключителна	izuzetno
изключителна	izuzetan
усвояване	apsorpcije
палма	palma
шапка	hat
шапка	šešir
татяна	tatiana
парламентарна	parlamentarni
сократ	sokrat
сянка	sjeni
сянка	hladu
сянка	hlad
сребърна	srebro
честта	počast
честта	čast
честта	časti
честта	čast
светло	svjetlost
светло	bright
светло	bistra
минск	minsk
рот	roth
героиня	heroine
лисица	lisica
лисица	fox
хребет	greben
синя	plava
кръгла	rundu
ритуали	obreda
паунда	funti
изградено	konstruisana
титан	titan
гугъл	google
вдовицата	udovica
магия	sihr
магия	sihr
мусолини	mussolini
ранд	rand
уравнение	jednačina
включване	prijava
включване	uključuju
включване	uključiti
включване	omogućili
включване	omogući
включване	omogućiti
включване	uključenje
остри	oštrim
остри	oštre
остри	oštru
остри	oštrog
експерт	stručna
експерт	ekspertni
експерт	stručni
експерт	stručnjak
експерт	ekspert
въведени	uvedeno
въведени	uveo
въведени	uveden
въведени	uvedena
регионално	regionalni
регионално	regionalna
влакове	vozove
влакове	vozovi
влакове	vozova
алесандро	alessandro
продаден	prodala
продаден	prodat
продаден	prodao
уикимедия	wikimedia
равновесие	mjerilo
равновесие	bilans
равновесие	ravnoteža
подробна	detaljan
подробна	detaljne
процедури	procedura
процедури	procedure
служителите	uposlenici
съюзи	sindikati
съюзи	savezi
индивидуално	pojedinačno
индивидуално	individualni
индивидуално	individualne
изразен	izraženo
пери	peri
пери	perry
пери	parry
групова	grupa
трансилвания	transilvanije
зрителите	gledaoci
червеи	crvi
барбароса	barbarossa
настанени	smještena
положителни	pozitivna
положителни	pozitivan
положителни	pozitivne
положителни	pozitivni
отбелязано	zapaža
отбелязано	ukazao
отбелязано	naglašeno
мурад	murad
мурад	murat
буквите	pisma
буквите	slova
кирибати	kiribati
анатолий	anatolij
дебели	masti
дебели	fat
дебели	debela
дебели	masnoća
дебели	masnoće
гота	gota
баница	pita
осъзнава	shvata
атентат	atentat
атентат	bombardovanje
пейзажи	krajolike
водачи	vozači
водачи	vodiča
водачи	upućuje
водачи	lideri
бягане	vođenje
бягане	trčanjem
колин	collin
колин	colin
колин	kolin
преден	ispred
преден	front
комунист	komunistička
комунист	komunistički
изгонен	iseljeni
шампиона	šampion
мине	proći
мине	pass
крилото	krilo
учил	studirao
учил	proučili
учил	učio
учил	proučen
учил	proučavao
учил	proučio
преработка	obrade
преработка	obradu
преработка	obradi
преработка	reviziju
фриц	fritz
молитва	molitvi
молитва	molitve
молитва	namaz
молитва	molitva
дълбок	duboka
дълбок	duboke
дълбок	duboko
дълбок	dubok
дълбок	deep
небе	sky
небе	nebo
небе	nebo
небе	skies
канцлер	kancelara
канцлер	kancelar
канцлер	kancelarka
силезия	silesia
случаят	slučaj
държавник	državnik
домейн	domen
елиът	elliott
елиът	eliot
елиът	elliot
мейн	maine
съдействие	saradnja
каринтия	koruška
плат	platt
точни	tačan
съливан	sullivan
разум	čulo
служил	služio
телата	tela
телата	tijela
отсъствие	odsutan
отсъствие	odsustva
отсъствие	odsustvo
отсъствие	odsustvu
райт	wright
райт	rajt
забранени	zabranjeno
забранени	zabranjeno
забранени	zabranila
забранени	zabranio
забранени	zabranjena
забранени	zabranjeno
ферара	ferrara
нанси	nancy
бокса	boks
шанхай	šangaj
технологичен	tehnološka
технологичен	tehnološki
технологичен	tehnoloških
духовни	duhovne
духовни	duhovni
духовни	duhovnih
духовни	duhovno
духовни	duhovnog
духовни	duhovnu
душан	dušan
съвместна	zajedničke
възникване	pojava
съседи	susjedima
съседи	susjeda
съседи	susjedi
съседи	susjedima
въртене	rotate
въртене	pivot
въртене	rotacija
сул	sul
атоми	atoma
атоми	atomi
облак	oblak
хищници	predatora
съмнения	sumnja
съмнения	sumnje
съмнения	sumnju
съмнения	sumnjaju
съмнения	sumnja
съмнения	sumnje
реагира	reaguje
реагира	reagovao
реагира	reaguje
възможна	mogući
възможна	moguće
ерани	errani
джоан	joanne
джоан	joan
румънска	rumunski
легендите	legende
неколкократно	opetovano
енрике	enrique
мелбърн	melbourne
синоним	sinonim
синоним	synonym
мрамор	mramor
водопад	vodopad
часовник	sahat
часовник	sat
икономисти	ekonomista
икономисти	ekonomisti
тезата	teze
тезата	teza
притежание	posjedovanje
притежание	posjedovanja
притежание	vlasništva
притежание	vlasništvo
отказа	odbio
обединено	ujedinjene
обединено	united
обединено	ujedinjena
обединено	ujedinjeni
послание	poruka
пясък	pesak
пясък	pijeska
вердер	werder
вселена	svemir
горещо	hot
горещо	vrelo
океания	okeanija
споразумения	aranžmane
споразумения	aranžmani
споразумения	sporazumi
смесен	mješovite
смесен	mješovita
съществени	značajne
съществени	značajni
съществени	suštinska
съществени	osnovni
надеждата	nada
надеждата	nade
надя	nađa
надя	nadia
устав	statutu
победители	pobjednici
предградие	predgrađu
предградие	predgrađa
нестор	nestor
тенденции	trend
тенденции	trendova
тенденции	trendovi
тенденции	trendove
тенденции	trendovima
скачване	započeta
кратер	krater
въглероден	ugljik
залцбург	salzburg
мак	mac
мак	mack
уникални	jedinstveni
уникални	jedinstveno
уникални	jedinstven
уникални	jedinstvena
киро	kiro
съществували	postojala
съществували	postojalo
съществували	postojao
съществували	postojale
осветена	lit
осветена	zapalio
влияния	uticaja
лауда	lauda
паркър	parker
логото	logo
унищожаване	uništi
унищожаване	uništiti
унищожаване	uništavanje
унищожаване	uništenja
унищожаване	uništenje
тувалу	tuvalu
изчисления	proračunima
алис	alice
консултант	konsultant
консултант	konsultanta
драматични	dramatičnog
драматични	dramatična
драматични	dramatičnim
драматични	dramatičnu
драматични	dramatičan
познание	znanje
скулптури	skulptura
скулптури	skulptura
трансфер	transfer
трансфер	prijenos
пивоварна	pivara
офанзива	ofanzive
офанзива	kozari
офанзива	ofanzivu
офанзива	ofanziva
вдига	povećava
вдига	podiže
хървати	hrvati
хървати	hrvati
куинсланд	queensland
споменато	spomenut
споменато	spominje
споменато	spomenuo
споменато	pomenuo
споменато	spomenuta
баскетбол	košarka
характеризират	okarakterizirati
бирмингам	birmingham
кралици	queens
взрив	bang
взрив	eksplozija
взрив	blast
взрив	eksplozije
взрив	eksplozija
уникална	jedinstveni
уникална	jedinstveno
уникална	jedinstven
уникална	jedinstvena
оръдието	top
ралф	ralph
недостатъци	nedostatke
недостатъци	nedostataka
недостатъци	nedostaci
недостатъци	nedostatke
недостатъци	mane
предложи	ponuda
посещения	posjeta
бот	bot
зърно	žita
зърно	zrno
десау	dessau
здравословни	zdrave
здравословни	zdravi
здравословни	zdrava
здравословни	zdrav
противоречия	kontradikcije
противоречия	kontroverza
противоречия	kontroverzu
противоречия	kontroverze
съперник	rival
съперник	rivala
съперник	protivnik
поетът	pjesnik
съгласието	saglasnost
верен	odan
верен	lojalnih
верен	vjernike
верен	vjerna
верен	vjernici
антоан	antoine
руси	blonde
руси	plava
руси	plav
руси	blond
господ	allah
господ	allaha
господ	allahu
господ	bog
антиохия	antioch
аякс	ajax
нервна	nervni
руда	ruda
готите	goti
скоби	staples
скоби	zagradi
фрази	fraze
тунел	tunel
картофи	krompir
картофи	krompir
другаде	drugdje
инфекции	infekcije
уолис	wallis
елита	elita
бройки	komadi
бройки	komada
еквивалент	ekvivalentni
еквивалент	ekvivalent
експеримент	eksperiment
експеримент	eksperimentu
върхът	topper
арабска	arab
арабска	arapsko
арабска	arapskih
арабска	arapska
арабска	arapski
арабска	arapsko
ислям	islam
риска	rizik
замени	zamijeniti
замени	zamijenit
замени	zamjenu
ярко	bright
ярко	bistra
агенции	agencije
иврит	hebrejski
петдесет	pedeset
джефри	geoffrey
джефри	jeffrey
номинирана	nominovan
иконата	ikona
епидемия	epidemija
епидемия	epidemija
крус	cruz
тива	thebes
търпи	tolerirati
кристоф	christophe
кристоф	christoph
гьоте	goethe
селекция	selekcija
селекция	izbor
предадени	izdali
предадени	izdao
предадени	izdala
предадени	prenosila
отпред	ispred
отпред	front
джесика	jessica
пътувания	putovanje
пътувания	putovanja
бай	bai
застрашени	ugrožena
застрашени	ugrozili
толстой	tolstoj
ибрахим	ibrahim
постановка	postavku
постановка	izvođenja
плуване	plivanje
плуване	plivački
плуване	plivanju
ъгъла	ugao
астрономически	astronomski
астрономически	astronomska
астрономически	astronomske
ръба	edge
лири	lira
лири	funti
жозеф	joseph
науру	nauru
нож	nož
антоанета	antoaneta
изключителни	izuzetnim
изключителни	izuzetne
изключителни	izuzetno
изключителни	izuzetan
астронавти	astronauti
стадий	faza
стадий	bina
арка	arch
феномен	fenomen
феномен	fenomene
феномен	fenomen
пакет	snop
пакет	paket
дружба	prijateljstvo
дружба	prijateljstva
фази	faze
гигантски	div
означение	notacija
сюзън	susan
наследниците	nasljeđuju
сеул	seulu
фламандски	flamanski
традиционна	tradicionalna
традиционна	tradicionalne
традиционна	tradicionalno
бригади	brigade
борса	razmjenu
борса	razmjena
обичам	ljubav
психоанализа	psihoanaliza
панония	panonija
панчо	pancho
погребани	sahranjen
тор	đubriva
тор	tor
тор	đubriva
тор	tor
мита	mit
мита	dužnosti
доказано	dokazali
доказано	pokazao
доказано	demonstrirala
доказано	demonstrira
доказано	dokazan
доказано	dokazala
доказано	dokazana
доказано	dokazano
биологични	biološke
биологични	biološku
биологични	biološki
биологични	biološka
клонове	grana
витамин	vitamini
плажове	plaže
духове	duhovi
духове	duhovi
спад	pad
обвивка	ljuske
обвивка	shell
коморски	swb
приключване	završetak
приключване	završetku
приключване	završetka
приключване	zatvaranje
публична	javni
публична	javnost
публична	javna
публична	javno
вулкан	vulkan
педагогика	pedagogija
бунтове	nemira
бунтове	nemiri
бежанците	izbjeglica
бежанците	izbjeglice
собственици	vlasnici
собственици	vlasnike
осветление	rasvjetu
повторение	ponavljanje
повторение	ponovi
хайделберг	heidelberg
папи	papi
дъблин	dablinu
парламентът	parlament
свършва	završava
кодове	kodovi
ренесанс	renesansa
зигфрид	siegfried
шеста	šesti
шеста	šestom
юлих	jülich
керамични	keramika
мощен	moćna
мощен	moćan
пътуват	putovanje
градината	bašti
градината	bašte
градината	bašta
градината	džennet
марш	marsh
търнър	turner
матиас	mathias
матиас	mattias
матиас	matthias
симфония	simfonija
провал	neuspjeh
сухо	suha
сухо	suho
северозападния	sjeverozapadu
предна	ispred
предна	front
предна	frontalni
автобуси	autobusa
свазиленд	svazi
дъга	duga
удобно	prostranom
йован	jovan
двойна	dvostruki
двойна	dupla
двойна	dvostruko
двойна	dvostruke
постигането	postignuće
постигането	dostignuće
команди	komande
команди	komanduje
привлече	privukla
привлече	privuklo
мъртви	mrtva
мъртви	mrtvi
мъртви	mrtvo
мъртви	mrtav
телефон	telefon
телефон	telefon
фокус	fokusu
фокус	fokus
редиците	redove
чести	zajednički
чести	zajedničkim
чести	zajedničku
дион	dion
ела	dođu
ела	dolaze
ела	dolazi
ела	doći
летец	flyer
устава	statutu
армстронг	armstrong
триумф	trijumf
манхатън	manhattan
клиентите	klijentima
томпсън	thompson
записки	note
записки	nota
прадеш	pradesh
пепел	pepeo
пепел	pepeo
пепел	ash
легиони	legija
тактика	taktike
тактика	taktika
репресии	represija
репресии	represalije
изстрелян	pokrenula
изстрелян	pokrenut
изстрелян	lansirana
изстрелян	pokrenuta
инфекция	infekcije
инфекция	infekcija
влечуги	gmizavaca
синдром	sindrom
приемник	računar
приемник	prijemnik
банда	bend
банда	banda
банда	družina
банда	bande
конкуренция	takmičenje
чудо	čudo
чудо	miracle
кобург	coburg
багдад	bagdad
променено	promijenio
променено	promijenila
променено	promijenjen
променено	izmijenio
променено	modificirana
променено	modifikovan
чума	kuge
чума	kuga
борд	odbor
консумация	potrošnja
консумация	potrošnju
дракон	zmaj
дракон	dragon
посочен	navedena
лук	luk
младежта	omladina
крилете	krila
крилете	krilima
арканзас	arkansas
електричество	elektricitet
електричество	električna
електричество	električni
институти	instituta
привилегии	privilegija
привилегии	privilegije
седмицата	sedmica
хюсеин	husein
хюсеин	hussain
хюсеин	husein
батман	batman
чужденци	strancima
чужденци	stranaca
кафяв	brown
вселенски	ekumenski
включено	omogućena
включено	omogućio
включено	uključivala
включено	uključena
пръстените	prstenovi
напредък	napredak
вековете	vijekova
вековете	vijekovima
рейчъл	rachel
роуз	ruža
увреждания	disabled
увреждания	invalidnost
съществена	suštinska
съществена	osnovni
колинс	collins
дарвин	darwin
информатика	informatika
братислава	bratislava
снаряди	projektila
снаряди	granate
снаряди	granata
нели	nelly
нели	nellie
недоволство	nezadovoljstvo
недоволство	nezadovoljstvo
отмъщение	osveta
отмъщение	osvetu
отмъщение	osveta
отмъщение	osvete
повреди	štetu
повреди	oštećenja
повреди	štete
повреди	oštećenje
милена	milena
президентски	predsjednički
любима	miljenici
екипировка	oprema
депутатите	poslanici
