सोन	아들
अवरोधित	차단되었습니다
आत्मविश्वास	자신감
आत्मविश्वास	확신
आत्मविश्वास	신뢰
आत्मविश्वास	자신감
कुपोषण	영양실조
लापता	실종
लापता	누락
लापता	missing
कंटेनर	용기
कंटेनर	컨테이너
राई	rai
दुश्मनों	적들
वाइड	넓은
वाइड	와이드
वाइड	넓이
फर्नीचर	가구
वारिस	상속인
वारिस	상속
वारिस	상속자
वारिस	상속인
वारिस	상속
वारिस	상속자들
परिवर्तनशील	변광성
परिवर्तनशील	변수
मच्छर	모기
ग्रांट	그랜트
मैग्नीशियम	마그네슘
सनी	써니
सनी	화창한
सनी	맑음
प्लेटफॉर्म	플랫폼
घुस	침투
भावुक	감정
भावुक	센티멘탈
घोटाला	스캔들
घोटाला	사기
मिस्री	이집트
मिस्री	이집트어
ईर्ष्या	질투
ईर्ष्या	질투
मेडल	메달
जैज़	재즈
गायकों	노래
बैच	배치
बैच	일괄
किनारा	국경
किनारा	경계선
किनारा	엣지
किनारा	모서리
किनारा	edge
किनारा	국경
किनारा	경계
किनारा	경계선
किनारा	테두리
किनारा	측면
फ्रेड	프레드
बुर्ज	타워
पियरे	피에르
वुड	나무
वुड	우드
वुड	목재
बंदरगाहों	항구
बंदरगाहों	포트
अलेक्जेंडर	알렉산드르
अलेक्जेंडर	알렉산더르
अलेक्जेंडर	알렉산더
वर्षगांठ	기념일
वर्षगांठ	기념일
क्योटो	교토
मटर	완두콩
आर्किटेक्चर	아키텍처
आर्किटेक्चर	건축학
आर्किटेक्चर	건축
फैक्ट्री	공장
फैक्ट्री	팩토리
वॉर्स	전쟁
ओंटारियो	온타리오
वायरल	바이러스성
एडवेंचर	어드벤처
एडवेंचर	모험
अनुग्रह	그레이스
अनुग्रह	은혜
स्टीवर्ट	스튜어트
गिल्ड	길드
डेविडसन	데이비드슨
कूपर	쿠퍼
कैरोलिना	카롤리나
कैरोलिना	캐롤라이나
प्लान	플랜
प्लान	계획
माफी	사과
माफी	용서
व्लादिमीर	블라디미르
दंगों	폭동
दौलत	재산
बर्गर	햄버거
बर्गर	버거
बर्गर	햄버거
बर्गर	버거
बेहोश	무의식
बेहोश	기절
वर्ड	워드
वर्ड	word
वर्ड	단어
प्रभार	청구
प्रभार	충전
प्रभार	전하
म्यांमार	미얀마어
म्यांमार	미얀마
मार्गरेट	마거릿
मार्गरेट	마르그리트
जुलूस	행진
जुलूस	행렬
बांसुरी	플룻
बांसुरी	플루트
दिशानिर्देश	방향
दिशानिर्देश	가이드라인
दिशानिर्देश	지침
बधाई	축하드립니다
बधाई	축하합니다
बधाई	인사
बधाई	축하해
हॉस्पिटल	병원
त्यागपत्र	사직
नीलम	사파이어
जलसन्धि	해협
उठी	길러
पोर्टेबल	포터블
पोर्टेबल	휴대
पोर्टेबल	휴대용
स्विंग	스윙스
स्विंग	스윙
जेड	제이드
हार्बर	항구
हार्बर	항만
टिप्पणियाँ	댓글
प्रिंटर	프린터
प्रिंटर	프린터
सिनसिनाटी	신시내티
फुल	가득
अनिश्चितता	불확실
अनिश्चितता	불확정성
आंद्रे	안드레
पापुआ	파푸아
सीआईडी	cid
विषयवस्तु	콘텐츠
विषयवस्तु	컨텐츠
विषयवस्तु	내용
विषयवस्तु	주제
विषयवस्तु	테마
विषयवस्तु	목차
विषयवस्तु	콘텐츠
विषयवस्तु	내용
सूरीनाम	수리남
फोर्ब्स	포브스
एजेंटों	에이전트
प्रेमियों	연인
प्रेमियों	연인들
विलीन	용해
हथेली	손바닥
हथेली	palm
दाग	얼룩
दाग	얼룩
बर्मिंघम	버밍엄
गुस्से	분노
गुस्से	pda
आर्यन	아리아인
ढलान	경사
लगन	헌신
चाकू	나이프
परिवर्तनीय	변광성
परिवर्तनीय	변수
परिवर्तनीय	변수
मज्जा	골수
निर्दोष	무죄
निर्दोष	innocent
महायान	대승불교
लीबिया	리비아
उज़बेक	우즈베키스탄
उज़बेक	우즈베크어
पिछला	마지막
पिछला	라스트
पिछला	이전
घुड़सवार	승마
प्रसाधन	변기
प्रसाधन	화장실
प्रसाधन	자원
प्रसाधन	리소스
ईमानदार	성실
ईमानदार	정직한
ईमानदार	솔직한
ईमानदार	정직하게
ईमानदार	정직
जोस	조제
मल्टी	멀티
अंकीय	숫자
अंकीय	숫자
लड़ी	스레드
लड़ी	대화
अहसास	느낌이
अहसास	기분
अहसास	느낌
अस्थाई	임시
अस्थाई	일시적
तबाह	폐허
योद्धाओं	전사
योद्धाओं	워리어스
कलाकृति	걸작
कलाकृति	아트워크
कलाकृति	삽화
कलाकृति	예술작품
नाइजीरिया	나이지리아
मिसिसिपी	미시시피
थ्रिलर	thriller
थ्रिलर	스릴러
अंतरजाल	인터넷
रहो	머무르지
रहो	머물러
रहो	숙박
रहो	머무르고
अतिक्रमण	침입
ट्रैकिंग	트래킹
ट्रैकिंग	추적
अब्बास	압바스
अब्बास	아바스
पोस्टर	포스터
पोस्टर	포스터
छात्रावास	기숙사
वंशजों	후예
उंगलियों	손가락
सभाओं	어셈블리
चॉकलेट	초콜릿
चॉकलेट	초콜릿
चॉकलेट	초콜렛
राइफल	소총
मेक	make
बल्ले	bat
बल्ले	박쥐
स्थलाकृति	지형학
उछाल	바운스
सुन्दरता	아름다움
सुन्दरता	미녀
सुन्दरता	미용
सुन्दरता	미모
सुन्दरता	미인
जबड़े	조스
सर्वनाम	대명사
सर्वनाम	성별
शेल	껍질
सू	sue
सू	고소
सू	수어
रसोई	부엌
रसोई	주방
वाक	연설
वाक	음성
चिकित्सालय	병원
फंस	갇힌
फंस	갇혀있는
फंस	갇혀
चट्टानें	바위
चतुर	영리한
चतुर	영리
अस्वीकृत	거절
अस्वीकृत	거부
परिवर्तक	교환기
परिवर्तक	변환기
परिवर्तक	컨버터
किराया	운임
किराया	임대료
किराया	월세
किराया	임대
किराया	렌트
खिलौने	장난감
रिपोर्टिंग	신고
रिपोर्टिंग	보고서
रिपोर्टिंग	보고
नैनो	나노
चुनावी	선거
प्लेग	전염병
प्लेग	흑사병
प्लेग	페스트
अज्ञान	무지
आर्द्र	습작
आर्द्र	습윤
आर्द्र	습기
नबी	예언자
परी	페어리
परी	천사
परी	엔젤
कीचड़	mud
कीचड़	머드
कीचड़	진흙
न्यूर्क	뉴어크
स्नायु	인대
छुपा	숨김
छुपा	숨겨져
छुपा	숨겨진
छुपा	숨기기
डिफ़ॉल्ट	기본값
डिफ़ॉल्ट	기본
ड्राफ्ट	초안
ड्राफ्ट	드래프트
ड्राफ्ट	임시
राइस	라이스
रेफरी	심판
साहसी	모험
ताज़ा	신선
ताज़ा	신선한
ताज़ा	상쾌한
उपेक्षित	무시
ज़िंदगी	생명
ज़िंदगी	생활
ज़िंदगी	라이프
ज़िंदगी	인생
पेशेवरों	전문가
धूमकेतु	혜성
कॉनकॉर्ड	콩코드
मिश्रधातु	합금
आइटम	상품
आइटम	항목
आइटम	품목
आइटम	아이템
आइटम	항목
आइटम	품목
आइटम	아이템
वेदना	우울
जीमेल	gmail
फॉर्मेट	형식
फॉर्मेट	포맷
फॉर्मेट	형식으로
फेस	얼굴
फेस	얼굴이
पांव	발발
झगड़ा	싸움
मीट्रिक	지표
मीट्रिक	지표
बांग्लादेशी	방글라데시
बांग्लादेशी	방글라데시
डिज़ाइनर	디자이너는
डिज़ाइनर	설계자
डिज़ाइनर	디자이너
डिज़ाइनर	디자이너가
क्रीड़ा	스포츠
एकाग्रता	농도
एकाग्रता	농도
ईकाई	유닛
ईकाई	unit
ईकाई	단위
भतीजे	조카
कुंभ	물병자리
संभाव्यता	확률
संभाव्यता	확률론
दंगे	폭동
अपर	윗쪽
अपर	상위
मेरिल	메릴
संकेतक	커서
संकेतक	포인터
संकेतक	포인터
स्पष्टता	명확성
बेंज	벤츠
तंजानिया	탄자니아
गोल्डबर्ग	골드버그
एडी	에디
एडी	아디
नहरों	운하
नहरों	운하
पिस्तौल	권총
पिस्तौल	피스톨
विभेदन	해상도
विभेदन	결의
गुफाएं	동굴
सूक्ष्मजैविकी	미생물학
उज़्बेकिस्तान	우즈베키스탄
सीरियल	나이지리아
सीरियल	직렬
सीरियल	시리얼
सीरियल	알제리
कास्ट	깁스
कास्ट	캐스트
कास्ट	캐스팅
ठहरने	거주가능성
झटका	충격
झटका	쇼크
कैदी	포로
कैदी	죄수
साओ	sao
विंडो	창문
कैश	캐시
केंट	켄트
इराकी	이라크
इराकी	이라크
अराजकता	혼란
अराजकता	혼돈
अराजकता	카오스
मेटा	메타
सिग्मा	시그마
आजीविका	경력
आजीविका	직업
आजीविका	커리어
आजीविका	생계
फायदे	혜택
फायदे	이득
नवीकरण	갱신
नाममात्र	명목
मल्टीमीडिया	멀티미디어
ग्लेशियर	빙하
निरोध	콘돔
प्रतिबंधों	제재
मैराथन	마라톤
पोटेशियम	칼륨
डेविल	악마
स्क्रीनिंग	상영
स्क्रीनिंग	시사회
टर्बाइन	터빈
उत्साही	열정
कार्यशील	달리기
कार्यशील	런닝
किंवदंती	전설
किंवदंती	레전드
लाओस	라오스
साइप्रस	키프로스
गाढ़ा	굵게
गाढ़ा	굵은
गाढ़ा	대담
एंथोनी	안토니우스
एंथोनी	앤서니
बाग़	과수원
बाग़	과수원
कुण्डली	별자리
बीयर	맥주
ड्राइविंग	드라이빙
ड्राइविंग	운전
वेनेजुएला	베네수엘라
जीनों	유전자
बोनस	보너스
बोनस	보너스
थाना	교도소
थाना	감옥
पिक्सेल	픽셀
पिक्सेल	픽셀
लॉयड	로이드
ब्रेट	브렛
हीट	더위
हीट	히트
सुनहरा	황금
सुनहरा	골든
सुनहरा	골드
सुनहरा	황금
नमाज़	기도
बैंडविड्थ	대역폭
शौचालय	변기
शौचालय	화장실
पर्सनल	개인적
पर्सनल	개인적인
पर्सनल	개인용
पर्सनल	개인
पहिया	바퀴
पहिया	타이어
मेगाडेथ	메가데스
लोकल	로컬
लोकल	현지
मस्जिदों	모스크
मस्जिदों	사원
मस्जिदों	모스크
डेयरी	낙농
प्रतिरूपण	복제
जावास्क्रिप्ट	javascript
जावास्क्रिप्ट	자바스크립트
छू	touch
छू	터치
पंक्तियाँ	라인
ट्रेक	트렉
जेफ	제프
जेफ	jeff
मददगार	구원자
मददगार	도우미
मद	상품
मद	항목
मद	품목
मद	아이템
मद	항목
मद	품목
मद	아이템
मिशनरी	선교사
बियोवुल्फ़	베오울프
पिताजी	아빠
संधारित्र	축전기
सबवे	지하철
चोटियों	봉우리
रनर	달리기
जेसन	제이슨
घेराबंदी	포위전
क्रोएशिया	크로아티아
क्रोएशिया	크로아티아인
आरा	ara
आरा	아라
कल्याणकारी	원인
सेटिंग	설정
सेटिंग	설정
नीरो	nero
उस्मानी	오스만
ग्लासगो	글래스고
आंखें	눈빛
परिसंचरण	순환
ताश	카드
सजावटी	장식
प्रेषण	변속기
प्रेषण	전송
प्रेषण	디스패치
एमिली	emily
एमिली	에밀리
पोलियो	소아마비
लिथियम	리튬
बॉयल	보일
पालक	시금치
फैमिली	가족
फैमिली	가족과
फैमिली	패밀리
बॉक्सिंग	복싱
हिरन	사슴
चैपल	채플
चैपल	예배당
ज्योतिषी	점성술
मध्यस्थ	중재
मध्यस्थ	중재자
अभिभावक	부모
अभिभावक	부모님
अभिभावक	부모
अभिभावक	부모님
फ्लैट	평평한
फ्लैट	플랫
बौद्धों	불교
शील्ड	방패
चीड़	소나무
चीड़	파인
आइवी	아이비
गार्डनर	가드너
तोड़कर	깨짐
तोड़कर	브레이킹
हस्तशिल्प	공예
चुंबक	자석
मॉन्ट्रियल	몬트리올
हेलो	여보세요
हेलो	헬로
हेलो	hello
कोका	코카인
रॉड	로드
रॉड	지팡이
निरस्त	취소
बुद्धिमत्ता	지능
बुद्धिमत्ता	지혜
नर्स	간호사
नर्स	간호
नर्स	간호사
नर्स	간호
उठती	라이징
इकट्ठे	조립
नार्वे	노르웨이
धैर्य	인내심
धैर्य	인내
उत्पादकों	프로듀서
त्रिनिदाद	트리니다드
मौतों	죽음
निराकरण	해결
सुपरहीरो	슈퍼히어로
कोल्ड	춥다
कोल्ड	감기
कोल्ड	추위
कोल्ड	차가운
कै	카이
प्रकार्य	함수
शरणार्थी	난민
शरणार्थी	피난민
शरणार्थी	난민
गुंजाइश	범위
गुंजाइश	스코프
धीमे	느린
धीमे	느려
धीमे	느리게
धीमे	천천히
दानों	발진
दानों	발진이
समोआ	사모아
सममिति	대칭
अनमोल	소중한
कैस्पियन	카스피
कक्षों	챔버스
स्पार्टा	스파르타
रिमोट	리모콘
रिमोट	원격
रिमोट	리모컨
आत्माओं	스피릿
आत्माओं	정신
आत्माओं	스피리츠
खुशबू	향기
त्रिशूल	트라이던트
इनाम	상금
जिन्दगी	생명
जिन्दगी	생활
जिन्दगी	라이프
जिन्दगी	인생
गरमी	더위
गरमी	히트
नोड	노드
नोड	노드
पूर्वाग्रह	편견
पूर्वाग्रह	편향
पूर्वाग्रह	편견
जैकेट	자켓
जैकेट	재킷
अफवाह	소문
उत्सुक	궁금해
प्रिंटिंग	프린팅
प्रिंटिंग	인쇄
प्रिंटिंग	프린터
टैबलेट	알약
टैबलेट	태블릿
चैरिटी	자선단체
चैरिटी	자선
शिविरों	캠프
टैंगो	탱고
न्यूकैसल	뉴캐슬
केट	kate
केट	케이트
पांचवां	fifth
पांचवां	다섯번째
प्रयोगकर्ता	사용자
ब्रेकिंग	깨짐
ब्रेकिंग	브레이킹
मोनिका	모니카
ग्रेस	그레이스
ग्रेस	은혜
चोटों	부상
मैजिक	마술
मैजिक	마법
मैजिक	magic
मैजिक	매직
रॉकी	록키
रॉकी	로키
चुम्बक	자석
रयान	라이언
जुताई	경작
एडिडास	아디다스
एथलेटिक	애슬레틱
नेविगेशन	탐색
शिश्न	성기
शिश्न	음경
फ़ौज	육군
फ़ौज	군대
पागलपन	광기
युआन	위안
रोमांच	스릴
सूख	건조
सूख	드라이
दिग्गज	자이언츠
दिग्गज	자이언트
दिग्गज	베테랑
इजाजत	권한
इजाजत	허가
इजाजत	허락
सगाई	약혼
सगाई	참여
सगाई	약혼
अन्तराल	띄어쓰기
अन्तराल	간격
अटलांटा	애틀랜타
अटलांटा	아틀란타
अटलांटा	애틀란타
मैडिसन	매디슨
पैराशूट	낙하산
अविवाहित	미혼
खरगोश	토끼
खरगोश	토끼
मेज़बान	주최
मेज़बान	호스트
तकलीफ	불편함
तकलीफ	불행
मृतक	사망
कैट	고양이
वीरों	영웅
वीरों	히어로
वीरों	히어로즈
लिफ्ट	상승
लिफ्ट	승강기
लिफ्ट	리프트
लिफ्ट	엘레베이터
लिफ्ट	엘리베이터
लिफ्ट	승강기
सिंथेटिक	합성
समझौतों	협약
समझौतों	협정
बैरल	배럴
अन्वेषक	탐정
मूर्ख	바보
मूर्ख	멍청이
मूर्ख	바보
मूर्ख	멍청한
कोडिंग	부호화
अविश्वसनीय	놀라운
कर्षण	견인
इम्पीरियल	임페리얼
वहा	거기
वहा	거기에
घोषणापत्र	선언
घोषणापत्र	매니페스토
घोषणापत्र	성명서
रेट	평가
रेट	비율
सत्रह	열일곱
सत्रह	세븐틴
मक्खी	날아라
मक्खी	플라이
कॉन्सर्ट	연주회
कॉन्सर्ट	콘서트
कॉन्सर्ट	연주회
कॉन्सर्ट	콘서트
छायांकन	셰이딩
छायांकन	사진
छायांकन	사진술
छायांकन	절약
छायांकन	저장
कॉर्नेल	코넬
टेनेसी	테네시
नजारा	경치
मधुमक्खी	벌벌
मधुमक्खी	꿀벌
टिप्पणियां	댓글
गुलामी	노예제도
गुलामी	노예제
सरलीकृत	간체
गोआ	고아
प्रलेखन	설명서
प्रलेखन	문서
संकेतन	표기법
संकेतन	표기
घटी	줄이기
घटी	감소
पक्षपात	차별
इजरायल	이스라엘
इजरायल	이스라엘인
गेंदबाज़ी	볼링
आबू	abu
अनुरक्षण	호위
डीलर	딜러
डीलर	딜러
मीठी	달콤한
ब्रॉडवे	브로드웨이
जिगर	간간
जिगर	간디
अंगोला	앙골라
अंगोला	몽골
एक्सटेंशन	확장자
एक्सटेंशन	확장
एक्सटेंशन	연장
एक्सटेंशन	확장자
एक्सटेंशन	확대
गोथिक	고딕
ऐंठन	경련
केसर	사프란
दस्ते	분대
दस्ते	스쿼드
आयोडीन	아이오딘
परावर्तन	반영
परावर्तन	반영
परावर्तन	반사
छानबीन	조사
छानबीन	수사
छानबीन	탐험
छानबीन	탐사
नीतियां	정책
मॉरिस	모리셔스
मॉरिस	모리스
त्रासदी	비극
सीन	장면
सीन	현장
कैफे	카페인
नींबू	레몬
नींबू	레몬
हडसन	허드슨
धावक	달리기
मार्क्सवाद	마르크스주의
बर्न	베른
बर्न	굽기
बर्न	화상
इंडेक्स	색인
इंडेक्स	인덱스
तेंदुआ	레오파르트
तेंदुआ	표범
अनुशंसा	추천합니다
अनुशंसा	추천
निरर्थक	무의미하다
निरर्थक	null
अमान्य	오류
झगड़े	파이트
होड़	러쉬
निरोधक	피임
निरोधक	피임약
बाल्टिक	발트
देयता	책임
पोते	손자
अमेज़न	아마존
एसएमएस	sms
वैंकूवर	밴쿠버
खेलकूद	스포츠
प्यास	목마른
प्यास	갈증
दृष्टांत	인스턴스
पीलिया	황달
कीथ	키스
एडमंड	에드먼드
छुट्टियों	휴일
छुट्टियों	연휴
छुट्टियों	공휴일
छुट्टियों	명절
डिप्टी	부관
डेटिंग	연애
डेटिंग	데이트
कपडे	의류
कपडे	옷이
सोयाबीन	대두
एनबीए	nbc
एनबीए	nba
असत्य	허위
असत्य	언리얼
चर्चिल	처칠
खजाना	대박
खजाना	보물
आइंस्टीन	아인슈타인
गिब्सन	깁슨
सुझाया	추천
निर्वासन	망명
निर्वासन	exile
नोटिस	공지
महोदय	sir
महोदय	선생님
सीनेटर	상원
सीनेटर	상원의원
सुरक्षात्मक	보호
दलाल	중개인
दलाल	브로커
आईपीएल	ipl
स्पिरिट	스피리츠
स्पिरिट	스피릿
स्पिरिट	정신
पार्कर	파커
बारबरा	바바라
एटीएम	atm
प्रवचन	담화
प्रायोजन	스폰서
ड्राइंग	그리기
चुप	침묵
दिवालिया	파산
दिवालिया	파산
बाल्यकाल	어릴적
बाल्यकाल	어린시절
द्रुत	급속
द्रुत	급속한
ज़िम्मेदारी	책임
ज़िम्मेदारी	책임감
सावन	계절풍
छोड़ो	종료
छोड़ो	끝내기
यूनानियों	그리스인
यूनानियों	그리스
प्रिंसटन	프린스턴
मालदीव	몰디브
डिस्कवरी	디스커버리
डिस्कवरी	발견
सत्यापित	확인됨
सत्यापित	자격증
सत्यापित	검증
सत्यापित	확인
सत्यापित	인증
बाइक	자전거
बाइक	자전거
राबर्ट	로버트
डीज़ल	디젤
बाज़ारों	시장
फिशर	피셔
विम्बलडन	윔블던
गुस्सा	분노
गुस्सा	앵그리
गुस्सा	화나
गुस्सा	화난
गुस्सा	화가
सीढ़ियों	계단
रस्म	의식
खरीदे	구매
त्वरक	가속기
त्वरक	가속기
धात्विक	금속
पहलवानों	레슬링
घाना	가나
कैप	cap
जनम	출생
जनम	탄생
जनम	출산
कनेक्टिकट	코네티컷
क्रोम	chrome
क्रोम	크롬
रोनाल्डो	호날두
विंडसर	윈저
ऑफ़िस	사무소
ऑफ़िस	사무실
ऑफ़िस	오피스
तुर्कों	터키
तुर्कों	칠면조
प्लेस्टेशन	플레이스테이션
सहकर्मी	동료
सहकर्मी	동료들
सहकर्मी	동료
माइक्रोसॉफ़्ट	마이크로소프트
ट्रिगर	트리거
हत्यारे	암살
हत्यारे	암살자
हत्यारे	킬러
हत्यारे	킬러스
हत्यारे	살인범
हत्यारे	암살자
हत्यारे	암살단
हत्यारे	암살
विनम्र	겸손
विनम्र	겸손한
विनम्र	예의
ध्वनिक	어쿠스틱
ध्वनिक	구축함
मशीनरी	기계
इलेक्ट्रानिक	전자
इलेक्ट्रानिक	일렉트로닉
मिनियापोलिस	미니애폴리스
कट्टरपंथी	급진주의
डायना	diana
टॉमी	토미
मिल्क	우유
मिल्क	밀크
व्हील	바퀴
ग्रेनाइट	화강암
माथे	이마
माथे	이마
डुनेडिन	더니든
पत्ता	나뭇잎
पत्ता	리프
इस्तांबुल	이스탄불
जार	항아리
जार	항아리
लैरी	래리
सिंडरेला	신데렐라
अफीम	아편
स्वीट	달콤한
स्मैकडाउन	스맥다운
खूनी	블러디
नफरत	증오
नफरत	혐오
त्रैमासिक	분기
एंटोनियो	안토니오
नाई	이발
नाई	이발사
लम्बवत	수직
ऑडिशन	오디션
सिलाई	바느질
सिलाई	스티치
सज्जन	신사
प्रचुरता	풍성한
ताई	태극권
ताई	타이
ब्लैकबेरी	블랙베리
कारा	카라
कारा	kara
कारा	카라라
दोलन	진동
टाइटन	타이탄
टाइटन	티탄
अव्यवस्था	혼란
अव्यवस्था	혼돈
अव्यवस्था	카오스
निवारक	예방
मदीना	메디나
मदीना	메디나
हटाएँ	삭제
हटाएँ	지우기
हटाएँ	제거
हटाएँ	삭제하기
हटाएँ	삭제
हटाएँ	지우기
हटाएँ	삭제하기
खमीर	효모
विच्छेद	해산
विच्छेद	세브란스
नाच	댄스
नाच	무용
बाल्टीमोर	볼티모어
लचीलापन	유연성
स्केटिंग	스케이팅
स्केटिंग	스케이트
कलेक्टर	컬렉터
कलेक्टर	콜렉터
शैलियाँ	스타일스
शैलियाँ	스타일
शैलियाँ	장르
लालच	욕심
लालच	탐욕
मेरु	수미
पुलों	브리지스
पुलों	다리
पुलों	브리지
पुलों	브릿지
मिडिया	미디어
केयर	아낀다
केयर	케어
कर्ट	커트
कर्ट	쿠르트
छतरी	우산
फीस	수수료
कतर	카타르
लकी	럭키
लकी	행운
रैम	ram
अभिनेत्रियों	여배우들
अभिनेत्रियों	여배우
गौरैया	참새
गौरैया	스패로
गौरैया	참새목
वांछनीय	바람직
वांछनीय	바람직해
वांछनीय	바람직한
मकानों	주택
भेजना	보냅니다
फ़िल्टर	필터링
फ़िल्टर	필터
फ़िल्टर	필터
कीड़ों	보름
कीड़ों	지렁이
कीड़ों	보름스
स्कैनर	스캐너
प्रतिशोध	복수
प्रतिशोध	보복
पार्किंग	주차장
पार्किंग	주차
नशा	쩔어
लचीला	융통성
सफ़ाई	청소
सफ़ाई	클리닝
कोलेजन	콜라겐
बर्टन	버튼
पुतिन	푸틴
ज़िम्मेदार	책임
ज़िम्मेदार	책임감
कार्यस्थल	직장
कार्यस्थल	직장
अविश्वास	불신
पर्दा	커튼
बाट	바트
टच	touch
टच	터치
तोपों	대포
तोपों	캐넌포
तोपों	캐논
सिल्क	명주
सिल्क	실크
सिल्क	비단
अक्षमता	장애
अक्षमता	장애인
ईगल	독수리
ईगल	이글
वारंटी	보증
होमर	호머
मुबारक	해피
मुबारक	행복
मुबारक	행복해
मुबारक	행복하다
मुबारक	행복한
विंड	바람
आश्वस्त	자신감
आश्वस्त	확신
हैंक्स	행크스
आकृतियाँ	모양
सुलतान	술탄
बदतर	악화
पशुधन	가축
आदी	중독
लार्वा	라바
सेलुलर	셀룰러
बहरीन	바레인
गाजर	당근
गाजर	당근
उरुग्वे	우루과이
न्यायशास्त्र	법학
निराशाजनक	실망
मैकबेथ	맥베스
ट्रिनिटी	트리니티
ट्रिनिटी	삼위일체
हैट	모자
चाइल्ड	아이유
शीला	쉴라
चमगादड़	bat
चमगादड़	박쥐
तेजस्वी	놀라운
प्रोग्रामर	프로그래머
मसौदा	초안
मसौदा	드래프트
मसौदा	임시
मसौदा	임시
हेयर	머리카락
हेयर	머리
हेयर	머리카락이
बर्ताव	행동
बर्ताव	행동
बर्ताव	동작
बर्ताव	행위
होप	희망
स्काइप	스카이프
गलियों	거리
गलियों	길거리
शरणार्थियों	난민
शस्त्रों	무기
हस्ती	연예인
कुम्भ	물병자리
प्राधिकार	당국
प्राधिकार	특권
प्राधिकार	권위
रोज़गार	고용
मोंटे	몬테
तांबा	구리
फली	pod
सलाम	피스
सलाम	peace
सलाम	평화
सलाम	경례
क्वींसलैंड	퀸즐랜드
टॉड	두꺼비
मरियम	메리
मरियम	마리아
ओहियो	오하이오
उंगली	핑거
उंगली	손가락
शिक्षाओं	가르침
पलक	눈꺼풀
डब्ल्यूडब्ल्यूई	wwe
लिथुआनिया	리투아니아
शहीदों	순교자
फ्लेमिंग	플레밍
मेट्रिक्स	지표
मेट्रिक्स	매트릭스
मेट्रिक्स	행렬
कार्यशाला	워크샵
कार्यशाला	워크숍
मैक्सवेल	맥스웰
कॉर्न	옥수수
बकिंघम	버킹엄
मापक	통치자
मापक	스케일
मापक	축척
मापक	척도
मापक	규모
गैलापागोस	갈라파고스
अनाथ	고아
अनाथ	고아
अनाथ	고립
टूटी	깨짐
टूटी	부러진
टूटी	깨진
जनसांख्यिकी	인구조사
जनसांख्यिकी	인구순
जनसांख्यिकी	인구
अपरिहार्य	불가피한
अपरिहार्य	불가피
आमंत्रण	초대
आमंत्रण	초대
आमंत्रण	초대
आमंत्रण	초청
आमंत्रण	초대
आमंत्रण	초청
जिम्बाब्वे	짐바브웨
वृद्धावस्था	숙성
वृद्धावस्था	노화
धूसर	회색
धूसर	그레이
धूसर	회색
धूसर	그레이
घाटा	상실
घाटा	손실
आतिथ्य	대접
परिसंघ	연맹
परिसंघ	연방
शटल	셔틀
नंद	nand
कन्वेंशन	조약
कन्वेंशन	협약
कन्वेंशन	컨벤션
सप्लाई	공급
रडार	레이더
पंक	mud
पंक	머드
पंक	진흙
पंक	펑크
चैट	채팅
पदानुक्रम	계층
अल्ताई	알타이
कैम्पस	캠퍼스
संभावनाएं	전망
मिया	mia
मिया	미아
वीटो	거부권
प्रत्याशित	예상
गोंद	접착제
एक्सबॉक्स	엑스박스
शियर्र	시어러
