exteriorul	外側
dieta	ダイエット
dieta	献立
dieta	国会
stralucitoare	発光
stralucitoare	発光
imigranti	移民
carnea	食肉
comunicarea	通信
comunicarea	コミュニケーション
martori	証人
martori	証人
continentul	大陸
lan	lan
lan	イアン
reorganizarea	更生
sci	sci
scriitorii	作家
mayer	メイヤー
unificarea	統一
romantic	ロマンチック
postale	ポスタル
nicole	ニコル
revolte	暴動
owen	オーウェン
owen	オーエン
triple	トリプル
calculul	計算
calculul	算定
africane	アフリカ
gerhard	ゲルハルト
ieri	きのう
ieri	昨日
fericire	ハピネス
fericire	幸福
fericire	幸せ
virgin	処女
virgin	ヴァージン
roi	roi
copiat	複写
premierul	プレミア
fix	フィックス
fix	修正
fix	固定
fix	固定された
periculos	危険
phil	フィル
segment	セグメント
segment	線分
martir	殉教
vinovat	有罪
vinovat	guilty
avantaje	利点
avantaje	長所
raw	raw
calugarii	僧侶
inot	泳ぐ
inot	水泳
inot	泳ぎ
inot	スイミング
inot	競泳
inot	水泳
inot	泳ぐ
inot	水泳
inot	泳ぎ
inot	スイミング
inot	競泳
inot	水泳
blocare	ロック
blocare	錠前
proza	散文
vite	ウシ
interpret	インタプリタ
interpret	通訳
interpret	パフォーマー
interpret	演奏者
piept	乳房
piept	母乳
ong	ngo
ong	ong
presiuni	気圧
presiuni	圧力
presiuni	圧力
consolidarea	強化
consolidarea	併合
six	シックス
six	six
inel	リング
inel	指輪
orar	毎時
orar	時給
orar	日程
orar	スケジュール
orar	時刻表
expusa	露出
respinsa	却下
tatari	タタール
criteriu	基準
criteriu	条件
qing	清国
ursul	クマ
ritual	儀式
ted	テッド
ted	ted
steag	フラグ
steag	国旗
analize	分析
analize	解析
julie	ジュリー
pierd	失う
mecanismul	機構
mecanismul	メカニズム
grosso	グロッソ
gérard	ジェラール
acceptarea	承諾
acceptarea	受入れ
acceptarea	承認
acceptarea	受付
uscate	辛口
uscate	ドライ
uscate	乾燥
intensitate	輝度
intensitate	光度
pierdere	損失
pierdere	喪失
multumit	満足
cutie	ボックス
cutie	カートン
mor	die
mor	死ぬ
mor	瀕死
mor	モル
barbarossa	バルバロッサ
datorata	締切
volumele	ボリューム
volumele	体積
compromis	妥協
etnografie	ethnography
truman	トルーマン
export	輸出
export	エクスポート
acuzatii	告発
acuzatii	告発
acuzatii	被告
delegatia	委任
delegatia	委嘱
procedeu	過程
procedeu	プロセス
sentimentele	気持ち
sentimentele	感情
violoncel	チェロ
paza	セキュリティ
paza	セキュリティー
paza	セキュリティ
paza	セキュリティー
sad	悲しい
sad	sad
matase	シルク
matase	シルク
tatiana	タチアナ
rezolutia	解像度
cazaci	コサック
taie	cut
taie	カット
taie	切り取り
scufundat	埋没
urmari	トラック
mason	メイソン
specialitatea	特製
perfecta	パーフェクト
perfecta	完璧
perfecta	パーフェクト
perfecta	完璧
constructor	builder
école	エコール
img	img
pura	ピュア
pura	純粋
pura	ピュア
pura	純粋
ecologice	生態学
pisa	ピサ
conservatoare	保守
intensitatea	輝度
intensitatea	光度
lacurile	湖沼
crystal	crystal
crystal	結晶
crystal	クリスタル
identifica	識別
identifica	識別
identifica	識別
implicata	連座
maturitate	満期
cabana	コテージ
cabana	chalet
cabana	キャビン
cabana	船室
cabana	キャビン
cabana	船室
subteran	地下
subteran	地下鉄
elita	エリート
elita	エリート
fixa	固定
fixa	固定された
organice	有機
sonata	ソナタ
detaliile	詳細
rect	直腸
islamul	イスラム教
orga	臓器
orga	オルガン
orga	臓器
orga	オルガン
fuge	ジョギング
suna	通話
suna	コール
suna	通話
suna	コール
reconstruit	再建
circulatia	循環
combinatii	組み合わせ
pisica	ネコ
pisica	ねこ
pisica	ネコ
pisica	ねこ
sussex	サセックス
tancurile	戦車
declin	辞退
declin	拒否
declin	却下
dante	ダンテ
suflete	霊魂
porti	ゲイツ
porti	ゲイツ
exclus	除外
integrata	統合
fra	フラ
cruciada	十字軍
cruciada	十字軍
flux	フィード
flux	フロー
flux	流れ
flux	ストリーム
flux	渓流
componentele	コンポーネント
impuna	課す
adalbert	アダルベルト
innsbruck	インスブルック
ziarele	新聞紙
ziarele	新聞
scut	シールド
patrie	家路
patrie	祖国
transmisie	伝送
transmisie	放送
transmisie	配信
transmisie	ブロードキャスト
cavalerii	ナイツ
cavalerii	騎士
practici	練習
eficiente	効率
motoarele	エンジン
hotarare	判断
hotarare	判決
drepte	まっすぐ
drepte	ストレート
divertisment	エンターテイメント
divertisment	娯楽
divertisment	エンターテインメント
kazahstan	カザフスタン
obiceiuri	習慣
obiceiuri	風習
vitamina	ビタミン
cardinalul	基数
cardinalul	枢機卿
radar	レーダー
copac	ツリー
homer	ホーマー
marti	火曜日
marti	火曜日
multimedia	マルチメディア
furat	ストール
rogers	ロジャース
infinit	インフィニット
infinit	無限
infinit	infinity
infinit	無限大
laser	レーザー
proaspat	フレッシュ
proaspat	フレッシュ
rapoarte	レポート
rapoarte	報告
crater	クレーター
pachet	パック
pachet	パッケージ
climatice	気候
mercury	水星
mercury	マーキュリー
mercury	水銀
che	チェ
odessa	オデッサ
posibilitati	可能性
posibilitati	可能性
pasiune	パッション
pasiune	情熱
pasiune	受難
lane	レーン
lane	車線
inlocuitor	置換
supravegherea	監督
supravegherea	監視
pietrele	ストーンズ
flacari	炎上
darmstadt	ダルムシュタット
magda	マグダ
alessandria	アレッサンドリア
speed	速度
speed	スピード
thriller	スリラー
mergand	ウォーキング
mergand	歩行
mergand	歩く
mergand	going
arctic	北極
wind	wind
imprejurimile	周辺
newman	ニューマン
podgorica	ポドゴリツァ
comis	コミット
parametri	パラメータ
parametri	パラメーター
credincios	忠実
frica	恐怖
frica	恐れ
frica	恐怖
frica	恐れ
nantes	ナント
nicolai	ニコライ
dezbateri	ディベート
cuantice	量子
rotterdam	ロッテルダム
corona	コロナ
dortmund	ドルトムント
ingusta	狭い
bonn	ボン
campioni	チャンピオンズ
campioni	チャンピオン
roth	ロート
korlević	korlević
strauss	シュトラウス
intelept	英明
boulogne	ブローニュ
tribut	朝貢
protector	プロテクター
solida	固体
guardian	ガーディアン
guardian	後見人
dalai	ダライ
braille	点字
operatiune	運行
operatiune	作戦
operatiune	運営
operatiune	操作
operatiune	オペレーション
gradini	庭園
editori	エディタ
rudele	親族
rudele	親戚
sentiment	気分
sentiment	フィーリング
kafka	カフカ
audienta	観客
audienta	オーディエンス
audienta	観客
audienta	オーディエンス
lup	ウルフ
lup	オオカミ
audi	アウディ
riga	リガ
remus	レムス
campuri	フィールド
campuri	フィールズ
romantica	ロマンチック
romantica	ロマンチック
costul	費用
costul	原価
costul	コスト
identic	同一
cavalerilor	ナイツ
cavalerilor	騎士
electroni	電子
diviziune	師団
diviziune	ディビジョン
comic	コミック
nebraska	ネブラスカ
eticheta	タグ
eticheta	ラベル
eticheta	ラベル
eticheta	タグ
essex	エセックス
campionate	選手権
amandoua	両方
amandoua	両方
curtis	カーティス
solul	土壌
sweet	スウィート
sweet	甘い
moschee	モスク
vanzarile	販売
vanzarile	売り上げ
vanzarile	セールス
vanzarile	売上
juramantul	宣誓
tisa	イチイ
curaj	ガッツ
curaj	内臓
curaj	勇気
anexata	併合
grace	恩寵
grace	グレース
grace	グレイス
spionaj	スパイ
lanturi	チェイン
chestiuni	問題
fresca	フレスコ
moale	やわらかい
moale	柔らかい
moale	ソフト
expansiunea	膨張
utrecht	ユトレヒト
autobuze	バス
evacuarea	避難
tipurile	種類
expansiune	膨張
sidi	sidi
melbourne	メルボルン
michele	ミケーレ
trans	トランス
vizite	訪問
coca	コカ
rabin	ラビ
rabin	ラビン
norvegiana	ノルウェー
obligatorie	強制
latitudine	緯度
sume	金額
sume	合計
tensiunea	緊張
tensiunea	テンション
tensiunea	電圧
sheriff	シェリフ
democratica	民主主義
masurare	測定
masurare	測定
maiorul	少佐
maiorul	メジャー
maiorul	専攻
steel	スチール
steel	鋼鉄
baie	風呂
baie	浴室
baie	トイレ
baie	風呂
baie	入浴
ruine	廃墟
ruine	遺跡
galileo	ガリレオ
editarea	編集
marimi	サイズ
marimi	サイズ
hussain	フセイン
celulelor	セル
ada	エイダ
ada	ada
mia	mia
mia	ミア
birouri	オフィス
reprezentantul	代理人
grosime	厚い
grosime	太い
sas	sas
racheta	ロケット
racheta	ミサイル
racheta	ロケット
hardware	金物
hardware	ハードウェア
tiger	トラ
tiger	タイガー
incorporat	組み込み
ten	顔色
ten	テン
ten	ten
polo	ポロ
placere	快感
placere	喜び
placere	快楽
placere	快感
placere	喜び
placere	快楽
datorate	締切
combina	組み合わせ
combina	組み合わせ
plaja	ビーチ
plaja	砂浜
plaja	ビーチ
plaja	砂浜
sophia	ソフィア
definirea	定義
definirea	定義
garcía	ガルシア
antrenament	トレーニング
antrenament	講習
antrenament	修行
antrenament	訓練
antrenament	研修
bujor	牡丹
posibilitate	可能性
tokio	東京
castello	カステッロ
cultivate	栽培
salveaza	セーブ
salveaza	保存
salveaza	セーブ
salveaza	保存
supreme	supreme
refuzul	拒否
refuzul	拒絶
add	追加
add	加算
semnele	サイン
experiente	エクスペリエンス
experiente	エクスペリエンス
intelectual	知識人
mongolia	モンゴル
moarta	デッド
balcanice	バルカン
producatorii	プロデューサー
producatorii	製造業者
revizuita	改訂
guatemala	グアテマラ
opusa	反対
nevoile	ニーズ
extraterestra	エイリアン
difuzare	放送
difuzare	配信
difuzare	ブロードキャスト
difuzare	普及
elimina	削除
elimina	取り除く
stinga	左側
localnicii	地元
localnicii	地元民
vittorio	ヴィットリオ
vittorio	ヴィットーリオ
metalic	メタル
metalic	金属
verdun	ヴェルダン
veszprém	ヴェスプレーム
maro	褐色
maro	茶色
maro	ブラウン
orion	オライオン
orion	オリオン
bomba	爆弾
bomba	爆弾
dureri	痛み
dureri	疼痛
dureri	ペイン
maritima	海事
opreste	停車駅
murphy	マーフィー
restaurante	レストラン
ipoteze	仮説
ipoteze	仮説
chimia	化学
porturi	ポート
matusa	叔母
matusa	おば
matusa	おばさん
matusa	叔母
matusa	おば
nobilii	貴族
eds	eds
piete	マーケット
manifestare	発現
galaxy	銀河
galaxy	銀河系
mhz	mhz
hochei	ホッケー
hochei	アイスホッケー
avocatul	弁護士
confederatiei	連盟
dal	ダール
permisiune	許可
permisiune	許諾
reggio	レッジョ
salbatic	ワイルド
salbatic	野生
salbatic	サベージ
salbatic	ワイルド
salbatic	野生
salbatic	サベージ
pasaj	通路
pasaj	航路
domiciliu	住所
heroes	ヒーローズ
heroes	heroes
gaeta	ガエータ
extrase	エキス
confuzie	混同
confuzie	混乱
resturi	残り物
resturi	スクラップ
resturi	破片
resturi	瓦礫
oswald	オズワルド
canadiana	カナダ
canadiana	カナディアン
caterina	カテリーナ
caterina	キャサリン
reformele	改革
morrison	モリソン
douasprezece	十二
hampshire	ハンプシャー
maxime	マキシム
nadia	ナディア
ateliere	ワークショップ
mecanicii	力学
beat	酔っぱらい
cititorii	読者
cititorii	リーダー
stocare	ストレージ
sculpturi	彫刻
proteine	タンパク質
proteine	たんぱく質
galerii	ギャラリー
tunel	トンネル
salonic	テッサロニキ
privilegii	特権
mingea	ボール
issn	issn
agnes	アグネス
pelerinaj	巡礼
trimiterea	送信
masculii	オス
soi	品種
soi	バラエティ
soi	変種
detentie	拘禁
detentie	勾留
detentie	留置
detentie	収容
depuse	寄託
kai	kai
kai	カイ
zola	ゾラ
terminand	仕上げ
neobisnuit	珍しい
neobisnuit	珍しい
stabil	安定
ibm	ibm
monarhia	君主制
theodore	テオドール
excelent	優れた
rude	親族
rude	親戚
hannibal	ハンニバル
musca	fly
musca	ハエ
musca	フライ
musca	飛ぶ
musca	噛む
kara	カラ
vecinii	近所
sara	sara
verificarea	検証
verificarea	認証
parametrii	パラメータ
parametrii	パラメーター
pamanturile	土地
iubita	ガールフレンド
iubita	ガールフレンド
iubita	最愛
navigare	航法
navigare	ナビゲーション
navigare	閲覧
navigare	ブラウズ
teresa	テレサ
treisprezece	thirteen
gnu	gnu
elibereaza	釈放
elibereaza	リリース
pasiunea	パッション
pasiunea	情熱
pasiunea	受難
lemnul	木材
lemnul	木製
lemnul	ウッド
chitaristul	ギタリスト
refugiu	避難
sentimentul	気分
sentimentul	フィーリング
dostoievski	ドストエフスキー
bibliografia	参考文献
calificarea	資格
benfica	ベンフィカ
sentimente	気持ち
sentimente	感情
connor	コナー
messina	メッシーナ
emisie	排出
hat	ハット
hat	帽子
edwards	エドワーズ
dificile	難しい
nominala	名目
croce	クローチェ
shanghai	上海市
shanghai	上海
venind	来る
venind	カミング
bea	飲み物
bea	ドリンク
bea	飲む
bea	bea
lagar	camp
lagar	キャンプ
schimbata	変更された
dietrich	ディートリヒ
chinezi	中国語
chinezi	中国人
israelul	イスラエル
peisaje	景色
peisaje	風景
reputatia	評判
periculoase	危険
estetica	美学
estetica	美学
locuinta	住居
artificiale	人工
vecin	隣人
vecin	隣人
vecin	近所
replica	レプリカ
replica	レプリカ
molecule	分子
micro	マイクロ
maya	マヤ
inchide	閉じる
inchide	クローズ
inchide	閉じる
inchide	クローズ
cluburile	クラブ
fondurile	資金
vista	vista
vista	ビスタ
mitul	神話
observate	観測
substantiv	名詞
verb	動詞
selectia	選考
selectia	セレクション
selectia	選択
afacere	ディール
afacere	クーポン
afacere	営業
afacere	事業
afacere	ビジネス
moravia	モラヴィア
optice	光学
bit	ビット
voice	ボイス
voice	音声
peters	ペータース
peters	ピーターズ
uta	うた
afonso	アフォンソ
antarctica	南極大陸
antarctica	南極
antarctica	南極
chei	キー
prietena	ガールフレンド
prietena	ガールフレンド
prietena	友人
prietena	友だち
prietena	フレンド
prietena	友達
fontaine	フォンテーヌ
console	コンソール
culturile	農産物
culturile	作物
dialecte	方言
market	市場
market	マーケット
luciano	ルチアーノ
evitarea	否認
pericolul	危険
mall	モール
clay	クレイ
clay	粘土
underground	地下
underground	地下鉄
eroii	ヒーローズ
eroii	heroes
cancelar	宰相
limite	境界
limite	制限
limite	リミット
limite	限界
sedinta	セッション
theridion	theridion
russo	ルッソ
primirea	レシート
primirea	受領
primirea	受信
sondaj	アンケート
sondaj	調査
sondaj	アンケート
prusac	プロイセン
parteneri	パートナー
cristos	キリスト
intrari	入力
intrari	エントリー
intrari	項目
intrari	エントリ
fanilor	ファン
ceai	お茶
ceai	紅茶
joel	ジョエル
poli	ポリ
loveste	ヒット
loveste	hit
loveste	ヒット
domenico	ドメニコ
clinica	クリニック
clinica	診療所
clinica	クリニック
clinica	診療所
imens	巨大
adaptate	適応
realizarile	実績
realizarile	事跡
realizarile	業績
realizarile	事績
realizarile	功績
interzicerea	禁酒
interzicerea	禁止
interzicerea	禁酒令
atomice	アトミック
atomice	原子
detroit	デトロイト
declaratii	ステートメント
declaratii	ステートメント
gustul	味見
gustul	味覚
miklós	ミクローシュ
candidatul	候補者
candidatul	候補
electricitate	電力
electricitate	電気
imbunatatiri	改良
imbunatatiri	改善
reproducere	繁殖
reproducere	模写
reproducere	生殖
cronologia	年表
indice	索引
indice	インデックス
chan	チャン
lucy	ルーシー
tenor	テナー
obiceiurile	習慣
zum	zum
climat	気候
dezbatere	ディベート
virtutea	美徳
integrala	積分
optic	光学
stravechi	古代
balcanica	バルカン
doom	ドゥーム
angajeaza	雇う
angajeaza	雇う
campaniile	キャンペーン
ninja	忍者
ninja	ニンジャ
ninja	忍者
mainz	マインツ
atelierele	ワークショップ
metan	メタン
monedele	硬貨
monedele	コイン
grame	グラム
inelul	リング
inelul	指輪
kill	キル
kill	kill
kid	キッド
fsn	fsn
imn	聖歌
vincenzo	ヴィンチェンツォ
berna	ベルン
sudan	スーダン
segmente	セグメント
pareri	意見
pareri	ビュー
pareri	意見
cronologie	年表
arn	arn
tub	チューブ
fotomodel	モデル
ambasada	大使館
ambasada	大使館
fosile	化石
fosile	化石
fidel	フィデル
muschi	マッスル
muschi	筋肉
muschi	コケ
muschi	筋肉
muschi	マッスル
muschi	筋肉
minune	マーベル
minune	ミラクル
minune	奇跡
minune	ワンダー
clanul	氏族
verdi	ヴェルディ
aka	aka
albumele	アルバム
doisprezece	十二
galeriile	ギャラリー
rico	リコ
semnatura	署名
semnatura	署名
semnatura	署名
gottfried	ゴットフリート
ruth	ルース
triumf	トライアンフ
geometria	ジオメトリ
geometria	図形
xavier	ザビエル
michelangelo	ミケランジェロ
trio	トリオ
bust	バスト
siegfried	ジークフリート
enumerate	上場
divort	離婚
specializare	特製
pronunta	発音
teodora	テオドラ
creative	クリエイティブ
forever	フォーエバー
odeon	オデオン
formularea	策定
reporter	リポーター
reporter	レポーター
anexat	併合
calvin	カルヴィン
olivier	オリヴィエ
leader	リーダー
coast	海岸
raid	raid
ngc	ngc
lucius	ルシウス
lucius	ルキウス
regizori	取締役
cereri	アプリケーション
cereri	リクエスト
poster	ポスター
messier	メシエ
inteligent	賢い
inteligent	知能
inteligent	知的
inteligent	インテリジェント
inteligent	賢い
inteligent	スマート
moi	moi
moi	やわらかい
moi	柔らかい
moi	ソフト
wikidata	wikidata
int	int
meta	メタ
sidney	シドニー
factorul	ファクター
factorul	因子
factorul	係数
borgo	ボルゴ
costum	コスチューム
costum	仮装
costum	衣装
costum	装束
costum	服飾
costum	スーツ
costum	背広
tesut	ティッシュ
tesut	織物
tesut	ティッシュ
helena	ヘレナ
focuri	ショット
moderat	中道
moderat	そこそこ
kings	キングス
nasir	ナースィル
unix	unix
wiener	ウィーナー
vanduta	落札
bianca	ビアンカ
cererile	リクエスト
gmt	gmt
miercuri	水曜
miercuri	水曜日
orizontala	水平
somn	睡眠
somn	眠る
somn	スリープ
shaw	ショー
shaw	ショウ
bauturi	飲み物
bauturi	飲物
bauturi	飲み物
bauturi	ドリンク
bauturi	飲み物
bauturi	飲物
bauturi	飲み物
bauturi	ドリンク
tito	ティト
farul	灯台
sincer	正直
sincer	正直
ascunsa	隠し
ascunsa	隠し
amedeo	アメデーオ
recuperare	回復
recuperare	リカバリ
recuperare	回収
ist	ist
oglinda	ミラー
oglinda	ミラー
segmentul	セグメント
segmentul	線分
blake	ブレイク
irene	イレーネ
irene	アイリーン
imprejurimi	周辺
imprejurimi	周辺
cutia	ボックス
explorator	エクスプローラー
femela	女性
femela	女性
gest	身振り
gest	ジェスチャー
subiectele	トピック
fuziunea	合併
asociere	社団
asociere	協会
asociere	アソシエーション
imediata	即時
fixat	固定
fixat	固定された
corn	クラクション
corn	ホルン
corn	ホーン
sparta	スパルタ
genera	生成
durerea	痛み
durerea	疼痛
durerea	ペイン
birmingham	バーミンガム
armean	アルメニア
cultivat	栽培
fum	スモーク
helmut	ヘルムート
recuperarea	回復
recuperarea	リカバリ
recuperarea	回収
falsa	false
falsa	虚偽
falsa	フェイク
falsa	false
falsa	虚偽
put	悪臭
reynolds	レイノルズ
comise	コミット
murad	ムラト
calugarul	モンク
pronume	代名詞
civic	シビック
bucurie	joy
bucurie	ジョイ
bucurie	喜び
hopkins	ホプキンス
cbs	cbs
munitie	弾薬
munitie	弾薬
dosar	ファイル
dosar	フォルダ
abordarea	進入
abordarea	アプローチ
abordarea	参道
colle	コッレ
deschid	開く
deschid	オープニング
recasatorit	再婚
intretinerea	メンテナンス
intretinerea	整備
mozaic	モザイク
orlando	オーランドー
orlando	オーランド
orlando	オルランド
tyler	タイラー
numberofadmins	numberofadmins
numberofusers	numberofusers
autobuz	バス
numberofedits	numberofedits
slovaca	スロバキア
masters	マスターズ
activeusers	activeusers
colegul	同僚
harvey	ハービー
harvey	ハーヴィー
harvey	ハーヴェイ
numberofactiveusers	numberofactiveusers
numberofpages	numberofpages
numberofarticles	numberofarticles
numberoffiles	numberoffiles
bombardament	砲撃
bombardament	爆撃
pachetul	パッケージ
ridge	尾根
cleveland	クリーブランド
verifica	チェック
verifica	認証
verifica	検証
verifica	チェック
listclass	listclass
jessica	ジェシカ
musulmanilor	イスラム教
musulmanilor	ムスリム
levi	レビ
liric	抒情
liric	lyrical
absolvire	卒業
vantul	wind
vantul	wind
migratoare	移行
zoe	ゾエ
zoe	ゾーイ
stabila	安定
sopron	ショプロン
reed	リード
abdullah	アブドゥッラー
fraza	フレーズ
fraza	宣告
fraza	センテンス
fraza	文章
fraza	フレーズ
tematica	テーマ
tematica	テーマ
automobil	自動車
aterizare	着陸
aterizare	上陸
dawn	明け方
dawn	夜明け
dawn	ドーン
serioasa	深刻
serioasa	深刻
dijon	ディジョン
razbunare	復讐
razbunare	報復
razbunare	復讐
razbunare	リベンジ
razbunare	復讐
razbunare	報復
razbunare	復讐
razbunare	リベンジ
bijuterii	宝石
bijuterii	ジュエリー
bijuterii	宝石
bijuterii	ジュエリー
hunt	ハント
hunt	狩り
vilnius	ヴィリニュス
court	法廷
court	コート
court	裁判所
cola	コーク
cola	コーラ
cola	コーラ
iuda	ユダ
jeanne	ジャンヌ
metru	メートル
metru	メーター
norte	ノルテ
desenul	図面
desenul	描画
desenul	ドローイング
drapel	フラグ
drapel	国旗
desenele	図面
prototip	プロトタイプ
bismarck	ビスマルク
dansuri	踊り
script	脚本
script	スクリプト
palma	手のひら
palma	ヤシ
palma	パーム
palma	パルマ
palma	平手打ち
optiunea	オプション
chirurg	外科医
numerica	numeric
utype	utype
artileria	大砲
orb	ブラインド
orb	盲人
trofeu	トロフィー
creier	脳みそ
linkuri	リンク
cohen	コーヘン
cohen	コーエン
duet	デュエット
apreciere	鑑賞
africana	アフリカ
ancheta	調査
ancheta	捜査
ancheta	探究
ancheta	照会
ancheta	調査
ancheta	捜査
ancheta	探究
ancheta	照会
biologic	生物
cetatenie	国籍
cetatenie	市民
mesajele	メッセージ
fructele	フルーツ
fructele	果実
fructele	果物
fructele	フルーツ
fructele	果実
fructele	果物
newcastle	ニューカッスル
classic	クラシック
classic	古典
classic	classic
spatiile	スペース
videoclipuri	動画
bear	クマ
facilitati	施設
facilitati	設備
facilitati	施設
facilitati	設備
agrement	レジャー
agrement	余暇
leningrad	レニングラード
argentinian	アルゼンチン
argentinian	アルゼンチン
photo	フォト
photo	写真
agentie	エージェンシー
agentie	代理店
agentie	エージェンシー
agentie	代理店
continentale	コンチネンタル
genetice	遺伝
cincizeci	fifty
antologii	アンソロジー
cerro	セロ
amazon	amazon
amazon	アマゾン
locomotive	機関車
radiatii	放射線
radiatii	放射
radiatii	放射線
radiatii	放射
candidatura	立候補
manfred	マンフレート
crezand	信ずる
crezand	信ずる
simone	シモーネ
simone	シモーヌ
explorer	エクスプローラー
bila	ボール
bila	ボール
accidente	事故
vita	ヴィータ
vita	ビーフ
vita	牛肉
ricardo	リカルド
distrugere	破壊
bucataria	キッチン
bucataria	台所
bucataria	キッチン
bucataria	台所
atom	原子
organica	有機
topuri	tops
topuri	トップス
yoga	ヨガ
orala	口頭
simpson	シンプソン
comenzi	コマンド
comenzi	命令
comenzi	オーダー
comenzi	注文
dima	デミ
misterul	ミステリー
nebun	クレイジー
minimum	最低限
minimum	最低
minimum	最小
taxi	タクシー
sectiunile	セクション
curajul	勇気
formala	フォーマル
wembley	ウェンブリー
intense	激しい
earl	アール
prezentator	司会
expunere	照射
expunere	被曝
expunere	露出
lima	リマ
margine	エッジ
margine	edge
sarpe	ヘビ
sarpe	サーペント
sarpe	ヘビ
sarpe	サーペント
conventie	コンベンション
conventie	大会
calificari	資格
calificari	予選
raspunsuri	レスポンス
raspunsuri	回答
raspunsuri	回答
raspunsuri	返信
raspunsuri	回答
irlandeza	アイリッシュ
magazinul	店舗
magazinul	ストア
sfaturi	tips
sfaturi	ヒント
sfaturi	助言
sfaturi	アドバイス
petrecere	パーティ
petrecere	パーティー
organic	有機
