джим	jim
зведена	reduced
ізер	isère
єжи	jerzy
істоти	creatures
домі	domi
угорська	hungarian
оздоблення	decoration
виверження	eruption
болівії	bolivia
ризику	risking
відвідування	visit
відвідування	visits
дванадцять	twelve
окупація	occupation
патрулювання	patrol
патрулювання	patrolling
друк	print
друк	printing
нуля	scratch
особистість	identity
особистість	personality
лоренцо	lorenzo
люксембургу	luxembourg
дністер	dniester
помітив	noticed
націоналістів	nationalists
закінчили	done
мажор	major
старим	old
пуерто	puerto
використана	used
звичаї	customs
травми	disturbance
травми	injury
травми	trauma
адмін	admin
типові	default
типові	defaults
типові	typical
співака	singer
стрілець	sagittarius
золоте	golden
латвія	latvia
вождь	chieftain
вождь	chief
серйозні	serious
спрямування	delegation
начебто	apparently
присутня	present
померлих	deceased
старт	start
згадував	mentioned
тіні	shadows
тіні	shading
тіні	tini
тан	tang
тан	tan
шекспіра	sonnets
іде	helo
змінено	changed
змінено	modified
рейх	reich
есе	essay
італійською	italian
казка	tale
подати	submit
зруйновано	destroyed
вказати	specify
вказати	define
папір	paper
знаменитий	famous
залізо	iron
відходів	wastes
трофей	trophy
денні	danny
денні	denny
тунісу	tunisia
знищили	destroyed
родичі	siblings
родичі	relatives
рідний	native
бачення	vision
олеся	olesya
іллінойс	illinois
раси	races
казимир	kazimierz
казимир	casimir
білка	squirrel
чоловіча	male
аудіо	audio
розділена	divided
розділена	split
дорослі	adults
дорослі	adult
перевага	favor
перевага	advantage
ширину	width
ширину	breadth
отримано	received
отримано	retrieved
експонатів	exhibits
джонні	johnny
джонні	jonny
сосна	pinus
сосна	pine
танець	dance
орн	orne
барабани	drums
палата	chamber
знищені	destroyed
знищені	annihilated
симфонія	symphony
цікавий	interesting
трагедія	tragic
трагедія	tragedy
бачили	seen
пацієнтів	patients
маргарита	margaret
маргарита	margarita
творець	creator
вигнання	exile
докази	evidence
балки	timbers
побачили	saw
ендр	indre
священики	priests
священики	clergy
закрита	closed
кейт	kate
складність	difficulty
складність	complexity
марс	mars
бтр	btr
зеландія	zealand
промінь	beam
зима	winter
вирішувати	decide
гельсінкі	helsinki
біографічний	biographical
душ	shower
душ	souls
литві	lithuania
вагітності	pregnant
професійні	professional
спільне	joint
спільне	common
можлива	possible
йосиф	iosif
ярмарки	fairs
меншин	minorities
бондаренко	bondarenko
міцність	strength
товщина	width
товщина	thickness
атак	attackers
атак	hacking
піч	stove
піч	furnace
піч	oven
пряма	line
пряма	direct
боки	sides
вказана	pointed
вказана	specified
валюти	currency
валюти	currencies
вагу	weights
вагу	weighing
вагу	weight
випустили	released
відмовилися	abandoned
відмовилися	sisterhood
відмовилися	declined
відмовилися	refused
мостів	bridges
зелене	green
гнізда	slots
гнізда	nests
гнізда	sockets
гнізда	socket
дистриб	distributors
експозиція	exposure
американців	americans
повстанці	rebels
седан	sedan
низька	low
марш	marche
марш	marsh
розробники	developers
лицар	knight
розвиватися	evolve
порода	breed
порода	cattle
порти	ports
додає	adds
вілсон	wilson
нав	obsession
зафіксовано	locked
екземплярів	instances
недавно	recently
раптом	suddenly
кравченко	kravchenko
ефективно	effectively
ефективно	effective
потоки	streams
учасника	member
більшовики	bolsheviks
вокаліст	vocalist
дозволено	permitted
дозволено	allowed
виділено	highlighted
виділено	allocated
додано	added
датою	date
рабів	slaves
постійної	repetitive
злочин	crime
полотно	canvas
пуатьє	poitier
скорочено	short
переворот	coup
допомагають	helping
стокгольм	stockholm
рукопис	manuscript
комерційний	commercial
хроніки	chronicles
автобусів	striking
гарнізон	garrison
матеріально	financially
сьєрра	sierra
апостолів	apostles
оператори	operators
прикраси	jewellery
прикраси	bling
прикраси	ornament
прикраси	jewelry
прикраси	candy
конференцій	conferences
витоків	leak
починаються	starting
екран	screen
стратегія	strategy
економічне	economic
арабських	arab
альманах	almanac
франк	frank
франк	franc
франк	franck
мама	mum
мама	mom
мама	mama
богиня	goddess
публічно	publicly
валовий	gross
псевдо	pseudo
арешт	arrest
підйом	climb
одесса	odessa
кримський	crimea
кримський	crimean
сел	sal
льюїс	lewis
овернь	auvergne
заявки	bids
носити	wear
розширити	widen
розширити	expand
підземні	underground
індустрії	industries
змінили	shifters
змінили	altered
поїздки	trips
передні	front
маяк	lighthouse
магістр	magister
магістр	master
донбас	donbass
вбив	killed
кампанію	campaigning
демонстрації	demos
демонстрації	demonstrations
демонстрації	showcase
прикладу	example
приватний	private
заборони	forbids
заборони	prohibition
бактерії	bacteria
шаром	layer
хроніка	chronicle
яно	jana
кевін	kevin
віллі	willy
віллі	willie
віллі	villy
угод	agreements
високе	high
наполеон	napoleon
космічні	cosmic
торф	peat
марта	marta
марта	martha
розвідка	intelligence
розвідка	reconnaissance
волокна	fiber
волокна	fibers
обрана	destined
обрана	divergent
мез	meuse
мез	mez
перегляд	browse
перегляд	preview
перегляд	view
ведучий	presenter
ведучий	lead
прип	pripyat
процедура	procedure
гамма	gamma
воїни	warriors
небагато	few
важка	hard
щиро	sincerely
щиро	sincere
щиро	affectionately
дипломатичних	diplomatic
композицію	track
норма	norma
норма	norm
продажі	sales
ввести	enter
бур	bourg
бур	boer
бур	drill
визначив	recognized
листування	mailing
складові	ingredients
салон	salon
дівчинка	girl
поступився	lending
спадок	legacy
голландії	holland
піски	sands
виготовлено	manufactured
виготовлено	producer
боєприпасів	ammunition
ферма	farm
ферма	fermat
оперативного	operational
посиланням	link
таємно	secretly
таємно	secret
незалежна	independent
впав	fell
садів	gardens
гектарів	hectares
пауль	paul
шведська	swedish
онук	grandson
кроком	step
імператорів	emperors
точність	precision
точність	fraction
точність	accuracy
прихильником	supporter
зникає	disappears
втт	vtt
вірмени	armenians
іще	else
бангладеш	bangladesh
ворожих	hostile
сприяти	facilitate
експерименти	experiments
поглинання	acquisitions
поглинання	takeover
покажчик	index
давній	ancient
спробувати	try
міграції	migration
продажів	sales
індійський	indian
еміль	emile
еміль	emil
еміль	émile
каменів	stones
вузли	peers
вузли	hosts
вузли	nodes
вогези	vosges
літер	letters
організована	organized
обкладинка	cover
збирати	gather
збирати	collect
бурі	storms
трасі	tracy
сірі	gray
сірі	siri
різниці	difference
розпочати	start
розпочати	initiate
газетах	newspapers
випадає	fertilize
страх	fear
детектив	detective
географічний	geographical
словники	vocabularies
словники	dictionaries
гине	dies
володарі	claim
вбили	killed
такао	takao
службовців	employees
перерви	break
орла	eagle
класична	classical
класична	classic
помирає	dies
гордон	gordon
кроки	steps
поради	advice
поради	tips
арджеш	argeș
віддає	taker
живі	living
послання	epistle
лиман	liman
лиман	estuary
винищувач	blaster
винищувач	fighter
косово	kosovo
землеробства	farming
дуглас	douglass
дуглас	douglas
девіс	davis
девіс	davies
тертя	friction
посуд	dishes
накопичення	hoarding
накопичення	accumulation
папуа	papua
осінь	autumn
осінь	fall
юзеф	józef
рекомендується	recommended
пфальц	palatinate
стандартний	standard
душа	soul
гризунів	rodent
прим	prim
паоло	paolo
ефір	broadcaster
савченко	savchenko
гвинтівки	rifles
гвинтівки	rifle
закрито	closed
алгоритми	algorithms
кіпр	cyprus
виклик	challenge
виклик	call
виклик	defiance
пакистану	pakistan
австралійський	australian
реформування	reforming
вклад	contribution
покриттям	potholes
мозок	brain
гніздо	slot
гніздо	nest
безкоштовно	free
тепло	warm
тепло	warmth
прояви	racist
осло	oslo
принесли	brought
спини	sandy
ботанік	botanist
висотах	altitudes
ріст	growth
дізнатися	learn
передмісті	suburbs
відійшли	broke
кристали	crystals
мартіна	martina
інтерпретації	interpretations
комунікацій	communications
мадонна	madonna
спільну	shared
небезпеку	dangers
саксонія	saxony
пожежа	fire
підвіска	suspension
дехто	some
сумніви	doubting
сумніви	doubts
всеволод	vsevolod
гребля	dam
оснащений	dual
чоловічі	male
купив	bought
політикою	policy
бухарест	bucharest
вибрати	choose
вибрати	select
унікальні	unique
чиновників	officials
оцінити	assess
оцінити	evaluate
оцінити	rate
небезпеки	danger
архіви	archives
статевий	genital
статевий	sexual
передня	anterior
відійшов	away
відійшов	recovered
ісус	jesus
теоретично	theoretically
вчителі	teachers
заявила	declared
однакові	identical
однакові	same
секс	sex
чутки	rumors
чутки	rumours
чутки	rumor
визнала	acknowledged
несуть	carried
крістофер	christopher
методика	technique
пейзаж	landscape
джаз	jazz
уельсу	wales
сантиметрів	centimeters
едді	eddie
едді	eddy
бомби	bombs
закладено	provides
віки	ages
способами	caresses
багата	uptown
німеччину	germany
фасаді	controversial
менеджмент	management
говард	howard
течія	current
течія	flux
робітники	workers
розмови	conversations
розмови	conversation
відмовляється	refuses
відмовляється	declines
бойовиків	militants
біженців	refugee
біженців	refugees
корона	crown
фотографій	photographs
сантьяго	santiago
однаково	equally
пори	pore
змій	snakes
комуністична	communist
тропічні	tropical
етимологія	etymology
преса	press
ціль	objective
ціль	target
добровільно	willingly
добровільно	voluntarily
добровільно	deliberately
добровільно	voluntary
підтримується	supported
пізно	late
вдвічі	doubled
переселенців	movers
переселенців	idps
переселенців	displaced
блакитний	blue
блакитний	cyan
тель	tel
коди	codes
пенсії	retirement
пенсії	pensions
бойове	combat
гурток	circle
моменти	moments
вилча	vâlcea
затемнення	darken
затемнення	eclipse
лавки	benches
наближення	approximation
наближення	impending
трудова	labour
тріо	trio
гагаріна	gagarin
читача	follower
трави	grass
діагностики	diagnostics
еволюція	evolution
інтелектуальної	intellectual
груповий	group
церковної	ecclesiastical
викладає	teaches
амстердам	amsterdam
перебіг	influence
вимагав	demanded
жуків	bugs
рів	reeve
клієнт	customer
клієнт	client
сервіс	service
придбати	purchase
придбати	buy
гвардійська	guards
мінську	minsk
тварина	animal
різдво	nativity
різдво	christmas
декоративні	ornamental
молитви	prayers
проста	simple
собаки	dogs
фантастичний	fantastic
виробника	vendor
студію	studio
царі	magi
реставрація	restoration
проникнення	penetration
проникнення	infiltration
презентація	presentation
французів	cajun
диких	wild
маркса	marx
отриманий	received
отриманий	resulting
ново	novo
бад	bud
обстрілу	shelling
чоловічого	masculine
феодосія	feodosia
перевірка	checking
перевірка	verifying
перевірка	validating
перевірка	verification
перевірка	test
перевірка	validation
заяви	statements
схем	schemes
сидіння	seats
гості	guests
представив	introduced
розбіжності	diff
розбіжності	disagreements
турецька	turkish
міфів	myths
барон	baron
операціях	maneuvers
відправляється	leaving
бруно	bruno
визнає	admits
визнає	recognise
північне	northern
напруга	tension
залишитися	stay
міссурі	missouri
піраміди	pyramids
додавати	add
вектор	vector
братство	fraternity
братство	brotherhood
ланцюг	chain
довів	proved
паспорт	passport
позитивно	positive
позитивно	positively
підродина	subfamily
внутрішнє	internal
внутрішнє	inner
кафедральний	skara
практична	practical
кетрін	kathryn
кетрін	katharine
кетрін	katherine
сау	sau
панель	panel
вихідні	weekend
вихідні	outgoing
массачусетс	massachusetts
лавка	bench
стрічці	feed
настає	breaks
покинули	snatched
оцінкою	rating
зазначає	listed
венесуели	venezuela
шанс	chance
арнольд	arnold
підпілля	underground
евакуації	evacuate
виправлення	corrections
виправлення	correcting
виправлення	fixes
гар	gard
порожнини	maxillofacial
збільшує	increases
збільшує	magnify
гаїті	haiti
заборона	forbidden
заборона	prohibition
пакистан	pakistan
легіон	legion
полотна	canvas
позначають	indicate
механік	mechanic
хронологія	chronology
хронологія	timeline
галицька	galician
вебер	weber
стилів	styles
консультант	consultant
консультант	consulting
жер	gers
багатих	mansions
багатих	wealthy
здатністю	brittle
фінанси	financial
фінанси	finance
фінанси	finances
сталь	steel
шахи	chess
темні	dark
інженери	technicians
інженери	engineers
вюртемберг	württemberg
вивести	output
стандартна	standard
ізраїлі	israel
куба	cuba
соціологія	sociology
ясси	iași
флоренція	florence
шкіра	leather
шкіра	skin
життєпис	timeline
записано	written
записано	recorded
визначений	defined
визначений	definite
поклоніння	worship
комети	comets
щоденник	journal
щоденник	diary
документальні	documentaries
делі	delhi
договорів	deals
сочі	sochi
джорджія	giorgia
римляни	romans
промислова	industrial
вимогою	requirement
схожість	likeness
сейм	sejm
міллер	miller
спільна	joint
бідності	poverty
центрами	centers
правова	legal
феномен	phenomenon
турецький	ottoman
турецький	turkish
союзники	allies
моріс	maurice
сіра	spinner
сіра	grey
симптоми	symptoms
індіанці	indians
присвоєння	assignment
необхідне	required
галактик	galaxies
власна	self
любителів	appreciation
вінніпег	winnipeg
попов	popov
вікон	windows
хребетних	zoology
рівно	steady
старша	elder
старша	older
стани	states
розряд	singles
розряд	discharge
казав	said
казав	told
штурм	sturm
фестивалів	festivals
замінили	replaced
роберто	roberto
шари	layers
кадри	frames
покровський	pokrovsky
цех	guild
максимальний	maximum
нижніх	underlying
площ	retail
нахил	tilt
трупи	corpses
легкі	easy
діалект	dialect
афганістан	afghanistan
хіп	hip
блог	blog
термінології	terminology
проголосували	voted
роджер	roger
інструкції	tutorials
інструкції	instructions
атлетика	athletics
фантастика	fantastic
фантастика	fictional
фантастика	fiction
сорти	variety
процесорів	cpus
зникла	gone
виконавці	resources
виконавці	artists
бульвар	rosewood
бульвар	boulevard
євангеліє	gospel
борець	wrestler
самиць	females
величин	quantities
профспілок	unions
польську	polish
спадкоємець	heir
негативні	negative
сіро	ciro
луцій	lucius
заряд	charge
загроза	menace
загроза	threat
духовна	liturgical
духовна	theological
перегони	race
перегони	racing
глосарій	glossary
молодим	young
регулярні	periodical
демонструє	demonstrates
ходи	moves
монету	coin
кімната	room
альянс	alliance
корпорація	corporation
штук	stuck
мок	mok
кінь	horse
сенат	senate
батьківщина	homeland
батьківщина	fatherland
коробка	box
твердість	hardness
ланка	lanka
запалення	inflammation
поразку	failing
гази	gases
гази	gaza
оцінювання	scoring
оцінювання	evaluation
важливість	importance
важливість	severity
важливість	urgency
виживання	survival
дизель	diesel
недоліків	faults
написала	wrote
багатство	riches
багатство	wealth
винограду	grape
винограду	grapes
судану	sudan
загреб	zagreb
сидить	sitting
персонал	staff
обмежені	limited
мухаммед	mohammad
мухаммед	muhammad
мухаммед	mohammed
мухаммед	muhammed
вищому	premier
обрані	featured
обрані	selected
нафта	oil
нафта	petroleum
сигнали	signals
розділити	fork
розділити	split
сибір	siberia
міркувань	reasoning
міссісіпі	mississippi
конрад	konrad
конрад	conrad
безумовно	definitely
род	rod
арсенал	arsenal
абсолютна	absolute
маргарет	margaret
сицилії	sicily
технічно	technically
попередня	prev
попередня	previous
адм	adm
мазепа	mazeppa
спереду	front
провулки	alleys
створюючи	ensuring
розбив	wrecked
кандидатуру	candidacy
інженерних	engineering
крус	cruz
знаючи	knowing
поховали	bury
суцвіття	inflorescence
подолати	overcome
проведених	helm
підряд	consecutive
рівноваги	equilibrium
пілотів	pilots
ратуша	hall
міра	myra
міра	mira
міра	measure
військах	forces
спокою	serenity
виробляють	produce
мережах	networks
впевнений	sure
математичні	maths
математичні	mathematical
математичні	math
числення	calculus
луїза	luiza
луїза	louisa
луїза	louise
залишатися	stay
броні	armor
запитів	requests
зник	gone
зник	vanished
зник	disappeared
відповідними	respective
механічний	mechanical
кераміка	pottery
кераміка	ware
кераміка	ceramic
кераміка	ceramics
астрономи	astronomers
дербі	darby
дербі	derby
прапором	flag
зерно	grain
студій	studies
ставка	rate
всюди	globally
всюди	anywhere
всюди	everywhere
виконали	freezes
підтримання	maintain
гідності	dignity
відповідну	appropriate
реалізацію	implementation
проза	prose
вираження	expressing
виграли	won
путівник	guide
матриця	matrix
філолог	linguist
формує	shaped
розчин	mortar
розчин	solution
баланс	balance
тунель	tunnel
визначена	defined
визначена	identified
розгортання	retract
розгортання	expansion
випускник	graduate
доходи	commodities
мат	mate
мат	checkmate
потоцький	potocki
ветеран	veteran
вірогідно	supposedly
герберт	herbert
похідні	derivatives
змусили	forced
вирощують	grow
художниця	artist
корінь	root
алкоголю	liquor
алкоголю	beverages
алкоголю	alcohol
медічі	medici
відзначення	kos
звільнили	fired
побудова	constructing
договори	treaties
занепад	ruin
занепад	doom
арабська	arabic
процесора	gpu
процесора	cpu
симона	simone
мартин	marcin
мартин	gull
метали	metal
метали	metals
дені	dani
модулі	modules
дозволити	enable
дозволити	allow
їхньому	their
пшениці	wheat
фірм	firms
співдружності	commonwealth
незалежний	independent
величезна	huge
штучний	artificial
двадцяти	twenty
чернівців	chernivtsi
підтверджує	confirms
підтверджує	asserts
подією	event
вершину	vertex
рука	arm
рука	hand
стиснення	compression
реальність	reality
школярів	schoolchildren
тридцять	thirty
подію	event
покриті	depleted
неправильно	wrong
диски	discs
диски	disks
диски	cds
улюблений	favourite
улюблений	favorite
іспанською	spanish
доведено	proved
доведено	proven
ззаду	back
жанрів	genres
суперників	rivals
суперників	opponents
фернандо	fernando
шон	shawn
шон	shaun
шон	sean
янки	yanks
янки	yankee
статистичні	statistical
цвітіння	blossom
фан	fan
фан	fang
трикутник	triangle
клермон	clermont
крива	curve
дорошенко	doroshenko
радника	advisor
кіпру	cyprus
самець	male
заново	rebuild
кримська	crimean
емілія	emilia
емілія	amelia
голокосту	holocaust
земельні	zealand
різновидів	flavors
гессен	hesse
віл	wil
віл	hiv
леопольд	leopold
актуальні	trending
тяжіння	gravitation
тяжіння	gravity
індонезія	indonesia
прованс	provence
вимова	pronunciation
наступником	successor
серійний	serial
францію	france
автономний	autonomous
автономний	offline
алтай	altai
включати	include
арагон	aragón
арагон	aragon
тонкі	thin
митці	artists
сант	sant
підлітків	teen
підлітків	adolescents
закриті	closed
мідь	copper
ростислав	rostislav
воїн	warrior
уельс	wales
хата	treehouse
духовні	spiritual
розробник	developer
янг	young
шостий	sixth
вісь	axis
єврейська	jewish
єврейська	hebrew
колон	colón
колон	colon
податок	tax
прокурора	attorney
прокурора	prosecutor
рядка	line
гранд	grandes
гранд	grande
гранд	grand
сталін	stalin
дует	duet
секція	section
латинська	latin
шахтар	shakhtar
шахтар	miner
адаптації	adaptation
позначені	tagged
колеги	colleagues
підтримати	support
дзеркала	mirrors
штучні	artificial
публікація	story
публікація	publication
публікація	posting
публікація	publishing
едмонтон	edmonton
здійснюються	operated
башкири	bashkirs
адріан	adriaen
адріан	hadrian
адріан	adrian
якесь	some
італію	italy
кора	crust
кора	kora
кора	cora
спалили	burned
ядер	kernels
звіти	reports
спеціалізовані	specialized
надгробок	headstone
правосуддя	justice
сміття	garbage
сміття	rubbish
пор	port
природним	naturally
колесо	wheel
колесо	tire
юлій	julius
враховувати	consideration
бразильський	amazonian
приток	tributaries
череп	skull
захоплені	captured
вгорі	top
коричневі	brown
колона	column
колона	colonna
рідкісний	rare
піднімається	climbs
піднімається	rising
купол	dome
передбачав	predicted
почути	hear
лео	leo
жорстоко	cruel
жорстоко	brutally
мандрівник	traveler
мандрівник	traveller
мандрівник	wanderer
барі	bari
грані	facets
багатства	wealth
худ	hood
тренування	training
тренування	practicing
мільйон	million
малювання	painting
малювання	drawing
сімейство	family
прийоми	tricks
аполлон	apollo
рафаель	raphael
рафаель	rafael
рафаель	raphaël
урану	uranium
дума	duma
перевагою	advantage
судова	forensic
почалась	begun
зібрано	built
зібрано	compiled
зібрано	gathered
зібрано	grouped
зібрано	collected
переконати	convince
розлучення	divorce
виключення	exclude
виключення	exception
пен	peng
пен	pins
пен	pin
сервера	cervera
сервера	server
люфтваффе	luftwaffe
штучно	artificially
штучно	fictional
фотограф	photographer
корсунь	korsun
стрічку	tape
попит	demand
крайній	porno
винахід	invention
змінилася	changed
записати	write
записати	record
записати	burn
куби	cuba
уникати	avoid
звільнено	fired
звільнено	freed
албанія	albania
туристичний	tourist
підручники	tutorials
пола	pola
дружба	friendships
дружба	friendship
чорногорія	montenegro
венера	venus
айрес	aires
зменшує	reduces
зменшує	decreases
могилу	grave
підключення	connecting
комбінації	combinations
поліцейський	cop
поліцейський	policeman
дам	dame
поверхонь	surfaces
конкретно	specifically
воювали	fought
курорт	resort
позитивний	positive
туніс	tunisia
туніс	tunis
чай	tea
кримінальні	criminal
вірус	virus
зосереджені	concentrating
висловлювання	output
розрив	break
розрив	gap
куля	sphere
куля	bullet
легенд	legends
органічні	organic
капели	frescoes
підприємців	entrepreneurs
ресторан	restaurant
цілу	whole
згоду	approval
згоду	consent
зростанням	ascending
коричневий	brown
каф	caf
ірані	irani
археологічний	archaeological
коробки	boxes
лави	lava
шкода	pity
шкода	sorry
шкода	regret
шкода	bummer
делла	della
фарби	paint
сформовано	formed
собака	dog
повернули	turning
шолом	helmet
пропаганда	propaganda
таджикистану	tajikistan
записані	written
впливати	affect
впливати	influence
швейцарський	swiss
лікуванні	treat
ліцензію	licence
ліцензію	license
курт	kurt
курт	curt
сумнів	doubt
змішані	mixed
підтверджено	confirmed
підтверджено	approved
індивідуальні	individual
кримські	crimean
заарештовано	arrested
альтернативний	alternative
альтернативний	alternate
континенту	continent
ванкувер	vancouver
небесної	heavenly
зла	evil
траса	trace
встановлює	sets
глядача	spectators
геологічні	geologic
чекає	waits
заслуговує	deserves
холодна	cold
фільтр	filter
сильна	strong
мера	mayoral
мера	mayor
важливості	importance
репертуар	repertoire
ваз	vaz
ваз	vases
ярмарок	fair
ліцензія	licence
ліцензія	license
геть	away
пісок	sand
пера	feather
гірше	worse
ворог	enemy
невдало	failed
невдало	fails
девіз	motto
лицарі	knights
тривалості	neglect
часті	frequent
спокійно	relaxed
завершити	finish
завершити	end
завершити	complete
підняти	elevate
підняти	lift
підняти	raise
відсутнє	none
розквіт	blooms
змінні	variables
чоловічу	manhood
клер	claire
клер	clair
нікого	anyone
нікого	nobody
террі	terry
раннє	early
задня	posterior
вибрана	chosen
інфраструктура	infrastructure
реконструкцію	remodel
присвячено	dedicated
спорядження	backpacks
спорядження	gear
кіото	kyoto
продюсери	producers
навчальної	tutorial
математичної	maths
реалізувати	implement
наміри	intentions
черепаха	turtle
черепаха	tortoise
збудження	arousal
синонім	synonym
пропонував	contributed
тези	theses
кінематограф	cinematography
кінематограф	cinema
страв	dishes
браян	brian
браян	bryan
гільдії	guild
рон	rhône
рон	ron
ілюстрація	illustration
схему	scheme
традиційна	traditional
знайдена	worshipping
симон	simon
іконостас	iconostasis
залізний	iron
якоб	jacob
якоб	jakob
воскресіння	resurrect
воскресіння	resurrection
рукописи	manuscripts
вихідний	outgoing
збираються	gathering
видати	discharge
видати	blackmailed
мовні	linguistic
привілеї	privileges
фраза	phrase
міфи	myths
фольклор	folk
фольклор	folklore
заповіт	testament
будівельник	builder
скарби	treasures
рання	early
джейсон	jason
комерційного	commercial
юліан	julian
анатомія	anatomy
федеральний	federal
тед	ted
польщу	poland
керрі	kerry
керрі	carrie
польовий	arvense
страйк	strike
віддали	gave
платівки	records
рибу	fish
оригінал	original
підвищує	increases
тихий	pacific
відмова	failure
камер	cameras
себастьян	sebastian
себастьян	sebastián
єзуїтів	jesuits
постійна	constant
кулемета	minigun
євгеній	eugene
хоп	hop
підвищити	increase
змії	snakes
змії	snake
безпосередній	immediate
провідник	guide
провідник	conductor
партизан	guerrillas
партизан	partisan
допомагали	helped
аграрної	agrarian
ютери	machines
мільярдів	billion
протести	protests
ельзас	alsace
шеф	chef
шеф	chief
завтра	tomorrow
обряд	rite
боксери	boxers
жозеф	joseph
зупинка	stopping
зупинка	stopped
зупинка	stop
зупинка	halt
поліцейських	policemen
допомагати	helping
дзвін	bells
дзвін	bell
проміжок	interval
удари	taps
удари	punches
удари	putting
холодний	cold
кавалерії	cavalry
сорок	forty
вантажний	freight
епізоди	episodes
відпочинок	recreation
відпочинок	rest
автомат	machine
автомат	automaton
апостол	apostle
липа	lipa
липа	tilia
калію	potassium
кінцівок	extremities
недостатності	inadequacies
цифр	digits
змінився	changed
замінено	replaced
пів	half
спираючись	relying
спираючись	leaning
подвійний	double
подвійний	dual
товариш	comrade
відверто	hitting
вирішують	resolve
нараховується	awarded
сортування	sorting
розробок	developments
організми	organisms
красний	krasny
десант	assault
місій	missions
путін	putin
кравчук	kravchuk
юридичні	legal
труси	underpants
труси	panties
труси	boxers
пишеться	spell
пишеться	spelled
організували	arranged
барбара	barbara
виняток	exception
законодавчих	legislative
знижує	decreases
колу	coke
сосни	pines
павільйон	pavilion
копіювання	copy
копіювання	copying
подарунок	gift
подарунок	present
шляхтич	gentilhomme
буркіна	burkina
польова	arvense
блиск	shine
обстеження	evaluated
осип	osip
продати	sell
аркадій	arkady
помічника	assistant
стамбул	istanbul
рівність	equality
іноземців	foreigners
захоплено	captures
захоплено	invaded
фаза	phase
відчуває	senses
прочитати	read
мовознавство	linguistics
існуючі	existing
електроніка	electronics
електроніка	electronic
зімбабве	zimbabwe
координації	coordination
перетворити	convert
перетворити	transform
зварювання	welding
ескадрильї	squadron
дизайнер	designer
дощів	rainy
цинку	zinc
узагальнення	generalization
комуністи	communists
судові	court
ленін	lenin
болгарський	bulgarian
говорили	talking
говорили	talked
говорили	spoke
фрукти	fruit
фрукти	fruits
марсі	marcy
міф	myth
здавалося	seemed
промені	beams
промені	rays
партнер	partner
дельта	delta
чудовий	wonderful
очікування	waiting
налаштування	setup
налаштування	configuration
налаштування	preferences
налаштування	configuring
налаштування	settings
рушій	engine
старші	older
навички	skills
завдали	caused
зустрічей	appointments
зустрічей	meetings
діалог	query
діалог	dialogue
діалог	dialog
едо	edo
порошенко	poroshenko
лівих	leftists
купити	purchase
купити	buy
олесь	ales
геральдика	heraldry
цивільний	civil
цивільний	civilian
потяги	trains
принцеси	princesses
доставки	shipping
неволі	rejoice
підводного	underwater
практичне	practical
завершується	ends
завершується	finishes
завершується	ending
редакторів	editors
організаціях	ngos
шини	tires
шини	bus
продовжили	resumed
продовжили	flee
передумови	prerequisites
захисники	protectors
переробка	recycling
дане	dane
житель	citizen
брокгауза	efron
демократичний	democratic
демократичний	democrat
