در	cửa
سیاه	đen
قدرت	sục
قدرت	lực
نسخه	phiên
نسخه	bản
نسخه	prescription
کم	nhỏ
کم	tiểu
کم	kam
کم	cam
کم	low
کم	thấp
خانواده	gia
خانواده	đình
میدان	đc
میدان	square
میدان	vuông
میدان	meydan
ویژه	cống
حوزه	field
حوزه	trường
حمله	công
حمله	assault
ناسا	nasa
جزیره	đảo
وزارت	sở
وزارت	khu
درام	drama
درام	kịch
درام	drum
درام	trống
برنده	thang
برنده	win
برنده	thắng
برنده	thang
برنده	thắng
علم	khoa
وقتی	khi
آبی	xanh
ورزشی	athletic
ورزشی	sport
بازار	bazar
بازار	bazaar
بازار	chợ
متن	chữ
متن	nguồn
طرف	bên
طرف	phe
طرف	trang
آمد	đến
آمد	tới
دهد	grants
سابق	cựu
پسر	boy
پسر	trai
پسر	bé
پسر	trai
پسر	nhi
پسر	son
دین	đạo
دین	dean
رضا	reza
رضا	rida
سایت	website
سایت	website
سایت	site
آسمانی	celestial
خیلی	cực
خیلی	rất
خیلی	xinh
خورشیدی	solar
سفید	trắng
سفید	white
سفید	bạch
جشنواره	festival
بهتر	nhất
فرد	lẻ
فرد	hòa
فرد	fred
لندن	đôn
لندن	london
لندن	landon
سری	series
سری	sri
سری	serie
اسکار	oscar
اسکار	oskar
اکنون	giờ
اکنون	ngay
کلی	kelly
کلی	clay
آلمانی	đức
شرق	đông
دیده	thấy
دیده	cưa
شیخ	sheikh
شیخ	shaykh
شیخ	sheik
انواع	loại
درست	thật
درست	đúng
سنگ	sang
سنگ	đá
سنگ	stone
استاد	thầy
امپراتوری	empire
امپراتوری	imperial
کلاس	hạng
کلاس	hạng
کلاس	lớp
آنان	them
آنان	cói
آنان	chúng
آنان	họ
مدرسه	trường
مدرسه	học
کسب	giành
حرکت	dời
حرکت	chuyển
مشخصات	specs
مشخصات	tả
دبی	dubai
دبی	debbie
کوتاه	bài
کوتاه	ngắn
کوتاه	short
کوتاه	lá
اجرا	suất
اجرا	chạy
اجرا	chạy
خواننده	reader
اتحادیه	union
اتحادیه	hợp
خوب	tốt
خوب	hay
خوب	ngon
خوب	chà
خوب	ừm
شخصی	tư
پایین	down
پایین	xuống
پایین	dưới
پایین	bậc
پایین	đáy
پایین	bottom
پدر	bố
پدر	cha
حق	thật
خاص	cống
گذشته	qua
گذشته	past
ازدواج	marry
ازدواج	cưới
ازدواج	cưới
هنوز	côn
هنوز	vẫn
تر	ter
مشغول	bận
اینجا	đây
کمربند	đai
واحد	division
چندین	nhiều
اندازه	cỡ
اندازه	thước
اندازه	cỡ
اندازه	size
خیابان	phố
خیابان	street
عالی	hảo
عالی	tuyệt
عالی	awesome
عالی	đan
نگاره	nh
نگاره	hình
نگاره	ảnh
نگاره	graphic
هدف	tiêu
هدف	đo
هدف	đo
هنرپیشه	diễn
دستگاه	máy
طرح	sketch
میرزا	mirza
پنج	năm
برد	thang
برد	win
برد	thắng
پل	cầu
پل	paul
ابتدا	trước
ابتدا	đầu
ارتباط	hã
ارتباط	lạc
پخش	play
پخش	chơi
پخش	at
پخش	phát
پخش	tán
پخش	tràn
پخش	thấm
پخش	chơi
پخش	divx
امام	imam
مشکل	đề
مشکل	rối
نفت	nhớt
نفت	dầu
شرایط	tiêm
شرایط	trạng
رضوی	razavi
قاجار	qajar
کارگردان	trương
دختر	girl
دختر	gái
دختر	gái
نور	châm
نور	đèn
نور	nhạt
نور	nur
نور	noor
لازم	thiết
لازم	ấp
سازی	escalation
مرتبط	related
شکست	fail
شکست	đảnh
شکست	bại
رشد	gai
رشد	trồng
رشد	mọc
رشد	grow
گزارش	cáo
پرداخت	trả
پرداخت	trả
هلند	holland
هلند	bản
هلند	hoà
هلند	dutch
مالی	molly
مالی	mali
زیاد	nhiều
اضافه	cục
اضافه	extra
ورزشگاه	estadio
جنسی	sex
جنسی	sex
امور	affairs
مهدی	mahdi
مهدی	mehdi
شعر	thơ
شعر	thơ
شعر	lyrics
شعر	thơ
شرح	tả
فناوری	ktv
ترتیب	kịch
مادر	mẹ
مادر	mom
مادر	mẹ
کرمان	kerman
وضعیت	status
وضعیت	bang
نمونه	sample
نمونه	mẫu
نمونه	dụ
لیتر	lít
لیتر	kiệu
لیتر	lít
لیتر	lít
لاتین	latin
لاتین	latino
مثال	dụ
مدل	model
متری	mét
دوستان	bè
دسته	loại
دسته	đám
دسته	bunch
دسته	lũ
دسته	đợt
دسته	batch
دسته	mẻ
دسته	bó
ترانه	song
چرا	sao
پایگاه	base
پایگاه	outpost
مکان	nơi
مکان	chỗ
فکر	nghĩ
فکر	nghĩ
اولیه	chính
گسترش	bung
شناگران	swimmers
عدم	non
عدم	vitamin
عدد	số
عدد	số
تعریف	khen
نو	new
نو	mới
نو	sâm
همسر	chồng
همسر	mun
همسر	husband
همسر	vợ
همسر	vơ
همسر	vk
فرزند	con
پهلوی	pahlavi
تقسیم	division
تقسیم	chia
تقسیم	chia
روزنامه	báo
تن	tuna
تن	ton
تن	tấn
تن	tấn
تن	tan
تن	tân
اتحاد	union
اتحاد	hợp
اتحاد	unity
نظریه	thuyết
خاک	bụi
خاک	chốn
خاک	đất
مخالف	ngược
تبریز	tabriz
میله	bar
کلیسای	chapel
کلیسای	thờ
آباد	khách
آباد	thăm
آباد	abad
دوباره	lại
مشهور	nổi
بعدی	kế
بعدی	tiếp
بعدی	kit
مستقل	lập
قدیمی	vintage
قدیمی	cũ
قدیمی	tuổi
قدیمی	già
شب	đêm
ویدئویی	video
شیمی	hóa
شیمی	lờ
فروش	bán
فروش	bán
فروش	bán
فروش	lô
فروش	sale
فروش	bán
فروش	lô
رتبه	rang
رتبه	rank
جانوران	thú
جانوران	vật
جانوران	vật
آیووا	iowa
راک	phủ
راک	rak
راک	đá
راک	rock
پارک	viên
پارک	park
نخست	prime
آزادی	do
آزادی	free
آزادی	rảnh
رای	vote
رای	bầu
رای	rai
اطراف	quây
اطراف	khoảng
اطراف	vòng
کمدی	comic
کمدی	hài
موتور	tơ
موتور	motor
بسته	gói
بسته	đóng
بسته	gói
راست	thật
راست	đúng
سنت	cent
چشم	mắt
چشم	eye
چشم	mắt
چهارم	mùng
متولد	sinh
قوانین	luật
قوانین	luật
کمتر	bớt
کمتر	ít
کمتر	giảm
صنعت	ngành
گیاهان	cây
گیاهان	herbs
کشوری	quốc
آرامگاه	mộ
آرامگاه	tomb
سینما	phim
باغ	bagh
باغ	vườn
باغ	garden
باغ	vườn
باغ	gardens
واژه	lời
واژه	từ
واژه	lời
بدن	thân
بدن	body
محمود	mahmood
محمود	mahmoud
محمود	mahmud
جرم	nhái
جرم	mass
مردان	hãm
عصر	tuổi
عصر	tối
عصر	chiều
سرزمین	đáp
سوریه	syria
سوریه	syria
سوریه	syrian
نامه	mail
نامه	evolution
نامه	thư
نامه	chữ
نامه	thư
پادشاه	king
پادشاه	guy
پادشاه	vua
استاندارد	chuẩn
استاندارد	standard
بانک	banks
بانک	ngân
بانک	bank
مکزیک	mễ
دولتی	phủ
عملیات	thao
نقل	quote
ترک	bỏ
ترک	thoát
ترک	turk
نشر	release
نشر	nhả
سفر	du
سفر	tý
سفر	lượt
سفر	trip
پاریس	paris
توصیف	tả
آسفالت	nhựa
مراسم	lễ
دریای	mare
دریای	biển
اتریش	áo
توان	sục
توان	lực
عباس	abbas
پر	par
پر	parr
پر	say
پر	full
پر	đầy
پر	lông
پر	pr
پر	per
پر	lông
ربات	bot
ربات	robot
ربات	robot
دستور	lệnh
تیره	dark
تیره	tối
دوست	khoái
دوست	thích
دوست	love
دوست	yêu
دوست	bạn
دوست	hiền
هفت	haft
حل	giải
تلاش	cố
هزاره	hazara
ماده	nữ
آموزشی	luyện
آموزشی	training
بلژیک	bỉ
بلژیک	bỉ
کرمانشاه	kermanshah
ارزش	giá
اصل	sums
مربع	đc
مربع	square
مربع	vuông
مسابقه	đua
مسابقه	nhung
مسابقه	đua
مسابقه	thủ
مسابقه	khớp
گرم	hot
گرم	nóng
گرم	ấm
پاسخ	tời
ورزشکاران	vđv
بازبینی	review
مرحله	bước
مرحله	stage
نبرد	battle
نبرد	trận
نبرد	combat
شهرت	đồn
شهرت	fame
سبز	lục
حد	hạn
اداره	sở
اداره	khu
وب	web
آرژانتین	argentina
آرژانتین	argentina
آرژانتین	argentine
شیراز	shiraz
اش	ash
اش	tro
اش	chua
فرود	down
فرود	xuống
اصلاح	sửa
خون	máu
خون	huyết
کلمبیا	columbia
کلمبیا	colombia
خوبی	tốt
خوبی	hay
خوبی	ngon
خوبی	đẹp
مشاهده	xem
جاده	đường
جاده	road
روم	roman
روم	đế
روم	phòng
روم	rome
روم	roma
استقلال	esteghlal
وبگاه	website
خلیج	vịnh
خلیج	vịnh
خلیج	bay
رودخانه	sông
جیمز	james
آهنگ	tune
آهنگ	song
بزرگی	lớn
بزرگی	to
بزرگی	đúc
بزرگی	đại
بزرگی	big
بزرگی	magnitude
بزرگی	huge
گرفتن	taking
گرفتن	bắt
نظام	nizam
عکس	ảnh
عکس	photo
عکس	foto
عکس	ảnh
عکس	pic
عکس	ảnh
عکس	ảnh
جی	bum
جی	jay
ان	ann
جلد	bìa
جلد	cover
جلد	che
همگانی	công
پاپ	tía
پاپ	bốp
پاپ	pop
قم	qom
قم	monorail
نیوجرسی	jersey
ابن	eben
ابن	ibn
متفاوت	khác
پاکستان	pakistan
ماساچوست	massachusetts
تو	các
تو	cac
تو	bạn
تو	anh
تو	cô
ایکائو	icao
انسانی	human
مؤسسه	viện
مؤسسه	sở
شخص	người
مایکل	michael
درمان	healing
درمان	đãi
کودکان	con
میانه	trung
میانه	giữa
میانه	đọng
میانه	vừa
شش	six
شش	sáu
ضد	anti
قهرمان	champ
قهرمان	hero
قهرمان	hùng
قهرمان	hoàn
قهرمان	cọc
قهرمان	champion
فشار	nhấn
فشار	bào
فشار	ấn
فشار	bấm
فشار	push
فشار	đẩy
مسئله	đề
گاهی	đôi
گاز	bit
گاز	đớp
گاز	táp
گاز	cắn
گاز	gas
گاز	xăng
جمع	thu
جمع	thu
جمع	men
فیلمی	phim
علیا	olya
تحصیل	học
شیعه	shia
سوئیس	swiss
مشهد	mashhad
جایی	nơi
جایی	chỗ
ارشد	sr
ارشد	senior
دیوید	david
تابع	hàm
عمر	omer
عمر	umar
عمر	omar
مهر	stamp
مهر	tem
مهر	cẩu
مهر	mehr
مهر	seal
جدول	bảng
جدول	bàn
اجازه	phép
امیر	emir
امیر	amir
ویلیام	william
عرضه	lộ
فضایی	alien
کارهای	jobs
دار	dar
وزن	cân
تقریباً	sắp
تقریباً	gần
تقریباً	hầu
قرآن	quran
قرآن	koran
طلایی	vầng
طلایی	golden
طلایی	đỏi
طلایی	vàng
طلایی	gold
ستاره	star
سیستان	sistan
بهمن	avalanche
بهمن	bahman
طلا	tala
طلا	vàng
طلا	gold
دره	lũng
عربستان	rập
عربستان	arabian
عربستان	saudi
هفته	tuần
هفته	tuần
سیتی	phố
سیتی	by
قرمز	đỏ
ثابت	hằng
متحد	united
متحد	hoa
خبر	tin
ورود	đến
ورود	entry
ورود	mục
گیلان	gilan
میلیارد	tỷ
میلیارد	tỉ
میلیارد	tỷ
میلیارد	tỉ
قبلی	trước
نقطه	chấm
نقطه	spot
نقطه	điểm
نقطه	beat
نقطه	chấm
نقطه	điểm
مشترک	chung
آتش	lửa
آتش	cháy
آتش	lứa
بلوچستان	balochistan
گاه	gấp
گاه	folding
گاه	gập
گاه	gah
فنی	fanny
چشمه	spa
چشمه	fountain
ایلینوی	illinois
پوشش	bìa
پوشش	cover
پوشش	che
سلطنتی	royal
سلطنتی	imperial
تشخیص	detection
درخت	cây
درخت	cây
نزدیکی	gần
عرض	rộng
دید	cưa
دید	vision
داستانی	truyện
داستانی	chuyện
بعدها	sau
ایرلند	irish
ایرلند	ireland
پرواز	fly
پرواز	ruồi
پرواز	bay
پرواز	flying
پرواز	bay
پرواز	bay
حاصل	quả
خرد	vỡ
آسیایی	asiatic
بنیاد	quỹ
بنیاد	foundation
بنیاد	nọc
همدان	hamadan
الله	allahu
الله	allah
شهید	shahid
شهید	shaheed
بریتانیایی	british
تحقیقات	bê
کلاسیک	classic
زندان	tù
زندان	giam
زندان	tù
سلطان	soltan
سلطان	sultan
خوزستان	khuzestan
هوا	khí
هوا	air
برق	điện
برق	sét
برق	điện
برق	sét
جزایر	đảo
خورشید	nắng
خورشید	cn
نقاشی	sơn
نقاشی	tranh
نقاشی	sơn
معتبر	lệ
پایتخت	vốn
شاعر	thơ
تیر	arrow
مطالعه	học
مطالعه	học
رادیو	đài
رادیو	radio
بومی	native
نقشه	plan
امروز	nay
بلند	cao
بلند	loud
خودرو	car
خودرو	xe
خودرو	xe
نگاه	tìm
نماینده	rep
نماینده	delegate
اوج	climax
اوج	nắp
اوج	top
اوج	đỉnh
اوج	peak
اوج	zenith
مقدس	thánh
حرف	chữ
حرف	thư
حرف	nói
ابراهیم	ebrahim
ابراهیم	ibrahim
ابراهیم	abraham
اشتباه	sai
اشتباه	lỗi
اشتباه	nhầm
شهرک	phố
جامع	lược
یونانی	greeks
دهانه	hố
جعبه	hộp
جعبه	box
جعبه	bốc
جعبه	hộp
مراکز	centres
محدود	hạn
احتمال	odds
نروژ	nauy
همیشه	luôn
عشق	love
عشق	yêu
مجارستان	hungary
مجارستان	hung
مجارستان	hungary
مظهر	mazhar
ارمنی	armenia
چک	séc
خصوصی	tư
آلاباما	alabama
ساده	plain
ساده	nhẹ
شنا	bơi
شنا	bơi
تخت	takht
تخت	bed
تخت	giường
سپاه	legion
سپاه	quân
سپاه	army
بندی	bandy
برج	tháp
برج	tower
برج	tháp
بورس	đít
اسکاتلند	scotland
اسکاتلند	scottish
اوهایو	ohio
نقاط	điểm
نقاط	đốm
رابرت	robert
اسید	axit
اسید	acid
اسید	axít
لس	los
لس	đọc
لس	les
اوایل	sớm
پنجم	fifth
ایستگاه	trạm
ایستگاه	ga
معاصر	contemporary
اینترنت	internet
جورجیا	gruzia
جورجیا	georgia
جورجیا	giorgia
عثمانی	ottoman
عثمانی	osmani
برخورد	collision
برخورد	đốp
برخورد	clash
صد	trăm
پول	tiền
پول	tien
واشینگتن	washington
عرب	arab
پیروزی	triumph
صدا	voice
صدا	giọng
صاحب	hữu
برادر	bro
برادر	huynh
اقیانوس	biển
سریع	mau
سریع	nhanh
سریع	mau
سریع	nhanh
جوان	joan
جوان	trẻ
جوان	young
جشن	đảng
جشن	party
جشن	tiệc
جشن	feast
جشن	tiệc
جشن	lễ
نظیر	per
کلمه	lời
کلمه	từ
آینده	lai
اوکراین	ukraine
اوکراین	ucraina
اوکراین	ukraina
قطع	cut
قطع	cắt
قطع	méo
قطع	chém
رد	đỏ
مازندران	mazandaran
مازندران	caspian
تصاویر	ảnh
تازه	tươi
تازه	new
تازه	mới
تازه	sâm
سرخ	đỏ
کودک	con
دل	tim
دل	heart
دل	del
دل	dell
دل	nhép
دل	cơ
دل	hearts
صدای	voice
صدای	giọng
رهبر	leader
دیگران	khác
واقعی	real
واقعی	thực
واقعی	thật
واقعی	thiệt
هواپیمایی	aviation
هواپیمایی	airlines
هواپیمایی	airline
مشارکت	tooltip
فیلمبرداری	bắn
جایگزین	alternative
شبیه	như
شبیه	thích
شبیه	like
بافت	mô
کانزاس	kansas
پنسیلوانیا	pennsylvania
داکوتای	dakota
ایرانیان	persians
عبدالله	abdullah
عبدالله	abdulla
تک	single
تک	đơn
ولایت	tỉnh
رومانی	rumani
رومانی	romania
رومانی	românia
استادان	masters
نهایی	final
نهایی	ultimate
کردستان	kurdistan
فلزی	co
ژاپنی	nhật
پرچم	cờ
پرچم	cờ
کاخ	palazzo
صحنه	cảnh
صحنه	stage
ورودی	nhập
ورودی	entry
ورودی	mục
روشن	châm
روشن	đèn
روشن	nhạt
روشن	xoã
روشن	roshan
صورتی	pink
صورتی	hồng
سعی	cố
ساسانیان	indo
