பெல்லா	벨라
நடத்தல்	걷는다
நடத்தல்	걷기
உணரி	센서
குயின்	여왕
பாக்தாத்	바그다드
சட்டவிரோத	불법
சிக்கலானது	복잡도
சிக்கலானது	크리티컬
சிக்கலானது	복잡한
ட்விட்டர்	twitter
ட்விட்டர்	트위터
புறக்கணிப்பு	보이콧
முகவர்கள்	에이전트
வில்வித்தை	양궁
உணர்	feel
உணர்	기분
உணர்	느낌
கையடக்க	휴대용
பிளஸ்	플러스
பாசிச	파시스트
பரிவு	동정
பூட்டி	전리품
எமினெம்	에미넴
கொட்டும்	쏟아져
கொட்டும்	쏟아지는
தூக்கம்	졸려
தூக்கம்	수면
மீட்பர்	구원자
கழி	빼기
கழி	빼빼로
சமஸ்கிருதத்தில்	산스크리트어
மாலுமிகள்	선원
கவர்	커버
கவர்	덮개
கவர்	표지
அண்ட்ராய்டு	android
அண்ட்ராய்டு	안드로이드
ருவாண்டா	르완다
கென்னத்	케네스
ஞானத்தை	지혜
தகுதியான	자격
புரட்சிகரமான	혁명
குறிக்கோள்கள்	목표
குறிக்கோள்கள்	목표
பொதுவானது	공공
பொதுவானது	공개
பொதுவானது	공중
சுல்தான்கள்	술탄
நிரப்பு	채워
நிரப்பு	fill
நிரப்பு	채우기
வெறி	절실한
மருமகள்	조카
டாய்	다이족
டாய்	다이
டாய்	dai
பாலும்	우유
பாலும்	밀크
அந்தோணி	안토니우스
அந்தோணி	앤서니
அடித்தல்	채찍
கில்பர்ட்	길버트
குழப்பமான	혼란
குழப்பமான	혼돈
குழப்பமான	카오스
குழப்பமான	혼란
கொக்கோ	코코아
பலவீனம்	약점
அழைப்பிதழ்	초대
அழைப்பிதழ்	초청
பந்துவீச்சு	볼링
வெளியீட்டாளர்	출판사
வெளியீட்டாளர்	퍼블리셔
வெளியீட்டாளர்	출판
சோபியா	소피아
சோபியா	소피아
நொடிகள்	sec
வடிவமைத்தல்	포맷
வடிவமைத்தல்	서식
டிசைன்	설계
டிசைன்	디자인
வரம்புகள்	제한
வரம்புகள்	한계
வரம்புகள்	한계
வரம்புகள்	제한
நேப்பியர்	네이피어
மார்ஸ்	마스
மார்ஸ்	화성
பேச்சுக்கள்	회담
உடைகளை	옷이
சிலிகான்	실리콘
பரம	매개변수
சேத்	seth
துயரம்	슬픔
சுட்டிக்காட்டி	지표
பசை	접착제
புதுப்பித்தல்	새로고침
புதுப்பித்தல்	고침
சிமோன்	시몬
சிமோன்	시모네
டெனிஸ்	데니스
டெனிஸ்	데니스
ரெனே	르네
சைனா	중국인
சைனா	중국
சைனா	차이나
வினவல்	쿼리
வினவல்	검색어
வினவல்	조회
பாதுகாவலர்	보호자
பாதுகாவலர்	보호
விருந்தோம்பல்	대접
எக்குவடோர்	에콰도르
ஸ்டுடியோஸ்	스튜디오스
ஸ்டுடியோஸ்	스튜디오
கார்ட்டர்	카터
அணிகலன்	장식
தன்னம்பிக்கை	자신감
தன்னம்பிக்கை	확신
தன்னம்பிக்கை	신뢰
தன்னம்பிக்கை	자신감
வாரிசுகள்	상속인
வாரிசுகள்	상속
வாரிசுகள்	상속자
வாரிசுகள்	상속인
வாரிசுகள்	상속
வாரிசுகள்	상속자들
லூசியா	루시아
சாட்சிகள்	증인
சாட்சிகள்	목격자
கடன்களை	채무
கடன்களை	부채
கேட்ஸ்	게이츠
கேட்ஸ்	고양이
மைக்கலாஞ்சலோ	미켈란젤로
மகளின்	딸이
வளைவுகள்	곡선
கடி	깨물어
ஸ்கேன்	스캔
கற்பிக்க	가르쳐
நேட்டோ	nato
மெஸ்ஸி	메시
கிராபிக்ஸ்	그래픽
கிராபிக்ஸ்	그래픽스
நெருக்கம்	압축
உண்பது	먹기
ஜொனாதன்	조나단
அனுபவித்து	즐기기
ஈர	젖은
ஈர	젖어
அனுப்புதல்	보내기
அனுப்புதல்	전송
இரகசியம்	기밀
இரகசியம்	시크릿
இரகசியம்	비밀
உண்ணாவிரதம்	금식
உண்ணாவிரதம்	단식
தட்பவெப்பநிலை	기후학
தட்பவெப்பநிலை	기후
எரித்திரியா	에리트레아
நாக்	노크
எலக்ட்ரானிக்	전자
எலக்ட்ரானிக்	일렉트로닉
கற்றாழை	알로에
வாக்குறுதி	약속
விசாரணைகள்	문의
விசாரணைகள்	수사
விசாரணைகள்	탐구
மேட்ரிக்ஸ்	매트릭스
மேட்ரிக்ஸ்	행렬
அறநெறி	도덕성
அறநெறி	도덕
முன்னோட்டம்	개요
முன்னோட்டம்	미리보기
சாவி	키키
சிறுவயது	어릴적
சிறுவயது	어린시절
உருகி	퓨즈
நினைவிடம்	메모리얼
நினைவிடம்	기념비
நினைவிடம்	기념관
நிகழ்நேர	실시간
தினந்தோறும்	일일
தினந்தோறும்	데일리
தினந்தோறும்	일간
தினந்தோறும்	일상
கல்லூரியை	대학교
கல்லூரியை	대학
கல்லூரியை	칼리지
கல்லூரியை	대학생
பரிந்துரைக்க	제안
முல்லர்	뮐러
தீர்மானங்கள்	결정
குற்றங்களை	범죄
குற்றங்களை	범죄
சுட்ட	구운
டைட்டன்	타이탄
டைட்டன்	티탄
பிராண்ட்	브랜드
இலவங்கப்பட்டை	계피
இலவங்கப்பட்டை	시나몬
நொடி	sec
சீரம்	혈청
இசைக்கலைஞர்கள்	음악가
இசைக்கலைஞர்கள்	연주자
இசைக்கலைஞர்கள்	뮤지션
பெர்னான்டோ	페르난도
பெர்னான்டோ	페르난두
பிக்சல்	픽셀
உக்கிர	강도
உக்கிர	강조
மனைவிகள்	아내
மூழ்கியது	홍수
சாயல்	셰이딩
சாயல்	그늘
ஜெரோம்	제롬
தனிமை	외로워
தனிமை	외로운
தனிமை	외로움
தனிமை	외로움
பூசன்	부산
டக்கர்	터커
போலியான	허위
போலியான	가짜
நுண்ணுயிரி	미생물
வீடியோவில்	동영상
வீடியோவில்	비디오
முனைப்பு	이니셔티브
சந்திப்புகள்	예약
சந்திப்புகள்	회의
சந்திப்புகள்	미팅
கரோல்	캐럴
கரோல்	캐롤
தோரியம்	토륨
தருக்க	논리적
பைலட்	조종사
பைலட்	파일럿
நிரப்பும்	채우기
நகங்கள்	손톱
சோனகர்	무어인
ஒட்டகம்	낙타
ஒட்டகம்	카멜
விந்தை	자기
விந்தை	babe
கட்டில்	침대
மன்	mann
மர்மமான	mysterious
மர்மமான	신비
நிலவுகள்	위성
ஆதரவாளர்	지지자
ஆதரவாளர்	서포터
ஆதரவாளர்	지지자들
ஆதரவாளர்	지지자
ஆதரவாளர்	후원자
ஸ்பா	spa
ஸ்பா	스파
ஜெரார்ட்	제라드
பூக்களை	꽃이
கைதி	포로
கைதி	죄수
கைதி	교도소
கைதி	감옥
நேபாளி	네팔어
உலகங்கள்	세계
முறைகேடு	학대
முறைகேடு	남용
முறைகேடு	악용
பவுண்ட்	파운드
நாடகாசிரியர்	극작가
இணக்கமான	호환
ஸ்மார்ட்	스마트
கொடு	give
கானல்	신기루
கலந்தாய்வு	상담
மாலுமி	세일러
சுங்க	관세
சுங்க	세관
சுங்க	관습
ஓட்டும்	드라이빙
ஓட்டும்	운전
சத்துக்கள்	영양소
கார்ப்பரேட்	기업인
கார்ப்பரேட்	기업
அடுத்தது	다음
அடுத்தது	넥스트
விஞ்சிய	초월
தியாகிகள்	순교
தியாகிகள்	순교자
வெட்டுதல்	삭감
முழங்கால்	무릎
டிரினிடாட்	트리니다드
ஹெர்பர்ட்	허버트
கேரியர்	항공사
கேரியர்	통신사
கேரியர்	캐리어
தோல்வியுற்றது	실패
பேசவும்	talk
பேசவும்	말하기
கினபாலு	키나발루
உறைந்த	냉동
உறைந்த	프로즌
பருவமழை	계절풍
நிறைவேறியது	이행
கால்களும்	발발
பறிமுதல்	몰수
பறிமுதல்	몰수
சும்மா	단지
சும்மா	그냥
இஸ்தான்புல்	이스탄불
ஆண்ட்ராய்டு	android
ஆண்ட்ராய்டு	안드로이드
செலுத்தல்	피드
உதவித்தொகை	장학금
வெலிங்டன்	웰링턴
வெலிங்டன்	wellington
பென்ஸ்	펜스
பென்ஸ்	벤츠
ஹெல்த்	체력
ஹெல்த்	헬스
ஹெல்த்	건강
ஹெல்த்	보건
நத்தை	달팽이
சட்டவிரோதமாக	불법
அலசி	설명
அலசி	설명하기
வெளியிடப்படவில்லை	비공개
மோதிரம்	링링
மோதிரம்	반지
மோதிரம்	소환
நிறைவுற்றது	완료
நிறைவுற்றது	완료되었습니다
நிறைவுற்றது	완료
நிறைவுற்றது	완료되었습니다
குண்டுவெடிப்பு	폭격
குண்டுவெடிப்பு	폭파
புகார்கள்	불평
புகார்கள்	불만이
புகார்கள்	불만
சீருடை	유니폼
பிளேட்டோ	플라톤
தன்னியக்க	자동
ஆர்ப்பாட்டம்	시위
ஆர்ப்பாட்டம்	시연
கிருமிகள்	세균
நீட்டி	ext
நீட்டி	확장자
கடந்தது	과거
ஹெய்டி	아이티
பதிமூன்று	thirteen
ஸ்பென்சர்	스펜서
துண்டுகளை	슬라이스
அப்பு	apu
மெட்டா	메타
பார்க்கிறார்	보기
எதிர்ப்புகள்	항의
தூக்கமின்மை	불면증
ஒளிர்வு	밝기
ஆலிவ்	올리브
செருமேனியம்	저마늄
பொதுவானவை	장군
பொதுவானவை	일반
பொதுவானவை	일반인
அட்கின்சன்	앳킨슨
இசுட்ரோன்சியம்	스트론튬
அகரவரிசை	알파벳
அகரவரிசை	문자
காரல்	카를
இனிமையான	달콤한
கதி	케이티
மலர்களை	꽃이
வேட்டையாடி	사냥꾼
வேட்டையாடி	헌터
நினைவாற்றல்	추억
நினைவாற்றல்	기억력
நினைவாற்றல்	메모리
நினைவாற்றல்	기억
அபூ	abu
பாங்காக்	방콕
புளூட்டோ	명왕성
டாஸ்	dos
பைகள்	가방
வைக்கிங்	바이킹
வைக்கிங்	바이킹
டயானா	diana
ஹீலியம்	헬륨
உணர்கிறேன்	feel
உணர்கிறேன்	기분
உணர்கிறேன்	느낌
உணர்கிறேன்	느낌이
உணர்கிறேன்	기분
உணர்கிறேன்	느낌
அரைத்து	혼합
நீரூற்று	분수
சூரியகாந்தி	해바라기
மறைக்கப்பட்ட	숨김
மறைக்கப்பட்ட	숨겨져
மறைக்கப்பட்ட	숨겨진
மாடியில்	바닥
பிராட்வே	브로드웨이
ஆண்டிமனி	안티모니
உறுதிப்பாடு	확인
கேத்தரின்	캐서린
கேத்தரின்	카트린
சந்து	틈새
சந்து	간격
பேப்பர்	종이
பேப்பர்	페이퍼
பேப்பர்	용지
அரிஸ்டாட்டில்	아리스토텔레스
தாலிபான்	탈레반
மன்னிக்கவும்	미안
பழமைவாத	보수주의
பழமைவாத	보수
ஏஞ்சல்	천사
ஏஞ்சல்	엔젤
வடிவமைப்பாளர்கள்	디자이너
லிஸ்பன்	리스본
கார்சியா	가르시아
ஒண்டாரியோ	온타리오
வஸ்தோக்	보스토크
சாண்டா	산타
சாம்பியா	잠비아
மானியங்கள்	보조금
அட்மிரல்	제독
போதனைகள்	가르침
கட்டளையை	커맨드
கட்டளையை	명령
கட்டளையை	명령어
கட்டளையை	사령부
கட்டளையை	지휘
அட்லாண்டா	애틀랜타
அட்லாண்டா	아틀란타
அட்லாண்டா	애틀란타
மில்டன்	밀튼
மில்டன்	밀턴
தொடர்பில்லாத	오프라인
புளோரன்ஸ்	플로렌스
புளோரன்ஸ்	피렌체
மேஜிக்	마술
மேஜிக்	마법
மேஜிக்	magic
மேஜிக்	매직
நொதுமி	중성자
கழுகுகள்	eagles
கழுகுகள்	이글스
உள்ளீடுகள்	항목
தொடுதல்	touch
தொடுதல்	터치
வேதனை	페널티
வேதனை	징벌
வேதனை	처벌
நைட்ரோ	니트로
கோக்	kok
கோக்	코카콜라
கோக்	콜라
கோக்	콜라보
தயாரிப்பை	제품
வார்ப்பு	프레임워크
வார்ப்பு	템플릿
தெரசா	테레사
செலவாகும்	비용
ஜெரால்ட்	제럴드
டிரைவர்	드라이버
டிரைவர்	운전사
சுகம்	즐길
சுகம்	즐겨라
கஞ்சா	대마초
குறிமுறை	코드
குறிமுறை	부호
நிராகரிக்கப்பட்டது	거절
காரணமும்	이유
பொலோனியம்	폴로늄
பேரி	pear
சேவையகம்	주최
சேவையகம்	호스트
சேவையகம்	서버
உருப்படி	항목
உருப்படி	품목
உருப்படி	아이템
முகாம்கள்	캠프
ராக்கி	록키
ராக்கி	로키
குழுமங்கள்	클러스터
ரூனி	루니
ஹுசைன்	후세인
வடிவமைப்புக்	조성
சோதி	체크
சோதி	확인
சோதி	점검
சாம்சங்	삼성
பூல்	수영장
ரீயூனியன்	동창회
சாப்ளின்	채플린
பிரின்ஸ்டன்	프린스턴
அணுகு	접속
அணுகு	접근
அணுகு	액세스
ராமா	라마
ஈமு	emu
வெனிசுலா	베네수엘라
மெரினா	마리나
சீரியம்	세륨
இருமுனையம்	다이오드
நியோ	네오지오
நியோ	네오
டங்கன்	덩컨
பாட்ரிக்	파트리크
பாட்ரிக்	패트릭
மலாவி	말라위
பந்தம்	토치
பந்தம்	횃불
தொடுதிரை	터치스크린
அம்பர்	앰버
அம்பர்	호박
பதாகை	배너
பதாகை	현수
வெள்ளெலி	햄스터
பிரபலமானவை	인기가요
பிரபலமானவை	인기
பிரபலமானவை	인기가
செல்டிக்	켈트
செல்டிக்	셀틱
வெல்ஸ்	웰스
வான்கூவர்	밴쿠버
தாதுக்கள்	미네랄
மோடம்கள்	모뎀
நிக்கல்சன்	니컬슨
யூரி	유리
தாலியம்	탈륨
கையிருப்பு	휴대용
சேர்க்கிறது	추가하기
சேர்க்கிறது	추가
மிட்செல்	미첼
சமச்சீரற்ற	비대칭
விண்கலத்தில்	우주비행사
செம்மறி	양양
நாற்றம்	냄새
ப்ரோ	프로
சில்க்	명주
சில்க்	실크
சில்க்	비단
நினைத்துக்	생각
கிரேஸ்	그레이스
கிரேஸ்	은혜
கலைஞன்	음악가
கலைஞன்	예술가
கலைஞன்	아티스트
கலைஞன்	아티스트가
கருணாநிதியின்	해산
சட்டவியல்	법학
யோசுவா	joshua
யோசுவா	조슈아
தினங்கள்	데이즈
பிடித்தமான	favourite
பிடித்தமான	즐겨
பிடித்தமான	좋아하는
ரேடார்	레이더
ஹனோய்	하노이
கண்டுபிடித்தல்	찾기
பிறரை	기타
கிங்டம்	왕국
கிங்டம்	킹덤
தான்சானியா	탄자니아
முலை	가슴
உறைந்து	냉동
உறைந்து	동결
உறைந்து	꼼짝
லில்	lil
பிலிப்பினோ	필리핀계
பிலிப்பினோ	필리핀어
பிலிப்பினோ	필리핀
பிலிப்பினோ	필리핀인
தவறிய	떨어짐
பகிர்தல்	공유
ஒன்றாய்	함께
ஒன்றாய்	같이
விபத்துக்கள்	사고
கணக்கிடப்பட்ட	추정
அஸ்பாரகஸ்	아스파라거스
நிர்வாண	누드
நிர்வாண	nude
பாதங்கள்	발발
பிளமேன்கோ	플라멩코
கோரல்	산호
தூசி	먼지
புதையல்	보물
அரைக்கோளம்	반구
ஹமாஸ்	하마스
நீள்வட்டம்	타원
காட்டப்பட்ட	표시됨
வியட்நாமிய	베트남어
வியட்நாமிய	베트남
வியட்நாமிய	베트남인
கண்டிப்பான	엄격한
பிலிப்ஸ்	필립스
ஐஸ்லாந்து	아이슬란드
இதயத்தை	하트
இதயத்தை	심장
இதயத்தை	마음
ஒரிஜினல்	원본
ஒரிஜினல்	오리지널
பைத்தான்	python
பைத்தான்	파이썬
சோம்பல்	게으름
கிரீக்	그리스어
கிரீக்	그리스
என்ஜின்	엔진
இதழும்	꽃잎
சூழ்ச்சி	플롯
ஆடம்பர	명품
ஆடம்பர	럭셔리
சமாரியம்	사마륨
அம்புகள்	화살
அம்புகள்	화살표
கோமஸ்	고메즈
சான்றிதழ்கள்	인증서
சான்றிதழ்கள்	인증서
சான்றிதழ்கள்	증명서
மறுத்தல்	무시
மறுத்தல்	무시해
கிளிக்	클릭
ஆயுட்காலம்	평생
ஸ்ட்ரீம்	스트리밍
ஸ்ட்ரீம்	스트림
ஸ்ட்ரீம்	흐름
தாடை	턱시도
ஓவன்	오웬
ஓவன்	오븐
மறுக்க	저항
மறுக்க	거절
அடையாளங்களை	명소
இணையதளங்கள்	웹사이트
கார்டு	카드
வீடியோக்கள்	동영상
வீடியோக்கள்	비디오
பட்ஜெட்	예산
பென்னெட்	베넷
மிசூரி	미주리
சோங்	chong
ரீவ்ஸ்	리브스
பக்கவாதம்	뇌졸중
கடவுச்சொல்	비밀번호
கடவுச்சொல்	암호
மாவை	반죽을
மாவை	반죽이
மாவை	반죽
எழுகிறது	라이징
சென்ட்	향기
சென்ட்	센트
நண்பகல்	정오
சியாட்டில்	시애틀
கணவனின்	남편
உலகமயமாதல்	세계화
டேனிஷ்	덴마크어
டேனிஷ்	덴마크
கௌரவம்	영광
கௌரவம்	명예
கொலம்பிய	콜롬비아
டர்னர்	터너
சுமையை	부담
வியாபாரி	벤더
வியாபாரி	제조사
உருக்கி	녹음
உருக்கி	녹아
பிரமிட்	피라미드
உதய	라이징
தூசு	쓰레기통
தூசு	휴지통
தூசு	쓰레기
சுரங்கப்பாதை	지하철
திறந்திருக்கும்	오픈
திறந்திருக்கும்	열기
காண்டாமிருகம்	코뿔소
ரேஞ்சர்ஸ்	레인저스
ரேஞ்சர்ஸ்	레인저
சிங்கங்கள்	라이온스
சிங்கங்கள்	라이언스
சிங்கங்கள்	사자
சாளரம்	창문
திருடி	도둑질
பேஸ்பால்	베이스볼
பேஸ்பால்	야구
கியா	kia
கியா	기아
ஷியா	샤이아
ஷியா	시아파
ஆணைகள்	지침
ஆணைகள்	지시
ஆணைகள்	안내
நின்றுகொண்டு	standing
நின்றுகொண்டு	스탠딩
அதிநவீன	정교한
அதிநவீன	정교
மெல்போர்ன்	멜버른
மெல்போர்ன்	멜번
பூட்டு	잠금
பூட்டு	자물쇠
பூட்டு	잠금
நிக்கி	니키
நிக்கி	니키
அனுமதிக்கப்பட்டது	허용
அனுமதிக்கப்பட்டது	승인
அப்பாவி	무죄
அப்பாவி	innocent
உள்ளுணர்வு	직감
உள்ளுணர்வு	본능이
உள்ளுணர்வு	본능적
உள்ளுணர்வு	본능
போர்வை	담요
போர்வை	이불
வெளிறிய	창백한
பெனின்	베냉
அனாதை	고아원
அனாதை	고아
அனாதை	고립
அசுரர்கள்	괴물
அசுரர்கள்	몬스터
அசுரர்கள்	몬스터즈
குறுகலான	좁은
குறுகலான	좁아
குறுகலான	좁다
விருப்பங்கள்	환경설정
விருப்பங்கள்	즐겨찾기
விருப்பங்கள்	옵션
அழைக்கிறோம்	calling
மனிதரும்	인간
மனிதரும்	인체
மனிதரும்	인간인
சாத்தான்	사탄
ரியா	레아
சந்தாதாரர்	가입자
முனையங்கள்	터미널
தண்டர்	썬더
தண்டர்	천둥
தண்டர்	선더
பிரேக்	브레이크
பாலஸ்தீனம்	팔레스타인
பாலஸ்தீனம்	팔레스타인인
பயணிக்கிறது	항해
நம்பும்	신뢰
நம்பும்	신탁
எப்படியாவது	어떻게든
மால்டா	몰타
காஃபி	커피
உத்தரவாதம்	보장
உத்தரவாதம்	보증
ஞாபகம்	기억해
ஞாபகம்	기억하기
ஞாபகம்	기억하라
ஞாபகம்	remember
ஞாபகம்	기억
தெற்கத்திய	남부
தெற்கத்திய	남방
இலேசான	가볍게
பங்களாதேஷ்	방글라데시
வினையை	캔디스
ஃபேஷன்	패션
நள்ளிரவு	자정
நள்ளிரவு	midnight
நள்ளிரவு	미드나이트
நள்ளிரவு	미드나잇
முடுக்கி	가속화
முடுக்கி	가속기
கினியா	기니
துக்கம்	애도
கொட்டைகள்	땅콩
பேண்ட்	밴드
ஸ்பெக்ட்ரம்	스펙트럼
சீமாட்டி	숙녀
சீமாட்டி	레이디
சீமாட்டி	아줌마
அதிர்வுகள்	느낌이
அதிர்வுகள்	진동
உரிமங்கள்	라이선스
உரிமங்கள்	사용권
உரிமங்கள்	라이센스
உரிமங்கள்	면허
மாதந்தோறும்	월간
மாதந்தோறும்	매달
மாதந்தோறும்	매월
சாத்	사드
சாத்	차드
தீங்கிழைக்கும்	악성
நாகரீகம்	패션
ஸ்டைல்	스타일
அலுவலகப்	사무소
அலுவலகப்	사무실
அலுவலகப்	오피스
கொசுக்கள்	모기
நிலக்கடலை	땅콩
கருத்தரங்கில்	심포지엄
ஓட்டை	구멍
ஓட்டை	구멍이
விசித்திரமான	이상한
விசித்திரமான	이상하다
விளையாடு	놀기
விளையாடு	재생
விளையாடு	연주
விளையாடு	플레이
பரிமாணங்கள்	차원
பரிமாணங்கள்	크기
சேமிக்கப்படுகிறது	절약
சேமிக்கப்படுகிறது	저장
வகுப்புக்கள்	클래스
வகுப்புக்கள்	수업
சாப்பிட	먹기
சாப்பிட	먹어
ஆஃபினியம்	하프늄
காஷ்மீரி	카슈미르
சொடுக்கி	생쥐
சொடுக்கி	마우스
பேயர்	바이어
கடிய	급성
உழைப்பாளர்	노동
கிளாசிக்	클래식
கிளாசிக்	고전
ஆவியாதல்	증발
பன்றிக்	돼지
ஒருங்கிணைப்பாளர்	코디네이터
பூத்	부스
தொலைந்து	분실
தொலைந்து	로스트
தொலைந்து	잃어버린
உடையில்	드레스
சாமுராய்	사무라이
தட்டும்	우표
தட்டும்	스탬프
ரிதம்	리듬
பைட்டு	바이트
எத்தியோப்பிய	에티오피아
லைபீரியா	라이베리아
வழங்கல்கள்	피드
உறங்கும்	수면
உளவியலாளர்	심리학자
வெல்ஷ்	웨일스어
வெல்ஷ்	웨일스
வெல்ஷ்	웰시
ஜுராசிக்	쥐라기
குடித்து	취해
செருப்பு	슬리퍼
இயந்திரத்தில்	머신
இயந்திரத்தில்	기계
இறகு	깃털
தொலைநோக்கிகள்	망원경
பொத்தான்	버튼
பொத்தான்	단추
பொத்தான்	부탄
எங்கோ	어딘가
தருணம்	순간
ஆன்டி	앤디
பெர்சி	퍼시
பிசாசு	악마
ராபின்சன்	로빈슨
நீர்மூழ்கி	잠수함
ஈர்க்க	감동
துணிகர	벤처
ஸ்டீவர்ட்	스튜어트
கலிலி	갈릴레이
செர்ரி	체리
செர்ரி	벚꽃
செர்ரி	체리
செர்ரி	앵두
அனுபவிக்க	즐길
அனுபவிக்க	즐겨라
ஐரிஸ்	아이리스
ஐரிஸ்	이리스
எர்னஸ்ட்	어니스트
மாசச்சூசெட்ஸ்	매사추세츠
ஆன்லைனில்	온라인
பருவகால	계절
நைரோபி	나이로비
உயிர்களை	생명
ஏமாற்றி	부정행위
மோனிகா	모니카
நோரிஸ்	노리스
பவளம்	산호
டேனி	대니
சமந்தா	사만다
நிரப்பப்பட்ட	채워진
அவதாரங்கள்	출처
நகம்	손톱
நகம்	발톱
பூசப்பட்ட	코팅
ஆற்றல்கள்	엔진
ஆபாச	포르노그래피
ஆபாச	포르노
அறிவிப்பாளர்	앵커
பங்க்	펑크
சம்மேளனம்	ccc
திசைகள்	방향
கொதி	끓는
பிரித்தெடுத்து	언플러그드
பிரித்தெடுத்து	unplugged
அரக்கர்கள்	자이언츠
அரக்கர்கள்	자이언트
இழுக்க	뽑기
இழுக்க	당겨
இழுக்க	당기
ஷெல்லி	셸리
ஷெல்லி	셸리
குடியேறியவர்கள்	거주자
அருகாமை	근처
இன்ச்	인치
புறப்பாடு	출발
புறப்பாடு	출국
எதிர்பார்க்கலாம்	기대
அனிஸ்டன்	애니스턴
திரைகள்	화면
திரைகள்	스크린
திரைகள்	모니터
சந்தைப்படுத்துதல்	마케팅
சாப்	sap
பைட்டுகள்	바이트
கூண்டு	새장
கூண்டு	cage
கூண்டு	케이지
கூண்டு	카펫
கூண்டு	융단
குச்சிகள்	젓가락
ஆமென்	아멘
விழித்திரை	망막
அறிவுரைகள்	충고
அறிவுரைகள்	조언
அறிவுரைகள்	지침
அறிவுரைகள்	지시
அறிவுரைகள்	안내
எங்களது	우리의
தோழர்கள்	동지
பாதுகாப்பற்ற	불안
பாதுகாப்பற்ற	불안해
