抱怨	queixant
川口	kawaguchi
死亡率	mortalitat
歌聲	cant
歌聲	cantant
症候群	síndrome
布加勒斯特	dosrius
布加勒斯特	bucarest
污水	efluents
污水	efluent
污水	efluents
污水	clavegueram
存款	dipòsit
存款	dipòsits
獨裁	autocràcia
獨裁	dictadura
獨裁	dictatorial
朝倉	asakura
想象	imaginació
想象	imaginar
想象	imagineu
想象	imagina
祈禱	resar
祈禱	resa
祈禱	oració
祈禱	pregària
祈禱	resant
祈禱	precs
祈禱	preguem
相容	compatible
相容	compatibles
相容	compatibilitat
廚師	chef
廚師	xef
廚師	cook
廚師	cuiner
天王星	urà
王冠	corones
營養	nutrició
營養	nutricionals
營養	nutrients
愛媛	ehime
凝聚	cohesió
橡膠	cautxú
教義	ensenyaments
教義	credo
教義	doctrina
扳機	activador
扳機	gallet
探險	expedicions
探險	aventura
探險	expedició
區塊	blocs
區塊	bloqueja
區塊	bloc
亞熱帶	subtropicals
地道	túnel
地道	túnels
所羅門	salomó
所羅門	solomon
腕	canell
附上	adjunta
附上	delimitada
機長	capità
聲援	solidaritat
核子	nuclear
殘餘	romanent
莖	tija
廢棄	abandó
廢棄	abandonament
廢棄	abandonat
檢視	vista
檢視	visualitza
檢視	visualització
學說	doctrines
學說	doctrina
大提琴	violoncel
加熱	calor
加熱	calefacció
加熱	climatitzada
還原	restaurar
還原	restaura
還原	reverteix
暴風	tempesta
巴頓	patton
華沙	varsòvia
誘惑	seducció
誘惑	temptació
掃描	exploració
掃描	escaneig
法典	codex
法典	còdex
壺	olla
壺	pava
壺	bullidor
壺	nanses
壺	gerro
電報	telegrama
電報	telègraf
蒸	tallarines
升降機	ascensors
升降機	aixeca
升降機	ascensor
機密	confidencials
機密	confidencial
城牆	murs
城牆	parets
芭蕾舞	ballet
諾曼	norman
環礁	atol
斐濟	fiji
潛在	potencials
潛在	potencial
呼叫	convocatòria
呼叫	trucada
呼叫	trucant
硝酸	nitrat
嵌入	incrustat
嵌入	encastat
嵌入	encastat
出血	sagnat
出血	sagnar
出血	sagna
烤	rostit
口腔	desembocadura
口腔	boca
口腔	oral
口腔	orals
港灣	harbour
時鐘	rellotge
牽引	tracció
滑翔	llisquen
論點	arguments
論點	argument
菊池	kikuchi
左邊	esquerra
左邊	esquerre
勇氣	coratge
勇氣	valentia
喵	miau
天線	antenes
天線	antena
絕望	desesperació
絕望	desesperat
絕望	desesperada
摩納哥	mònaco
摩納哥	monaco
格言	lema
格言	maksim
格言	maxim
腐	rot
甘肅	gansu
伏特	volt
敵對	hostilitat
敵對	hostil
出處	origen
出處	procedència
瘋	boig
金子	or
金子	gold
贏	guanyar
開除	acomiadament
災害	catàstrofes
災害	desastres
災害	desastre
永久性	permanència
字元	caràcter
字元	personatge
字元	personatges
字元	caràcters
晚餐	sopar
晚餐	sopar
豆腐	tofu
捐助	donatius
捐助	donacions
山茶	camèlia
濕地	aiguamolls
獵物	presa
東正教	ortodòxia
東正教	ortodox
燕子	empassar
燕子	orenetes
鄰居	veïns
鄰居	veïns
鄰居	veí
鄰居	veïna
會計師	comptadors
會計師	comptador
橢圓	oval
追逐	chase
君士坦丁	constantí
美式足球	futbol
天然氣	gas
方塊	cubs
方塊	cube
方塊	cub
方塊	quadrat
方塊	plaça
方塊	quadrats
方塊	places
均衡	equilibrat
均衡	equilibrada
均衡	balanç
均衡	saldo
均衡	equilibri
均衡	balanceig
均衡	equilibri
掃	escombrada
掃	escombrar
掃	escombrat
叢林	jungla
叢林	selva
慶典	celebració
藏文	tibetà
色素	pigment
宣教	dawa
膝	genoll
膝	genolls
保管	custodia
保管	custòdia
院系	facultats
湖畔	lakeside
省長	prefecte
省長	governador
激情	apassionat
激情	apassionada
激情	passió
珍貴	precious
門票	bitllets
門票	entrades
門票	bitllet
長春	changchun
通航	navegables
毒素	toxina
毒素	toxines
轎車	sedan
轎車	limusina
俄亥俄	ohio
獅子座	leo
經濟學家	economista
經濟學家	economistes
約瑟	josep
約瑟	joseph
愛心	assistencial
約旦	jordà
約旦	jordània
赦免	indults
性行為	sexualitat
性行為	sexe
性行為	sex
地下室	soterrani
昨天	ahir
應對	afrontament
佛法	dharma
詳情	detall
詳情	detalls
生殖	reproducció
十個	deu
交配	mat
小川	ogawa
冰球	hoquei
投射	projecció
漢城	seül
藥用	medicinal
酸性	àcid
酸性	acidesa
展望	outlook
展望	visió
週年紀念	aniversari
世系	llinatge
世系	baixada
猴子	mico
猴子	cercopitec
可信	creïble
歐文	owen
歐文	irving
俄文	rus
揭示	revelador
揭示	revelar
揭示	revelen
揭示	revela
反駁	refutació
反駁	refutar
妄想	paranoic
妄想	deliri
妄想	paranoia
妄想	delirant
成年人	adult
成年人	adults
冬青	holly
大炮	canó
大炮	artilleria
明智	savis
明智	savi
明智	sàvia
抽籤	dibuixa
椅	presideix
椅	cadires
椅	cadira
聖人	sants
聖人	saint
阿瑟	arthur
捕獲	captura
捕獲	capturant
捕獲	capta
聽眾	listener
聽眾	oients
蒜	all
蒜	alls
居所	residència
優點	mèrits
優點	avantatges
優點	avantatge
思維	pensant
計程車	taxi
布魯塞爾	brussels
歸還	restitució
失業	aturats
失業	desocupació
失業	atur
砷	arsènic
天花	verola
水路	waterway
昂貴	car
大麻	cannabis
大麻	cànnabis
大麻	marihuana
大麻	herba
小丑	jòquer
小丑	pallasso
小丑	clown
抗生素	antibiòtics
抗生素	antibiòtic
專營	franquícies
專營	franquícia
關島	guam
自轉	rotació
大通	chase
破碎	trencats
破碎	trencat
破碎	destrossat
語氣	to
語氣	matís
隔離	aïllament
隔離	quarantena
隔離	segregació
隔離	segregacions
隔離	aïllat
隔離	aïllades
隔離	aïllats
隔離	aïllada
砸	smash
生病	mentals
生病	malalts
生病	malalt
摔跤	lluita
高爾夫球	golf
證書	certificats
證書	certificat
濟南	jinan
惡作劇	malifeta
佈局	disposició
日產	nissan
拳擊	boxa
青蛙	granotes
青蛙	granota
面板	panell
面板	plafó
高效	eficient
高效	eficients
探險家	exploradora
探險家	explorer
探險家	explorador
探險家	exploradors
拖延	demora
拖延	retard
拖延	endarreriment
拖延	retards
伴隨	acompanyar
骨灰	cendres
安息	rip
預留	reservat
預留	reservada
預留	reservats
搶救	salvament
商家	mercader
執照	llicències
執照	llicencies
執照	llicència
執照	llicència
鮑威爾	powell
脊椎動物	vertebrats
混合物	barreges
混合物	mescles
粉紅色	pink
粉紅色	rosa
軍營	caserna
軍營	barracons
先例	precedents
先例	precedent
頸部	coll
脆弱	fràgils
脆弱	fràgil
脆弱	vulnerables
脆弱	vulnerable
定制	personalitza
定制	personalització
定制	custom
定制	personalitzada
定制	personalitzat
火花	espurnes
火花	espurnes
火花	espurna
脈衝	lleguminoses
電器	electrodomèstics
電器	aparells
客房	habitacions
客房	sales
伸展	tram
餐飲	càtering
亞馬遜	amazon
亞馬遜	amazona
眼淚	llàgrimes
特赦	amnistia
電影院	cinemes
電影院	theater
電影院	teatre
電影院	cinema
休假	excedència
海牙	haia
口音	accent
領導者	manava
領導者	líder
領導者	líders
領導者	dirigents
言語	paraules
肢	extremitats
王座	tron
拆解	desmantellament
拆解	desmuntatge
綏	tuy
容忍	tolerància
四重奏	quartet
核糖	ribosa
偏好	preferència
偏好	preferit
偏好	preferències
糖果	llaminadures
糖果	candy
糖果	caramel
擾動	pertorbacions
利潤	lucre
利潤	rendibilitat
範例	paradigma
範例	exemples
範例	exemple
弊	cons
施政	governança
切換	commuta
切換	interruptor
切換	canvia
切換	commutació
琮	cong
瘟疫	plaga
瘟疫	pesta
公關	publicista
捍衛	defensar
捍衛	defensant
奔跑	funcionant
括號	parèntesi
括號	parèntesis
震驚	impactant
震驚	xoc
震驚	impactat
貨櫃	contenidor
貨櫃	recipient
貨櫃	contenidors
貨櫃	recipients
郵件	correu
無視	ignora
無視	ignorant
代理人	apoderats
代理人	intermediaris
代理人	agents
代理人	intermediari
代理人	agent
材質	material
呂宋	luzon
美味	saborosa
美味	saborós
美味	boníssim
美味	deliciós
虧損	pèrdua
虧損	pèrdues
虧損	dèficit
口袋	butxaca
口袋	butxaques
蜜蜂	abelles
蜜蜂	abella
蜜蜂	bee
吸入	inhalar
吸入	inhalació
瑜伽	yoga
瑜伽	ioga
安第斯山脈	andes
硫磺	sofre
茉莉	molly
療法	teràpia
療法	teràpies
注意力	atenció
狐狸	fox
狐狸	guineu
石灰岩	calcària
站立	stand
鼓吹	predicar
印度支那	indochina
同化	assimilar
同化	assimilat
同化	assimilats
同化	assimilació
對峙	confrontació
鍋	olla
鍋	nanses
鍋	wok
職責	deure
孵化	hatch
大連	dalian
文藝復興	renaixement
忠誠	fidels
忠誠	lleials
忠誠	lleialtat
忠誠	fidelització
忠誠	fidel
祖國	pàtria
祖國	pàtria
休士頓	houston
舍利	cheri
供電	electricitat
高祖	gaozu
四肢	extremitats
莎莉	sally
視窗	windows
視窗	finestres
視窗	finestra
抗原	antigen
老化	envelliment
多哈	doha
守護者	tutor
守護者	guardià
守護者	guardian
守護者	tutors
經紀人	broker
仇恨	odi
仇恨	odi
不規則	irregulars
不規則	irregular
菩提	bodhi
穩定性	estabilitat
混沌	caos
鑰匙	tecla
鑰匙	clau
世襲	hereditari
櫻桃	cirera
櫻桃	cherry
櫻桃	cireres
執事	diaca
哀悼	condol
摩托車	motocicleta
摩托車	motocicletes
加重	agreujar
地雷	mines
大亨	mogul
安慰	consuelo
安慰	comoditat
安慰	confort
安慰	reconfortant
空手道	karate
乾燥	secà
乾燥	assecatge
乾燥	assecat
點數	crèdits
點數	punts
警示	alertes
警示	alerta
土佐	tosa
潛力	potencials
潛力	potencial
勞倫斯	lawrence
班級	classes
班級	classe
低溫	hipotèrmia
低溫	criogènics
奧斯汀	austin
吉野	yoshino
推算	extrapolació
送出	envia
管理者	gestor
管理者	gestors
管理者	directius
哈桑	hassan
委派	cessió
聚焦	focus
全景	panorama
佐賀	saga
後宮	harem
佛羅里達	bolvir
佛羅里達	florida
比丘	picchu
特質	trait
腎	ronyons
腎	renal
腎	ronyó
波恩	bonn
回憶錄	memòries
鈎	ganxo
鈎	garfi
鈎	hooks
鈎	hams
觸發	activador
觸發	gallet
觸發	disparadors
香水	fragància
香水	perfum
香水	perfumeria
美式	american
美式	americà
診所	clíniques
診所	clínica
診所	clinic
大膽	negreta
胚胎	embrió
胚胎	embrionària
胚胎	embrions
感知	percepció
感知	percepcions
違規	incompliment
鈣	calci
民主化	democratització
民主化	democratització
關節	conjunta
煤礦	carbó
宣揚	predicar
學期	semestre
學期	termini
占卜	futurologia
侵蝕	erosió
後勤	logística
後勤	logístic
固體	sòlid
寄宿	residencial
鼻子	nas
芝麻	sèsam
瓷器	porcellana
諜	espia
訂單	orde
訂單	ordre
訂單	encàrrecs
訂單	comandes
訂單	ordres
特權	privilegi
特權	privilegis
漁民	pescadors
漁民	pescador
水解	hidròlisi
痕跡	traces
猩猩	orangutan
猩猩	ape
證人	testimonis
證人	testimoni
日內瓦	ginebra
梅森	mason
本體	ontologia
女巫	bruixa
擁抱	abraçada
擁抱	dolcet
擁抱	abraçades
西邊	oest
滑行	llisquen
耐心	paciència
紡織	tèxtil
紡織	tèxtils
潛水	busseig
潛水	salts
潛水	immersió
合法性	legitimitat
合法性	legitimació
合法性	legalitat
竇	gos
竇	dou
擾亂	pertorbació
同源	homòlogues
吸引力	atracció
吸引力	atractiva
甘蔗	canya
哭泣	ploren
哭泣	cry
哭泣	plorar
哭泣	plorant
哭泣	plor
功效	eficàcia
成型	formant
成型	motllura
腫瘤	tumor
紀律	disciplina
紀律	disciplines
酷刑	tortura
口服	oral
口服	orals
廣東話	cantonès
嚴謹	estricte
三叉戟	trident
仰光	yangon
豁免	exempció
豁免	immunitat
豁免	exempcions
南昌市	nanchang
反潛	asw
史詩	epic
史詩	èpica
推斷	extrapolació
推斷	inferència
推斷	deduir
暹羅	siam
鑄造	fosa
鑄造	càsting
鑄造	casting
刪去	esborra
礦物	minerals
礦物	mineral
麻醉	anestèsia
加深	aprofundiment
加深	aprofundir
加深	aprofundit
攝政	regent
芳香	aromàtiques
芳香	fragància
芳香	aroma
民謠	balada
民謠	folk
明文	explícita
明文	explícit
服務業	serveis
守衛	guàrdies
守衛	guàrdia
氣球	globus
氣球	globus
籃板	reb
籃板	rebounds
遣返	repatriació
倫理	ètic
倫理	ètica
一幕	escena
摸	touch
推論	inferència
推論	inferences
投放	lliurament
神學院	seminari
憲政	constitucional
憲政	constitucionals
瀋陽	shenyang
艾瑪	emma
類比	analogies
類比	anàleg
類比	anàloga
類比	anàleg
類比	analògic
類比	analogia
雅加達	jakarta
對照	contrast
膨脹	expansió
營利	lucre
營利	rendibilitat
良心	consciència
位移	desplaçaments
位移	desplaçament
招標	licitació
招標	tendra
傳道	predicar
波羅的海	bàltic
雨傘	paraigua
雨傘	paraigües
花生	cacauet
花生	cacauets
閃光	flash
閃光	flaix
閃光	lluint
和弦	corda
子爵	vicomte
削減	tall
削減	tallat
削減	retalla
削減	talla
削減	retallat
削減	talls
削減	retalls
削減	retallades
視察	inspeccions
視察	inspecció
髮型	pèl
髮型	cabells
髮型	peinado
里根	reagan
叛變	motí
殘酷	cruel
殘酷	crueltat
殘酷	brutal
牧場	pastures
牧場	ranxo
牧場	ranch
單身	single
大自然	natura
大自然	naturalesa
犀	rinoceront
雇用	contractacions
悲傷	tristesa
悲傷	trista
悲傷	sad
悲傷	trist
僧侶	monjo
情境	conjuntural
恐嚇	intimidació
沒收	desamortització
沒收	confiscat
沒收	confiscada
粉紅	pink
粉紅	rosa
反向	reverteix
北九州	kitakyushu
分身	altera
感恩	gratitud
感恩	agraïment
感恩	agraïda
感恩	agraït
感恩	agraïts
生氣	enfadat
星期天	diumenges
星期天	diumenge
塵埃	pols
平滑	suau
平滑	suavitzat
加速器	accelerador
弩	ballesta
穆爾	moore
薄弱	debilitat
薄弱	feblesa
薄弱	dèbil
薄弱	feble
指明	especifica
指明	especificar
諸葛	zhuge
謊言	mentida
謊言	mentides
宙斯	zeus
越共	vietcong
野獸	bèstia
填充	omplint
填充	rebliment
填充	omple
起因	causes
縫	cosir
縫	costura
縫	cosir
高分子	polímer
反省	introspecció
反省	reflexió
頂端	top
角落	racó
角落	cantonada
角落	cantonades
角落	racons
狂熱	fanatisme
郵輪	creuers
郵輪	creuer
燈光	llums
燈光	llum
瑪利亞	maria
太陽能	solar
儲備	reserva
反對派	oposició
藤本	fujimoto
池塘	estany
池塘	pond
講話	discurs
激發	inspirar
激發	estimular
禁忌	prohibit
禁忌	tabú
假說	hipòtesi
邪教	culte
邪教	secta
醚	èter
孢子	espores
孢子	spore
噴	esprai
榮耀	glòria
榮耀	glory
偽裝	disfressar
偽裝	disfressa
偽裝	camuflatge
叛軍	rebel
叛軍	rebels
家園	pàtria
波動	fluctuació
波動	volàtils
波動	fluctuacions
波動	volatilitat
層次	capes
層次	nivell
矽	silici
繡	brodat
繡	brodats
繡	brodades
匹茲堡	pittsburgh
笨	estúpid
少了	menys
康復	curació
康復	millorant
康復	rehabilitació
康復	recuperació
大院	compost
布希	bush
莊園	manor
欺騙	estafes
欺騙	engany
磁性	magnètic
磁性	magnetisme
內政	interior
花朵	flors
花朵	flor
造訪	visitant
炸藥	dinamita
炸藥	explosiva
炸藥	explosius
皮革	cuir
徒弟	deixeble
徒弟	aprenent
下限	pis
牛仔	cowboys
牛仔	vaquer
親戚	relatiu
親戚	familiars
親戚	parents
勘探	prospecció
勘探	exploració
橢圓形	oval
追查	traçat
疑慮	dubte
疑慮	dubtes
公孫	gongsun
上學	escola
窯	ware
乳房	mamella
乳房	pits
正宗	autèntica
正宗	autèntics
流血	sagnat
凍	glaçada
諾亞	noè
諾亞	noah
下落	parador
歸屬	atribució
感興趣	interessat
感興趣	interessats
鹽水	salí
館長	comissària
骨折	fractura
史學	historiografia
泳池	piscina
舉例	exemples
灰姑娘	ventafocs
牙買加	jamaica
主宰	dominar
迦太基	cartago
渡假	vacances
偏差	desviació
偏差	desviacions
偏差	biaix
陰影	ombres
陰影	ombra
陰影	shadow
驚訝	sorprèn
驚訝	sorprès
鱷魚	cocodril
幾內亞	guinea
籽	llavors
付款	desemborsament
付款	pagaments
付款	pagament
白銀	plata
水牛	buffalo
水牛	buffaloes
面部	facial
護航	escorta
各部	ministeris
共生	simbiosi
厭惡	fastiguejat
厭惡	fàstic
厭惡	disgust
孫子	néts
孫子	nét
黑幫	gàngster
黑幫	bandas
師父	mestre
寶寶	baby
寶寶	nadó
車庫	garatge
綠黨	verds
無畏	fearless
損傷	perjudici
損傷	lesió
損傷	danys
缺口	llacunes
缺口	buits
缺口	gap
列舉	enumeració
精華	essència
刮	scratch
蟒	python
發起人	iniciadors
發起人	iniciador
口語	parlat
工匠	artesans
工匠	artesanes
處罰	sanció
處罰	penalització
處罰	pena
處罰	sancions
處罰	càstig
名聲	reputació
序幕	preludi
序幕	pròleg
醋	vinagre
代理商	agència
代理商	agents
代理商	agent
舒適	consuelo
舒適	comoditat
舒適	confort
舒適	acollidora
舒適	acollidor
舒適	calaixera
舒適	còmodes
充電	càrrec
鎳	níquel
哲也	tetsu
飛翔	fly
飛翔	volant
礦業	mineria
地勢	terreny
人馬座	sagitari
谷地	vall
桃子	préssecs
桃子	presseguer
桃子	préssec
電纜	cables
電纜	cable
蝨	polls
田野	camps
腐敗	corrupte
腐敗	corruptes
腐敗	corrupció
少數民族	minoria
少數民族	minories
無聊	avorrida
無聊	avorrits
無聊	avorrida
無聊	avorrit
藉口	excuses
造船廠	drassana
女朋友	xicota
女朋友	nòvia
顎	mandíbula
顎	paladar
酒館	taverna
酒館	pub
政治學	política
飛碟	ovni
供給	abastament
供給	subministrament
請願	petició
荒漠	desert
荒漠	deserts
潟湖	llacuna
先天	innat
偽造	forjat
偽造	forjats
偽造	forjat
鹿特丹	rotterdam
好奇	curiós
好奇	curiosa
好奇	curiositat
盎司	xic
盎司	unces
放逐	exili
利息	interès
口述	dictant
口述	dictat
物料	material
物料	materials
物料	matèries
打壓	repressió
蟻	formiga
蟻	ant
蟻	formigues
耦合	acoblament
砂岩	gres
鏢	dard
石英	quars
辯護	defensa
波浪	ondulada
波浪	ones
波浪	onades
波浪	ona
超自然	sobrenatural
成龍	jackie
猶太教	jueva
猶太教	jueu
猶太教	judaisme
血清	sèrum
小澤	ozawa
愛人	lovers
愛人	amants
愛人	amant
各區	districtes
瓶子	ampolles
瓶子	ampolla
前列腺	pròstata
無奈	indefensa
無奈	indefens
無奈	impotent
小米	millet
化妝	maquillatge
演示	demostració
演示	demo
演示	demostració
演示	manifestació
游擊隊	partidista
定罪	condemnes
倡議	iniciatives
倡議	iniciativa
聘用	contractacions
盒子	caixa
盒子	capsa
液態	líquid
液態	liquid
法郎	franc
棄權	abstencions
棄權	abstenció
博弈	partida
博弈	joc
百分比	percentatges
百分比	percentatge
百分比	percentatge
製造業	fabricació
製造業	fabricació
妥協	avinença
動議	mocions
解雇	acomiadament
狙擊手	franctirador
評判	jutjant
鍋爐	caldera
鍋爐	calderes
經文	versos
經文	escriptures
沙丘	dunes
沙丘	dunas
沙丘	duna
會津	aizu
奉獻	dedicatòria
奉獻	dedicació
奉獻	dedicat
奉獻	dedicada
奉獻	devoció
川上	kawakami
禮堂	auditori
藥品	medicament
藥品	medicina
藥品	drogues
藥品	fàrmacs
藥品	medicaments
藥品	medicació
盔	casc
清新	fresc
清新	fresques
清新	fresca
清新	frescos
清新	frescor
寧波	ningbo
地基	fundacions
太極	taiji
雇主	empresari
朱雀	carpodacus
憂鬱	melangia
吃了	menja
詐騙	frau
詐騙	fraus
詐騙	estafa
偷渡	polissó
偷渡	contraban
任用	nomenaments
任用	designació
任用	cita
任用	nomenament
地下水	subterrànies
階梯	escales
黃蜂	vespa
煙火	focs
煙火	pirotècnia
有序	ordenada
反彈	rebot
反彈	backlash
反彈	rebota
屏障	barreres
屏障	barrera
節點	node
節點	nodes
姿勢	suposen
姿勢	plantejant
姿勢	postura
孤兒	orfes
孤兒	orfe
孤兒	òrfena
離散	discret
週四	thu
週四	dijous
船塢	moll
黨派	partidista
希伯來	hebreu
碉堡	bunker
碉堡	búnquer
魔術師	mags
魔術師	mag
葬禮	funeral
儒學	confucianisme
寶座	tron
跡象	rètols
跡象	senyals
高能	energetic
招聘	contractació
招聘	contractacions
加速度	acceleració
喇叭	banya
喇叭	horn
貝勒	belle
貝勒	baylor
不平等	desigualtat
不平等	desigual
不平等	desigualtats
晶體	cristall
晶體	vidres
開花	bloom
白話	vernacle
熵	entropia
廉價	barat
空心	fondalada
空心	hollow
收養	adoptar
收養	adopció
收養	adopcions
音訊	àudio
桂林市	guilin
外甥	nebot
密封	foca
密封	segell
快車	expressi
快車	express
快車	expressar
警衛	guàrdia
重現	recurrència
彌撒	missa
彌撒	massa
兩棲	amfibi
神道	shinto
撞球	billar
撞球	piscina
剝奪	privació
關稅	duanes
關稅	costums
定性	qualitatiu
定性	qualitativa
定性	qualitatius
定性	caracterització
讀取	llegit
讀取	llegir
讀取	llegint
讀取	lectura
調動	mobilització
調動	mobilitat
獨唱	solista
獨唱	solo
十字軍	croada
十字軍	creuades
十字軍	crusaders
十字軍	crusader
體力	força
不敗	invicte
興奮	emocionat
神龍	drac
希臘文	grec
紫外線	ultraviolada
大介	daisuke
申報	declarar
申報	declari
投注	apostes
投注	apostant
鯊魚	taurons
鯊魚	tauró
大腦	cervell
大腦	cervells
孤獨	soledat
孤獨	solitari
單字	paraula
套房	suite
套房	suites
老兵	veterinaris
老兵	veterà
老兵	veterans
心態	mentalitat
心態	mentalitat
天秤座	balança
天秤座	lliura
過濾	filtre
過濾	filtrat
過濾	filtratge
過濾	filtres
黃道	eclíptica
黃道	zodiac
駕駛艙	cabina
甘地	gandhi
救護	ambulància
加法	additiu
蒸氣	vapor
蒸氣	vapor
天命	destinació
天命	destí
代管	plica
提問	pregunta
遼寧	liaoning
斜坡	desnivell
斜坡	talussos
斜坡	talussos
斜坡	rampa
袋鼠	ualabi
袋鼠	cangur
袋鼠	cangurs
弱勢	vulnerables
弱勢	vulnerable
開羅	cairo
開羅	caire
不適	molèsties
不適	malestar
服從	obeeix
服從	obeir
服從	obediència
水力	hydro
水力	hidràulica
水力	hidràulic
向日葵	girasol
援軍	reforços
轉讓	traspàs
轉讓	transferència
轉讓	trasllat
轉讓	cessió
轉讓	assignacions
轉讓	cessions
轉讓	transferències
轉讓	trasllats
駐軍	guarnició
反對黨	oposició
博愛	fraternitat
冒犯	ofensiu
冒犯	ofensiva
早餐	esmorzar
緯度	latitud
緯度	lat
緯度	latituds
靈活	flexible
靈活	flexibles
靈活	flexibilitat
薩姆	sam
凍結	frozen
凍結	congelat
凍結	glaçada
凍結	congelar
凍結	quiet
副本	còpia
副本	còpies
副本	exemplars
粥	farinetes
橫向	horitzontal
橫向	lateral
橫向	laterals
辻	tsuji
水壩	presa
隆起	ardenes
雄心	ambicions
雄心	ambiciós
雄心	ambiciosos
雄心	ambició
幼蟲	larves
幼蟲	larva
癱瘓	paràlisi
癱瘓	paralitzat
航運	pujades
開關	commutadors
開關	interruptor
開關	canvia
邦聯	confederació
主婦	mestresses
填寫	omple
疣	berrugues
陸戰隊	marines
農林	agroforestal
扣除	deducció
扣除	descomptar
扣除	deduït
以色列人	israelians
錄取	admissió
肯亞	kenya
硫化	sulfur
影射	insinuacions
母音	vocal
巧合	coincidència
代謝	metabolisme
代謝	metabòlic
堪薩斯	kansas
進食	menjant
上線	online
涅槃	nirvana
幸存者	supervivents
幸存者	supervivent
水災	inundacions
水災	inundació
貂	visó
貂	sable
煎	fregida
煎	fry
遙控	remot
遙控	remota
遙控	remots
輝煌	brillant
石榴	magrana
多餘	extra
多餘	supèrflues
多餘	redundants
多餘	excés
受害人	víctimes
