doris	도리스
linus	리누스
nadia	나디아
ofc	ofc
ofc	오세아니아
pandora	판도라
chandra	찬드라
astrid	아스트리드
lina	리나
deluxe	디럭스
constant	상수
dent	덴트
quote	따옴표
quote	인용
hobbit	호빗
abba	abba
sitcom	시트콤
cynthia	신시아
marcelo	마르셀로
fps	fps
juliette	줄리엣
lòi	막대기
lòi	스틱
humphrey	험프리
megan	메건
megan	메간
mohs	모스
farrell	파렐
hyper	하이퍼
dauphin	도팽
molise	몰리세
angelina	앤젤리나
angelina	안젤리나
rss	rss
nelly	넬리
heracles	헤라클레스
kano	카노
kano	카누
dns	dns
topic	주제
lithuania	리투아니아
null	null
doolittle	둘리틀
plug	플러그
plug	플러그인
arabian	아라비아어
arabian	아라비아
airasia	에어아시아
doll	인형
riverside	리버사이드
chon	교차
chon	십자
chon	십자가
chon	크로스
kassel	카셀
corona	코로나
terrestrial	지상
covers	커버
bios	바이오스
supreme	슈프림
tuscany	토스카나
ucla	ucla
strawberry	딸기
hamid	하미드
thirty	삼십
thirty	서른
jessie	제시
townsend	타운센드
townsend	타운젠드
streaming	스트리밍
ebay	이베이
balfour	밸푸어
bournemouth	본머스
pythagoras	피타고라스
corsica	코르시카
torrent	토렌트
hitchcock	히치콕
kendrick	켄드릭
granger	그레인저
hitomi	히토미
resident	주민
resident	레지던트
resident	상주
arias	아리아스
fff	fff
bytes	바이트
solaris	솔라리스
heroin	헤로인
mandarin	만다린
mandarin	중국어
komatsu	고마츠
komatsu	고코마쓰
komatsu	고마쓰
brett	브렛
gôn	골프
eli	엘리
adaptation	적응
irina	이리나
share	공유해
share	공유하기
share	공유
niue	니우에
dubrovnik	두브로브니크
sas	sas
sas	saas
rabin	라빈
robbins	로빈스
carlisle	칼라일
monterrey	몬테레이
bragg	브래그
lucca	루카
hidro	수소
hind	doe
chavez	차베스
giỡn	엉망
giỡn	엉망이
jeans	청바지
tomahawk	토마호크
bowling	볼링
socrates	소크라테스
weinberg	와인버그
porsche	포르쉐
chow	차우
chow	초우
naka	나카
lamar	라마
mom	엄마
amateur	아마추어
okayama	오카야마
ups	ups
gem	보석
kandahar	칸다하르
estrogen	에스트로겐
ginger	생강
jurassic	쥐라기
rochelle	rochelle
rochelle	로셸
duran	듀란
serinus	카나리아
premium	프리미엄
ephesus	에페소스
bum	제이
lepus	토끼
lepus	산토끼
volkswagen	폭스바겐
albuquerque	앨버커키
narva	나르바
rpm	rpm
icd	icd
valentino	발렌티노
valentino	발렌티누스
hamad	하마드
nsw	nsw
daisuke	다이스케
capture	먹이
shinkansen	신칸센
vest	조끼
kilo	킬로
chekhov	체호프
phenol	페놀
passer	참새
passer	스패로
passer	참새목
qualcomm	퀄컴
modem	모뎀
norma	norma
fremont	프리몬트
bridges	브리지스
bridges	다리
bridges	브리지
bridges	브릿지
warcraft	워크래프트
triumph	트라이엄프
anchorage	앵커리지
shima	시마
woodrow	우드로
mauritania	모리타니
tamura	타무라
tamura	다무라
ainu	아이누어
ainu	아이누
dll	dll
ikeda	이케다
lovers	연인
lovers	연인들
cordillera	코르디예라
morrow	모로
clarinet	클라리넷
disneyland	디즈니랜드
htc	htc
spectrum	스펙트럼
nos	nos
miki	미키
balzac	발자크
burn	굽기
burn	화상
greer	그리어
audition	오디션
fujita	후지타
banana	바나나
barbie	바비
gum	잇몸
landau	란다우
yellowstone	옐로스톤
nebula	성운
hayden	헤이든
bmi	학생
shelley	셸리
kierkegaard	키르케고르
burgess	버지스
flint	플린트
amos	아모스
asa	asa
luciano	루치아노
otaku	오타쿠
aspirin	아스피린
rèm	커튼
rèm	블라인드
rèm	커튼
okada	오카다
katharine	캐서린
hicks	힉스
requiem	레퀴엠
hydrogen	수소
hobart	호바트
giza	기자
icc	icc
harriet	해리엇
cure	치료
fanny	파니
takeru	타케루
takeru	다케루
cbc	cbc
funny	단지
funny	그냥
dunkirk	됭케르크
ast	ast
torpedo	어뢰
gilmore	길모어
brasília	브라질리아
stephenson	스티븐슨
bloomington	블루밍턴
irc	irc
bts	방탄소년단
bts	방탄
bts	bts
arboretum	수목원
kde	kde
yoshiki	요시키
nikephoros	니케포루스
pico	피코
taranto	타란토
havana	아바나
crom	크로미엄
crom	크로뮴
rift	리프트
adrien	아드리앵
cyclops	사이클롭스
cyclops	키클롭스
moro	모로
virgo	처녀자리
sệt	취약
dual	듀얼
kaunas	카우나스
toru	토루
sonia	소니아
candace	캔디스
faq	faq
amir	아미르
mint	민트
builder	빌더
bol	bol
doppler	도플러
adler	애들러
adler	아들러
slim	슬림
aces	에이스
duo	듀오
reilly	라일리
sae	sae
berne	베른
kok	kok
valery	발레리
eri	eri
dominion	자치령
sed	sed
walls	성벽
somethin	somethin
sawyer	소이어
giants	자이언츠
giants	자이언트
bolivar	볼리바르
yugoslavia	유고슬라비아
dickson	딕슨
bsd	bsd
iptv	iptv
fitch	피치
sic	sic
initiative	이니셔티브
kendall	켄들
kendall	켄달
metcalf	멧커프
kor	kor
karin	카린
blonde	금발이
blonde	금발
mui	후드
aryan	아리아인
ricci	리치
brill	brill
contra	콘트라
soter	소테르
maroon	maroon
maroon	마룬
dấm	식초
nicholls	니컬스
pepsi	펩시콜라
pepsi	펩시
sutherland	서덜랜드
nimitz	니미츠
caspian	카스피
sparks	스파크스
sparks	스파크
cacao	코코아
isp	isp
jasmine	자스민
pid	pid
devi	데비
chevrolet	쉐보레
hiroki	히로키
darth	다스
aksu	아커쑤
mishima	미시마
branco	브랑쿠
gyeongju	경주
gyeongju	경주시
faye	페이
twelve	twelve
bernoulli	베르누이
remy	레미
remy	도레미
sputnik	스푸트니크
elam	엘람
hank	행크
iupac	iupac
delphi	델파이
kyoko	쿄코
aomori	아오모리
wolfe	울프
kathleen	캐슬린
espn	espn
karma	카르마
mall	쇼핑몰
ddg	ddg
nickel	니켈
somaliland	소말릴란드
pilar	부에노
fargo	파고
cop	경찰
cop	캅카스
ngời	글로
marian	마리안
fabian	파비안
cairns	케언스
boxing	복싱
tyumen	튜멘
miu	miu
brecht	브레히트
moves	moves
moves	움직임
dat	dat
pontos	폰투스
pil	알약
marcellus	마르첼로
carcharhinus	상어
viper	독사
walters	월터스
cyber	사이버
sid	시드
sid	sid
eastwood	이스트우드
cod	대구
txt	txt
bain	베인
chechen	체첸
alzheimer	알츠하이머
misa	메사
katowice	카토비체
intro	소개
intro	intro
genius	천재
twist	트위스트
grenoble	그르노블
finding	찾기
cid	cid
günter	귄터
whitehead	화이트헤드
tigers	타이거즈
tigers	타이거스
tigers	호랑이
nicky	니키
commando	특공대
wonderland	원더랜드
confessions	고백
skopje	스코페
monet	모네
aleksei	알렉세이
allegro	알레그로
allegro	allegro
panic	패닉
panic	공황
stanton	스탠턴
codex	코덱스
kyrgyz	키르기스어
danielle	대니엘
danielle	다니엘
centauri	센타우루스자리
maghreb	마그레브
lola	롤라
lucifer	루시퍼
lip	입술
gladiator	검투사
mogami	모가미
casting	캐스팅
ellie	엘리
recife	헤시피
lunar	음력
antique	골동품
bayan	바얀
gent	헨트
lavender	라벤더
khùng	미쳐
khùng	미친
ravi	라비
swahili	스와힐리어
jeep	지프
ing	ing
hideki	히데키
lap	무릎
vientiane	비엔티안
combo	콤보
fontana	폰타나
slide	슬라이드
slide	슬라이드
rashid	라시드
dulles	덜레스
oasis	오아시스
zion	시온
zion	자이언
misaki	미사키
rodin	로댕
twice	twice
twice	두번
twice	트와이스
silvia	실비아
muscat	무스카트
muscat	머스캣
phễu	깔때기
mystic	미스틱
weekend	주말
weekend	주말에
gonzalo	곤살로
worm	벌레
gemini	제미니
skype	스카이프
vevo	vevo
laptop	랩톱
laptop	노트북
atom	원자
atom	아톰
keitel	카이텔
ems	ems
jetstar	제트스타
macao	마카오
macao	마카오
ins	ins
ike	아이크
finger	핑거
finger	손가락
spartacus	스파르타쿠스
corvette	코르벳
cfa	cfa
crescent	초승달
crescent	초승달과
transformers	트랜스포머
roskilde	로스킬레
xuan	헤이든
mckenzie	매켄지
rockstar	록스타
bentley	벤틀리
layla	라일라
pusan	부산
coupe	쿠페
livorno	리보르노
napier	네이피어
gareth	개러스
niagara	나이아가라
arp	arp
pearce	pearce
pearce	피어스
weston	웨스턴
sil	sil
peres	페레스
riviera	리비에라
blanca	블랑카
livonia	리보니아
hydra	히드라
assault	폭행
assault	공격
rec	rec
cesare	체사레
hendrik	헨드릭
gina	지나
steyr	슈타이어
dipodomys	캥거루
tomoe	토모에
brewster	브루스터
gregg	그레그
origami	종이접기
strings	문자열
samba	삼바
chihiro	치히로
granite	화강암
scouts	스카우트
armadillo	아르마딜로
carnot	카르노
momo	모모
excel	엑셀
excel	excel
optimus	옵티머스
vaccine	백신
mubarak	무바라크
ecstasy	엑스터시
pac	pac
winnipeg	위니펙
hashimoto	하시모토
eleven	일레븐
afp	afp
vani	바닐라
creole	크리올
kinshasa	킨샤사
smartphone	스마트폰
pompeii	폼페이
joaquin	호아킨
miko	미코
pier	부두
ashland	애슐랜드
nordic	노르딕
nordic	스칸디나비아
cats	고양이
fractions	분수
appleton	애플턴
dau	두꺼비
aoyama	아오야마
girlfriend	여자친구
fukui	후쿠이
nunavut	누나부트
activision	액티비전
slayer	슬레이어
fas	fas
bỉm	기저귀
oulu	오울루
dragonfly	dragonfly
dragonfly	드래곤플라이
thunderbolt	썬더볼트
thunderbolt	선더볼트
daly	데일리
ingram	잉그램
roh	roh
cretaceous	백악기
esteban	에스테반
stick	막대기
stick	스틱
giggs	긱스
ave	ave
audi	아우디
tvn	tvn
latina	라티나
sumo	스모
pavilion	파빌리온
saba	사바
helicopter	헬리콥터
helicopter	헬기
bleu	bleu
athletics	육상
hyperion	히페리온
hyperion	하이페리온
mastering	마스터링
exile	망명
exile	exile
wheel	바퀴
yusuke	유스케
leona	레오나
dickens	디킨스
laurel	로렐
mpa	mpa
magie	마그네슘
hanson	핸슨
thinh	아직
ezra	에즈라
okazaki	오카자키
gibbon	긴팔원숭이
nhậu	음주
nhậu	마시기
ostrava	오스트라바
petro	페트로
stargate	스타게이트
spiral	나선
spiral	나선형
larnaca	라르나카
spinoza	스피노자
wrocław	브로츠와프
pvc	pvc
symbian	심비안
tata	타타
sig	sig
matilda	마틸다
midori	미도리
goldwyn	골드윈
grimes	그라임스
cnc	cnc
cossack	코자크
cossack	카자크
tời	응답
tời	정답
tời	대답해
tời	대답
tời	답변
clovis	클로비스
merrill	메릴
playoff	플레이오프
rembrandt	렘브란트
mortimer	모티머
amx	amx
romney	롬니
recovery	복구
recovery	회복
ses	ses
phobos	포보스
alligator	악어
cgi	cgi
shelton	셸턴
poznań	포즈난
emir	아미르
emir	에미르
amazilia	온두라스
reunion	동창회
sketch	스케치
unique	고유
unique	독특한
babel	바벨
háng	사타구니
halley	핼리
ventura	벤츄라
kaluga	칼루가
vishnu	비슈누
apis	api
apis	apis
enchanted	매혹
umi	우미
vir	vor
dirk	디르크
kensington	켄징턴
risc	risc
hitachi	히타치
mister	미스터
oxide	산화물
oxide	산화
benghazi	벵가지
blenheim	블레넘
azuma	아즈마
skip	스킵
bud	버드
alvarez	알바레스
barbary	바르바리
inuit	이누이트
griffiths	그리피스
nate	네이트
outlook	outlook
outlook	전망
outlook	아웃룩
tempest	템페스트
petrie	페트리
instagram	인스타그램
instagram	instagram
agra	아그라
thori	토륨
kaplan	카플란
crush	크러쉬
hirst	허스트
osi	osi
denise	데니스
rosen	rosen
hideo	히데오
sushi	스시
davenport	대븐포트
buckley	버클리
yekaterinburg	예카테린부르크
rhapsody	랩소디
martel	마르텔
pitch	피치
rương	트렁크
rương	trunk
đít	엉덩이
đít	엉덩이
anonymous	익명
deco	데코
pap	pap
peach	복숭아
peach	피치
takagi	다카기
takagi	타카기
gerry	제리
apt	apt
atacama	아타카마
arkham	아캄
daryl	대릴
goto	고토
scheme	스킴
scheme	배열
kellogg	켈로그
fedex	페덱스
eth	eth
paine	페인
grunge	그런지
ama	ama
ritchie	리치
hakodate	하코다테
vanguard	뱅가드
gprs	gprs
tucson	투싼
grozny	그로즈니
meyers	마이어스
wal	wal
cygnus	백조자리
cygnus	시그너스
agricola	아그리콜라
cork	코르크
scots	스코트어
scots	스코틀랜드
scots	스코틀랜드인
trance	트랜스
netscape	넷스케이프
transvaal	트란스발
seventh	일곱번째
catfish	메기
catfish	메기목
slug	슬러그
slug	달팽이
slug	민달팽이
gandalf	간달프
hamster	햄스터
hamster	햄스터
armani	아르마니
lemur	여우원숭이
salad	샐러드
alley	골목길
alley	골목
alley	앨리
patent	특허
shields	방패
crusade	십자군
jets	제트
jets	제트기
slater	슬레이터
valiant	발리언트
dyson	다이슨
ass	조교
ass	조수
ass	보조
yankee	양키
uranus	천왕성
nệm	매트리스
nệm	매트리스
borodino	보로디노
sco	sco
ota	ota
crowley	크롤리
dầy	두껍게
dầy	두꺼운
mansfield	맨스필드
ntfs	ntfs
lala	lala
mango	망고
tres	tres
trafalgar	트라팔가르
trafalgar	트라팔가
imo	imo
hendrix	헨드릭스
eco	eco
saad	사드
jarvis	자비스
snooker	스누커
orwell	오웰
brody	브로디
ferris	페리스
aek	aek
izumi	이즈미
fahrenheit	화씨
araki	아라키
polaris	폴라리스
punch	펀치
higgs	힉스
watchmen	왓치맨
adidas	아디다스
wow	우와
wow	와우
ces	ces
tachi	다치
gbu	gbu
raytheon	레이시온
sheldon	셸던
raid	raid
raid	습격
dupont	듀폰
dupont	듀퐁
cisco	시스코
curry	커리
curry	카레
muslim	이슬람교
muslim	무슬림
pigeon	피죤
pigeon	비둘기
görlitz	작센
playboy	플레이보이
erika	에리카
zoe	조이
greyhound	그레이하운드
dicaprio	디카프리오
hadrian	하드리아누스
hurley	헐리
collin	콜린
jagger	jagger
toshi	토시로
toshi	토시
elaine	일레인
essen	에센
ssn	ssn
boateng	보아텡
scala	스칼라
ghim	고정
ghim	pin
ghim	고정
cassandra	카산드라
clone	클론
amoni	암모늄
telenovela	텔레노벨라
techno	테크노
pda	pda
pda	pda
ryazan	랴잔
mbps	mbps
maverick	매버릭
graphic	그래픽
defender	수비수
wisdom	지혜
ans	ans
merseyside	머지사이드
tori	토리
predator	프레데터
kurdistan	쿠르드
kurdistan	쿠르디스탄
fuzzy	퍼지
beatrix	베아트릭스
bastia	바스티아
kherson	헤르손
endless	끝없는
firmware	펌웨어
ean	ean
tochigi	도치기
celebrity	연예인
connie	코니
monique	모니크
monique	유니크
toshiba	자이언트
toshiba	거대
toshiba	도시바
daigo	다이고
socket	소켓
socket	소켓
lublin	루블린
ott	오트
morphology	형태론
morphology	형태학
sibir	시베리아
guayaquil	과야킬
webcam	웹캠
upc	upc
trombone	트롬본
rog	rog
coulomb	쿨롱
cedric	세드릭
leonidas	레오니다스
ngách	모서리
hemoglobin	헤모글로빈
juliana	줄리아나
karzai	카르자이
yamanashi	야마나시
diablo	디아블로
xỉu	기절
darfur	다르푸르
mic	mic
villas	빌라
mana	마나
mana	마나마
doe	doe
kirin	기린
collar	칼라
collar	쇄골
cnblue	씨엔블루
valerie	밸러리
nut	땅콩
masamune	마사무네
nasdaq	나스닥
cato	카토
cato	케이토
marry	결혼
fatah	파타
tod	tod
elisa	elisa
hatch	해치
exe	exe
cmos	cmos
garage	차고
garage	주차장
taft	태프트
marker	마커
udp	udp
mri	mri
samarkand	사마르칸트
murata	무라타
kaori	카오리
fuck	sls
dove	비둘기
nwa	nwa
colón	콜론
gorge	협곡
gorge	계곡
trenton	트렌턴
clearwater	클리어워터
galactic	은하
lamborghini	람보르기니
łódź	우치
swat	swat
swat	스와트
doping	도핑
pattaya	파타야
oxygen	산소
runaway	런어웨이
gwen	그웬
ics	ics
rosemary	로즈메리
carole	캐롤
adachi	아다치
monk	몽크
fai	fai
reconnaissance	정찰
eskimo	에스키모
shapur	샤푸르
offline	오프라인
cern	cern
itv	itv
bsc	bsc
collagen	콜라겐
miquelon	미클롱
azul	azul
goldberg	골드버그
blaine	블레인
gulag	수용소
dlc	dlc
crt	crt
eliza	엘리자
wallonia	왈롱
peel	껍질
barkley	바클리
blackpool	블랙풀
surin	수린
salomon	솔로몬
vojvodina	보이보디나
valentina	발렌티노
valentina	발렌티나
anubis	아누비스
cheryl	cheryl
têrêsa	테레사
superstar	슈퍼스타
antarctic	남극
foreground	전경
taro	타로
georgian	조지아어
georgian	조지아
jacket	자켓
jacket	재킷
lst	lst
borisov	보리소프
missy	미시
sentinel	센티넬
sentinel	센티널
aizu	아이즈
mojave	모하비
gracie	그레이시
remington	레밍턴
massage	안마
massage	안마사
massage	안마
massage	마사지
camel	낙타
camel	카멜
ronan	로넌
shearer	시어러
interferon	인터페론
tijuana	티후아나
bandung	반둥
kimberley	킴벌리
cũi	벙커
owens	오언스
colonia	콜로니아
gulfstream	걸프스트림
nikon	니콘
priestley	프리스틀리
lux	럭스
gemma	젬마
percussion	타악기
walcott	월컷
prada	프라다
siberian	시베리아
downs	다운
downs	다운스
cassidy	캐시디
ariadne	아리아드네
mamoru	마모루
carlyle	칼라일
conti	콘티
receptor	수용체
cartier	카르티에
serre	세르
sapphire	사파이어
sith	시스
cantata	칸타타
lolita	롤리타
lolita	로리타
zaporizhia	자포리자
ymca	ymca
gangster	깡패
gangster	갱스터
marengo	마렝고
vance	밴스
dap	dap
esperanto	에스페란토
shibata	시바타
aes	aes
entries	체크섬
gallagher	갤러거
bed	침대
ljubljana	류블랴나
arakawa	아라카와
radian	라디안
mcqueen	매퀸
nils	닐스
lithium	리튬
nakahara	나카하라
burbank	버뱅크
wellesley	웰즐리
shining	빛나고
shining	빛나
shining	빛나는
makassar	마카사르
seventeen	열일곱
seventeen	세븐틴
winning	우승
winning	승리
nhác	엉망
nhác	엉망이
tủi	수달
saki	사키
saki	사사키
asakura	아사쿠라
birch	자작나무
gordianus	고르디아누스
mariner	매리너
ide	ide
leu	레우
ichiro	이치로
wilmington	윌밍턴
zachary	자카리아
zachary	재커리
reaper	리퍼
matsuyama	마쓰야마
alaric	알라리크
kari	kari
kari	캐리
foods	음식
foods	식품
calderon	칼데론
precious	소중한
peacock	피콕
boomerang	boomerang
webber	웨버
emmet	에밋
pahlavi	팔라비
dreamcast	드림캐스트
mckay	매케이
leuven	뢰번
kidman	키드먼
crouch	크라우치
memoir	회고록
fairfax	페어팩스
dönitz	되니츠
rip	찢어
rip	rip
miriam	미리엄
miriam	미리암
psy	싸이월드
psy	싸이
erasmus	에라스무스
psg	psg
henley	헨리
harlem	할렘
dvb	dvb
izu	이즈
bryce	브라이스
masaki	마사키
chick	병아리
mariko	마리코
copyleft	카피레프트
cheonan	천안시
cheonan	천안
chico	치코
wilkins	윌킨스
apc	apc
shinjuku	신주쿠
nvidia	엔비디아
hound	하운드
dorian	도리안
maureen	모린
rene	르네
rene	르네
cún	강아지
calo	칼로리
calo	칼로리
simferopol	심페로폴
sven	스벤
kingsley	킹슬리
kingsley	킹즐리
fahd	파드
sia	sia
krabi	끄라비
thorn	가시나무
thorn	가시
heisei	헤이세이
sloan	슬론
okamoto	오카모토
christensen	크리스텐센
aqua	아쿠아
kimberly	킴벌리
versace	베르사체
pharrell	퍼렐
cookie	쿠키
cookie	쿠키
nih	nih
router	라우터
constituency	선거구
yoshino	요시노
piranha	피라냐
atmosphere	대기
atmosphere	분위기
penicillin	페니실린
arno	아르노
ticket	버니
ecm	ecm
bện	cups
aps	aps
dancer	댄서
dancer	dancer
etihad	에티하드
coban	코발트
beckett	베켓
jubilee	주빌리
chrysler	크라이슬러
pitcairn	핏케언
goodwin	굿윈
gaming	게임
gaming	게이밍
vintage	빈티지
lafontaine	라퐁텐
sabbath	안식일
cary	캐리
oops	oops
fearless	fearless
hsv	hsv
hani	하니
ueno	우에노
ust	ust
bound	바운드
minamata	미나마타
mcgregor	맥그리거
metropolis	메트로폴리스
std	std
ramadan	라마단
dreamgirls	드림걸즈
glaucidium	부엉이
arai	아라이
sera	세라
mogadishu	모가디슈
orchard	과수원
symposium	심포지엄
majestic	마제스틱
marble	대리석
dim	어둡게
dim	흐림
mosaic	모자이크
lounge	라운지
guardiola	과르디올라
holocene	홀로세
iec	iec
henrietta	헨리에타
gimme	gimme
nps	nps
sole	발바닥
mascot	마스코트
drury	드루리
syrian	시리아
easter	부활절
utf	utf
gút	매듭
jelly	젤리
bachelor	총각
bachelor	학사
sharma	샤르마
toshio	토시오
peptide	펩타이드
tomcat	톰캣
vivian	비비언
vivian	비비안
vault	볼트
monmouth	몬머스
glover	글로버
olympiacos	올림피아코스
tarantino	타란티노
yuka	히라타
akiko	아키코
puzzle	퍼즐
acm	acm
haiyan	하이옌
gertrude	거트루드
espresso	에스프레소
cambrian	캄브리아기
oryx	오릭스
barnsley	반즐리
