इब्राहीम	ibrahim
पिट्सबर्ग	pitsburgo
हास	haas
फ़ार्म	farm
फ़ार्म	ūkiai
बोल्ड	drąsių
आनुपातिक	proporcinga
आनुपातिक	proporcingas
दवाई	vaistas
हेराल्ड	herald
हॉरर	siaubo
हॉरर	siaubas
एड़ी	kulnas
एंथनी	antanas
टिमोथी	timothy
लापरवाही	aplaidumo
आपूर्तिकर्ता	tiekėjas
आपूर्तिकर्ता	tiekėjų
आपूर्तिकर्ता	tiekėjai
आपूर्तिकर्ता	tiekėjams
ह्यूस्टन	hiustone
एंगेल्स	engels
फ़सल	pasėlių
हिमालयी	himalajinis
सोंग	daina
सोंग	dainos
पियर्स	pyrsas
झाड़ियों	krūmų
धुलाई	nuplauti
धुलाई	plauti
धुलाई	plauti
धुलाई	plovimas
धुलाई	skalbimo
कराधान	apmokestinimo
कराधान	apmokestinimas
खदान	karjeras
लेखाकार	buhalteris
शॉप	parduotuvėje
शॉप	parduotuvė
शॉप	apsipirkti
शॉप	parduotuvės
शॉप	parduotuvėse
डो	doe
टेलिफोन	telefonas
अभिलेखागार	archyvas
अभिलेखागार	archyvai
स्वचालन	automatizavimo
अभियुक्त	kaltina
पाब्लो	pablo
आप्रवासियों	imigrantai
आप्रवासियों	migrantai
फाटक	vartų
फाटक	vartai
मनोचिकित्सक	psichiatras
प्लेन	lėktuvas
प्लेन	plokštumos
टेरेसा	teresa
टेरेसा	terese
हकीम	hakim
उलझन	labirintų
ईराक	irakas
मारता	žudo
बचाना	išsaugoti
कीप	piltuvą
क्रीमिया	krymo
क्रीमिया	kryme
सितार	sitaras
कोशल	košala
आवश्यकताएँ	reikalavimai
जकार्ता	džakarta
किल	nužudyti
आरामदायक	patogu
आरामदायक	patogi
आरामदायक	patogiai
आरामदायक	patogus
आरामदायक	patogiau
पंक्तियां	eilutės
पंक्तियां	eilutės
पंक्तियां	linijos
पंक्तियां	dizaineris
चीयर्स	cheers
चुंबकत्व	magnetizmas
किडमैन	kidman
स्की	slidinėjimo
दीव	diu
बैंग	bang
कुष्ठ	raupsai
गोदाम	sandėlis
गोदाम	sandėliai
गोदाम	sandėlio
स्थितियाँ	pozicijas
स्थितियाँ	vietose
स्थितियाँ	vietovės
स्थितियाँ	vieta
साइबेरियाई	sibirą
फेंका	metė
निपुणता	įgūdžiai
उड़न	skrenda
उड़न	skraidyti
सिंगर	dainininkė
रंगभेद	apartheido
गुल	gul
प्रतिबिम्ब	atspindys
प्रतिबिम्ब	atspindžio
अर्नोल्ड	arnoldas
देवदार	kedrų
भाषणों	pasisakymai
ईसीजी	ekg
विंध्य	vindhjos
हर्मन	hermann
टकीला	tekilos
सातवाँ	septintasis
सातवाँ	septintoji
महानता	didybės
क्लेन	klein
स्वयंसेवी	savanorišką
तख्तापलट	perversmo
एल्बा	elba
पीक	didžiausia
आयातक	importuotojas
पतझड़	rudenį
पतझड़	ruduo
पतझड़	krenta
रजिस्ट्री	registro
रजिस्ट्री	registras
जोनास	jonas
ऊष्मागतिकी	termodinamika
शेफर्ड	aviganis
ट्रिब्यून	tribune
आईएनएस	ins
लहरें	spenelius
लहरें	bangos
लहरें	bangas
अदरक	imbiero
टोबैगो	tobago
अनुपलब्ध	nepasiekiamas
अनुपलब्ध	trūksta
सब्जियां	daržovės
सब्जियां	daržovių
बर्खास्त	laisvai
मुक्केबाज़ी	bokso
सामंतवाद	feodalizmas
अभिसरण	konvergencija
अभिसरण	konvergencijos
क्लोरोफिल	chlorofilo
गुफ़ा	urvas
लचीले	lanksčiai
लचीले	lanksčios
लचीले	lankstus
सिंक	užimtumą
सिंक	sinchronizuoti
उपलब्धियाँ	pasiekimai
उपलब्धियाँ	pasiekimų
उपलब्धियाँ	pasiekimus
उपलब्धियाँ	laimėjimai
सायरस	cyrus
तबला	tabla
हयात	hayat
आपदाओं	nelaimių
मिलिट्री	karinė
मिलिट्री	karinis
मिलिट्री	karinės
स्लॉट	lizdas
स्लॉट	lauką
जननांग	gaktos
वासना	aistrą
नाइजर	nigeris
नाइजर	niger
बहुभाषी	daugiakalbė
डकैती	vagystės
डकैती	apiplėšimas
सैमसंग	samsung
विश्लेषकों	analitikai
प्रशासकों	administratoriai
क्रीक	upelio
सीएनएन	cnn
सॉफ्ट	minkštas
सॉफ्ट	minkšta
आक्रमणकारियों	okupantus
आक्रामकता	agresijos
आक्रामकता	agresija
जेसिका	džesika
जेसिका	jessica
विभागीय	departamento
रिज	ridge
बेचैनी	neramumas
अल्सर	opa
दफ्तर	tarnyba
दफ्तर	biuro
दफ्तर	biuras
क्रिसलर	chrysler
छिपकली	driežas
लातविया	latvija
बुकिंग	užsakymas
हंसी	juoko
हंसी	juokas
स्कोरिंग	balų
कथकली	kathakali
विवर्तनिकी	tektonika
भोला	kvailas
आयशा	aisha
रम	romo
रम	romas
कुम्हार	poteris
सूचनाएँ	pranešimai
अभिमान	pasididžiavimas
हास्यास्पद	juokinga
हास्यास्पद	absurdiška
हास्यास्पद	absurdas
हास्यास्पद	absurdiškas
देवालय	kompleksų
टीन	teen
जातिगत	rasinės
भुखमरी	bado
लकीर	linija
साइरस	cyrus
मारियो	mario
गुणन	daugyba
रिबन	ribbon
प्रासंगिकता	aktualumas
प्रासंगिकता	reikalingumas
इल	elo
आराध्य	nuostabus
तिरंगा	tricolor
जिन्दा	gyva
जिन्दा	gyvi
जिन्दा	gyvas
दाई	aukle
दाई	auklė
नारीवादी	feministės
कैनन	canon
कूल	jėga
कूल	kietai
कूल	kool
मलेशियाई	malaizija
मलेशियाई	malaizijos
ट्रांजिस्टर	tranzistorius
अभिशाप	prakeiksmas
बतिस्ता	batista
पर्थ	perth
नर्म	minkštas
नर्म	minkšta
श्मिट	schmidt
पर्वतारोहण	alpinizmas
जनरेटर	generatoriai
जनरेटर	generatorių
जनरेटर	generatorius
बारात	procesija
संपीडन	spaudimą
सद्भाव	harmonija
जूल्स	jules
स्मरणीय	įsimintina
फेरी	keltų
फेरी	keltu
अवांछनीय	nepageidaujamos
अवांछनीय	nepageidaujamas
डुबकी	nerti
परेशानियों	bėdos
कैप्सूल	kapsulė
कैप्सूल	kapsulės
कैप्सूल	kapsulių
कैप्सूल	kapsulės
गोंडवाना	gondvana
डेमोक्रेट	demokratai
डेमोक्रेट	demokratų
डेमोक्रेट	demokratų
विंस्टन	winston
रोवर	rover
छापे	reidus
माइक्रोवेव	mikrobangų
बेजोड़	unikali
बेजोड़	unikalus
सफारी	safari
एटीपी	atp
हैलोवीन	halloween
रचने	intrigos
विल्हेम	vilhelmo
न्यायधीश	teisėjas
पश्चाताप	atgailos
पश्चाताप	gailėtis
हेलेन	elena
डलास	dalasas
यार	kis
यार	seni
यार	bičas
प्रतिकारक	priešnuodis
डर्बी	derbis
लड़कियां	mergaitės
लड़कियां	mergaites
लड़कियां	merginos
लड़कियां	zina
क्रिएटिव	kūrybos
मनाही	draudžiama
रघुवंश	raghu
क्लर्क	tarnautojas
समागम	poravimosi
टोली	komanda
रोपण	sodinimo
रोपण	sodinti
ग्रामीणों	kaimiečiai
जीन्स	džinsai
बेंच	stendo
झुण्ड	pulkas
झुण्ड	pulko
प्रदर्शनकारियों	protestuotojus
निष्पक्षता	nešališkumas
निष्पक्षता	nešališkumo
सारस	kranas
नब्बे	devyniasdešimt
वेश्या	prostitutė
सुनना	klausos
सुनना	klausymas
जेली	želė
लोभ	godumas
आक्रोश	pasipiktinimą
भंवर	vortex
कैंप	stovyklos
कैंप	stovykla
कैंप	stovyklos
कैडिलैक	cadillac
यात्राएं	piligrimų
यात्राएं	kelionės
यात्राएं	keliaujant
यात्राएं	keliaujantys
यात्राएं	keliaujantiems
मणिपुरी	manipuri
हमलावरों	riders
अधिनियमों	aktus
फतह	fatah
दाना	dana
मुल्तान	multanas
लैला	laila
जॉन्स	ponus
फ़ाइनल	galutiniai
फ़ाइनल	galutinis
फ़ाइनल	galutinė
फ़ाइनल	finalas
उल्लू	pelėda
इवांस	evans
टाइगर्स	tigrai
हाईवे	greitkelis
ससेक्स	sussex
कांग	kang
युनेस्को	unesco
दयालु	dosnus
होंठ	lūpų
होंठ	lūpos
कुएं	wells
नाले	drenažo
जेनिफर	dženifer
मेंढक	varles
मेंढक	varlė
निष्क्रियता	neveiklumo
निष्क्रियता	neveikimas
तत्परता	parengtis
हकीकत	tikrovė
हकीकत	realybe
हकीकत	realybės
हकीकत	realybė
गुर	triukų
मासूम	nekaltas
मासूम	nekalti
उल्का	meteoras
संगोष्ठी	seminaras
तोर	tor
चिंतक	mąstytojas
क्लूनी	clooney
दबाया	suspausti
अर्थपूर्ण	išraiškinga
जूलिया	džiulija
जूलिया	julija
वॉट	vatas
रोटरी	sukamasis
रोटरी	rotary
प्रेयोक्ति	eufemizmas
बशीर	bashir
अजनबी	svetimi
अजनबी	svetimas
आगा	aga
ट्रांसपोर्ट	transportas
ब्लूम	žydi
बुलडॉग	buldogas
उपक्रमों	įmonės
केनेथ	kenneth
टायलर	taileris
टायलर	smėlis
स्पंदन	vibracijos
स्पंदन	vibracija
कूल्हे	hip
कूल्हे	klubas
कूल्हे	klubo
पामीर	pamyro
आज़म	azam
चयनात्मक	konkrečioms
स्टेन	stan
कोरी	corey
कोरी	cory
त्रुटियां	trūkumai
बॉयलर	katilas
रेस्टोरेंट	restoranai
गोर	gore
नंगे	nuoga
दिलों	širdys
चीते	gepardas
चीते	leopardas
अटकलें	spekuliacija
अटकलें	spekuliacijos
दोस्ताना	draugiška
दोस्ताना	draugiškai
दोस्ताना	draugiškas
दोस्ताना	draugišką
दोस्ताना	draugiški
प्रशिक्षु	mokinys
चिनाई	mūro
प्यारा	mielas
प्यारा	fainas
प्यारा	gražios
प्यारा	miela
बूम	bum
ऑरलैंडो	orlando
मार्था	marta
असद	asad
बोर्नियो	borneo
कंसोल	pultas
कैम	cam
रिकार्डिंग	įrašas
रिकार्डिंग	įrašymo
रिकार्डिंग	registravimas
रिकार्डिंग	įrašymas
विज्ञानियों	antropologai
अंधविश्वास	prietarus
रहस्यवाद	mistikos
इला	ila
एकॉन	akon
ऑर्केस्ट्रा	orkestras
डायलिसिस	dializė
डायलिसिस	dializės
पड़ोसियों	kaimynai
टॉमस	tomas
एरिना	arena
परतें	sluoksniai
केमिकल	cheminis
केमिकल	cheminė
मूड	nuotaikos
मूड	nuotaika
पैगंबर	pranašas
कबाब	kebabas
हामिद	hamid
ग्रेगरी	gregory
पुजारियों	kunigai
एस्टोनिया	estijos
एस्टोनिया	estija
यूगोस्लाविया	jugoslavijos
ट्राम	tramvajų
सुने	klausėsi
डेवी	deivis
बत्ती	lempa
बत्ती	žibintas
बत्ती	lempos
बत्ती	žiburiai
बत्ती	šviesos
सादी	saadi
अवसंरचना	infrastruktūra
अवसंरचना	infrastruktūrą
अवसंरचना	infrastruktūros
फिंगर	pirštas
फिंगर	pirštą
ऐश्वर्य	aishwarya
टैटू	tatuiruotės
टैटू	tatuiruotė
टैटू	tatuiruotę
टैटू	tatuiruotės
स्पाइस	spice
रॉयल्स	princeses
प्रदूषक	teršalai
प्रदूषक	teršalų
प्रदूषक	užterštumas
प्रदूषक	tarša
बोतलों	butelius
बोतलों	buteliukai
बोतलों	buteliai
डेवलपर्स	kūrėjai
मुस्तफा	mustafa
समयरेखा	tvarkaraštį
फौजी	karinė
फौजी	karinis
फौजी	karinės
नस	nas
चेर	cher
घाघरा	gagra
विपत्ति	nelaimė
विपत्ति	katastrofa
विपत्ति	nelaimės
मेट	mate
चूहा	žiurkės
चूहा	žiurkė
मातरम्	mataram
अच्छाई	gėris
यूक्लिड	euklido
कॉर्ड	korn
कॉर्ड	styga
किस्से	pasakų
उद्यमियों	verslininkas
उद्यमियों	verslininkai
बाज	sakalas
किरगिज़	kirgizijos
बोसॉन	bozonas
रुश्दी	rushdie
फीडबैक	atsiliepimai
फीडबैक	atsiliepimus
सुपरस्टार	superstar
सुपरस्टार	superžvaigždės
अत्रि	atris
हिट्स	variantų
टोड	dau
निकोल	nicole
साहा	saha
क्रैश	sudužo
लौ	liepsna
लौ	liepsnos
दुर्भाग्यवश	deja
बैंगन	baklažanų
जलोढ़	aliuvinės
केला	bananų
सुलह	kompromisas
पेप्टाइड	peptidų
संडे	sekmadienis
संडे	sekmadienį
संडे	sekmadienio
मार्जरीन	margarinas
कार्यकुशलता	veiksmingumas
बिल्लियों	kačių
बिल्लियों	katės
विकृतियों	apsigimimų
मुखौटा	kauke
मुखौटा	kaukė
सूरजमुखी	saulėgrąžų
सलेम	salem
ठेकेदार	rangovas
रैना	raina
पॉलिमर	polimeras
खरब	trln
ट्यूडर	tudor
शिल्पकला	skulptūrą
जवानी	jaunimo
जवानी	jaunimas
अफ़गानिस्तान	afganistanas
एरोस्मिथ	aerosmith
लहजा	akcentas
धो	nuplauti
धो	plauti
टंकी	tvenkinys
टंकी	rezervuaras
कछुआ	vėžlys
फुटबाल	futbolas
फुटबाल	futbolo
परोपकार	altruizmas
रिकी	rikis
मुस्कान	šypsena
मुस्कान	šypsenos
धुंधला	blur
पोकीमॉन	pokémon
गीला	vat
लिव	liv
दावेदार	varžovą
उभयलिंगी	hermafroditas
गिलहरी	voverė
डिम्पल	įdubimai
तैराक	gelbėtojas
तैराक	plaukikas
हैथवे	hathaway
दुखद	skausmingas
दुखद	skausminga
नाजुक	trapi
नाजुक	esminė
नाजुक	subtilus
गुड़िया	lėlė
लालसा	ilgesio
इरफ़ान	irfan
मिल्टन	milton
प्रेसिडेंसी	pirmininkavimas
अजाक्स	ajax
मार्कर	zenklas
जूता	batų
अल्ट्रासाउंड	ultragarso
अल्ट्रासाउंड	ultragarsu
राइडर	raitelis
किड	vaikas
अक्षीय	ašinis
सक्रियण	įjungimo
सक्रियण	įjungimas
श्रोणि	dubens
चे	che
बेकन	kumpis
निर्जलीकरण	dehidratacija
टारनटिनो	tarantino
रोनाल्डिन्हो	ronaldinho
ट्रांसमीटर	siųstuvas
ज़हर	nuodai
दादरा	dadra
बुराइयों	blogybių
सर्वज्ञ	linksnis
वारंट	atviri
डोरी	juosta
हेर	herr
उदासीनता	abejingumo
बवंडर	tornado
बदख़्शान	badachšano
अज़ीज़	aziz
हाइड्रोक्लोरिक	druskos
ल्यूक	lukas
गंदे	purvinas
मिसाइलों	raketos
मिसाइलों	raketas
कार्बाइड	karbido
हैकर	hakeris
कॉकपिट	kabina
कॉकपिट	kabinos
स्तनों	krūtų
बारा	bara
मलाई	grietinėlė
मलाई	kremo
मलाई	grietinėlės
धाबी	dabis
हॉपकिंस	hopkins
दुरूपयोग	piktnaudžiavimas
दुरूपयोग	netinkamo
मानवशास्त्र	antropologija
भावनाएँ	jausmai
भावनाएँ	jausmus
प्रज्वलन	uždegimas
प्रज्वलन	uždegimo
डेंटल	dantų
मज़ा	smagu
मज़ा	smagiai
मज़ा	linksma
मज़ा	linksmai
ऑटोमोटिव	automobiliai
ऑटोमोटिव	automobilių
छिलके	žievelės
समितियां	komitetai
प्रदर्शनियों	parodos
प्रदर्शनियों	parodas
विंची	vinci
पोर्श	porsche
उपदंश	sifilis
लीना	lina
स्पार्टाकस	spartakas
हेक्टर	hektoras
बंग	bang
वादे	pažadai
वादे	pažadų
सीसे	švino
सब्सिडी	subsidija
साम्यवादियों	komunistai
प्राग	praha
प्राग	prahos
रूमी	rumi
टेम्पल	šventyklą
कारतूस	užtaisai
परिवर्धन	pakeitimai
माफिया	mafija
माफिया	mafijos
भाग्यशाली	pasisekė
मनसा	mansa
गैंग	gaujos
गैंग	gauja
काश्मीर	kašmyro
पेंसिल	pieštukas
कोचिंग	coaching
निकोल्सन	nicholson
लड़ाइयों	mūšių
पैंथर	pantera
पके	prinokusių
मिकी	mikis
मिकी	miki
नमन	duoklę
गैलीलियो	galileo
गैलीलियो	prisiminus
द्विध्रुवी	bipolinis
ऐलन	alenas
दुआ	maldos
दुआ	malda
रीमा	rima
मैंगनीज	mangano
मिरर	veidrodis
अम्बा	amba
डंक	dunk
ट्रॉय	troy
ट्रॉय	trojos
टोकियो	tokijo
फा	pha
साई	sai
साई	psl
इंतजाम	susitarimai
बरॉक	baroko
बेटियों	dukros
ट्रांसफॉर्मर	transformatoriai
दस्तक	tuk
सुन्दा	sundų
टिकी	tikis
ऐप्स	programėlių
पिक्सल	pikselių
प्रवासियों	migrantų
प्रवासियों	migrantai
नाखून	nagus
नाखून	nagai
एल्टन	eltonas
अशांत	sutrikęs
स्लेट	skalūnų
मार्टी	marti
उड़ाया	išskrido
किरीट	corona
जुड़वा	dvynys
जुड़वा	dvyniai
ब्रिटनी	bretanės
लहजे	akcentas
डक	and
डक	antis
आजम	azam
आंसू	ašara
आंसू	rer
आंसू	ašaros
इथेनॉल	etanolis
जिहाद	jihad
जेनी	dženi
जेनी	jenni
जमींदारी	dari
कामुकता	seksualumo
स्तरीकरण	stratifikacijos
दमा	astma
मकई	kukurūzų
रेन	lietus
दोलक	osciliatorius
अंधे	aklas
अंधे	aklai
अंधे	akla
कंडोम	prezervatyvų
शेड	šešėlis
गावों	kaimų
गावों	kaimai
कली	bud
रीमिक्स	remix
विदाई	atsisveikinimo
भूखंड	sklypų
पार्ट	dalies
पार्ट	dalis
फ़ोटो	nuotraukos
फ़ोटो	foto
फ़ोटो	nuotrauka
आँसू	rer
आँसू	ašaros
स्ट्राइक	streikas
उपास्थि	kremzlių
इंडिका	indica
सम्मोहन	hipnozė
आइडल	idol
माइक्रोप्रोसेसर	mikroprocesoriaus
इंटरैक्टिव	interaktyvus
अध	adh
परामर्शदाता	konsultantas
पक	pakas
स्केच	eskizas
नौटंकी	drama
नौटंकी	dramos
अक्साई	aksai
जालसाजी	klastojimo
महाशय	džentelmenas
कोपेनहेगन	kopenhagos
कोपेनहेगन	kopenhaga
डरते	nustebinti
महापुरुष	mahajana
चेरी	vyšnių
चेरी	vyšnios
