hugh	休
mempekerjakan	雇用
sim	sim
sim	執照
sim	駕照
sim	許可證
jiang	姜
jiang	江
vihara	修道院
vihara	寺院
vihara	vihara
basilika	聖殿
awalan	創業
louise	louise
kera	人猿
kera	類人猿
kera	猿
kera	猿猴
kera	猴
kera	猴子
kera	猩猩
kera	人猿
kera	猿
pencernaan	消化
pencernaan	消化
elektromagnetik	電磁
permen	甜食
permen	糖果
permen	糖果
permen	糖
shield	盾牌
mak	麥
pat	pat
pencerahan	頓悟
pencerahan	啓蒙
mis	mis
pluto	冥王星
coffee	咖啡
kaidah	細則
moneter	貨幣
sanksi	制裁
sanksi	制裁
menjanjikan	諾言
menjanjikan	承諾
menjanjikan	允諾
menjanjikan	許諾
shell	貝殼
shell	shell
shell	殼
kill	殺
stefan	stefan
diabetes	糖尿病
diabetes	糖尿病
didedikasikan	奉獻
didedikasikan	專用
melukai	損傷
klorida	氯化
ping	平
ping	萍
kacamata	護目鏡
kacamata	太陽眼鏡
kacamata	墨鏡
kacamata	眼鏡
tukar	切換
tukar	開關
tukar	兌換
tukar	交換
tukar	交易所
tukar	交流
riko	梱
riko	rico
sesat	誤導
persaudaraan	友愛
persaudaraan	互助會
persaudaraan	博愛
persaudaraan	義氣
lunar	月球
relevan	相關
derek	起重機
derek	鶴
derek	吊車
derek	derek
holmes	福爾摩斯
combat	作戰
glukosa	葡萄糖
eksekusi	執行
eksekusi	執行
eksekusi	處決
crown	冠
crown	王冠
crown	皇冠
iphone	iphone
iphone	iphone
penafsiran	口譯
detasemen	支隊
matematikawan	數學家
matematikawan	數學家
noah	noah
noah	諾亞
dangkal	膚淺
dangkal	淺
dangkal	膚淺
dangkal	淺灘
aerospace	航天
jaring	淨
jaring	net
jaring	網
jaring	籃網
jaring	漁網
jaring	蚊帳
pks	pks
oranye	橙
oranye	橘色
oranye	橘子
oranye	橙色
oranye	橘
penekanan	壓縮
penekanan	鎮壓
penekanan	壓制
penekanan	抑制
tas	包包
tas	袋
tas	公事包
tas	錢包
tas	手提包
tas	皮包
tas	包包
tas	袋
tas	袋子
tas	包
hawa	夏娃
hawa	eve
beruntung	幸
beruntung	幸運
beruntung	運氣
grey	灰色
grey	灰
grey	grey
sengit	激烈
sengit	凶猛
nirkabel	無線
lily	百合
lily	lily
bayang	影
bayang	影子
bayang	陰影
bayang	影
bayang	影子
bayang	陰影
bayang	暗影
bayang	陰影
melompat	跳
melompat	跳躍
melompat	蹦跳
melompat	跳躍
dijaga	守護
rené	rené
lau	劉
plot	密謀
plot	陰謀
plot	劇情
dianjurkan	推薦
momen	moments
momen	瞬間
momen	時刻
momen	時刻
airlangga	amy
koma	昏迷
koma	逗號
koma	逗號
soon	不久
soon	很快
animal	動物
kedelai	大豆
kedelai	大豆
kedelai	大豆
moto	座右銘
moto	箴言
moto	格言
moto	摩托
moto	moto
tinjauan	評語
tinjauan	審查
tinjauan	審查
samar	暈倒
samar	暈
samar	昏倒
samar	微弱
samar	含糊
kejatuhan	沒落
kejatuhan	塵埃
kejatuhan	輻射
melody	旋律
perawat	護士
perawat	護理
perawat	哺乳
asma	哮喘
asma	氣喘
asma	氣喘病
galang	加註
designer	設計師
agensi	代理商
agensi	機構
kemuliaan	榮耀
kemuliaan	光榮
desert	沙漠
desert	荒漠
jubah	長袍
aldo	aldo
intensif	密集
care	護理
care	關心
lenin	列寧
sar	特區
imperium	帝國
kabut	迷霧
kabut	霧
kabut	大霧
kabut	迷霧
kabut	霧
tomat	番茄
tomat	西紅柿
tomat	蕃茄
tomat	番茄
tomat	西紅柿
tomat	蕃茄
psm	psm
direct	直接
atraksi	景點
atraksi	景點
atraksi	吸引力
atraksi	吸引
alexandra	alexandra
theme	專題
theme	主題
eksplorasi	勘探
eksplorasi	探索
eng	eng
prasejarah	史前
menyembah	崇拜
menyembah	禮拜
dermaga	碼頭
dermaga	船塢
dermaga	碼頭
dermaga	碼頭
dermaga	埠
dermaga	港口
dermaga	港
uranium	鈾
optimus	optimus
cendekiawan	學人
cendekiawan	狀元
cendekiawan	學者
cendekiawan	智力
cendekiawan	學者
cakupan	範圍
nyeri	痛
nyeri	傷痛
nyeri	疼痛
nyeri	痛苦
helena	helena
spesimen	標本
spesimen	樣本
spesimen	標本
dinikmati	享受
anonim	匿名
anonim	無名氏
spin	旋轉
hiroshi	洋
pewarna	染色
pewarna	染料
pewarna	染
pewarna	著色
pewarna	染料
berdaulat	君主
berdaulat	主權
strike	罷工
strike	罷工
petinju	拳手
petinju	拳擊手
petinju	拳擊手
gerilya	游擊
gerilya	游擊隊
fund	基金
vampir	吸血鬼
estate	產業
estate	邨
komunisme	共產主義
kelihatan	可見
ramalan	預言
ramalan	占卜
timothy	timothy
brother	弟弟
brother	哥
brother	師兄
brother	哥哥
brother	兄弟
membahayakan	危害
membahayakan	傷害
membahayakan	有害
omega	ō
butler	管家
zen	禪
seimbang	平衡
seimbang	均衡
sensitif	敏感
sensitif	敏感性
sensitif	敏感度
kepiting	蟹
kepiting	螃蟹
kepiting	蟹
kepiting	螃蟹
programming	程式設計
honduras	宏都拉斯
ace	ace
ace	王牌
khalid	khalid
zheng	鄭
sketsa	素描
sketsa	草圖
sketsa	塗鴉
sketsa	素描
sketsa	草圖
sketsa	塗鴉
menyatu	混合
dipenjara	囚禁
dinosaurus	恐龍
dinosaurus	恐龍
bawa	帶
margin	比值
berdagang	貿易
menghibur	安慰
menghibur	娛樂
kraton	kraton
accessdate	accessdate
hoon	勳
pinjam	借
pinjam	借用
artefak	工藝品
artefak	文物
cumi	魷魚
cumi	烏賊
cumi	墨魚
kerak	八哥
kerak	地殼
aero	航空
tunggu	等待
terapan	套用
mengungsi	避難所
mengungsi	避難
mengungsi	疏散
mengungsi	撤離
ranger	遊俠
interface	介面
hart	hart
hart	芯
adonan	面糊
adonan	麵團
bobot	加權
bobot	加權
bobot	重量
adobe	adobe
pass	傳球
pass	通過
pass	通行證
ntv	ntv
mabuk	解酒
mabuk	宿醉
mabuk	醉
mabuk	醉酒
mabuk	喝醉
student	學生
musibah	災害
musibah	災難
tao	道教
tao	濤
tao	陶
prosesi	遊行
hikmah	智慧
mendampingi	伴隨
mika	雲母
mika	mica
pergeseran	輪班
pergeseran	移位
pergeseran	輪班
pengisian	電荷
pengisian	充電
pengisian	收費
pengisian	收費
pengisian	充電
springs	彈簧
arc	弧
kato	加藤
pasokan	供應
pasokan	用品
pasokan	供應
pasokan	供給
dihiasi	點綴
birokrat	官僚
lebat	濃密
piring	小菜
piring	菜
piring	板
piring	菜
instagram	instagram
zaitun	橄欖
zaitun	olive
zaitun	橄欖
pelecehan	騷擾
pelecehan	濫用
pelecehan	虐待
oak	橡樹
oak	橡木
oak	橡
oak	櫟
rasional	理性
joey	joey
perjamuan	宴會
perjamuan	晚餐
trailer	拖車
trailer	預告
trailer	拖車
trailer	預告片
penerjemahan	翻譯
penerjemahan	翻譯
tottenham	tottenham
zee	吱吱
valentine	情人節
piston	活塞
piston	活塞
sdm	sdm
met	遇見
kecap	醬
kecap	番茄醬
uin	laskar
cindy	cindy
martha	martha
atomic	原子
upeti	悼念
trinity	三位一體
built	建
built	內建
valid	有效
chip	晶片
chip	薯條
chip	籌碼
pembersihan	清洗
pembersihan	淨化
pembersihan	清理
pembersihan	打掃
pembersihan	清潔
pembersihan	清洗
pembersihan	清洗
cloud	雲
cloud	雲端
tambah	加上
tambah	加
tambah	附加
intensitas	強度
intensitas	密度
resor	度假勝地
resor	度假勝地
resor	勝地
hat	帽
hat	帽子
nagasaki	長崎
napas	呼氣
boat	船
boat	船隻
boat	艇
sita	sita
shang	翔
ranking	排名
friend	朋友
friend	好友
makalah	紙
makalah	紙張
makalah	論文
makalah	論文
rush	急
uta	uta
disuarakan	濁
isotop	同位素
isotop	同位素
bryant	bryant
merger	合併
merger	合併
konsekuensi	後果
konsekuensi	後果
teorema	定理
mystery	神秘
mystery	謎團
mystery	謎
kasim	太監
kasim	kasim
kasim	太監
cewek	女生
cewek	姑娘
cewek	女孩
cewek	girl
cewek	girls
cewek	女孩
cewek	女生
cewek	女童
peng	彭
peng	鵬
terumbu	礁
terumbu	暗礁
terumbu	珊瑚礁
kebanggaan	自尊
kebanggaan	自豪
kebanggaan	驕傲
shop	shop
shop	購物
shop	店鋪
shop	店
shop	商店
bea	bea
bea	碧
ingatan	記憶力
ingatan	記憶
ingatan	記憶體
ingatan	回憶
lucy	露西
lucy	lucy
kadal	蜥蜴
kadal	蜥蜴
kadal	蜥
laris	暢銷書
optimal	最優
optimal	最佳
optimal	最佳
kodok	蟾蜍
kodok	蛙
kodok	青蛙
interpretasi	口譯
hendrik	hendrick
berprestasi	成就
berprestasi	成就
berprestasi	成績
sergio	sergio
pendamping	伴侶
pendamping	同伴
berdosa	罪人
berdosa	罪人
corporate	公司
jura	jura
bodoh	白痴
bodoh	蠢
bodoh	笨
bodoh	愚蠢
bodoh	笨蛋
bodoh	傻
bodoh	無知
bodoh	啞
bodoh	愚者
pot	鍋
pot	壺
pot	壺
pot	鍋
evil	惡
evil	邪惡
müller	müller
favorite	最愛
favorite	喜愛
sarung	手套
sarung	手套
kun	坤
kun	昆
jeffrey	jeffrey
durasi	期限
humor	幽默
humor	幽默
laurent	laurent
rem	煞車
rem	制動
rem	煞車
rem	制動
garcia	加西亞
garcia	加西亞
garcia	garcía
cot	cot
product	商品
product	產品
product	產物
aparat	儀器
aparat	器械
kedah	kedah
workshop	研討會
kurung	支架
kurung	括號
glory	榮耀
glory	光榮
berevolusi	演化
berevolusi	進化
berevolusi	演化
berevolusi	進化
perwujudan	體現
pemadam	滅火器
menjangkau	已達到
bao	包
rna	rna
ketersediaan	可用性
thorell	thorell
praktisi	從業人員
praktisi	從業人員
always	始終
always	永遠
always	總是
blokir	區塊
blokir	積木
blokir	阻擋
blokir	區塊
blokir	block
miranda	miranda
candy	糖果
candy	糖
etnik	族裔
etnik	族裔
etnik	民族
etnik	種族
harmoni	和睦
harmoni	和諧
joy	快樂
joy	喜悅
joy	歡樂
joy	joy
bear	熊
lai	賴
lai	黎
alasannya	理由
alasannya	理性
alasannya	原因
rawan	軟骨
pengangguran	失業者
pengangguran	失業
pengangguran	失業
pengangguran	失業率
gelas	玻璃
gelas	盃
gelas	杯
gelas	杯子
gelas	眼鏡
rin	凜
kaliber	口徑
kaliber	口徑
direction	方向
telanjang	裸
telanjang	赤裸
telanjang	裸體
telanjang	裸
telanjang	裸體
telanjang	裸
horse	馬
horse	馬匹
ono	小野
ono	大野
penginapan	inn
penginapan	客棧
penginapan	住宿
diungkapkan	透露
unta	駱駝
unta	駱駝
kuantitas	數量
kuantitas	數量
kuantitas	量
saturnus	土星
vicente	vicente
melestarikan	保全
katakan	說
pdb	gdp
pdb	pdb
diet	節食
diet	飲食
diet	節食
diet	減肥
teresa	teresa
gerhana	日蝕
mercury	水星
mercury	水銀
mercury	汞
kasino	賭場
kasino	賭場
falcon	獵鷹
falcon	隼
predikat	動詞
asetat	乙酸
ditunda	延遲
ditunda	延誤
ditunda	推遲
ellen	ellen
