apg	apg
mont	mont
tlenu	oxigenul
tlenu	oxigen
franciszkanów	franciscan
classic	clasica
classic	clasic
classic	clasica
classic	classic
konto	cont
konto	contul
pat	remiza
pat	impas
pat	pat
solidarność	solidaritate
solidarność	solidaritatea
castro	castro
zalecenia	recomandare
zalecenia	recomandari
zalecenia	recomandarea
zalecenia	recomandarile
zalecenia	recomandari
roberts	roberts
róża	trandafir
róża	rose
róża	rosa
armaty	cannon
armaty	tun
armaty	tunul
armaty	tunuri
armaty	tunurile
jung	jung
dowody	dovezi
dowody	dovada
dowody	dovada
dowody	dovezi
dowody	probe
dowody	dovada
dowody	dovada
zachowany	retinute
zachowany	retinut
zachowany	conservata
zachowany	conservate
zachowany	pastrate
zachowany	pastrata
zachowany	conservat
amerykanie	americanilor
amerykanie	americanii
amerykanie	americani
ósemka	opt
ósemka	eight
obsługiwane	sustinut
obsługiwane	sprijinit
obsługiwane	sustinut
obsługiwane	service
obsługiwane	operate
obsługiwane	operat
obsługiwane	operata
basista	basistul
impreza	party
impreza	petrecere
impreza	partid
uszkodzony	deteriorat
uszkodzony	deteriorata
uszkodzony	avariate
uszkodzony	avariat
uszkodzony	deteriorate
uszkodzony	corupta
uszkodzony	corupt
uszkodzony	defect
uszkodzony	defecta
administratorem	administrator
administratorem	administratorul
administratorem	administrator
administratorem	administratorul
kierunki	directii
kompozycje	compozitii
airways	airways
trofeum	trofeu
trofeum	trofeul
mandatu	mandatului
mandatu	mandat
mandatu	mandatul
legia	legiune
legia	legiunea
legia	legia
gabinet	dulap
gabinet	cabinetul
gabinet	cabinet
zniszczenie	devastare
zniszczenie	distrugere
zniszczenie	distrugerea
zniszczenie	distrugeri
libertadores	libertadores
umieścić	pune
umieścić	pus
pfalz	pfalz
zabrze	zabrze
iran	iran
iran	iranul
han	han
dekret	decretul
dekret	decret
pisanie	scrierea
pisanie	scriind
pisanie	scriere
pisanie	scriu
olympic	olimpice
olympic	olimpic
olympic	olympic
słownika	dictionar
dochód	veniturile
dochód	venituri
dochód	venitul
dochód	venituri
dochód	veniturile
winter	iarna
winter	iarna
poprawki	corectii
poprawki	modificari
poprawki	amendamentele
poprawki	amendamente
poprawki	revizuiri
poprawki	revizuirile
samolotem	avion
samolotem	avionul
samolotem	avion
zhang	zhang
anioł	inger
anioł	inger
anioł	angel
seattle	seattle
nadawania	radiodifuziune
łączna	cumulate
łączna	cumulative
łączna	cumulativ
zbędne	inutile
zbędne	inutila
zbędne	redundant
zawartych	incheiate
przekracza	depaseste
dzieciństwie	copilarie
dzieciństwie	copilarie
dzieciństwie	copilaria
dzieciństwie	copilaria
santo	santo
bristol	bristol
jolanta	jolanta
centralna	centrala
centralna	centrale
centralna	centrala
centralna	central
mosty	podurile
mosty	poduri
traci	traci
traci	pierde
działki	parcele
działki	colete
działki	parcele
działki	parcela
działki	colet
działki	parcela
działki	complot
działki	intriga
działki	intriga
krajowym	domestice
krajowym	domestic
krajowym	intern
nazwane	numit
autorskie	copyright
parafie	parohii
gilbert	gilbert
równanie	ecuatie
davisa	davis
rzekomo	chipurile
więzień	prizonierul
więzień	prizonier
więzień	detinut
więzień	detinut
więzień	inchisorile
więzień	inchisori
poinformował	informat
poinformował	informata
poinformował	informati
telefon	telefon
telefon	telefonul
telefon	telefon
jasno	luminos
jasno	bright
kuba	cuba
utc	utc
felix	felix
aktualne	curentul
aktualne	curent
aktualne	actual
aktualne	curentului
aktualne	actuala
franka	frank
ujednoznacznienie	dezambiguizare
dachau	dachau
przemiany	transformarea
przemiany	transformare
dziwne	ciudat
dziwne	ciudat
dziwne	straniu
dziwne	ciudat
gerard	gérard
gerard	gerard
zagraniczne	straine
zagraniczne	straina
zagraniczne	strain
zagraniczne	strain
zagraniczne	strainatate
wyrzutni	lansator
turynie	torino
recenzji	recenzii
pastor	pastorul
pastor	pastore
pastor	pastor
brzegi	margini
brzegi	marginile
urban	urban
urban	urbane
urban	urbana
fotograf	fotograf
zaatakował	agresat
zaatakował	atacata
zaatakował	atacat
turystyczna	turist
turystyczna	turistice
symboli	simbolurile
symboli	simboluri
podania	aplicatii
podania	cereri
podania	aplicatii
zabił	ucis
zabił	ucisa
zabił	omorat
rzeczywistość	realitate
rzeczywistość	realitatea
korporacji	societati
korporacji	corporation
ludzkości	omenirea
ludzkości	umanitate
ludzkości	omenire
ludzkości	umanitatea
ludzkości	omenirea
ludzkości	omenirii
ludzkości	omenire
twierdza	fortareata
twierdza	cetate
twierdza	cetatea
twierdza	fortareata
obserwacje	observatii
obserwacje	observare
obserwacje	observatie
satelity	satelitul
satelity	satelit
szyi	gat
szyi	gat
szyi	gatul
młodzi	tanara
młodzi	tanar
młodzi	tinere
młodzi	young
młodzi	tineri
akademickich	academic
akademickich	academica
akademickich	academice
ligue	ligue
stalina	stalin
borys	boris
uznana	recunoscute
uznana	recunoscut
uznana	recunoscuta
uznana	recunoscute
uznana	recunoscut
uznana	recunoscuta
tożsamość	identitate
tożsamość	identitatea
machine	masina
składników	ingrediente
składników	ingredientele
sławy	vedete
sławy	faima
sławy	faima
sławy	fame
wykonawcy	artisti
wykonawcy	artisti
wykonawcy	antreprenor
wykonawcy	contractor
wykonawcy	contractori
wykonawcy	antreprenori
zaliczony	numarate
zaliczony	numarat
zaliczony	numarat
beta	beta
rodríguez	rodriguez
rodríguez	rodríguez
zysk	profit
zysk	profitul
zysk	castig
zysk	profiturilor
zysk	profituri
zysk	profiturile
ring	ring
ring	inelul
ring	inel
instruktor	instructor
ludzkie	umane
ludzkie	om
ludzkie	umana
ludzkie	uman
wykonywanie	efectuarea
resztki	resturile
resztki	resturi
zagrożony	amenintat
zagrożony	amenintat
martínez	martínez
dzieciństwa	copilarie
dzieciństwa	copilarie
dzieciństwa	copilaria
dzieciństwa	copilaria
portów	porturile
portów	porturi
nicholas	nicholas
nicholas	nicolae
mateusza	matei
mateusza	matthew
punk	derbedeu
punk	punk
brać	ia
brać	luati
specjalistów	specialisti
specjalistów	profesionisti
specjalistów	profesionisti
spencer	spencer
wiatru	vantul
wiatru	vant
wiatru	vant
wiatru	wind
wiatru	vantul
syberii	siberia
tarcza	scut
tarcza	scutul
tarcza	shield
romuald	romuald
przedstawiciela	reprezentativ
przedstawiciela	reprezentativa
przedstawiciela	reprezentantul
przedstawiciela	reprezentative
przedstawiciela	reprezentant
piwo	bere
piwo	berea
piwo	beri
piwo	berile
arystokrata	aristocrat
kultur	culturile
kultur	culturi
willi	willi
willi	vile
katastrof	catastrofe
katastrof	dezastre
katastrof	dezastrele
komenda	comanda
komenda	comanda
atlantic	atlantic
atlantic	atlanticul
atlantic	atlanticului
uni	uni
pokonać	bate
pokonać	infrangere
pokonać	infrangerea
age	varsta
age	varsta
age	varsta
age	age
rysunek	poza
rysunek	poza
rysunek	imagine
rysunek	schita
rysunek	schita
rysunek	schita
rysunek	figura
rysunek	figura
rysunek	desenul
rysunek	desen
rysunek	desenez
widząc	vazand
urzędnicy	oficiali
urzędnicy	functionarii
urzędnicy	oficialii
urzędnicy	functionari
panorama	panorama
panorama	panorama
gitarze	chitara
gitarze	chitara
karne	penalty
karne	pedeapsa
karne	pedeapsa
karne	penalizare
karne	penal
dole	dole
marsa	marte
marsa	mars
podpis	caption
podpis	descriere
podpis	legenda
podpis	semnatura
podpis	semnatura
podpis	semnatura
znajomości	legaturi
znajomości	conexiuni
nigerii	nigerian
nigerii	nigeria
posiadać	au
posiadać	poseda
posiadać	poseda
potencjał	potential
potencjał	potentialul
potencjał	potential
włoskie	italiana
włoskie	italiana
włoskie	italian
xbox	xbox
boeing	boeing
niespodziewanie	surprinzator
niespodziewanie	surprinzator
wirginia	virginia
dick	scula
dick	dick
dick	pula
dick	pula
konie	cai
konie	cailor
konie	caii
konie	calul
konie	horse
konie	cal
agresji	agresiune
agresji	agresivitate
agresji	agresiunea
kiss	pup
rezerw	rezervele
rezerw	rezerve
kolejność	comanda
kolejność	ordinea
kolejność	comanda
kolejność	ordine
kolejność	ordin
kolejność	secventa
imigrantów	imigranti
imigrantów	imigrant
pogrzeb	inmormantare
pogrzeb	inmormantare
pogrzeb	funeralii
pogrzeb	inmormantarea
pogrzeb	funeraliile
angelo	angelo
leszno	leszno
mostów	podurile
mostów	poduri
petra	petra
bułgaria	bulgaria
straße	straße
lekkoatletyka	atletism
kopia	copia
kopia	copiere
kopia	copie
kopia	copiaza
podróżnik	calator
podróżnik	calator
bogate	bogata
bogate	bogata
bogate	rich
bogate	bogat
odziedziczył	mostenit
odziedziczył	mostenit
delegacji	delegatia
delegacji	delegarea
delegacji	delegare
ems	ems
chelsea	chelsea
zwolennicy	suporterii
zwolennicy	suporteri
wątek	fir
wątek	firul
związani	legata
związani	legat
nigdzie	nicaieri
nigdzie	nicaieri
nigdzie	niciunde
ograniczone	limited
ograniczone	limitate
ograniczone	limitat
ograniczone	limitata
ograniczone	restrictionat
kowalczyk	kowalczyk
amerykanów	americanilor
amerykanów	americanii
amerykanów	americani
dowolny	freestyle
dowolny	oricare
dowolny	orice
sosnowiec	sosnowiec
alfons	alfonso
alfons	proxenet
właściwy	competent
właściwy	competenta
właściwy	competente
amerykanin	american
amerykanin	americana
amerykanin	americanca
linux	linux
bordeaux	bordeaux
teorie	teorie
teorie	teoria
teorie	teoriile
teorie	teorii
hierarchii	ierarhia
hierarchii	ierarhie
centralne	centrala
centralne	centrale
centralne	centrala
centralne	central
porsche	porsche
emilia	emilia
emilia	emilie
sołectwo	sołectwo
powiązane	asociate
powiązane	asociat
powiązane	asociata
powiązane	conectat
powiązane	conectate
powiązane	conectata
powiązane	legate
powiązane	legata
powiązane	legate
katolicyzm	catolicism
milion	milioane
milion	milion
etiopii	etiopia
etiopii	etiopian
błędne	eronata
błędne	eronat
błędne	eronate
doświadczeń	experiente
doświadczeń	experiente
projektant	designer
otwór	hole
otwór	gaura
otwór	gaura
justyna	justine
justyna	justin
propagandy	propaganda
propagandy	propaganda
odpowiedzialność	responsabilitate
odpowiedzialność	raspundere
odpowiedzialność	raspunderea
odpowiedzialność	responsabilitati
odpowiedzialność	responsabilitatile
odpowiedzialność	responsabilitatea
odpowiedzialność	responsabilitate
odpowiedzialność	responsabilitate
police	politie
police	politia
police	politia
bundesligi	bundesliga
dysku	discul
dysku	disc
dysku	discheta
hokej	hockey
hokej	hochei
liu	liu
wyjaśnienia	explicatie
wyjaśnienia	explicatia
wyjaśnienia	explicatie
wyjaśnienia	explicatii
wyjaśnienia	explicatii
wyjaśnienia	clarificare
wyjaśnienia	clarificari
wyjaśnienia	clarificarea
ołeksandr	oleksandr
okrążenia	ture
okrążenia	poala
okrążenia	poala
hop	hop
współrzędnych	coordonatele
współrzędnych	coordonate
marynarzy	marinari
marynarzy	marinarii
marynarzy	marinari
marynarzy	marinarii
marynarzy	marinarilor
marynarzy	navigatorilor
marynarzy	mariners
avenue	avenue
gustav	gustav
mobile	mobile
mobile	mobil
mobile	mobila
filadelfii	philly
filadelfii	philadelphia
kadencja	termenul
kadencja	termen
kadencja	mentiune
kadencja	cadence
poczta	mail
poczta	posta
poczta	posta
poczta	posteaza
poczta	post
poczta	postare
poczta	postarea
wenus	venus
graf	graf
cosworth	cosworth
funduszu	fondul
funduszu	fond
felipe	felipe
zasług	merite
zasług	merit
wyemigrował	emigrat
wyemigrował	emigrat
wyróżnić	subliniez
wyróżnić	evidentiaza
zurychu	zürich
zurychu	zurich
pasażerski	pasageri
pasażerski	pasager
pasażerski	pasagerul
cia	cia
cia	cia
cia	cla
pojedynczy	singura
pojedynczy	single
pojedynczy	singur
sprinter	sprinter
ból	durerea
ból	durere
ból	dureri
rgb	rgb
pierwotne	primare
pierwotne	primara
pierwotne	primar
grobu	mormant
grobu	mormant
martín	martín
więzienie	inchisoare
więzienie	puscarie
więzienie	inchisoarea
więzienie	inchisoare
więzienie	inchisoare
więzienie	inchisoarea
więzienie	inchisoarea
kupił	cumparat
kupił	cumparata
kupił	cumparat
kupił	cumparate
wycofany	retrase
wycofany	retrasa
wycofany	retras
justin	justin
beck	beck
true	adevarat
true	adevarat
ginie	gina
collegium	collegium
indianapolis	indianapolis
sprawdzone	verificate
sprawdzone	verificat
sprawdzone	verificata
sprawdzone	verificate
sprawdzone	verificat
sprawdzone	verificata
sprawdzone	inspectat
sprawdzone	inspectate
sprawdzone	testate
sprawdzone	testat
sprawdzone	testata
żużlu	speedway
rzymskie	romana
rzymskie	roman
godło	emblema
godło	emblema
hampshire	hampshire
motywy	teme
motywy	considerente
motywy	considerentele
tras	trasee
tras	rutele
tras	rute
rakieta	racheta
rakieta	racheta
rakieta	rocket
rakieta	racheta
hart	hart
khan	khan
podanie	aplicarea
podanie	aplicatie
podanie	cerere
podanie	trece
podanie	pass
podanie	pasa
podanie	pasa
luca	luca
akademickie	academic
akademickie	academica
akademickie	academice
szt	buc
dialogi	dialoguri
przywilej	privilegiu
przywilej	privilegiul
przywilej	privilegiile
przywilej	privilegii
sri	sri
lekki	lumina
lekki	light
lekki	lumina
karaibów	caraibe
konserwatorium	conservatorul
konserwatorium	conservator
basen	piscina
basen	biliard
basen	piscina
roll	rola
roll	roll
uchodźców	refugiat
uchodźców	refugiati
uchodźców	refugiati
owoc	fructul
owoc	fructe
owoc	fructele
owoc	fruct
empire	empire
empire	imperiul
empire	imperiu
empire	imperiului
pióra	stilouri
pióra	pixuri
pióra	penele
pióra	pene
ski	ski
ski	schi
okręgów	cartiere
okręgów	districtele
okręgów	districte
regularne	regulata
regularne	regulate
regularne	regulat
regularne	obisnuit
break	break
break	rupe
break	pauza
break	sparge
break	pauza
druku	imprimare
druku	imprimarea
druku	tiparire
zasoby	resursa
zasoby	resursa
zasoby	resurse
zasoby	resursele
zasoby	resurse
zasoby	stocul
zasoby	stoc
ran	rana
ran	rana
ran	rani
ran	ranile
ran	rani
objętości	volumul
objętości	volum
objętości	volume
objętości	volumele
radosław	radosław
czystości	puritate
czystości	puritatea
oskar	oscar
oskar	oskar
szczęścia	norocul
szczęścia	fericirea
szczęścia	fericire
modlitwa	rugaciuni
modlitwa	rugaciunile
modlitwa	rugaciune
modlitwa	rugaciunea
modlitwa	rugaciunea
modlitwa	rugaciune
marine	marin
marine	marina
marine	marine
rasa	rasa
rasa	rasa
rasa	rasa
rasa	cursa
rasa	rasa
rasa	race
rasa	cursa
tymczasowy	temporare
tymczasowy	temporara
tymczasowy	temporar
tymczasowy	temporara
tymczasowy	interimar
tymczasowy	provizorii
tymczasowy	provizoriu
tymczasowy	provizorie
satelita	satelitul
satelita	satelit
pérez	pérez
przykładów	exemple
era	epoca
lang	lang
królowie	regilor
królowie	kings
królowie	regii
królowie	regi
pascal	pascal
pomógł	ajutat
gridcolor	gridcolor
teatrów	teatre
teatrów	cinematografe
teatrów	teatre
dyskografia	discografia
koń	calul
koń	horse
koń	cal
pacjenta	pacienta
pacjenta	pacientul
pacjenta	pacienta
pacjenta	pacient
potrzebna	nevoie
potrzebna	nevoie
proponuje	propune
uderzenie	impact
uderzenie	impactul
uderzenie	hit
uderzenie	lovit
uderzenie	loveste
popełnił	comis
popełnił	comise
piaski	sands
piaski	nisipuri
piaski	nisipurile
annie	annie
secret	secreta
secret	secret
secret	secreta
secret	secrete
secret	secretul
zmniejsza	reduce
polecenia	comenzi
polecenia	comanda
polecenia	comanda
fortu	fortul
fortu	fort
aleksandrii	alexandria
praktyka	stagiu
praktyka	practici
praktyka	exerseaza
praktyka	practica
praktyka	practica
sainte	sainte
środowisk	mediile
ska	ska
zaangażowany	implicate
zaangażowany	implicata
zaangażowany	implicat
zaangażowany	comis
zaangażowany	comise
pomiarów	masuratori
pomiarów	masuratorile
renesansu	renascentist
częste	comuna
częste	comun
częste	comuna
częste	frecvente
grażyna	grażyna
jelita	intestine
jelita	intestinele
jelita	intestin
jelita	intestinul
jelita	intestine
jelita	intestinului
jelita	intestin
jelita	intestinul
jelita	intestinale
jelita	intestinal
jelita	intestinala
jelita	intestine
jelita	intestinele
zdrowie	sanatate
zdrowie	sanatatea
zdrowie	sanatate
cbs	cbs
rolnicze	agricol
rolnicze	agricole
charakteryzują	caracterizeaza
partnerem	partenere
partnerem	partenera
partnerem	partenerul
partnerem	partener
przedstawiono	prezentat
przedstawiono	prezentata
przedstawiono	prezentate
honoru	onoare
honoru	onoarea
honoru	onoare
honoru	onoarea
square	patrat
square	square
square	patrat
odrębne	distinct
odrębne	distincta
odrębne	distincte
odrębne	separat
odrębne	separa
odrębne	separata
odrębne	separate
obydwa	amandoua
obydwa	amandoi
obydwa	ambele
obydwa	amandoua
czaszki	craniile
czaszki	cranii
czaszki	craniu
czaszki	skull
czaszki	craniul
fischer	fischer
białek	proteinele
białek	proteine
publiczny	publice
publiczny	public
publiczny	publica
mail	mail
mail	posta
mail	posta
nieznacznie	usor
tronie	tronul
tronie	tron
kogo	cine
kogo	care
francuz	francez
francuz	francezul
heaven	ceruri
heaven	rai
heaven	raiul
cen	cen
rozkładu	descompunerea
rozkładu	descompunere
piła	baut
piła	baut
piła	vazut
piła	fierastrau
piła	ferastrau
śniegu	zapada
śniegu	ninsoare
śniegu	zapada
śniegu	zapada
damian	damian
istoty	fiinte
istoty	fiinte
istoty	creaturile
istoty	creaturi
ołtarzu	altarul
ołtarzu	altar
policjant	cop
policjant	politist
policjant	politist
policjant	politist
policjant	politist
toledo	toledo
cannes	cannes
informacyjny	informativ
geschichte	geschichte
gospodarstwo	ferma
gospodarstwo	ferma
gospodarstwo	holding
wiosce	satul
wiosce	village
wiosce	satului
wiosce	sat
teologiczne	teologice
ograniczona	limited
ograniczona	limitate
ograniczona	limitat
ograniczona	limitata
ograniczona	restrictionat
kontynuować	continuati
kontynuować	continua
kontynuować	continua
dem	dem
potwierdzenie	confirmarea
potwierdzenie	confirmare
management	gestionare
management	conducerea
management	managementul
management	gestionarea
management	management
split	impartit
split	divizat
split	split
split	imparte
kenneth	kenneth
przeżył	supravietuit
przeżył	supravietuit
sosna	pine
sosna	pin
paragwaju	paraguay
bunt	revolta
bunt	revolta
bunt	revolta
bunt	revolta
bunt	rebeliune
bunt	rebeliunea
pete	pete
suche	usca
suche	uscate
suche	uscat
suche	uscata
ward	ward
baz	baz
owłosione	paroasa
owłosione	paros
promieniowanie	radiatii
promieniowanie	radiatii
struga	struga
eduardo	eduardo
sweet	sweet
sweet	dulce
sweet	dulci
skierowane	dirijat
skierowane	regizat
skierowane	regia
kolorów	culori
kolorów	culorile
fernández	fernández
rycerz	knight
rycerz	cavaler
rycerz	cavalerul
watson	watson
wyraża	exprima
wprowadzona	introdusa
wprowadzona	introduse
wprowadzona	introdus
zwrot	rambursare
zwrot	restituirea
zwrot	restituire
zwrot	retur
zwrot	intoarcere
zwrot	rambursare
zwrot	rambursarea
funkcjonowanie	operatie
funkcjonowanie	operatiune
funkcjonowanie	operatiunea
funkcjonowanie	operatiunea
białoruś	belarus
socjalistyczna	socialista
socjalistyczna	socialist
socjalistyczna	socialiste
czołg	tank
czołg	rezervor
czołg	tanc
egzemplarze	copiile
zboczach	pante
słowackiej	slovaca
słowackiej	slovacia
widział	vazut
widział	fierastrau
widział	ferastrau
połączona	fuzionat
patrol	patrula
patrol	patrula
patrol	patrulare
litera	scrisoare
litera	scrisoarea
litera	litera
oznaczony	etichetate
oznaczony	etichetat
oznaczony	etichetata
oznaczony	marcata
oznaczony	marcat
oznaczony	marcate
control	control
control	controleaza
control	controlul
chóru	cor
chóru	corul
chóru	refren
chóru	cor
chóru	corul
starcia	ciocniri
maroka	marocan
athletic	atletic
aresztowania	arestari
aresztowania	arestarile
okien	windows
okien	ferestre
okien	geamuri
okien	ferestrele
karen	karen
reorganizacji	reorganizarea
reorganizacji	reorganizare
reorganizacji	reorganizarea
reorganizacji	reorganizare
odpowiedni	adecvata
odpowiedni	corespunzatoare
odpowiedni	corespunzator
odpowiedni	adecvat
odpowiedni	adecvata
odpowiedni	adecvate
odpowiedni	adecvat
śledztwo	ancheta
śledztwo	ancheta
śledztwo	investigatie
enwiki	enwiki
wrc	wrc
względnie	relativ
praktyczny	practice
praktyczny	practica
praktyczny	practic
ograniczony	limited
ograniczony	limitate
ograniczony	limitat
ograniczony	limitata
ograniczony	restrictionat
arabskie	arab
arabskie	araba
arabskie	arabe
arabskie	araba
arabskie	araba
lewo	stang
lewo	stanga
lewo	stanga
lewo	stinga
kopenhadze	copenhaga
wyścigi	rase
wyścigi	curse
wyścigi	curse
gracze	jucatori
gracze	jucatori
gracze	jucatorii
holland	olanda
holland	holland
halle	halle
sumy	sum
sumy	suma
sumy	suma
sumy	sumele
sumy	sume
bractwa	fraternitate
bractwa	fraternitate
tajemnica	mister
tajemnica	misterul
tajemnica	secreta
tajemnica	secret
tajemnica	secreta
tajemnica	secrete
tajemnica	secretul
targ	bazar
targ	piata
targ	piata
targ	piata
targ	piata
targ	piata
targ	market
połączony	conectat
połączony	conectate
połączony	conectata
kraina	teren
kraina	terenuri
kraina	land
kraina	pamant
szeregi	randurile
szeregi	serie
szeregi	serii
szeregi	seria
potrzebny	nevoie
potrzebny	nevoie
mig	mig
oryginalna	originala
oryginalna	originale
oryginalna	original
oryginalna	originala
kanały	canalele
kanały	canale
kanały	canal
kanały	canalul
kanały	channel
konklawe	conclav
boczny	lateral
boczny	laterala
zoo	zoo
pokryta	acoperit
pokryta	acoperita
pokryta	acoperite
turner	turner
ambasady	ambasade
ambasady	ambasadei
ambasady	ambasada
ambasady	ambasada
jefferson	jefferson
spartak	spartak
partner	partenere
partner	partenera
partner	partenerul
partner	partener
partner	afiliat
transmisji	transmitere
transmisji	transmisie
transmisji	transmiterea
transmisji	transmisiune
transmisji	difuzat
transmisji	transmisie
transmisji	transmisiune
transmisji	difuzare
teodora	teodora
teodora	theodora
właściciele	proprietarii
właściciele	proprietari
właściciele	proprietarilor
albrecht	albrecht
kolonie	colonii
kolonie	coloniile
joão	joão
heinz	heinz
wygrana	castiga
wygrana	victorie
wygrana	castiga
wygrana	castigatoare
regulamin	regulament
regulamin	regulamentul
regulamin	reglementare
regulamin	reglementarea
que	que
rachel	rachel
flotylli	flotilei
wenecja	venetia
wenecja	venetia
wenecja	venetia
idee	idei
idee	ideile
sierżant	sergent
sierżant	sarge
sierżant	sergent
wynalazca	inventatorul
wynalazca	inventator
bei	bei
skarb	pretios
skarb	pretios
skarb	precious
skarb	pretioase
skarb	comoara
skarb	comoara
skarb	comori
ogrody	gradini
ogrody	gradinile
ogrody	gardens
prokurator	procuror
prokurator	procurorul
pamiętnik	journal
pamiętnik	jurnalul
pamiętnik	jurnal
pamiętnik	jurnalul
pamiętnik	jurnal
stawu	pond
stawu	balta
stawu	iazul
stawu	iaz
przewodnictwem	presedintia
prawdopodobne	probabila
procedury	procedurile
procedury	proceduri
procedury	procedura
procedury	procedura
disco	discoteca
disco	discoteca
disco	disco
barona	baron
sumę	sum
sumę	suma
sumę	suma
uczestniczyło	participat
prawny	juridice
prawny	legale
prawny	juridic
prawny	legala
prawny	legal
cząsteczki	particule
cząsteczki	particulele
cząsteczki	particule
cząsteczki	molecule
cząsteczki	moleculele
cząsteczki	particule
cząsteczki	particula
cząsteczki	particula
fair	echitabil
fair	fair
fair	corect
wstawić	insereaza
czysto	clar
czysto	limpede
urzędy	birourile
urzędy	oficii
urzędy	birouri
plemiona	triburile
plemiona	triburi
nadzwyczajny	extraordinara
nadzwyczajny	extraordinar
nadzwyczajny	extraordinara
nadzwyczajny	extraordinare
linda	linda
musical	muzical
musical	musical
zawodowo	profesional
virginia	virginia
mistrzowie	masterat
mistrzowie	masters
mistrzowie	stapani
mistrzowie	stapanii
mistrzowie	campionii
mistrzowie	campioni
mistrzowie	campionilor
drewno	lemn
drewno	lemnul
drewno	wood
drewno	lemne
drewno	cherestea
salvador	salvador
dąbrówka	dąbrówka
islam	islamul
islam	islamului
