शोधकर्ता	výskumník
उपनिवेशों	kolónia
उपनिवेशों	kolónii
बहुवचन	plurál
एकाधिकार	monopol
एकाधिकार	monopoly
एकदिवसीय	odi
विनाशकारी	katastrofálne
विनाशकारी	ničivé
मिसौरी	missouri
बहुराष्ट्रीय	nadnárodná
मारी	márie
मारी	marie
मारी	mária
मारी	mari
कार्गो	nákladu
कार्गो	náklad
शुभारंभ	spustenie
शुभारंभ	spúšťanie
आमेर	amer
दारा	darius
दारा	dara
फ़्रांसीसी	francúzske
फ़्रांसीसी	francúzština
फ़्रांसीसी	francúzsky
फ़्रांसीसी	francúz
फ़्रांसीसी	francúzska
जादूगर	čarodejníka
जादूगर	sprievodca
जादूगर	čarodejník
जादूगर	kúzelníci
जादूगर	kúzelník
प्रतिमान	vzor
प्रतिमान	paradigmy
सच्चा	pravda
सच्चा	true
सच्चा	pravdivé
वोल्ट	volt
अमोनिया	amoniaku
विश्लेषणात्मक	analytická
विश्लेषणात्मक	analytické
विश्लेषणात्मक	analytický
प्रतिबद्धता	odhodlanie
प्रतिबद्धता	záväzok
प्रतिबद्धता	angažovanosť
डू	doo
विधायिका	zákonodarca
पकड़ा	chytil
कॉफ़ी	káve
कॉफ़ी	kávu
कॉफ़ी	kava
कॉफ़ी	kafe
कॉफ़ी	káva
उल्टा	reverznej
उल्टा	spätný
उल्टा	obrátenej
एलेन	ellen
किराए	cestovné
किराए	cestovného
किराए	prenájom
किराए	prenajať
किराए	nájom
किराए	nájomné
न्यायालयों	súdy
न्यायालयों	súdov
एस्टन	aston
मांसपेशी	svaly
मांसपेशी	sval
मांसपेशी	svalov
मांसपेशी	svalstvo
विषाक्त	jedovatý
विषाक्त	toxické
विषाक्त	toxická
विषाक्त	toxický
तूफ़ान	búrky
तूफ़ान	tajfún
तूफ़ान	storm
तूफ़ान	búrka
कड़ा	silno
कड़ा	tesné
कड़ा	pevne
कड़ा	tvrdá
कड़ा	tvrdo
कड़ा	silno
कड़ा	ťažké
कड़ा	ťažko
बदली	zatiahnuté
पड़ाव	míľnik
एंजाइम	enzým
मूसा	mojžiš
मूसा	musa
पिंक	pink
पिंक	ružovú
पिंक	ružové
पिंक	ružový
पिंक	ružová
बैरी	barry
बैरी	antagonista
कॉमर्स	obchod
कॉमर्स	komerčné
जीप	jeep
चलाना	exec
चलाना	vykonávanie
चलाना	poprava
चलाना	vykonanie
चलाना	realizácia
चलाना	plnenie
दादी	babička
दादी	starka
दादी	babička
दादी	babka
कमिश्नर	komisár
पहाड़ियाँ	kopcov
पहाड़ियाँ	hills
पहाड़ियाँ	kopce
मैथ्यू	matthew
मैथ्यू	matúš
गंधक	síry
गंधक	síra
गंधक	síry
गंधक	síra
षड्यंत्र	sprisahanie
दूषित	poškodený
दूषित	poškodená
दूषित	poškodené
पश्च	zadné
पश्च	zadná
पश्च	zadný
रीडर	čitateľ
रीडर	reader
मिर्ज़ा	mirza
क्रांतिकारियों	revolucionári
हीरे	diamantov
हीरे	diamanty
प्रशिक्षक	trénera
प्रशिक्षक	tréner
प्रशिक्षक	inštruktor
प्रशिक्षक	inštruktora
नास्तिक	ateizmus
नास्तिक	ateista
प्रचारित	propagovaný
प्रचारित	podporované
प्रचारित	povýšený
सांसारिक	pozemské
प्रवर्धक	zosilňovač
फसलें	plodiny
फसलें	plodín
डायोड	dióda
अमूर्त	abstraktné
सौभाग्य	našťastie
सौभाग्य	bohatstvo
ब्रायंट	bryant
गैरी	garry
गैरी	garyho
गैरी	gary
साइमन	šimon
साइमन	simon
साइमन	simona
कार्बोनेट	uhličitan
कार्बोनेट	uhličitanu
हिब्रू	hebrejčine
बर्ड	vtáčik
बर्ड	bird
बर्ड	vták
बर्ड	vtáka
आत्मसमर्पण	odovzdanie
आत्मसमर्पण	vzdať
एथलेटिक्स	atletike
तैराकी	kúpanie
तैराकी	plávanie
तैराकी	plávajúce
हक	haq
संस्थागत	inštitucionálne
संस्थागत	inštitucionálny
संस्थागत	inštitucionálna
चिट्ठा	blog
चिट्ठा	blogu
ठंड	studená
ठंड	studené
ठंड	chladná
ठंड	zima
ठंड	chlad
चूहे	myší
चूहे	myši
चूहे	myšiach
चूहे	potkany
चूहे	krysy
चूहे	potkanov
लीड	vedú
लीड	vedie
लीड	vedenia
लीड	vedúci
लीड	olovo
लीड	vedenie
लीड	viesť
दरार	trhlina
दरार	trhlina
दरार	crack
दार्शनिकों	filozofi
प्राणायाम	pránajáma
संवेदना	sústrasť
सॉफ़्टवेयर	softvér
सॉफ़्टवेयर	software
परवाह	care
परवाह	starostlivosti
परवाह	starostlivosť
बमबारी	bombardovanie
बमबारी	bomby
बमबारी	bomba
कीड़े	červy
कीड़े	červov
कठपुतली	bábku
कठपुतली	bábka
अधीनस्थ	podriadený
अधीनस्थ	podriadené
ग्रीनहाउस	skleníkových
ग्रीनहाउस	skleníkové
कैम्प	tábora
कैम्प	camp
कैम्प	tábor
कैम्प	táboroch
कैम्प	tábory
कैम्प	táborov
किस्में	prameňov
किस्में	odrôd
किस्में	odrody
किस्में	odrodu
किस्में	rôznorodosť
किस्में	odrody
किस्में	odroda
विषाक्तता	otravy
विषाक्तता	otravu
विषाक्तता	otrava
खोजी	prieskum
सम्मेलनों	konferencií
सम्मेलनों	konferencie
चिंतित	znepokojený
चिंतित	dotknuté
चिंतित	dotknutá
चिंतित	starosti
स्टारबक्स	starbucks
छुटकारा	záchrany
जॉर्डन	jordánsko
जॉर्डन	jordan
एथलीट	športovec
एथलीट	atlét
एथलीट	športovci
एथलीट	športovcov
विधिक	zákonné
विधिक	právna
विधिक	právny
विधिक	právne
विधिक	legálne
असुरक्षित	neistý
असुरक्षित	neisté
असुरक्षित	neistá
रेखीय	lineárne
रेखीय	lineárna
रेखीय	lineárny
शहद	zlatko
शहद	miláčik
शहद	med
अम्लीय	kyslých
अम्लीय	kyslé
अम्लीय	kyslá
अम्लीय	kyslý
ऑपरेटर	operátor
ऑपरेटर	prevádzkovateľa
ऑपरेटर	prevádzkovateľ
ऑपरेटर	operátori
ऑपरेटर	prevádzkovateľov
ऑपरेटर	prevádzkovatelia
नल	null
प्रेसीडेंसी	predsedníctva
प्रेसीडेंसी	predsedníctvo
कुक	kuchárka
कुक	cook
कुक	kuchár
कुक	variť
मनी	money
मनी	peňazí
मनी	peniaze
मनी	mani
नारा	slogan
चढ़	hrdze
सेक्टर	sektor
सेक्टर	odvetvie
सेक्टर	sektorov
सेक्टर	odvetvia
सेक्टर	sektory
महासागरीय	oceánia
क्रियाशील	aktívneho
क्रियाशील	aktívne
क्रियाशील	aktívni
क्रियाशील	aktívny
क्रियाशील	aktívna
बैठकों	stretnutí
बैठकों	zasadnutia
बैठकों	stretnutia
बैठकों	schôdze
बैठकों	zasadania
भट्ठी	pece
भट्ठी	kotol
भट्ठी	pec
कारें	cars
कारें	áut
कारें	automobily
कारें	autá
क्योकि	lebo
क्योकि	pretože
क्योकि	pretoze
सभ्य	slušný
सभ्य	slušná
सभ्य	slušné
विकलांगता	postihnutie
विकलांगता	invalidný
विकलांगता	postihnutia
अनजाने	nevedomky
नोट्स	poznámok
नोट्स	noty
नोट्स	poznámky
नोट्स	poznamenáva
विलास	vilas
कहें	povedať
कहें	povedz
एव	ave
सामी	sami
धर्मशास्त्र	teológia
सीखा	naučila
सीखा	naučil
सीखा	dozvedela
सीखा	dozvedel
आर्क	oblúk
ट्रम्प	trump
मौद्रिक	menový
मौद्रिक	peňažná
मौद्रिक	peňažný
मौद्रिक	menové
मौद्रिक	menová
यीशु	ježiš
यीशु	ježiša
यीशु	jesus
चश्मे	okuliare
चश्मे	okuliare
चश्मे	sklá
चश्मे	poháre
प्लूटो	pluto
डेनियल	danielovi
डेनियल	daniel
डेनियल	danilo
थोक	veľkoobchod
पैरिस	paris
पैरिस	paríž
पैरिस	paríža
पैरिस	paríži
कामयाबी	úspešné
कामयाबी	úspešný
कामयाबी	úspešná
कामयाबी	úspešnosť
कामयाबी	úspech
प्रोटोटाइप	prototyp
सिलसिले	silas
कुरु	kuru
फर्क	rozlišovať
फर्क	rozdiel
फर्क	rozdielu
इयान	ian
दुग्ध	mliečne
भयभीत	bojím
भयभीत	strach
वसूली	zotavenie
वसूली	vymáhanie
वसूली	zhodnotenie
वसूली	obnovy
वसूली	vrátenie
मौन	oslabili
मौन	pozastaviť
मौन	vypnúť
मौन	nemý
मौन	ticha
मौन	mlčanie
मौन	ticho
मौन	mlčať
डिप्लोमा	diplomu
डिप्लोमा	diplom
घटा	pokles
घटा	zníženie
घटा	znižovať
घटा	znížiť
पॉइंट	body
पॉइंट	bodov
पॉइंट	bod
त्वरण	urýchlenie
त्वरण	zrýchlenia
त्वरण	zrýchlenie
जमैका	jamajka
स्केल	rozsahu
स्केल	stupnica
मक्खन	masla
मक्खन	maslo
साम्राज्यवाद	imperializmu
सूत	priadza
सूत	priadze
सूत	bavlnu
सूत	bavlny
सूत	bavlna
सूत	bavlnené
इज़राइल	izraela
इज़राइल	izrael
इज़राइल	izraelom
वैधता	zákonnosti
वैधता	zákonnosť
वैधता	platnosť
अनन्य	výhradné
अनन्य	exkluzívne
अनन्य	exkluzívny
अनन्य	výlučné
मिथक	mýtus
श्रृंगार	mejkap
श्रृंगार	makeup
प्रावधानों	ustanovenia
प्रावधानों	rezervy
नतीजा	spad
अर्ल	earl
आवंटित	pridelené
आवंटित	pridelený
आवंटित	pridelená
निर्देशिका	priečinok
निर्देशिका	adresár
निर्देशिका	index
निर्देशिका	adresárov
आंग्ल	anglo
समता	parity
समता	rovnosť
समता	rovnosť
एवेन्यू	avenue
बेरोजगारी	nezamestnanosti
बेरोजगारी	nezamestnanosť
लत	závislosť
जुर्माना	fajn
जुर्माना	pokuty
जुर्माना	pokút
क़ुरान	korán
पूर्णता	doplnenie
पूर्णता	ukončenie
पूर्णता	dokončenie
पूर्णता	dopĺňanie
पूर्णता	dokonalosť
ओमान	omán
मार्केटिंग	marketing
मार्केटिंग	obchodovanie
पीड़ितों	obetí
पीड़ितों	obete
शक्तियां	právomoci
शक्तियां	sily
शक्तियां	síl
बादलों	oblaky
बादलों	oblakov
बादलों	oblakoch
बादलों	mraky
चतुर्भुज	štvoruholník
चतुर्भुज	obdĺžnik
चीता	gepard
चीता	leopard
मूक	oslabili
मूक	tiché
मूक	tichá
मूक	tichý
मूक	pozastaviť
मूक	vypnúť
मूक	nemý
लीन	lyn
प्रतिभाशाली	geniálne
प्रतिभाशाली	génius
प्रतिभाशाली	talentovaný
प्रतिभाशाली	talentovaná
पनीर	syr
पनीर	syry
पनीर	syra
स्मार्ट	inteligentné
स्मार्ट	múdry
स्मार्ट	šikovný
स्मार्ट	smart
स्मार्ट	múdra
नियोक्ता	zamestnávateľov
नियोक्ता	zamestnávatelia
नियोक्ता	zamestnávateľom
नियोक्ता	zamestnávateľa
नियोक्ता	zamestnávateľ
नियोक्ता	zamestnávateľom
मैडोना	madonna
बराक	barack
बराक	barak
चमकदार	svetelný
चमकदार	svetelného
चमकदार	lesklé
नाड़ी	tep
नाड़ी	impulz
नाड़ी	pulz
कादर	kader
स्पीकर	rečníka
स्पीकर	rečník
स्पीकर	hovorca
गैसें	plyny
सहभागिता	zapojenie
सहभागिता	interakcia
सहभागिता	angažovanosť
सहभागिता	interakcia
सहभागिता	interakcie
सहभागिता	interakciu
यों	doska
यों	dosku
गतिविधियाँ	aktivít
गतिविधियाँ	činnosť
गतिविधियाँ	činnosti
गतिविधियाँ	aktivity
इसराइल	izraela
इसराइल	izrael
इसराइल	izraelom
वाट	watt
वाट	wat
कृषक	farmári
कृषक	chovatelia
कृषक	poľnohospodárov
कृषक	poľnohospodári
ब्राउजर	prehliadač
गुदा	análny
टीकाकरण	očkovanie
टीकाकरण	vakcinácia
टीकाकरण	očkovania
मूर्तिकला	socha
मूर्तिकला	sochy
शाश्वत	večnosť
किरणें	lúče
वैश्वीकरण	globalizáciu
वैश्वीकरण	globalizácie
वैश्वीकरण	globalizácia
बैग	vak
बैग	tašku
बैग	vrecko
बैग	vrece
बैग	taška
बैग	vrecia
बैग	vaky
बैग	vrecúška
बैग	tašky
नर्तक	tanečníci
नर्तक	tanečnica
नर्तक	tanečník
ग्लूकोज	glukóza
ग्लूकोज	glukózy
ग्लूकोज	glukózu
नीतियाँ	politiky
नीतियाँ	politík
प्रतिभागियों	účastníkov
प्रतिभागियों	účastníkmi
प्रतिभागियों	účastníci
पढ़ना	čítania
पढ़ना	čítaní
पढ़ना	čítanie
पढ़ना	čítam
आपरेशन	operácie
आपरेशन	fungovanie
आपरेशन	operácia
आपरेशन	prevádzka
ब्रॉडबैंड	širokopásmové
मैनुअल	ručné
मैनुअल	manuál
मैनुअल	manuálne
मैनुअल	manuálna
मैनुअल	príručka
मैनुअल	príručke
दर्जन	tucta
दर्जन	tucet
सुखद	príjemnú
सुखद	príjemný
सुखद	príjemne
सुखद	príjemná
सुखद	príjemné
सस्ती	cenovo
सस्ती	lacné
सस्ती	lacno
सस्ती	lacná
सस्ती	lacný
बेखम	beckham
स्याही	atrament
रॉस	rossa
रॉस	ross
हवाओं	vietor
हवाओं	vetry
परम्पराओं	tradícií
परम्पराओं	tradície
पूछे	pýtať
पूछे	požiadal
पूछे	opýtal
सेब	jablko
सेब	jablkový
सेब	apple
रो	ró
रो	plakať
रो	plače
रो	plač
पुस्तकालयों	knižnice
पुस्तकालयों	knižnica
पुस्तकालयों	knižnici
पुस्तकालयों	knižnice
पुस्तकालयों	knižnicu
चौकी	checkpoint
बहनों	sestrami
बहनों	sestier
बहनों	sestry
अश्लील	porno
आपात	pohotovosť
आपात	núdzové
रेसलमेनिया	wrestlemania
नामीबिया	namíbia
स्त्रियाँ	ženy
स्त्रियाँ	žien
स्त्रियाँ	dámske
एनी	annie
मामा	mama
मामा	ujo
मामा	strýko
रूपांतर	variantu
रूपांतर	variant
नगरीय	urban
नगरीय	mestský
नगरीय	mestské
नगरीय	mestská
जैकी	jackie
क्रोधित	zúrivý
क्रोधित	zbesilo
क्रोधित	nahnevaní
क्रोधित	nahnevaný
क्रोधित	hnevať
क्रोधित	nahnevaná
तात्कालिक	naliehavé
तात्कालिक	okamžitá
तात्कालिक	okamžité
तात्कालिक	okamžitý
तात्कालिक	okamžite
हलके	zľahka
कमांड	príkazov
कमांड	príkazy
कमांड	veliteľstvo
कमांड	príkaz
कमांड	velenie
कोबेन	cobain
बुराई	zlo
बुराई	zla
बुराई	zlom
टाइपिंग	písania
टाइपिंग	písanie
टाइपिंग	písať
उत्तेजक	provokatívne
दशमलव	desatinné
दशमलव	čiarka
काई	kai
क्रूर	krutý
क्रूर	krutá
क्रूर	kruto
क्रूर	kruté
क्रूर	brutálna
क्रूर	brutálny
क्रूर	brutal
क्रूर	brutálne
जोनाथन	jonathan
हस्त	ručne
गढ़ी	garhi
फ्लाइट	letu
फ्लाइट	let
फ्लाइट	letom
फ्लाइट	letová
निकटता	blízkosť
निकटता	blízkosť
सैर	promenáda
सैर	kráča
सैर	prechádzky
सैर	kráčať
सैर	peši
सैर	chôdza
सैर	prechádzka
चिकनी	hladká
चिकनी	hladko
चिकनी	plynulé
चिकनी	hladký
चिकनी	hladké
चिकनी	mastné
कैनेडी	kennedyho
कैनेडी	kennedy
टाई	kravatu
विदेशियों	cudzincov
विदेशियों	cudzinci
अनुवादित	preložené
अनुवादित	preložil
अनुवादित	preložený
करोड़ों	nespočetné
इंजीनियरों	inžinieri
इंजीनियरों	inžinierov
गा	spievaj
गा	zaspievať
गा	spievať
पूछताछ	prešetrenie
पूछताछ	vyšetrovanie
पूछताछ	vyšetrovania
पूछताछ	vyšetrovaní
पूछताछ	vyšetrovanie
सर्पिल	špirála
परिशिष्ट	dodatok
परिशिष्ट	doplnok
गवाही	svedčiť
गवाही	vypovedať
गवाही	svedectvo
गवाही	výpoveď
वॉकर	walker
लेआउट	rozloženie
लेआउट	usporiadanie
कैदियों	zajatcov
कैदियों	väzňami
कैदियों	väzňov
कैदियों	väzni
फिजी	fidži
हुक	hook
हुक	hák
हुक	háčik
रिटर्न	vráti
रिटर्न	návratnosť
रिटर्न	vracia
रिटर्न	vrátenie
रिटर्न	návratnosť
रिटर्न	návrat
रिटर्न	vrátiť
प्लैटिनम	platiny
फिल	phil
फिलीपींस	filipín
फिलीपींस	filipíny
दीवारें	múry
दीवारें	steny
दीवारें	stien
सपाट	byt
सपाट	ploché
सपाट	plochá
नक़ल	skopírovať
नक़ल	kopírovať
नक़ल	kópia
नक़ल	kópie
फ्रेमवर्क	rámec
फ्रेमवर्क	rámca
फ्रेमवर्क	rámcom
देशभक्ति	patriotizmus
केन्या	keňa
केन्या	keni
बर्बाद	plytvanie
बर्बाद	odpad
बर्बाद	odpady
बर्बाद	plytvanie
कस्टम	colné
कस्टम	vlastný
कस्टम	vlastná
कस्टम	vlastné
अकादमिक	akademických
अकादमिक	akademické
अकादमिक	akademického
अकादमिक	akademický
शेन	shane
असीम	nekonečne
असीम	nekonečná
असीम	nekonečný
असीम	nekonečné
एकजुट	zjednotiť
कोलेस्ट्रॉल	cholesterolu
कोलेस्ट्रॉल	cholesterol
दांते	dante
किंगफिशर	rybárik
बगीचे	záhrade
बगीचे	záhrady
बगीचे	záhrada
मुराद	murad
युग्म	párových
ईमान	vieru
ईमान	viery
ईमान	viera
ईमान	viere
भट्टी	pece
भट्टी	kotol
भट्टी	pec
पोटैशियम	draslík
पोटैशियम	draselný
पोटैशियम	draslíka
केली	kelly
लोकगीत	folklór
सर्बिया	srbsko
स्प्रिंगस्टीन	springsteen
धर्मनिरपेक्ष	sekulárne
दृष्टिगोचर	viditeľný
दृष्टिगोचर	viditeľné
दृष्टिगोचर	viditeľná
तोप	dela
तोप	delá
तोप	delo
दूरभाष	telefón
दूरभाष	telefon
दूरभाष	telefónne
शेंगेन	schengen
शेंगेन	schengenského
शेंगेन	schengenu
दुल्हन	nevesta
आंत्र	týfus
जस्ता	zinočnatý
जस्ता	zinok
जस्ता	zinku
उड़	fly
उड़	letieť
उड़	letia
उड़	lietať
उड़	mucha
गुजरता	vyhovuje
गुजरता	prejde
गुजरता	prechádza
माली	záhradník
माली	mali
परियोजनाएं	projektmi
परियोजनाएं	projektov
परियोजनाएं	projektom
परियोजनाएं	projekty
सिएटल	seattle
सिएटल	seattli
जन्मस्थान	rodisku
टायर	pneumatiky
टायर	pneumatiky
टायर	pneumatík
टायर	pneumatika
टायर	pneumatiky
टायर	pneumatika
बाँस	bambus
सुधारक	reformácie
अठारह	osemnásť
उत्खनन	vykopávok
उन्नयन	upgrade
उन्नयन	modernizácia
उन्नयन	vylepšiť
उन्नयन	vylepšenie
उन्नयन	výška
पेंशन	penzión
पेंशन	dôchodok
गरिमा	dôstojnosti
गरिमा	dôstojnosť
गरिमा	dôstojný
धागे	priadza
धागे	priadze
बताना	povedať
बताना	povedzte
बताना	povedz
सिलेंडर	valcov
सिलेंडर	valce
मैक्सिकन	mexické
मैक्सिकन	mexický
देशो	krajinách
देशो	krajín
देशो	štáty
देशो	krajiny
खोपड़ी	lebku
खोपड़ी	lebky
खोपड़ी	lebka
कोलम्बिया	kolumbie
कोलम्बिया	kolumbii
कोलम्बिया	kolumbia
गोलियों	výstrely
विद्रोहियों	povstalci
विद्रोहियों	rebelov
विद्रोहियों	rebeli
पट्टिका	palety
कैसा	ako
कैसा	jak
स्टीवन	steven
टेल	príbeh
टेल	rozprávka
टेल	chvosty
टेल	chvost
कबीले	kmeňa
कबीले	kmeň
सूर्योदय	sunrise
सूर्योदय	úsvit
रणनीतिक	strategické
रणनीतिक	strategický
रणनीतिक	strategická
रणनीतिक	strategicky
रणनीतिक	taktické
झटके	šoky
झटके	otrasy
रीड	reed
प्रक्षेप	projekcia
प्रक्षेप	prognóza
प्रक्षेप	projekcie
प्रक्षेप	premietanie
पर्यवेक्षण	dohľad
पर्यवेक्षण	dozor
इसरो	isro
एमी	amy
एमी	emmy
प्लेटो	plato
मीन	ryby
कनाडाई	kanadský
रिसाव	úniky
रिसाव	únik
अनावरण	odhalený
निषिद्ध	zakázané
निषिद्ध	zakázaná
निषिद्ध	zakázaný
निषिद्ध	zakázané
निषिद्ध	zakázaná
निषिद्ध	zakázaný
सेम	fazuľa
सेम	bean
सेम	fazuľa
सेम	fazule
सेम	sem
रॉन	ron
बरसात	dážď
बरसात	dažďa
बरसात	rain
इंटेल	intel
फास्ट	rýchle
फास्ट	rýchlo
फास्ट	rýchly
फास्ट	rýchla
यथार्थवाद	realizmus
बाह	bah
तालिबान	talibanu
तालिबान	taliban
तालिबान	talibanom
दर्शनशास्त्र	filozofia
दर्शनशास्त्र	filozofie
दर्शनशास्त्र	filozofiu
स्वादिष्ट	chutná
स्वादिष्ट	chutné
स्वादिष्ट	chutný
स्वादिष्ट	vynikajúca
स्वादिष्ट	chutné
स्वादिष्ट	vynikajúce
ज्वाला	plameňa
ज्वाला	plameň
ईंटों	brick
कर्ज	dlhu
कर्ज	dlh
कर्ज	pohľadávka
कर्ज	dlhy
सलाद	šalát
सलाद	šaláty
सलाद	šalát
जलन	žiarlivá
जलन	žiarli
जलन	žiarlivý
जलन	žiarliť
जलन	zápalové
जलन	podráždenie
शौकिया	amatérske
शौकिया	amatér
अनूठा	jedinečný
अनूठा	unikátne
अनूठा	jedinečné
अनूठा	jedinečná
अनूठा	unikátny
कैरी	carrie
कैरी	carey
पहेली	hádanky
पहेली	puzzle
पहेली	skladačky
पहेली	hádanka
पहेली	puzzle
पहेली	enigma
रक्तस्राव	krvácanie
चादर	šál
चादर	list
चादर	plech
चादर	výtlačok
फ्रैंकलिन	franklin
एथिलीन	etylénu
एथिलीन	etylén
सेकेंड	sekúnd
सेकेंड	sekundy
सेकेंड	druhá
सेकेंड	druhé
सेकेंड	druhe
सेकेंड	sekunda
सेकेंड	druhý
आयुध	arzenálu
महापौर	starostom
महापौर	starosta
महापौर	primátor
महापौर	starostu
आयताकार	obdĺžnik
आयताकार	pravouhlých
प्रस्तावना	zavedenie
प्रस्तावना	úvod
प्रस्तावना	prológ
मैनहटन	manhattane
मैनहटन	manhattan
मॉरीशस	maurícius
लावा	láva
बाधाओं	zábrany
बाधाओं	bariéry
बाधाओं	prekážky
बाधाओं	prekážok
बाधाओं	prekážky
माइग्रेन	migréna
परिधान	šaty
परिधान	kostýmy
परिधान	odev
परिधान	odevy
परिधान	oblečenie
परिधान	odevov
गोलीबारी	prestrelke
गोलीबारी	streľba
गोलीबारी	strieľať
हब	huba
हब	náboj
हब	hub
जग	sveta
जग	svetová
जग	svete
जग	svet
जग	svetom
जग	world
जग	jag
पम्प	čerpadlo
पम्प	pumpa
मातृ	materský
मातृ	materinský
मातृ	materské
बायर	bayer
नाल	podkova
पवित्रता	posvätnosť
पवित्रता	čistota
पवित्रता	čistoty
पवित्रता	čistotu
पवित्रता	svätosti
पवित्रता	svätosť
लाभप्रद	ziskové
रोचेस्टर	rochester
श्रेष्ठता	prevahu
डोनाल्ड	donald
सीढ़ी	rebrík
प्रतिकृति	vzor
प्रतिकृति	replika
प्रतिकृति	repliky
घराने	žánre
ताड़	palm
ताड़	dlaň
धमाके	bang
परोसा	slúžila
परोसा	slúžili
परोसा	slúžil
कार्टर	carterová
कार्टर	carter
सिरदर्द	hlava
कट्टर	dogmatické
कट्टर	vytrvalým
कट्टर	besné
उपनिवेशवाद	kolonializmu
उपनिवेशवाद	kolónie
उपनिवेशवाद	kolóniu
उपनिवेशवाद	kolónia
