edustajien	verteenwoordigers
uskollinen	faithful
eng	eng
zürich	zürich
zürich	zurich
shakespeare	shakespeare
richardson	richardson
gerald	gerald
valvoa	monitor
hun	hun
oppinut	learned
oppinut	geleer
kriittinen	kritieke
kriittinen	krities
kriittinen	kritiese
kriittinen	kritiek
mississippi	mississippi
linnaan	kasteel
intialaiset	indians
intialaiset	indiane
onnistuneesti	suksesvol
mozart	mozart
heimot	tribes
aikuinen	grown
aikuinen	volwassene
birmingham	birmingham
obama	obama
keskusteluja	debatte
keskusteluja	gesprekke
keskusteluja	besprekings
murhasi	vermoor
murhasi	vermoorde
hampaat	tande
tulevia	komende
tulevia	opkomende
tulevia	naderende
todennäköisyys	waarskynlikheid
sidney	sidney
fantasia	fantasie
fantasia	fantasia
bonsai	bonsai
salin	gimnasium
huone	kamer
cool	koel
cool	afkoel
cool	cool
suoritettu	voltooi
suoritettu	afgehandel
sunnuntaina	sondag
con	con
applen	appel
applen	apple
iloinen	vrolik
iloinen	vrolike
iloinen	blymoedige
iloinen	bly
iloinen	gelukkig
matematiikka	wiskunde
matematiikka	wiskunde
latviassa	letland
konsensus	consensus
hammer	hamer
hammer	hammer
näyttelyssä	exhibition
kasvatus	ouerskap
kasvatus	foster
kasvatus	breeding
vuokra	huur
säilyttämistä	aanhouding
rikas	ryk
angelo	angelo
mittakaavassa	skaal
läpimitta	deursnee
läpimitta	diagonale
valvonta	kontrole
valvonta	beheer
valvonta	monitering
valvonta	observasie
valvonta	toesig
nathan	nathan
painava	swaar
eve	eva
eve	eve
taisto	slag
taisto	veldslag
tuhoutunut	vernietig
eesti	eesti
mon	mon
suositeltu	aanbevole
suositeltu	aanbeveel
suositeltu	uitgelig
suositeltu	inloer
suositeltu	gewild
suositeltu	uitgestal
suositeltu	uitstal
osastolla	ward
perinteitä	tradisie
perinteitä	tradisies
nopeampi	gouer
nopeampi	vinniger
nero	genie
nero	genius
nero	nero
patricia	patricia
löydä	vind
löydä	ontdek
ash	ash
sant	sant
tintti	kuifie
carmen	carmen
luontoa	aard
luontoa	prent
luontoa	natuur
luontoa	nature
perhonen	skoenlapper
faith	geloof
vankeja	gevangenes
tunisia	russies
tunisia	tunisië
tunisia	tunis
yhdisteet	samestellings
viiva	koppelteken
viiva	lyn
uudistus	hervorm
yhdistäminen	versmelt
yhdistäminen	samevoeging
yhdistäminen	saamsmelt
yhdistäminen	saamvoeg
vieraita	vreemdelinge
vieraita	besoekers
vieraita	gaste
manga	manga
ragnar	ragnar
bradley	bradley
tietoinen	bewus
tietoinen	geweet
brock	brock
über	über
kulttuurien	kulture
debyytti	debut
toimitus	versending
toimitus	aflewering
toimitus	aflewer
toimitus	lewering
vika	fault
vika	breuk
vika	fout
wrc	wrc
ilmiötä	phenomena
ilmiötä	phenomenon
draama	drama
etniset	etniese
etniset	etnies
kaasun	gas
journalisti	joernalis
marin	marin
rahoitusta	finansiering
rahoitusta	befondsing
kaipaa	verlang
jens	jens
aktivisti	activist
utah	utah
vision	visie
haku	soek
haku	search
haku	deursoek
holland	holland
myrskyn	storm
pimeä	donker
väitteitä	bewerings
shanghai	shanghai
nash	nash
käännöksiä	vertalings
dell	dell
rush	rush
rush	stormloop
iskujen	aanvalle
robertson	robertson
hood	hood
ram	ram
fyysisesti	fisies
anatoli	anatoli
avain	sleutel
avain	key
tuomarina	judge
tuomarina	regter
pohjaa	bodem
pohjaa	onder
pohjaa	onderkant
pohjaa	bottom
christine	christine
veljet	broers
kutsun	uitnodiging
piirtää	teken
piirtää	skets
piirtää	tekening
rikollinen	kriminele
studion	studio
studion	ateljee
kirjastossa	biblioteek
kirkkaus	helderheid
aito	regte
aito	egte
aito	genuine
aito	eg
aito	aandag
muuri	muur
moldovan	moldowa
tang	tang
lisääntynyt	toegeneem
lisääntynyt	verhoogde
munat	eiers
munat	balle
munat	eier
beverly	beverly
tulokas	nuweling
tallinnassa	tallinn
elli	helen
shane	shane
tuomioistuin	hof
birger	birger
yhtälö	vergelyking
libanonin	lebanese
libanonin	libanon
teot	dade
teot	deeds
berger	berger
nigel	nigel
nestettä	vog
nestettä	vloeistof
päätökset	besluite
koiria	hondjies
koiria	honde
ranskalaisia	fries
ranskalaisia	frans
ranskalaisia	franse
riian	riga
brien	brie
alueelliset	streek
yötä	aand
yötä	aande
yötä	nag
suunnitelmia	reëlings
suunnitelmia	planne
carol	carol
polttaa	verbrand
polttaa	burns
polttaa	skryf
polttaa	skryfwerk
polttaa	smoke
taitoja	vaardighede
mar	mer
prikaati	brigade
vapautuu	vrygestel
vapautuu	gelos
olivier	olivier
triple	drievoudige
triple	triple
pystyssä	staande
pystyssä	staan
winston	winston
liha	vleis
liha	flesh
rikhard	richard
nesteen	vog
nesteen	vloeistof
poikkeus	uitsondering
demokratia	demokrasie
kieltäytyy	afgewys
youngin	jonk
youngin	jong
tyylistä	styled
älykäs	hefboom
älykäs	clever
älykäs	intelligente
älykäs	luukse
älykäs	slim
älykäs	smart
automaattinen	auto
automaattinen	outomaties
automaattinen	outo
automaattinen	outomatiese
automaattinen	outomaties
tumman	donker
fleming	fleming
sandra	sandra
rakennelmat	konstruksies
falun	falun
etninen	etnisiteit
etninen	etniese
etninen	etnies
césar	césar
halu	begeerte
palace	paleis
tanssia	dance
tanssia	dans
tanssia	dans
diesel	diesel
sol	sol
beethoven	beethoven
seine	seine
lehdistö	pers
lehdistö	druk
vanki	gevangene
sää	weer
chrysler	chrysler
työttömyys	werkloosheid
koulut	skole
äänesti	gestem
clinton	clinton
sodankäynnin	warfare
matkoja	journeys
matkoja	reise
matkoja	uitstappies
iskuja	blows
islanti	ysland
queens	queens
toteutus	implementering
toteutus	aksie
toteutus	uitvoering
linkkien	skakels
augusta	augusta
marianne	marianne
taistelevat	bakleiery
taistelevat	fighting
jatkuvaa	konstante
jatkuvaa	aaneenlopende
rengas	ring
rengas	tire
vegas	vegas
hakee	soektogte
syn	syn
dublin	dublin
hammond	hammond
vaihtoehtoisia	alternatief
vaihtoehtoisia	alternatiewe
lauantaina	saterdag
philipp	philipp
luokitus	klassifikasie
reuna	rand
reuna	kant
reuna	edge
maakunnat	provinsies
hedelmät	vrug
hedelmät	vrugte
hedelmät	fruits
säteilyä	straling
ikuinen	verewig
ikuinen	ewige
ikuinen	ewigdurende
lue	lees
lue	gelees
brysselissä	brussels
brysselissä	brusselse
brysselissä	brussel
torino	torino
ideoita	idees
juhli	vier
juhli	gevier
juhli	vier
torpedo	drilvis
kostaa	wraak
kostaa	revenge
palestiinan	palestina
palestiinan	palestynse
napoli	napoli
litran	liter
litran	silwer
askel	step
askel	stap
heikentää	verswak
mikki	mickey
valmistajan	vervaardiger
pascal	pascal
hollywoodissa	hollywood
jamesin	jakobus
jamesin	james
psykologi	sielkundige
islannissa	ysland
qing	qing
maaperän	grond
leif	leif
polven	knie
sielu	siel
stig	stig
irving	irving
pako	wegbreek
pako	getaway
pako	ontsnap
klassista	klassieke
klassista	klassiek
klassista	klassieke
irak	irak
välttämätöntä	noodsaaklike
välttämätöntä	essential
shin	shin
asiakas	klant
asiakas	kliënt
kalusto	toerusting
kalusto	fleet
suunnittelua	beplanning
kannattaja	ondersteuner
vaatteet	klerasie
vaatteet	klere
vaatteet	kleredrag
vaatteet	klere
mohamed	mohamed
oppilaiden	leerders
vietnamissa	viëtnam
vietnamissa	vietnam
burkina	burkina
disco	disco
jung	jung
rauhallinen	kalm
rauhallinen	vreedsame
rauhallinen	rustige
rauhallinen	vreedsaam
cornelius	cornelius
sekoitus	opskud
sekoitus	meng
sekoitus	mengsel
uci	uci
keskeytettiin	gestaak
keskeytettiin	gekanselleer
fernández	fernández
scottin	scott
zur	zur
rajoituksia	beperkings
rajoituksia	beperkinge
rajoituksia	beperkings
taloudelliset	ekonomiese
soulin	seoul
vaadi	aanvraag
grönlannin	groenland
lääketieteellinen	mediese
lääketieteellinen	medies
kivet	klippe
kivet	klippe
kivet	rotse
henkilökohtaisia	persoonlik
henkilökohtaisia	persoonlike
tikka	spegte
konserni	groep
konserni	groepeer
rod	staaf
rod	rod
mats	mats
jeffrey	jeffrey
arviot	skattings
arviot	beramings
arviot	resensies
mua	mua
osion	partisie
uskontoa	religie
uskontoa	godsdiens
gay	homoseksuele
gay	gay
maanpaossa	exile
aikaisempi	earlier
aikaisempi	vroeër
ovet	deure
ovet	doors
puhelimen	foon
puhelimen	phone
siniset	blou
kirjoitukset	writings
hyvinvoinnin	welvaart
hyvinvoinnin	welfare
tunnustusta	herkenning
kanavaa	kanaal
sinikka	bluebird
hampurin	hamburg
arvoitus	mystery
arvoitus	geheimsinnig
arvoitus	raaisel
arvoitus	legkaart
kysymykset	kwessies
kysymykset	vrae
lainsäädännön	wetgewing
kaupassa	stoor
kaupassa	winkel
katalonian	katalonië
pianoa	klavier
keskustelut	besprekings
keskustelut	gesprekke
keskustelut	debatte
toimittajat	verskaffers
toimittajat	redigeerders
toimittajat	joernaliste
toimittajat	verslaggewers
luca	luca
helpompaa	makliker
samantha	samantha
ankara	ankara
ankara	severe
boogie	boogie
chapman	chapman
nopeutta	spoed
dale	dale
jürgen	jürgen
jürgen	jurgens
rikoksen	misdaad
yang	yang
ira	ira
todistajien	getuies
rich	ryk
amos	amos
pakollinen	verpligtend
suositellaan	aanbevole
suositellaan	aanbeveel
pennsylvanian	pennsilvanië
teräs	staal
kohtauksia	skerms
kohtauksia	scenes
kohtauksia	tonele
vandalismia	vandalisme
pelaaminen	speletjies
pelaaminen	gaming
pelaaminen	dobbel
tanner	tanner
hardy	hardy
nielsen	nielsen
kosovon	kosovo
onnellinen	gelukkig
omaisuus	eiendom
omaisuus	bates
hector	hector
moskeija	moskee
testamentti	testament
perustelu	betoog
perustelu	argument
perustelu	rationale
perustelu	redenasie
maaliskuu	maart
maaliskuu	optog
päällystetty	bedek
vankeudessa	gevangenskap
trooppinen	tropiese
dion	dion
leonid	leonid
vastustajat	teenstander
vastustajat	teenstanders
ajattelu	denke
deluxe	deluxe
väitteet	eise
väitteet	bewerings
väitteet	argumente
parametri	parameter
lisääntyy	vermeerder
testi	toets
testi	toets
donna	donna
painajainen	nagmerrie
frankfurtin	frankfurt
bis	bis
havainnot	observations
weber	weber
churchill	churchill
hollywoodin	hollywood
oppiminen	leer
karttoja	kaarte
juniori	junior
kingston	kingston
trinidad	trinidad
bengt	bengt
biologian	biologie
esine	voorwerp
blade	blade
tutka	radar
absoluuttinen	absolute
sten	sten
conan	conan
luola	cave
luola	grot
luota	trust
luota	vertrou
syyriassa	sirië
rangaistuksen	punishment
vaatimus	eis
vaatimus	aanvraag
eduardo	eduardo
mccoy	mccoy
jefferson	jefferson
marseille	marseille
mantereella	mainland
postinumero	poskode
postinumero	zip
korttia	kaarte
kestävät	volhoubare
kestävät	langdurige
martha	martha
asiakkaan	klant
asiakkaan	kliënt
mama	mama
shaw	shaw
oikeudenkäynnin	verhoor
hiilen	kole
hiilen	steenkool
hiilen	koolstof
école	école
haastaa	challenge
haastaa	uitdaging
haastaa	uitdagende
haastaa	sue
blu	blu
latinalaisen	latyns
vankila	tronk
vankila	tronk
vankila	gevangenis
tavaraa	goeters
taistelija	warrior
taistelija	vegter
taistelija	combatant
taistelija	fighter
projektia	projek
vaihtoehtoinen	alternatief
vaihtoehtoinen	alternatiewe
vaihtoehtoinen	afwissel
vaihtoehtoinen	alternatiewe
taustaa	agtergrond
varoittaa	waarsku
rey	rey
juoma	gedrink
juoma	drinking
juoma	drink
juoma	drank
juoma	drankie
saavutettiin	bereik
kaari	curve
kaari	arc
kaari	boog
kaari	arch
elliott	elliott
viikingit	vikings
fanit	fans
fanit	bewonderaars
fanit	aanhangers
käytettyä	bestee
matematiikkaa	wiskunde
matematiikkaa	wiskunde
alueellinen	streek
havaitaan	bespeuring
areenalla	arena
mielipiteet	opinies
valloittaa	verowering
valloittaa	verower
patrik	patrick
istuu	sitting
istuu	sit
benin	ben
benin	benin
vaaleanpunainen	pienk
tuntea	voel
tulot	inkomste
tulot	opbrengste
tulot	verdienste
tulot	kwitansies
tulot	inkomste
helpoin	maklikste
manhattan	manhattan
gibraltarin	gibraltar
cohen	cohen
akateeminen	akademiese
akateeminen	akademies
glam	glam
kehittyvät	evolving
solmun	knoop
teollinen	industrial
teollinen	industriële
geneven	geneva
johdanto	bekendstelling
johdanto	inleiding
johdanto	preface
ensisijainen	prioriteit
ensisijainen	primêr
ensisijainen	primary
ensisijainen	primêre
ensisijainen	belangrikste
poliitikot	politici
vapautta	vryheid
polttoainetta	brandstof
claire	claire
deportivo	deportivo
pidempään	langer
lääkkeitä	medikasie
torin	tori
iris	iris
tomas	tomas
done	voltooi
done	gedoen
done	klaar
mittaa	meet
vahvaa	sterk
kerho	klub
kerho	klubhuis
simmons	simmons
rahoitus	finansiering
rahoitus	befondsing
rahoitus	finansieel
rahoitus	finansies
tiibetin	tibettaanse
neutraali	neutraal
kohtuullisen	redelike
sidottu	gebind
kykenevät	bekwame
giorgio	giorgio
vastauksen	antwoord
desmond	desmond
hai	shark
hai	haai
hai	haaie
sylvia	sylvia
este	hindernis
este	barrier
poikkeuksia	uitsonderings
sherlock	sherlock
antonius	antony
nuoriso	jeug
glen	glen
gospel	evangelie
keramiikka	keramiek
filosofinen	philosophical
mickey	mickey
ehdotuksia	voorstelle
henderson	henderson
käyttäjätunnus	gebruikernaam
johtajia	leiers
komissio	kommissie
kaveri	guy
kaveri	maatjie
kaveri	vriend
hollanti	holland
hollanti	hollandse
hollanti	nederlands
henkisen	intellektuele
din	din
pienemmän	kleiner
maggie	maggie
isis	isis
lainaa	lening
asiantuntijat	deskundiges
asiantuntijat	kundiges
asiantuntijat	kenners
asiantuntijat	experts
amsterdamissa	amsterdam
chen	chen
täydentää	aanvullings
täydentää	supplement
vahvat	sterk
edith	edith
alberta	alberta
hyväksy	goedkeur
hyväksy	keur
hyväksy	aanvaar
kilpailevat	meeding
hopeinen	silwer
allas	swembad
ympäröivän	omliggende
järvessä	meer
serena	serena
jalo	noble
jalo	edel
salomon	salomon
mir	mir
putin	putin
kersantti	sersant
mitattu	gemeet
metropolitan	metropolitaanse
metropolitan	metropolitan
cox	cox
aivot	brain
aivot	brein
munkki	monk
block	blokkeer
block	blok
yhdistyneet	vereenigde
yhdistyneet	united
yhdistyneet	verenigde
olentoja	beings
olentoja	wesens
olentoja	skepsels
filippiineillä	filippyne
filippiineillä	philippines
göteborgissa	göteborg
göteborgissa	gotenburg
lin	lin
vesillä	waters
nacional	nacional
markkinointi	bemarking
markkinointi	promosie
freud	freud
kaasua	gas
desibeli	decibel
batmanin	batman
valeri	valery
zeus	zeus
syyn	rede
piquet	piquet
sarjakuvia	comics
sarjakuvia	strokiesverhaal
hank	hank
lennot	vlugte
liikkeiden	movements
keittiö	kookkuns
keittiö	kombuis
konsuli	consul
ilmailu	lugvaart
ilmailu	aeronautics
noel	noel
useimmilla	meeste
useimmilla	mees
solo	solo
keksittiin	uitgevind
ohjeen	instruksie
amadeus	amadeus
kaupallista	kommersiële
kaupallista	kommersieel
työntekijän	worker
työntekijän	werker
työntekijän	arbeider
vaarallista	gevaarlike
vaarallista	gevaarlik
vaarallista	gevaarlike
logiikan	logika
eteneminen	advancement
eteneminen	vorder
viholliset	vyand
viholliset	vyande
innokas	gretige
innokas	keen
madame	madame
kap	kaap
sähköinen	elektriese
sähköinen	elektronies
sähköinen	elektroniese
sähköinen	elektriese
mona	mona
melbourne	melbourne
fabian	fabian
tehtaiden	fabrieke
tilaisuus	opportunity
simone	simone
orion	orion
orion	jagter
määrät	amounts
romaniassa	roemenië
vallankumousta	rewolusie
vallankumousta	revolusie
vihan	woede
vihan	haat
vuosikirja	yearbook
lex	lex
maxwell	maxwell
kati	kate
iskee	hits
iskee	strikes
käsittelyä	hantering
lange	lange
canadiens	canadiens
teräsmies	superman
juhlat	party
juhlat	feesvieringe
juhlat	partytjie
veroja	belasting
veroja	belastings
arkiston	argief
arkiston	argiveer
kopioi	gekopieer
kopioi	kopieer
kopioi	bokant
kopioi	kopiereg
tuttuja	kennisse
conrad	conrad
yksinäinen	eensaam
yksinäinen	lonesome
nostettu	ingesamel
luulee	dink
koch	koch
neuvoja	advies
neuvoja	raad
extra	ekstra
kantava	bearing
kivestä	klip
doo	doo
seksiä	seks
seksiä	geslag
seksiä	sex
esseitä	essays
fanny	fanny
matkoilla	reis
kirjattu	geregistreer
kirjattu	opgeneem
raketti	vuurpyl
raketti	rocket
sheffield	sheffield
ajettu	gedryf
ajettu	bestuur
ajettu	driving
murhaa	moord
ulf	ulf
freddie	freddie
bayer	bayer
vuosisata	eeue
vuosisata	eeu
periaatteita	beginsels
sisarukset	susters
sally	sally
sisäiset	intern
sisäiset	interne
todellisuutta	realiteit
todellisuutta	werklikheid
piirrokset	tekeninge
ellis	ellis
loistava	brilliant
loistava	ongelooflike
loistava	briljante
pyrkimys	quest
andersen	andersen
riita	dispuut
riita	geskil
tavalliset	gewoon
suoritin	sve
vastakohta	teenoorgestelde
flanderin	vlaandere
flanderin	vlaams
arvokas	kosbare
arvokas	waardevol
arvokas	precious
matkustajia	passasiers
welcome	welkom
kemia	chemie
laurent	laurent
alppien	alpine
loki	loki
javier	javier
rms	rms
kgb	kgb
jarrut	brake
jarrut	rem
viiniä	wyn
weimarin	weimar
trevor	trevor
joão	joão
yksikköä	eenhede
yksikköä	eenheid
kristitty	christian
kristitty	christene
kristitty	christen
kristitty	christiaan
patriarkka	patriarg
turkkilaiset	turke
minerva	minerva
savage	savage
evan	evan
harkita	beskou
valencian	valencia
valencian	valencia
biologinen	biologiese
tarkoituksella	opsetlik
ming	ming
riskiä	risk
riskiä	risiko
räjähdys	vernietig
räjähdys	ontploffing
välttämätön	nodige
swift	swift
pysyvää	permanente
pysyvää	permanent
gif	gif
ihastunut	crush
ihastunut	verpletter
ihastunut	verliefde
kampanja	veldtog
sos	sos
korjaus	herstelwerk
korjaus	regstelling
lumen	lumen
julma	cruel
julma	wreed
julma	brutal
tarjotaan	aangebied
kommunismin	kommunisme
gaius	gaius
kolmetoista	dertien
tavoitteita	doelwitte
tavoitteita	doele
yhteisöjen	gemeenskappe
kansalaiset	landsburgers
kansalaiset	burgers
kansalaiset	citizens
konferenssi	aanbreek
liikkuva	selfoon
olennaisesti	aansienlik
viljaa	graan
hidasta	stadig
odotetaan	verwag
odotetaan	gewag
bonnie	bonnie
malakan	malakka
kerätään	collecting
kerätään	versamelde
malesiassa	malaysia
malesiassa	maleisië
epäonnistunut	misluk
lohikäärmeen	draak
lohikäärmeen	dragon
tuore	vars
gil	gil
tekoa	toelae
analyysi	analise
voimistelu	gimnastiek
uusittu	opgeknap
ashley	ashley
bailey	bailey
lionel	lionel
viljan	graan
miehityksen	besetting
vaunu	wagon
tottenham	tottenham
soita	toneelstuk
soita	speel
soita	oproep
soita	bel
soita	roep
soita	skakel
renkaan	tire
tunteet	emosie
tunteet	emosioneel
tunteet	emosies
tunteet	feelings
tunteet	gevoelens
ohjelmointi	programmering
jäsenyys	lidmaatskap
valtteri	valtteri
valtteri	walter
vanhentunut	afgekeur
vanhentunut	uitgedien
vanhentunut	verstryk
vanhentunut	verstreke
vanhentunut	uitgediende
valmistetut	bereid
valmistetut	prepared
stella	stella
aloitteen	inisiatief
käsitteet	terminology
käsitteet	konsepte
ajattelua	denke
saralla	sara
kenttää	terrein
kenttää	veld
terra	terra
katsonut	gekyk
todistajat	getuies
todistajat	getuienis
laukausta	skote
turvallisuutta	veiligheid
kurssi	natuurlik
alapuolelle	onder
alapuolelle	hieronder
alapuolelle	onderstaande
arvostusta	waardering
arvostusta	prestige
keskinäinen	wedersydse
keskinäinen	mutual
keskinäinen	onderlinge
pohjaan	bodem
pohjaan	onder
pohjaan	onderkant
pohjaan	bottom
arc	arc
arc	boog
alkoholi	alkohol
reagoivat	reageer
auttanut	gehelp
taidot	vaardighede
taidot	vaardigheid
lääkkeet	medisyne
lääkkeet	drugs
lääkkeet	dwelms
lääkkeet	geneeskunde
hinnat	pryse
abdul	abdul
kuvernementti	governorate
kolmio	geteël
kolmio	driehoeke
rosen	rosen
vihreää	groen
helmikuu	februarie
salaperäinen	mysterious
salaperäinen	geheimsinnige
sovelletaan	toepaslik
sovelletaan	toepaslike
hulk	hulk
sekoitetaan	opskud
sekoitetaan	meng
torres	torres
coupe	coupe
lääkärit	dokters
laituri	quay
laituri	dock
laituri	pier
laituri	platform
voitolla	winning
vastarinnan	weerstand
astrid	astrid
auf	auf
kokemuksen	ervaar
kokemuksen	ervaring
kokemuksen	ondervinding
terve	gesonde
lapsuuden	childhood
käynnistää	eerstes
käynnistää	lansering
käynnistää	lanseer
aloittamista	inisiasie
sims	sims
karkeasti	rofweg
percy	percy
harper	harper
markkinoiden	markte
markkinoiden	markplein
markkinoiden	mark
klaani	clan
barack	barack
porter	porter
nouseva	toeneem
nouseva	opgaande
nya	nya
urban	urban
urban	stedelike
maidon	melk
keksiä	koekie
matkustajat	passasiers
matkustajat	reisigers
matkustajat	passasier
matkustajat	passasiers
pato	dam
raudan	yster
belle	belle
olivia	olivia
