胞子	spóry
著しい	pozoruhodný
著しい	pozoruhodné
カウンティ	county
カウンティ	powiat
カウンティ	okresoch
返済	splácanie
返済	splatenie
返済	vrátenie
チャネル	kanály
チャネル	kanálov
チャネル	kanál
チャネル	kanála
尾根	hrebeň
尾根	ridge
ウェスタン	západný
ウェスタン	západnej
ウェスタン	západná
ウェスタン	western
ウェスタン	západné
スキャン	snímanie
スキャン	skenovanie
スキャン	sken
スキャン	skenovanie
敬意	dodržiavanie
敬意	rešpektu
敬意	rešpektovať
敬意	rešpekt
オリエンタル	orientálne
鋭い	ostrý
鋭い	ostré
鋭い	ostro
鋭い	ostrá
お茶	caj
お茶	čaj
お茶	čaju
お茶	tea
クローズ	zatvoriť
クローズ	uzavrieť
クローズ	zavrieť
ワープ	warp
ダイナマイト	dynamit
コリンズ	collins
飲む	pije
飲む	pitie
飲む	piť
飲む	pijú
飲む	nápoj
飲む	piť
飲む	vypiť
オークション	aukcie
オークション	dražby
オークション	aukcia
オークション	aukcie
オークション	dražby
ポータブル	prenosné
ポータブル	prenosný
モンロー	monroe
トラップ	pasce
トラップ	uväzniť
トラップ	pasca
トラップ	pasce
同値	rovnocennosť
ローテーション	rotácia
ローテーション	striedanie
ローテーション	rotácie
プリズム	hranol
フェアリー	víly
フェアリー	víla
フェアリー	fairey
ポット	pot
ポット	hrniec
マッカーサー	macarthur
ハチ	osa
ハチ	včely
ハチ	včiel
ハチ	osy
ミッチェル	mitchell
カルト	kult
家事	domácnosť
消える	zmiznutie
消える	mizne
消える	miznú
消える	zmiznutí
消える	zmiznú
消える	zmizne
消える	zmiznúť
テンション	napätie
個別に	jednotlivo
個別に	individuálne
ジャスト	iba
ジャスト	práve
ジャスト	len
ジャスト	proste
フォーカス	sústrediť
フォーカス	zameranie
フォーカス	sústredenie
分化	diferenciácia
分化	rozlišovanie
ウエスタン	západný
ウエスタン	západnej
ウエスタン	západná
ウエスタン	western
ウエスタン	západné
ラトビア	lotyšsko
ラトビア	lotyšskom
ラトビア	lotyšskom
ラトビア	lotyšské
スタンプ	pečiatka
スタンプ	známka
スタンプ	nálepiek
スタンプ	nálepky
スタンプ	nálepku
スタンプ	nálepka
スタンプ	nálepky
スタンプ	peň
スタンス	postoj
発令	vydávanie
発令	vydanie
発令	emisia
激戦	ostrá
激戦	divoký
おいしい	vynikajúca
おいしい	chutné
おいしい	vynikajúce
停滞	stagnáciu
停滞	stacionárne
スリップ	slip
カブス	mláďatá
照射	ožarovanie
照射	ožiarenie
照射	ožiarenia
照射	expozície
照射	vystavenie
照射	ožiarenie
照射	expozícia
照射	expozíciu
クルーザー	krížnik
ハンドブック	príručka
江藤	eto
アーカンソー	arkansase
パッド	pad
マナー	etiketa
マナー	spôsoby
バットマン	batman
タイル	dlaždice
タイル	dlaždice
螺旋	helix
ホフマン	hoffmann
ホフマン	hoffman
ホフマン	hofmann
鉄砲	teppo
レジスタ	registre
レジスタ	evidencie
レジスタ	registrov
レジスタ	evidencia
レジスタ	registrovať
レジスタ	register
レジスタ	zaregistrovať
レジスタ	registrácia
ピュア	čistá
ピュア	čisto
ピュア	čistý
ピュア	čisté
蒸留	destilácie
蒸留	destilácia
蒸留	destiláciu
フレイ	frey
ブーツ	topánku
ブーツ	topánka
ブーツ	boty
ブーツ	čižmy
ブーツ	topánky
出版物	uverejňovanie
出版物	publikácie
出版物	uverejnenie
出版物	uverejňovanie
出版物	uverejnení
出版物	publikácia
出版物	zverejnenie
出版物	zverejňovanie
ヒューズ	hughes
ヒューズ	poistky
ヒューズ	poistka
問い合わせ	vyšetrovania
問い合わせ	dotaz
問い合わせ	vyšetrovania
問い合わせ	vyšetrovaní
問い合わせ	vyšetrovanie
連帯	solidaritu
連帯	solidarity
連帯	solidarita
ポーター	porter
帰宅	doma
帰宅	domov
帰宅	domáca
帰宅	domáce
メイキング	tvorby
メイキング	robenie
エフェクト	efekty
エフェクト	účinky
エフェクト	vplyvy
エフェクト	efekt
エフェクト	účinok
エフェクト	vplyv
デス	death
デス	smrt
デス	smrť
デス	úmrtia
デス	úmrtie
バター	masla
バター	maslo
教職員	fakulty
教職員	fakulta
結核	tuberkulóza
結核	tuberkulózu
ヨルダン	jordánska
ヨルダン	jordánsko
ヨルダン	jordan
恵那	ena
コバルト	kobaltu
ソフトボール	softball
起業	podnikateľ
起業	podnikanie
欠陥	defekt
欠陥	nedokonalosti
未完	nedokončené
コブラ	kobra
シスター	sister
シスター	sestra
シスター	sestrička
石見	iwami
グリル	mriežky
脂肪	tučné
脂肪	tuku
脂肪	tuk
脂肪	tuky
脂肪	fat
回顧	retrospektívne
アーネスト	ernest
眠る	spánok
眠る	spi
眠る	spánku
眠る	spat
眠る	spať
アスレチック	athletic
彼氏	frajer
エミー	amy
迫害	prenasledovanie
迫害	prenasledovania
迫害	prenasledovaní
手数料	komisia
手数料	komisie
手数料	komisii
手数料	poplatok
手数料	honorár
手数料	poplatkov
手数料	poplatky
手数料	honorár
バドミントン	bedminton
ザック	zac
陶器	keramiky
スクリプト	skripty
スクリプト	scenár
スクリプト	skript
トライアングル	trojuholník
溶岩	láva
フィニッシュ	dokončiť
異端	kacírstvo
真似	napodobniť
真似	napodobniť
フン	hun
ハス	lotos
メグ	meg
ボールド	tučné
ボールド	odvážny
ボールド	odvážne
ボールド	odvážna
トッド	todd
入浴	kúpať
入浴	kúpanie
入浴	kúpeľ
入浴	vaňa
ハング	hung
ハング	obesiť
ハング	hang
ハング	zavesiť
ハング	visieť
流体	tekutina
流体	tekutín
流体	kvapalina
流体	kvapaliny
流体	tekutiny
流体	kvapalín
ジュネーヴ	ženeve
ハーバート	herbert
お菓子	sladkosti
お菓子	cukríky
未完成	nedokončené
未完成	neúplná
未完成	nedokončené
未完成	neúplné
未完成	neúplný
圭介	keisuke
オシ	bozp
ブレーメン	brémy
チューブ	trubica
チューブ	trubice
チューブ	rúra
ヒゲ	brady
林業	lesníctvo
林業	lesníctva
変装	prestrojení
変装	maskovanie
軍需	výzbroj
軍需	zbrojenie
シグナル	signály
シグナル	signálov
シグナル	signál
シグナル	signálu
オリーブ	olive
オリーブ	olivový
オリーブ	olív
オリーブ	olivy
面接	interview
面接	vypočuť
面接	pohovor
面接	rozhovor
ダイエット	diétu
ダイエット	strava
ダイエット	diéty
ダイエット	diéta
ダブリン	dubline
ダブリン	dublin
信念	vieru
信念	viery
信念	viera
信念	viere
信念	viery
信念	viera
信念	viery
信念	presvedčenie
信念	presvedčenia
スチュアート	stuart
ワイヤー	drôt
ワイヤー	drôtu
ワイヤー	drôty
ワイヤー	drôty
アルブレヒト	albrecht
バレル	barel
バレル	sud
サンティアゴ	santiago
碑文	nápis
碑文	nápisom
碑文	nápisy
ブルターニュ	brittany
審判員	rozhodca
審判員	rozhodcu
スレッド	konverzácia
スレッド	rozhovor
スレッド	konverzácie
スレッド	konverzáciu
スレッド	nite
スレッド	vlákna
スレッド	vlákno
スレッド	niť
スレッド	nite
スレッド	rozhovory
スレッド	konverzácia
スレッド	konverzácie
正和	šówa
ドラキュラ	drakula
ルネ	rené
ルネ	rené
ルネ	rene
桟橋	móle
桟橋	mólo
桟橋	pier
亜鉛	zinočnatý
亜鉛	zinok
亜鉛	zinku
グラハム	graham
正博	masahiro
デューク	duke
デューク	vojvoda
語彙	slovník
コーディネーター	koordinátorom
コーディネーター	koordinátor
コーディネーター	koordinátora
ソナー	sonar
充電	nabiť
充電	poplatok
充電	nabíjanie
充電	nabíjania
充電	nabiť
充電	dopĺňanie
グラブ	zober
グラブ	chytiť
グラブ	chyť
バーミンガム	birmingham
マイヤー	meyer
リリー	lily
大工	carpenter
大工	tesárov
停泊	kotvenie
チャイ	chai
ワクチン	vakcín
ワクチン	vakcíny
ワクチン	vakcínu
ワクチン	vakcína
監獄	väzenia
監獄	väznica
監獄	väzení
監獄	väzenie
監獄	väzenia
監獄	väznice
監獄	väzníc
監獄	väzniciach
デラウェア	delaware
売る	predať
売る	predávať
売る	predaj
破片	trosky
破片	úlomky
ペーター	petrom
ペーター	peter
ペーター	petra
買い物	nakupovať
買い物	nákupy
買い物	nákupný
買い物	nakupovanie
買い物	nákupné
既婚	manželia
既婚	vydatá
既婚	ženatý
陽性	pozitívnych
陽性	pozitívne
陽性	pozitívna
陽性	kladná
陽性	pozitívny
チョーク	krieda
四十	štyridsať
四十	forty
エコー	echo
同調	zhoda
スイング	prúde
コミュニティー	spoločenstva
コミュニティー	spoločenstvo
コミュニティー	komunita
施策	politiky
施策	politík
トラクター	traktory
トラクター	traktorov
トラクター	traktora
トラクター	traktor
カリスマ	charizma
カリスマ	charizmatický
吹く	fúka
淡水	sladkovodných
分泌	sekréciu
ドキドキ	vzrušujúce
ドキドキ	vzrušujúci
驚き	prekvapenie
驚き	prekvapiť
ジェフリー	jeffrey
廃墟	zničiť
廃墟	ruiny
深度	hĺbka
深度	hĺbku
深度	hĺbky
配当	dividendy
配当	rozloženie
配当	rozdeľovanie
配当	distribúcia
配当	rozdelenie
配当	dividendy
故意	úmyselné
故意	úmyselné
故意	zámerne
故意	naschvál
故意	úmyselne
故意	zámerne
故意	úmyselné
故意	úmyselne
ニコ	nico
ニコ	niko
クロム	chrome
クロム	chrómu
預言	proroctvo
預言	proroctva
掲示	uverejňuje
掲示	uverejňovanie
掲示	posielanie
掲示	bulletin
パスポート	pasy
パスポート	pas
パスポート	pasy
カロリー	kalórií
カロリー	kalórií
消化	trávenia
消化	trávenie
ヘビ	hada
ヘビ	had
ヘビ	hady
ヘビ	hadov
膨張	rozšírenie
膨張	rozširovanie
バッジ	odznak
バッジ	odznaky
残酷	krutý
残酷	krutá
残酷	kruto
残酷	kruté
ペナルティ	trest
ペナルティ	pokuta
ペナルティ	sankcia
ペナルティ	treste
フェンス	plot
船員	námorník
フォレスト	forrest
フォレスト	lesný
フォレスト	les
フォレスト	forest
フォレスト	lesná
フォレスト	lesné
クラッチ	spojku
クラッチ	spojka
見習い	učňov
見習い	učeň
黙示録	apokalypsa
枢機卿	kardinál
メソッド	metódu
メソッド	spôsob
メソッド	metóda
メソッド	spôsoby
メソッド	metód
メソッド	metódy
スチュワート	stewart
スランプ	prepad
スギ	cedar
賭博	hazard
コップ	šálka
コップ	hrnček
コップ	pohár
コップ	pohára
母国	vlasti
母国	vlasť
視界	viditeľnosť
視界	zviditeľnenie
視界	viditeľnosti
ニッケル	nikel
ニッケル	niklu
反響	echo
プラットホーム	plošina
プラットホーム	platforma
プラットホーム	platformy
プラットホーム	platformu
カルチョ	calcio
スーザン	zuzana
スーザン	susan
ハイチ	haiti
洗浄	umývanie
洗浄	pranie
洗浄	umývať
洗浄	čistenie
洗浄	upratovanie
不祥事	škandálu
不祥事	škandál
不祥事	škandály
委任	delegácia
委任	mandát
祭壇	oltár
祭壇	oltári
シエラ	sierra
手当	vreckové
ボローニャ	bolonského
ヤギ	kozie
ヤギ	koza
ヤギ	kozy
ヤギ	kôz
ワークショップ	workshopy
ワークショップ	dielne
ワークショップ	semináre
ワークショップ	workshopy
ワークショップ	workshop
ワークショップ	seminár
ワーグナー	wagner
金庫	bezpečné
金庫	bezpečná
金庫	bezpečný
金庫	bezpečne
臨済宗	rinzai
被告人	obvinená
被告人	obvinený
被告人	obvinili
被告人	obvinených
被告人	obžalovaný
被告人	odporca
バトン	baton
睡眠	spánok
睡眠	spi
睡眠	spánku
睡眠	spat
睡眠	spať
モノクロ	monochromatické
洗濯	umývanie
洗濯	pranie
洗濯	umývať
洗濯	pranie
洗濯	prádlo
洗濯	bielizeň
ツル	crane
リヒャルト	richard
裏側	chrbát
裏側	späť
裏側	back
裏側	naspäť
レズビアン	lesbička
レズビアン	lesba
チャップリン	chaplin
祝福	požehnania
祝福	požehnanie
祝福	požehnania
祝福	požehnanie
祝福	požehnaná
祝福	požehnaní
祝福	požehnaný
林檎	jablko
林檎	jablkový
林檎	apple
視力	zrak
ケット	ket
ロナルド	ronald
ランニング	chode
ランニング	beh
ランニング	beží
高尾	takao
届出	oznámenia
届出	oznamovanie
届出	upozornenie
届出	oznámenie
レスキュー	záchrana
レスキュー	záchranné
レスキュー	zachrániť
レスキュー	záchranu
レスキュー	záchranná
土居	doi
委嘱	delegácia
委嘱	komisia
委嘱	komisie
委嘱	komisii
アンドレア	andrea
パンダ	panda
ハク	haq
冗談	vtip
冗談	srandu
冗談	srandu
お気に入り	obľúbený
お気に入り	obľúbená
お気に入り	obľúbené
お気に入り	obľúbených
お気に入り	obľúbené
お気に入り	obľúbený
お気に入り	obľúbená
お気に入り	najobľúbenejšie
お気に入り	obľúbené
お気に入り	obľúbených
お気に入り	obľúbené
ロッカー	rocker
ロッカー	skrinky
ロッカー	skrinku
ロッカー	skrinky
ロッカー	skrinka
トゥルー	pravda
トゥルー	true
トゥルー	pravdivé
ヨット	jachte
ヨット	jachty
シェーン	shane
ダイナミック	dynamický
ダイナミック	dynamic
ダイナミック	dynamická
ダイナミック	dynamické
ラバウル	rabaul
勝浦	katsuura
飛行船	vzducholoď
陶芸	keramiky
エリオット	elliott
エリオット	elliot
消去	vymazať
ストライカー	útočník
真木	maki
バイザー	clony
ハンプシャー	hampshire
テント	stany
テント	stanov
テント	stan
テント	stanu
テント	stane
リソース	zdroje
リソース	zdroj
リソース	zdrojoch
リソース	zdroje
リソース	prostriedky
粛清	uvoľniť
粛清	vyčistiť
粛清	očistená
粛清	očistenie
崇拝	uctievať
ワトソン	watson
値段	price
値段	cena
値段	cene
藤森	fujimori
快適	pohodlne
快適	pohodlné
