philippe	philippe
kroky	askelia
kroky	portaat
kroky	askeleet
kroky	askeleita
kroky	askeleet
kroky	jalanjälkiä
kroky	askelia
zmazať	poistaa
zmazať	poista
bohatý	rikkaita
bohatý	rikkaat
bohatý	rich
bohatý	rikas
erich	erich
informatiky	tietotekniikka
informatiky	tietotekniikan
suchá	kuivaa
suchá	kuivat
suchá	kuiva
poddruh	alalaji
slnečná	auringon
slnečná	aurinko
infraštruktúra	infrastruktuurin
infraštruktúra	infrastruktuuri
infraštruktúra	infrastruktuuria
svetom	maailmassa
svetom	maailma
svetom	maailmaa
svetom	maailman
svetom	world
svetom	maailmaan
nahrávanie	lataaminen
nahrávanie	ladataan
nahrávanie	lataus
nahrávanie	ladata
nahrávanie	lataa
nahrávanie	nauhoitus
nahrávanie	tallentaa
nahrávanie	kirjaaminen
nahrávanie	tallentaminen
nahrávanie	tallennus
nahrávanie	levy
nahrávanie	kirjataan
nahrávanie	ennätys
čítať	luettu
čítať	lukea
čítať	lue
záchranu	pelastaa
záchranu	pelastus
záchranu	pelastaminen
wood	puu
wood	puuta
wood	puusta
klavirista	pianisti
kabíny	mökit
dutiny	reikiä
dutiny	reiät
mer	mer
organické	orgaaninen
organické	orgaanista
organické	orgaaniset
organické	luonnonmukainen
rybníky	altaat
portálu	portaalin
portálu	portaali
portálu	portti
orientačné	ohjeellinen
vyvinuli	kehittynyt
vyvinuli	kehittyi
vyvinuli	kehittyivät
vyvinuli	kehittyneet
skutočné	real
skutočné	todellinen
skutočné	oikea
skutočné	aito
skutočné	todellista
skutočné	aidon
skutočné	aidot
skutočné	aito
skutočné	aitoa
skutočné	todellinen
skutočné	varsinaista
skutočné	todelliset
skutočné	varsinainen
skutočné	tosiasiallinen
návštevy	vierailijoita
návštevy	vieraat
návštevy	vierailijat
návštevy	kävijöitä
návštevy	vieraita
návštevy	vierailun
návštevy	vierailu
návštevy	käymään
návštevy	käy
návštevy	käynti
návštevy	vierailuja
návštevy	vierailut
predstaviť	kuvittele
citát	lainaus
citát	lainata
citát	lainaus
odborov	ammattiliittojen
odborov	liitot
štvrté	neljäs
štvrté	neljänneksi
vzduchom	ilmassa
jonas	jonas
barry	barry
barry	barryn
licencie	todistusten
licencie	todistukset
licencie	lisenssit
licencie	lisenssien
licencie	lupakirjan
licencie	lisenssi
licencie	lisensointi
licencie	lisenssi
nákladu	lastia
nákladu	lastin
nákladu	lasti
nákladu	rahti
nákladu	rahtia
budovať	rakentaa
budovať	rakenna
hlboké	syvälle
hlboké	syvällä
hlboké	syvä
hlboké	syvät
hlboké	deep
odhad	arvio
odhad	arvioidut
odhad	arviolta
odhad	arvioitu
odhad	arvio
odhad	arvioi
odhad	arvion
odhad	arvio
vojnový	sodan
vojnový	sotaa
vojnový	sota
folk	folk
koalície	koalitio
charakteristiky	piirteet
charakteristiky	ominaispiirteet
charakteristiky	ominaisuudet
charakteristiky	piirteet
charakteristiky	ominaisuuksia
charakteristiky	ominaisuudet
briti	britti
briti	brittiläiset
briti	brittiläinen
briti	britit
briti	britannian
briti	britit
čínske	kiinalainen
čínske	kiinalaiset
čínske	kiinan
čínske	kiina
čínske	kiinalaista
mama	mama
mama	mamma
mama	äiti
mama	mutsi
mama	äiti
mama	äiti
mama	äiti
zisku	voittoa
zisku	voitto
zisku	voitot
zisku	tuotto
zaznamenané	kirjatut
zaznamenané	kirjattu
zaznamenané	kirjataan
zaznamenané	merkille
zaznamenané	huomioitu
prepustený	julkaistu
prepustený	vapautuu
prepustený	luovutettu
prepustený	vapautettu
venuša	venus
väzení	vankila
väzení	vankilassa
centrálne	keskeisellä
centrálne	keskitetysti
porážku	tappio
porážku	tappion
porážku	häviö
budúci	seuraava
budúci	seuraavaksi
harvard	harvardin
harvard	harvard
harvard	harvardiin
harvard	harvardissa
olympic	olympia
olympic	olympic
nepriateľov	vihollisia
nepriateľov	viholliset
geometria	geometrian
reprezentácia	edustuksen
reprezentácia	edustusto
reprezentácia	edustus
priatelia	ystävät
priatelia	ystäviä
priatelia	kavereita
priatelia	kaverit
verše	jakeet
verše	säkeitä
socialistická	sosialistinen
socialistická	sosialistit
prince	prinssi
prince	prince
prince	ruhtinas
vrtuľníky	helikopterit
vrtuľníky	helikoptereita
titan	titan
cook	cook
cook	kokki
diely	osat
diely	osia
diely	leikkaukset
diely	leikkauksia
diely	palat
charlotte	charlotte
charlotte	lotta
počuť	kuulla
počuť	kuule
chemicky	kemiallisesti
matthew	matthew
emanuel	emanuel
oskar	oskar
oskar	oscar
oskar	oscarin
predstavenie	suorituskyvyn
predstavenie	tehokkuus
predstavenie	esitys
predstavenie	suoritus
predstavenie	suorituskykyä
predstavenie	suorituskyky
predstavenie	näytä
predstavenie	show
vraždy	murha
vraždy	murha
vraždy	murhaa
vraždy	murhat
vraždy	murhia
vraždy	murhat
podvozok	alusta
podvozok	alustan
podvozok	telin
ensign	aliluutnantti
ensign	vänrikki
lisa	lisa
lisa	lisaa
lisa	liisa
vybrať	valitse
vybrať	valitse
činiteľ	tekijä
činiteľ	tekijää
premenné	muuttujaa
premenné	vaihteleva
premenné	muuttuja
premenné	muuttujan
premenné	muuttuva
premenné	muuttujat
fred	fredin
fred	fred
adrian	adrian
štandardy	standardit
štandardy	standardeja
štandardy	standardien
štandardy	normit
planéte	planeetta
planéte	planeetan
čisté	net
čisté	verkon
čisté	verkko
čisté	netto
čisté	puhdasta
čisté	puhtaana
čisté	puhdas
čisté	puhtaat
čisté	puhdasta
čisté	puhdas
čisté	puhtaat
ukončený	lopetettu
súbežne	samanaikaisesti
súbežne	samanaikaisesti
súbežne	rinnakkain
tvrdenia	saatavat
tvrdenia	väittää
tvrdenia	väitteet
tvrdenia	syytökset
tvrdenia	väitteitä
tvrdenia	syytöksiä
tvrdenia	väitteet
tvrdenia	perustelut
tvrdenia	väitteet
tvrdenia	väitteet
ručne	käsin
ručne	manuaalisesti
súkromný	yksityisiä
súkromný	yksityiset
súkromný	sotamies
súkromný	yksityisen
súkromný	yksityinen
plody	hedelmä
plody	hedelmät
plody	hedelmiä
plody	hedelmistä
plody	hedelmät
plody	hedelmiä
fórum	foorumeilla
fórum	foorumin
fórum	foorumi
fórum	forum
pestovanie	kasvava
pestovanie	kasvavat
pestovanie	kasvaa
pestovanie	istutus
pestovanie	istuttaa
pestovanie	viljely
pestovanie	viljelyä
pestovanie	viljelyyn
pestovanie	viljelyn
relácia	istunto
relácia	istunnon
relácia	istuntoa
cooper	cooperin
cooper	cooper
nahradená	korvattu
nahradená	tilalle
nahradená	korvattu
nahradená	korvattiin
logiky	looginen
logiky	logiikkaa
logiky	logiikan
logiky	logiikka
pohyby	liikkeiden
pohyby	liikkeet
pohyby	siirtyy
pohyby	liikkuu
pohyby	liikkeet
psychológ	psykologi
slávnosti	juhla
slávnosti	festivaali
slávnosti	juhlaa
slávnosti	viettoa
terminológia	terminologia
terminológia	termit
terminológia	käsitteet
terminológia	terminologiaa
bytosti	olennot
bytosti	olentoja
bytosti	olennot
bytosti	oliot
bytosti	olentoja
samice	naaras
samice	nainen
samice	naisten
súradnice	koordinoida
súradnice	koordinoi
súradnice	koordinaatteja
súradnice	koordinaatit
senátu	senaatti
senátu	senaatin
grafický	graafinen
grafický	graafinen
plukovník	eversti
michelangelo	michelangelo
potomkov	jälkeläinen
potomkov	jälkeläisiä
potomkov	jälkeläiset
potomkov	jälkeläisiä
melbourne	melbourne
korunu	kruunua
korunu	crown
korunu	kruunu
korunu	kruunun
agent	agentti
tém	aiheet
tém	aiheita
kapitola	luku
železo	rauta
železo	rautaa
železo	raudan
spisy	kirjoitukset
spisy	kirjoituksia
podvozku	telin
labe	elbe
konečný	lopullinen
konečný	finaali
efektívne	tehokasta
efektívne	tehokas
efektívne	tehokkaat
efektívne	tehokkaasti
efektívne	tehokasta
efektívne	tehokas
efektívne	tehokkaat
efektívne	tehokkaasti
najnovšie	viimeaikainen
najnovšie	viimeaikaiset
najnovšie	viimeisimmät
najnovšie	äskettäin
najnovšie	uusin
najnovšie	uusimmat
najnovšie	uusin
najnovšie	uusimmat
najnovšie	viimeisin
najnovšie	viimeisimmät
poľnohospodárske	maatalouden
poľnohospodárske	maatalous
dramaturg	dramaturgi
kaplnke	kappeli
sasko	saksi
sasko	sachsen
modra	sininen
modra	siniset
modra	sinistä
modra	sini
jadrom	ytimen
jadrom	ytimessä
jadrom	ydin
papiera	paperi
papiera	paperia
platňa	kilpi
platňa	lautanen
platňa	lautasen
platňa	laatta
spol	kumppanit
hlasovať	äänestä
hlasovať	äänestys
hlasovať	äänioikeus
hlasovať	äänestää
hlasovať	äänestykset
hlasovať	äänestys
hlasovať	äänestäminen
hlasovať	äänestää
liverpool	liverpool
opravy	korjauksia
opravy	korjaukset
opravy	korjauksia
opravy	korjaukset
opravy	korjauksia
opravy	korjaa
opravy	korjaus
opravy	korjaukset
dia	dia
mačky	kissoja
mačky	kissat
trestné	rikolliset
trestné	rikollista
trestné	rikollinen
brigády	prikaatit
brigády	prikaati
teológia	teologiaa
varšave	varsovassa
varšave	varsovan
následné	myöhemmät
následné	myöhempi
ľudský	ihmisen
ľudský	ihminen
ľudský	inhimillinen
potrieb	tarvitsee
potrieb	tarpeet
potrieb	kaipaa
útek	pakeneminen
útek	paeta
útek	pakene
útek	pako
útek	paeta
zaťaženie	kuorma
zaťaženie	lataa
zaťaženie	kuormitus
zaťaženie	lataaminen
zaťaženie	ladataan
zaťaženie	kuormitus
zaťaženie	lastaus
tal	tal
vlastnil	omistaa
vlastnil	omisti
vlastnil	omistuksessa
sarah	sarah
venované	omistautunut
venované	omistettu
československo	tšekkoslovakian
vyhlásenia	lausunnot
vyhlásenia	lausumat
vyhlásenia	lausuntoja
vyhlásenia	ilmoituksia
vyhlásenia	ilmoitukset
sebastian	sebastian
klaus	klaus
obsahujúce	sisältävien
obsahujúce	sisältävät
dôsledky	seuraukset
dôsledky	seuraukset
dôsledky	seuraamukset
dôsledky	seurauksia
váhy	vaaka
váhy	painot
zámer	aikomus
zámer	aikomus
zámer	aikomuksena
hladina	tason
hladina	tasolla
hladina	taso
čreva	suolen
iniciatívy	aloitteet
iniciatívy	aloitteita
iniciatívy	aloite
iniciatívy	aloitteen
symbolov	tunnukset
symbolov	symbolit
symbolov	symboleja
mons	mons
empire	imperiumin
empire	empire
empire	valtakunta
empire	imperiumi
vietname	vietnamin
vietname	vietnam
vietname	vietnamiin
vietname	vietnamissa
piatok	perjantaina
piatok	perjantai
tvarov	muotoja
tvarov	hahmot
tvarov	muodot
štúdiá	studios
používateľ	käyttäjää
používateľ	käyttäjän
používateľ	käyttäjä
používateľ	käyttäjät
made	tehdyt
made	tehty
made	valmistettu
made	made
etapy	vaiheissa
etapy	vaiheita
etapy	vaiheet
pristál	laskeutui
pristál	purettu
pristál	laskeutunut
rozširuje	ulottuu
rozširuje	laajenee
osád	siirtokuntien
žltý	keltainen
žltý	keltaisia
žltý	keltaiset
odmietli	kieltäytyi
odmietli	kieltäytynyt
novšie	uudempi
jamie	jamie
náčelník	päällikkö
sociálny	sosiaaliset
sociálny	sosiaalisen
sociálny	sosiaalinen
sociálny	yhteiskunnallinen
porto	porto
rozdielne	erilaiset
rozdielne	erilainen
rozdielne	eri
rozdielne	erilaista
deutsche	deutsche
adresu	osoite
adresu	osoitteen
rumunský	romanian
rumunský	romania
lebky	kalloja
lebky	kallo
lebky	kallon
úseky	jaksot
priemyselná	teollinen
pretekár	racer
uhlie	hiilen
uhlie	hiili
uhlie	kivihiili
uhlie	hiili
uhlie	hiiltä
abeceda	aakkoset
komédie	komedia
komédie	komedioista
vrh	pentue
kopa	kasa
kopa	pino
kopa	nukka
duchovné	henkinen
duchovné	henkistä
duchovné	hengellinen
extra	ylimääräiset
extra	ylimääräistä
extra	extra
extra	ylimääräinen
extra	lisä
udržanie	ylläpitäminen
udržanie	ylläpitää
vzdať	antaudu
vzdať	antautua
snahu	ponnisteluja
nárok	vaatia
nárok	vaatimus
nárok	väite
chýb	virheitä
chýb	virheet
chýb	virheitä
chýb	virheet
chýb	ötököitä
chýb	vikoja
medi	kupari
medi	kuparia
pokryté	katettu
pokryté	kattoi
pokryté	peitetty
jednotlivcov	yksilöitä
jednotlivcov	yksilöt
jednotlivcov	yksilöiden
archeológ	arkeologi
archeológ	arkeologi
organizmus	organismin
organizmus	organismi
junior	nuorempi
junior	junior
junior	juniori
životy	elämät
životy	asuu
frekvencie	taajuuksia
frekvencie	taajuudet
frekvencie	esiintyvyys
frekvencie	taajuus
frekvencie	esiintymistiheys
frekvencie	tiheys
frekvencie	yleisyys
autobus	bussin
autobus	bussi
výrobcu	tuottaja
výrobcu	valmistaja
výrobcu	valmistajan
tisícročia	vuosituhannen
prednášky	luentoja
prednášky	luento
prednášky	luennon
ulrich	ulrich
akademický	akateemisen
akademický	akateeminen
návrhov	ehdotusten
návrhov	ehdotuksista
návrhov	ehdotukset
návrhov	ehdotuksia
praktické	käytännöllistä
praktické	käytännöllinen
praktické	käytännön
počasie	sää
počasie	keli
nominácia	ehdokkuuden
nominácia	nimittäminen
trio	trio
skúsenosť	kokemukset
skúsenosť	kokemus
skúsenosť	kokemuksen
skúsenosť	kokemuksia
skúsenosť	kokemusta
najmladší	nuorin
sklo	lasi
sklo	lasia
sklo	lasin
sklo	lasista
sklo	lasinen
preložené	käännetty
disciplíne	kuria
disciplíne	kuri
wwe	wwe
elektrických	sähkö
elektrických	sähköinen
elektrických	sähköiset
elektrických	sähköllä
elektrických	sähkö
elektrických	sähköinen
elektrických	sähköiset
adresy	osoitteita
adresy	osoitteet
family	suku
family	perhe
family	perheen
operáciu	leikkaukset
operáciu	leikkaus
operáciu	leikkauksen
vzdialený	etäinen
vzdialený	kaukainen
vzdialený	etäinen
vzdialený	kauko
naučil	oppi
naučil	oppineet
naučil	oppinut
naučil	opetti
naučil	opetettu
naučil	opettanut
porasty	istutukset
dmitrij	dmitri
pohlavia	sukupuoli
pohlavia	sukupuolten
pohlavia	seksiä
pohlavia	sukupuoli
pohlavia	seksi
pohlavia	sex
wars	sodat
wars	sotia
dallas	dallasin
dallas	dallasissa
dallas	dallas
karibiku	karibian
zrýchlenie	kiihtyvyys
core	ytimen
core	ytimessä
core	ydin
paralelne	samanaikaisesti
paralelne	rinnakkain
challenger	haastaja
bytov	tavua
bytov	huoneistoja
bytov	asunnot
bytov	huoneisto
bytov	asuntoja
rodičmi	vanhemmat
rodičmi	vanhempien
rodičmi	vanhempia
eddie	eddie
ross	rossin
ross	ross
média	tiedotusvälineet
média	media
média	mediaa
média	medialle
média	tiedotusvälineiden
fritz	fritz
afganistane	afganistan
afganistane	afganistanin
prístupné	esteetön
rádia	radion
rádia	radio
afrických	afrikkalainen
afrických	afrikkalaiset
afrických	afrikka
afrických	afrikan
terminál	terminaali
konstantin	konstantin
výstupy	tuotokset
výstupy	tulosten
bruins	bruins
armstrong	armstrong
lekára	lääkärin
lekára	lääkäri
lekára	tohtori
lekára	lääkäri
rukopis	käsikirjoitus
shoemaker	shoemaker
projektom	projektit
projektom	hankkeet
projektom	hankkeiden
projektom	hankkeita
prózy	proosaa
margaret	margaret
samostatnú	erillinen
nebezpečné	vaarallista
nebezpečné	vaarallinen
nebezpečné	vaaralliset
nebezpečné	vaarallisten
nebezpečné	vaarallista
nebezpečné	vaarallinen
nebezpečné	vaaralliset
pristáli	laskeutui
pristáli	purettu
pristáli	laskeutunut
škótsku	scotland
škótsku	skotlannissa
škótsku	skotlanti
škótsku	skotlannin
škótsku	viskiä
škótsku	viski
berkeley	berkeley
outline	hahmotella
venovaná	omistautunut
venovaná	omistettu
bočné	sivusuunnassa
platnosť	pätevä
platnosť	voimassa
platnosť	kelpaa
platnosť	kelvollinen
platnosť	pätevyys
platnosť	voimassaolo
výchovu	kasvatus
child	lasta
child	lapsen
child	lapsi
zostať	jäämässä
zostať	jää
zostať	pysy
polo	polo
sporné	kyseenalaista
sporné	kyseenalainen
sporné	kiistanalainen
sporné	kiistanalainen
neba	taivaaseen
neba	taivas
neba	taivaan
baktérie	bakteerit
baktérie	bakteeri
main	main
main	pääasialliset
main	pääasiallinen
main	tärkein
main	tärkeimmät
grafika	taidetta
grafika	taideteos
grafika	grafiikka
vodcov	johtajia
vodcov	johtajat
estónsko	viron
estónsko	viro
sodný	natriumia
sodný	natrium
schopností	kyvyt
schopností	kykyjä
medzinárodne	kansainvälisesti
médium	tiedotusvälineet
médium	media
médium	mediaa
médium	medialle
médium	tiedotusvälineiden
médium	psyykkinen
médium	meedio
médium	keskikokoinen
vyhláška	asetus
vyhláška	määräys
vyhláška	säädös
vyhláška	asetus
úteku	pakeneminen
úteku	paeta
úteku	karkuri
úteku	karannut
geometrie	geometrian
zachránil	pelasti
zachránil	tallennettu
zachránil	tallennetut
pravdepodobnosť	todennäköisyyksiä
pravdepodobnosť	todennäköisyys
pravdepodobnosť	kertoimet
pravdepodobnosť	todennäköisyys
pravdepodobnosť	todennäköisyyttä
pravdepodobnosť	todennäköisyys
pravdepodobnosť	todennäköisyyttä
pravdepodobnosť	todennäköisyyden
guide	opas
guide	ohje
guide	oppaan
airbus	airbus
komentár	kommentti
komentár	kommenttia
komentár	kommentoi
komentár	kommentin
komentár	kommentit
komentár	kommentteja
komentár	huomautuksia
komentár	huomautukset
neskoro	myöhäinen
neskoro	myöhässä
neskoro	myöhään
dokázať	osoitettava
dokázať	todista
dokázať	todistaa
vybraný	valittu
vybraný	valitut
vybraný	valittu
vybraný	valittuna
vybraný	valitut
vybraný	valittiin
zvon	bell
kult	kultti
usb	usb
veží	tornit
tajne	salaa
dodáva	toimittaa
kryštály	kiteitä
unit	yksikön
unit	yksikköä
unit	yksikkö
belfort	belfort
riadil	ajoi
riadil	ajoivat
príbuzných	sukulaiset
príbuzných	sukulaisia
polomer	säde
nákladné	kalliiksi
nákladné	rahdin
nákladné	tavaraliikenteen
nákladné	rahti
nákladné	rahtia
nechce	haluu
nechce	haluaa
nechce	tahtoo
užitočné	hyödyllinen
užitočné	hyödyllisiä
užitočné	hyödyllistä
užitočné	hyödyllinen
užitočné	hyödyllisiä
užitočné	hyödyllistä
športovcov	urheilijoita
športovcov	urheilijat
dos	dos
terénu	maastossa
terénu	maasto
plemena	rotua
plemena	rotu
otázok	kysymykset
otázok	kysymyksiä
širokú	laaja
širokú	laaja
širokú	leveä
buffalo	buffalo
pripravený	valmis
pripravený	valmiina
chemickej	kemikaali
chemickej	kemiallinen
chemickej	kemialliset
obnoviť	palauta
obnoviť	nollaa
obnoviť	palauta
obnoviť	palauttaa
obnoviť	päivitä
obnoviť	jatka
vodiča	ajaja
vodiča	kuljettajan
vodiča	kuljettaja
vodiča	kuski
vajíčka	munien
vajíčka	munat
vajíčka	kananmunia
vajíčka	munia
zavedené	toteutettu
zavedené	toteutettiin
zavedené	täytäntöön
odborník	asiantuntijaa
odborník	asiantuntija
odborník	asiantuntijan
odborník	erikoistunut
odborník	asiantuntija
odborník	erikoistuneet
bordeaux	bordeaux
sietí	verkkoja
sietí	verkot
sietí	verkostot
sietí	verkkojen
sietí	verkot
matematické	matemaattinen
magazín	lehti
magazín	lehden
vypukla	purkautui
hrdinovia	sankarit
hrdinovia	sankareita
bloky	korttelia
táborov	leirit
guinea	guinea
guinea	guinean
ralph	ralph
dáma	neito
dáma	lady
populárna	suosittu
populárna	suosittua
populárna	suosittuja
populárna	suositut
drámy	draama
drámy	drama
drámy	draamaa
pavilón	paviljonki
hospodárska	taloudelliset
hospodárska	taloudellinen
hodnotenia	arviot
hodnotenia	arvostelu
hodnotenia	arvostelut
hodnotenia	luokitukset
hodnotenia	arvioinnit
hodnotenia	arviointeja
hodnotenia	arvioinnit
hodnotenia	arviointeja
robotník	työläinen
robotník	työntekijä
robotník	työntekijää
robotník	työläinen
robotník	työntekijän
robotník	työntekijöiden
premena	muuntaminen
premena	konversio
premena	muunnos
premena	muodonmuutos
premena	muuntaminen
premena	muunnos
vyriešiť	ratkaista
vyriešiť	ratkaise
vyriešiť	ratkaista
vyriešiť	ratkaise
vyriešiť	ratkaisee
mobile	mobile
mobile	liikkuva
mobile	liikkuvat
mobile	matkapuhelin
živí	ruokkii
živí	hengissä
živí	elävä
živí	elävänä
živí	elossa
pietro	pietro
roland	roland
spracovania	jalostus
spracovania	käsittelyä
spracovania	käsittely
výslovnosť	ääntämistä
priehrady	patojen
vydávanie	liikkeeseen
vydávanie	julkaiseminen
vydávanie	julkaisu
autorka	tekijä
autorka	kirjailija
autorka	tekijän
autorka	esittäjä
autorka	kirjoittaja
politikov	poliitikkoja
politikov	poliitikot
uzavretá	ohessa
uzavretá	kiinni
uzavretá	suljettu
jeruzalem	jerusalemin
jeruzalem	jerusalemissa
stôp	jalkojen
stôp	jalat
stôp	jälkiä
stôp	jäljet
stôp	kappaleet
stôp	rataa
stôp	kappaleita
stôp	traces
kennedy	kennedyn
kennedy	kennedy
pilotov	lentäjät
pilotov	lentäjiä
značný	huomattavat
značný	huomattavia
značný	huomattava
odráža	heijastuu
odráža	kuvastaa
odráža	heijastuu
odráža	heijastaa
spoločná	yhteinen
spoločná	yhteisen
dolu	down
dolu	alas
dolu	alaspäin
progress	edistystä
progress	edistyminen
progress	edistys
progress	progress
obľúbené	suosikki
obľúbené	lempi
obľúbené	suosittu
obľúbené	suosittua
obľúbené	suosittuja
obľúbené	suositut
obľúbené	suosikkeja
obľúbené	suosikki
obľúbené	lempi
obľúbené	suosikit
kino	elokuva
značku	brändin
značku	brand
značku	merkki
bomba	pommi
aplikácia	sovellus
aplikácia	hakemuksen
aplikácia	sovelluksen
aplikácia	hakemus
aplikácia	soveltaminen
aplikácia	sovellus
aplikácia	sovelluksen
aplikácia	sovellusta
vyšetrenie	tarkastelu
vyšetrenie	tutkiminen
uplatnenie	soveltuvuus
uplatnenie	soveltaminen
ázijské	aasian
ázijské	aasialainen
štandardný	oletus
štandardný	standardin
štandardný	normi
štandardný	standard
štandardný	standardi
štandardný	vakio
psychológie	psykologian
psychológie	psykologiaa
zameranie	keskittäminen
zameranie	keskittyminen
zameranie	keskittyminen
zameranie	keskity
zameranie	focus
zameranie	keskittyä
meter	metri
meter	mittari
príbehov	kertomuksia
príbehov	tarinat
príbehov	tarinoita
príbehov	tarinoiden
jevgenij	jevgeni
pozor	huomio
podrobnosti	yksityiskohdat
podrobnosti	yksityiskohtia
podrobnosti	tiedot
podrobnosti	yksityiskohtainen
podrobnosti	yksityiskohdat
podrobnosti	yksityiskohtaisesti
podrobnosti	yksityiskohta
obnovenie	palauttamista
obnovenie	palauttaminen
obnovenie	uudistaminen
obnovenie	uusimista
obnovenie	uusiminen
metódu	menetelmä
metódu	menetelmän
malta	kranaatinheittimen
malta	maltan
malta	malta
malta	maltaa
uzol	solmu
uzol	solmun
uzol	solmu
prednosť	etusijalla
prednosť	ensisijainen
prednosť	prioriteetti
prednosť	suositaan
káder	ajatollah
menšiny	vähemmistöjen
menšiny	vähemmistö
menšiny	vähemmistöt
menšiny	vähemmistöjen
menšiny	vähemmistöjä
prietok	virtaus
prietok	virta
prietok	virrat
prietok	virtaa
prietok	virtauksen
zrušení	kumoamisesta
prevzaté	vietiin
prevzaté	ottaa
prevzaté	viety
prevzaté	otettu
mŕtvy	kuolleet
mŕtvy	kuollut
vyrábali	valmistettu
vyrábali	valmistetut
leonard	leonard
menšiu	pienempiä
menšiu	pienemmän
menšiu	pienemmät
menšiu	pienempi
algoritmus	algoritmi
ovládanie	ohjaus
ovládanie	määräysvalta
ovládanie	hallitse
ovládanie	hallinta
ovládanie	valvonta
ovládanie	tarkastukset
ovládanie	valvontaa
ovládanie	ohjaimet
strieborná	hopea
strieborná	hopeaa
strieborná	hopeinen
strieborná	silver
vchod	sisäänkäynnin
vchod	sisäänpääsy
vchod	sisäänkäynti
niesol	kantoi
popravený	toteutettu
popravený	teloitettiin
bel	bel
neoficiálne	epävirallinen
neoficiálne	epävirallista
neoficiálne	epävirallisia
neoficiálne	epävirallisen
neoficiálne	epävirallisesti
chicagu	chicagoon
chicagu	chicagosta
chicagu	chicagossa
chicagu	chicagon
chicagu	chicago
tvoj	sinun
