támogatója	сторонник
oldódik	растворимых
firenzei	флорентийский
csillagkép	созвездии
#fff	#fff
holló	ворон
holló	ворона
holló	кроу
holló	ворон
holló	ворона
anti	анти
hírességek	знаменитости
hírességek	знаменитость
hírességek	знаменитости
hírességek	знаменитостей
auguste	огюст
werder	вердер
térbeli	пространственных
hetente	еженедельно
köd	туман
köd	туман
köd	туманность
tang	тан
demográfiai	население
demográfiai	демографические
demográfiai	демографических
értékelte	оценили
értékelte	оценил
baptista	баптистов
mostanában	недавно
kompatibilis	совместим
kompatibilis	совместимость
kompatibilis	совместимы
kompatibilis	совместимо
kompatibilis	совместима
edge	край
edge	краю
edge	края
jam	джем
jam	jam
creek	крик
creek	ручей
ajánlom	рекомендуют
ajánlom	рекомендую
ajánlom	рекомендуем
ajánlom	рекомендовать
ajánlom	порекомендовать
sarki	полярных
figyelmeztetés	предупреждения
figyelmeztetés	предупреждение
figyelmeztetés	предостережение
figyelmeztetés	тревога
figyelmeztetés	оповещение
figyelmeztetés	предупреждения
narancssárga	оранжевое
narancssárga	оранжевый
narancssárga	апельсин
meggyilkolták	убита
meggyilkolták	убитый
meggyilkolták	убил
meggyilkolták	убит
meggyilkolták	убиты
scooby	скуби
lent	ниже
lent	внизу
boldogság	счастья
boldogság	счастье
boldogság	счастливый
boldogság	счастливая
boldogság	счастливые
boldogság	счастлива
boldogság	счастлив
szög	гвоздь
szög	угол
megválasztott	избранный
megválasztott	избрана
megválasztott	избран
megválasztott	избранные
időszakos	периодического
julian	джулиан
biológus	биолог
vienne	вьен
trombita	труба
trombita	трубе
pan	пан
pan	пэн
péntek	пятницу
péntek	пятница
moldova	молдова
monumentális	монументальной
bányászati	добычи
bányászati	добыча
poroszország	пруссии
korrekt	правильно
korrekt	исправить
korrekt	правильное
korrekt	правильный
korrekt	справедливый
korrekt	справедливо
korrekt	ярмарка
korrekt	справедливая
korrekt	справедливых
annie	анни
annie	энни
kalauz	проводник
kalauz	гид
kalauz	руководства
kalauz	руководство
kalauz	дирижёр
kalauz	проводник
vizsgált	испытанию
vizsgált	рассмотрел
tölgy	дуб
tölgy	дуба
tölgy	дуб
tojás	яйца
tojás	яйцо
létesítmény	установка
létesítmény	установки
létesítmény	учреждение
értelmezhető	значимых
értelmezhető	значимый
értelmezhető	значимые
megszállt	оккупированные
megszállt	занято
megszállt	оккупированных
klorid	хлорид
klorid	хлориды
fix	исправить
fix	починить
fix	стационарных
fix	исправлена
homok	песок
homok	пески
csók	целовать
csók	поцелуи
csók	целую
csók	поцелуи
csók	поцелуев
csók	целует
csók	поцелуй
csók	kiss
csók	целуй
veszteségeket	потери
veszteségeket	убытки
spontán	спонтанно
spontán	спонтанное
spontán	спонтанно
derby	дерби
evolúció	эволюция
evolúció	эволюции
szurkolók	поклонники
szurkolók	фанаты
üzemeltető	оператор
conrad	конрад
analízis	анализа
analízis	анализ
mongólia	монголии
mongólia	монголия
luna	луна
privát	частное
privát	частный
privát	частная
privát	частного
privát	личное
privát	частные
kezdetek	начало
kezdetek	начало
bizonyítani	доказать
bizonyítani	доказать
főnök	шеф
főnök	начальник
főnök	вождь
főnök	босс
szülő	родитель
harvey	харви
áruház	магазин
jackie	джеки
atlanta	атланте
koordináta	координировать
koordináta	координации
koordináta	координаты
claudius	клавдий
átadott	переведены
átadott	переданные
potenciális	потенциал
potenciális	потенциальная
lambert	ламберт
horror	ужас
horror	ужасы
szaxofon	саксофон
utasok	пассажиров
utasok	пассажиры
teológia	теологии
eltávolították	удален
eltávolították	удаляется
eltávolították	удалена
eltávolították	удалены
eltávolították	удалено
diszkográfia	дискография
hamburger	бургер
hamburger	гамбургер
szál	волокна
szál	нитки
szál	нити
szál	дискуссии
szál	нитки
szál	нити
szál	нить
centrum	centrum
centrum	центр
fát	дерево
fát	древесина
fát	вуд
fát	дрова
fát	древесины
hatásai	последствия
hatásai	эффекты
keserű	горько
keserű	горький
bűncselekmény	преступность
bűncselekmény	преступления
bűncselekmény	преступление
kutatói	исследователь
kutatói	исследователи
lennon	леннон
broadway	бродвей
bomba	бомба
bomba	бомбы
tudatosan	осознанно
tudatosan	сознательно
tudatosan	осознанно
tudatosan	сознательно
pérez	перес
abraham	авраам
abraham	абрахам
abraham	ибрахима
abraham	ибрахим
szerencsétlen	неудача
szerencsétlen	неудачно
felszerelve	оснащены
madagaszkár	мадагаскар
madagaszkár	мадагаскара
gene	ген
gene	джин
gene	гена
oslo	осло
robbanás	взрыв
csonka	усечённый
krakkó	краков
krakkó	краков
diploma	дипломы
diploma	диплом
diploma	аттестат
diploma	степень
diploma	степени
egyetértés	соглашение
egyetértés	понимание
egyetértés	взаимопонимание
egyetértés	понимания
egyetértés	консенсус
egyetértés	консенсуса
belseje	внутренних
belseje	интерьер
megoldások	решения
hetes	seven
hetes	семь
hetes	седьмая
következményei	последствия
lucia	люсии
lucia	люсия
boszorkány	ведьма
fészek	гнездо
fészek	гнезда
ars	ars
pat	пэт
propaganda	пропаганды
propaganda	пропаганда
propaganda	пропаганду
szocializmus	социализм
botrány	скандал
botrány	скандальные
szilveszter	сильвестр
santo	санто
santo	санту
sheffield	шеффилд
joel	джоэл
janeiro	жанейро
ipa	апи
gót	гот
tengerentúli	зарубежные
tengerentúli	заморских
asszisztensek	помощники
asszisztensek	помощников
düsseldorf	дюссельдорф
düsseldorf	дюссельдорфе
termelt	произведенные
termelt	произведено
csarnok	зал
csarnok	hall
csarnok	холл
spider	паук
spider	пауки
interaktív	интерактивные
interaktív	интерактивный
interaktív	интерактивного
sex	секс
feltöltött	загрузил
feltöltött	загружены
feltöltött	загрузили
feltöltött	загружен
autóval	машину
autóval	автомобиль
autóval	car
autóval	вагон
autóval	машина
paramount	первостепенное
hivatkozást	линк
hivatkozást	связать
hivatkozást	ссылка
hivatkozást	ссылку
alkotók	создатели
alkotók	творцов
szépség	красота
csomag	стаи
csomag	стая
csomag	пакет
csomag	упаковка
csomag	посылка
kai	кай
kai	кая
kazahsztán	казахстан
puy	пюи
utazási	поездки
utazási	проезд
utazási	путешествия
utazási	путешествие
linnaeus	линней
radioaktív	радиоактивный
radioaktív	радиоактивных
radioaktív	радиоактивные
jamaica	ямайка
jamaica	ямайки
vallott	признался
vallott	сознался
vallott	призналась
kopasz	лысый
kopasz	лысый
kaukázusi	кавказа
kaukázusi	кавказ
kaukázusi	кавказа
bokor	кустах
bokor	кусты
bokor	буш
bokor	буша
bokor	кустарник
búza	пшеницы
egységesen	единообразно
egységesen	равномерно
bónusz	бонус
bónusz	бонусы
hónapja	месяц
hónapja	месяца
amy	эми
jelentéktelen	бессмысленно
jelentéktelen	незначительным
alpha	alpha
alpha	альфа
sör	пива
sör	пиво
hughes	хьюз
morva	моравская
jake	джейка
jake	джейк
sorba	очередь
sorba	очереди
hopkins	хопкинс
stark	старк
olivier	оливье
ned	нед
niger	нигер
niger	нигера
niger	нигере
megjelölt	отмечен
megjelölt	отмечена
megjelölt	отмечено
megjelölt	отмеченные
megjelölt	отмечены
megjelölt	отмечена
megjelölt	отметили
kizárólagos	эксклюзивный
kizárólagos	эксклюзивные
kizárólagos	исключительной
szemét	мусор
szemét	мусора
szemét	мусор
szemét	корзина
szemét	мусор
lakás	квартиру
lakás	квартира
lakás	квартира
lakás	апартаменты
lakás	квартире
lakás	жилище
lakás	жилье
trilógia	трилогия
dakota	дакота
szombaton	суббота
szombaton	субботу
julianna	джулианна
évenként	ежегодно
évenként	ежегодная
koncepció	понятие
koncepció	концепция
jeanne	джоан
jeanne	жанна
átalakított	измененный
átalakított	измененные
átalakított	изменена
átalakított	изменено
átalakított	преобразованы
előnyös	выгодным
törlése	исключить
törlése	удаление
törlése	удалить
alább	ниже
bizonyítékok	доказательств
bizonyítékok	доказательства
bizonyítékok	доказательство
bizonyítékok	улики
bizonyítékok	улика
ávila	авила
eduardo	эдуардо
fizikusok	физики
simpson	симпсон
nílus	нил
nílus	нила
vallások	религии
vallások	религий
élőlény	организм
élőlény	организма
orange	оранжевое
orange	оранжевый
orange	апельсин
számláló	счетчик
elkerülése	избегая
elkerülése	избежать
elkerülése	избегать
elkerülése	избежание
elkerülése	избежать
elkerülése	избегать
elkerülése	избегайте
elkerülése	избежание
elkerülése	расторжение
konszenzus	консенсус
konszenzus	консенсуса
michelle	мишель
paula	паула
paula	пола
gerhard	герхард
kapcsolatai	соединения
elszenvedett	выдержал
nicaragua	никарагуа
castro	кастро
vandalizmus	вандализма
rhône	рона
mobile	mobile
mobile	мобильные
mobile	мобильных
mobile	мобильный
glenn	глен
glenn	гленн
stein	штайн
gombák	грибы
gombák	грибок
gombák	грибы
ablakok	windows
ablakok	окна
brno	брно
reagál	реагирование
reagál	отвечает
évszázad	век
évszázad	столетие
armstrong	армстронг
csomópont	узел
csomópont	перекрестка
törvénytelen	незаконной
törvénytelen	незаконными
törvénytelen	незаконное
törvénytelen	незаконный
aranyos	милые
aranyos	милый
próbáltam	пытался
próbáltam	пробовал
próbáltam	пробовали
próbáltam	попытался
próbáltam	пытались
palermo	палермо
bezárt	закрыта
bezárt	закрыто
bezárt	закрытая
bezárt	закрытое
bezárt	закрыты
csökkentése	уменьшить
csökkentése	сократить
csökkentése	уменьшение
csökkentése	сокращение
csökkentése	уменьшение
rain	дожди
rain	дождь
auto	auto
auto	авто
kitörés	вспышка
kitörés	прорыв
kitörés	побега
kitörés	извержение
freddie	фредди
apache	apache
esküvő	свадьбу
esküvő	свадьбы
esküvő	свадебный
esküvő	свадьба
hudson	хадсон
utcák	улицы
utcák	улицах
technikailag	технически
technikailag	формально
alekszandrovics	александрович
perui	перу
perui	перу
koreográfus	хореограф
recept	рецепт
recept	рецепт
társaságok	корпораций
társaságok	корпорации
társaságok	компаниям
társaságok	компании
társaságok	компаний
megszüntetése	увольнение
megszüntetése	прекращение
megszüntetése	прекращения
siemens	siemens
kiadások	расходы
kiadások	расходы
kiadások	расходы
ábrázol	изображает
nyelvészet	лингвистика
hollywoodi	голливуд
divat	моды
divat	мода
divat	fashion
divat	модные
divat	модный
christoph	кристоф
összeg	сумма
összeg	сумма
nicole	николь
nepál	непала
nepál	непале
nepál	непал
deux	дё
távközlési	telecom
távközlési	связь
távközlési	телекоммуникаций
távközlési	телекоммуникации
távközlési	телекоммуникации
távközlési	электросвязи
kocsik	автомобили
kocsik	машины
kocsik	вагонов
kocsik	вагоны
kocsik	вагонов
felújítás	ремонт
felújítás	реконструкция
felújítás	ремонт
professzionális	профессиональное
professzionális	professional
professzionális	профессиональная
professzionális	профессионал
houston	хьюстон
ulrich	ульрих
működés	эксплуатация
működés	операция
működés	функционирования
működés	функционирование
működés	функционирующие
istennő	богиня
hidak	мосты
hidak	мостов
kultúrák	культур
kultúrák	культуры
lombard	ломбард
vívás	фехтование
waters	водах
fbi	фбр
későn	опаздывает
későn	поздний
későn	поздно
későn	опоздал
szociológus	социолог
cape	плащ
cape	мыс
hallani	слышать
hallani	слышите
hallani	слышу
kimondottan	конкретно
kiadatlan	неопубликованные
lili	лилия
lili	лили
lili	лили
harald	харальд
plus	плюс
plus	plus
érvénytelen	неверный
érvénytelen	инвалид
kövér	толстый
kövér	толстая
kövér	жир
kövér	жирный
nézett	посмотрел
nézett	выглядел
kínál	предложения
kínál	предлагая
kínál	предлагаю
kolostorban	монастырь
kerék	колеса
kerék	колесо
kerék	колеса
kerék	колёса
vegyész	химик
fejlesztések	усовершенствования
fejlesztések	усовершенствования
fejlesztések	улучшения
fejlesztések	улучшение
fejlesztések	события
emelet	пол
emelet	этаж
szimmetrikus	симметричный
szimmetrikus	симметричные
kártya	карты
kártya	карточки
kártya	открытки
kártya	карта
kártya	карту
kártya	карточка
tankönyv	учебник
instrumentális	инструментальной
holmes	холмс
kötés	обязательные
kötés	обязательных
kötés	вязание
kötés	бинт
kötés	повязку
kötés	бонд
ezentúl	впредь
tulajdonság	собственности
tulajdonság	свойство
tulajdonság	имущество
tulajdonság	собственность
tulajdonság	недвижимость
tulajdonság	свойства
tulajdonság	недвижимость
légkör	атмосфера
légkör	атмосферу
légkör	атмосферных
kurd	курдского
kurd	курдов
szabályozza	регулирует
mainz	майнц
terveket	конструкций
varázsló	мастер
varázsló	волшебник
varázsló	чародей
varázsló	фокусник
varázsló	маг
varázsló	волшебник
varázsló	чародей
varázsló	колдун
heinz	хайнц
sárgás	желтоватый
producerek	производителей
producerek	производители
producerek	продюсеры
nyelveket	языки
nyelveket	языках
felmérés	обследования
felmérés	опрос
felmérés	обследование
felmérés	опрос
felmérés	обследования
caf	caf
gyanús	подозрительные
gyanús	подозрительный
gyanús	подозрительно
gyanús	подозрительных
gyanús	подозреваемый
henger	баллон
henger	цилиндр
henger	баллоны
műsorok	показывает
venezia	venezia
felváltva	поочередно
csökkenő	снижается
csökkenő	уменьшается
todd	тодд
parma	парма
infrastruktúra	инфраструктура
seattle	сиэтле
seattle	сиэтл
fegyvereket	пушки
fegyvereket	оружие
fegyvereket	пистолеты
vágy	желание
vágy	желания
vágy	желания
vágy	желаний
vágy	похоть
vágy	тяга
ugrás	прыгать
ugrás	прыжок
ugrás	прыгнуть
erotikus	эротические
homo	homo
hibrid	смешанной
hibrid	гибрид
dráva	драва
bon	бон
robbie	робби
morris	моррис
europa	europa
europa	европа
cukor	кэнди
cukor	конфеты
cukor	сахар
terhes	беременная
terhes	беременные
terhes	беременна
érvek	аргументы
érvek	доводы
városokat	города
városokat	городов
triász	триасового
tömör	компакт
tömör	твердое
tömör	твердый
tömör	твердых
tömör	твердые
tömör	краткое
anhalt	анхальт
kórházi	больница
kórházi	госпиталь
kórházi	больнице
komédia	комедии
komédia	комедия
komédia	фарс
ita	ита
víztározó	водохранилище
roth	рот
csont	костей
csont	кости
csont	кость
bennett	беннетт
bennett	беннет
csőre	клюв
arizona	аризона
jegyzett	подписался
jegyzett	подписка
jegyzett	подписаны
jegyzett	подписались
jegyzett	подписки
jegyzett	процитировал
baseball	бейсбол
egyezik	матчи
egyezik	совпадения
egyezik	спички
egyezik	матч
egyezik	совпадение
bolond	дурак
bolond	дура
bolond	глупо
algebra	алгебра
kínaiak	китайская
kínaiak	китайское
kínaiak	китайцы
kínaiak	китайский
kínaiak	китая
igazgatóság	директората
igazgatóság	директорат
tibet	тибет
őszintén	честно
toyota	toyota
ovális	овал
megosztott	разделяет
megosztott	поделилась
megosztott	поделились
megosztott	поделился
megosztott	разделились
tematikus	тематическое
tematikus	тематическая
tematikus	тематический
követői	подписчики
követői	последователи
követői	подписчиков
egyenlítői	экваториальной
egyenlítői	экваториальная
napokban	дни
napokban	days
napokban	дней
munkahelyek	вакансии
hanna	ханна
hanna	ханна
halottak	мертвый
halottak	умер
halottak	мертвые
halottak	мертв
halottak	мертва
burton	бёртон
burton	бартон
nacionalista	националистических
csatornák	каналы
csatornák	каналы
csatornák	канализации
kezelő	оператор
kezelő	manager
kezelő	менеджер
kezelő	управляющий
kezelő	куратор
vatikáni	ватикан
vatikáni	ватикана
módszertani	методологических
porsche	порше
porsche	porsche
haiti	гаити
hírhedt	notorious
hírhedt	infamous
tokiói	токио
költség	цена
költség	стоимость
költség	затраты
költség	затраты
költség	расходы
költség	издержки
ricardo	рикардо
részleteket	детали
részleteket	подробности
mel	мэл
mel	мел
törtek	дроби
törtek	фракции
galamb	голубь
galamb	голуби
galamb	голубь
szervező	промоутер
szervező	организатор
szervező	организатор
szervező	организатором
szervező	организатора
macskák	кошек
macskák	коты
macskák	кошки
befolyásos	влиятельный
befolyásos	влиятельные
befolyásos	влиятельных
elpusztította	уничтожен
elpusztította	уничтожена
elpusztította	уничтожены
elpusztította	разрушен
elpusztította	уничтожено
hús	мясо
hús	мяса
hús	плоть
hús	плоти
követelt	требовала
követelt	потребовал
követelt	требовал
búcsú	расставание
búcsú	разлука
bástya	бастион
bástya	ладья
serena	серена
serena	сирена
vosges	вогезы
felipe	фелипе
hirdetett	объявлены
hirdetett	повышен
logó	логотип
katalógus	каталоги
katalógus	каталог
katalógus	каталог
platform	платформу
platform	платформы
platform	платформа
platform	платформ
platform	платформы
nyelvtan	грамматика
kollektív	коллектив
kollektív	коллективных
kollektív	коллективные
kollektív	коллективная
kollektív	коллективное
hazafias	отечественной
rogers	роджерс
tudor	тюдор
tizenegyedik	одиннадцатый
tizenegyedik	одиннадцатой
tizenegyedik	одиннадцатого
jefferson	джефферсон
meghívást	пригласить
meghívást	приглашение
meghívást	приглашаем
meghívást	приглашаю
meghívást	приглашение
feladatai	задачи
feladatai	пошлины
feladatai	обязанностей
feladatai	обязанности
vállalja	совершает
glasgow	глазго
suriname	суринам
légió	легион
gyalogság	пехотный
gyalogság	пехоты
értelmezni	толковать
értelmezni	интерпретировать
bauer	бауэр
muzulmán	мусульманских
muzulmán	мусульманские
muzulmán	мусульманин
muzulmán	мусульмане
fajták	породы
fajták	порождает
fajták	пород
fajták	сорта
fajták	разновидностей
fajták	разновидности
fajták	сортов
hivatkozásokat	ссылки
montana	монтана
stratégia	стратегия
biztonság	безопасность
biztonság	охрана
biztonság	безопасно
biztonság	безопасное
biztonság	сейф
biztonság	безопасность
len	льна
len	лен
struktúra	структура
ismétlődő	дублировать
ismétlődő	повторяющихся
ismétlődő	повторяющиеся
ismétlődő	неоднократные
ismétlődő	повторяется
felvételeket	кассеты
felvételeket	ленты
gaja	гая
bűnös	виновны
bűnös	виновен
kiejtés	произношение
kén	серы
kén	серы
kén	сере
admirális	адмирал
tarka	pied
váltakozó	чередование
tedd	поставить
puha	мягкий
puha	нежная
puha	мягкая
puha	мягкое
puha	мягкие
zavaros	запутался
zavaros	облачно
liechtenstein	лихтенштейн
jessica	джессика
hubert	юбер
gers	жер
hitte	верила
hitte	поверил
hitte	поверила
hitte	верил
rap	рэп
januárban	январь
januárban	января
sértő	оскорбительно
sértő	наступательных
sértő	наступление
sértő	оскорбительно
sértő	оскорбление
iowa	айова
medina	медина
medina	медины
medina	медину
medina	медине
törvényeket	законов
törvényeket	законы
kölcsön	займы
kölcsön	займов
kölcsön	кредиты
kölcsön	ссуды
kölcsön	заем
kölcsön	кредит
kölcsön	кредита
kölcsön	заимствования
clarke	кларк
kezdeményezés	инициатива
túlélte	выжили
túlélte	выжила
túlélte	пережил
túlélte	выжил
régiók	регионы
régiók	область
régiók	регион
módosult	измененный
módosult	измененные
módosult	изменена
módosult	изменено
algoritmus	алгоритм
hallgatta	слушали
hallgatta	слушал
hallgatta	послушал
hallgatta	слушала
marton	мартон
randy	рэнди
ferde	косая
ferde	slant
ontario	онтарио
riporter	репортер
riporter	репортёр
esély	шансы
esély	шанс
esély	шансы
szárnyas	крылатые
ünnepség	церемония
ünnepség	церемонии
ünnepség	праздник
ünnepség	празднование
ünnepség	торжество
kaliforniában	калифорния
kaliforniában	калифорнии
rossi	росси
temetkezési	гробовщик
bis	бис
bis	bis
kibocsátott	выпущено
kibocsátott	издан
kibocsátott	выдано
kibocsátott	изданы
laboratóriumi	лаборатории
laboratóriumi	лаборатория
berg	берг
állampolgár	гражданин
állampolgár	гражданина
albrecht	альбрехт
gomba	грибы
gomba	грибок
gomba	грибы
gomba	гриб
gomba	грибы
szavazott	проголосовал
szavazott	проголосовали
szavazott	голосовал
szavazott	голосовали
szavazott	проголосовала
nyelveken	языки
nyelveken	языках
afganisztán	афганистана
afganisztán	афганистан
afganisztán	афганистане
steiner	штайнер
állítólagos	предполагаемая
állítólagos	предполагаемых
állítólagos	предполагаемый
állítólagos	предполагаемые
szándéka	намерение
szándéka	намерение
szándéka	намерения
genova	генуя
világosabb	яснее
világosabb	зажигалка
világosabb	легче
elérés	охват
visszafelé	назад
ptolemaiosz	птолемей
cliff	клифф
memorial	мемориал
nicola	никола
nicola	николя
egyenletes	равномерно
egyenletes	устойчивый
egyenletes	стабильный
leveleket	буквы
leveleket	письма
brecht	брехт
martínez	мартинес
növényzet	растительности
növényzet	растительность
julien	жюльен
antarktisz	антарктике
hasonlított	напоминала
törzsi	племен
cartman	картман
beavatkozás	вмешательство
beavatkozás	вмешательства
beavatkozás	помехи
beavatkozás	вмешательство
beavatkozás	интервенции
beavatkozás	вмешательства
tolkien	толкин
karcsú	слим
karcsú	стройная
tanít	обучение
tanít	преподавание
tanít	преподавания
tanít	учит
kétséges	сомнения
kétséges	сомнение
kétséges	сомневаться
kétséges	сомнений
kétséges	сомнительно
kétséges	сомнительной
kétséges	сомнительной
kétséges	сомнительно
dobó	питчер
dobó	подача
technikák	методы
színésznők	актрисы
átjáró	портал
átjáró	врата
átjáró	ворота
átjáró	шлюз
átjáró	проход
leslie	лесли
pusztító	разрушительные
pusztító	разрушительное
pusztító	разрушительной
pusztító	разрушительные
bolygók	планет
bolygók	планеты
pearl	жемчуг
pearl	жемчужина
pearl	перл
erősíti	укрепляет
átdolgozott	пересмотрен
rétegek	слои
álma	сон
álma	dream
álma	мечта
postás	почтальон
postás	почтальон
essen	эссен
találkozni	познакомиться
találkozni	знакомьтесь
találkozni	встретиться
romantika	романтика
romantika	романтики
feldolgozó	процессор
elena	елена
elektron	электрон
konferencián	конференция
konferencián	конференцию
konferencián	конференции
telek	земли
telek	земельный
telek	land
telek	земля
sűrűsége	плотность
singer	певица
singer	певец
lejárt	истек
anatómiai	анатомические
zambia	замбия
zambia	замбии
leon	леон
laosz	лаос
verset	стих
verset	стихотворение
casa	casa
casa	каса
vezetni	водить
vezetni	драйв
vezetni	привод
vezetni	drive
rico	рико
haydn	гайдн
felhasználás	используйте
felhasználás	использование
felhasználás	использовать
felhasználás	потребления
felhasználás	потребление
korong	диск
korong	пак
korong	диск
korong	диска
hűséges	верные
hűséges	преданный
hűséges	верный
hűséges	верная
hűséges	верующие
hűséges	верная
hűséges	верующих
hűséges	верные
elektronikai	электроники
venezuelai	венесуэлы
venezuelai	венесуэлы
venezuelai	венесуэла
kötőjel	дефис
paradicsom	томатный
paradicsom	помидоры
paradicsom	помидоры
paradicsom	рай
fenntartása	поддержание
álláspont	позиция
álláspont	должность
álláspont	положение
fenyegető	угрожает
fenyegető	угрожающие
fenyegető	угрожать
házigazda	принимающих
házigazda	принимающая
harmadszor	третье
harmadszor	третий
harmadszor	третья
faktor	коэффициент
faktor	фактор
faktor	фактором
federico	федерико
növelése	увеличить
növelése	увеличение
samantha	саманта
emily	эмили
hbo	hbo
szingapúr	сингапур
szingapúr	сингапура
szingapúr	сингапуре
giacomo	джакомо
hektáros	акров
oszlopok	столбцы
oszlopok	колонки
oszlopok	колонны
martina	мартина
darwin	дарвин
domenico	доменико
küld	отправляет
küld	посылает
küld	отправка
küld	послать
küld	отправить
doug	дага
doug	даг
lakók	жителей
lakók	резиденты
lakók	жители
lakók	арендаторов
republikánus	республиканцы
republikánus	республиканский
republikánus	республиканской
rosszindulatú	злоупотреблений
rosszindulatú	злокачественных
rövidítések	сокращения
rövidítések	сокращений
arabok	арабов
arabok	арабы
elemzés	анализа
elemzés	анализ
tehetségét	таланты
veronika	вероника
nomád	кочевников
járvány	вспышка
járvány	чума
járvány	пандемия
járvány	пандемии
járvány	эпидемия
járvány	эпидемию
járvány	эпидемии
megfigyelő	наблюдателя
megfigyelő	наблюдатель
lille	лилль
vicces	смешная
vicces	забавный
vicces	забавно
vicces	смешной
vicces	смешно
vicces	весело
hónapok	месяца
hónapok	месяцы
hónapok	месяцев
laurent	лоран
enged	позволяет
gázok	газов
gázok	газы
válás	развод
chan	чан
chan	тян
másképpen	иначе
halászat	рыболовство
halászat	рыболовства
halászat	рыболовство
halászat	рыболовства
halászat	рыбалка
évkönyv	ежегодник
lánc	цепи
lánc	цепочки
lánc	цепочку
lánc	цепочка
lánc	цепь
oxid	оксид
illetékes	компетентный
illetékes	компетентным
fortuna	фортуна
nielsen	нильсен
leeds	лидс
vega	вега
befejeződött	завершил
befejeződött	завершено
befejeződött	завершен
