முதலாளி	patron
இடி	yıldırım
இடி	şimşek
இடி	thunder
மிசிசிப்பி	mississippi
தியாகி	şehit
யாரையும்	kimse
ஆல்கஹால்	alkollü
ஆல்கஹால்	alkol
ரன்கள்	koşar
ரன்கள்	yönetiyor
வேட்டையாடும்	yırtıcı
ரொட்டி	ekmek
கும்பல்	çete
கொசு	sivrisinek
பெரியவர்கள்	yetişkin
பெரியவர்கள்	büyükler
பெரியவர்கள்	yetişkinler
பெரியவர்கள்	yetişkinlere
டியான்	dion
மிலன்	milan
மிலன்	milano
திருப்பம்	twist
உருளைக்கிழங்கு	patates
உருளைக்கிழங்கு	patates
தெரிந்தது	bilinir
தெரிந்தது	bilinen
கரீனா	kareena
விழுந்தது	düştü
விழுந்தது	düşmüş
விழுந்தது	düştüm
சொர்க்கம்	cennet
சொர்க்கம்	cennet
சொர்க்கம்	paradise
வேடிக்கை	eğlenceli
வேடிக்கை	eğlence
வேடிக்கை	komik
எதிர்பார்த்த	bekleniyor
எதிர்பார்த்த	beklenen
வடிகட்டி	filtre
நுட்பங்களை	teknikler
நுட்பங்களை	teknikleri
சூத்திரங்கள்	formülleri
புனல்	huni
துவங்குகிறது	başlar
துவங்குகிறது	başlıyor
துவங்குகிறது	başlamak
துவங்குகிறது	başlıyor
துவங்குகிறது	başlıyorum
துவங்குகிறது	başlangıç
தீவிரவாதி	terör
தீவிரவாதி	terörist
பிளாக்பெர்ரி	blackberry
பிளாக்பெர்ரி	böğürtlen
ஆதரிக்கிறது	destekler
ஆதரிக்கிறது	destekliyor
ஆதரிக்கிறது	destek
தந்தைக்கு	baba
மதியம்	öğle
மதியம்	öğleyin
மதியம்	öğlen
மதியம்	öğleden
மதியம்	öğlen
இம்மானுவேல்	immanuel
இம்மானுவேல்	emmanuel
தஞ்சோங்	tanjung
லோபஸ்	lópez
லோபஸ்	lopez
ஹாலே	halle
பழங்குடியின	aborjin
வலைப்பூ	blog
பெங்காலி	bengali
அத்தி	incir
காற்றியக்கவியல்	aerodinamik
படகில்	feribot
சுரங்கங்கள்	tüneller
சுரங்கங்கள்	tünel
அழுத்தி	kompresör
பழுது	tamir
பழுது	onarım
பழுது	tamirat
பழுது	tamir
பழுது	tamiri
பழுது	onarım
அறுகோண	altıgen
ஊஞ்சல்	salıncak
ஊஞ்சல்	salla
ஊஞ்சல்	swing
பைபிள்	incili
பைபிள்	incil
அடியார்கள்	kulları
அடியார்கள்	hizmetçiler
ஹம்	hum
தோற்றங்கள்	görüntüler
தோற்றங்கள்	resimler
தோற்றங்கள்	görseller
புன்னகை	gülümse
புன்னகை	gülümseme
புன்னகை	gülümseyen
புன்னகை	gülümsemek
சைரஸ்	cyrus
கால்களை	bacak
கால்களை	bacakları
கால்களை	bacaklar
பரிமாணம்	boyut
இவான்	ivan
இவான்	evan
அரபிக்	arap
லில்லி	lilly
லில்லி	zambak
லில்லி	lily
வார்த்தைகளை	kelimeler
வார்த்தைகளை	sözcükler
வார்த்தைகளை	sözler
வார்த்தைகளை	kelime
முன்பதிவு	rezervasyon
முன்பதிவு	rezerv
முன்பதிவு	yedek
முன்பதிவு	rezerve
குறிப்பிடவில்லை	belirtilen
குறிப்பிடவில்லை	belirtilmiş
குறிப்பிடவில்லை	belirtildi
எடையை	ağırlığı
எடையை	ağırlık
எடையை	kilosu
எடையை	kilo
கியூரி	curie
கட்டமைக்கப்பட்ட	yapılandırılmış
பிரெட்	brett
பிரெட்	fred
பாரா	bara
அவளின்	onun
அவளின்	onu
சுறா	köpekbalığı
கொம்புகள்	boynuz
கொம்புகள்	boynuzlu
கொம்புகள்	boynuzları
அகராதிகள்	sözlükler
அகராதிகள்	sözlük
அணிய	giy
உருகுவே	uruguay
சோப்ரா	chopra
நிபந்தனை	durum
நிபந்தனை	condition
நிபந்தனை	şart
நிபந்தனை	durumu
நிபந்தனை	koşul
அச்சுப்பொறிகள்	yazıcılar
அச்சுப்பொறிகள்	yazıcı
பின்னம்	kesri
மீட்டரில்	challenger
போராடினார்	dövüştü
போராடினார்	savaştı
டேல்	dale
எஸ்டேட்	emlak
எஸ்டேட்	gayrimenkul
ஓடை	akış
ஓடை	irmak
ஓடை	akım
ஓடை	akımı
ஓடை	dere
எந்திர	işleme
ஊற்று	çeşme
ஊற்று	pınar
விளையாடுபவர்	oyuncu
விளையாடுபவர்	oyuncular
விமானத்தை	uçak
வெங்காயம்	soğan
வெங்காயம்	soğanlı
வெங்காயம்	soğan
வெங்காயம்	soğanlı
விசைகள்	anahtar
விசைகள்	anahtarları
விசைகள்	anahtarlar
விசைகள்	tetik
விசைகள்	tetikleyici
விசைகள்	tetiği
விளையாடுகிறார்	oynuyor
விளையாடுகிறார்	oynamak
பலரை	seçti
அழிப்பு	imha
அழிப்பு	temizlik
நுண்ணுயிரியல்	mikrobiyoloji
மஞ்சு	manchu
அன்றாடம்	günlük
சக்கரங்கள்	tekerlekler
சக்கரங்கள்	çark
சக்கரங்கள்	tekerlek
நிவாரணம்	rahatlık
நிவாரணம்	rahatlama
நாடா	bant
நாடா	teyp
நாடா	kaset
பூச்சு	alçı
பூச்சு	sıva
குறைந்துள்ளது	düşüş
குறைந்துள்ளது	azalma
மாலிப்டினம்	molibden
தீர்ப்பை	hüküm
தீர்ப்பை	yargı
காயத்ரி	gayatri
தோ	yahu
முகவரியை	adresiniz
முகவரியை	adresi
முகவரியை	adres
வோல்ட்	volt
பைன்	çam
வாரன்	warren
நிறுவுதல்	kurulum
நிறுவுதல்	yükleme
நிறுவுதல்	montaj
டவர்	kule
டவர்	tower
டவர்	kulesi
தனியுரிமை	gizlilik
தனியுரிமை	mahremiyet
ஆன்டர்சன்	anderson
கேமரா	kamera
இறுதியான	final
இறுதியான	nihai
போக்குகள்	eğilimler
போக்குகள்	eğilim
சாலமன்	solomon
சாலமன்	süleyman
மட்டை	bat
மட்டை	yarasa
மட்டை	sopa
திரௌபதி	draupadi
வெளியேற்றி	fırlatma
கார்ட்டூன்	karikatür
கார்ட்டூன்	çizgi
சிந்தனையாளர்	düşünür
சிந்தனையாளர்	düşünen
சிகரெட்	sigara
சிகரெட்	sigaralar
சிகரெட்	sigara
காரம்	acılı
காரம்	baharatlı
வேன்	van
வேன்	minibüs
வேன்	kamyonet
மூத்தவர்	kıdemli
வெண்ணெய்	yağ
வெண்ணெய்	tereyağı
முயற்சிக்கும்	deniyor
மரியாள்	magdalene
சிங்கர்	şarkıcı
சிங்கர்	singer
இடையிலுள்ள	otantik
இடையிலுள்ள	gerçeklik
மனோ	mano
நிழல்கள்	gölge
நிழல்கள்	gölgeleri
நிழல்கள்	gölgelerin
நிழல்கள்	gölgeler
கலவரங்கள்	isyanlar
ஆர்சனல்	arsenal
வின்ஸ்டன்	winston
குடிசை	kulübe
புதுப்பிக்கப்பட்டது	güncellendi
அனிமேஷன்	animasyon
அனிமேஷன்	anime
தேரை	kurbağa
மகேஷ்	mahesh
மூவி	film
மூவி	sinema
கொள்வனவு	alışverişe
கொள்வனவு	alışveriş
பேரிடர்	facia
பேரிடர்	felâket
பேரிடர்	felaket
பேரிடர்	afet
எறும்புகள்	karınca
எறும்புகள்	karıncalar
தட்டி	musluk
தட்டி	dokun
தட்டி	tap
தட்டி	dokunun
உபயோகம்	kullanımı
உபயோகம்	kullanım
மெழுகு	cila
மெழுகு	balmumu
சிந்தி	sindhi
ஹாக்	hawk
ஹாக்	şahin
ஹாக்	atmaca
ஹாக்	hawke
காய்ந்த	kuru
கீற்று	streak
பயங்கரவாத	terör
பயங்கரவாத	dehşet
செயற்பட	işlevsel
செயற்பட	fonksiyonel
சொத்துரிமை	mülkiyet
சொத்துரிமை	sahipliği
ஹான்ஸ்	hans
பட்டர்	yağ
பட்டர்	tereyağı
ராணா	rana
அனுபவத்தை	deneyimi
அனுபவத்தை	tecrübe
அனுபவத்தை	deneyim
பாராட்டும்	beğeni
பாராட்டும்	takdir
குறைந்தளவு	tutucu
குறைந்தளவு	muhafazakar
குறைந்தளவு	muhafazakâr
ரொனால்டோ	ronaldo
செய்தாலும்	herneyse
சக்திவாய்ந்த	güçlü
சக்திவாய்ந்த	güçlüler
திங்கட்கிழமை	pazartesi
தனிநபர்கள்	şahıslar
தனிநபர்கள்	bireyler
ஆண்குறி	penis
ஆண்குறி	penisi
டெர்ரி	terry
படைத்தவர்	yaratıcı
படைத்தவர்	yaradan
படைத்தவர்	yaratıcısı
படைத்தவர்	yaratan
மண்டேலா	mandela
ஹூ	hoo
கொள்கலன்	içeriğe
கொள்கலன்	içerik
கொள்கலன்	içeriği
கொள்கலன்	içerikler
கொள்கலன்	konteyner
கொள்கலன்	kap
கொள்கலன்	konteynır
இப்ராகிம்	ibrahim
அடிப்படைகள்	basics
அடிப்படைகள்	temel
கூந்தல்	sac
கூந்தல்	saçlar
கூந்தல்	saç
மறையும்	gizle
மறையும்	sakla
மறையும்	gizlemek
அருமை	şahane
அருமை	fantastik
அருமை	süper
அருமை	guzel
அருமை	hoş
அருமை	güzel
அருமை	nice
இயங்கியல்	operasyonel
மகனே	oğul
மகனே	evlat
மகனே	oğlum
தலையீடு	müdahele
தலையீடு	müdahale
குழப்பங்கள்	çatışmalar
குழப்பங்கள்	ihtilaf
குழப்பங்கள்	çekişme
குழப்பங்கள்	anlaşmazlık
குழப்பங்கள்	çatışma
குழப்பங்கள்	çelişki
விருப்பப்படி	özel
உள்ளடக்கங்கள்	içindekiler
உள்ளடக்கங்கள்	içerik
உள்ளடக்கங்கள்	içeriği
உள்ளடக்கங்கள்	içerikler
இரக்கம்	şefkat
இரக்கம்	merhamet
வானவில்	gökkuşağı
ஓசியானியா	okyanusya
கிரோன்	crohn
யாங்	yang
எட்வார்ட்	edward
நகை	jewel
நகை	mücevher
நகை	takı
நகை	mücevher
நகை	kuyumcu
நகை	mücevherler
கமிஷன்	komisyonu
கமிஷன்	komisyon
ஆலோசனைகள்	önerileri
ஆலோசனைகள்	öneriler
ஆலோசனைகள்	öneri
சொந்தம்	kendi
தொடும்	dokunmak
தொடும்	dokunaklı
பாலன்	balan
ஆரோக்கியம்	sağlıkla
ஆரோக்கியம்	sağlık
ஆரோக்கியம்	saglik
பாஸ்பரஸ்	fosfor
அம்பானி	ambani
மாறிகள்	değişken
மாறிகள்	değişken
மாறிகள்	değişkenleri
நுண்ணோக்கி	mikroskop
ஐசக்	isaac
ஐசக்	ishak
வாழ்வது	yaşamak
வாழ்வது	yaşayan
வாழ்வது	yaşıyorum
வெற்றிபெற்று	kazanılan
வெற்றிபெற்று	kazandı
வெற்றிபெற்று	won
ஓவல்	oval
சலாம்	salam
மேலாளராக	yöneticisi
மேலாளராக	menajer
மேலாளராக	müdür
மேலாளராக	yönetici
சலுகை	teklifi
சலுகை	teklif
ரசாயன	kimyasal
ரசாயன	kimya
ஸ்வீடன்	isveç
ரிஷி	rishi
லாக்	kilitli
லாக்	kilitleme
லாக்	kilit
லாக்	kütük
லாக்	günlük
கரோலினா	carolina
பாஜக	bjp
பார்பரா	barbara
செலுத்தப்பட்டது	ödendi
செலுத்தப்பட்டது	ödenen
செலுத்தப்பட்டது	ücretli
அந்தோனியார்	anthony
அந்தோனியார்	antony
ஸ்டாக்ஹோம்	stockholm
புரூணை	brunei
பள்ளிக்கூடம்	okula
பள்ளிக்கூடம்	okulumuz
பள்ளிக்கூடம்	okulu
பள்ளிக்கூடம்	okul
பள்ளிக்கூடம்	school
ஸ்கோடா	skoda
ஸ்கோடா	škoda
வர்ணம்	boyanmış
வர்ணம்	boyalı
வர்ணம்	pigment
ரோஜாக்கள்	gül
ரோஜாக்கள்	güller
மாட்	matt
மாட்	mat
சொத்துகள்	varlıkları
சொத்துகள்	varlık
சொத்துகள்	varlıklar
சக்	chuck
பூரி	puri
டொனால்ட்	donald
டிரைவ்	drive
டிரைவ்	sür
ஒதுக்கப்பட்டது	boğulmuş
ஒதுக்கப்பட்டது	boğuldu
ஒதுக்கப்பட்டது	ayrılmış
ஒதுக்கப்பட்டது	saklıdır
ஒதுக்கப்பட்டது	rezerve
ஒதுக்கப்பட்டது	ayrılmıştır
பேட்ரிக்	patrick
பாடுகிறார்	şarkı
போயர்	boer
ஒப்பனை	makyaj
ஒப்பனை	kozmetik
துரோணர்	drona
தாமிரம்	bakır
கவனத்திற்கு	bilginize
கவனத்திற்கு	dikkat
ஆந்தை	baykuş
பிரபலங்கள்	ünlüler
பிரபலங்கள்	ünlülerin
ஜூலியா	julia
நீளமாக	yapışkan
நிணநீர்	lenf
குச்சி	sopa
குச்சி	çubuk
இனக்குழு	etnik
டாமன்	damon
கொன்றார்	öldürüldü
கொன்றார்	öldürülmüş
கொன்றார்	öldürdüm
கொன்றார்	öldürdü
இருத்தலியல்	varoluşsal
கிரியோல்	creole
காளான்	mantarlı
காளான்	mantar
போதைப்பொருள்	uyuşturucu
போதைப்பொருள்	ilaç
துணிகள்	kumaş
துணிகள்	kumaşlar
இடித்து	çöktü
மதங்கள்	dinleri
மதங்கள்	dinler
டெர்	der
ஃபோர்ப்ஸ்	forbes
இயக்கிகள்	sürücüler
இயக்கிகள்	sürücüleri
பிலடெல்பியா	philadelphia
ஜெயின்	jain
இரங்கல்	başsağlığı
இரங்கல்	başsağlığı
செம்பிலான்	sembilan
கடிகாரங்கள்	saatleri
கடிகாரங்கள்	saat
கடிகாரங்கள்	izliyor
கடிகாரங்கள்	saatler
ராஸ்	ross
எலுமிச்சை	limon
எலுமிச்சை	limonlu
எலுமிச்சை	lemon
எலுமிச்சை	limon
எலுமிச்சை	kireç
எலுமிச்சை	lime
கோத்திரம்	gotra
மனிதனும்	ruhu
மனிதனும்	ruh
மனிதனும்	soul
பதக்கங்களை	madalya
ரீட்	kamış
ரீட்	reed
ஆனந்தம்	sevinç
ஆனந்தம்	joy
ஆனந்தம்	keyif
ஆனந்தம்	neşe
மார்க்கம்	din
மார்க்கம்	dinin
மார்க்கம்	dini
மார்க்கம்	markham
காய்கறி	sebze
காய்கறி	bitkisel
முதிர்ச்சி	olgun
முதிர்ச்சி	olgunluk
ஷேன்	shane
சிட்ரிக்	sitrik
குறும்படம்	simge
குறும்படம்	simgesi
சோனியா	sonia
நீரியல்	hidroloji
இலைகளை	yapraklar
இலைகளை	yaprak
அசுரன்	canavar
கிளாரா	clara
தேவாலயத்தில்	piazza
நிழலில்	gölge
அரி	ari
அரி	arı
அரி	ary
செயல்படுத்துகிறது	işlenmesi
செயல்படுத்துகிறது	işleme
செயல்படுத்துகிறது	işlem
சளி	soğuk
சளி	soguk
சளி	nezle
கொடூரமான	zalimce
கொடூரமான	zalim
கொடூரமான	acımasız
கொடூரமான	acımasız
முசோலினி	mussolini
தூதுவர்	büyükelçi
தூதுவர்	elçi
செக்ஸ்	seks
செக்ஸ்	cinsellik
செக்ஸ்	sex
பாலினம்	cinsiyeti
பாலினம்	cinsiyet
குணப்படுத்தும்	şifa
குணப்படுத்தும்	iyileştirici
குணப்படுத்தும்	iyileşme
குணப்படுத்தும்	iyileştirme
கைபேசி	hücre
கைபேசி	cep
கைபேசி	mobile
கைபேசி	hareketli
கைபேசி	mobil
முரணாக	ironik
முரணாக	ironi
காலாண்டு	quarterly
காலாண்டு	çeyrek
பபெட்	buffett
புலங்கள்	alanlar
புலங்கள்	fields
புலங்கள்	alanları
புலங்கள்	tarla
புலங்கள்	tarlaları
அன்னிய	yabancı
பரவுகிறது	yayılıyor
பரவுகிறது	yayılır
பண்டிட்	pandit
ஏறு	yüksel
ஏறு	tırmanmak
மரபை	miras
மரபை	mirası
இம்ரான்	imran
எண்ணங்களை	düşünceler
எண்ணங்களை	düşünceleriniz
எண்ணங்களை	düşünce
மடிப்பு	paketle
அளவுகோல்	ölçeği
அளவுகோல்	ölçek
அளவுகோல்	ölçekli
அடல்	atal
புதுப்பிக்கத்தக்க	yenilenebilir
நகர்வுகள்	taşınır
நகர்வுகள்	hareketler
ஹெக்டர்	hector
வெண்கல	bronz
குணப்படுத்த	tedavi
குணப்படுத்த	derman
குணப்படுத்த	iyileşmiş
மஸ்ஜித்	mescid
மஸ்ஜித்	mescidi
ரோல்	rulo
ரோல்	roll
ஆல்பங்கள்	albüm
ஆல்பங்கள்	albümleri
கெல்லி	kelly
முதுகெலும்பு	omurga
பாக்கியம்	kutsanmış
பாக்கியம்	hayirli
பாக்கியம்	kutlu
பாக்கியம்	hayırlı
பாக்கியம்	mübarek
சிறகு	kanat
சிறகு	wing
சிறகு	kanat
சிறகு	kanatlar
சிறகு	kanatları
பட்டாணி	bezelye
பட்டாணி	bezelye
சர்ச்சில்	churchill
ஓன்	onn
அங்கீகரிக்கப்பட்டது	onayladı
அங்கீகரிக்கப்பட்டது	onaylı
அங்கீகரிக்கப்பட்டது	onaylanmış
அங்கீகரிக்கப்பட்டது	onaylandı
ஆற்றலும்	enerji
ஆற்றலும்	enerjisi
கூட்டுக்	kombine
ஆக்கி	işlemci
கடற்படையினர்	denizciler
நிபுணத்துவம்	uzmanlık
கற்பு	chastity
ஈடன்	eden
கொன்றது	öldürüldü
கொன்றது	öldürülmüş
கொன்றது	öldürdüm
கொன்றது	öldürdü
அதிகபட்சம்	maksimum
அதிகபட்சம்	max
அதிகபட்சம்	azami
அதிகபட்சம்	maksimum
அதிகபட்சம்	azami
சுருங்கி	psikiyatrist
சுருங்கி	psikiyatr
கிட்	kiti
கிட்	kit
செய்தியாளர்	press
செய்தியாளர்	basın
செய்தியாளர்	basin
செய்தியாளர்	basında
செய்தியாளர்	bas
செய்தியாளர்	gazeteci
செய்தியாளர்	muhabir
சிப்	chip
சிப்	çip
புக்கர்	booker
கேளிக்கை	dinlenme
கேளிக்கை	eğlence
கேளிக்கை	eğlence
கேளிக்கை	entertainment
சமோவா	samoa
பந்துகள்	toplar
பந்துகள்	topları
பருவங்கள்	seasons
பருவங்கள்	mevsim
குடியேற்றவாத	kolonizasyon
வாத	terör
வாத	dehşet
மூவாக்சைடு	trioksit
நிலுவையில்	bekleniyor
நிலுவையில்	beklemede
நிலுவையில்	bekleyen
யுனிக்ஸ்	unix
தொட்டில்	beşik
புண்கள்	yaralar
விஸ்டா	vista
வாசம்	nefes
வாசம்	nefesi
வாசம்	hoşgörü
கோளம்	küre
திரையரங்கு	tiyatro
பின்புலம்	geçmişi
பின்புலம்	arkaplan
பின்னோக்கி	geri
பின்னோக்கி	geriye
பின்னோக்கி	tersten
பின்னோக்கி	geri
பின்னோக்கி	geriye
தத்து	sekme
தத்து	tab
லம்போர்கினி	lamborghini
ஆலோசனைக்	danışma
தனிமையில்	yalnız
தனிமையில்	yalniz
தனிமையில்	yanlız
தனிமையில்	yalnızlık
தனிமையில்	yalnız
தனிமையில்	yalnızlık
வழிகாட்டல்	hidayet
வழிகாட்டல்	rehberlik
தன்னைத்தானே	kendisinin
தன்னைத்தானே	kendisi
பார்வைகள்	ziyaretler
பார்வைகள்	ziyaretleri
பார்வைகள்	ziyaret
பார்வைகள்	görüntüleme
நோக்கங்களை	niyetleri
நோக்கங்களை	niyet
பளிங்கு	mermer
மனிதர்களும்	insanlar
வாக்கியம்	deyim
வாக்கியம்	hüküm
வாக்கியம்	cümle
வாக்கியம்	ceza
சொற்பொருள்	anlamsal
எதிரானது	karsi
எதிரானது	aleyhinde
எதிரானது	karşı
அனுப்புகிறது	gönderiliyor
அனுப்புகிறது	gönderiyor
அனுப்புகிறது	gönderiyorum
சுமேரிய	sümer
கலந்துகொண்டார்	katıldı
கலந்துகொண்டார்	katıldığı
கலந்துகொண்டார்	katılan
துவக்கி	fırlatıcı
சாவ்லா	chawla
பூனைகள்	kediler
பூனைகள்	kedi
வார்சா	varşova
புள்ளிவிவரம்	istatistikleri
புள்ளிவிவரம்	istatistik
புள்ளிவிவரம்	istatistikler
புள்ளிவிவரம்	istatistikleri
புள்ளிவிவரம்	istatistikler
பாஸ்கல்	pascal
மார்க்கெட்	pazarı
மார்க்கெட்	pazar
மார்க்கெட்	piyasa
மார்க்கெட்	market
கணங்கள்	moments
கணங்கள்	dakikalar
கணங்கள்	anlar
சோமாலியா	somali
படத்தொகுப்பு	kolaj
மீனவர்	balıkçılar
மீனவர்	balıkçı
மீனவர்	balıkçı
பென்சீன்	benzen
பென்சீன்	benzin
நானக்	nanak
இருக்கவும்	kalın
இருக்கவும்	kal
