年	jaar
周	week
周	weekje
周	weeks
周	weken
周	zhou
周	chow
石	shi
石	steen
石	natuursteen
石	stone
石	stenen
事件	voorval
事件	incident
事件	incidenten
事件	voorvallen
事件	gebeurtenissen
事件	evenementen
事件	gebeurtenis
事件	evenement
事件	event
建立	schepping
建立	creatie
建立	vestiging
建立	bouwen
建立	opbouwen
生活	living
生活	levende
生活	life
生活	leven
派	taart
派	pie
教育	leerzaam
教育	educatief
教育	opvoeding
教育	onderwijs
車站	station
之後	na
之後	after
萬	wan
國際	internationaal
獎	prijsuitreiking
獎	awards
獎	onderscheidingen
獎	onderscheiding
獎	gunning
完成	voltooid
完成	afgewerkt
完成	klaar
完成	afgewerkte
完成	finish
完成	voltooien
完成	afmaken
完成	afwerking
完成	gedaan
完成	done
完成	klaar
完成	voltooid
完成	invullen
完成	complete
完成	compleet
白	wit
白	witte
白	bai
音樂	muziek
音樂	muzikale
音樂	musical
音樂	muzikaal
沙	sha
沙	zand
沙	shah
沙	sjah
他們	ze
他們	zij
可能	mogelijke
可能	mogelijk
分布	distributies
分布	uitkeringen
分布	distributie
分布	verdeling
分布	verspreid
分布	gedistribueerd
分布	uitgedeeld
分布	verdeeld
地區	oppervlakten
地區	gebieden
地區	district
地區	gebied
地區	oppervlakte
車	auto
車	wagen
官	officier
官	agent
梅	mogen
梅	may
梅	mei
梅	mag
梅	moge
梅	mei
中文	chinezen
中文	chinees
中文	chinese
自由	freedom
自由	vrijheid
自由	liberty
自由	free
自由	vrij
自由	gratis
黃	wong
黃	hwang
黃	huang
黃	gele
黃	geel
獲得	krijgen
獲得	krijg
獲得	get
光	light
光	lichte
光	licht
光	hikari
重要	belangrijkheid
重要	belang
重要	belangrijke
重要	belangrijk
工程	engineering
工程	machinebouw
工程	techniek
工程	werkt
工程	werken
港	harbor
港	bakboord
港	haven
港	poort
列	column
列	zuil
列	kolom
段	duan
最後	laatste
提交	onderwerping
提交	inzending
提交	indiening
提交	indienen
提交	ingezonden
提交	ingediende
提交	ingediend
經	sutra
需要	nood
需要	need
需要	nodig
需要	noodzaak
需要	behoefte
需要	nodig
需要	benodigd
需要	behoeften
需要	noden
江	rivier
江	river
江	jiang
臺灣	taiwan
臺灣	taiwanese
臺灣	taiwanese
最佳	optimaal
最佳	optimale
最佳	optimaal
最佳	optimale
這個	dit
這個	deze
泰	tae
泰	tai
地方	plaats
地方	plaatsen
系列	serie
系列	reeks
系列	reeksen
系列	series
電視	televisie
登	deng
黑	duister
黑	donker
黑	donkere
黑	zwarte
黑	black
黑	zwart
花	hana
花	bloemen
花	bloemetjes
花	bloem
花	bloempje
花	bloemetje
遊戲	wedstrijd
遊戲	spel
遊戲	spelletje
遊戲	games
遊戲	spelletjes
遊戲	spellen
清	qing
最高	top
最高	bovenste
最高	bovenkant
最高	hoogst
最高	hoogste
最高	supreme
最高	opperste
要求	vereiste
要求	eis
要求	voorschrift
要求	eisen
要求	vereisten
要求	eisen
要求	aanvraag
要求	aanvragen
要求	verzoek
要求	verzoeken
要求	eisen
要求	eis
要求	aanvragen
要求	verzoeken
讓	jean
讓	laat
讓	laten
版本	versie
版本	edities
版本	uitgave
版本	versies
發現	gevonden
發現	ontdek
發現	ontdekken
發現	ontdekking
發現	ontdekkingen
發現	discovery
語	taal
語	taalgebruik
只有	alleen
只有	enkel
只有	slechts
內容	content
內容	inhoud
最大	max
華	hua
華	wah
製作	produktie
製作	productie
製作	produkties
製作	productions
製作	producties
出生	born
出生	geboren
出生	geboorte
朱	zhu
朱	joo
航空	luchtvaart
航空	aero
航空	luchtvaartmaatschappij
航空	luchtvaartmaatschappijen
航空	airlines
航空	lucht
數	telling
數	graaf
數	tellen
數	tel
數	tellen
數	nummer
數	aantal
數	getal
出版	gepubliceerd
出版	verschenen
出版	gepubliceerde
出版	uitgegeven
出版	publicatie
出版	uitgeverijen
出版	publiceren
出版	uitgeverij
出版	publicatie
出版	publikatie
出版	bekendmaking
發展	ontwikkeling
成功	succesvol
成功	geslaagde
成功	geslaagd
成功	succesvolle
成功	succes
成功	success
面積	gebied
面積	oppervlakte
堡	fort
系統	systeem
系統	stelsel
系統	systemen
蘭	lan
蘭	ian
劉	yoo
劉	liu
劉	lau
班	squad
班	team
冠軍	kampioen
冠軍	champ
冠軍	kampioen
冠軍	kampioenen
冠軍	champions
問題	probleem
問題	vraagje
問題	vraag
問題	vragen
康	kang
海拔	hoogte
海拔	hoogte
島	eiland
島	isle
方式	methode
率	tarief
請	alstublieft
請	aub
請	alsjeblieft
名稱	naam
名稱	namen
官方	officieel
愛	love
愛	liefs
愛	liefde
得到	krijgen
得到	krijg
得到	get
平	plat
平	ping
印度	india
街道	straat
街道	straatjes
街道	straat
街道	straten
存在	bestaan
存在	aanwezigheid
刪除	verwijderde
刪除	geschrapt
刪除	verwijderd
刪除	gewist
刪除	verwijdering
刪除	schrapping
刪除	verwijder
刪除	verwijderen
刪除	verwijder
刪除	verwijderen
刪除	doorhalen
設計	designs
設計	ontwerpen
設計	ontwerp
設計	design
設計	vormgeving
設計	ontwerpen
設計	ontwerpen
發行	uitgifte
卡特	carter
群	groep
群	fractie
負責	verantwoord
負責	verantwoordelijke
負責	verantwoordelijk
服務	diensten
服務	dienstverlening
服務	opdienen
服務	serveren
服務	dienen
服務	serveert
服務	dienst
服務	service
機	machine
任何	elke
列表	lijstje
列表	lijst
唐	tang
唐	don
西班牙	spanje
頁	bladzijden
條	stroken
兩	twee
兩	two
當	wanneer
超	ultra
超	super
丁	ding
夏	xia
以上	hierboven
以上	boven
著名	beroemde
著名	beroemd
聖	heilige
志	zhi
志	chi
已經	al
已經	reeds
梁	straal
梁	balk
梁	leung
梁	liang
梁	stralen
梁	balken
專輯	album
專輯	albums
角色	personage
角色	karakter
角色	rol
角色	personages
角色	tekens
角色	karakters
角色	rollen
武	takeshi
赫	hyuk
半	helft
半	half
成員	lid
成員	leden
東京	tokyo
東京	tokio
新聞	nieuwsberichten
新聞	nieuws
現在	nu
劇	drama
後來	later
後來	straks
女性	vrouwtjes
女性	vrouwen
女性	vrouwelijke
女性	vrouw
女性	vrouwtje
女性	vrouwelijk
女性	vrouwen
高度	hoogte
高度	hoogte
高度	lengte
說	say
說	zeg
說	zeggen
男	mannelijk
男	male
男	mannetje
男	mannelijke
之前	voordat
之前	vóór
合作	medewerking
合作	samenwerking
合作	medewerking
合作	samenwerking
合作	meewerken
門	gate
門	poort
門	hek
門	deur
門	deuren
卷	rollen
卷	rol
卷	rollen
卷	rolls
位置	positie
位置	lokatie
位置	locatie
位置	ligging
活動	activiteiten
活動	activiteit
活動	gebeurtenissen
活動	evenementen
活動	gebeurtenis
活動	evenement
活動	event
活動	activiteit
只	alleen
只	enkel
只	slechts
歷史	geschiedenis
歌曲	nummers
歌曲	liederen
歌曲	songs
歌曲	liedjes
歌曲	nummer
歌曲	song
歌曲	zang
歌曲	lied
歌曲	liedje
點	puntjes
點	stippen
點	puntje
點	dot
點	stip
點	punt
點	point
一次	eens
植物	planten
植物	plantjes
植物	plant
封	feng
封	verzegelen
封	zegel
封	zeehond
封	verzegeling
皮	lederen
皮	leer
皮	leder
非常	zeer
而且	en
通常	meestal
通常	gewoonlijk
通常	normaliter
通常	gewoonlijk
通常	normaal
形成	formatie
形成	vorming
比賽	wedstrijd
比賽	spel
比賽	spelletje
比賽	race
比賽	ras
比賽	wedstrijdje
比賽	wedstrijd
比賽	prijsvraag
聯賽	league
聯賽	liga
九	negen
九	nine
學校	scholen
學校	school
完全	volledig
完全	compleet
信	letteren
信	letters
信	brieven
信	brief
信	letter
期間	tijdvak
期間	periode
接受	acceptatie
接受	aanvaarding
接受	geaccepteerde
接受	aanvaard
接受	aanvaarde
接受	geaccepteerd
接受	accepteren
接受	aanvaarden
接受	accepteer
書	boek
書	boeken
交通	vervoer
交通	transport
交通	verkeer
交通	vervoer
交通	transport
木	houten
木	hout
討論	discussies
討論	besprekingen
討論	bespreken
討論	bespreek
故事	verhaal
故事	story
故事	verslagen
故事	verhalen
故事	verhaaltjes
直接	rechtstreeks
直接	directe
直接	direct
直接	rechtstreekse
直接	rechtstreeks
直接	direct
參與	deelnemende
參與	engagement
參與	betrokkenheid
參與	verloving
參與	betrokkenheid
參與	deelneming
參與	participatie
參與	deelname
朗	lang
朗	lon
湖	meer
根	root
根	wortel
根	wortels
根	roots
保留	reserveringen
保留	voorbehouden
保留	gereserveerde
保留	gereserveerd
保留	reservering
希望	hoop
希望	hopen
希望	hope
手	hand
手	handjes
手	handen
手	hands
心	heart
心	hart
心	hartje
心	harten
心	hearts
心	hartjes
巴士	bus
巴士	bussen
播放	uitzending
播放	uitgezonden
播放	uitzenden
播放	speel
播放	spelen
播放	afspelen
播放	afspelen
播放	speelt
播放	toneelstukken
播放	spelen
音	medeklinker
音	toon
音	toontje
音	tone
增加	verhoging
增加	vergroten
增加	verhoog
增加	verhogen
增加	stijging
增加	toenemend
增加	toenemende
增加	verhoogt
增加	verhogingen
增加	toegenomen
增加	verhoogd
增加	verhoogde
角	corner
角	hoekje
角	hoek
角	hoek
角	hoekig
角	cape
角	kaap
角	punt
角	point
天文台	observatorium
耶	joepie
這些	deze
丹	dan
太	ook
徐	seo
徐	tsui
永	vleugel
永	wing
永	yong
歌	nummers
歌	liederen
歌	songs
歌	liedjes
歌	nummer
歌	song
歌	zang
歌	lied
歌	liedje
美元	dollars
美元	dollar
霍	huo
圖	diagram
圖	grafiek
圖	grafiek
圖	figuur
投票	stemmen
投票	stemming
投票	stem
投票	stemmen
投票	stemming
投票	enquête
投票	poll
投票	opiniepeiling
投票	peiling
灣	inlaat
灣	baai
灣	cove
灣	baai
灣	bay
民主	democratie
寺	tempel
雖然	hoewel
雖然	alhoewel
雖然	hoewel
參加	bijwonen
參加	deelnemende
參加	bijwonen
特別	speciaal
特別	bijzonder
特別	speciale
特別	special
控制	controle
控制	control
控制	controles
蒙	mont
戰	battle
戰	slag
戰	strijd
戰	gevecht
戰	veldslag
戰	oorlog
電視台	televisie
以下	onder
以下	hieronder
然而	echter
然而	toch
七	seven
七	zeven
口	mond
仁	jin
仁	jen
委員會	commissie
編輯	edit
編輯	bewerk
編輯	bewerken
編輯	bewerken
編輯	uitgever
編輯	hoofdredacteur
編輯	redacteur
編輯	editor
編輯	bewerker
資料	gegevens
資料	data
隆	takashi
隆	ryu
青	ching
青	qing
青	tsing
播出	uitzending
播出	uitgezonden
播出	uitzenden
路線	routes
路線	route
倫	lun
年度	jaar
宋	nummer
宋	song
宋	zang
宋	lied
宋	liedje
附近	nabijgelegen
附近	dichtbij
歌手	zangers
歌手	zanger
歌手	singer
歌手	zangeres
店	winkel
店	winkel
店	bewaren
二十	twintig
二十	twenty
組織	organisatie
組織	organisatie
組織	tissue
組織	weefsel
組織	divisie
組織	afdeling
組織	deling
組織	division
分類	classificaties
分類	classificeren
分類	indelen
分類	indeling
分類	classificatie
教授	professor
教授	hoogleraar
盃	kopje
盃	beker
源	bron
八	acht
八	eight
法國	frankrijk
除了	behalve
文字	tekst
民族	etniciteit
民族	nationaliteiten
主席	president
主席	voorzitter
主席	voorzitter
不過	maar
文物	kunstvoorwerpen
文物	artefacten
文物	antiquiteiten
文物	oudheden
文物	relikwieën
老	ouwe
老	oude
老	oud
女子	vrouw
女子	woman
選	kies
選	pick
世紀	eeuw
鐵	strijkijzer
鐵	ijzer
德國	duitsland
票	tickets
票	kaartjes
票	ticket
票	kaartje
動畫	anime
打	vechten
打	strijd
打	gevecht
打	vecht
關係	relaties
關係	betrekkingen
關係	relaties
關係	relatie
能力	competenties
能力	capaciteit
能力	vermogen
能力	capaciteiten
佛	boeddha
佛	buddha
少	minder
少	minder
網站	website
網站	site
網站	websites
模板	sjablonen
模板	sjabloon
模板	template
頭	hoofd
頭	head
個人	persoonlijke
個人	persoonlijk
個人	individu
個人	individueel
擁有	bezetenheid
擁有	bezit
擁有	eigendom
學生	studenten
學生	leerlingen
學生	leerling
學生	student
鎮	stad
南部	zuidelijk
南部	zuid
南部	zuiden
語言	talen
語言	taal
語言	taalgebruik
模式	modi
模式	patroon
模式	patronen
模式	modus
模式	mode
相關	relevant
相關	relevante
相關	gerelateerd
相關	verwant
相關	verwante
相關	gerelateerde
決定	besluit
決定	beslissing
決定	beslissingen
決定	besluiten
決定	beschikkingen
楊	jan
楊	yang
楊	yeo
方向	richtingen
方向	routebeschrijving
方向	richting
方向	oriëntatie
方向	oriëntering
郭	guo
方法	methode
方法	methoden
方法	methodes
影響	impact
影響	inslag
影響	effect
影響	botsing
影響	inslagen
影響	beïnvloeden
影響	invloed
影響	beïnvloeding
影響	uitwerkingen
影響	effecten
影響	gevolgen
影響	invloeden
屬於	behoord
屬於	behoorde
許多	veel
許多	velen
許多	vele
第四	vierde
第四	fourth
秀	soo
死	dood
死	doods
死	dead
自治	autonomie
自治	zelfstandigheid
蘇	aanklagen
蘇	sue
甚至	zelfs
開	open
開	openen
見	zien
見	zie
田	tian
只是	gewoon
結束	einde
結束	beëindigen
結束	eind
巴西	brazilië
共同	gemeenschappelijk
共同	vaak
出版社	uitgeverij
出版社	uitgever
出版社	uitgeverij
出版社	uitgeverijen
出版社	uitgevers
提名	voordrachten
提名	nominaties
提名	voordracht
提名	nominatie
提名	nomineren
提名	voorgedragen
提名	genomineerd
保護	beschermen
保護	beschermen
保護	bescherm
保護	bescherming
保護	beschermde
保護	beschermd
加上	toevoegen
加上	voeg
加上	plus
食	eten
獨立	indie
獨立	zelfstandig
獨立	onafhankelijke
獨立	onafhankelijk
獨立	zelfstandigheid
獨立	onafhankelijkheid
獨立	independence
獨立	onafhankelijk
包含	bevat
距離	afstand
距離	afstanden
社會	samenleving
社會	genootschap
社會	maatschappij
社會	samenlevingen
社會	sociale
社會	sociaal
加拿大	canada
兩個	twee
兩個	two
公尺	meters
公尺	meter
公尺	meter
公尺	meters
公尺	meter
還	ook
哥	broeder
哥	broer
哥	broertje
歐洲	europese
歐洲	europees
像	zoals
像	like
鐵路	spoor
鐵路	spoorwegen
鐵路	spoorweg
鐵路	spoorwegen
鐵路	spoorlijnen
鐵路	spoorwegen
鐵路	spoorweg
居民	inwoners
居民	bewoners
居民	ingezetenen
功能	functie
功能	functies
功能	kenmerken
功能	functioneel
功能	functionele
功能	kenmerk
功能	functie
功能	functionaliteit
功能	functionaliteiten
聯盟	union
聯盟	vakbond
聯盟	unie
聯盟	league
聯盟	liga
聯盟	alliance
聯盟	verbond
聯盟	bondgenootschap
聯盟	alliantie
聯盟	allianties
聯盟	bondgenootschappen
聯盟	coalitie
洪	hung
洪	gehangen
洪	hing
洪	opgehangen
洪	hong
利用	gebruiken
利用	gebruik
最終	uiteindelijk
平均	gemiddelde
平均	gemiddeld
平均	avg
侵	geweldpleging
侵	mishandeling
侵	aanval
雙	dubbel
雙	dubbele
雙	tweepersoons
雙	verdubbelen
雙	double
再次	alweer
再次	opnieuw
再次	nogmaals
網	web
網	netwerk
網	net
網	netto
施	shi
量	hoeveelheid
量	kwantiteit
演員	gegoten
演員	cast
演員	gips
演員	acteurs
演員	actoren
演員	actrice
演員	actor
演員	acteur
亞洲	aziatische
亞洲	aziatisch
亞洲	azië
全球	globaal
全球	aardbol
全球	globe
全球	global
全球	mondiale
全球	globaal
全球	wereldwijd
全部	allen
全部	alle
全部	allemaal
全部	alles
北部	noorden
北部	noord
運動	sporten
運動	motion
運動	beweging
運動	motie
運動	sport
運動	bewegingen
運動	verplaatsing
運動	beweging
中共	cpc
毛	gross
毛	bruto
毛	mao
草	gras
草	grass
直到	tot
名字	naam
地球	aarde
地球	earth
中華	zhonghua
死亡	dood
死亡	doods
死亡	overlijden
戰爭	oorlog
戰爭	oorlog
戰爭	oorlogen
作曲	componeren
作曲	samenstellen
作曲	componeren
溪	beek
溪	kreek
邦	pong
紅	rode
紅	rood
唱片	record
安全	veilig
安全	kluis
安全	safe
安全	veilige
安全	beveiligen
安全	veilig
安全	beveiligd
玉	jade
學院	academy
學院	academie
學院	college
學院	hogeschool
學院	universiteit
學院	hogescholen
學院	colleges
勝	sheng
豪	howe
鄉	township
原因	redenen
原因	reden
原因	rede
原因	veroorzaken
原因	oorzaak
通過	via
通過	passeren
通過	pass
管	pipe
管	pijp
管	tube
管	buis
強	sterk
強	sterke
強	sterken
選舉	verkiezing
選舉	verkiezingen
選舉	verkiezing
選舉	verkiezingen
辛	sheen
辛	zonde
辛	zonden
辛	sin
辛	zondigen
辛	xin
漢	han
法律	wet
法律	wetten
革命	revolutie
革命	omwentelingen
革命	revoluties
計劃	plan
計劃	plannen
計劃	plannen
時代	tijden
時代	times
男性	reuen
男性	mannetjes
男性	mannelijk
男性	male
男性	mannetje
男性	mannelijke
男性	mannen
形式	form
形式	vorm
形式	formulier
形式	indeling
形式	opmaak
形式	format
形式	formatteren
形式	formaat
鄭	zheng
鄭	jeong
鄭	jung
基本	fundamentele
基本	basic
蔡	tsai
蔡	cai
蔡	choy
葉	blaadje
葉	blad
葉	yip
單位	units
單位	eenheden
單位	eenheid
單位	unit
惠	megumi
修	fix
科技	technologie
科技	tech
青年	jeugd
青年	jongeren
流	streaming
流	flow
流	stromen
流	beek
流	stroom
流	stream
蒙古	mongoolse
蒙古	mongolië
結果	uitkomst
結果	resultaat
結果	uitslagen
結果	resultaat
結果	resultaten
結果	resultaat
教	lesgeven
教	onderwijzen
教	lesgeven
教	onderwijzen
解放	emancipatie
解放	bevrijding
解放	bevrijd
解放	bevrijde
祖	joe
體	lichaam
體	body
球隊	ploegen
球隊	teams
球隊	team
昌	cheong
左	linkse
左	linker
左	links
戴	dai
戴	draag
戴	wear
戴	dragen
戴	slijtage
自然	natuurlijk
自然	natuurlijke
自然	natuur
台北	taipei
澳門	macao
澳門	macao
澳門	macau
新的	nieuw
新的	nieuwe
經濟	economie
經濟	economische
經濟	economisch
經濟	economie
傑	jie
傑	jay
切	knippen
切	cut
切	snijden
一起	samen
越南	vietnam
越南	vietnamese
越南	vietnamees
越南	vietnamezen
權	kwon
快速	snel
快速	snelle
快速	vlug
快速	snel
快速	vasten
快速	snelle
快速	fast
學	leren
學	learning
學	leren
學	leer
職業	beroepen
職業	carrière
職業	carriere
職業	loopbaan
職業	beroepsgroep
職業	beroep
職業	carrière
職業	carrières
職業	loopbaan
職業	bezigheid
職業	beroep
職業	bezetting
團	regiment
百	hundred
百	honderd
廣	wide
廣	wijd
廣	breed
廣	breed
廣	brede
相同	identieke
相同	identiek
相同	hetzelfde
相同	zelfde
相同	same
類	klasse
類	class
類	klas
兵	soldaat
億	miljard
億	biljoen
分鐘	minuten
分鐘	notulen
分鐘	minuut
分鐘	minuutje
松	dennen
松	pine
發	haar
發	haren
發	haartjes
發	hair
政策	beleid
政策	beleid
銀	zilver
銀	zilveren
銀	silver
日期	datum
日期	data
日期	dadels
日期	datums
單曲	singles
單曲	vrijgezellen
普通	gewone
鰭	vinnen
鰭	vin
鰭	fin
男子	mannen
共和國	republiek
理由	redenen
理由	reden
理由	rede
南京	nanking
南京	nanjing
交流	ruil
交流	uitwisseling
交流	uitwisselen
交流	uitwisseling
交流	uitwisselingen
總統	president
總統	voorzitter
公分	centimeter
標準	criteria
標準	normen
標準	standaarden
標準	standaards
標準	criterium
標準	standaard
標準	norm
排名	rangschikking
排名	ranglijst
排名	rangschikken
排名	klassement
排名	klassement
排名	ranglijst
排名	rangschikking
排名	rang
排名	rangschikken
排名	gerangschikt
表	tafel
表	tafeltje
表	tabel
韓國	koreaan
韓國	koreaanse
韓國	koreaans
韓國	koreanen
韓國	korea
行動	action
行動	optreden
行動	aktie
行動	actie
行動	operation
行動	bewerking
行動	operatie
行動	exploitatie
行動	acties
桑	mulberry
博士	arts
博士	doktor
博士	dokter
博士	doctor
立法	wetgeving
尾	staart
尾	munt
尾	staarten
熱帶	tropisch
熱帶	tropische
熱帶	tropen
議員	senator
議員	raadslid
議員	congreslid
漫畫	comics
漫畫	strips
漫畫	stripverhalen
漫畫	stripboeken
漫畫	stripverhaal
漫畫	tekenfilms
漫畫	cartoons
漫畫	comic
漫畫	komiek
漫畫	manga
漫畫	cartoon
漫畫	tekenfilm
短	kort
短	short
短	korte
坑	pits
坑	put
坑	pitstop
坑	pit
坑	kuil
大型	large
大型	groot
大型	grote
凱	kai
凱	kay
生物	biologische
生物	biologisch
生物	biologie
生物	wezens
生物	schepsels
生物	organisme
生物	organismen
生物	wezen
生物	schepsel
城鎮	stad
春	voorjaar
春	lente
海軍	zeemacht
海軍	marine
公路	wegen
公路	autowegen
公路	snelwegen
公路	snelweg
公路	weg
公路	snelweg
冠	kroon
作家	schrijver
作家	schrijfster
作家	schrijvers
空	leeg
空	leegmaken
空	lege
空	ledig
雪	sneeuw
牛	runderen
牛	vee
牛	rundvee
牛	koe
牛	stier
牛	bull
火	brand
火	vuren
火	vuur
攻擊	aanslagen
攻擊	aanvallen
攻擊	attack
攻擊	aanvallen
攻擊	aanval
攻擊	geweldpleging
攻擊	mishandeling
攻擊	aanval
值	waardes
值	waarden
值	waarde
十二	twelve
十二	twaalf
新加坡	singapore
琳	lynn
西部	west
西部	westen
西部	westelijk
西部	western
西部	westelijk
土	vuil
土	bodem
土	grond
早期	early
早期	vroeg
早期	vroege
速度	snelheid
速度	speed
速度	toerental
合併	fusie
合併	samenvoeging
合併	samenvoegen
合併	samenvoeging
合併	samenvoegen
合併	consolidatie
合併	codificatie
合併	consolideren
合併	fusies
合併	concentraties
建築	bouwen
建築	gebouwen
建築	bouw
建築	constructie
建築	bouwnijverheid
建築	opbouw
建築	bouwen
