thompson	தாம்சன்
afskediget	கருணாநிதியின்
money	பணம்
money	பணத்தை
udfordringer	சவால்கள்
protein	புரதம்
protein	புரதங்கள்
netværket	நெட்வொர்க்
netværket	பிணையம்
netværket	வலையமைப்பு
netværket	வலைப்பின்னல்
klipper	ராக்ஸ்
klipper	பாறைகள்
roberto	ராபர்டோ
intellektuelle	அறிவியலாளர்கள்
intellektuelle	அறிவுசார்
hellig	புனிதமானது
tempo	பேஸ்
tempo	டெம்போ
tempo	கணிப்பு
ibm	ibm
digtere	கவிஞர்கள்
digtere	புலவர்கள்
terminal	முனையம்
berkeley	பெர்க்லி
indkomst	வருவாய்
indkomst	வருமானம்
faldne	விழுந்த
tegneserie	காமிக்
tegneserie	கார்ட்டூன்
bedrifter	ஹோல்டிங்ஸ்
bedrifter	சாதனைகள்
forever	என்றென்றைக்கும்
forever	என்றென்றும்
forever	எப்போதும்
forever	நிரந்தரமாக
dynamo	டைனமோ
perron	பிளாட்பார்ம்
perron	தளம்
omar	உமர்
blok	தடு
indså	உணரப்பட்டது
word	வார்த்தை
word	சொல்
word	வார்த்தையே
manuskripter	manuscripts
pligt	கடமை
onsdag	புதன்கிழமை
onsdag	புதன்
biologi	உயிரியல்
gult	மஞ்சள்
palme	உள்ளங்கை
palme	பாம்
palme	பனை
frekvens	அதிர்வெண்
frekvens	எண்ணிக்கை
opad	ஏறுவரிசை
airways	ஏர்வேஸ்
maksimalt	அதிகபட்சம்
maksimalt	அதிகபட்ச
præsidenter	ஜனாதிபதிகள்
hør	ஆளி
defensiv	தற்காப்பு
patienten	நோயாளி
hannibal	ஹன்னிபால்
købes	வாங்க
købes	வாங்கு
købes	வாங்கவும்
købes	வாங்கியது
købes	வாங்கியுள்ளார்
købes	வாங்கிய
købes	வாங்கியது
købes	வாங்கினேன்
forbeholdt	ஒதுக்கப்பட்டது
indvandring	குடியேற்றம்
derby	derby
helte	ஹீரோக்கள்
helte	நாயகர்கள்
salvador	சல்வடோர்
duke	டியூக்
isaac	ஐசக்
myspace	மைஸ்பேஸ்
step	step
step	அடியெடுத்து
step	வழிமுறை
step	படி
seværdigheder	ஈர்ப்புகள்
lis	லிஸ்
lis	லிஸ்
indeholdende	கொண்டுள்ள
parterne	கட்சிகள்
pour	ஊற்றி
tyk	தடித்த
tyk	தடிமனான
tyk	அழுத்தமான
påvirkede	பாதிக்கப்பட்ட
påvirkede	பாதிக்கப்பட்டு
fejde	கொள்ளும்
bachelor	bachelor
bachelor	இளங்கலை
grafik	கிராபிக்
grafik	கிராஃபிக்
grafik	எண்ணமும்
grafik	வரைகலை
grafik	கிராபிக்ஸ்
fantasi	கற்பனை
fantasi	கற்பனை
fantasi	கற்பனைக்
mos	mos
mos	மோஸ்
farvel	பை
farvel	வருகிறேன்
farvel	பிரியாவிடை
farvel	குட்பை
jin	ஜின்
vandret	கிடைமட்ட
isle	ஐல்
aluminium	அலுமினியம்
tanzania	தான்சானியா
miguel	மிகுவல்
rosen	ரோசென்
kollega	சக
lokaliteter	தளங்கள்
lokaliteter	இருப்பிடங்கள்
lokaliteter	இடங்கள்
herskede	ஒப்பற்ற
usikker	பாதுகாப்பற்ற
clinton	கிளின்டன்
clinton	கிளிண்டன்
videoer	காணொளிகள்
videoer	வீடியோக்கள்
tungere	ஈயத்தை
bordet	அட்டவணை
bordet	மேசை
uddrag	சாறுகள்
uddrag	பெர்லினில்
rimelig	நியாயமா
rimelig	கண்காட்சி
rimelig	நியாயமாக
rimelig	நியாயம்
rimelig	நியாயமான
tilstande	வகைகள்
ødelæggelse	அழிவு
ødelæggelse	அழிவு
sæder	இருக்கைகள்
lander	நிலங்கள்
lander	இறங்கும்
lander	நிலம்
kids	குழந்தைகளின்
kids	குழந்தைகள்
kids	சிறுவர்கள்
kids	குழந்தைகளை
hang	தொங்க
hang	தொங்கும்
ioc	ioc
mai	mai
fjerner	அகற்றுகிறது
tænkning	நினைத்து
tænkning	நினைத்துக்
tænkning	நினைத்துக்கொண்டு
tænkning	சிந்தனை
bismarck	பிஸ்மார்க்
indretning	உருவரை
stabilitet	ஸ்திரத்தன்மை
village	கிராம
village	கிராமத்து
village	கிராமம்
village	கிராமத்தில்
village	கிராமத்திற்கு
straffe	வேதனை
straffe	தண்டனை
straffe	தண்டிக்க
straffe	வேதனையை
straffe	வேதனை
straffe	தண்டனை
fladt	தட்டை
fladt	தட்டையான
raw	ரா
raw	வெறுமை
psykiske	மன
georgien	ஜார்ஜியா
krigere	போராளிகள்
jefferson	ஜெபர்சன்
aps	llc
aps	aps
kommercielt	வணிக
kommercielt	வணிகம்
ekspeditioner	expeditions
menigheden	சபையில்
ørkenen	பாலைவனத்தில்
ørkenen	பாலைவனம்
værelse	அறை
værelse	அறையை
værelse	ரூம்
monroe	மன்றோ
ssr	ssr
connecticut	கனெடிகட்
gibraltar	ஜிப்ரால்டர்
gudinde	இறைவி
gudinde	தெய்வம்
frataget	பங்குண்டு
flok	கூட்டம்
flok	கூட்டமும்
flok	கூட்டத்தை
produktioner	productions
dawn	விடியல்
gennemsnitlig	சராசரி
mile	மைல்
klostre	மடாலயங்கள்
katedralen	பெருங்கோவில்
katedralen	பேராலயம்
bristol	பிரிஸ்டல்
grundstof	உறுப்பு
blokere	தடுத்தல்
blokere	தடுக்கிறது
blokere	மறித்து
blokere	தடு
rimeligt	நியாயமா
rimeligt	கண்காட்சி
rimeligt	நியாயமாக
rimeligt	நியாயம்
rimeligt	நியாயமான
distance	தொலைவு
distance	தூரம்
distance	தனித்தன்மை
stab	குத்தினார்
negativt	எதிர்மறை
negativt	கெட்டது
kompliceret	வளாகம்
kompliceret	சிக்கலானது
bonus	போனஸ்
bonus	போனஸ்
ghana	கானா
giuseppe	ஜூசெப்பே
østlig	கிழக்கு
grupperne	குழுக்கள்
sejlads	உலாவல்
sejlads	படகோட்டம்
gemme	சேமி
skovene	காடுகள்
mon	mon
mon	அதிசயம்
lily	லில்லி
medie	மீடியா
medie	ஊடகம்
medie	ஊடகங்கள்
medie	மையமாக
medie	நடுத்தரம்
medie	நடுத்தர
gene	மரபணு
fisher	ஃபிஷர்
fester	கொண்டாட்டத்தில்
fester	கட்சிகள்
boks	பெட்டி
overlevet	பிழைத்து
muhammad	முஹம்மது
beholder	காக்கும்
beholder	கொள்கலன்
beholder	பெட்டகம்
relief	நிவாரணம்
fejre	கொண்டாடுகின்றனர்
fejre	கொண்டாடுகிறார்
fejre	கொண்டாட்டம்
fejre	கொண்டாடு
fejre	கொண்டாட்டம்
fejre	கொண்டாடும்
dimensioner	பரிமாணங்கள்
dimensioner	அளவுகள்
mediawiki	மீடியாவிக்கி
journalisten	பத்திரிகையாளர்
journalisten	நிருபர்
journalisten	பத்திரிக்கையாளர்
journalisten	பத்திரிகையாளர்கள்
radioen	ரேடியோ
radioen	வானொலி
madonna	மடோனா
metallica	மெட்டாலிக்கா
skinner	ஸ்கின்னர்
hjort	மான்
puerto	பியூர்டோ
gaderne	தெருக்கள்
udnyttelse	சுரண்டல்
annie	ஆனி
stabile	பந்தத்தில்
kamera	காமிரா
kamera	கேமரா
internt	உள்ளமை
internt	உள்
betjent	அதிகாரி
betjent	அலுவலர்
udstedte	வெளியிட்டார்
flash	ஃபிளாஷ்
flash	பிளாஷ்
udtrykke	விரைவுவண்டி
udtrykke	எக்ஸ்பிரஸ்
husk	ஞாபகம்
husk	நினைவில்
rotterdam	ராட்டர்டாம்
hvile	ஓய்வு
challenge	சவால்
metaller	உலோகம்
metaller	உலோக
metaller	மெட்டல்
metaller	உலோகம்
metaller	மெட்டல்
metaller	உலோகங்கள்
søjler	தூண்கள்
søjler	நெடுவரிசை
tilskud	மானியங்கள்
tilskud	கிரான்ட்
alla	alla
alla	அல்லா
maskinen	இயந்திரத்தில்
maskinen	இயந்திரம்
maskinen	பொறி
maskinen	எந்திரம்
bern	bern
tynd	ஒல்லியாக
tynd	வற்றல்
tynd	மெல்லிய
pfalz	pfalz
pfalz	palatinate
cook	குக்
somalia	சோமாலியா
kære	அன்புள்ள
kære	அன்பே
styrmand	பைலட்
koncentration	கவனம்
koncentration	செறிவு
udløbet	காலாவதியான
oversætte	மொழிபெயர்ப்பு
oversætte	மொழிபெயர்க்க
oversætte	முக்கோணம்
kunstige	செயற்கை
katolikker	கத்தோலிக்கர்கள்
fangerne	கைதி
fangerne	கைதிகள்
afc	afc
konventionen	மாநாடு
konventionen	கருத்தரங்கம்
guddommelige	தெய்வீகம்
guddommelige	தெய்வீக
nabo	உறவினர்
nabo	பக்கத்து
nabo	உறவினர்
forsinket	லேட்
forsinket	தாமதம்
forsinket	தாமதமானது
forsinket	தாமதமான
baltimore	பால்டிமோர்
franco	பிராங்கோ
artister	கலைஞர்கள்
jag	ஜக்
striber	தடித்த
hviler	இளைப்பாறும்
hviler	ஓய்வில்
innovation	கண்டுபிடிப்பு
june	ஜூன்
godkendelse	ஒப்புதல்
godkendelse	அங்கீகரிப்பு
godkendelse	அங்கிகாரம்
triumf	வெற்றியாகும்
vogn	வேகன்
vogn	கார்ட்
vogn	வண்டி
vogn	டிரக்
vogn	வண்டி
vogn	ட்ரக்
betydende	குறிப்பிடத்தக்கது
betydende	குறிப்பிடத்தக்க
gear	கியர்
vega	வேகா
jordskælvet	நிலநடுக்கம்
engineering	பொறியியல்
udsendelse	ஒளிபரப்பு
forrest	பாரஸ்ட்
kfum	ymca
porte	கேட்ஸ்
udlændinge	ஏலியன்ஸ்
modellerne	மாடல்கள்
gregor	கிரிகோர்
gregor	கிரிகோரி
dkk	dkk
aston	ஆஸ்டன்
benene	கால்கள்
benene	கால்களை
advarsel	எச்சரிக்கை
advarsel	அச்சில்
kollegium	கல்லூரியை
kollegium	கல்லூரி
doctor	மருத்துவர்
definere	வரையறுக்க
undgik	தவிர்க்க
casino	கேசினோ
casino	சூதாட்டம்
telefon	பேசி
telefon	தொலைபேசியை
telefon	தொலைபேசி
telefon	ஃபோன்
telefon	தொலைபேசி
dæmningen	அணை
retningslinjer	வழிகாட்டுதல்கள்
brænde	விறகு
brænde	பழுப்பு
brænde	எழுது
brænde	எரியும்
brænde	எழுதுதல்
brænde	எழுதும்
grækerne	கிரேக்கர்கள்
utc	utc
mercury	புதன்
ulf	ulf
markus	மார்க்கஸ்
masters	முதுநிலை
moralsk	தார்மீக
moralsk	படிப்பினை
intern	உள்ளமை
intern	உள்
søværnet	கடற்படை
afrikansk	ஆப்பிரிக்க
parms	parms
givne	கொடுத்த
givne	கொடுக்கப்பட்ட
nordic	நோர்டிக்
efterår	இலையுதிர்
efterår	வீழ்ச்சி
efterår	விழும்
efterår	விழுதல்
efterår	விழுந்து
efterår	ஃபால்
reserveret	ஒதுக்கப்பட்டது
helikopter	ஹெலிகாப்டர்
helikopter	சாப்பர்
helikopter	ஹெலிகாப்டர்கள்
pigerne	பெண்களின்
pigerne	பெண்கள்
pigerne	பெண்களுக்கு
afstande	தூரங்களை
emily	எமிலி
hukommelse	நினைவு
hukommelse	நினைவைப்
hukommelse	நினைவாற்றல்
hukommelse	நினைவகம்
exchange	பரிமாற்றம்
stormen	புயல்
behandlede	பதப்படுத்தப்பட்ட
behandlede	செயலாக்கப்பட்டது
phillips	ஃபிலிப்ஸ்
beverly	பெவர்லி
said	சொன்னேன்
said	சொன்னான்
said	சொன்னார்
living	வாழ்ந்து
living	வாழும்
living	வசிக்கும்
living	வாழ்வது
løkke	சுருக்கு
løkke	சுழற்சி
løkke	கண்ணி
løkke	மடக்கு
løkke	லூப்
heidelberg	heidelberg
nissan	நிஸ்ஸான்
relativ	உறவினர்
relativ	சார்ந்த
klippe	கிளிஃப்
klippe	ராக்
klippe	பாறை
nba	nba
rovers	ரோவர்ஸ்
kup	கூப்
foster	வளர்ப்பு
thrash	திராசு
forudgående	முந்தையது
forudgående	முந்தைய
vice	துணை
hedenske	பேகன்
stød	அதிர்ச்சி
gravid	கர்ப்பிணிகள்
gravid	கர்ப்பிணி
gravid	கர்ப்பமான
weber	வெபர்
overføre	பதிவேற்றவும்
overføre	பதிவேற்று
overføre	பதிவேற்றம்
opstilling	நிர்ணய
kraftigere	பலமாக
kasakhstan	கஜகஸ்தான்
memphis	மெம்ஃபிஸ்
sullivan	சல்லிவன்
porten	வாயில்
porten	கேட்
propaganda	பரப்புரை
biografen	சினிமா
unik	தனித்துவம்
unik	தனிப்பட்ட
nevada	நெவாடா
professionelt	தொழில்முறை
professionelt	தொழில்முறையில்
foredragsholder	விரிவுரையாளர்
sandt	மெய்
sandt	உண்மையாக
sandt	உண்மையான
sandt	உண்மை
dækning	கவர்
dækning	உறை
dækning	கவரேஜ்
idræt	விளையாட்டு
tyler	டைலர்
lovet	வாக்களிக்கப்பட்ட
moralske	தார்மீக
moralske	படிப்பினை
opstand	insurrection
lederne	தலைவர்கள்
jam	ஜம்
jam	ஜாம்
nathan	நாதன்
virgin	கன்னித்
panama	பனாமா
della	டெல்லா
appel	முறையீடு
appel	மேல்முறையீடு
australiens	ஆஸ்திரேலியா
merlin	மெர்லின்
skærm	திரை
skærm	நோட்டம்
skærm	காட்சி
skærm	காட்டு
evigt	நித்திய
pokal	கோப்பை
bretagne	பிரிட்டனி
savnede	தவறவிட்ட
savnede	தவறியது
savnede	காணாமல்
savnede	காணவில்லை
savnede	இல்லாமை
serena	செரீனா
bøn	தொழுகையை
bøn	ஜெபம்
bøn	பிரார்த்தனை
rumænske	ரோமானியன்
animal	விலங்கு
java	ஜாவா
fortiden	கடந்தகாலம்
fortiden	கடந்த
fortiden	கடந்தது
mure	சுவர்களில்
mure	சுவர்கள்
nutidige	சமகால
monster	மான்ஸ்டர்
monster	அசுரன்
monster	அரக்கன்
vildt	ஆட்டம்
vildt	கேம்
vildt	விளையாட்டு
vildt	ஆட்டத்தில்
vildt	பைத்தியம்
indgreb	குறுக்கீடு
indgreb	தலையீடு
brænder	பழுப்பு
brænder	எழுது
brænder	எரிகிறது
brænder	எழுதி
brænder	எரியும்
brænder	எழுதுதல்
brænder	எழுதும்
tirsdag	செவ்வாய்க்கிழமை
tirsdag	செவ்வாய்
tirsdag	செவ்வாய்கிழமை
fiskere	மீனவர்
reddede	மீட்கப்பட்ட
glass	கிளாஸ்
glass	கண்ணாடி
sekundære	இரண்டாம்
sekundære	இரண்டாவது
serbisk	செர்பியன்
pistol	துப்பாக்கி
pistol	துப்பாக்கி
indtager	கவர்ந்த
vægge	சுவர்களில்
vægge	சுவர்கள்
zeus	ஜீயஸ்
vitamin	வைட்டமின்
arkæologi	தொல்லியல்
blokeret	தடை
blokeret	தடுக்கப்பட்டது
blokeret	தடுக்கப்பட்டுள்ளது
blokeret	தடைசெய்யப்பட்டது
hoppe	ஜம்ப்
hoppe	தாவு
hoppe	குதிக்கும்
hoppe	குதிக்கும்
nashville	nashville
rasende	பியூரியஸ்
edwards	எட்வர்ட்ஸ்
bær	பெர்ரி
pagasts	பரிஸ்
blande	கலப்பு
hændelse	சம்பவம்
hændelse	நிகழ்வைப்
hændelse	நிகழ்வு
hændelse	நிகழ்வில்
hændelse	நிகழ்வை
redskab	கருவி
redskab	கியர்
redir	redir
vellykket	வெற்றிகரமாக
forfølgelse	துன்புறுத்தல்
haiti	ஹெய்டி
flyselskab	ஏர்லைன்
vælgere	வாக்காளர்
vælgere	வாக்காளர்கள்
borte	போய்விட்டது
borte	சென்று
borte	போனது
støv	தூசி
stjålet	திருடப்பட்டது
variable	மாறி
variable	மாறிகள்
variable	மாறிகள்
bekendtgørelse	அறிவிப்பு
bekendtgørelse	அறிவிப்பு
bekendtgørelse	கவனிக்க
konto	கணக்கு
flying	பறந்து
flying	பறக்கும்
bradley	பிராட்லி
woods	வுட்ஸ்
indian	இந்தியர்
indian	இந்தியன்
indian	இந்திய
kontrast	வேறுபாடு
kontrast	வித்தியாசம்
fjern	நீக்குக
fjern	நீக்கு
økologisk	இயல்பான
økologisk	ஆர்கானிக்
utrecht	utrecht
forvirring	குழப்பம்
defensive	தற்காப்பு
underholdning	கேளிக்கை
landmand	உழவர்
landmand	விவசாயி
granater	கையெறி
iført	அணிந்து
liechtenstein	லீக்டன்ஸ்டைன்
tilløb	inflow
rugby	ரக்பி
neutralt	தெரியவில்லை
neutralt	நடுநிலை
igor	இகோர்
kollektiv	commune
egnede	பொருத்தமான
zero	சுழி
bløde	மென்மையான
bløde	மென்மை
bløde	கொட்டு
giftige	நச்சு
giftige	விஷ
fabricius	பப்ரிசியஸ்
værelser	படுக்கையறைகள்
værelser	அறைகள்
behold	தொடர்ந்து
behold	கொண்டே
beregning	calculation
beregning	கணித்தல்
roms	ரோம்
monark	அரசன்
håret	கூந்தல்
håret	முடி
håret	கூந்தலில்
håret	தலைமுடி
håret	தலைமுடியை
standarden	வழக்கமானது
standarden	நிலையானது
standarden	நிலையான
betingelse	நிலையில்
betingelse	நிபந்தனை
formuleret	worded
specifik	குறிப்பான
specifik	குறிப்பிட்ட
spektrum	ஸ்பெக்ட்ரம்
kenny	கென்னி
amatør	அமெச்சூர்
alteret	பீடம்
hannah	ஹன்னா
pleje	பாசமாக
pleje	அக்கறை
carbon	கார்பன்
værktøjer	டோகோ
værktøjer	கருவிகள்
velkendt	பழக்கமான
kulstof	கார்பன்
persien	persia
segl	முத்திரை
lover	சத்தியங்கள்
lover	சத்தியம்
lover	வாக்குறுதி
seng	படுக்கையில்
seng	படுக்கை
seng	கட்டில்
rover	ரோவர்
mulighederne	சாத்தியங்கள்
variabel	மாறி
variabel	மாறிகள்
vingerne	சிறகுகள்
vingerne	சிறகு
adresser	முகவரிகள்
india	இந்தியா
drs	டாக்டர்கள்
medtaget	அடங்கும்
arc	ஆர்க்
æra	சகாப்தம்
kabel	வடம்
kabel	கேபிள்
tilføjer	சேர்க்கிறது
tilføjer	சேர்ப்பது
tilføjer	சேர்த்தல்
tilføjer	சேர்
tilføjer	சேர்க்கவும்
tilføjer	கூட்டு
tilføjer	சேர்க்கும்
basen	தளம்
basen	பேஸ்
basen	அடிப்படை
strasbourg	ஸ்திராஸ்பூர்க்
jessica	ஜெசிகா
jessica	ஜெசிக்கா
lópez	லோபஸ்
lópez	லோபஸ்
skærmen	திரை
klokke	பெல்ஸ்
klokke	பெல்
klokke	மணி
portland	portland
optegnelser	பதிவுகள்
optegnelser	சாதனைகள்
smerte	வலியை
smerte	வலி
smerte	வலிகள்
pastor	பாஸ்டர்
bælte	பெல்ட்
rumænsk	ரோமானியன்
gibson	கிப்சன்
natural	இயற்கை
doktor	மருத்துவர்
samtaler	உரையாடல்கள்
efterretninger	உளவுத்துறை
efterretninger	புலனாய்வு
efterretninger	நுண்ணறிவு
efterretninger	இன்டெல்
læseren	வாசகர்
statuen	சிலை
mislykket	தோற்றது
mislykket	முடியவில்லை
mislykket	தோல்வி
mislykket	தோல்வியுற்றது
væg	சுவர்
tankegang	மனப்போக்கை
inspektør	இன்ஸ்பெக்டர்
fantastisk	பெரிய
fantastisk	பெரும்
fantastisk	சிறந்த
fantastisk	சிறப்பாக
fantastisk	உயரிய
fantastisk	அற்புதம்
fantastisk	அட்டகாசம்
fantastisk	அருமை
fantastisk	அற்புதமான
rosenberg	ரோசன்பெர்க்
jesse	ஜெஸ்ஸி
cannes	கேன்ஸ்
indianere	இந்தியர்
indianere	இந்தியர்கள்
indianere	இந்தியன்ஸ்
integration	ஒருங்கிணைப்பு
gun	துப்பாக்கி
mir	மிர்
kritiker	விமர்சகர்
brikker	ஓடுகள்
religiøst	சமய
religiøst	மத
religiøst	சமயப்
buffalo	எருமை
lucy	லூசி
fortaler	வழக்கறிஞர்
paraguay	பராகுவே
ekstraordinær	அசாதாரண
nominerede	வேட்பாளராக
bevise	நிரூபிக்க
mørkt	டார்க்
mørkt	இருள்
mørkt	இருண்ட
mørkt	இருட்டு
bestræbelser	முயற்சிகள்
udsmykning	அலங்காரம்
vindue	சாளரம்
nægter	மறுக்கிறது
nægter	மறுக்க
nægter	மறுக்கின்றனர்
synlig	காணக்கூடியது
synlig	தெரியும்
væsner	உயிரினங்கள்
hyundai	hyundai
bukarest	புக்கரெஸ்ட்
dyrkning	வளரும்
dyrkning	சாகுபடிக்கு
chief	தலைவன்
chief	தலைமை
bemærkninger	கருத்துகளில்
bemærkninger	கருத்துக்களில்
bemærkninger	கருத்துகள்
bemærkninger	கருத்துக்கள்
spider	சிலந்தி
voldelige	வன்முறை
korpset	கார்ப்ஸ்
veninde	காதலியே
