gala	ガーラ
dvynys	双生児
dvynys	双子
ambicijų	野心
ambicijų	野望
mąstytojas	思想
suvereniteto	主権
gaila	哀れみ
setas	セス
batus	ブーツ
suvirinimo	溶接
akordeonas	アコーディオン
aromato	アロマ
tiesiogine	文字通り
salyklo	麦芽
tech	テック
pykčio	レイジ
diablo	ディアブロ
paradas	パレード
kopūstai	キャベツ
kopūstai	キャベツ
gizos	ギザ
porta	ポルタ
loa	ロア
xxiv	xxiv
ateistas	無神論
ateistas	無神論者
vėdinimo	換気
paraguay	アスンシオン
kandži	漢字
dviratis	バイク
dviratis	自転車
dviratis	自転車
alyva	石油
alyva	オイル
kaskada	カスケード
kaskada	cascade
franšizės	フランチャイズ
lauda	ラウダ
rodriguez	ロドリゲス
komplikacijos	合併症
regata	レガッタ
bilietas	切符
bilietas	チケット
ldp	ldp
akcentas	アクセント
björk	ビョーク
cosmos	cosmos
cosmos	コスモス
kiaušidės	卵巣
kiaušidės	卵巣
hart	ハート
gomes	ゴメス
mergedrow	mergedrow
hansa	ハンザ
baitų	バイト
vilkikas	レッカー
vilkikas	トラクター
maiden	処女
sunkumai	課題
sunkumai	チャレンジ
sunkumai	挑戦
sunkumai	困難
sunkumai	困難
algos	給与
muller	ミュラー
florijonas	フロリアン
ffd	ffd
atspindžiai	反射
gavėjas	宛先
frida	フリーダ
narsą	勇気
sekretoriai	秘書
kendo	剣道
trajanas	トラヤヌス
hegemonija	覇権
apribojimas	制限
feraros	フェラーラ
sąjungininkas	アライ
sąjungininkas	アリー
sužadėtinė	フィアンセ
azul	azul
groupstyle	groupstyle
kvepalai	香水
quo	quo
raštingumo	識字
sodinti	播種
karlsruhe	カールスルーエ
įkaitų	人質
brunėjus	ブルネイ
būdvardžių	形容詞
duisburg	デュースブルク
pasigirti	自慢
privalumų	特典
bursa	ブルサ
karnavalas	カーニバル
kvepalų	香り
karina	カリン
karina	カリーナ
atspindžio	反射
atspindžio	リフレクション
karpiai	コイ
ira	アイラ
lengvesnis	ライター
dateformat	dateformat
amplitudės	振幅
robotai	ロボット
ekstraktas	エキス
interaktyvus	インタラクティブ
jautiena	ビーフ
jautiena	牛肉
kupolu	ドーム
sugalvotas	発明
išvykimo	出発
birmos	ビルマ
kia	キア
pyragas	ケーキ
pyragas	パイ
drenažo	排水
gansu	甘粛
pagrobimas	誘拐
pagrobimas	拉致
rikis	リッキー
cox	コックス
chang	チャン
moi	moi
driežas	トカゲ
bėgikė	ランナー
pašaras	フィード
žirnių	エンドウ
stiprinimas	強化
skuba	急速
frédéric	フレデリック
suorganizuoti	整列
amazon	amazon
amazon	アマゾン
paaiškinimai	備考
paaiškinimai	解説
concordia	コンコルディア
ervinas	アービン
zoo	動物園
zoo	zoo
izoliacijos	隔離
izoliacijos	孤立
kpv	男鹿
satyras	サテュロス
hubert	ヒューバート
saugojimas	ストレージ
spin	スピン
diagnozė	診断
chmelnickio	フメリニツキー
fuji	ふじ
fuji	フジ
gerovė	繁栄
tirėnų	ティレニア
prl	prl
maltiečių	マルタ
tulūzos	トゥールーズ
grietinėlės	クリーム
angelica	アンジェリカ
blokadą	封鎖
footballdatabase	footballdatabase
dervos	ハッシュ
dervos	樹脂
marškiniai	シャツ
marškiniai	シャツ
mali	マリ
mariner	マリナー
nov	nov
pasipiktinimą	アウトレイジ
kelionėms	旅行
wilder	ワイルダー
shi	ings
vaiduoklis	お化け
vaiduoklis	幽霊
vaiduoklis	ゴースト
diagramos	ダイアグラム
uri	uri
baja	バハ
stabdymo	ブレーキ
stabdymo	制動
kažkaip	なんとなく
magelanas	マゼラン
perono	エプロン
berat	ベラト
berkeley	バークリー
hofmanas	ホフマン
saulėlydžio	トワイライト
saulėlydžio	たそがれ
tiranos	ティラナ
klientui	カスタマー
klientui	顧客
įgijimas	買収
harbour	ハーバー
dietos	ダイエット
dietos	献立
dietos	国会
emo	エモ
šapalai	チャブ
lightblue	lightblue
bretanės	ブルターニュ
tnt	tnt
nardymo	ダイビング
amon	アモン
vudu	ブードゥー
išdavystę	反逆
lankininkai	弓術
rush	ラッシュ
royale	ロワイヤル
pastabas	観測
pastabas	コメント
pamoka	教訓
pamoka	レッスン
pamoka	授業
fantazija	ファンタジー
garantijos	担保
garantijos	保証
garantijos	保証書
garantijos	保証
garantijos	保証
garantijos	保証書
garantijos	保障
dachau	ダッハウ
demetra	デーメーテール
keltu	フェリー
fredas	ピース
fredas	平和
užsisakyti	購読
vonios	風呂
vonios	風呂
vonios	入浴
aptikimo	検知
aptikimo	検出
dramas	ドラマ
kofeino	カフェイン
holland	オランダ
tesla	テスラ
sekrecijos	分泌
iglesias	イグレシアス
eskizai	スケッチ
įsitikinimus	信念
volframo	タングステン
damiano	ダミアーノ
klausytojai	リスナー
karlsonas	カールソン
tvarkingai	tidy
polinezija	ポリネシア
žvaigždyno	constell
poemas	poemas
persona	ペルソナ
timūras	ティムール
gem	gem
zee	ジー
močiutė	おばあさん
močiutė	祖母
močiutė	おばあさん
jefferson	ジェファーソン
represijos	抑圧
narai	ダイバー
mintimis	考え
mintimis	思考
mintimis	想い
adata	ニードル
moduliai	モジュール
saugi	セーフ
saugi	金庫
saugi	安全
tiesas	真理
rūgštingumas	酸味
kelnes	ズボン
kelnes	ズボン
kelnes	パンツ
įvardžiai	代名詞
lavigne	lavigne
nic	nic
pirkėjai	バイヤー
pirkėjai	買い手
tiesiosios	直腸
benevento	ベネヴェント
hopkins	ホプキンス
kasyba	鉱業
mobygames	mobygames
salo	サロ
cfa	cfa
kay	ケイ
grampus	グランパス
atstumai	距離
impulso	パルス
impulso	脈拍
oblivion	忘却
tokugava	徳川
ari	アリ
vps	vps
kiaulienos	豚肉
kiaulienos	ポーク
bhakti	バクティ
femme	femme
nagasakio	長崎市
nagasakio	長崎
žiniatinklio	web
žiniatinklio	ウェブ
morales	モラレス
galutiniai	最終
galutiniai	決勝
galutiniai	ファイナル
aliaska	アラスカ
horizontalus	水平
akacijų	アカシア
motociklai	オートバイ
garda	ガルダ
savižudybė	自殺
prometėjas	プロメーテウス
prometėjas	プロメテウス
našta	重荷
našta	負担
alf	alf
eil	欺く
koro	コロ
pajėgumas	定員
pajėgumas	容量
stebuklingas	マジカル
brodvėjaus	ブロードウェイ
vynuogynų	葡萄園
bundesliga	ブンデスリーガ
volgogrado	ヴォルゴグラード
serveriai	サーバ
serveriai	サーバー
pikselių	ピクセル
varliagyviai	両生類
mumijos	ミイラ
tojotomi	豊臣
fleming	フレミング
dinozauras	恐竜
traktoriai	トラクター
traktoriai	トラクター
cigarečių	タバコ
cigarečių	タバコ
sudomino	ジャネット
pirin	ピリン
breslau	ヴロツワフ
panteono	pantheon
ilio	イリ
šilta	あったかい
šilta	暖かい
šilta	温かい
breda	ブレダ
breda	レーダ
vairuotojai	ドライバ
vairuotojai	ドライバー
duncan	ダンカン
atverti	オープン
atverti	開館
atverti	開く
olmekų	オルメカ
lpp	lpp
aguonų	ポピー
ipswich	イプスウィッチ
buhalteris	会計士
karteris	カーター
ekologinio	有機
izoliacija	隔離
izoliacija	孤立
izoliacija	絶縁
kaledonija	カレドニア
srb	srb
paprašyti	ask
paprašyti	尋ねる
guillermo	ギリェルモ
guillermo	ギレルモ
šiltinės	チフス
sekimo	トラッキング
vertigo	めまい
skysčiai	液体
kler	クレア
lankstus	フレキシブル
elite	エリート
festivalius	祭事
festivalius	祭り
jurisprudencija	法学
veiksmingumas	効率
veiksmingumas	効能
korozijos	腐食
malone	マローン
išvestinė	デリバティブ
išvestinė	微分
drąsos	勇気
palaima	祝福
palaima	恵み
improvizacija	即興
bikini	ビキニ
negalią	障害
kėdžių	椅子
plėvelė	映画
plėvelė	フィルム
barų	バー
šriftas	フォント
humoras	ユーモア
timas	ティム
timas	tim
karščiavimas	発熱
kiaušidžių	卵巣
dienoraščiai	日記
hamletas	ハムレット
hamad	ハマド
siekiu	ストレッチ
siekiu	伸びる
šiandienos	トゥデイ
šiandienos	今日
nukleotidų	ヌクレオチド
gamecube	gamecube
kašubų	カシューブ
lindl	lindl
duomo	ドゥオーモ
valentin	ヴァレンティン
balionas	風船
balionas	気球
blogiausias	最悪
harisonas	ハリソン
kazanė	カザン
apeigomis	祭事
kilometre	キロメートル
reo	reo
terorizmu	テロリズム
terorizmu	テロ
išbraukti	三振
berlusconi	ベルルスコーニ
aprėpia	バックル
osvaldo	オスヴァルド
kalugos	カルーガ
ergo	エルゴ
sulaikymo	拘禁
sulaikymo	勾留
sulaikymo	留置
sulaikymo	収容
orgazmas	オーガズム
rui	ルイ
nasdaq	nasdaq
kaltė	断層
kaltė	フォールト
kaltė	フォルト
balionų	バルーン
balionų	風船
įvardis	代名詞
kėdė	いす
kėdė	チェア
kėdė	椅子
rimti	深刻
stein	シュタイン
kelionei	旅行
lęšiai	レンズ
memfio	メンフィス
šėtonas	サタン
valgis	ブランチ
charger	充電器
charger	チャージャー
narkotikai	ドラッグ
narkotikai	薬物
ica	ica
dina	ディナ
kaltina	被告人
rinkodara	マーケティング
sakramentas	サクラメント
imunitetą	免疫
cro	cro
bakas	戦車
bakas	タンク
def	デフ
def	def
abejotinas	疑わしい
helis	ヘリウム
teroristai	テロリスト
teroristai	テロリスト
enschede	エンスヘーデ
adresai	アドレス
miltus	粉末
miltus	小麦粉
tripolis	トリポリ
kit	キット
kit	kit
transilvanijoje	トランシルヴァニア
deginti	燃える
deginti	バーニング
figaro	フィガロ
vai	ヴァイ
pirkimas	購入
pirkimas	調達
pirkimas	購入
ateizmas	無神論
žąsys	ガチョウ
žąsys	ガチョウ
traktorius	トラクター
traktorius	トラクター
paaugliai	青少年
pld	pld
erfurt	エアフルト
žudo	kill
žudo	キリング
barbarosa	バルバロッサ
panaikina	引き出す
meilužis	恋人
stream	ストリーム
stream	渓流
adriana	アドリアーナ
diuseldorfo	デュッセルドルフ
diuseldorfo	デュッセルドルフ
sausgyslės	天丼
humanitarinė	人道的
humanitarinė	人道
bučas	ブッチ
diplomatai	外交官
kiaulė	ピギー
kiaulė	ブタ
heian	平安
bausti	処罰
pratybos	ドリル
ikrai	キャビア
ikrai	魚卵
gazelė	ガゼル
scaleminor	scaleminor
nereikalinga	無意味
avalynė	履物
patikslintas	改訂
asas	asas
studentė	生徒
studentė	学生
bitininkystės	養蜂
srt	srt
kompensacija	補てん
kompensacija	補償
kompensacija	賠償
kompensacija	弁償
kompensacija	報酬
vargšas	かわいそう
dantė	ダンテ
pyktis	怒り
silkės	ニシン
rouge	ルージュ
morrowind	morrowind
colt	コルト
cnn	cnn
šviežios	フレッシュ
satyra	風刺
larsson	ラーション
sig	sig
tolstojus	トルストイ
klarkas	クラーク
kapelmeisteris	楽長
patogiai	快適
patogiai	快適
bender	ベンダー
hormono	ホルモン
gregory	グレゴリー
aičio	愛知
karšti	熱い
karšti	ホット
karšti	暑い
wigan	ウィガン
kreida	チョーク
deficitas	赤字
baterijų	電池
apm	ipm
milimetrų	ミリメートル
diabetas	糖尿病
avižų	エンバク
deco	デコ
ono	小野
rublis	ルーブル
jaustis	感じる
jaustis	feel
jaustis	フィール
lionel	ライオネル
pervalkos	portage
ole	ole
menkės	コッド
menkės	タラ
tironas	暴君
žiurkėnai	ハムスター
blokada	封鎖
ismail	イスマーイール
portfelio	ポートフォリオ
manija	マニア
raganosis	サイ
pavlodar	パヴロダル
akademijų	アカデミー
uragano	ミンディ
codex	コデックス
cupressus	イトスギ
inicialai	イニシャル
inicialai	頭文字
prekybininkas	トレーダー
prekybininkas	ディーラー
gabalas	ピース
pusryčiai	朝食
pašarai	フィード
tunelių	トンネル
diržai	ベルト
newman	ニューマン
hamburger	ハンバーガー
košė	おかゆ
intuicija	直観
lovoje	ベッド
tuopos	ポプラ
galvutę	弾頭
stefani	ステファニー
atsiliepimai	フィードバック
kaimynė	隣人
kena	ケーナ
aku	アク
dwight	ドワイト
bulves	ポテト
bulves	ジャガイモ
bulves	じゃがいも
tepalas	軟膏
pensija	年金
pensija	年金
bach	バッハ
orto	オルト
šrifto	フォント
metafizika	形而上学
visagalis	全能
lapelis	メモ
bud	バド
badmintono	バドミントン
oksana	オクサナ
milvokio	ミルウォーキー
sraigė	カタツムリ
kruša	ひょう
apartheido	アパルトヘイト
mate	マテ
mate	メイト
oleg	オレグ
iždas	国庫
būdvardis	形容詞
lapą	マガジン
lapą	雑誌
kamiu	カミュ
mak	mak
šildymas	暖房
fotografai	カメラマン
išeiga	出来上がり
išeiga	利回り
nebaigti	未完
nebaigti	未完成
atsisveikinimas	別れ
trauma	怪我
trauma	外傷
trauma	トラウマ
trauma	外傷
metanas	メタン
agm	agm
įpročiai	習慣
ararato	アララト
protinga	賢い
jurisdikcijos	管轄
asfalto	アスファルト
padovanoti	募金
padovanoti	寄付
miškinės	arborophila
ekskursijų	ツーリング
belowstyle	belowstyle
dam	ダム
siu	スー
imigracija	入国
imigracija	移民
itanium	itanium
inercijos	慣性
katekizmas	カテキズム
philips	フィリップス
payne	ペイン
užsakymas	予約
transkripcijos	転写
phra	プラ
vesta	ウェスタ
vesta	ベスタ
vesta	ヴェスタ
pywikipedia	pywikipedia
cosworth	コスワース
hyundai	ヒュンダイ
sandorį	合併
remo	レモ
lėliukė	pupa
šlaunies	太もも
gsp	gsp
begalinė	インフィニット
gaublį	グローブ
mag	マグ
mag	mag
lugo	ルーゴ
bello	bello
bello	ベロ
gifu	岐阜
kafka	カフカ
krateriai	クレーター
netinkamo	誤用
netinkamo	虐待
prostitucija	売春
lily	ユリ
lily	リリー
gripas	インフルエンザ
gripas	インフルエンザ
ūsai	口髭
ūsai	ひげ
bsc	bsc
asuano	アスワン
panoramio	panoramio
sauronas	サウロン
radiacija	放射線
radiacija	放射
nec	nec
trinity	三位一体
ricci	リッチ
quinn	クイン
göttingen	ゲッティンゲン
aguilera	アギレラ
ames	エイムズ
rihanna	リアーナ
manos	マノス
tuzla	トゥズラ
susitraukimai	陣痛
alkmaar	アルクマール
akiniai	サングラス
akiniai	メガネ
akiniai	めがね
akiniai	眼鏡
integravimo	モニタ
izoliuotas	絶縁
paaiškinimus	解説
peilius	ナイフ
protestas	異議
protestas	抗議
malonumas	楽しみ
malonumas	快感
malonumas	喜び
malonumas	快楽
upanišada	ウパニシャッド
velnių	ヘル
velnių	地獄
suknelė	ドレス
migdolų	アーモンド
telefonai	電話機
sužavėtas	感動
sužavėtas	感心
pirmadienis	月曜日
realizavimo	実現
realizavimo	換価
jutikliai	センサ
jutikliai	センサー
almeida	アルメイダ
piktnaudžiavimo	不適切
terminologija	用語
kasas	カウンタ
kasas	カウンター
užsidirbti	獲得
užsidirbti	稼ぐ
diagnozės	診断
ritmu	リズム
dada	ダダ
viela	ワイヤ
viela	針金
viela	ワイヤー
abiturientai	先輩
trombonas	トロンボーン
naujagimio	新生児
slyvos	スモモ
slyvos	プラム
slyvos	スモモ
statmena	垂直
ghibli	ジブリ
skalbimo	洗濯
skalbimo	洗浄
paslapties	秘密
apynių	ホップ
lipidų	脂質
lopšys	コット
koridorių	回廊
koridorių	廊下
apetito	食欲
lūkesčių	期待
šaunamojo	銃器
aviganis	シェパード
athlone	アスローン
dantiraštis	楔形文字
gaujų	ギャング
agostino	アゴスティーノ
triukų	トリック
fazanas	キジ
leu	レウ
iššūkiai	課題
iššūkiai	チャレンジ
iššūkiai	挑戦
diskriminaciją	差別
vaiduokliai	ゴースト
maišas	バッグ
maišas	かばん
konsorciumas	コンソーシアム
mikroautobusas	ミニバス
gta	gta
lašiša	サケ
lašiša	サーモン
jogurtas	ヨーグルト
jogurtas	ヨーグルト
rothschild	ロスチャイルド
penktadienis	fri
penktadienis	金曜日
penktadienis	フライデー
iba	伊庭
afonso	アフォンソ
fier	フィエル
kaligula	カリグラ
pica	ピザ
barjeras	バリア
barjeras	障壁
rolf	ロルフ
tera	テラ
garantija	担保
garantija	保証
garantija	保証書
garantija	保証
garantija	保証書
garantija	保障
auditorius	監事
taupymo	貯蓄
taupymo	貯金
taupymo	節約
taupymo	預金
taupymo	cut
taupymo	カット
taupymo	切り取り
sarkofagas	サルコファガス
pageidautina	望ましい
pageidautina	望ましい
pavasarinis	アドーニス
kietu	固体
kalcis	カルシウム
gallen	gallen
laiminga	ハッピー
laiminga	幸せ
mitra	ミトラ
poslinkio	変位
meldžiasi	祈り
erezija	異端
erezija	異説
pasitraukimas	脱退
pasitraukimas	離脱
pasitraukimas	撤退
pigmentai	顔料
pabėgimo	逃走
arenas	アレナス
svogūnai	たまねぎ
svogūnai	玉ねぎ
concerto	協奏曲
concerto	コンチェルト
atlygį	報酬
filtras	フィルタ
filtras	フィルター
austrė	牡蠣
austrė	カキ
austrė	オイスター
logistika	物流
isr	isr
swe	swe
utrechte	ユトレヒト
kolegijose	カレッジ
kolegijose	大学
safari	サファリ
safari	safari
atvykimas	到着
devon	デヴォン
tirol	チロル
instrukcijos	指示
instrukcijos	命令
instrukcijos	手順
instrukcijos	指示
internetinį	ウェブカメラ
lošimų	ゲーム
lošimų	賭け事
lošimų	ギャンブル
lošimų	賭博
duran	デュラン
lordų	諸侯
patricija	パトリシア
koranas	クルアーン
koranas	コーラン
gazeta	gazeta
abel	アーベル
abel	アベル
kočabambos	コチャバンバ
mev	mev
veiksmingai	効率
latte	ラッテ
latte	ラテ
dažnumas	周波数
dažnumas	頻度
rebecca	レベッカ
rytoj	明日
rytoj	あした
anūkė	孫娘
aeg	aeg
foucault	フーコー
migrantų	出稼ぎ
įsipareigojimai	義務
įsipareigojimai	債務
įsipareigojimai	負債
mandolina	マンドリン
konsulatas	領事館
balistinių	弾道
šalinimas	除去
metamorfozės	変態
prieinamumo	アクセシビリティ
root	root
root	ルート
džesika	ジェシカ
džesika	ジェス
džesika	ジェシカ
šnipas	スパイ
humanistinės	humanist
išpuoliai	攻撃
pluoštų	繊維
pluoštų	ファイバ
maxi	マキシ
deivis	デービー
vientisumą	整合性
atsipalaidavimo	くつろぎ
atsipalaidavimo	緩和
atsipalaidavimo	リラクゼーション
soo	スー
tierra	tierra
integruotos	統合
bautista	バウティスタ
ofk	ofk
dani	ダニ
brahmanas	ブラフマン
brahmanas	バラモン
asa	asa
craiova	craiova
fiesta	fiesta
bellini	ベッリーニ
boulingo	ボウリング
boulingo	ボーリング
kraujospūdį	茹でる
narų	ダイバー
dulkes	ダスト
dulkes	砂塵
dulkes	ほこり
betta	ベタ
pakabinti	ハング
užliejo	浸水
drąsus	ブレイブ
drąsus	勇者
drąsus	勇敢
abejotina	疑わしい
abejotina	疑わしい
abejotina	疑念
uoslės	嗅覚
crawford	クロフォード
integravimas	統合
integravimas	インテグレーション
laikinojo	創造
laikinojo	作成
magnis	マグネシウム
crimson	クリムゾン
flor	フロール
rostov	ロストフ
lokomotyvų	機関車
laivynų	艦隊
maudytis	入浴
kasdienio	everyday
kasdienio	日常
kasdienio	毎日
skaisčiai	スカーレット
mergaites	ガールズ
skėriai	イナゴ
belle	ベル
huseinas	フセイン
braškių	いちご
braškių	イチゴ
entalpija	エンタルピー
ignoruoti	無視
suvorovas	スヴォーロフ
mokymuisi	学習
mokymuisi	ラーニング
mokymuisi	学問
ragenos	角膜
pamaina	シフト
giuliano	ジュリアーノ
šaldymo	冷蔵
šaldymo	冷却
užuomina	ヒント
deginimas	焼却炉
deginimas	燃焼
deginimas	燃える
deginimas	バーニング
diabeto	糖尿病
bunkeris	バンカー
argento	アルジェント
pulsas	パルス
pulsas	脈拍
alga	賃金
alga	給与
miso	みそ
miso	味噌
deu	deu
plastikų	プラスチック
plastikų	合成樹脂
dukterėčia	めい
citrusinių	シトラス
činghai	青海省
činghai	青海
hayley	ヘイリー
gestas	身振り
gestas	ジェスチャー
viltys	希望
goro	五郎
marakaibo	マラカイボ
žemiausio	初心者
žemiausio	ビギナー
rtv	rtv
maudymosi	水着
mitochondrijų	ミトコンドリア
tea	iea
daugiafunkcinis	多目的
siluetas	シルエット
prešovo	プレショフ
genijus	天才
kintamasis	変数
kintamasis	可変
oponentas	相手
oponentas	相手方
vidurdienį	正午
vidurdienį	正午
vidurdienį	昼間
deng	トウ
sql	sql
ale	エール
užtaisai	カートリッジ
qaeda	アルカーイダ
išvestinės	気晴らし
ves	ves
pinto	ピント
pajėgumai	定員
pajėgumai	容量
fernandez	フェルナンデス
skyrim	skyrim
tocharų	トカラ
nikon	ニコン
kančias	苦しみ
kopūstų	キャベツ
cefa	cefa
etnografija	ethnography
sutrumpinti	短縮
sutrumpinti	ショートニング
gaubtas	囲い
gaubtas	同封
tarifas	関税
delgado	デルガド
andromeda	アンドロメダ
mezgimo	編み物
bakterija	細菌
bakterija	バクテリア
dizaineriai	デザイナー
renovacijos	リフォーム
asahi	朝日
tikrinimas	検査
tikrinimas	検問
tėvystės	父性
maxwell	マックスウェル
maxwell	マクスウェル
rastis	ラスティ
angra	アングラ
abstraktus	抽象
džango	ジャンゴ
diskelių	フロッピー
tesėjas	テーセウス
blokavimas	ブロッキング
priespaudą	弾圧
nemiga	不眠症
npc	npc
spalvinga	カラフル
valties	ボート
guidžou	貴州省
fasadu	façade
kepure	ハット
kepure	帽子
dis	dis
sachs	ザックス
defektas	瑕疵
defektas	欠陥
siauresnė	狭い
gibonas	テナガザル
instrukcija	手順
instrukcija	指示
chartiją	チャーター
chartiją	憲章
chartiją	貸切
schemas	スキーム
kailiai	毛皮
bystrica	ビストリツァ
egzemplioriai	標本
balionai	バルーン
balionai	風船
balionai	シリンダー
cinamono	シナモン
prokofjevas	プロコフィエフ
užterštumas	公害
užterštumas	汚染
užterštumas	汚染
dubenį	ボウル
rem	レム
rem	rem
lūkesčius	期待
daniele	ダニエレ
kovinį	戦艦
gerumo	親切
efesas	エフェソス
marburgo	マールブルク
fukuoka	福岡
citata	引用
taikaus	平和
marvel	マーベル
kolektyvams	collectives
šamas	ナマズ
blokus	ブロック
išvestinių	デリバティブ
išvestinių	微分
operetė	オペレッタ
anima	アニマ
žaizda	傷口
doria	ドリア
cyrus	キュロス
registrus	レジスタ
shirley	シャーリー
metafora	比喩
ans	ジーナ
stebuklinga	マジカル
gelta	黄疸
aikido	合気道
gedimų	失敗
sumaišyti	ミックス
sumaišyti	混合
sumaišyti	コケ
generatorių	ジェネレータ
liūdnai	汚名
liūdnai	infamous
siaubas	ホラー
irimo	消化
porno	ポルノ
willy	ウィリー
vasaras	サマーズ
čili	チリ
ffcc	ffcc
siuvėjas	仕立て屋
tama	タマ
judrus	アジャイル
sukauptas	蓄積
skydus	シールド
linksma	楽しい
saragosos	サラゴサ
symbian	symbian
nakamura	中村
beždžionė	サル
dag	dag
siurblys	クリーナー
siurblys	ポンプ
petronijus	ペトロニウス
olsen	オルセン
formules	数式
dažymo	染色
siegfried	ジークフリート
tobula	パーフェクト
tobula	完璧
martinez	マルティネス
hidra	ヒドラ
momentai	moments
momentai	モーメント
ado	ado
imituoti	シミュレート
gmt	gmt
drakonai	ドラゴンズ
drakonai	ドラゴン
rezervuaras	貯水池
kobe	神戸
arkanzaso	アーカンソー
tna	tna
gėrimams	飲み物
gėrimams	飲物
stygius	不足
marti	マーティ
sdp	sdp
teleskopai	望遠鏡
apgauti	愚か者
apgauti	フール
įsipareigojimą	コミットメント
įsipareigojimą	収容
galileo	ガリレオ
proporcinga	比例
įrašoma	プリンタ
įrašoma	プリンター
irving	アーヴィング
paralyžius	麻痺
keller	ケラー
šeštadienis	土曜日
vedžitas	ベジータ
dns	dns
lėlė	人形
netbsd	netbsd
zaz	zaz
kobalto	コバルト
amano	天野
pie	パイ
nuolaužos	破片
nuolaužos	瓦礫
astma	ぜんそく
astma	喘息
priemaišos	穢れ
priemaišos	穢れ
messi	メッシ
hari	ハリー
bakai	バック
vernon	ヴァーノン
chu	chu
konsepsjono	コンセプシオン
wilde	ワイルド
arakano	アラカン
ateis	来る
ateis	カミング
bale	ベール
indigo	インディゴ
diegimas	設置
diegimas	インストール
mėgstami	お気に入り
