сдпг	spd
мудрости	ภูมิปัญญา
рам	ราม
рам	พระราม
мадагаскар	มาดากัสการ์
копенгагене	โคเปนเฮเกน
сухие	แห้ง
сухие	แล้ง
сухие	แห้งๆ
ввели	ฉีด
исправление	แก้
искусственные	เทียม
искусственные	ประดิษฐ์
китайское	จีน
авто	อัตโนมัติ
авто	auto
кун	คุง
кун	kuhn
возражаю	ค้าน
возражаю	คัดค้าน
частые	บ่อย
прирост	increment
браузер	เบราว์เซอร์
географической	ภูมิศาสตร์
чешская	เช็ก
приятно	สวย
афк	afc
стива	steve
ганы	กานา
ганы	กาน
рассчитан	คำนวณ
оценили	ชื่นชม
оценили	ซาบซึ้ง
вирт	wirth
катерина	caterina
черепаха	เต่า
черепаха	เต่า
резервный	สำรอง
сидел	นั่ง
типичные	ทั่วไป
писания	คัมภีร์
семейное	ตระกูล
семейное	ครอบครัว
семейное	family
мун	มูล
мун	mun
мун	พระจันทร์
мун	มูน
мун	เพ็ญ
двойное	ดับเบิล
двойное	ดับเบิ้ล
ура	เย
ура	เย่
отклонить	ปฏิเสธ
отклонить	ยกเลิก
отклонить	ปฏิเสธ
ящик	box
ящик	กล่อง
ящик	ช่อง
ящик	ลัง
равномерно	สม่ำเสมอ
бесплатный	ฟรี
бесплатный	อิสระ
бесплатный	ว่าง
бесплатный	เสรี
бесплатный	free
эфиопия	เอธิโอเปีย
эфиопия	เอธิโอเปีย
мехмед	mehmed
фуа	foix
регулярное	ปรกติ
регулярное	ปกติ
почки	ไต
почки	ไต
абсолютное	ค่าสัมบูรณ์
абсолютное	สัมบูรณ์
диагностика	วินิจฉัย
диагностика	วินิจฉัย
диагностика	วินิจฉัย
поправка	แก้
пистолеты	ปืน
скелет	โครง
слабый	อ่อนแอ
слабый	อ่อน
партнёр	คู่หู
лодку	เรือ
ассамблея	สมัชชา
милосердия	เมตตา
милосердия	ปราณี
учета	บัญชี
ассоциаций	สมาคม
страдал	ทรมาน
страдал	ประสบ
зак	แซ็ก
зак	แซ็ค
зак	แซบ
зак	แซ
зак	แซก
зак	แซค
зак	zac
иезуитов	jesuits
развить	พัฒนา
стили	สไตล์
пёс	หมา
пёс	หมาก
пёс	สุนัข
лишить	กีดกัน
дворцы	พระราชวัง
земельный	land
земельный	แลนด์
земельный	ที่ดิน
миры	โลก
ники	nicky
ники	นิกิ
ники	nicki
замечен	พบเห็น
танзании	แทนซาเนีย
ориентация	ปฐมนิเทศ
ощущения	รู้สึก
ощущения	feeling
ливане	เลบานอน
родные	ตระกูล
родные	ครอบครัว
родные	family
кометы	ดาวหาง
кострома	kostroma
выбрано	เลือก
печь	เตา
печь	เตา
печь	อบต
печь	อบ
дневники	วารสาร
дневники	ไดอารี่
зрение	สายตา
зрение	นิมิตร
растет	โต
растет	เติบโต
департаментов	แผนก
логотипы	โลโก้
адаптация	ดัดแปลง
американец	อเมริกัน
преследует	หลอน
отрицательные	ติดลบ
отрицательные	ลบ
старшие	อาวุโส
старшие	senior
колокол	ระฆัง
колокол	กระดิ่ง
колокол	เบลล์
амн	amn
судан	ซูดาน
красиво	สวยๆ
красиво	สวย
красиво	สวยงาม
красиво	งดงาม
цветёт	บาน
революционеров	ปฏิวัติ
гриб	เห็ด
нога	เท้า
нога	ตีน
нога	ขา
плохая	แย่
плохая	ร้าย
плохая	bad
плохая	เลว
пятницу	ศุกร์
джош	จอช
ускорение	เร่ง
ускорение	ความเร่ง
клинике	คลินิก
солнечные	สุริยะ
солнечные	สุ
бактерии	แบคทีเรีย
экспериментальных	ทดลอง
экспериментальных	นักบิน
тёплый	อบอุ่น
тёплый	อุ่น
тигр	tiger
тигр	เสือ
тигр	เสือก
эрнандес	hernández
сплит	แยก
сплит	แบ่ง
хозяева	มาสเตอร์
увидела	เห็น
рама	ราม
рама	พระราม
рама	พระราม
напомнить	ตอกย้ำ
напомнить	เตือน
указывая	ชี้
делегат	ตัวแทน
измене	กบฏ
изучил	ศึกษา
экспериментальные	ทดลอง
троцкий	trotsky
угрожает	ข่มขู่
угрожает	ขู่
знакомый	คุ้นๆ
знакомый	คุ้น
сосуды	เส้นเลือด
мал	มอล
мал	มาล
мирные	สงบ
мирные	สันติ
коул	โคล
конвой	ขบวน
расчет	คำนวณ
паспорта	หนังสือเดินทาง
полет	ฟลาย
полет	บิน
красота	งาม
нейтральный	ฉนวน
проверьте	เช็ค
проверьте	ตรวจ
сеуле	โซล
крестоносцев	crusaders
стабильность	เสถียรภาพ
циклы	วงจร
циклы	วัฏจักร
циклы	วงจร
циклы	รอบ
препятствия	อุปสรรค
препятствия	อุปสรรค
товар	สินค้า
товар	ผลิตภัณฑ์
товар	สินค้า
мансур	mansur
мансур	mansour
видения	นิมิต
видения	นิมิตร
кай	kai
кай	ไค
зеленый	เขียว
объектив	เลนส์
мода	fashion
мода	แฟชั่น
чистые	บริสุทธิ์
чистые	ล้าง
чистые	สะอาด
чистые	clean
каталоги	โฟลเดอร์
собрали	สะสม
привлекать	ดึงดูด
вик	วิค
стоун	stone
стоун	หิน
стоун	ศิลา
грот	grotto
ион	ไอออน
филиалы	กิ่ง
филиалы	สาขา
библия	ไบเบิ้ล
библия	ไบเบิล
перерыв	พัก
грейс	พระคุณ
единогласно	เอกฉันท์
совпадение	แมตช์
совпадение	บังเอิญ
зерно	ธัญพืช
зерно	เมล็ด
тироль	tyrol
минимальное	minimal
минимальное	น้อย
кори	cori
страхование	ประกัน
близнецы	ฝาแฝด
близнецы	แฝด
вуд	วูด
вуд	ไม้
дикие	wild
дикие	ดุดัน
внешнее	ภายนอก
гарантии	รับรอง
перья	บางเบา
гимнастика	ยิมนาสติก
стандартизации	standardization
картофеля	potato
самолеты	อากาศยาน
проголосовать	โหวต
лекция	บรรยาย
лорен	ลอว์เรน
лорен	ลอเรน
продемонстрировать	สาธิต
ноты	หมายเหตุ
ноты	บันทึก
ноты	โน้ต
хиггинс	higgins
послания	ข้อความ
страсть	กิเลส
страсть	ตัณหา
тихо	เงียบ
справочники	คู่มือ
справочники	handbooks
готово	พร้อม
переписку	สนทนา
ограниченное	จำกัด
рен	หยิน
рен	เรน
бал	ลูกบอล
бал	บอล
лен	len
лен	เลน
швейцарию	สวิสเซอร์แลนด์
металлы	โลหะ
мск	msk
транс	ภวังค์
транс	trans
черепахи	เต่า
черепахи	เต่า
страшно	สยอง
страшно	กลัว
бабочки	ผีเสื้อ
бабочки	ผีเสื้อ
мебель	เฟอร์นิเจอร์
гондураса	ฮอนดูรัส
гранат	ทับทิม
белла	bella
урожай	พืช
жалко	สงสาร
запустить	วิ่ง
запустить	รัน
запустить	หนี
парана	paraná
хара	jara
психологический	จิตวิทยา
элли	พันธมิตร
вставки	แทรก
овощи	ผัก
овощи	ผัก
овощи	ผัก
любить	ชอบ
любить	รัก
дюймов	นิ้ว
клин	สลิ่ม
клин	ลิ่ม
лестнице	บันได
лестнице	บันได
пенза	penza
луну	พระจันทร์
луну	มูน
луну	เพ็ญ
домена	โดเมน
возврат	กลับ
гана	กานา
гана	กาน
печально	เศร้าๆ
печально	เศร้า
гватемалы	กัวเตมาลา
бейкер	baker
сеул	โซล
иэн	เอียน
продана	ขาย
запятой	จุลภาค
этническая	ชาติพันธุ์
заинтересованных	สนใจ
клавиши	กุญแจ
десятый	tenth
виртуальный	เสมือน
разбили	ทุบ
глубокая	ลึก
глубокая	deep
нко	nda
атомная	อะตอม
атомная	ปรมาณู
парижский	paris
парижский	ปารีส
перемены	เปลี่ยนแปลง
перемены	เปลี่ยน
бандиты	โจร
дани	เดนี
подраздел	วรรค
оболочка	เปลือก
оболочка	เชลล์
кран	เครน
кипре	ไซปรัส
гроб	โลง
сельскохозяйственная	การเกษตร
сельскохозяйственная	เกษตรกรรม
сельскохозяйственная	เกษตร
биржа	แลก
туры	ทัวร์
волшебный	ขลัง
волшебный	วิเศษ
макао	มาเก๊า
макао	มาเก๊า
макао	macau
комикс	การ์ตูน
комикс	การ์ตูน
бунт	จลาจล
бунт	กบฏ
предлагать	แนะนำ
достигнуть	บรรลุ
валентиниан	valentinian
полость	โพรง
полость	โหว่
энни	annie
смешанный	ผสม
исраэль	yisrael
снаряжение	อุปกรณ์
снаряжение	เฟือง
домик	กระท่อม
домик	โดยสาร
сант	แซง
формальные	ทางการ
моника	monika
колёса	ล้อ
заложил	จำนำ
обувь	รองเท้า
обувь	รองเท้า
напоминаю	ตอกย้ำ
напоминаю	เตือน
аккаунт	บัญชี
барабан	กลอง
революционная	ปฏิวัติ
разрушить	ทำลาย
разрушить	ซาก
разговоры	คุย
разговоры	พูด
заменять	แทนที่
заменять	แทน
пианино	เปียนโน
роз	rose
роз	กุหลาบ
роз	โรส
роз	โร
четверг	พฤหัส
четверг	พฤหัสฯ
четверг	พฤหัสบดี
лама	llama
бон	บง
бон	บอง
бон	bom
бон	บอ
бон	บอน
бон	bon
рыболовство	ประมง
рыболовство	ประมง
потребление	บริโภค
передовые	ก้าวหน้า
прочесть	อ่าน
забайкальский	zabaykalsky
сенате	วุฒิสภา
сетка	กริด
энергетика	พลังงาน
плакат	โปสเตอร์
согласные	พยัญชนะ
замечательно	วิเศษ
заключенных	นักโทษ
заключенных	เชลย
кнопка	กระดุม
кнопка	ปุ่ม
формальный	ทางการ
коллекционер	สะสม
серьезные	จริงจัง
серьезные	รุนแรง
серьезные	สาหัส
этика	จริยธรรม
лилия	ลิลลี่
соломона	โซโลมอน
пропустить	ข้าม
собрано	สะสม
углов	มุม
разгромил	รื้อ
гнезда	nest
гнезда	รัง
гнезда	รัง
ватикана	วาติกัน
хаос	วุ่นวาย
исполнить	ประหาร
сильвия	sylvia
сильвия	ซิลเวีย
сильвия	silvia
страдания	ทรมาน
узких	แคบ
беременность	ครรภ์
новак	nowak
прогулки	เดิน
ликвидировать	ขจัด
беседа	interview
беседа	สัมภาษณ์
беседа	สนทนา
тринадцать	thirteen
задержки	ล่าช้า
типичная	ทั่วไป
родам	คลอด
направленность	ผลัก
направленность	ปฐมนิเทศ
извержение	ปะทุ
оранжевый	ส้ม
парни	หนุ่มๆ
парни	พวก
провал	ขัดข้อง
чистое	บริสุทธิ์
кишечника	ลำไส้
кишечника	ลำไส้
кишечника	ลำไส้เล็ก
хочешь	ต้องการ
хочешь	อยาก
тесты	ทดสอบ
стоянка	จอด
палестину	palestine
палестину	ปาเลสไตน์
паскаль	pascal
пальцы	นิ้ว
пальцы	ยกนิ้ว
намерение	เจตนา
привет	สวัสดี
привет	ทักทาย
привет	สวัสดี
привет	hello
привет	เฮ้
привет	เฮ
глобус	globe
глобус	ลูกโลก
красавица	สวยๆ
красавица	สวย
красавица	สวยงาม
красавица	งดงาม
красавица	งดงาม
красавица	งามๆ
рынки	ตลาด
ролик	คลิป
ролик	clip
полюс	เสา
комбинация	คอมโบ
мягкие	นิ่ม
мягкие	อ่อน
мягкие	นุ่ม
пытаюсь	พยายาม
шульц	schulz
стоя	ยืน
фут	เท้า
фут	ตีน
ира	ira
грязи	โคลน
ничья	มัด
ничья	ไทด์
ничья	วาด
пнр	rtd
астрономических	ดาราศาสตร์
палец	นิ้ว
триумф	triumph
маи	เชียงใหม่
влажность	ความชื้น
влажность	ความชื้น
держится	ถือ
держится	อุ้ม
законодательные	นิติบัญญัติ
гусь	ห่าน
ядерная	นิวเคลียร์
керамика	เครื่องปั้นดินเผา
керамика	เซรามิค
передовых	ก้าวหน้า
дюйма	นิ้ว
геев	เกย์
равновесие	สมดุล
равновесие	สมดุล
волка	หมาป่า
агрегатов	aggregates
поймать	จับ
заполнить	กรอก
заполнить	เติม
прогрессивного	ก้าวหน้า
лицее	lycée
кристалл	ใส
слоган	สโลแกน
слоган	slogan
хранилище	โกดัง
слона	ช้าง
отклонение	แปรผัน
исламский	อิสลาม
свежие	สด
свежие	สดๆ
свежие	สดชื่น
ночное	ไนท์
ночное	ค่ำคืน
ночное	คืน
ночное	ราตรี
опасный	อันตราย
опасный	อันตราย
пятно	คราบ
пятно	เบลอ
мобильный	mobile
долги	หนี้
долги	หนี้
промежуточных	กลาง
пятница	ศุกร์
итало	italo
психиатр	จิตแพทย์
психиатр	หด
психиатр	จิตแพทย์
родственник	สัมพันธ์
родственник	ญาติ
гуманитарной	มนุษยธรรม
цветения	ดอก
спать	นอน
спать	หลับ
спать	นอน
агитации	สืบไป
заработать	earn
заработать	ขวนขวาย
иероним	hieronymus
фанаты	แฟนๆ
матки	มดลูก
лайнер	liner
понравился	ถูกใจ
пирамида	พีระมิด
пирамида	พีรามิด
автоматическое	อัตโนมัติ
хай	hai
хай	ไห
приглашены	เชิญ
тонкая	บาง
тонкая	ผอม
тонкая	บางๆ
дрю	ดรูว์
дрю	ดรูว
меценат	maecenas
отражать	ไตร่ตรอง
отражать	ใคร่ครวญ
графические	กราฟิก
графические	กราฟิก
тонга	ตองกา
ртути	ปรอท
биологический	ชีวภาพ
потерять	แพ้
потерять	เสีย
слепой	บอด
слепой	ตาบอด
хантер	hunter
пела	แซง
пела	ซัง
пела	ซาง
голливуд	ฮอลลีวู้ด
мардж	มาร์
любопытно	สงสัย
муниципалитетов	เทศบาล
переменные	ตัวแปร
переменные	ตัวแปร
каир	ไคโร
сигизмунд	sigismund
трава	หญ้า
трава	วัชพืช
трава	กัญชา
отложений	ตะกอน
салют	พลุ
розовые	pink
розовые	ชมพู
розовые	สีชมพู
слышать	ได้ยิน
слышать	ยิน
катрин	katrin
ной	น้อย
ной	noi
ной	วังน้อย
сана	sana
танцовщица	dancer
крон	มงกุฎ
правовая	กฎหมาย
коса	scythe
орт	ort
уорд	ward
уорд	วอร์ด
служащие	ลูกจ้าง
служащие	พนักงาน
здорово	เยี่ยม
здорово	ยอด
захоронение	ฝัง
чон	จอง
чон	จอง
чон	จุง
юра	yura
рамирес	ramírez
проголосовал	โหวต
нить	ด้าย
наводнения	อุทกภัย
лидерство	ผู้นำ
счета	บัญชี
ульяновск	ulyanovsk
весёлый	ร่าเริง
мелкий	เตี้ย
кислород	ออกซิเจน
винни	พูห์
реактор	ปฏิกรณ์
алгебра	พีชคณิต
видела	เห็น
ватикан	วาติกัน
одобрение	อนุมัติ
куклы	ตุ๊กตา
изменились	เปลี่ยน
толчок	เบ่ง
толчок	ผลัก
толчок	ดัน
толчок	เข็น
толчок	ผลัก
крышу	หลังคา
крышу	ดาดฟ้า
заслужил	สมควร
пастор	หลวง
жён	ภริยา
клинических	คลินิก
чайка	นางนวล
инвесторов	นายทุน
араб	อาหรับ
промежуточный	กลาง
вирусов	ไวรัส
толстый	หนา
толстый	หนาๆ
толстый	อ้วน
толстый	อ้วนๆ
израильская	อิสราเอล
силезии	silesia
сборка	สมัชชา
гигиены	อนามัย
гигиены	อนามัย
пуля	ลูกปืน
пуля	กระสุน
несовершеннолетних	เยาวชน
здравоохранение	อนามัย
здравоохранение	health
здравоохранение	สุขภาพ
подвале	ใต้ถุน
низкое	โลว์
низкое	ต่ำ
тнт	tnt
гватемала	กัวเตมาลา
искажения	บิดเบือน
тактику	กลยุทธ์
тактику	ยุทธวิธี
аграрной	agrarian
экскурсии	ทัวร์
проникнуть	แทรกซึม
вор	ขโมย
вор	โจร
противодействие	ค้าน
мельбурне	melbourne
шутки	มุข
шутки	มุก
шутки	ตลก
рома	รัม
обсе	osce
якорь	สมอ
якорь	สม
грех	บาป
популярное	นิยม
популярное	เด่น
пить	ดื่ม
пить	คอแห้ง
пить	กระหาย
уникальное	เอกลักษณ์
минобороны	กลาโหม
минобороны	dod
стараюсь	พยายาม
заслуживают	สมควร
запланировано	วางแผน
сетки	ตาข่าย
сетки	กริด
холодное	หนาว
холодное	เย็น
холодное	เย็นๆ
дорогие	ถึง
дорогие	ที่รัก
дорогие	แพงๆ
дорогие	แพง
вознаграждение	รางวัล
вознаграждение	รางวัล
относительной	สัมพันธ์
относительной	ญาติ
автомагистрали	มอเตอร์เวย์
автомагистрали	ทางหลวง
гены	ยีน
галлии	กอล
фантазия	จินตนาการ
рустам	rustam
спина	กลับ
оставшийся	เหลือ
кристал	ใส
ола	ทัก
тадеуш	tadeusz
макет	แผนผัง
макет	layout
дуба	โอ๊ค
воз	ผู้
воз	ใคร
кухне	ทำครัว
кухне	ครัว
уникальная	เอกลักษณ์
снабжение	จัดหา
затонул	จม
ударил	ตี
ударил	ถล่ม
ударил	ชน
ударил	จีบ
глагол	กริยา
психического	จิต
алания	alania
кароль	karol
ленту	ฟีด
ленту	เทป
направленный	กำกับ
направленный	ทิศทาง
послать	ส่ง
вегас	vegas
коп	cpc
коп	ทองแดง
коп	copper
клетка	เซลล์
клетка	กรง
кларка	คล๊าก
арабская	อาหรับ
покупать	ซื้อ
покупать	เลี้ยง
покупать	ซื้อ
бесконечности	infinity
бесконечности	อนันต์
жёны	ภริยา
подписание	เซ็น
комментировать	หมายเหตุ
мышление	คิด
мышление	วาบ
блейк	เบลค
блейк	เบลก
блейк	ลค
сделка	ธุรกรรม
нло	ufo
нло	ufo
поцелуй	จูบ
поцелуй	kiss
усы	หนวด
усы	หนวด
кита	วาฬ
кита	ปลาวาฬ
кита	คีธ
кита	คี
кита	คีท
мика	ไมก้า
скачать	ดาวน์โหลด
путаница	สับสน
мечта	ฝัน
мечта	dream
дерек	เดเร็ก
дерек	เดเรก
коннор	คอนเนอร์
лейн	เลน
дружеские	มิตร
пакеты	ถุง
пакеты	กระเป๋า
пакеты	แพ็ค
вальядолид	valladolid
гигант	ยักษ์
ива	iva
комик	การ์ตูน
серро	cerro
кор	bcd
кор	kor
картофель	potato
доминиканская	โดมินิกัน
программист	โปรแกรมเมอร์
копирование	สำเนา
слон	บิชอป
слон	ช้าง
викитека	wikisource
копировать	สำเนา
ганновер	hannover
колумбийский	โคลัมเบีย
колумбийский	โคลอมเบีย
колумбийский	โคลัมเบีย
орда	กองพล
волшебник	มายากล
обезьян	ลิง
корейская	เกาหลี
сингх	สิงห์
анхель	เทวดา
анхель	นางฟ้า
дикая	wild
дикая	ดุดัน
гордость	ศักดิ์ศรี
стар	ดวงดาว
стар	ดารา
стар	ดาว
экспериментальная	ทดลอง
тётя	ป้า
тётя	ป้า
тётя	ป้า
тётя	น้า
духи	น้ำหอม
духи	น้ำหอม
лан	ลาน
диаграмма	แผนภาพ
диаграмма	แผนภูมิ
диаграмма	ชาร์ต
диаграмма	ภูมิ
диаграмма	คิด
ворон	อีกา
ворон	raven
поощрения	โปรโมท
поощрения	โปรโมชัน
тарту	tartu
офисы	สำนักงาน
офисы	ออฟฟิศ
таксонов	taxa
совершенствование	ปรับปรุง
совершенствование	ปรับปรุง
загрузка	อัพโหลด
загрузка	โหลด
загрузка	ดาวน์โหลด
реагировать	โต้ตอบ
реагировать	ปฏิกิริยา
пэн	peng
пэн	เผิง
пэн	ผิง
пэн	แพน
поклонники	แฟนๆ
классификатор	classifier
столетие	ศตวรรษ
горячие	ร้อนๆ
горячие	ร้อน
горячие	hot
человеческое	มนุษย์
фрай	ทอด
познани	poznań
солидарности	สามัคคี
слалом	slalom
даг	dag
капли	หยอด
капли	หยด
стипендии	สาวก
стипендии	สัมพันธภาพ
стипендии	ทุน
нейтральным	ฉนวน
постели	ที่นอน
постели	เตียง
быстрая	รวดเร็ว
быстрая	ด่วน
быстрая	ไว
быстрая	รวดเร็ว
быстрая	เร็ว
быстрая	ด่วน
быстрая	fast
быстрая	ไว
изделие	สินค้า
изделие	ผลิตภัณฑ์
пожелания	ประสงค์
пожелания	ปรารถนา
маг	มายากล
похоронили	ฝัง
хаим	haim
тара	ธาร
тед	เทด
тед	เท็ด
катастрофу	หายนะ
катастрофу	เซียน
анн	แอน
анн	ann
пыток	ทรมาน
семинары	สัมมนา
карабаха	karabakh
естественное	natural
естественное	ธรรมชาติ
развлечения	บันเทิง
дистанционного	รีโมท
ферме	farm
ферме	ไร่
ферме	ฟาร์ม
пэт	แพท
пэт	pat
пэт	ลูบ
жёсткий	แรง
жёсткий	โหม
жёсткий	ลำบาก
жёсткий	หนัก
жёсткий	ฮาร์ด
жёсткий	ยาก
пограничная	ก้ำกึ่ง
пограничная	borderline
частица	อนุภาค
перевел	แปล
сирот	กำพร้า
сирот	กำพร้า
рассвет	รุ่งอรุณ
ели	efi
ели	กิน
сим	ซิม
сим	sim
сим	ชิม
кампус	วิทยาลัย
кампус	วิทยาเขต
кампус	มหาวิทยาลัย
комета	ดาวหาง
росса	รอส
игл	อินทรี
игл	อินทรีย์
тамбов	tambov
кур	csd
континентального	ทวีป
древесина	วูด
древесина	ไม้
острая	เฉียบพลัน
острая	เผ็ด
острая	ชาร์ป
острая	คม
баян	bayan
стих	กลอน
стих	กวี
стих	กลอน
стих	ท่อน
палестина	palestine
палестина	ปาเลสไตน์
секретный	secret
секретный	ลับ
секретный	ลับๆ
сахар	น้ำตาล
прайс	ราคา
доктрины	ลัทธิ
смотрится	หน้าตา
богатая	ริช
богатая	รวย
богатая	คนรวย
богатая	ร่ำรวย
посетители	ลูกค้า
водно	wetland
столб	เสา
бара	bara
крот	ไฝ
хобби	hobby
рассвете	รุ่งอรุณ
маз	maz
потомства	ทายาท
крейг	เคร็ก
крейг	เคร
элен	hélène
сирию	ซีเรีย
финн	ฟิน
финн	ฟินน์
мфк	ifc
резюме	สรุป
шейха	ชีก
шейха	ชีค
прощание	อำลา
конде	conde
наркотики	ยา
шею	คอร์
шею	คอ
шею	คอง
шею	ต้นคอ
мемфис	memphis
фотогалерея	photogallery
родная	ที่รัก
солнечное	สุริยะ
солнечное	สุ
бедствия	หายนะ
кришна	กฤษณะ
случайные	มั่ว
случайные	สุ่ม
разрешает	อนุญาต
каире	ไคโร
медь	ทองแดง
медь	copper
хун	แขวน
хун	ฮอง
хун	ฮง
хун	ฮุน
гонщик	racer
отрицательный	ติดลบ
отрицательный	ลบ
скобки	วงเล็บ
скобки	วงเล็บ
мудрость	ปัญญา
мудрость	ภูมิปัญญา
письменные	เขียน
бонд	พันธบัตร
бонд	สายใย
бонд	บอนด์
бонд	พันธะ
меркурий	ปรอท
ребят	พวก
боже	อัลลอฮ์
боже	พระเจ้า
боже	อัลลอฮฺ
альбер	อัลเบิร์
альбер	อัลเบิร์ต
больные	ป่วย
аккуратно	เบาๆ
аккуратно	ประณีต
антониу	antónio
ритуал	พิธีกรรม
коммерческая	พาณิชย์
коммерческая	โฆษณา
спама	spam
спама	สแปม
индустрия	อุตสาหกรรม
поют	ร้อง
чувствовал	รู้สึก
кресло	เก้าอี้
замечено	พบเห็น
магния	แมกนีเซียม
связаться	ติดต่อ
сирийской	ซีเรีย
грузию	จอร์เจีย
знакомые	คุ้นๆ
знакомые	คุ้น
биохимии	ชีวเคมี
дек	เด็ค
дек	เดค
дек	เดธ
волшебная	เวทมนตร์
волшебная	มนตร์
промежуточные	กลาง
кубинский	คิวบา
беспозвоночных	invertebrates
иранский	อิหร่าน
шестая	sixth
схожие	คล้าย
алмаз	diamond
алмаз	ไดมอนด์
алмаз	เพชร
всплеск	สาด
кредита	credit
кредита	เครดิต
синтаксис	ไวยากรณ์
олень	กวาง
подполье	ใต้ดิน
обзоров	วิจารณ์
обзоров	รีวิว
радуга	สายรุ้ง
радуга	เรนโบว์
радуга	รุ้ง
радуга	สายรุ้ง
радуга	รุ้ง
слабая	อ่อนแอ
слабая	อ่อน
преступность	อาชญากรรม
мик	มิค
мик	มิก
значок	เครื่องหมาย
значок	ตรา
значок	คอน
значок	ไอคอน
чувашия	chuvashia
плечо	ไหล่
загадка	ลึกลับ
загадка	ปริศนา
загадка	ลี้ลับ
загадка	ปริศนา
иудеи	judea
иудеи	ยิว
хвойных	coniferous
оставьте	ทิ้ง
свадьбу	แต่งงาน
свадьбу	แต่ง
младшие	junior
младшие	เยาวชน
пострадала	ทรมาน
пострадала	ประสบ
заполнения	กรอก
заполнения	เติม
бросок	ขว้าง
бросок	โยน
континенте	ทวีป
внуков	หลานๆ
внуков	หลาน
универсальная	universal
универсальная	สากล
автоматические	อัตโนมัติ
стипендию	ทุน
налево	ซ้าย
налево	เหลือ
чен	เฉิน
лапы	อุ้งเท้า
лапы	อุ้งมือ
буша	bush
буша	บุช
бремя	ภาระ
папский	สันตะปาปา
папский	pontifical
коммунизм	คอมมิวนิสต์
чита	chita
мили	ไมล์
мили	ไมลส์
мили	ไมล์
искусственное	เทียม
искусственное	ประดิษฐ์
буря	พายุ
концепций	แนวคิด
концепций	concepts
перец	พริก
перец	พริก
фунт	ปอนด์
перо	ปากกา
перо	ขน
выручка	รายรับ
доминиканской	โดมินิกัน
лозунг	สโลแกน
лозунг	slogan
влажности	ความชื้น
дым	ควัน
барак	barak
одер	oder
ложные	เท็จ
ложные	ปลอม
проповедь	เทศน์
клиника	คลินิก
призывы	อุทธรณ์
наследники	ทายาท
малыш	ลูก
малыш	ทารก
малыш	เบบี้
малыш	ที่รัก
облаков	เมฆ
горло	คอ
бухаресте	บูคาเรสต์
ужасно	แย่
ужасно	สาหัส
пробовал	พยายาม
брайен	brian
готье	gauthier
свидание	เดท
уран	ยูเรเนียม
транслитерации	transliteration
трав	สมุนไพร
норфолк	นอร์ฟอล์ค
