misionet	misións
parajsa	ceo
parajsa	deus
parajsa	ceos
parajsa	paraíso
parajsa	o
kitare	guitarra
roy	roy
mina	minas
beatles	dos
beatles	beatles
qiejt	ceos
qiejt	ceos
qiejt	ceo
inspektor	inspector
inspektor	comisario
folësit	relatores
polic	poli
polic	policía
polic	policía
errësirë	escuras
errësirë	escuro
errësirë	escura
errësirë	escuridade
errësirë	noite
errësirë	escuridade
rrufe	lóstrego
varësinë	dependencia
fondet	financiamento
roja	garda
roja	de
shkretëtirë	deserto
shkretëtirë	sobremesa
papritmas	súpeto
papritmas	de
papritmas	repente
travel	viaxar
travel	viaxa
travel	cara
mbrohet	protexido
fol	falar
fol	charla
fol	con
fol	falo
fol	falar
fol	falamos
fol	fala
fol	fale
fol	con
provon	proba
inkurajuar	e
mallkuar	maldito
musical	musical
musical	musicais
mënjanë	á
shtyllë	polo
shtyllë	poste
cep	esquina
cep	recuncho
biologji	bioloxía
morfinë	morfina
alternativë	alternativa
rrok	rocha
rrok	pedra
rrok	rock
rrok	de
varfëri	pobreza
varfëri	a
ritual	ritual
ritual	rituais
irlandeze	irlandés
irlandeze	irlandeses
irlandeze	irlandesa
kursi	suposto
kursi	que
kursi	por
kursi	claro
kolonjë	perfume
kolonjë	colonia
evolucioni	evolución
depërtojnë	penetrar
mbani	a
mbani	manter
sean	sean
zgjidh	elixir
zgjidh	escollen
zgjidh	escoller
zgjidh	que
zgjidh	o
zgjidh	a
zgjidh	escolle
departament	de
departament	departamento
departament	axentes
djemt	rapaces
djemt	nenos
djemt	os
djemt	mozos
negociatat	negociación
mekanizmat	mecanismos
realist	realista
realist	realistas
pëllumbi	pomba
unazat	aneis
oriz	arroz
oriz	de
urrejtje	odio
urrejtje	odio
urrejtje	os
urrejtje	o
urrejtje	a
tronditur	shock
sat	eu
sat	sentei
sat	sentouse
sat	senteime
sat	sentou
sat	onda
sat	sentado
sat	sentados
organizma	organismos
çaste	momentos
çaste	momento
çaste	intres
kompjuterë	ordenadores
kompjuterë	computadores
kto	estas
kto	estes
kërcimi	baile
kërcimi	baila
kërcimi	bailar
kërcimi	danza
kërcimi	baile
kërcimi	bailando
kërcimi	bailar
kërcimi	bailaba
totalisht	totalmente
gjuetia	caza
bark	estómago
bark	ventre
bark	barriga
pistë	porca
pistë	sucio
vlerësimet	cualificacións
vlerësimet	as
vlerësimet	avaliacións
vlerësimet	estima
vlerësimet	que
kocka	ósos
tufë	manada
tufë	rabaño
tufë	rabaño
tufë	morea
tufë	uns
tufë	de
tufë	chea
tufë	grupo
tufë	fato
marksi	marx
ritmin	ritmo
fitimet	beneficios
fitimet	ganancias
betuar	xurou
betuar	cargo
betuar	o
braun	brown
braun	marróns
braun	marrón
braun	claro
perfect	perfecto
perfect	perfecta
perfect	perfectos
përfitimet	beneficios
përfitimet	os
krenare	orgullosa
krenare	orgullosos
krenare	de
krenare	orgulloso
krenare	fachendoso
rregullimi	arranxar
rregullimi	arranxo
rregullimi	acordo
shëruar	curarse
nukleare	nuclear
nukleare	nucleares
testet	exames
testet	probas
testet	tests
oksigjeni	osíxeno
krijesa	criaturas
bartja	de
bartja	levamos
bartja	levaba
bartja	leva
bartja	levar
bartja	unha
procedurë	procedemento
mot	♫
mot	tempo
mot	do
mot	este
mot	ben
pamore	visual
pamore	visuais
ushtrime	exercicios
ushtrime	dirixe
ushtrime	un
azotit	nitróxeno
sferë	esfera
korporata	corporación
korporata	empresas
korporata	corporacións
platformën	plataforma
volitshme	conveniente
molekulë	molécula
molekulë	molecular
eleminuar	eliminar
vizual	visual
vizual	visuais
depresioni	depresión
depresioni	posparto
depresioni	a
depresioni	da
laser	láser
bangladeshi	bangladesh
monster	monstro
falja	perdón
falja	indulto
falja	desculpe
falja	perdoe
perspektivë	perspectiva
besnikëri	lealdade
preku	tocan
preku	están
preku	tocar
preku	a
preku	tocáronme
mbarimi	fin
mbarimi	final
shenjtor	santo
shenjtor	san
ere	cheiro
ere	a
ere	ulir
ere	cheira
ere	ules
ere	vento
ere	do
ere	corda
ere	chupo
mile	milla
kinse	que
gjetkë	outra
njerzore	humanos
njerzore	humana
njerzore	humano
vuajti	sufriron
vuajti	sofre
vuajti	sufrín
darkë	cear
darkë	cea
darkë	a
befasi	sorpresa
befasi	sorprenda
befasi	unha
përshtypjen	impresión
premton	promesa
premton	prometer
premton	prométolle
premton	prometo
premton	prométocho
pen	boli
pen	lápiz
pen	pluma
trurin	cerebrais
trurin	cerebro
trurin	cerebral
sportet	deportes
sportet	deporte
bravo	bravo
touch	tacto
touch	toque
touch	contacto
touch	tocar
touch	toques
rrotullim	dados
rrotullim	o
rrotullim	roll
rrotullim	rolo
shpatën	espada
nxehtësia	calefacción
nxehtësia	calor
nxehtësia	o
dëgjohet	soa
dëgjohet	parece
dëgjohet	sons
dëgjohet	en
dëgjohet	sona
shenim	nota
shenim	a
kërcënim	ameaza
dhimbshme	doloroso
kanioni	canón
princess	princesa
proud	orgullosa
proud	orgullosos
proud	de
proud	orgulloso
proud	fachendoso
eksperiment	experimento
eksperiment	experimentos
mirëkuptim	entender
mirëkuptim	comprensión
mirëkuptim	entendemento
mirëkuptim	comprender
idealet	ideais
ndjesi	sensación
ndjesi	sentir
ndjesi	sentimento
hetimet	investigación
venë	viño
mother	nai
mother	á
mother	mamá
thika	coitelo
thika	navalla
thika	mackie
humori	humor
magjia	maxia
magjia	máxico
magjia	máxica
pushtim	invasión
pushtim	conquista
emocional	emocional
emocional	emocionais
emocional	emotivo
emocional	sentimentais
paster	limpa
paster	limpo
paster	limpar
prirjet	tendencias
holle	no
përmirësimi	mellora
përmirësimi	vexas
përmirësimi	mellor
rojet	gardas
intime	íntimo
intime	íntima
barry	barry
skaj	do
rregullim	arranxo
rregullim	acordo
terrorit	terror
romantik	romántico
romantik	románticos
melodi	melodías
melodi	melodía
hak	vinganza
hak	vingar
ekspertët	expertos
baker	baker
barkun	estómago
barkun	ventre
barkun	barriga
dyshimtë	sospeitosos
kuvajt	kuwait
grurë	trigo
nxehtësi	calefacción
nxehtësi	calor
nxehtësi	o
legjislacionin	lexislación
legjislacionin	a
legjislacionin	lei
emma	emma
kapelë	sombreiro
kapelë	o
kapelë	chapeu
kapelë	sombreiriño
vizatimi	debuxo
politikanët	políticos
bartur	a
bartur	cabo
fabrikat	fábricas
active	activa
active	a
active	activo
active	activos
active	activas
active	militante
gene	xenéticas
gene	xene
gene	xenes
gene	xen
fjalimi	charla
fjalimi	discurso
fjalimi	expresión
fjalimi	fala
postë	correo
postë	envía
postë	envíe
script	guións
script	guión
mesdhetar	mediterráneo
kognitive	neurociencia
ushtare	soldados
ushtare	os
hundë	nariz
hundë	o
hundë	no
wallace	wallace
kritikat	críticas
kritikat	crítica
fruti	froita
gjigande	un
gjigande	xigantes
gjigande	xigante
gjigande	enorme
gjigande	xigantesco
gjigande	pauta
komponent	compoñente
venus	venus
gjenet	xenes
gjenet	os
helm	veleno
shpëtuan	se
shpëtuan	salvado
shpëtuan	a
shpëtuan	salvou
shpëtuan	salvei
shpëtuan	salvaches
propozimi	proposta
propozimi	proposición
konsumatorëve	consumidores
karriere	carreira
karriere	súa
lëkurën	pel
lëkurën	ósos
ftua	convidei
ftua	a
ftua	invitamos
ftua	invitoume
ftua	invitado
ftua	convidado
ftua	convidou
harrohet	esqueceu
harrohet	esqueciches
harrohet	esquecín
karakteret	idiogramas
karakteret	personaxes
ferma	granxa
ferma	a
ferma	campo
ferma	leira
ferma	casa
ferma	reserva
ferma	granxas
edge	do
ateist	ateo
kopenhagen	consenso
kopenhagen	de
kopenhagen	copenhaguen
kopenhagen	copenhague
jona	noso
jona	nosas
jona	nós
jona	nosa
jona	nosos
çaj	té
çaj	tomar
çaj	de
çaj	te
besohej	que
living	vivo
living	vivir
living	vivindo
living	vida
durres	neptuno
dyshimi	dúbida
dyshimi	dubidar
dyshimi	dúbidas
dyshimi	dubido
dyshimi	dubídoo
sweet	sweet
sweet	doces
sweet	doce
mëkati	pecado
askund	onde
askund	calquera
askund	lugar
askund	parte
askund	a
askund	nada
askund	en
askund	ningures
askund	a
hiv	vih
hiv	o
fritz	fritz
komentet	comentarios
katërti	cuarto
katërti	cuarta
katërti	acto
katërti	catro
katërti	infantaría
konsumatorët	consumidores
paketë	paquete
supë	sopa
supë	xantar
hem	xamón
fushatat	campañas
detaj	detalle
detaj	detalles
babës	pai
babës	o
babës	padre
tradhti	unha
tradhti	traizón
tradhti	deslealdade
tradhti	a
pjeset	partes
tare	tare
emocione	emocións
gerald	gerald
sqaron	explica
legjislacioni	lexislación
legjislacioni	a
legjislacioni	lei
çezari	césar
etur	sede
maska	máscara
maska	máscaras
leopardi	leopardo
efektit	invernadoiro
nene	nai
nene	á
nene	mamá
martohen	casar
martohen	con
investuar	investimos
einstein	einstein
gjithnje	sempre
radha	a
bije	filla
susan	susan
gishtin	dedo
gishtin	o
hej	ei
hej	eh
hej	oe
shoqe	amigo
shoqe	amiga
bredhi	árbore
bredhi	tree
bredhi	crosstree
lut	moito
lut	moita
lut	moitos
lut	moitas
aplikacion	aplicación
kurset	cursos
suaj	a
suaj	túa
suaj	teu
suaj	o
suaj	seu
suaj	súa
zemer	bebé
zemer	nena
zemer	rapaz
muskuli	muscular
muskuli	músculo
blerja	mercando
blerja	adquisición
kubë	cuba
kubë	cubana
graviteti	gravidade
graviteti	a
alternativa	alternativa
ruaj	salvar
ruaj	aforrar
ruaj	salvalo
financa	finanzas
perfekte	perfecto
perfekte	perfecta
perfekte	perfectos
pale	pálida
pale	pálido
goditja	impacto
goditja	un
goditja	na
goditja	prazo
goditja	efecto
goditja	mellora
ajrin	aire
ajrin	ar
ndërton	acumúlase
identitet	identidade
absolutisht	realmente
absolutisht	absolutamente
absolutisht	totalmente
absolutisht	é
prove	probar
prove	proba
prove	exame
prove	probas
prove	de
prove	test
prove	exames
fytyrat	rostros
fytyrat	caras
beat	golpearon
qymyr	carbón
jetike	vital
bri	corno
bisha	besta
ndertimin	construír
ndertimin	crear
ndertimin	construir
gjeometrik	xeométricas
pash	vin
pash	viu
pash	vimos
pash	vino
ambasadën	embaixada
birra	cervexa
birra	cervexas
ndjehet	sinto
ndjehet	sentimos
ndjehet	se
ndjehet	sente
ndjehet	séntese
ndjehet	sinte
ndjehet	ben
ndjehet	que
sakrifica	sacrificio
sakrifica	sacrificar
sakrifica	zugue
sakrifica	o
hakmarrja	vinganza
hakmarrja	vingar
shpendi	paxaro
shpendi	aves
shpendi	ave
liza	liza
gjigand	un
gjigand	xigantes
gjigand	xigante
gjeje	que
gjeje	supoño
gjeje	creo
spitalet	hospitais
spitalet	os
salvatore	salvatore
grey	gris
grey	é
kockat	ósos
cash	diñeiro
cash	en
cash	efectivo
cash	contado
cash	cartos
cash	suficiente
cash	cobro
cash	cobrar
mbajtës	titular
proteste	protesto
proteste	protesta
prinderit	pais
prinderit	os
punëtori	traballador
punëtori	social
punëtori	obreiro
punëtori	obreiros
punëtori	parado
veper	acto
veper	actuar
pambuku	algodón
pambuku	de
paisjet	equipamento
ecje	camiñando
ecje	pola
ecje	andar
ecje	andando
ecje	subindo
ecje	camiñaba
ecje	camiñar
ecje	polas
liritë	liberdades
liritë	liberdades
jacob	xacob
fluksi	fluxo
fluksi	transmisión
lopë	as
lopë	vacas
lopë	vaca
bilbili	asubío
bilbili	asubía
përcaktojë	definir
parajsë	ceo
parajsë	deus
parajsë	ceos
parajsë	paraíso
parajsë	o
zëvendësues	substituír
protestë	protesto
protestë	protesta
flutura	bolboretas
martese	casamento
martese	matrimonio
gjigant	un
gjigant	xigantes
gjigant	xigante
doktori	doc
doktori	médico
doktori	doutor
argëtim	ben
argëtim	divertido
argëtim	divertida
argëtim	entretemento
bagëtitë	gando
bagëtitë	vacas
bagëtitë	gado
mbërrin	chega
face	cara
face	rostro
personeli	persoal
ndaluan	parei
ndaluan	de
ndaluan	parou
ndaluan	detívose
ndaluan	paramos
kokërr	gran
algjeri	alxeria
droga	medicamentos
droga	fármacos
droga	drogas
droga	fármaco
droga	medicamento
droga	droga
droga	medicamentos
aspiratat	aspiracións
trazira	antidisturbios
trazira	raciais
trazira	disturbios
interpretues	artista
jorgo	george
jorgo	xurxo
ekzekutimi	execución
kualiteti	calidade
mekatet	pecados
mekatet	agarimosa
mekatet	pecado
votuan	votou
votuan	votaron
ngatërruar	confuso
gjyqin	ensaio
gjyqin	xuízo
gjyqin	proceso
njëmijë	miles
njëmijë	milleiros
njëmijë	mil
njëmijë	de
njëmijë	millar
sens	sentido
sens	ten
qartësisht	claramente
qartësisht	claro
qartësisht	con
qartësisht	claridade
macdonald	macdonald
supozojmë	que
supozojmë	supoño
supozojmë	asumo
trade	comercio
trade	trocar
trade	comercial
trade	oficio
pasigurt	inseguro
papunësisë	paro
dete	mares
dete	alta
dete	mar
qendroi	ficou
qendroi	por
zemre	corazón
zemre	cardíacas
zemre	cardíaca
kërcim	baile
kërcim	bailando
kërcim	bailar
kërcim	bailaba
shperblim	recompensa
vënien	poñer
vënien	poñendo
vënien	pagando
vënien	a
vënien	pór
michele	michele
miratimi	aprobación
miratimi	adopción
abstrakt	abstracta
garda	garda
garda	de
veres	viño
lënduar	dano
lënduar	ferido
pengesat	obstáculos
mbretër	reis
varrezë	cemiterio
buzët	beizos
buzët	os
buzët	boca
vjedhje	roubar
vjedhje	roubando
vjedhje	roubo
vjedhje	invasión
vjedhje	un
vjedhje	roubo
premtim	promesa
premtim	prometer
premtim	prométolle
premtim	prometo
premtim	prométocho
barku	estómago
barku	ventre
barku	barriga
kartat	tarxetas
kartat	cartas
kartat	naipes
kartat	as
kartat	ás
alberti	albert
prezente	presentar
prezente	actual
prezente	presente
prezente	presentes
prezente	agasallo
rezoluta	resolución
makineri	máquina
makineri	lavadora
makineri	maquinaria
makineri	metralladoras
makineri	maquinaria
makineri	máquinas
planifikim	planificación
ekonomikë	económico
ekonomikë	económicas
ekonomikë	o
ekonomikë	económica
rozë	rosas
rozë	rosa
kek	torta
kek	pastel
rreshtat	liñas
rreshtat	de
rreshtat	trincheiras
rreshtat	frases
mrekullia	milagre
bare	reixas
nipin	sobriño
kuptuan	na
kuptuan	conta
begu	bolsa
begu	bolso
begu	maletín
begu	saco
këndshëm	agradábel
ojq	ngo
diagnoza	diagnóstico
diagnoza	diagnose
zyre	oficina
zyre	despacho
zyre	correo
fshatar	campesiño
eksperimenti	experimento
eksperimenti	experimentos
crop	cultivos
nënkuptonte	que
nënkuptonte	dicir
nënkuptonte	para
nënkuptonte	significa
nënkuptonte	quería
emi	amy
babi	pai
babi	papá
babi	pai
babi	papá
rudi	rudi
kancer	cancro
kancer	o
kancer	cáncer
liban	líbano
pasdite	tarde
pasdite	bos
pasdite	tardes
pasdite	serán
miratimit	adopción
won	non
won	vai
won	vou
ndërgjegjshëm	consciencia
ndërgjegjshëm	consciente
rrufeja	canóns
rrufeja	trono
rrufeja	os
rrufeja	tronos
rrufeja	lóstrego
tamam	exactamente
tamam	mesmo
tamam	o
robotët	robots
zgjatet	a
rritë	incremento
rritë	aumento
rritë	a
rritë	incrementar
rritë	aumenta
rritë	aumentar
modest	humilde
modest	humildes
fabrikën	fábrica
fabrikën	fábricas
fabrikën	industriais
kolektiv	colectivo
kolektiv	colectiva
premtimi	promesa
premtimi	prometer
premtimi	prométolle
premtimi	prometo
premtimi	prométocho
beethoven	beethoven
beethoven	novena
veshtire	difícil
veshtire	duro
infeksioneve	infeccións
shikuesit	espectadores
shikuesit	audiencia
sudan	sudán
stina	tempada
stina	de
pin	prendedor
hapsira	espazo
hapsira	espacio
hapsira	no
cerek	cuarto
orizi	arroz
orizi	de
basketball	baloncesto
basketball	básquet
sekuenca	secuencia
paligjshëm	ilegal
kafsha	animais
kafsha	animal
mbajtëse	titular
sundim	conquista
spitale	hospitais
spitale	os
shkatërrim	a
shkatërrim	destrución
shkatërrim	destrucción
rinor	xuventude
rinor	mozos
rinor	a
rinor	mocidade
rinor	francia
rinor	de
pengoi	evitou
kopenhagë	consenso
kopenhagë	de
kopenhagë	copenhaguen
kopenhagë	copenhague
përmirësime	mellora
përmirësime	vexas
përmirësime	mellor
altarin	altar
mostra	mostras
përfaqësim	representación
ndjeu	sentía
ndjeu	sentíame
ndjeu	que
ndjeu	sentín
kopjo	copia
trajnim	formación
trajnim	estudan
trajnim	adestramento
kapitalizmit	o
kapitalizmit	capitalismo
ngarkohet	carguen
drop	lanzamento
babagjysh	santa
pasagjerë	pasaxeiros
lëkure	coiro
lëkure	o
parashikohet	predicir
parashikohet	predín
limoni	limón
mic	micrófono
ekzistencë	existencia
ekzistencë	vida
njerëzimi	a
njerëzimi	humanidade
shpërblehet	recompensado
standart	estándar
standart	de
barrë	carga
pushka	escopeta
pushka	rifle
gazetarët	xornalistas
gazetarët	xornalistas
plumba	balas
plumba	as
fansat	ventiladores
çikago	chicago
kont	contan
kont	contar
kont	conde
kont	con
kont	conta
bandë	banda
bandë	forzados
bandë	morea
bandë	uns
bandë	de
bandë	chea
bandë	grupo
bandë	fato
pagoi	pagar
pagoi	pagou
kërcënimet	ameazas
stabilitet	estabilidade
brooklyn	brooklyn
japonezë	xaponés
japonezë	xaponeses
lokalizuar	atópanse
turma	multitude
turma	masa
turma	vista
turma	xente
borxh	lle
borxh	debo
borxh	debe
borxh	debémosche
borxh	a
borxh	debes
borxh	débeda
trajnimi	formación
trajnimi	estudan
trajnimi	adestramento
kufoma	cadáveres
kufoma	cadáver
kufoma	corpo
mafia	mafia
churchill	churchill
solide	sólida
frymëmarrje	hálito
frymëmarrje	respiro
frymëmarrje	alento
frymëmarrje	respiración
frymëmarrje	folgos
frymëmarrje	tempo
frymëmarrje	respirar
korri	non
korri	vai
korri	vou
eshtra	ósos
kompozimet	composicións
shkel	paso
shkel	un
shkel	escala
sovrane	soberanas
sovrane	soberana
ngrohje	calefacción
ngrohje	calor
ngrohje	o
vizite	visitar
vizite	visita
analogji	analoxía
pakënaqësi	descontento
pakënaqësi	decepción
zemërimi	ira
zemërimi	rabia
zemërimi	odio
drogë	medicamentos
drogë	fármacos
drogë	drogas
reformë	reforma
reformë	reformatorio
sekretet	os
sekretet	segredos
sekretet	poden
sekretet	adoptar
pacientëve	pacientes
pacientëve	os
pacientëve	doentes
nyjet	antros
nyjet	articulacións
nyjet	xiratorias
paqësorit	pacífico
këmbësorisë	infantería
këmbësorisë	infantaría
demokracinë	democracia
fantastik	fantástico
fantastik	fantástica
lejuara	permitiu
lejuara	se
lejuara	permita
lejuara	lles
lejuara	permite
lejuara	non
lejuara	permiten
lejuara	vir
boshe	baleira
boshe	baleiro
boshe	baleiras
boshe	valeiro
fine	ben
fine	moi
fryn	golpes
kriminelët	delincuentes
kriminelët	criminais
kandidatët	candidatos
djal	neno
djal	rapaz
djal	mozo
djal	fillo
djal	tipo
djal	home
meet	con
dëshminë	testemuña
komandë	orde
komandë	motoras
komandë	ordes
komandë	mando
komandë	de
komandë	comando
produktin	produto
fitime	beneficios
fitime	ganancias
dëshpëruar	desesperado
dëshpëruar	e
shpërblime	recompensa
fle	sono
fle	durmir
fle	durme
emërimi	cita
arma	arma
arma	arma
arma	pistola
arma	revólver
sulmohet	atacado
komplot	conspiración
bijat	fillas
kryerja	a
kryerja	dirixir
eugene	eugene
ecte	entrei
ecte	entramos
enjte	xoves
zor	apenas
zor	é
zor	crer
zor	non
zor	dificilmente
zor	case
zor	difícil
zor	apenas
stomak	estómago
stomak	o
dhjete	dez
dhjete	10
hormone	hormonas
vetëdija	conciencia
vetëdija	cognición
vetëdija	consciencia
vetëdija	a
vetëdija	conciencia
vetëdija	da
njejt	mesmo
njejt	mesmas
njejt	mesma
shitës	vendedor
shitës	libro
shitës	máis
shitës	vendido
shitës	vendedor
ekranin	pantalla
ekranin	da
ekranin	ecrán
vitale	vital
hyni	entrar
përfshirja	participación
