sandra	सैंड्रा
lmt	lmt
aptieka	फार्मेसी
ronis	सील
ronis	मुहर
cēzara	सीज़र
oksīdu	ऑक्साइड
cvk	cec
absolūti	एकदम
absolūti	बिलकुल
absolūti	बिल्कुल
tēvam	चचा
tēvam	बाप
tēvam	father
tēvam	पिता
civilā	दीवानी
civilā	सिविल
misisipi	मिसिसिपी
atrisināt	हल
atrisināt	निराकरण
nvs	cis
datori	कंप्यूटर
reģistrētas	पंजीकृत
ieiet	एंटर
ieiet	डालें
drošība	मिलावट
drošība	सुरक्षा
drošība	सुरक्षा
atkarību	निर्भरता
procesora	सीपीयू
procesora	cpu
procesora	प्रोसेसर
atcelt	निरस्त
talantu	प्रतिभा
talantu	हुनर
zīmēšanas	रेखाचित्र
zīmēšanas	ड्राइंग
zīmēšanas	चित्रांकन
zīmēšanas	आरेखण
piens	दूध
piens	मिल्क
avīzē	अख़बार
avīzē	अखबार
avīzē	समाचारपत्र
tavu	आपकी
tavu	आपके
tavu	आपका
tavu	अपने
tavu	अपना
civilās	दीवानी
civilās	सिविल
precīzs	सटीक
precīzs	सटीक
diplomātiskās	राजनयिक
reperis	रैपर
reperis	rapper
trauku	डिश
lerijs	लैरी
parakstīšanas	हस्ताक्षर
rīki	उपकरण
rīki	औज़ार
rīki	टूल
rīki	टूल्स
rīki	गियर्स
intervijā	साक्षात्कार
intervijā	इंटरव्यू
rīkles	गला
yesno	yesno
toyota	टोयोटा
apturēta	निलंबित
atzīmē	नोट्स
atzīmē	नोट
atzīmē	टिप्पणी
atzīmē	टीप
aicina	कॉलिंग
aicina	आमंत्रण
skaitļošanas	कम्प्यूटिंग
aizliegums	बैन
aizliegums	निषेध
klārks	क्लार्क
klārks	क्लार्क
koncepciju	अवधारणा
ieroci	बंदूक
ieroci	गन
slepkavību	कत्ल
slepkavību	मर्डर
slepkavību	हत्या
las	लास
gaga	गागा
samazinājies	गिरे
samazinājies	अस्वीकृत
grenlandes	ग्रीनलैंड
grenlandes	ग्रीनलैंडिक
normandijas	normandy
garšu	taste
garšu	स्वाद
step	चरण
step	स्टेप
step	कदम
veikalā	शॉप
veikalā	दुकान
veikalā	दूकान
pašreizējie	धारा
pašreizējie	मौजूदा
pašreizējie	मौज़ूदा
pašreizējie	वर्तमान
procedūras	प्रक्रियाओं
atlikušās	शेष
atlikušās	बाकी
tuberkulozes	तपेदिक
skeleta	कंकाल
jostas	बेल्ट
porsche	पोर्श
zināt	जानिये
zināt	जानिए
zināt	जान
bazilika	तुलसी
bazilika	बेसिल
dala	विभक्त
dala	विभाजित
izšķilšanās	सेने
izcili	शानदार
izcili	उत्कृष्ट
izcili	बकाया
izcili	उत्कृष्ट
izcili	बेहतरीन
apvienotais	मिलाया
līknes	वक्र
joahims	joachim
zebiekste	रास
konfederāciju	confederations
konfederāciju	परिसंघ
konfederāciju	परिषद
konfederāciju	कनफेडरेशन
tiesneši	न्यायाधीशों
rex	रेक्स
aģents	एजेंट
žurnāliste	पत्रकार
romans	रोमन
pārklājas	ओवरलैप
elektriskais	विद्युत
elektriskais	इलेक्ट्रिक
ieee	आईईईई
atpazīt	पहिचान
mergedtoprow	mergedtoprow
made	बनाया
made	बना
uzrakstīts	लिखी
uzrakstīts	लिखा
taisnstūra	आयत
taisnstūra	चतुर्भुज
taisnstūra	आयताकार
taisnstūra	आयताकार
deklarācijas	घोषणाओं
ūdenskritums	झरने
ūdenskritums	झरना
ūdenskritums	जलप्रपात
personība	पहचान
personība	व्यक्तित्व
intensīva	तीव्र
maņu	संवेदी
pēcnācējiem	संतति
pēcnācējiem	संतान
pēcnācējiem	औलाद
ieslodzījuma	कारावास
ērti	सुविधाजनक
ērti	सहज
ērti	आरामदायक
amsterdamas	एम्सटर्डम
modifikācija	परिवर्धन
gudrības	अकल
gudrības	बुद्धिमत्ता
gudrības	अक्ल
mute	मुख
mute	मुह
mute	मुंह
mute	मुँह
ziemeļi	उत्तर
sarkani	लाल
sarkani	रेड
optisko	ऑप्टिकल
sauss	सूखा
sauss	सूख
sauss	सूखी
sauss	शुष्क
noliktava	गोदाम
sazināties	संपर्क
sazināties	सम्पर्क
praksi	प्रथा
praksi	अभ्यास
nodoklis	कर्तव्य
nodoklis	ड्यूटी
nodoklis	कर
dobumu	कैविटी
kandidatūru	उम्मीदवारी
hop	hop
hop	हॉप
dāma	रानी
dāma	महारानी
dāma	लेडी
dāma	महिला
ražotāji	उत्पादकों
ražotāji	निर्माता
ražotāji	निर्माताओं
solis	चरण
solis	स्टेप
solis	कदम
iedzīvotājs	निवासी
vērts	लायक
kuģniecības	शिपिंग
vakuuma	शून्यता
vakuuma	निर्वात
vakuuma	वैक्यूम
hipotēzi	परिकल्पना
apvienojas	मिलाएं
apvienojas	मिलाएँ
apvienojas	विलय
apvienojas	विलय
palikusi	बायां
palikusi	शेष
palikusi	बाएं
palikusi	बाएँ
apsūdzēja	आरोपी
apsūdzēja	अभियुक्त
florida	फ्लोरिडा
matricas	मैट्रिक्स
matricas	मेट्रिक्स
kopenhāgenā	कोपेनहेगन
kaķiem	बिल्लियां
kaķiem	बिल्लियाँ
kaķiem	बिल्लियों
arheologs	पुरातत्ववेत्ताओं
laulība	शादी
laulība	मैरिज
laulība	विवाह
ieviešana	कार्यान्वयन
ieviešana	क्रियान्वयन
sasniegumu	उपलब्धियाँ
sasniegumu	उपलब्धि
uzskaitītas	सूचीबद्ध
nigērijas	नाइजीरियाई
profesore	प्रोफ़ेसर
profesore	प्रोफेसर
profesore	प्राध्यापक
prefektūra	प्रीफ़ेक्चर
iecirknis	कम्पार्टमेंट
tcp	टीसीपी
muti	मुख
muti	मुह
muti	मुंह
muti	मुँह
gmbh	gmbh
fails	फाइल
fails	फ़ाइल
fails	संचिका
redakcijas	संपादकीय
redakcijas	संस्करण
slovēnija	स्लोवेनिया
slovēnija	स्लोवेनियाई
copa	कोपा
peldēt	तैर
peldēt	तैरने
peldēt	तैरना
solaris	सोलारिस
obama	ओबामा
organizētas	संगठित
marie	मारी
īzaks	इसहाक़
veicinātu	फोस्टर
veicinātu	प्रचार
pelēkas	सलेटी
pelēkas	ग्रे
pelēkas	धूसर
pērkons	गरज
pērkons	थंडर
inspektors	दरोगा
inspektors	इंस्पेक्टर
dejotāja	डांसर
dejotāja	नर्तक
dejotāja	नर्तकी
olimpiskajā	ओलम्पिक
luters	लूथर
vāgners	वेगनर
kursos	पाठ्यक्रम
tuksnesis	रेगिस्तान
tuksnesis	मरुस्थल
atzīti	पहचाना
dziļš	दीप
dziļš	गहरी
dziļš	गहरा
dziļš	गहन
piesaista	आकर्षित
žaunu	gill
žaunu	गिल
dana	दना
dana	दाना
dārziņš	बगीचा
dārziņš	बगीचे
dārziņš	बाग
dārziņš	गार्डन
silvija	सिल्विया
silvija	सिल्विया
izpildītāji	कलाकार
izpildītāji	कलाकारों
sausā	सूखा
sausā	सूख
sausā	सूखी
sausā	शुष्क
sausā	dri
pacientiem	रोगियों
pacientiem	मरीजों
asp	asp
vienādu	यूनिफॉर्म
vienādu	यूनिफार्म
vienādu	वर्दी
mini	मिनी
sekcija	धारा
sekcija	खंड
sekcija	अनुभाग
sekcija	खण्ड
sekcija	बे
sekcija	खाड़ी
adams	एडम्स
ethernet	ईथरनेट
digitālā	डिजीटल
digitālā	डिजिटल
bioloģija	जीवविज्ञान
eļļa	तेल
eļļa	ऑयल
eļļa	आयल
frakcija	हिस्से
frakcija	अंश
frakcija	भिन्न
bahs	बच
atbalstītāji	समर्थक
definīcija	परिभाषा
labāks	बेहतर
palīgā	मदद
palīgā	सहायता
dzīvsudraba	पारद
dzīvsudraba	बुध
dzīvsudraba	पारा
fiksēts	तय
fiksēts	फिक्स्ड
mākslīgais	कृत्रिम
lādiņu	प्रक्षेप्य
cieņu	गरिमा
cieņu	मर्यादा
paplašināta	विस्तारित
paplašināta	विस्तारित
veselas	पूरी
veselas	पूरा
veselas	पूरे
apvalks	अंगरखा
frakciju	गुट
biļetes	टिकट
biļetes	टिकटें
dimantu	हीरा
dimantu	डायमण्ड
dimantu	डायमंड
izplatīšanās	वितरण
izplatīšanās	फैला
izplatīšanās	फैल
izplatīšanās	प्रसार
izplatīšanās	स्प्रेड
atveres	उद्घाटन
nikolass	निकोलस
gadījuma	बेतरतीब
gadījuma	यादृच्छिक
gadījuma	कैज़ुअल
utype	utype
amerikāņi	अमेरिकी
tīra	शुद्ध
tīra	प्योर
tīra	pure
tīra	साफ
baumas	अफवाहें
baumas	अफवाहों
baumas	अफवाह
izabella	इसाबेल
prāga	प्राग
nogulumu	sedimentary
nieres	गुर्दे
nieres	किडनी
nieres	kidney
nieres	गुर्दा
pasākuma	अन्दाज़
pasākuma	माप
patērē	खपत
zālamana	सालमन
zālamana	सोलोमन
zālamana	सुलेमान
apsūdzēts	आरोपी
apsūdzēts	अभियुक्त
reklāma	विज्ञापन
vikingi	वाइकिंग्स
sidnejas	सिडनी
plānā	प्लान
plānā	योजना
muguru	पीछे
muguru	बैक
muguru	पिछे
muguru	वापस
mūris	दीवार
mūris	wall
mūris	वॉल
apzīmējumi	शर्तों
apzīmējumi	शर्तो
apzīmējumi	शर्तें
apzīmējumi	लीजेंड
apzīmējumi	किंवदंती
apzīmējumi	लेजेंड
porto	पोर्टो
turēt	पकड़ो
turēt	थाम
turēt	रखें
turēt	रखना
polo	पोलो
laivas	नौकाएँ
interscope	interscope
mainsnak	mainsnak
vasalis	vassal
eksperimenti	प्रयोग
ievada	परिचयात्मक
clippers	क्लिपर्स
leonards	लियोनार्ड
atpūta	मनोरंजन
atpūta	फुरसत
atpūta	विश्राम
atpūta	अवकाश
atpūta	आराम
atpūta	रेस्ट
atpūta	बाकी
dzemdes	गर्भाशय
dzemdes	कोख
dzemdes	गर्भ
saimnieki	मास्टर्स
saimnieki	होस्ट
gods	इज्ज़त
gods	सम्मान
skaļi	जोर
skaļi	लाउड
algu	वेतन
algu	सैलरी
algu	मजदूरी
uzplaukums	बूम
piramīdas	पिरामिड
piramīdas	पिरामिडों
augstākas	उच्चतर
publikācija	प्रकाशन
publikācija	प्रकाशन
gps	जीपीएस
gps	gps
elo	इल
risinājumi	समाधान
teju	लगभग
uzraudzības	निगरानी
tīrs	शुद्ध
tīrs	प्योर
tīrs	pure
tīrs	साफ
konflikti	विरोध
konflikti	संघर्ष
konflikti	विरोध
sārmu	क्षारीय
sārmu	क्षारीय
mijiedarbība	सहभागिता
mijiedarbība	बातचीत
kritiski	आलोचनात्मक
kritiski	क्रिटिकल
kritiski	महत्वपूर्ण
kritiski	गंभीर
kritiski	नाजुक
markss	मार्क्स
tulkots	अनुवादित
tulkots	अनूदित
nintendo	निन्टेंडो
jfk	jfk
sertificēts	प्रमाणित
sertificēts	सत्यापित
sertificēts	certified
internazionale	internazionale
izvietot	तैनात
piecpadsmit	पन्द्रह
piecpadsmit	पंद्रह
mācīja	सिखाया
tipiski	ठेठ
spartaks	स्पार्टाकस
laukiem	फ़ील्ड्स
laukiem	फील्ड्स
laukiem	फ़ील्ड
urālu	यूराल
mir	मीर
sems	सैम
sems	sam
viltus	गलत
viltus	नकली
viltus	फेक
viltus	fake
apmaiņā	इंटरचेंज
maisījums	मिश्रण
maisījums	मिक्स
maisījums	मिक्सर
maisījums	मिश्रण
maisījums	मिश्रण
automašīna	कार
automašīna	गाड़ी
automašīna	गाडी
automašīna	car
pievienojies	जुड़ें
extra	अतिरिक्त
lēna	lena
lēna	लेना
lēna	धीमे
lēna	धीमा
lēna	स्लो
lēna	मन्द
lēna	slow
plānus	योजनाएँ
amsterdamā	एम्सटर्डम
sīrija	सीरियन
sīrija	सीरिया
sīrija	सीरियाई
jaunieši	जवानी
jaunieši	युवा
jaunieši	युवाओं
jaunieši	युवावस्था
milzīgs	विशाल
milzīgs	जबरदस्त
adatas	सुई
tūre	भ्रमण
tūre	टूर
tūre	दौरे
intensitāte	तीव्रता
ovis	ovis
jūdžu	माइल
jūdžu	मील
kļūmes	असफलताओं
tulkojumi	अनुवाद
allmusic	allmusic
sajūta	feeling
sajūta	अनुभूति
sajūta	भावना
sajūta	अहसास
unikāls	अनोखा
unikāls	अनूठा
unikāls	बेजोड़
unikāls	अद्वितीय
tic	टिक
domāja	सोचा
domāja	विचार
pretinieki	प्रतिद्वंद्वी
pretinieki	विरोधियों
pretinieki	प्रतिद्वंद्वियों
pretinieki	शत्रु
pretinieki	दुश्मनों
alba	अल्बा
garsija	गार्सिया
pieaugušiem	वयस्कों
keita	केट
vienkāršā	सिंपल
vienkāršā	साधारण
vienkāršā	सरल
drēzdenes	ड्रेसडेन
cieš	पीड़ित
cieš	कष्ट
sitiens	गोली
sitiens	शॉट
adrijas	एड्रियाटिक
zemāks	निचला
zemāks	निम्नतर
stratēģiski	रणनीतिक
stratēģiski	सामरिक
stratēģiski	रणनीतिक
haizivs	शार्क
kabeļu	केबल
interjera	आंतरिक
apmatojums	बालों
apmatojums	हेयर
apmatojums	बाल
sadalīšanās	अपघटन
itunes	itunes
cola	कोला
stadija	चरण
stadija	स्टेज
apsūdzības	आरोपों
mantu	डोप
mantu	नशा
rīks	उपकरण
rīks	औज़ार
rīks	टूल्स
rīks	औजार
lokomotīvju	लोकोमोटिव
komunisti	कम्युनिस्टों
komunisti	साम्यवादियों
ģeogrāfisko	भौगोलिक
gruzija	जॉर्जिया
veģetācijas	वनस्पति
imdb	आईएमडीबी
panda	panda
panda	पांडा
zīmols	ब्रांडिंग
zīmols	ब्रांड
degviela	ईंधन
piedāvājums	टेंडर
piedāvājums	बोली
piedāvājums	आपूर्ति
piedāvājums	सप्लाई
piedāvājums	ऑफर
piedāvājums	प्रस्ताव
rīkoties	एक्ट
rīkoties	अधिनियम
aprakstītas	वर्णित
aizmugurējā	पीछे
aizmugurējā	पश्च
stāvus	कतरा
zieds	फूल
zieds	फ्लावर
zieds	पुष्प
novērš	बाधक
novērš	रोकता
raidījums	प्रसारण
raidījums	ब्रॉडकास्ट
caurules	पाइप
caurules	पाइप
caurules	नलिका
caurules	ट्यूब
zobiem	दांत
uzpildes	फिलिंग
uzpildes	भरना
timbaland	टिम्बालैंड
cēloņi	ध्येय
cēloņi	कारण
cēloņi	कल्याणकारी
dziļa	दीप
dziļa	गहरी
dziļa	गहरा
dziļa	गहन
nelaimes	दुर्घटनाओं
filipīnas	फिलीपींस
filipīnas	फिलीपीन
garšas	taste
garšas	स्वाद
garšas	जायके
garšas	जायका
garšas	फ्लेवर
afgāņu	अफगान
dabūt	पाएँ
dabūt	मिलेंगी
lašu	सामन
dzirdēt	सुन
rīts	सुबह
rīts	सवेरा
rīts	morning
magazine	पत्रिका
mākonis	मेघ
mākonis	बादल
denijs	डैनी
pulkstenis	देखिये
pulkstenis	देखना
pulkstenis	देखें
pulkstenis	घड़ी
pulkstenis	क्लॉक
lēcas	लेंस
lēcas	दाल
anastasija	अनास्तासिया
pārvadājumi	परिवहन
pārvadājumi	ट्रांसपोर्ट
pārvadājumi	यातायात
pārvadājumi	हस्तांतरण
gviānas	क्यान
gviānas	गुयाना
tavs	तुम्हारा
tavs	आपका
tavs	तुम्हारी
tavs	आपकी
tavs	आपके
tavs	आपका
tavs	अपने
tavs	अपना
saņemts	प्राप्त
albānija	अल्बानिया
albānija	अल्बानियाई
grafika	ग्राफिक्स
flora	फ्लोरा
svarīgas	महत्वपूर्ण
pārdod	बेचें
pārdod	बेची
līgumi	अनुबंध
līgumi	समझौतों
grūtniecības	गर्भावस्था
pārbaude	सत्यापन
pārbaude	परीक्षा
pārbaude	जांच
pārbaude	जाँच
pārbaude	परीक्षण
pārbaude	निरीक्षण
pārbaude	जाँचें
pārbaude	जाँच
vērtējums	दर्जा
vērtējums	रेटिंग
vērtējums	दरजा
vērtējums	मूल्यांकन
ārpusē	बाहर
astotā	आठवां
astotā	आठवीं
kurss	पाठ्यक्रम
kurss	कोर्स
siltums	गर्मी
siltums	गरमी
siltums	हीट
siltums	ऊष्मा
siltums	ऊष्मा
zīmējumi	कलाकारी
zīmējumi	कलाकृति
kursā	पाठ्यक्रम
kursā	कोर्स
iemācījies	सीखा
iemācījies	सीखे
veselība	सेहत
veselība	स्वास्थ्य
bengālijas	बंगाल
apmeklētājiem	विज़िटर
vēzis	कर्क
vēzis	कैंसर
vēzis	कर्कट
fia	एफआईए
golfa	गोल्फ
golfa	गोल्फ़
telekomunikāciju	दूरसंचार
telekomunikāciju	दूरसंचार
sniegums	निष्पादन
sniegums	प्रदर्शन
infrastruktūra	अवसंरचना
dzēriens	ड्रिंक
dzēriens	पीना
dzēriens	पेय
navbox	navbox
tīkli	नेट
tīkli	नेटवर्क
tīkli	संजाल
relatīvais	संबंधी
relatīvais	रिश्तेदार
relatīvais	सापेक्ष
sagatavot	तैयारी
džimijs	जिमी
džimijs	jimmy
definēts	परिभाषित
definēts	पारिभाषित
equus	equus
mijiedarbības	सहभागिता
mijiedarbības	बातचीत
protokoli	मिनट
protokoli	मिनट्स
protokoli	प्रोटोकॉल
ieradumi	आदतें
asa	asa
salīdzinājums	तुलना
rabīns	रब्बी
pierādījumi	सबूत
pierādījumi	प्रूफ
pierādījumi	प्रमाण
pierādījumi	साक्ष्य
pierādījumi	सबूत
pierādījumi	प्रमाण
apgrozījums	टर्नओवर
karēlijas	कारेलिया
klēts	गोदाम
marokas	मोरक्कन
reģistrācija	रिकार्डिंग
reģistrācija	रिकॉर्डिंग
reģistrācija	रजिस्ट्रेशन
reģistrācija	पंजीकरण
alekss	अलेक्स
alekss	एलेक्स
dzintara	अम्बर
dzintara	अंबर
dzintara	एम्बर
konfederācija	परिसंघ
konfederācija	परिषद
konfederācija	कनफेडरेशन
indukcijas	प्रेरण
rūzvelts	रूज़वेल्ट
tauriņu	तितली
miruši	मर
miruši	मुर्दे
ierobežot	प्रतिबंधित
ierobežot	सीमित
ierobežot	सीमा
briselē	ब्रुसेल्स
briselē	ब्रसेल्स
vagoni	वैगनों
vagoni	वैन
vagoni	कोच
klauss	क्लॉस
klauss	क्लाउस
reālā	असली
reālā	यथार्थ
reālā	रीयल
reālā	वास्तविक
reālā	रियल
imagesize	imagesize
sasniegta	पहुंचा
sasniegta	पहुँचे
sasniegta	हासिल
degunradzis	गैंडा
degunradzis	गैंडे
traģēdija	त्रासदी
nākotni	भविष्य
ieroča	शस्त्र
ieroča	शस्त्रों
ieroča	हथियार
rakstnieki	लेखकों
rakstnieki	लेखक
dokuments	दस्तावेज
dokuments	दस्तावेज़
bruņotajiem	सशस्त्र
bruņotajiem	हथियारबंद
dzejolis	कविता
dzim	जन्मस्थान
izcils	शानदार
izcils	उत्कृष्ट
izcils	बकाया
izcils	उत्कृष्ट
izcils	बेहतरीन
auduma	कपड़ा
stabilitāti	स्थिरता
stunda	घंटा
skulptūru	मूर्तिकला
datubāzē	डाटाबेस
datubāzē	डेटाबेस
identitātes	पहचान
identitātes	पहचान
piemin	mentions
piemin	उल्लेख
ekspozīcija	प्रदर्शन
ekspozīcija	एक्सपोज़र
minimālā	न्यूनतम
jēga	अर्थ
jēga	भाव
paraugi	मॉडल
paraugi	नमूने
paraugi	नमूनों
paraugi	नमूने
zobens	सब्रे
zobens	तलवार
smith	स्मिथ
desmiti	tens
desmiti	दर्जन
benz	बेंज
pframe	pframe
sulas	जूस
sulas	रस
sulas	जूस
sulas	रस
nogādāt	उद्धार
klusais	प्रशांत
teroristu	आतंकवादी
ciematu	गांव
ciematu	गाँव
akadēmiskais	शैक्षिक
akadēmiskais	अकादमिक
korupcijas	भ्रष्टाचार
krēpes	माने
dārzkopības	बागवानी
dārzkopības	horticultural
dārzkopības	बागवानी
valdījumā	कब्जे
valdījumā	कब्ज़ा
viesi	मेहमान
viesi	गेस्ट
viesi	अतिथि
ctx	ctx
indiana	इंडियाना
oksīds	ऑक्साइड
civilizācija	सभ्यता
atslēga	चाबी
atslēga	कुंजी
izplešanās	विस्तार
skaistas	सुंदर
skaistas	सूंदर
skaistas	ब्यूटीफुल
skaistas	खूबसूरत
skaistas	सुन्दर
skaistas	सुंदर
skaistas	सुदंर
skaistas	pretty
cietā	ठोस
pagalmā	आंगन
pagalmā	प्रांगण
pagalmā	आँगन
sargs	गार्जियन
sargs	संरक्षक
sargs	गार्ड
sekunžu	सेकेण्ड
sekunžu	सेकंड
sekunžu	सेकण्ड
sekunžu	सेकेंड
ivo	इवो
slovēņu	स्लोवेनियाई
bataljoni	battalions
spriedumu	निर्णय
termini	शर्तों
termini	शर्तो
termini	शर्तें
unikāla	अनोखा
unikāla	अनूठा
unikāla	बेजोड़
unikāla	अद्वितीय
izņēmumi	अपवाद
izņēmumi	छूटों
stratēģiskā	सामरिक
stratēģiskā	रणनीतिक
konstante	स्थिरांक
konstante	निरंतर
pastāvēšana	वजूद
pastāvēšana	अस्तित्व
skautu	स्काउट
atkārtot	पुनरावृत्ति
atkārtot	रिप्ले
paulu	पाउलो
mīksts	नर्म
mīksts	सॉफ्ट
mīksts	मुलायम
mīksts	नरम
kampaņa	अभियान
konts	खाता
slikta	बेचारी
slikta	बेचारे
slikta	गरीब
slikta	बेचारा
slikta	ग़रीब
slikta	खराब
slikta	ख़राब
netieši	अप्रत्यक्ष
dzirde	सुनवाई
dzirde	सुनने
dzirde	सुनना
pelēkās	सलेटी
pelēkās	ग्रे
pelēkās	धूसर
rafaels	राफेल
skaitās	रिश्तो
lūkas	हैच
piekrīt	स्वीकृत
tipiska	ठेठ
viedokļi	राय
viedokļi	नजारे
viedokļi	दृश्य
efekti	प्रभाव
pole	ध्रुव
spējīgi	सक्षम
noteikšana	डिटेक्शन
jaunība	जवानी
jaunība	युवा
jaunība	युवाओं
jaunība	युवावस्था
sat	बैठा
sat	शनि
sat	शनिवार
sat	सत
emi	ईएमआई
emi	emi
rezervē	आरक्षित
serbijā	सर्बिया
apvienots	संयोजित
apvienots	संयुक्त
apvienots	मिलाया
viesis	मेहमान
viesis	अतिथि
limited	limited
limited	सीमित
ētika	नैतिकता
ētika	आचार
aspekti	पहलुओं
aristotelis	अरस्तू
panama	पनामा
demokrātija	लोकतंत्र
migrācija	प्रवास
migrācija	माइग्रेशन
dzīvokļu	अपार्टमेंट
atkarīgi	आश्रित
atkarīgi	निर्भर
atkarīgi	आसक्त
atkarīgi	व्यसनी
atkarīgi	आदी
tvaiku	भाप
fidži	फिजी
ēnā	छाया
ēnā	शेड
coca	कोका
trūkumi	कमियां
trūkumi	त्रुटियां
trūkumi	खामियां
trūkumi	कमजोरियों
līdzsvaru	बैलेंस
līdzsvaru	संतुलन
pārliecināts	पक्का
pārliecināts	ज़रूर
pārliecināts	निश्चित
pārliecināts	यकीनन
pārliecināts	कायल
konstitūcijā	संविधान
interwiki	interwiki
visaugstākā	सर्वोच्च
visaugstākā	उच्चतम
astotais	आठवां
astotais	आठवीं
bagātību	भाग्य
bagātību	सौभाग्य
inovāciju	नवाचार
inovāciju	नवीनता
uzbrucēji	हमलावर
uzbrucēji	ठोकर
slepkava	जानलेवा
slepkava	हत्यारा
slepkava	killer
slepkava	कातिलाना
slepkava	कातिल
slepkava	क़ातिल
grunts	बॉटम
grunts	तल
grunts	नीचे
tumšs	गहरा
tumšs	अंधेरा
investīcijas	निवेश
investīcijas	निवेश
pārbauda	सत्यापन
pārbauda	सत्यापित
pārbauda	जाँचें
pārbauda	जाँच
ženēvā	जिनेवा
ženēvā	जेनेवा
patiesība	सच
patiesība	सही
patiesība	सच्चा
patiesība	सत्य
patiesība	सच
patiesība	सच्चाई
ila	इला
ieņēmumi	रसीदें
ieņēmumi	आमदनी
ieņēmumi	इनकम
ieņēmumi	आय
ieņēmumi	राजस्व
ieņēmumi	आय
iegūšana	निकालें
iegūšana	निकालना
iegūšana	निष्कर्षण
iegūšana	प्राप्ति
iegūšana	अधिग्रहण
statujas	मूर्ति
statujas	मूर्तियाँ
bordo	bordeaux
bordo	बरगंडी
atļauta	अनुमति
atļauta	अनुमत
trešdaļas	तिहाई
atkarīgas	आश्रित
atkarīgas	निर्भर
saņemšanas	रसीद
veikala	शॉप
veikala	दुकान
veikala	दूकान
velns	डेविल
velns	devil
velns	शैतान
zinu	जानिये
zinu	जानिए
zinu	जान
zinu	ज़ी
taizemes	थाई
pērtiķi	बंदरों
aizstāt	ओवरराइड
aizstāt	बदलें
apvienošanos	मर्जर
godalgas	इनाम
godalgas	पुरस्कार
pārbaudi	जाँचें
pārbaudi	जाँच
benzola	बेंजीन
slavenais	मशहूर
slavenais	प्रसिद्ध
testa	परीक्षा
testa	जांच
testa	जाँच
testa	परीक्षण
sadarboties	साझेदारी
gatavi	तैयार
izplatīt	वितरित
amerika	अमरीका
amerika	अमेरिका
matricu	मैट्रिक्स
matricu	मेट्रिक्स
vērtīga	मूल्यवान
toni	टोन
sabrukšanas	क्षय
emocijas	भावना
emocijas	जज्बात
emocijas	भावनाओं
emocijas	भाव
audzināšanas	परवरिश
palestīnā	परिदृश्य
palestīnā	फिलिस्तीन
rezidences	रेसिडेंसी
izlaist	छोड़ें
izlaist	छोड़
bezkrāsains	colorless
zilonis	हाथी
izstrādājumi	लेख
izstrādājumi	आलेख
izstrādājumi	उत्पाद
