nine	เก้า
dale	เดล
dale	ดล
frontierele	พรมแดน
braț	วงเล็บ
braț	แขน
braț	arm
încerc	พยายาม
forumul	forum
referiri	อ้างอิง
accidental	บังเอิญ
accidental	เผลอ
regnum	regnum
butonul	กระดุม
butonul	ปุ่ม
fenomenele	ปรากฏการณ์
dylan	dylan
pixeli	พิกเซล
lavinia	lavinia
inventatorul	ประดิษฐ์
reacțiile	ปฏิกิริยา
bara	bara
ramurile	กิ่ง
ramurile	สาขา
vida	beef
explorarea	สำรวจ
reclame	โฆษณา
pacificului	แปซิฟิก
pacificului	แปซิฟิค
tunelul	อุโมงค์
buc	พีซ
société	société
protestele	ประท้วง
centură	เข็มขัด
centură	สายพาน
schimburi	กะ
imensă	ใหญ่
sorbona	sorbonne
spider	แมงมุม
liberală	เสรีนิยม
accidentul	อุบัติเหตุ
adâncă	ลึก
adâncă	deep
suleiman	suleiman
impuls	โปรโมท
impuls	กระตุ้น
impuls	โปรโมต
plăcea	ถูกใจ
belgiană	เบลเยียม
belgiană	เบลเยี่ยม
relative	สัมพันธ์
relative	ญาติ
respingerea	ยกเลิก
muntii	ภูเขา
egee	อีเจียน
matrice	matrices
quest	quest
virtuală	เสมือน
blogul	blog
blogul	บล็อก
zboară	ฟลาย
zboară	บิน
întunecat	เข้ม
întunecat	มืด
pavilion	ธงชาติ
pavilion	ธง
pavilion	ศาลา
bangladesh	บังกลาเทศ
holding	ถือ
holding	อุ้ม
hainele	เสื้อผ้า
veri	ญาติ
chirurgicale	ผ่าตัด
picților	pictish
profesorilor	ครู
capra	แพะ
chinezesc	จีน
corps	คอร์ป
agresiv	ก้าวร้าว
agresiv	ดุดัน
selectat	เลือก
egipteni	อียิปต์
thai	ไทย
firul	ด้าย
andrás	andrás
nkvd	nkvd
protagonistul	ตัวเอก
tab	แท็บ
realist	สมจริง
metroul	เมโทร
avantajele	ข้อดี
jena	jena
încercați	ลอง
coreean	เกาหลี
uniformă	ยูนิฟอร์ม
juriul	ลูกขุน
rainer	rainer
soccerway	soccerway
ustring	ustring
recupera	กู้
georgian	จอร์เจีย
inundații	อุทกภัย
demnitatea	ศักดิ์ศรี
eficiența	ประสิทธิภาพ
rotunde	กลม
rotunde	กลมๆ
rotunde	รอบ
bahrain	บาห์เรน
solzi	เกล็ด
solzi	ตาชั่ง
margini	ขอบ
textcolor	textcolor
gramatică	ไวยากรณ์
gramatică	grammar
minele	เหมือง
aluzie	ใบ้
hal	ฮาล
gora	gora
extremadura	extremadura
variația	แปรผัน
pistă	แทร็ก
pistă	แทร็ค
admite	ยอมรับ
vânător	hunter
balcanic	balkan
nicodim	nicodemus
uniform	ยูนิฟอร์ม
lână	ฝอย
diamant	diamond
diamant	ไดมอนด์
diamant	เพชร
jura	สาบาน
rezervor	แท็งค์
rezervor	ถัง
rudă	สัมพันธ์
rudă	ญาติ
alocat	จัดสรร
pachete	แพ็ค
testele	ทดสอบ
bengal	เบงกอล
profesionistă	professional
profesionistă	วิชาชีพ
rush	รัช
rush	รัส
iubitul	lover
iubitul	แฟน
analizează	วิเคราะห์
piata	ตลาด
marini	นาวิก
efectivă	ประสิทธิ์
efectivă	ประสิทธิผล
comunica	สื่อสาร
prizonierii	นักโทษ
prizonierii	เชลย
maxima	สูงสุด
firefox	firefox
gran	ปู่ย่า
baterii	แบตเตอรี่
bomba	ระเบิด
băutură	ดื่ม
kemal	kemal
ciment	ปูน
rupe	พัก
rupe	ฉีก
rupe	rip
cămin	หอพัก
cămin	หอ
administrează	จัดการ
codurile	รหัส
permisă	อนุญาต
poznań	poznań
submarin	ซับ
submarin	ย่อย
submarin	sub
berlinul	berlin
berlinul	เบอร์ลิน
bucuria	joy
bucuria	จอย
severă	รุนแรง
severă	สาหัส
arcuri	สปริง
arcuri	น้ำพุ
arcuri	โบว์
doborât	กระดก
malaezia	มาเลเซีย
lippe	lippe
masterat	มาสเตอร์
concentrată	โฟกัส
concentrată	จดจ่อ
experimentat	ประสบ
capitolele	บท
christos	christos
sos	sos
sos	ซอส
sos	น้ำปลา
încărcare	โหลด
încărcare	อัพโหลด
încărcare	ชาร์จ
philips	philips
gâtul	คอ
gâtul	คอร์
gâtul	คอ
gâtul	คอง
gâtul	ต้นคอ
rebeliunea	กบฏ
kirk	เคิร์ก
neutră	ฉนวน
rossi	รอสซี่
animalia	animalia
ierburi	สมุนไพร
supune	ส่ง
plaza	พลาซ่า
trandafir	rose
trandafir	กุหลาบ
trandafir	โรส
trandafir	โร
vitale	สำคัญ
trimit	ส่ง
toxice	พิษ
cadă	อ่าง
cadă	อ่างอาบน้ำ
maldive	มัลดีฟ
trup	body
trup	ร่าง
trup	กาย
trup	ร่างกาย
decor	ตกแต่ง
cadou	ปัจจุบัน
cadou	พรสวรรค์
mongol	มองโกเลีย
mongol	มองโกเลีย
precisă	แม่นยำ
precisă	แม่นยำ
celula	เซลล์
toxic	พิษ
prietenia	มิตรภาพ
tăcere	เงียบ
domul	โดม
etică	จริยธรรม
etică	จริยธรรม
triunghiul	สามเหลี่ยม
comentariul	หมายเหตุ
conifere	coniferous
hero	วีรบุรุษ
hero	ฮีโร่
crima	อาชญากรรม
motto	คติพจน์
motto	คำขวัญ
limitează	จำกัด
limitează	วงเงิน
cazare	ที่พัก
woods	ป่า
pitică	แคระ
mecanisme	กลไก
zinc	สังกะสี
lentă	ชะลอ
lentă	ช้า
lentă	ช้าๆ
mani	มณี
udine	udine
tran	ราน
tran	ทราน
humboldt	humboldt
rue	rue
tragedia	โศกนาฏกรรม
android	android
comunism	คอมมิวนิสต์
incidente	เหตุการณ์
remarca	หมายเหตุ
brut	หยาบ
biologică	ชีวภาพ
abstract	นามธรรม
highway	ทางด่วน
highway	ทางหลวง
highway	ไฮเวย์
québec	québec
coastele	ซี่โครง
gustaf	gustaf
clone	โคลน
clone	โคลนนิ่ง
clone	โคลน
coroane	มงกุฎ
trase	วาด
rezerva	สำรอง
eddy	eddy
nakhon	นคร
topire	ละลาย
topire	ละลาย
bean	ถั่ว
teatro	teatro
rsr	rsr
grafica	กราฟิก
lgbt	lgbt
clienții	ลูกค้า
atlanticului	แอตแลนติก
litoral	ชายทะเล
istoriografia	historiography
homme	homme
periculoasă	อันตราย
unitară	unitary
sexe	เพศ
simți	รู้สึก
superiori	อธิการ
superiori	superior
routledge	routledge
fernández	fernández
metalul	โลหะ
metalul	เหล็ก
portocaliu	ส้ม
ceramice	เซรามิค
ceramice	ceramic
tragedie	โศกนาฏกรรม
twin	twin
twin	ฝาแฝด
twin	แฝด
lotus	โลตัส
lotus	lotus
sacre	ศักดิ์สิทธิ์
orez	ข้าว
distribuitor	จำหน่าย
preferate	ขวัญใจ
preferate	ชอบ
iad	นรก
înmormântare	ฝัง
tensiuni	ตึงเครียด
tensiuni	ตึง
vinul	ไวน์
vinul	สุรา
interacțiunea	กิริยา
interacțiunea	ปฏิสัมพันธ์
elimină	ลบ
glumă	มุข
glumă	มุก
glumă	ตลก
glumă	อำ
demn	คู่ควร
campus	วิทยาลัย
campus	วิทยาเขต
campus	มหาวิทยาลัย
eng	eng
circle	วงกลม
cupola	โดม
pfalz	pfalz
modulul	โมดูล
datorii	หนี้
datorii	หนี้
cultivă	ฝึกฝน
henriette	henriette
dansatoare	dancer
ideologie	อุดมการณ์
violentă	รุนแรง
etica	จริยธรรม
ofertă	เสนอ
umple	กรอก
umple	เติม
catolica	คาทอลิก
angajată	จ้าง
angajată	ลูกจ้าง
angajată	พนักงาน
exceptând	ยกเว้น
calculat	คำนวณ
simbolică	สัญลักษณ์
ură	เกลียด
indicele	ดัชนี
sânul	อก
citirea	อ่าน
blana	ขน
cucerire	ชัยชนะ
mentale	จิต
postat	โพสต์
piețele	ตลาด
horse	ม้า
mao	เหมา
defini	กำหนด
defini	นิยาม
liturghie	มวล
liturghie	ก้อน
discutie	อภิปราย
poștă	จดหมาย
sfat	ทิป
faith	ศรัทธา
leben	leben
broasca	กบ
diviziunea	ดิวิชั่น
wwf	wwf
lynn	ลิน
procuror	โจทก์
procuror	อัยการ
cache	แคช
tarziu	ดึก
tarziu	ช้า
tarziu	สาย
temporală	ขมับ
aristide	aristide
nascut	เกิด
întăriri	สำรอง
barca	เรือ
spam	spam
spam	สแปม
bare	บาร์
bare	แท่ง
goală	เปลือย
goală	ว่างๆ
goală	ว่าง
inele	วงแหวน
inele	แหวน
executare	ประหาร
goale	โล่ง
goale	ว่างๆ
goale	ว่าง
clopote	ระฆัง
clopote	กระดิ่ง
aripă	ปีก
aripă	วิง
sexul	เพศ
sexul	เพศ
sexul	เซ็กซ์
sexul	sex
sic	ย่ำ
sic	เก๋ง
sic	เก๋
dubla	ดับเบิล
dubla	ดับเบิ้ล
rezista	ขัดขืน
rezista	ต้านทาน
hiv	hiv
prețuri	ราคา
pitic	แคระ
vioara	ไวโอลิน
virgulă	จุลภาค
esztergom	esztergom
impozite	ภาษี
impozite	ภาษี
invitată	เชิญ
cancerul	มะเร็ง
telefonul	โทรศัพท์
pastor	หลวง
auriu	golden
auriu	โกลเด้น
auriu	ทองคำ
auriu	ทอง
auriu	โกลด์
auriu	ทองคำ
gaura	หลุม
gaura	รู
gaura	โพรง
clinice	คลินิก
chang	ชาง
chang	ช้าง
chang	แชง
chang	ชง
limpede	เคลียร์
limpede	ล้าง
limpede	ชัดเจน
continente	ทวีป
operetă	operetta
senegal	เซเนกัล
barbus	barbus
umed	ชื้น
umed	เปียก
umed	เปียก
umed	wet
glory	รุ่งโรจน์
gras	อ้วน
gras	อ้วนๆ
favorit	ขวัญใจ
favorit	ชอบ
groenlanda	กรีนแลนด์
rezolvă	แก้
rezolvă	ไข
trata	ปฏิบัติ
trata	เลี้ยง
lou	ลู
wrocław	wrocław
wikitext	wikitext
urca	ไต่
urca	ปีน
nbc	nbc
scumpe	แพงๆ
scumpe	แพง
por	por
negustor	พ่อค้า
turku	turku
userbox	userbox
explorare	สำรวจ
cădea	ล้ม
cădea	หล่น
cădea	ตก
cădea	ร่วง
mafia	มาเฟีย
mafia	มาเฟีย
poemele	กลอน
foi	ผ้าปูที่นอน
supraviețui	รอด
josh	จอช
sigla	logo
sigla	โลโก้
contestat	พิพาท
contestat	ท้า
pernambuco	pernambuco
ronaldo	ronaldo
onoruri	เกียรตินิยม
degetul	นิ้ว
cloud	เมฆ
ham	แฮม
intermediare	กลาง
branch	สาขา
reper	landmark
mental	จิต
elicopter	เฮลิคอปเตอร์
consolidare	consolidation
sachsen	sachsen
iubită	แฟน
train	รถไฟ
göttingen	göttingen
concluzii	สรุป
lion	สิงโต
lion	ราชสีห์
fantomă	ผี
fantomă	phantom
excelsior	excelsior
augsburg	augsburg
viziuni	นิมิต
viziuni	นิมิตร
recomandată	แนะนำ
gps	gps
sârbii	serbs
recurs	อุทธรณ์
recurs	แย้ง
caritate	ทำบุญ
scheletul	โครง
bancare	ธนาคาร
fișierul	แฟ้ม
cuceri	เอาชนะ
cuceri	พิชิต
dominicană	โดมินิกัน
eve	อีฟ
eve	eve
ser	เซอร์
barbera	barbera
mersul	เดิน
montréal	montréal
omoară	สังหาร
omoară	ฆ่า
blană	ขน
aranjament	แผนผัง
aranjament	layout
asocierea	สมาคม
suferință	ทรมาน
valoroasă	คุณค่า
aleksei	aleksey
nationala	national
nationala	ชาติ
pălărie	หมวก
cox	cox
durabile	ยั่งยืน
durabile	ทนทาน
clinica	คลินิก
ratat	คิดถึง
ratat	พลาด
ratat	แพ้
regulament	ระเบียบ
conac	แมนชั่น
conac	คฤหาสน์
conac	คฤหาสน์
cărămizi	อิฐ
tuberculoză	วัณโรค
adolescent	teen
adolescent	ทีน
oficiu	สำนักงาน
oficiu	ออฟฟิศ
carniola	carniola
ierusalimul	เยรูซาเล็ม
râs	หัวเราะ
râs	หัวเราะ
perechea	คู่
faimoasă	ดัง
chirurgicală	ผ่าตัด
uraniu	ยูเรเนียม
reg	reg
nana	นานา
cbd	cbd
forte	forte
rotundă	กลม
rotundă	กลมๆ
rotundă	รอบ
oxigenul	ออกซิเจน
câinii	หมา
câinii	สุนัข
bal	รอม
curat	ล้าง
curat	สะอาด
curat	clean
israelieni	อิสราเอล
duel	ดวล
inamici	ศัตรู
reparat	ตายตัว
reparat	ซ่อมแซม
cicluri	วงจร
replica	จำลอง
rostov	rostov
importanta	สำคัญ
puntea	สะพาน
puntea	บริดจ์
diagnosticul	วินิจฉัย
playboy	เพลย์บอย
isidore	isidore
săpăturile	excavations
zgomot	เสียง
virtuale	เสมือน
ard	ไหม้
ard	burn
ard	เผา
tematica	ธีม
dansator	dancer
votează	โหวต
fascia	fascia
cartofi	potato
cenușă	แอช
mas	mas
kilograme	กิโลกรัม
kilograme	กิโล
kilograme	ปอนด์
kilograme	ปอน
église	église
sperând	หวัง
arde	เบิร์น
arde	ไหม้
arde	burn
arde	เผา
atitudini	ทัศนคติ
ride	ขี่
tata	พ่อ
întârziere	ล่าช้า
umedă	ชื้น
umedă	เปียก
umedă	เปียก
umedă	wet
ceo	ceo
miniere	เหมือง
spart	แฮ็ค
spart	แฮ็ก
spart	แตก
spart	แตกหัก
spart	พัง
spart	ชำรุด
spart	สลาย
spart	หัก
paie	ฟาง
paie	หลอด
scufundarea	จม
elle	แอล
pál	pál
alfabet	อักษร
göteborg	göteborg
liao	เหลียว
genunchi	เข่า
genunchi	เข่า
curbă	โค้ง
turbo	เทอร์โบ
albano	albano
phantom	phantom
alois	alois
amar	ขื่นขม
amar	ขม
amar	ขมขื่น
amar	amar
ploi	ฝักบัว
ploi	เรน
ploi	ฝน
pluto	พลูโต
duck	เป็ด
tao	เต๋า
tao	เต่า
tao	เทา
tao	tao
burke	burke
burke	เบิร์ก
specificat	ระบุ
temporal	ขมับ
henrik	henrik
stres	ความเครียด
stres	เครียด
hoc	hoc
honda	honda
honda	ฮอนด้า
înger	เทวดา
înger	นางฟ้า
beneficii	ประโยชน์
beneficii	ประโยชน์
palestinian	ปาเลสไตน์
rmn	mri
berthold	berthold
ancheta	สอบถาม
brain	สมอง
intenție	เจตนา
boom	ตูม
boom	บูม
balonul	บอลลูน
balonul	ลูกโป่ง
acoperi	ปก
acoperi	cover
acoperi	ปกปิด
statistica	สถิติ
statistica	สถิติ
scandalul	ฉาว
actualizare	อัพเดต
actualizare	อัปเดต
mere	แอ๊ปเปิ้ล
mere	แอปเปิล
mere	เปิ้ล
mere	แอปเปิล
mere	apple
neagra	ดำ
atrag	ดึงดูด
contestată	พิพาท
confiscate	คร่า
influente	อิทธิพล
femelă	หญิง
sarea	เค็ม
sarea	เกลือ
televizor	โทรทัศน์
televizor	ทีวี
animalul	สัตว์
parisul	paris
parisul	ปารีส
tadeusz	tadeusz
sferă	กลม
siemens	เมนส์
fluid	ของเหลว
cosmos	จักรวาล
mituri	ตำนาน
credite	เครดิต
salvați	บันทึก
salvați	ประหยัด
palate	พระราชวัง
marvel	marvel
circulare	วงกลม
geolog	ธรณีวิทยา
kun	คุง
chef	เชฟ
deutsch	deutsch
cascade	น้ำตก
sbs	sbs
găuri	รู
slăbit	อ่อนแอ
slăbit	อ่อน
centro	centro
seth	เซ็ท
seth	เซธ
seth	เซท
seth	เซ็ธ
moses	โมเสส
belgiene	เบลเยียม
belgiene	เบลเยี่ยม
sărituri	กระโดด
cenzura	เซ็นเซอร์
pasiv	passive
mexicană	เม็กซิโก
ruda	สัมพันธ์
ruda	ญาติ
săpat	ขุด
drew	ดรูว์
drew	ดรูว
tezaur	พจนานุกรม
tezaur	พ้อง
duo	duo
spa	ปาส
spa	ปา
spa	สปา
eriksson	eriksson
reabilitare	บำบัด
talentat	พรสวรรค์
formale	ทางการ
scump	แพงๆ
scump	แพง
favorite	ขวัญใจ
favorite	ชอบ
sen	เซน
sen	เสน
sen	เซ็น
electron	อิเล็กตรอน
citind	อ่าน
rhein	rhein
cuibul	nest
cuibul	รัง
samurai	ซามูไร
săpături	excavations
taxele	ภาษี
diplome	ปริญญา
diplome	องศา
diplome	ประกาศนียบัตร
senzație	รู้สึก
senzație	feeling
wonder	สงสัย
wonder	wonder
usb	usb
intervale	ช่วง
norfolk	นอร์ฟอล์ค
raporturile	อัตราส่วน
papală	สันตะปาปา
psv	psv
durabilă	ยั่งยืน
durabilă	ทนทาน
touch	touch
touch	แตะ
touch	ทัช
touch	สัมผัส
aleea	ซอย
aleea	ตรอก
battista	battista
definesc	กำหนด
definesc	นิยาม
pensionat	เกษียณ
xxii	xxii
seminar	สัมมนา
curbe	โค้ง
misterioasă	ลึกลับ
łódź	łódź
pisici	แมว
stephan	stephan
comoara	สมบัติ
circuite	วงจร
pene	บางเบา
crăciunul	คริสต์มาส
pregătiți	เตรียม
femele	สตรี
hotspur	hotspur
motors	มอเตอร์
naturali	natural
naturali	ธรรมชาติ
jude	จู๊ด
talente	พรสวรรค์
distribuită	แชร์
zori	รุ่งอรุณ
vital	สำคัญ
amestecat	ผสม
axe	ขวาน
lacrimi	น้ำตา
transparent	โปร่งแสง
transparent	โปร่งใส
transparent	โปร่ง
plat	แบน
plat	แฟลต
studiind	เรียน
elevul	ศิษย์
verbale	วาจา
burns	เบิร์น
pârâu	รีก
subdiviziune	subdivision
springer	springer
umiditate	ความชื้น
umiditate	ความชื้น
coeficientul	สัมประสิทธิ์
asiatic	เอเชีย
asiatic	บอล
extrage	คลาย
rainbow	สายรุ้ง
rainbow	เรนโบว์
rainbow	รุ้ง
iberia	iberia
mel	เมล
aprecia	ซาบซึ้ง
pomi	ต้นไม้
ciocan	ค้อน
răni	แผล
răni	บาดแผล
planificată	วางแผน
much	มาก
much	มากมาย
dependent	ติด
terme	terme
contabilitate	บัญชี
racheta	จรวด
medico	นิติ
medico	นิติกรรม
paranteze	วงเล็บ
colorată	สีสัน
așteptare	รอ
galia	กอล
acumulat	สะสม
zăpada	หิมะ
umbre	เงามืด
umbre	เงา
gurile	ปาก
aviator	aviator
ciocolată	ช็อกโกแลต
legendar	ตำนาน
replici	เส้น
replici	บรรทัด
urechile	หู
complot	พล็อต
complot	วางแผน
deutschland	deutschland
nepomuk	nepomuk
citire	อ่าน
citire	อ่าน
înflorire	ดอก
intermediară	กลาง
fabricius	fabricius
curios	สงสัย
conf	conf
tranzit	การขนส่งมวลชน
simfonic	symphonic
moda	fashion
moda	แฟชั่น
fântâni	น้ำพุ
îndrumare	แนวทาง
vermandois	vermandois
cuib	nest
cuib	รัง
rate	อัตรา
rate	เป็ด
aduna	รวบรวม
invită	ชวน
invită	เชิญ
cina	ดินเนอร์
lumini	ไฟ
lumini	แสง
veterinară	สัตวแพทย์
dungi	ลาย
exilul	เนรเทศ
stanislav	stanislav
întârziat	ดึก
întârziat	ช้า
întârziat	สาย
întârziat	ล่าช้า
spielberg	spielberg
dezastrul	หายนะ
inteligentă	ฉลาด
profet	ศาสดา
sufletele	วิญญาณ
sirian	ซีเรีย
amintire	memory
sims	sims
globe	globe
globe	ลูกโลก
escadrila	ฝูงบิน
micii	เล็ก
mascul	ตัวผู้
infracțiuni	อาชญากรรม
gemeni	ฝาแฝด
gemeni	แฝด
înzestrat	พรสวรรค์
ceres	ceres
seul	โซล
ugo	ugo
meteorologice	อุตุนิยมวิทยา
kunst	kunst
clopotele	ระฆัง
clopotele	กระดิ่ง
transferă	โอน
brunei	บรูไน
oxid	ออกไซด์
theobald	theobald
ascultă	ฟัง
haos	วุ่นวาย
spirală	เกลียว
rana	แผล
rana	บาดแผล
schelet	โครง
papale	สันตะปาปา
ceartă	ทะเลาะ
urechi	หู
balon	บอลลูน
balon	ลูกโป่ง
ash	แอช
unanimitate	เอกฉันท์
fulger	ฟ้าผ่า
