orto	orto
beach	plažu
beach	plaža
õiglane	pravedna
õiglane	pravedni
õiglane	pravedno
õiglane	pravedan
õiglane	pošteno
õiglane	sajam
pööre	twist
sõitja	putnik
sõitja	putnika
astrofüüsik	astrofizičar
kliendi	kupac
kliendi	mušterija
kliendi	klijent
kliendi	klijenta
katoliiklased	katolici
pidulik	svečano
võrreldav	usporedive
phillips	phillips
kaas	poklopac
lennata	leti
lennata	fly
lennata	poleti
lennata	muha
lõpetatud	potpuna
lõpetatud	kompletan
lõpetatud	kompletna
lõpetatud	dovršeno
lõpetatud	završena
lõpetatud	završio
lõpetatud	završeno
lõpetatud	završeno
alumiiniumi	aluminij
alumiiniumi	aluminija
yves	yves
ted	ted
abt	abbot
möödub	prolazi
tõlked	prevodi
tõlked	prijevode
camille	camille
claus	mraz
meeldis	voljeni
meeldis	voljena
meeldis	volio
meeldis	volio
liides	sučelje
toll	centimetar
toll	inča
toll	carine
toll	carinu
toll	običaji
toll	carina
tammeka	hrast
tammeka	oak
tammeka	hrasta
cook	kuhar
cook	cook
cook	kuhati
stressi	stres
stressi	stresa
varad	imovine
varad	imovina
amy	amy
kive	kamenje
kive	stijene
kive	kamenje
brüssel	brussels
kaltsiumi	kalcij
kaltsiumi	kalcija
gonzález	gonzález
sigmund	sigmund
suurendatud	povećana
suurendatud	povećan
laienenud	raširene
laienenud	proširene
töölised	radnice
töölised	radnika
töölised	radnici
töölised	radnicima
flash	blic
flash	bljesak
projektid	projekte
projektid	projektima
projektid	projekti
june	lipanj
june	june
june	lipnja
allāh	allāh
parasvöötme	umjerenim
gérard	gérard
konsooli	konzole
konsooli	konzoli
konsooli	konzola
siena	sieni
verona	verona
singapuri	singapuru
rühmitus	grupiranje
käsitöö	letjelice
käsitöö	plovilo
käsitöö	letjelica
käsitöö	obrt
käsitöö	zanat
käsitöö	obrt
religioosne	religiozni
religioosne	vjerska
religioosne	vjerski
religioosne	vjerske
muljet	impresionirati
vincenzo	vincenzo
ülekanne	prijenos
ülekanne	prebacivanje
ülekanne	transfer
ülekanne	premještaj
ülekanne	prijenos
ülekanne	prebaci
ülekanne	emitiranje
mõjud	učinci
mõjud	efekti
arvud	brojke
arvud	figure
määr	stopa
määr	stopi
opositsioon	opozicija
opositsioon	oporbene
opositsioon	oporba
opositsioon	protivljenje
irene	irena
irene	irene
leidmine	pronalaženje
leidmine	nalaženje
leidmine	nalaz
leidmine	pronalazak
üheksas	deveti
üheksas	deveta
mošee	džamije
mošee	džamija
mošee	džamiji
benito	benito
valentina	valentina
mõistab	razumije
revolutsiooniline	revolucionarna
revolutsiooniline	revolucionarni
astuuria	asturija
mitmekesine	raznolik
joonia	jonskom
tervishoid	zdravlje
tervishoid	zdravlja
tervishoid	zdravstveni
tervishoid	zdravstvo
käimine	izlasci
bauer	bauer
näita	pokaži
näita	prikaži
näita	show
budism	budizam
laenatud	posudila
laenatud	posudio
laenatud	posudili
ruumiline	prostorne
ruumiline	prostorno
magma	magme
raudteede	željeznice
raudteede	željeznica
sektor	sektor
sektor	sektora
enterprise	enterprise
keskmised	medij
keskmised	srednje
keskmised	srednji
keskmised	srednja
joone	linija
joone	redak
sõnum	poruku
sõnum	poruka
tiigid	barama
tiigid	bare
beethoven	beethoven
arenema	evoluirati
teadis	znao
città	città
augusta	augusta
biokeemia	biokemija
nielsen	nielsen
fra	fra
jános	jános
hobused	konje
hobused	konjima
hobused	konji
rongi	vlakom
rongi	voz
rongi	vlak
rikkus	bogatstva
rikkus	bogatstva
rikkus	bogastvo
rikkus	bogatstvo
rikkus	uništen
rikkus	uništena
rikkus	uništio
etendus	pokaži
etendus	prikaži
etendus	show
marshalli	marshall
marshalli	maršal
kvalifikatsioon	kvalifikacije
kvalifikatsioon	kvalifikacije
kvalifikatsioon	kvalifikacija
intensiivsus	intenzitet
marss	marsa
marss	mars
springer	springer
teave	informacija
teave	podaci
teave	informacije
signaale	signali
ridades	redove
kõrgele	visoko
kõrgele	visok
kõrgele	visoka
dakota	dakota
rey	rey
dresdeni	dresden
katastroofi	katastrofe
katastroofi	katastrofa
muusikal	glazbeni
muusikal	mjuzikl
nigeri	niger
satelliit	satelitski
satelliit	satelitska
satelliit	satelit
rick	rick
poom	bum
astronaut	astronaut
unenägu	dream
unenägu	san
unenägu	sanjaj
suundumused	trendove
herakles	herkul
herakles	hercules
herakles	herkula
herakles	hercule
aspekte	aspekte
vastastikku	uzajamno
vastastikku	obostrano
andersen	andersen
firmad	korporacija
firmad	korporacije
firmad	firme
firmad	poduzeća
firmad	tvrtke
firmad	kompanije
firmad	firme
michelangelo	michelangelo
võti	tipka
võti	ključ
kliiniline	klinički
väljatöötamine	razvija
väljatöötamine	razvoju
väljatöötamine	razvijanje
välised	vanjski
välised	vanjska
võõras	čudnije
võõras	stranac
tuttav	poznato
tuttav	poznanik
tuttav	poznanstvo
madalamad	donja
madalamad	niže
baltimore	baltimore
päevik	journal
päevik	dnevnik
päevik	dnevnik
platvorm	platforma
platvorm	platformu
paradigma	paradigma
nähtavad	vidljiv
nähtavad	vidljiva
nähtavad	vidljive
nähtavad	vidljivo
nähtavad	vidljivi
emilia	emilia
metallica	metallica
pidu	tulum
pidu	zabava
pidu	stranka
pidu	party
meeleolu	raspoloženje
meeleolu	raspoloženja
alternatiiv	alternativni
alternatiiv	alternativa
alternatiiv	alternativni
alternatiiv	alternativne
hiv	hiv
tarn	tarn
disainitud	dizajnirana
disainitud	dizajnirani
disainitud	osmišljen
disainitud	dizajniran
disainitud	dizajnirao
geneetika	genetika
gov	gov
adolph	adolph
täitnud	ispunjeni
täitnud	ispunjeno
täitnud	ispunjena
täitnud	ispunio
täitnud	ispunila
ingel	anđela
ingel	angel
ingel	anđeo
kohane	primjereno
kohane	prikladno
kohane	prigodno
enrico	enrico
vangistatud	uhvaćena
vangistatud	uhvaćeni
vangistatud	zarobljen
vangistatud	zarobljeni
vaatas	gledao
vaatas	gledali
vaatas	gledala
rev	rev
akna	prozor
maximus	maximus
meelega	namjerno
samsung	samsung
clemente	clemente
variandid	varijante
hüüdnime	nadimak
pühak	sveti
pühak	svetac
pühak	saint
honda	honda
florence	firenca
florence	florence
reporter	novinarka
reporter	novinar
reporter	reporter
geoloogiline	geološki
hampshire	hampshire
jutud	priče
jutud	price
atmosfäär	atmosfera
atmosfäär	atmosferu
lahinguid	bitke
lahinguid	bitaka
sissetulek	prihod
sissetulek	prihodi
sissetulek	primanja
sissetulek	dohodak
ületanud	premašio
lame	stan
lame	ravna
lame	ravan
lame	ravni
elena	elena
elena	elenu
loata	neovlašteno
brand	brand
brand	marka
brand	brend
augustin	augustin
võrgus	online
kasutamata	neiskorištene
hunter	lovac
hunter	hunter
nõutud	tražena
nõutud	tražio
nõutud	potrebna
nõutud	potrebno
moodul	modul
moodul	modula
han	hana
han	han
chapelle	chapelle
täide	uši
mungad	redovnici
sauna	sauna
ameeriklane	američki
ameeriklane	american
ameeriklane	amerikanac
ameeriklane	američka
hinnad	cijene
diktaator	diktatora
diktaator	diktator
meta	meta
lane	lane
armastatud	voljeni
armastatud	voljena
eesistuja	predsjedavajući
ragnar	ragnar
canterbury	canterbury
kulu	cijena
kulu	trošak
kulu	troškovi
tagajärg	posljedica
tagajärg	posljedice
julge	hrabar
julge	hrabar
julge	hrabri
julge	hrabra
julge	odvažan
tasane	stan
tasane	ravna
tasane	ravan
tasane	ravni
mune	jaja
mõjuvõimu	osnaživanje
konkreetsete	specifično
konkreetsete	specifične
konkreetsete	specifičan
konkreetsete	specifična
voyager	voyager
jõulud	božić
plus	plus
baltica	baltica
nõbu	bratić
nõbu	rodica
nõbu	rođak
klaviatuuri	tipkovnica
klaviatuuri	tipkovnice
ökosüsteemi	ekosustava
aurora	aurora
stanislav	stanislav
spencer	spencer
spencer	spenser
kõneleja	govornik
kõneleja	zvučnik
terminoloogia	terminologiju
nokk	kljun
hirv	srna
hirv	jeleni
hirv	jelen
hirv	jelena
jefferson	jefferson
tunnel	tunel
mahajäetud	napuštena
mahajäetud	napušten
mahajäetud	napušteni
mahajäetud	napušteno
kiired	zrake
bagdadi	bagdadu
bagdadi	bagdad
leib	kruh
leib	kruha
lendavad	leti
lendavad	letenje
lendavad	leteći
isabel	isabel
isabel	isabelle
edvard	edvard
secret	tajno
secret	tajni
secret	tajna
laagris	logor
laagris	kamp
laagris	camp
snake	zmija
snake	snake
avaldus	priopćenje
avaldus	izjavu
avaldus	izjava
väiksemaks	manje
väiksemaks	manjim
väiksemaks	manja
väiksemaks	manji
kontor	kancelarija
kontor	ured
oskus	majstorstvo
oskus	vještine
oskus	vještina
oskus	umijeće
emily	emili
emily	emily
aldo	aldo
väljendus	izraz
väljendus	izražavanje
kattis	pokrivena
kattis	pokriven
kattis	pokriveni
kattis	pokriveno
kahur	top
esitus	prezentacije
esitus	predstavljanje
esitus	prezentacija
esitus	nastupe
esitus	nastupi
esitus	izvedbe
paas	postom
paas	posta
tervist	zdravlje
tervist	zdravlja
tervist	zdravstveni
toodang	proizvodnja
toodang	produkcija
dante	dante
bordeaux	bordeaux
nuku	lutka
stsenaarium	scenarij
õigustada	opravdati
kaar	arc
kaar	luk
kaar	luk
kaar	arch
skp	bdp
autod	automobili
autod	auti
oranž	narančasta
oranž	orange
oranž	narančasto
oranž	naranče
ideaalne	savršen
ideaalne	savršeno
ideaalne	idealno
ideaalne	ideal
ideaalne	idealan
ideaalne	idealna
leedulased	litvanaca
ani	ani
serv	rub
serv	rubu
muster	uzorak
muster	obrazac
castle	castle
castle	dvorac
castle	zamak
identiteet	identitet
zhang	zhang
geoffrey	geoffrey
zhou	zhou
ainulaadne	jedinstvena
ainulaadne	jedinstveni
ainulaadne	jedinstveno
ainulaadne	jedinstven
sissetung	invazije
sissetung	invazija
vastuluure	kontraobavještajne
avastamise	otkrivanje
altari	oltaru
altari	oltar
magneesiumi	magnezij
mona	mona
grey	sivo
grey	siva
grey	grey
grey	sivi
teresa	teresa
teresa	tereza
luca	luca
oskused	vještine
oskused	vještina
oskused	vještine
oskused	vještina
oskused	umijeće
solomon	solomon
intervall	interval
oklahoma	oklahoma
oklahoma	oklahomi
leopard	leoparda
leopard	leopard
osaka	osaki
kusagil	negdje
vastused	odgovore
vastused	odgovori
tundeid	osjećaji
tundeid	osjećaje
tundeid	osjećanja
hannah	hannah
hannah	hana
trotski	trocki
järjekord	narudžba
järjekord	poredak
järjekord	naruči
geneetik	genetičar
motoriseeritud	motorizirana
franklini	franklin
karistus	kazna
karistus	penal
karistus	kaznu
karistus	kazna
montgomery	montgomery
aspekt	aspekt
benedict	benedict
filter	filter
filter	filtar
lindi	traka
terje	terje
milton	milton
vinci	vinci
pol	pol
pan	pana
pan	pan
reguleeritud	reguliran
reguleeritud	regulira
lendu	leta
lendu	letu
lendu	let
augsburgi	augsburg
stephan	stephan
abstraktne	apstraktno
plaanitud	planirana
plaanitud	planirao
plaanitud	planirani
plaanitud	planirano
plaanitud	planiran
valle	valle
puudused	nedostatke
puudused	nedostatke
puudused	nedostataka
puudused	slabosti
todd	todd
olympic	olimpijski
olympic	olympic
wilde	wilde
leiba	kruh
leiba	kruha
kontserdid	koncerte
kontserdid	koncerata
newcastle	newcastle
õpetlane	učenjak
volinik	povjerenik
volinik	načelnik
volinik	komesar
pioneer	pionir
ravenna	ravenna
tapab	ubija
arendus	razvoj
raskused	poteškoće
raskused	poteškoća
raskused	poteškoće
raskused	teškoće
sotsialismi	socijalizam
grupid	grupe
nael	noktiju
nael	čavao
nael	nokat
nürnbergi	nürnberg
veerand	četvrtina
veerand	quarter
veerand	četvrt
veerand	četvrtinu
püssi	pušku
püssi	puška
irl	irl
konstrueeritud	konstruirao
anglikaani	anglikanska
mix	mix
mix	miks
vari	sjenka
vari	sjena
vari	senka
vari	sjene
derek	derek
vesinik	vodik
usd	usd
reed	reed
motiiv	motiva
motiiv	motiv
motiiv	funkcija
motiiv	značajka
usbeki	uzbečki
björn	bjorn
björn	björn
veebisait	sajt
adobe	adobe
oswald	oswald
oswald	oswalda
galileo	galileo
liigne	pretjerano
kuuli	metak
evelyn	evelyn
serblased	srbe
serblased	srba
serblased	srbi
serblased	srbima
nahka	koža
nahka	puti
hõim	pleme
hõim	plemena
haydn	haydn
tiiger	tiger
tiiger	tigrica
tiiger	tigar
tiiger	tigre
tiiger	tigre
rostovi	rostov
sood	močvare
bahreini	bahreinu
vega	vega
küljed	strane
winkler	winkler
nõude	tvrde
nõude	tvrdnja
võimed	sposobnosti
võimed	moći
võimed	ovlasti
võimed	powers
võimed	sile
vastukaaluks	protuteža
küllastunud	zasićen
ever	ikada
ever	ikad
raoul	raoul
kile	film
cohen	cohen
oodatud	očekivao
oodatud	očekivano
marilyn	marilyn
osake	čestica
sara	sara
sara	saro
sara	saru
zeus	zeus
energeetika	energija
energeetika	energije
act	akt
act	čin
anto	anto
häda	calamity
parandab	poboljšava
chang	chang
horst	horst
walt	walt
harmoonia	sklad
harmoonia	harmonija
harmoonia	harmony
harmoonia	sloga
harmoonia	harmonike
suhtumist	stavovi
suhtumist	stavove
mahler	mahler
muld	tlo
muld	prljavštine
muld	tla
pinged	napetost
pinged	napetosti
pinged	tenzija
pinged	napetosti
pinged	tenzije
pinged	tenzija
kontroller	upravljač
bock	bock
arve	bil
arve	bill
tõstetud	odgojen
tõstetud	podignuta
austin	austina
austin	austin
klassid	predavanja
klassid	nastava
laser	laser
varese	varese
jessica	jessica
romaane	romane
hardcore	hardcore
informaatika	informatike
informaatika	računarstva
laienemine	proširenja
laienemine	proširenje
laienemine	proširenja
laienemine	širenje
laienemine	proširenje
marguerite	marguerite
delegatsioon	delegacija
delegatsioon	izaslanstvo
molotovi	molotovljev
õiglus	pravda
õiglus	pravdu
õiglus	pravednost
deutschland	deutschland
kolooniad	kolonije
kolooniad	kolonija
ülalt	top
ülalt	vrh
formaat	oblik
formaat	format
berger	berger
hannover	hannover
vöönd	zona
vöönd	zone
pühitsetud	posvećeno
hetk	trenutak
hetk	moment
telefon	mobitel
telefon	telefon
telefon	telefon
carol	carol
arktika	arktički
locke	locke
spektri	spektar
soomlased	finci
mag	mag
minevik	prošlosti
minevik	prošlost
luksemburg	luksemburg
gerard	gerard
teadvus	svijest
teadvus	svijesti
aadel	plemenitost
aadel	plemstvo
faktor	čimbenik
faktor	faktor
tähtkuju	zviježđe
tegur	čimbenik
tegur	faktor
lepingud	ugovori
lepingud	sporazume
lepingud	sporazume
curie	curie
veterinaaria	veterinarski
räägi	pričaj
räägi	govori
valima	odaberite
valima	izaberite
valima	odaberite
valima	odabir
oksad	grana
oksad	grane
portreed	portreta
portreed	portrete
lahkumine	polazak
lahkumine	odlazak
lahkumine	ostavljajući
lahkumine	odlazak
demo	demo
demo	demonstracija
efektiivsus	učinkovitosti
efektiivsus	učinkovitost
efektiivsus	efikasnost
efektiivsus	učinkovitost
efektiivsus	efikasnost
ülesehitus	rekonstrukciju
ülesehitus	obnova
ülesehitus	rekonstrukcija
ülesehitus	struktura
norbert	norbert
esperanto	esperanto
roth	roth
resolutsiooni	rezolucija
resolutsiooni	rezolucije
tuuri	ture
reformid	reforme
reformid	reformi
reformid	reformama
laskemoona	municija
laskemoona	streljivo
laskemoona	municiju
väljund	izlaz
clara	klara
clara	clara
ligipääs	pristup
ligipääs	pristupi
psühholoogiline	psihološka
psühholoogiline	psihološki
ekvatoriaal	ekvatorijalnoj
tsivilisatsiooni	civilizacije
tsivilisatsiooni	civilizacija
saun	sauna
presidendid	predsjednici
komponendi	komponente
komponendi	komponenta
domineerib	dominira
asendus	zamjena
asendus	zamjena
asendus	zamjeni
asendus	zamijeni
davidson	davidson
maksud	porezi
maksud	poreze
maksud	porez
elmo	elmo
päikest	sunca
päikest	sunce
päikest	sunce
võidetud	osvojio
võidetud	pobijedio
võidetud	pobjedio
võidetud	poražen
võidetud	poraženi
mõjukas	utjecajan
laua	stol
laua	tablica
illustraator	ilustrator
harta	povelje
ursula	ursula
nõudmised	zahtjeve
nõudmised	zahtjeva
nõudmised	zahtjevi
nõudmised	zahtjeva
nõudmised	zahtjevi
kriteeriumid	kriterije
kriteeriumid	kriterija
kriteeriumid	kriterij
allkiri	potpis
maas	dolje
ten	desetka
ten	deset
otsustav	odlučan
otsustav	odlučujući
palub	pita
mainis	spomenuto
mainis	spomenuo
meteoroloogia	meteorologije
demokraadid	demokrati
näljahäda	glad
motiivid	motive
motiivid	motiva
motiivid	motivi
vastuvõetud	prihvaćeno
vastuvõetud	prihvatio
vastuvõetud	prihvaćen
vastuvõetud	prihvaćena
vastuvõetud	usvojen
vastuvõetud	usvojena
vastuvõetud	usvojila
teodor	teodor
baleriin	balerina
ipod	ipod
krooniline	kronična
edwards	edwards
kraater	kratera
kraater	krater
leibkonna	domaćinstva
leibkonna	kućanstvu
leibkonna	domaćinstvo
kauge	udaljena
kauge	daleka
kauge	daleke
kauge	udaljeni
kauge	udaljeno
istus	sjedio
istus	sjeo
tapmist	klanje
tapmist	pokolj
claudio	claudio
coli	coli
ajakirjad	dnevnici
ajakirjad	časopisi
ajakirjad	časopise
ajakirjad	časopisi
turner	turner
nähtamatu	nevidljiv
nähtamatu	nevidljivo
nähtamatu	nevidljivi
nähtamatu	nevidljiva
nähtamatu	nevidljivo
haamer	čekić
haamer	hammer
jätkati	nastavak
klubisse	klubove
luxembourg	luksemburg
piip	bip
piip	cijev
piip	cijevi
clément	clément
vastuolud	nedosljednosti
tõstmine	podizanje
tõstmine	dizanje
connor	connor
kilogrammi	kilogram
baer	baer
sas	sas
raamatukogude	knjižnice
raamatukogude	biblioteke
masti	jarbol
kümnes	tenth
kümnes	deseti
jahu	brašna
jahu	brašno
jahu	obrok
jahu	objed
jahu	jelo
täiustatud	poboljšao
täiustatud	poboljšana
täiustatud	napredne
täiustatud	napredno
täiustatud	napredni
täiustatud	napredna
blu	blu
zeusi	zeus
ajad	vremena
ajad	puta
marine	marine
marine	marinac
agentuur	agencije
agentuur	agencija
entomoloog	entomolog
rocca	rocca
mesopotaamia	mezopotamije
tuuleveski	vjetrenjača
karabahhi	karabakh
prima	prima
peegeldab	odražava
natura	natura
blackberry	kupina
blackberry	blackberry
uskumused	uvjerenja
uskumused	vjerovanja
nõid	čarobnica
nõid	čarobnice
nõid	vještica
maandus	sletio
sõltuvust	ovisnosti
sõltuvust	ovisnost
steel	steel
steel	čelik
steel	čelika
isabella	isabella
mozilla	mozilla
saavutab	postiže
teatab	najavljuje
olivier	olivier
eurooplaste	europljani
alexis	alexis
kohtunud	upoznao
legaat	legatus
mürk	otrov
mürk	otrove
mürk	otrov
emilie	emilie
igavesti	zauvijek
heidi	heidi
unustatud	zaboravljeno
unustatud	zaboravljena
unustatud	zaboravljen
unustatud	zaboravljeni
reform	reforme
reform	reforma
reform	reformu
tseremoonia	svečanost
tseremoonia	ceremonija
tseremoonia	ceremoniji
tõlk	prevoditelj
tõlk	prevodilac
tõlk	prevoditelj
tõlk	prevodilac
registrisse	registar
registrisse	registrirati
raadius	radijus
iowa	iowi
kasvajate	tumore
antonius	antonije
antonius	antonija
jesse	jesse
walther	walther
murdis	slomio
murdis	razbio
muudatus	amandman
muudatus	promjena
muudatus	promijeni
nõrgad	slaba
nõrgad	slabo
nõrgad	slabi
nõrgad	slab
einstein	einstein
ice	leda
ice	led
ice	ice
kann	vrč
santi	santi
juur	korijen
tundlik	osjetljivo
tundlik	osjetljiva
tundlik	osjetljiv
tundlik	osjetljive
tundlik	osjetljivi
diplomaatia	diplomacija
diplomaatia	diplomacije
elupaikade	staništa
elupaikade	stanište
väärib	zaslužuje
tõhus	efikasno
tõhus	efikasan
tõhus	učinkovito
tõhus	efikasno
tõhus	učinkovit
tõhus	učinkovito
kalduvus	sklonost
kalduvus	tendenciju
hingamisteede	dišni
täiendav	dodatna
täiendav	dodatno
täiendav	dodatni
täiendav	dodatne
täiendav	komplementarne
värvitud	slikala
värvitud	naslikao
värvitud	obojena
ertshertsog	nadvojvoda
janne	janne
tööriist	alat
rikutud	uništen
rikutud	uništena
rikutud	uništio
rikutud	razmažena
rikutud	prekršio
kohustuse	predanost
kohustuse	obveza
kohustuse	posvećenost
kohustuse	obaveza
protesti	protest
protesti	prosvjed
protesti	protesta
hüppas	skočio
tonga	tonga
edit	uredi
gaboni	gabona
reageerivad	reagirati
vaenlased	neprijatelje
vaenlased	neprijatelji
khan	khan
khan	kan
terra	terra
doc	doc
eeldus	premisa
mitmekordne	višestruko
mitmekordne	višestruki
haute	haute
kandidaadid	kandidati
kandidaadid	kandidatima
kandidaadid	kandidate
dom	dome
girls	cure
girls	djevojke
girls	devojke
césar	cesar
césar	césar
teras	steel
teras	čelik
teras	čelika
benedetto	benedetto
nool	strijela
nool	strelica
nool	strelice
veronika	veronika
tasand	razina
tasand	nivo
tasand	level
eeskiri	propis
eeskiri	propisi
eeskiri	pravilo
allveelaeva	podmornice
allveelaeva	podmornica
detailid	detalji
detailid	pojedinosti
unikaalne	jedinstvena
unikaalne	jedinstveni
unikaalne	jedinstveno
unikaalne	jedinstven
kasvatatud	porastao
kasvatatud	narastao
kasvatatud	narasla
kasvatatud	porasla
kasvatatud	odgojen
kasvatatud	podignuta
kasvatatud	odgojen
bluetooth	bluetooth
järsk	strme
pomm	bomba
automaatne	automatski
automaatne	automatski
automaatne	automatsko
tagama	osigurati
vaene	jadna
vaene	jadan
vaene	jadno
pseudonüüm	pseudonim
loomaarst	veterinar
loomaarst	veterinara
loomaarst	veterinar
loomaarst	veterinara
pidamine	držanje
pidamine	čuvanje
parandamine	unaprjeđenje
parandamine	poboljšanje
parandamine	popravke
parandamine	popravka
parandamine	popravak
parandamine	korekcija
parandamine	ispravak
parandamine	poboljšanja
parandamine	poboljšanje
eile	jučer
popper	popper
hella	hella
polüneesia	polinezijski
polüneesia	polineziji
tagumine	stražnji
rikkumine	kršenje
enrique	enrique
tamara	tamara
rob	rob
rob	robe
rob	roba
basel	basel
lamp	lampu
lamp	svjetiljka
lamp	lampa
võistleja	natjecatelj
betty	beti
betty	betty
kullast	zlatna
kullast	zlato
kullast	zlatni
kullast	gold
kullast	zlata
ellis	ellis
institutsioon	institucije
institutsioon	ustanova
institutsioon	institucija
lint	traka
sissepääs	ulaz
sõrmuse	prsten
kaubamärk	žig
pilvede	oblaci
pilvede	oblake
pilvede	oblaka
hurda	hrt
vilistlased	alumni
philips	philips
preestrid	svećenike
preestrid	svećenici
jälgimine	praćenje
jälgimine	praćenje
väärtuslik	vrijedno
väärtuslik	vrijedni
väärtuslik	vrijedna
ebaselge	nejasno
teaduslikud	znanstveni
teaduslikud	znanstveno
aruba	aruba
argumendi	argument
argumendi	argumenti
konkurents	konkurencija
konkurents	natjecanje
konkurents	nadmetanje
kurjategija	kriminalac
kurjategija	kazneno
teemant	dijamant
teemant	diamond
laava	lave
laava	lavu
laava	lava
kaitsjad	branitelji
kaitsjad	zaštitnici
kaitsjad	čuvari
argumendid	argumenata
argumendid	argumente
argumendid	argumenti
asjaolud	okolnosti
asjaolud	okolnost
asjaolud	okolnosti
regioonide	kor
regioonide	cor
nordisk	nordisk
türklased	turaka
türklased	turci
türklased	turcima
vask	bakra
vask	bakar
theodore	theodore
unistus	dream
unistus	san
unistus	sanjaj
järeldus	zaključak
konsultant	konzultant
konsultant	savjetnik
konstruktsioon	radovi
konstruktsioon	izgradnja
konstruktsioon	konstrukcija
konstruktsioon	gradnja
konstruktsioon	izgradnju
inglased	englezi
ilona	ilona
vaikselt	tiho
kattub	preklapanje
soovitab	preporučuje
soovitab	sugerira
platoo	plato
córdoba	córdoba
malmö	malmö
chuck	chuck
lambert	lambert
silvio	silvio
dialoogi	dijalog
dialoogi	dijalog
süüdistuse	optužba
süüdistuse	tužiteljstva
süüdistuse	tužiteljstvo
vaz	vaz
kristian	kristian
ramón	ramon
seinad	zidovi
