dhe	oraz
kryetari	przewodniczący
kryetari	prezes
kryetari	przewodniczącego
kryetari	prezesie
vendosur	zlokalizowany
vendosur	położony
vendosur	zlokalizowane
pasur	mial
pasur	miałem
pasur	miała
pasur	miał
pasur	bogata
pasur	bogate
pasur	rich
pasur	bogaty
sepse	bo
sepse	ponieważ
sepse	przyczyna
kishin	mial
kishin	miałem
kishin	miała
kishin	miał
vitet	lat
vitet	lata
tre	trzy
fund	spódnicę
fund	spódnicy
fund	zakończenie
fund	koniec
fund	end
marrë	zrobione
marrë	podjęte
tjerë	inne
tjerë	pozostałe
tjerë	inni
harta	mapa
harta	mapy
harta	mapę
harta	mapie
harta	mapy
mbreti	king
mbreti	króla
mbreti	kinga
mbreti	król
midis	między
midis	pomiędzy
vogël	malutki
vogël	malutka
vogël	maleńki
vogël	tiny
vogël	malutkie
kosovë	kosowo
kosovë	kosowa
vjet	lat
vjet	lata
pastaj	wtedy
shtetit	stan
shtetit	state
shtetit	państwo
tiranë	tiranie
kombëtare	krajowa
kombëtare	krajowe
kombëtare	national
kombëtare	narodowy
kombëtare	krajowy
kombëtare	krajowych
emrin	nazwisko
emrin	imię
emrin	nazwa
mori	otrzymała
mori	otrzymana
mori	otrzymano
mori	otrzymany
mori	otrzymane
mori	zabrał
mori	wzięła
mori	wziął
filloi	rozpoczęte
filloi	rozpoczęto
filloi	rozpoczęty
filloi	zaczął
ish	były
ish	poprzedni
ish	dawne
ish	poprzednie
mars	marzec
mars	marca
mars	marsz
mars	marsie
mars	marsa
mars	mars
file	plik
file	pliku
presidenti	przewodniczący
presidenti	prezes
presidenti	prezydent
presidenti	przewodnicząca
presidenti	prezydenci
lindur	urodzony
lindur	urodzona
lindur	urodzone
lindi	lindy
lindi	urodzenia
lindi	poród
lindi	narodziny
kryesore	główne
kryesore	główna
kryesore	main
kryesore	główny
aktualisht	obecnie
aktualisht	aktualnie
qyteti	town
qyteti	miasta
qyteti	miejscowość
qyteti	miasto
qyteti	city
qyteti	miejscowość
qyteti	miasta
qyteti	miasto
politike	polityczny
politike	politycznych
politike	polityczne
politike	polityczna
qershor	czerwca
qershor	june
qershor	czerwiec
pse	dlaczego
maj	majowe
maj	maja
maj	może
maj	majowy
maj	maj
vetë	siebie
nëntor	listopada
nëntor	listopadzie
nëntor	listopad
janar	styczeń
janar	stycznia
janar	styczniu
thotë	mowi
thotë	mówi
shtator	wrzesień
shtator	września
vet	jego
brenda	brenda
brenda	wewnątrz
shteteve	stany
shteteve	stanów
kryesisht	głownie
kryesisht	głównie
kryesisht	najczęściej
kryesisht	przeważnie
kryesisht	głównie
shqiptarë	albańczycy
prill	kwietnia
prill	april
prill	kwiecień
ditë	dnia
ditë	dzień
ditë	dzien
ditë	dni
ditë	days
tetor	październik
tetor	października
shkurt	luty
shkurt	lutego
shkurt	krótki
shkurt	krótkie
shkurt	short
shkurt	krótko
shkurt	krótka
bëhet	staje
vjetër	stare
vjetër	stary
vjetër	old
vjetër	stara
bën	robi
bën	czyni
kodi	kodu
kodi	code
kodi	kod
monark	monarcha
dhjetor	grudzień
dhjetor	grudnia
dhjetor	grudniu
dhjetor	dziesiętny
mbret	king
mbret	króla
mbret	kinga
mbret	król
aktuale	prąd
aktuale	bieżące
aktuale	aktualne
aktuale	bieżący
aktuale	aktualny
gjuhën	język
gjuhën	język
gjuhën	języku
tani	teraz
frëngjisht	francuski
frëngjisht	francuska
frëngjisht	french
frëngjisht	francuskie
km²	km²
shtetet	stany
shtetet	stanów
shtetet	krajów
shtetet	kraje
informacion	informacje
informacion	informacja
shume	bardzo
shume	much
shume	wiele
shume	dużo
gusht	sierpnia
gusht	augusta
gusht	august
gusht	sierpień
shba	stany
shba	ameryka
shba	usa
pranë	blisko
pranë	niedaleko
top	top
top	szczyt
top	góra
korrik	lipca
korrik	lipiec
katër	czterech
katër	cztery
rëndësishme	ważne
rëndësishme	wazne
rëndësishme	ważny
rëndësishme	ważna
fillim	początku
fillim	poczatek
fillim	początek
prishtinë	prisztinie
jashtë	out
përbërja	skład
shën	święty
shën	święta
shën	saint
qytet	town
qytet	miasta
qytet	miejscowość
qytet	miasto
qytet	city
qytet	miejscowość
qytet	miasta
qytet	miasto
këtu	tutaj
dhënë	zważywszy
dhënë	podane
dhënë	podana
dhënë	udzielone
dhënë	przyznana
dhënë	przyznane
dhënë	przyznany
dhënë	przyznano
përdorur	stosowane
përdorur	wykorzystane
përdorur	użyte
përdorur	używana
përdorur	używany
përdorur	używane
faqja	stronę
faqja	stronie
faqja	page
faqja	strona
faqja	strony
aty	tam
nëpër	poprzez
nëpër	przez
krijuar	utworzona
krijuar	utworzony
krijuar	utworzono
krijuar	stworzył
krijuar	utworzone
del	del
zona	strefie
zona	obszar
zona	zone
zona	strefy
zona	strefa
zona	teren
zona	powierzchnia
zona	obszarze
zona	obszar
këshilltarëve	radnych
vit	roku
vit	rok
shpesh	często
shpesh	czesto
shpesh	często
përfshirë	zaangażowane
përfshirë	zamieszany
përfshirë	zaangażowana
përfshirë	zaangażowany
përfshirë	włączone
përfshirë	uwzględnione
megjithatë	jakkolwiek
megjithatë	jednak
megjithatë	jednakże
data	termin
data	randka
data	data
kryesor	główne
kryesor	główna
kryesor	main
kryesor	główny
kryesor	podstawowy
kryesor	pierwotne
kryesor	podstawowej
kryesor	podstawowe
kryesor	podstawowa
emri	nazwisko
emri	imię
emri	nazwa
jane	jane
jane	katarzyna
new	nowości
new	nowe
new	nowość
new	nowy
new	nowa
isbn	isbn
zakonisht	zazwyczaj
zakonisht	zwykle
zakonisht	przeważnie
zakonisht	zazwyczaj
zakonisht	zwykle
reja	nowości
reja	nowe
reja	nowość
reja	nowy
reja	nowa
federal	federalny
federal	federalnej
federal	federalne
federal	federalna
qarkun	hrabstwo
qarkun	okręg
qarkun	hrabstwa
qarkun	powiat
qendër	środek
qendër	centrum
qendër	center
qendër	ośrodek
qendër	centrum
qendër	ośrodek
qendër	centre
ana	ana
ana	anna
ana	ania
republika	republiki
republika	republika
iii	chora
iii	chory
iii	iii
provinca	województwo
provinca	prowincji
provinca	prowincja
der	der
fjalë	słowo
fjalë	slowo
fjalë	slowa
fjalë	słowa
fjalë	słów
ndodhet	zlokalizowany
ndodhet	położony
ndodhet	zlokalizowane
amerikan	amerykańska
amerikan	american
amerikan	amerykański
amerikan	amerykańskie
amerikan	amerykanin
osmane	osmańskiego
pjesa	część
pjesa	częściowo
ndonjë	jakikolwiek
ndonjë	dowolny
ndonjë	jakiekolwiek
caps	czapki
gjë	rzecz
ali	allie
ali	ali
shkruar	napisane
shkruar	pisemne
shkruar	napisano
shkruar	zapisane
kulturore	kulturowe
kulturore	kulturalny
kulturore	kultury
kulturore	kulturalne
mesme	środek
mesme	środkowy
mesme	środkowa
mesme	średnio
mesme	średnie
mesme	średni
mesme	średnia
shqip	albanii
numër	numer
numër	liczba
atëherë	wtedy
bazë	baza
bazë	podstawa
bazë	base
bazë	bazy
bazë	podstawowe
bazë	podstawowego
bazë	podstawowy
bazë	podstawowa
kohe	czasu
kohe	czas
ndërtuar	zbudowany
ndërtuar	wybudowany
ndërtuar	zbudowane
ndërtuar	zbudowano
ndërtuar	zbudowana
ndërtuar	zbudować
ndërtuar	budować
ndërtuar	budowanie
nëpërmjet	via
nëpërmjet	poprzez
nëpërmjet	przez
solid	stałe
solid	solidne
solid	solidna
solid	solidny
fshati	wiosce
fshati	wioska
fshati	village
fshati	wioski
fshati	wieś
vite	lat
vite	lata
forcat	sił
forcat	siły
vdiq	zmarł
sipërfaqja	hull
sipërfaqja	kadłuba
sipërfaqja	kadłub
jug	południe
atyre	je
atyre	ich
atyre	im
lidhur	podłączone
lidhur	powiązane
lidhur	połączony
lidhur	połączone
lidhur	związane
lidhur	połączone
lidhur	powiązane
lidhur	związany
lidhur	związana
ushtarake	wojskowy
ushtarake	wojsko
ushtarake	wojskowe
ushtarake	wojska
veri	północnej
veri	północ
veri	north
papa	papież
papa	pope
papa	papieża
popullore	popularny
popullore	popularnych
popullore	popularne
popullore	popularna
numri	numer
numri	liczba
atij	go
vepra	opus
vepra	czyny
vepra	działa
vepra	prace
vepra	dziala
asaj	jej
asaj	ją
vërtetë	real
vërtetë	prawdziwy
vërtetë	prawdziwe
vërtetë	naprawdę
përmes	via
përmes	poprzez
përmes	przez
përdoret	stosowane
përdoret	wykorzystane
përdoret	użyte
përdoret	używana
përdoret	używany
përdoret	używane
dha	dały
dha	dał
arriti	dotarły
arriti	przybyła
arriti	przybyli
arriti	przybył
botë	świat
botë	swiat
botë	świata
botë	świecie
botë	world
ndërkombëtare	international
ndërkombëtare	międzynarodowe
ndërkombëtare	międzynarodowy
ndërkombëtare	międzynarodowych
ndërkombëtare	międzynarodowa
shqipëria	albania
shqipëria	albanii
sidomos	zwłaszcza
sidomos	szczególnie
tretë	trzecia
tretë	trzeci
tretë	trzecie
veriore	północ
veriore	północna
veriore	północne
veriore	północnej
veriore	północny
merr	weź
merr	brać
merr	bierz
formë	kształt
formë	kształtu
formë	postać
formë	forma
formë	formularz
formë	formy
formë	formularza
kisha	kościoły
kisha	kościoła
kisha	kościół
kisha	church
veçantë	specjalna
veçantë	specjalny
veçantë	specjalne
veçantë	wyjątkowy
veçantë	szczególne
shteti	ojczyzna
shteti	kraje
shteti	kraju
shteti	kraj
shteti	państwo
shteti	stan
shteti	state
shteti	państwo
vende	lokale
vende	miejsca
vende	miejsc
vende	fotele
vende	siedzenia
ndeshje	mecz
ndeshje	dopasowanie
njerëzit	ludzi
njerëzit	osoby
njerëzit	people
njerëzit	ludzie
ende	nadal
ende	wciąż
ende	jeszcze
maqedonisë	macedonii
maqedonisë	macedonia
shënoi	zdobył
shënoi	oznaczone
shënoi	oznaczono
shënoi	zaznaczone
shënoi	oznaczony
fitoi	wygrane
fitoi	won
fitoi	wygrał
vendi	ojczyzna
vendi	kraje
vendi	kraju
vendi	kraj
vendi	państwo
vendi	miejsce
http	http
faqe	policzek
faqe	stronę
faqe	stronie
faqe	page
faqe	strona
faqe	strony
faqe	stron
faqe	strony
jeta	zycie
jeta	life
jeta	życia
jeta	dożywocie
jeta	życie
popullsia	populacja
popullsia	populacji
popullsia	ludność
shqiptarët	albańczycy
kryetar	głośnik
kryetar	mówca
kryetar	burmistrz
kryetar	burmistrza
kryetar	przewodniczący
kryetar	prezes
kryetar	przewodniczącego
kryetar	prezesie
luajtur	grało
luajtur	grał
luajtur	zagrali
shtëpi	house
shtëpi	domu
shtëpi	dom
shtëpi	domu
shtëpi	dom
gjuhë	języki
gjuhë	języków
gjuhë	język
gjuhë	język
gjuhë	języku
historike	zabytkowy
historike	historyczne
historike	historycznej
historike	historyczny
historike	historyczna
historike	historyczne
historike	historyczny
historike	historyczna
fetare	religijny
fetare	religijnych
fetare	religia
fetare	religijna
fetare	religijne
perëndimore	zachodnia
perëndimore	west
perëndimore	zachodni
perëndimore	zachód
perëndimore	zachodnia
perëndimore	zachodni
perëndimore	zachodnie
perëndimore	western
tri	tri
tri	trzy
shembull	przykładowy
shembull	przykładowe
shembull	przykład
ekonomike	gospodarcza
ekonomike	ekonomiczne
ekonomike	gospodarcze
ekonomike	ekonomiczna
ekonomike	ekonomiczny
ekonomike	ekonomiczna
ekonomike	ekonomiczny
tilla	taki
tilla	takie
saint	święty
saint	święta
saint	saint
plotë	pełna
plotë	full
plotë	pełen
plotë	pełne
plotë	pełny
rajoni	region
rajoni	regionie
rajoni	regiony
rajoni	regionu
rajoni	okręg
rajoni	dzielnicy
rajoni	dystrykt
rajoni	dzielnica
rajoni	rejon
rajoni	powiat
shqiptarëve	albańczycy
shkolla	szkół
shkolla	szkoły
shkolla	szkoły
shkolla	szkoła
afër	blisko
afër	niedaleko
afër	zamknij
afër	blisko
drejt	prosto
lindje	wschodnie
lindje	east
lindje	wschód
lindje	wschodni
lindje	wschodnia
historia	historia
historia	story
historia	opowieść
historia	zdarzenie
historia	opowiadanie
historia	historia
historia	historii
historia	historię
film	filmu
film	film
film	filmy
film	folia
film	film
figura	obrazek
figura	obraz
figura	wizerunek
figura	figury
figura	liczby
figura	rysunek
figura	figura
zoti	bóg
zoti	boże
zoti	panie
kosova	kosova
kosova	kosowo
kosova	kosowa
gjuha	język
gjuha	język
gjuha	języku
studimet	studia
studimet	badania
studimet	studiów
familje	rodzina
familje	rodziny
familje	rodzinne
familje	rodzinka
familje	rodzinnie
duket	wygląda
duket	wygląd
tha	powiedział
tha	said
fillon	uruchamianie
fillon	zaczyna
fillon	rozpoczęcie
fillon	zaczynamy
fillon	początek
anë	side
gjerë	szeroki
gjerë	szeroka
gjerë	szeroko
gjerë	szerokie
greke	grecki
greke	grecka
greke	grecja
greke	greckie
qëllim	celu
qëllim	cel
qëllim	przeznaczenie
city	city
city	miejscowość
city	miasta
city	miasto
tempulli	świątynia
tempulli	świątynie
tempulli	temple
tempulli	świątyni
kane	kane
von	von
lufta	wojnę
lufta	wojna
lufta	wojny
lufta	war
rast	case
rast	sprawa
rast	przypadek
vjen	przychodzi
vjen	przybywa
vjen	przyjdzie
grupi	band
grupi	pasmo
grupi	zespołu
grupi	zespół
grupi	grupie
grupi	grupy
grupi	grupa
pare	widziałem
pare	widziane
pare	widziany
itali	włochy
arritur	zrealizowane
arritur	osiągnięta
arritur	osiągnięte
arritur	osiągnięto
arritur	osiągnięty
arritur	osiągnięta
arritur	osiągnięte
arritur	osiągnął
arritur	osiągnięto
arritur	osiągnięty
shumica	większość
shumica	większości
rëndësishëm	instrumentalny
svg	svg
shkencore	naukowy
shkencore	naukowa
shkencore	naukowe
autor	autor
autor	autora
autor	autorka
përpara	naprzód
përpara	zanim
përpara	przed
përpara	wcześniej
tregon	wskazuje
tregon	pokazy
tregon	pokazuje
tonë	nasz
tonë	nasza
tonë	nasi
tonë	nasze
tonë	our
njerëz	ludzi
njerëz	osoby
njerëz	people
njerëz	ludzie
jugore	południowa
jugore	południowej
jugore	southern
jugore	południowe
botuar	opublikowane
botuar	opublikowany
botuar	opublikowano
botuar	publikacja
botuar	publikowane
pesë	pięciu
pesë	pięć
anëtar	członka
anëtar	członkowskie
anëtar	członkiem
anëtar	członek
lloji	rodzaj
lloji	rodzaj
lloji	wpisz
lloji	typ
emër	rzeczownik
emër	nazwisko
emër	imię
emër	nazwa
ibn	ibn
grup	grupie
grup	grupy
grup	grupa
mali	górski
mali	mountain
mali	góra
mali	góry
mali	mount
mali	góra
mali	mali
zhvillimin	rozwój
zhvillimin	rozwoju
zhvillimin	opracowywanie
zhvillimin	opracowanie
und	und
john	jan
john	johna
john	janek
john	john
john	jana
vendet	fotele
vendet	siedzenia
vendet	lokale
vendet	miejsca
vendet	miejsc
vendet	krajów
vendet	kraje
poshtë	dół
poshtë	niżej
poshtë	poniżej
poshtë	dół
poshtë	dno
poshtë	dnie
poshtë	dole
poshtë	dolna
fjala	słowo
fjala	slowo
qendrore	centralnego
qendrore	central
qendrore	centralny
qendrore	środkowa
qendrore	centralne
qendrore	centralna
jep	oddaje
jep	nadaje
jep	daje
jep	dotacje
jep	dotacji
jep	stypendia
jep	zapewnia
jep	dostarcza
jep	dawać
jep	dajesz
jep	daj
wikipedia	wikipedia
bashkë	razem
bashkë	wspólnie
hershme	wczesny
hershme	wczesna
hershme	wcześnie
hershme	wczesne
jugut	południe
lindore	wschodnie
lindore	wschód
lindore	wschodni
lindore	wschodniej
lindore	wschodnia
përfshinë	włączone
përfshinë	uwzględnione
italia	włochy
qarqet	kółka
qarqet	okręgi
qarqet	kółko
qarqet	kręgi
qarqet	obwody
qarqet	dzielnice
qarqet	okręgi
qarqet	okręgów
punë	zlecenie
punë	pracy
punë	praca
punë	pracuj
punë	prace
punë	pracy
punë	praca
punë	roboty
hapur	otwórz
hapur	otwarte
hapur	otwarty
hapur	otwarte
njihet	znani
njihet	znany
njihet	znana
njihet	znane
qendra	środek
qendra	centrum
qendra	center
qendra	ośrodek
qendra	centrum
qendra	ośrodek
qendra	centre
libri	książkę
libri	książka
libri	książki
libri	księga
romake	rzymski
romake	roman
romake	rzymskie
shquar	odróżnić
shquar	wybitny
caktuar	przypisana
caktuar	przydzielony
caktuar	przypisano
caktuar	przypisany
caktuar	przypisane
administrative	administracyjna
administrative	administracyjny
administrative	administracyjne
pati	patty
pati	patti
burimi	źródło
burimi	źródła
burimi	zasoby
burimi	zasobów
burimi	zasób
sistemi	układ
sistemi	systemu
sistemi	system
sistemi	systemowe
politik	polityczny
politik	politycznych
politik	polityczne
politik	polityczna
fushë	dziedzina
fushë	pole
fushë	boisko
fushë	pola
fushë	field
shtëpia	domu
shtëpia	dom
shtëpia	house
shtëpia	domu
shtëpia	dom
kete	tym
ora	czasu
ora	czas
ora	ora
ora	zegar
gola	bramki
gola	cele
gola	celów
gola	bramek
serbe	serbem
serbe	serbski
detit	morza
detit	morze
burim	źródło
burim	źródła
njeri	ludzkie
njeri	ludzka
njeri	ludzki
njeri	człowiek
njeri	human
njeri	człowieka
njeri	mężczyzna
njeri	człowiek
njeri	man
not	pływania
not	pływanie
faqet	stron
faqet	strony
faqet	policzki
ate	go
lirë	luzem
lirë	luźno
lirë	luźne
lirë	tania
lirë	tanio
lirë	tani
lirë	tanie
lirë	taniej
lirë	wolne
lirë	wolna
lirë	wolny
lirë	bezpłatne
lirë	free
bardhë	biel
bardhë	białe
bardhë	white
bardhë	biała
bardhë	biały
komuniste	komunistycznej
komuniste	komunistą
komuniste	komunistyczna
komuniste	komuniści
gjermane	niemiecka
gjermane	niemcy
gjermane	niemieckim
gjermane	niemieckie
gjermane	niemiecki
ujë	woda
ujë	wody
zhvilluar	rozwijane
zhvilluar	rozwiniętych
zhvilluar	opracowane
zhvilluar	rozwinięte
zhvilluar	opracowany
rrethi	kręgu
rrethi	okrąg
rrethi	koło
rrethi	krąg
rrethi	circle
koha	czasu
koha	czas
letrare	literackie
tokë	earth
tokë	ziemi
tokë	ziemia
tokë	kraina
tokë	land
tokë	ląd
tokë	grunty
tokë	ziemia
histori	historia
histori	story
histori	opowieść
histori	zdarzenie
histori	opowiadanie
histori	historia
histori	historii
histori	historię
kreu	head
kreu	głowę
kreu	głowy
kreu	glowy
kreu	głowa
njeriu	mężczyzna
njeriu	człowiek
njeriu	man
gjendje	sytuacje
gjendje	sytuacji
gjendje	sytuacja
gjendje	warunek
gjendje	stan
amerikane	amerykańska
amerikane	american
amerikane	amerykański
amerikane	amerykańskie
amerikane	amerykanin
krye	top
krye	szczyt
krye	góra
tirana	tiranie
veprat	czyny
vendos	ustaw
vendos	set
vendos	zestaw
vendos	komplet
vendos	zdecydować
mbajtur	utrzymywane
mbajtur	utrzymane
mbajtur	utrzymywane
mbajtur	utrzymana
mbajtur	zachowane
mbajtur	trzymane
mbajtur	trzymany
com	com
com	kom
madje	nawet
colspan	colspan
përfshin	zawiera
përfshin	obejmuje
george	jerzego
george	jerzy
george	grzegorz
george	george
elektrike	elektryczny
elektrike	elektryczne
elektrike	elektryczny
elektrike	elektryczne
elektrike	electric
luftë	wojnę
luftë	wojna
luftë	wojny
luftë	war
arsye	powody
arsye	przyczyny
arsye	powody
arsye	powodu
arsye	przyczyna
arsye	powód
punuar	działał
punuar	pracował
punuar	działało
punuar	pracowała
punuar	zadziałało
punuar	pracujący
punuar	pracujemy
perëndim	zachodnia
perëndim	west
perëndim	zachodni
perëndim	zachód
fëmijë	dzieci
fëmijë	dzieciaki
fëmijë	dziecko
fëmijë	child
fëmijë	dzieci
malit	górski
malit	mountain
malit	góra
malit	góry
qarku	hrabstwo
qarku	okręg
qarku	hrabstwa
qarku	powiat
qarku	obwody
qarku	obwód
autori	autor
autori	autora
autori	autorka
shtrihet	rozszerza
vete	siebie
mira	mira
mira	meera
verore	summer
verore	letnie
verore	letni
verore	lato
ushtarak	wojskowy
ushtarak	wojsko
ushtarak	wojskowe
ushtarak	wojska
san	san
përsëri	ponownie
përsëri	znowu
evropian	europejska
evropian	europejski
evropian	europejskiej
evropian	europejskie
evropian	european
vendbanim	rezydencja
familja	rodzina
familja	rodziny
familja	rodzinne
familja	rodzinka
familja	rodzinnie
larg	daleki
larg	dalekie
larg	dala
princi	książę
princi	prince
kaluar	przeszłość
kaluar	przeszłości
kaluar	zdał
kaluar	przeszedł
kaluar	minęło
pikë	punkty
pikë	punktów
pikë	punkt
pikë	pkt
pikë	point
qeveria	rządowe
qeveria	rząd
qeveria	rządowy
nobel	nobla
rolin	rola
rolin	rolę
rolin	roli
rolin	role
jugosllave	jugosłowiańska
jugosllave	jugosłowiańskiej
mal	górski
mal	mountain
mal	góra
mal	góry
mal	mal
vetem	samotnie
vetem	sama
vetem	sam
vetem	tylko
vetem	tylko
drejtë	prosto
drejtë	prawo
aktor	aktora
aktor	aktor
italian	włoska
italian	włochy
italian	włoski
italian	włoch
italian	włoskie
skeda	karcie
skeda	karta
luajti	grało
luajti	grał
luajti	zagrali
gjashtë	szóstka
gjashtë	six
gjashtë	sześć
universiteti	uniwersytety
universiteti	uniwersytetu
universiteti	university
universiteti	uczelnia
universiteti	uniwersytet
gjetur	znaleziona
gjetur	znaleziony
gjetur	znaleziono
gjetur	znalazł
gjetur	znalezione
radio	radia
radio	radio
radio	radiowy
formuar	utworzony
formuar	utworzona
formuar	utworzone
mbretëresha	królowej
mbretëresha	królowa
mbretëresha	queen
mbretëresha	królowo
mbretëresha	królową
italiane	włoska
italiane	włochy
italiane	włoski
italiane	włoch
italiane	włoskie
përshkrimi	opis
rrugë	street
rrugë	ulica
rrugë	ulicy
rrugë	drogowy
rrugë	drogi
rrugë	drodze
rrugë	droga
rrugë	road
gjerman	niemiecka
gjerman	niemcy
gjerman	niemieckim
gjerman	niemieckie
gjerman	niemiecki
lashtë	starożytny
lashtë	starożytnych
lashtë	starożytni
lashtë	starożytna
lashtë	starożytne
perandoria	imperium
perandoria	empire
poezi	wiersz
poezi	poezji
poezi	poezja
poezi	wiersze
evropiane	europejska
evropiane	europejski
evropiane	europejskiej
evropiane	europejskie
evropiane	european
drejtim	kierunku
drejtim	kierunek
luan	luan
luan	lwa
luan	lew
luan	odtwarzanie
luan	granie
luan	gra
artistike	artystyczna
artistike	artystyczne
artistike	artystyczny
mundur	możliwy
mundur	mozliwe
mundur	możliwa
mundur	możliwe
mundur	pokonany
mundur	pokonał
mundur	pokonani
atje	tam
brendshme	wnętrze
brendshme	wnętrz
brendshme	wnętrza
brendshme	wewnętrzne
dita	dita
dita	dnia
dita	dzień
dita	dzien
shpejt	niedługo
shpejt	wkrótce
shpejt	szybkie
shpejt	szybki
shpejt	szybka
shpejt	szybko
shpejt	szybko
shpejt	szybkie
shpejt	szybki
shpejt	szybko
natyrore	naturalne
natyrore	naturalny
natyrore	naturalnych
natyrore	naturalna
veriut	północnej
veriut	północ
veriut	north
veriut	północ
veriut	północna
veriut	północne
veriut	północnej
veriut	północny
ndryshe	inna
ndryshe	różne
ndryshe	inny
ndryshe	różnych
