kleinste	کوچکترین
designer	نگارنده
designer	designer
möge	می
möge	مه
möge	تا
verstand	ذهن
verstand	mind
türen	گیت
türen	گیتس
türen	درها
valentin	والنتین
valentin	والنتاین
valentin	ولنتاین
begegnungen	رویارویی
begegnungen	دیدار
brandt	برانت
oklahoma	اکلاهما
ignoriert	چشمپوشی
überwachung	پایش
überwachung	نظارت
überwachung	نظارت
überwachung	نمایشگر
überwachung	مانیتور
überwachung	بزمجه
überwachung	نظارت
überwachung	سرپرستی
überwachung	نظارت
überwachung	نظارتی
achter	هشتم
achter	هشتمین
chinesisch	سینو
chinesisch	چینی
gerechtigkeit	عدالت
gerechtigkeit	عدل
gerechtigkeit	پرهیزکاری
gerechtigkeit	شایسته
gerechtigkeit	تقوی
gerechtigkeit	عدل
gerechtigkeit	انصاف
bett	تخت
bett	تختخواب
bett	بستر
bett	رختخواب
verlangen	خواهان
verlangen	طالب
verlangen	میل
verlangen	هوس
verlangen	تقاضای
verlangen	دلم
schreibe	نوشت
schreibe	نویسند
schreibe	نوشتن
schreibe	بنویسید
schreibe	بنویسد
schreibe	نویسندگی
schreibe	نوشتن
angemessen	مناسب
angemessen	درخور
angemessen	معقول
dynamo	دینامو
drehen	پیچش
drehen	چرخاندن
drehen	چرخش
drehen	چرخشی
drehen	چرخان
drehen	رویت
drehen	نوبت
angeben	لاف
dazwischen	میان
dazwischen	بین
venezuela	ونزوئلا
experiment	آزمایش
nina	نینا
theoretische	نظری
industriellen	صنعتی
krüger	کروگر
gerichtet	کارگردانی
rechtswissenschaft	حقوق
rechtswissenschaft	قانون
rechtswissenschaft	فقه
umwandlung	تبدیل
umwandlung	تبدیل
umwandlung	دگرگونی
umwandlung	تبدیل
chaos	خرابکاری
chaos	آشفتگی
chaos	آشوب
xaver	خاویر
ansiedlung	اسکان
ansiedlung	سازش
ansiedlung	قرارگاه
ansiedlung	توافق
bezahlt	ارادت
bezahlt	پرداخت
cornelius	کورنلیوس
interne	داخلی
interne	درونی
imo	imo
käfer	حشرات
käfer	باگ
käfer	اشکال
käfer	سوسک
hinterlassen	رها
hinterlassen	برار
hinterlassen	ترک
gem	acc
gem	جم
abgesetzt	معزول
weihnachten	کریسمس
reguläre	منظم
fachbereich	وزارت
fachbereich	اداره
fachbereich	بخش
beobachtungen	مشاهدات
beobachtungen	مشاهده
beobachtungen	رصد
dekan	دین
häftlinge	اسیری
häftlinge	زندانیان
russen	روس
russen	روسیه
russen	روسی
russen	روسها
allee	کوچه
basilika	بازیلیکا
zyklus	چرخه
zyklus	سیکل
zyklus	چرخه
konzepte	مفاهیم
ganzes	کل
ndr	ndr
heiliger	مقدسات
heiliger	مقدس
heiliger	قدیس
heiliger	سن
heiliger	مقدس
tendenz	ترند
tendenz	گرایش
tendenz	روند
tendenz	گرایش
garcía	گارسیا
garcía	گارسیا
beibehalten	حفظ
orleans	اورلئان
orleans	اورلئان
anstieg	طلوع
anstieg	برهم
österreicher	اتریش
österreicher	اتریشی
eddie	اِدی
vorbereitet	اماده
vorbereitet	آماده
vorbereitet	مهیا
einheitliche	یکپارچه
einheitliche	یونیفرم
einheitliche	یونیفورم
landschaften	مناظر
landschaften	حومه
landschaften	ییلاق
landschaften	مناظر
landschaften	عرضی
landschaften	منظره
baltimore	بالتیمور
kannte	دانستم
fotografen	عکاس
fotografen	عکاسان
fotografen	photographer
fotografen	عکاس
einverstanden	موافقت
einverstanden	موافق
einverstanden	توافق
einverstanden	موافقت
einverstanden	موافق
einverstanden	موافقم
mund	دهانت
mund	دهان
mund	دهن
mund	دهان
mund	دهانشان
inkl	incl
berthold	برتولد
löst	حل
soziales	اجتماعی
soziales	سوسیال
reformen	اصلاح
reformen	اصلاحات
sklaven	slave
sklaven	بنده
sklaven	برده
weinbau	تاکستان
weinbau	تاکستان
weinbau	شرابی
weinbau	شراب
weinbau	باده
griechen	یونانیان
griechen	یونانی
griechen	یونانیها
griechen	یونان
griechen	یونانی
individuelle	شخصی
individuelle	فرد
fair	فر
fair	عادلانه
fair	منصفانه
fair	انصاف
fair	منصف
scheitern	شکست
scheitern	مردود
scheitern	شکست
scheitern	نارسایی
scheitern	خرابی
mohammed	محمد
mohammed	محمد
mohammed	محمد
gattin	عیال
marktplatz	بازار
arkansas	آرکانزاس
indonesien	اندونزی
indonesien	اندونزیایی
bedingung	شرطی
bedingung	شرط
bedingung	شرایط
bedingung	قید
paolo	پائولو
tagebuch	ژورنال
tagebuch	مجله
tagebuch	نشریه
entsprechender	متناظر
ethik	اخلاقیات
ethik	اخلاق
ausgewählte	برگزیده
britisch	بریتانیایی
britisch	بریتانیا
entdecken	کاوش
entdecken	آشکارسازی
entdecken	تشخیص
entdecken	کشف
entdecken	اکتشاف
entdecken	دیسکاوری
entdecken	کشف
gestapo	گشتاپو
beginnend	ابتدای
beginnend	آغاز
frequenz	فرکانسی
frequenz	فرکانس
frequenz	بسامد
verlinkung	ابرپیوند
verlinkung	پیوند
verlinkung	لینک
verlinkung	مرتبط
seltene	نادره
seltene	کمیاب
seltene	نادر
seltene	نادری
marshall	داروغه
wortes	سخن
wortes	کلمه
wortes	واژه
wortes	کلام
most	اکثر
most	بیشتر
most	بیشترین
grosse	بزرگ
grosse	درشت
grosse	grosse
gütersloh	گوترزلوه
jederzeit	هربار
geeignete	مناسب
geeignete	درخور
geeignete	مناسب
geeignete	مناسبه
contest	مسابقه
houston	هیوستون
houston	هوستون
houston	هاستون
adrian	ادرین
adrian	آدریان
adrian	آدرین
reichlich	فراوان
reichlich	فراوانی
musée	musée
kaffee	قهوه
kaffee	کافه
gedenkstätte	یادبود
gedenkstätte	مموریال
agent	مامور
agent	کارگزار
agent	مأمور
zagreb	زاگرب
fokus	کانون
fokus	تمرکز
verbesserungen	اصلاحات
verbesserungen	بهبودی
verbesserungen	بهبود
modellen	مدلهای
grey	گری
grey	خاکستری
krakau	کراکوف
gedenken	یادبود
gesendet	ارسالی
gesendet	ارسالی
gesendet	پست
zypern	زیمبابوه
zypern	زیمباوه
zypern	قبرس
zypern	مالت
anleitung	هدایت
anleitung	رهنمود
anleitung	دستورالعمل
anleitung	دستی
anleitung	راهنما
anleitung	دستورالعملها
anleitung	دستورالعمل
jeff	جف
staatsbürgerschaft	تابعیت
staatsbürgerschaft	ملیت
staatsbürgerschaft	ملیتی
staatsbürgerschaft	تابعیت
staatsbürgerschaft	شهروندی
zwang	اجباری
zwang	اجبار
zwang	اجبار
zwang	اجبار
zwang	اکراه
zwang	قید
unterart	زیرگونه
kürzer	کوتاهتر
komplexe	پیچیدگی
komplexe	پیچیده
komplexe	هرات
verbündeten	متفقین
verbündeten	متحد
verbündeten	متفقین
verbündeten	متحدین
monats	ماهانه
monats	ماهنامه
monats	ماهیانه
monats	ماه
truppe	قافله
türme	برجهای
türme	برجها
türme	برج
türme	تاور
türme	برج
hut	آلونک
hut	کلبه
hut	hat
hut	کلاه
verbleib	سرنوشت
verbleib	تقدیر
milch	لبنیات
milch	شیر
milch	میلک
kommerziellen	الاهلی
kommerziellen	تجاری
jon	jon
schmitt	اشمیت
bestände	انبارها
bestände	سهام
weswegen	چرا
hills	هیلز
baptist	باپتیست
beeinflussen	تاثیر
beeinflussen	تأثیر
beeinflussen	نفوذ
bug	باگ
bug	اشکال
bug	تعظیم
bug	سجده
bug	کمان
bug	باو
bundesverdienstkreuz	bundesverdienstkreuz
meilen	مایل
meilen	مایل
meilen	مایلز
farm	مزرعه
farm	فارم
oberstleutnant	سرهنگ
ermitteln	تحقیق
ermitteln	آشکارسازی
ermitteln	تشخیص
ermitteln	شناسایی
ermitteln	شناختن
wta	wta
freizeit	تفریح
freizeit	تفریحات
freizeit	فراغت
freizeit	اسپرت
freizeit	اسپورت
freizeit	ورزشی
freizeit	ورزش
drum	طبل
drum	درام
gera	گرا
motorrad	موتورسیکلت
motorrad	دوچرخه
motorrad	موتور
motorrad	موتورسیکلت
lutherische	lutheran
aktueller	جاری
aktueller	جریان
peer	نظیر
peer	همتا
wellen	موجی
wellen	امواج
wellen	موجها
maßstab	مقیاس
maßstab	benchmark
maßstab	محک
ständige	پایدار
ständige	همیشگی
ständige	دائم
ständige	دائمی
ständige	دایمی
ständige	دایم
ständige	ثابت
ständige	دائم
ständige	مداوم
sopran	سوپرانو
schoss	شات
schoss	شلیک
fachliteratur	ادبیات
fachliteratur	literature
philosophische	فلسفی
klassiker	کلاسیک
klassiker	کلاسیک
klassiker	classic
burgund	برگندی
partnerschaft	شراکت
partnerschaft	همکاری
partnerschaft	شرکتی
pauli	پاولی
brot	نان
brot	نون
ukrainischen	اوکراینی
xiii	xiii
lehren	درسهای
lehren	دروس
lehren	درس
lehren	تدریس
lehren	آموزش
lehren	تدریس
lehren	تعالیم
lehren	آموزشهای
marseille	مارسی
marseille	مارسی
chen	چن
leon	لئون
leon	لیون
ostseite	شرق
ostseite	شرقی
duden	دودن
höfe	مزارع
höfe	دادگاههای
beethoven	بتهوون
mönche	راهبان
krefeld	کرفلد
tommy	تامی
ungarisch	مجاری
ungarisch	مجارستانی
ungarisch	مجارستان
tool	ابزار
görlitz	گرلیتز
glatt	ساده
glatt	هموار
glatt	صاف
glatt	نرم
beauftragte	نماینده
beauftragte	واگذاری
beauftragte	نماینده
aussicht	دورنمای
aussicht	پراسپکت
aussicht	outlook
aussicht	نماها
aussicht	بازدیدهای
aussicht	نماهای
aussicht	نما
aussicht	نمای
erwerb	خریدار
erwerb	خرید
erwerb	خریداری
niedriger	پایینی
portugiesischer	پرتغال
portugiesischer	پرتغالی
portugiesischer	پرتقالی
run	اجرا
saudi	عربستان
anime	انیمه
kairo	قاهره
kairo	کایرو
bittet	دعوت
bittet	پرسه
bittet	التماس
olaf	الاف
olaf	اولاف
bewusstsein	وجدان
bewusstsein	آگاهی
bewusstsein	هوشیاری
bewusstsein	خودآگاه
bewusstsein	آگاهی
bewusstsein	هشیاری
bewusstsein	هوشیاری
berufliche	vocational
erlauben	فعالسازی
erlauben	اجازه
porträts	طولی
porträts	پرتره
ausgegangen	مورخ
motors	موتورز
let	بزار
schumann	شومان
remix	ریمیکس
trikot	نیوجرسی
trikot	جرسی
trikot	جرزی
lorenzo	لورنزو
gescheitert	خرابی
gescheitert	ناموفق
renate	رناته
masters	اساتید
masters	استادان
masters	اربابان
masters	مسترز
opern	تماشاخانه
opern	اُپرا
opern	اپرا
tschechisch	چک
tschechisch	چکی
angebote	تبلیغات
angebote	توجیه
angebote	معاملات
angebote	معامله
zugewiesen	معین
grundlegend	بنیادی
grundlegend	اساسی
kriegen	جنگها
reifen	تایر
reifen	تایر
reifen	لاستیک
reifen	تایر
reifen	بلوغ
reifen	بالغ
wolfram	تنگستن
wolfram	ولفرم
roberts	رابرتس
roberts	رابرتز
komitee	کمیته
komitee	کمیسیون
komitee	comité
hirsch	گوزن
hirsch	آهو
hirsch	دیر
hirsch	گوزن
hirsch	آهویی
hirsch	آهوی
ludwigs	لودویگ
umstand	شرایط
unterarten	subtypes
unterarten	زیرگونه
ermittlungen	تحقیق
ermittlungen	تحقیقات
speicher	انبار
speicher	ذخیره
speicher	خاطره
speicher	حافظه
speicher	حافظۀ
nancy	نانسی
hunter	هانتر
hunter	شکارچی
verschieden	متفاوت
verschieden	گوناگون
verschieden	گوناگون
verschieden	متنوع
krieger	جنگجویان
krieger	کریگر
krieger	مبارز
krieger	سلحشور
krieger	جنگجوی
umstände	شرایط
umstände	شرایطی
umstände	شرایط
systematisch	سیستماتیک
systematisch	اصولی
eichstätt	آیشتت
ehepaar	زوجی
ehepaar	زوج
delta	دلتا
delta	دلتای
durchführen	نمایشی
armin	آرمین
ivan	ایوان
stichwort	کلیدواژه
erwünscht	مطلوب
erwünscht	مطلوب
erwünscht	خواستنی
erwünscht	مقبول
erwünscht	میخواستند
erwünscht	خواست
konzentriert	متمرکز
konzentriert	متمرکز
konzentriert	تمرکز
edwin	ادوین
matthäus	ماتیو
matthäus	متیو
bond	باند
bond	پیوند
aluminium	آلومینیوم
aluminium	آلومینیوم
dimension	بُعد
schönheit	زیبایی
schönheit	زیبای
sauerstoff	اکسیژن
marion	ماریون
rasse	نژادی
rasse	نژاد
rasse	نژاد
rasse	مسابقه
ingolstadt	اینگولشتات
zähne	دندان
zähne	دندون
zähne	دندانها
zähne	دندون
zähne	دندان
zähne	دندانهای
cottbus	کوتبوس
freuen	شادمانی
freuen	شاد
gültig	معتبری
gültig	معتبر
gültig	انقضای
gültig	انقضا
statthalter	حاکم
statthalter	فرماندار
sri	سری
systematische	سیستماتیک
systematische	اصولی
satelliten	ماهواره
satelliten	ماهوارهای
symbole	نمادهای
symbole	نمادها
germanischen	ژرمنی
theo	تئو
medaillen	مدال
medaillen	مدال
abbruch	سقط
abbruch	ساقط
abbruch	تخریب
spannungen	کشش
spannungen	تنش
resultat	نتیجه
resultat	نتیجۀ
resultat	حاصل
bricht	بشکند
sony	سونی
verarbeitung	پردازش
verarbeitung	پردازی
sechste	ششمین
sechste	ششم
sechste	ششمی
empfohlen	پیشنهاد
five	پنج
five	فایو
frühling	بهار
frühling	بهاری
frühling	اسپرینگ
raf	raf
akzeptieren	پذیرفتن
akzeptieren	پذیرش
akzeptieren	accept
akzeptieren	پذیرش
akzeptieren	قبول
gräber	گورها
gräber	قبرها
gräber	گورها
gräber	گریوز
ansbach	آنسباخ
renovierung	نوسازی
renovierung	بازسازی
collins	کالینز
collins	کلین
collins	کولین
wäldern	وودز
wäldern	جنگلهای
wäldern	جنگلها
massiven	مسیو
massiven	حجیم
gleichung	معادله
sockel	کاپ
sockel	cap
sockel	کلاهک
sockel	کپ
sockel	سوکت
erlaubte	مجاز
vergeblich	بیهوده
mögen	علاقه
mögen	شبیه
mögen	لایک
mögen	مثل
mögen	like
mögen	مانند
mögen	لایک
schulze	شولتسه
traditionen	رسوم
traditionen	سنت
traditionen	رسم
behauptete	ادعا
behauptete	منتسب
six	شش
six	سیکس
six	شیش
hunde	سگهای
hunde	سگها
hunde	سگا
hunde	سگ
hunde	سگی
krebs	کربس
krebs	سرطانی
krebs	سرطان
verfolgen	ردگیری
verfolgen	ردیابی
verfolgen	پیگیر
virus	ویروس
girls	دخترها
girls	دختران
unit	یگان
unit	یکای
unit	واحد
unit	یکا
fett	چربیها
fett	توپر
fett	جسور
fett	چاقی
fett	چربی
fett	fat
fett	چاق
fett	تپل
direkter	دایرکت
direkter	direct
anzeigen	نما
anzeigen	نمای
anzeigen	نمایش
blättern	برگی
blättern	برگ
blättern	برگها
blättern	برگ
blättern	لغزش
blättern	کتیبه
blättern	طومار
angetrieben	پاور
angetrieben	powered
wiederholen	تکرار
historique	historique
astronomie	اخترشناسی
astronomie	نجوم
stadtzentrum	سنتر
stadtzentrum	مرکز
decke	روکش
decke	پتوی
decke	پتو
decke	پتو
decke	سقفی
decke	سقفش
decke	سقف
decke	سقف
decke	بام
achim	آخیم
schritte	گامهای
wachsenden	رشد
dominiert	چیره
dominiert	غالب
michail	میخائیل
linden	لیندن
globe	گلوب
ulrike	ساره
ulrike	اولریکه
ulrike	جولیا
jubiläum	سالانه
jubiläum	سالگرد
schnabel	منقار
française	française
schriftlich	نویسندگی
schriftlich	نوشتن
palästina	فلسطین
palästina	فلسطینی
palästina	فلسطین
palästina	فلسطینی
wilfried	ویلفرد
wilfried	ویلفرید
angewandt	کاربردی
zehnten	دهم
zehnten	دهمین
still	همچنان
still	هنوزم
still	هنوز
beobachter	نگهبانانی
beobachter	ناظر
bilanz	میزان
bilanz	تعادل
bilanz	توازن
bilanz	موازنه
produkten	محصولاتی
produkten	محصولات
fürth	فورت
indirekt	غیرمستقیم
bestätigung	تاییدیه
bestätigung	تأیید
bestätigung	تصدیق
bestätigung	تایید
bestätigung	تأیید
bestätigung	تصدیق
bestätigung	اعتبارسنجی
mühlen	میل
mühlen	آسیاب
mühlen	میلز
libretto	اپرانامه
wiederherstellen	بازگردانی
wiederherstellen	بازگرداندن
wiederherstellen	برگرداندن
wiederherstellen	بازیابی
wiederherstellen	بازیابی
wiederherstellen	بازگرداندن
massaker	کشتار
massaker	حمیدیه
suffix	پسوند
rudolph	رودولف
umgangssprachlich	عامیانه
rennfahrer	دوندگان
beseitigt	حل
aufschwung	احیای
aufschwung	revival
matrix	آرایه
matrix	ماتریکس
matrix	ماتریس
ähnlichkeit	شباهت
ähnlichkeit	شباهتی
ähnlichkeit	تشابه
ähnlichkeit	شباهت
ähnlichkeit	تشابه
ähnlichkeit	شباهت
empfehlung	پیشنهاد
empfehlung	تلقین
bedrohung	تهدید
bedrohung	تهدیدات
bedrohung	تهدیدها
bedrohung	تهدیدهای
bedrohung	تحدید
bedrohung	تهدید
einweihung	اهدا
einweihung	اهداء
einweihung	فداکاری
einweihung	افتتاحیه
einweihung	تبرک
landkreise	نواحی
landkreise	مناطق
landkreise	شهرستانهای
landung	فرود
sozialer	اجتماعی
sozialer	سوسیال
statistischen	آماری
dallas	دالاس
offensive	تهاجمی
pole	قطب
pole	تیرک
pole	تیرک
herman	هرمن
herman	هرمان
krause	کراوزه
bindung	انگیختن
bindung	باند
bindung	پیوند
entwürfe	طراحیهای
entwürfe	طرحهای
schwimmen	شنا
schwimmen	شنای
schwimmen	شنا
schwimmen	شنای
early	پگاه
early	اوایل
abkürzungen	میانبرهای
abkürzungen	مخفف
protest	تظاهرات
protest	اعتراض
protest	اعتراضات
protest	اعتراضی
protest	اعتراضات
messina	مسینا
bsg	bsg
kugel	کرهای
kugel	گلوب
kugel	بال
kugel	توپ
kugel	گوی
kugel	اورب
kugel	فشنگ
kugel	گلوله
kosovo	کوزوو
delegation	هیئت
delegation	هیات
ausstrahlung	پخش
ausstrahlung	مخابره
ausstrahlung	جذبه
pest	آفت
pest	طاعون
indischer	سرخپوست
indischer	هندی
genehmigt	مجاز
genehmigt	تأیید
genehmigt	مجاز
universum	کائنات
universum	کیهان
universum	گیتی
gespräche	مکالمات
gespräche	مصاحبه
gespräche	بحثهای
wärme	گرمایی
wärme	حرارتی
wärme	گرما
wärme	حرارت
wärme	گرمای
wärme	گرم
wärme	گرما
wärme	گرمی
wärme	گرمایش
kommerzielle	الاهلی
kommerzielle	تجاری
korrigieren	اصلاح
korrigieren	رفع
mechanische	مکانیک
mechanische	mechanical
mechanische	مکانیکی
moor	مارش
moor	مرداب
moor	باتلاق
erfüllung	برآورده
schach	چس
schach	شطرنج
ward	وارد
vieles	بسیار
vieles	فراوان
vieles	زیاد
vieles	بسیار
einheitlich	یکپارچه
einheitlich	یونیفرم
einheitlich	یونیفورم
ehrungen	خراج
ehrungen	خراجی
auftauchen	منشر
auftauchen	ظهور
auftauchen	پیدایش
einbau	مناسبات
einbau	درخور
einbau	نصب
steinen	سنگها
breitengrad	موازی
silberne	نقره
silberne	سیمین
silberne	سیلور
commonwealth	cac
klang	صوت
klang	صدا
klang	کلانگ
verpflichtete	ملزم
malta	مالت
sitzung	جلسه
sitzung	نشست
sitzung	ملاقات
sitzung	جلسه
sitzung	دیدار
sitzung	نشستن
sitzung	نشسته
séance	احضار
bolivien	بولیوی
bolivien	بولیوی
wohin	کجا
wohin	کجای
schwerpunkte	highlights
schwerpunkte	کانون
schwerpunkte	تمرکز
seoul	سئول
relevanter	مربوط
relevanter	مربوطه
verpflichtung	عهد
verpflichtung	پیمان
verpflichtung	التزام
verpflichtung	تعهد
verpflichtung	التزام
verpflichtung	وفا
aufsatz	مقاله
benutzung	استعمال
benutzung	کاربرد
leiche	لاشه
leiche	نعش
warner	وارنر
warner	بیم
verträge	قراردادهای
verträge	قراردادها
verträge	معاهدات
nordsee	شمالی
nordsee	نورث
nordsee	شمال
abschied	وداع
abschied	بدرود
abschied	خداحافظ
abschied	خداحافظی
perfekt	عالی
perfekt	perfect
perfekt	پرفکت
burgruine	ویران
kommunisten	کمونیستها
kommunisten	کمونیست
kommunisten	کمونیستی
ngc	ngc
definieren	تعریف
augustin	آگوستین
augustin	آگوستین
gotischen	گوتیک
werdegang	حرفه
werdegang	شغل
werdegang	تاریخچه
werdegang	تاریخ
organ	ارگان
organ	اندامها
organ	اندام
organ	ارگ
organ	ارگان
organ	اندام
konto	حساب
inhaftiert	بازداشت
busse	اتوبوس
busse	bus
busse	coaches
mineral	معدنی
mixed	مخلوط
mixed	مختلط
konzerten	کنسرت
holger	هولگر
kommissar	کارگاه
kommissar	کارآگاه
kommissar	کاراگاه
präsentierte	عرضه
dream	دریم
dream	خواب
dream	رویا
dream	رؤیا
dream	رویای
dream	رؤیای
aktien	انبارها
aktien	سهام
aktien	موجودی
aktien	سهام
aktien	سهم
aktien	اشتراک
aktien	سهام
aktien	عدل
aktien	انصاف
grammatik	زبانشناسی
grammatik	گرامر
grammatik	گرامری
fernseh	تلویزیون
fernseh	تلویزیونی
silver	نقره
silver	سیمین
silver	سیلور
case	پرونده
case	کیس
case	مورد
upper	بالایی
upper	آپر
upper	فوقانی
filter	پالایش
filter	پالایه
filter	فیلتر
hölle	جهنم
hölle	دوزخ
beat	بیت
meta	متا
charakteristisch	متمایز
grade	درجه
grade	نمره
grade	درجه
mönch	راهب
plateau	فلات
mathematischen	ریاضی
amateur	آماتور
nachbarschaft	همسایه
nachbarschaft	همسایگان
nachbarschaft	همسایه
nachbarschaft	همسایگان
nachbarschaft	همسایه
nachbarschaft	همسایگی
nachbarschaft	محله
nachbarschaft	همسایگی
staatsanwaltschaft	پیگرد
staatsanwaltschaft	پیگرد
staatsanwaltschaft	دادستان
popularität	محبوبیت
oberhausen	اوبرهاوزن
laurent	لوران
laurent	لورنت
wolfenbüttel	ولفنبوتل
konsequenzen	مفاهیم
konsequenzen	عواقب
belgische	بلژیکی
belgische	بلژیک
rechtsprechung	قضائیه
rechtsprechung	فقه
bakterien	باکتریایی
bakterien	باکتریهای
bakterien	باکتری
bakterien	باکتریها
pan	پان
pan	پن
channel	کانال
channel	مجرا
channel	مجرای
channel	چنل
channel	channel
übersetzen	ترجمه
übersetzen	ترجمه
übersetzen	ترجمه
erhard	ارهارد
hunderte	صدها
börse	معاوضه
börse	تبادل
börse	مبادله
börse	بورزه
kings	پادشاهان
kings	سلاطین
kings	شاهان
kings	کینگز
angefangen	شروع
angefangen	آغاز
damm	دم
damm	سد
damm	دام
genua	جنوا
cook	کوک
cook	آشپز
cook	آشپزی
exzellent	عالی
juristen	وکیل
juristen	وکلا
juristen	وکیل
preisgeld	جایزه
sekunde	ثانیه
sekunde	دوم
sekunde	ثانیه
sekunde	دومی
sekunde	سک
warren	وارن
erzählen	بازگو
erzählen	حکایت
nigeria	نیجریه
nigeria	نیجریه
orient	اورینت
benötigen	نیاز
benötigen	نیازمند
gültige	معتبری
gültige	معتبر
bezirke	نواحی
bezirke	مناطق
bezirke	شهرستانهای
bezirke	borough
paare	زوجهای
paare	زوج
paare	جفت
paare	جفت
blood	خونی
blood	خون
mathematische	ریاضی
mathematische	ریاضیات
mathematische	ریاضی
mathematische	ریاضیات
mathematische	math
set	تنظیم
störung	جدائی
störung	پارازیت
störung	دخالت
störung	مداخله
störung	تداخل
störung	ناآرامی
störung	اختلال
störung	خودشیفته
störung	اختلالات
rekonstruktion	بازسازی
administratoren	سرپرست
administratoren	admins
administratoren	مدیر
administratoren	سرپرست
gefüllt	پرشده
gefüllt	پرشده
auslegung	تعبیر
auslegung	تفسیر
haushalt	خانوار
haushalt	خانوار
haushalt	بودجه
marschall	داروغه
prediger	واعظ
installation	نصب
installation	نصب
installation	نصب
schöner	زیباست
schöner	زیبا
schöner	خوشگل
schöner	قشنگ
schöner	خوبی
schöner	قشنگ
schöner	قشنگه
kaspar	کاسپار
ecken	رئوس
ecken	گوشه
speichern	ذخیره
speichern	نجات
speichern	ذخیره
speichern	ذخیرۀ
speichern	فروشگاه
speichern	ذخیره
zurückkehren	رجعت
zurückkehren	بازگشت
sprachlich	کلامی
sprachlich	زبانی
schuss	شات
schuss	شلیک
freundlich	مهربان
freundlich	دوستانه
freundlich	خودی
gehäuse	مسکن
zylinder	استوانه
zylinder	سیلندر
zylinder	بشکه
vorschlagen	پیشنهاد
portugiesisch	پرتغال
portugiesisch	پرتغالی
portugiesisch	پرتقالی
reduzieren	کاهش
populär	محبوبیت
filmmusik	نمره
filmmusik	امتیاز
gewinnung	استخراج
fotografien	عکسها
fotografien	عکس
fotografien	عکاسی
fotografien	photography
fotografien	عکسبرداری
fotografien	عکس
zuständige	تواناست
zuständige	توانا
verknüpft	پیوند
nachteil	آوانس
wände	دیوارها
wände	دیوارهای
wände	دیوار
begleitung	پایش
begleitung	نظارت
begleitung	اسکورت
begleitung	همراهی
begleitung	همراه
abwehr	دفاعی
abwehr	دفاع
abwehr	دفاع
genres	ژانر
konkurrenten	رقیب
konkurrenten	رقبای
konkurrenten	رقیب
wiederholte	تکراری
landstraße	اتوبان
landstraße	بزرگراه
chancen	احتمال
chancen	احتمالات
chancen	فرصتی
chancen	فرصت
chancen	فرصتها
chancen	فرصتهای
stören	مزاحم
stören	مختل
stören	پارازیت
gastgeber	میزبان
gastgeber	میزبانی
kämpfer	مبارزین
kämpfer	جنگجویان
kämpfer	مبارزان
kämpfer	رزمنده
kämpfer	جنگنده
kämpfer	مبارز
kämpfer	مبارزان
kämpfer	مبارز
kämpfer	سلحشور
kämpfer	جنگجوی
blumen	گل
blumen	گلها
blumen	گل
blumen	شکوفه
blumen	فلاور
wünschen	آرزو
wünschen	کاش
wünschen	ارزو
wünschen	ارزوی
wünschen	آرزوها
wünschen	میخواهد
wünschen	آرزو
venus	ونوس
venus	زهره
schema	طرحواره
schema	طرحواره
schema	طرحواره
schema	شمای
alexandra	الکساندرا
split	شکافتن
