категория	категория
франции	франция
группа	група
группа	групово
группа	групиране
группа	групова
имя	името
имя	наименование
имя	име
игры	игри
цифровой	цифров
цифровой	дигитален
цифровой	цифрово
цифровой	цифрова
цифровой	цифрови
поэтому	затуй
поэтому	следователно
санкт	sankt
идентификатор	идентификатор
ширина	широчина
ширина	ширина
просто	просто
просто	само
регион	район
регион	регион
регион	област
тогда	тогава
конце	край
отечественной	патриотично
вот	тук
работал	работил
церкви	църкви
церкви	църквите
церкви	църква
церкви	чърч
церкви	църквата
клуб	club
клуб	клуб
клуб	клубът
наук	науките
наук	науки
ввп	бвп
больше	повече
больше	още
федерации	федерация
федерации	федерацията
федерации	федерации
наиболее	повечето
изображения	изображения
изображения	образи
изображения	имидж
изображения	картинка
изображения	образ
изображения	изображение
советский	съветска
советский	съветски
степени	градуси
степени	градуса
степени	степени
степени	градус
степени	степен
северо	северозападна
северо	северозападния
изображение	имидж
изображение	картинка
изображение	образ
изображение	изображение
награды	почести
награды	награди
награды	награди
ранее	досега
википедия	уикипедия
перед	преди
германии	германец
германии	германски
германии	немски
германии	немска
германии	германска
германии	германия
владимир	владимир
москва	москва
системы	системи
стороны	страни
стороны	партита
стороны	партии
стороны	купони
стороны	страни
совет	съветът
совет	съвет
совет	съвета
академии	академията
академии	академия
две	двама
две	две
николай	николай
николай	николай
николай	николас
николай	никълъс
николай	николай
некоторые	някои
роль	роля
юго	югозапад
юго	югозападна
дом	дом
дом	домашен
дом	вкъщи
дом	дом
дом	house
дом	къща
дом	къщата
дом	хаус
значимость	значимост
значимость	значимост
высоты	височини
высоты	хайтс
русский	руснак
русский	руски
русский	руснаци
русский	руска
русский	руско
член	член
член	пенис
член	пениса
член	кур
член	дик
член	хуй
член	чеп
член	кур
член	хуй
член	петел
орден	ред
орден	поръчка
сын	синко
сын	сине
сын	син
пока	чао
общины	общности
общины	общностите
общины	комуни
общины	общност
общины	общността
число	брой
число	число
число	номер
эта	това
нужно	необходимост
нужно	нужда
нужно	потребност
большой	голямо
большой	големи
большой	голям
большой	голяма
большой	биг
большой	голямо
большой	големи
большой	голям
большой	голяма
количество	брой
количество	число
количество	номер
количество	количество
являются	са
институт	институт
институт	института
институт	институция
компании	дружество
компании	компания
компании	company
компании	рота
компании	фирма
компании	дружества
компании	фирми
компании	компании
церковь	църква
церковь	чърч
церковь	църквата
советского	съветска
советского	съветски
проект	проект
проект	проектът
проект	проекта
проект	чернова
много	mnogo
много	много
сельский	селски
сельский	селско
сельский	селска
сельский	селска
вопрос	издаване
вопрос	въпрос
новый	ню
новый	ново
новый	нов
новый	нови
новый	нова
образование	обучение
образование	образование
образование	възпитание
момент	момент
момент	миг
фильмы	филми
фильмы	филми
часто	често
почти	почти
сокорро	сокоро
партии	партита
партии	партии
партии	купони
партии	страни
глава	глава
настоящее	подарък
настоящее	настояще
настоящее	присъстващи
стали	стоманен
стали	стомана
стали	стийл
европы	европа
организации	организация
организации	организации
сейчас	сега
империи	империи
империи	империята
империи	емпайър
империи	империя
река	ривър
река	река
река	реката
участников	участниците
участников	участници
альбом	албум
одна	сама
одна	сам
одна	една
одна	един
одна	едно
станции	станция
станции	station
станции	гара
станции	станции
людей	народ
людей	хора
людей	хората
возможно	възможно
возможно	възможен
возможно	възможна
возможно	възможни
возможно	вероятно
сергей	сергей
сергей	сергей
окончил	завърши
окончил	завършила
окончил	завършил
иван	ванка
иван	айвън
иван	иван
иван	иване
пояс	колан
пояс	колана
команды	команди
команды	командите
команды	отбори
команды	екипи
такие	такава
такие	такива
такие	такова
такие	такъв
шаблон	шаблон
ссылки	препратки
ссылки	препоръки
ссылки	позовавания
ссылки	връзки
многие	mnogo
многие	много
жизнь	живот
жизнь	живота
жизнь	life
жизнь	лайф
жизнь	животът
серии	серия
серии	поредица
серии	сериал
серии	серии
участники	участниците
участники	участници
участники	присъствието
участники	присъствие
участники	членове
участники	членовете
начал	започна
культуры	култури
культуры	културите
часовой	часови
часовой	страж
часовой	сентинел
проекта	проект
проекта	проектът
проекта	проекта
команда	екипаж
команда	отряд
команда	взвод
команда	командване
команда	команда
команда	командата
команда	тийм
команда	отбор
команда	отбора
команда	екип
команда	team
достаточно	достатъчно
краткое	кратко
краткое	кратка
другой	друго
другой	друг
другой	други
другой	друг
источники	източници
данные	дейта
данные	данни
война	войната
война	война
школы	училища
школы	школи
школы	училищата
школы	училището
школы	школа
школы	училище
герой	херо
герой	герой
иванович	иванович
михаил	михаил
михаил	майкъл
михаил	михаил
текст	текст
первая	първи
первая	първо
песни	песните
песни	песни
которое	което
которое	която
женщин	жени
женщин	жените
участником	участник
книги	книгите
книги	книги
полностью	напълно
полностью	изцяло
полностью	напълно
полностью	напълно
жителей	пребиваващи
жителей	обитатели
жителей	жители
честь	чест
честь	честта
честь	почетен
честь	чест
честь	честта
звание	ранг
решение	решението
решение	решение
решение	разтвор
решение	решение
чемпионат	първенство
чемпионат	шампионат
чемпионат	първенство
чемпионат	шампионат
деятельность	дейности
деятельность	занимания
деятельность	дейност
деятельность	активност
еще	повече
еще	още
данных	дейта
данных	данни
назначен	назначена
назначен	назначен
назначен	назначени
назначен	назначена
назначен	назначен
плотность	плътност
берегу	брега
берегу	шор
берегу	бряг
итог	развръзка
итог	изход
итог	резултат
россия	русия
ничего	нищо
села	сат
села	седна
села	sat
названия	заглавия
названия	титли
названия	наименования
названия	имената
названия	имена
сан	сан
ним	ним
права	права
король	крал
король	кинг
король	кралят
король	цар
король	краля
края	ръбове
края	краища
края	ръба
края	ръб
обычно	обикновенно
обычно	обикновено
обычно	обикновено
обычно	нормално
обычно	обикновено
умер	умрял
умер	умряла
умер	мъртви
умер	мъртва
умер	мъртъв
власти	властите
власти	власти
власти	органи
службы	услуги
службы	служби
службы	услуга
службы	служба
службы	сервиз
службы	обслужване
службы	услуги
система	система
система	системата
система	системни
университет	университет
университет	university
университет	университета
слова	думите
слова	думи
флаг	флаг
флаг	знамето
флаг	знаме
версии	версия
версии	версиите
версии	версии
различных	различна
различных	различно
различных	различни
различных	различен
различных	разнообразни
различных	различни
вновь	отново
вновь	пак
отец	татко
отец	баща
отец	татко
общества	общество
общества	обществото
общества	общества
обсуждение	дискусия
обсуждение	обсъждания
обсуждение	дискусии
обсуждение	обсъждане
рода	рода
многих	mnogo
многих	много
войска	войски
войска	военнослужещи
войска	войска
войска	войници
детей	децата
детей	деца
источник	източник
вскоре	скоро
члены	членове
члены	членовете
должность	позиция
должность	положение
должность	длъжност
обсуждения	обсъждания
обсуждения	дискусии
обсуждения	дискусия
обсуждения	обсъждания
обсуждения	дискусии
обсуждения	обсъждане
действия	действия
действия	действие
действия	екшън
действия	действия
действия	постъпки
действия	искове
действия	дейност
действия	активност
дивизии	разделения
дивизии	участъци
дивизии	разделение
дивизии	дивизии
участника	участник
участвовал	участвали
участвовал	участвала
участвовал	участваха
музей	музей
ряд	ред
душу	душа
душу	соул
душу	душата
дома	дом
дома	домашен
дома	вкъщи
дома	къщи
дома	домове
дома	къщи
дома	къщите
некоторых	някои
почему	защо
школа	училището
школа	школа
школа	училище
выше	над
выше	отгоре
чел	човече
чел	човек
чел	мъж
медаль	медал
земли	земи
земли	земи
земли	земя
режиссёр	директорът
режиссёр	режисьор
режиссёр	директор
правила	правила
правила	правилата
правила	регламенти
правила	разпоредби
правила	наредби
полка	рафт
полка	полк
полка	полка
линии	реплика
линии	линия
линии	линии
линии	реплики
линии	редове
места	местоположения
места	места
места	седалки
места	места
места	седалките
существует	съществува
категории	категория
категории	категории
ссылка	връзка
ссылка	линк
ссылка	препратка
ссылка	позоваване
ссылка	референтни
компания	дружество
компания	компания
компания	company
компания	рота
компания	фирма
используется	използвано
используется	използван
используется	използвани
используется	използвана
тысяч	хиляда
начало	начало
начало	старт
начало	започнете
начало	стартиране
начало	начало
начало	започване
начало	начала
италии	италия
италии	италианска
италии	италианец
италии	италиански
италии	италианско
положение	положението
положение	ситуация
положение	положение
положение	позиция
положение	положение
положение	длъжност
мужчин	мъжки
мужчин	мъжете
мужчин	men
мужчин	мъже
северной	северно
северной	север
северной	северна
северной	северни
северной	северен
северной	северна
острова	острови
острова	островите
острова	острова
острова	island
острова	остров
острова	островът
острова	айлънд
дело	случай
дело	дело
дело	кейс
дело	случаят
дело	каса
полк	полк
полк	полка
полк	полк
теперь	сега
станция	станция
станция	station
станция	гара
профессор	професор
особенно	особено
особенно	особено
американский	американска
американский	американско
американский	американски
американский	американец
право	закон
впоследствии	впоследствие
великобритании	британско
великобритании	британци
великобритании	британска
великобритании	британец
великобритании	британски
чемпион	шампион
чемпион	шампион
чемпион	шампиона
чемпион	шампионка
шаблоны	шаблони
шаблоны	образци
оно	оно
правило	правилото
правило	правило
андрей	андрей
андрей	андрей
андрей	андрю
роли	роля
роли	рали
роли	ролите
роли	роли
сезон	сезон
сезон	сезона
люди	човеци
люди	човеците
люди	народ
люди	хора
люди	хората
управление	контролиране
управление	контрол
управление	управляващи
управление	управляващ
управление	мениджмънт
управление	управление
управление	управление
сделать	направи
длина	дължина
хорошо	добър
хорошо	добро
хорошо	добре
иногда	понякога
вместо	вместо
тип	вид
тип	тип
кладбище	гробището
кладбище	гробища
кладбище	гробище
кладбище	гробището
кладбище	гробище
средняя	среден
средняя	средно
средняя	средна
средняя	среден
средняя	средни
средняя	средно
театр	театър
театр	театър
художник	художничка
художник	художник
художник	изпълнител
художник	художничка
художник	художник
художник	артист
художник	творец
российская	руснак
российская	руски
российская	руснаци
российская	руска
российская	руско
одно	една
одно	един
одно	едно
алексей	алексей
алексей	алексей
алексей	алексис
коммуны	комуни
возможность	възможност
возможность	възможност
какой	какво
создания	създаване
создания	създаването
премия	премия
премия	награда
премия	възлагане
премия	награда
выпускники	абитуриенти
выпускники	възпитаници
выпускники	завършилите
выпускники	завършили
сср	ssr
новые	ню
новые	ново
новые	нов
новые	нови
новые	нова
основные	основни
основные	основна
основные	главна
основные	главен
основные	главни
основные	основна
основные	основни
основные	основен
всегда	винаги
известные	позната
известные	известни
известные	познат
известные	известна
известные	известен
южной	южен
южной	южни
южной	южна
южной	южно
южной	южен
южной	юг
южной	южна
метров	метра
метров	метри
метров	метри
практически	почти
практически	практически
корпуса	корпус
президент	президентът
президент	президент
президент	председател
четыре	четири
четыре	четирима
стоит	уърт
информация	информация
информация	info
информация	инфо
информация	информация
информация	информиране
большая	голямо
большая	големи
большая	голям
большая	голяма
большая	биг
большая	голямо
большая	големи
большая	голям
большая	голяма
большинство	повечето
большинство	мнозинство
большинство	мнозинството
большинство	мажоритарен
кино	филмова
кино	филм
кино	филми
кино	филм
кино	лента
кино	киното
кино	кино
номер	брой
номер	число
номер	номер
деревни	селата
деревни	селища
деревни	села
силы	сила
силы	сили
внимание	внимание
внимание	концентрация
внимание	фокус
государства	държави
государства	щати
примерно	приблизително
александра	александра
писатель	писател
писатель	писателка
писатель	сценарист
писатель	писател
движения	движения
движения	трафик
движения	задръстване
роман	римски
роман	римлянин
роман	роман
роман	римска
роман	романът
роман	новела
роман	роман
дней	дни
дней	дена
новых	ню
новых	ново
новых	нов
новых	нови
новых	нова
клубы	клубове
клубы	спатия
клубы	клубовете
клубы	стикове
джон	джон
джон	йоан
граф	брой
граф	графика
граф	графиката
процент	проценти
процент	процент
провинции	провинции
новая	ню
новая	ново
новая	нов
новая	нови
новая	нова
известен	позната
известен	известни
известен	познат
известен	известна
известен	известен
мини	мини
памятник	паметник
сил	сили
каждый	всички
каждый	всеки
каждый	всяка
каждый	всеки
каждый	всяко
каждый	всяка
каждый	всеки
потом	тогава
герб	хърб
герб	билка
герб	биле
герб	герб
герб	емблема
счёт	сметка
счёт	акаунт
счёт	резултат
книга	тефтер
книга	книга
отношения	връзки
отношения	взаимоотношения
отношения	връзките
отношения	отношения
отношения	взаимоотношения
отношения	отношения
отношения	връзка
отношения	взаимоотношения
отношения	отношения
доктор	лекар
доктор	докторе
использовать	използване
использовать	употреба
использовать	използвайте
стран	държави
стран	страни
заголовок	заглавие
заголовок	заглавие
заголовок	надпис
заголовок	header
заголовок	посока
заголовок	заглавие
заголовок	дял
заголовок	титла
восточной	ориенталски
восточной	източна
восточной	източно
восточной	източни
восточной	изток
восточной	източен
видов	видове
видов	вид
удалось	управлявано
удалось	управлявани
удалось	управляван
западной	западна
западной	западни
западной	западен
западной	западните
западной	уестърн
западной	western
всем	всички
всем	всичко
всем	всички
всем	всеки
здание	изграждане
здание	сграда
здание	сградата
слово	дума
дочь	дъще
дочь	дъщеря
фон	фон
фон	контекст
последний	последно
последний	последен
последний	последни
последний	последна
представляет	представлява
правил	правила
правил	правилата
точки	точки
мария	мери
мария	мария
коммуна	комуна
партия	парти
партия	party
партия	купон
партия	партия
партия	партида
страницы	страници
страницы	страница
страницы	страницата
страницы	page
спасибо	мерси
спасибо	благодаря
включает	включват
включает	включва
актёр	актьор
включая	включително
дмитрий	дмитрий
дмитрий	димитри
дмитрий	димитрий
дмитрий	дмитрий
дмитрий	димитри
дмитрий	дмитрий
дмитрий	димитри
дмитрий	димитрий
дмитрий	дмитро
правительства	правителства
правительства	правителствата
председатель	президентът
председатель	президент
председатель	председател
председатель	стол
председатель	столче
председатель	столът
председатель	председател
председатель	председателят
председатель	председател
моря	морета
моря	моретата
моря	море
моря	морето
страна	държава
страна	страна
николаевич	николаевич
вариант	вариант
вариант	опция
вариант	вариант
одновременно	едновременно
одновременно	едновременно
дороги	пътища
русские	руснак
русские	руски
русские	руснаци
русские	руска
русские	руско
русские	руснаци
русские	руснаците
александрович	александрович
виктор	виктор
виктор	виктор
мир	свят
мир	света
мир	мир
работа	работа
работа	йов
работа	работа
работа	труд
работа	работи
работа	работещ
работа	работен
работа	работим
японии	япония
японии	японско
японии	японска
японии	японци
японии	японец
японии	японски
серия	серия
серия	поредица
серия	сериал
серия	серии
серия	епизод
песня	песен
песня	песничка
василий	базил
василий	босилек
василий	василий
вопросы	въпроси
вопросы	проблеми
вопросы	въпроси
испании	испания
завод	растение
завод	растителна
завод	завод
завод	фабрика
завод	завод
завод	фабриката
штат	щат
штат	държава
штат	държавно
проблемы	предизвикателствата
проблемы	предизвикателства
проблемы	проблем
проблемы	проблеми
проблемы	проблемите
проблемы	въпроси
проблемы	проблеми
юрий	юри
юрий	юрий
ниже	долу
ниже	отдолу
ниже	долна
ниже	долен
улицы	улиците
улицы	улици
рядом	близко
рядом	близо
рядом	наблизо
найти	открийте
найти	намиране
найти	намерете
найти	намери
найти	намеря
вклад	входяща
вклад	входящ
вклад	въвеждане
вклад	вход
вклад	принос
вклад	вноски
вклад	вноска
вклад	принос
вклад	вноски
развитие	развитие
развитие	разработване
развитие	разработка
лиги	лигата
лиги	лига
научно	научно
директор	директорът
директор	режисьор
директор	директор
директор	директор
командир	командващ
командир	командир
друг	приятелка
друг	приятелю
друг	приятел
вернулся	върнато
вернулся	върнати
вернулся	върната
заслуженный	почетен
рок	скала
рок	rock
рок	рок
рок	скали
рок	камък
пор	erp
футболист	футболист
мой	моите
мой	мой
мой	моята
мой	мое
мой	моя
мой	моят
отличие	разликата
отличие	разлика
журнал	списание
журнал	дневник
журнал	журнал
журнал	джърнъл
журнал	дневник
журнал	лог
журнал	дънер
министр	министър
значение	смисъл
значение	стойност
комитета	комитет
комитета	комисия
производства	продукция
производства	производство
премьер	прайм
премьер	премиер
премьер	премиера
сначала	първи
сначала	първо
действительно	наистина
действительно	наистина
действительно	наистина
игра	мач
игра	гейм
игра	играта
игра	игра
решения	решения
решения	разтвори
решения	решения
строительство	изграждане
строительство	сграда
строительство	сградата
строительство	изграждане
строительство	строеж
строительство	конструкция
строительство	строителство
пункт	точка
пункт	елемент
пункт	артикул
пункт	параграф
пункт	абзац
мать	майка
мать	майко
старший	елдър
старший	старейшина
старший	старши
снова	отново
снова	пак
здания	сгради
тренер	треньор
тренер	треньор
тренер	треньорът
поле	полето
поле	поле
написал	написал
написал	написа
значения	пояснение
значения	ценности
значения	стойности
пути	начини
пути	пътеки
пути	пътища
пути	пътеки
пути	пътища
женщины	женските
женщины	женски
женщины	женско
женщины	жена
женщины	женски
женщины	женска
женщины	жени
женщины	жените
труда	труд
майор	майорът
майор	майор
провинция	провинцията
провинция	провинция
программы	програми
программы	програми
храм	темпъл
храм	храмът
храм	храм
исследования	изследвания
исследования	проучвания
исследования	проучване
исследования	проучвания
исследования	изследване
исследования	изследвания
какие	какво
обороны	защита
обороны	отбрана
обороны	защита
обороны	отбрана
обороны	защитата
