като	soos
син	seun
награда	beloning
награда	prys
награда	toekenning
георги	georgi
италия	italië
сайт	webwerf
сайт	webtuiste
световна	wêreldwyd
край	einde
край	beëindig
уикипедия	wikipedia
използва	gebruike
сезон	seisoen
окръг	provinsie
окръг	county
окръг	distrik
днес	vandag
смъртта	dood
франция	frankryk
национален	nasionale
национален	national
национален	nasionaal
гърция	griekeland
вижте	sien
русия	rusland
английски	engels
едно	een
първи	eerste
първи	eers
отново	weer
член	lid
височина	hoogtes
височина	vergelyking
височина	hoogte
дъщеря	dogter
система	lêerstelsel
система	sisteem
система	stelsel
нея	haar
училище	skool
били	billy
света	wêreld
села	villages
филми	films
филми	flieks
филми	rolprente
филми	movies
александър	alexander
умира	dies
умира	dying
южна	suidelike
южна	suid
европа	europa
всеки	enigiemand
всеки	almal
всеки	elke
всеки	elk
части	dele
части	parte
баща	vader
нова	nuut
нова	nuwe
нова	nova
крал	heer
крал	king
крал	koning
армия	weermag
армия	leër
армия	army
църква	kerk
докато	ruk
докато	terwyl
докато	totdat
официален	amptelik
официален	amptenaar
официален	amptelike
официален	formele
официален	formal
северна	noorde
северна	noord
северна	noordelike
северна	northern
времето	weer
времето	tyd
времето	tydstip
българска	bulgaars
освен	behalwe
освен	except
освен	uitgesonderd
места	plekke
места	sitplekke
начин	manier
начин	way
период	periode
резултат	uitkoms
резултат	uitslag
резултат	resultaat
данни	data
страница	blad
страница	bladsy
картинка	prent
картинка	prent
картинка	beelde
граф	graff
граф	graaf
родени	gebore
играе	toneelstuk
играе	speel
играе	speel
живот	lewe
тук	hier
император	keiser
църквата	kerk
ден	dag
жени	vroue
жени	vrouens
руски	russies
руски	russiese
известен	bekende
известен	beroemd
известен	famous
добре	goeie
добре	goed
мария	maria
дори	selfs
води	leidrade
води	waters
води	lei
води	lood
води	aanvoer
тогава	then
тогава	dan
род	genus
род	staaf
род	rod
филм	fliek
филм	rolprent
филм	rolprent
почти	amper
печели	wins
страни	partytjies
страни	partye
страни	kante
страни	lande
площ	omgewing
площ	gebied
площ	oppervlakte
площ	area
острови	eilande
код	kode
френски	frans
френски	franse
генерал	herhaal
генерал	algemene
генерал	generaal
защото	want
държава	country
държава	land
държава	staat
държава	deelstaat
държава	provinsie
държава	toestand
държава	spasie
дата	datum
двете	altwee
двете	beide
двете	albei
двете	sowel
обикновено	gewoonlik
обикновено	tipies
обикновено	gewoonlik
обикновено	normaalweg
деца	kinders
деца	kinders
петър	petrus
петър	peter
петър	petar
сили	bevoegdhede
сили	magte
дължина	tydsduur
дължина	lengte
дължина	lengteligging
дължина	lengtegraad
българи	bulgare
албум	album
гръцки	griekse
дни	dae
съюз	union
съюз	unie
съюз	alliance
съюз	alliansie
съюз	verbond
партия	party
партия	feesvieringe
партия	partytjie
политик	politikus
брат	broer
работа	werk
работа	job
работа	werkie
работа	werk
голове	doelwitte
голове	doele
остров	island
остров	eiland
председател	president
председател	chairman
среща	datum
среща	ontmoet
среща	ontmoeting
среща	besigheid
среща	vergadering
среща	rendezvous
групи	orkeste
групи	bands
информация	informasie
информация	inligting
нови	nuut
нови	nuwe
пъти	vou
пъти	tye
пъти	kere
писател	skrywer
писател	outeur
херцог	duke
херцог	hertog
министър	minister
цел	doelwit
цел	verwesenlik
цел	aspris
цел	oogmerk
цел	doelwit
цел	teiken
участие	deelname
войната	oorlog
османската	ottoman
никола	nicolas
никола	nikola
море	see
пловдив	plovdiv
отбора	span
продължава	continues
историята	geskiedenis
историята	history
брой	tel
брой	nommer
брой	getalle
брой	getal
култура	kultuur
всяка	elke
всяка	elk
същата	dieselfde
същата	selfde
известни	bekende
известни	beroemd
известни	famous
степен	graad
степен	graad
територията	gebied
регион	streek
повечето	meeste
повечето	mees
редактор	redakteur
разположен	geleë
друг	ander
джон	johannes
джон	john
малки	small
малки	klein
малки	bietjie
футболист	sokkerspeler
договор	kontrak
договор	verdrag
север	noorde
север	noord
изток	oos
четири	vier
испания	spanje
особено	besonder
особено	veral
разположено	geleë
човек	menslik
човек	mens
човек	man
състав	samestelling
състав	komposisie
общо	totale
треньор	afrigter
отбори	spanne
рим	rome
статии	artikels
управление	bestuur
управление	governance
управление	kontrole
управление	kontroles
литература	letterkunde
литература	literatuur
дейност	aktiwiteit
цар	heer
цар	king
цар	koning
цар	tsaar
хората	mense
видове	spesie
видове	spesies
видове	soorte
видове	tipes
власт	krag
власт	elektrisiteit
живота	lewe
стефан	stefan
стефан	stephan
тип	tipe
тип	tik
военни	militêre
изчезване	uitwissing
изчезване	verdwyning
изчезване	verdwyn
изчезване	verdwyning
вида	vida
шампион	champ
шампион	kampioen
съвет	advies
съвет	raad
съвет	wenk
съвет	raad
свързани	geassosieerde
свързани	geassosieer
свързани	verwante
свързани	verwant
свързани	verbind
исторически	historiese
исторически	geskiedkundige
исторически	historiese
римски	romeinse
кръг	sirkel
кръг	rondte
майка	moeder
майка	ma
карта	kaart
карта	kaarte
англия	engeland
англия	england
нов	nuut
нов	nuwe
песни	liedere
песни	liedjies
втори	sekondes
втори	sekonde
множество	veelvuldige
множество	veelvoud
политика	beleid
политика	politiek
преминава	herhalings
стара	oud
стара	ou
форма	vorm
форма	vorms
семейството	familie
семейството	gesin
съпруга	gade
съпруга	eggenoot
съпруга	vrou
втора	sekondes
втора	sekonde
район	streek
район	distrik
район	omgewing
район	gebied
район	oppervlakte
район	area
музика	musiek
близо	toemaak
близо	sluit
близо	naby
първенство	championships
първенство	championship
представлява	verteenwoordig
варна	warna
отнася	verwys
манастир	klooster
средата	midde
средата	mid
награди	belonings
награди	toekennings
награди	toekenings
немски	duits
помощ	help
помощ	hulp
вода	water
първоначално	aanvanklik
първоначално	oorspronklik
първоначално	aanvanklike
карл	karl
карл	carl
свят	wêreld
николай	nicolai
николай	nikolay
административен	administratiewe
административен	verrig
скоро	gou
скоро	binnekort
скоро	soon
западна	wes
западна	westerse
западна	western
западна	westelike
живее	lewens
избран	gekose
избран	gekies
избран	gemerk
марк	marc
марк	markus
марк	merk
марк	mark
африка	africa
африка	afrika
запад	wes
революционер	rewolusionêre
уебсайт	webwerf
уебсайт	webtuiste
земята	aarde
връзка	konneksie
връзка	skakel
връзка	verbind
връзка	koppel
връзка	verhouding
роля	rol
италиански	italiaanse
италиански	italiaans
москва	moskou
как	hoe
китай	china
китай	sjina
линия	lyn
великобритания	brittanje
свети	heilige
свети	saint
свети	heilig
свети	heilige
свети	holy
кариера	loopbaan
кариера	loopbane
развитие	ontwikkeling
лига	liga
лига	liga
лига	ligas
роман	romeinse
роман	roman
източници	bronne
политически	politieke
америка	amerika
консул	consul
книги	boeke
стадион	stadion
служба	diens
произход	oorsprong
точка	item
точка	punt
фридрих	friedrich
фридрих	frederik
фридрих	frederick
сърбия	serwies
сърбия	serwië
академия	akademie
първо	eerste
първо	eers
предимно	meestal
силно	loud
силно	sterk
силно	hard
силно	harde
силно	moeilik
писатели	skrywers
годината	jaar
михаил	michail
михаил	mikhail
членове	lede
всичко	alles
всичко	alle
всичко	alles
всичко	all
всичко	almal
всичко	al
всичко	als
включително	insluitende
включително	insluitend
такива	wyl
такива	sulke
българско	bulgaars
птица	voël
автор	skrywer
автор	outeur
възраст	ouderdom
комитет	komitee
добър	goeie
добър	goed
езици	tale
държави	provinsies
държави	deelstate
държави	state
държави	lande
бързо	vinnig
бързо	vinnige
личности	persoonlikhede
сега	nou
сега	now
сега	tans
ссср	ussr
връх	mount
връх	monteer
връх	toppunt
връх	rylaan
връх	peak
учи	studeer
учи	bestudeer
учи	studie
битката	slag
битката	veldslag
ред	orde
ред	bestel
ред	volgorde
ред	bestelling
ред	rangskik
ред	rooi
ред	blaai
ред	ry
ред	row
мач	speletjie
мач	spel
мач	pas
мач	passing
мач	ooreenstem
мач	ooreenstemming
турция	turkye
дивизия	division
дивизия	deling
макар	hoewel
макар	alhoewel
макар	though
събития	gebeure
събития	aktiwiteite
събития	geleenthede
серия	reeks
серия	series
серия	serie
градът	town
градът	stad
планина	berg
планина	mount
планина	monteer
нещо	iets
ляво	gelaat
сан	san
причина	rede
бразилия	brasilië
начало	start
начало	begin
биография	bio
биография	biografie
биография	biografie
движение	mosie
движение	motion
движение	beweging
движение	beweeg
движение	movement
движение	beweging
актьор	akteur
централна	sentrale
централна	sentraal
париж	parys
музей	museum
книга	bespreek
книга	boek
какво	watse
какво	wat
едва	effens
едва	skaars
йорк	york
главно	meestal
константин	konstantyn
константин	konstantin
константин	konstantyn
константин	constantin
япония	japan
япония	japannees
полша	pole
филип	philippe
филип	filip
филип	philip
филип	filip
филип	phillip
командир	commander
носи	dra
носи	carry
носи	wear
австралия	australië
сила	sterkte
сила	force
сила	forseer
сила	krag
сила	dwing
сила	krag
сила	elektrisiteit
цялата	hele
цялата	geheel
потребител	openbaring
потребител	verbruiker
потребител	gebruiker
точно	presies
смърт	dood
германски	duits
носител	draer
носител	diensverskaffer
правителство	regering
президент	president
полк	regiment
полк	polk
футбол	sokker
футбол	voetbal
случай	kas
случай	geval
означава	beteken
раждане	geboorte
изкуство	kunste
изкуство	kuns
азия	asië
малка	small
малка	klein
малка	bietjie
театър	teater
театър	teater
пак	weer
индия	india
индия	indië
лондон	londen
британски	brits
отношение	houding
текст	teksboodskap
текст	teks
текст	lirieke
пет	vyf
образование	opvoeding
образование	opvoedkunde
образование	onderwys
образование	opleiding
образование	onderrig
главен	hoof
понякога	soms
някой	iemand
въстание	opstand
военен	militêre
следва	volgelinge
малък	small
малък	klein
малък	bietjie
носители	diensverskaffers
сметка	rekening
сметка	oortjie
разлика	diff
разлика	verskil
рок	rock
създаването	skepping
дом	tuis
дом	huistoe
дом	tuisblad
дом	huis
дом	dom
кралство	koninkryk
същото	dieselfde
същото	selfde
учител	tutor
учител	onderwyser
известна	bekende
известна	beroemd
известна	famous
точки	uraan
точки	punte
игри	speletjies
игри	gaming
игри	speletjies
игри	wedstryde
албуми	albums
напълно	heeltemal
клуб	klub
щати	provinsies
щати	deelstate
щати	state
бряг	shore
бряг	strand
бряг	kus
бряг	kuslyn
месеца	maande
мексико	meksiko
мексико	mexico
състояние	voorwaarde
състояние	kondisie
директор	direkteur
директор	prinsipaal
институт	instituut
канада	kanada
канада	canada
сигурност	sekuriteit
бургас	boergas
румъния	roemeense
румъния	roemenië
основни	hoof
основни	basiese
основни	basies
основни	basic
основни	basiese
действия	aksies
действия	handelinge
нар	nar
нар	pomegranaat
метра	meter
събрание	ontmoeting
събрание	besigheid
събрание	vergadering
събрание	saamstel
събрание	gemeente
иванов	iwanof
войни	warriors
войни	oorloë
войни	wars
изключително	eksklusiewe
изключително	verskriklik
изключително	uiters
изключително	vreeslik
изключително	eksklusief
жена	vrou
жена	vroulik
жена	wyfie
жена	vrou
доклад	rapporteer
унгария	hongarye
изследвания	toetse
изследвания	studeer
изследвания	studies
изследвания	navorsing
реката	rivier
кирил	cyril
кирил	kirill
египет	egipte
номер	nommer
номер	getalle
номер	getal
обща	herhaal
обща	algemene
обща	generaal
обща	gemeen
обща	common
обща	gemeenskaplike
обща	totale
вестник	koerant
опит	ervaar
опит	ervaring
опит	ondervinding
животни	diere
животни	dier
разпространение	versprei
разпространение	sprei
разпространение	verspreiding
актриса	aktrise
актриса	actress
австрия	oostenrykse
австрия	oostenryk
художник	kunstenaar
назначен	toegewys
назначен	toegeken
назначен	toegeskryf
назначен	aangestelde
територия	gebied
сингъл	enkel
друго	ander
победа	wen
победа	oorwinning
борис	boris
права	regte
университета	universiteit
княз	vors
княз	prinse
княз	prince
княз	prins
режисьор	direkteur
служи	dien
служи	bedien
служи	bedien
съществува	bestaan
съдържа	bevat
решение	besluit
решение	oplossing
защита	presisie
защита	beskerming
защита	verdediging
защита	verdediging
защита	defence
гора	gora
гора	woud
гора	bos
идва	oppad
хайнрих	heinrich
просто	slegs
просто	net
столицата	hoofstad
официално	amptelik
официално	amptenaar
официално	amptelike
официално	formele
официално	formal
системи	sisteme
системи	stelsels
системи	systems
страници	bladsye
страници	blaaie
страници	bladsy
влияние	impact
влияние	impak
влияние	invloed
влияние	beïnvloed
съд	vaartuig
съд	hof
йохан	johann
йохан	johan
йохан	jochen
портал	portal
портал	gateway
портал	portaal
купа	koppie
купа	beker
мрежа	netto
мрежа	rooster
проект	projek
производство	produksie
производство	vervaardiging
създаване	skep
създаване	skepping
проф	prof
цвят	deursigtigheid
владимир	wladimir
промени	verander
промени	veranderings
промени	verander
промени	wysig
гола	naked
гола	naak
поле	terrein
поле	veld
области	distrikte
области	domeine
области	gebiede
професор	professor
селища	villages
селища	nedersettings
лятото	somer
продължение	voortsetting
продължение	volgehoue
продължение	deurlopende
продължение	voortdurende
джеймс	jakobus
джеймс	james
титли	titels
описание	uitbreidings
родена	gebore
възможност	moontlikheid
възможност	opportunity
разположени	geleë
луций	lucius
километра	kilometer
километра	kilometers
вилхелм	wilhelm
калифорния	california
калифорния	kalifornië
зона	sone
зона	omgewing
зона	gebied
зона	oppervlakte
зона	area
винаги	skuilname
винаги	altyd
издание	uitgawe
трети	derde
планината	berg
планината	mount
планината	monteer
сгради	geboue
условия	bepalings
условия	voorwaardes
условия	voorwaardes
условия	toestande
статут	statute
цели	doelwitte
цели	doele
цели	teikens
селище	skikking
тодор	todor
политици	politiek
политици	politici
политици	politikus
техните	hul
парк	park
тялото	lyf
тялото	liggaam
пространство	spasie
актьори	akteurs
организации	organisasies
песен	liedjie
песен	lied
военна	militêre
швеция	swede
йоан	johannes
йоан	john
клас	klas
златен	goue
златен	golden
златен	goud
поп	pop
сестра	suster
сестра	nurse
сестра	verpleegster
второ	tweedens
второ	sekondes
второ	sekonde
земя	aarde
земя	grond
земя	grond
земя	ground
земи	lands
земи	grond
турски	turkse
турски	turkish
проблеми	sukkel
проблеми	probleme
проблеми	problems
проблеми	kwessies
европейски	europees
европейски	europese
случаи	gevalle
пост	plasing
пост	plaas
пътя	pad
пътя	road
процес	proses
процес	verhoor
представител	verteenwoordiger
участието	deelname
гай	gaius
гай	guy
местоположение	location
местоположение	ligging
ново	nuut
ново	nuwe
списание	tydskrif
елементи	items
елементи	elemente
битка	slag
битка	veldslag
битка	combat
битка	veg
съдия	judge
съдия	regter
съдия	skeidsregter
показва	vertonings
показва	programme
връзки	verbindings
връзки	relationships
връзки	verhoudings
връзки	skakels
средства	fondse
езерото	meer
армията	weermag
армията	leër
армията	army
разположена	geleë
петров	petrov
месец	maand
испански	spaanse
испански	spaans
украйна	oekraïne
убит	vermoor
убит	vermoorde
убит	gedood
убит	doodgemaak
убит	vermoor
създаден	geskep
създадена	geskep
столица	hoofstad
черно	swart
децата	kinders
царство	koninkryk
поет	digter
двойки	paartjies
двойки	pare
републикански	republican
успех	sukses
успех	suksesvol
павел	pavel
брак	huwelik
секретар	sekretaris
секретар	sekretaresse
компания	maatskappy
съпругата	vrou
представители	reps
представители	verteenwoordigers
решава	besluit
годишна	jaarlikse
вместо	eerder
вместо	pleks
издаден	uitgereik
тракия	thrakië
възможно	moontlik
висока	hoë
висока	hoog
висока	tall
висока	lank
висока	hoog
ширина	breedtegraad
ширина	wydte
източник	bronne
източник	bron
културни	kulturele
статистика	statistiek
статистика	statistieke
статистика	statistiek
статистика	statistieke
статистика	statistieke
анна	anna
момент	oomblik
българите	bulgare
температура	koors
температура	temperatuur
предлага	aanbiedinge
предлага	offers
предлага	aanbiedings
глава	hoofstuk
водата	water
дело	kas
дело	geval
отношения	relationships
отношения	verhoudings
отношения	verhoudinge
отношения	betrekkinge
отношения	relations
отношения	verhouding
медал	medalje
въпрос	vraag
пол	geslag
пол	paulus
пол	paul
дружество	maatskappy
профил	profiel
съществуват	bestaan
сезона	seisoen
сградата	gebou
значително	grootliks
определя	bepaal
определя	stelle
основан	gestig
кораб	vaartuig
кораб	skip
кораб	skeep
кораб	craft
кораб	boot
икономика	ekonomie
икономика	ekonomie
икономика	ekonomies
офицер	beampte
цялото	hele
цялото	geheel
теория	teorie
общество	samelewing
общество	gemeenskap
общество	geselskap
преброяването	sensus
дълго	lank
райони	streke
райони	distrikte
райони	gebiede
езеро	meer
папа	pous
основа	fondament
основа	base
основа	onderliggende
основа	basis
основа	grondslag
елизабет	elizabeth
елизабет	elisabeth
елизабет	elisabeth
бивш	former
бивш	voormalige
дума	woord
полет	paulette
полет	vlug
двама	twee
реки	riviere
среда	omgewing
избори	verkiesing
избори	verkiesings
ясно	skoonmaak
ясно	skoon
ясно	duidelik
актриси	aktrise
актриси	actress
минути	mins
минути	minute
минути	minute
паметник	monument
достатъчно	genoeg
формата	vorm
включват	insluit
включват	ingesluit
уилям	willem
уилям	william
белгия	belgië
говори	praat
говори	praat
говори	speak
думи	woorde
школа	skool
шест	sesde
шест	ses
хиляди	duisende
заместник	adjunk
гвинея	guinee
такъв	wyl
такъв	sulke
храм	shrine
храм	tempel
храм	temple
горна	boonste
постепенно	gradual
романи	romans
забележителности	bakens
забележителности	besienswaardighede
контрол	kontrole
контрол	beheer
контрол	kontrole
контрол	kontroles
жан	jean
жан	jeanne
интернет	internet
американска	amerikaans
американска	american
американска	amerikaanse
границата	grens
римска	romeinse
океан	oseaan
зрители	kykers
география	geografie
административно	administratiewe
административно	verrig
победи	beat
победи	ritme
победи	klop
победи	wen
победи	oorwinnings
елена	helena
елена	elena
статистиката	statistiek
статистиката	statistieke
лудвиг	ludwig
космически	kosmiese
представя	presents
сграда	gebou
македонски	macedoniese
виж	sien
виж	kyk
съдържание	tevrede
съдържание	kommentaar
китара	kitaar
мъже	mans
мъже	manne
югославия	yugoslavia
епископ	biskop
епископ	loper
северно	noorde
северно	noord
музиката	musiek
острова	island
острова	eiland
морски	marine
морски	maritieme
черна	swart
високо	hoë
високо	hoog
системата	lêerstelsel
системата	sisteem
системата	stelsel
революция	rewolusie
революция	revolusie
пример	voorbeelde
пример	voorbeeld
луи	louis
луи	lodewyk
луи	louie
олимпийски	olimpiese
колумбия	columbia
колумбия	columbië
колумбия	colombia
полски	pools
полски	polish
полски	poolse
всъщност	eintlik
радио	radio
национална	nasionale
национална	national
национална	nasionaal
политическа	politieke
сръбски	serwies
маса	veranderlike
маса	tafel
маса	tabel
маса	massa
единствено	slegs
единствено	net
обекти	voorwerpe
обекти	objekte
обекти	vakke
робърт	robert
борба	stoei
борба	stryd
борба	struggle
борба	sukkel
борба	bakleiery
борба	fighting
борба	veg
направи	maak
практика	practice
практика	praktyk
практика	oefen
епоха	era
епоха	epog
план	plan
швейцария	switserland
швейцария	swiss
швейцария	switserse
швейцария	sweedse
посолство	ambassade
посолство	embassy
военно	militêre
средно	gemiddelde
средно	gemiddeld
средно	medium
сериал	reeks
сериал	series
специално	spesiaal
материали	gegewens
материали	rots
материали	materiaal
материали	materiale
материали	materiaal
число	nommer
число	getalle
число	getal
течение	lus
поема	gediggie
поема	gedig
кораби	boats
кораби	bote
кораби	skepe
кораби	vaartuie
берлин	berlyn
солун	thessaloniki
герой	held
герой	hero
целта	teiken
саксония	sakse
началник	chief
форми	vorms
форми	vorms
класиране	range
класиране	ranglys
класиране	stand
класиране	klassifikasie
класиране	wêreldranglys
посока	breuke
посока	rigting
посока	bestemming
съответно	accordingly
проекта	projek
спорт	verslae
спорт	sport
спорт	sportsoort
спорт	sportsoorte
спорт	sport
сам	alleen
сам	sam
нищо	niks
православна	ortodokse
играч	speler
широко	wyd
принос	bydrae
ото	otho
ото	otto
сравнително	relatively
публикува	publiseer
библиотека	biblioteek
скорост	spoed
редовни	gereelde
последен	last
последен	laas
последен	laaste
последен	jongste
къщи	huise
къщи	huise
руско	russies
руско	russiese
южен	suidelike
южен	suid
птици	voëls
открити	ontdekte
енергия	energie
световно	wêreldwyd
световно	wêreldwyd
световно	global
световно	globale
световно	globaal
джордж	george
партии	partytjies
партии	partye
установява	vasstel
открит	ontdekte
открит	gekry
открит	gevind
виена	wene
виена	wenen
южно	suid
училището	skool
обект	voorwerp
обект	onderwerp
територии	gebiede
територии	gebied
вариант	variant
вариант	opsie
долна	laer
долна	kleinletters
долна	verlaag
долна	sagter
долна	elektrisiteit
династия	dinastie
бог	god
телевизия	televisie
футболен	voetbal
издателство	uitgewer
долината	valley
долината	vallei
принцеса	prinses
илия	ilja
илия	elijah
илия	elia
дете	kinder
дете	kind
дете	kind
защо	hoekom
защо	waarom
граница	grens
граница	beperk
граница	frontier
аржентина	argentinië
аржентина	argentynse
база	base
база	onderliggende
база	basis
база	grondslag
отделни	afsonderlike
отделни	aparte
годините	jare
гол	doelwit
зад	agter
закон	reg
закон	wet
мартин	martinus
мартин	martin
титла	lêername
гърци	grieke
никога	nooit
никога	never
никога	omkeer
наречен	geroep
наречен	gebel
наречен	naamlik
полуостров	skiereiland
константинопол	konstantinopel
френска	frans
френска	franse
войници	soldiers
турнир	toernooi
международни	internasionaal
международни	internasionale
броя	counting
броя	tel
съюза	union
съюза	unie
подобни	soortgelyke
нейната	hers
последно	last
последно	laas
последно	laaste
последно	jongste
положение	situasie
лесно	maklik
лесно	maklike
отряд	squad
селата	villages
твърди	eise
науки	sciences
науки	wetenskappe
стойност	waarde
управлява	runs
кратко	kort
кратко	kortliks
кратко	sorteer
игра	speletjie
игра	spel
игра	toneelstuk
игра	speel
локомотив	lokomotief
блок	bloc
блок	blokkeer
блок	blok
инструменти	instruments
инструменти	instrumente
инструменти	gereedskap
средна	medium
подобно	soortgelyke
къща	house
къща	huis
обучение	oefening
обучение	opvoeding
обучение	opvoedkunde
обучение	onderwys
обучение	opleiding
обучение	onderrig
канал	kanaal
канал	kanaal
всяко	elke
наука	wetenskap
факултет	fakulteit
кмет	burgemeester
основен	basies
основен	basic
основен	basiese
пари	geld
том	tom
семейства	families
семейства	gesinne
зависимост	afhanklikheid
зависимост	dependence
рота	rota
рота	maatskappy
майор	major
майор	majoor
майор	hoofvak
такава	wyl
такава	sulke
относно	oor
научни	wetenskaplike
научни	wetenskaplik
композитор	komponis
композитор	samesteller
йордан	jordan
йордан	jordaan
космос	kosmos
космос	spasie
определени	gedefinieer
определени	omskryf
определени	gedefinieër
определени	vasbeslote
определени	vasberade
определени	bepaal
структура	struktuur
манастира	klooster
рано	vroeg
рано	vroeë
гео	geo
отива	goes
скопие	skopje
икономически	ekonomiese
португалия	portugal
дейвид	dawid
дейвид	david
градски	urban
градски	stedelike
национално	nasionale
национално	national
национално	nasionaal
национално	landswye
кръст	kruis
комплекс	komplekse
комплекс	kompleks
издадена	uitgereik
съвета	raad
полета	velde
полета	vlug
чест	honour
чест	gestand
чест	eer
чест	ere
чест	honor
час	vakansie
час	uur
гори	verbrand
гори	burns
гори	skryf
гори	skryfwerk
майкъл	michael
индонезия	indonesië
съоръжения	fasiliteite
съоръжения	verhuur
съоръжения	geriewe
рядко	selde
рядко	skaars
търговски	kommersiële
търговски	kommersieel
комисия	kommissie
комисия	komitee
планински	berg
тяхната	hul
учени	scholars
учени	scientists
израел	israel
корея	korea
единица	eenheid
чета	lees
чета	gelees
чета	lees
въпроси	kwessies
въпроси	vrae
изпълнение	implementering
изпълнение	werkverrigting
изпълнение	prestasie
изпълнение	opvoering
изпълнение	aksie
изпълнение	uitvoering
минава	herhalings
флот	navy
флот	vloot
флот	fleet
герои	heroes
герои	helde
герои	karakters
официална	amptelik
официална	amptenaar
официална	amptelike
официална	formele
официална	formal
компании	maatskappye
компании	companies
възпитаници	alumni
мир	vrede
певица	sangeres
певица	sanger
певица	singer
растения	plants
растения	plante
творчество	creativity
творчество	kreatiwiteit
продуцент	vervaardiger
продуцент	producer
преименува	hernoem
преименува	herbenoem
принц	vors
принц	prinse
принц	prince
принц	prins
стена	muur
разкази	berigte
разкази	stories
загуби	verlies
загуби	verlore
загуби	verloor
смисъл	betekenis
дълбочина	diepte
мадрид	madrid
фронт	voorkant
фронт	voor
фронт	front
изследване	opname
изследване	studeer
изследване	bestudeer
изследване	studie
изследване	navorsing
изследване	exploration
употреба	gebruik
употреба	gebruik
национални	nasionale
национални	national
национални	nasionaal
продукти	produk
продукти	produkte
министерството	ministry
министерството	ministerie
министерството	hoofgebou
кой	wie
техника	technique
техника	tegniek
стари	oud
стари	ou
тема	onderwerp
тема	tema
албания	albanië
изкуството	kuns
добро	goeie
добро	goed
подкрепа	ondersteun
подкрепа	ondersteuning
подкрепа	ondersteun
подкрепа	steun
подкрепа	bystand
активно	onaktiewe
активно	aktief
едновременно	gelyktydig
изключение	uitsondering
реките	riviere
снимки	prente
снимки	prentjies
автори	skrywers
автори	outeurs
братя	broers
братя	bros
асен	asen
видео	video
успешно	suksesvol
успешно	suksesvolle
успешно	suksesvol
тяло	lyf
тяло	liggaam
метъл	metaal
интерес	belangstelling
интерес	rente
коста	costa
коста	kosta
шаблони	voorbeelde
операция	operasie
операция	bewerking
операция	chirurgie
трета	derde
томас	thomas
срещи	datums
срещи	meetings
срещи	vergaderings
срещи	dating
едуард	edward
едуард	eduard
основна	hoof
основна	basies
основна	basic
основна	basiese
материал	gegewens
материал	rots
материал	materiaal
възстановяване	terugbetaling
възстановяване	restourasie
причини	redes
причини	sake
причини	oorsake
кралица	queen
кралица	dame
хил	heuwel
хил	hill
ирландия	ierland
висок	hoë
висок	hoog
висок	tall
висок	lank
висок	hoog
крепост	fortress
размери	dimensies
размери	groottes
размери	grotes
размери	groote
философия	filosofie
обратно	rug
обратно	agterkant
обратно	terug
сцена	scene
сцена	toneel
сцена	verhoog
сцена	stadium
сцена	etage
изглед	aansigte
изглед	kykers
изглед	aansig
изглед	besigtig
изглед	bekyk
звезда	ster
