άστρο	astro
κολύμβηση	berenang
κολύμβηση	renang
ανέβηκαν	dimuatnaik
καλοκαίρια	summers
δουλεία	perhambaan
δουλεία	perhambaan
νηπιαγωγείο	tk
νηπιαγωγείο	tadika
νηπιαγωγείο	prasekolah
χρέος	hutang
μειωμένη	penurunan
μειωμένη	mengurangkan
μειωμένη	terkurang
μειωμένη	dikurangkan
πιτ	pete
υπεύθυνοι	bertanggungjawab
βαυαρία	bavarian
βαυαρία	bavaria
νεκρή	dead
νεκρή	mati
σεβίλλη	sevilla
σεβίλλη	seville
κέρδος	profit
κέρδος	dapatan
κέρδος	gandaan
κέρδος	gain
σιέρα	sierra
πολωνός	polish
πολωνός	poland
θησαυρός	harta
θησαυρός	treasure
θησαυρός	tesaurus
χάος	kekacauan
χάος	kekusutan
κλαδιά	ranting
κλαδιά	cawangan
κλαδιά	cabang
κλαδιά	dahan
λεπτή	ramping
λεπτή	nipis
σουηδός	sweden
σινά	sinai
αυτιά	telinga
ηγεμονία	hegemoni
κατάρ	qatar
ευρεσιτεχνίας	paten
απόσπαση	pengeposan
απόσπαση	menyiarkan
μαλαισία	malaysia
μηχανήματα	mesin
μηχανήματα	jentera
μηχανήματα	mesin
πληροφορική	informatics
ποντίκι	mouse
ποντίκι	tetikus
μίλερ	miller
μίλερ	muller
πυκνό	padat
ύφασμα	kain
ύφασμα	kain
συμβουλή	nasihat
συμβουλή	petua
σφάλματα	kesilapan
σφάλματα	ralat
σφάλματα	pepijat
καραμανλής	karamanlis
συντελεστή	pekali
προσευχή	sembahyang
προσευχή	doa
άνταμς	adams
μεσημέρι	zuhur
μεσημέρι	tengahari
μεσημέρι	tengahari
ήξερε	knew
θυγατρική	subsidiari
διαφυγής	escape
ρομπ	rompak
ρομπ	rob
νευρικό	nervous
νευρικό	gementar
σουηδική	sweden
τρένο	keretapi
τρένο	kereta
τρένο	latih
αιθιοπίας	habsyah
κιριμπάτι	kiribati
βολιβία	bolivia
κύκλοι	bulatan
κύκλοι	kitar
κύκλοι	kitaran
μεσαίο	middle
μεσαίο	tengah
μεσαίο	medium
κάμερον	cameron
θεώρηση	visa
θεώρηση	visa
φόβος	ketakutan
φόβος	fear
κολωνία	cologne
βαθμίδα	tier
κατασκευαστές	pengilang
τροχιές	mengorbit
αρχικώς	awalnya
καζάν	kazan
κατάθλιψη	tertekan
κατάθλιψη	murung
κατάθλιψη	kemurungan
κατάθλιψη	depression
φανερό	obvious
επιβάλει	menguatkuasakan
λοιπά	lain
άλεν	allen
αλεξέι	alexei
βλαχίας	wallachia
όραση	penglihatan
όραση	visi
παρατηρητή	pemerhati
βαρβάρα	varvara
εκδηλώθηκε	diwujudkan
χρήστο	christo
σκληρός	kejam
σκληρός	susah
σκληρός	hard
σκληρός	keras
σκληρός	tough
διπλωμάτες	diplomat
νάνος	kenit
νάνος	kerdil
πρωταγωνιστεί	dibintangi
κατανοητό	difahami
κατανοητό	difahami
κλάδοι	cawangan
κλάδοι	cabang
κλάδοι	dahan
κλάδοι	sektor
αλβανική	albania
αναγκαίο	diperlukan
προαγωγή	promosi
επιβίωση	survive
επιβίωση	survival
ερυθρά	rubella
γιορκ	york
λιλ	lil
λιλ	lille
εξαιρετικό	cemerlang
εξαιρετικό	excellent
αισθήματα	emosi
αισθήματα	perasaan
εκδότες	penerbit
εκδότες	penyunting
εκδότες	editor
ομάν	oman
πρόσθεση	tambahan
πρόσθεση	menambahkan
πρόσθεση	menambah
φίλτρο	penapis
φίλτρο	tapisan
φίλτρο	ramuan
ηγούμενος	prior
ηγούμενος	pendeta
ομπάμα	obama
καγκελάριος	canselor
καγκελάριος	kanselor
καραϊβική	carribean
καραϊβική	caribbean
μεταμόρφωση	metamorfosis
μεταμόρφωση	transformasi
μεταμόρφωση	perubahannya
θεμελιώδη	fundamental
κίεβο	kiev
συμβάν	insiden
συμβάν	peristiwa
συμβάν	event
συμβάν	acara
βρείτε	find
διαμαρτυρίες	bantahan
ανεγέρθηκε	didirikan
δίωξη	fitnah
δίωξη	penyeksaan
δίωξη	dea
δίωξη	penuntut
κλασικά	klasik
κλασικά	klasik
κλασικά	klasikal
κλασικά	klasik
κλασικά	classic
δυναμικά	dinamik
ήθη	moral
άντι	andi
άντι	andy
άντι	addy
τεχνικός	juruteknik
χτύπησε	hit
χτύπησε	hentam
τέρας	beast
τέρας	binatang
τέρας	buas
τέρας	raksaksa
τέρας	monster
κατακτητές	penakluk
οπαδός	follower
οπαδός	pengikut
μεμβράνη	filem
μεμβράνη	membran
μεμβράνη	selaput
εισιτήριο	tiket
βεβαιότητα	kepastian
παράλληλες	selari
αποκαλύπτεται	dedah
πέταξε	terbang
πέταξε	lalat
πέταξε	fly
πέταξε	terbang
αριζόνα	arizona
τίτο	tito
αύριο	esok
λίνκολν	lincoln
ιόντων	ion
σίνα	sheena
μεταφέρονται	diangkut
συντελεστής	pekali
συντελεστής	kadar
συντελεστής	rate
συντελεστής	factor
συντελεστής	faktor
μισά	separa
μισά	separuh
μισά	haif
μισά	half
κληρικός	clergyman
διευθύνσεις	alamat
επιβεβαιώθηκε	confirmed
επιβεβαιώθηκε	disahkan
παλέρμο	palermo
ρητορική	retorik
ποταμούς	sungai
πρύτανης	rektor
εβραϊκό	yahudi
εβραϊκό	hebrew
εβραϊκό	ibrani
δημιουργό	pencipta
θάνος	thanos
φόρους	cukai
ευγενή	mulia
ευγενή	noble
δίδυμο	duo
δίδυμο	kembar
δίδυμο	twin
ουάσιγκτον	washington
γαλάζιο	blue
γαλάζιο	biru
γαλάζιο	azure
οικολογία	ekologi
πτώμα	body
πτώμα	bodi
πτώμα	badan
πτώμα	mayat
πτώμα	rentung
ερωμένη	gundik
ερωμένη	pencinta
ερωμένη	kekasih
ερωμένη	lover
διασπορά	selisih
διασπορά	dissemination
καύση	bakar
καύση	pembakaran
καύση	penulisan
καύση	membakar
καύση	pembakaran
καύση	penunuan
λετονίας	latvia
υπόγειο	underground
υπόγειο	basement
ποινές	denda
ποινές	ayat
αντίστροφο	songsang
ίντερνετ	internet
παρέχοντας	menyediakan
πεκίνο	beijing
πεκίνο	peking
ανοίγματα	bukaan
κρύο	sejukkan
κρύο	sejuk
ψηφοφόροι	pengundi
διάλογος	dialog
διάλογος	dialog
αντάντ	adad
τατζικιστάν	tajikistan
σάιμον	simon
σάιμον	simón
ύπαιθρο	countryside
χαλκό	copper
χαλκό	tembaga
χαλκό	kuprum
ουρουγουάης	uruguay
τρύπες	lubang
άμμο	pasir
αποθήκες	gudang
πλάσμα	plasma
πλάσμα	makhluk
πλάσμα	mahluk
πλάσμα	makluk
κλειδιά	kekunci
ισλαμικό	islam
δικαστής	hakim
δικαστής	hakim
δυνατά	bising
δυνατά	keras
τοπολογία	topologi
πολωνοί	polish
πολωνοί	poland
πολωνοί	patok
πολωνοί	kutub
πράσινοι	hijau
άξονες	paksi
αυτοκινητόδρομος	motorway
αυτοκινητόδρομος	lebuhraya
αυτοκινητόδρομος	highway
βίβλο	bible
βίβλο	alkitab
πιέτρο	pietro
μπρόντγουεϊ	broadway
κάθετη	menegak
βίκτωρ	viktor
βίκτωρ	victor
πράσινα	green
πράσινα	hijau
θιβέτ	tibet
θιβέτ	tibet
υποσχέθηκε	dijanjikan
σχεδιαστές	pereka
σχεδιαστές	perancang
λευκορωσίας	belarus
καλλιτεχνικές	artistik
προσωπικός	personal
προσωπικός	peribadi
αναλογίες	nisbah
δωρεές	derma
δωρεές	pendermaan
μεσοποταμία	mesopotamia
νοσοκομεία	hospital
καρδινάλιος	kardinal
επώνυμα	berjenama
παραδοσιακός	traditional
παραδοσιακός	tradisional
αποφασιστική	tegas
επιλεγμένα	dipilih
αγγελική	angelica
προτιμήσεις	keutamaan
έλξης	traction
έλξης	cengkaman
έλξης	tarikan
ψήφισαν	undi
ψήφισαν	diundi
τσώρτσιλ	churchill
ομαλή	licin
κληρικοί	clerics
εξυπηρέτηση	perkhidmatan
εξυπηρέτηση	khidmat
εξυπηρέτηση	servis
εξυπηρέτηση	service
τζέρι	garry
τζέρι	jerry
παραμύθια	tales
ρούζβελτ	roosevelt
κανόνια	meriam
γάμους	perkahwinan
μελετήσει	dikaji
μελετήσει	dipelajari
μελετήσει	belajar
παρασκευάζεται	manufactured
γλυκά	sweets
γλυκά	manisan
γλυκά	candy
γλυκά	sweet
αδριατική	adriatic
ολόκληρα	keseluruhan
ολόκληρα	whole
ταφή	pengebumiannya
ταφή	pengebumian
μονπελιέ	montpellier
σεραφείμ	seraphim
εκπομπών	kepulan
εκπομπών	pemancaran
εκπομπών	pancaran
φλοιό	salak
φλοιό	menyalak
φλοιό	korteks
μακάμπι	maccabi
ιντερτότο	intertoto
ανώνυμη	anonymous
ανώνυμη	awanama
ομιλητές	speaker
πρωταγωνίστρια	protagonis
πεπερασμένο	terhingga
εισοδήματος	pendapatan
μετανάστευσε	berhijrah
μεγαλώνει	berkembang
μεγαλώνει	membesar
μεγαλώνει	membesar
δανιήλ	daniel
φαρμακευτική	farmasi
φαρμακευτική	farmaseutikal
φαρμακευτική	farmasi
φαρμακευτική	farmaseutikal
συνδρομή	bantuan
συνδρομή	langganan
καππαδοκίας	cappadocia
παραδόθηκαν	delivered
παραδόθηκαν	dihantar
πεδιάδες	dataran
ακυρώθηκε	dibatalkan
ακυρώθηκε	dibatalkan
δραματικά	dramatik
δραματικά	dramatis
ναυτικά	nautika
τροία	troy
ιωνία	ionia
κατάλαβε	fahami
αμμωνία	ammonia
καθολικών	katolik
τρότσκι	trotsky
αρετή	kebajikan
κωμωδίες	comedies
σουτ	balingan
σουτ	shot
σουτ	syot
σουτ	ditembak
σουτ	shush
αντικαθιστά	ganti
αντικαθιστά	digantikan
εντυπώσεις	tanggapan
θεμελιώδεις	fundamental
κλικ	klik
κλικ	klik
θρύλο	lagenda
θρύλο	legend
προτροπή	maklumkan
προτροπή	gesa
προτροπή	makluman
προτροπή	cta
επιτυχής	berjaya
επιτυχής	kejayaan
επιτυχής	sukses
επιτυχής	berjaya
επιτυχής	success
δεκαέξι	sixteen
φρεντ	fred
μπραντ	brad
έλεν	ellen
έλεν	helen
χαμ	hamm
χαμ	ham
διάσωσης	menyelamat
σιγκαπούρη	singapura
σιγκαπούρη	singapore
δασκάλους	guru
λάρνακα	larnaca
κολοράντο	colorado
λαχανικά	sayuran
λαχανικά	sayur
ευτυχία	kebahagiaan
αντιμετώπισης	mengatasi
συνδεδεμένο	bersambung
συνδεδεμένο	disambungkan
συνδεδεμένο	terpaut
συνδεδεμένο	dipautkan
κρεβάτι	katil
τομπάγκο	tobago
ξύλινα	wooden
βικτόρια	victoria
μειονέκτημα	kecacatan
υεμένης	yaman
υεμένης	yemen
υεμένης	yaman
βέλος	arrow
βέλος	panah
μαγεία	ajaibnya
μαγεία	magic
μαγεία	sihir
μαγεία	magik
μαγεία	sihir
αστυνομικός	polis
αστυνομικός	cop
σίδνεϊ	sydney
επιχειρησιακή	beroperasi
ικανή	berkebolehan
ικανή	mampu
έβανς	evans
απομνημονεύματα	memoirs
απομνημονεύματα	memoir
βίκι	vicky
βίκι	vicki
μήνας	bulan
ανεπίσημα	unofficial
ανεπίσημα	unofficially
φυσιολογικά	kebiasaannya
στάθμη	aras
απότομα	curam
ρουμανική	romania
στέλλα	stella
δικηγόροι	peguam
κατάλοιπα	residues
σπουδαστές	pelajar
σπουδαστές	murid
παύση	jeda
παύση	jeda
λετονία	latvia
αργίες	percutian
αργίες	bercuti
αργίες	cuti
εισαγγελέας	pendakwa
νταβίντ	daud
νταβίντ	david
κατοικούσε	resided
γραφική	graf
κάρολ	carol
κάρολ	carroll
χωρισμένη	bercerai
μπαρμπούντα	barbuda
διαφορετικοί	berbeza
χένρυ	henry
συμβολική	simbolik
κλειστά	ditutup
κλειστά	tertutup
ρύζι	nasi
ρύζι	beras
σελίμ	selim
χαβάη	hawaii
αποζημίωση	pampasan
πρόσφατο	terbaharu
κόμβος	nod
κόμβος	hab
κόμβος	hub
πρίγκηπας	putera
κωμικός	komik
κωμικός	comic
κωμικός	pelawak
τομέ	tomé
κρατήρα	kawah
καλησπέρα	petang
μάη	may
μάη	mei
χάγη	hague
υποδομές	infrastruktur
καθοριστικό	tegas
ρέιντζερς	rangers
σκι	ski
σκι	ski
σκι	ski
εβδομαδιαία	mingguan
εβδομαδιαία	weekly
καθορίζουν	takrif
ρόμα	roma
μίτσελ	mitchell
βανουάτου	vanuatu
πλούσιος	kaya
παρακολούθησης	pemantauan
παρακολούθησης	memantau
ευημερία	kemakmuran
φυματίωση	tbc
αυστραλός	australian
αυστραλός	australia
βρυξελλών	brussels
υποκατηγορίες	subkategori
ανάσταση	kebangkitan
μπαρμπάντος	barbados
τρινιντάντ	trinidad
τζόναθαν	jonathan
κληρονόμησε	mewarisi
κληρονόμησε	diwarisi
αδελφότητα	persaudaraan
αδελφότητα	persaudaraan
αδελφότητα	persaudaraan
αδελφότητα	brotherhood
συντηρητικό	pengawet
συντηρητικό	konservatif
διαχειρίζεται	uruskan
διαχειρίζεται	menguruskan
περιορισμός	pengehadan
αψίδα	lengkuk
αψίδα	arch
ψήφισε	undi
ψήφισε	diundi
κράμα	alloy
πανεπιστημίων	universiti
φιλίπ	philippe
φιλίπ	filip
κάμπος	campos
τόγκο	togo
γάτες	kucing
ριντ	reid
ριντ	reed
νόμιμη	perundangan
νόμιμη	legal
νόμιμη	halal
χρήσιμα	bermanfaat
χρήσιμα	berguna
γυμναστική	senaman
γυμναστική	gimnastik
ανάβαση	hamal
ανάβαση	pendakian
ανάβαση	climbing
ανάβαση	mendaki
ανάβαση	memanjat
ανάβαση	panjat
ανάβαση	daki
λιμένες	pelabuhan
λιμένες	port
κόμβους	knots
κόμβους	knot
κόμβους	nod
παρθένος	virgo
παρθένος	virgin
παρθένος	perawan
λίβανο	lubnan
πύλου	pylos
δεξαμενές	tank
εγκρίνει	approve
οσμή	bau
οσμή	berbau
καίσαρ	caesar
συμπλήρωση	penyempurnaan
συμπλήρωση	pelengkapan
συμπλήρωση	melengkapkan
συμπλήρωση	pelengkap
συμπλήρωση	supplement
κλαύδιος	claudius
στίχος	ayat
πρόσληψη	pengambilan
πρόσληψη	hiring
κυβερνήτες	gabenor
κυβερνήτες	pembaris
μπιπ	bip
μπιπ	berbunyi
επισκέψεις	lawatan
γενέτειρα	hometown
γενέτειρα	birthplace
επέζησε	survive
επέζησε	terselamat
σοσιαλιστικής	sosialis
θύρα	gate
θύρα	pelabuhan
θύρα	port
ζημιά	rosak
ζημιά	kerosakan
διόλη	diol
γιούρι	yuri
γιούρι	uri
λίρα	lira
λίρα	pon
λίρα	paun
σκοτεινό	gelap
λεωφορεία	bas
ζερμέν	germaine
πρόσθετα	additives
πρόσθετα	pemalam
πρόσθετα	plugin
πλούτωνα	pluto
κρατίδια	länder
τζέι	jay
αμοιβαία	bersama
καταιγίδα	ribut
καταιγίδα	storm
μπλάκμορ	blackmore
αλγεβρική	algebra
τρίτες	selasa
τόξου	lengkung
τόξου	arc
τόξου	lengkok
ενδιαφέρουσα	menarik
διαφάνεια	ketelusan
διαφάνεια	lutsinar
αντιρρήσεις	bantahan
δημιουργοί	pencipta
δημιουργοί	pengarang
δημιουργοί	penulis
μπουτάν	bhutan
ενθουσιασμό	keghairahan
ενθουσιασμό	keterujaan
ενθουσιασμό	kegembiraan
ενθουσιασμό	keghairahan
λοατ	lgbt
γιοχάνες	johannes
αξιωματούχοι	pejabat
νύφη	pengantin
βασανιστήρια	penyeksaan
καλημέρα	morning
κάλτσιο	calcio
τοσκάνης	tuscan
διερεύνηση	siasatan
διερεύνηση	penyiasatan
διερεύνηση	penyelidikan
σύνθετο	gubahan
σύνθετο	komposit
σύνθετο	complex
σύνθετο	kompleks
μειονότητα	minoriti
προσωρινός	sementara
προσωρινός	temp
χειμώνας	winter
ανέβασε	dimuatnaik
κυριαρχούν	kuasai
κυριαρχούν	mendominasi
προκήρυξη	perisytiharan
προκήρυξη	pengisytiharan
όνειρα	mimpi
όνειρα	dream
όνειρα	mimpi
όνειρα	impian
όνειρα	dreams
συμμαχικές	serumpun
συμμαχικές	berikat
βασικού	asas
βασικού	basic
αποκαταστάθηκε	dipulihkan
σιβηρία	siberia
απορρόφηση	penyerapan
αναβάθμιση	naiktaraf
αναβάθμιση	tatar
μογγολία	mongolia
τελικοί	final
τελικοί	finals
χωριστά	berasingan
χωριστά	berasingan
φίσερ	fisher
φίσερ	fischer
συσχέτιση	correlation
πολωνικά	polish
πολωνικά	poland
κέιν	cain
κέιν	kane
κέιν	caine
κατηγοριοποιούνται	categorised
ορθογώνιο	segiempat
λάος	laos
πανοραμική	panorama
πανοραμική	panorama
κοινωνιολογία	ijtima
φτώχεια	kemiskinan
φτωχή	kesian
στίχο	ayat
φρανκφούρτη	frankfurt
ιουστινιανού	justinian
κύριε	sir
κύριε	tuan
κύριε	encik
μυστήρια	misteri
θάλαμο	chamber
καταδίκασε	dijatuhi
καταδίκασε	dikutuk
περιφερειακά	serantau
νύμφη	nymph
βιογραφίες	biographies
κάμερα	kamera
κάμερα	camera
βαβυλώνα	babylon
τραγικό	tragis
τραγικό	tragik
ανθρωπότητα	kemanusiaan
παπά	pengkhutbah
παπά	penceramah
παπά	imam
αντιπρόσωποι	perwakilan
αντιπρόσωποι	delegasi
συμβούλια	councils
ναυάγιο	shipwreck
επιβεβαιώνεται	confirmed
επιβεβαιώνεται	disahkan
παράγωγο	terbitan
ζυρίχη	zurich
ζυρίχη	zurich
συγνώμη	sorry
συγνώμη	maaf
σχετικότητας	relativiti
σχετικότητας	kerelatifan
στέψη	pertabalan
λουκ	luke
βομβαρδισμό	shelling
βομβαρδισμό	bombardment
βομβαρδισμό	pengeboman
βίαιη	keganasan
τρένα	keretapi
ιονίου	ionian
κέπλερ	kepler
καπετάνιος	kapten
καπετάνιος	nakhoda
κυκλικό	membulat
φίλε	dude
φίλε	lelaki
αμίνη	amina
αμίνη	amine
ηφαιστειακή	volcanic
παπούτσια	kasut
χόφμαν	hoffmann
χόφμαν	hoffman
οντάριο	ontario
πρωτεύουσες	capitals
βατικανό	vatican
χρησιμότητα	utiliti
ακούσει	mendengar
ακούσει	didengar
παρουσιάζοντας	presenting
φυλάσσεται	dijaga
γουίλσον	wilson
ηρώδη	herod
υποψηφίων	calon
στηβ	steve
πολύτιμα	precious
πολύτιμα	mustika
πράκτορες	agen
πράκτορες	ejen
ομοιότητα	kemiripan
ομοιότητα	persamaan
διαφημίσεις	iklan
διαφημίσεις	ads
οπλισμό	armament
φυσιολογική	normal
δεκαετιών	dekad
δεκαετιών	berdekad
γουόλτερ	walter
άνετα	selesa
άνετα	selesa
τζούλια	giulia
τζούλια	julia
οξφόρδη	oxford
απορρίπτει	mendustakan
ατλάντα	atlanta
μον	mont
μον	mon
γνωριμία	berkenalan
προσωρινό	sementara
πληροί	meets
πληροί	memenuhi
λιοντάρια	singa
λιοντάρια	lions
μαρίνο	marino
έντυπο	borang
τριλογία	trilogi
μεταλλική	logam
μεταλλική	metallic
μονοπάτια	jejak
πακέτα	pakej
πακέτα	paket
πακέτα	pek
συνεχές	berterusan
επιφανειακή	dangkal
πνεύματα	roh
πνεύματα	arwah
πνεύματα	spirit
αντουάν	antoine
λοίμωξη	jangkitan
εμίλ	emile
εμίλ	emil
απόπειρες	cubaan
απόπειρες	percubaan
τηλέφωνο	phone
τηλέφωνο	telefon
τηλέφωνο	telephone
τηλέφωνο	telefon
επαρκή	memadai
εβραϊκά	hebrew
εβραϊκά	ibrani
έγκυος	hamil
έγκυος	pregnant
κριμαία	crimea
λάνκαστερ	lancaster
σύμμαχος	ally
καθίσματα	kerusi
χαρτοφυλακίου	portfolio
διανέμεται	diedar
διανέμεται	diagihkan
διανέμεται	diedarkan
διανέμεται	teragih
διασποράς	kluster
άρνολντ	arnold
σπόρους	biji
σπόρους	benih
αρχιεπισκοπή	archdiocese
μπέιζμπολ	besbol
κατέθεσε	bersaksi
τζιμπουτί	djibouti
επίτευγμα	pencapaian
επίτευγμα	pencapaian
επίτευγμα	achievement
πιστεύοντας	beriman
πιστεύοντας	mempercayai
αντιτορπιλικό	pemusnah
όψεις	sisinya
τζούνιορ	junior
φεγγάρι	bulan
φεγγάρι	moon
συνήθης	biasa
τηλεπικοινωνιών	telekomunikasi
δημιουργική	kreatif
μπενφίκα	benfica
στεφάνι	hoop
κουν	khun
κουν	kun
κουν	kuhn
σκληρότητα	kekejaman
σκληρότητα	hardness
σκληρότητα	kekerasan
μότσαρτ	mozart
στρατηγούς	jeneral
ρένα	rena
εξηγήσεις	penjelasan
αλμπέρτο	alberto
πληρωμή	bayar
πληρωμή	bayaran
πληρωμή	pembayaran
ξενοφών	xenophon
λύσει	solve
υπόσχεση	janji
υπόσχεση	ikrar
υπόσχεση	berikrar
τόνγκα	tonga
μπροστινό	front
μπροστινό	depan
μπροστινό	hadapan
θηλαστικών	mammalian
φόρου	cukai
βερόνα	verona
πάρκερ	parker
γερουσιαστές	senator
ενωμένη	bersatu
ενωμένη	united
κινητά	mobile
κινητά	bimbit
λίθιο	litium
διάβασε	baca
στάλθηκαν	hantar
στάλθηκαν	sent
στάλθηκαν	dihantar
θουκυδίδης	thucydides
αρχίζοντας	bermula
αρχίζοντας	memulakan
ανάρτηση	suspension
ανάρτηση	penggantungan
μετράει	kiraan
μετράει	membilang
φάλαγγα	phalanx
φάλαγγα	konvoi
δέσμη	bundle
εξερευνητής	penjelajah
εξερευνητής	peneroka
εξερευνητής	explorer
άντον	anton
λισαβόνας	lisbon
αστικές	urban
ορατή	kelihatan
ορατή	tampak
ορατή	kebolehlihatan
συναισθηματική	emosional
συναισθηματική	beremosi
συναισθηματική	sentimental
πείνα	kebuluran
πείνα	kebuluran
πείνα	hunger
πείνα	berlapar
πιθανότητας	kebarangkalian
ενδιαφέρονται	berminat
χειρισμό	pengendalian
χειρισμό	mengendali
χέρμπερτ	herbert
σεμινάρια	seminar
ύψη	ketinggian
μπόμπι	bobby
πρίγκιπες	putera
πρίγκιπες	princes
ομάρ	omar
μπορντό	bordeaux
μπορντό	burgundy
απόφοιτος	graduan
απόφοιτος	lulus
απόφοιτος	graduate
τζέισον	jason
καταλανικά	catalan
καταλανικά	catalonia
αυτόνομο	autonomi
αιτιολογία	justifikasi
μεθάνιο	metana
τάκη	taki
ανάμειξη	pengadunan
ανάμειξη	campurkan
απόρριψη	penolakan
απόρριψη	pembuangan
απόρριψη	pelupusan
απόρριψη	bersurai
απόρριψη	ditolak
απόρριψη	rejected
ζητήθηκε	dipinta
ζητήθηκε	meminta
ζητήθηκε	diminta
επαμεινώνδας	epaminondas
ισπανούς	spaniards
παράδοξο	paradox
οχτώ	lapan
βαλτική	baltik
αγοράστηκε	dibeli
αγοράστηκε	dibeli
αγοράστηκε	bought
κέιμπριτζ	cambridge
μεταλλικά	logam
μεταλλικά	metal
μεταλλικά	logam
μεταλλικά	metallic
κεμάλ	kemal
εστιατόρια	restoran
προτείνεται	dicadangkan
προτείνεται	saranan
προτείνεται	disyorkan
εφαρμόστηκε	gunaan
εφαρμόστηκε	dilaksana
εφαρμόστηκε	diterapkan
εφαρμόστηκε	dilaksana
εφαρμόστηκε	dilaksanakan
σύντροφος	komrad
σύντροφος	pendamping
γονίδια	gen
ακραίες	ekstrem
ακραίες	melampau
τούρκου	turku
έτοιμο	ready
έτοιμο	siap
μπερνάρ	bernard
ραψωδία	yanie
ψυχική	psikik
ψυχική	mental
πρόωρα	pramatang
απασχολεί	pekerjanya
συνθέτουν	gubah
ενήλικα	dewasa
λογότυπα	logo
γαμπρός	groom
σομαλία	somalia
σεμπάστιαν	sebastian
χορηγός	menaja
χορηγός	ditaja
χορηγός	tajaan
χορηγός	taja
χορηγός	penaja
αντιστοιχία	mancis
αντιστοιχία	padan
ντόπιοι	tempatan
διέλευση	menyeberang
διέλευση	melintas
διέλευση	transit
μερίδιο	share
ουγκάντα	uganda
γόνος	bertelur
σχεδιάσει	dirancang
σχεδιάσει	terancang
πυρετό	demam
αποκαλύψει	reveal
αποκαλύψει	dedahkan
ζάχαρη	gula
παράγραφο	perenggan
διευθέτηση	penyelesaian
χρησιμοποίηση	guna
βέρνερ	werner
εξαφανίστηκε	menghilang
αντίστροφη	songsang
μάνο	mano
ενέπνευσε	inspired
ενέπνευσε	diinspirasikan
ενέπνευσε	diilhamkan
