atom	àtom
naglasiti	subratlla
kum	padrí
uvale	badies
svjedok	testimoni
brojke	xifres
brojke	figures
batman	batman
dijalog	diàleg
usvojen	adoptats
usvojen	adoptat
istraživao	investigat
istraživao	investigat
koloniju	colònia
pozitivan	positiu
pozitivan	positiva
pozitivan	positius
odluci	decisió
apache	apache
apache	apatxe
prihvaćanje	acceptar
prihvaćanje	acceptació
dob	edat
podne	migdia
kritizirao	criticat
tina	tina
debljina	gruix
dolar	dòlar
sjene	ombres
sjene	ombra
sjene	shadow
staljin	stalin
pripovijetke	narracions
walckenaeria	walckenaeria
lopez	lópez
lopez	lopez
jimi	jimi
rtl	rtl
poteškoća	dificultat
disanje	respiració
disanje	respirant
ogroman	enorme
software	programari
arabije	aràbia
predsjedništvo	presidència
olga	olga
jede	menjant
odgoja	nodrir
gusto	gruix
gusto	gruixut
konga	conga
rekonstrukcija	reconstrucció
erupcija	erupció
šesnaest	setze
nicolas	nicolas
kan	khan
kan	kan
sumnja	sospitosos
sumnja	sospita
sumnja	dubte
sumnja	dubtes
sumnja	sospitava
schneid	schneid
sbc	sbc
uživa	gaudint
igranje	jugant
jaki	forts
jaki	forta
jaki	fort
horn	banya
horn	horn
pobunjenika	rebel
pristupio	accedit
pažljivo	atentament
biblija	bíblia
četrnaest	catorze
koordinate	coordenades
walesa	wales
stockholm	estocolm
stockholm	stockholm
magnetsko	magnètic
zbunjen	confús
zbunjen	confós
zbunjen	confosa
standardima	estàndards
kontroverze	controvèrsia
kontroverze	polèmica
abdul	abdul
margaret	margaret
price	preu
price	històries
price	relats
stana	stan
židove	jueus
židove	jueu
cactaceae	cactaceae
agyneta	agyneta
vojislav	vojislav
atlantic	atlantic
atlantic	atlàntic
očuvanju	preservació
blokiran	bloquejats
blokiran	bloquejat
svinje	porcí
svinje	porcs
platforme	plataformes
arterije	artèries
aves	aves
plamen	flama
plamen	flames
cibona	cibona
beat	beat
čuvar	guardià
čuvar	tutor
čuvar	guardià
čuvar	guardian
čuvar	guàrdia
ratko	ratko
melodije	melodies
melodije	tunes
kiss	kiss
kiss	petó
optužio	imputats
odgovorna	responsable
anolis	anolis
doseg	interval
premijeru	estrena
infrastrukture	infraestructures
infrastrukture	infraestructura
okusa	sabors
okusa	gust
okusa	sabor
prekinuta	interromput
osjećaje	sentiments
lamarck	lamarck
hipoteza	hipòtesi
organiziranje	organitzant
obrt	ofici
obrt	artesania
kylie	kylie
pravno	legalment
pravno	jurídic
pravno	legal
pravno	legals
zbroj	sumatori
zbroj	suma
bačka	bačka
diamond	diamond
diamond	diamant
neil	neil
preživjeti	sobreviure
predlošci	plantilles
duncan	duncan
schult	schult
fern	falguera
airbus	airbus
clara	clara
slijedio	seguí
slijedio	seguit
pera	ploma
pera	plomes
norme	norma
nosa	nas
bomba	bomba
metalni	metall
metalni	metal
tower	torre
tower	tower
bush	bush
euonymus	euonymus
ujak	oncle
ujak	tiet
dokumenta	documents
dokumenta	document
bauer	bauer
izvorna	original
dominiraju	dominar
sara	sarah
sara	sara
lokomotive	locomotor
rené	rené
rené	rene
česi	txecs
radoslav	radoslav
neriješeno	empat
neriješeno	corbata
sullivan	sullivan
firenca	florence
firenca	florència
slabi	dèbil
slabi	feble
svijetlo	llum
braun	braun
preporučuje	recomana
preporučuje	recomanats
preporučuje	recomanada
preporučuje	recomanable
preporučuje	recomanat
predsjednici	presidents
dodavanja	sumant
robovi	esclaus
zadatke	assignacions
zadatke	cessions
zadatke	tasques
posjeti	visiteu
posjeti	visita
posjeti	visites
posjeti	visitant
ekonomist	economista
emitiranje	emissió
emitiranje	radiodifusió
iata	iata
parkova	parcs
pločice	rajola
pločice	fitxes
izrazi	expressions
vladislav	vladislav
vulkan	volcà
vulkan	vulcan
crocidura	crocidura
jacob	jacob
odvodi	desguassos
odvodi	drenatges
purcell	purcell
katoličanstvo	catolicisme
vegetacije	vegetació
rasbora	rasbora
okružuju	envolten
inspektor	inspector
intervencije	intervencions
intervencije	intervenció
tucker	tucker
porez	impost
porez	impostos
jame	fosses
jame	pou
portland	portland
diana	diana
pretpostavka	conjectura
pretpostavka	assumpció
predgrađu	arrabal
predgrađu	suburbana
predgrađu	urbanitzacions
isaac	isaac
gljive	xampinyons
gljive	bolets
gljive	bolet
pojačanje	reforços
logore	campaments
tumora	tumor
sjeme	llavor
sjeme	llavors
lucija	luci
lucija	lucia
rožnice	còrnia
rožnice	limbe
branitelj	defensor
poljoprivredi	agricultura
preostalo	restant
preostalo	restants
dunal	dunal
silvio	silvio
majica	camisa
zur	zur
algonquian	algonquian
smjernice	orientació
smjernice	orientacions
smjernice	directrius
srebrni	plata
estonija	estònia
ibrahim	ibrahim
hladno	fred
duhovno	espiritual
eduardo	eduardo
elongatus	elongatus
ehrenberg	ehrenberg
armenija	armènia
grace	gràcia
grace	gracia
vladavinu	regnat
otte	otte
radar	radar
komentare	comentaris
komentare	observacions
pérez	pérez
prebivalište	residència
eagle	àguila
eagle	àliga
droga	drogues
droga	fàrmacs
droga	droga
pogubljen	executat
pogubljen	executada
julia	julia
julia	júlia
tin	tin
tin	llauna
baba	baba
moto	lema
bombardiranje	bombardeig
goli	despullada
goli	nua
moral	moral
moral	moralitat
moral	moral
jamie	jamie
camus	camus
fiba	fiba
podržavao	subvencionat
podržavao	recolzada
andromeda	andròmeda
označena	etiquetat
označena	etiquetada
označena	etiquetats
označena	marcat
valove	ones
valove	onades
rey	rey
hunter	caçador
hunter	hunter
tajno	secretament
tajno	secret
akt	acte
akt	act
etimologija	etimologia
seks	sexe
seks	sex
locke	locke
melichar	melichar
uha	oïda
uha	orella
qld	qld
ponuda	ofertes
ponuda	ofereix
ponuda	oferta
holm	holm
unutra	inside
unutra	endins
unutra	dins
meč	coincidència
jutra	matins
aplikacije	aplicacions
aplikacije	aplicacions
čaj	tea
čaj	te
ine	ine
ames	ames
pokretač	llançadora
forma	forma
forma	formulari
inspiracija	inspiració
puk	regiment
transfer	traspàs
transfer	transferència
transfer	trasllat
veljko	veljko
lgbt	lgbt
lgbt	lgtb
memorije	memòria
pride	orgull
rex	rex
kent	kent
kupila	comprat
floridi	bolvir
floridi	florida
obred	ritu
pratnju	escorta
restoran	restaurant
eleutherodactylus	eleutherodactylus
had	hades
pružanje	aportant
pješaštvo	infanteria
poteškoće	dificultat
poteškoće	dificultats
sadašnjost	presents
sadašnjost	present
rasprostranjena	generalitzat
rasprostranjena	generalitzada
glina	glynn
glina	argila
homer	homer
perrier	perrier
blizine	proximitat
chuck	chuck
bis	bis
bis	encore
portreta	retrats
službenik	oficial
bijelci	blancs
sajam	fira
zaustavio	aturat
garden	jardí
primijetio	preavís
primijetio	notat
primijetio	adonat
prisilno	forçada
prisilno	forçat
poslovna	negoci
poslovna	negocis
elektrode	pales
elektrode	elèctrode
elektrode	elèctrodes
varoš	varoš
uvala	inlet
uvala	badia
utvrđivanje	determinació
očigledno	obvi
očigledno	evident
ponos	orgull
zdenka	zdenka
cole	cole
fosila	fòssils
mozaik	mosaic
sitne	petty
marsh	pantà
graz	graz
složene	doblades
komponenta	component
matične	tija
podružnica	subsidiària
podružnica	filial
zamisli	imaginar
zamisli	imagineu
zamisli	imagina
naslovi	titulars
naslovi	títols
uvid	perspicàcia
kažnjen	castigat
kažnjen	castigada
sonata	sonata
novaka	novak
novaka	rookies
novaka	captacions
solin	solin
madrida	madrid
cbs	cbs
oštećenje	danys
balkana	balcànica
urbana	urban
castle	castell
romane	roman
romane	romà
ratove	guerres
platanthera	platanthera
zvijeri	bèstia
zvijeri	bèsties
jurij	iuri
elektronički	electronic
elektronički	electrònicament
carmen	carmen
zube	dents
wheeler	wheeler
nigra	nigra
uspona	altes
ostvaren	complerta
ostvaren	aconseguit
ostvaren	assolits
oslobođeni	alliberades
oslobođeni	alliberada
oslobođeni	alliberat
naboj	càrrec
alcock	alcock
albume	àlbums
aleksandr	aleksandr
jednaki	iguals
indoneziji	indonèsia
oklopna	blindat
oklopna	blindada
oklopna	blindades
vijećnica	regidora
utvrđeni	fortificada
bugari	búlgars
pozadina	antecedents
pozadina	fons
izumiranja	extinció
helsinkiju	hèlsinki
helsinkiju	helsinki
naočale	ulleres
partneri	socis
terapije	teràpia
piloti	pilots
otočića	langerhans
alija	alí
alija	ali
olimpija	olimpija
sivi	gray
sivi	gris
sivi	grey
nasilno	violent
sirije	síria
luther	luther
uhvatiti	captura
xbox	xbox
reputaciju	reputació
siva	gray
siva	gris
siva	grey
deklaracija	declaració
wells	pous
harvard	harvard
gubici	pèrdues
coelotes	coelotes
gardner	gardner
povlastice	privilegis
povlastice	prestacions
povlastice	beneficis
phillips	phillips
spencer	spencer
žensko	femení
žensko	femella
poslovanje	negoci
poslovanje	negocis
skijaš	esquiador
orbitu	òrbita
svetozar	svetozar
break	break
break	descans
primarna	primària
primarna	primari
zarada	lucre
nivo	nivell
jana	jan
jana	jana
jedinstveno	úniques
jedinstveno	únic
olovo	plom
pag	pag
ostavi	excedència
kanadu	canadà
oceaniji	oceana
tvorac	maker
tvorac	creador
notropis	notropis
napušten	abandonat
preživjela	supervivent
mia	mia
odabran	seleccionat
odabran	seleccionats
melfi	melfi
lam	lam
hoda	caminant
hoda	passeigs
hoda	caminades
svile	seda
žile	veins
žile	venes
div	gegant
div	div
stefana	stefan
neboder	gratacel
ostavljajući	deixant
sredina	centre
sedma	setena
sedma	setè
sharp	sharp
sharp	sostingut
rušenje	enderroc
rušenje	demolició
glasovi	votacions
glasovi	vots
glasovi	veus
urednici	editors
urednici	redactors
ljubomir	ljubomir
podnijeti	mànec
podnijeti	presentin
stao	aturat
mason	mason
mirovina	jubilació
mirovina	pensió
vatikan	vaticà
pobunjenici	rebels
uspostavi	establirà
parkovi	parcs
kung	kung
viridis	viridis
carice	emperadriu
mornar	mariner
lucius	luci
granate	projectils
granate	closques
granate	granades
che	che
cvijeće	flors
kratera	cràters
kratera	cràter
buffalo	buffalo
vežu	obliguen
licence	llicències
licence	llicencies
hal	hal
tumačenja	interpretacions
nacionalizam	nacionalisme
predstavljali	representada
predstavljali	representats
predstavljali	representades
predstavljali	representat
prethodna	anterior
carolina	carolina
puerto	puerto
herman	herman
tursko	turc
benfica	benfica
seta	conjunts
redovnik	monjo
islamski	islàmic
islamski	islàmica
sarà	sarà
asteroida	asteroide
asteroida	asteroides
vrta	jardí
označavanje	etiquetatge
struke	professió
prikazane	mostrat
iznose	imports
šesta	sisena
šesta	sisè
omogućeno	habilitat
nil	neil
nil	nil
chu	chu
glenn	glenn
aljaska	alaska
specifičan	específics
specifičan	específic
anglo	anglo
demokracija	democràcia
čimbenik	factor
modul	mòdul
uništava	destruint
uništava	destrueix
koplja	javelin
koplja	llances
koplja	llança
materije	matèria
tenor	tenor
rap	rap
uhićenja	detencions
berlina	berlin
berlina	berlín
grafika	gràfics
trofeja	trofeus
nana	nana
nana	nanna
antoine	antoine
strasti	passions
strasti	passió
prosvjeda	protestes
mont	mont
tribine	grades
nataša	natasha
matej	matthew
matej	mateu
kamiona	camions
steel	acer
lily	lily
dvorištu	pati
alonso	alonso
reed	reed
agardh	agardh
kira	kira
inka	inca
palo	palo
ustavni	constitucional
ustavni	constitucionals
presuda	frase
presuda	veredicte
presuda	sentència
newcastle	newcastle
rtb	rtb
tipičan	típica
tipičan	típic
pojačanja	reforços
ugrađeni	incrustat
ugrađeni	encastat
laurent	laurent
pretjerano	excessiva
pretjerano	excessiu
principa	principis
erik	erik
erik	eric
izotopa	isòtops
itf	itf
brodogradilište	drassana
mapa	mapa
višak	excedent
višak	excedents
višak	excés
ropstva	servitud
teoretski	teòrica
teoretski	teòric
teoretski	teòricament
manjak	manca
manjak	falta
manjak	dèficit
odlučiti	decidint
uvjeren	confiat
uvjeren	convençut
uvjeren	convençuts
gregory	gregori
gregory	gregory
allmusic	allmusic
planirano	programades
planirano	planificat
planirano	programada
planirano	planificat
planirano	planejat
automobili	cars
automobili	cotxes
automobili	automòbils
praga	praga
konjica	cavalleria
ahmad	àhmad
ahmad	ahmad
teza	tesi
teza	tesis
manning	manning
prihvati	acceptar
prihvati	accepta
becker	becker
odvajanje	separació
arheolog	arqueòleg
odgovori	respostes
odgovori	resposta
odgovori	respon
registar	registre
ostanak	quedant
litoria	litoria
adrese	adreces
godišnjak	anuari
paše	fits
standarde	estàndards
zmaju	drac
privremeni	temporal
žlijezda	glàndula
pridjev	adjectiu
rafinesque	rafinesque
istrage	investigacions
maculatus	maculatus
umjetnica	artista
deveti	novè
tajland	tailàndia
prijateljska	simpàtica
prijateljska	amistós
biološki	biològics
biološki	biològic
biološki	biològicament
stephan	stephan
hum	hum
umijeće	destresa
umijeće	habilitat
schenkel	schenkel
stolica	cadira
stolica	tamboret
berk	berk
cyclosa	cyclosa
angelo	angelo
kornjača	tortuga
sds	sds
oštećen	danyat
oštećen	malmeses
oštećen	malmès
oštećen	desperfectes
oštećen	malmesos
katastrofa	desastre
katastrofa	catàstrofe
uzastopnih	consecutives
uzastopnih	consecutius
uzastopnih	consecutiva
višestruko	múltiples
višestruko	múltiple
ljiljana	lliris
orleans	orleans
pionir	capdavanter
pionir	pioneer
jaje	ou
ted	ted
višestruki	múltiples
višestruki	múltiple
mana	mana
oštećena	danyat
oštećena	malmeses
oštećena	malmès
oštećena	desperfectes
oštećena	malmesos
promociju	promoció
presude	veredictes
presude	sentències
zalihe	subministraments
zalihe	estoc
zalihe	stock
usvojena	adoptats
usvojena	adoptat
instrumente	instruments
fotografiju	foto
krugovi	cercles
zagorje	zagorje
komplikacija	complicació
komplikacija	complicacions
dobitnici	premiats
dobitnici	guanyadores
dobitnici	guanyadors
crawford	crawford
konrad	konrad
crtež	dibuix
doboj	doboj
gupta	gupta
tiger	tiger
tiger	tigre
kara	kara
kos	kos
pivo	cervesa
zakonski	legalment
prah	pols
alternativni	alternatiu
alternativni	alternativa
alternativni	suplent
alternativni	alternatiu
daniela	daniela
daniela	daniel
paice	paice
strategije	estratègies
strategije	estratègia
tipični	típica
tipični	típic
sfere	esferes
jpl	jpl
eggers	eggers
psima	gossos
brasiliensis	brasiliensis
pavić	pavić
britton	britton
torinu	torí
bataljun	batalló
gloria	glòria
gloria	gloria
moderno	moderna
moderno	modern
encyclopædia	encyclopædia
shi	shi
herre	herre
centri	centres
centri	centres
armstrong	armstrong
ranjeno	ferits
uživao	gaudit
prijateljstva	amistat
neo	neo
seksualno	sexual
seksualno	sexualment
dodavanje	sumant
arsen	arsènic
sačuvati	preserva
sačuvati	preservar
pravna	jurídic
pravna	legal
pravna	legals
marine	marina
marine	marine
trend	tendència
poželjno	preferiblement
poželjno	preferentment
poželjno	desitjable
distribucija	distribució
gruzijski	georgià
medijski	mitjans
propustio	enyorat
ravnica	plain
pre	pre
prihod	ingrés
prihod	ingressos
izum	invent
hopkins	hopkins
ratnici	warriors
ratnici	guerrers
subjekt	assignatura
subjekt	subjecte
subjekt	subjectes
salzburg	salzburg
luca	luca
rotor	rotor
proračun	pressupost
magdalena	magdalena
detektiv	detectiu
promijeni	canvia
promijeni	canvi
rame	espatlla
sluga	servent
mentor	mentor
mučenik	màrtir
rachel	rachel
obavezno	obligatori
naoružani	armat
naoružani	armats
zaštićeno	protegit
prorok	profeta
kristu	krista
čarape	mitjons
čarape	socks
zamisao	idea
spomenuo	esmentat
sposobni	capaç
sposobni	capaces
sposobni	capaços
nadležnost	jurisdicció
suze	llàgrimes
odraz	reflexió
odraz	reflexions
odraz	reflexes
casas	casas
etno	ethno
etno	ètnica
elena	elena
opterećenje	càrrega
opterećenje	carrega
ribari	pescadors
grosso	grosso
michelle	michelle
komentirao	comentat
prijatelje	amics
