tramvaj	bagon
malus	malus
ograničeno	limitado
ograničeno	limitadong
ograničeno	limited
ograničeno	nililimitahan
ograničeno	limitado
ograničeno	nilimitahan
testiranje	pagsubok
testiranje	testing
testiranje	sinusubukan
dog	aso
dog	dog
definicije	kahulugan
definicije	definition
definicije	katuturan
definicije	kahulugan
tokyo	tokyo
pronađe	nahahanap
pronađe	humanap
stavove	attitudes
besplatno	libreng
besplatno	free
besplatno	libre
besplatno	malaya
forest	kagubatan
forest	gubat
promatranje	pinagmamasdan
promatranje	observation
karen	karen
kukuruz	mais
posthumno	posthumous
chamberlain	chamberlain
trening	pagsasanay
trening	pagsasanay
trening	practice
trening	praktis
trening	workout
poduzetnik	entrepreneur
poduzetnik	negosyante
poljoprivredne	agrikultura
catherine	catherine
studentima	estudyante
pretpostavke	pagpapalagay
anđeli	angels
anđeli	anghel
pita	pie
prijetnje	banta
odobrio	inaprubahan
odobrio	naaprubahan
odobrio	pinahintulutan
snyder	snyder
dale	dale
pacijent	pasyente
snova	dreams
snova	pangarap
malta	malta
malta	mehiko
justin	justin
dostignuća	achievements
dostignuća	nagawa
hoffman	hoffman
edgar	edgar
mučenika	martir
koraka	hakbang
koraka	steps
japanci	hapon
japanci	japanese
japanci	hapones
ozbiljne	malubha
ozbiljne	severe
ozbiljne	malubhang
austin	austin
pogreška	pagkakamali
pogreška	pagkakamali
pogreška	error
kriterij	criterion
kriterij	pamantayan
marijana	marianne
opseg	sirkumperensiya
opseg	scope
opseg	saklaw
pobjedio	nanalo
pobjedio	panalo
povezivanje	koneksyon
povezivanje	connection
povezivanje	ikonekta
povezivanje	kumonekta
povezivanje	kumokonekta
povezivanje	pagkonekta
povezivanje	kinokonekta
ugljik	karbon
ugljik	carbon
powell	powell
kontrolira	pagkontrol
kontrolira	kinokontrol
slaba	mahina
konji	kabayo
pristaje	akma
odobrenje	apruba
odobrenje	pagpayag
odobrenje	approval
odobrenje	clearance
odobrenje	pahintulot
mostova	tulay
novinarka	mamamahayag
novinarka	reporter
flora	flora
propast	doom
promatrati	masdan
promatrati	pagmasdan
stilova	styles
stilova	istilo
stilova	estilo
hbo	hbo
opremljena	mayron
opremljena	bang
izvanredno	extraordinary
izvanredno	outstanding
tvoj	iyong
tvoj	your
tvoj	yours
seattle	seattle
planeti	planets
protokol	protocol
terra	terra
umjetna	artipisyal
umjetna	artificial
svinja	baboy
tesla	tesla
luigi	luigi
metro	kalakhang
metro	metro
kamenje	bato
kamenje	bato
operativne	pagpapatakbo
vodoravno	pahigang
vodoravno	pahalang
vela	belo
vela	vela
golf	golf
sklonost	pagkahilig
sugerira	mungkahi
sugerira	nagmumungkahi
sugerira	nagpapahiwatig
palazzo	palazzo
većinski	majority
većinski	karamihan
većinski	nakararami
optički	optical
optički	optic
napoleona	napoleon
ovaca	tupa
beck	beck
helen	helen
manga	mango
manga	mangga
manga	manga
sigurnošću	katiyakan
organi	organo
organi	organs
kantona	pancit
branitelji	defenders
teritoriji	teritoryo
sutra	bukas
kariba	caribbean
maroko	morocco
unutarnja	panloob
unutarnja	internal
zapovjednici	commanders
moguć	maaari
moguć	posible
moguć	possible
moguć	maari
moguć	posibleng
građanima	mamamayan
jačanje	paglakas
jačanje	mapalakas
jačanje	boost
trinidad	trinidad
alpe	alpes
slučajevi	kaso
springer	springer
jupitera	jupiter
gif	gif
sebastian	sebastian
novinari	pindutin
novinari	mamamahayag
plaže	dalampasigan
plaže	beach
masters	masters
dekan	dean
sony	sony
zec	bare
zec	kuneho
zec	rabbit
šećer	asukal
šećer	sugar
punta	punta
sfera	sphere
profesionalna	professional
profesionalna	propesyonal
sex	pakikipagtalik
sex	sex
invazija	pagsalakay
govornici	nagsasalita
genocid	genocide
blackmore	blackmore
bare	pond
bare	lawa
bare	ponds
preporod	revival
potaknuti	spur
plodovi	bunga
plodovi	fruits
plodovi	prutas
loša	bad
loša	masamang
loša	masama
promjeru	diameter
laboratorij	laboratory
laboratorij	laboratoryo
laboratorij	lab
rezidencija	paninirahan
rezidencija	residence
rezidencija	tirahan
lange	lange
boca	boca
boca	bote
minas	minas
košarka	basketbol
košarka	basketball
tragedija	trahedya
bavarske	bavarian
specifična	tukoy
specifična	tiyak
specifična	partikular
dokazano	napatunayan
divlja	wild
divlja	ligaw
iznenađenje	surprise
iznenađenje	pagkagulat
iznenađenje	sorpresa
prikupljanje	pangongolekta
prikupljanje	koleksiyon
prikupljanje	koleksyon
greda	beam
ličnost	personalidad
ličnost	pagkatao
božanstva	diyos
kukuruza	mais
drukčije	ibang
tribina	grandstand
panorama	panorama
incident	insidente
veleposlanik	ambassador
pijanist	pianist
okupio	tipunin
okupio	binuo
christie	christie
bodovi	points
gume	gulong
turističko	turista
upisana	inscribed
gps	gps
mjuzikl	musikal
mjuzikl	musical
daj	ibigay
daj	magbigay
tjedno	lingguhan
tjedno	lingguhang
delaware	delaware
baca	throws
peck	peck
mauzolej	mausoleum
torpedo	torpedo
zavjet	tipan
zavjet	tipan
dante	dante
poljaci	poles
englezi	tagalog
englezi	ingles
tragove	track
salona	salon
hat	sombrero
hat	sumbrero
klan	angkan
klan	clan
klan	kapisanan
stvori	gumawa
stvori	lumikha
venera	venus
razdvojba	paglilinaw
gggg	yyyy
kopno	lupain
kopno	lupa
kopno	mainland
palma	palma
prelazak	tawiran
prelazak	tatawid
provedena	isinasagawa
provedena	ipinatupad
postignuća	achievements
postignuća	nagawa
voldemort	voldemort
posuda	vessel
planirao	binalak
otrov	kamandag
otrov	lason
eksplozija	sabog
eksplozija	pagsabog
berry	berry
poplave	baha
poplave	pagbaha
poplave	baha
poplave	pagbaha
poplave	baha
poplave	flood
ordo	ordo
alt	alt
pružiti	ibigay
irena	irena
irena	irene
poljoprivredu	agrikultura
susjedi	kapitbahay
alkohol	alak
alkohol	alkohol
dora	dora
peto	ikalimang
peto	panglima
mustafa	mustafa
kamp	kampo
dojke	dibdib
dojke	suso
komentara	comments
organizirano	maayos
naglasiti	diin
kum	ninong
svjedok	testigo
svjedok	witness
aranžman	kaayusan
aranžman	arrangement
brojke	personalidad
batman	batman
bacio	bumato
dijalog	dialogue
usvojen	pinagtibay
rasti	lumago
rasti	paglaki
rasti	paramihin
istraživao	inimbestigahan
koloniju	kolonya
pozitivan	positive
pozitivan	positibong
pozitivan	positibo
odluci	desisyon
apache	apache
prihvaćanje	acceptance
prihvaćanje	pagtanggap
dob	edad
dob	age
podne	tanghali
podne	noon
kritizirao	criticized
tina	tina
debljina	kapal
dolar	dolyar
sjene	anino
sjene	shadow
sjene	anino
staljin	stalin
lopez	lopez
jimi	jimi
rtl	rtl
poteškoća	nahirapan
disanje	paghinga
ogroman	napakalaki
software	software
arabije	arabia
olga	olga
jede	kain
jede	kumakain
jede	kumakain
odgoja	magpalaki
odgoja	pagyamanin
gusto	makapal
rekonstrukcija	tatag
šesnaest	sixteen
nicolas	nicolas
podići	taasan
kan	khan
kan	kan
sumnja	suspect
sumnja	hinala
sumnja	pagdududa
sumnja	duda
sumnja	doubt
sumnja	alinlangan
sumnja	hinihinalang
sumnja	pinaghihinalaang
uživa	enjoys
igranje	paglalaro
igranje	naglalaro
jaki	malakas
jaki	strong
horn	sungay
pobunjenika	rebel
pobunjenika	rebelde
pažljivo	maingat
biblija	biblia
biblija	bibliya
biblija	bible
četrnaest	katorse
koordinate	coordinate
walesa	wales
sao	sao
stockholm	stockholm
magnetsko	magnetic
zbunjen	nalilito
standardima	pamantayan
kontroverze	controversy
abdul	abdul
margaret	margaret
price	presyo
price	kuwento
stana	stan
židove	jew
atlantic	atlantic
očuvanju	pagaalaga
očuvanju	pangangalaga
blokiran	hinarangan
platforme	platform
aves	aves
plamen	apoy
plamen	flames
cibona	cibona
beat	matalo
čuvar	tagabantay
čuvar	tagapangalaga
čuvar	guard
čuvar	bantay
hrast	oak
hrast	robles
melodije	melodies
melodije	tunes
kiss	halik
kiss	kiss
optužio	inakusahan
odgovorna	responsableng
odgovorna	responsable
odgovorna	pananagutan
icao	icao
doseg	saklaw
doseg	hanay
doseg	maaabot
doseg	maabot
doseg	naabot
doseg	naaabot
doseg	abot
doseg	abutin
premijeru	pangunahin
infrastrukture	imprastraktura
okusa	flavors
okusa	lasa
okusa	lasa
prekinuta	naantala
osjećaje	nadarama
osjećaje	damdamin
osjećaje	feelings
organiziran	maayos
lamarck	lamarck
hipoteza	hipotesis
organiziranje	aayos
obrt	craft
obrt	craft
kylie	kylie
pravno	legal
pravno	legal
zbroj	sum
zbroj	kabuuan
diamond	diamond
diamond	brilyante
neil	neil
preživjeti	lampasan
predlošci	template
duncan	duncan
pumpa	poso
fern	pako
fern	fern
airbus	airbus
clara	clara
slijedio	sinusubaybayan
slijedio	sumunod
slijedio	sinundan
pera	feather
pera	feathers
norme	norm
nosa	ilong
bomba	bomba
metalni	metal
metalni	metallic
tower	tore
tower	tower
tower	toreng
bush	bush
ujak	tito
ujak	tiyuhin
ujak	uncle
ujak	tiyo
dokumenta	dokumentong
dokumenta	documents
dokumenta	dokumento
dokumenta	dokumento
bauer	bauer
izvorna	orihinal
sara	sarah
sara	sara
rené	rené
rené	rene
neriješeno	tie
neriješeno	kurbata
neriješeno	itali
neriješeno	tabla
sullivan	sullivan
firenca	florence
slabi	mahina
svijetlo	liwanag
svijetlo	magaan
svijetlo	ilaw
svijetlo	bright
svijetlo	maliwanag
braun	braun
preporučuje	inirerekomenda
preporučuje	inirerekomenda
preporučuje	inirekomenda
dodavanja	idinadagdag
dodavanja	pagdagdag
dodavanja	idinaragdag
robovi	alipin
zadatke	gawain
posjeti	puntahan
posjeti	pagbisita
posjeti	pagbisita
ekonomist	economist
emitiranje	broadcast
emitiranje	pagsasahimpapawid
emitiranje	pagsasahimpapawid
emitiranje	broadcasting
kapelan	kapelyan
iata	iata
parkova	parke
parkova	parks
pločice	tiles
izrazi	ekspresyon
vladislav	vladislav
vulkan	bulkan
vulkan	vulcan
jacob	jacob
purcell	purcell
katoličanstvo	katolisismo
vegetacije	behetasyon
okružuju	nakapaligid
inspektor	inspector
intervencije	pamamagitan
tucker	tucker
porez	buwis
porez	buwis
jame	hukay
jame	pit
portland	portland
diana	diana
pretpostavka	conjecture
pretpostavka	palagay
predgrađu	naik
predgrađu	suburban
isaac	isaac
gljive	mushrooms
gljive	kabute
pojačanje	backup
logore	kampo
tumora	tumor
tumora	bukol
sjeme	seed
sjeme	buto
sjeme	binhi
lucija	lucio
lucija	lucia
rožnice	cornea
rožnice	corneal
branitelj	defender
branitelj	kalaban
poljoprivredi	agrikultura
preostalo	natitira
preostalo	natitirang
silvio	silvio
majica	shirt
zur	zur
izgubiti	mawalan
izgubiti	mawala
izgubiti	mawawalan
smjernice	guidance
smjernice	alituntunin
srebrni	pilak
srebrni	silver
estonija	estonia
ibrahim	ibrahim
hladno	malamig
hladno	sipon
hladno	lamig
duhovno	espirituwal
duhovno	spiritual
eduardo	eduardo
armenija	armenia
grace	grace
grace	biyaya
vladavinu	reign
radar	radar
komentare	comments
pérez	pérez
prebivalište	paninirahan
prebivalište	residence
prebivalište	tirahan
eagle	agila
droga	drugs
droga	droga
droga	gamot
droga	droga
droga	drug
pogubljen	naisakatuparan
julia	julia
tin	tin
tin	lata
baba	baba
moto	motto
moto	moto
moto	moto
bombardiranje	pambobomba
bombardiranje	pagbomba
goli	hubad
goli	nakahubad
goli	hubad
moral	moral
moral	moralidad
jamie	jamie
camus	camus
fiba	fiba
podržavao	sinusuportahan
podržavao	suportado
andromeda	andromeda
najjači	strongest
rase	races
označena	tinang
označena	tinag
označena	minarkahan
valove	alon
con	con
rey	rey
hunter	hunter
tajno	palihim
tajno	sikreto
tajno	secret
tajno	lihim
akt	act
akt	kikilos
akt	kumilos
poglavice	chiefs
etimologija	etimolohiya
seks	pakikipagtalik
seks	sex
locke	locke
uha	tainga
ponuda	offers
ponuda	inaalok
ponuda	alok
ponuda	offer
unutra	inside
unutra	loob
meč	laban
meč	tugma
familia	familia
jutra	umaga
aplikacije	aplikasyon
aplikacije	apps
čaj	tsaa
čaj	tsa
ine	ine
ames	ames
forma	anyo
inspiracija	inspirasyon
inspiracija	inspiration
puk	regiment
transfer	paglilipat
transfer	ilipat
transfer	transfer
sateliti	satellite
lgbt	lgbt
memorije	memorya
memorije	alaala
pride	pride
pride	ipinagmamalaki
pride	pagmamalaki
italia	italia
rex	rex
kent	kent
kupila	nakabili
kupila	binili
floridi	florida
obred	rite
restoran	restawran
restoran	kainan
restoran	restaurant
had	hades
pješaštvo	infantry
poteškoće	nahirapan
sadašnjost	kasalukuyan
rasprostranjena	laganap
glina	clay
homer	homer
chuck	chuck
bis	bis
bis	encore
službenik	clerk
službenik	opisyal
sajam	patas
zaustavio	itinigil
zaustavio	tumigil
garden	hardin
primijetio	pansinin
primijetio	paunawa
primijetio	mapansin
primijetio	napansin
prisilno	pinilit
prisilno	sapilitang
poslovna	negosyong
poslovna	negosyo
elektrode	electrode
elektrode	electrodes
uvala	pumapasok
uvala	look
uvala	bay
utvrđivanje	inaalam
utvrđivanje	pagtukoy
utvrđivanje	pagpapasiya
očigledno	halata
ponos	pride
ponos	ipinagmamalaki
ponos	pagmamalaki
cole	cole
fosila	fossils
sitne	petty
marsh	marsh
graz	graz
složene	tupi
matične	tangkay
matične	stem
podružnica	subsidiary
zamisli	maisip
zamisli	akala
naslovi	headlines
naslovi	pamagat
kažnjen	maparusahan
sonata	sonata
ocjene	grades
ocjene	grado
novaka	novak
novaka	baguhang
madrida	madrid
postrojenje	pasilidad
postrojenje	facility
cbs	cbs
štap	patpat
štap	stick
oštećenje	damage
oštećenje	pinsala
balkana	balkan
urbana	urbano
castle	mangarap
castle	kastilyo
romane	roman
romane	romano
romane	nobelang
ratove	wars
zvijeri	beast
jurij	yuri
elektronički	elektronikong
elektronički	electronic
carmen	carmen
zube	ngipin
wheeler	wheeler
nigra	nigra
uspona	ups
ostvaren	nakamit
ostvaren	nakakamit
ostvaren	achieved
oslobođeni	liberated
oslobođeni	napalaya
julius	julius
sant	sant
naboj	singil
naboj	charge
loza	baging
albume	album
albume	albums
aleksandr	aleksandr
jednaki	pantay
jednaki	katumbas
jednaki	equals
indoneziji	indonesia
oklopna	pagsakay
oklopna	armored
pozadina	background
helsinkiju	helsinki
naočale	baso
naočale	salamin
naočale	glasses
partneri	partners
terapije	therapy
piloti	pilots
alija	ali
olimpija	olimpija
sivi	gray
sivi	abo
sivi	grey
temeljito	masusing
nasilno	marahas
sirije	syria
sirije	suwesya
luther	luther
uhvatiti	mahuli
uhvatiti	kunan
uhvatiti	kumuha
uhvatiti	capture
xbox	xbox
reputaciju	reputasyon
siva	gray
siva	abo
siva	grey
deklaracija	pagpapahayag
wells	wells
harvard	harvard
gubici	pagkalugi
gardner	gardner
povlastice	pribilehiyo
povlastice	benepisyo
phillips	phillips
spencer	spencer
žensko	babae
žensko	female
poslovanje	negosyong
poslovanje	negosyo
orbitu	orbita
break	break
primarna	pangunahing
primarna	pangunahin
zarada	tubo
zarada	kumikita
zarada	kinita
zarada	kita
zarada	earnings
nivo	antas
nivo	level
jana	jan
jana	jana
jedinstveno	natatanging
jedinstveno	kakaibang
jedinstveno	unique
jedinstveno	natatangi
olovo	lead
olovo	humantong
olovo	tingga
olovo	pamunuan
pag	pag
ostavi	umalis
ostavi	iwan
ostavi	iwanan
kanadu	canada
tvorac	maker
tvorac	gumawa
tvorac	lumikha
tvorac	creator
uzvodno	kinakailangang
napušten	iniwan
preživjela	survivor
kolegama	kasamahan
stajao	tumindig
mia	mia
odabran	napili
odabran	pinili
odabran	piling
lam	lam
hoda	naglalakad
hoda	lumalakad
svile	sutla
svile	silk
žile	vessels
div	giant
div	higante
div	div
stefana	stefan
ostavljajući	aalis
ostavljajući	umaalis
sredina	gitnang
sredina	gitna
sredina	sentro
sredina	centre
sedma	ikapitong
sharp	matalim
sharp	pagkagising
rušenje	demolition
glasovi	votes
glasovi	boto
glasovi	tinig
urednici	editor
podnijeti	hawakan
podnijeti	magsumite
stao	itinigil
stao	tumigil
mason	mason
mirovina	pagreretiro
vatikan	vatican
pobunjenici	rebelde
uspostavi	magtatag
uspostavi	itatag
parkovi	parke
parkovi	parks
carice	emperatris
mornar	mandaragat
lucius	lucio
granate	sigay
granate	shells
granate	grenade
che	che
provoditi	ipatupad
cvijeće	bulaklak
kratera	crater
buffalo	kalabaw
tumačenja	interpretations
predstavljali	kinakatawan
najbliže	nearest
najbliže	pinakamalapit
najbliže	pinakamalapit
prethodna	dating
prethodna	nakaraang
carolina	carolina
puerto	puerto
herman	herman
tursko	turko
seta	sets
redovnik	monk
islamski	islamic
asteroida	asteroid
asteroida	asteroids
vrta	hardin
označavanje	tagging
struke	propesyon
prikazane	ipinapakita
prikazane	ipapakita
šesta	ikaanim
omogućeno	pinapagana
omogućeno	pinagana
nil	neil
chu	chu
glenn	glenn
aljaska	alaska
specifičan	tukoy
specifičan	tiyak
specifičan	partikular
anglo	anglo
demokracija	demokrasya
čimbenik	factor
čimbenik	kadahilanan
modul	module
uništava	naninira
uništava	nakakasira
koplja	javelin
koplja	spears
koplja	spear
materije	matter
tenor	tenor
berlina	berlin
grafika	graphics
nana	nana
nana	nanna
antoine	antoine
strasti	hilig
strasti	passion
prosvjeda	protests
mont	mont
nataša	natasha
matej	mateo
steel	bakal
steel	steel
steel	asero
lily	lily
dvorištu	bakuran
dvorištu	bakuran
alonso	alonso
reed	reed
kira	kira
inka	inca
palo	palo
ustavni	konstitusyonal
presuda	pangungusap
presuda	verdict
presuda	paghuhukom
presuda	hatol
newcastle	newcastle
amor	amor
ugrađeni	embedded
laurent	laurent
pretjerano	sobrang
principa	prinsipyo
erik	erik
erik	eric
izotopa	isotopes
brodogradilište	pagawaan
mapa	mapa
višak	kalabisan
višak	sobra
višak	labis
ropstva	bondage
teoretski	kimikang
manjak	kakulangan
manjak	deficit
uvjeren	kompiyansa
uvjeren	nakatitiyak
uvjeren	kumbinsido
gregory	gregorio
gregory	gregory
allmusic	allmusic
planirano	binalak
automobili	kotse
operativni	operating
najbrži	pinakamabilis
praga	praga
praga	prague
ahmad	ahmad
teza	thesis
manning	manning
prihvati	tanggapin
prihvati	accept
becker	becker
zaposlen	employed
zaposlen	nagtatrabaho
zaposlen	pinagkakakitaan
odvajanje	paghihiwalay
arheolog	archaeologist
odgovori	sagutin
odgovori	sagot
odgovori	sumagot
odgovori	reply
registar	register
registar	pagpapatala
ostanak	lumalayo
godišnjak	yearbook
paše	akma
standarde	pamantayan
zastupa	kumakatawan
zastupa	kumakatawan
zastupa	representing
zmaju	dragon
privremeni	pansamantala
privremeni	temp
žlijezda	gland
istrage	imbestigasyon
istrage	pagsisiyasat
umjetnica	artista
umjetnica	artist
deveti	ikasiyam
tajland	thailand
tajland	philippines
prijateljska	friendly
stephan	stephan
pokušavajući	sinusubukang
pokušavajući	sinusubukan
umijeće	skill
umijeće	kasanayan
umijeće	kakayahan
stolica	upuan
angelo	angelo
kornjača	pagong
kornjača	tortoise
oštećen	nasira
smjesa	halo
katastrofa	sakuna
katastrofa	kalamidad
višestruko	multiple
višestruko	maramihang
orleans	orleans
pionir	pioneer
jaje	itlog
ted	ted
višestruki	multiple
višestruki	maramihang
mana	mana
oštećena	nasira
promociju	promotion
promociju	promosyon
zalihe	supplies
zalihe	suplay
zalihe	sapi
zalihe	stock
usvojena	pinagtibay
instrumente	instruments
fotografiju	itrato
fotografiju	larawan
fotografiju	litrato
fotografiju	litratong
ilirska	illyrian
krugovi	activities
komplikacija	komplikasyon
komplikacija	komplikasyon
dobitnici	winners
crawford	crawford
konrad	konrad
lana	lana
crtež	pagguhit
crtež	drawing
gupta	gupta
tiger	tiger
tiger	tigre
kara	kara
kos	blackbird
kos	kos
pivo	serbesa
pivo	beer
zakonski	legal
prah	alikabok
prah	pulbos
alternativni	alternatibong
alternativni	alternatibo
alternativni	kahaliling
alternativni	alternatibong
alternativni	alternate
daniela	daniela
daniela	daniel
strategije	estratehiya
strategije	estratehiya
strategije	diskarte
kronologija	chronology
jpl	jpl
hrasta	oak
hrasta	robles
torinu	turin
bataljun	battalion
gloria	gloria
moderno	makabagong
moderno	modern
moderno	modernong
moderno	makabago
berkeley	berkeley
encyclopædia	encyclopædia
shi	shi
centri	malls
centri	centers
armstrong	armstrong
ranjeno	nasugatan
perkins	perkins
prijateljstva	pakikipagkaibigan
prijateljstva	pagkakaibigan
prijateljstva	pakikipagkaibigan
neo	neo
seksualno	sekswal
seksualno	sexually
spielberg	spielberg
dodavanje	idinadagdag
dodavanje	pagdagdag
dodavanje	idinaragdag
arsen	arseniko
sačuvati	panatilihin
pravna	legal
marine	marina
marine	marine
trend	uso
trend	trend
poželjno	preferably
poželjno	desirable
distribucija	pamamahagi
gruzijski	georgian
medijski	media
medijski	midya
propustio	namis
ravnica	payak
ravnica	kapatagan
pre	pre
prihod	kita
prihod	kita
prihod	income
izum	imbento
hopkins	hopkins
ratnici	warriors
subjekt	sasailalim
subjekt	paksa
subjekt	subject
salzburg	salzburg
luca	luca
rotor	rotor
proračun	badyet
proračun	budget
magdalena	magdalene
magdalena	magdalena
detektiv	detective
detektiv	tiktik
promijeni	palitan
promijeni	magbabago
promijeni	pagbabago
promijeni	baguhin
promijeni	change
rame	balikat
sluga	lingkod
mentor	mentor
mučenik	martir
pošalje	nagpapadala
rachel	rachel
obavezno	sapilitan
naoružani	hukbong
naoružani	armadong
naoružani	sandatahang
zaštićeno	pinoprotektahan
zaštićeno	protektado
prorok	propeta
kristu	krista
león	león
čarape	medyas
zamisao	idea
zamisao	ideya
spomenuo	nabanggit
spomenuo	binanggit
nadležnost	hurisdiksyon
suze	luha
odraz	reflection
odraz	reflections
etno	etniko
elena	elena
opterećenje	load
grosso	grosso
michelle	michelle
komentirao	nagkomento
prijatelje	kaibigan
prijatelje	magkaibigan
sluge	tagapaglingkod
angela	angela
otpušten	umatake
otpušten	fired
otpušten	pinalabas
depresije	depression
depresije	depresyon
monroe	monroe
einstein	einstein
uvela	nagpakilala
uvela	pinakilala
uvela	nagpasimula
uvela	ipinakilala
krzna	fur
krzna	balahibo
napusti	umalis
napusti	iwan
napusti	iwanan
colin	colin
kongu	ehipto
kongu	congo
walt	walt
simpson	simpson
afganistan	afghanistan
grove	grove
pakistana	pakistan
brad	brad
himne	awit
troši	gumastos
francisca	francisco
cannesu	cannes
obavijesti	notification
obavijesti	abiso
padaju	bumabagsak
keller	keller
planinu	bundok
prapovijesti	prehistory
piva	serbesa
piva	beer
upoznati	matugunan
upoznati	kilalanin
upoznati	magkita
zviježđe	konstelasyon
mrežnice	retina
sprječava	pinipigilan
kandidati	candidates
prijateljica	kaibigan
prijateljica	makipagkaibigan
hara	hara
lakši	lighter
posvetiti	ialay
posvetiti	maghandog
ravnotežu	balanse
slavna	celebrity
linda	linda
azijski	asyano
azijski	asian
vicente	vicente
učinkovito	mabisa
učinkovito	epektibo
učinkovito	epektibong
učinkovito	effective
učinkovito	mabisa
skuplja	nangongolekta
raznolikost	variety
umre	dies
umre	namatay
surađivati	makipagtulungan
surađivati	magtulungan
brončana	bronze
nancy	nancy
ocjena	rating
ocjena	score
ocjena	iskor
konsenzus	pinagkaisahan
pomoglo	natulungan
pomoglo	tinulungan
namjeravao	inilaan
namjeravao	nilalayong
gibb	gibb
vitezovi	knights
nakit	alahas
marcel	marcel
sinensis	sinensis
mirna	mapayapang
mirna	mapayapa
greg	greg
nord	nord
kriterija	pamantayan
izazov	hamunin
izazov	challenge
izazov	hamon
domovi	homes
domovi	tahanan
geološki	geological
commonwealtha	commonwealth
negativan	negatibong
negativan	negatibo
negativan	negative
karaman	karaman
bale	bale
šesto	ikaanim
pax	pax
elite	pili
elite	elite
bombardera	bomber
mjesečno	monthly
mjesečno	buwanang
zabranjuje	nagbabawal
leteći	lumilipad
sljedbenici	tagasunod
nacrt	draft
sjena	shadow
sjena	anino
posjetiti	puntahan
posjetiti	pagbisita
kontinent	kontinente
cca	approx
grijeh	kasalanan
putnik	pasahero
putnik	traveller
putnik	manlalakbay
putnik	traveler
putnik	manlalakbay
romanopisac	nobelista
planova	plano
bele	bela
osuđeni	nahatulang
proboj	paglabag
ssr	ssr
stupovi	haligi
stupovi	haligi
prosječni	karaniwan
pittsburgh	pittsburgh
detalj	detalye
mišići	muscles
mišići	masel
mišići	kalamnan
mišići	muscle
algoritam	algorithm
skladište	warehouse
skladište	bodega
skladište	imbakan
skladište	storage
kostura	kalansay
eve	eve
eve	eba
brandt	brandt
izgubi	mawalan
izgubi	mawala
izgubi	mawawalan
potrošnja	consumption
potrošnja	paggamit
učinkovitosti	husay
učinkovitosti	kahusayan
pitao	itinanong
pitao	nagtanong
pitao	tinanong
medici	medici
organizmi	organismo
organizmi	organismo
organizmi	organism
zamijenjena	pinagpalit
zamijenjena	pinalitan
falls	talon
falls	falls
mudrosti	karunungan
prepoznaje	kinikilala
izolacije	paghihiwalay
prepreka	hadlang
lucije	lucio
kanali	channels
kanali	channel
kanali	canals
stabilnosti	katatagan
liberty	liberty
liberty	kalayaan
pehar	tasa
pehar	kopa
topla	maiinit
topla	mainit
kapeli	kapilya
matematiku	math
matematiku	matematika
candida	candida
standardno	pamantayan
standardno	karaniwang
standardno	standard
stolac	upuan
družina	fellowship
družina	samahan
modula	modules
modula	module
slo	slo
izračunati	kalkulahin
izračunati	kinakalkula
julie	julie
terminal	terminal
dano	binigay
dano	given
dano	ibinigay
prilagođen	adapted
hugh	hugh
