die	το
staan	σταθεί
staan	stand
isbn	isbn
dan	τότε
dan	μετά
bevolking	πληθυσμός
bevolking	πληθυσμού
gemaak	φτιαγμένο
gemaak	φτιαγμένα
gemaak	φτιαγμένη
gemaak	έκανε
gebou	κτίριο
gebou	κτήριο
jare	χρονια
jare	ετη
jare	χρόνια
jare	έτη
januarie	ιανουαρίου
januarie	ιανουάριο
januarie	ιανουάριος
januarie	χειροκίνητο
januarie	χειροκίνητα
januarie	χειροκίνητη
januarie	εγχειρίδιο
junie	τζουν
junie	ιούνιο
junie	ιουνίου
junie	τζουν
junie	ιούνιος
amerikaanse	αμερικανική
amerikaanse	αμερικάνικα
amerikaanse	αμερικανός
amerikaanse	αμερικάνος
amerikaanse	αμερικάνικο
amerikaanse	αμερικανοί
slegs	μόνον
slegs	μόνο
slegs	μονο
slegs	απλα
slegs	απλά
slegs	απλώς
nadat	μετα
nadat	μετά
april	απρίλιος
april	απρίλιο
april	απρίλη
april	απριλίου
april	έιπριλ
lank	ψηλή
lank	ψηλό
lank	ψηλός
lank	ψηλοί
lank	μακρύς
lank	μακρύ
lank	λονγκ
lank	long
gestig	ιδρύθηκε
gestig	ίδρυσε
oktober	οκτώβριος
oktober	οκτώβριο
oktober	οκτωβρίου
julie	ιούλιος
julie	ιούλιο
julie	ιουλίου
julie	ιουλιος
reeds	ήδη
reeds	ηδη
kaapstad	βαρκελώνη
september	σεπτεμβρίου
september	σεπτέμβρη
september	σεπτέμβριος
september	σεπτέμβριο
engels	greek
engels	αγγλικα
engels	αγγλική
engels	αγγλικό
engels	αγγλικά
party	πάρτυ
party	κόμμα
party	πάρτι
party	party
desember	δεκέμβριο
desember	δεκέμβριος
desember	δεκεμβρίου
maart	μαρτίου
maart	μάρτιος
maart	μάρτιο
alle	ολα
alle	όλοι
alle	όλες
alle	όλα
augustus	αύγουστος
augustus	αύγουστο
augustus	αυγούστου
gevolg	ακολούθησαν
gevolg	ακολούθησε
gevolg	ακολουθείται
februarie	φεβρουάριος
februarie	φεβρουάριο
februarie	φεβρουαρίου
gaan	πηγαίνοντας
nou	τώρα
nou	τωρα
gebore	γεννήθηκα
gebore	γεννημένος
gebore	γεννήθηκε
gebore	γεννηθείς
provinsie	επαρχία
provinsie	νομό
provinsie	κομητεία
provinsie	κράτος
provinsie	πολιτεία
provinsie	state
universiteit	πανεπιστήμιο
universiteit	university
universiteit	πανεπιστημιο
beskou	εξετάσει
lewe	life
lewe	ζωή
lewe	ζωη
vier	τέσσερις
vier	τέσσερα
vier	four
vier	τεσσερα
vier	γιορτάζει
vier	γιορτάζουν
vier	εορτασμός
vier	γιορτάζω
vier	γιορτάσουμε
vier	γιόρτασε
vier	γιορτάζουν
november	νοεμβρίου
november	νοέμβριο
november	νοέμβριος
franse	γάλλοι
franse	γάλλος
franse	γαλλική
franse	γαλλικό
franse	γαλλικά
dood	θάνατος
dood	θάνατο
dood	νεκροί
dood	νεκρή
dood	νεκρός
dood	νεκρό
amptelike	επίσημο
amptelike	αξιωματούχος
amptelike	επίσημη
koning	βασιλεύς
koning	βασιλιάς
koning	κινγκ
koning	βασιλιά
koning	king
der	ντερ
der	der
moes	είχε
dieselfde	ιδια
dieselfde	ίδια
dieselfde	ίδιο
dieselfde	ίδιοι
wêreld	world
wêreld	κόσμο
wêreld	κόσμος
volgende	επόμενος
volgende	επόμενη
volgende	επόμενο
geleë	εντοπίστηκε
miljoen	εκατομμύρια
aantal	ποσότητα
aantal	ποσότητες
plaaslike	τοπικός
plaaslike	τοπική
plaaslike	τοπικά
plaaslike	τοπικό
plaaslike	τοπικές
regs	σωστα
regs	δεξιά
regs	σωστό
regs	σωστά
dikwels	συχνα
dikwels	συχνά
internasionale	international
internasionale	διεθνείς
internasionale	διεθνής
internasionale	διεθνή
internasionale	διεθνές
voëls	πουλιά
voëls	πτηνά
eers	πρώτο
eers	πρώτον
eers	πρώτη
eers	πρώτα
eers	πρώτος
pretoria	πρετόρια
steeds	ακόμη
steeds	ακομα
steeds	ακόμα
groep	όμιλος
groep	ομαδα
groep	group
groep	ομάδα
stel	σετ
sluit	κλείσιμο
sluit	κοντά
frankryk	γαλλία
naby	κοντά
naby	κοντα
naby	κοντινές
naby	κοντά
hoofstad	κεφάλαιο
hoofstad	κεφαλαίου
hoofstad	πρωτεύουσα
hoofstad	κεφαλαίο
state	πολιτείες
state	κρατών
state	κράτη
water	νερό
water	νερο
water	ύδωρ
water	σπάτουλα
einde	τελείωμα
einde	τελειώσω
einde	τέλος
einde	λήξη
duitsland	γερμανία
duitsland	γερμανια
regering	κυβερνηση
regering	κυβέρνηση
elke	κάθε
elke	καθε
kaap	ακρωτήρι
kaap	κέιπ
kaap	ακρωτήριο
kaap	κάπα
dae	ημέρες
dae	ημερες
dae	μέρες
wanneer	πότε
wanneer	όταν
wanneer	οταν
oorlog	πόλεμος
oorlog	πόλεμο
laaste	τελευταίο
laaste	τελευταίοι
laaste	τελευταίος
laaste	τελευταια
laaste	τελευταία
politieke	πολιτικό
besluit	αποφασίζει
besluit	αποφαση
besluit	απόφαση
besluit	αποφασίστηκε
besluit	αποφάσισε
besluit	αποφάσισαν
besluit	αποφασίστε
besluit	αποφασίσει
besluit	αποφάσισε
ryk	αυτοκρατορία
ryk	empire
ryk	εμπάιρ
ryk	πλούσιος
ryk	ριτς
ryk	πλούσιοι
ryk	πλούσιο
ryk	πλούσια
asook	φιλανθρωπία
sommige	μερικές
sommige	κάποια
sommige	κάποιοι
sommige	μερικοί
sommige	μερικά
gewoonlik	συνήθως
gewoonlik	συνηθως
gewoonlik	φυσιολογικά
gewoonlik	κανονικά
afrikaans	αφρικάανς
geskiedenis	ιστορία
geskiedenis	ιστορια
geskiedenis	ιστορικό
vis	ιχθείς
vis	ψάρι
vis	ψάρια
plaas	αγρόκτημα
plaas	farm
plaas	φάρμα
plaas	post
plaas	δημοσίευση
plaas	ποστ
wikipedia	wikipedia
wetenskaplike	επιστήμων
wetenskaplike	επιστήμονας
wetenskaplike	επιστήμονα
wetenskaplike	επιστημονική
wetenskaplike	επιστημονικά
wetenskaplike	επιστημονικό
ontwikkel	αναπτύχθηκαν
ontwikkel	αναπτύχθηκε
ontwikkel	αναπτυχθεί
lande	χώρες
lande	χωρες
seun	αγοράκι
seun	αγόρι
seun	γιος
seun	υιός
seun	γιε
algemene	στρατηγός
algemene	γενική
algemene	γενικές
algemene	γενικά
algemene	γενικό
verskillende	διαφορετικός
verskillende	διαφορετικά
verskillende	διαφορετικοί
verskillende	διαφορετική
verskillende	διαφορετικό
europa	ευρώπη
europa	ευρωπη
stadion	στάδιο
stadion	γήπεδο
belangrike	σημαντική
belangrike	σημαντικο
belangrike	σημαντικό
belangrike	σημαντικός
kinders	παιδια
kinders	παιδιά
kinders	παιδια
kinders	τέκνα
kinders	παιδιά
neem	πάρτε
neem	λήψη
neem	πάρε
vertaal	μεταφράσω
munisipaliteit	δήμος
tans	τώρα
tans	τωρα
tans	παρών
tans	δώρο
tans	παρόντες
tans	παρούσα
tans	παρόν
republiek	δημοκρατια
republiek	δημοκρατία
kort	κοντή
kort	κοντός
kort	σύντομο
kort	σύντομη
kort	σύντομος
self	εαυτός
verder	φύρερ
verder	περαιτέρω
mens	ανθρώπινα
mens	ανθρώπινη
mens	άνθρωπος
mens	ανθρώπινο
mens	ανθρωπίνων
mens	ανθρώπινος
plek	τόπος
plek	μέρος
ongeveer	περίπου
binne	μέσα
binne	μεσα
binne	εντός
swart	κρακ
swart	ρωγμή
swart	μαύρη
swart	μαύρα
swart	μαύρος
swart	μαυρο
swart	μαύρο
europese	ευρωπαϊκή
moontlik	πιθανός
moontlik	δυνατόν
moontlik	πιθανό
moontlik	πιθανή
enige	οποιαδήποτε
gehou	άρεσε
tydperk	διάρκεια
tydperk	διαρκεια
maande	μήνες
maande	μηνών
skool	σχολείο
skool	σχολη
skool	σχολειο
skool	σχολή
per	ανά
per	per
per	περ
vroeë	νωρίς
vroeë	πρόωρη
familie	οικογενεια
familie	οικογένεια
voorkom	αποτρέψει
mag	μάη
mag	μάιος
mag	μέι
mag	μάης
daarvan	thereof
geneem	τραβήχτηκε
hoe	πως
hoe	πώς
eiland	island
eiland	νησί
eiland	νησι
eiland	νήσος
volg	τροχιά
volg	πίστα
volg	follow
volg	ακολούθησε
volg	ακολουθήστε
volg	ακολουθείστε
volg	ακολουθώντας
volg	ακολουθεί
volg	ακόλουθες
soms	περιστασιακή
soms	περιστασιακά
soms	περιστασιακές
engeland	αγγλία
johannes	γιοχάνες
johannes	τζων
johannes	τζον
johannes	john
johannes	ιωάννης
vyf	five
vyf	πεντε
vyf	πέντε
sonder	χωρίς
johannesburg	γιοχάνεσμπουργκ
ontwerp	σχεδιασμό
ontwerp	σχεδίαση
ontwerp	design
ontwerp	σχέδιο
ontwerp	σχεδιασμός
aarde	γη
aarde	γή
gee	δώστε
gee	δώσε
paar	λίγοι
paar	ελάχιστοι
paar	λίγες
rol	ρόλος
rol	ρόλο
rol	roll
rol	ρολό
vrou	γυναικα
vrou	γυναίκα
vrou	γυναίκα
vrou	σύζυγος
vrou	σύζυγο
gebiede	εδάφη
gebiede	περιοχές
derde	τρίτον
derde	τρίτο
derde	τρίτη
derde	τρίτος
dag	μερα
dag	ημερα
dag	ημέρα
dag	μέρα
john	τζων
john	τζον
john	john
john	ιωάννης
moderne	μοντέρνο
moderne	μοντέρνα
moderne	σύγχρονο
moderne	σύγχρονη
moderne	μοντέρνος
woord	λέξη
woord	λεξη
groter	μεγαλύτερος
groter	μεγαλύτερο
groter	μεγαλύτερα
groter	μεγαλύτερη
groter	μεγαλύτερη
president	πρόεδρος
president	πρόεδρε
president	πρόεδρο
koninkryk	βασίλειο
tale	γλώσσες
ontvang	λαμβάνουν
ontvang	λάβετε
ontvang	ελήφθη
ontvang	έλαβε
ontvang	παραλαβή
bly	μπλάι
bly	ευτυχής
bly	χαίρομαι
bly	μείνετε
bly	μείνε
bly	παραμονή
amerika	αμερική
hoewel	μολονότι
webwerf	website
webwerf	ιστοσελίδα
webwerf	ιστότοπος
staat	κράτος
staat	πολιτεία
staat	state
staat	φύλλο
staat	σεντόνι
weens	οφειλόμενη
vandag	σημερα
vandag	σήμερα
aanvaar	αποδοχή
aanvaar	δεκτό
aanvaar	αποδεκτή
aanvaar	δεκτή
aanvaar	δεκτός
aanvaar	αποδοχή
aanvaar	δεχτώ
aanvaar	δεχτείτε
hou	κρατήστε
hou	κράτα
hou	κρατήστε
hou	κράτα
geskryf	γραπτές
geskryf	γραπτή
geskryf	γράφτηκε
geskryf	γραμμένα
geskryf	γράψει
geskryf	γραμμένο
geskryf	κάηκαν
geskryf	κάηκε
geskryf	καμένα
geskryf	καμένη
geskryf	καμένο
geskryf	έκαψε
hele	ολόκληρα
hele	ολόκληρα
hele	ολόκληρη
hele	ολόκληρο
bevat	περιέχει
skrywer	συγγραφέας
skrywer	συγγραφέα
skrywer	συγγραφέας
skrywer	συγγραφέα
skrywer	συντάκτης
see	θάλασσα
see	θαλασσα
verander	ακύρωση
verander	μεταβολές
verander	αλλαγές
verander	τροποποιήσεις
verander	τροποποίηση
verander	αλλαγή
verander	μεταβολή
verander	ρέστα
bereik	απήχηση
bereik	reach
bereik	φτάσει
russiese	ρωσική
russiese	ρώσικα
russiese	ρωσικά
russiese	ρώσος
weg	μακριά
inwoners	κάτοικοι
inwoners	κατοίκους
beteken	σημαίνει
man	σύζυγος
man	σύζυγο
man	άνθρωπος
man	φίλε
man	φιλε
huis	πατρίδα
huis	σπιτι
huis	σπίτι
huis	χάουζ
huis	house
huis	σπιτι
huis	σπίτι
besoek	εντύπωση
besoek	επισκεφθείτε
besoek	επίσκεψη
besoek	επισκέφτηκε
besoek	επισκέφθηκε
administratiewe	διοικητική
administratiewe	διοικητικές
administratiewe	διοικητικός
administratiewe	διοικητικά
administratiewe	διοικητικό
drieë	τριάρια
bekende	διάσημο
bekende	διάσημος
bekende	διάσημη
bekende	διάσημοι
gespeel	έπαιζε
gespeel	έπαιζα
gespeel	έπαιξε
gespeel	παίχτηκε
gespeel	έπαιξα
beste	καλύτερα
beste	καλύτερο
beste	best
rusland	ρωσία
rusland	ρωσίας
kerke	εκκλησίες
rooi	κόκκινοι
rooi	κόκκινα
rooi	κόκκινη
rooi	κόκκινα
rooi	κόκκινος
rooi	κόκκινο
rooi	κοκκινο
skryf	γράψω
skryf	γράψτε
skryf	γράψε
skryf	κάψει
skryf	καύση
skryf	κάψιμο
skryf	κάψε
skryf	έγκαυμα
wie	ποιος
visse	ιχθείς
suidelike	νότιο
suidelike	νότιος
suidelike	νότια
romeinse	ρωμαϊκό
romeinse	ρωμαϊκή
romeinse	ρωμαίος
romeinse	ρόμαν
alhoewel	μολονότι
gekry	βρέθηκαν
gekry	βρεθηκε
gekry	βρήκα
gekry	βρήκε
gekry	βρέθηκε
gekom	ταξίδεψε
gekom	ταξίδευε
hoë	high
hoë	ψηλά
hoë	υψηλή
hoë	υψηλός
hoë	υψηλό
sterk	δυνατοί
sterk	δυνατός
sterk	δυνατό
sterk	δυνατή
africa	αφρικη
africa	αφρική
londen	λονδίνο
londen	london
reeks	σειρές
reeks	σειρά
reeks	σειρα
hoofsaaklik	πρωτίστως
eilande	νησιά
eilande	νήσοι
belangrikste	πρωτογενής
belangrikste	πρωτοβάθμια
belangrikste	πρωτογενούς
belangrikste	πρωτεύον
speel	παιχνίδι
speel	play
speel	παίξε
speel	παίξουμε
speel	αναπαραγωγή
speel	λίστες
speel	παίζοντας
speel	παίξιμο
speel	παίζω
speel	παίζει
wel	λοιπόν
minder	λιγότερο
minder	λιγότερες
minder	λιγότερα
gelei	led
stigting	ιδρυτικό
stigting	ίδρυση
stigting	σχηματισμός
stigting	σχηματισμό
gegee	δεδομένο
gegee	δεδομένου
streek	περιφέρεια
streek	περιοχή
streek	περιφερειακή
streek	περιφερειακά
gesien	δει
gesien	εθεάθη
rivier	ρίβερ
rivier	ποταμός
rivier	ποτάμι
jan	ιαν
jan	jan
jan	γιαν
jan	τζαν
ses	έξι
ses	six
ses	εξι
grond	χώμα
grond	έδαφος
grond	ξηρά
grond	land
grond	γη
grond	στεριά
grond	έδαφος
spesies	ειδη
spesies	είδος
spesies	είδη
beroep	επάγγελμα
png	png
verklaar	δηλώνονται
verklaar	δήλωσε
verklaar	δηλώθηκε
verklaar	δηλώνεται
gedoen	κάνει
gedoen	έγινε
gedoen	εγινε
lede	έλη
lede	μέλη
lede	μελη
george	γεώργιος
george	τζωρτζ
george	τζορτζ
george	γιώργος
george	george
iii	iii
iii	ιιι
iii	γ΄
meter	μετρητές
historiese	ιστορική
historiese	ιστορικός
historiese	ιστορικές
historiese	ιστορικά
historiese	ιστορική
historiese	ιστορικός
nederland	ολλανδία
minister	υπουργός
span	ομαδα
span	ομάδα
ontwikkeling	εξέλιξη
ontwikkeling	ανάπτυξη
ontwikkeling	αναπτυξη
dele	μέρη
frans	γάλλοι
frans	γάλλος
frans	γαλλική
frans	γαλλικό
frans	γαλλικά
distrik	περιφέρεια
gewen	κέρδισα
gewen	γουόν
gewen	κέρδισε
god	θεός
japan	ιαπωνίας
japan	ιαπωνία
pad	οδός
pad	δρόμος
pad	δρόμο
pad	road
oorlede	πέθανε
oorlede	πεθανε
militêre	στρατιωτικός
militêre	στρατός
militêre	στρατιωτική
militêre	στρατιωτικοί
militêre	στρατιωτικά
inligting	πληροφορίες
inligting	πληροφορία
inligting	πληροφόρηση
paul	παύλος
paul	paul
paul	πωλ
paul	πολ
veroorsaak	προκλήθηκαν
veroorsaak	προκλήθηκε
veroorsaak	προκάλεσε
veroorsaak	προκαλώντας
veroorsaak	αίτιο
veroorsaak	αιτία
ontdek	ανακάλυψη
ontdek	ανακαλύψτε
oorspronklike	αυθεντικό
oorspronklike	αρχική
oorspronklike	πρωτότυπο
oorspronklike	αρχικό
oorspronklike	αρχικός
katolieke	καθολική
katolieke	καθολικές
katolieke	καθολικό
katolieke	καθολικός
katolieke	καθολικοί
keiser	αυτοκράτορα
keiser	αυτοκράτορας
boek	βιβλιο
boek	βιβλίο
artikels	άρθρα
artikels	τεχνουργήματα
artikels	αρθρα
artikels	τμήματα
artikels	ενότητες
opgerig	ανεγέρθηκε
opgerig	κατασκευασμένο
opgerig	κατασκευασμένη
opgerig	κατασκευάστηκε
aanvanklik	αρχικώς
aanvanklik	αρχικά
sowel	λοιπόν
goed	καλή
goed	καλο
goed	καλό
goed	καλά
goed	καλα
goed	λοιπόν
kalender	ημερολόγιο
kalender	ημερολογιακό
wet	νόμο
wet	δίκαιο
wet	νόμος
wet	πράξη
wet	act
goeie	καλή
goeie	καλο
goeie	καλό
goeie	καλά
goeie	καλα
val	πτώση
val	σταγόνα
val	φθινόπωρο
val	πτώση
vsa	ηπα
hendrik	χέντρικ
beheer	έλεγχος
beheer	ελέγχου
beheer	ελεγχος
http	http
terug	πλάτη
terug	πισω
terug	πίσω
min	μιν
min	min
predikant	κλήρου
gevind	βρέθηκαν
gevind	βρεθηκε
gevind	βρήκα
gevind	βρήκε
gevind	βρέθηκε
verkies	εύνοια
verkies	εύνοια
omgewing	περιβάλλον
omgewing	έκταση
omgewing	εμβαδόν
omgewing	περιοχή
omgewing	περιοχη
lid	μέλος
lid	βουλευτής
lid	μελος
voormalige	πρώην
voormalige	πρωην
park	παρκ
park	park
park	πάρκο
grens	σύνορα
grens	συνορα
grens	σύνορο
skeidsregter	διαιτητή
skeidsregter	διαιτητής
oudste	παλαιότερη
oudste	παλαιότερο
sekere	ορισμένες
data	δεδομένων
data	data
data	δεδομένα
data	στοιχεια
data	στοιχεία
jong	νεαρός
jong	νέος
noorde	βορρά
noorde	βορεια
noorde	βόρεια
noorde	βορράς
uiteindelik	τελικά
uiteindelik	τέλος
uiteindelik	επιτέλους
buite	έξω
buite	εξω
buite	υπαίθρια
invloed	επίδραση
invloed	επιρροές
invloed	επιρροή
ouderdom	ηλικίας
ouderdom	ηλικία
ouderdom	ηλικια
diens	υπηρεσία
diens	service
diens	εξυπηρέτηση
blou	μπλέ
blou	μπλε
blou	γαλάζιο
blou	μεγαλώνουν
noordelike	βορειοανατολικά
noordelike	βορειοανατολική
noordelike	βόρειος
noordelike	βόρειο
noordelike	βόρεια
noordelike	βορεια
vind	βρείτε
vind	βρες
vind	βρω
woorde	λογια
woorde	λόγια
woorde	λέξεις
verkiesing	εκλογές
verkiesing	εκλογή
verbind	συνδεδεμένο
verbind	συνδεδεμένη
verbind	συνδεδεμένοι
verbind	συνδέονται
verbind	συνδεδεμένος
verbind	συνδέθηκε
verbind	σύνδεση
verbind	συνδεθείτε
geval	περίπτωση
geval	υποθεση
geval	υπόθεση
unie	ένωση
unie	ενωση
unie	γιούνιον
unie	συνδικάτο
unie	σωματείο
griekse	ελληνική
griekse	ελληνικά
griekse	ελληνίδα
griekse	ελληνικό
griekse	ελληνικα
behoort	ανήκει
behoort	ανήκουν
werke	δουλειές
werke	εργασίες
sterre	σπίθα
sterre	σπαρκς
sterre	σπίθες
sterre	κάγκελα
sterre	μπαρ
sterre	ράβδοι
sterre	μπάρες
sterre	άστρα
sterre	αστέρια
sterre	stars
sterre	αστεράκια
natal	νατάλ
slag	μαχη
slag	μάχη
slag	μάχες
deelstaat	κράτος
deelstaat	πολιτεία
deelstaat	state
oseaan	ωκεανού
oseaan	ωκεανός
oseaan	ωκεανό
son	σουν
son	κυρ
son	ήλιος
help	βοηθεια
help	βοήθεια
museum	museum
museum	μουσείο
want	επειδή
want	γιατί
probeer	προσπάθησε
probeer	δοκίμασε
probeer	δοκιμάστε
bome	δένδρα
bome	δέντρα
gemeentes	ενορίες
voltooi	ολοκληρώθηκαν
voltooi	ολοκληρωθεί
voltooi	ολοκληρώθηκε
voltooi	ολοκληρωμένα
voltooi	τελείωμα
voltooi	τελειώσω
voltooi	κάνει
voltooi	έγινε
voltooi	εγινε
voltooi	ολοκλήρωση
voltooi	πλήρη
voltooi	πλήρες
voltooi	πλήρης
voltooi	ολοκληρώθηκε
kilometer	χιλιόμετρο
kilometer	χιλιόμετρα
kilometer	χιλιόμετρα
stelsel	συστημα
stelsel	σύστημα
raad	συμβουλές
raad	συμβουλή
raad	συμβούλιο
hoogste	υψηλότερη
hoogste	υψηλότερο
dorpe	πόλεις
gebly	έζησα
gebly	έζησε
gebly	έζησαν
gebly	ζούσε
stede	πόλεων
stede	πόλεις
klub	club
klub	κλάμπ
klub	λέσχη
klub	κλαμπ
vader	πατερα
vader	πατέρας
vader	πατέρα
vader	πάτερ
ster	αστέρας
ster	αστέρι
ster	star
ster	σταρ
almal	ολοι
almal	όλοι
almal	ολα
almal	όλοι
almal	όλες
almal	όλα
almal	ολοι
almal	όλοι
australië	αυστραλία
vanuit	απο
vanuit	από
skakel	σύνδεσμο
skakel	σύνδεσμος
skakel	λινκ
skakel	δεσμός
skakel	link
skakel	σύνδεση
skakel	καλέστε
skakel	κλήση
skakel	κάλεσε
skakel	υπερσύνδεσμο
genus	γένος
genus	γένους
weke	βδομάδες
weke	εβδομάδων
weke	εβδομάδες
lyk	φαινεται
lyk	φαίνεται
york	γιορκ
york	υόρκη
york	york
generaal	στρατηγός
generaal	γενική
generaal	γενικές
generaal	γενικά
generaal	γενικό
vergadering	συνάντηση
vergadering	σύσκεψη
vergadering	συνεδρίαση
orde	τάξη
orde	παραγγελία
orde	σειρά
orde	διαταγή
loop	περπατώντας
loop	περπάτημα
nooit	ποτέ
nooit	ποτε
antieke	αρχαίος
antieke	αρχαίο
antieke	αρχαία
musiek	μουσικη
musiek	μουσική
willem	willem
willem	ουίλιαμ
willem	γουίλιαμ
rooms	αίθουσες
rooms	δωμάτια
uitgawe	έκδοση
uitgawe	εκδοση
verkry	αποκτήσει
verkry	αποκτήθηκαν
verkry	αποκτήθηκε
verkry	κεκτημένα
verkry	αποκτήσει
william	ουίλιαμ
william	γουίλιαμ
verkoop	πούλα
verkoop	πωλείται
verkoop	πούλησε
verkoop	πουλήθηκε
verkoop	πωλήθηκε
verkoop	πωλούνται
verkoop	πώληση
voël	μπερντ
voël	πουλί
voël	πτηνό
sjina	κίνα
dien	υπηρετώ
dien	υποβάλετε
dien	υποβάλει
dien	υποβολή
james	τζέιμς
james	james
james	τζέημς
italië	ιταλία
duits	γερμανοί
duits	γερμανός
duits	γερμανικό
duits	γερμανικά
duits	γερμανική
vierde	τέταρτος
vierde	τέταρτο
vierde	τέταρτη
hoër	υψηλότερη
hoër	υψηλότερο
hoër	ψηλότερα
hoër	υψηλότερα
lei	οδηγήσει
lei	μόλυβδο
lei	μόλυβδος
groei	ανάπτυξη
groei	μεγέθυνση
gestel	σετ
eerder	αντ
kleiner	μικρότερος
kleiner	μικρότερο
kleiner	μικρότερες
kleiner	μικρότερα
