olivers	oliver
nodrošināta	osigurala
nodrošināta	osiguralo
liktenis	destiny
liktenis	sudbina
liktenis	sudbinu
liktenis	sudbinu
liktenis	sudbina
vdk	kgb
drīzumā	ubrzo
drīzumā	uskoro
drīzumā	predstojeće
drīzumā	predstojeći
gaļa	meso
sietlas	seattle
smiltis	pesak
smiltis	pijeska
pievienoti	dodaje
pievienoti	dodali
pievienoti	dodao
tuvo	prenošenja
tumša	tamne
tumša	dark
tumša	mraku
tumša	tamna
tumša	mračna
liepu	linden
dzejā	stih
papua	papua
varoņi	heroji
hip	hip
formatdate	formatdate
gēnu	gen
romeo	romeo
zobenu	mač
bērnība	djetinjstvo
departamentā	odjel
departamentā	katedri
departamentā	odjeljenje
departamentā	departmenta
euro	euro
uzņemti	upisao
dvēsele	duša
atļauj	omogućava
atļauj	dozvoliti
atļauj	omogućile
atļauj	dozvoljavaju
atļauj	dopusti
ericsson	ericsson
atsauca	povukle
atsauca	povukla
smags	heavy
smags	teški
smags	težak
smags	teška
smags	teške
bronza	bronzana
bronza	bronza
artis	artis
migla	magla
migla	magla
krava	učitavanje
krava	teret
krava	cargo
krava	teretni
krava	teretni
iekšzemē	kontinentalno
iekšzemē	domaćim
sēž	sjede
ieguldījums	doprinos
ieguldījums	investicija
runu	govor
militāri	vojska
redakcija	verzija
somālijas	somalija
somālijas	somalijski
sadaļas	sekcije
sadaļas	poglavlja
advokātu	advokat
darbnīca	radionica
darbnīca	radionice
darbnīca	radionici
darbnīca	radionicu
rīku	opremu
ženēvas	ženeva
zemesraga	canaveral
meksika	meksiko
pusvadītāju	poluprovodnik
pusvadītāju	poluprovodnika
skudru	ants
zirgam	konj
pozitīvi	pozitivna
pozitīvi	pozitivan
pozitīvi	pozitivne
pozitīvi	pozitivni
atzīmēta	označeni
atzīmēta	obilježene
čeļabinskas	čeljabinska
mednieki	lovci
vērsts	usmjeren
vērsts	režija
vērsts	režirao
pierādījumu	dokaz
kristietība	kršćanstvo
dzēšanu	delecija
izvairās	izbjegava
stiprs	jaka
stiprs	jaki
olimpiāde	olimpijada
olimpiāde	olimpijada
nulle	nula
aprīkots	zadovoljavalo
aprīkots	opremljen
aprīkots	opremljena
aprīkots	opremljeni
disney	disney
zaļas	zelena
lists	liszt
elza	elsa
ņem	preuzeti
ņem	uzeti
ņem	take
ņem	preuzme
tava	vaš
tava	tvoje
tava	your
alianse	savez
alianse	alijansa
etc	etc
etc	itd
arābi	arapi
raktuves	rudnici
raktuves	mina
raktuves	mine
raktuves	rudniku
raktuves	moje
raktuves	rudnik
kāpnes	stepenica
kāpnes	ljestvici
kāpnes	stepenica
kāpnes	stepenice
gana	gana
vesels	cijela
vesels	čitava
virsbūves	tela
virsbūves	tijela
parametrs	parameter
militārie	vojska
dzīvoklī	stan
iestāšanās	pristupanje
leļļu	dollhouse
vistas	kokoška
getparent	getparent
deklarācija	deklaracija
deklarācija	proglašenje
islandē	island
savādāk	inače
pjedestāla	postolju
autonomijas	autonomiju
autonomijas	samostalnost
autonomijas	autonomija
paradīzes	raj
vēsturisks	historijsko
vēsturisks	historijski
vēsturisks	istorijski
vēsturisks	historijska
vēsturisks	historijsko
vēsturisks	historijski
artikulācijas	vezni
panorāma	panorama
atmosfēra	atmosfera
atmosfēra	atmosferu
eva	eva
eva	eea
astoņiem	osam
mobilais	mobilni
mobilais	mobilne
inovācijas	inovacije
inovācijas	inovacija
inovācijas	inovacija
dītrihs	dietrich
seju	licem
seju	suočavaju
seju	suočiti
seju	lice
seju	face
salo	salo
pārvaldnieks	rukovodilac
dem	dem
primārais	primarna
primārais	primarni
darījumu	transakcija
bono	bono
abovestyle	abovestyle
brūss	bruce
brūss	brus
tunelis	tunel
peldētājs	plivačica
peldētājs	plivač
čigānu	gipsy
šekspīra	shakespeare
izpildi	ispunjenje
konkrēti	konkretno
konkrēti	tačnije
pastāvīgā	trajni
pastāvīgā	trajnim
pastāvīgā	stalna
pastāvīgā	stalne
beidzies	istekao
fiat	fiat
glonass	glonass
ceturtdaļfinālā	četvrtfinale
gregorijs	gregory
trans	trans
atdalīta	razdvojene
bundeslīgas	bundeslige
atzītas	priznat
atzītas	priznala
atzītas	priznata
skolēniem	zenice
žils	jules
džims	jim
asambleja	skupština
kāzas	vjenčanje
kāzas	vjenčanja
zane	zane
vidējs	medium
vidējs	srednji
vidējs	srednjim
vidējs	srednje
vidējs	srednja
tehniski	tehnički
mēģinājumu	proba
britannica	britannica
žogs	ograde
žogs	ograda
salavat	salavat
flāmu	flamanski
gazprom	gazprom
silts	toplim
silts	toplom
silts	tople
karogi	zastave
gārnis	heron
rita	rita
četrdesmit	forty
četrdesmit	četrdeset
disciplīnas	disciplinama
stadijas	etapa
stadijas	stadijuma
delfi	delfi
pamiers	primirje
linu	lan
akmeņi	kamenova
akmeņi	kamenje
akmeņi	stijene
akmeņi	stijena
akmeņi	stijenama
honda	honda
abba	abba
aes	aes
signālus	signali
signālus	signale
galatasaray	galatasaray
sodīts	kažnjen
pacers	pacers
mati	dlaka
senas	drevni
senas	drevno
senas	drevna
senas	drevne
eric	eric
džeralds	gerald
parakstīt	znak
donalds	donald
irāka	irak
biologs	biolog
anita	anita
jeruzalemes	jerusalem
dens	dan
dens	den
neparasti	neuobičajena
neparasti	neuobičajene
neparasti	neuobičajen
neparasti	neobično
bioloģiskā	biološke
bioloģiskā	biološku
bioloģiskā	biološki
bioloģiskā	biološka
vienalga	god
piektajā	petom
piektajā	peta
piektajā	peto
piektajā	peti
podlases	podlasko
hdi	hdi
tipisks	tipično
tipisks	tipičan
niedru	trska
niedru	reed
vēlu	kasni
vēlu	kasno
piesaistīja	privukla
piesaistīja	privuklo
hipotēze	hipoteza
platumā	širine
platumā	širina
manuels	manuel
dienvidi	jug
ražoti	proizveo
ražoti	proizvela
ražoti	proizvedena
medībās	lovi
medībās	lov
abinieku	amfibija
lūiss	lewis
paaugstināta	povećan
paaugstināta	povećana
paaugstināta	povećane
paaugstināta	povećanu
paaugstināta	povećanog
zviedriem	šveđani
pieraksts	notacija
pieraksts	subscription
locītavas	zglobova
mao	mao
trīspadsmit	trinaest
sēru	žalosti
fantāzijas	fantastika
lauksaimniecība	poljoprivreda
lauksaimniecība	poljoprivreda
apzināti	svjesno
apzināti	namjerno
apzināti	namjerno
ievads	uvođenje
ievads	upoznavanje
čaulas	ljuske
čaulas	shell
čaulas	granate
čaulas	granata
dziļu	dubok
dziļu	duboke
ana	ana
kopīgas	dijele
milzīga	ogromni
milzīga	ogromna
milzīga	ogromne
milzīga	ogromno
milzīga	masivne
milzīga	masivan
milzīga	masivna
milzīga	masivni
lāci	medvjed
radošo	kreativne
radošo	kreativna
radošo	kreativno
radošo	kreativni
grīnbergs	grünberg
sūtīt	poslati
sūtīt	šalju
sūtīt	send
iekšējais	enterijera
iekšējais	unutrašnje
iekšējais	unutrašnja
iekšējais	unutrašnji
iekšējais	unutrašnji
iekšējais	unutrašnja
sandra	sandra
pārtraukums	brejk
pārtraukums	prekida
pārtraukums	organizatore
ķirurgs	hirurg
dzeltenais	žuta
silver	srebro
augumu	visina
oriģinālā	originalni
oriģinālā	originalna
oriģinālā	prvobitni
oriģinālā	originalne
oriģinālā	original
peldēšanas	plivanju
pētnieku	istraživač
rasu	rasnim
kritēriji	kriteriji
mareks	marek
svītras	pruge
siltāks	toplije
zēns	boy
zēns	dječak
zēns	dečak
palestīniešu	palestinski
paskaidrojumi	objašnjenja
sargā	čuvanja
brīvs	free
bagātīgi	obilne
pazuda	nestao
iegādāts	kupljene
iegādāts	kupljeno
iegādāts	kupljeni
iegādāts	kupila
iegādāts	kupili
peldēšana	plivanju
golden	zlatna
alejas	galerijama
līdakas	pike
izstrādāti	razvijao
izstrādāti	razvijene
izstrādāti	razvio
pavēlnieks	gospodara
pavēlnieks	gospodar
pavēlnieks	gospod
pavēlnieks	gospodaru
pavēlnieks	lord
vienādojumu	jednačina
organisms	organizam
organisms	organizma
eca	eca
sudānas	sudanski
plānota	zakazana
plānota	planirani
plānota	planirano
plānota	planirana
plānota	planirane
slēgt	brava
hēlija	helij
#ff	#ff
bayer	bayer
strēlnieki	strijelci
sadalīšanas	dissection
sadalīšanas	razdvajanje
piesaistīt	privlače
piesaistīt	privlačenje
piesaistīt	privući
kopija	kopija
kopija	copy
kopija	kopiju
balasta	balast
vīrusu	virus
vīrusu	virus
būtiskas	suštinska
būtiskas	osnovni
laikapstākļi	vremenska
izpratni	shvatanje
izpratni	razumijevanje
laima	lajmska
laima	lime
sulu	sok
asamblejas	skupština
sēdes	sjede
sēdes	sastanke
sēdes	sastancima
sēdes	sastanci
sēdes	sastanaka
bot	bots
vienādojums	jednačina
pateikt	kažu
mākslīgā	vještačko
mākslīgā	vještačka
akli	slijepa
pierre	pierre
regulāra	redovni
regulāra	redovnog
regulāra	redovan
regulāra	redovna
regulāra	redovnom
regulāra	redovnim
uzlabo	poboljšava
uzlabo	poboljšava
uzlabo	unaprijediti
uzlabo	poboljšaju
uzlabo	improve
plāksnes	ploče
reikenens	räikkönen
sistemātika	biosistematika
garīgais	duhovne
garīgais	duhovni
garīgais	duhovnih
garīgais	duhovno
garīgais	duhovnog
garīgais	duhovnu
džonijs	johnny
džonijs	jonny
ronis	pečat
cēzara	cezar
oksīdu	oksidi
juridiski	zakonski
juridiski	pravno
juridiski	legalno
cvk	cik
cvk	cec
absolūti	apsolutno
tēvam	otac
civilā	civilno
civilā	civilna
civilā	civilno
civilā	civilna
civilā	civilni
atrisināt	riješen
atrisināt	riješile
atrisināt	riješiti
atrisināt	rješavanjem
atrisināt	rješavanja
atrisināt	riješiti
atrisināt	riješi
atrisināt	rješavanje
nvs	cis
datori	računari
reģistrētas	registrovan
reģistrētas	registrovana
ieiet	ući
drošība	obezbjeđenje
drošība	sigurnost
drošība	bezbjednost
drošība	bezbjednosti
drošība	sigurnost
atkarību	zavisnosti
atkarību	zavisnost
procesora	procesor
talantu	talenat
zīmēšanas	crtež
piens	mlijeko
avīzē	novine
tavu	vaš
tavu	tvoje
tavu	your
īsāks	kraći
īsāks	kraće
īsāks	kraća
civilās	civilno
civilās	civilna
civilās	civilno
civilās	civilna
civilās	civilni
precīzs	tačna
precīzs	tačan
precīzs	tačan
diplomātiskās	diplomatsko
diplomātiskās	diplomatski
diplomātiskās	diplomatske
diplomātiskās	diplomatska
reperis	reper
trauku	jelo
luna	luna
lerijs	larry
parakstīšanas	potpisivanje
rīki	alat
intervijā	intervju
rīkles	grlo
rīkles	grla
gazols	gasol
yesno	yesno
toyota	toyota
apturēta	obustavila
atzīmē	note
atzīmē	nota
aicina	nazivajući
aicina	zovem
aicina	nazivaju
aicina	nazvavši
aicina	pozivajući
aicina	poziva
skaitļošanas	računarstvo
aizliegums	kulin
aizliegums	zabrana
aizliegums	bana
aizliegums	ban
aizliegums	prohibicije
klārks	clarke
klārks	clark
koncepciju	pojam
ieroci	pištolj
slepkavību	ubistvo
las	las
gaga	gaga
samazinājies	pala
samazinājies	odbio
šūmahers	schumacher
grenlandes	grenland
normandijas	normandija
garšu	okus
step	korak
veikalā	radnja
veikalā	shop
pašreizējie	trenutna
procedūras	procedura
procedūras	procedure
atlikušās	preostali
atlikušās	preostalih
atlikušās	preostala
atlikušās	preostale
tuberkulozes	tuberkuloze
skeleta	kostur
ulrihs	ullrich
jostas	pojasi
porsche	porsche
zināt	zna
zināt	znaju
zināt	know
bazilika	basile
bazilika	bazilika
dala	podijeljeni
dala	podijeljene
dala	podijeljen
dala	podijeljeno
orientalis	orientalis
izcili	neriješenim
izcili	odličnu
izcili	odličan
izcili	odlične
izcili	izvrsno
izcili	odlično
apvienotais	spojeni
apvienotais	spojena
joahims	joachim
zebiekste	weasel
konfederāciju	konfederacija
salīdzināt	poređenje
salīdzināt	porede
tiesneši	sudaca
tiesneši	sudije
tiesneši	suci
rex	rex
aģents	agens
aģents	agent
žurnāliste	novinar
romans	rimski
romans	rimsko
romans	roman
elektriskais	električna
elektriskais	električni
ieee	ieee
atpazīt	prepozna
atpazīt	prepoznatljivi
atpazīt	priznati
mergedtoprow	mergedtoprow
made	made
made	napravio
made	napravljena
made	napravljen
made	napravila
uzrakstīts	pisani
uzrakstīts	napisano
uzrakstīts	zapisano
uzrakstīts	napisao
uzrakstīts	pisan
uzrakstīts	pisao
taisnstūra	pravougaonik
taisnstūra	pravougaonih
ita}}	ita}}
ūdenskritums	vodopad
personība	identitet
personība	identiteta
personība	ličnost
intensīva	intenzivne
intensīva	intenzivna
intensīva	intenzivne
intensīva	intenzivan
maņu	senzorni
maņu	čulni
pēcnācējiem	potomaka
amsterdamas	amsterdam
gudrības	mudrost
mute	usta
ziemeļi	sjever
sarkani	crvena
optisko	optički
optisko	optičko
sauss	suha
sauss	suho
noliktava	skladište
sazināties	kontakt
sazināties	komunikaciju
praksi	praksu
praksi	praksi
praksi	praksom
praksi	praksa
nodoklis	dužnosti
nodoklis	dužnost
nodoklis	porez
kandidatūru	kandidaturu
kandidatūru	kandidaturi
hop	hop
dāma	queen
dāma	kraljica
dāma	ledi
dāma	dami
dāma	dama
dāma	lady
ražotāji	proizvođača
ražotāji	proizvođači
solis	korak
iedzīvotājs	stanovnik
vērts	vrijedi
vērts	vrijedno
vērts	vrijednosti
vērts	vrijedna
kuģniecības	otpreme
vakuuma	vakuum
hipotēzi	hipoteza
apvienojas	spoje
apvienojas	spajanje
apvienojas	spajanja
apvienojas	spajanje
palikusi	lijevo
apsūdzēja	optužio
apsūdzēja	optužen
apsūdzēja	optuženi
florida	florida
matricas	matrica
kopenhāgenā	kopenhagen
visilgāk	najduži
visilgāk	najduža
luhanskas	luhansk
finansiāli	finansijski
kaķiem	mačke
kaķiem	cats
kaķiem	mačaka
arheologs	arheolog
laulība	brak
ieviešana	implementaciju
sasniegumu	postignuće
sasniegumu	dostignuće
gaz	gaz
uzskaitītas	enumerated
uzskaitītas	naveden
profesore	profesor
prefektūra	prefektura
tcp	tcp
muti	usta
gmbh	gmbh
agrākā	najraniji
agrākā	najranije
fails	dosije
fails	datoteka
fails	arhiva
fails	file
redakcijas	verzije
gulbji	labudova
slovēnija	slovenija
copa	copa
copa	kup
peldēt	plivanje
peldēt	plivački
solaris	solaris
obama	obama
organizētas	organizirani
organizētas	organizirano
organizētas	organizirana
marie	marie
marie	mari
lībekas	lübeck
īzaks	isak
dārzos	bašče
dārzos	bašti
veicinātu	foster
veicinātu	gajenja
veicinātu	promovisanje
veicinātu	promoviranja
veicinātu	promovira
pelēkas	sive
pelēkas	sivi
pelēkas	siva
pērkons	grom
inspektors	inspektor
dejotāja	dancer
olimpiskajā	olimpijski
luters	luther
luters	luter
kursos	kursevi
tuksnesis	pustinja
atzīti	priznala
atzīti	priznata
atzīti	priznat
teritoriālais	teritorijalnoj
teritoriālais	teritorijalni
teritoriālais	teritorijalna
teritoriālais	teritorijalne
dziļš	duboka
dziļš	duboke
dziļš	duboko
dziļš	dubok
dziļš	deep
piesaista	privlači
piesaista	privlače
piesaista	privlačenje
piesaista	privući
dana	dana
dārziņš	bašti
dārziņš	bašte
dārziņš	bašta
dārziņš	džennet
silvija	sylvia
silvija	silvia
izpildītāji	izvođači
izpildītāji	umjetnici
pavlovs	pavlov
sausā	suha
sausā	suho
sausā	dri
pacientiem	pacijenti
pacientiem	pacijentima
pacientiem	pacijenata
pacientiem	pacijente
asp	asp
vienādu	ujednačen
avārijā	prilaz
izzūd	nestane
vadims	vadim
mini	mini
sekcija	odeljak
sekcija	sekcija
sekcija	zaliv
adams	adams
ethernet	ethernet
digitālā	digitalnu
digitālā	digitalna
digitālā	digitalne
digitālā	digitalni
digitālā	digitalnoj
bioloģija	biologija
eļļa	ulje
frakcija	razlomak
saturēt	sadrže
bahs	bacha
bahs	bach
atbalstītāji	navijači
atbalstītāji	pristalica
atbalstītāji	pristalice
definīcija	definicija
labāks	bolji
labāks	bolje
palīgā	pomoći
palīgā	pomogne
palīgā	pomoć
dzīvsudraba	merkur
fiksēts	fiksni
mākslīgais	vještačko
mākslīgais	vještačka
lādiņu	projektil
cieņu	dostojanstvo
paplašināta	proširili
paplašināta	proširena
veselas	cijela
veselas	čitava
apvalks	tunika
falco	falco
frakciju	frakcija
biļetes	ulaznice
biļetes	karte
dimantu	dijamant
izplatīšanās	distribuciji
izplatīšanās	distribucija
izplatīšanās	distribuciju
izplatīšanās	širenja
nikolass	nicholas
gadījuma	casual
utype	utype
amerikāņi	amerikanaca
amerikāņi	amerikanci
tīra	čisti
tīra	čisto
tīra	čista
tīra	čistu
tīra	čistim
tīra	čista
tīra	čist
tīra	čistom
baumas	glasine
izabella	isabel
izabella	izabela
prāga	prag
nogulumu	sedimentne
nieres	bubrega
pasākuma	mjera
pasākuma	mjeri
patērē	konzumira
patērē	potroši
zālamana	sulejman
apsūdzēts	optužio
apsūdzēts	optužen
apsūdzēts	optuženi
reklāma	oglašavanje
vikingi	vikinzi
sidnejas	sydney
munīcijas	municija
munīcijas	municiju
munīcijas	municije
plānā	plan
muguru	nazad
muguru	back
muguru	vrati
mūris	zid
apzīmējumi	pojmove
apzīmējumi	uslovi
apzīmējumi	legenda
porto	porto
turēt	hold
turēt	održati
turēt	drže
turēt	zadrži
turēt	keep
polo	polo
laivas	brodove
laivas	brodovi
ģenētiski	genetski
ģenētiski	genetički
interscope	interscope
svētdienas	nedjeljom
mainsnak	mainsnak
eksperimenti	eksperimenti
eksperimenti	eksperimenata
ievada	introductory
clippers	clippers
leonards	leonard
atpūta	rekreativnih
atpūta	ostatak
nirnbergas	nirnberški
dzemdes	materica
dzemdes	materice
dzemdes	maternici
saimnieki	masters
saimnieki	domaćin
gods	počast
gods	čast
gods	časti
gods	čast
skaļi	glasno
algu	plaće
algu	plate
algu	plaća
uzplaukums	procvat
piramīdas	piramida
piramīdas	piramide
piramīdas	piramida
augstākas	viša
augstākas	višem
publikācija	objavljivanja
publikācija	objavljivanje
publikācija	izdavačka
publikācija	izdavačke
publikācija	izdavačkom
gps	gps
elo	elo
risinājumi	rješenja
teju	skoro
uzraudzības	nadzor
tīrs	čisti
tīrs	čisto
tīrs	čista
tīrs	čistu
tīrs	čistim
tīrs	čista
tīrs	čist
tīrs	čistom
konflikti	sukobi
konflikti	sukob
konflikti	konflikt
sārmu	alkalni
sārmu	bazno
mijiedarbība	interakcija
mijiedarbība	interakcije
mijiedarbība	interakcije
kritiski	kritična
kritiski	kritično
markss	marksa
markss	marx
tulkots	prevedene
tulkots	preveden
tulkots	prevedena
nintendo	nintendo
jfk	jfk
sertificēts	certificirani
izvietot	raspoređen
izvietot	raspoređivanje
piecpadsmit	petnaest
mācīja	učio
mācīja	učili
tipiski	tipično
tipiski	tipičan
spartaks	spartak
laukiem	polja
blīvi	gusto
urālu	ural
mir	mir
sems	sam
sems	samom
sems	same
viltus	lažnih
viltus	lažna
viltus	lažne
viltus	lažni
viltus	lažno
maisījums	miks
maisījums	mješavine
dalīšanās	dijeljenje
automašīna	automobil
extra	dodatni
lēna	lena
lēna	spor
plānus	planova
plānus	planove
plānus	planovi
plānus	planira
aizstāvji	branioci
amsterdamā	amsterdam
sīrija	sirija
jaunieši	omladina
milzīgs	ogromni
adatas	igla
tūre	turneja
tūre	tour
intensitāte	intenzitet
jūdžu	mile
kļūmes	smetnjama
tulkojumi	prevode
allmusic	allmusic
sajūta	osećaj
sajūta	feeling
sajūta	osjećaju
sajūta	osjećaj
aizdomas	osumnjičenog
aizdomas	osumnjičeni
aizdomas	osumnjičena
aizdomas	sumnje
aizdomas	sumnju
aizdomas	sumnje
unikāls	jedinstveni
unikāls	jedinstveno
unikāls	jedinstven
unikāls	jedinstvena
tic	tic
daina	daina
domāja	misao
pretinieki	protivnici
pretinieki	neprijateljima
pretinieki	neprijatelji
pretinieki	neprijatelja
alba	alba
garsija	garsija
indes	otrovi
pieaugušiem	odraslih
pieaugušiem	odrasle
keita	kate
vienkāršā	jednostavna
vienkāršā	jednostavne
vienkāršā	jednostavan
vienkāršā	jednostavni
vienkāršā	jednostavnih
vienkāršā	jednostavno
vienkāršā	elementarna
drēzdenes	drezden
cieš	patnja
cieš	stradanja
cieš	patnje
cieš	pate
cieš	muke
cieš	pati
cieš	pati
cieš	pate
adrijas	jadransko
adrijas	jadrana
adrijas	jadran
adrijas	jadranska
zemāks	donjem
zemāks	niže
zemāks	niži
stratēģiski	strateški
stratēģiski	strateške
stratēģiski	strateška
stratēģiski	strateški
haizivs	ajkula
kabeļu	kabla
interjera	enterijera
linga	linga
apmatojums	dlaka
hornets	hornets
itunes	itunes
lūdz	pita
cola	cola
stadija	faza
stadija	bina
apsūdzības	optužnica
apsūdzības	optužnici
apsūdzības	optužbe
mantu	dope
rīks	alat
lexikon	lexikon
cerēja	nadali
lokomotīvju	lokomotiva
komunisti	komunisti
komunisti	komunista
ģeogrāfisko	geografske
imperatori	careva
imperatori	carevi
xml	xml
gruzija	georgia
gruzija	džordžija
gruzija	gruzija
veģetācijas	vegetacija
imdb	imdb
panda	panda
zīmols	marka
būtnes	bića
būtnes	bićima
degviela	gorivo
piedāvājums	tender
piedāvājums	nastojanje
piedāvājums	ponude
piedāvājums	nudi
piedāvājums	snabdijevanje
piedāvājums	ponuda
rīkoties	ponašaju
rīkoties	čin
rīkoties	akt
timberwolves	timberwolves
aprakstītas	opisala
aprakstītas	opisane
aprakstītas	opisan
aprakstītas	opisao
stāvus	hanife
kritizēja	kritizirao
kritizēja	kritiziran
zieds	cvijet
akcija	podijeli
novērš	izbjegava
novērš	sprječava
novērš	sprečava
novērš	spriječiti
novērš	spriječi
novērš	spriječili
raidījums	emitovanje
raidījums	emitovati
caurules	cijev
caurules	cevi
caurules	cijev
kimi	kimi
zobiem	zube
zobiem	zuba
zobiem	zubi
zobiem	zubima
uzpildes	popunjavaju
ģeogrāfiski	geografski
agnese	agnes
timbaland	timbaland
cēloņi	uzroka
cēloņi	uzroci
cēloņi	uzrokuje
āpsis	jazavac
dziļa	duboka
dziļa	duboke
dziļa	duboko
dziļa	dubok
dziļa	deep
nelaimes	nezgoda
filipīnas	filipini
egons	egon
garšas	okus
afgāņu	afganistanski
afgāņu	afganistanci
dabūt	get
bioloģisko	biološke
bioloģisko	biološku
bioloģisko	biološki
bioloģisko	biološka
dzirdēt	čuti
dzirdēt	čujem
dzirdēt	hear
dzirdēt	čuju
rīts	jutro
magazine	magazin
mākonis	oblak
denijs	deni
denijs	danny
pulkstenis	sahat
pulkstenis	sat
lēcas	objektiv
lēcas	leće
lēcas	sočiva
anastasija	anastasia
pārvadājumi	carriage
pārvadājumi	transport
tavs	tvoje
tavs	tvoj
tavs	vaš
tavs	tvoje
tavs	your
saņemts	primio
saņemts	dobio
saņemts	dobila
albānija	albanija
grafika	grafika
flora	flora
stabili	stabilno
stabili	stabilna
stabili	stabilan
svarīgas	važnom
svarīgas	važna
svarīgas	važno
svarīgas	bitan
svarīgas	važnih
svarīgas	bitno
pārdod	sell
pārdod	prodati
pārdod	prodaje
pārdod	proda
pārdod	prodala
pārdod	prodat
pārdod	prodao
līgumi	ugovore
līgumi	ugovorima
līgumi	ugovori
līgumi	sporazumi
grūtniecības	trudnoća
pārbaude	verifikacije
pārbaude	verifikaciju
pārbaude	test
pārbaude	inspekcija
pārbaude	pogledajte
pārbaude	check
vērtējums	rejting
vērtējums	procjenu
vērtējums	procjene
vērtējums	ocjena
ārpusē	izvan
astotā	osmi
astotā	osmo
kurss	kurs
siltums	toplota
vasaļiem	pratilaca
kursā	kurs
iemācījies	naučila
iemācījies	naučili
iemācījies	saznao
iemācījies	naučio
veselība	zdravlje
minardi	minardi
