strategia	estratexia
demonstracji	manifestación
demonstracji	demostración
ramiona	ombros
ramiona	brazos
ramiona	armas
odejście	deixar
odejście	marcho
odejście	marchar
elektroniczny	electrónica
elektroniczny	electrónico
dawki	dose
zima	no
zima	inverno
zima	o
rolnik	granxeiro
podawanie	administración
chmury	nube
wirus	virus
przyczyna	razón
przyczyna	motivo
przyczyna	pola
przyczyna	que
przyczyna	porque
przyczyna	causa
przyczyna	causar
zagranicy	estranxeiro
zagranicy	fóra
uczelnie	universidades
dinozaury	dinosauros
dinozaury	os
dinozaury	de
dinozaury	dinosauro
dinozaury	dinosauros
gwiezdne	estrela
gwiezdne	star
mad	tola
mad	tolo
mad	enfadado
weterynarii	veterinario
przygoda	aventura
oszczędności	aforros
oszczędności	aforrando
oszczędności	salvar
oszczędności	aforro
oszczędności	aforraban
torpedy	torpedos
pokojowe	pacífica
zauważa	notas
dziennikarze	xornalistas
dziennikarze	xornalistas
tłumaczyć	traduce
lucky	afortunada
lucky	sorte
lucky	afortunado
lucky	con
lucky	de
hammer	martelo
kora	córtex
minutę	minuto
minutę	momento
minutę	intre
minutę	agarda
harbor	porto
sesje	sesión
kambodży	camboxa
kambodży	en
metalowy	de
metalowy	metal
ira	ira
seks	sexo
seks	sexual
znaleziony	atopei
znaleziony	que
znaleziony	atopamos
znaleziony	atoparon
znaleziony	atopou
papier	papel
papier	xornal
papier	artigo
quo	quo
strzały	de
strzały	disparos
powierzchnie	zonas
powierzchnie	áreas
stanford	stanford
matematyczne	matemática
represje	da
represje	represión
oddzielone	separadas
metalowe	de
metalowe	metal
religie	relixión
formalne	formal
szacunkiem	respectar
szacunkiem	respeto
szacunkiem	respecto
szacunkiem	respéctanme
nóg	patas
nóg	pernas
nóg	as
nóg	legs
opłaty	cargos
rów	gabia
edukacyjnych	educativo
edukacyjnych	educativas
maski	máscara
maski	máscaras
pokaz	amosar
pokaz	espectáculo
miliardów	millóns
miliardów	mil
miliardów	miles
substancja	substancia
terminy	datas
terminy	termos
terminy	funcionamento
terminy	a
polowanie	cazar
polowanie	caza
grunt	terreo
grunt	chan
grunt	terra
chleba	pan
chleba	cartos
willy	willie
eve	eva
eve	aninovo
eve	data
eve	véspera
eve	noitevella
skargi	denuncia
budować	construír
budować	crear
budować	construir
wyroki	xuízos
wyroki	frases
banks	bancos
specjalistyczne	especialista
wątpliwość	dúbida
wątpliwość	dubidar
wątpliwość	dúbidas
wątpliwość	dubido
wątpliwość	dubídoo
buty	zapatos
buty	os
buty	botas
buty	tenis
buty	botas
buty	as
buty	zapato
próbki	mostra
próbki	mostras
palm	palma
palm	da
palm	palm
dylana	dylan
silna	forte
silna	fortes
żółta	amarelos
żółta	amarelas
żółta	amarela
żółta	marelo
żółta	taxi
tabele	mesas
pieczęć	filatelia
pieczęć	selo
pieczęć	foca
pieczęć	selo
rzucił	tiraron
rzucił	tirou
rzucił	o
żywność	comida
żywność	alimentos
żywność	alimentaria
ministrowie	ministro
ministrowie	ministra
ministrowie	pastor
ministrowie	cabinet
ministrowie	o
odpadów	lixo
odpadów	residuos
odpadów	perda
odpadów	perder
odpadów	tempo
rozumieć	que
rozumieć	comprendín
rozumieć	entendían
rozumieć	entendeu
rozumieć	entendía
szacunku	respectar
szacunku	respeto
szacunku	respecto
szacunku	respéctanme
upraw	cultivos
upraw	cultivos
vincenzo	vincenzo
szara	gris
szara	gris
szara	é
ever	nunca
ever	que
ever	algunha
ever	vez
powody	razóns
powody	polas
powody	motivos
powody	razón
powody	motivo
powody	pola
powody	que
wątku	fío
wirusa	virus
dziewczynę	moza
rehabilitacji	rehabilitación
zimowy	no
zimowy	inverno
zimowy	o
płeć	sexo
płeć	sexual
genu	xenéticas
genu	xene
genu	xenes
genu	xen
geoffrey	geoffrey
zaawansowanych	avanzado
zaawansowanych	avanzada
odwiedza	de
odwiedza	visita
dojazd	chegada
opieka	custodia
opieka	baixo
opieka	importa
opieka	igual
opieka	me
uratował	se
uratował	salvado
uratował	a
uratował	salvou
uratował	salvei
uratował	salvaches
roczne	anual
ser	queixo
maryja	mary
maryja	maría
ruin	a
ruin	ruínas
czyny	actos
czyny	as
czyny	accións
demokracja	democracia
kształcenie	formación
kształcenie	estudan
kształcenie	adestramento
kształcenie	educación
kształcenie	a
instrukcja	manual
instrukcja	instrucións
zdradę	unha
zdradę	traizón
zdradę	deslealdade
sprawności	eficiencia
sprawności	eficacia
ostateczna	final
ostateczna	derradeira
ostateczna	último
ostateczna	axuntémonos
ostateczna	todos
ostateczna	definitivo
wydobycie	minería
wydobycie	mineiro
krawędź	do
dzienna	día
dzienna	diariamente
dzienna	daily
dzienna	cotiá
dzienna	diario
okrągłe	redondo
okrągłe	redondos
okrągłe	xira
okrągłe	arredor
okrągłe	preto
ukrainę	ucrania
williamsa	williams
uprawiane	medrara
uprawiane	grande
uprawiane	medrou
uprawiane	xa
uprawiane	es
uprawiane	adulto
uprawiane	maior
rocznica	aniversario
opłat	cargos
tanzanii	tanzania
wysiłku	esforzo
cieniu	sombra
cieniu	sombra
fizycznie	físicamente
fizycznie	fisicamente
vera	vera
myślałem	que
myślałem	pensaba
myślałem	pensei
ładnie	bonito
ładnie	ben
ładnie	bonita
ładnie	bo
ładnie	boa
zasadnicze	esenciais
zasadnicze	esencial
definicje	definicións
definicje	definición
definicje	de
mądrości	a
mądrości	sensatez
mądrości	sabiduría
mądrości	sabedoría
napisali	escribín
napisali	escribiron
napisali	escribiume
napisali	escribiu
napisali	a
strzałów	de
strzałów	disparos
zwolnienie	liberación
zwolnienie	lanzamento
zwolnienie	en
zwolnienie	liberdade
zwolnienie	a
rozkazy	ordes
rozkazy	orde
rozkazy	as
rozkazy	encargos
ciecz	líquido
ciecz	líquida
kosmosu	cosmos
won	non
won	vai
won	vou
instancji	exemplo
ramion	ombros
reporter	xornalista
reporter	reporteiro
różnorodność	diversidade
różnorodność	variedade
różnorodność	de
widmo	membro
widmo	pantasma
widmo	carreta
widmo	espectro
przeżycia	supervivencia
przeżycia	mortandade
przeżycia	infantil
przeżycia	sobreviven
przeżycia	as
przeżycia	experiencias
odpowiedzialna	responsable
odpowiedzialna	responsables
odpowiedzialna	responsábeis
odpowiedzialna	responsábel
kapelusz	sombreiro
kapelusz	o
kapelusz	chapeu
kapelusz	sombreiriño
protestu	protesto
protestu	protesta
wujek	tío
wujek	tonton
ogrodzenie	perista
demokratyczne	democrático
grozi	ameazando
grozi	ameazan
czasowe	temporal
tragedia	tráxico
tragedia	tráxica
tragedia	traxedia
tragedia	desgraza
ręka	brazo
ręka	man
ręka	mans
młodsza	máis
młodsza	novos
młodsza	nova
młodsza	novo
młodsza	menos
zdecydowana	decidido
zdecydowana	con
słoneczny	solar
słoneczny	noso
zamieszki	raciais
zamieszki	disturbios
zamieszki	antidisturbios
chrześcijanie	christian
chrześcijanie	cristiáns
miny	minas
nosić	a
nosić	levar
nosić	levar
nosić	levo
nosić	levas
nosić	non
nosić	as
clara	clara
zabiera	leva
istota	esencia
istota	criatura
pusty	baleira
pusty	baleiro
pusty	baleiras
pusty	valeiro
dominacji	dominación
bohaterami	heroes
bohaterami	son
bohaterami	heroínas
kongo	congo
przygotowane	preparada
przygotowane	listo
przygotowane	preparado
przykładowe	mostra
przykładowe	exemplo
przykładowe	por
autorytet	autoridade
codzienne	cotiá
codzienne	día
codzienne	diariamente
codzienne	daily
codzienne	cotiá
codzienne	diario
zezwolenie	permiso
zezwolenie	permiso
mięśnie	músculos
mięśnie	os
mięśnie	muscular
mięśnie	músculo
banki	bancos
platformie	plataforma
centra	centros
znalezienie	atopar
znalezienie	de
znalezienie	que
znalezienie	a
świadek	testemuña
soboty	sábado
zwykła	común
zwykła	cotiáns
zwykła	era
zwykła	ordinario
zwykła	correntes
zwykła	normais
zwykła	simple
zwykła	banal
poszedł	foi
poszedł	fun
przeczytaj	lin
przeczytaj	ler
przeczytaj	leo
przeczytaj	le
przestrzenie	espacios
przestrzenie	espazos
marsylii	marsella
market	mercado
market	mercados
market	esa
market	feira
posiedzenie	xunta
posiedzenie	reunión
posiedzenie	encontro
posiedzenie	cita
właściwa	axeitada
właściwa	o
zobowiązania	compromiso
zobowiązania	mecanismo
zobowiązania	de
zobowiązania	mecanismos
zobowiązania	cos
aktywna	activa
aktywna	a
aktywna	activo
aktywna	activos
aktywna	activas
aktywna	militante
willie	willie
swobody	liberdades
wilsona	wilson
diabeł	demo
diabeł	diaño
konieczny	necesario
konieczny	necesaria
konieczny	necesarios
konieczny	necesarias
konieczny	preciso
konieczny	é
radość	ledicia
radość	alegría
radość	desfrute
radość	da
heat	calefacción
heat	calor
heat	o
statystyk	sobre
wykład	charla
zapasów	depósito
poświęcić	sacrificio
poświęcić	sacrificar
poświęcić	zugue
poświęcić	o
medyczna	medicina
medyczna	médico
medyczna	médicos
medyczna	médica
dziedziniec	patio
zło	mal
zło	malo
zło	malvado
zło	maldade
zło	malvados
bratanek	sobriño
niższy	máis
niższy	inferior
niższy	baixos
niższy	pulmonar
niższy	calefacción
symphony	sinfonía
grube	groso
limited	limitado
limited	limitada
wyginięciem	extinción
alpha	chan
pacjent	paciente
pacjent	doente
pacjent	pacientes
klęska	desastre
klęska	vencer
klęska	derrota
mróz	conxelación
podniesiony	criados
podniesiony	a
podniesiony	crecín
podniesiony	criamos
krystian	christian
krystian	cristiáns
helu	helio
sektor	sector
bram	gates
tiger	tigre
tiger	tiger
tiger	do
christo	cristo
travis	travis
zatrzymania	detención
podniesienie	a
pokazy	programas
pokazy	demostra
sztuczny	artificiais
sztuczny	artifical
sztuczny	artificial
koniu	cabalo
koniu	kingston
pogoda	♫
pogoda	tempo
pogoda	do
pogoda	este
pogoda	ben
finansowy	financeira
świeżo	fresco
świeżo	fresca
świeżo	frescos
świeżo	descarado
świeżo	descarados
świeżo	frescas
świeżo	cambiar
normalne	normal
normalne	normais
zabiegów	tratamentos
specyficzne	específicas
specyficzne	específica
specyficzne	específico
specyficzne	concreto
specyficzne	específicos
rum	ron
zarejestrowana	rexistrado
usta	beizos
usta	os
usta	boca
usta	boca
glory	gloria
glory	pola
sklepie	almacenar
sklepie	tenda
sklepie	almacéns
sklepie	almacén
notatki	notas
alaska	alaska
zakazane	prohibido
zakazane	prohibidas
proroka	profeta
wywiady	entrevista
wywiady	unha
wywiady	entrevisto
wywiady	entrevistas
cud	milagre
najwyraźniej	aparentemente
najwyraźniej	claramente
najwyraźniej	claro
najwyraźniej	con
najwyraźniej	claridade
ujawnił	revelou
znajomych	amigos
znajomych	os
mniejszość	minoría
brzucha	estómago
brzucha	ventre
brzucha	barriga
zagrożone	ameazada
hook	todos
wierze	fe
wierze	confiar
spalony	queimado
spalony	queimaron
spalony	queimou
spalony	queimados
cyfrowy	dixital
cyfrowy	dixitais
wycieczki	viaxes
zróżnicowanie	diversidade
niepożądane	adversos
niepożądane	efectos
drew	drew
statutu	estatutos
okazjonalnie	cando
obiecał	prometeron
obiecał	prometín
obiecał	prometinlle
obiecał	prometéronme
obiecał	prometida
obiecał	prometíchesme
obiecał	prometo
obiecał	prometera
rolniczy	agrícolas
rolniczy	agrícola
spisek	conspiración
koledzy	mozos
oskara	óscar
twojego	a
twojego	túa
twojego	teu
twojego	o
twojego	seu
twojego	súa
dominującą	dominante
dominującą	educativa
zone	zona
tendencje	tendencia
tendencje	coa
tendencje	tendencias
czyste	puro
czyste	pura
czyste	puros
czyste	limpa
czyste	limpo
czyste	limpar
żywy	vivos
żywy	viva
żywy	vivo
żywy	vida
żywy	con
schronienia	refuxio
ciekawa	curioso
warte	ser
warte	a
warte	pena
warte	paga
warte	valor
warte	vale
przekonał	de
przekonał	convencido
april	abril
april	de
powiązanych	coa
jima	jim
zabawa	ben
zabawa	divertido
zabawa	divertida
interesujące	interesante
interesujące	interesantes
ekspert	experta
ekspert	experto
więźniowie	presos
więźniowie	os
więźniowie	prisioneiros
najazd	redadas
shin	canela
rozwód	divorcio
rozwód	o
rozwód	divorciar
wytwarzane	neuronas
wytwarzane	xerado
aspekt	aspecto
udane	éxito
udane	exitosos
terapia	terapia
terapia	de
odwagę	valor
odwagę	coraxe
odwagę	valentía
odwagę	valente
odwagę	collóns
zaginął	a
zaginął	desaparecidos
zaginął	faltan
zaginął	falta
zaginął	perdidos
zaginął	faltaba
zmniejszyć	diminución
zmniejszyć	diminúe
zmniejszyć	reducir
trust	en
trust	confianza
trust	confiar
trust	confío
korzystne	beneficiosa
sum	suma
kawiarni	café
kawiarni	cafetaría
jasny	e
jasny	brillantes
jasny	brillante
tła	de
tła	fondo
brzuch	estómago
brzuch	o
brzuch	estómago
brzuch	ventre
brzuch	barriga
zabiegi	tratamentos
standardowy	estándar
standardowy	de
gniew	ira
gniew	rabia
gniew	odio
słaba	débil
ziarna	sementes
ziarna	gran
czytaj	lin
czytaj	ler
czytaj	leo
czytaj	le
donalda	donald
shakespeare	shakespeare
pełnomocnik	indicador
pełnomocnik	representante
trenerów	educadores
akapit	parágrafo
akapit	punto
radości	ledicia
radości	alegría
radości	desfrute
radości	da
wygrywa	gaña
wygrywa	gañar
june	xuño
unikać	evitar
bogowie	deuses
uczestniczących	participación
uczestniczących	participar
oddzielnie	separado
naga	espido
horse	cabalo
horse	kingston
oświetlenia	iluminación
miki	mickey
miki	micky
oznaczono	marcados
bóle	dor
bóle	moito
próbek	mostras
śmieci	lixo
śmieci	parvadas
śmieci	lixo
śmieci	do
zastrzelony	disparou
ołowiu	conducir
ołowiu	levar
ołowiu	a
ołowiu	até
kocham	amor
kocham	o
masakra	masacre
przystań	peirao
imperial	imperial
rzeczywisty	real
kosmiczne	cósmico
komercyjny	comercial
komercyjny	anuncio
wysoce	altamente
wierny	leal
stada	rabaño
stada	manada
stada	rabaño
rozprawa	ensaio
rozprawa	xuízo
rozprawa	proceso
rozprawa	que
rozprawa	oído
rozprawa	escoita
rozprawa	escoito
uzbrojone	armados
uzbrojone	armado
uzbrojone	armada
uzbrojone	armadas
syrena	serea
dzika	salvaxe
dzika	salvaxes
przejęte	de
poważna	serio
poważna	seria
poważna	en
poważna	grave
poważna	grave
poważna	graves
mózg	cerebrais
mózg	cerebro
mózg	cerebral
mózg	cerebro
mózg	cerebros
mózg	os
środa	o
środa	mércores
wierzy	cre
crown	coroa
żądania	reivindicacións
salomon	solomon
manchesteru	manchester
uszy	oído
uszy	ouvido
uszy	orella
uszy	oídos
uszy	orellas
gorsze	peores
gorsze	peor
gorsze	empeora
wydatki	pasar
wydatki	gastos
arsenał	arsenal
arsenał	o
krzywa	curva
przystanki	paradas
przystanki	frea
przystanki	detén
przystanki	deixa
przystanki	se
bang	baten
bang	bang
marilyn	marilyn
finansowania	finanzas
skomplikowane	complexo
skomplikowane	complexas
skomplikowane	complexa
skomplikowane	complexos
skomplikowane	complicado
skomplikowane	complexas
skomplikowane	complicadas
uczestnictwo	participación
uczestnictwo	participar
uczestnictwo	participación
przesunięcie	de
przesunięcie	quenda
ostra	aguda
limit	límite
gorączka	febre
wonder	pregúntaste
wonder	pregúntome
wonder	me
wonder	que
wywołane	causado
wywołane	causa
wywołane	causaba
antonia	antonio
promowanie	promoción
promowanie	ascenso
promowanie	a
starożytne	antiga
starożytne	antigas
starożytne	antigo
starożytne	antigos
zamków	castelos
fałszywe	falsa
fałszywe	falso
fałszywe	finxilo
senegalu	senegal
członkom	membros
członkom	do
wychował	criados
wychował	a
wychował	crecín
wychował	criamos
rana	ferida
zdolne	quen
zdolne	de
zdolne	capaz
zdolne	capaces
zdolne	poder
zdolne	capaz
standardowa	estándar
standardowa	de
motocykl	bicicleta
motocykl	en
motocykl	moto
motocykl	bici
pomyślnie	éxito
pomyślnie	con
instrukcje	instrucións
chleb	pan
chleb	cartos
czynność	acción
czynność	actividade
cyfry	números
cyfry	das
cyfry	os
cyfry	número
fabryk	fábricas
koty	gatos
chwały	gloria
chwały	pola
norton	norton
mozart	mozart
mozarta	mozart
kasa	cartos
kasa	diñeiro
kasa	os
kasa	xiro
odróżnić	distinguido
odróżnić	distinguidos
obserwować	observar
przedział	de
przedział	rango
przedział	cadea
przedział	montañosa
przedział	abano
projektowanie	deseño
projektowanie	deseñar
przyszło	chegou
przyszło	veu
piętnaście	quince
sfery	esferas
sfery	esfera
patent	patentes
patent	patente
patent	patentar
patent	zapatos
gliny	poli
gliny	policías
gliny	policía
gliny	polis
gliny	poli
gliny	policía
stella	stella
jonesa	jones
wybrała	elixín
moce	poderes
zwyczaje	costumes
zwyczaje	hábitos
basenu	piscina
basenu	a
siódma	sétimo
sprawdzenie	o
zaatakowany	atacado
szczur	rata
guza	tumor
zorganizować	organizar
capital	capital
capital	capitais
capital	capitol
capital	o
kopalnie	minas
kolana	xeonllos
kolana	xeonllo
obliczenia	cálculos
stracone	perdeu
stracone	perderon
stracone	perdín
stracone	perdemos
stracone	perdido
ubrania	roupa
ubrania	roupa
ubrania	roupas
spojrzenie	mirada
płaszcz	abrigo
płaszcz	o
płaszcz	chaqueta
zamówienia	ordes
zamówienia	orde
zamówienia	as
zamówienia	encargos
dostaw	de
dostaw	subministración
wzrok	vista
wzrok	ven
wzrok	vista
wzrok	visión
wzrok	seguramente
wzrok	ver
wzrok	visión
wzrok	vista
wzrok	vision
dziury	buraco
dziury	burato
dziury	furado
dziury	hole
dziury	buratos
dziury	buracos
sunday	domingo
sunday	domingos
sunday	dominical
podbój	conquista
tajemniczy	misterioso
tajemniczy	misterio
ubezpieczenia	seguro
ubezpieczenia	seguros
reaktora	reactor
niedziele	os
niedziele	domingos
niedziele	domingo
podaj	pasar
podaj	pase
elektroniczna	electrónica
elektroniczna	electrónico
poradnik	guía
planowanie	planificación
inn	inn
inn	hotel
zaburzenie	trastorno
zaburzenie	desorde
najmniejszej	máis
macdonald	macdonald
korytarz	corredor
korytarz	corredor
podatki	impostos
podatki	impostos
podatki	dos
najbliższe	máis
mcdonald	mcdonald
moneta	moeda
liny	corda
artykul	artigo
proporcje	proporción
proporcje	porcentaxe
wąski	estreito
mechaniczny	mecánica
mechaniczny	mecánico
zajęta	moi
zajęta	ocupado
zajęta	ocupados
zajęta	negocios
zajęta	ocupada
rabina	rabino
ciotka	tía
kontynent	continente
kontynent	continente
kroków	pasos
niebieska	azul
niebieska	azuis
skrypt	guión
giełda	intercambio
stanowiąc	a
stanowiąc	actuando
stanowiąc	actuar
edith	edith
nogę	perna
nogę	pernas
nogę	unha
nogę	pata
stół	mesa
mill	fábrica
mill	mill
mill	muíño
holenderskie	dutch
chrisa	chris
aresztowana	arrestados
aresztowana	arrestaron
aresztowana	deteñan
aresztowana	o
higieny	hixiene
żart	broma
żart	chiste
żart	bromas
żart	gracia
żart	conto
cierpienia	sufrimento
cierpienia	de
cierpienia	sofre
piękno	beleza
piękno	a
normalny	normal
normalny	normais
alkohol	alcol
alkohol	alcohol
zyski	beneficios
zyski	ganancias
chętnych	dispostos
chętnych	a
chętnych	disposto
chętnych	dispostas
chętnych	deus
chętnych	quere
chętnych	querería
chętnych	disposta
chętnych	voluntarios
księżycu	lúa
księżycu	moon
bramka	obxectivo
gwinea	guinea
kawy	café
konferencje	conferencia
konferencje	de
konferencje	conferencias
konferencje	rolda
konferencje	conferencias
johnsona	johnson
nine	nove
nine	9
much	moscas
much	voa
much	canto
much	grazas
much	moito
much	máis
much	tanto
aids	sida
przewodnika	guía
najbogatszych	máis
najbogatszych	ricos
królewna	princesa
moda	moda
moda	a
uwolnienie	liberación
uwolnienie	lanzamento
uwolnienie	en
uwolnienie	liberdade
uwolnienie	a
maska	máscara
eryk	eric
klinika	clínica
twarde	difícil
twarde	duro
wyobraźni	imaxinación
bogactwo	riqueza
bogactwo	riquezas
bogactwo	coa
zarejestrowano	rexistrado
pokrycie	a
pokrycie	cubrir
pokrycie	cuberto
pokrycie	cuberta
pokrycie	alcance
przemówienie	charla
przemówienie	discurso
przemówienie	expresión
przemówienie	fala
przełożony	superior
przełożony	superiores
astronauta	astronauta
szefów	xefes
kryty	cuberto
stanowczo	fortemente
rainbow	arco
rainbow	vella
rainbow	da
chemiczna	limpando
chemiczna	a
chemiczna	limpeza
chemiczna	da
stref	zonas
skazani	condenados
skazani	a
skazani	condenado
ham	xamón
incydent	incidente
incydent	accidente
tech	tecnolóxica
tech	tecnolóxicas
gps	gps
ostrej	aguda
magia	maxia
magia	máxico
magia	máxica
magia	máxicos
magia	máxico
łatwy	sinxelo
łatwy	fácil
łatwy	doado
łatwy	calma
łatwy	acouguen
wskazywać	indicar
algorytmu	algoritmo
rachunek	relato
rachunek	contas
rachunek	conta
rachunek	bill
rachunek	billete
rachunek	conta
rachunek	dereitos
rachunek	contrato
niezwykłe	extraordinario
niezwykłe	cantidade
niezwykłe	extraordinarias
niezwykłe	extraordinarios
niezwykłe	extraodinarios
niezwykłe	extraordinaria
niezwykłe	estraño
niezwykłe	sorprendente
niezwykłe	notables
niezwykłe	extraordinario
objętych	cuberto
palce	dos
palce	pés
palce	punta
palce	os
palce	dedos
pościg	da
pościg	busca
pościg	persecución
pościg	persecución
potwierdzono	confirmado
witaminy	vitaminas
witaminy	vitamina
wendy	wendy
wspaniały	magnífico
serio	en
serio	serio
wiatry	vento
wiatry	do
wiatry	corda
wiatry	chupo
pompy	surtidor
mia	mia
pozostawienie	deixar
pozostawienie	marcho
pozostawienie	marchar
nauczyciele	profesores
nauczyciele	mestres
nauczyciele	os
nauczyciele	bos
gwałtowny	violentos
gwałtowny	violenta
gwałtowny	violentas
gwałtowny	violento
gwałtowny	violencia
sprawność	eficiencia
sprawność	eficacia
ogromna	enormes
ogromna	enorme
ogromna	gran
ogromna	xigante
ogromna	grande
martwa	mortos
martwa	morto
martwa	morta
martwa	morreu
dong	dong
grzechu	pecado
olbrzymie	un
olbrzymie	xigantes
olbrzymie	xigante
niezależności	independencia
chaosu	un
chaosu	caos
wysłać	enviar
wysłać	a
ala	al
sprawozdania	informes
sprawozdania	sobre
duchowego	espiritual
duchowego	senda
taktyki	táctica
alternatywne	alternativa
pionowe	verticais
pionowe	vertical
widoki	opinións
sąsiadów	os
sąsiadów	veciños
niszczenie	destrución
niszczenie	destruíndo
niszczenie	destrución
niszczenie	destrucción
marzenia	soño
marzenia	soños
marzenia	con
marzenia	soños
lampa	lámpada
równoległe	paralelo
kamera	cámaras
kamera	cámara
twin	picos
zasilanie	poder
zasilanie	o
opcje	opcións
pływania	nadando
pływania	nadar
pływania	piscina
pływania	á
pływania	a
pływania	nado
bravo	bravo
spełnione	coñecín
spełnione	a
spełnione	coñecemos
uzasadnione	lexítima
uzasadnione	lexítimo
uzasadnione	razoable
uzasadnione	razoábel
udanych	éxito
udanych	exitosos
zwalczanie	de
zwalczanie	combate
zwalczanie	combates
zwalczanie	postos
zaopatrzenie	subministración
zaopatrzenie	de
zaopatrzenie	subministración
