die	เดอะ
mense	ประชาชน
mense	บุคคล
mense	ผู้
mense	ผู้คน
mense	คน
nasionale	national
nasionale	ชาติ
maak	ทำให้
kom	มา
noord	อุดร
noord	เหนือ
jpg	jpg
gebied	อาณาเขต
gebied	บริเวณ
gebied	พื้นที่
vanaf	จาก
laat	ดึก
laat	ช้า
laat	สาย
style	สไตล์
terwyl	ขณะ
moet	ต้อง
weer	อีก
weer	อากาศ
werk	ทำงาน
werk	งาน
werk	งาน
klein	เล็ก
klein	จิ๋ว
tyd	เวลา
vlag	ธงชาติ
vlag	ธง
verskeie	เบ็ดเตล็ด
verenigde	สามัคคี
verenigde	ยูไนเต็ด
verenigde	united
mei	พฤษภาคม
wes	เวสต์
staan	ยืน
staan	ยืน
staan	stand
staan	ทน
dan	งั้น
bevolking	ประชากร
gemaak	ทำให้
gebou	ตึก
gebou	อาคาร
jare	ปี
januarie	มกราคม
januarie	คู่มือ
junie	จุน
junie	จูน
junie	มิถุนายน
amerikaanse	อเมริกัน
slegs	เท่านั้น
slegs	เฉพาะ
slegs	แค่
nadat	after
nadat	หลัง
april	april
april	เมษายน
lank	สูง
lank	ยาว
lank	นาน
oktober	ตุลาคม
julie	กรกฎาคม
sedert	ตั้งแต่
september	กันยา
september	กันยายน
engels	อังกฤษ
party	พรรค
party	ปาร์ตี้
desember	ธันวาคม
desember	ธันวา
maart	มีนาคม
maart	มาร์ช
maart	march
alle	ทั้งหมด
alle	ทุก
gevolg	ตาม
februarie	กุมภาพันธ์
meeste	ที่สุด
gebore	เกิด
provinsie	จังหวัด
provinsie	มณฑล
provinsie	เปรม
provinsie	สภาพ
provinsie	รัฐ
universiteit	มหาวิทยาลัย
beskou	พิจารณา
lewe	ชีวิต
lewe	life
vier	สี่
vier	ฉลอง
vier	ฉลอง
november	พฤศจิกายน
franse	ฝรั่งเศส
dood	ตาย
dood	ตาย
amptelike	ทางการ
amptelike	official
koning	กษัตริย์
koning	king
koning	ราชา
koning	คิง
dieselfde	เดียวกัน
wêreld	เวิลด์
wêreld	world
wêreld	โลก
miljoen	ล้าน
aantal	ปริมาณ
regs	ขวา
regs	ถูก
dikwels	บ่อย
dikwels	มัก
dikwels	บ่อยๆ
internasionale	international
internasionale	นานาชาติ
internasionale	สากล
voëls	นก
eers	ก่อน
eers	แรก
steeds	ยัง
groep	กลุ่ม
stel	กำหนด
stel	ตั้ง
sluit	เลิก
sluit	ปิด
sluit	ใกล้
frankryk	ฝรั่งเศส
naby	ใกล้
hoofstad	พระนคร
hoofstad	ทุน
verwys	พาดพิง
water	น้ำ
water	นํ้า
einde	เสร็จ
einde	จบ
einde	end
einde	ยุติ
duitsland	เยอรมนี
regering	ราชการ
regering	รัฐบาล
elke	ทุกๆ
elke	ทุก
kaap	แหลม
kaap	เคป
dae	วัน
wanneer	เมื่อไร
wanneer	เมื่อ
wanneer	ตอน
oorlog	สงคราม
laaste	last
laaste	สุดท้าย
laaste	ล่าสุด
politieke	การเมือง
ryk	ริช
ryk	รวย
ryk	คนรวย
ryk	ร่ำรวย
asook	ทำบุญ
sommige	บาง
sommige	บ้าง
geskiedenis	ประวัติศาสตร์
geskiedenis	ประวัติการ
geskiedenis	ประวัติ
vis	ฟิช
vis	ปลา
plaas	farm
plaas	ไร่
plaas	ฟาร์ม
plaas	โพสต์
plaas	โพส
wetenskaplike	วิทยาศาสตร์
ontwikkel	พัฒนา
ontwikkel	พัฒนา
lande	ประเทศ
seun	บอย
seun	ลูก
seun	บุตร
seun	ลูกชาย
algemene	ทั่วไป
algemene	แม่ทัพ
verskillende	ต่าง
europa	ยุโรป
stadion	สนาม
belangrike	สำคัญ
kinders	เด็กๆ
kinders	เด็ก
kinders	ลูกๆ
kinders	เด็กๆ
kinders	เด็ก
gedurende	ระหว่าง
neem	รับ
neem	เอา
vertaal	แปล
munisipaliteit	เทศบาล
tans	ปัจจุบัน
republiek	สาธารณรัฐ
kort	สั้น
kort	สั้นๆ
kort	เตี้ย
self	ตนเอง
mens	มนุษย์
binne	ภายใน
binne	ภายใน
swart	ร่อง
swart	ร้าว
swart	ดำ
europese	ยุโรป
selfs	แม้น
selfs	แม้
selfs	แม้แต่
selfs	แม้ว่า
enige	ใดๆ
gehou	ถูกใจ
maande	เดือน
skool	โรงเรียน
per	ต่อ
vroeë	ต้น
familie	ตระกูล
familie	ครอบครัว
familie	family
voorkom	ป้องกัน
mag	พฤษภาคม
geneem	ถ่าย
hoe	วิธี
eiland	เกาะ
volg	แทร็ก
volg	แทร็ค
volg	ติดตาม
volg	ตาม
volg	ติดตาม
engeland	อังกฤษ
johannes	จอร์น
johannes	john
johannes	จอห์น
vyf	ห้า
ontwerp	ดีไซน์
ontwerp	ออกแบบ
aarde	earth
aarde	โลก
aarde	ธรณี
gee	มอบ
gee	ให้
kry	รับ
rol	บทบาท
rol	กลิ้ง
rol	ม้วน
vrou	หญิง
vrou	ภริยา
vrou	ภรรยา
vrou	เมีย
gebiede	บริเวณ
gebiede	พื้นที่
dag	เดย์
dag	วัน
john	จอร์น
john	john
john	จอห์น
woord	คำ
president	ประธาน
president	ประธานาธิบดี
koninkryk	อาณาจักร
tale	ภาษา
bly	ดีใจ
bly	อยู่
amerika	อเมริกา
hoewel	แม้ว่า
webwerf	เว็บไซต์
staat	สภาพ
staat	รัฐ
ekonomiese	เศรษฐกิจ
aanvaar	ยอมรับ
hou	ถือ
hou	กุม
hou	เก็บ
geskryf	เขียน
geskryf	ไหม้
geskryf	เผา
bevat	บรรจุ
see	ทะเล
verander	เปลี่ยนแปลง
verander	แก้ไข
verander	เปลี่ยนแปลง
verander	เปลี่ยน
russiese	รัสเซีย
weg	ห่าง
man	ผัว
man	สามี
man	มนุษย์
man	ชาย
man	คน
man	แมน
man	man
huis	บ้าน
huis	home
huis	บาน
huis	บ้าน
huis	เฮ้าส์
administratiewe	ธุรการ
bekende	ดัง
gespeel	เล่น
beste	best
rusland	รัสเซีย
kerke	โบสถ์
rooi	reds
rooi	แดง
rooi	เรด
skryf	เขียน
skryf	ไหม้
skryf	burn
skryf	เผา
wie	ผู้
wie	ใคร
suidelike	ใต้
romeinse	roman
romeinse	โรมัน
alhoewel	แม้ว่า
gekry	พบ
gekry	เจอ
verskyn	ปรากฏ
hoë	high
hoë	สูง
hoë	ไฮ
sterk	เข้ม
sterk	strong
sterk	แรง
sterk	แข็งแกร่ง
africa	แอฟริกา
londen	london
londen	ลอนดอน
reeks	ซีรี่ส์
reeks	อนุกรม
belangrikste	หลัก
speel	เล่น
speel	เล่น
wel	เอ้อ
wel	ก็
wel	เออ
wel	ดี
wel	ก้อ
wel	อืม
bou	สร้าง
wil	ต้องการ
wil	อยาก
minder	น้อย
gelei	นำพา
gelei	led
gelei	ชักนำ
beskryf	บรรยาย
beskryf	อธิบาย
streek	แคว้น
streek	ภูมิภาค
streek	ภูมิภาค
rivier	แม่น้ำ
mees	ที่สุด
jan	แจน
jan	ยัน
ses	หก
ses	six
grond	ดิน
grond	land
grond	แลนด์
grond	ที่ดิน
grond	พื้น
beroep	อาชีพ
png	png
gedoen	จบ
lede	สมาชิก
george	จอร์จ
iii	iii
meter	เมตริก
meter	เมตร
meter	เมตร
meter	เมตร
persent	เปอร์เซ็นต์
nederland	เนเธอร์แลนด์
span	ทีม
span	team
ontwikkeling	พัฒนาการ
ontwikkeling	พัฒนา
dele	อะไหล่
frans	ฝรั่งเศส
distrik	เขต
distrik	อำเภอ
gewen	วอน
gewen	ชนะ
god	อัลลอฮ์
god	พระเจ้า
god	อัลลอฮฺ
japan	japan
japan	ญี่ปุ่น
pad	ถนน
pad	road
militêre	กองทัพ
militêre	ทหาร
inligting	ข้อมูล
paul	paul
paul	พอล
veroorsaak	เพราะ
veroorsaak	สาเหตุ
ontdek	สำรวจ
oorspronklike	ต้นฉบับ
oorspronklike	ดั้งเดิม
oorspronklike	เดิม
katolieke	คาทอลิก
keiser	จักรพรรดิ
boek	หนังสือ
boek	สมุด
artikels	บทความ
artikels	ส่วน
sowel	ทั้ง
sowel	เอ้อ
sowel	ก็
sowel	เออ
sowel	ดี
sowel	ก้อ
sowel	อืม
goed	เก่ง
goed	ดี
goed	เอ้อ
goed	ก็
goed	เออ
goed	ดี
goed	ก้อ
goed	อืม
kalender	ปฏิทิน
wet	กฎหมาย
wet	กฎ
wet	ทำท่า
beide	ทั้ง
goeie	เก่ง
goeie	ดี
val	วาง
val	หย่อน
val	หยด
val	ดรอป
val	ล้ม
val	หล่น
val	ตก
val	ร่วง
vsa	สหรัฐอเมริกา
vsa	สหรัฐฯ
vsa	usa
hendrik	hendrik
beheer	ควบคุม
beheer	คอนโทรล
http	http
terug	กลับ
min	min
min	มิน
gevind	พบ
gevind	เจอ
verkies	เอาใจ
verkies	บุญ
verkies	โปรดปราน
verkies	โปรดปราน
omgewing	บริเวณ
omgewing	พื้นที่
lid	member
lid	สมาชิก
voormalige	อดีต
park	จอด
park	สวน
grens	ขอบ
grens	กรอบ
grens	ชายแดน
skeidsregter	กรรมการ
data	อินเทอร์เน็ต
data	ข้อมูล
jong	ยัง
noorde	อุดร
noorde	เหนือ
uiteindelik	สุดท้าย
buite	นอก
buite	ภายนอก
buite	outdoor
invloed	อิทธิพล
ouderdom	อายุ
ouderdom	ยุค
diens	บริการ
blou	น้ำเงิน
blou	สีน้ำเงิน
blou	บลู
blou	เติบโต
blou	ปลูก
blou	เบลอ
noordelike	เหนือ
vind	หา
vind	ค้นหา
woorde	คำ
woorde	ลมปาก
geval	กรณี
geval	case
geval	คดี
unie	สหพันธ์
unie	สหภาพแรงงาน
unie	สหภาพ
griekse	กรีก
werke	งาน
sterre	บาร์
sterre	แท่ง
sterre	ดวงดาว
sterre	ดารา
sterre	ดาว
natal	natal
slag	ศึก
slag	รบ
slag	สงคราม
deelstaat	สภาพ
deelstaat	รัฐ
oseaan	ทะเล
oseaan	มหาสมุทร
oseaan	ocean
son	ซุน
son	ซัน
son	พระอาทิตย์
help	ช่วย
museum	พิพิธภัณฑ์
want	เพราะ
probeer	ลอง
bome	ต้นไม้
voltooi	เสร็จ
voltooi	จบ
voltooi	สมบูรณ์
voltooi	ครบ
kilometer	กิโลเมตร
kilometer	กิโล
kilometer	กิโลเมตร
stelsel	ระบบ
raad	สภา
hoogste	สูงสุด
stede	เมือง
stede	นคร
klub	คลับ
klub	สโมสร
klub	club
klub	ชมรม
ster	ดวงดาว
ster	ดารา
ster	ดาว
almal	ทั้งหมด
almal	ทุก
australië	australia
australië	ออสเตรเลีย
vanuit	จาก
skakel	ลิงก์
skakel	ลิงค์
skakel	โทร
weke	อาทิตย์
weke	สัปดาห์
lyk	หน้าตา
york	ยอร์ก
york	ยอร์ค
generaal	ทั่วไป
generaal	แม่ทัพ
vergadering	พบปะ
vergadering	ประชุม
orde	ลำดับ
loop	เดิน
antieke	โบราณ
musiek	มิวสิค
musiek	เพลง
musiek	ดนตรี
rooms	ห้อง
uitgawe	ฉบับ
verkoop	ขาย
verkoop	ขาย
verkoop	ขาย
voël	นก
voël	เบิร์ด
sjina	จีน
dien	เสิร์ฟ
dien	เสริฟ
dien	ส่ง
james	james
james	เจมส์
italië	อิตาลี
italië	อิตาลี่
duits	เยอรมัน
lei	นำ
lei	ตะกั่ว
gestel	กำหนด
gestel	ตั้ง
eerder	แทน
foto	รูป
foto	ภาพถ่าย
foto	รูปภาพ
verloor	หลง
verloor	แพ้
verloor	เสีย
sewe	seven
sewe	เจ็ด
handel	แลก
handel	เทรด
handel	ค้า
oorspronklik	เดิมที
oorspronklik	ต้นฉบับ
oorspronklik	ดั้งเดิม
oorspronklik	เดิม
voorbeeld	ตัวอย่าง
voorbeeld	ตัวอย่าง
voorsitter	เก้าอี้
sterf	ตาย
nederlands	ดัตช์
sentraal	เซ็นทรัล
oppervlakte	บริเวณ
oppervlakte	พื้นที่
bevestig	ยืนยัน
crystal	ใส
indiese	อินเดีย
klas	ห้องเรียน
klas	คลาส
klas	เรียน
lughawe	บังเกอร์
louis	หลุยส์
vertoon	เผย
vertoon	แสดง
colspan	colspan
altyd	มัก
altyd	เสมอ
altyd	ตลอด
lig	สว่าง
lig	เบา
lig	ไลท์
lig	แสง
lig	เลี้ยง
txt	txt
punt	ดอท
punt	dot
punt	จุด
punt	point
punt	ชี้
punt	จุด
punt	ประเด็น
vroue	หญิง
vroue	สตรี
kant	ขอบ
kant	edge
kant	ด้าน
kant	ไซด์
kant	ข้าง
betrokke	หมั้น
wou	ต้องการ
rome	โรม
week	อาทิตย์
week	สัปดาห์
reg	กฎหมาย
reg	กฎ
stadium	ขั้น
stadium	stage
stadium	เวที
prof	prof
vervaardig	ผลิต
vervaardig	ผลิต
geskep	สร้าง
parys	paris
parys	ปารีส
openbare	สาธารณชน
openbare	public
openbare	สาธารณะ
oud	เก่าๆ
oud	แก่
oud	เก่า
sentrale	เซ็นทรัล
totale	รวม
totale	ทั้งหมด
natuurlike	natural
natuurlike	ธรรมชาติ
bied	เสนอ
amptelik	ทางการ
amptelik	official
indië	อินเดีย
loopbaan	อาชีพ
skep	สร้าง
olimpiese	โอลิมปิค
olimpiese	โอลิมปิก
dogter	ลูกสาว
dra	พก
dra	อุ้ม
hoof	หลัก
druk	สื่อ
druk	กด
druk	กดดัน
boeke	หนังสือ
geplaas	โพสต์
albei	ทั้ง
etniese	ชาติพันธุ์
kus	ชายฝั่ง
kus	ฝั่ง
gepubliseer	สด
super	super
kuns	อาร์ต
kuns	อาร์ท
kuns	art
kuns	ศิลปะ
bring	นำ
geld	เงิน
erken	ยอมรับ
maria	แมรี่
maria	แมรี
maria	maria
leier	ผู้นำ
boom	ต้น
boom	ต้นไม้
boom	ตูม
boom	บูม
rolprent	หนัง
rolprent	ภาพยนต์
rolprent	ภาพยนตร์
rolprent	ภาพยนตร์
rolprent	ฟิล์ม
kanada	แคนาดา
tradisionele	ดั้งเดิม
national	national
national	ชาติ
verdeel	แบ่ง
pole	โปแลนด์
beweging	เคลื่อนไหว
beweging	ขบวนการ
russies	รัสเซีย
japannese	ญี่ปุ่น
diere	สัตว์
punte	ชี้
punte	แต้ม
punte	คะแนน
punte	จุด
kulturele	วัฒนธรรม
beperk	จำกัด
beperk	วงเงิน
beperk	จำกัด
liggaam	body
liggaam	ร่าง
liggaam	กาย
liggaam	ร่างกาย
wen	win
wen	ชนะ
basis	ฐาน
basis	ฐานทัพ
verlaat	ทิ้ง
verlaat	ทางออก
white	ขาว
white	ไวท์
red	กู้ภัย
spanje	สเปน
kultuur	วัฒนธรรม
charles	ชารลส์
charles	ชาร์ลส์
charles	ชาร์ล
heilige	นักบุญ
heilige	เซนต์
heilige	ศีล
heilige	ศักดิ์สิทธิ์
kaart	แผนที่
oorsprong	ต้นทาง
oorsprong	ที่มา
oorsprong	กำเนิด
david	เดวิด
david	david
parlement	รัฐสภา
groen	เขียว
sosiale	สังคม
geboue	ตึก
geboue	อาคาร
trek	ดึง
stem	โหวต
stem	เสียง
energie	พลังงาน
boere	เกษตรกร
boere	กสิกร
boere	ชาวไร่
boere	เกษตรกร
boere	ชาวไร่
boere	ชาวนา
prys	ราคา
prys	รางวัล
ligging	ตำแหน่งที่ตั้ง
ligging	ตำแหน่ง
gestuur	ส่ง
broer	น้อง
studente	นักเรียน
studente	นักศึกษา
gemeenskap	สังคม
gemeenskap	ชุมชน
berg	ภูผา
berg	ภูเขา
berlyn	berlin
berlyn	เบอร์ลิน
bronne	แหล่ง
bronne	ต้นทาง
beleid	นโยบาย
port	พอร์ต
port	ท่าเรือ
album	อัลบั้ม
beweeg	เลื่อน
beweeg	ขยับ
beweeg	ย้าย
egipte	อียิปต์
egipte	ว่างๆ
egipte	ว่าง
brittanje	อังกฤษ
com	com
asië	เอเชีย
verskaf	จัดหา
lees	อ่าน
lees	อ่าน
sir	เซอร์
webtuiste	เว็บไซต์
vinnig	รวดเร็ว
vinnig	เร็ว
vinnig	ด่วน
vinnig	fast
vinnig	ไว
agt	แปด
lengte	ยาว
manier	วิธี
manier	ทาง
manier	วิถี
manier	หนทาง
goue	golden
goue	โกลเด้น
goue	ทองคำ
buitelandse	ต่างด้าว
aangebied	เสนอ
ingesluit	รวม
ingesluit	รวม
tipe	ชนิด
tipe	ประเภท
tipe	พิมพ์
peter	peter
poskode	zip
poskode	รูด
stemme	โหวต
biskop	บิชอป
duidelik	ชัด
leiding	แนวทาง
anders	ต่าง
proses	กระบวนการ
tree	รับ
tree	เอา
pas	พอดี
pas	ฟิต
pas	fit
pas	แมตช์
alias	นามแฝง
los	ทิ้ง
massa	มวล
massa	ก้อน
voorgestel	แนะ
voorgestel	แนะนำ
jacobus	jacobus
vorige	อดีต
spaanse	สเปน
argitek	สถาปนิก
res	พัก
lewer	ตับ
ekonomie	เศรษฐศาสตร์
ekonomie	เศรษฐกิจ
mark	ตลาด
mark	เครื่องหมาย
mark	มาร์ค
saak	เพราะ
saak	สาเหตุ
den	ทาส
getroud	แต่งงาน
lae	โลว์
lae	ต่ำ
sake	สาเหตุ
dinastie	ราชวงศ์
verwerf	earn
verwerf	ขวนขวาย
onafhanklikheid	อิสรภาพ
onafhanklikheid	เอกราช
verower	เอาชนะ
verower	พิชิต
verhouding	สัดส่วน
verhouding	อัตราส่วน
verhouding	สัมพันธ์
hoërskool	มัธยม
gekies	เลือก
gedeelte	ภาค
gedeelte	ส่วน
gedeelte	part
hoog	high
hoog	สูง
hoog	ไฮ
hoog	สูง
waarde	มูลค่า
waarde	ค่า
mans	ผู้ชาย
mans	men
mans	ชาย
mans	บุรุษ
maatskappy	บริษัท
maatskappy	company
maatskappy	องค์กร
maatskappy	จุลภาค
lug	sky
lug	ท้องฟ้า
lug	ฟ้า
lug	แอร์
lug	อากาศ
lug	air
regte	สิทธิ
regte	สิทธิ์
regte	real
regte	จริง
dorpie	หมู่บ้าน
oranje	ส้ม
plessis	plessis
dienste	บริการ
digter	กวี
then	งั้น
tien	ten
tien	สิบ
rigting	ทิศทาง
gereeld	บ่อย
gereeld	บ่อยๆ
gereeld	บ่อย
gereeld	มัก
gereeld	บ่อยๆ
getal	จำนวน
getal	หมายเลข
alles	ทั้งหมด
alles	ทุก
onafhanklike	อิสระ
onafhanklike	เอกราช
demokratiese	ประชาธิปไตย
wys	โชว์
wys	แสดง
spesifieke	เจาะจง
gemiddelde	เฉลี่ย
stryd	ดิ้นรน
leër	ทัพ
leër	กองทัพ
media	สื่อ
beïnvloed	อิทธิพล
bron	ต้นทาง
projek	โครงการ
behalwe	ยกเว้น
alfabet	อักษร
kind	กุมาร
kind	เด็ก
genoeg	พอ
voorbeelde	ต้นแบบ
voorbeelde	ตัวอย่าง
voorbeelde	ตัวอย่าง
eenheid	ยูนิต
eenheid	หน่วย
teks	ข้อความ
ierland	ไอร์แลนด์
smith	สมิทธ์
smith	สมิธ
bevorder	โปรโมท
bevorder	โปรโมต
bevorder	โปรโมท
bevorder	กระตุ้น
bevorder	โปรโมต
studie	เรียน
studie	ศึกษา
burgemeester	เทศมนตรี
sit	นั่ง
aangeneem	สันนิษฐาน
navorsing	ค้นคว้า
navorsing	วิจัย
bestuur	จัดการ
bestuur	ขับ
bestuur	ขับขี่
skotland	สกอตแลนด์
opgeneem	บันทึก
hand	คู่มือ
hand	มือขวา
hand	มือ
hand	หัตถ์
hand	hand
oop	เปิด
swede	สวีเดน
benoem	ชื่อ
praat	คุย
praat	พูด
praat	พูด
petrus	petrus
petrus	peter
bedien	เสิร์ฟ
bedien	เสริฟ
gewilde	นิยม
eienskappe	คุณสมบัติ
african	แอฟริกา
thomas	โธมัส
elektriese	ไฟฟ้า
elektriese	รถไฟฟ้า
elektriese	ไฟฟ้า
laer	ลด
laer	ต่ำ
laer	ล่าง
aandag	ใส่ใจ
aandag	สนใจ
aandag	authentic
paleis	วัง
paleis	ราชวัง
paleis	พระราชวัง
sjinese	จีน
all	ทั้งหมด
all	ทุก
geleentheid	เหตุการณ์
geleentheid	กิจกรรม
steun	สนับสนุน
steun	รองรับ
leer	หนัง
vloei	ไหล
vloei	กระแส
kyk	นาฬิกา
kyk	ชม
kyk	ดู
kyk	มอง
kyk	ดู
rolprente	หนัง
rolprente	ภาพยนต์
rolprente	ภาพยนตร์
seuns	หนุ่มๆ
seuns	sons
glo	เชื่อ
glo	ศรัทธา
vroeg	ต้น
html	html
denemarke	เดนมาร์ก
des	เด็ค
des	เดค
des	เดธ
bladsy	สมอ
bladsy	สม
bladsy	เพจ
bladsy	หน้า
bladsy	เพจ
bladsy	หน้าที่
bladsy	หน้า
diep	ลึก
diep	deep
roman	นิยาย
roman	นวนิยาย
kwazulu	kwazulu
geloof	ศรัทธา
soek	ค้นหา
grand	grand
graad	เกรด
graad	ปริญญา
soldate	ทหาร
skole	โรงเรียน
elemente	ธาตุ
koninklike	รอยัล
koninklike	ราชวงศ์
weet	รู้
weet	ทราบ
plante	พืช
verslaan	พ่าย
toring	หอคอย
toring	ทาวเวอร์
toring	หอ
vervoer	ขนส่ง
vervoer	ขนส่ง
rede	เหตุ
rede	เหตุผล
rede	สาเหตุ
krag	บังคับ
krag	แรง
krag	อำนาจ
krag	power
krag	พลังงาน
krag	พลัง
poolse	โปแลนด์
geniet	เพลิน
gesin	ตระกูล
gesin	ครอบครัว
gesin	family
donker	เข้ม
donker	มืด
nege	เก้า
internet	อินเทอร์เน็ต
internet	อินเตอร์เน็ต
san	ซาน
san	แซน
san	san
klassieke	คลาสสิค
klassieke	คลาสสิค
klassieke	classic
dink	คิด
url	url
maklik	ง่าย
maklik	ง่ายๆ
maklik	ง่ายดาย
probleme	ปัญหา
https	https
burgers	ประชาชน
burgers	พลเมือง
swaar	หนักๆ
swaar	หนัก
vrede	สันติภาพ
vrede	สันติ
vrede	สันติสุข
burger	burger
burger	พลเมือง
voet	เท้า
voet	ตีน
ondersteun	สนับสนุน
ondersteun	สนับสนุน
ondersteun	รองรับ
gewoon	ธรรมดา
gewoon	สามัญ
gewoon	ธรรมดา
moeder	แม่
onderwerp	หัวข้อ
onderwerp	หัวข้อ
materiaal	วัสดุ
materiaal	วัตถุดิบ
materiaal	วัสดุ
elk	แต่ละ
aktrise	actress
afdelings	ส่วน
studeer	เรียน
studeer	ศึกษา
studeer	ศึกษา
goud	ทอง
goud	โกลด์
goud	ทองคำ
volle	เต็ม
volle	ฟู
iso	iso
groepeer	กลุ่ม
nature	สันดาน
nature	ธรรมชาติ
chemiese	เคมีภัณฑ์
chemiese	เคมี
gevalle	รีสอร์ท
gevalle	กรณี
skip	เรือ
skip	ยาน
ver	ไกล
watter	ซึ่ง
belgië	เบลเยียม
belgië	เบลเยี่ยม
behou	เก็บ
noorweë	นอร์เวย์
versoek	ร้องขอ
versoek	ขอ
versoek	คำขอ
versoek	ร้องขอ
hulp	ช่วย
hoop	โฮป
hoop	หวัง
bedryf	อุตสาหกรรม
saint	นักบุญ
saint	เซนต์
dalk	บางที
albert	อัลเบิร์
albert	อัลเบิร์ต
king	กษัตริย์
king	king
king	ราชา
king	คิง
warm	ร้อนๆ
warm	ร้อน
warm	hot
bgcolor	bgcolor
sukses	สำเร็จ
eeue	ศตวรรษ
voorwerpe	วัตถุ
joodse	ยิว
temperatuur	อุณหภูมิ
victoria	วิกตอเรีย
victoria	วิคตอเรีย
maan	พระจันทร์
maan	มูน
maan	เพ็ญ
jean	ยีน
jean	จีน
jean	ฌอง
karel	ชารลส์
karel	ชาร์ลส์
karel	ชาร์ล
kaarte	บัตร
kaarte	การ์ด
kaarte	ไพ่
kaarte	maps
kaarte	แผนที่
kaarte	ไพ่
kaarte	การ์ด
kaarte	บัตร
wissel	สลับ
wissel	สลับ
wissel	ลอย
seisoen	ฤดูกาล
nasies	ประชาชาติ
nasies	สหประชาชาติ
amper	เกือบ
grondwet	รัฐธรรมนูญ
www	www
ens	ฯลฯ
ens	etc
kollege	วิทยาลัย
kollege	มหาวิทยาลัย
besig	ยุ่งๆ
besig	ยุ่ง
soortgelyke	คล้าย
skiereiland	คาบสมุทร
wetenskap	วิทยาศาสตร์
tye	ไทม์
tye	ครั้ง
gewild	นิยม
gewild	แนะนำ
gewild	เด่น
nowrap	nowrap
teorie	ทฤษฎี
kasteel	ปราสาท
lyf	body
lyf	ร่าง
lyf	กาย
lyf	ร่างกาย
wedstryde	แมตช์
wedstryde	เกม
wedstryde	เกมส์
oostenryk	ออสเตรีย
totdat	จนถึง
totdat	จน
totdat	จนกว่า
bybel	ไบเบิ้ล
bybel	ไบเบิล
hawe	พอร์ต
hawe	ท่าเรือ
brasilië	บราซิล
history	ประวัติศาสตร์
history	ประวัติการ
history	ประวัติ
plan	แพ็คเกจ
plan	วางแผน
plan	แผน
michael	ไมเคิ้ล
michael	ไมเคิล
beelde	ภาพ
beelde	รูปภาพ
beelde	ภาพ
beelde	รูปภาพ
beelde	อิมเมจ
gedigte	กลอน
ring	แหวน
ring	วงแหวน
ring	ring
ring	ริง
oorwinning	ชัยชนะ
vol	เต็ม
vol	ฟู
toegelaat	อนุญาต
gevra	ถาม
fam	ครอบครัว
fam	fam
vergelyking	สมการ
lyn	เส้น
lyn	บรรทัด
lyn	line
soorte	ชนิด
soorte	ประเภท
blare	ใบไม้
drama	ดราม่า
drama	ละคร
onlangse	rect
onlangse	ล่าสุด
alleen	ลำพัง
departement	แผนก
departement	กรม
johan	johan
uur	ชั่วโมง
toestand	สภาพ
toestand	รัฐ
koerant	หนังสือพิมพ์
riviere	ลำน้ำ
riviere	แม่น้ำ
letterkunde	วรรณกรรม
letterkunde	วรรณคดี
verhoog	เพิ่ม
verhoog	ขั้น
verhoog	stage
verhoog	เวที
professor	ศาสตราจารย์
wapen	อาวุธ
hoeveelheid	ปริมาณ
spanne	ทีม
sin	ประโยค
sin	sense
koste	ต้นทุน
