تعاریف	определения
اشتباهات	ошибки
ویدئوی	video
ویدئوی	видео
مناره	минарет
تقلب	обмануть
تقلب	измена
تقلب	обман
تقلب	мошенничества
تقلب	мошенничество
نشینی	отступить
نشینی	отступать
نشینی	отступление
موزامبیک	мозамбике
موزامبیک	мозамбик
موزامبیک	мозамбика
ایرویز	airways
مغان	magi
حقایق	факты
رواندا	руанде
رواندا	руанда
تامسون	томпсон
تامسون	томсон
انتقادات	критика
مانکن	супермодель
مانکن	манекен
پاور	власть
پاور	сила
پاور	мощь
پاور	power
پاور	мощность
جنجال	споры
تبت	тибетский
تبت	тибет
پوش	ножны
میتسوبیشی	mitsubishi
نورد	перевозка
نورد	перевозки
نورد	нор
نورد	nord
اهلی	внутренние
تیرداد	трдат
خاکستر	аш
خاکستر	эш
خاکستر	пепел
اساطیری	аватары
میانجی	посредника
میانجی	посредник
میانجی	посредничества
میانجی	посредничество
میانجی	промежуточный
میانجی	промежуточные
میانجی	промежуточных
میانجی	посредники
استریت	улица
استریت	street
گوجه	томатный
گوجه	помидоры
زرهی	panzer
زرهی	armored
خروس	член
خروس	петух
خروس	петух
کاریکاتور	карикатура
توت	tut
اطاعت	повиноваться
اطاعت	подчиняться
اطاعت	подчиниться
اطاعت	слушаться
نمادین	символическое
آگهی	реклама
واکسن	вакцины
واکسن	вакцин
واکسن	вакцины
واکسن	вакцина
واکسن	вакцину
منفرد	манфред
نیجر	нигер
نیجر	нигера
نیجر	нигере
تامی	томми
وارن	уоррен
سیلندر	баллон
سیلندر	цилиндр
رستاخیز	doomsday
رستاخیز	воскрешение
رستاخیز	воскрешения
رستاخیز	воскресение
حشره	насекомых
بیوگرافی	биография
بیوگرافی	биографии
بیوگرافی	биография
بیوگرافی	биографию
بیوگرافی	биографии
امانوئل	эмануэль
امانوئل	эмануэле
امانوئل	эммануэль
امانوئل	эммануэль
جبری	алгебраическая
شورشی	повстанцев
شورشی	повстанцев
شورشی	мятежники
شورشی	повстанцы
شورشی	повстанцев
شکوفایی	блум
منطبق	идентичны
منطبق	одинаковые
منطبق	идентичные
عهدنامه	договор
عهدنامه	договора
اقتصاددان	экономист
کنش	меры
کنش	действий
کنش	действие
کنش	действия
کنش	акция
کنش	действия
کنش	меры
پاهای	ноги
پاهای	стопы
پاهای	ступни
آرون	аарон
آرون	аарона
تنظیمات	коррективы
تنظیمات	корректировка
تنظیمات	корректировки
تنظیمات	преференций
تنظیمات	предпочтения
تنظیمات	настройки
تنظیمات	параметры
تنظیمات	настройка
آمیخته	смесь
آمیخته	смесей
آمیخته	смеси
لیسبون	лиссабон
دانیال	дэниэл
دانیال	дэниел
دانیال	даниель
دانیال	даниэль
حماس	хамас
دوز	дозу
دوز	дозу
دوز	доза
فرانکو	франко
تحقیقی	стипендия
تحقیقی	стипендию
تحقیقی	стипендии
فمینیسم	феминизм
حلب	алеппо
سکولار	светского
زراعی	аграрной
تأخیر	задержки
تأخیر	задержка
تأخیر	отложить
آشوب	хаос
پارکر	паркер
بالقوه	потенциал
بالقوه	потенциальная
بالقوه	потенциально
ادموند	эдмунд
زینتی	декоративные
زینتی	декоративных
زینتی	украшение
سقط	выкидыш
سقط	аборты
سقط	аборт
سقط	абортов
تاتنهام	тоттенхэм
دیزل	дизель
محفل	шабаш
محفل	сборка
محفل	ассамблеи
محفل	собрание
محفل	ассамблея
تماشای	наблюдаю
تماشای	смотрим
تماشای	смотрю
دوبلین	дублине
دوبلین	дублин
الکترونی	электрон
یاهو	yahoo
درآمدی	доход
درآمدی	поступления
درآمدی	доходы
قطره	капля
قطره	капли
قطره	капель
باطل	ложь
باطل	ложный
باطل	ложное
باطل	ложные
باطل	пустоту
باطل	пустота
باطل	суета
باطل	тщеславие
نیرومند	могущественный
نیرومند	мощная
نیرومند	мощные
نیرومند	мощный
خداحافظی	прощайте
خداحافظی	прощай
آنالوگ	аналоговые
آنالوگ	аналог
جونگ	чон
جونگ	чжон
جونگ	чон
رون	рона
رون	рон
اصابت	эффект
اصابت	влияние
اصابت	воздействие
اصابت	результативность
اصابت	последствия
عاطفی	эмоциональные
عاطفی	эмоциональная
عاطفی	эмоции
عاطفی	эмоциональной
عاطفی	эмоциональный
دوندگان	гонщики
دوندگان	бегунов
اسکن	сканирование
مایعات	жидкостей
مایعات	жидкости
مایعات	жидкости
وات	ватт
عدسی	линзы
عدسی	объектив
الجزیره	алжир
الجزیره	алжире
مخفیانه	втайне
مخفیانه	тайно
کریستیان	кристиан
کریستیان	христианин
کریستیان	христиане
کریستیان	христианство
کریستیان	христиан
امارت	эмират
مستطیل	прямоугольник
پورشه	порше
پورشه	porsche
سوگند	присягой
سوگند	клятва
کرنل	корнелл
کاج	сосна
کاج	пайн
بایت	байт
بایت	байт
تسلیحات	боеголовок
تسلیحات	боеголовки
باروک	барокко
تبخیر	ротари
تبخیر	испарения
انقلابیون	революционеров
کاتالونیا	catalunya
کاتالونیا	каталонии
برفی	снег
برفی	сноу
برفی	снега
برفی	снежок
برفی	снежный
مهربان	добрая
مهربان	милостивый
سوالات	вопросы
راکی	рокки
نوسازی	реконструкция
نوسازی	ремонт
نوسازی	реабилитация
نوسازی	восстановление
نوسازی	реабилитации
ریموند	рэймонд
ریموند	реймонд
شوک	шоке
شوک	шок
میخی	клинопись
ابتکار	импровизация
ابتکار	инициатива
ابتکار	импровизация
نمادی	символическое
ورد	заклинание
ورد	заклятие
ورد	верде
امیلی	эмили
بور	bur
بور	бор
بور	бор
بور	бёрр
بور	бора
بور	бор
اسپورت	sport
اسپورت	спорт
اسپورت	спортивные
اسپورت	спорт
اسپورت	спортивная
اسپورت	sports
آرت	арт
آرت	art
آرت	искусство
موانع	барьеров
موانع	преграды
موانع	барьеры
موانع	препятствия
موانع	неудачи
موانع	препятствий
موانع	препятствия
تاخیر	задержки
تاخیر	задержка
کولی	цыган
ناتوانی	невозможность
ناتوانی	неспособность
ناتوانی	инвалидность
ناتوانی	инвалидности
تاکسی	taxi
تاکسی	такси
تاکسی	такси
کلیوی	почек
زشت	уродливый
فرید	фарид
ماهر	квалифицированный
ماهر	квалифицированные
ماهر	квалифицированных
ماهر	махер
پایانه	терминал
توس	бёрч
عجایب	чудес
عجایب	чудеса
تعدیل	корректировки
تعدیل	корректировка
زراعت	культур
زراعت	посевы
زراعت	земледелия
واجب	обязательных
واجب	обязательное
واجب	обязательна
واجب	обязательные
واجب	обязательная
واجب	обязательный
واجب	необходимо
واجب	необходимая
واجب	необходимые
واجب	необходимое
واجب	необходимый
بدتر	хуже
لوی	леви
لوی	лой
لوی	леви
سبزیجات	овощи
سبزیجات	растительное
سبزیجات	овощи
کارخانجات	заводы
کارخانجات	фабрики
کارخانجات	фабрик
شگفت	изумительно
مازیار	маз
داس	коса
داس	серп
داس	дас
هموار	гладко
قرائت	читаем
قرائت	чтения
قرائت	читаю
قرائت	чтение
نیا	ниа
آناتومی	анатомии
سوق	водить
سوق	драйв
سوق	привод
سوق	drive
هیلز	хиллз
هیلز	холмы
وفاداری	верность
وفاداری	верности
وفاداری	верность
وفاداری	лояльность
وفاداری	преданность
بارانی	душа
بارانی	душе
بارانی	душ
بارانی	дождей
بارانی	дожди
بارانی	дождь
بیچ	бука
بیچ	бич
بیچ	пляж
بیچ	пляже
بیچ	beach
بیچ	бич
کیفری	преступные
کیفری	преступник
کیفری	уголовное
کیفری	уголовного
آرزو	желание
آرزو	пожелание
آرزو	желаем
آرزو	желающие
تصمیمات	решения
دانشگاهیان	ученые
ضرر	потери
ضرر	убытки
جنون	слабоумие
جنون	сумасшествие
جنون	безумие
جنون	безумие
متقاعد	убежден
متقاعد	убедила
متقاعد	убеждены
متقاعد	убедил
متقاعد	убедили
متقاعد	убедить
متقاعد	убедительно
تایلر	тайлер
عزت	честь
عزت	честь
عزت	славу
عزت	слава
تمبر	марка
تمبر	марки
بلگراد	белграде
بلگراد	белград
معاملات	сделок
معاملات	сделки
معاملات	операции
معاملات	сделок
معاملات	сделки
یاقوت	рубины
یاقوت	руби
نوزده	девятнадцать
پرسی	перси
دستکاری	манипулировать
دستکاری	манипуляции
معجزه	чудес
معجزه	чудеса
معجزه	чудо
باهم	вместе
خوردگی	коррозии
لوکوموتیو	локомотив
بدهی	долги
بدهی	обязательства
بدهی	долг
بدهی	долги
بدهی	задолженности
بدهی	задолженность
کلیساها	церквей
کلیساها	церкви
پرستوی	проглотить
چادر	палатки
چادر	походы
چادر	поход
چادر	палатку
چادر	палатки
عمو	дядя
عمو	дядюшка
نوسان	осцилляции
نوسان	колебания
نوسان	качели
سرنشین	пассажирских
سرنشین	пассажир
سرنشین	пассажира
سرنشین	экипаж
سرنشین	команда
سرنشین	экипажа
زنجیر	цепочку
زنجیر	цепочка
زنجیر	цепь
ریوی	легочной
اسپانیای	испанию
اسپانیای	испания
اسپانیای	испании
ایزوتوپ	изотопы
ایزوتوپ	изотопов
ایزوتوپ	изотопов
ین	иен
ین	йен
ین	йена
دلالت	предполагает
دلالت	подразумевает
نیزه	копье
اسپنسر	спенсер
طوطی	попугаев
طوطی	попугай
لاتزیو	лацио
بلژیکی	бельгии
اسکاندیناوی	скандинавии
اسکاندیناوی	скандинавских
بارو	бэрроу
کمینه	минимальный
کمینه	минимальное
کمینه	минимальная
کمینه	минимум
کمینه	минимальные
کمینه	минимальный
کمینه	минимальная
کمینه	минимальным
کمینه	минимальное
کمینه	минимум
کاراته	карате
دستگاهی	устройство
دستگاهی	устройства
کوپه	купе
کوپه	отсек
کوپه	купе
کوپه	купе
سرما	холодная
سرما	холодное
سرما	холодный
سرما	холодно
سرما	холод
آموزگار	учитель
آموزگار	преподаватель
آموزگار	учительница
شجاعت	мужество
شجاعت	храбрость
شجاعت	смелость
توران	туран
برهم	всплеск
پرستار	сестра
پرستار	медсестра
مشکی	чёрное
مشکی	черный
مشکی	black
مشکی	чёрные
مشکی	чёрный
بنگال	бенгалии
الحاق	добавление
الحاق	присоединение
توریستی	туристических
توریستی	туристический
توریستی	турист
ایان	иен
ایان	ян
ایان	йен
ایان	иан
ایان	иэн
استیضاح	импичмента
جاوه	java
متعهد	связаны
متعهد	совершено
متعهد	совершенные
بلیز	белиз
مسمومیت	отравление
مسمومیت	отравления
مسمومیت	токсичность
مسمومیت	токсичности
مجرد	разряд
مجرد	холостяк
مجرد	бакалавр
عروقی	сосудистых
تحکیم	консолидации
تحکیم	консолидация
سرگئی	сергей
درخشش	чистка
درخشش	блеск
درخشش	яркости
درخشش	светится
درخشش	блеск
درخشش	светятся
اینترنشنال	международные
اینترنشنال	международный
دیترویت	детройт
فرعون	фараон
فرعون	фараона
سهره	финч
هارون	харун
هارون	харуна
صمد	самад
شنوایی	слух
شنوایی	слушание
شنوایی	слушания
جواهر	драгоценности
جواهر	украшения
جواهر	украшение
جواهر	драгоценности
هیجان	волнения
هیجان	волнение
هیجان	возбуждение
هیجان	трепет
برانگیز	призываем
پرتره	портрет
تومور	опухоли
تومور	опухоль
کپسول	капсула
بیسبال	бейсбол
کروموزوم	хромосомы
کروموزوم	хромосома
خستگی	усталости
خستگی	усталость
خستگی	скуки
خستگی	истощение
خستگی	исчерпания
بسامد	частотность
بسامد	периодичность
بسامد	частота
استعفای	отставку
چاپلین	чаплин
الکتریسیته	электричество
الکتریسیته	электроэнергии
کریک	крик
کریک	ручей
پنجاب	пенджаб
غیرممکن	невозможное
غیرممکن	невозможно
اشیا	объектов
اشیا	предметы
اشیا	объекты
مشت	кулаки
مشت	удар
مشت	кулак
ربع	квартал
ربع	четверть
ربع	квартале
سهولت	легкость
سهولت	облегчить
کنسولگری	консульство
کنسولگری	консульства
جسیکا	джессика
مجنون	безумие
مجنون	безумно
مجنون	безумец
مجنون	безумная
مجنون	бешеный
مجنون	безумный
ویکیپدیای	википедия
ویکیپدیای	википедии
بالکان	балканах
بالکان	балкан
بالکان	балканского
باروری	рождаемости
هوافضا	аэрокосмических
عزاداری	трауре
اضطراب	тревога
اضطراب	беспокойство
شرلوک	шерлок
نسیم	бриз
اضطراری	чрезвычайной
ثور	тор
نزاکت	приличия
نزاکت	вежливости
نزاکت	такт
فروهر	сущность
فروهر	суть
باکس	box
باکس	ящик
باکس	коробку
باکس	коробка
باکس	шкатулка
تعصب	нетерпимость
تعصب	нетерпимости
تعصب	предубеждения
تعصب	ущерба
تعصب	предрассудки
تعصب	догмы
تفنگداران	корпус
تفنگداران	корпуса
کرک	кирк
درصدی	проценты
درصدی	процент
سنتز	синтез
سنتز	обобщение
افغانی	афгани
افغانی	афганская
افغانی	апн
افغانی	афганская
افغانی	афганских
افغانی	афганский
افغانی	афганские
اصولی	систематический
اصولی	систематическая
اصولی	систематические
اصولی	систематическое
اصولی	систематического
سپید	белые
سپید	уайт
سپید	white
سپید	белый
سپید	белое
واسکو	васко
متناهی	конечное
متناهی	конечный
متناهی	конечных
هدر	хизер
هدر	хезер
طبع	нрав
نیکولا	никола
نیکولا	николя
نیکولا	никола
دریچه	клапан
دریچه	люк
احساسی	эмоциональные
احساسی	эмоциональная
احساسی	эмоции
احساسی	эмоциональной
احساسی	эмоциональный
انجیر	фикус
انجیر	фиг
جوهر	чернил
جوهر	чернила
پلاستیکی	пластик
پلاستیکی	пластиковый
پلاستیکی	пластиковые
پلاستیکی	пластика
پن	пенн
پن	пан
پن	пэн
سس	соус
تیغ	лезвие
تیغ	клинок
مولر	мюллер
مولر	мюллер
مولر	мюллер
انتقالی	переходное
انتقالی	переходного
انتقالی	переходная
انتقالی	переходные
مبدا	происхождение
مبدا	происхождения
رولز	rolls
آرژانتینی	аргентинский
آرژانتینی	аргентинская
آرژانتینی	аргентинская
آرژانتینی	аргентины
کیل	капуста
کیل	кале
کیل	киль
وقفه	прервать
وقفه	прерывание
وقفه	прерывать
وقفه	прерывание
وقفه	перерывов
گواهینامه	лицензия
گواهینامه	лицензии
گواهینامه	сертификат
گواهینامه	свидетельство
گواهینامه	справка
روال	рутина
فراموشی	забываю
فراموشی	забывая
فراموشی	забыв
آمینه	амино
زامبیا	замбия
زامبیا	замбии
تم	тема
فاش	раскрывать
فاش	раскрытие
فاش	раскрытия
ویروسی	вирусный
بابلی	вавилон
بابلی	вавилонский
صداهای	голоса
صداهای	voices
سوسن	сюзан
سوسن	сьюзан
سوسن	сьюзен
رینگ	ринг
رینگ	кольцо
رینگ	кольца
خطرات	риски
خطرات	опасности
هاردی	харди
مخالفین	оппозиции
مخالفین	оппозиция
مخالفین	противодействие
مخالفین	противостояние
گوزن	олень
گوزن	оленя
گوزن	лось
گوزن	мус
گوزن	олень
گوزن	карибу
نیومن	ньюман
نیومن	нейман
دورتموند	дортмунд
الیاس	элайджа
الیاس	элиас
لیزری	лазер
پاداش	бонус
پاداش	вознаграждение
پاداش	награды
پاداش	вознаграждение
پاداش	награда
نفرین	проклятие
نفرین	проклятье
لمس	touch
لمس	прикоснуться
لمس	прикосновение
لمس	трогательно
لمس	прикосновения
لمس	прикосновение
لمس	трогал
لمس	коснулся
لمس	тронут
سوئیسی	швейцарский
سوئیسی	швейцарская
سوئیسی	швейцарии
سویا	сои
واگذاری	делегат
کارن	карен
مهندسین	инженеров
مهندسین	инженеры
قشر	кора
طاووس	павлин
طاووس	павлинов
اسکلت	шасси
اسکلت	скелет
اسکلت	скелеты
پدربزرگ	деда
پدربزرگ	дедушка
پدربزرگ	дед
پدربزرگ	деда
پدربزرگ	дедушка
پدربزرگ	дед
گروپ	группа
گروپ	группы
گروپ	group
انحصار	монополии
منجمد	заморожены
منجمد	замороженные
فواصل	расстояния
فواصل	интервалы
فلامینگو	фламинго
خدایی	god
خدایی	боже
خدایی	бог
سیار	mobile
سیار	мобильные
سیار	мобильных
سیار	мобильный
پادگان	баз
پادگان	базы
پادگان	гарнизон
پادگان	гаррисон
گرمایش	отопление
خلاقیت	творчество
خلاقیت	творческих
خلاقیت	творческая
خلاقیت	творческий
خلاقیت	оформление
اسپورتینگ	спортивных
امریکایی	американский
امریکایی	американские
امریکایی	американская
امریکایی	american
امریکایی	американских
امریکایی	американец
بارون	барон
بارون	дожди
بارون	дождь
بیکر	бейкер
بروسیا	боруссия
گی	gay
گی	гей
گی	геи
مخرب	разрушительные
مخرب	разрушительное
مخرب	разрушительной
تهمت	клевета
تهمت	диффамации
تهمت	клевета
تهمت	клевете
تهمت	клевета
آبیلا	авила
مخازن	хранилищ
مخازن	хранилища
حسگر	датчик
مستعمره	колония
مستعمره	колонии
بودا	буда
بودا	будда
مکاتب	коммуникатор
صاریغ	опоссум
خودگردان	автономные
خودگردان	автономных
خودگردان	самостоятельный
محققین	исследователи
قسطنطنیه	константинополь
ایمن	безопасно
ایمن	безопасное
ایمن	сейф
ایمن	айман
ایمن	обезопасить
جفرسون	джефферсон
ناخواسته	нежелательных
کاوشگر	зонд
کاوشگر	исследователь
کاوشگر	explorer
قطعاً	определённо
قطعاً	однозначно
قطعاً	определенно
ویرانی	руины
ویرانی	разрушить
ویرانی	разрушение
ویرانی	разрушения
ویرانی	уничтожения
ویرانی	уничтожение
غده	опухоли
غده	опухоль
غده	железа
غده	железы
بروک	брук
بروک	брук
یزید	язид
کاله	калле
کاله	кале
مرمر	мрамор
مقاصد	намерения
مقاصد	направления
مقاصد	назначения
زیارتگاه	святилище
گراد	град
سنتور	кентавр
توفیق	помощь
پاسخگویی	отвечайте
پاسخگویی	ответ
پاسخگویی	ответить
پاسخگویی	реагирование
پاسخگویی	реакция
پاسخگویی	ответ
جنسیتی	пол
گیلبرت	гилберт
پدرو	педро
تریلر	триллер
تریلر	прицеп
تریلر	трейлер
چاک	чака
چاک	чак
ضلعی	четырёхугольник
خوک	свиней
خوک	свиньи
خوک	свинья
خوک	свиньи
بکند	делает
بازوی	рука
بازوی	руку
دوازدهمین	двенадцатой
دوازدهمین	двенадцатый
مدیاویکی	mediawiki
بیداری	проснулась
بیداری	проснулся
جامی	чашки
جامی	стаканы
جامی	чашка
جامی	чаша
جامی	кубок
جامی	cup
نیکون	nikon
تزئینات	декорации
تزئینات	украшения
شوهرش	муж
کالین	колина
کالین	колин
کالین	колен
برونو	бруно
مارپیچی	спирали
مارپیچی	спираль
باخ	баха
باخ	бах
قذافی	каддафи
مونتاژ	монтаж
گمنام	анонимные
گمنام	анонимность
گمنام	анонимный
گمنام	анонимных
گمنام	анонимно
ناراحتی	грустная
ناراحتی	печально
ناراحتی	грустный
ناراحتی	грустно
ناراحتی	грусть
محبت	доброты
محبت	доброта
محبت	доброту
محبت	привязанность
همخوانی	согласованность
همخوانی	последовательности
همخوانی	последовательность
باک	бак
کارا	кару
کارا	кара
کارا	каре
کارا	кара
کارا	каре
جنبشی	кинетической
وبا	холеры
جهانگردان	исследователи
آستوریاس	астурия
تزئین	декорации
تزئین	декор
تزئین	украшение
تزئین	оформление
تزئین	украсить
پیشوند	префикс
بیهوشی	затмение
نشستن	сидя
نشستن	сижу
نشستن	сидим
نشستن	сидеть
نشستن	сидение
شایان	шайенн
نیایش	поклонение
نیایش	прославления
نیایش	молитвы
نیایش	молитва
انصراف	бросить
بیشه	айки
کلامی	устные
کلامی	языковым
تناقض	противоречия
تناقض	противоречий
تناقض	парадокс
تناقض	несоответствие
تناقض	противоречие
تناقض	противоречия
تعطیلی	отключение
لیندا	линда
لیندا	линда
قسم	присягой
قسم	клятва
آرم	рука
آرم	руку
دلاور	делавэр
اتصالات	соединения
فراخوانی	повестка
فراخوانی	звонить
فراخوانی	звонок
فراخوانی	призвание
اسیدی	кислой
اسیدی	кислота
اسیدی	кислоты
اسیدی	кислотности
بیکاری	безработицы
بیکاری	безработица
فلفل	перец
فلفل	пеппер
هاپکینز	хопкинс
شیطانی	демонические
مگس	летит
مگس	мух
مگس	мухи
کالاها	товары
کالاها	товаров
کالاها	грузы
لیبریا	либерия
لیبریا	либерии
لیبریا	либерии
محو	пятно
لای	лай
لای	заложить
پنجشنبه	чт
پنجشنبه	четверг
بقای	выживания
بقای	выживание
نامیبیا	намибия
نامیبیا	намибии
سورینام	суринам
طیفی	спектральный
کمدین	комик
جن	джен
جن	джинн
عذرخواهی	извинения
عذرخواهی	оправдания
عذرخواهی	извинение
عذرخواهی	извинения
میکس	mix
میکس	смешать
میکس	микс
یوهانس	иоганн
بذر	семя
بذر	семенной
بذر	семена
بذر	семян
بذر	семена
عملگر	оператор
تکن	tekken
فرصتی	возможность
فرصتی	возможности
اخطار	уведомление
اخطار	уведомления
اخطار	предупреждения
اخطار	предупреждение
اخطار	предостережение
بخارست	бухаресте
حباب	пузыри
حباب	пузырь
پالس	пульс
پالس	импульс
گرانت	грант
تقریب	приближение
هیلاری	хилари
هیلاری	хиллари
هیلاری	хилари
نژادهای	породы
نژادهای	порождает
نژادهای	пород
بهاری	spring
بهاری	весна
بهاری	весенний
مزدا	mazda
نقدهای	обзоры
نقدهای	обзоров
نقدهای	отзывы
تفریح	досуг
تفریح	отдых
گان	ганн
نرگس	нарцисс
سبزی	питательной
کپنهاگ	копенгагене
کپنهاگ	копенгаген
کارولین	каролин
کارولین	кэролайн
کارولین	каролина
صدمه	ущерб
صدمه	повреждение
صدمه	вред
صدمه	повреждения
صدمه	больно
شارژ	обвинение
شارژ	заряд
شارژ	взимается
خنده	смех
خنده	смех
خنده	смеяться
ملایم	нежная
ملایم	нежный
ملایم	нежно
ملایم	мягкой
ملایم	мягкий
ملایم	нежная
ملایم	мягкая
ملایم	мягкое
ملایم	мягкие
ییلاق	деревне
ییلاق	страна
ییلاق	страны
مایا	майи
مایا	майя
داند	знает
اشتوتگارت	штутгарт
جوار	признает
چنگیز	чингиз
لانه	гнездо
لانه	гнезда
لانه	логово
لانه	ден
منسوخ	архаичные
منسوخ	устарели
منسوخ	устаревшие
منسوخ	устаревших
منسوخ	устаревшие
منسوخ	устаревших
سانسکریت	санскрит
محکومیت	убеждения
محکومیت	убеждение
محکومیت	осуждение
محکومیت	убежденность
امتیازات	привилегии
امتیازات	привилегий
امتیازات	баллы
استعمال	использование
استعمال	употребление
استعمال	использования
محفوظ	охраняемых
محفوظ	защищена
محفوظ	защищены
محفوظ	защищен
شبح	призрак
شبح	призрак
شبح	призраки
شبح	привидение
دورانی	покрытие
انگل	энгель
انگل	паразитов
انگل	паразиты
انگل	паразит
انگل	паразиты
فروشنده	продавец
فروشنده	поставщик
کمیل	камилла
کمیل	камиль
تانسور	тензор
منظره	ландшафт
منظره	ландшафта
منظره	пейзаж
واتیکان	ватикан
واتیکان	ватикана
گریس	благодать
گریس	грейс
گریس	грэйс
اتلتیک	спортивный
اتلتیک	спортивная
موضوعاتی	темы
آیدین	айдын
سالمندان	пожилые
ماموران	офицеры
عشقی	любить
عشقی	love
عشقی	люблю
عشقی	любовь
عشقی	любим
موجودیت	образований
مارکسیست	марксистская
تدبیر	регулирует
تدبیر	регулировать
تدبیر	план
دریاها	моря
دریاها	морям
سفال	керамика
رودریگز	родригес
رودریگز	родригес
رودریگز	родригес
ریس	риз
ریس	рис
بشریت	человечество
بشریت	человечности
بشریت	человечность
کوهن	кон
کوهن	коэн
فیجی	фиджи
سمرقند	самарканд
ارضی	территориальное
ارضی	территориальная
هانتر	охотник
هانتر	хантер
مارینو	марино
پناهنده	беженцы
پناهنده	беженцев
پناهنده	беженца
پناهنده	беженец
پناهنده	беженцы
رزرو	заказал
رزرو	защищены
رزرو	оговорки
رزرو	бронирование
رزرو	оговорок
رزرو	оговорка
رزرو	бронирование
رزرو	оговорки
رزرو	резерв
رزرو	резерва
یخبندان	ледникового
یخبندان	лед
یخبندان	льда
یخبندان	ice
یخبندان	лёд
متقارن	симметричный
متقارن	симметричные
رابینسون	робинсон
کویینز	королевы
بخواند	звонки
بخواند	вызовы
ملودی	мелоди
ملودی	мелодия
اسبق	предшественника
اسبق	предшественник
زیربخش	деление
ریاض	рияде
مکزیکو	мехико
وحی	откровения
وحی	откровение
دلو	ведро
دلو	водолей
ضخیم	толстый
ضخیم	толстая
ضخیم	толщиной
ضخیم	толстые
کربنات	карбонат
انقباض	схватки
شفت	шахту
شفت	шахта
سوفیا	софия
سوفیا	софии
امیدوار	надежда
بتی	бетти
دستورالعمل	инструкция
دستورالعمل	рецепт
دستورالعمل	инструкция
دستورالعمل	инструкции
منتسب	предполагаемая
منتسب	предполагаемых
منتسب	предполагаемый
منتسب	предполагаемые
انگشتان	пальцы
محتوی	контейнер
نامزدها	кандидатуры
معصوم	невинная
معصوم	невинный
معصوم	невинные
معصوم	невинных
کارتون	картон
کارتون	мультик
کارتون	мультики
احتیاط	осторожность
احتیاط	предостережение
آموخته	научил
آموخته	преподавал
دربی	дерби
گرامر	грамматика
سپیده	рассвете
سپیده	рассвет
سپیده	дон
نیکو	нико
نیکو	нико
هاله	галле
هاله	аура
هاله	halo
بهنام	пожиратель
توری	сетку
توری	сетка
توری	сетки
بنویسد	напиши
بنویسد	пиши
بنویسد	пишите
بنویسد	напишите
بنویسد	написать
همسران	супруг
همسران	супруги
همسران	жен
همسران	жёны
همسران	жён
همسران	жены
قراردادهای	контракты
قراردادهای	договоры
قراردادهای	протоколы
هوندا	honda
دیداری	визуальный
دیداری	visual
بهای	прайс
بهای	цена
آیفون	iphone
گیلاس	черри
شایستگی	квалифицированный
شایستگی	квалифицированные
شایستگی	квалифицированных
شایستگی	заслуги
مشتقات	производных
مشتقات	варианты
اسکای	скай
اسکای	sky
اسکای	скай
اسکای	неба
اسکای	небо
سنگر	бункер
تصدی	комиссия
تصدی	комиссии
همجوار	прилегающих
موجی	волна
موجی	волны
موجی	волн
موجی	волны
کارآمد	эффективное
کارآمد	эффективный
کارآمد	эффективная
