gana	ghana
laboratorija	laboratoris
laboratorija	laboratori
laboratorija	laboratori
doza	dosi
robovi	esclaus
din	din
din	degà
din	dean
din	vicedegà
din	degana
predaja	rendició
obnovu	renovació
obnovu	restauració
obnovu	rehabilitació
ključa	claus
ključa	tecles
senegal	senegal
chase	chase
nadh	nadh
otrov	verí
sutra	demà
konzul	cònsol
autorska	copyright
diane	diane
zahtjevi	peticions
zahtjevi	requeriments
zahtjevi	requisits
zahtjevi	exigències
zahtjevi	demandes
mostovi	ponts
opremljen	equipada
opremljen	equipats
opremljen	equipat
povuče	retirar
počeci	inicis
nasilje	violència
povećane	incrementat
poljaci	polonesos
tehnička	tècnic
tehnička	tècnics
beskonačno	infinit
beskonačno	infinites
beskonačno	infinits
beskonačno	infinita
ljubomir	ljubomir
everton	everton
adp	adp
wells	pous
fran	fran
dalmacija	dalmàcia
legio	legio
fragmenti	fragments
završenog	completant
kate	kate
abo	abo
mirsad	mirsad
move	mou
baterija	bateria
socijalno	socialment
blogs	blogs
kuvajt	kuwait
puk	regiment
spontano	espontània
uništi	destruir
promocija	promoció
mil	mil
gvatemala	guatemala
individualne	individu
individualne	individuals
individualne	individual
sfere	esferes
oštećenje	danys
palo	palo
stanislav	stanislav
arterije	artèries
afrička	africà
afrička	african
slavni	famós
slavni	famosos
samir	samir
rum	rom
marx	marx
deklaracija	declaració
alpsko	alpí
honduras	hondures
vole	microtus
eriksson	eriksson
spasi	desa
fan	fan
glagola	verbs
ppm	ppm
ein	ein
muller	muller
hrom	chrome
hrom	crom
violine	violins
caroline	caroline
svile	seda
izbornom	electoral
barij	bari
direktni	directe
direktni	directa
direktni	direct
direktni	directes
primirje	treva
poteškoće	dificultats
uran	urà
dell	dell
vođen	guiat
mrtvi	morts
mrtvi	dead
reaktora	reactors
stepenu	grau
šok	impactant
šok	xoc
dijalekt	dialecte
čudovišta	monstres
julian	julian
julian	julián
julian	julià
take	take
abdullah	abdullah
oksidacije	oxidació
neill	neill
slavio	celebrant
veli	veli
utisak	impressió
infrastruktura	infraestructures
infrastruktura	infraestructura
serravalle	serravalle
helij	heli
građanin	ciutadà
niš	niš
čitava	sencer
čitava	sencera
dodajte	afegir
dodajte	afegeix
rft	rft
sizedefault	sizedefault
camille	camille
giorgio	giorgio
mašinski	mecànica
mašinski	mecànics
mašinski	mecànic
pčela	abella
pčela	bee
cole	cole
siemens	siemens
aspx	aspx
zagorje	zagorje
izmir	izmir
parkovi	parcs
kolonijalne	colonial
vilnius	vílnius
selby	selby
formata	format
angelo	angelo
imuni	immune
neda	ned
neda	neda
lorenzo	lorenzo
trovanja	intoxicació
izumio	inventat
sihr	bruixeria
sihr	màgia
plivanju	natació
masi	multitud
razvijao	desenvolupant
razvijao	desenvolupat
razvijao	desenvolupats
biblije	bíblies
inicijativa	iniciativa
urbana	urban
žiri	jurat
ragbi	rugby
ragbi	rugbi
havaji	hawaii
federalni	federal
prepreka	obstacles
prepreka	obstacle
prepreka	canyís
preglednik	navegador
baptiste	baptiste
sinj	sinj
lancaster	lancaster
birmingham	birmingham
xvii	xvii
mogućnostima	possibilitats
proton	protó
commons	commons
protoka	flux
protoka	cabal
gradec	gradec
takmičar	concursant
takmičar	aspirant
takmičar	competidor
detalje	detalls
soko	falcon
soko	falcó
soko	hawk
vega	vega
hunter	caçador
hunter	hunter
louvre	louvre
erectus	erectus
srednjim	mitjà
bacač	llançador
nordijska	nòrdic
nordijska	nòrdic
nordijska	nordic
fokus	focus
ratko	ratko
emisiju	mostra
emisiju	espectacle
prost	prost
mama	mami
mama	mama
celje	celje
kariba	carib
platforma	plataforma
césar	césar
namjere	intencions
namjere	intencionalitat
centenario	centenario
spojena	fusionat
menadžera	gestors
menadžera	directius
sposobni	capaç
sposobni	capaces
sposobni	capaços
rogers	rogers
maccabi	maccabi
robu	mercaderies
robu	béns
psv	psv
joachim	joachim
said	saïd
pereira	pereira
olivier	olivier
hat	barret
lucija	lucia
garda	guàrdia
garda	garda
promijenjen	canviades
promijenjen	canviat
promijenjen	canviada
vezni	articulant
složio	acordats
složio	acordat
složio	pactat
desi	desi
desetine	desenes
desetine	dotzenes
desetine	puntuacions
ciudad	ciudad
običnih	ordinari
običnih	ordinària
potvrdila	confirmat
claudio	claudio
tvoj	teva
tvoj	teu
mhc	mhc
sekcije	seccions
odobrio	aprovades
odobrio	aprovat
odobrio	aprovada
odobrio	aprovats
tragedija	tragèdia
anđeo	angelina
anđeo	angel
anđeo	àngel
branislav	branislav
kent	kent
joel	joel
betty	betty
lim	lim
algoritam	algorisme
algoritam	algoritme
exd	exd
bande	bandas
bande	colla
fenerbahçe	fenerbahçe
luna	luna
mrtva	morts
mrtva	dead
imenovana	nomenats
kreiranje	crear
kreiranje	crea
kreiranje	creant
preostala	restant
preostala	restants
republikanske	republicà
poslanici	missatgers
poslanici	messengers
poslanici	apòstols
poslanici	mps
poslanici	legisladors
oluje	tempestes
oksidi	òxid
kopnena	land
kopnena	terreny
flora	flora
signale	senyals
violina	violí
milwaukee	milwaukee
anglo	anglo
bavili	compromesa
bavili	promès
bavili	promesos
bavili	promesa
raj	raj
raj	paradís
raj	paradise
intervencije	intervenció
slava	slava
slava	glòria
slava	glory
uvid	perspicàcia
blizak	tanca
stručni	perit
stručni	expert
pobijedi	guanyar
bundeslige	bundesliga
menadžment	gestió
bubanj	drum
bubanj	tambor
poklon	regal
jod	iode
carla	carla
ekvivalent	equivalent
kompletna	completa
kompletna	complet
moon	lluna
erwin	erwin
gay	gai
gay	gay
poplava	inundació
poplava	inundacions
ada	ada
csstext	csstext
harvey	harvey
ismail	ismail
korisne	útil
virgin	virgin
virgin	verge
happel	happel
srednjih	secundari
srednjih	secundaria
vijetnamski	vietnamita
vijetnamski	vietnamites
nikozija	nicòsia
grace	gràcia
grace	gracia
portala	portals
díaz	díaz
bazilika	basílica
tamne	fosc
tkivu	teixits
definisati	definir
definisati	defineix
platon	plató
rfc	rfc
tata	papi
timor	timor
kapital	capital
desktop	escriptori
nosač	portadora
nosač	transportista
dragutin	dragutin
počinio	comès
snimljene	enregistrat
ulaganja	inversions
staljin	stalin
katastrofa	desastre
katastrofa	catàstrofe
otkrivene	descobert
rhode	rhode
svg}}	svg}}
amy	amy
brooks	brooks
izazov	challenge
izazov	repte
izazov	desafiament
čarobnjaka	assistent
savezi	aliances
tropske	tropical
webb	webb
sen	sen
adem	adem
sugerira	suggereix
redovi	cues
sfera	esfera
mikroskop	microscopi
jetra	fetge
robot	robot
umre	mor
cvijeće	flors
galileo	galileu
alexandre	alexandre
porazila	derrotat
porazila	vençut
porazila	vençuts
mahmud	mahmoud
mahmud	mahmud
pokemon	pokemon
atomskih	atòmics
atomskih	atòmic
atomskih	atòmica
sportsko	esports
svinje	porcí
svinje	porcs
tretmana	tractaments
kapi	gotes
metale	metalls
prijateljstva	amistat
poslali	enviats
poslali	enviat
generali	generals
projekcija	projecció
projekcija	projeccions
otrovan	verinosa
otrovan	verinós
otrovan	enverinat
denver	denver
standardi	estàndards
nestali	marxat
nestali	anat
nestali	desaparegut
nestali	falta
nestali	desapareguda
izričito	explícitament
proteinima	proteïnes
kompozitori	compositors
jenson	jenson
blaga	tresors
blaga	lleus
blaga	lleu
diskusija	discussions
diskusija	debats
diskusija	debat
diskusija	discussió
prst	dit
xbox	xbox
imovinu	propietat
lihtenštajn	liechtenstein
egipćani	egipcis
konkretno	específicament
konkretno	concretament
četrdeset	quaranta
susjeda	veí
susjeda	veïns
susjeda	veí
susjeda	veïna
prijetnje	amenaces
teku	flux
teku	cabal
teku	abocat
nastava	instrucció
pluton	plutó
pluton	pluto
gledao	mirava
gledao	vigilat
rom	rom
teoretski	teòrica
teoretski	teòric
teoretski	teòricament
linnaeus	linnaeus
pčele	abelles
osvojena	guanyat
jemen	iemen
odsustvu	absència
diviziji	divisió
nemanja	nemanja
afera	afer
ione	ione
deportivo	esportivitat
deportivo	deportivo
uživao	gaudit
izrađen	redactat
spomenuta	esmentat
springfield	springfield
eugen	eugen
prevedena	traduït
naglasak	èmfasi
lijekovima	medicació
trnava	trnava
tesla	tesla
podizanje	veina
arterija	artèria
brooklyn	brooklyn
prijetnja	amenaça
gottfried	gottfried
ist	ist
austin	austin
uslovom	condició
vožnje	conducció
nicholson	nicholson
obradi	tramitació
obradi	processament
pravaca	rutes
pravaca	indicacions
pravaca	direccions
earl	earl
based	basat
lud	boig
zaključuje	conclou
sulfid	sulfur
antologija	antologia
proučavao	estudiat
nicholas	nicholas
nicholas	nicolau
evanđelje	evangeli
honda	honda
rotacija	rotació
mehanizmi	mecanismes
pigment	pigment
pacifiku	pacífic
pacifiku	pacific
dante	dante
coppola	coppola
pascal	pascal
herman	herman
optužio	imputats
irving	irving
duboke	deep
duboke	profunds
duboke	profund
izrazi	expressions
marketing	màrqueting
marketing	marketing
marketing	comercialització
univerzitetima	universitats
dijeljenje	compartint
johansson	johansson
diana	diana
odabrana	seleccionat
odabrana	seleccionats
gradijent	gradient
gradijent	degradat
moli	resar
moli	resa
moli	molly
podiže	planteja
prethodnim	anterior
solun	tessalònica
telefon	telèfon
telefon	telèfon
poglavlje	capítol
vođenje	funcionant
rotor	rotor
rotor	curl
luther	luther
balkanski	balcànica
kulin	veta
kulin	ban
visual	visual
korejski	coreà
opisivanje	descrigui
opisivanje	descriu
opisivanje	descriure
malfoy	malfoy
ground	terreny
konfiguracija	configuració
luči	segrega
jaki	forts
jaki	forta
jaki	fort
medici	mèdici
čekao	esperat
zamjene	substitucions
dokumente	documents
malcolm	malcolm
pierce	pierce
dragi	benvolguts
dragi	darling
bogatim	ric
bogatim	rich
bogatim	rics
remi	rems
remi	remy
siro	siro
sluga	servent
nadzorom	supervisió
pokretač	llançadora
koch	koch
zadovoljan	satisfet
zadovoljan	satisfets
zadovoljan	content
her	herr
izbjeglice	refugiats
nemogućnosti	incapacitat
aziz	aziz
štampa	press
štampa	premsa
štampa	petjades
štampa	empremtes
parametri	paràmetres
glenn	glenn
tumače	antuvi
tumače	interpretar
tumače	interpreten
harvard	harvard
kuhinja	cuina
antoaneta	antonieta
provesti	implementar
clarke	clarke
adler	adler
patent	patent
malik	màlik
malik	malik
osvojen	conquerit
osvojen	guanyat
neretva	neretva
masne	grassos
sastojci	ingredients
puca	dispara
pravci	rutes
pravci	indicacions
pravci	direccions
policajac	cop
puli	puli
travi	herba
sunčev	solar
reed	reed
ispita	exàmens
vodopad	cascada
fiorentina	fiorentina
slovački	eslovac
makedonci	macedonians
predavač	instructor
preciznost	precisió
preciznost	precisió
preciznost	exactitud
bernhard	bernhard
openstreetmap	openstreetmap
morris	morris
linearno	lineal
koncerti	concerts
dubini	profunditat
buna	buna
rukopisa	manuscrits
slojevi	capes
monumental	monumental
philipp	philipp
istinski	veritablement
savršeno	perfectament
perua	perú
perua	peru
vaduz	vaduz
doo	doo
skladište	magatzem
skladište	emmagatzematge
skladište	emmagatzemament
procedure	procediments
duhovne	espiritual
ptolemej	ptolemeu
hod	anadura
hod	passeig
face	cara
face	face
hannah	hannah
senatora	senadors
helen	helen
pristalice	simpatitzants
pristalice	partidaris
srž	essència
pršljenova	vertebral
benedikt	benedict
benedikt	bénédicte
dubinu	profunditat
organela	orgànul
trump	trump
lech	lech
viđenje	albirament
tang	tang
amon	amon
đorđević	djordjevic
molitve	precs
molitve	preguem
gutenberg	gutenberg
kontroliše	control
kontroliše	controlant
kontroliše	controlar
kontroliše	controls
profesionalno	professionalment
magnetno	magnètic
karate	karate
izgubljena	perduda
izgubljena	perduts
izgubljena	lost
izgubljena	perdut
rita	rita
channel	canal
animirani	animades
animirani	animat
goa	goa
krzno	pelatge
laboratoriji	laboratori
laboratoriji	laboratori
proglašeno	declarat
proglašeno	declarada
sponzor	patrocinador
sponzor	padrí
naoružani	armat
naoružani	armats
operativne	operatiu
operativne	operatius
operativne	operativa
atomski	atòmics
atomski	atòmic
atomski	atòmica
parametara	paràmetres
puerto	puerto
tab	pestanya
tab	tab
balada	balada
opseg	àmbit
opseg	abast
lionel	lionel
allahov	preval
vidljiv	visible
vidljiv	visibles
agassi	agassi
lijekove	medicines
slanje	enviament
slanje	enviant
divlja	wild
divlja	salvatge
izrada	fent
izrada	making
izrada	redacció
senator	senador
automatsko	automàtic
automatsko	automàtica
pšenice	blat
radar	radar
obavezan	obligatori
lac	lac
navodeći	llistat
korisni	útil
korisni	útils
domovina	pàtria
odgovarajućeg	corresponent
primoran	forçada
primoran	forçat
izvođači	intèrprets
domaćinstva	llars
plemeniti	noble
auschwitz	auschwitz
profesori	catedràtics
profesori	professores
profesori	mestres
profesori	professors
profesori	docents
profesori	professorat
rundu	ronda
zagrijavanje	escalfament
oficiri	oficials
nintendo	nintendo
mehanizama	mecanismes
atlanta	atlanta
zaštićeni	protegit
sportisti	esportistes
sportisti	atletes
kriteriji	criteris
keep	mantén
osjećaju	sentiment
domaća	domèstics
domaća	domèstica
domaća	domèstic
dozvoljena	permesos
dozvoljena	permès
selim	selim
monfils	monfils
marilyn	marilyn
jena	jena
jena	iens
matematička	mates
matematička	matemàtica
napušten	abandonat
proboj	avenç
proboj	incompliment
bizantski	regnar
hafiz	hafiz
diktator	dictador
edwards	edwards
muslim	musulmà
elektronika	electrònica
clinton	clinton
gravitacija	gravetat
zabranio	prohibida
venecija	venècia
visualeditor	visualeditor
telefona	telèfons
feb	feb
monitor	monitor
byron	byron
sturm	sturm
dominic	dominic
dominic	domènec
gala	gala
ispit	examen
vraćanje	restaurar
vraćanje	restaura
hermes	hermes
izjave	declaracions
vella	vella
abd	abd
imama	imam
padu	declinant
koza	cabra
jürgen	jürgen
regionalna	regional
regionalna	regionals
kovačić	kovačić
dxd	dxd
hayat	hayat
baron	baró
korporacija	corporació
korporacija	corporacions
oltar	ara
eksplozija	explosió
eksplozija	explosions
haiti	haití
rješava	resol
povrće	vegetal
povrće	vegetals
povrće	hortalisses
povrće	verdures
povrće	verdura
rand	rand
baden	baden
nitrat	nitrat
osjećanja	sentiments
poljoprivredni	agrícola
gregory	gregori
gregory	gregory
ruba	brink
ograničava	restringint
ograničava	limitar
ograničava	limitant
medical	mèdica
ceremonija	cerimònia
vfl	vfl
poteškoća	dificultat
poteškoća	dificultats
mana	mana
audi	audi
hokej	hoquei
finansije	finances
challenge	challenge
challenge	repte
challenge	desafiament
mišiće	músculs
jose	jose
halal	halal
spojeni	fusionat
nbc	nbc
snape	snape
usb	usb
procedura	procediments
procedura	procediment
istra	ístria
istra	istra
kramnik	kràmnik
osvajanju	conquerint
lucije	luci
lucije	lucia
ser	senyor
björn	björn
vatikan	vaticà
glasine	rumors
alpskom	alpí
samoa	samoa
korijeni	arrels
tereza	teresa
reza	reza
rušenje	enderroc
rušenje	demolició
neto	net
demonstracije	demostració
demonstracije	manifestació
demonstracije	manifestacions
demonstracije	demostracions
demonstracije	mobilitzacions
projektil	projectil
projektil	míssil
mills	mills
eksperiment	experiment
vinci	vinci
viđen	vistos
viđen	vist
savezničkih	alió
obrazac	patró
napore	gestions
napore	esforços
trgovačka	detallista
negativan	negatiu
oduzimanje	desamortització
jadransko	adriatic
kvartet	quartet
pušaka	rifles
ksenon	xenó
burton	burton
nadležnost	jurisdicció
utorak	dimarts
dim	fum
braniti	defensar
misleći	pensant
jednostavnih	simple
jednostavnih	senzill
kyle	kyle
vježbe	exercicis
horatio	horatio
uče	aprèn
uče	aprendre
uče	apreneu
parsons	parsons
teolog	teòleg
división	división
peterburg	petersburg
običnog	ordinari
običnog	ordinària
graditelj	constructor
wei	wei
pik	piques
kamenje	pedres
goldwyn	goldwyn
pobjegne	escapar
pobjegne	fugida
pobjegne	fuga
pobjegne	escape
hera	hera
vena	vena
psiholog	psicòleg
psiholog	psicòloga
laurent	laurent
louise	louise
rival	rival
fikret	fikret
stručnjak	especialista
stručnjak	perit
stručnjak	expert
transkripcija	transcripció
teškom	difícil
žestoki	ferotge
koristimo	usa
koristimo	utilització
koristimo	ús
guma	pneumàtics
guma	cautxú
rame	espatlla
gustave	gustave
danijel	daniel
eyes	ulls
eyes	eyes
harald	harald
korisna	útil
opcije	calçots
opcije	opcions
vesna	vesna
ravnica	plain
miodrag	miodrag
lille	lille
bug	bug
statističke	estadístic
ormond	ormond
premijeru	estrena
uzrokovane	causat
uzrokovane	ocasionat
uzrokovane	provocada
zarobljeni	atrapats
christoph	christoph
inhibitor	inhibidor
pretrage	cerca
sljedbenika	seguidors
urdu	urdú
praga	llindar
jačanje	enfortiment
bel	bel
gil	gil
ogledalo	mirall
stevan	stevan
ovisnost	addiccions
ovisnost	addicció
rivera	rivera
klinička	clínic
povrća	vegetals
povrća	hortalisses
povrća	verdures
povrća	verdura
trinidad	trinidad
trinidad	trinitat
smanjila	tallat
smanjila	retalla
smanjila	talla
smanjila	retallat
porodično	família
porodično	familia
obezbjeđuje	proporciona
rachel	rachel
ain	ain
fudbaler	futbolista
odjeća	indumentària
odjeća	confecció
odjeća	robes
odjeća	roba
beba	baby
beba	nadó
sistemski	sistèmica
baština	patrimoni
leicester	leicester
allan	allan
poirot	poirot
petom	cinquè
petom	cinquena
pruska	prússia
massimo	massimo
davanje	donant
davanje	atorgament
množenje	multiplicació
označene	designada
označene	designat
filozofi	filòsofs
paste	enganxa
harmonika	acordió
ham	pernil
ham	ham
bern	berna
dres	camisa
hvar	hvar
neprijatelji	enemics
posmatrača	monitors
živković	zivkovic
fußball	fußball
duhan	tabac
córdoba	córdoba
atrakcija	atracció
atrakcija	atraccions
seymour	seymour
pakao	infern
pakao	hell
pakao	infern
faruk	faruk
arheolog	arqueòleg
cox	cox
hotspur	hotspur
odiseja	odissea
asa	asa
prodati	vendre
tumačenja	interpretacions
atatürk	atatürk
prijedlozi	propostes
pera	pens
pera	corrals
pcr	pcr
pframe	pframe
krapina	krapina
sportskim	sporting
vjernici	creients
vjernici	fidel
pohađa	assisteix
lansdowne	lansdowne
tigar	tiger
tigar	tigre
vjernik	creient
louisa	louisa
louisa	luisa
potpis	firma
potpis	signatura
freeman	freeman
pionir	pioneer
jam	jam
jam	melmelada
walt	walt
prostori	espais
pamuk	pamuk
pamuk	cotó
proizveo	produït
insekti	insectes
insekti	insecte
c++	c++
mitovi	mites
napori	gestions
napori	esforços
ibrahimović	ibrahimović
autonomni	autònoma
kristali	vidres
alternativna	alternatiu
alternativna	alternativa
sažetak	resum
vinko	vinko
irfan	irfan
arheolozi	arqueòlegs
prethodnom	anterior
stranaca	estrangers
félix	félix
butler	butler
