attribuée	omistatud
mathématique	matemaatika
mathématique	matemaatika
baccalauréat	poissmees
gonzález	gonzález
gonzález	gonzalez
dialogues	dialoogid
dialogues	dialoog
dialogues	dialoogi
dialogues	dialoogide
appliquée	kohaldatud
appliquée	rakendatud
passes	möödub
passes	läbib
mesurer	mõõtmine
mesurer	mõõte
mesurer	mõõtmine
mesurer	mõõt
mesurer	abinõu
mesurer	meede
joachim	joachim
gallois	walesi
jupiter	jupiter
protestante	protestantide
grace	grace
précipitations	sademed
marianne	marian
marianne	marianne
bohême	čechy
paire	paar
paire	paari
console	konsool
console	konsooli
santos	santos
tombes	hauakambrid
tombes	haud
tombes	haua
adolf	adolf
récents	hiljutine
récents	hiljutised
réservoir	mahuti
réservoir	paak
réservoir	tanki
réservoir	tank
réservoir	veehoidla
approfondir	süvendamist
approfondir	süvendada
linda	linda
élevés	kõrgenenud
élevés	kõrgendatud
vocabulaire	sõnavara
missile	rakett
utiles	kasulikud
utiles	kasulik
utiles	abivalmis
glasgow	glasgow
écoute	kuulamist
écoute	kuulamise
écoute	kuulamine
écoute	kuula
harrison	harrisoni
harrison	harrison
wallonie	valloonia
représentés	esindas
représentés	esindatud
anneaux	sõrmused
anneaux	ringid
anneaux	rõngad
fuir	põgene
sentier	jälg
sentier	rada
sentier	asukoht
sentier	rada
richelieu	richelieu
croisade	ristisõda
boxeur	poksija
boxeur	võitleja
qualifiée	oskuslik
qualifiée	oskustega
qualifiée	kvalifitseeruvad
qualifiée	kvalifitseeritud
fifa	fifa
finance	rahastada
finance	rahandus
finance	rahandus
vedette	täht
vedette	tähe
vedette	staar
critère	kriteerium
critère	kriteeriumid
tensions	pinge
tensions	pingeid
tensions	pinged
tensions	pingeid
tensions	pinged
lucie	lucie
lucie	lucy
lucie	lucia
rica	rica
casse	murdub
casse	murrab
casse	purunemise
bête	elukas
bête	koletis
impôts	maks
impôts	maksud
brigitte	bridget
brigitte	brigitte
pattes	jalad
pattes	käpad
économiste	majandusteadlane
adapter	kohanemine
disparaître	kaduv
disparaître	kadumine
disparaître	kadumas
disparaître	kaovad
disparaître	kaduma
verbe	tegusõna
bull	pulli
bull	pull
bull	bull
bull	härg
reconstruite	rekonstrueeritud
craig	craig
évalué	hinnatud
évalué	hinnati
évalué	hinnatud
évalué	hinnatud
saintes	pühakud
saintes	pühakute
saintes	püha
saintes	pühal
rond	ümar
rond	ümmargused
rond	ümmargune
rond	voor
érigé	püstitatud
rudolf	rudolf
linux	linux
commandée	tellitud
commandée	tellis
commandée	tellitud
fabricant	valmistaja
fabricant	tootja
syntaxe	süntaksi
celtique	keldi
singapour	singapuri
singapour	singapuris
michelle	michelle
joie	joy
joie	rõõmu
joie	rõõm
costume	kostüüm
costume	ülikond
puissants	võimas
hymne	hümn
hymne	hümn
douleur	valu
gay	gei
gay	homo
gay	gay
mannequin	mudel
mannequin	modell
mannequin	näidis
intense	mahukas
intense	intensiivne
intense	pingeline
intense	intensiivne
rendus	sulatatud
appartiennent	kuuluda
appartiennent	kuuluvad
vegas	vegas
chimiste	keemik
flash	flash
flash	välk
pacte	pakti
pacte	pakt
pacte	covenant
pacte	kompaktne
analyses	analüüsid
analyses	analüüsi
analyses	analüüs
foire	õiglane
foire	aus
foire	laat
excellence	tipptaseme
plateforme	platvorm
stock	varu
stock	varude
fritz	fritz
corruption	altkäemaksu
corruption	korruptsioon
dépenses	kulutused
dépenses	kulud
dépenses	kulutused
dépenses	kulud
découpage	lõikamine
vampire	vampiiri
vampire	vampiir
consultation	konsulteerimine
consultation	konsultatsioonid
consultation	konsulteerimine
comtés	maakondades
platine	plaatina
jeter	viska
jeter	visata
jeter	jeter
perrin	perrin
remplacés	asendatud
remplacés	asendatakse
pin	mänd
pin	männi
pin	pin
angelo	angelo
moreau	moreau
augmenté	suurenenud
augmenté	suurendatud
haïti	haiti
pédagogique	pedagoogilist
nécessairement	tingimata
nécessairement	ilmtingimata
cécile	cecile
tissu	riide
tissu	riie
tissu	riidest
tissu	kangas
tissu	riide
tissu	kangast
tissu	riie
continu	pidev
continu	pideva
mets	mets
rire	naermine
rire	naeris
rire	naerab
rire	naer
rire	naerma
rire	naera
rire	naerda
rire	naer
rire	naeru
coupable	süüdi
channel	kanal
channel	kanalid
cylindres	silindri
cylindres	ballooni
cylindres	silindrid
cylindres	rullid
cylindres	rolls
monténégro	montenegro
terreur	terrori
temporaire	ajutised
temporaire	ajutine
verlag	verlag
wang	wang
brooklyn	brooklyn
brooklyn	brooklyni
ultra	ultra
fourni	tarnitud
sonde	sond
tante	tädi
tante	tädi
baltimore	baltimore
télécommunications	telecom
télécommunications	telekommunikatsioon
télécommunications	telekommunikatsiooni
assurances	kindlustus
vélo	ratas
vélo	jalgratas
vélo	ratta
vélo	jalgratas
vélo	rattasõit
cloche	kella
cloche	belli
cloche	bell
stabilité	püsivus
stabilité	stabiilsus
stabilité	stabiilset
stabilité	stabiilsed
stabilité	stabiilne
rabbin	rabi
marketing	turustamise
marketing	turundus
marketing	turustamine
simultanément	samaaegne
simultanément	samaaegselt
simultanément	üheaegselt
essonne	essonne
touché	hit
touché	löö
touché	tabas
touché	puudutas
touché	puudutatud
touché	liigutatud
touché	puudutanud
touché	mõjutatud
nicholas	nicolas
nicholas	nikolai
nicholas	nicholas
globalement	globaalselt
globalement	ülemaailmselt
globalement	üldine
globalement	üldiselt
attirer	külgetõmme
attirer	meelitada
exploitant	operaator
exploitant	käitaja
végétation	taimestiku
souffle	hingeõhk
souffle	hingetõmme
souffle	puhu
souffle	löök
souffle	puhub
pol	pol
diagnostic	diagnostika
diagnostic	diagnoos
diagnostic	diagnoosi
diagnostic	diagnostika
conservés	säilitatud
conservés	säilinud
conservés	säilitatud
conservés	säilinud
conservés	konserveeritud
caraïbes	kariibi
casino	kasiino
musulman	islami
musulman	moslem
musulman	moslemi
musulman	moslemid
amené	tõi
amené	toodi
amené	toodud
observé	täheldatud
observé	vaadeldud
serre	kasvuhoone
serre	kasvuhoonete
complot	proovitüki
complot	vandenõu
voyant	seer
appris	õppis
appris	õpitud
appris	õppinud
appris	õppisin
appris	õpetatud
appris	õpetas
appris	õpitud
fan	ventilaator
fan	fänn
sara	sara
remarqué	märkis
remarqué	märganud
remarqué	märkasin
taïwan	taiwan
taïwan	taiwanis
taïwan	taiwani
faces	näod
müller	müller
mammifères	imetajad
mammifères	imetajate
funéraire	matustel
funéraire	matus
funéraire	matused
funéraire	matuse
potter	potter
doré	golden
doré	kuldsed
doré	kuldne
doré	kuld
doré	kulda
doré	kullast
doré	kullatud
toscane	toskaana
toscane	toscana
bain	vanni
bain	vann
rêves	unistus
rêves	dream
rêves	unenägu
rêves	unistused
rêves	unenäod
chômage	tööpuudus
chômage	töötus
signaler	aruanne
signaler	raport
signaler	raporti
signaler	ettekanne
signaler	aruandlus
écrivit	kirjutasin
écrivit	kirjutasid
écrivit	kirjutas
marina	marina
antilles	kariibi
antilles	antillid
survivants	ellujäänuid
survivants	ellujäänud
étroite	kitsas
étroite	kitsad
métallique	metallist
métallique	metall
métallique	metal
métallique	metalli
métallique	metallist
métallique	metall
xbox	xbox
géographiques	geograafiline
géographiques	geograafilised
renseignement	luure
contacts	kontaktid
poudre	pulber
avertissement	hoiatus
continental	mandri
occupant	elanik
occupant	sõitja
prolongement	laiendamine
prolongement	pikendamine
prolongement	laiendus
prolongement	pikendamise
abandonnée	mahajäetud
abandonnée	hüljatud
frederick	friedrich
frederick	frederick
géré	õnnestus
géré	käideldakse
lever	kang
lever	kangi
lever	päikesetõusu
lever	päikesetõus
lever	tõste
lever	tõstmine
algorithme	algoritm
minuit	kesköö
minuit	keskööl
buste	büst
humide	niiske
humide	niiske
humide	niiske
humide	märg
humide	märjad
humide	märjaks
catalan	katalaani
contrats	lepingud
censure	tsensuur
parade	paraadi
parade	paraad
indicatif	soovituslik
ménage	koristaja
ménage	kodumajapidamises
ménage	leibkonna
ménage	puhastus
ménage	puhastamine
ménage	koristamine
bush	bush
bush	põõsas
marathon	maraton
solitaire	üksildane
solitaire	üksik
solitaire	solitaire
lombardie	lombardia
algérienne	alžeeria
lazare	lazarus
lazare	lazar
justifier	õigustada
baies	marju
baies	marjad
baies	marja
baies	berry
beauvais	beauvais
avr	apr
avr	avr
perpignan	perpignan
peste	kahjurite
peste	katk
peste	katk
wallace	wallace
instructions	juhised
instructions	juhend
instructions	juhendid
controverse	vaidlus
tiens	hoia
musulmane	moslem
musulmane	moslemi
angles	nurgad
angles	nurgad
aaron	aaron
soudan	sudaani
soudan	sudaan
regarder	vaata
regarder	jälgi
lama	laama
lama	laama
détenu	kinnipeetav
détenu	vangi
détenu	kinnipeetav
détenu	vang
détenu	kinnipeetud
détenu	kinnipeetav
murphy	murphy
purement	puhtalt
divorce	lahutus
divorce	lahutatud
cook	cook
cook	kokk
arrêtés	arreteeritud
arrêtés	vahistatud
manhattan	manhattanil
manhattan	manhattan
manhattan	manhattani
hardy	hardy
parme	parma
paiement	maksed
paiement	tasumine
paiement	maksmine
paiement	makse
systématique	süstemaatiline
rémy	remy
prochain	järgmiseks
prochain	järgmisena
prochain	järgmine
prochain	next
morris	morris
fût	trumm
fût	trummi
survie	ellujäämise
survie	ellujäämine
hydrogène	vesinik
provoquer	provotseerida
igor	igor
métaux	metallist
métaux	metall
métaux	metal
métaux	metalli
métaux	metallid
parrain	ristiisa
parrain	sponsor
km²	km²
parent	sugulane
parent	suhteline
parent	vanem
parent	lapsevanem
révélation	ilmutus
hudson	hudsoni
hudson	hudson
gravité	tõsidus
gravité	gravitatsioon
gravité	tõsidus
gravité	raskusaste
valérie	valerie
groupement	rühmitamine
groupement	rühmitus
wallonne	vallooni
belfort	belfort
pente	kalle
pente	kalle
pente	üleminek
multi	mitme
adhésion	adhesiooni
adhésion	liikmeks
adhésion	ühinemine
apple	õun
apple	apple
apple	õuna
karen	karen
drôme	drôme
consacrés	pühitsetud
moral	moraal
moral	moraal
moral	moraalne
narrateur	jutustaja
complément	täiendus
complément	täiendus
futurs	tulevikku
futurs	tulevik
traverser	ületamine
traverser	rist
traverser	cross
traverser	risti
dons	annetus
dons	annetuse
dons	annetada
dons	annetused
dons	annetusi
ignore	eiramine
ignore	ignoreeritakse
ignore	eirata
ignore	eiratakse
patrie	kodumaa
patrie	isamaa
patrie	isamaa
patrie	kodumaa
malo	malo
sèche	kuivaks
sèche	kuivad
sèche	kuiv
oxygène	hapnik
oxygène	hapnikku
molécules	molekulid
signée	allkirjastatud
signée	allkirjastanud
céramique	keraamika
céramique	keraamilised
céramique	keraamika
céramique	keraamika
judaïsme	judaismi
pauvreté	vaesus
sévère	raskekujuline
sévère	tõsine
sévère	karm
sévère	stern
souligne	rõhutab
souligne	rõhutab
souligne	rõhutada
souligne	rõhutab
exemplaire	koopia
exemplaire	kopeeri
exemplaire	kopeerimine
exemplaire	eeskujulik
wings	tiibu
wings	tiivad
enregistrer	rekord
enregistrer	kirje
enregistrer	salvestamine
enregistrer	salvesta
enregistrer	registreerida
enregistrer	register
enregistrer	registrisse
enregistrer	registreeru
monstre	koletis
monstre	monster
acides	happed
acides	hape
acides	happe
séparés	eraldatud
séparés	eraldi
morales	morales
perry	perry
commerces	poed
commerces	poode
commerces	kauplused
positive	positiivsed
positive	positiivse
positive	positiivne
substance	aine
substance	ainet
geste	žest
numériques	numbriline
numériques	digitaalse
numériques	digitaalne
matrice	maatriks
matrice	matrix
nfl	nfl
sardaigne	sardiinia
sardaigne	sardiinias
perception	ettekujutus
perception	taju
perception	arusaamade
charleroi	charleroi
axes	telgede
axes	telg
significations	tähendusi
significations	tähendus
descendance	järglane
descendance	järglane
descendance	järglased
descendance	järglased
mayer	mayer
électroniques	elektroonilised
électroniques	elektrooniline
électroniques	elektroonilisel
commonwealth	ühendus
retenue	säilitatud
retenue	säilinud
gregory	gregory
arménien	armeenia
domestique	riigisisesed
domestique	kodumaine
plongée	sukeldumine
plongée	sukelduda
composants	komponendid
composants	koostisosad
composants	koostisained
rival	rivaal
patriarche	patriarh
chair	ihu
constituant	koostisosa
dominant	domineeriv
dominant	domineerivad
dominant	domineeriv
dominant	valitsev
julian	julian
carburant	kütus
carburant	kütuse
téléchargement	allalaadimine
téléchargement	allalaadimine
voler	fly
voler	lenda
voler	lennata
voler	lendama
voler	kärbes
voler	lendamine
voler	lendavad
voler	varasta
voler	varastada
voler	varastama
sigle	akronüüm
kilomètre	kilomeeter
kilomètre	kilomeeter
kilomètre	kilomeetrit
dubois	dubois
identifié	märgitud
identifié	märgistatud
identifié	tuvastati
identifié	tuvastatud
identifié	identifitseeritud
successives	järjestikused
successives	järjestikuste
vaucluse	vaucluse
capturé	püütud
capturé	püütud
capturé	tabatud
capturé	vangistatud
jet	jet
enterrée	maetud
riz	riis
constance	constance
affichage	kuva
affichage	vaade
guatemala	guatemala
extraordinaire	erakorraline
extraordinaire	imeline
extraordinaire	hämmastav
chan	chan
urbains	urban
médicis	medici
trajet	marsruut
doyen	dean
doyen	dekaan
extérieurs	välitingimustes
extérieurs	õues
extérieurs	välised
extérieurs	välise
extérieurs	väline
extérieurs	välised
bridge	sild
décédée	surnud
créatures	olendid
créatures	olevused
créatures	elukad
otan	nato
patinage	uisutama
perdent	kaotab
indispensable	asendamatu
indispensable	hädavajalik
indispensable	hädavajalik
révision	läbivaatamine
révision	ülevaatus
révision	läbivaatus
révision	läbivaatamine
préliminaire	esialgse
préliminaire	esialgsed
préliminaire	esialgne
bulle	mullid
bulle	mull
alessandro	alessandro
israélien	iisraeli
israélien	iisrael
israélien	iisraellased
modifiée	modifitseeritud
modifiée	muudetud
modifiée	muudetud
pete	pete
médicaments	ravimid
médicaments	ravimid
cricket	cricket
ancêtres	esivanemad
olga	olga
développés	arenenud
développés	arendatud
touristes	turistid
terrible	kohutav
blood	veri
blood	vere
indépendantes	sõltumatud
indépendantes	iseseisev
indépendantes	sõltumatu
demandant	taotlev
barrière	tõke
barrière	tara
soie	siidi
soie	siid
soie	siidist
essayé	üritasin
essayé	proovis
essayé	proovisid
essayé	proovisin
essayé	proovitud
acoustique	akustiline
acoustique	audio
acoustique	heli
acoustique	akustika
marches	marche
marches	astmed
marches	sammud
marches	marsib
intellectuelle	intellektuaalse
aluminium	alumiiniumi
aluminium	alumiinium
aluminium	alumiiniumist
aluminium	alumiinium
composées	koosneb
piège	lõksu
piège	lõks
biélorussie	valgevene
doc	doc
doc	dok
policière	politsei
tubes	torud
écho	kaja
thématique	temaatiline
thématique	temaatiliste
industrielles	tööstusliku
industrielles	tööstus
industrielles	tööstuslik
tragédie	tragöödia
mozart	mozart
excellent	suurepärane
hart	hart
hôtels	hotellid
arras	arras
diminution	vähenemine
diminution	vähenda
diminution	vähenenud
diminution	vähenes
horizon	horisont
gorge	kurgu
gorge	kurku
gorge	kurk
gorge	kõri
gorge	mäekuru
librement	vabalt
silver	hõbeda
silver	silver
silver	hõbe
pauline	pauline
chronologique	kronoloogilises
hugh	hugh
érigée	püstitatud
océanie	okeaania
kenya	kenya
pilier	sammas
pilier	samba
diamant	diamond
diamant	teemant
diamant	teemandid
quinzaine	viisteist
drogue	uimastid
drogue	narkootikumid
drogue	narkootikum
drogue	uimasti
soutenue	toetatud
soutenue	toetas
derby	derby
libertés	vabaduste
libertés	vabadused
magazines	ajakirjad
magazines	ajakirju
magazines	ajakirjade
tennessee	tennessee
chaos	kaos
chanter	laulge
chanter	laulda
chanter	laula
chanter	laulma
chanter	laulmine
abrégé	lühendatud
abrégé	lühendatud
historiquement	ajalooliselt
fusil	püss
fusil	püss
fusil	relv
fusil	püss
fusil	püssi
fusil	vintpüss
serbes	serblased
serbes	serbia
maintient	säilitab
marx	marx
couverte	hõlmatud
couverte	kattis
couverte	kaetud
reliques	reliikviad
roberts	roberts
roumaine	rumeenia
broadway	broadway
législatif	õigusloome
législatif	seadusandlik
législatif	seadusandliku
législatif	seadusandlik
législatif	seadusandja
rotterdam	rotterdami
salaire	palk
salaire	töötasu
salaire	palk
salaire	töötasu
salaire	palgad
rappeur	räppar
rappeur	räpp
plaines	tasandikud
watson	watson
préféré	lemmik
préféré	lemmik
préféré	eelistatud
ingénierie	inseneri
bayonne	bayonne
asiatiques	aasia
clara	clara
pérez	pérez
magistrat	kohtunik
chanteurs	lauljad
ethnique	etniline
haies	hedges
haies	tõkkejooks
haies	heki
flanc	tiib
vignes	viinapuude
contrainte	stress
contrainte	stressist
contrainte	stressi
contrainte	piirangu
contrainte	piirang
contrainte	lummus
contrainte	sundimine
folk	rahvas
portails	väravad
portails	gates
portails	portaalid
billets	piletid
billets	pangatähed
billets	pangatähtede
apogée	kulminatsioon
apogée	tipp
obtenue	saadud
antarctique	antarktika
antarctique	antarktika
conducteur	sõitjad
conducteur	autojuhid
conducteur	juhid
conducteur	juht
conducteur	autojuht
conducteur	dirigent
étendu	laiendatud
étendu	pikendatud
étendu	laiendatud
interdite	keelatud
interdite	keelatud
interdite	keelustatud
interdite	keelatud
sphère	sfääri
sphère	kera
libye	liibüa
libye	liibüa
choisie	valitud
chirurgie	kirurgia
chirurgie	lõikus
chirurgie	operatsioon
chirurgie	kirurgilise
sent	lõhnab
sent	lõhnad
oublié	unustas
oublié	unustasid
oublié	unustasin
oublié	unustatud
grammaire	grammatika
yann	jan
yann	yann
mineure	alaealine
balles	kerad
balles	munad
balles	pallid
balles	kuulid
légendaire	legendaarne
tigre	tiger
tigre	tiiger
tigre	tigre
compromis	kompromiss
compromis	kompromissi
compromis	ohustatud
horloge	kell
horloge	kella
middle	keskmine
chaine	kett
chaine	ketti
chaine	ketid
chaine	ahel
séoul	soul
parts	jagab
parts	aktsiad
partager	jagamine
partager	jaga
partager	share
partager	jagada
pluriel	mitmuses
omar	omar
monica	monica
rey	rey
dépôts	hoiused
josef	josef
michèle	michelle
michèle	michele
pommes	õunad
pommes	õun
pommes	apple
pommes	õuna
vannes	väravad
vannes	gates
vannes	ventiilid
vannes	klapid
haine	vihkamine
haine	vihkamist
haine	viha
haine	vihkamine
poussée	tõukejõu
giorgio	giorgio
picard	picard
nommer	nimetamine
nommer	nimi
nommer	nimetus
nommer	name
nommer	nime
lettonie	läti
lettonie	läti
alerte	häire
alerte	hoiatus
alerte	hoiatus
alerte	häire
fermes	talu
fermes	farm
fermes	põllumajandusettevõtete
échappe	põgeneb
tunisienne	tuneesia
tunisienne	tuneesia
copies	koopiad
copies	koopiaid
restaurer	taastamine
restaurer	taasta
restaurer	taastamine
annecy	annecy
edwards	edwards
raid	reid
raid	reidi
distances	vahemaad
distances	kaugus
distances	vahemaa
gardiens	valvurid
gardiens	kaitsjad
gardiens	valvurid
gardiens	hoidjad
plafond	lagi
piscine	bassein
piscine	basseini
donnés	antud
donnés	annetatud
minorité	vähemuste
minorité	vähemus
ronald	ronald
charité	heategevuslik
charité	heategevus
exceptionnelle	erakordne
exceptionnelle	erandlik
exceptionnelle	erandlikud
allée	alley
allée	sissesõidutee
sienne	siena
emily	emily
explications	seletus
explications	selgitus
