atletas	atlete
costera	coastal
charlotte	charlotte
azteca	azteca
azteca	asteekse
patrones	patroon
patrones	werkgewers
how	hoe
boeing	boeing
transmisiones	uitsendings
aliado	allied
aliado	ally
ama	ama
ama	liefhet
ama	lief
literarios	literêre
luchó	gestry
viejos	oud
viejos	ou
mediodía	noon
traducciones	vertalings
pulgadas	duim
pulgadas	duime
pulgadas	duim
arnold	arnold
ladrillo	baksteen
calvo	bald
barbara	barbara
creer	glo
creer	meen
compartir	deel
niñas	meisies
niñas	mishandel
dependencia	afhanklikheid
dependencia	dependence
detective	speurder
probar	probeer
probar	toets
arroyos	strome
arroyos	brooks
volante	flyer
volante	pamflet
sabio	sage
sabio	gebeur
sabio	wise
budapest	budapest
beca	beurs
cráneo	skedel
cráneo	skull
provocando	veroorsaak
gobernante	aaneenlopende
gobernante	liniaal
madison	madison
caridad	liefdadigheid
llave	sleutel
llave	key
exclusiva	eksklusiewe
merced	merced
armados	gewapende
manuscritos	manuscripts
manuscritos	manuscript
major	major
major	majoor
major	hoofvak
necesariamente	noodwendig
demonio	bediener
demonio	duiwel
demonio	demoon
demonio	demon
note	nota
note	aantekeninge
reside	woonagtig
nazis	nazi
nazis	nazis
valdivia	valdivia
luisiana	russies
luisiana	louisiana
televisa	televisa
malo	sleg
materias	materiale
materias	materiaal
materias	vakke
urbanas	urban
urbanas	stedelike
estándares	standaarde
básicas	basies
básicas	basic
básicas	basiese
gases	gas
gases	gasse
ferroviario	spoorweg
ferroviario	spoorlyn
boletín	nuusbrief
boletín	bulletin
potencias	bevoegdhede
ejemplar	kopieer
ejemplar	bokant
ejemplar	kopiereg
separadas	geskeide
separadas	geskei
express	express
portugueses	portugese
portugueses	portugees
normales	normale
normales	normal
normales	normaal
estelar	stellar
estelar	ster
estelar	star
montaje	installasie
montaje	hegting
montaje	saamstel
montaje	gemeente
montaje	redigeer
montaje	verstrek
montaje	redigering
montaje	wysiging
demo	demo
demo	demonstrasie
enviados	gestuur
enviados	boodskappers
enviados	gesante
fotógrafo	fotograaf
kent	kent
larry	larry
porción	gedeelte
asesinados	vermoor
asesinados	vermoorde
asesinados	gedood
asesinados	doodgemaak
asesinados	vermoor
combatientes	vegters
oponente	teenstander
prince	vors
prince	prinse
prince	prince
prince	prins
activamente	daadwerklik
giuseppe	giuseppe
pura	sheer
pura	suiwer
forestal	bosbou
forestal	woud
forestal	bos
viola	viola
track	volg
track	snit
track	baan
track	spoor
parodia	parodie
evangelio	evangelie
honda	kettie
honda	honda
loira	loire
esfera	sfeer
esfera	orb
román	romeinse
román	román
intenso	intensiewe
intenso	intens
intenso	intense
vaya	wow
vaya	sjoe
alvarado	alvarado
litros	gelling
litros	liter
litros	silwer
litros	liters
penales	kriminele
penales	penal
shows	vertonings
shows	programme
name	naam
name	benoem
name	gebruikernaam
consulado	konsulaat
ingresar	aanteken
autorización	toelating
autorización	toestemming
autorización	magtiging
autorización	magtiging
autorización	bemagtiging
belén	bethlehem
belén	betlehem
próximos	komende
próximos	opkomende
próximos	naderende
editada	gewysig
discografía	diskografie
rangers	rangers
esquí	ski
prisionero	gevangene
causando	veroorsaak
disparo	skiet
disparo	verskietende
disparo	skoot
golpes	blows
atacó	aangeval
herbert	herbert
dinosaurios	dinosaurs
dinosaurios	dinosaur
dinosaurios	dinosourus
preparar	berei
preparar	voorberei
extranjera	buitelander
extranjera	buitelandse
extranjera	foreign
caña	riet
caña	reed
caña	pool
caña	kierie
caña	cane
caña	staaf
caña	rod
ética	etiese
ética	etiek
encontrados	gekry
encontrados	gevind
correspondencia	korrespondensie
formatos	instellings
formatos	formatering
formatos	formate
vaticano	vatikaan
bombardeo	bomaanval
respuestas	antwoorde
respuestas	antwoorde
respuestas	antwoorde
cooper	cooper
duero	douro
duero	duero
august	august
august	augustus
típicos	tipiese
típicos	typical
lento	stadig
summer	somer
seudónimo	skuilnaam
apoyado	gesteun
apoyado	ondersteunde
independientemente	onafhanklik
astronómico	astronomiese
col	cabbage
col	col
ludwig	ludwig
velázquez	velázquez
líbano	lebanese
líbano	libanon
túnez	russies
túnez	tunisië
túnez	tunis
cena	aandete
cena	aandete
incluidas	ingesluit
four	vier
pescado	vis
pescado	visvang
republicanos	republican
magic	toor
magic	magic
artísticas	artistieke
lujo	deluxe
lujo	luukse
lujo	luxury
electrones	elektron
electrones	electrons
wood	hout
avances	vordering
vacaciones	vakansies
vacaciones	vakansie
vacaciones	vakansie
vacaciones	vakansiedae
vacaciones	vakansies
aerolínea	lugredery
aerolínea	lugdiens
murallas	muur
murallas	mure
sainte	sainte
cóndor	condor
reduce	verminder
reduce	verminder
coronado	gekroonde
esperando	gewag
esperando	gehoop
específicas	spesifiek
específicas	spesifieke
robles	oaks
robles	robles
trajo	gebring
bienestar	welstand
bienestar	welvaart
bienestar	welfare
mansión	mansion
mansión	manor
suplente	afwissel
suplente	alternatiewe
sueca	sweedse
philippe	philippe
philippe	filip
asesinatos	slagting
asesinatos	sluipmoord
asesinatos	moord
asesinatos	moorde
fieles	lojaal
fieles	loyal
fieles	lojale
fieles	faithful
southern	suidelike
concha	concha
concha	tolk
concha	dop
implementación	implementering
perdida	verlies
perdida	verlore
perdida	verloor
ciudadanía	burgerskap
significativo	betekenisvolle
significativo	betekenisvol
desastre	ramp
desastre	disaster
warren	warren
elías	elías
elías	elijah
elías	elias
ltd	ltd
identificado	geïdentifiseer
ejecutar	uitvoer
ejecutar	hardloop
studio	studio
studio	ateljee
dramática	drama
dramática	dramatiese
antoine	antoine
plástico	plastiek
plástico	plastiek
armadura	armor
guipúzcoa	guipúzcoa
espaciales	ruimtelike
espaciales	spasie
dedicados	toegewyde
dedicados	dedicated
dedicados	opgedra
bebé	baba
hits	hits
tenor	tenoor
tenor	tenor
mortal	deadly
mortal	fatale
reconocimientos	herkenning
casino	casino
vencedor	winner
vencedor	wenner
vencedor	victor
leipzig	leipzig
delegado	delegeer
adoptado	aangeneem
colinas	hills
extranjeras	buitelandse
extranjeras	foreign
apolo	apollo
membrana	membrane
etnia	etnisiteit
etnia	etniese
etnia	etnies
ruido	geraas
ricos	ryk
radar	radar
wagner	wagner
quieren	wil
television	televisie
teatros	teaters
teatros	teater
añadido	bygevoeg
fabricantes	vervaardiger
finca	plaas
finca	estate
finca	landgoed
pilares	pilare
guarnición	garnisoen
edwards	edwards
fábricas	fabrieke
fábricas	mills
fábricas	fabriek
roman	romeinse
oliva	olive
oliva	olyf
oliva	oliva
conservadores	tories
conservadores	konserwatief
conservadores	konserwatiewe
conservadores	versigtig
secos	droë
secos	dry
secos	droog
escape	ontsnap
shakespeare	shakespeare
marín	marin
marín	marín
eugenia	eugenia
cap	cap
desarrollados	ontwikkel
baños	badkamers
baños	bad
baños	bath
alternativas	alternatiewe
logro	behaal
entiende	verstaan
profundamente	buig
fresco	vars
fresco	fresco
nacionalismo	nationalism
cruzar	crossing
adulto	volwassene
disciplinas	disciplines
responder	reageer
responder	antwoord
hermosa	mooi
hermosa	pragtige
propiamente	gepaste
electrónicos	elektronika
electrónicos	elektronies
electrónicos	elektroniese
galaxia	galaxy
galaxia	sterrestelsel
age	ouderdom
cubiertas	gedek
cubiertas	bedek
cubiertas	dek
dependencias	afhanklikhede
dependencias	afhanklikes
abu	aboe
abu	abu
bola	bal
lázaro	lasarus
lázaro	lazarus
wolf	wolf
certificado	sertifikaat
vigor	aangepak
rita	rita
uss	uss
escándalo	scandal
escándalo	skandaal
escándalo	skandale
tanque	tenk
sólido	soliede
sólido	solied
kiev	kiëf
serpiente	snake
serpiente	slang
testigos	getuies
testigos	ooggetuies
testigos	getuienis
economista	ekonoom
submarino	duikboot
submarino	sub
submarino	onderwater
códigos	kode
códigos	kodes
prevención	voorkoming
descubierta	ontdekte
descubierta	spotted
descubierta	gevlekte
solares	solar
progresivo	progressiewe
estudia	studeer
estudia	bestudeer
estudia	studie
paloma	dove
paloma	pigeon
paloma	paloma
folk	folk
ira	wrath
ira	woede
ira	ira
atractivo	aantrekkingskrag
atractivo	aantreklikheid
atractivo	aantreklike
atractivo	appèl
atractivo	appelleer
volar	fly
volar	vlieg
volar	vlieënde
volar	flying
entregado	afgelewer
etiopía	ethiopia
etiopía	ethiopië
dick	dick
jefferson	jefferson
celeste	celeste
palermo	palermo
asientos	sitplekke
dominios	domeine
dominios	domain
dominios	domein
falsa	vals
falsa	valse
falsa	fake
tribunales	hof
tribunales	howe
bond	bind
cerdo	varkvleis
cerdo	vark
blood	bloed
danés	deens
danés	deense
danés	dane
cajas	bokse
cajas	kassies
ring	ring
fiebre	koors
geometría	afmetings
geometría	meetkunde
geometría	geometriese
pink	pienk
hoteles	hotel
hoteles	hotelle
hoteles	hotels
blas	bert
blas	blas
blas	blaise
bull	bull
ayala	ayala
derrotas	oorwin
derrotas	nederlae
macizo	soliede
macizo	solied
macizo	vinson
sacramento	sacramento
neil	neil
documentales	dokumentêr
documentales	documentary
libia	libië
canciller	chancellor
collins	collins
aldeas	villages
silvia	sylvia
silvia	sylvie
silvia	silvia
potente	powerful
potente	kragtige
desafío	challenge
desafío	uitdaging
desafío	defiance
determinados	sekere
soberano	sovereign
emi	emi
normandía	normandië
temporalmente	tydelik
temporalmente	geheue
temporalmente	tydelike
ánimo	bui
ánimo	gemoed
ánimo	gemoedstoestand
divina	divine
acusaciones	kostes
acusaciones	bewerings
sudoeste	suidwestelike
sudoeste	suidwes
oso	beer
cruzada	kruistog
cruzada	crusade
mostrado	vertoon
via	via
excentricidad	eksentrisiteit
camp	kamp
rivadavia	rivadavia
levante	levant
reunir	assemble
reunir	vergader
reunir	bymekaar
aproximación	benadering
aproximación	benadering
mirada	oogopslag
mirada	kyk
sri	sri
poblados	villages
plumas	krale
plumas	pens
plumas	vere
consideración	oorweging
cerrar	toemaak
cerrar	sluit
cerrar	afsluiting
molino	windpomp
molino	windmeul
molino	meul
molino	mill
molino	meule
tronco	trommel
cuarteto	kwartet
nativo	inheemse
nativo	plaaslik
cook	cook
eeuu	vsa
marquesa	markiesin
anatomía	anatomy
monstruo	monster
escribiendo	tik
dedos	toes
dedos	tone
dedos	fingers
pasaje	kaartjie
pasaje	passage
denis	denis
anunciado	aangekondig
anunciado	geadverteer
mató	gedood
mató	doodgemaak
mató	vermoor
futbol	sokker
futbol	voetbal
vitoria	vitoria
estonia	estniese
estonia	estland
bacterias	bakterie
ortodoxa	ortodokse
extendido	uitgebreide
ilegal	onwettig
ilegal	onwettige
apóstol	apostle
apóstol	apostel
ejecutado	uitgevoerde
ejecutado	uitgevoer
intentando	gepoog
escocés	scotsman
escocés	sco
crecer	vergroting
crecer	groeiende
crecer	blou
sismo	aardbewing
helena	helena
helena	helen
trasera	agterste
apreciar	waardeer
discutir	bespreek
conducido	gedryf
gabriela	gabriela
radios	radio
coordinador	koördineerder
miércoles	woensdag
miércoles	woensdae
poseer	besitter
terrorismo	terrorisme
terrorismo	terroriste
side	kant
poderosa	mighty
poderosa	magtige
poderosa	powerful
poderosa	kragtige
precipitaciones	neerslag
capturar	vaslê
capturar	vang
capturar	vasvang
adquiere	verkry
dame	gimme
sud	lds
sud	sud
viajeros	reisigers
sobrevivir	oorleef
sobrevivir	oorlewing
ferrari	ferrari
experimento	eksperimenteer
experimento	eksperiment
consideradas	geag
consideradas	oorweeg
escasos	scarce
escasos	sparse
adolescentes	teenage
adolescentes	adolescent
adolescentes	tieners
brooklyn	brooklyn
impedir	voorkom
lienzo	doek
taekwondo	taekwondo
solidaridad	solidarity
gard	gard
evans	evans
accesible	toeganklike
accesible	toeganklik
accesible	bekostigbaar
accesible	bekostigbare
aporte	bydrae
georg	georg
aproximada	benaderde
castigo	punishment
complejidad	complexity
renacentista	renaissance
adrián	adrian
nordeste	noordelike
gallo	cock
gallo	haan
nuestras	ons
ivan	ivan
ivan	iwan
matthew	matthew
matthew	matteus
parlamentarias	parlementêre
salomón	salomon
salomón	solomon
salomón	salomo
nbc	nbc
exportación	uitvoer
exportación	verstryk
colectiva	collective
susana	susannah
susana	susana
susana	susanna
susana	susan
hambre	hongersnood
hambre	honger
residuos	afval
socialismo	sosialisme
américas	amerikas
square	vierkantig
square	vierkant
square	vierkantige
leones	lions
amy	amy
prohibición	verbod
autovía	hoofweg
autovía	grootpad
autovía	highway
dean	dean
leonor	eleanor
leonor	leonor
consecutivos	agtereenvolgende
escudos	shields
operar	operate
operar	opereer
operar	werkende
films	films
terapia	therapy
instalado	geïnstalleer
instalado	geinstalleer
famosas	bekende
famosas	beroemd
famosas	famous
fallo	mislukking
barro	mud
barro	clay
banca	bench
banca	banking
banca	bank
únicas	unieke
únicas	uniek
acompañada	vergesel
luchadores	stoeiers
luchadores	vegters
stuttgart	stuttgart
edificación	gebou
riesgos	hazards
riesgos	risk
riesgos	risiko
eco	eco
eco	ego
eco	echo
acosta	acosta
seguramente	sekerlik
never	nooit
never	never
never	omkeer
apellidos	van
polaca	pools
polaca	polish
polaca	poolse
class	klas
presentadora	aanbieder
comisario	kommissaris
comisario	balju
comisario	marshal
decenas	tiene
decenas	dosyne
campana	klok
campana	klokkie
pib	bbp
tía	auntie
tía	tannie
húmedo	nat
embajadores	ambassadeurs
hospitales	hospitaal
hospitales	hospitale
morelos	morelos
astronomía	sterrekunde
leal	lojaal
leal	loyal
leal	lojale
leal	leal
terroristas	terroriste
visuales	uitbeeldings
visuales	visuele
guido	guido
detención	arrest
algoritmo	algoritme
inversiones	beleggings
inversiones	belegging
criaturas	skepsels
lloyd	lloyd
mercancías	goedere
mercancías	verhandeling
mercancías	vrag
mercancías	freight
construye	konstruksies
construye	bou
ten	tien
jennifer	jennifer
agregar	bygesit
marinas	marine
tela	broek
ataca	aanvalle
ataca	aanval
lorca	lorca
marcel	marcel
mancomunidad	commonwealth
dylan	dylan
harold	harold
énfasis	beklemtoning
énfasis	benadruk
combinado	gekombineer
combinado	combined
almagro	almagro
revisar	resensie
revisar	hersiening
revisar	oorsig
revisar	hersien
brothers	broers
potter	potter
circo	cirque
circo	sirkus
circo	circus
robo	diefstal
robo	robo
robo	rooftog
robo	steel
vecina	buurman
vecina	buurman
modificado	gewysig
angola	angola
contactos	kontak
exploradores	scouts
pampa	pampas
pampa	pampa
flauta	fluit
hormigón	beton
pinto	pinto
jugaron	gespeel
odio	haat
cauca	cauca
nocturno	aand
nocturno	aande
nocturno	nag
celta	celtic
celta	smelt
celta	kelte
consultas	samesprekings
consultas	navrae
consultas	navrae
consultas	navrae
comprobar	check
comprobar	tsjeggië
comprobar	kontroleer
prosa	prosa
radicales	radikale
connecticut	connecticut
saboya	savoje
juzgado	hof
juzgado	hof
religiones	gelowe
religiones	religie
religiones	godsdiens
compañera	kamermaat
compañera	companion
morris	morris
paolo	paolo
start	start
start	begin
funcional	funksioneel
funcional	funksionele
guevara	guevara
compostela	compostela
disparos	skote
disparos	skiet
disparos	verskietende
cayo	gaius
cayo	cay
melbourne	melbourne
máscara	masker
activista	activist
michelle	michelle
avanzar	vorder
puro	sheer
puro	suiwer
tomas	tomas
tomas	thomas
tomas	skote
separada	geskeide
separada	geskei
separada	afsonderlike
separada	aparte
comprensión	verdraagsaamheid
comprensión	begrip
blake	blake
mónaco	monaco
distinguir	onderskei
expediciones	expeditions
rodeada	omring
compleja	komplekse
compleja	kompleks
ontario	ontario
concejal	alderman
chocolate	sjokolade
calzada	causeway
suya	joune
terminada	klaar
terminada	afgehandel
tumbas	tombs
tumbas	graves
conservar	aanhou
conservar	hou
conservar	behou
conservar	bespaar
inmediata	onmiddellike
riego	besproeiing
jacobo	jakob
jacobo	jacob
jacobo	jakobus
jacobo	james
típicamente	tipies
dramático	drama
dramático	dramatiese
músculo	spiere
músculo	spier
sul	sul
atleta	atleet
bonus	bonus
croata	kroatiese
perdón	jammer
perdón	begenadiging
paquete	pakkie
paquete	pakket
paquete	bondel
paquete	verpak
paquete	pakket
públicamente	openlik
públicamente	openbaar
busto	bust
desconocida	onbekend
especialistas	specialist
especialistas	deskundige
opuesto	teenoorgestelde
mono	mono
mono	apie
mono	aap
trastornos	kwale
afectados	geraak
afectados	geaffekteer
afectados	geaffekteerde
rehabilitación	rehabilitasie
revelación	bekendmaking
aluminio	aluminium
aluminio	aluminium
satélites	satelliete
satélites	satelliet
zero	nul
zero	zero
infección	infeksies
infección	infeksie
navales	naval
largometraje	eienskap
largometraje	kenmerk
noveno	ninth
mezquita	moskee
kurt	kurt
guardias	guards
guardias	wagte
definida	gedefinieer
definida	omskryf
definida	gedefinieër
regente	regent
terrorista	terroriste
superficial	shallow
superficial	oppervlak
hardware	hardeware
abundancia	plenty
resultando	gevolglik
marfil	ivoor
test	toets
redactor	redakteur
gaspar	kaspar
gaspar	caspar
gaspar	gaspar
conspiración	conspiracy
institut	institut
secundarias	sekondêr
secundarias	sekondêre
verbo	werkwoord
excelencia	eksellensie
excelencia	uitnemendheid
excelencia	excellence
funcionario	amptelik
funcionario	amptenaar
funcionario	amptelike
explorador	scout
explorador	verkenner
explorador	verkenner
explorador	explorer
explorador	blaaier
cumpleaños	verjaarsdae
cumpleaños	vakansie
cumpleaños	agterstallig
cumpleaños	verjaar
cumpleaños	verjaarsdag
uruguaya	uruguaanse
kate	kate
taxonomía	taksonomie
útiles	bruikbare
útiles	nuttig
útiles	nuttige
útiles	gehelp
útiles	hulpvaardig
útiles	behulpsaam
útiles	nuttig
mixto	gemeng
mixto	gemengde
interino	interim
melodía	melody
melodía	melodie
melodía	tune
estimación	skat
estimación	skatting
estimación	beraming
estimación	skat
estimación	skatting
estimación	geskatte
estimación	geraamde
estimación	beraamde
luigi	luigi
afc	afc
albania	albanië
area	omgewing
area	gebied
area	oppervlakte
area	area
comunicado	stelling
dieciséis	sestien
dieciséis	sixteen
ucraniano	oekraïens
detenidos	aangehou
esencia	essence
seúl	seoul
conversaciones	gesprekke
percepción	perception
fijo	reggemaak
subespecies	subspesie
fundar	stigting
cuadrada	vierkantig
cuadrada	vierkant
cuadrada	vierkantige
artísticos	artistieke
full	vol
full	volle
excavaciones	blyplekke
pila	battery
pila	hopie
pila	stapel
caos	chaos
eslovenia	slowenië
eslovenia	sloweens
turcos	turke
turcos	turkse
turcos	turkish
sedes	hoofkwartier
sedes	venues
garganta	keel
garganta	gorge
eficiencia	doeltreffendheid
prohibido	verbode
prohibido	verbande
prohibido	verban
mitre	mitre
noruego	no
consistente	konsekwent
dulces	lekkergoed
dulces	lieflike
dulces	soet
watson	watson
euskera	baskiese
anglo	anglo
historietas	comics
historietas	strokiesverhaal
philadelphia	philadelphia
grueso	grootmaat
grueso	dik
exceso	oortollige
triángulo	geteël
bart	bart
clero	predikante
clero	predikant
habsburgo	habsburg
relativo	relatief
relativo	relatiewe
cama	beddegoed
cama	bed
eficaz	doeltreffende
eficaz	doeltreffend
eficaz	effektief
comenta	kommentaar
comenta	opmerkings
terminando	eindig
piedad	mercy
camilo	camillo
ram	ram
realismo	realisme
espinosa	spiny
espinosa	espinosa
subespecie	subspesie
conversación	gesprek
pionero	pioneer
pionero	pionier
clasificar	kategoriseer
clasificar	klassifiseer
emisoras	stasies
espinas	thorn
cretácico	kryt
ted	ted
habitaciones	slaapkamers
habitaciones	kamers
habitaciones	rooms
myspace	myspace
ambientales	environmental
arbustos	struik
consecutivas	agtereenvolgende
aeropuertos	lughawe
aeropuertos	lughawens
mencionados	genoem
utc+	utc+
adjunto	adjunk
adjunto	aangeheg
adjunto	aangehegte
adjunto	aanhangsel
supervivencia	oorlewing
cómics	comics
cómics	strokiesverhaal
pistola	pistool
pistola	gun
ascensión	ascension
ascensión	bestyging
cover	toemaak
cover	omslag
cover	omhulsel
constancia	constance
dennis	dennis
migración	verskuiwing
migración	migrasie
editora	redakteur
hunter	hunter
hunter	jagter
box	boks
conveniente	gerieflike
conveniente	gerieflik
honoris	honoris
ola	ola
ola	waai
ola	golf
martha	martha
adición	bygesit
adición	optel
adición	byvoeging
adición	addendum
dialecto	dialek
gramática	grammatika
gramática	grammar
limpieza	skoonmaak
limpieza	skoon
explorer	verkenner
explorer	explorer
foraminíferos	foraminifera
marcar	dial
marcar	bel
marcar	markus
marcar	merk
marcar	mark
oceanía	oseanië
solicitar	versoek
after	na
after	nadat
after	ná
varela	varela
wang	wang
revolucionaria	rewolusionêre
enamorado	lover
policías	polisiemanne
policías	polisie
arcade	arcade
arcade	arkade
púrpura	pers
eclesiástica	ecclesiastical
tecnológica	tegnologie
expresar	express
jacinto	jacinto
qui	qui
uribe	uribe
minoría	minority
medicamentos	medisyne
medicamentos	drugs
medicamentos	dwelms
medicamentos	medikasie
crean	skep
bebida	gedrink
bebida	drinking
bebida	drink
bebida	drank
bebida	drankie
bebida	drankies
mitchell	mitchell
rascacielos	wolkekrabber
aceptada	aanvaarde
aceptada	aanvaar
favorito	gunsteling
favorito	gunsteling
tiende	geneig
conjunta	gesamentlike
conjunta	joint
transforma	transformeer
élite	elite
futuros	futures
pagina	blad
pagina	bladsy
negativo	negatiewe
negativo	negatief
cordero	lamb
cordero	skaapvleis
leonard	leonard
ibm	ibm
austral	austral
coma	coma
coma	komma
coma	maatskappy
oscuridad	donker
oscuridad	donkerte
caracol	slak
estatuas	standbeelde
days	dae
malos	sleg
cazadores	hunters
cazadores	hunter
cazadores	jagter
temple	tempel
temple	temple
tokyo	tokyo
tokyo	tokio
vendidos	sold
vendidos	verkoop
doctores	dokters
hércules	hercules
trastorno	disorder
restricciones	beperkinge
restricciones	beperkings
restricciones	beperking
restricciones	beperkings
traición	joffe
amenazas	dreigemente
suministro	verskaffing
suministro	voorrade
suministro	voorraad
suministro	verskaf
rumores	gerugte
rumores	gerugte
heredia	heredia
sandra	sandra
sombrero	sombrero
sombrero	hoed
sentir	voel
mit	mit
herzegovina	herzegowina
abel	abel
armonía	harmonie
amo	meester
cadáver	lyf
cadáver	liggaam
inter	inter
obligación	swyg
obligación	verpligting
soccer	sokker
sweet	lieflike
sweet	soet
distancias	afstande
distancias	afstand
pensó	dog
pensó	gedink
bordes	grense
bordes	rande
fracción	fraksie
fracción	breuk
kenia	kenia
kenia	kenya
kenia	keniaanse
homosexualidad	lgbt
homosexualidad	homoseksualiteit
allende	allende
joão	joão
picos	pieke
aníbal	hannibal
aníbal	aníbal
defensas	verdediging
defensas	verdedigings
orquídeas	orgidee
agrega	byvoegings
agrega	adds
agrega	advertensies
invitación	nooi
invitación	uitnodiging
patagonia	patagonië
cívica	burgerlike
cívica	munisipale
cívica	civic
terra	terra
presentando	aangebied
mágico	toor
mágico	magic
mágico	magiese
mágico	magical
transmitir	stuur
richter	richter
ritual	ritual
corpus	corpus
exclusivo	eksklusiewe
príncipes	princes
round	rondte
pete	pete
muerta	dooie
muerta	dood
ritmos	beats
ritmos	slae
bebidas	drankies
bebidas	drankies
llanos	vlaktes
stanford	stanford
tallo	agterstewe
newton	newton
dell	dell
wikipedistas	wikipedians
expuesto	blootgestel
expuesto	kaak
ion	ion
aparatos	apparaat
aparatos	toestelle
aparatos	gadgets
aparatos	apparate
aparatos	toebehore
aparatos	toestelle
leon	leon
greg	greg
arañas	spiders
arañas	spinnekop
bush	bush
automática	outomatiese
automática	outomaties
consciente	bewus
consciente	geweet
lola	lola
monje	monk
aragonés	an
fragmento	fragment
fragmento	excerpt
fragmento	uittreksel
químicas	chemiese
anales	anale
anales	annals
claustro	fakulteit
choque	shock
choque	skok
choque	omval
choque	insident
choque	crash
choque	botsing
choque	clash
azerbaiyán	azerbeidjan
azerbaiyán	azerbeidjans
comprender	verstaan
comprender	verdraagsaamheid
comprender	begrip
exacta	akkurate
exacta	akkuraat
exacta	presiese
exacta	presies
legislativa	legislative
romeo	romeo
auditorio	gehoor
auditorio	ouditorium
transmitido	oorgedra
eslovaquia	slowakye
afectado	geraak
afectado	geaffekteer
afectado	geaffekteerde
hablado	gesproke
círculos	sirkels
entierro	burial
entierro	funeral
entierro	begrafnis
trayecto	journey
claves	sleutels
claves	sleutel
claves	key
fragata	fregat
unir	uniting
unir	saamstaan
intermedio	intermediate
luke	luke
luke	lukas
hermann	hermann
mayormente	meestal
colocado	geposisioneer
computadoras	rekenaars
computadoras	rekenaar
sacrificio	sacrifice
sacrificio	opoffering
promesa	belowe
ejecutados	uitgevoerde
ejecutados	uitgevoer
todd	todd
consultar	pleeg
consultar	raadpleeg
consultar	konsulteer
consultar	navraag
cilindros	silinders
walt	walt
belgrado	belgrado
raro	skaars
raro	weird
raro	vreemd
baterías	battery
baterías	batterye
abuso	misbruik
receptores	ontvangers
estrategias	strategieë
aumentando	vermeerder
conquistar	verower
almas	souls
stuart	stuart
superficies	oppervlaktes
fila	blaai
fila	ry
fila	row
natalia	natasha
natalia	natalie
natalia	natalia
toque	touch
toque	aanraking
deseos	wense
deseos	begeer
brujas	witches
brujas	brugge
continentales	kontinentale
continentales	continental
causado	veroorsaak
match	pas
match	passing
match	ooreenstem
match	ooreenstemming
transmite	stuur
incorporado	ingeslote
enfermo	siek
polar	polêre
avanzado	moeiliker
avanzado	gevorderde
avanzado	gevorderd
llamas	vlam
llamas	vlamme
llamas	flames
ortografía	spelling
away	weg
caro	caro
esgrima	fencing
equipamiento	toerusting
óptica	optiese
párrafo	paragraaf
reconocen	herken
mago	towenaar
mago	assistent
mago	towenaar
mago	mage
sustituir	oordra
sustituir	spasie
montero	montero
eliminados	geskrap
eliminados	uitgevee
eliminados	verminder
extraña	vreemdeling
extraña	vreemd
suicidio	selfmoord
wolfgang	wolfgang
