libanas	libanon
atsakymą	svara
chemoterapija	kemoterapi
obeliskas	obelisk
brahma	brahma
miežių	korn
tramvajų	spårvagn
kelnės	byxor
kelnės	långbyxor
kelnės	byxor
seilių	saliv
hradec	hradec
veiksmažodžių	verb
bmx	bmx
evangelija	evangelium
bombonešis	bombplan
bombonešis	bomber
moro	moro
uma	uma
integracija	integrering
integracija	integration
integracija	integrationen
jautrumas	ömhet
jautrumas	känslighet
jautrumas	lyhördhet
mohammed	mohammed
mohammed	muhammed
švelniai	mjukt
švelniai	varsamt
švelniai	försiktigt
singapūre	sundbyberg
singapūre	singapore
liekana	återstod
liekana	rester
skatinimo	främjande
skatinimo	befordran
skatinimo	marknadsföring
skatinimo	kampanj
javier	javier
oromo	oromo
teroristų	terrorister
teroristų	terrorist
teroristų	terroristen
lygybė	jämlikhet
lygybė	jämställdhet
dulkės	stoft
dulkės	damm
vsevolodas	vsevolod
dogg	dogg
garbino	dyrkade
dukla	dukla
sutarta	avtalade
sutarta	överenskomna
sutarta	överenskommen
dirvožemis	jord
cholesterolio	kolesterol
artėja	närmar
uždraustos	förbjudna
uždraustos	förbjuden
uždraustos	förbjudet
uždraustos	spärrad
sekmadieniais	söndagar
sekmadieniais	söndagarna
patologijos	patologi
patologijos	patologiska
nigra	nigra
julio	julio
niko	niko
demonas	demon
giacomo	giacomo
pūnų	puniska
kapsulės	kapsel
kapsulės	kapslar
kapsulės	kapslar
rolę	gudmor
halės	halle
hormonas	hormon
mai	mai
mai	mys
ruzveltas	roosevelt
šalmai	hjälmar
plienas	steel
plienas	stål
skeletas	skelettet
skeletas	skelett
atsparumas	motstånd
atsparumas	motståndskraft
atsparumas	resistens
atsparumas	motståndsrörelsen
atsparumas	beständighet
batai	skor
batai	stövlar
batai	boots
batai	kängor
civilizaciją	civilisation
civilizaciją	civilisationen
veidrodis	spegel
veidrodis	spegla
trofėjus	trophy
trofėjus	pokalen
trofėjus	trofén
trofėjus	trofé
specializuotas	specialiserade
specializuotas	specialiserat
specializuotas	specialiserad
lygu	jämlikar
konkurentų	konkurrenter
konkurentų	konkurrenterna
konkurentų	tävlande
anas	anas
paruošimo	beredning
formavimas	bildande
formavimas	formation
formavimas	bildning
apdaila	avslutar
avn	avn
žole	gräs
ustring	ustring
alenas	allen
heidelbergo	heidelberg
mechaniškai	mekaniskt
timo	timo
įstrižai	diagonal
paauglystėje	tonåren
diržo	skärp
diržo	bältet
diržo	bälte
lena	lena
mata	mata
daktarai	doktorer
daktarai	läkare
praga	praga
ištrinti	sudda
ištrinti	radera
ištrinti	stryka
ištrinti	stryk
ištrinti	radera
žandarmerijos	gendarmeriet
tui	udi
tui	tui
vaikinai	grabbar
vaikinai	grabbar
vaikinai	killar
med	med
antgaliai	munstycken
gimnastika	gymnastik
ibrahim	ibrahim
liežuvis	tungor
liežuvis	tungan
liežuvis	tunga
mann	mann
ribentropo	ribbentrop
beatričė	beatrix
nupirkti	inköpt
nupirkti	inköpta
nupirkti	köpta
nupirkti	köpt
sekmadienio	söndag
sekmadienio	söndags
valle	valle
reičel	rachel
voverė	ekorre
profesionalai	yrkesutövare
profesionalai	professionella
profesionalai	yrkesmän
profesionalai	proffs
profesionalai	yrkesverksamma
nora	nora
hormonai	hormon
passeriformes	passeriformes
joshua	joshua
joshua	josua
patenkintas	tillfreds
patenkintas	nöjd
patenkintas	nöjda
protektoratas	protektorat
hensley	hensley
investuotojų	investerare
investuotojų	investerare
investuotojų	investerarna
jordanija	jordan
jordanija	jordanien
hera	hera
atkrintamąsias	slutspel
atkrintamąsias	slutspelet
trikampiai	triangelformad
trikampiai	trianglar
profesijų	yrken
profesijų	yrken
apdailos	avslutar
andrés	andrés
garai	ånga
garai	ångor
jelgava	jelgava
suzuki	suzuki
gineso	guinness
sekretoriato	sekretariat
sekretoriato	sekretariatet
talentas	begåvning
talentas	talang
talentas	talanger
melodijų	låtar
iškasti	gräver
iškasti	gräva
iškasti	grävt
clarke	clarke
kardinolai	kardinaler
botev	botev
mare	mare
mare	sto
piktų	världsliga
draudžiamas	förbjudna
draudžiamas	förbjuden
draudžiamas	förbjudet
pamyro	pamir
bendrabutis	vandrarhem
bendrabutis	hostel
interscope	interscope
amber	amber
tre	tre
lazerio	laser
pokalbiai	konversationer
pokalbiai	samtal
energetika	energi
energetika	energy
žinant	veta
žinant	vetskap
voldemortas	voldemort
grąžinimo	återbetalning
gilberto	gilberto
informuoti	informerad
informuoti	informerat
informuoti	informerade
peizažo	vyer
peizažo	landskap
bizkit	bizkit
nottingham	nottingham
transformacija	omvandling
transformacija	förvandling
transformacija	förvandla
transformacija	omvandla
geometrija	geometri
geometrija	geometrisk
geometrija	geometriskt
geometrija	geometriska
branduolinis	nukleära
branduolinis	kärnkraft
branduolinis	kärnvapen
branduolinis	nukleär
branduolinis	kärnenergi
klinikoje	klinik
klinikoje	kliniken
investuoti	invest
investuoti	investerar
investuoti	investera
matrica	matrisen
matrica	matrix
matrica	matris
matrica	matriser
stavropolio	stavropol
anastasija	anastasia
žygiavo	marscherade
semionas	semyon
sapnai	drömmar
sapnai	dreams
kaltino	skyllde
kaltino	klandrade
kirilica	kyrilliska
gerina	förbättras
gerina	förbättrar
nicola	nicola
mechaninis	mekaniskt
mechaninis	mekaniska
mechaninis	mekanisk
mielių	jäst
mielių	jäst
nuosmukis	recession
nuosmukis	lågkonjunkturen
nuosmukis	lågkonjunktur
pakrikštytas	döptes
pakrikštytas	döpt
pakrikštytas	döpte
herman	herman
įkalinimo	fängelsestraff
įkalinimo	fängslande
įkalinimo	fängelse
drambliai	elefanterna
drambliai	elefanter
leonė	leone
geometrijos	geometri
rokoko	rokoko
anglys	stenkol
anglys	kol
tekėjo	flödade
irma	irma
klr	kina
sirupas	sirap
liaudis	folk
konrad	konrad
che	che
rūkymas	röker
rūkymas	röka
rūkymas	rökare
rūkymas	rökning
sąmokslo	konspiration
sąmokslo	sammansvärjning
paklusti	lyda
pėdomis	fotspår
pėdomis	fotsteg
limp	halta
stebėjimai	iakttagelser
stebėjimai	observationer
stebėjimai	anmärkningar
stebėjimai	iakttagelse
stebėjimai	observation
pelkėtose	marshy
nurodymai	instruktioner
nurodymai	anvisningar
bundesarchiv	bundesarchiv
pieva	ängen
pieva	äng
pieva	meadow
biala	biała
powell	powell
pasaulietinės	sekulära
japonica	japonica
orlaiviai	flygplan
orlaiviai	luftfartyg
privatizavimo	privatiseringar
privatizavimo	privatisering
įvaizdžio	perfektion
tikslios	noggrann
tikslios	korrekt
drėkinimo	bevattning
mechanizacijos	mekanisering
genai	gener
genai	generna
šieno	hö
galingų	mäktiga
galingų	mäktige
galingų	mäktigt
nissan	nissan
baptiste	baptiste
xxiii	xxiii
nervai	nerver
nervai	nerverna
nėščia	dräktiga
nėščia	gravida
nėščia	gravid
tostring	tostring
tomė	tomé
euras	euron
euras	euro
tomasz	tomasz
atsistatydinimo	avgång
atsistatydinimo	avskedsansökan
atsistatydinimo	avsked
rasbora	rasbora
švyturio	fyr
švyturio	fyren
susitarimai	arrangemang
susitarimai	avtal
susitarimai	överenskommelser
sunkvežimis	truck
sunkvežimis	lastbil
sunkvežimis	lastbil
eto	eto
kalifatas	kalifat
genesis	uppkomst
genesis	genesis
drėgnumas	vattenhalt
drėgnumas	fukt
drėgnumas	fuktighet
drėgnumas	luftfuktighet
drėgnumas	fukt
drėgnumas	fuktighet
genetiniai	genetiskt
genetiniai	genetiska
genetiniai	genetisk
kenneth	kenneth
okupuotoje	ockuperade
okupuotoje	sysselsatt
okupuotoje	upptaget
okupuotoje	ockuperat
ism	ism
programuotojas	utvecklare
skandalas	skandal
skandalas	skandalen
skandalas	skandaler
vertinga	värdefullt
vertinga	värdefull
vertinga	värdefulla
kapitolijaus	huvudstaden
kapitolijaus	capitol
ayat	ayat
audrų	oväder
audrų	stormar
laiptų	trappan
laiptų	trappsteg
laiptų	trappa
laiptų	trappor
dekoruoti	dekorera
poniatovskis	poniatowski
garsiu	agitator
vežimo	vagn
jaroslavlio	jaroslavl
sionistų	sionistiska
fermentai	enzymer
levinas	levin
susidūrimas	sammanstötning
susidūrimas	kollision
susidūrimas	krock
navbox	navbox
mažylis	bebis
mažylis	älskling
jeep	jeep
kalė	bitch
kalė	tik
vėžiagyvių	skaldjur
skundas	överklaga
skundas	överklagande
skundas	överklagandet
skundas	överklagan
snoop	snok
snoop	snokar
snoop	snoop
kritiškai	kritiskt
kieno	vilkas
kieno	vars
kieno	vems
geograph	geograph
astronomai	astronomer
pagrobti	kidnappa
kaštonų	chestnut
kompleksų	komplex
fulham	fulham
butas	lägenhet
tarpininkas	förmedlare
tarpininkas	mellanhand
tarpininkas	förmedlande
iliustratorius	illustratör
sauga	säkerhet
sauga	säkerheten
sauga	trygghet
kepler	kepler
ožys	getter
ožys	get
pokalbis	konversation
pokalbis	samtal
pokalbis	konversationer
pokalbis	konversationen
stabilizatorius	stabiliserar
stabilizatorius	stabilisera
stabilizatorius	stabiliseras
stabilizatorius	stabiliserande
morta	morta
kaktos	panna
kompetencija	kompetenser
kompetencija	befogenheter
servette	servette
aufl	aufl
tiekėjas	leverantör
atidėti	uppskjuta
štirijos	steiermark
pėstininkas	bonde
kano	kann
kvarco	kvarts
šopeno	chopin
endriu	andreas
endriu	andrew
poznanėje	poznań
bendrieji	allmän
bendrieji	allmänna
bendrieji	allmänt
samdiniai	legosoldater
jahija	yahya
tao	tao
gėjų	bög
gėjų	gay
kurdistano	kurdistan
rašant	skrivande
rašant	skrift
rašant	skrivning
rašant	skriva
rašant	skriver
chromo	krom
kostiumas	dräkt
kostiumas	kostym
pirkėjų	köpare
firefox	firefox
uriah	uria
hablo	hubble
lježo	liège
kirpėjas	frisör
naviko	tumör
cirkas	cirkusen
cirkas	cirkus
cirkas	circus
gorkis	gorkij
sąskaitos	fakturering
bsd	bsd
nusikaltėlis	förövare
nusikaltėlis	gärningsmannen
nusikaltėlis	gärningsman
nusikaltėlis	förövaren
nusikaltėlis	gärningsmannen
nusikaltėlis	gärningsman
kriaušės	päron
kriaušės	päron
jautrus	känsliga
jautrus	känsligt
jautrus	känslig
dominuoti	dominerar
dominuoti	dominera
skola	skulder
skola	skuldsättning
skola	skuld
pusmėnulio	crescent
chuck	chuck
senelė	farmor
senelė	mormor
koncertmeisteris	konsertmästare
laisves	friheterna
laisves	friheter
opel	opel
derry	derry
sprogmenų	explosiva
sprogmenų	sprängämnen
sprogmenų	explosivt
sprogmenų	explosiv
švęsti	fira
lašišos	laxar
lašišos	lax
fussballdaten	fussballdaten
rankraščiai	manuskript
alyvos	fat
alyvos	tunna
alyvos	oljor
kamieninių	hejda
lingė	kärrhök
bilis	billy
hibernian	hibernian
vyšnios	körsbär
vyšnios	cherry
vyšnios	körsbär
verona	verona
eng	eng
stipriau	hårdare
stipriau	svårare
nematomas	osynliga
nematomas	osynlig
nematomas	osynligt
kėdės	stolar
kėdės	stol
įspūdingas	imponerande
greita	snabbt
greita	snabb
greita	snabba
greita	snabbt
greita	snabb
greita	snabba
paaiškinimas	förklaring
paaiškinimas	förklaringar
fortuna	fortuna
jungtys	gränssnitt
jungtys	konjunktioner
nedarbas	arbetslösheten
nedarbas	arbetslöshet
akira	akira
sruogos	linor
disertacija	avhandling
idol	idol
katalogo	katalog
altas	sax
verslininkai	företagarna
verslininkai	företagare
verslininkai	entreprenörer
gao	gao
opus	opus
agresijos	aggressivitet
agresijos	aggression
agresijos	aggressioner
bonifacas	boniface
prostatos	prostata
joão	joão
bonus	bonus
electro	elektro
balansas	balansera
balansas	jämvikt
balansas	balans
balansas	behållning
samsung	samsung
plytos	tegelstenar
plytos	tegel
plytos	tegelsten
nykstančių	utrotningshotade
nykstančių	hotade
nykstančių	hotad
faktais	garanteras
faktais	garanterade
faktais	garanterat
faktais	garanterad
idris	idris
miega	sover
miega	somnat
miega	sover
miega	sova
miega	sömn
miega	sover
miega	sovande
tiuringijos	thüringen
naikinimas	förälskelse
naikinimas	krossa
siekius	ambitioner
siekius	strävanden
eminem	eminem
šiitų	shia
bradley	bradley
metisai	mestiser
profesionaliai	yrkesmässigt
profesionaliai	professionellt
tyrėjų	detektiver
tikrovė	realitet
tikrovė	reality
tikrovė	verkligheten
tikrovė	verklighet
griežti	stränga
griežti	strikt
griežti	strikta
griežti	sträng
griežti	hardcore
onkologijos	onkologi
kirilas	kirill
horizontali	horisontell
horizontali	horisontellt
horizontali	övergripande
horizontali	horisontella
horizontali	vågrätt
griovių	diken
drausmės	disciplinära
jerome	jerome
originalas	pirater
originalas	piraterna
originalas	sjörövare
mori	mori
cao	cao
įvartis	blinkar
įvartis	blinka
koordinavimo	samordning
koordinavimo	koordination
koordinavimo	samordna
koordinavimo	samordning
koordinavimo	samordnande
porai	purjolök
stiprina	förstärkare
stiprina	stärker
stiprina	förstärker
šiukšlių	sopor
šiukšlių	skräp
šiukšlių	skräp
tonumber	tonumber
prisiminti	minnas
prisiminti	minns
konsultacijų	samråd
konsultacijų	konsultation
konsultacijų	samråd
jure	jure
dingsta	försvinner
dingsta	försvinner
dingsta	försvinna
kilme	ursprung
pipirai	pepper
pipirai	peppar
pipirai	paprika
sekmadienis	söndag
sekmadienis	söndags
alisa	alice
zagora	zagora
olimpia	olimpia
šiltos	varma
šiltos	varm
šiltos	värma
šiltos	varmt
buto	lägenhet
būtinybė	nödvändighet
būtinybė	nöden
sundos	malajisk
laimėjimai	prestationer
laimėjimai	bedrifter
marse	marcy
bušas	bush
bušas	buske
sochaux	sochaux
dao	dao
vankuverio	vancouver
realybė	realitet
realybė	reality
realybė	verkligheten
realybė	verklighet
tobias	tobias
margi	fläckiga
auguste	auguste
rojas	rojas
rowling	rowling
libertadores	libertadores
lankai	bågar
blakės	heteroptera
gražu	vackra
gražu	vacker
gražu	vackert
gražu	snyggt
gražu	trevligt
gražu	fint
gražu	fina
gražu	snygg
gražu	snygga
plaučius	lungorna
plaučius	lungor
conus	conus
mustafa	mustafa
demonstracijos	demonstrationerna
demonstracijos	demonstrationer
livonija	livland
matavimai	mått
matavimai	mätningar
matavimai	mätning
matavimai	värdering
matavimai	mått
matavimai	mätningar
dumbliai	alger
janos	janos
uraganas	orkanen
uraganas	orkan
treniruotis	spar
gridcolor	gridcolor
ska	ska
mstislavas	mstislav
delavero	delaware
suopis	buzzard
dalmatijos	dalmatiska
birkirkara	birkirkara
drabužis	plagg
stipendijos	stipendier
stipendijos	bidrag
stipendijos	stipendier
spektras	spektrum
wikidata	wikidata
lapienis	tremella
nino	nino
gobio	gobi
okb	okb
hemoglobino	hemoglobin
robertson	robertson
judas	judas
žiurkė	rat
žiurkė	råtta
tešla	deg
arterijų	artärer
tuščia	blanka
tuščia	tomt
tuščia	blankt
tuščia	blank
baladė	ballad
transformacijos	omvandling
transformacijos	förvandling
pardavėjas	näringsidkare
pardavėjas	handlare
pardavėjas	säljare
pardavėjas	säljaren
pabėgėliai	flykting
pabėgėliai	flyktingar
keistas	skumt
keistas	konstig
keistas	konstigt
keistas	märkligt
keistas	konstig
keistas	konstigt
lingua	lingua
mafija	maffia
mafija	mobben
mafija	maffian
mafija	maffia
mafija	maffian
specializuotų	specialiserade
specializuotų	specialiserad
specializuotų	specialiserat
rifai	rev
gazos	gaza
endeminių	endemiska
patiekalus	maträtter
patiekalus	rätter
patiekalus	tallrikar
ūmėdė	russula
vėliavas	fanor
vėliavas	banderoller
klesti	blomstrande
klesti	välmående
klesti	frodas
dora	dora
skystas	likvida
skystas	flytande
skystas	vätska
achilo	akilles
alyvuogių	oliver
ciklų	kretslopp
ciklų	cykler
wrocław	wrocław
smithsonian	smithsonian
leben	leben
ekologinė	ekologiska
ekologinė	ekologiskt
ekologinė	ekologisk
pranešimo	anmälan
pranešimo	underrättelse
tyliai	tysta
tyliai	tyst
vandalai	vandaler
porter	bärare
porter	porter
discogs	discogs
buteo	buteo
šviesi	ljust
šviesi	bright
šviesi	ljusa
tiekėjų	leverantörer
sligo	sligo
delle	delle
patogiau	bekvämt
patogiau	behagligt
patogiau	bekväma
patogiau	bekväm
padažas	sås
potencialiai	potentiellt
ign	ign
receptorius	receptorer
tonos	ton
neigia	förnekar
neigia	nekar
zylė	tutte
esbo	osse
amour	amour
staigus	skarp
staigus	sharp
staigus	vassa
staigus	skarpa
staigus	skarpt
šlovė	hell
šlovė	hagel
žavėjosi	beundrat
žavėjosi	beundrade
montažas	montage
dravidų	dravidiska
sviedinys	kanonkula
cole	cole
proporcingas	proportionell
proporcingas	proportionerligt
proporcingas	proportionella
proporcingas	proportionerlig
proporcingas	proportionellt
polydor	polydor
patobulinta	uppgraderade
lgbt	hbt
lgbt	hbtq
vadove	vägledning
vadove	guiden
vadove	vägvisare
vadove	guide
madam	madam
madam	madame
ritualas	ritual
ritualas	ritualer
fabio	fabio
palestiniečių	palestinierna
palestiniečių	palestinier
balsis	vokal
įsivaizduoti	inbillade
revoliucinė	revolutionära
revoliucinė	revolutionär
revoliucinė	revolutionerande
grunge	grunge
poseidonas	poseidon
clarkson	clarkson
sklypų	ytor
sklypų	tomter
sklypų	paket
sklypų	skiften
rosenborg	rosenborg
krizių	kriser
triumfavo	segrade
cellpadding	cellpadding
maximus	maximus
moliuskai	blötdjur
kolegos	kollegor
kolegos	kolleger
pokalbio	konversation
pokalbio	samtal
pokalbio	konversationer
pokalbio	konversationen
asirija	assyrien
vakar	igår
vakar	gårdagens
violetinė	lila
oliveira	oliveira
aparatūra	apparatur
aparatūra	apparat
aparatūra	apparater
akvariumas	akvarium
oksidacijos	oxidation
atari	atari
pokerio	poker
remiama	sponsrade
remiama	sponsrad
remiama	sponsrat
chamberlain	chamberlain
skliaustuose	parenteser
skliaustuose	parentes
blokavimo	blockering
blokavimo	blockerar
blokavimo	blockera
sorbų	sorbiska
esminė	kritisk
esminė	kritiskt
esminė	kritiska
jaguar	jaguar
troleibusų	trådbuss
lamborghini	lamborghini
dirvožemį	jord
slyvų	plommon
vadi	wadi
biologiškai	biologiskt
aštrus	kryddig
augmenijos	växtlighet
augmenijos	vegetation
turbina	turbin
paviršiai	ytor
triukšmas	buller
triukšmas	oväsen
triukšmas	oljud
triukšmas	brus
makaronai	makaroner
optika	optik
kalifas	kalif
netinkamas	felaktigt
netinkamas	inkorrekt
netinkamas	oriktig
netinkamas	felaktig
netinkamas	ogiltiga
netinkamas	ogiltig
netinkamas	ogiltigt
demonai	demonerna
demonai	demoner
džiaugsmas	glädje
džiaugsmas	joy
višnaus	vishnu
plaukikas	simmare
maratonas	marathon
maratonas	maraton
pirmtakai	föregångare
specializacijos	specialisering
skiemuo	stavelse
mozilla	mozilla
bora	bora
teleskopo	teleskop
brangi	kära
klestėjimas	välgång
klestėjimas	välståndet
klestėjimas	välfärd
klestėjimas	välstånd
donatello	donatello
hermiona	hermione
cellspacing	cellspacing
postų	inlägg
postų	stolpar
robotas	robot
galingi	kraftfull
galingi	mäktiga
galingi	mäktig
galingi	mäktigt
minerva	minerva
surinktas	monterade
surinktas	sammansatta
sprogstamosios	explosiva
sprogstamosios	sprängämnen
sprogstamosios	explosivt
sprogstamosios	explosiv
atsparumo	motstånd
atsparumo	motståndskraft
atsparumo	resistens
atsparumo	motståndsrörelsen
atsparumo	beständighet
southampton	southampton
paaukoti	donera
paaukoti	skänk
valyti	städat
valyti	städade
valyti	rensade
styga	ackord
rožinio	rosé
užtvankų	dammar
starta	bunting
starta	sparv
granada	granada
turinas	turin
diplomatinių	diplomatisk
diplomatinių	diplomatiskt
diplomatinių	diplomatiska
nirvana	nirvana
centimetrų	centimeter
bandymą	experimentet
bandymą	experiment
bandymą	experimentera
braun	braun
šalmus	hjälmar
energijai	stiger
energijai	stigande
energijai	ökande
vandeninis	vattenlösning
dublinas	kungälv
dublinas	dublin
sindarin	sindarin
udo	udo
apvalkalas	shell
apvalkalas	skal
barrichello	barrichello
triplophysa	triplophysa
tikslumas	noggrannhet
tikslumas	precision
tikslumas	noggrannhet
tikslumas	exakthet
tikslumas	riktighet
tikslumas	precision
kremliaus	kreml
berger	berger
elvis	elvis
vagonų	godsvagnar
vagonų	vagnar
suprojektuota	utformade
suprojektuota	designad
suprojektuota	utformat
suprojektuota	utformad
suprojektuota	designat
suprojektuota	konstruerad
mokymasis	lära
mokymasis	lärande
mokymasis	inlärning
blokų	kvarter
blokų	blockerar
blokų	blockeringar
blokų	block
svetimas	främling
svetimas	konstigare
sprogsta	exploderar
ger	ger
šiaudų	halm
šiaudų	strån
šiaudų	strå
diktatūros	diktaturer
diktatūros	diktaturer
diktatūros	diktatur
diktatūros	diktaturen
laguna	laguna
paskiria	kontakt
paskiria	kontakta
aktyvistai	aktivister
komentatorius	kommentator
turkmėnų	turkmenska
katalonų	katalanska
adis	addis
puikų	förträffligt
puikų	utmärkt
tsv	tsv
mono	mono
ijo	ijo
pagerina	förbättras
pagerina	förbättrar
plėšrūnų	rovdjur
apgyvendinimo	boende
vežimas	transporter
vežimas	sändningar
dumblių	alger
ursus	ursus
forum	forum
forum	forumet
listclass	listclass
konkursai	anbud
teologija	teologi
paktas	pakt
paktas	pakten
paktas	garderob
citadelė	citadel
kaukazas	kaukasus
kaukazas	kaukasien
marselio	marseille
brendan	brendan
tor	tor
nendrių	reed
kančia	lidande
kančia	lidanden
kančia	plåga
kančia	kval
cinkas	zink
norimą	önskat
norimą	önskas
jūreivių	sjömän
laimingas	glada
laimingas	grattis
laimingas	lycklig
laimingas	nöjd
laimingas	lyckliga
laimingas	glad
dirvinė	myosotis
kontaktas	kontakt
kontaktas	kontakta
sąjungas	allianser
bismarkas	bismarck
sąsmauka	näset
oktavianas	octavianus
gegutės	gök
mileris	miller
mileris	millers
hunai	hunnerna
elzė	eliza
dal	dal
vakarienė	middag
elisabeth	elisabet
elisabeth	elisabeth
kenkėjų	pest
kenkėjų	skadedjur
kenkėjų	skadedjur
koridorius	korridorerna
koridorius	korridorer
koridorius	korridoren
koridorius	korridor
dunojus	donau
įkvėpti	inspirera
įkvėpti	inspirerar
lydiniai	legeringar
milžinai	giants
milžinai	jättar
milžinai	jättarna
charleroi	charleroi
viskio	whiskey
viskio	scotch
viskio	whisky
viskio	whisky
priimtų	slingor
priimtų	höjdpunkter
priimtų	belyser
važiuoklės	chassi
dinozaurai	dinosaurier
spiritas	sprit
spiritas	andarna
spiritas	spritdrycker
spiritas	andar
šeštoji	sexan
šeštoji	sjätte
egzamino	examen
neišvengiamai	oundvikligen
finansiniai	ekonomiskt
finansiniai	finansiellt
finansiniai	finansiell
finansiniai	finansiella
krantinės	kajen
rūsys	källaren
rūsys	källare
sakiniai	meningar
suaugusieji	vuxna
suaugusieji	vuxen
suaugusieji	vuxna
galija	belgica
sophia	sofia
sophia	sophia
coca	coca
konservantas	konserveringsmedel
austrai	österrikare
tinklinis	volleyboll
battista	battista
cikas	cycas
rekomenduoja	rekommenderar
rekomenduoja	rekommendera
rekomenduoja	rekommenderas
rekomenduoja	rekommenderar
elachista	elachista
šviesus	ljust
šviesus	bright
šviesus	ljusa
toras	tor
toras	thor
incidentas	händelse
incidentas	incident
incidentas	tillbud
lesa	ruggning
dominavimo	dominans
dominavimo	herravälde
dominavimo	dominans
dominavimo	dominerande
kaiser	kaiser
