lyoni	lyon
vertikaalselt	vertikálně
henning	henning
parimat	nejlepší
parimat	nejlépe
parimat	nej
parimat	best
parimat	nejlepsi
marin	marin
alonso	alonso
peidetud	skryto
peidetud	skrytý
peidetud	ukrytý
peidetud	skrytá
peidetud	skryté
dünaamika	dynamika
dünaamika	dynamics
dünaamika	dynamiku
dünaamika	dynamika
dünaamika	dynamický
dünaamika	dynamická
dünaamika	dynamické
domeeni	domény
muhammad	muhammad
muhammad	mohamed
edukad	úspěšná
edukad	úspěšně
edukad	úspěšné
edukad	úspěšný
tutvustab	zavádí
kinnine	uzavřené
kinnine	zavřeno
kinnine	uzavřený
kinnine	zavřené
federico	federico
lászló	lászló
kirjuta	psát
kirjuta	napište
kirjuta	napiš
kirjuta	pište
kirjuta	napsat
tüüringi	durynsko
täpsus	přesnost
täpsus	precizní
täpsus	přesnost
täpsus	správnost
täpsus	přesnost
täpsus	přesnosti
kombinatsioon	kombinaci
kombinatsioon	kombinace
christie	christie
üliõpilane	studentka
üliõpilane	žák
üliõpilane	studentská
üliõpilane	student
hapnikku	kyslík
hapnikku	kyslíku
vöö	pásek
vöö	pás
vöö	opasek
maalitud	namaloval
arizona	arizoně
arizona	arizona
arizona	arizony
komi	komi
segatud	smíšená
segatud	smíšené
segatud	smíšený
valley	údolí
juhani	juhani
armin	armin
tunnis	hodinové
tunnis	hodinová
tunnis	hodinový
mars	marsu
mars	mars
vennaskonna	bratrstva
vennaskonna	bratrství
vennaskonna	bratrstvo
väljuvad	odchozí
kõrgused	výšky
kõrgused	heights
kõrgused	výšek
lõigatud	řez
lõigatud	střih
põhjendatud	odůvodněné
põhjendatud	odůvodněné
põhjendatud	oprávněné
põhjendatud	oprávněná
põhjendatud	oprávněný
epitsenter	epicentra
samoa	samoa
seksuaalne	pohlavní
seksuaalne	sexuálně
seksuaalne	sexuální
juurdepääs	přístupu
juurdepääs	přístup
juurdepääs	zpřístupnění
juurdepääs	dostupnost
igavene	věčné
igavene	věčná
igavene	věčný
ootamatu	nečekané
ootamatu	neočekávané
ootamatu	nečekaný
bayern	bayern
rääkides	mluvení
madu	hada
madu	hadí
madu	had
madu	had
tükk	kousek
tükk	kus
tasakaal	rovnováha
tasakaal	zůstatku
tasakaal	vyvážení
tasakaal	rovnováhu
tasakaal	bilance
tasakaal	zůstatek
tasakaal	rovnováhy
tasakaal	rovnováha
mateeria	hmota
mateeria	hmoty
mateeria	hmotu
ühised	časté
ühised	společná
ühised	společné
olend	stvoření
olend	tvor
neutraalne	neutrální
inspiratsiooni	inspiraci
inspiratsiooni	inspirace
discovery	nález
discovery	objevování
discovery	objev
discovery	discovery
omavalitsused	obce
omavalitsused	obcí
petri	petri
sööt	krmení
sööt	krmivo
sööt	krmiva
sööt	nakrmit
sööt	návnada
sööt	návnady
sööt	návnadu
piero	piero
tüür	kormidlo
liitrit	litrů
liitrit	litry
liitrit	litr
mootorid	motors
mootorid	motory
mootorid	motory
läbipaistev	průsvitné
läbipaistev	průhledné
läbipaistev	průhledný
läbipaistev	transparentní
potentsiaali	potenciál
potentsiaali	potenciální
leslie	leslie
keiserlik	císařský
keiserlik	císařské
keiserlik	imperiální
keiserlik	imperial
lineaarne	lineární
illustratsioonid	ilustrace
traadita	bezdrátové
traadita	bezdrátový
muda	kalu
muda	kal
muda	bahno
muda	bahna
muda	bláto
mõõtmine	měřicí
mõõtmine	měření
mõõtmine	měření
mõõtmine	měření
krull	krull
lõhna	cítit
lõhna	vůně
lõhna	zápach
lõhna	čich
lõhna	parfém
lõhna	parfémy
lõhna	vůně
õnnetus	havárie
õnnetus	nehoda
õnnetus	úraz
suurused	velikosti
kommunismi	komunismus
kommunismi	komunismu
babüloonia	babylonské
semper	semper
tragöödia	tragédie
meeli	smyslů
meeli	smysly
eeldused	předpoklady
eeldused	předpoklady
eeldused	předpokladů
eeldused	domněnky
václav	václav
valdkond	domény
valdkond	oblasti
valdkond	oblast
valdkond	plocha
konkurentsi	soutěž
konkurentsi	soutěže
konkurentsi	konkurence
konkurentsi	soutěžní
vulgaris	vulgaris
vicente	vicente
liu	liou
liu	liu
johansson	johansson
jälgib	monitory
marge	marge
stein	stein
pen	tužka
pen	pen
pen	pero
arendab	vyvíjí
arendab	rozvíjí
ungarlased	maďaři
germain	germain
kommentaar	komentář
kommentaar	komentovat
kommentaar	komentáře
sean	sean
sean	seana
shanghai	šanghaji
armastaja	milenec
armastaja	milenka
armastaja	milence
armastaja	milovník
orange	oranžová
orange	pomeranč
orange	orange
orange	oranžový
orange	oranžové
sõnaraamat	slovník
tuld	oheň
tuld	požár
viimasena	poslední
viimasena	posledni
viimasena	naposledy
viimasena	naposled
ilmaliku	sekulární
odavam	nejlevnější
odavam	levnější
odavam	levněji
edge	hraně
edge	okraj
edge	edge
kiili	vážka
individuaalne	jednotlivec
individuaalne	individuální
individuaalne	jedinec
myspace	myspace
robot	robot
robot	robota
geneetiliselt	geneticky
pilv	oblak
pilv	mrak
pilv	cloud
autosid	aut
autosid	automobily
autosid	auta
litsents	licenci
litsents	licence
litsents	licence
kristlus	křesťanství
java	java
opel	opel
esinemise	výskyt
nero	nero
pakkumise	něžné
pakkumise	něžná
pakkumise	nabídka
säilitab	zachová
säilitab	zachovává
säilitab	zachovává
säilitab	udržuje
thorpe	thorpe
mir	mir
konsul	konzul
allavoolu	navazující
rõõm	potěšení
rõõm	rozkoš
rõõm	joy
rõõm	radosti
rõõm	radost
olümpia	olympijské
olümpia	olympic
olümpia	olympijský
dünaamiline	dynamika
dünaamiline	dynamický
dünaamiline	dynamická
dünaamiline	dynamické
owen	owena
owen	owen
järg	pokračování
jelizaveta	jelizaveta
seen	plíseň
seen	houba
thor	thor
agentuuri	agentura
sang	sang
sang	zpíval
sang	zpívala
terav	ostrý
terav	ostře
terav	ostré
terav	ostrá
foorum	fóru
foorum	fórum
foorum	fóra
foorum	forum
luuletus	báseň
õpetab	učí
väidetud	tvrdil
väidetud	tvrdili
väidetud	tvrdila
orto	orto
traditsioonilised	tradiční
sõnumid	zprávy
sõnumid	vzkazy
sõnumid	poselství
timothy	timothy
cat	cat
cat	kocka
cat	kočka
cat	kocour
kajastab	odráží
gnu	gnu
faktid	fakta
faktid	faktů
faktid	fakty
täpsed	přesné
täpsed	přesná
täpsed	přesný
pete	pete
pete	peta
diameeter	průměru
diameeter	průměr
gloria	glorie
gloria	glorii
gloria	gloria
kursused	kurzů
kursused	kurzy
suomen	suomen
constantin	constantin
horisontaalselt	vodorovně
suurenemine	navýšení
suurenemine	zvýšit
suurenemine	zvýšení
suurenemine	nárůst
triinu	ella
léon	léon
strauss	strauss
institutsioonid	instituce
romantiline	romantický
romantiline	romantika
romantiline	romantická
romantiline	romantik
romantiline	romantické
uhke	pyšný
uhke	hrdá
uhke	pyšná
uhke	hrdí
uhke	hrdý
kirjutades	psaní
haruldased	vzácný
haruldased	vzácné
haruldased	vzácná
vista	vista
kohvi	kávy
kohvi	kávu
kohvi	kafe
kohvi	káva
marianne	marianne
tegija	tvůrce
jeemeni	jemenu
jeemeni	jemenská
omar	omar
omar	omara
pinnas	hlína
pinnas	půdy
pinnas	půda
kodakondsus	národnosti
kodakondsus	občanství
ajavahemik	období
giulio	giulio
standardid	normy
standardid	standardy
standardid	norem
allveelaev	ponorky
allveelaev	ponorku
allveelaev	ponorka
albumid	alba
albumid	alb
pühendunud	oddaná
pühendunud	oddaný
pühendunud	oddaná
pühendunud	oddaný
pühendunud	spáchal
liigitada	klasifikovat
tasapisi	pomalu
romano	romano
resolutsioon	usnesení
resolutsioon	rozlišení
resolutsioon	rezoluce
andrzej	andrzej
philadelphia	philadelphie
philadelphia	filadelfie
philadelphia	philadelphii
oulu	oulu
mürgine	toxické
mürgine	toxická
mürgine	toxický
mürgine	jedovatý
mürgine	jedovaté
mürgine	jedovatý
mürgine	jedovatá
mürgine	jedovaté
tapmine	porážek
tapmine	porážka
tapmine	masakr
tapmine	jatka
tapmine	porážku
tapmine	zabíjení
tapmine	zabití
esa	emp
esa	esa
read	řad
read	řádky
read	řádků
read	tratě
read	řádky
read	linky
read	čáry
read	linie
michele	michele
kaksteist	twelve
kaksteist	dvanáct
histoloogia	histologie
ekspert	odborník
ekspert	odborná
ekspert	znalec
ekspert	expert
ökoloogiline	ekologické
ökoloogiline	ekologický
ökoloogiline	ekologická
sool	salt
sool	sůl
sool	soli
jung	jung
müük	prodeje
müük	prodej
müük	prodejní
müük	prodej
vähendamine	snižování
vähendamine	snížení
vähendamine	redukce
vähendamine	zmenšení
smithi	smithe
smithi	smith
smithi	smithová
smart	chytrá
smart	chytré
smart	smart
smart	chytrý
viljakas	plodná
viljakas	plodný
viljakas	plodné
hell	jemný
kokkupõrge	vliv
kokkupõrge	náraz
kokkupõrge	nárazu
kokkupõrge	dopad
kokkupõrge	srážky
kokkupõrge	kolize
kokkupõrge	srážka
paber	papíru
paber	papírové
paber	papír
alasti	nazí
alasti	nahý
alasti	nahé
alasti	nahá
alasti	nahý
alasti	nahé
alasti	nahá
sammas	sloupek
sammas	sloupec
sammas	sloupci
sammas	sloupce
sammas	sloup
sammas	pilíře
sammas	sloup
sammas	pilíř
maatriks	matrice
maatriks	matice
maatriks	matrix
neljandaks	čtvrtý
neljandaks	čtvrté
neljandaks	čtvrtá
parameeter	parametr
žanr	žánr
stella	stella
oskuste	dovednost
oskuste	dovednosti
edutult	neúspěšně
otsustanud	rozhodnuto
otsustanud	rozhodl
otsustanud	rozhodli
otsustanud	rozhodla
sinised	blue
sinised	modrý
sinised	modré
sinised	modrá
sinised	modře
schultz	schultz
lapselaps	vnučku
lapselaps	vnučka
lapselaps	vnuka
lapselaps	vnuk
wales	wales
wales	walesu
elbe	labem
elbe	labe
kogemata	omylem
kogemata	náhodně
kogemata	náhodou
uuem	novější
hani	husa
hani	husí
hani	hani
hani	hana
hani	han
rex	rex
territoriaalne	teritoriální
territoriaalne	územní
jeffersoni	jefferson
bengali	bengálského
harrison	harrisona
harrison	harrison
maia	maia
mehaanilise	mechanicky
ümbritsev	okolní
chicagos	chicaga
chicagos	chicagu
chicagos	chicago
turba	rašelina
hävitatud	zničeno
hävitatud	zničen
hävitatud	zničena
hävitatud	vyhlazeni
karistuse	potrestání
karistuse	trest
liigitus	třídění
liigitus	klasifikaci
liigitus	zařazení
liigitus	klasifikace
hävitamine	zničit
hävitamine	ničit
hävitamine	zkáza
hävitamine	zničení
hävitamine	ničení
hävitamine	destrukce
korrus	patře
korrus	podlaha
korrus	poschodí
korrus	podlaží
korrus	patro
beach	pláži
beach	pláže
beach	pláž
õiglane	spravedlivý
õiglane	fér
õiglane	spravedlivý
õiglane	férové
õiglane	spravedlivé
õiglane	veletrh
pööre	zvrat
pööre	otočit
pööre	proměnit
sõitja	cestující
sõitja	pasažér
sõitja	nájemník
astrofüüsik	astrofyzik
kuru	projít
kuru	přihrávka
kuru	průsmyk
kuru	pass
kliendi	zákaznice
kliendi	zákazník
kliendi	klienta
kliendi	zákazník
kliendi	klient
katoliiklased	katolíci
pidulik	slavnostní
võrreldav	srovnatelnou
võrreldav	srovnatelný
võrreldav	srovnatelná
võrreldav	srovnatelné
phillips	phillips
kaas	víko
kaas	víčko
lennata	létat
lennata	moucha
lennata	leť
lõpetatud	úplná
lõpetatud	dokončit
lõpetatud	dokončeno
lõpetatud	kompletní
lõpetatud	dokončeno
lõpetatud	ukončeno
lõpetatud	dokončené
lõpetatud	dokončen
lõpetatud	dokončena
lõpetatud	dokončeno
lõpetatud	dokončené
lõpetatud	skončil
lõpetatud	hotovo
alumiiniumi	hliník
yves	yves
ted	ted
kümmekond	tucet
abt	opat
möödub	míjí
möödub	projde
tõlked	překlady
tõlked	překladů
camille	camille
claus	claus
meeldis	milovaná
meeldis	milován
meeldis	miloval
meeldis	milovala
meeldis	líbilo
liides	rozhraní
toll	palec
toll	mýtného
toll	mýtné
toll	celní
tammeka	dub
tammeka	oak
tammeka	dubu
kaaslased	společnice
kaaslased	společníky
kaaslased	společníci
cook	cook
cook	vařit
cook	kuchař
cook	kuchařka
stressi	stres
stressi	stresu
varad	aktiva
amy	amy
kive	kamenů
kive	kamení
kive	kameny
kive	kamení
kive	kameny
kive	skal
kive	skály
zürichi	curychu
brüssel	bruselu
brüssel	brusel
kaltsiumi	vápník
kaltsiumi	vápenatý
kaltsiumi	vápníku
gonzález	gonzález
sigmund	sigmund
berni	berne
suurendatud	zvýšený
suurendatud	zvýšená
suurendatud	zvýšení
suurendatud	zvýšené
laienenud	rozšířené
laienenud	rozšířené
töölised	pracovníky
töölised	pracovníci
töölised	dělníci
flash	blesk
flash	flash
flash	záblesk
göteborgi	göteborgu
projektid	projektů
projektid	projekty
june	červen
june	června
gérard	gérard
konsooli	konzole
siena	siena
verner	verner
verona	verona
singapuri	singapuru
singapuri	singapur
rühmitus	uskupení
rühmitus	seskupení
käsitöö	řemesla
käsitöö	plavidlo
käsitöö	řemeslo
käsitöö	plavidla
käsitöö	řemesla
religioosne	náboženský
religioosne	náboženská
religioosne	náboženské
muljet	dojem
muljet	zapůsobit
vincenzo	vincenzo
ülekanne	převodovka
ülekanne	vysílání
ülekanne	předávání
ülekanne	přenos
ülekanne	předání
ülekanne	transfer
ülekanne	přesun
ülekanne	převod
ülekanne	přenos
ülekanne	převést
ülekanne	vysílání
ülekanne	vysílat
mõjud	dopady
mõjud	efekty
mõjud	účinky
mõjud	vlivy
arvud	čísla
määr	sazba
määr	míra
opositsioon	opozice
opositsioon	nesouhlas
opositsioon	odpor
irene	irena
irene	irene
leidmine	nález
leidmine	nalezení
üheksas	devátý
üheksas	devátá
üheksas	deváté
fourier	fourier
mošee	mešity
benito	benito
valentina	valentina
valentina	valentino
mõistab	chápe
mõistab	rozumí
revolutsiooniline	revoluční
astuuria	asturie
mitmekesine	rozmanité
mitmekesine	různorodé
joonia	jónské
tervishoid	zdraví
tervishoid	zdravotnictví
tervishoid	zdravotní
bauer	bauer
pidulikult	slavnostně
näita	ukázat
näita	zobrazit
näita	představení
näita	show
budism	buddhismus
koguma	sbírat
koguma	shromažďovat
laenatud	vypůjčil
laenatud	půjčil
tunnistama	uznat
ruumiline	prostorových
ruumiline	prostorové
magma	magma
raudteede	železnice
raudteede	železnic
sektor	sektor
sektor	odvětví
sektor	sektoru
enterprise	podnik
enterprise	podnikání
enterprise	enterprise
keskmised	středně
keskmised	střední
keskmised	médium
keskmised	průměry
joone	čára
joone	řádek
joone	linka
joone	linie
sõnum	zpráva
sõnum	poselství
sõnum	zprávu
sõnum	vzkaz
tiigid	rybníky
beethoven	beethoven
arenema	vyvíjet
arenema	vyvinout
teadis	věděl
teadis	věděla
cura	cura
città	città
augusta	augusta
bio	bio
biokeemia	biochemie
nielsen	nielsen
fra	fra
jános	jános
hobused	koně
hobused	koní
rongi	vlakem
rongi	vláček
rongi	vlak
rongi	vlaku
rikkus	bohatství
rikkus	bohatství
rikkus	zničeno
rikkus	zničil
rikkus	zničené
etendus	ukázat
etendus	zobrazit
etendus	představení
etendus	show
marshalli	marshall
marshalli	maršál
marshalli	marshalla
kvalifikatsioon	kvalifikace
kvalifikatsioon	kvalifikace
kvalifikatsioon	kvalifikaci
koondatud	souhrnné
intensiivsus	intenzita
intensiivsus	intenzitu
intensiivsus	intenzity
marss	marsu
marss	mars
springer	springer
teave	informace
teave	informování
signaale	signály
signaale	signálů
ridades	řadách
ridades	hodnosti
kõrgele	vysoko
kõrgele	vysoký
kõrgele	vysoké
kõrgele	vysoká
dakota	dakota
rey	rey
dresdeni	dresden
katastroofi	pohroma
katastroofi	neštěstí
katastroofi	katastrofa
muusikal	muzikál
muusikal	hudební
nigeri	niger
satelliit	družice
satelliit	satelitní
satelliit	satelit
rick	rick
rick	ricka
poom	boom
poom	bum
astronaut	astronaut
unenägu	snít
unenägu	sen
unenägu	dream
suundumused	trendy
suundumused	tendence
herakles	herkules
herakles	hercule
aspekte	hlediska
aspekte	aspekty
vastastikku	vzájemně
mässulised	povstalci
andersen	andersen
firmad	korporace
firmad	firmy
firmad	firem
firmad	společnosti
firmad	firmy
michelangelo	michelangelo
võti	klíče
võti	klíčové
võti	klíčová
võti	klíč
kliiniline	klinický
kliiniline	klinická
kliiniline	klinické
väljatöötamine	vypracování
väljatöötamine	rozvojových
väljatöötamine	rozvíjení
välised	externí
välised	externích
välised	vnější
välised	vnější
võõras	cizinec
tuttav	známý
tuttav	známá
tuttav	známost
madalamad	níže
madalamad	níž
madalamad	dolní
madalamad	nižší
madalamad	spodní
baltimore	baltimoru
baltimore	baltimore
päevik	deník
päevik	journal
päevik	věstníku
päevik	deník
päevik	diář
platvorm	plošina
platvorm	nástupiště
platvorm	platforma
platvorm	platformy
platvorm	platformu
paradigma	paradigmatu
nähtavad	viditelný
nähtavad	viditelná
nähtavad	viditelné
emilia	emilia
metallica	metallica
pidu	párty
pidu	večírek
pidu	strana
pidu	party
meeleolu	náladu
meeleolu	nálada
meeleolu	nálady
alternatiiv	alternativa
alternatiiv	alternativní
alternatiiv	náhradník
alternatiiv	alternativní
hiv	hiv
tarn	tarn
disainitud	navrženo
disainitud	navržený
disainitud	konstruované
disainitud	navrhl
disainitud	navržené
geneetika	genetika
gov	gov
adolph	adolf
täitnud	splněno
ingel	anděli
ingel	andílek
ingel	angel
ingel	anděl
kohane	vhodný
kohane	vhodná
kohane	vhodné
enrico	enrico
vangistatud	uvězněn
vangistatud	uvězněné
vangistatud	uvězněný
vangistatud	uvězněni
vangistatud	zajat
vangistatud	chycen
vangistatud	zajali
vaatas	sledoval
rev	rev
akna	okénko
akna	okno
maximus	maximus
maximus	maxima
maximus	maxime
meelega	záměrně
meelega	úmyslně
samsung	samsung
clemente	clemente
variandid	varianty
variandid	variant
hüüdnime	přezdívku
hüüdnime	přezdívky
hüüdnime	přezdívka
pühak	svatý
pühak	světec
pühak	svatá
pühak	saint
craig	craig
honda	honda
florence	florence
florence	florencie
reporter	reportér
reporter	reportérka
reporter	novinář
geoloogiline	geologická
geoloogiline	geologické
hampshire	hampshire
jutud	příběhy
atmosfäär	atmosféru
atmosfäär	ovzduší
atmosfäär	atmosféry
atmosfäär	atmosféra
lahinguid	bitev
lahinguid	bitvy
sissetulek	příjmy
sissetulek	výnosy
sissetulek	příjem
ületanud	překročení
ületanud	překročena
lame	plochý
lame	byt
lame	ploché
lame	plochá
elena	elena
loata	neoprávněné
loata	neoprávněnému
loata	neoprávněné
brand	značky
brand	značka
augustin	augustin
võrgus	online
kasutamata	nevyužité
hunter	hunter
hunter	lovec
nõutud	požadovaná
nõutud	požadováno
nõutud	požadované
nõutud	požadována
nõutud	požadované
nõutud	požadováno
nõutud	vyžadováno
moodul	modul
han	hana
han	han
chapelle	chapelle
täide	vši
mungad	mniši
mungad	mnichy
mungad	mnichů
sauna	sauny
sauna	sauna
ameeriklane	američan
ameeriklane	american
ameeriklane	americká
ameeriklane	americké
ameeriklane	americký
hinnad	ceny
hinnad	cen
hinnad	ceník
diktaator	diktátora
diktaator	diktátor
meta	meta
lane	lane
lane	pruh
armastatud	milovaná
armastatud	milovaný
armastatud	milované
eesistuja	předsedkyně
eesistuja	předseda
ragnar	ragnar
canterbury	canterbury
kulu	nákladů
kulu	cena
kulu	náklady
ettepanekuid	návrhy
ettepanekuid	návrhů
tagajärg	důsledek
tagajärg	následek
julge	odvážné
julge	odvážná
julge	smělý
julge	odvážný
julge	odvážné
julge	odvážný
julge	odvážné
tasane	plochý
tasane	byt
tasane	ploché
tasane	plochá
mune	vejce
mune	vajec
mune	vajíčka
mõjuvõimu	zmocnění
konkreetsete	specifické
konkreetsete	specifická
konkreetsete	konkrétní
konkreetsete	specifický
olli	olli
voyager	voyager
voyager	voyageru
jõulud	vánoce
jõulud	vánoční
plus	plus
plus	navíc
baltica	baltica
nõbu	sestřenice
nõbu	bratranec
klaviatuuri	klávesnice
klaviatuuri	klávesnici
klaviatuuri	klávesy
ökosüsteemi	ekosystému
ökosüsteemi	ekosystém
aurora	aurora
kirgiisi	kyrgyzské
stanislav	stanislav
spencer	spencer
spencer	spencera
kõneleja	řečník
kõneleja	mluvčí
terminoloogia	terminologie
nokk	zobák
hirv	jelení
hirv	jelen
hirv	jelena
jefferson	jefferson
tunnel	tunel
mahajäetud	opuštěné
mahajäetud	opuštěná
mahajäetud	opustil
mahajäetud	opuštěný
kiired	paprsky
bagdadi	bagdádu
leib	pečivo
leib	chleba
leib	chléb
lendavad	létání
lendavad	létající
lendavad	lítání
isabel	isabel
edvard	edvard
secret	tajný
secret	tajná
secret	tajemství
secret	tajné
laagris	kemp
laagris	camp
laagris	tábor
snake	hada
snake	hadí
snake	had
avaldus	prohlášení
avaldus	výkaz
väiksemaks	menší
kontor	kancelář
kontor	kanceláře
kontor	úřad
kontor	office
oskus	mistrovství
oskus	dovednost
oskus	dovednosti
emily	emily
aldo	aldo
väljendus	výraz
väljendus	vyjádření
kattis	pokryté
kattis	krytý
kattis	kryté
kattis	pokrytý
kahur	dělo
kahur	kanón
kahur	děla
esitus	prezentaci
esitus	prezentace
esitus	výkony
paas	půst
tervist	zdraví
tervist	zdravotnictví
tervist	zdravotní
toodang	produkce
toodang	výroby
toodang	výroba
dante	dante
bordeaux	bordeaux
nuku	panenka
stsenaarium	scénář
õigustada	zdůvodnit
õigustada	odůvodnit
õigustada	ospravedlnit
kaar	arku
kaar	oblouk
kaar	arch
kaar	oblouk
skp	hdp
autod	aut
autod	automobily
autod	auta
oranž	oranžová
oranž	pomeranč
oranž	orange
oranž	oranžový
oranž	oranžové
ideaalne	dokonalá
ideaalne	perfektní
ideaalne	dokonalý
ideaalne	ideál
ideaalne	ideální
leedulased	litevci
ani	ani
serv	hraně
serv	okraj
serv	edge
muster	vzor
muster	vzorec
castle	zámek
castle	castle
castle	hrad
identiteet	identitu
identiteet	totožnost
identiteet	identity
identiteet	identita
zhang	zhang
geoffrey	geoffrey
zhou	zhou
zhou	čou
rõivas	oděv
par	par
ainulaadne	jedinečný
ainulaadne	unikátní
ainulaadne	jedinečná
ainulaadne	jedinečné
algataja	původce
algataja	původcem
algataja	iniciátorem
sissetung	invaze
sissetung	vniknutí
vastuluure	kontrarozvědky
avastamise	zjišťování
avastamise	odhalování
avastamise	zjištění
avastamise	detekce
altari	oltář
altari	oltáři
altari	oltáře
mona	mono
mona	mona
grey	šedá
grey	grey
grey	šedé
grey	greyová
grey	šedý
grey	šedivý
teresa	teresa
teresa	tereza
luca	luca
oskused	dovednosti
oskused	dovednost
oskused	dovednosti
solomon	solomon
intervall	interval
oklahoma	oklahoma
leopard	leopard
osaka	osace
kusagil	nekde
kusagil	někam
kusagil	někde
vastused	odpovědi
vastused	reakce
vastused	odezvy
vastused	odpovědi
vastused	odpovědi
vastused	odpovědí
tundeid	pocity
tundeid	city
tundeid	pocitů
hannah	hannah
hannah	hana
trotski	trockij
esitamine	předkládání
esitamine	předložení
esitamine	podání
järjekord	fronta
järjekord	fronty
järjekord	frontu
järjekord	pořádek
järjekord	řád
järjekord	pořadí
järjekord	objednávka
järjekord	objednat
geneetik	genetik
motoriseeritud	motorizované
franklini	franklin
karistus	sankce
karistus	trest
karistus	potrestání
karistus	trest
montgomery	montgomery
eripära	specifika
kuulnud	slyšel
aspekt	hledisko
aspekt	aspekt
benedict	benedict
filter	filtru
filter	filtr
lindi	kazeta
lindi	pásku
lindi	páska
lindi	pásky
terje	terje
milton	milton
vinci	vinci
pol	pol
pan	pánev
pan	pan
reguleeritud	regulované
lendu	letu
lendu	letová
lendu	let
augsburgi	augsburg
stephan	stephan
abstraktne	abstraktní
plaanitud	plánované
plaanitud	plánováno
plaanitud	plánovaný
plaanitud	naplánované
plaanitud	plánovaná
valle	valle
puudused	závady
puudused	nedostatky
puudused	nedostatky
puudused	slabiny
puudused	nedostatky
todd	todd
olympic	olympijské
olympic	olympic
olympic	olympijský
wilde	wilde
leiba	pečivo
leiba	chleba
leiba	chléb
kontserdid	koncertů
kontserdid	koncerty
newcastle	newcastle
õpetlane	učenec
volinik	komisař
volinik	komisaře
volinik	komisaři
pioneer	pioneer
ravenna	ravenna
tapab	zabije
tapab	zabíjí
arendus	rozvoj
arendus	vývoj
raskused	obtíže
raskused	obtížích
raskused	obtíž
raskused	obtížné
raskused	potíže
raskused	potíže
raskused	obtíže
sotsialismi	socialismus
grupid	skupinky
grupid	skupin
grupid	skupiny
nael	hřebík
nürnbergi	norimberku
eraldunud	oddělená
eraldunud	oddělit
veerand	čtvrtletí
veerand	čtvrtina
püssi	pušku
püssi	puška
irl	irl
konstrueeritud	konstruováno
