dhe	e
nëntor	novembre
janar	gennaio
thotë	dice
shtator	settembre
vet	suo
vet	his
brenda	brenda
brenda	dentro
brenda	inside
shteteve	stati
kryesisht	principalmente
kryesisht	soprattutto
kryesisht	principalmente
kryesisht	soprattutto
shqiptarë	albanesi
prill	april
prill	aprile
ditë	giornata
ditë	giorno
ditë	giorni
ditë	giornate
ditë	days
tetor	ottobre
shkurt	febbraio
shkurt	corti
shkurt	short
shkurt	corto
shkurt	breve
bëhet	diventano
bëhet	divenire
bëhet	diventa
bëhet	diventare
bëhet	diventa
bëhet	diviene
vjetër	antico
vjetër	old
vjetër	vecchi
vjetër	vecchio
vjetër	vecchia
bën	fa
bën	rende
kodi	codice
monark	monarca
dhjetor	dicembre
dhjetor	decimale
dhjetor	decimali
mbret	re
mbret	king
aktuale	attuali
aktuale	correnti
aktuale	attuale
aktuale	corrente
gjuhën	linguaggio
gjuhën	lingua
tani	adesso
tani	ora
frëngjisht	francesi
frëngjisht	francese
km²	km²
shtetet	stati
shtetet	paesi
informacion	informazioni
informacion	informazione
shume	molto
shume	molto
shume	much
gusht	august
gusht	agosto
shba	usa
pranë	vicino
top	top
korrik	luglio
katër	four
katër	quattro
rëndësishme	importante
rëndësishme	importanti
fillim	inizio
prishtinë	pristina
jashtë	fuori
jashtë	esterno
jashtë	fuori
jashtë	out
përbërja	composizione
shën	santa
qytet	città
qytet	città
këtu	qui
këtu	here
dhënë	dato
dhënë	concessi
dhënë	concesse
dhënë	accordato
përdorur	utilizzata
përdorur	utilizzato
përdorur	usata
përdorur	usato
përdorur	usati
faqja	pagine
faqja	pagina
faqja	page
aty	lì
aty	là
nëpër	attraverso
nëpër	through
krijuar	creato
krijuar	create
krijuar	creati
krijuar	creata
del	del
zona	zona
zona	zone
zona	zona
zona	area
këshilltarëve	consiglieri
vit	anno
shpesh	spesso
shpesh	frequente
shpesh	frequentemente
shpesh	spesso
shpesh	sovente
përfshirë	coinvolta
përfshirë	coinvolto
përfshirë	coinvolti
përfshirë	compreso
përfshirë	inclusi
përfshirë	incluso
përfshirë	inclusa
përfshirë	incluse
megjithatë	tuttavia
data	data
kryesor	principali
kryesor	main
kryesor	principale
kryesor	primario
kryesor	primarie
kryesor	primari
kryesor	primaria
emri	denominazione
emri	nome
jane	jane
new	novità
new	nuovi
new	nuovo
new	nuove
new	nuova
isbn	isbn
zakonisht	soliti
zakonisht	usuale
zakonisht	solito
reja	novità
reja	nuovi
reja	nuovo
reja	nuove
reja	nuova
federal	federal
federal	federale
federal	federali
qarkun	contea
qendër	centra
qendër	centro
qendër	centro
ana	ana
ana	anna
republika	repubblica
iii	ill
iii	iii
provinca	provincia
der	der
fjalë	word
fjalë	parola
fjalë	parole
fjalë	words
ndodhet	localizzato
amerikan	americano
amerikan	american
amerikan	americana
amerikan	americani
osmane	ottomana
osmane	ottomano
pjesa	part
pjesa	parte
ndonjë	qualsiasi
ndonjë	qualunque
caps	tappi
caps	berretti
gjë	thing
ali	allie
ali	alì
ali	ali
shkruar	scritti
shkruar	scritta
shkruar	scritte
shkruar	scritto
kulturore	culturale
mesme	middle
mesme	medio
mesme	media
mesme	medium
mesme	medio
shqip	albanese
numër	numero
atëherë	allora
atëherë	poi
mjaft	abbastanza
bazë	base
bazë	basic
kohe	tempo
kohe	time
ndërtuar	costruite
ndërtuar	costruito
ndërtuar	costruita
ndërtuar	costruiti
ndërtuar	costruisci
ndërtuar	corporatura
ndërtuar	build
ndërtuar	costruire
nëpërmjet	via
nëpërmjet	attraverso
nëpërmjet	through
solid	solidi
solid	solida
solid	solido
fshati	village
fshati	villaggio
vite	anni
forcat	forze
vdiq	morì
sipërfaqja	hull
sipërfaqja	scafo
jug	sud
jug	south
atyre	loro
lidhur	connesso
lidhur	collegati
lidhur	collegato
lidhur	connessa
lidhur	collegati
lidhur	collegato
lidhur	legato
lidhur	pareggiato
lidhur	legata
ushtarake	militari
ushtarake	esercito
ushtarake	militare
veri	north
veri	nord
papa	papa
papa	pope
popullore	popolare
popullore	popolari
numri	numero
atij	lui
përveç	eccetto
përveç	tranne
vepra	opera
vepra	opus
vepra	gesta
vepra	funziona
vepra	opere
vepra	works
asaj	her
vërtetë	real
vërtetë	reali
vërtetë	reale
vërtetë	veri
vërtetë	veramente
vërtetë	davvero
përmes	via
përmes	attraverso
përmes	through
përdoret	utilizzata
përdoret	utilizzato
përdoret	usata
përdoret	usato
përdoret	usati
dha	dato
arriti	arrivato
arriti	arrivati
arriti	arrivata
botë	mondo
botë	world
spanjë	spagna
ndërkombëtare	internazionali
ndërkombëtare	internazionale
ndërkombëtare	international
shqipëria	albania
sidomos	sopratutto
sidomos	soprattutto
sidomos	specialmente
tretë	terzo
tretë	terza
veriore	northern
veriore	settentrionale
merr	prendi
merr	prendere
merr	prendete
merr	ottenere
merr	ottieni
merr	ricevi
formë	forma
formë	forma
formë	modulo
formë	form
kisha	chiese
kisha	kisha
kisha	chiesa
veçantë	speciali
veçantë	special
veçantë	speciale
shteti	nazione
shteti	paese
shteti	stato
vende	luoghi
vende	posti
vende	sedili
vende	seggi
ndeshje	corrispondenza
ndeshje	match
ndeshje	fiammifero
njerëzit	gente
njerëzit	persone
ende	still
ende	ancora
maqedonisë	macedonia
shënoi	segnato
shënoi	segnato
shënoi	segnati
shënoi	segnate
shënoi	marcato
shënoi	contrassegnati
shënoi	contrassegnato
fitoi	vinto
fitoi	won
fitoi	vinti
vendi	nazione
vendi	paese
vendi	posto
vendi	luogo
vendi	place
http	http
faqe	guancia
faqe	chiappa
faqe	guance
faqe	pagine
faqe	pagina
faqe	page
faqe	pagine
jeta	vita
jeta	life
popullsia	popolazione
shqiptarët	albanesi
kryetar	altoparlante
kryetar	speaker
kryetar	oratore
kryetar	sindaco
kryetar	presidente
luajtur	suonato
luajtur	giocato
luajtur	giocata
luajtur	giocati
shtëpi	casa
shtëpi	home
shtëpi	casa
gjuhë	lingue
gjuhë	linguaggio
gjuhë	lingua
historike	storico
historike	storiche
historike	storica
historike	storici
historike	storico
historike	storiche
historike	storica
fetare	religiosa
fetare	religioso
fetare	religiosi
perëndimore	occidentale
perëndimore	west
perëndimore	ovest
perëndimore	occidente
perëndimore	occidentale
perëndimore	occidentali
perëndimore	western
tri	tri
tri	tre
tri	three
shembull	esempio
saint	santa
asnjë	nessuna
asnjë	nessuno
plotë	piena
plotë	full
plotë	pieno
rajoni	regione
rajoni	distretto
shqiptarëve	albanesi
shkolla	scuole
shkolla	scuola
afër	vicino
afër	chiudi
afër	chiudete
then	fail
then	fallire
drejt	etero
drejt	dritto
drejt	straight
drejt	verso
lindje	orientale
lindje	east
lindje	est
lindje	oriente
historia	storia
historia	storia
film	film
film	pellicola
film	pellicole
film	film
figura	immagine
figura	cifre
figura	figure
figura	figura
zoti	god
zoti	dio
zoti	lord
zoti	signore
kosova	kosova
kosova	kosovo
gjuha	linguaggio
gjuha	lingua
studimet	studi
familje	familiari
familje	family
familje	famiglia
familje	familiare
duket	sembra
duket	sembra
duket	sguardi
tha	detto
tha	said
fillon	comincia
fillon	inizia
fillon	comincia
fillon	inizia
anë	laterale
anë	lato
anë	side
gjerë	wide
gjerë	larghi
gjerë	ampia
greke	greco
greke	greca
greke	greci
qëllim	scopo
city	città
tempulli	tempio
kane	kane
von	von
lufta	guerra
rast	caso
vjen	viene
vjen	arriva
vjen	arrivo
vjen	coming
grupi	band
grupi	banda
grupi	gruppo
pare	visto
itali	italy
itali	italia
arritur	raggiunta
arritur	raggiunti
arritur	raggiunta
arritur	raggiunto
arritur	raggiunte
shumica	maggioranza
rëndësishëm	strumentali
rëndësishëm	strumentale
svg	svg
shkencore	scientifico
shkencore	scientifica
autor	autrice
autor	autore
përpara	inoltra
përpara	forward
përpara	avanti
përpara	prima
përpara	before
punës	travaglio
tregon	indica
tregon	spettacoli
njerëz	gente
njerëz	persone
jugore	meridionale
jugore	sud
jugore	southern
jugore	meridionali
botuar	pubblicato
botuar	pubblicate
botuar	pubblicata
botuar	pubblicati
pesë	five
pesë	cinque
anëtar	membro
prandaj	pertanto
lloji	gentili
lloji	gentile
lloji	digita
lloji	type
emër	denominazione
emër	nome
ibn	ibn
grup	gruppo
mali	montagna
mali	monte
mali	montare
mali	monta
mali	mali
zhvillimin	sviluppo
und	und
john	gianni
john	giovanni
john	john
vendet	sedili
vendet	seggi
vendet	luoghi
vendet	posti
vendet	paesi
poshtë	down
poshtë	giù
poshtë	sotto
poshtë	bottom
fjala	word
fjala	parola
qendrore	central
qendrore	centrale
jep	dona
jep	dà
jep	sovvenzioni
jep	fornisce
jep	dare
wikipedia	wikipedia
bashkë	insieme
bashkë	together
hershme	early
hershme	presto
jugut	sud
jugut	south
lindore	orientale
lindore	orientali
lindore	eastern
përfshinë	compreso
përfshinë	inclusi
përfshinë	incluso
përfshinë	inclusa
përfshinë	incluse
italia	italy
italia	italia
qarqet	circoli
qarqet	cerchi
qarqet	circuiti
qarqet	distretti
qarqet	quartieri
punë	giobbe
punë	lavoro
punë	job
punë	lavoro
punë	lavorare
punë	lavori
punë	lavora
hapur	aprite
hapur	apri
hapur	aprire
hapur	aperto
hapur	open
hapur	aperti
hapur	sbloccato
njihet	conosciuto
njihet	conosciuta
njihet	noto
njihet	noti
qendra	centra
qendra	centro
qendra	centro
libri	prenota
libri	libro
romake	roman
romake	romana
romake	romano
romake	romani
shquar	distinti
shquar	distinguersi
shquar	illustri
shquar	distinto
caktuar	assegnati
caktuar	assegnata
caktuar	assegnate
caktuar	assegnato
administrative	amministrativo
pati	patty
pati	patti
burimi	fonte
burimi	sorgente
burimi	risorsa
sistemi	sistema
politik	politico
fushë	field
fushë	campo
shtëpia	home
shtëpia	casa
shtëpia	casa
kete	this
kete	questo
kete	questa
ora	tempo
ora	time
ora	orologio
gola	obiettivi
gola	gol
gola	obbiettivi
serbe	serbo
serbe	serbi
serbe	serba
serbe	serbo
serbe	serbi
detit	mare
detit	sea
burim	fonte
burim	sorgente
njeri	umane
njeri	umano
njeri	umani
njeri	human
njeri	umana
njeri	uomo
njeri	man
not	nuoto
not	nuotare
faqet	pagine
faqet	guance
ate	lui
lirë	economici
lirë	economico
lirë	libera
lirë	gratis
lirë	liberi
lirë	libero
lirë	free
lirë	gratuito
bardhë	bianca
bardhë	white
bardhë	bianchi
bardhë	bianco
bardhë	bianche
komuniste	comunisti
komuniste	comunista
gjermane	tedeschi
gjermane	tedesco
ujë	acqua
zhvilluar	sviluppati
zhvilluar	sviluppata
zhvilluar	sviluppate
zhvilluar	sviluppato
rrethi	cerchio
rrethi	circle
rrethi	circolo
koha	tempo
koha	time
letrare	letterari
letrare	letterario
letrare	letteraria
tokë	earth
tokë	terra
tokë	land
tokë	terreni
tokë	terre
tokë	terra
histori	storia
histori	storia
kreu	testa
kreu	head
kreu	testina
njeriu	uomo
njeriu	man
gjendje	situazione
gjendje	condizione
gjendje	condizioni
amerikane	americano
amerikane	american
amerikane	americana
amerikane	americani
krye	top
tirana	tirana
veprat	gesta
vendos	imposta
vendos	set
vendos	impostare
vendos	decidete
vendos	decidi
vendos	decidere
vendos	decide
vendos	decidono
mbajtur	tenuta
mbajtur	detenuto
mbajtur	mantenuta
mbajtur	mantenuto
mbajtur	mantenuti
mbajtur	tenuto
com	com
madje	even
madje	perfino
madje	persino
madje	anche
colspan	colspan
përfshin	comprende
përfshin	include
përfshin	coinvolge
përfshin	comporta
george	giorgio
elektrike	elettrico
elektrike	elettrica
elektrike	elettrici
elektrike	elettrico
elektrike	electric
elektrike	elettrica
luftë	guerra
arsye	motivi
arsye	ragioni
arsye	ragione
arsye	motivo
punuar	lavorato
punuar	lavorate
punuar	lavorati
punuar	lavorare
perëndim	occidentale
perëndim	west
perëndim	ovest
perëndim	occidente
fëmijë	ragazzi
fëmijë	bambini
fëmijë	bambino
fëmijë	fanciullo
fëmijë	bambina
fëmijë	bimbi
fëmijë	figli
fëmijë	bambini
malit	montagna
qarku	contea
qarku	circuiti
qarku	circuito
autori	autrice
autori	autore
mira	mira
mira	meera
verore	estate
ushtarak	militari
ushtarak	esercito
ushtarak	militare
ushtarak	marziali
ushtarak	marziale
san	san
përsëri	again
përsëri	ancora
vendbanim	residenza
familja	familiari
familja	family
familja	famiglia
familja	familiare
larg	lontano
larg	away
larg	via
shkodër	scutari
princi	principe
princi	prince
kaluar	passati
kaluar	passato
kaluar	superato
pikë	punti
pikë	point
pikë	punto
qeveria	governo
nobel	nobel
shkencave	scienze
rolin	ruolo
jugosllave	iugoslava
mal	montagna
mal	mal
vetem	alone
vetem	solo
vetem	only
vetem	soltanto
vetem	solo
vetem	just
drejtë	etero
drejtë	dritto
drejtë	straight
drejtë	destro
drejtë	right
drejtë	giusto
drejtë	destra
aktor	attore
aktor	attori
italian	italiani
italian	italiana
italian	italiano
skeda	scheda
skeda	tab
luajti	suonato
luajti	giocato
luajti	giocata
luajti	giocati
gjashtë	six
gjashtë	sei
universiteti	università
gjetur	trovata
gjetur	trovati
gjetur	trovato
radio	radio
yes	si
yes	sì
formuar	formata
mbretëresha	regina
mbretëresha	queen
italiane	italiani
italiane	italiana
italiane	italiano
bazuar	based
bazuar	basato
përshkrimi	descrizione
rrugë	street
rrugë	strada
rrugë	strada
rrugë	road
gjerman	tedeschi
gjerman	tedesco
lashtë	antico
lashtë	antiche
lashtë	antichi
lashtë	antica
perandoria	impero
perandoria	empire
poezi	poema
poezi	poesia
poezi	poesie
poezi	poesia
drejtim	direzione
luan	luan
luan	lion
luan	leone
luan	giocare
artistike	artistico
artistike	artistiche
artistike	artistici
artistike	artistica
mundur	possibili
mundur	possibile
mundur	sconfitto
mundur	sconfitti
mundur	sconfitta
atje	lì
atje	là
brendshme	interior
brendshme	interiore
brendshme	interni
brendshme	interno
dita	giornata
dita	giorno
shpejt	presto
shpejt	veloci
shpejt	fast
shpejt	veloce
shpejt	rapido
shpejt	velocemente
shpejt	rapidamente
shpejt	veloce
shpejt	quick
shpejt	veloci
shpejt	rapido
shpejt	veloce
natyrore	naturali
natyrore	natural
natyrore	naturale
veriut	north
veriut	nord
veriut	northern
veriut	settentrionale
ndryshe	differenti
ndryshe	differente
ndryshe	diverse
ndryshe	diversa
ndryshe	diverso
ndryshe	diversi
ndryshe	altrimenti
ara	coltivazioni
ara	colture
ara	ara
perandori	impero
perandori	empire
perandori	imperatori
perandori	imperatore
kush	chi
kush	who
fusha	campi
fusha	field
fusha	campo
fusha	aree
anglisht	inglese
anglisht	inglesi
anglisht	english
forma	forme
forma	formulari
forma	moduli
forma	forme
forma	forma
forma	forma
forma	modulo
forma	form
fillimisht	inizialmente
fillimisht	originariamente
muaj	mesi
muaj	mese
publike	pubblica
publike	pubblici
publike	public
publike	pubblico
shënuar	segnato
shënuar	segnato
shënuar	segnati
shënuar	segnate
shënuar	marcato
shënuar	contrassegnati
shënuar	contrassegnato
shtet	nazione
shtet	paese
shtet	stato
demokratike	democratiche
demokratike	democratici
demokratike	democratica
demokratike	democratico
filmi	film
filmi	pellicola
filmi	pellicole
filmi	film
veçanërisht	particolarmente
veçanërisht	sopratutto
veçanërisht	soprattutto
veçanërisht	specialmente
veçanërisht	specificamente
veçanërisht	specificatamente
moderne	moderna
moderne	moderne
moderne	moderni
moderne	modern
moderne	moderno
moderne	modernità
metra	metri
artit	arte
artit	artwork
gjithmonë	always
gjithmonë	sempre
tashmë	già
york	york
kryer	condotti
kryer	condotto
kryer	commessi
kryer	commessa
kryer	impegnato
gjermani	germania
sur	sur
erdhi	arrivato
erdhi	arrivati
erdhi	arrivata
dorë	hand
dorë	mano
sukses	successi
sukses	successo
sukses	riuscita
gjate	lungo
gjate	lunghe
gjate	lunga
gjate	long
gjate	lunghi
world	mondo
world	world
paris	paris
paris	parigi
shtatë	seven
shtatë	sette
shtatë	settima
shtatë	settimo
këngë	brani
këngë	canzoni
këngë	canti
këngë	songs
këngë	canto
këngë	canzone
këngë	song
megjithëse	sebbene
megjithëse	sebbene
vazhdoi	proseguito
vazhdoi	continuato
përmban	contiene
përmban	racchiude
përmban	contengono
përmban	contenere
targa	piastre
marrin	ricevi
marrin	ricevere
menjëherë	immediatamente
menjëherë	subito
gati	ready
gati	pronto
gati	pronte
gati	pronta
gati	pronti
robert	roberto
robert	robert
club	club
libër	prenota
libër	libro
përfundoi	completato
përfundoi	completati
përfundoi	completata
përfundoi	finito
përfundoi	terminata
përfundoi	terminato
përfundoi	finiti
mire	buona
mire	brava
mire	bravo
mire	buono
mire	bravi
mire	bene
sistem	sistema
des	des
shekulli	secolo
periudhë	periodo
vazhdon	prosegue
vazhdon	continua
shoqërore	umanistiche
shoqërore	sociale
shoqërore	social
artikuj	articoli
sotme	today
sotme	oggi
shkrimtar	scrittore
shkrimtar	scrittrice
shkrimtar	sceneggiatore
ndërkohë	intanto
qartë	limpida
qartë	chiara
qartë	chiaro
qartë	chiaramente
huaj	straniero
huaj	estraneo
huaj	straniera
huaj	straniero
huaj	stranieri
francez	francesi
francez	francese
thjeshtë	simple
thjeshtë	semplici
thjeshtë	semplice
thjeshtë	semplicemente
fshatrat	borghi
fshatrat	villaggi
vlera	valori
vlera	valore
sikur	come
sikur	like
themeluar	fondato
themeluar	fondata
themeluar	stabilita
themeluar	stabilito
rol	ruolo
ndërkombëtar	internazionali
ndërkombëtar	internazionale
ndërkombëtar	international
bashkimi	union
bashkimi	unione
bashkimi	sindacato
bashkimi	fusioni
bashkimi	fusione
bashkimi	unity
bashkimi	unità
lumi	fiume
lumi	lumi
maqedoni	macedonia
golin	gol
golin	goal
golin	obiettivo
toka	earth
toka	terra
toka	land
toka	terreni
toka	terre
toka	terra
raste	occasioni
raste	casi
here	tempi
here	times
here	volte
here	tempo
here	time
xxxx	xxxx
filluan	iniziato
filluan	iniziati
filluan	avviato
shkurtër	corti
shkurtër	short
shkurtër	corto
shkurtër	breve
shkurtër	breve
yyyy	aaaa
roman	roman
roman	romana
roman	romano
roman	romani
roman	romanzo
william	guglielmo
william	william
uefa	uefa
vendosi	deciso
vendosi	decise
vendosi	decisi
mbetur	rimanente
mbetur	rimanenti
mbetur	restante
rruga	street
rruga	strada
rruga	strada
rruga	road
ndoshta	forse
ndoshta	forse
ndoshta	magari
ndoshta	probabilmente
kupa	calice
kupa	coppe
kupa	tazze
kupa	tazza
kupa	coppa
kupa	cup
bukur	belli
bukur	bella
bukur	bellissima
bukur	bellissime
bukur	bellissimi
bukur	bellissimo
bukur	carina
bukur	bella
bukur	pretty
bukur	bello
bukur	gentile
bukur	nizza
bukur	bella
jean	jean
turke	turco
turke	turche
turke	turca
turke	turchi
ulët	basso
ulët	bassi
ulët	low
ulët	bassa
periudha	periodo
periudha	periodi
real	real
real	reali
real	reale
real	veri
jetojnë	vivi
jetojnë	live
jetojnë	vivere
publik	pubblica
publik	pubblici
publik	public
publik	pubblico
pavarur	independent
pavarur	indipendente
pavarur	indipendenti
pavarur	freelance
ushtria	militari
ushtria	esercito
ushtria	militare
ushtria	armata
ushtria	esercito
lind	born
lind	nati
lind	nato
lind	nata
lind	nasce
lind	lind
fundi	end
fundi	fine
ndarë	divisi
ndarë	diviso
ndarë	suddiviso
ndarë	divise
ndarë	suddivisi
klubi	club
fakt	fatto
kuqe	rosso
kuqe	rossa
kuqe	red
pasha	pasha
pasha	pascià
puna	lavoro
puna	lavorare
puna	lavori
puna	lavora
puna	puna
vdekur	morti
vdekur	morta
vdekur	morto
vdekur	dead
university	università
www	www
gjeografike	geografico
gjeografike	geografici
gjeografike	geografico
madrid	madrid
njësi	unità
njësi	unità
njësi	unit
osman	osman
qytetet	città
https	https
gazeta	quotidiano
gazeta	giornale
gazeta	giornali
gazeta	quotidiani
gazeta	carta
gazeta	paper
rritur	adulto
rritur	adulti
format	forme
format	formato
zgjedhur	selezionato
zgjedhur	selezionati
zgjedhur	selezionate
zgjedhur	selezionata
anëtarët	membri
banorët	abitanti
banorët	residenti
fuqi	potere
fuqi	potenza
fuqi	power
duhej	necessari
duhej	necessario
duhej	necessaria
kalon	passa
punoi	lavorato
punoi	lavorate
punoi	lavorati
katolike	cattolico
katolike	cattolica
katolike	cattolici
doli	uscito
artikulli	articolo
shkollë	scuola
seri	serie
përbashkët	condivisi
përbashkët	condivisa
përbashkët	condiviso
përbashkët	comune
përbashkët	comuni
përbashkët	common
përbashkët	articolazione
akoma	still
akoma	ancora
akoma	eppure
rezultat	risultato
fëmijët	ragazzi
fëmijët	bambini
fëmijët	bimbi
fëmijët	figli
fëmijët	bambini
profesor	professoressa
profesor	professore
ngjarje	evento
ngjarje	manifestazioni
ngjarje	eventi
cet	cet
mban	detiene
mban	tiene
mban	mantiene
pika	puntini
pika	punti
pika	gocce
pika	collirio
pika	point
pika	punto
vendasit	nativi
vendasit	indigeni
posta	mail
posta	posta
fakultetin	facoltà
fakultetin	docenti
kaloi	speso
kaloi	spesi
kaloi	trascorso
kaloi	attraversato
kaloi	attraversata
kaloi	superato
derisa	fino
lehtë	facile
lehtë	facilità
lehtë	easy
tej	ulteriori
tej	tej
konsiderohet	considerati
konsiderohet	considerato
greqi	grecia
jeton	living
jeton	vivente
jeton	vivere
jeton	vivi
jeton	live
jeton	vivere
jeton	vive
jeton	vite
pjese	part
pjese	parte
fillore	elementari
fillore	elementare
xhamia	lami
xhamia	moschea
nisur	iniziata
nisur	avviato
nisur	iniziati
nisur	varato
nisur	lanciata
nisur	lanciato
nisur	varata
nisur	lanciati
ilire	illiriche
arrin	arriva
arrin	raggiunge
hoxha	hoxha
rëndë	heavy
rëndë	pesanti
rëndë	pesante
bin	bin
bin	bidone
bin	fagiolo
bin	fagioli
bin	bean
bin	bini
charles	carlo
kurrë	mai
kurrë	never
vrarë	uccisi
vrarë	ucciso
vrarë	assassinato
vrarë	assassinati
vrarë	assassinata
vrarë	uccisi
vrarë	ucciso
vrarë	uccise
vrarë	abbattuti
united	united
united	uniti
ismail	ismail
projekte	progetti
vendeve	paesi
league	lega
league	league
sulltani	sultano
sulltani	sultan
pothuajse	quasi
fituesit	vincenti
fituesit	vincitori
barcelona	barcellona
gjallë	vivi
gjallë	viva
gjallë	vivo
gjallë	alive
pamje	vista
pamje	visualizza
class	classe
sistemin	sistema
shkon	corre
shkon	andando
shkon	goes
david	davide
mundësi	possibilità
mundësi	chance
mundësi	possibilità
mundësi	opportunità
lokale	locale
lokale	local
ndryshëm	differenti
ndryshëm	differente
ndryshëm	diverse
ndryshëm	diversa
ndryshëm	diverso
ndryshëm	diversi
ndryshëm	varie
ndryshëm	vari
gjon	gianni
gjon	giovanni
gjon	john
pikërisht	precisamente
