waardevol	valioso
secretaresse	estado
clown	pallaso
overeengekomen	en
overeengekomen	acordo
safari	safaris
safari	safari
heil	“
heil	sarabia
heil	”
heil	en
heil	galego
heil	saudamos
aardappelen	patacas
realistisch	realista
realistisch	realistas
verwoesting	destrución
verwoesting	destrucción
overste	comandante
divers	diverso
onderdanen	temas
onderdanen	suxeitos
versnelling	aceleración
dakar	dakar
walvis	balea
satan	satanás
satan	satán
gel	colle
verdeelde	dividido
garrett	garrett
vervuiling	contaminación
amazing	incrible
amazing	incribles
amazing	sorprendente
amazing	abraiante
amazing	o
amazing	marabilloso
amazing	asombroso
haak	todos
zelfstandigheid	independencia
travis	travis
onvermijdelijk	inevitable
onvermijdelijk	inevitábel
complot	conspiración
konings	king
konings	rei
konings	o
konings	xurxo
glorie	gloria
glorie	pola
illusie	a
illusie	ilusión
levensstijl	estilo
levensstijl	de
levensstijl	vida
bloedige	maldito
bloedige	idiota
bloedige	malditos
munteenheid	moeda
ruw	cru
ruw	groseiro
ruw	materia
ruw	materias
ruw	aproximada
ruw	vaga
ruw	duro
ruw	mal
ruw	moi
ruw	duros
ruw	duras
zwijgen	silencio
zwijgen	silencio
zwijgen	o
uitbraak	brote
dek	cuberta
konijn	coello
ongelukkig	desafortunado
ongelukkig	infeliz
leverancier	vendedor
ergste	peores
ergste	peor
stoornis	trastorno
stoornis	desorde
machtigste	ó
pocket	peto
pocket	petos
macdonald	macdonald
vrijwilliger	voluntarios
wandelen	camiñando
wandelen	pola
wandelen	andar
wandelen	andando
wandelen	subindo
wandelen	camiñaba
wandelen	camiñar
wandelen	polas
kijkcijfers	cualificacións
kijkcijfers	as
kijkcijfers	avaliacións
analyseren	analizar
analyseren	analizando
ilse	llse
wandeling	andar
wandeling	camiñar
harten	corazóns
harten	corazón
misdrijf	delito
misdrijf	crime
misdrijf	criminalidade
misdrijf	crimes
misdrijf	delincuencia
verwijder	se
verwijder	e
verwijder	quitar
verwijder	quitamos
row	fila
android	android
hitte	calefacción
hitte	calor
hitte	o
diersoort	especie
diersoort	especies
bitter	amarga
idealen	ideais
paper	papel
paper	xornal
paper	artigo
vergissing	erro
vergissing	erro
ontdekkingen	descubrimentos
ontdekkingen	descubrimento
richie	richie
ezel	mula
toestaan	permitir
toestaan	permitirán
toestaan	permiten
toestaan	permitiría
toestaan	permitídeme
toestaan	permitimos
toestaan	permítame
ruby	ruby
fundamenteel	fundamentalmente
fundamenteel	de
fundamenteel	fundamental
meiden	as
meiden	ás
meiden	rapazas
meiden	mozas
meiden	nenas
speer	arpón
speer	spear
grass	herba
garantie	garantía
garantie	garantir
inkt	tinta
modus	modo
onderwezen	ensináronnos
onderwezen	que
onderwezen	ensinou
koorts	febre
schelpen	proxectís
beladen	cargada
nieuwsberichten	noticias
nieuwsberichten	noticia
nieuwsberichten	novas
woordenlijst	vocabulario
verwachtte	se
verwachtte	esperaba
verwachtte	que
speedway	altamont
cargo	carga
cargo	cargamento
broertje	irmán
broertje	meu
mooier	máis
applicatie	aplicación
fatale	fatal
app	aplicación
beginselen	principios
client	cliente
groeiden	medrei
groeiden	crecín
groeiden	cando
groeiden	creceu
intellectuelen	intelectuais
pomp	surtidor
large	grande
large	gran
large	grandes
starr	starr
gekende	coñecido
gekende	coñecidos
gekende	de
rhodes	rhodes
seat	sentar
seat	asento
seat	sitio
seat	senta
seat	séntese
seat	sente
aanklager	fiscal
dawson	dawson
saints	santos
samenstellingen	composicións
samenzwering	conspiración
dynamisch	dinámica
soft	suave
poot	perna
poot	pernas
poot	unha
poot	pata
reagan	reagan
langzame	lento
langzame	lenta
langzame	lentos
langzame	ou
langzame	frean
langzame	tranquilo
vernietigde	destruídos
vernietigde	destruíron
vernietigde	destruído
vernietigde	con
vernietigde	destruírono
vernietigde	destruír
eigendommen	propiedades
rings	aneis
honkbal	béisbol
ongelijk	desigual
ongelijk	desiguais
gedenkteken	día
gedenkteken	dos
gedenkteken	caídos
functioneel	funcionais
functioneel	funcional
verkoper	vendedor
verkoper	vendedor
verkoper	libro
verkoper	máis
verkoper	vendido
marilyn	marilyn
brain	cerebrais
brain	cerebro
brain	cerebral
chance	oportunidade
chance	posibilidade
dreigen	ameazando
dreigen	ameazan
dreigen	a
dreigen	ameazan
dreigen	ameazar
dreigen	ameazouna
bladzijden	páxinas
naderhand	despois
tech	tecnolóxica
tech	tecnolóxicas
duif	pomba
gestraft	castigada
gestraft	castigado
vracht	carga
vracht	cargamento
klerk	asistente
klerk	do
skin	pel
skin	ósos
snellere	máis
snellere	rápido
snellere	axiña
snellere	rápida
bright	e
bright	brillantes
bright	brillante
pioniers	pioneiros
accu	batería
ambitie	ambición
tranen	bágoas
tranen	chorar
tranen	aburrimento
griffier	asistente
griffier	do
aankomen	chegar
offer	sacrificio
offer	sacrificar
offer	zugue
offer	o
ontsnapping	fuxida
ontsnapping	escapar
ontsnapping	da
ontsnapping	fugarse
ontsnapping	fuxir
ontsnapping	fuga
begaan	cometeu
begaan	cometido
begaan	cometiches
begaan	cometeses
begaan	cometer
begaan	compromiso
begaan	cometidos
begaan	comprometido
begaan	coa
scoort	exames
puntjes	puntos
puntjes	cabos
dies	morre
flow	fluxo
flow	transmisión
mutant	mutante
hôtel	hotel
antropologie	antropoloxía
experimenteel	experimental
storten	caixa
storten	depósito
verbaasd	abraiado
verbaasd	sorprendidos
verbaasd	sorprendeuse
verbaasd	sorprendeume
verbaasd	sorprende
verbaasd	sorprendido
monkey	mono
monkey	monos
donovan	donovan
meubels	mobles
grofweg	traducido
tijdig	oportuno
radicalen	radicais
fellow	compañeiros
fellow	compañeiro
fellow	teus
fellow	tipo
fellow	amigo
fellow	colega
toevlucht	refuxio
topic	tema
topic	asunto
teller	mostrador
integriteit	integridade
nobel	nobre
nobel	nobel
winning	gañar
kemp	señora
kemp	kemp
quo	quo
dove	pomba
plymouth	plymouth
cadeau	regalo
cadeau	agasallo
mobiel	móbil
sleutels	chaves
sleutels	as
appels	mazás
kolen	carbón
homer	homer
drew	drew
financieren	finanzas
ellende	miseria
toy	xoguete
instructie	instrucións
bomaanslag	bombardeo
bomaanslag	do
bomaanslag	bombardeos
bomaanslag	o
bing	bing
verbeelding	imaxinación
aquarium	acuario
vuurwerk	artificio
gebombardeerd	bombardearon
genezing	cura
genezing	curación
genezing	interesábame
genezing	curar
vrijheden	liberdades
vrijheden	liberdades
rescue	de
rescue	apoio
houder	titular
teelt	de
teelt	medrando
teelt	medrar
teelt	crecemento
teelt	crecendo
teelt	medra
zweven	flotante
zweven	aboiando
bonen	feixóns
bonen	xudías
verantwoordelijke	responsable
verantwoordelijke	responsables
verantwoordelijke	responsábeis
verantwoordelijke	responsábel
mijzelf	min
mijzelf	mesma
mijzelf	mesmo
mijzelf	eu
mijzelf	me
rijtuig	fantasma
voogdij	custodia
voogdij	baixo
vertrouwd	familiar
vertrouwd	familiarizados
vertrouwd	familiares
vertrouwd	coñeces
vertrouwd	de
vertrouwd	confianza
vertrouwd	en
twitter	twitter
cruise	levádeme
kosmos	cosmos
rapporten	informes
rapporten	sobre
oven	cociniña
oven	forno
pretty	moi
pretty	bastante
pretty	bonita
pretty	ben
kick	unha
kick	malleira
kick	patada
kick	dáme
kick	una
kick	botar
kick	patea
boss	xefe
boss	patrón
truck	camión
programmeren	programa
programmeren	de
programmeren	programar
programmeren	de
programmeren	programación
gedronken	bebía
overdekt	cuberto
blote	espida
tape	cinta
same	mesmo
same	mesmas
same	mesma
tarief	de
tarief	taxa
aanvullend	adicional
diabetes	diabetes
geschenk	regalo
geschenk	agasallo
looking	a
looking	mirando
looking	mirar
looking	buscando
gedecoreerd	condecorado
bedreigingen	ameazas
comfort	felicidade
bouillon	caldo
hiv	vih
hiv	o
organisch	orgánico
octrooi	patentes
octrooi	patente
octrooi	patentar
octrooi	zapatos
octrooi	patentes
hiroshima	hiroshima
creatief	creativo
creatief	creativos
creatief	creativa
creatief	creativas
boter	manteiga
rozen	rosas
trom	drum
trom	batería
trom	tambores
trom	os
eight	oito
eight	8
gap	distancia
vreedzame	pacífica
daniels	daniels
tragedie	traxedia
tragedie	desgraza
beren	osos
beren	oso
beren	osiño
respecteren	respectar
respecteren	respeto
respecteren	respecto
respecteren	respéctanme
bandje	cinta
plak	pegar
ongenoegen	descontento
zegen	bendiga
zegen	bendición
zegen	beizón
enquête	enquisa
cabine	taxi
cabine	cabana
blijvend	permanente
breaking	mesmo
chips	fichas
wachtwoord	contrasinal
middernacht	noite
middernacht	ano
middernacht	reloxo
middernacht	doce
middernacht	media
middernacht	medianoite
middernacht	da
middernacht	á
kalk	cal
kalk	lima
keys	chaves
keys	as
wally	wally
bloot	exposto
bloot	á
grafsteen	busto
staand	de
staand	pé
staand	estar
staand	estaba
staand	parados
geschapen	creamos
geschapen	creou
geschapen	creado
geschapen	creei
geschapen	creados
grootst	maior
grootst	máis
grootst	grande
grootst	mellor
welt	welt
mobiliteit	mobilidade
verzekering	seguro
verzekering	seguros
wiskundig	matemática
cowboy	vaqueiro
cowboy	de
bewijst	proba
frequent	frecuencia
bone	óso
rocket	foguete
sunset	solpor
moge	poden
moge	pode
moge	maio
moge	que
moge	podo
hamlet	aldea
hamlet	estratéxicas
lus	acople
lus	volta
fysica	da
fysica	física
flauw	mal
flauw	esvaecemento
volg	seguir
volg	seguen
volg	siga
jump	así
jump	saltar
jump	chimpa
bliksem	lóstrego
maffia	turba
maffia	mafia
maffia	mafia
afwachten	agardando
afwachten	espera
afwachten	a
afwachten	esperar
afwachten	esperando
afwachten	agardar
triviale	trivial
aanraden	aconsellan
aanraden	que
socioloog	sociólogo
socioloog	toma
chocolade	bombóns
chocolade	chocolate
rechtvaardigheid	justice
rechtvaardigheid	xustiza
rechtvaardigheid	a
rechtvaardigheid	xuíza
rechtvaardigheid	da
rechtvaardigheid	aos
rechtvaardigheid	con
contracten	contratos
nauwkeurigheid	preciso
nauwkeurigheid	precisa
nauwkeurigheid	precisión
inschrijven	rexistro
inschrijven	rexistro
inschrijven	tarxeta
besprekingen	debates
besprekingen	discusións
driver	condutor
driver	de
driver	o
driver	permiso
lenny	lenny
experimenteren	experimento
experimenteren	experimentos
jas	chaqueta
jas	da
jas	abrigo
jas	o
jas	chaqueta
ready	listos
ready	lista
ready	preparados
ready	listo
ready	preparado
geschatte	estimouse
attributen	atributos
candy	candy
liften	ascensor
investeren	investimos
investeren	investir
investeren	invistan
investeren	investimento
olifanten	elefante
olifanten	elefantes
olifanten	elefante
olifanten	marchar
programmering	de
programmering	programación
knappe	guapos
knappe	guapo
knappe	guapa
knappe	moi
geometrische	xeométricas
waarderen	aprezar
waarderen	apreciaría
waarderen	estivese
waarderen	gustaríame
mijnwerkers	mineiros
mijnwerkers	obreiros
fascisme	fascismo
fascisme	o
forward	fronte
forward	cara
forward	adiante
inktvissen	lura
virussen	virus
archie	archie
creëert	crea
rising	aumento
dekking	a
dekking	cubrir
dekking	cuberto
dekking	cuberta
dekking	alcance
wormen	vermes
alfabetische	alfabética
racen	de
racen	carreiras
wolk	nube
laurie	laurie
weefsels	tecidos
lichamelijk	físicamente
lichamelijk	fisicamente
lichamelijk	física
lichamelijk	físicos
lichamelijk	físicas
lichamelijk	físico
rules	regras
rules	as
rules	normas
bild	bild
verdwijning	desaparición
eronder	baixo
eronder	debaixo
oversteken	cruzar
oversteken	cruzando
oversteken	cruzar
oversteken	cruz
oversteken	atravesar
oversteken	crosstree
jaloers	ciumento
jaloers	celosa
vastleggen	a
vastleggen	capturar
vastleggen	capturar
sparen	salvar
sparen	aforrar
sparen	salvalo
sparen	aforrando
sparen	salvar
sparen	aforro
sparen	aforraban
toilet	baño
struik	bush
struik	monte
daken	nos
daken	teitos
daken	tellados
bittere	amarga
terror	terror
fundering	fundación
fundering	alicerce
fundering	alicerces
fundering	base
fundering	foundation
fundering	cimentos
fundering	transformado
wish	gustaríame
wish	desexo
wish	desexaría
wish	oxalá
teleurstelling	decepción
spatie	espazo
spatie	espacio
spatie	no
tegengekomen	atopou
cartoon	viñeta
cartoon	tira
gelijkwaardig	equivalente
melodieën	melodías
zeeman	mariñeiro
paddenstoelen	cogomelos
havana	habana
havana	da
barber	barbeiro
barber	perruqueiro
strike	folga
strike	ataque
strike	¡
strike	que
strike	empece
explosieven	explosivos
intellectueel	intelectual
verlof	deixar
dyke	fada
dyke	das
dyke	lesbiana
inheems	nativo
inheems	onde
inheems	terra
branch	póla
branch	sucursal
laporte	laporte
titan	titán
vermindering	a
vermindering	redución
vermindering	diminución
vermindering	diminúe
cynthia	cynthia
communistisch	comunista
communistisch	partido
communistisch	comunistas
dreigende	ameazando
dreigende	ameazan
beschadiging	danos
beschadiging	dano
yokohama	yokohama
regisseurs	directores
scan	escaneamos
abigail	abigail
leader	líder
ambities	aspiracións
ambities	ambición
rapporteren	informe
rapporteren	informar
rapporteren	reportando
rapporteren	información
verzonden	a
verzonden	enviou
verzonden	mandou
speech	charla
speech	discurso
speech	expresión
speech	fala
astronaut	astronauta
lampen	luces
lampen	as
lampen	luz
lampen	apaguen
bommenwerper	bomber
opvang	refuxio
beheerde	e
beheerde	puido
beheerde	conseguimos
beheerde	a
toegeven	admitir
toegeven	admito
toegeven	que
toegeven	admitilo
claimen	a
claimen	que
hay	feo
stift	teas
juffrouw	srta
juffrouw	señorita
juffrouw	a
complexiteit	complexidade
meting	medir
meting	medindo
rochester	rochester
sagan	sagan
honing	cariño
honing	rula
honing	meu
honing	ben
schoorsteen	cheminea
schoorsteen	limpeza
shepherd	pastor
shepherd	pastorciño
peak	pico
passende	para
passende	máis
voorbereiden	para
voorbereiden	a
voorbereiden	preparar
voorbereiden	preparar
schijnen	brillar
october	outubro
october	de
reich	reich
filosofisch	filosófica
smid	smith
smid	veña
opperste	corte
opperste	suprema
opperste	supremo
netto	rede
spy	espía
bewakers	gardas
volumes	volumes
soeverein	soberanas
soeverein	soberana
overlast	auténtica
overlast	praga
overlast	molestia
gewonde	feridos
gewonde	ferido
neen	non
neen	hai
echtscheiding	divorcio
echtscheiding	o
echtscheiding	divorciar
toegestane	posúe
toegestane	estabelecido
toegestane	permitiu
toegestane	se
toegestane	permita
toegestane	lles
toegestane	permite
toegestane	non
toegestane	permiten
toegestane	vir
uitgeput	esgotada
uitgeput	exhaustos
jurk	traxes
jurk	vestido
jurk	roupa
emotie	emoción
trent	trent
button	botón
postzegel	filatelia
postzegel	selo
powers	poderes
lions	leóns
glans	brillar
criminaliteit	delito
criminaliteit	crime
criminaliteit	criminalidade
criminaliteit	crimes
criminaliteit	delincuencia
mislukking	por
mislukking	cardíacos
mislukking	imaxinación
mislukking	fracaso
mislukking	fracasado
nagel	cravo
teruggegeven	volveu
ruiten	fiestras
socialist	socialista
ontkennen	negar
ontkennen	rexeitada
spoed	urxente
magisch	maxia
magisch	máxico
magisch	máxica
magisch	máxicos
magisch	máxico
scheenbeen	canela
eerlijke	xusto
eerlijke	feira
eerlijke	honestos
eerlijke	sinceros
eerlijke	dicir
eerlijke	verdade
eerlijke	sincero
eerlijke	honesto
eerlijke	de
eerlijke	honrado
blootgesteld	exposto
blootgesteld	á
onschuldige	inocente
onschuldige	inocentes
bestelde	que
bestelde	atención
bestelde	pedimos
coöperatieve	cooperativas
coöperatieve	cooperativa
coöperatieve	dos
bewaker	garda
bewaker	de
form	forma
form	xeito
grip	realidade
verbranden	queimalos
verbranden	queiman
verbranden	queimar
verbranden	queimade
voorwaarts	fronte
voorwaarts	cara
voorwaarts	adiante
uwe	teu
uwe	túa
uwe	seu
gerespecteerd	respectado
daddy	pai
daddy	papá
reuzen	xigantes
boodschappen	mensaxes
mislukken	fracasar
mislukken	fallan
mislukken	non
mislukken	por
mislukken	cardíacos
mislukken	imaxinación
mislukken	fracaso
mislukken	fracasado
besmetting	infección
inbegrepen	incluía
forrest	forrest
fit	para
fit	encaixan
fit	ataque
fit	encaixa
fit	ben
fit	axustan
fit	de
carry	a
carry	levar
terugtocht	retirada
solar	solar
solar	noso
lopend	camiñando
lopend	pola
lopend	andar
lopend	andando
lopend	subindo
lopend	camiñaba
lopend	camiñar
lopend	polas
dear	querido
dear	querida
saul	saúl
soep	sopa
soep	xantar
weerstaan	resistir
weerstaan	resista
weerstaan	os
shin	canela
inlichtingendienst	intelixencia
gehecht	pegados
verstuurd	a
verstuurd	enviou
verstuurd	mandou
geoff	geoff
kin	queixo
misdrijven	crimes
misdrijven	delitos
geheimen	os
geheimen	segredos
geheimen	poden
geheimen	adoptar
expressie	expresións
expressie	expresión
weldra	en
weldra	canto
weldra	axiña
weldra	pronto
verantwoord	responsable
verantwoord	responsables
verantwoord	responsábeis
verantwoord	responsábel
investering	investimento
salvatore	salvatore
watervallen	cae
straight	en
straight	directo
straight	dereito
mack	mackie
mack	navalla
mack	mack
helium	helio
projectie	proxección
terreur	terror
beroerte	cerebral
noordpool	ártico
stick	quedarei
gps	gps
noble	nobre
patterson	patterson
eervolle	honorábel
geactiveerd	activa
dozijn	ducias
dozijn	ducia
dozijn	de
dekt	cobre
onthult	revela
onthult	revelar
onthult	revelan
verzekeringen	seguro
verzekeringen	seguros
klassiekers	clásicos
visueel	visuais
visueel	dificultades
visueel	visual
visueel	visuais
tenue	uniforme
koloniaal	colonial
nachten	as
nachten	noites
nachten	noite
nachten	polas
tarwe	trigo
krijgers	guerreiros
clyde	clyde
eenzame	soa
eenzame	só
heftig	pesada
heftig	pesados
heftig	pesado
heftig	forte
heftig	pesa
heftig	moito
heftig	peso
heftig	intenso
tijger	tigre
tijger	tiger
tijger	do
beëdigd	xurou
beëdigd	cargo
beëdigd	o
diner	cear
diner	cea
diner	a
kwartaal	cuarto
mandela	mandela
plaatsvervanger	substituír
plaatsvervanger	axudante
voetsporen	pegadas
barney	barney
falen	a
falen	por
falen	cardíacos
falen	imaxinación
falen	fracaso
falen	fracasado
falen	fracasar
falen	fallan
falen	non
legaal	xudicial
legaal	legal
legaal	legais
edele	nobre
verschuiving	de
verschuiving	quenda
dollars	dólares
dollars	dolares
dollars	de
tarieven	de
neptunus	neptuno
vuil	porca
vuil	sucio
vuil	terra
trailer	remolque
citeren	cita
citeren	citar
aantrekkelijke	agradable
aantrekkelijke	á
aantrekkelijke	atractiva
aantrekkelijke	fermosa
smelten	fusión
smelten	derreter
oké	moi
oké	ben
oké	vale
oké	está
oké	acordo
significant	significativas
significant	significativa
significant	significativo
significant	máis
significant	importante
vreemdelingen	estraños
vreemdelingen	descoñecidos
vreemdelingen	forasteiros
incidenteel	cando
vriendje	mozo
wagon	carriño
bezorgen	pásao
bezorgen	líbranos
bezorgen	entregar
overtuigde	de
overtuigde	convencido
spoel	bobina
spoel	parte
duister	escuras
duister	escuro
duister	escura
duister	escuridade
duister	noite
duister	escuridade
verwijten	culpa
verwijten	a
verwijten	non
introduceren	presentarlles
introduceren	á
introduceren	presentar
introduceren	ao
introduceren	introducir
introduceren	presente
independence	independencia
bestelling	orde
bestelling	para
bestelling	xiro
bestelling	postal
hooper	hooper
werkend	traballando
werkend	a
werkend	traballar
werkend	traballo
magere	delgado
magere	fraca
barton	barton
certificaat	certificado
certificaat	partida
certificaat	de
certificaat	nacemento
duty	deber
duty	obriga
duty	de
duty	servizo
duty	co
wise	sensata
wise	sabia
wise	sabio
raid	redadas
warriors	guerreiros
durf	se
durf	atreven
durf	a
voorval	incidente
voorval	accidente
varken	porco
verkrachting	violación
verkrachting	viólanme
bewaring	custodia
bewaring	baixo
bewaring	detención
milities	milicia
prior	antes
infecties	infeccións
infecties	infección
nutteloos	senso
nutteloos	inútiles
nutteloos	inútil
native	nativo
native	onde
native	terra
behoeften	precisa
behoeften	ten
behoeften	necesita
behoeften	necesidades
pick	recoller
dranken	copas
overbrengen	información
revolutionairen	revolucionarios
cruciale	cruciais
cruciale	crucial
dramatisch	forma
dramatisch	ao
dramatisch	radical
romantisch	romántico
romantisch	románticos
spelletje	partido
spelletje	xogo
spelletje	videoxogos
spelletje	de
pech	desafortunado
taliban	talibáns
betekend	significa
betekend	dicir
betekend	que
betekend	medios
betekend	quere
stadia	fases
dorpjes	aldeas
dorpjes	pobos
cliënt	cliente
emotioneel	emocional
emotioneel	emocionais
emotioneel	emotivo
emotioneel	sentimentais
emotioneel	emocionalmente
fysiologie	fisioloxía
tegenkomen	encontro
repareren	reparar
onverwachts	inesperado
onzichtbare	invisibles
onzichtbare	invisible
bewapend	armados
bewapend	armado
bewapend	armada
bewapend	armadas
arrangement	paquete
arrangement	arranxo
arrangement	acordo
dankbaar	agradecido
kosmische	cósmico
apartheid	apartheid
kostbaar	valioso
tools	ferramentas
tools	as
vaardigheid	habilidade
spelletjes	xogos
spelletjes	xogar
spelletjes	videoxogos
spelletjes	os
gevarieerd	diverso
verkennen	explorar
bollen	esferas
epidemie	epidemia
wachtte	agardaba
speculatie	especulación
toegewijd	cometeu
toegewijd	cometido
toegewijd	cometiches
toegewijd	cometeses
toegewijd	cometer
toegewijd	compromiso
toegewijd	cometidos
toegewijd	comprometido
toegewijd	coa
mercy	misericordia
mercy	piedade
mercy	misericordioso
tumor	tumor
etiket	etiqueta
vreselijk	horrible
vreselijk	horríbel
vreselijk	terrible
vreselijk	horrible
vreselijk	horríbel
vreselijk	terríbel
vreselijk	horríbel
rel	antidisturbios
voices	voces
fataal	fatal
caraïben	caribe
bugs	bugs
bugs	myers
combat	de
combat	combate
combat	combates
combat	postos
geheimzinnige	misterioso
ask	pedir
ask	preguntar
ask	pregunte
destiny	destino
destiny	o
melody	melodía
ontkent	negar
ontkent	rexeitada
mask	máscara
chin	queixo
shock	choque
shock	de
shock	asalto
shock	conmoción
shock	electrochoques
ammoniak	amoníaco
constitutie	constitución
blaadjes	marcha
blaadjes	follas
blaadjes	deixa
blaadjes	as
blaadjes	sae
slimme	intelixente
slimme	intelixente
slimme	intelixentes
slimme	listos
slimme	moi
slimme	listo
natuursteen	de
natuursteen	pedra
natuursteen	a
binnenlands	doméstica
binnenlands	caseira
intelligente	intelixente
intelligente	intelixentes
fluiten	asubío
fluiten	asubía
harnas	armadura
harnas	armadura
iphone	iphone
imam	imán
hook	todos
lastiger	máis
lastiger	difícil
biodiversiteit	biodiversidade
glucose	glicosa
gordel	cinto
acid	ácido
acid	aminoácidos
afgedrukt	impreso
mais	millo
mais	trigo
lippen	beizos
lippen	os
lippen	boca
omschrijft	define
scores	exames
judge	xuíz
judge	xulgar
