and	oraz
born	urodzona
born	urodzone
december	grudzień
december	grudnia
december	grudniu
link	łącze
link	link
link	ogniwo
link	odnośnik
while	podczas
later	pozniej
later	później
part	część
part	częściowo
november	listopada
november	listopadzie
november	listopad
players	zawodnicy
players	graczy
players	gracze
list	listy
list	wykaz
list	lista
list	spis
list	listę
please	proszę
february	luty
february	lutego
known	znani
known	znany
known	znana
known	znane
second	druga
second	drugi
second	drugie
name	nazwisko
name	imię
name	nazwa
group	grupie
group	grupy
group	grupa
history	historia
history	historii
history	historię
series	szeregi
series	serie
series	series
series	seria
series	serii
just	tylko
north	północnej
north	północ
north	north
work	pracuj
work	prace
work	pracy
work	praca
work	roboty
before	zanim
before	przed
before	wcześniej
season	sezonie
season	sezon
both	obydwa
both	oboje
both	obie
both	oba
high	wysoka
high	wysokie
high	high
high	wysoki
high	wysoko
through	poprzez
through	przez
district	okręg
district	dzielnicy
district	dystrykt
district	dzielnica
district	rejon
district	powiat
now	teraz
comments	uwagi
comments	komentarzy
comments	komentarze
because	bo
because	ponieważ
football	football
football	futbol
music	muzyka
music	music
music	muzyki
diff	diff
diff	różnica
century	wieku
century	wiek
league	league
league	liga
league	lidze
league	ligi
edits	edycji
debate	debata
debate	debaty
title	tytuł
title	tytułem
articles	wyroby
articles	artykułów
articles	artykuły
john	jan
john	johna
john	janek
john	john
john	jana
could	mógłby
english	angielski
english	anglik
album	album
album	albumu
album	płyta
number	numer
number	liczba
against	przeciwko
against	przeciw
family	rodzina
family	rodziny
family	rodzinne
family	rodzinka
family	rodzinnie
user	użytkownika
user	użytkownik
area	teren
area	powierzchnia
area	obszarze
area	obszar
york	jorku
york	jork
york	york
life	zycie
life	life
life	życia
life	dożywocie
life	życie
british	brytyjskie
british	brytyjska
british	brytyjski
british	british
international	international
international	międzynarodowe
international	międzynarodowy
international	międzynarodowych
international	międzynarodowa
game	mecz
game	game
game	gry
game	gra
above	wyżej
above	ponad
above	powyżej
club	club
club	klub
club	klubie
your	twoje
your	twój
your	twoja
your	twojego
your	twoim
early	wczesny
early	wczesna
early	wcześnie
early	wczesne
best	najlepsza
best	najlepszy
best	najlepiej
best	best
best	najlepsze
west	zachodnia
west	west
west	zachodni
west	zachód
house	house
house	domu
house	dom
company	towarzystwo
company	kompania
company	firma
company	firmy
company	spółka
company	przedsiębiorstwo
general	generał
general	ogólny
general	ogólnie
general	ogólna
general	ogólne
left	lewy
left	lewo
very	bardzo
here	tutaj
don	don
living	żyjący
living	żywe
day	dnia
day	dzień
day	dzien
several	kilkanaście
several	kilka
several	kilku
place	miejsce
party	przyjęcie
party	partia
party	partii
party	impreza
party	imprezy
college	studia
college	uczelnia
college	college
college	kolegium
result	rezultat
result	efekt
result	wynik
keep	zachowaj
appropriate	odpowiednia
appropriate	odpowiedni
appropriate	odpowiednie
appropriate	stosowne
appropriate	właściwe
four	czterech
four	cztery
subsequent	późniejsze
even	nawet
class	zajęcia
class	klasy
class	klasa
government	rządowe
government	rząd
government	rządowy
how	jak
called	zwane
called	zwana
called	dzwonił
called	nazywany
did	zrobił
each	każda
each	każdy
found	znaleziona
found	znaleziony
found	znaleziono
found	znalazł
found	znalezione
center	środek
center	centrum
center	center
center	ośrodek
per	per
style	styl
style	style
com	com
com	kom
long	długi
long	długa
long	długo
long	długie
long	long
country	ojczyzna
country	kraje
country	kraju
country	kraj
country	państwo
back	back
back	wstecz
back	powrót
way	way
way	sposób
does	robi
www	www
modify	zmodyfikować
end	koniec
end	end
make	make
public	publiczne
public	public
public	publiczna
public	społeczeństwo
public	publiczny
played	grało
played	grał
played	zagrali
won	wygrane
won	won
won	wygrał
another	kolejny
another	inny
another	kolejna
released	zwolnione
released	wydane
released	wydany
released	zwolniony
released	wydana
added	dodany
added	dodano
added	dodana
added	dodane
support	wsparcia
support	wsparcie
support	wspieranie
games	mecze
games	gier
games	gry
former	były
former	poprzedni
former	dawne
former	poprzednie
those	tych
those	te
films	folie
films	filmy
church	kościoła
church	kościół
church	church
east	wschodnie
east	east
east	wschód
east	wschodni
east	wschodnia
line	wiersz
line	linia
line	line
line	linii
major	major
members	posłowie
members	członkowie
members	członkom
members	członków
members	członkami
good	dobre
good	dobrze
much	much
much	wiele
much	dużo
image	obrazek
image	obraz
image	wizerunek
show	pokaż
show	pokaz
still	nadal
still	wciąż
still	jeszcze
think	pomyśl
think	myśl
below	niżej
below	poniżej
town	town
town	miasta
town	miejscowość
town	miasto
last	ostatnio
last	ostatnie
last	last
last	ostatni
last	ostatnia
system	układ
system	systemu
system	system
system	systemowe
right	prawo
song	piosenka
song	piosenki
song	utwór
song	pieśń
song	song
non	non
notable	znaczące
section	sekcję
section	sekcji
section	dział
section	sekcja
single	jednolitego
single	single
single	pojedynczy
single	singiel
single	pojedyncze
included	włączone
included	uwzględnione
home	domu
home	dom
women	kobiet
women	kobietki
women	kobiety
women	damskie
television	telewizja
television	tv
television	telewizor
television	telewizji
seed	nasion
seed	nasienie
seed	ziarno
seed	nasiona
member	członka
member	członkowskie
member	członkiem
member	członek
goals	bramki
goals	cele
goals	celów
goals	bramek
sources	źródła
sources	źródeł
book	książkę
book	książka
book	książki
book	księga
station	posterunek
station	stacji
station	stacja
station	dworzec
order	porządek
order	zamówienie
order	kolejność
old	stare
old	stary
old	old
old	stara
information	informacje
information	informacja
set	ustaw
set	set
set	zestaw
set	komplet
own	własne
own	własny
own	własna
text	tekst
text	text
text	tekstowe
band	band
band	pasmo
band	zespołu
band	zespół
point	punkt
point	pkt
point	point
local	miejscowa
local	lokalny
local	lokalna
local	lokalne
local	miejscowy
local	lokalnych
around	okolice
around	dookoła
river	rzeki
river	river
river	rzeka
top	top
top	szczyt
top	góra
main	główne
main	główna
main	main
main	główny
language	język
language	języku
french	francuski
french	francuska
french	french
french	francuskie
https	https
named	nazwany
named	nazwane
off	wyłączony
off	off
off	wyłączone
note	uwaga
note	notatka
career	kariera
career	kariery
career	karierę
original	oryginalna
original	pierwotnym
original	oryginalny
original	oryginał
original	oryginalne
age	wieku
age	age
age	wiek
service	usługi
service	służba
service	obsługa
service	serwis
established	ustanowiono
established	ustanowione
established	ustalono
established	ustanowiony
located	zlokalizowany
located	położony
located	zlokalizowane
said	powiedział
said	said
population	populacja
population	populacji
population	ludność
air	powietrza
air	powietrze
air	air
german	niemiecka
german	niemcy
german	niemieckim
german	niemieckie
german	niemiecki
law	prawa
law	prawo
military	wojskowy
military	wojsko
military	wojskowe
military	wojska
great	świetne
great	świetnie
great	super
great	wspaniale
clubs	kluby
clubs	trefl
clubs	klubów
published	opublikowane
published	opublikowany
published	opublikowano
published	publikacja
published	publikowane
president	przewodniczący
president	prezes
president	prezydent
president	przewodnicząca
president	prezydenci
park	parki
park	parka
park	park
official	oficjalne
official	oficjalna
official	urzędnik
official	urzędowym
official	oficjalnie
official	oficjalny
case	case
case	sprawa
case	przypadek
london	londynu
london	london
london	londynie
london	londyn
times	razy
times	times
times	czasy
although	chociaż
although	aczkolwiek
although	choć
small	małych
small	mały
small	małe
small	niewielkie
small	mała
small	male
third	trzecia
third	trzeci
third	trzecie
different	inna
different	różne
different	inny
different	różnych
due	należne
due	należny
village	wiosce
village	wioska
village	village
village	wioski
village	wieś
closed	zamknięty
closed	nieczynne
closed	zamknięte
closed	zamknięta
art	sztuka
art	sztuki
art	art
art	sztukę
player	player
player	gracz
player	zawodnik
player	gracza
player	odtwarzacz
final	ostateczny
final	ostateczna
final	finał
final	ostateczne
final	końcowe
community	społeczność
community	społeczności
community	wspólnoty
community	wspólnota
again	ponownie
again	znowu
army	army
army	wojska
army	wojsko
army	armia
army	armii
award	wyróżnienie
award	nagrodę
award	nagroda
award	nagrody
without	bez
death	śmierci
death	death
death	śmierć
built	zbudowany
built	wybudowany
built	zbudowane
built	zbudowano
built	zbudowana
men	męskie
men	faceci
men	men
men	mężczyźni
large	duża
large	duży
large	dużych
large	duże
site	witryna
site	strona
site	witryny
using	używanie
using	użycie
using	używając
deletion	usunięcie
deletion	usuwanie
white	biel
white	białe
white	white
white	biała
white	biały
five	pięciu
five	pięć
central	centralnego
central	central
central	centralny
central	środkowa
central	centralne
central	centralna
road	drogowy
road	drogi
road	drodze
road	droga
road	road
children	dzieci
free	wolne
free	wolna
free	wolny
free	bezpłatne
free	free
took	zabrał
took	wzięła
took	wziął
england	anglia
england	anglii
england	england
include	dołącz
include	obejmować
association	skojarzenia
association	stowarzyszenia
association	association
association	stowarzyszenie
down	dół
given	zważywszy
given	podane
given	podana
source	źródło
source	źródła
california	kalifornii
california	california
california	kalifornia
man	mężczyzna
man	człowiek
man	man
version	wersja
version	wersji
version	wersję
written	napisane
written	pisemne
written	napisano
written	zapisane
created	utworzona
created	utworzony
created	utworzono
created	stworzył
created	utworzone
media	nośnik
media	media
media	mediów
media	nośniki
black	czarna
black	czarne
black	black
black	czerń
black	czarny
though	chociaż
though	choć
php	php
report	zgłoś
report	raport
report	sprawozdanie
report	zgłoszenie
building	budowanie
building	budynek
take	weź
take	brać
take	bierz
division	podział
division	wydział
division	dywizji
comment	komentarz
comment	komentować
having	mając
king	king
king	króla
king	kinga
king	król
edit	edit
edit	edycja
edit	edytuj
stadium	stadion
stadium	stadium
died	zmarł
ship	statek
ship	statkiem
ship	okręt
research	badania
record	rekord
record	zapis
record	płyta
archive	archiwa
archive	archiwum
places	lokale
places	miejsca
places	miejsc
undo	cofnąć
undo	cofnij
cup	puchar
cup	kubek
cup	kielich
cup	cup
records	records
records	rekordy
records	zapisy
often	czesto
often	często
few	nieliczni
few	kilka
few	niewielu
received	otrzymała
received	otrzymana
received	otrzymano
received	otrzymany
received	otrzymane
side	side
power	moc
power	władza
power	siła
power	zasilanie
power	power
education	kształcenie
education	edukacji
education	wykształcenie
education	edukacja
know	know
category	kategoria
category	kategorii
water	woda
water	wody
political	polityczny
political	politycznych
political	polityczne
political	polityczna
species	gatunki
species	gatunek
field	dziedzina
field	pole
field	boisko
field	pola
field	field
near	blisko
near	niedaleko
australia	australii
australia	australia
video	video
video	wideo
video	film
need	potrzebuje
need	potrzeba
need	potrzebna
need	potrzebuję
need	potrzebny
island	wyspy
island	wyspa
island	island
form	postać
form	forma
form	formularz
form	formy
form	formularza
find	znajdź
find	znaleźć
served	serwowane
served	służył
play	graj
play	zagraj
play	play
project	projekt
project	project
radio	radia
radio	radio
radio	radiowy
works	działa
works	prace
works	dziala
proposed	proponowane
proposed	proponowana
proposed	proponowany
every	każda
every	każdy
development	rozwój
development	rozwoju
development	opracowywanie
development	opracowanie
example	przykładowy
example	przykładowe
example	przykład
live	live
live	żywo
live	żyj
union	union
union	związek
union	unia
union	unii
india	indie
next	następnym
next	następny
next	następna
next	następne
special	specjalna
special	specjalny
special	specjalne
special	wyjątkowy
special	szczególne
court	dwór
court	sądu
court	sąd
court	court
court	trybunał
region	region
region	regionie
region	regiony
region	regionu
little	małe
little	little
little	mało
little	mały
little	mała
short	krótki
short	krótkie
short	short
short	krótko
short	krótka
william	william
william	williamie
william	wilhelm
william	williama
province	województwo
province	prowincji
province	prowincja
western	zachodnia
western	zachodni
western	zachodnie
western	western
son	synu
son	syn
france	francji
france	francja
france	france
council	council
council	rady
council	rada
council	radzie
others	inne
others	pozostałe
others	inni
royal	królewska
royal	królewski
royal	królewskie
royal	royal
current	prąd
current	bieżące
current	aktualne
current	bieżący
current	aktualny
street	street
street	ulica
street	ulicy
full	pełna
full	full
full	pełen
full	pełne
full	pełny
red	czerwień
red	czerwony
red	czerwona
red	czerwone
too	tez
too	też
too	too
too	zbyt
department	wydział
department	departament
department	dział
san	san
help	pomoc
help	pomocy
among	wśród
among	pośród
preserved	zakonserwowane
preserved	zachowana
preserved	zachowany
preserved	zachowane
james	james
james	jakub
james	jamesa
james	jakuba
open	otwórz
open	otwarte
open	otwarty
force	siły
force	siła
force	force
position	położenie
position	stanowisko
position	pozycja
head	head
head	głowę
head	głowy
head	glowy
head	głowa
director	dyrektor
director	dyrektora
director	reżyser
father	ojcze
father	ojciec
track	ścieżka
track	utwór
track	tor
track	toru
http	http
canada	kanada
canada	kanady
never	nigdy
australian	australian
australian	australii
australian	australijski
george	jerzego
george	jerzy
george	grzegorz
george	george
jpg	jpg
level	poziom
level	poziomie
level	poziomu
late	późna
late	późny
late	późno
summer	summer
summer	letnie
summer	letni
summer	lato
society	społeczeństwo
society	society
society	towarzystwo
society	społeczeństwa
moved	przeniesiony
moved	przeniesiona
moved	przeniesione
moved	przeniesiono
office	biura
office	biuro
office	biurowe
office	urząd
period	okres
championship	mistrzostwa
championship	championship
championship	mistrzostw
championship	mistrzostwo
round	okrągła
round	okrągły
round	okrągłe
round	runda
story	historia
story	story
story	opowieść
story	zdarzenie
story	opowiadanie
songs	utwory
songs	pieśni
songs	piosenki
various	różnych
various	różne
various	rozmaite
file	plik
file	pliku
days	dni
days	days
land	kraina
land	land
land	ląd
land	grunty
land	ziemia
business	biznes
business	interesy
business	business
business	interes
reason	powody
reason	powodu
reason	przyczyna
reason	powód
america	ameryka
america	america
million	milion
million	mln
million	miliony
european	europejska
european	europejski
european	europejskiej
european	europejskie
european	european
term	termin
term	kadencja
term	określenie
six	szóstka
six	six
six	sześć
post	post
post	poczta
why	dlaczego
produced	wyprodukowane
produced	wyprodukowano
produced	wyprodukowany
produced	produkowane
making	robienie
making	zrobienie
subject	temat
subject	przedmiot
subject	obiekt
subject	podmiot
young	młoda
young	młody
young	młode
young	młodzi
young	young
total	całkowita
total	ogółem
total	suma
total	łącznie
david	dawid
david	david
science	nauka
science	nauki
related	powiązany
related	powiązanych
related	powiązane
related	pokrewne
rock	skała
rock	kamień
rock	skały
rock	rock
archived	zarchiwizowane
railway	kolej
railway	kolejowe
led	doprowadziło
led	led
students	uczniowie
students	studenci
students	studentów
started	rozpoczęte
started	rozpoczęto
started	rozpoczęty
started	zaczął
news	aktualności
news	wieści
news	nowości
news	wiadomości
news	news
described	opisano
described	opisane
described	opisał
described	opisana
role	rola
role	rolę
role	roli
role	role
election	wybory
election	wyborów
albums	albumy
albums	albumów
present	obecny
present	teraźniejszość
present	obecni
present	obecna
present	prezent
present	obecne
indian	indyjskie
indian	indian
indian	indianin
indian	indyjska
indian	indyjski
kingdom	królestwie
kingdom	królestwa
kingdom	królestwo
books	książki
books	książek
important	ważne
important	wazne
important	ważny
important	ważna
northern	północ
northern	północna
northern	północne
northern	północnej
northern	północny
love	miłość
love	love
love	miłości
love	kocham
canadian	kanady
canadian	kanadyjski
press	prasa
press	prasie
press	naciśnij
press	prasy
type	rodzaj
type	wpisz
type	typ
act	działaj
act	act
act	akt
editor	wydawca
editor	redaktor
editor	edytor
came	przyszedł
came	przyszło
schools	szkół
schools	szkoły
program	programu
program	program
program	programy
issue	wydanie
issue	zagadnienie
social	społeczna
social	towarzyskie
social	społeczne
social	socjalna
social	społeczny
social	społecznego
germany	niemcami
germany	niemcy
production	produkcji
production	produkcja
male	samiec
male	męskie
male	męska
male	męski
male	mężczyzna
awards	nagród
awards	nagrody
points	punkty
points	punktów
similar	podobni
similar	podobna
similar	podobny
similar	podobne
professional	zawodowe
professional	zawodowych
professional	profesjonalne
professional	profesjonalna
professional	profesjonalny
professional	profesjonalnie
say	powiedz
background	tła
background	kontekst
background	tle
background	tło
lead	ołów
lead	prowadź
lead	ołowiu
common	wspólnej
common	wspólny
common	częste
common	często
common	wspólne
data	dane
data	data
color	kolor
color	kolory
color	barwa
color	koloru
better	lepsza
better	lepiej
better	lepsze
person	osoba
person	osoby
services	usługi
services	usług
bgcolor	bgcolor
museum	muzeum
museum	museum
battle	bitwa
battle	battle
battle	bitwie
battle	bitwy
battle	walka
sports	sport
sports	sporty
sports	sportowe
already	juz
already	już
currently	obecnie
currently	aktualnie
hall	hala
hall	sala
hall	holu
hall	hall
buildings	budynki
historic	zabytkowy
historic	historyczne
historic	historycznej
historic	historyczny
historic	historyczna
date	termin
date	randka
date	data
deleted	usunięto
deleted	usunięte
deleted	usunięta
deleted	usunięty
considered	rozpatrywane
considered	rozważane
considered	badanym
change	zmiana
change	zmiany
change	zmienić
change	zmień
location	lokalizacja
location	położenie
must	musi
must	muszą
our	nasz
our	nasza
our	nasi
our	nasze
our	our
southern	południowa
southern	południowej
southern	southern
southern	południowe
lost	zagubiona
lost	zagubiony
lost	stracił
lost	stracone
lost	utracone
something	coś
review	recenzja
review	przeglądu
review	przegląd
review	rewizja
together	razem
together	wspólnie
robert	robert
robert	robercie
fact	fakt
less	mniejsza
less	mniej
japanese	japońska
japanese	japoński
japanese	japońskie
japanese	japończycy
groups	grup
groups	grupy
groups	grupach
content	treść
content	zawartość
content	treści
involved	zaangażowane
involved	zamieszany
involved	zaangażowana
involved	zaangażowany
isbn	isbn
board	pokładzie
board	zarząd
board	wyżywienie
board	deska
board	tablica
japan	japonii
japan	japonia
control	control
control	sterowanie
control	kontrola
policy	polityka
policy	polityki
modern	nowoczesne
modern	nowocześnie
modern	nowoczesny
modern	współczesna
modern	nowoczesna
human	ludzkie
human	ludzka
human	ludzki
human	człowiek
human	human
human	człowieka
half	pół
half	połowa
design	projekt
design	konstrukcja
design	projektowanie
design	design
event	wydarzenie
event	wydarzenia
event	zdarzenie
events	zdarzenia
events	wydarzenia
events	imprezy
events	wydarzeń
events	imprez
available	dostępny
available	dostępna
available	dostępne
done	zrobione
washington	waszyngton
washington	washington
washington	waszyngtonie
washington	waszyngtonu
real	real
real	prawdziwy
real	prawdziwe
start	start
start	rozpoczęcie
start	zacznij
start	początek
personal	osobiste
personal	osobista
personal	osobisty
action	działania
action	czynność
action	działanie
action	akcja
space	przestrzeni
space	kosmos
space	przestrzeń
areas	tereny
areas	obszary
areas	obszarach
areas	powierzchnie
notability	notability
star	star
star	gwiazdka
star	gwiazda
star	gwiezdne
star	gwiazdy
really	naprawdę
china	china
china	chin
china	chiny
possible	możliwy
possible	mozliwe
possible	możliwa
possible	możliwe
paul	pawel
paul	paweł
working	pracujący
working	pracujemy
taken	zrobione
taken	podjęte
far	daleki
far	dalekie
minister	ministrze
minister	ministrowie
minister	minister
lake	jeziora
lake	jezioro
lake	lake
reported	zgłoszono
reported	zgłaszane
reported	zgłoszone
reported	zgłoszony
reported	zgłoszona
reported	zgłosił
popular	popularny
popular	popularnych
popular	popularne
popular	popularna
married	zamężna
married	żonaty
founded	założone
founded	założony
founded	założona
author	autor
author	autora
author	autorka
away	dala
independent	niezależny
independent	niezależnych
independent	niezależni
independent	niezależna
independent	niezależne
process	proces
process	procesy
teams	zespoły
teams	zespołów
teams	drużyny
teams	ekipy
character	postać
character	znak
character	charakter
low	niska
low	niskie
low	niski
low	low
low	nisko
michael	michael
michael	michał
pages	stron
pages	strony
light	light
light	światło
light	światła
light	lekka
light	lekki
big	duża
big	duże
big	big
big	wielka
big	duży
big	wielki
seen	widziałem
seen	widziane
seen	widziany
release	zwolnienie
release	uwolnienie
want	chcesz
want	chce
episode	odcinek
episode	epizod
wrote	napisała
wrote	napisali
wrote	pisał
wrote	napisałeś
wrote	napisał
republic	republiki
republic	republika
thomas	tomasz
thomas	tomaszu
thomas	thomas
thomas	tomek
companies	firmy
companies	spółki
companies	przedsiębiorstw
companies	przedsiębiorstwa
companies	firm
via	via
russian	rosyjski
russian	rosyjska
russian	rosyjskie
russian	rosjanin
thanks	dzieki
thanks	dziękujemy
thanks	dzięki
put	umieść
put	umieścić
race	wyścig
race	rasy
race	race
race	rasa
worked	działał
worked	pracował
worked	działało
worked	pracowała
worked	zadziałało
route	drodze
route	szlak
route	trasy
route	trasa
recorded	zarejestrowany
recorded	rejestrowane
recorded	zapisane
recorded	zarejestrowane
recorded	nagrane
someone	ktoś
civil	cywilne
civil	obywatelskiego
civil	cywilny
police	policja
police	police
police	policji
charles	karol
charles	charles
charles	karola
listed	wymienionych
listed	wymienione
users	użytkownicy
users	użytkowników
users	użytkownikom
template	wzorzec
template	szablon
template	szablonu
eastern	wschodnie
eastern	wschód
eastern	wschodni
eastern	wschodniej
eastern	wschodnia
body	body
body	ciało
body	nadwozia
body	ciała
question	pytania
question	pytanie
italian	włoska
italian	włochy
italian	włoski
italian	włoch
italian	włoskie
featured	wyświetlane
featured	prezentowane
featured	polecane
featured	rekomendowane
week	tygodnia
week	tydzień
week	tygodniu
editors	redaktorzy
editors	wydawcy
texas	teksasu
texas	teksas
texas	texas
chief	szef
close	zamknij
close	blisko
match	mecz
match	dopasowanie
roman	rzymski
roman	roman
roman	rzymskie
come	chodź
tour	zwiedzanie
tour	tour
tour	wycieczka
sea	morza
sea	morze
actually	właściwie
cross	krzyż
cross	krzyżyk
cross	krzyża
cross	cross
playing	odtwarzanie
playing	granie
playing	gra
health	zdrowie
health	zdrowia
institute	instytutu
institute	institute
institute	instytut
caps	czapki
forces	sił
forces	siły
green	zieleń
green	zielony
green	zielono
green	zielona
green	zielone
rights	prawa
rights	praw
evidence	dowód
evidence	dowody
originally	początkowo
originally	pierwotnie
aircraft	samolot
aircraft	samoloty
arts	sztuki
arts	arts
range	zasięg
range	zakres
range	zasięgu
range	przedział
range	odległość
probably	pewnie
probably	prawdopodobnie
consensus	konsensus
consensus	konsensusu
bar	bar
problem	problem
issues	zagadnienia
issues	kwestie
issues	problemy
issues	kwestii
alumni	absolwentów
average	średnio
average	średnie
average	średni
average	przeciętny
average	średnia
network	sieci
network	sieć
network	network
win	win
win	wygrana
win	wygraj
win	wygrać
shows	pokazy
shows	pokazuje
wife	żona
returned	zwrócone
returned	zwrócona
returned	wrócił
returned	powrócił
returned	zwrócony
night	nocy
night	nocny
night	night
night	noc
magazine	czasopismo
magazine	magazyn
magazine	magazynek
magazine	czasopisma
centre	centrum
centre	ośrodek
centre	centre
usually	zazwyczaj
usually	zwykle
usually	przeważnie
completed	zrealizowane
completed	zakończone
completed	zakończona
completed	zaliczone
completed	ukończone
significant	znaczne
significant	znaczące
significant	znaczny
significant	znacząca
significant	znaczący
african	afrykańskie
african	afryki
african	afrykański
african	afryka
african	afrykańska
able	zdolne
able	zdolna
able	zdolny
google	google
stage	etap
stage	scena
stage	faza
stage	etapie
addition	dodawanie
addition	dodanie
ireland	irlandii
ireland	irlandia
today	dzisiaj
today	today
today	dziś
academy	academy
academy	akademia
academy	akademii
saint	święty
saint	święta
saint	saint
self	siebie
continued	kontynuacja
continued	kontynuował
continued	dalszy
stations	stacje
stations	stacji
stations	stanowiska
mother	matko
mother	matka
africa	afryka
culture	kultura
culture	kultury
spanish	hiszpanie
spanish	hiszpańskie
spanish	hiszpańska
spanish	hiszpański
grand	wielka
grand	grand
committee	komitetu
committee	komisja
committee	komitet
things	rzeczy
fire	ogień
fire	pożar
changed	zmieniono
changed	zmienione
changed	zmienił
changed	zmieniony
gold	złota
gold	złoto
gold	gold
gold	złoty
female	samica
female	kobieta
female	damskie
female	kobiety
female	suczka
course	kurs
directed	skierowany
directed	skierowana
directed	reżyseria
directed	skierowane
months	miesiące
months	miesięcy
months	miesiącach
chinese	chińczyk
chinese	chiny
chinese	chińskich
chinese	chińska
chinese	chiński
chinese	chińskie
previous	poprzednia
previous	poprzedni
previous	poprzednie
previous	wcześniejsze
developed	rozwijane
developed	rozwiniętych
developed	opracowane
developed	rozwinięte
developed	opracowany
size	wielkość
size	rozmiary
size	rozmiar
mentioned	wspomniano
mentioned	wspomniana
mentioned	wspomniał
mentioned	wspomniany
add	dodać
add	dodawać
add	dodaj
festival	festival
festival	festiwalu
festival	festiwal
festival	święto
peter	piotra
peter	peter
peter	piotruś
peter	piotrze
peter	piotr
basketball	koszykówki
basketball	kosza
basketball	koszykówka
basketball	koszykówkę
performance	wykonanie
performance	skuteczność
performance	występ
performance	wydajność
performance	wydajności
standard	standardowy
standard	standardowa
standard	norma
standard	standardowe
standard	standard
means	środki
means	oznacza
give	dawać
give	dajesz
give	daj
training	kształcenie
training	szkolenia
training	trening
training	szkolenie
training	treningi
artist	artystka
artist	artyści
artist	artysta
artist	wykonawca
word	słowo
word	slowo
blue	blue
blue	niebieski
blue	niebieska
blue	niebieskie
primary	podstawowy
primary	pierwotne
primary	podstawowej
primary	podstawowe
primary	podstawowa
announced	ogłosił
announced	ogłoszone
announced	ogłosili
announced	ogłoszono
announced	ogłosiła
value	wartości
value	wartość
christian	chrześcijanin
christian	chrześcijański
christian	christian
christian	chrześcijanie
christian	krystian
private	private
private	prywatne
private	szeregowy
private	prywatna
private	prywatny
catholic	katolicki
catholic	katolickiej
catholic	katolickiego
artists	artystów
artists	artyści
artists	wykonawcy
includes	zawiera
includes	obejmuje
view	widok
view	zobacz
almost	prawie
baseball	baseballu
baseball	baseball
seven	siódemka
seven	siedmiu
seven	siedem
ever	kiedykolwiek
ever	ever
provide	zapewnić
provide	zapewniać
technology	technologia
technology	technologii
technology	technologie
technology	technika
olympics	olimpijskich
olympics	olimpiada
olympics	olimpiady
