ослободителната	išlaisvinimo
иницијативи	iniciatyvos
ефес	efesas
ефес	anadolu
извидување	žvalgybos
велшки	velso
приближува	artėja
приближува	artinasi
крем	grietinėlė
крем	kremo
крем	grietinėlės
седмото	septintasis
седмото	septintoji
мвп	mvp
заложници	įkaitų
заложници	įkaitu
заложници	įkaitus
житни	grūdų
житни	javai
житни	grūdai
аранжман	susitarimas
аранжман	susitarimo
аранжман	išdėstymas
стебла	medžiai
епилепсија	epilepsija
епилепсија	epilepsijos
радерфорд	rutherford
пушењето	rūkymas
пушењето	rūkymo
специфично	konkrečių
облечен	apsirengęs
божици	deives
текстил	tekstilės
текстил	tekstilės
борење	imtynių
очила	akiniai
гео	geo
откажување	panaikinimo
откажување	panaikinimas
откажување	atšaukimas
ммф	tvf
ласкер	laskeris
здрави	ekonomiką
органска	ekologinio
техно	techno
јунг	jung
забавни	pramogos
забавни	pramoga
забавни	pramogų
извршна	generalinis
делхи	delis
херодот	herodotas
шмит	schmidt
шмит	schmitt
кен	kenas
нападнати	užpuolė
нападнати	užpuolė
издавачи	leidėjai
убавица	gražuoliukas
убавица	gražuolė
убавица	grožis
легално	teisiškai
легално	teisėtai
легално	teisinių
данкан	duncan
наследи	paveldėjo
социјализмот	socializmas
напуштена	apleistas
напуштена	apleista
милост	pasigailėjimo
тероризмот	terorizmu
тероризмот	terorizmas
пристапување	stojimo
извонреден	nepaprasto
извонреден	nepaprastas
кањон	kanjonas
земјоделие	ūkininkavimo
имунитет	imunitetą
имунитет	imuniteto
имунитет	imunitetas
рударството	kasyba
рударството	kasybos
слух	klausos
слух	klausymas
демократи	demokratai
демократи	demokratų
заеми	paskola
заеми	paskolos
картографија	kartografija
лена	lena
авелино	avellino
пропорционална	proporcinga
пропорционална	proporcingas
трамвај	tramvajų
пријави	ataskaita
огранок	chartija
огранок	chartiją
огранок	filialas
огранок	šaka
ирвинг	irving
оброк	miltų
оброк	miltai
пливач	gelbėtojas
пливач	plaukikas
патувале	keliavo
панкреасот	kasos
злата	zlata
номенклатура	nomenklatūros
номенклатура	nomenklatūra
најк	nike
однадвор	išorėje
госпоѓа	senjora
хант	medžioti
предговор	pratarmė
светилиште	prieglauda
ограда	tvoros
ограда	tvora
конзервативна	konservatorių
челси	chelsea
драматично	dramatiška
умерени	vidutinis
напаѓачите	puolėjai
поставеност	ginklavimuisi
бристол	bristolio
естетика	estetika
сексуалност	seksualumo
метохија	metohija
томпсон	tompsonas
албион	albion
сорта	veislės
сорта	veislė
пристигна	atvyko
мојсеј	moses
битлси	beatles
ритуал	apeigos
ритуал	ritualas
брукс	bruksas
потомство	palikuonių
потомство	palikuonių
чак	chuck
бони	boni
преговара	derėtis
проширени	išsiplėtę
хералд	herald
преображение	apreiškimas
елис	eliza
елис	elis
медитација	meditacija
парфем	kvepalų
парфем	kvepalai
малме	malmė
неколкумина	keletą
привлечност	atrakcija
сура	sura
безброј	begalę
протеран	ištremtas
одобрува	patvirtinti
хоризонтално	horizontalus
хоризонтално	horizontali
хоризонтално	horizontaliai
сосед	kaimynas
сосед	kaimynė
сосед	kaimyne
сосед	kaimynas
тајлер	taileris
тајлер	smėlis
алуминиум	aliuminio
алуминиум	aliuminis
алуминиум	aliuminis
ѕвезден	žvaigždės
ѕвезден	žvaigždė
ѕвезден	star
водоземци	varliagyviai
комисии	komitetai
масивни	masiškai
масивни	didžiulis
одмазди	keršto
одмазди	kerštas
мата	mata
рогови	ragai
успение	dormition
платеници	samdinys
платеници	samdiniai
спин	spin
рангирање	reitingų
рангирање	reitingas
рангирање	įvertinimas
рангирање	įvertis
обучени	apmokyti
алах	allah
троја	troy
троја	trojos
клаус	klaus
соња	sonja
наплата	sąskaitos
еколошка	ekologinė
екстремни	ekstremalus
џеферсон	jefferson
мила	mila
мила	brangi
мила	brangioji
мила	brangus
грабежи	vagystės
грабежи	apiplėšimas
гувернери	valdytojų
гувернери	valdytojai
рахман	rahman
ханза	hansa
астана	astana
поправка	remonto
поправка	remontas
нагласи	pabrėžė
нагласи	pabrėžė
критично	esminė
апсорбира	absorbuoti
апсорбира	sugerti
јанко	janko
утре	rytoj
робеспјер	robespjeras
неутрино	neutrino
елвис	elvis
гранада	granada
мик	mic
мик	mikai
преживее	išgyventi
бронзена	bronza
лора	laura
дакота	dakotos
томаш	tomasz
томаш	tomáš
прогон	tremtyje
прогон	persekiojimo
контролирана	kontroliuojamų
контролирана	kontroliuojami
контролирана	kontroliuojama
морисон	morrison
исчезнување	išnykimas
исчезнување	išnykimo
исчезнување	dingimo
влага	drėgnumas
влага	drėgmės
влага	drėgnis
влага	drėgmė
влага	drėgnumas
влага	drėgnis
влага	drėgmė
романтизам	romantizmas
зенит	zenit
потрошувачки	vartotojas
потрошувачки	vartotojų
купен	perkami
купен	įsigytas
купен	pirktas
купен	nupirkti
купен	įsigyta
соседите	kaimynai
просперитет	klestėjimas
просперитет	gerovės
просперитет	gerovė
продадено	parduota
продадено	parduodami
продадено	parduotas
продадено	parduodama
вулканот	ugnikalnio
гибсон	gibson
инвестициски	investavimas
правоаголна	stačiakampio
правоаголна	stačiakampis
реставрација	atkūrimas
реставрација	atstatymas
реставрација	atkūrimo
реставрација	atkurti
уникатни	unikali
уникатни	unikalus
мисионери	misionieriai
тенк	sugebėti
тенк	tankai
тенк	bakas
најдолга	ilgiausia
најдолга	ilgiausiu
мито	kyšininkavimo
мито	skiepų
кантонот	kantonas
вестерн	vakarų
макијавели	machiavelli
витамини	vitaminai
озирис	oziris
мешан	sumaišyti
мешан	maišomi
дипломатска	diplomatinio
дипломатска	diplomatinis
дипломатска	diplomatinių
облеки	komplektus
константи	konstantos
религиозно	religinių
грузиски	gruzijos
духовите	vaiduokliai
духовите	spiritas
одбори	skydai
одбори	lentos
триумф	triumfas
славе	vergas
толкин	tolkien
изменети	redaguota
франсис	pranciškus
коњаница	kavalerija
фустан	suknelė
фустан	apranga
фустан	suknele
фустан	aprangos
психолог	psichologas
маратон	maratonas
палење	uždegimas
палење	uždegimo
фашистичка	fašistų
товари	apkrovos
несоница	nemiga
будистички	budistų
вали	valli
форматирање	formatavimo
мозаици	mozaikos
нестор	nestor
кабелски	kabeliai
кабелски	kabelių
диктатура	diktatūra
диктатура	diktatūros
островчиња	salelėse
креативни	kūrybos
барбуда	barbuda
посредство	tarpininkavimo
болно	širdį
болно	nesveikas
болно	serga
болно	skausmingas
болно	skausminga
маркос	marcos
ферми	fermi
пајажина	interneto
пајажина	žiniatinklio
стон	akmens
џесика	džesika
џесика	jessica
аполо	apollo
затворено	uždaryta
затворено	uždara
одликуван	papuošti
одликуван	pagerbtas
поседување	pasisavinti
лажно	netikra
лажно	netikras
џеси	džesis
призрен	prizrenas
точноста	tikslumo
точноста	tikslumas
наставки	priesagos
привремени	laikinai
козметички	kosmetikos
сенки	šešėliai
делегатите	delegatai
оценки	reitingus
оценки	balai
лажна	klaidingai
лажна	netikra
лажна	netikras
погодоци	variantų
протекторат	protektoratas
сензори	jutikliai
сензори	jutiklio
католик	katalikų
теофил	teofil
џорџо	giorgio
максимален	didžiausias
средување	dekoravimo
продуктивноста	našumas
продуктивноста	produktyvumas
светови	pasauliai
свила	šilko
лири	leary
лири	lira
преживеал	išgyveno
болејн	bolein
томсон	tompsonas
томсон	thomson
авто	auto
авто	automatinė
лингвист	lingvistas
полумесечина	pusmėnulio
одбранбена	gynybą
напаѓачи	puolėjai
изненадувачки	stebėtinai
изненадувачки	stebina
клиника	klinika
клиника	klinikos
клиника	klinikoje
дизел	dyzeliniai
дизел	dyzelinas
дизел	dyzelino
олимп	olimpą
хлорид	chloridas
хлорид	chlorido
шансите	šansai
шансите	šansai
секретаријат	sekretoriatas
секретаријат	sekretoriato
хоризонтот	horizontas
див	laukiniai
див	laukinių
ручек	pietus
ручек	pietų
ручек	pietūs
распуштена	išformuota
бул	bull
гонзалез	gonzalez
раствори	ištirpsta
латино	latino
флексибилност	lankstumas
флексибилност	lankstumo
сеќавања	primena
сеќавања	prisiminimai
сеќавања	pasirodo
мутации	mutacijos
мутации	mutacijų
галатасарај	galatasaray
хронична	lėtinis
хронична	lėtinė
хронична	lėtinio
миног	minogue
висконсин	viskonsino
надминување	įveikti
бети	betty
европејците	europiečiai
бенет	bennet
републиканците	respublikonai
хофман	hoffmann
хофман	hofmanas
остварувањето	pasiekti
падова	padua
фашизмот	fašizmas
дијаманти	deimantai
дијаманти	deimantų
сфр	sfr
цонга	tsonga
вилица	žandikaulio
проектирање	projektavimas
проектирање	dizaino
проектирање	dizainas
домаќинството	buitinių
забавува	lėtina
бахтин	bachtinas
хипертензија	hipertenzija
пробие	prasiskverbti
генетска	genetinis
генетска	genetiniai
полинезија	polinezija
газа	gazos
литургија	liturgija
благослов	palaima
благослов	dovanos
каталонски	katalonų
верни	ištikimas
верни	atsidavusi
верни	ištikimas
трст	trieste
мирко	mirko
вал	val
констанциј	konstancijus
сесии	užsiėmimai
сесии	sesijas
сесии	posėdžiai
сесии	sesijos
фаворит	mėgstamiausias
морален	moralinę
лакрос	lakroso
лакрос	lacroix
идеал	idealus
идеал	idealu
носачи	vežėjams
генератор	generatorių
генератор	generatorius
пропаст	doom
метален	metalo
метален	metalas
матео	matteo
матео	mateo
скрши	sulaužė
разочарување	nusivylimas
разочарување	nusivylimą
мое	mano
мечување	aptvarų
пагански	pagonių
имиграција	imigracija
имиграција	imigracijos
имиграција	emigracijos
имиграција	migracija
годишнина	jubiliejus
мерат	išmatuotas
мерат	matuojamas
плаши	išgąsdinti
состојка	ingredientas
легија	legionas
паралелна	lygiagrečiai
нумерички	skaitmeninis
огледала	veidrodžiai
пронаоѓачи	išradėjų
днепар	dniepro
линч	lynch
трајна	perm
ски	slidinėjimo
договорено	sutarta
победите	pergalių
оперира	veikia
геноцид	genocidas
милја	konfliktas
милја	mylios
љубовници	mylėtojai
фотографски	fotografijos
колапс	išrūgos
колапс	sutraukti
еминем	eminem
кампови	stovyklos
кампови	stovyklose
свежи	šviežias
свежи	šviežios
свежи	švieži
свежи	šviežia
идеали	idealus
доброволец	savanorišką
физиолошки	fiziologinių
азар	pavojus
празно	tuščia
празно	tuščias
вале	valle
вале	vale
артритис	artritas
измир	izmire
нишка	siūlus
грам	gramo
обвинетиот	atsakovas
обвинетиот	atsakovo
забрзано	akceleracijos
јени	jenų
билети	bilietai
билети	bilietus
билети	bilietų
примиле	gautas
насилни	smurtinių
штраус	strauss
подигнување	aukštis
залихи	atsargų
залихи	atsargų
евтини	pigiai
евтини	pigūs
евтини	pigus
евтини	pigios
евтини	pigu
одела	tinka
игла	adatos
игла	adatą
игла	adata
игла	adatų
манипулација	manipuliavimo
бунтови	riaušės
бунтови	sukilimas
благородник	didiko
благородник	inertinių
јелена	jelena
жестоки	aršios
осака	osaka
нациите	tautos
просечни	vidutiniškas
глукоза	gliukozė
поетите	poetai
локомотив	lokomotiv
дисперзија	dispersija
пациент	pacientas
стапчиња	lazdelėmis
сото	soto
унгарска	vengrijos
советува	pataria
советува	patarti
историографија	istoriografija
мечеви	kardus
болна	nesveikas
болна	serga
болна	skausmingas
болна	skausminga
галилео	galileo
галилео	prisiminus
трипати	trigubai
пристигнување	atvykimas
сопот	sopotas
пацифик	ramiojo
преведувачи	vertėjai
преведувачи	translators
топол	šiltas
топол	šilta
топол	šiltai
топол	šiltos
дејствувал	prekiavo
дејствувал	veikė
твојата	tavo
твојата	savo
твојата	jūsų
цртани	filmukus
аврам	avram
аврам	abraham
грабеж	vagystės
грабеж	apiplėšimas
ивица	ivica
слонови	drambliai
оток	patinimas
поминато	praleido
поминато	praleistas
поминато	išleista
мистерија	marijos
мистерија	paslaptis
стап	cukranendrių
астероидот	asteroidas
лорена	lorena
егзистенција	buvimas
едуардо	eduardo
акумулација	kaupimasis
акумулација	kaupimosi
аудиција	nusifilmuoti
еремија	džeremis
благородниците	didikų
капитализам	kapitalizmas
жалба	skundas
абортус	abortą
хроника	chronicle
џуџиња	naktis
комонс	commons
барт	bartai
џоан	džoana
вкусови	kvapu
секвенца	seka
тезеј	tesėjas
чудата	stebuklus
кавала	kavala
тимберлејк	timberlake
сузана	susanna
инвестирање	investavimas
инвестирање	investicijos
инвестирање	investicija
незаконски	neteisėtai
преведе	išversti
побрз	greitesnis
гостински	svečias
пристигне	atvyksta
расизам	rasizmas
расизам	rasizmu
културите	kultūrų
економистите	ekonomistai
заштитено	saugomų
чистота	grynumas
клаудио	claudio
венечна	alveolėse
обвинител	prokuratūra
обвинител	prokuroras
разговараат	aptarti
мадам	madam
речници	žodynų
уставни	konstitucinių
благородни	inertinių
панда	panda
скорсезе	scorsese
девојчиња	mergaitės
девојчиња	mergaites
девојчиња	merginos
тинејџер	teen
тинејџер	paauglį
мајлс	km
плоштади	aikštės
моментална	momentinis
калабрија	kalabrijos
бој	berniukas
модерно	moderni
модерно	madinga
хаген	hagen
павилјон	paviljone
таксономија	taksonomija
дејли	daley
среќни	laiminga
среќни	laimingas
среќни	laimingi
стекнат	įsigijo
намалени	sulėtėjo
послабо	silpnesnis
послабо	silpnesnė
тргува	prekiauja
авенир	avenir
маки	kančia
тен	tan
совршен	tobulos
совршен	tobulas
совршен	tobula
јанина	janina
плутарх	plutarchas
неутралност	neutralumo
задоволни	patenkintas
градинарство	sodininkystės
иванович	ivanovič
аја	aya
наталија	natalija
железото	geležies
железото	geležis
амнестија	amnestija
твитер	twitter
петерсбург	peterburgo
вук	vuk
полесен	lengvesnis
кокаин	kokso
кокаин	koksas
ветува	pažadai
ветува	pažadų
воини	kariai
илузии	iliuzijų
канцеларот	kancleris
чен	čen
чен	chan
џакомо	giacomo
исчезнал	dingo
виничка	vinycia
нерви	nervai
крши	pertraukas
фрли	atleisti
фрли	išmesti
стратешко	strateginiai
дерида	derrida
доминантни	dominuojančių
зои	zoja
посилни	stipresnis
исфрлени	išstumtas
орда	orda
атеисти	ateistas
агата	agata
жозе	josé
сув	sausa
сув	sausas
сув	sausos
прехранбени	mitybos
личното	asmeninis
мапи	žemėlapiai
ерих	erich
боинг	boeing
вице	vice
земерда	zemerda
чувствителни	jautrus
чувствителни	jautri
чувствителни	jautrios
дискографија	diskografija
дрогба	drogba
орев	riešutų
орев	riešutų
вампири	vampyrai
зафат	gniaužtuose
донесено	atnešė
олеснува	palengvina
кубански	kubos
свежа	šviežias
свежа	šviežios
свежа	švieži
свежа	šviežia
пука	puka
пука	šaudo
напуштени	apleistas
напуштени	apleista
борнео	borneo
милиција	kovinė
јап	jaap
јап	japas
пародија	parodija
гледаност	reitingais
гледаност	reitingų
гледаност	reitingai
пладне	vidurdienį
пладне	vidurdienį
прототип	prototipas
хемпшир	hampshire
конзулат	konsulatas
нападната	užpuolė
нападната	užpuolė
крап	karpiai
филипо	filippo
блу	bleu
ром	rom
ром	roma
ром	romai
ром	romų
мен	vyru
мен	vyras
мен	žmogus
сатира	satyra
течни	skystis
течни	skystas
швајцарска	šveicarijos
швајцарска	šveicarija
шише	butelis
шише	buteliukai
муслиман	musulmonų
променливата	kintamasis
хлор	chloro
кинетичка	kinetinės
сочи	sočyje
талин	talino
рејнолдс	reinoldsas
татка	tėvas
медицинско	med
глобализацијата	globalizacija
триење	trinties
марибор	maribor
фаворити	mėgstami
блокирање	blokavimo
блокирање	blokavimas
закопани	palaidotas
дионис	dioniso
гомез	gomez
гомез	gómez
арсен	arsene
врховната	aukščiausiasis
џулијан	julien
заменка	įvardis
квинс	karalienes
тензии	įtampą
тензии	įtampa
вмешан	dalyvavo
мехмет	mehmet
блокада	blokada
блокада	blokadą
нишки	gijos
малага	malaga
малага	málaga
еко	eco
еко	eko
рајко	rajko
најдолгата	ilgiausia
најдолгата	ilgiausiu
униформа	vienodas
овчар	aviganis
пинг	ping
националистички	nacionalistinių
националистички	nacionalistines
бранителите	gynėjų
фауст	faust
гинсберг	ginsberg
градоначалници	merai
спротивставени	kontrastingas
паѓање	krenta
сајбер	kibernetinio
почитувани	gerbiama
сасуоло	sassuolo
обелиск	obeliskas
кгб	kgb
тимур	timūras
влезни	įvesties
нико	niko
убедувања	įsitikinimus
елита	elitas
елита	elite
команданти	vadai
ракија	grapa
претседателство	pirmininkavimas
претседателство	pirmininkavimas
потенцира	priimtų
фанк	funk
усна	lūpų
ковчегот	karstas
професии	profesijų
професии	profesijos
племенски	genčių
бурма	birmos
бурма	birma
бурма	birmoje
стекнато	įsigijo
тејт	teit
радикални	radikalių
колегите	kolegos
престижната	prestižinio
пробив	proveržio
комплексен	kompleksas
комплексен	sudėtingas
абдула	abdullah
финална	galutiniai
финална	galutinis
финална	galutinė
финална	finalas
ролс	rawls
ролс	ritiniai
посилна	stipresnis
гранџ	grunge
клотар	chloteras
хермиона	hermiona
теолози	teologų
афродита	afrodite
метаболизмот	metabolizmas
метаболизмот	metabolizmo
демони	demonai
монтгомери	montgomery
отровни	toksinių
отровни	nuodingas
гарос	garros
разделени	atskirtas
разделени	atskirta
мелани	milda
самрак	saulėlydžio
одвоено	atskirtas
одвоено	atskirta
епидемија	epidemija
затворањето	uždarymo
меморијал	atminimo
радикално	radikalių
пореметување	sutrikimas
килограм	kilogramas
килограм	kilogramą
мелодија	melodija
столица	kėdė
столица	kėdės
помошници	padėjėjai
помошници	pagalbininkai
орли	eagles
чинг	jing
кришна	krišna
традициите	tradicijos
традициите	tradicijų
традициите	tradicijas
дувачки	pučiamųjų
хирург	chirurgas
смрека	kadagių
активира	aktyvina
горски	gorski
навика	įprotis
скандал	skandalas
бергман	bergman
дуо	duo
бали	balio
опасности	pavojai
крстови	esančiuose
крстови	kerta
гуска	žąsų
гуска	žąsys
сладок	mielas
сладок	fainas
семинари	seminarai
уставно	konstitucinių
електрицитет	elektra
електрицитет	elektros
вечно	amžinai
борови	pušų
карлајл	carlisle
билбао	berimbau
магнезиум	magnis
магнезиум	magnio
предатори	plėšrūnų
етнографски	etnografiniu
интегрирани	integruotos
интегрирани	integruota
давачки	mokestis
давачки	mokestis
давачки	mokesčiai
норис	norisas
нуклеарен	branduolinės
нуклеарен	branduolinis
археолог	archeologas
џови	jovi
подземјето	požeminis
подземјето	pavasarį
подземјето	požemių
нуркач	narų
пошироки	platesnes
фернандез	fernández
фернандез	fernandez
должат	skolingas
велингтон	wellington
ханибал	hanibalas
ирско	airių
ирско	airijos
ирско	airiai
мелвил	melvilio
обвиненија	mokesčiai
есенин	jeseninas
конфедерацијата	konfederatų
викинзите	vikingai
сенатор	fantastika
сенатор	senatorius
креолски	kreolų
миграции	migracijos
миграции	migracija
табли	skydai
табли	lentos
шут	jester
колонисти	kolonistų
регистри	registrus
регистри	registrai
регистри	registras
регистри	registrai
блогови	tinklaraščių
бора	bora
халил	halil
халил	khalil
гласно	garsiai
гласно	garsiai
малајски	malajų
опатијата	abi
гранките	filialai
гранките	šakos
конгреси	kongresų
цртан	filmuko
рози	rožės
алкохолни	alkoholinių
забавен	smagu
забавен	smagiai
забавен	linksma
забавен	linksmai
забавен	pramogų
уставен	konstitucinių
севиља	sevilla
дојдоа	atėjau
дојдоа	atėjo
гваделуп	gvadelupa
експедиции	ekspedicijas
демографски	demografiniai
андерсен	andersen
рамон	ramón
близнак	dvynys
брада	chin
брада	barzda
супермен	supermenas
присли	presley
магла	rūko
магла	dis
парализа	paralyžius
крстен	pakrikštytas
балзак	balzac
стотини	šimtai
романса	romantika
шлек	schleck
селанец	valstiečių
торес	torres
пожелно	pageidautina
пожелно	pageidautina
расправии	rietenos
расправии	ginčai
капење	vonia
капење	vonios
фелини	fellini
протеин	baltymų
протеин	baltymas
протеин	baltymai
монти	monty
ботаничка	botanikos
деменција	demencija
ериксон	ericsson
попладне	popietę
урош	uros
класично	klasikinis
флоренс	florencijos
функционалност	funkcionalumas
најдолго	ilgiausia
најдолго	ilgiausiu
габрово	gabrovo
тензија	įtampa
дамка	dėmių
скалите	laiptai
скалите	laiptų
јаже	virvės
јаже	virvė
критични	esminė
препораки	rekomendacijos
раселени	perkeltųjų
ојлер	eulerio
јаки	stiprūs
јаки	tvirtas
јаки	stipri
јаки	stiprus
нобел	nobel
ерес	erezija
екраните	temperatūrai
затвореник	kalinys
затвореник	con
загора	zagora
обновува	atstato
екатерина	jekaterina
ефенди	efendi
забрзува	greitina
ловење	žūklės
ловење	medžioti
ловење	medžioklė
ловење	medžioklės
џан	gian
приватизација	privatizuoti
приватизација	privatizacija
приватизација	privatizavimas
приватизација	privatizacijos
приватизација	privatizavimo
координира	koordinavimo
кристин	kristin
кристин	kristina
кристин	christine
рум	romo
рум	romas
фримен	frimanas
пресуди	sakiniai
пресуди	įsitikinimus
пресуди	sprendimai
рабин	rabinas
камила	kamila
камила	camel
гума	padanga
гума	padangos
гума	padanga
ира	ira
фискална	fiskalinės
сари	surrey
мусолини	mussolini
ултра	ultra
секојдневни	kasdienio
тагоре	tagorė
хинди	hindi
националности	tautybių
мајки	mamas
мајки	motinoms
мајки	motinos
мајки	motina
руни	rooney
морнари	jūreiviai
морнари	jūreivių
побуна	maišto
емир	emir
расна	rasinės
визуелно	vizualiai
златко	zlatko
џем	uogiene
џем	gem
џем	džemo
специјалисти	specialistai
навреди	įžeisti
навреди	įžeidimų
дипломата	diplomas
запалени	sudegino
дејвидсон	davidson
коперник	copernicus
авантури	nuotykiai
авантури	nuotykių
свиња	kiaulė
свиња	kiaulių
поддржувач	šalininkas
циркулација	apyvartą
елија	elia
црногорците	juodkalniečiai
млс	mls
сив	pilka
инжинер	inžinierius
тераса	terasa
тераса	veranda
подготвување	rengiant
рапер	reperis
воспитување	tėvystė
воспитување	garbinga
грегори	gregory
зајакне	stiprinti
патник	keliautoja
патник	keliautojas
патник	keleivis
патник	keleivinis
кејси	keisis
нацистички	nacių
херц	hertz
месечини	mėnuliai
ата	aikste
ата	ata
облекување	kambariniai
протерување	išsiuntimas
валери	valerijus
мохамед	mohammed
правници	teisininkai
правници	advokatai
сиромашен	vargšas
сиромашен	vargšai
конкуренти	konkurentų
конкуренти	konkurentai
аман	ooo
парадокс	paradoksas
квадрати	aikštės
стомак	pilvo
стомак	pilvas
симнување	atsiųsti
тапан	būgno
тапан	būgnas
танчери	šokėjų
комунизам	komunizmas
ривер	upės
ривер	upė
скулптор	skulptorius
генетиката	genetikos
опкружена	apsupti
таванот	palėpėje
таванот	lubos
грипот	gripas
кис	bučinys
чекан	plaktuką
обред	apeigos
боксер	boksininkas
круша	kriaušės
круша	kriaušių
хиспанија	hispania
слатка	sweet
слатка	saldus
слатка	miela
слатка	mielas
слатка	fainas
постоеше	egzistavo
забавна	smagu
забавна	smagiai
забавна	linksma
забавна	linksmai
јусуф	yusuf
горди	didžiuojuosi
конзервативците	konservatoriai
роланд	rolandas
растечки	auga
свесна	sąmoningo
вештерки	raganos
ентузијазам	entuziazmo
ентузијазам	entuziazmas
сигналите	signalus
сигналите	signalai
миа	mia
оданочување	apmokestinimo
оданочување	apmokestinimas
ленон	lenonas
бозони	bozonai
антологија	antologijoje
кожни	oda
кожни	odos
милиметри	milimetrų
милиметри	centimetrų
милиметри	milimetrų
дневници	žurnalai
дневници	dienoraščiai
хансен	hansen
желки	vėžliai
нилс	niels
стимулира	stimuliuoti
дистрикт	detroito
мува	skristi
антоанета	antuanetė
флејта	fleita
уницеф	unicef
лекции	pamokos
брендон	brendan
чезаре	cesare
бред	britt
бред	bredas
апсорпција	absorbcija
апсорпција	rezorbcija
апсорпција	sugertis
апсорпција	absorbcijos
инсталација	įrenginio
инсталација	diegimas
инсталација	įrenginys
инсталација	įrengimas
инсталација	montavimas
капи	kepures
капи	dangteliais
магнети	magnetai
гласник	herald
спароу	sperou
волци	vilkai
јадранско	adrijos
реновиран	renovuotas
исфрлена	išstumtas
азиска	azijos
преведен	išversti
комбиниран	kombinuotosios
застапник	advocate
зглобови	agentūrų
глувци	žiurkės
глувци	žiurkių
влече	pateikiamos
боно	bono
кошула	marškiniai
кошула	marškinėliai
роки	rokis
тао	tao
ракови	vėžio
идеално	idealus
идеално	idealu
идеално	geriausia
мигрираат	migruoti
попова	popova
тројка	trijulė
тројка	trejeto
тројка	trois
енвер	enver
тунели	tunelių
тунели	tuneliuose
множење	daugyba
елиминација	šalinimas
родезија	rodezijos
шеријатот	šariato
енергетика	energija
енергетика	energetika
тигрите	tigrai
бекам	beckham
кашмир	kašmyro
телекомуникациски	telekomunikacijos
телекомуникациски	telekomunikacijų
телекомуникациски	telekomunikacijos
телекомуникациски	telekomunikacijų
телекомуникациски	ryšiai
алишта	apranga
алишта	drabužius
алишта	drabužiai
фина	fina
сантос	santos
напуштено	apleistas
напуштено	apleista
финансиите	finansai
финансиите	finansus
резонанца	rezonanso
трн	thorn
глодари	graužikų
глодари	graužikai
глодари	graužikų
глодари	graužikams
глодари	graužikai
убиена	nužudytas
ростов	rostov
слепи	aklas
слепи	aklai
слепи	akla
федерико	federico
престиж	prestige
растеж	augimas
растеж	augimo
трио	trio
темелно	kruopščiai
