antologia	антологія
legali	правова
legali	юридична
legali	юридичні
legali	юридичний
zucchero	цукор
funzionalità	функціональності
funzionalità	функціональність
sacerdoti	священики
este	este
clero	духовенство
clero	священики
rappresentazioni	представництва
rappresentazioni	представлення
rappresentazioni	виступів
frontale	front
frontale	спереду
frontale	передні
frontale	фронт
frontale	передній
frontale	лобова
england	англія
ordinario	звичайну
ordinario	незвично
ordinario	звичайні
soppressione	вилучення
soppressione	придушення
soci	партнери
pérez	перес
pérez	перез
pérez	перес
hugh	гуго
again	знов
again	знову
eserciti	армії
eserciti	армій
secondarie	вторинної
specializzata	спеціалізовані
specializzata	спеціалізована
manovra	маневр
valencia	валенсія
variazione	варіант
variazione	варіація
variazione	зміна
variazione	change
variazione	змінити
archivi	архіви
away	відійшов
away	відсутність
away	away
away	геть
sospensione	підвіска
sospensione	призупинення
pirati	пірати
pirati	пірат
tavole	столи
tavole	столики
tavole	таблиці
tavole	таблиць
veneziano	венеціанське
wallace	воллес
loggia	лоджія
pesaro	пезаро
sultano	султан
toro	торо
toro	taurus
toro	бик
toro	бул
toro	бика
toro	булл
eletti	обраний
eletti	обрання
superman	супермен
modern	сучасні
modern	сучасно
modern	сучасний
modern	сучасне
mass	маса
mass	mass
percentuali	відсотки
percentuali	відсотків
percentuali	відсотками
emissione	видачі
emissione	емісія
massimi	максима
massimi	maxima
after	після
ferite	рани
kiev	київ
kiev	київ
realizzando	розуміємо
phoenix	фенікс
alluminio	алюміній
alluminio	алюміній
vendere	продати
vendere	продавати
vendere	продаж
datato	датоване
corno	ріг
corno	горн
piatti	посуд
piatti	страв
piatti	страви
futuri	майбутнє
protesta	протест
rachel	рейчел
immacolata	bythaelurus
canti	співають
canti	співай
canti	співаю
canti	chants
canti	пісень
canti	пісні
canti	songs
intellettuali	інтелектуальна
intellettuali	інтелектуальної
elia	еліа
bersaglio	призначення
bersaglio	ціль
manifesto	плакат
manifesto	постер
manifesto	маніфест
manifesto	manifest
napoletano	неаполітанська
fedeltà	вірність
fedeltà	вірність
raw	raw
illustri	бувають
integrato	комплексний
integrato	вбудований
integrato	вбудована
integrato	вбудованим
integrato	вбудовані
perfino	навіть
perfino	даже
tomáš	томаш
watson	вотсон
interfaccia	інтерфейс
finanziaria	фінанси
finanziaria	фінансові
finanziaria	фінансова
terrore	жах
terrore	терор
mod	mod
reynolds	рейнольдс
martiri	мучеників
istanbul	стамбула
istanbul	стамбулі
istanbul	стамбул
colorado	колорадо
für	für
separati	відокремлених
separati	розійшлися
separati	розділені
separati	окреме
separati	відокремити
continuato	тривале
continuato	продовжив
continuato	продовжували
continuato	продовжується
continuato	продовжила
colorazione	фарбування
colorazione	розфарбування
parità	парність
parità	рівність
parità	доходів
etiopia	ефіопії
sandra	сандра
soggiorno	залишитися
soggiorno	залишатися
soggiorno	stay
illinois	іллінойс
magico	чарівна
magico	магія
magico	magic
magico	магічні
magico	чарівне
magico	магічне
orleans	орлеан
spalla	плече
spalla	помічником
challenge	виклик
scipione	сципіон
bach	бах
getto	реактивний
bros	bros
phillips	філліпс
giocate	відтворити
giocate	грати
giocate	програти
sentito	почув
sentito	чув
sentito	почула
sentito	чули
sentito	чула
sloveno	словенський
call	дзвінок
call	зателефонувати
call	виклик
indiani	індіанці
indiani	індійська
indiani	індійський
geometria	геометрія
biagio	biagio
biagio	блез
millennio	тисячоліття
giganti	гіганти
giganti	giant
giganti	велетенська
giganti	гігант
giganti	велетень
zia	тітка
zia	тьотя
rimosso	вилучено
rimosso	видалили
rimosso	вилучені
rimosso	видалено
traduzioni	переклад
traduzioni	переклади
happy	щаслива
happy	щасливі
happy	щасливе
happy	щасливий
happy	щасливим
voll	voll
estrazione	видобування
estrazione	видобування
accompagnamento	наставництво
minerali	руда
minerali	мінерали
minerali	мінеральна
ticino	тічино
mondi	світи
mozart	моцарта
mozart	моцарт
fissa	фіксована
fissa	виправлено
fissa	фіксований
distinguere	відрізняти
distinguere	відрізнити
bmw	бмв
bmw	bmw
campionessa	чемпіон
monarchia	монархія
adolfo	адольфо
adolfo	адольф
adolfo	адольф
installazione	встановлення
installazione	встановлення
installazione	установити
installazione	встановити
installazione	встановлення
spin	лічильника
michigan	michigan
violoncello	віолончель
applicata	застосування
applicata	застосовано
applicata	звернулася
collaboratori	співробітники
monferrato	монферрат
monferrato	монферрато
esposti	відкритий
joão	жуан
leon	леон
alexandre	александр
colli	перестануть
colli	коллі
colli	пагорби
grotte	печер
grotte	печери
alessandra	олександра
alessandra	александра
alessandra	алессандра
definiti	визначений
definiti	визначена
definiti	визначені
definiti	визначено
definiti	визначається
abiti	сукні
abiti	одяг
assi	осі
ostilità	ворожість
rodríguez	родрігес
hop	гоп
hop	hop
hop	хоп
cristoforo	крістофоро
cristoforo	крістофер
ernest	ернест
severo	север
severo	северо
severo	суворі
severo	тяжкий
severo	корми
return	повернутися
return	повернення
cecil	сесіл
governi	уряди
esistere	існують
esistere	існує
comandanti	командуванням
pallone	колба
pallone	кулі
pallone	кулька
pallone	бал
recitato	зірочкою
attraversato	перетнув
adatta	підходить
adatta	вмістити
adatta	підбір
adatta	підійде
adatta	влаштувати
adatta	підходить
arizona	аризона
wagner	вагнер
promosse	рекламні
promosse	підвищили
promosse	рекламний
cristallo	ясні
cristallo	кристал
vercelli	верчеллі
secco	сухий
secco	суха
secco	сухо
secco	сухе
secco	сухі
annibale	ганнібал
crollo	згортання
crollo	згорнути
cosimo	козімо
body	тіло
body	тіла
combatté	билися
combatté	бився
combatté	воював
combatté	боролися
combatté	воювали
affetto	класики
amanda	аманда
picco	пік
negozi	магазинів
negozi	крамниці
negozi	магазини
rca	rca
cancellazioni	скасування
dit	ді
ignazio	ігнасіо
ignazio	ігнатій
ronald	рональд
retro	retro
retro	ретро
naso	ніс
melbourne	мельбурн
pastorale	пастораль
peste	зараза
peste	чума
ghost	примара
ghost	привид
harvey	гарві
harvey	харві
isaac	ісаак
pausa	break
pausa	перерва
pausa	розбити
pausa	розрив
pausa	перерви
pausa	пауза
pausa	призупинити
razze	гонок
razze	раси
razze	порід
know	знаю
know	знати
know	know
know	знайома
hunt	полювати
hunt	полювання
coloni	колоністів
coloni	settlers
testimone	свідок
mercati	ринки
mercati	ринків
crebbe	виросла
lontana	далеких
lontana	вій
lontana	далекого
tele	tele
sposare	одружуватися
sposare	одружитися
palmer	палмер
scrivi	записати
scrivi	напишіть
scrivi	пишіть
scrivi	виписати
scrivi	написати
reed	рід
emily	емілі
napoletana	неаполітанська
acquisito	придбані
rivalità	суперництво
rivalità	протистоянь
sequel	нетерпінням
pellicole	films
pellicole	фільми
pellicole	фільмів
pellicole	фільм
pellicole	плівка
hms	hms
reality	реальність
reality	реаліті
transizione	перехід
transizione	перехідний
taiwan	тайвань
taiwan	тайванська
circondato	оточують
circondato	оточили
pour	відра
cardinali	кардиналів
müller	мюллер
müller	мюллер
xxi	xxi
cantato	співав
cantato	співали
cantato	заспівав
cantato	співала
cantato	заспівали
cantato	сон
cantato	авторська
freccia	стрілок
freccia	стріла
freccia	стрілка
stellare	зоряна
colpevole	винен
colpevole	винним
colpevole	винний
protocollo	протокол
claire	клер
folla	натовпи
folla	натовп
folla	натовпі
concorrente	учасник
concorrente	конкурентів
libia	лівії
uniforme	форма
josh	джош
ribellione	бунт
ribellione	повстання
raro	рідкісна
raro	рідкісні
raro	рідкісний
raro	рідкість
raro	рідкісне
fausto	фаусто
fausto	фауст
dimostrazione	демонстрація
dimostrazione	демо
dimostrazione	продемонструвати
dimostrazione	демонстрація
dimostrazione	демонстрацію
concesse	розуміється
eseguiti	виконано
eseguiti	виступали
eseguiti	виступала
impressione	враження
run	запускати
run	запустити
run	run
run	виконати
aperti	відкрити
aperti	відкрита
aperti	відкрито
aperti	відкриті
aperti	відкритий
duchessa	герцогиня
cavo	дріт
cavo	кабель
gallese	валлійська
carmelo	кармело
separata	відокремлених
separata	розійшлися
separata	розділені
separata	окреме
separata	відокремити
siviglia	севільї
invita	запрошує
invita	запрошення
invita	запрошую
invita	запросити
invita	запрошення
omicidi	убивство
omicidi	вбивств
omicidi	вбивства
residente	жителька
umbria	умбрія
holmes	холмс
diga	гребля
reato	злочини
reato	злочин
reato	кримінальна
continuamente	неодноразово
continuamente	постійно
continuamente	постійно
contemporaneo	сучасна
contemporaneo	contemporary
contemporaneo	сучасне
trasformare	перетворити
trasformare	перетворення
got	got
associati	колегам
associati	спільників
filadelfia	філадельфія
vertice	саміт
vertice	вершина
vertice	вершиною
vertice	вершина
vertice	вершину
attuazione	реалізації
attuazione	впровадження
attuazione	реалізація
attuazione	реалізацію
gregory	ґреґорі
gregory	григорій
gregory	грегорі
narrativa	творчість
narrativa	поема
narrativa	фантастика
narrativa	культурі
procuratore	прокурор
procuratore	прокурора
operatori	оператори
menzione	згадай
dar	дар
verbo	дієслово
distribuita	поширюється
uguali	дорівнює
uguali	рівне
uguali	рівний
uguali	дорівнює
creatore	maker
creatore	творця
creatore	творець
creatore	автор
creatore	створив
leva	важіль
leva	важіль
macchia	пляма
macchia	пляму
macchia	розмивання
intenzioni	наміри
rudolf	рудольф
soglia	поріг
ortodossa	православний
ortodossa	православної
ortodossa	orthodox
ortodossa	православна
ortodossa	православні
hope	надії
hope	надія
hope	надіюсь
liberato	звільнені
liberato	звільнено
automatica	автоматична
automatica	автоматичний
automatica	автоматичне
automatica	автоматичні
pirenei	піренеї
guardare	дивитися
guardare	подивитися
guardare	дивіться
guardare	дивися
guardare	спостерігати
guardare	дивиться
guardare	дивитися
guardare	дивлюсь
nuotatore	плавець
nuotatore	рятівник
perielio	перигелію
rivali	суперників
rivali	суперниками
rivali	конкурувати
manoscritti	рукописи
manoscritti	грамоти
manoscritti	рукопис
controllata	керується
rettore	дін
rettore	ректора
folk	народний
folk	народного
folk	фольклор
folk	народні
folk	фолк
folk	народна
beatles	beatles
costruttori	архітектори
costruttori	будівельники
costruttori	виробники
tendono	схильні
significativa	значний
bombardamenti	висаджувати
bombardamenti	бомбардування
lou	лу
tubo	трубу
tubo	труба
tubo	люльку
tubo	каналом
tubo	труби
tubo	труба
adottata	приймається
decisivo	рішучий
impostazione	встановлення
canonico	canon
canonico	канонічної
rex	рекс
gestisce	вдасться
gestisce	влаштує
soffitto	стелі
soffitto	стеля
giove	юпітер
comprensione	розуміючи
comprensione	взаєморозуміння
comprensione	розуміння
fisici	фізична
fisici	фізичні
fisici	фізичне
recensioni	огляди
recensioni	відгуки
arrivata	прибуло
arrivata	прибули
arrivata	приїхав
arrivata	приїхали
vangelo	євангеліє
cesena	чезена
rogers	роджерс
imperatrice	імператриця
ieri	вчора
ieri	учора
intervallo	асортимент
intervallo	діапазон
intervallo	хребет
intervallo	інтервал
intervallo	проміжок
poetica	поетичний
divisi	розділена
divisi	розділив
violinista	скрипаль
pericoloso	небезпечні
pericoloso	небезпечна
pericoloso	небезпечний
pericoloso	небезпечно
citate	навели
true	істина
true	правда
analogo	аналоговий
analogo	аналогічний
analogo	аналог
secondario	вторинної
slovenia	словенії
slovenia	словенія
negativa	негативний
negativa	негативне
negativa	негативна
negativa	негатив
negativa	негативні
gaio	гай
crociera	мандруючи
crociera	круз
crociera	круїз
sufficientemente	достатній
sonic	sonic
anteprima	перегляд
carol	керол
carol	колядки
han	хан
han	хана
pura	чисте
pura	чисті
pura	чиста
pura	чистих
inaugurazione	інавгурація
inaugurazione	відкриття
inaugurazione	відкривання
inaugurazione	відкривається
inaugurazione	відкриваємо
adolf	адольф
correre	запускати
correre	запустити
correre	run
correre	виконати
orale	оральний
aggiornata	оновлено
aggiornata	оновлений
aggiornata	оновлені
rione	rione
eccezionalmente	виключно
beat	били
beat	біт
beat	побили
sprint	спринт
dinamo	dynamo
dinamo	динамо
dinamo	динамо
liberty	свобода
trinità	трійця
trinità	трійці
trinità	трініті
guillermo	гільєрмо
gallia	галлія
aggiungendo	додавання
australian	австралійська
australian	австралійський
violento	агресивних
violento	жорстокі
violento	жорстоке
riforme	реформи
riforme	реформа
riforme	реформи
cipro	кіпр
cipro	кіпрі
cipro	кіпру
demoni	демон
demoni	демони
massachusetts	массачусетс
corde	рядків
corde	рядки
cellula	клітинка
cellula	комірки
cellula	комірку
cellula	клітини
cellula	комірка
presidenti	президентів
presidenti	президент
presidenti	президенти
mine	мін
mine	копальні
mine	міни
mine	копальня
mine	моє
mine	мій
mine	міна
digimon	digimon
carità	благодійна
carità	благодійний
carità	благодійність
leggende	легенд
leggende	легенду
leggende	легенда
saverio	xavier
molecole	молекула
molecole	молекули
molecole	молекул
molecole	молекули
sacrificio	жертва
sacrificio	будівельників
architetti	архітекторів
sospetto	підозра
sospetto	підозри
sospetto	підозрілим
sospetto	підозрюю
sospetto	підозрюваний
terminale	термінала
terminale	термінал
lombardi	ломбарді
benzina	бензиновий
benzina	бензин
zar	цар
elementare	елементарні
elementare	початковій
reggente	правителька
rispettare	respect
rispettare	повага
olanda	голландії
olanda	голландія
fatica	втоми
fatica	посилено
fatica	втома
generazioni	комплексів
generazioni	покоління
generazioni	поколінь
hal	гал
derivati	похідні
derivati	похідна
consentito	дозволили
consentito	дозволено
consentito	дозволено
consentito	дозволені
seggi	місця
seggi	сидіння
cantare	співають
cantare	співай
cantare	співаю
cantare	спів
cantare	співати
cantare	співає
provinciali	провінційний
referendum	референдум
referendum	референдуми
apostolo	апостола
apostolo	апостол
fischio	свисток
fischio	свист
lodi	лоді
gestore	керівник
gestore	менеджер
teramo	терамо
israeliano	ізраїльська
indie	indie
africano	африканська
africano	африканський
africano	африканські
africano	африканських
suite	комплект
qualifica	кваліфікація
guillaume	гійом
lino	ліно
lino	лляна
lino	льон
capaci	здатний
capaci	здатен
ira	іра
ira	айра
ira	гнів
ira	гніву
make	make
make	зробити
conduzione	здійсненні
conduzione	проведемо
curtis	кертіс
enormi	величезна
enormi	величезний
enormi	величезні
enormi	неймовірні
efficienza	ефективність
nina	ніна
significativi	значний
ritmica	художньої
nodo	вузол
nodo	вузол
heaven	heaven
heaven	небеса
heaven	рай
heaven	небес
heaven	небесне
unire	єднайтеся
unire	злиття
ostacoli	перешкоди
ostacoli	перешкоду
sinfonia	симфонічний
sinfonia	симфонія
pasta	вставлення
pasta	вставити
massacro	злочини
massacro	різанина
fall	падати
fall	осінь
fall	fall
fall	падіння
leoni	леоні
leoni	леви
convegno	конференція
convegno	конференції
boemia	bohemia
derivata	похідна
centimetri	сантиметри
centimetri	сантиметрів
centimetri	сантиметрів
centimetri	дюймів
centimetri	дюйми
ginnastica	зарядка
ginnastica	гімнастика
identificare	ідентифікація
identificare	ідентифікувати
identificare	ідентифікація
amanti	коханих
amanti	коханці
amanti	закоханих
mason	муляр
odore	запах
odore	запах
odore	запахи
odore	запаху
marca	бренду
marca	бренд
marca	brand
alain	ален
frutta	фрукт
frutta	фрукти
frutta	плід
frutta	плоди
frutta	фруктові
frutta	фрукти
frutta	плоди
algeria	алжирська
algeria	алжиру
algeria	алжир
gradualmente	поступово
calice	келих
crimini	злочини
crimini	злочин
crimini	кримінальна
organico	органічні
organico	органічне
estinzione	винищення
estinzione	вимирання
estinzione	загибель
estinzione	зникнення
totali	підсумків
trattare	лікуванні
trattare	розглядати
catene	ланцюги
catene	ланцюжок
catene	ланцюг
rara	рідкісна
rara	рідкісні
rara	рідкісний
rara	рідкість
rara	рідкісне
rimuovere	прибрати
rimuovere	видалити
rimuovere	вилучити
eyes	очі
eyes	очей
eyes	очам
ultimate	ultimate
face	обличчя
face	обличчям
face	face
sinonimi	синоніми
sinonimi	синонім
vettore	вектор
vettore	авіаносець
appassionato	гарячим
mons	гора
fabbricato	виготовлено
fabbricato	виготовлена
sensibilità	сприйнятливість
sensibilità	чутливість
dominazione	панування
dominazione	домінування
causando	викликає
gola	горло
gola	ущелина
irene	ірен
songs	пісень
songs	пісні
songs	songs
soap	мило
condotti	проводили
condotti	провели
gatti	коти
gatti	кішки
cameron	кемерон
evidenti	очевидно
evidenti	очевидне
evidenti	банально
evidenti	очевидна
naturalista	натураліст
suonato	грали
suonato	грала
suonato	грав
sforza	сфорца
cintura	пояс
procedimento	продовжувати
procedimento	процедури
procedimento	процедуру
procedimento	процедура
uccisione	вбивство
uccisione	припинення
uccisione	вбивають
marziale	бойові
parchi	парки
sottostante	нижніх
attacca	приступ
attacca	атакує
attacca	напади
attacca	атаки
trovati	знайшов
trovati	знайдено
trovati	знайшовся
trovati	знайшла
trovati	знайдені
distanze	дистанцій
distanze	відстані
distanze	дистанція
distanze	відстань
distanze	дистанції
abbandona	відмовитися
uruguay	уругвай
certezza	впевненості
felix	фелікс
cook	готувати
cook	кухаря
cook	кук
cook	повар
cook	кухар
lotte	лотте
materie	звернення
birra	пиво
fallito	невдало
fallito	невдача
fallito	збій
fallito	помилка
sviluppi	розробок
esplicitamente	явно
stanze	кімнат
stanze	кімнати
dita	пальцями
dita	пальці
dita	пальця
dita	палець
dita	пальцем
klaus	клаус
continuando	продовжуючи
continuando	продовжуємо
altopiano	верховина
altopiano	височина
altopiano	плато
sierra	сьєрра
rivolto	звернувся
confessa	зізнатися
confessa	зізнається
jeremy	джеремі
elegante	вишуканий
elegante	елегантний
elegante	елегантно
copa	кубок
operaio	робітник
operaio	працівник
becker	беккер
adiacente	сусіднього
adiacente	сусідню
cannes	канни
volare	fly
volare	літати
volare	муха
volare	лети
volare	польоту
democratici	демократичні
democratici	демократичний
democratici	демократична
democratici	демократи
democratici	демократичний
organizzati	організований
organizzati	організованого
organizzati	організована
organizzati	організовані
pontificia	папська
pontificia	папська
giuridico	правові
giuridico	правова
giuridico	юридична
giuridico	юридичні
giuridico	юридичний
ambientali	довкілля
ambientali	екологічна
sentimento	почуття
sentimento	відчуття
sentimento	передчуття
sentimento	почуття
parroco	вікарій
tubi	труби
tubi	трубки
scafo	галл
positivi	позитивне
positivi	позитивні
positivi	позитивний
positivi	позитивно
positivi	позитив
positivi	спрацьовування
money	гроші
sopravvivere	пережити
sopravvivere	виживають
sopravvivere	вижити
sopravvivere	пережити
ricercatori	вчені
cifre	цифр
cifre	цифри
cifre	цифру
cifre	цифра
cifre	фігури
cifre	фігурки
cifre	показники
consorzio	консорціум
mensile	щомісяця
mensile	місячного
mensile	місячний
inviare	надіслати
inviare	відправити
inviare	надсилати
inviare	відіслати
inviare	надсилання
trek	переселення
rookie	новачок
vasi	по
vasi	горщиках
vasi	ваз
amor	amor
picture	picture
picture	зображення
picture	картинка
picture	фото
giocata	грали
giocata	грала
giocata	грав
stili	стилів
stili	стилі
costanza	констанція
par	par
superfici	поверхонь
legenda	легенду
legenda	легенда
succede	трапляється
succede	стається
povertà	бідність
povertà	бідності
povertà	злидні
fibre	слідів
fibre	волокна
fibre	fibre
fibre	волокна
espresse	висловив
espresse	висловили
ettari	гектарів
ettari	гектар
crociata	crusade
crociata	crusades
aggiunti	додано
aggiunti	додані
concorrenza	змагання
españa	españa
beck	бек
veloci	швидкі
veloci	швидко
veloci	швидке
veloci	швидка
veloci	швидкий
veloci	швидко
veloci	швидкі
veloci	швидке
veloci	швидка
veloci	фаст
veloci	швидкий
xxx	xxx
annualmente	щорічно
annualmente	щороку
caduto	упав
caduto	впала
caduto	впав
caduto	впала
caduto	провалився
caduto	падали
contenute	містяться
contenute	міститься
leslie	леслі
animato	анімація
animato	анімаційний
animato	анімаційна
sorgenti	пружини
sorgenti	джерела
sorgenti	джерел
jedi	джедаї
annunziata	аннунціата
bizantina	візантійська
clara	клара
competenze	навички
competenze	уміння
competenze	навики
competenze	компетенція
quartetto	квартет
quartetto	сметани
funzionario	офіційні
funzionario	офіційна
funzionario	офіційний
funzionario	офіційне
productions	production
stadi	стадіонів
stadi	стадії
stadi	діях
prezzi	ціни
sacri	святе
sacri	священна
sacri	священні
enzima	фермент
scelti	обраний
scelti	вибрано
scelti	вибрана
scelti	вибране
scelti	вибраний
poetessa	поет
coloniale	колоніальна
aviatore	авіатор
gang	банда
gang	gang
gang	банди
gang	чисельністю
gang	банди
lana	шерсть
lana	вовна
lana	лана
adiacenti	сусіднього
adiacenti	сусідню
disastro	катастрофа
testimoni	свідки
testimoni	свідок
diffusi	поширений
coltivazione	вирощування
magnus	магнус
quattordici	чотирнадцять
tronco	тулуб
registri	регістри
straordinario	надзвичайні
straordinario	надзвичайна
camere	кімнат
camere	кімнати
alimentari	продуктовий
vicinanza	близькості
qualifiche	кваліфікації
qualifiche	кваліфікацію
consecutivi	послідовних
consecutivi	підряд
consecutivi	послідовними
archeologia	археологія
cresta	хребта
cresta	хребет
apprezzato	цінувати
apprezzato	вдячністю
apprezzato	оцінила
solido	суцільна
solido	твердий
solido	суцільний
solido	суцільне
straniera	іноземець
straniera	іноземних
straniera	іноземні
straniera	іноземний
muri	стіни
muri	мури
catanzaro	катандзаро
servito	подають
servito	служив
muso	рило
apparente	видимі
owen	оуен
kenneth	кеннет
randy	ренді
controllato	керується
controllato	сплачено
controllato	перевірив
controllato	перевірено
controllato	позначено
marta	марта
marta	марто
marta	марта
architettonico	архітектурний
short	short
short	короткий
short	коротка
short	скорочено
short	коротке
short	короткі
oslo	осло
grammy	греммі
abbigliamento	одяг
abbigliamento	одяг
where	звідки
where	де
where	where
where	куди
serpente	змія
serpente	змії
serpente	serpent
felicità	щастя
particolarità	особливості
particolarità	провадження
illustrato	illustrated
most	найцікавіше
most	більшість
straordinaria	надзвичайні
straordinaria	надзвичайна
interessati	цікавиться
interessati	зацікавлений
interessati	зацікавило
interessati	цікаво
interessati	цікавить
interessati	цікавляться
vincente	переможець
vincente	переможниці
peggio	найгірші
peggio	найгірше
peggio	найгірша
peggio	найстрашніше
peggio	гірше
peggio	гірші
doria	доріа
rare	рідкісна
rare	рідкісні
rare	рідкісний
rare	рідкість
rare	рідкісне
bosnia	боснія
bosnia	боснії
artistiche	художні
artistiche	художнього
rivolte	бунт
rivolte	повстання
rivolte	охоплені
cornice	блок
cornice	кадр
cornice	рамка
vivente	живі
capitan	капітан
nona	ninth
lapide	надгробку
lapide	надгробок
urss	срср
celebrato	святкували
celebrato	відзначається
celebrato	вітали
territoriali	територіальних
hits	hits
sapienza	сапієнца
sapienza	мудрості
sapienza	мудрість
offerto	запропоновано
offerto	запропонували
offerto	запропонував
vampiro	вампір
vampiro	вампіри
strisce	смужки
strisce	смужки
strisce	смуги
maturità	погашення
recitazione	во
recitazione	заступник
recitazione	акторська
recitazione	діяти
drive	драйв
drive	пристрій
drive	привід
drive	drive
dottorato	докторський
dottorato	phd
miracolo	диво
miracolo	чудо
corda	мотузку
corda	нитка
corda	мотузка
corda	мотузки
corda	акорд
corda	акорди
ninja	ніндзя
triangolo	трикутник
incinta	вагітна
incinta	вагітності
incinta	вагітною
incinta	вагітні
datata	датоване
greatest	greatest
gallerie	галереях
gallerie	галереї
gallerie	тунелів
gallerie	тунелі
confermata	підтверджено
confermata	підтвердила
confermata	підтвердили
confermata	підтверджена
cittadella	фортеці
cittadella	citadel
fortunato	пощастило
fortunato	щасливим
fortunato	щасливчик
human	людина
human	людський
vestiti	одяг
corsica	корсика
trophy	трофей
inviati	надіслано
inviati	надіслані
carnevale	карнавал
impulso	пульс
impulso	імпульс
lucy	люсі
asiatico	азійський
