எழுதவும்	write
மடத்தில்	monastery
மண்டை	skull
சிபிஐ	cpi
பெய்யும்	pei
மாலி	mali
டைலர்	tyler
பேபி	baby
புகழை	reputation
குயின்ஸ்லாந்து	queensland
எத்தனால்	ethanol
சீக்ரெட்	secret
ஓட்டோமான்	ottoman
தொப்பி	cap
தொப்பி	hat
ஒத்ததாக	synonymous
ஈதர்	ether
சிக்மா	sigma
இழக்க	lose
துப்பறியும்	detective
கம்பிகள்	wires
உபகரணம்	equipment
உபகரணம்	apparatus
வண்ணங்கள்	colours
வண்ணங்கள்	colors
கோலி	kohli
கடினமானது	difficult
நுனி	tip
படவில்லை	slide
பெண்ணுக்கு	girl
கதாநாயகன்	hero
பீரங்கிகள்	mortars
பீரங்கிகள்	tanks
காஸ்ட்ரோ	castro
பருந்து	kite
உறவுகளை	relationships
கட்டளைகள்	commands
ஜன	jan
ஜன	jana
உரித்தான	deserved
பெருக்க	gain
மேம்படுத்தவும்	upgrade
கசிவு	leak
மகரிஷி	maharishi
பிளாஸ்மா	plasma
முதலாளி	boss
வடிவமைப்புகள்	formats
லாபம்	profit
ஆடைகளை	clothes
பட்டாம்பூச்சி	butterfly
ஆடுகள்	goats
நாட்களை	days
சிம்லா	shimla
சிம்லா	simla
நியாயம்	justice
நியாயம்	fair
இடவியல்	topology
பிறப்பிடம்	native
குளுக்கோஸ்	glucose
முனி	muni
எரிக்சன்	ericsson
காதில்	whisper
காதில்	ear
நகர்த்த	moved
ஹாங்	hong
சிறப்பை	excellence
மறுமொழி	reply
கின்	kin
பெட்ரோலிய	petroleum
தேசாய்	desai
அன்பே	dear
அன்பே	sweetheart
பிரதிநிதித்துவம்	represent
சிமெண்ட்	cement
ஷங்கர்	shankar
போய்விட்டது	gone
மின்சுற்று	circuit
நாகா	naga
கலப்பை	plow
உடைமை	property
பில்போர்ட்	billboard
பயணித்த	traveled
மாடி	floor
கர்னல்	colonel
புதுமையான	innovative
ஷான்	shan
கன்னித்	virgin
கோவிந்த்	govind
வந்தேன்	came
வௌவால்	bat
பல்லி	lizard
டயர்	tyre
டயர்	tire
மோட்டார்ஸ்	motors
நைக்	nike
ஆங்	ang
ஆங்	ong
ஆங்	aung
கிணறுகள்	wells
கதவுகள்	doors
வாசகர்கள்	readers
கலிலியோ	galileo
அப்பாஸ்	abbas
ரசிகர்	fan
விரல்கள்	fingers
கனவுகள்	dreams
பிரையன்	brian
பிரையன்	bryan
பாலஸ்தீன	palestinian
கப்பம்	blackmail
கப்பம்	bum
ஜார்க்கண்ட்	jharkhand
காணவில்லை	missing
கல்பனா	kalpana
பிச்சை	begging
பிச்சை	beg
ஜோஸ்	jose
ஜோஸ்	jos
ஜோஸ்	josé
ஜோஸ்	joss
நேரான	straight
நேரான	linear
உயிரோடு	alive
பிலிப்பைன்	philippine
பிரார்த்தனை	pray
பிரார்த்தனை	praying
பிரார்த்தனை	prayer
பொருத்தி	mounted
கார்பனேட்டு	carbonate
தொழிலாளி	worker
ஆன்ம	spiritual
ருபீடியம்	rubidium
பிரியாணி	biryani
மஹால்	mahal
யுத்த	battle
விலா	vila
விலா	ribs
கனமான	heavy
வியாழக்கிழமை	thursday
நெகிரி	negeri
எரிசக்தி	fuel
எரிசக்தி	calorie
எரிசக்தி	energy
பிரித்தல்	separation
புத்தி	smart
டாட்	tot
டாட்	dot
ஹன்னா	hannah
ஹன்னா	hanna
அழியாத	indestructible
மடியில்	lap
தட்டில்	plate
சலுகைகள்	offers
ஹாக்கி	hockey
ஹசன்	hassan
ஹசன்	hasan
நைஜீரியா	nigeria
வரைதல்	draw
வரைதல்	drawing
கொண்டாட்டங்கள்	celebrations
உருண்டை	orb
உருண்டை	meatball
உருண்டை	meatballs
காமன்வெல்த்	commonwealth
அணுகும்	access
ஃபீஸ்டா	fiesta
மதிப்பெண்கள்	score
மதிப்பெண்கள்	scores
அவதூறு	defamation
அவதூறு	profanity
அவதூறு	slander
அவதூறு	annoyed
அதிகாரிகளின்	officers
யமுனா	yamuna
மொழிபெயர்ப்புகள்	translations
முதலீடுகள்	investments
சுடுதல்	shooter
யூதா	judah
முன்னோர்கள்	ancestors
மனிதனுக்கு	man
பதில்கள்	reactions
பதில்கள்	responses
பதில்கள்	answers
பதில்கள்	replies
வெனிஸ்	venice
தொல்லை	trouble
தொல்லை	nuisance
தலைகள்	heads
கண்காணிப்பாளர்	watcher
அஹ்மத்	ahmed
அஹ்மத்	ahmad
அரிசோனா	arizona
ஜூல்	joule
கூட்டத்தை	crowd
கறி	mutton
கறி	curry
ஈராக்கிய	iraqi
ஜெஃப்	jeff
வர்ஜீனியா	virginia
மந்திரங்கள்	chants
மந்திரங்கள்	mantras
படேல்	patel
சுழி	zero
உணர்ச்சிகள்	reactions
போர்டு	board
இருப்பை	presence
மாடலிங்	modeling
சல்மான்	salman
பித்தளை	brass
ஹைதர்	haider
பிடிப்பு	capture
நீரிலி	anhydride
நகைகள்	jewels
நகைகள்	jewelry
நகைகள்	jewellery
பெப்	pep
டச்	touch
டச்	dutch
பெரும	galactic
நெல்லி	nelly
வளைத்து	bend
கோரிக்கைகள்	requests
இடி	thunder
மிசிசிப்பி	mississippi
தியாகி	martyr
யாரையும்	anyone
ஆல்கஹால்	alcohol
ரன்கள்	runs
வேட்டையாடும்	predatory
ரொட்டி	bread
கும்பல்	gang
கொசு	mosquito
பெரியவர்கள்	adults
புளோரின்	fluorine
டியான்	dion
மிலன்	milan
திருப்பம்	twist
உருளைக்கிழங்கு	potatoes
உருளைக்கிழங்கு	potato
தெரிந்தது	known
விழுந்தது	fell
சொர்க்கம்	heaven
சொர்க்கம்	paradise
வேடிக்கை	fun
வேடிக்கை	funny
ஜோத்பூர்	jodhpur
எதிர்பார்த்த	expected
வடிகட்டி	filter
நுட்பங்களை	techniques
சூத்திரங்கள்	formulas
புனல்	funnel
துவங்குகிறது	starts
துவங்குகிறது	starting
தீவிரவாதி	terrorist
பிளாக்பெர்ரி	blackberry
ஆதரிக்கிறது	supports
தந்தைக்கு	father
மதியம்	noon
மதியம்	afternoon
இம்மானுவேல்	immanuel
இம்மானுவேல்	emmanuel
தஞ்சோங்	tanjung
லோபஸ்	lópez
லோபஸ்	lopez
ஹாலே	halle
பழங்குடியின	aboriginal
வலைப்பூ	blog
பெங்காலி	bengali
காதர்	kader
அத்தி	figs
காற்றியக்கவியல்	aerodynamics
படகில்	ferry
ஜீவன்	jeevan
சுரங்கங்கள்	tunnels
போற்றப்படுகிறது	adored
அழுத்தி	compressor
பழுது	repairs
பழுது	repair
அறுகோண	hexagonal
ஊஞ்சல்	swing
பைபிள்	bible
அடியார்கள்	servants
ஹம்	hum
தோற்றங்கள்	images
புன்னகை	smile
புன்னகை	smiling
சைரஸ்	cyrus
கால்களை	legs
பரிமாணம்	dimension
இவான்	ivan
இவான்	evan
அரபிக்	arabian
லில்லி	lilly
லில்லி	lily
வார்த்தைகளை	words
முன்பதிவு	booking
முன்பதிவு	reserve
குறிப்பிடவில்லை	specified
எடையை	weight
பராமரிக்க	maintain
கியூரி	curie
கட்டமைக்கப்பட்ட	structured
பிரெட்	brett
பிரெட்	fred
பாரா	bara
பாரா	para
திறந்தவெளி	fairground
அவளின்	her
சுறா	shark
செமிடிக்	semitic
கொம்புகள்	horns
அகராதிகள்	dictionaries
அணிய	wear
ராஞ்சி	ranchi
உருகுவே	uruguay
சோப்ரா	chopra
நிபந்தனை	condition
அச்சுப்பொறிகள்	printers
பின்னம்	fraction
மீட்டரில்	challenger
போராடினார்	fought
டேல்	dale
எஸ்டேட்	estate
பாண்டு	pandu
ஓடை	stream
எந்திர	machining
ஊற்று	fountain
விளையாடுபவர்	player
விளையாடுபவர்	players
விமானத்தை	plane
வெங்காயம்	onions
வெங்காயம்	onion
விசைகள்	keys
விசைகள்	trigger
விளையாடுகிறார்	playing
பலரை	chose
அழிப்பு	destruct
நுண்ணுயிரியல்	microbiology
மஞ்சு	manchu
அன்றாடம்	daily
சக்கரங்கள்	wheels
நிவாரணம்	relief
நாடா	tape
சுருக்கி	compressing
பூச்சு	plaster
முகாமில்	campsite
குறைந்துள்ளது	decrease
மாலிப்டினம்	molybdenum
தீர்ப்பை	judgement
வைத்திருந்தது	kept
காயத்ரி	gayatri
தினேஷ்	dinesh
தோ	tho
தோ	toa
அங்க	anga
முகவரியை	address
வோல்ட்	volt
பைன்	pine
வாரன்	warren
ராஜபக்ச	rajapaksa
நிறுவுதல்	installation
டவர்	tower
பிராக்	brac
தனியுரிமை	privacy
அடைதல்	honing
அணிவகுப்பு	parade
ஆன்டர்சன்	anderson
கேமரா	camera
குவாலியர்	gwalior
இறுதியான	final
இறுதியான	ultimate
போக்குகள்	trends
சாலமன்	solomon
மட்டை	bat
மங்கள	mangala
திரௌபதி	draupadi
வெளியேற்றி	eject
கார்ட்டூன்	cartoon
சிந்தனையாளர்	thinker
சிகரெட்	cigarette
சிகரெட்	cigarettes
காரம்	spicy
வேன்	van
மூத்தவர்	senior
வெண்ணெய்	butter
முயற்சிக்கும்	tries
மரியாள்	magdalene
சிங்கர்	singer
இடையிலுள்ள	authenticity
மனோ	mano
நிழல்கள்	shadows
கலவரங்கள்	riots
ஆர்சனல்	arsenal
வின்ஸ்டன்	winston
குடிசை	hut
புதுப்பிக்கப்பட்டது	updated
அனிமேஷன்	animated
அனிமேஷன்	anime
வேம்பு	neem
தேரை	toad
லக்ஷ்மி	laxmi
மகேஷ்	mahesh
மூவி	movie
கொள்வனவு	shopping
பேரிடர்	disaster
எறும்புகள்	ants
தட்டி	tap
உபயோகம்	usage
உபயோகம்	utility
மெழுகு	wax
சிந்தி	sindhi
வெளிப்புறம்	exterior
ஹாக்	hawk
ஹாக்	hawke
காய்ந்த	dry
கீற்று	streak
பயங்கரவாத	terror
செயற்பட	functional
சொத்துரிமை	ownership
ஹான்ஸ்	hans
பட்டர்	butter
ராணா	rana
அனுபவத்தை	experience
ஆசான்	mentor
பாராட்டும்	appreciation
குறைந்தளவு	conservative
ரொனால்டோ	ronaldo
சக்திவாய்ந்த	powerful
திங்கட்கிழமை	monday
தனிநபர்கள்	individuals
ஆண்குறி	penis
டெர்ரி	terry
படைத்தவர்	creator
மண்டேலா	mandela
ஹூ	hoo
கொள்கலன்	content
கொள்கலன்	container
இப்ராகிம்	ibrahim
அடிப்படைகள்	basics
கூந்தல்	hair
மறையும்	hide
அருமை	fantastic
அருமை	superb
அருமை	nice
இயங்கியல்	operational
மகனே	son
தலையீடு	intervention
குழப்பங்கள்	conflicts
குழப்பங்கள்	conflict
விருப்பப்படி	custom
ஊடுருவும்	penetrated
முத்தி	mutti
உள்ளடக்கங்கள்	contents
இரக்கம்	compassion
வானவில்	rainbow
ஓசியானியா	oceania
மீனா	meena
கிரோன்	crohn
யாங்	yang
எட்வார்ட்	edward
நகை	jewel
நகை	jewelry
கமிஷன்	commission
ஆலோசனைகள்	suggestions
சொந்தம்	own
தொடும்	touching
பாலன்	balan
ஆரோக்கியம்	health
ருத்ர	rudra
பாஸ்பரஸ்	phosphorus
மாறிகள்	variable
மாறிகள்	variables
நுண்ணோக்கி	microscope
ஐசக்	isaac
ஐசக்	issac
வாழ்வது	living
வெற்றிபெற்று	won
ஓவல்	oval
சலாம்	salam
மேலாளராக	manager
சலுகை	offer
ரசாயன	chemical
ஸ்வீடன்	sweden
ரிஷி	rishi
லாக்	lock
லாக்	log
கரோலினா	carolina
பாஜக	bjp
பார்பரா	barbara
செலுத்தப்பட்டது	paid
அந்தோனியார்	anthony
ஸ்டாக்ஹோம்	stockholm
புரூணை	brunei
பள்ளிக்கூடம்	school
ஸ்கோடா	skoda
ஸ்கோடா	škoda
வர்ணம்	painted
வர்ணம்	pigment
ரோஜாக்கள்	roses
மாட்	matt
சொத்துகள்	assets
சக்	chuck
பூரி	puri
டொனால்ட்	donald
டிரைவ்	drive
ஒதுக்கப்பட்டது	reserved
பேட்ரிக்	patrick
பாடுகிறார்	sings
பாடுகிறார்	singing
போயர்	boer
பிரிக்ஸ்	brics
ஒப்பனை	makeup
ஒப்பனை	cosmetics
துரோணர்	drona
குபேரன்	kubera
தாமிரம்	copper
கவனத்திற்கு	attention
ஆந்தை	owl
அணிந்துரை	foreword
பிரபலங்கள்	celebrities
ஜூலியா	julia
நீளமாக	sticky
நிணநீர்	lymph
குச்சி	stick
இனக்குழு	ethnicity
டாமன்	damon
கொன்றார்	killed
இருத்தலியல்	existential
கிரியோல்	creole
காளான்	mushroom
போதைப்பொருள்	drug
துணிகள்	fabrics
இடித்து	crashed
மதங்கள்	religions
ஓடுகள்	tiles
டெர்	der
ஃபோர்ப்ஸ்	forbes
இயக்கிகள்	drivers
பிலடெல்பியா	philadelphia
ஜெயின்	jain
வாணி	vani
இரங்கல்	condolences
இரங்கல்	condolence
செம்பிலான்	sembilan
கடிகாரங்கள்	watches
ராஸ்	ross
எலுமிச்சை	lemon
எலுமிச்சை	lime
மனிதனும்	soul
பதக்கங்களை	medals
ரீட்	reed
ஆனந்தம்	joy
மார்க்கம்	religion
மார்க்கம்	markham
காய்கறி	vegetable
முதிர்ச்சி	maturity
வழங்கவும்	provide
ஷேன்	shane
சிட்ரிக்	citric
குறும்படம்	thumbnail
குறும்படம்	icon
சோனியா	sonia
நீரியல்	hydrology
இலைகளை	leaves
அசுரன்	monster
கிளாரா	clara
தேவாலயத்தில்	piazza
நிழலில்	shade
லேமன்	tiptoe
அரி	ari
அரி	ary
செயல்படுத்துகிறது	processing
சளி	cold
சளி	colds
கொடூரமான	cruel
கொடூரமான	brutal
முசோலினி	mussolini
தூதுவர்	ambassador
செக்ஸ்	sex
பாலினம்	gender
குணப்படுத்தும்	healing
கைபேசி	cell
கைபேசி	mobile
முரணாக	ironic
காலாண்டு	quarterly
காலாண்டு	quarter
பபெட்	buffett
புலங்கள்	fields
அன்னிய	foreign
சாஸ்திரம்	shastra
பரவுகிறது	spreads
பண்டிட்	pandit
ஏறு	climb
மரபை	legacy
புகலிடம்	refuge
சவாலாக	challenged
இம்ரான்	imran
எண்ணங்களை	thoughts
மடிப்பு	wrap
அளவுகோல்	scale
அடல்	atal
புதுப்பிக்கத்தக்க	renewable
நகர்வுகள்	moves
ஹெக்டர்	hector
மாயன்	mayan
வெண்கல	bronze
குணப்படுத்த	cure
குணப்படுத்த	cured
மஸ்ஜித்	masjid
ரோல்	roll
ஆல்பங்கள்	albums
கெல்லி	kelly
முதுகெலும்பு	spine
பாக்கியம்	blessed
பாக்கியம்	blest
சிறகு	wing
சிறகு	wings
பட்டாணி	pea
பட்டாணி	peas
சர்ச்சில்	churchill
ஓன்	onn
அங்கீகரிக்கப்பட்டது	approved
ஆற்றலும்	energy
கூட்டுக்	combined
ஆக்கி	processor
கடற்படையினர்	marines
நிபுணத்துவம்	expertise
கற்பு	chastity
கவர்ந்தது	inspires
ஈடன்	eden
கொன்றது	killed
அதிகபட்சம்	max
அதிகபட்சம்	maximum
சுருங்கி	shrink
கிட்	git
கிட்	kit
செய்தியாளர்	press
செய்தியாளர்	reporter
வகுத்தது	paved
மறியல்	picket
சிப்	chip
புக்கர்	booker
கேளிக்கை	recreation
கேளிக்கை	entertainment
சமோவா	samoa
பந்துகள்	balls
பருவங்கள்	seasons
குடியேற்றவாத	colonization
வாத	terror
மூவாக்சைடு	trioxide
நிலுவையில்	pending
யுனிக்ஸ்	unix
தொட்டில்	cradle
புண்கள்	sores
விஸ்டா	vista
வாசம்	breath
வாசம்	indulgence
துன்பங்கள்	sorrows
கோளம்	sphere
திரையரங்கு	theatre
பின்புலம்	background
தத்து	tab
லம்போர்கினி	lamborghini
ஆலோசனைக்	consultation
தனிமையில்	alone
தனிமையில்	lonely
தனிமையில்	solitude
வழிகாட்டல்	guidance
விக்கெட்	wicket
பார்வைகள்	visits
பார்வைகள்	views
நோக்கங்களை	intentions
பளிங்கு	marble
மனிதர்களும்	humans
திட்டமும்	planing
வாக்கியம்	phrase
வாக்கியம்	sentence
சொற்பொருள்	semantic
எதிரானது	against
அனுப்புகிறது	sending
சுமேரிய	sumerian
கலந்துகொண்டார்	attended
துவக்கி	launcher
சாவ்லா	chawla
பூனைகள்	cats
வார்சா	warsaw
புள்ளிவிவரம்	statistics
புள்ளிவிவரம்	insights
பாஸ்கல்	pascal
மார்க்கெட்	market
கணங்கள்	moments
சோமாலியா	somalia
படத்தொகுப்பு	collage
மீனவர்	fishermen
மீனவர்	fisherman
குண்டூர்	guntur
பென்சீன்	benzene
நானக்	nanak
இருக்கவும்	stay
துல்லியம்	precision
குவளை	mug
தொழிற்சாலையில்	factory
ராக்கெட்	rocket
ஆல்ப்ஸ்	alps
இயல்பை	nature
வித்து	seed
பானங்கள்	beverages
பானங்கள்	drinks
நினைக்கும்	think
பெயர்ச்சி	replace
தற்செயலாக	accidentally
தற்செயலாக	unintentionally
சந்த்	chand
நாட்டினர்	compatriots
சமத்துவம்	neutrality
சமத்துவம்	equality
நடனங்கள்	dances
நிபந்தனைகள்	conditions
விடு	drop
துர்கா	durga
அலபாமா	alabama
தொழுகை	salah
அன்ட்ரூ	andrew
நெருங்கி	approaching
ரேகை	longitude
பாலைவனத்தில்	desert
டான்ஸ்	dons
லூசியானா	louisiana
கரைப்பான்	solvent
எறிந்து	cast
கலீபா	caliph
தந்திரம்	trick
அறிவார்ந்த	intelligent
மதிப்பாய்வு	review
மதிப்பாய்வு	moderation
குவான்	guan
குவான்	quan
ஆர்எஸ்எஸ்	rss
நேர்மை	honesty
பொறாமை	jealous
பொறாமை	envy
பொறாமை	jealousy
கச்சா	crude
கோட்டா	kota
வரவிருக்கும்	upcoming
அவுட்லுக்	outlook
சூசன்	susan
காமெடி	comedy
நையாண்டி	satire
கமிட்டி	committee
ஜீலம்	jhelum
தீராத	chronic
வைக்கோல்	straw
இப்ராஹிம்	ibrahim
ஆயுர்வேத	ayurvedic
முத்துக்கள்	pearls
அலோர்	alor
ஆமைகள்	tortoises
ஆமைகள்	turtles
அலெக்சாந்திரியா	alexandria
மென்பொருளில்	disables
சாதாரணமான	mediocre
அமிதாப்	amitabh
சேவா	seva
புள்ளிவிவர	statistical
பங்களா	bungalow
பங்களா	bangla
ஜூலியஸ்	julius
ஈஸ்ட்	yeast
பரிணாமம்	evolution
பங்கேற்பு	participation
பங்கேற்பு	attend
சோலார்	solar
மேகங்கள்	clouds
கேம்ஸ்	games
கருட	garuda
நீரோ	nero
பூத	physical
நெரிசல்	congestion
நெரிசல்	stampede
வாய்க்கால்	canal
கடலியல்	oceanography
இறைவனிடம்	lord
ரொனால்ட்	ronald
கொலராடோ	colorado
வளாகங்கள்	campuses
மிதவை	floating
கிரந்த்	granth
முதலீட்டாளர்	investor
உணரிகள்	sensors
நசீர்	nasir
நசீர்	nazir
சோர்வு	fatigue
சோர்வு	tired
எவரெஸ்ட்	everest
திறக்க	open
வானியற்பியல்	astrophysics
குழப்பத்தை	sedition
சையது	syed
இடைவெளிகள்	spaces
இரவும்	night
அத்தியாவசிய	essential
ஏதுமில்லை	none
முன்னோக்கி	forward
உணவாகும்	grub
ராஜு	raju
பயன்முறை	mode
பெர்க்சையர்	berkshire
ஜிமெயில்	gmail
கவர்ச்சியான	sexy
சுலைமான்	suleiman
சுலைமான்	sulaiman
பேழை	cassette
தெருக்கள்	streets
ஆர்ச்சர்	archer
கீரை	spinach
ஜெப்ரி	geoffrey
ஜெப்ரி	jeffery
சன்னி	sunny
பாதுகாக்கவும்	protect
படையணி	battalion
மோட்சம்	devotion
சொரெஸ்	soros
பயிற்சியாளர்கள்	coaches
பேசுகிறது	speaks
பேசுகிறது	speaking
ஈடுபட்டுள்ள	engaged
ஏழ்மை	poverty
உடற்கூறு	anatomy
புவிவெப்ப	geothermal
பயங்கர	terrible
மேலாளர்கள்	managers
மீதம்	balance
மீதம்	remaining
மீதம்	left
பீச்	beech
பீச்	peaches
பீச்	peach
குதுப்	qutb
லுட்விக்	ludwig
நெற்றியில்	forehead
அமிர்தசரஸ்	amritsar
பொறுப்பான	responsible
கன்று	calf
தீவிரவாதம்	terrorism
பரதன்	bharata
குறுக்கீடு	interrupt
குறுக்கீடு	interference
எள்	sesame
வடிவமைக்க	configure
மனப்பான்மை	attitude
எட்ஜ்	edge
செய்கிறான்	causes
பிளந்து	cleft
மாவீரன்	warrior
டொமினிக்கன்	dominican
வாருங்கள்	come
சங்கரர்	shankara
ஆன்மீகம்	spiritual
மெகாடெத்	megadeth
அனைவருமே	everybody
உள்நாட்டில்	locally
வியூகம்	strategy
மாம்பழம்	mango
சத்யஜித்	satyajit
கழுதை	donkey
வயிற்றுப்போக்கு	diarrhea
முஸ்தபா	mostafa
முஸ்தபா	mustafa
நம்பிக்கையுடன்	hoping
நம்பிக்கையுடன்	hopefully
கிரகம்	planet
தலைக்கு	head
மாறிவிட்டது	changed
மியாமி	miami
பொறித்த	fried
நிக்கோலஸ்	nicolas
நிக்கோலஸ்	nicholas
கொரில்லா	gorilla
நானா	nana
மோகம்	passion
தெரிவித்துக்	visited
கால்நடைகள்	cattle
தொலைகாட்சி	oled
ஓட்டோ	otto
நாளைய	tomorrow
சிர்க்கோனியம்	zirconium
