ponechání	aanhouding
zvaného	termed
tanečnice	dansers
tanečnice	dancer
tanečnice	danser
monografie	monograph
prodat	verkoop
dennis	dennis
palais	palais
rumunské	roemeense
respekt	respek
pete	pete
objektivní	oogmerk
objektivní	doelwit
kometa	komeet
hodnotí	evalueer
optimální	optimum
různí	verskeie
servery	bedieners
libanonu	libanon
překvapení	verrassing
minimum	minimum
galaxií	sterrestelsels
galaxií	galaxy
galaxií	sterrestelsel
prach	stof
prach	powder
fotografka	fotograaf
blesk	flits
blesk	flash
blesk	weerlig
edgar	edgar
koni	horse
koni	perd
productions	productions
chu	chu
mir	mir
lorenzo	lorenzo
maximum	maksimum
třináct	dertien
těžší	swaarder
těžší	harder
melo	melo
ochoten	gewillig
ochoten	bereid
diskografie	diskografie
tváře	gesigte
optické	optiese
úpadek	weier
vystaven	blootgestel
vystaven	kaak
hollywood	hollywood
houston	houston
molekulární	molekulêre
tvrdě	hard
tvrdě	harde
tvrdě	moeilik
jámy	pit
gott	gott
vlasů	hare
izolace	isolation
izolace	isolasie
kyslík	suurstof
nápisy	inscriptions
riga	riga
money	geld
colin	colin
sochu	standbeeld
modifikace	veranderinge
indonésie	indonesië
synagogy	sinagoge
synagogy	sinagoges
umožnit	geaktiveer
umožnit	aktiveer
umožnit	toelaat
kriminální	kriminele
předávání	ratkas
slovinské	sloweens
loďstvo	fleet
koupit	koop
standardy	standaarde
nečekaně	onverwags
had	snake
had	slang
štíty	shields
využívané	uitsluitlik
eseje	essays
nemožné	onmoontlik
domény	domeine
domény	domain
domény	domein
infrastruktury	infrastruktuur
zřetelně	duidelik
šedá	grys
šedá	grys
šedá	grey
glasgow	glasgow
učitelka	onderwyser
vzdálená	verre
vzdálená	afgeleë
vzdálená	remote
argo	argo
pont	pont
pochopit	verstaan
bonus	bonus
ryba	vis
ryba	visvang
rádio	radio
samantha	samantha
jeskyni	cave
jeskyni	grot
tenor	tenoor
tenor	tenor
eugen	eugen
polskem	pole
měny	geldeenheid
měny	geldeenhede
guillaume	guillaume
ich	ich
indiáni	indians
indiáni	indiane
maxe	maksimum
maxe	max
synonymum	sinoniem
melodie	melodies
melodie	melody
melodie	melodie
melodie	tune
kostýmy	kostuums
kostýmy	kostuum
auguste	auguste
dinosaurů	dinosaurs
sultán	sultan
fra	fra
gravitační	swaartekrag
gravitační	gravitasie
likvidace	beskikking
likvidace	likwidasie
parker	parker
dinosaura	dinosaur
dinosaura	dinosourus
schumacher	schumacher
bezpečí	veiligheid
řízené	beheerde
účty	rekeninge
elektřiny	elektrisiteit
brigáda	brigade
watson	watson
venkovské	landelike
venkovské	rural
mach	mach
otroctví	slawerny
registrace	registrasies
registrace	registrasie
nalezeno	gekry
nalezeno	gevind
becker	becker
přilehlé	aangrensende
trhy	markte
novinářka	joernalis
návštěvníci	besoekers
pracovníci	werkers
pracovníci	workers
chorvatska	kroasië
pravidelný	gereelde
munice	ammunisie
komisař	kommissaris
zábradlí	rails
značná	considerable
čtyřicet	veertig
justice	geregtigheid
justice	justice
justice	justisie
justice	regbank
podrobnosti	besonderhede
ruda	rud
výměnu	ruil
průběžně	voortdurend
průběžně	deurlopend
průběžně	heeltyd
bojovníků	warriors
bojovníků	vegters
anonymní	anoniem
osmé	eighth
africké	afrikaanse
africké	afrikaan
africké	afrika
africké	african
dary	geskenke
dary	skenkings
greg	greg
malajsie	malaysia
malajsie	maleisië
malajsie	maleisiese
kosmická	kosmiese
frederik	frederik
odznak	kenteken
shodné	identiese
shodné	identies
klienta	kliënt
biskupové	bishops
kompaktní	kompakte
kompaktní	kompak
úlohy	take
rakovinu	kreef
rakovinu	kanker
magdalena	río
platformy	platforms
platformy	platform
dramatický	dramatiese
molekul	molekules
morris	morris
walker	walker
pokoje	kamers
pokoje	rooms
fasáda	fasade
mléko	melk
malíři	skilders
otvory	openings
ralph	ralph
kvantové	quantum
oblíbená	gewild
oblíbená	gewilde
oblíbená	gunsteling
oblíbená	gunsteling
kamery	kameras
příloha	aanhangsel
příloha	byvoegsel
bass	bas
helsinkách	helsinki
jupiter	jupiter
kazachstán	kasakstan
dobývání	verowering
kolegů	kollegas
turbo	turbo
pomohla	gehelp
android	android
koření	spices
koření	spesery
koření	spice
sůl	sout
sůl	tafelsout
abstraktní	abstrakte
převrat	coup
maxima	maximus
maxima	maxim
maxima	maxima
krvi	bloed
mozart	mozart
laurent	laurent
mini	mini
happy	gelukkig
vinci	vinci
christoph	christof
zaplatit	pay
zaplatit	betaal
sigmund	sigmund
hunter	hunter
hunter	jagter
postupné	gradual
postupné	progressiewe
termíny	datums
termíny	bepalings
termíny	voorwaardes
jezdce	rider
jezdce	ryers
jezdce	riders
bordeaux	bordeaux
tbilisi	tbilisi
putování	journey
nacional	nacional
kapitál	hoofstad
navigační	nav
stack	stapel
okamžik	oomblik
dědeček	oupa
zločiny	misdade
zločiny	misdrywe
pen	pen
sodný	sodium
prázdné	leeg
prázdné	leë
prázdné	egipte
prázdné	leë
prázdné	blank
etapy	stages
abú	aboe
abú	abu
nepřetržitě	voortdurend
nepřetržitě	deurlopend
nepřetržitě	heeltyd
nepřetržitě	heeltyd
nepřetržitě	deurentyd
dominika	dominic
dominika	dominica
ponožky	sokkies
nahrazení	vervanging
nahrazení	plaasvervanging
nahrazení	plaasvervanger
mechaniky	mechanics
rozsudek	oordeel
rozsudek	vonnis
rozsudek	sin
pokoj	kamer
soc	soc
bush	bush
sofia	sofia
rasy	races
geologické	geological
nepřítel	vyand
nepřítel	foe
odmítnutí	weiering
odmítnutí	verwerping
přijímat	ontvang
stalin	stalin
babička	ouma
babička	granny
babička	ouma
trénoval	opgeleide
evoluce	evolusie
evoluce	evolution
schopná	bekwame
familia	familia
přítelkyně	vriendin
přítelkyně	vriendinne
costa	costa
astronaut	astronaut
účinné	doeltreffende
účinné	doeltreffend
účinné	effektief
buffalo	buffalo
houba	sponge
houba	swam
houba	sampioen
byty	woonstelle
byty	flats
byty	vlakte
zneužití	misbruik
kapitol	capitol
kapitol	chapters
prachu	stof
havárie	ongeluk
havárie	omval
havárie	insident
havárie	crash
havárie	verongeluk
kennedy	kennedy
miles	myle
miles	myl
lès	lès
poslání	missie
poslání	sending
křížek	kruis
rozměr	dimensie
rozměr	dimension
spojence	allies
spojence	ally
vězeň	gevangene
mléka	melk
lloyd	lloyd
oslo	oslo
cohen	cohen
homer	homer
maxim	maxim
rovné	gelyk
rovné	gelyke
sekvence	herhalings
prohlížeč	aansig
prohlížeč	kyker
prohlížeč	kykers
prohlížeč	blaaier
binární	binêre
meče	swords
jeskyní	caves
seznamů	lyste
seminář	werkswinkel
fanoušky	fans
fanoušky	bewonderaars
fanoušky	aanhangers
výkonný	uitvoerende
požadované	aangevra
požadované	versoek
požadované	vereiste
požadované	benodigde
požadované	benodig
požadované	vereis
oltáři	altar
politici	politici
natrvalo	permanent
problematické	problematies
iva	iva
uzavřený	geslote
uzavřený	gesluit
uzavřený	toegemaak
zakládající	stigting
terminál	terminaal
vodopád	waterval
hansen	hansen
ffa	ffa
lockheed	lockheed
jede	jed
čaj	tee
simpsonovi	simpsons
lovci	hunters
operátor	operator
torpédoborec	torpedojaer
životy	lewens
železnic	railways
připomínky	observations
připomínky	opmerkings
námitky	beswaar
námitky	objections
odpovědnosti	verantwoordelikhede
nsdap	nsdap
originál	oorspronklik
originál	oorspronklike
irc	irc
minulost	verlede
minulost	vorige
minulost	afgelope
nos	neus
vinice	wingerd
vinice	wingerde
haute	haute
přispěla	bygedra
mírné	mild
mírné	gematig
mírné	matig
závislý	verslaaf
závislý	afhanklik
strážce	guardian
strážce	voog
rozlišit	onderskei
pravopis	spelling
bílí	whites
bílí	blankes
slavoj	slavoj
past	lokval
konkurence	mededingers
konkurence	kompetisie
přesvědčil	oortuig
botanické	botaniese
nákup	aankoop
nákup	aankope
nákup	inkopies
nákup	shopping
nákup	aankope
nákup	aankope
peklo	hell
objevení	discovering
honda	honda
napadl	aangeval
odkazovat	verwys
bach	bach
une	une
vězni	gevangenes
fish	vis
fish	visvang
haly	saal
haly	sale
roztok	oplossing
susan	susan
rozum	rede
produkuje	produseer
cukru	suiker
rotace	rotasie
blogu	blog
blogu	webjoernaal
beat	beat
beat	ritme
beat	klop
sdílení	deel
sdílení	gedeel
předpoklady	assumptions
kresba	skets
kresba	tekening
propagace	promosies
propagace	publisiteit
propagace	promosie
postižení	gestremdheid
občanský	siviele
číslice	syfers
číslice	syfer
nájezdy	gestroop
etiopie	ethiopia
etiopie	ethiopië
divoká	wildernis
divoká	wild
divoká	wilde
pavilon	pavilion
sny	drome
api	api
api	apis
křižáci	crusaders
luxusní	deluxe
luxusní	luukse
luxusní	luxury
gilbert	gilbert
bristol	bristol
magie	toor
magie	magic
palace	paleis
simone	simone
simone	simon
čistý	skoonmaak
čistý	skoon
čistý	suiwer
čistý	skoon
keř	bush
keř	struik
hus	geese
pokračovalo	volgehoue
pokračovalo	deurlopende
pokračovalo	voortdurende
nicholas	nikolaas
nicholas	nicolaas
sean	sean
nikola	nikola
spuštěn	geloop
spuštěn	sedert
spuštěn	geloods
pákistánu	pakistan
maine	maine
dell	dell
ovzduší	atmosfeer
ovzduší	air
ovzduší	lug
craig	craig
boty	skoene
boty	stewels
modlitby	prayers
upravený	gewysig
plavidlo	vaartuig
plavidlo	craft
podrobný	gedetailleerde
podrobný	gedetaileerde
skvrny	ruimtes
skvrny	kolle
náhradník	afwissel
náhradník	alternatiewe
torpédoborce	destroyers
puška	geweer
dcer	daughters
schody	stappe
schody	trappe
výčet	konfigurasie
pochybnosti	twyfel
salzburg	salzburg
jezdit	rit
jezdit	ride
pec	pec
živý	lewendig
sezení	sitting
sezení	sit
sezení	sessie
sezení	sessies
hladké	glad
nastavit	opstelling
nastavit	gestel
nastavit	instel
nastavit	stel
nastavit	opstel
mluvící	talking
fan	waaier
fan	aanhanger
fan	bewonderaar
archeologie	argeologie
rezidence	woonplek
rezidence	huise
klasifikaci	klassifikasie
zvyšování	vermeerder
zvyšování	insameling
zvyšování	oplig
zvyšování	raising
sada	gestel
sada	instel
sada	stel
parkoviště	parkering
výzvu	challenge
výzvu	uitdaging
zneužívání	misbruik
château	château
pánev	pelvis
pánev	pan
atomů	atome
tung	tung
vlnu	wol
wawrinka	wawrinka
bitev	slag
bitev	battles
vyrobit	maak
míjí	herhalings
hostitele	gasheer
hostitele	bediener
elisabeth	elisabeth
soupeři	teenstanders
battle	slag
battle	veldslag
kouření	rook
ward	ward
inspirace	inspirasie
jáma	pit
vln	golwe
doporučuji	aanbeveel
návštěvu	besoek
lidstvo	mensdom
lidstvo	humanity
lidstvo	mensdom
komponenty	komponente
záběry	beeldmateriaal
otevřít	ope
otevřít	oopmaak
