ワトソン	왓슨
日没	선셋
日没	석양
日没	일몰
ミュラー	뮐러
ミュラー	mueller
ミュラー	뮬러
セルティックス	셀틱스
ディナー	저녁식사
ディナー	저녁
白金	플래티넘
白金	백금
パラグアイ	파라과이
パラグアイ	파라과이
ブカレスト	부쿠레슈티
ジェシー	제시
オオカミ	늑대
オオカミ	볼프
オオカミ	울프
コンタクト	접촉
コンタクト	문의
コンタクト	연락처
コンタクト	연락
バスケット	바스켓
バスケット	바구니
ザルツブルク	잘츠부르크
特製	전문
快感	즐거움
快感	기쁨
快感	쾌락
叔母	숙모
叔母	고모
叔母	이모
叔母	이모가
パーソナル	개인적
パーソナル	개인적인
パーソナル	개인용
パーソナル	개인
段落	문단
段落	단락
段落	단락
ハーモニー	하모니
ハーモニー	조화
ハーモニー	화합
やっと	마침내
やっと	드디어
アイディア	아이디어
アイディア	idea
アイディア	아이디어
タイラー	타일러
アンプ	증폭기
アンプ	앰프
アンプ	앰프
宝物	보물
宝物	보물
礼子	레이코
マルクス主義	마르크스주의
イワン	이반
ギフト	선물
ギフト	선물
理性	이유
ビスマルク	비스마르크
構文	구문
構文	문법
ミキ	미키
光景	관광지
光景	광경
アインシュタイン	아인슈타인
申し立て	분쟁
エミリー	emily
エミリー	에밀리
スラッシュ	슬래시
アミューズメント	놀이
ハーレム	할렘
サンズ	샌드
サンズ	샌즈
プラット	프랫
矯正	보정
バタフライ	나비
最小限	최소화하기
最小限	최소화
最小限	최소
エレナ	엘레나
クイーンズ	퀸즈
クイーンズ	퀸스
コサック	코자크
コサック	카자크
コサック	코자크
コサック	카자크
スペル	철자
スペル	맞춤법
スペル	철자법
スペル	철자
チャレンジャー	챌린저
プロポーズ	제안
バント	번트
パラレル	평행
パラレル	병렬
ゴマ	참깨
サザン	남부
サザン	남방
図形	지오메트리
図形	기하학
図形	형태
図形	모양
デイヴ	데이브
ドッキング	도킹
マダム	부인
マダム	사모님
平沢	히라사와
トレント	트렌트
アーセナル	아스널
アーセナル	아스날
アーセナル	arsenal
アトランティック	애틀랜틱
アトランティック	대서양
メチル	메틸화
メチル	메틸
おば	숙모
おば	고모
おば	이모
おば	이모가
腐敗	분해
腐敗	부패
ベイビー	베이비
ベイビー	아기
備後	빙고
キルギス	키르기스스탄
とにかく	어쨌든
とにかく	어쨌거나
アダムス	애덤스
アダムス	아담스
ブライト	밝아
ブライト	밝고
ブライト	밝은
ブライト	밝게
トレーラー	예고편
トレーラー	트레일러
毛皮	모피
コロシアム	콜리세움
コロシアム	콜로세움
コロシアム	콜리시엄
コロシアム	콜로세움
シンフォニー	교향곡
エスカレーター	에스컬레이터
選任	약속
選任	예약
選任	선거
ゴールキーパー	골키퍼
条文	조항
ニクソン	닉슨
マリオン	매리언
マリオン	마리온
ごみ	쓰레기
ごみ	쓰레기
ハーブ	허브
ハーブ	약초
ハーブ	허브
フィアット	피아트
カッター	커터
ヒスパニック	히스패닉
チェ	최다
ジョーク	농담
ジョーク	농담
フォスター	포스터
みさき	미사키
クロスオーバー	크로스오버
孵化	해치
コウモリ	bat
コウモリ	박쥐
コウモリ	박쥐
バチカン	바티칸
トリス	트리스
編み	땋은
ヴィラ	빌라
ヴィラ	빌라
ユーモア	유머
ユーモア	유머
溶液	해결책
溶液	솔루션
ウイスキー	위스키
ウイスキー	위스키
バッキング	든든한
バッド	bad
バッド	나쁜
バッド	나쁘다
ナシ	pear
アレクセイ	알렉세이
アレクセイ	알렉세이
アレクセイ	알렉세이
アレクサンドリア	알렉산드리아
エリザベート	엘리자벳
エリザベート	엘리자베스
コンポーネント	컴포넌트
コンポーネント	구성요소
コンポーネント	구성요소
コンポーネント	부품
コンポーネント	성분
聴覚	청각
簡潔	간결
トリガー	트리거
イベリア	이베리아
イーグルス	eagles
イーグルス	이글스
チューリップ	튤립
チューリップ	튤립
舞子	마이코
リップ	찢어
リップ	rip
コルト	colt
コルト	콜트
プランニング	플래닝
プランニング	계획
プランニング	기획
曲面	표면
曲面	지표면
煉瓦	벽돌
煉瓦	벽돌
煉瓦	브릭
ペイン	페인
ペイン	페인
ペイン	통증
ペイン	통증이
ペイン	고통
薬剤師	약사
自律	자치구
ポツダム	포츠담
ニコル	니콜
ニコル	니콜
嫌がらせ	괴롭힘
ハーグ	헤이그
プロヴァンス	프로방스
ミーティング	회의
ミーティング	미팅
ミーティング	모임
ミーティング	회의
ミーティング	만남
ミーティング	미팅
カーペット	융단
カーペット	카펫
カーペット	카펫
カーペット	융단
モンタナ	몬태나
カビ	곰팡이
ギャップ	틈새
ギャップ	간격
ギャップ	간격
アルス	ars
シェリー	셰리
シェリー	셸리
乗り物	차량
乗り物	차량
ダニ	눈금
ダニ	진드기
ダニ	체크
暖房	난방
数量	수량
数量	수량
中級	중간
パンドラ	판도라
チャイコフスキー	차이콥스키
カナリア	카나리아
カナリア	카나리아
テンプル	템플
テンプル	신전
テンプル	사원
偽造	위조
偽造	위조
エメラルド	에메랄드
テレサ	테레사
テレサ	테레사
パタゴニア	파타고니아
太い	두껍게
太い	두꺼운
アニー	애니
ベルン	베른
コックピット	조종실
コックピット	조종석
匂い	냄새
ゴメス	고메즈
ゴメス	고메즈
オスカル	오스카
リハーサル	리허설
リハーサル	리허설
アスファルト	아스팔트
サラダ	샐러드
サラダ	샐러드
エクアドル	에콰도르
エクアドル	에콰도르
河北省	허베이
ルワンダ	르완다
ドーピング	도핑
十字路	교차로
十字路	크로스로드
十字路	교차로
レナード	레오나드
レナード	레너드
グライダー	글라이더
グライダー	글라이더
ベルナール	베르나르드
ベルナール	버나드
ベルナール	베르나르
ひどい	끔찍한
ババ	바바
ポーツマス	포츠머스
オスロ	오슬로
ヴァンガード	뱅가드
モニカ	모니카
スペシャリスト	전문가
リガ	리가
ロコ	loco
パワフル	강력
パワフル	강력한
パワフル	강력하다
スカーレット	스칼렛
スカーレット	스칼렛
ペレス	페레즈
ペレス	페레즈
ペレス	페레스
泣く	울음
泣く	울음
インディー	인디
田尻	다지리
田尻	타지리
ペガサス	페가수스
ペガサス	페가수스자리
観念	아이디어
観念	idea
叫ぶ	소리쳐
ケネス	케네스
シャドウ	섀도우
シャドウ	섀도
シャドウ	그림자
発送	디스패치
マンガン	망가니즈
教訓	레슨
教訓	교훈
教訓	수업
ポッター	포터
ハト	비둘기
ハト	피죤
ハト	비둘기
スモール	작아
スモール	소작
給料	급여
給料	월급
打楽器	타악기
伝播	전파
エドワーズ	에드워즈
ベネット	베넷
肩書	타이틀
肩書	제목
コンペティション	경쟁
ドリンク	음료
ドリンク	음료수
ドリンク	음료
ドリンク	음료수
子宮	자궁
子宮	자궁
慶喜	요시노부
グラスゴー	글래스고
ワタナベ	와타나베
航法	탐색
シアン	청록색
シェパード	양치기
シェパード	셰퍼드
贈り物	선물
贈り物	선물
ベネディクト	베네딕도
ベネディクト	베네딕토
ベネディクト	베네딕트
検閲	검열
検閲	검열
オペレーション	작전
オペレーション	운영
オペレーション	작동
オペレーション	작전
ガーディアン	수호
ガーディアン	보호자
ガーディアン	가디언
物事	것들
物事	사물
描画	그리기
ノンストップ	논스톱
パレット	팔레트
マギー	매기
フューチャー	미래
フューチャー	퓨처
狂気	광기
狂気	광기
狂気	광기
懸賞	상금
ストーカー	스토킹
ストーカー	스토커
ストーカー	스토킹
ロバ	당나귀
ロバ	당나귀
大麻	대마초
村落	마을
村落	빌리지
村落	마을
生態系	생태계
生態系	생태계
かわいい	귀여워
モニュメント	기념물
モニュメント	기념비
モニュメント	기념탑
モニュメント	기념물
モニュメント	모뉴먼트
モニュメント	기념비
ジャッジ	판단
ジャッジ	판사
ザグレブ	자그레브
ニューカッスル	뉴캐슬
サクラメント	새크라멘토
サクラメント	성사
マジカル	마법
リクルート	모집
ソート	sort
ソート	정렬
ソート	정렬
覚書	각서
サンダー	썬더
サンダー	천둥
サンダー	선더
紅茶	홍차
天竜	덴류
信じる	believe
信じる	믿기
ヴィンセント	빈센트
ハイライト	하이라이트
ハイライト	하이라이트
ハイライト	하이라이트
ハイライト	강조하기
ハイライト	강조
マシーン	머신
マシーン	기계
ポーラ	폴라
暗闇	어둠
暗闇	암흑
マーチン	마르틴
マーチン	마틴
リラ	리라
せり	경매
ゼルダ	젤다
プロローグ	prologue
果物	과일
果物	열매
果物	과일과
果物	과일
果物	과일과
おじ	삼촌
おじ	아저씨
停電	정전
停電	정전기
停電	블랙아웃
爬虫類	파충류
爬虫類	파충류
共感	공감
五つ	다섯
五つ	파이브
税金	납세
税金	세금
税金	세금
登る	오르기
隔離	격리
隔離	고립
バーレーン	바레인
バーレーン	바레인
球体	스피어
領事	영사
未熟	미성숙
未熟	미숙
不便	불편
不便	불편함
不便	불편한
不便	불편
ブラームス	브람스
キャメロン	캐머런
キャメロン	카메론
マーキュリー	수성은
マーキュリー	수성
マーキュリー	머큐리
談話	담화
ウェディング	결혼식
ウェディング	결혼식
ウェディング	웨딩
着物	기모노
救急車	구급차
花弁	꽃잎
セグメント	세그먼트
セグメント	세그먼트
ナタリー	나탈리
在庫	인벤토리
在庫	재고
カーティス	커티스
サングラス	선글라스
セブ	세부
スプリンター	스프린터
スプリンター	가시
リセット	리셋
リセット	초기화
スプレー	스프레이
ポテンシャル	잠재력
ポテンシャル	퍼텐셜
ポテンシャル	잠재
ポテンシャル	잠재적
スピーチ	연설
スピーチ	음성
ジャスティン	저스틴
デュッセルドルフ	뒤셀도르프
デュッセルドルフ	뒤셀도르프
タスク	작업
タスク	태스크
タスク	작업
ジュピター	목성
ジュピター	목성의
キャプション	자막
キャプション	문구
キャプション	설명
キャプション	자막
プレイオフ	플레이오프
ユヴェントス	유벤투스
物品	상품
物品	물품
サイレン	사이렌
ルーレット	룰렛
小人	난쟁이
小人	왜소은하
リビング	생활
チャド	차드
バイオリン	바이올린
ジャカルタ	자카르타
インターフェース	인터페이스
インターフェース	인터페이스
キノ	키노
即興	즉흥
コーダ	코다
ドロー	추첨
ドロー	그리기
済州	제주
賞品	상금
公判	재판
便宜	편의
収縮	수축
バングラデシュ	방글라데시
バングラデシュ	방글라데시
ペルシャ	페르시아
ペルシャ	페르시아인
ペルシャ	페르시안
ペルシャ	페르시아어
変種	다양체
変種	버라이어티
リハビリテーション	재활
屈折	굴절
アクセサリー	악세사리
アクセサリー	액세서리
アクセサリー	악세사리
アクセサリー	액세서리
肥料	비료
フォーチュン	포춘
ラッパー	래퍼
ラッパー	래퍼
検知	탐지
検知	감지
検知	검출
検知	감지
検知	발견됨
検知	탐지
検知	감지
アイスクリーム	아이스크림
野獣	짐승
野獣	비스트
サメ	상어
サメ	상어
フレディ	프레디
湖沼	호수
オペレーター	작용소
オペレーター	연산자
オペレーター	운영자
レクイエム	레퀴엠
ゲット	get
ゲット	받기
レイチェル	레이첼
バンクス	뱅크
バンクス	은행
バンクス	뱅크스
ナット	땅콩
ナット	nat
陽気	졸리
陽気	장난꾸러기
陽気	장난
陽気	장난기
ホルヘ	호르헤
概説	윤곽
概説	요약
マグロ	참치
ジョイ	기쁨
ジョイ	조이
ジョイ	기쁨이
クッキング	요리
リーク	누출
プッシュ	밀어
プッシュ	푸시
ファンク	펑크
キープ	유지
グアテマラ	과테말라
グアテマラ	과테말라
フライデー	금요일
フライデー	프라이데이
ダイバー	다이버
可視	표시
可視	표시됨
長方形	직사각형
長方形	사각형
長方形	직사각형
長方形	사각형
長方形	직사각형
パイプライン	파이프라인
疾病	질환
疾病	질병
コントローラー	컨트롤러
コントローラー	컨트롤러
アスリート	운동선수
アスリート	육상선수
アスリート	운동선수
キャラバン	캐러밴
ユーリ	유리
丸い	라운드
ジェラルド	제럴드
変奏曲	변수
カーテン	커튼
カーテン	커튼
カーテン	커튼
嫌悪	혐오
嫌悪	혐오
豆腐	두부
ペレ	펠레
昨日	어제
ブルネイ	브루나이
コンベンション	조약
コンベンション	협약
コンベンション	컨벤션
引き出し	서랍
引き出し	서랍
課金	청구
課金	충전
課金	전하
我慢	인내심
我慢	인내
レクリエーション	레크리에이션
コンパイル	컴파일
コンパイル	컴필레이션
コンパイル	컴파일러
コンパイル	컴파일
コンパイル	컴파일
トスカーナ	토스카나
カルメン	카르멘
超新星	초신성
加奈子	카나코
蕎麦	소바
バンパー	범퍼
ファイターズ	파이터스
ファイターズ	파이터
ファイターズ	파이터즈
ファウスト	파우스트
ファシズム	파시스트
ファシズム	파시즘
ハルビン	하얼빈
組み込み	임베디드
ズボン	바지
ズボン	바지
マインツ	마인츠
日の出	일출
カリキュラム	커리큘럼
プラトン	플라톤
タップ	누르세요
タップ	누르기
タップ	누르면
欠如	부족
ロミオ	로미오
ロミオ	romeo
ヒデ	숨기기
ブルックス	브룩스
遼寧省	랴오닝
ドク	doc
チタン	타이타늄
チタン	티타늄
和睦	화해
生計	생계
悲しい	슬픔
悲しい	슬픈
悲しい	슬프다
真司	신지
ステロイド	스테로이드
ステロイド	스테로이드
ハガキ	엽서
取り出し	꺼내기
ダイス	주사위
アレクサンドラ	알렉산드라
変調	변조
宴会	연회장
宴会	연회
スニーカー	운동화
ノミ	플리즈
ノミ	벼룩
ノミ	벼룩
ファイナンス	재무
ファイナンス	재정
ファイナンス	금융
アニメイト	애니메이트
偏見	편견
ファルコン	팰컨
ファルコン	팰콘
ウガンダ	우간다
ウガンダ	우간다
許す	용서
許す	용서
カメルーン	카메룬
コンプリート	완료
コンプリート	완성
スーパースター	슈퍼스타
ホステス	승무원
ダイビング	다이빙
ダイビング	잠수
ダイビング	dive
ダイビング	다이빙
ダイビング	잠수
リンチ	린치
バビロン	바빌론
カーネギー	카네기
ウェリントン	웰링턴
ウェリントン	wellington
リザ	리자
カストロ	카스트로
ワシ	독수리
ワシ	이글
新星	노바
テヘラン	테헤란
ブロンズ	청동기
ブロンズ	청동
アントワーヌ	앙투안
スキップ	스킵
ヤシ	손바닥
ヤシ	palm
小切手	수표
手榴弾	유탄
手榴弾	수류탄
手榴弾	수류탄
セネガル	세네갈
セネガル	세네갈
ソーラー	태양광
ソーラー	태양
議定書	프로토콜
明夫	아키오
ピザ	피자
土星	토성
サクセス	성공적
サクセス	성공함
サクセス	성공
ニカラグア	니카라과
ニカラグア	니카라과의
ニカラグア	니카라과
ニカラグア	니카라과의
海老	새우
海老	새우
海老	새우
コンパイラ	컴파일러
コンパイラ	컴파일러
退屈	지루한
シボレー	쉐보레
酸性	산성
ウィークリー	주간
ウィークリー	매주
購買	구매
ウィルス	바이러스
ウィルス	바이러스
アンジェラ	안젤라
アンジェラ	안젤로
噴水	분수
噴水	분수
リムジン	리무진
リムジン	리모
リムジン	리무진
試練	재판
ガレージ	차고
ガレージ	주차장
コンドル	콘도르
苦しむ	고통받고
ヘルプ	도움
ヘルプ	도움말
スーパーマン	슈퍼맨
レンガ	벽돌
レンガ	벽돌
レンガ	브릭
ブラント	브랜트
ブラント	브랜트
ブラント	브란트
リベンジ	복수
ミヒャエル	마이클
ミヒャエル	미하엘
ミヒャエル	미카엘
投影	프로젝션
投影	도법
投影	투영
未婚	미혼
イデオロギー	이데올로기
イデオロギー	이념
オルレアン	올리언스
わくわく	흥분
着信	수신
ベティ	베티
サモア	사모아
サモア	사모아
パーマー	팔머
パーマー	파머
ベーシック	기본
ベーシック	기초
ベーシック	베이직
切り札	트럼프
包装	포장
鉛筆	연필
鉛筆	연필
会計士	회계사
会計士	회계사
カーリング	컬링
ヒート	더위
ヒート	히트
東南	남동
東南	동남아
アウディ	아우디
隣人	이웃
隣人	이웃집
エヴァ	에바
後悔	후회
後悔	후회
催眠	최면
ハエ	날아라
ハエ	플라이
エセックス	에식스
マーベル	마블
悪霊	악마
悪霊	악마
醍醐	다이고
汚職	부정부패
汚職	부패
取り付ける	첨부
取り付ける	부착
服飾	의상
ロケーション	위치
牛肉	비프
牛肉	쇠고기
牛肉	소고기
ジョンストン	존스턴
万歳	반자이
散乱	산란
信行	노부유키
レジスタンス	저항운동
レジスタンス	저항성
レジスタンス	저항
胎児	태아
マーカス	마커스
マーカス	마르쿠스
チャールストン	찰스턴
由緒	역사
由緒	내역
由緒	히스토리
由緒	기록
好奇心	궁금해
好奇心	호기심
エドウィン	에드윈
ニャー	야옹이
花粉	꽃가루
サタン	사탄
生態学	생태
生態学	생태주의
生態学	생태학
生態学	생태주의
生態学	생태학
サイクリング	사이클링
サイクリング	사이클
フレックス	플렉스
フレックス	flex
レゲエ	레게
タフ	힘든
タフ	터프
スパイス	양념
鮮やか	생생
鮮やか	생생한
ヘンダーソン	헨더슨
トラウマ	트라우마
トラウマ	외상
親指	엄지손가락
親指	엄지
親指	엄지손가락
親指	엄지
フォロー	팔로우
フォロー	팔로우
政治局	정치국
粉末	밀가루
粉末	가루
粉末	파우더
ジブラルタル	지브롤터
プレイボーイ	플레이보이
マーズ	마스
マーズ	화성
グレゴリー	그레고리
グレゴリー	그레고리우스
台所	부엌
台所	부엌
台所	주방
レミ	레미
パウエル	파월
ジョエル	조엘
リッチー	리치
リッチー	리치
公道	고속도로
公道	하이웨이
峡谷	협곡
峡谷	계곡
峡谷	협곡
峡谷	캐니언
峡谷	협곡
救世主	구원자
馬術	승마
馬術	승마
書式	형식
書式	포맷
書式	형식
書式	포맷
書式	형식으로
アレルギー	알레르기
ガードナー	가드너
知覚	지각
知覚	인식
脊椎動物	척추동물
勇敢	용감한
テンソル	텐서
ワンダフル	멋진
モーメント	moments
モーメント	순간
モーメント	순간
農産物	농작물이
農産物	농작물
農産物	곡물
トムソン	톰슨
リエージュ	리에주
レベッカ	리베카
レベッカ	레베카
マルティネス	마르티네스
マルティネス	마르티네즈
バクー	바쿠
叙事詩	에픽
叙事詩	서사시
注射	주사
注射	주사
注射	주입
注射	분사
ファックス	팩스
平仮名	히라가나
無制限	무제한
サギ	헤론
ブレンド	혼합
パラマウント	파라마운트
クレーム	불평
クレーム	불만이
クレーム	불만
クレーム	불만
プレスト	프레스토
トウモロコシ	옥수수
トウモロコシ	옥수수
ギネス	기네스
ミューズ	뮤즈
景色	경치
景色	풍경
甲状腺	갑상샘
甲状腺	갑상선
フロイド	플로이드
フェルディナンド	페르디난트
オードリー	오드리
図面	그리기
ハッスル	허슬
サバンナ	사바나
サバンナ	서배너
埋める	묻어
埋める	채워
埋める	fill
埋める	채우기
フィンガー	핑거
フィンガー	손가락
スターズ	항성
スターズ	스타
同化	동화
モロ	모로
栄子	에이코
チャリティ	자선단체
チャリティ	자선
ストリング	문자열
ウォレス	월리스
プロット	플롯
区切り	브레이크
区切り	휴식
区切り	break
計器	악기
計器	계기
文官	민간
文官	민간인
ゲームセンター	아케이드
安積	아사카
クリケット	크리켓
ゆっくり	천천히
タオル	타월
タオル	수건
タオル	타월
タオル	수건
アリストテレス	아리스토텔레스
五木	이쓰키
ハイドン	하이든
プレジデント	회장
プレジデント	대통령
瀬田	세타
ディッシュ	요리
ディッシュ	접시
方法論	방법론
ビスタ	비스타
ワンダー	원더
ワンダー	궁금해
クッキー	쿠키
クッキー	쿠키
電極	전극
電極	전극
瞑想	명상
瞑想	명상
ドーナツ	도넛
ドーナツ	도너츠
ドーナツ	도넛
ドーナツ	도넛
ドーナツ	도넛
ノズル	노즐
ナショナリズム	내셔널리즘
ナショナリズム	국민주의
ナショナリズム	민족주의
パイン	소나무
パイン	파인
正方形	제곱
正方形	스퀘어
正方形	광장
正方形	사각형
正方形	정사각형
正方形	제곱수
テオドール	시어도어
パスカル	파스칼
タンザニア	탄자니아
タンザニア	탄자니아
肥満	비만
肥満	비만
エーテル	에테르
エーテル	에테르
モデリング	모델링
モデリング	모델링
キャビン	객실
キャビン	오두막
ヘリウム	헬륨
行軍	행진
羽毛	깃털
羽毛	깃털
ノックアウト	녹아웃
ハロウィン	할로윈
ウッズ	우즈
フラグ	깃발
フラグ	국기
フラグ	플래그
フラグ	플래그
フラグ	깃발
銀河系	은하
銀河系	갤럭시
策略	계략
サプライズ	서프라이즈
フィナーレ	피날레
アニマル	애니멀
アニマル	동물
アニマル	동물학
防水	방수
同定	증명
同定	식별
同定	신분증
チャーチ	교회
開祖	설립자
開祖	창시자
開祖	창립자
マグネシウム	마그네슘
共和制	공화국
共和制	공화국
仮装	의상
華やか	매력
華やか	화려한
磁石	자석
磁石	자석
