филологических	filologiczny
идеологии	ideologie
разрешить	dopuszczają
разрешить	umożliwić
разрешить	zezwolenie
разрешить	pozwolenie
барбара	barbary
барбара	barbara
барбара	barbaro
признали	uznane
признали	uznawane
признали	uznany
признали	uznana
признали	rozpoznał
признали	uznany
признали	uznawane
признали	uznane
признали	uznana
верфи	stoczni
верфи	stocznia
псевдонимы	pseudonimy
законодательство	prawodawstwo
законодательство	prawodawstwa
законодательство	ustawodawstwo
ксения	ksenia
ганс	hans
ганс	hansa
сзади	tylny
сзади	tyły
сзади	tylne
сзади	tył
сзади	tylna
иллинойс	illinois
тон	tonę
тон	tona
тон	ton
тон	tonie
тон	ton
тон	tonu
планете	planet
планете	planety
планете	planeta
леви	levi
леви	opłata
потомков	potomków
потомков	potomkowie
потомков	potomków
регистр	rejestru
регистр	rejestr
регистр	rejestru
регистр	rejestr
прототип	prototyp
творческий	kreatywny
творческий	kreatywność
творческий	creative
геологии	geologia
химический	chemikalia
химический	chemiczne
ближайший	najbliższy
ближайший	najbliższa
ближайший	najbliższej
ближайший	najbliższe
ближайший	najbliżej
ближайший	najbliższy
ближайший	najbliższych
ближайший	najbliższe
ближайший	najbliżej
астрономы	astronomowie
нижние	niższy
нижние	niżej
нижние	lower
нижние	niższa
нижние	dolna
чистой	czysty
чистой	czysta
чистой	czyste
украинцы	ukraińców
украинцы	ukraiński
продолжая	kontynuacja
продолжая	kontynuując
продолжая	kontynuuje
продолжая	kontynuowanie
коды	kodów
коды	kody
среду	środy
среду	środę
среду	środa
уголовное	kryminalne
уголовное	karnego
уголовное	przestępcy
уголовное	przestępca
уголовное	kryminalista
капитал	kapitał
капитал	stolica
капитал	kapitału
капитал	stolicy
капитал	capital
монография	monografii
росс	rossa
росс	ross
гвинеи	gwinei
гвинеи	gwinea
гвинеи	gwinei
вкус	smak
вкус	gust
вкус	smaku
вкус	smakuje
вкус	smak
ссылается	powołuje
племя	plemienia
племя	plemię
племя	szczep
дама	pani
дама	dama
дама	dame
атлетика	lekkoatletyka
трудящихся	pracowników
трудящихся	pracownicy
трудящихся	robotnicy
ставки	zakłady
ставки	zakładów
ставки	zakłady
ставки	zakładów
ставки	stawki
ставки	kursy
ставки	stawka
ставки	stawki
люблю	miłość
люблю	love
люблю	miłości
люблю	kocham
подруга	dziewczyna
подруга	dziewczynę
подруга	przyjaciółka
подруга	koleżanka
подруга	znajomy
подруга	przyjaciel
сицилии	sycylii
клиентов	klienci
клиентов	klienta
клиентов	klient
клиентов	klientka
клиентов	klienci
клиентов	klientów
клиентов	klienci
клиентов	klientów
выпускник	absolwent
возникновение	powstanie
возникновение	wystąpienie
успенский	uspienski
остановка	zatrzymanie
гвинея	gwinei
гвинея	gwinea
реформа	reformę
реформа	reform
реформа	reforma
реформа	reformy
войти	zaloguj
войти	login
войти	logowanie
войти	wejdź
войти	enter
дева	panny
дева	panna
дева	dziewica
дева	dziewicze
дева	maiden
дева	panieńskie
травму	urazy
травму	uraz
висит	zwisa
висит	powieszenie
висит	wiszą
полицейских	policjantów
полицейских	policjanci
конвенции	konwencje
конвенции	konwencji
конвенции	konwent
конвенции	zjazd
конвенции	konwencja
конвенции	konwencje
конвенции	konwencji
местоположения	lokalizacji
местоположения	lokalizacje
местоположения	miejsca
обнаружить	odkryć
обнаружить	odkrywanie
душа	prysznic
душа	duszę
душа	dusza
душа	dusze
душа	soul
душа	duszy
медведь	miś
медведь	misiek
медведь	misia
медведь	misiu
медведь	niedźwiedź
чёрное	czarna
чёрное	czarne
чёрное	black
чёрное	czerń
чёрное	czarny
эхо	echa
эхо	echa
эхо	echo
кипра	cypr
быстрый	szybkie
быстрый	szybki
быстрый	szybko
быстрый	szybkie
быстрый	szybki
быстрый	szybka
быстрый	szybko
кратеров	kratery
тан	tang
тан	tan
спектр	widmo
спектр	widma
спектр	widmo
спектр	spektrum
спектр	widmo
курт	kurt
курт	kurta
курт	curt
ширину	szerokość
ширину	szerokości
нации	narodu
нации	naród
джин	jin
джин	gin
джин	dżin
джин	jean
джин	jeana
джин	genu
джин	gene
джин	gen
джин	geny
продано	sprzedane
продано	sprzedano
продано	sprzedany
продано	sprzedana
мощный	potężne
мощный	potężna
мощный	potężny
мощный	mocne
кругах	kółka
кругах	okręgi
кругах	kółko
кругах	kręgi
записать	rekord
записать	zapis
записать	płyta
испанская	hiszpanie
испанская	hiszpańskie
испанская	hiszpańska
испанская	hiszpański
комплексы	kompleksy
разнообразные	zróżnicowane
мол	mal
мол	mol
моложе	młodsza
моложе	młodsi
моложе	młodszy
моложе	młodsze
интерпретации	interpretacji
льда	lód
льда	ice
льда	lodu
северные	północ
северные	północna
северные	północne
северные	północnej
северные	północny
обоснования	uzasadnienia
зимний	winter
зимний	zimowy
зимний	zimy
зимний	zima
зимний	zimowe
институты	instytutów
институты	instytucji
институты	instytucje
немецкое	niemiecka
немецкое	niemcy
немецкое	niemieckim
немецкое	niemieckie
немецкое	niemiecki
норвежский	norweskie
норвежский	norweskiego
норвежский	norweski
командиров	dowódców
командиров	dowódcy
взяв	wzięcie
взяв	branie
взяв	biorąc
взяв	przyjmowanie
лейтенанты	poruczników
вулкан	wulkanu
вулкан	wulkan
вулкан	wulkan
дополнительная	dodatkowa
дополнительная	dodatkowe
дополнительная	dodatkowy
дополнительная	dodatkowa
дополнительная	ekstra
дополнительная	dodatkowe
дополнительная	dodatkowy
дополнительная	extra
десятилетий	dekady
десятилетий	dziesięciolecia
десятилетий	dekad
выросла	rósł
конкретный	szczególne
конкретный	konkretne
конкретный	specyficzne
конкретный	betonu
конкретный	konkretne
конкретный	beton
конкретный	konkretny
верить	uwierz
купить	kupić
купить	kup
верность	wierności
верность	wierność
верность	lojalności
верность	wierność
верность	lojalność
поднять	podnieść
поднять	podnieść
плата	opłata
плата	honorarium
плата	opłaty
репутацию	reputacji
репутацию	reputację
репутацию	reputacja
коммуникации	komunikaty
коммуникации	łączności
коммуникации	komunikacja
коммуникации	komunikacji
коммуникации	łączność
костюм	kostium
костюм	kostiumy
костюм	strój
костюм	skafander
костюм	kombinezon
костюм	garnitur
избирательный	selektywny
маяк	latarni
маяк	beacon
маяк	latarnia
норма	norma
норма	normę
норма	norma
норма	normę
норма	normy
норма	norm
отдельное	osobne
отдельное	odrębne
отдельное	oddzielne
воин	wojownika
воин	wojownik
крус	cruz
отбора	selekcja
отбора	zaznaczenie
отбора	wybór
отбора	wyboru
отбора	dobór
бойцы	zawodnicy
бойцы	myśliwce
бойцы	wojownicy
бойцы	bojowników
лук	czosnek
лук	allium
лук	cebulę
лук	cebuli
лук	cebula
лук	cebulę
лук	cebuli
лук	cebula
лук	łuk
ушел	odszedł
прусской	pruski
бабушка	babci
бабушка	babcia
бабушка	babka
бабушка	babci
бабушка	babcia
бабушка	babci
бабушка	babcia
фишер	fisher
фишер	fishera
фишер	fischer
симфония	symphony
скажите	powiedz
разрешено	dozwolone
разрешено	dopuszczone
разрешено	upoważniony
разрешено	dozwolone
разрешено	dozwolony
разрешено	dozwolona
разрешено	dopuszczone
разрешено	dozwolone
разрешено	dozwolony
разрешено	dozwolona
разрешено	dopuszczone
разрешено	dopuszczone
разрешено	upoważniony
гражданские	cywilne
гражданские	obywatelskiego
гражданские	cywilny
гражданские	cywilne
гражданские	cywile
гражданские	cywilny
гражданские	cywil
гражданские	cywilnej
гражданские	cywilów
гражданские	cywile
марино	marino
вызвали	wezwana
вызвали	wezwał
вызвали	wezwany
яковлев	jakowlew
богдан	bogdan
проектирование	projekt
проектирование	konstrukcja
проектирование	projektowanie
проектирование	design
проектирование	projektowanie
функционирования	funkcjonowanie
функционирования	funkcjonuje
функционирования	funkcjonowaniu
низкая	niska
низкая	niskie
низкая	niski
низкая	low
низкая	nisko
краснодар	krasnodar
завершено	zrealizowane
завершено	zakończone
завершено	zakończona
завершено	zaliczone
завершено	ukończone
завершено	skończony
завершено	zakończone
завершено	skończone
сталинская	stalinowskich
франс	frans
франс	francji
франс	francja
франс	france
индейцы	indian
индейцы	indianie
трио	trio
польшу	poland
польшу	polsce
польшу	polski
польшу	polska
толщиной	gruby
толщиной	grubo
толщиной	gruba
толщиной	grube
достоинство	godność
достоинство	godności
верующих	wyznawcy
верующих	wierni
верующих	wierzący
верующих	wierzących
верующих	wierna
верующих	wierny
верующих	wierni
пустыни	pustyni
пустыни	pustynia
пустыни	pustynie
оборона	obronie
оборона	obrony
оборона	obrona
оборона	obrony
оборона	obrona
оборона	obronne
аллен	allen
аллен	allena
технически	technicznie
христос	chryste
христос	chrystus
героиня	bohaterka
героиня	heroina
снята	wycofano
снята	wycofane
снята	cofnięte
снята	wycofany
эрика	erika
эрика	erica
требовать	wymagają
требовать	wymagać
приобретает	nabywa
упомянуть	wzmianka
упомянуть	wspomnieć
пещера	jaskinia
пещера	jaskini
гости	odwiedziny
гости	gości
гости	odwiedzający
гости	goście
гости	odwiedzających
гости	gości
гости	goście
обнаружена	odkryte
обнаружена	odkrył
обнаружена	odkryto
обнаружена	wykryto
обнаружена	wykryte
южные	południowa
южные	południowej
южные	southern
южные	południowe
афганистан	afganistan
афганистан	afganistanu
афганистан	afganistanie
перри	perry
обслуживание	usługi
обслуживание	usług
обслуживание	obsługi
обслуживание	usługi
обслуживание	służba
обслуживание	obsługa
обслуживание	serwis
религиозный	religijny
религиозный	religijnych
религиозный	religia
религиозный	religijna
религиозный	religijne
сортов	odmian
сортов	odmiany
выделение	selekcja
выделение	zaznaczenie
выделение	wybór
выделение	wyboru
выделение	dobór
вероятности	prawdopodobieństwa
степанов	stiepanow
банки	banks
банки	banki
банки	bankami
банки	banków
банки	puszek
банки	puszki
патриархата	patriarchat
используемый	stosowane
используемый	wykorzystane
используемый	użyte
используемый	używana
используемый	używany
используемый	używane
настоящие	real
настоящие	prawdziwy
настоящие	prawdziwe
настоящие	autentyczne
настоящие	autentycznie
настоящие	autentyczny
тяжёлый	heavy
тяжёлый	ciężkie
тяжёлый	ciężki
тяжёлый	ciężka
ларри	larry
курган	kurgan
зам	zam
стояла	stał
временной	czasowa
запретить	ban
запретить	zablokuj
запретить	zakazu
запретить	zakaz
запретить	zakazać
крыша	dach
крыша	dachu
крыша	dach
крыша	dachu
промышленный	przemysłowy
промышленный	przemysł
промышленный	przemysłowych
промышленный	przemysłowe
продюсеры	producenci
продюсеры	producentów
продюсеры	producentom
объяснение	wyjaśnienie
объяснение	wyjaśnienia
уэст	zachodnia
уэст	west
уэст	zachodni
уэст	zachód
атмосферу	atmosferę
атмосферу	atmosfera
атмосферу	atmosfery
добавления	uzupełnienia
прорыв	przełom
прорыв	breakout
сложный	złożone
сложный	złożona
сложный	złożony
сложный	kompleks
сложный	skomplikowane
сложный	skomplikowany
сложный	skomplikowana
сложный	skomplikowane
лат	lat
мастерство	kunszt
мастерство	opanowanie
мастерство	umiejętności
мастерство	umiejętność
сущность	istota
дизель	diesel
дизель	diesla
приоритет	priorytet
приоритет	priorytetowe
приоритет	pierwszeństwo
кратко	zwięźle
кратко	krótko
кратко	krótkie
кратко	krótki
кратко	krótko
кратко	krótka
боли	ból
боли	bólu
боли	bóle
боли	cierpienie
секс	płci
секс	płeć
секс	seksu
секс	seks
секс	sex
уолтер	waltera
уолтер	walter
инцидент	incydent
посредничества	mediacji
серый	siwy
серый	gray
серый	szary
серый	szara
серый	szare
серый	siwy
серый	szary
серый	szara
серый	szare
серый	grey
филармонии	filharmonii
точность	precyzji
точность	dokładność
точность	precyzyjne
точность	precyzja
точность	dokładność
точность	dokładności
просмотра	przeglądanie
просмотра	oglądanie
просмотра	wyświetlanie
альянс	sojusz
альянс	sojuszu
альянс	przymierze
заявляет	oświadcza
проза	proza
упорно	uparcie
белки	białko
белки	białka
белки	białek
белки	białka
белки	wiewiórki
мяса	mięsa
мяса	mięso
управляет	zarządza
скандал	afera
скандал	skandal
разницы	marża
разницы	marży
разницы	margines
свадьбы	śluby
свадьбы	ślubów
свадьбы	wesela
свадьбы	ślub
свадьбы	wesele
свадьбы	weselny
ранение	szkody
ранение	urazy
ранение	uraz
ранение	obrażenia
ранение	uszkodzenie
ранение	ran
ранение	rany
ранение	rana
подразумевает	domniemanej
фсб	fsb
пенсильвания	pensylwanii
арбитра	arbitra
цепь	obwody
цепь	obwód
цепь	łańcuchy
цепь	łańcuch
цепь	łańcucha
цепь	łańcuszek
видна	widoczna
видна	widoczny
видна	widoczne
пруд	staw
пруд	stawu
пруд	stawie
пятой	piątej
пятой	piąte
пятой	piąta
пятой	piąty
волгоград	wołgograd
делегации	delegacje
делегации	delegacji
делегации	przedstawicielstwa
персона	persona
умершего	zmarłego
умершего	zmarły
умершего	zmarli
умершего	zmarła
длиннее	dłuższa
длиннее	dłuższy
длиннее	dłuższe
длиннее	dłużej
заменены	zastąpiona
заменены	zastąpiony
заменены	zastąpione
заменены	zastąpiony
заменены	zastąpiła
заменены	zastąpił
заменены	zastąpić
заменены	zastąpiona
заменены	zastąpione
процессор	procesora
процессор	procesor
процессор	procesora
процессор	procesor
изредка	sporadycznie
изредка	okazjonalnie
эксперименты	eksperymentów
эксперименты	eksperymenty
эксперименты	eksperymenty
монах	mnich
монах	mnicha
монах	monk
гражданина	obywatele
гражданина	obywatela
гражданина	obywatel
флоренции	florencja
занят	zajęta
занят	zajęte
занят	zajęty
баз	bazy
баз	podstawy
баз	baz
добровольцев	chętnych
добровольцев	ochotnicy
добровольцев	wolontariuszy
добровольцев	ochotników
добровольцев	ochotnika
добровольцев	wolontariat
рождение	narodziny
рождение	urodzenia
рождение	poród
рождение	narodziny
отменить	odwołać
отменить	anuluj
отменить	cofnąć
отменить	cofnij
винтовки	strzelby
винтовки	karabiny
самостоятельный	autonomiczne
самостоятельный	autonomicznych
самостоятельный	autonomiczny
доски	tablice
доски	deski
доски	deski
отступить	odwrót
очевидна	oczywista
очевидна	oczywisty
очевидна	oczywiste
максимович	maksimović
вступление	intro
вступление	wstęp
существо	istota
существо	stwór
существо	stworzenie
открытая	otwórz
открытая	otwarte
открытая	otwarty
знати	szlachta
принесли	przyniósł
единство	jedności
единство	jedność
единство	zjednoczenie
восьмой	ośmiu
восьмой	ósemka
восьмой	osiem
восьмой	ósmego
восьмой	ósma
восьмой	ósmej
восьмой	ósmy
столкновение	zderzenie
столкновение	zderzenia
столкновение	kolizji
столкновение	clash
батарея	baterie
батарея	baterii
батарея	bateria
батарея	akumulator
оценил	oceniony
оценил	ocenione
оценил	oceniane
оценил	znamionowej
оценил	oceniany
топливо	paliwo
топливо	paliwa
топливо	paliw
топливо	paliwa
зенит	zenith
педагогических	pedagogiczne
кристаллическая	krystaliczny
рико	rico
снятие	wypłaty
снятие	wycofane
снятие	wycofanie
снятие	podnoszenie
снятие	podnoszenia
снятие	cofnięcie
снятие	wycofania
снятие	wycofanie
прекращения	zakończenie
прекращения	wypowiedzenie
купил	kupione
купил	kupiony
купил	zakupione
купил	kupione
купил	kupił
купил	kupiony
купил	kupiła
срочно	pilne
срочно	pilnie
петрозаводск	pietrozawodsk
похожие	podobni
похожие	podobna
похожие	podobny
похожие	podobne
врачи	lekarze
врачи	lekarzy
врачи	lekarze
врачи	doktorzy
врачи	lekarzy
глубину	głębokość
глубину	głębokości
галактики	galaktyk
галактики	galaktyki
собирать	zebrać
уникальный	unikalne
уникальный	unikatowe
уникальный	unikalny
уникальный	wyjątkowy
уникальный	niepowtarzalny
павловна	pawłowna
массачусетс	massachusetts
мюллер	müller
мюллер	mueller
мюллер	muller
мостов	mosty
мостов	mostów
миллион	milion
миллион	mln
миллион	miliony
экспериментов	eksperymenty
комнаты	pokoje
ралли	rally
ралли	zlot
ралли	rajd
сократить	skrócić
сократить	zmniejszyć
сократить	zmniejszenia
сократить	zredukować
сократить	cięcie
стрельба	strzelanina
стрельба	strzelać
стрельба	strzelanie
стрельба	strzelanina
стрельба	strzały
раскопки	wykopaliska
раскопки	wykopalisk
корпорация	corporation
корпорация	korporacji
корпорация	korporacja
австрийская	austrii
австрийская	austriackie
вершина	apex
вершина	wierzchołek
перестал	zatrzymany
перестал	zatrzymane
перестал	przestał
стрелок	strzelec
региональный	regionalnych
региональный	regionalne
региональный	regionalny
региональный	regionalna
резиденция	rezydencja
катание	łyżwiarstwo
католицизм	katolicyzm
изготовление	wytwarzanie
изготовление	produkcja
изготовление	wytwarzanie
изготовление	produkcja
изготовление	robienie
изготовление	zrobienie
победителей	wygrane
победителей	zwycięzców
победителей	zwycięzcy
победителей	zwycięzcami
пользователи	użytkownicy
пользователи	użytkowników
пользователи	użytkownikom
борисов	borisow
землетрясения	trzęsienia
землетрясения	trzęsienie
колоний	kolonii
колоний	kolonie
христиане	chrześcijanin
христиане	chrześcijański
христиане	christian
христиане	chrześcijanie
христиане	krystian
христиане	chrześcijanie
христиане	chrześcijan
рнк	rna
тыл	tylny
тыл	tyły
тыл	tylne
тыл	tył
тыл	tylna
кипр	cypr
мифы	mity
судьбу	przeznaczenia
судьбу	przeznaczeniem
судьбу	przeznaczenie
судьбу	losy
судьбу	los
судьбу	przeznaczenia
судьбу	przeznaczenie
глубины	głębokości
глубины	głębokość
глубины	głębokości
огпу	ogpu
ногу	stopę
ногу	stopy
ногу	stopa
ногу	stopie
ногу	nogę
ногу	noga
страх	strachu
страх	strach
страх	lęk
страх	respekt
страх	podziw
интересная	interesujące
интересная	ciekawe
интересная	interesujący
интересная	ciekawie
заседания	zebrania
заседания	spotkania
заседания	spotkań
заседания	posiedzenia
побеждает	wygrane
побеждает	wygrywa
побеждает	wygra
побеждает	wygrywają
разработчик	programista
разработчик	twórca
разработчик	twórcy
разработчик	deweloper
разработчик	wykonawca
статуи	posągi
активная	aktywne
активная	aktywna
активная	aktywni
активная	aktywny
активная	czynne
медико	medico
оперативной	operacyjny
оперативной	operacyjnych
оперативной	operacyjne
оперативной	sprawny
начальное	podstawowy
начальное	pierwotne
начальное	podstawowej
начальное	podstawowe
начальное	podstawowa
растворяется	rozpuszcza
заметили	zauważył
заметили	zauważyłem
заметили	zauważyłam
вмешательства	ingerencji
вмешательства	zakłócenia
вмешательства	interwencja
вмешательства	interwencji
вмешательства	interwencje
корона	koronę
корона	crown
корона	korony
корона	korona
корона	corona
политиков	politycy
политиков	polityków
посла	ambasador
регулярного	zwykły
регулярного	regularne
регулярного	regularnie
регулярного	regularny
нова	nova
разногласия	różnice
операторы	podmioty
операторы	operatorów
операторы	operatorzy
производственного	produktywne
эмигрировал	wyemigrował
риа	ria
традиционный	tradycyjnie
традиционный	tradycyjne
традиционный	tradycyjna
традиционный	tradycja
традиционный	tradycyjny
традиционный	tradycyjnych
генералов	generałowie
генералов	generałów
фонтан	fontanna
фонтан	fontanny
авторство	autorstwo
ресторан	restauracja
ресторан	restauracji
присутствовали	uczestniczył
присутствовали	uczęszczał
углы	rogi
углы	rogach
углы	kąty
партизаны	partyzantów
настоящим	niniejszym
отчет	zgłoś
отчет	raport
отчет	sprawozdanie
отчет	zgłoszenie
экспорт	wywóz
экспорт	eksport
экспорт	wywóz
экспорт	eksport
антония	antonia
целое	integer
целое	całość
целое	cały
целое	cała
целое	całe
фёдоровна	fiodorowna
вещь	rzecz
учебников	podręczniki
подтверждено	potwierdzona
подтверждено	potwierdzam
подтверждено	potwierdzono
подтверждено	potwierdzone
лёгкий	lekkie
лёгкий	lekki
шведская	szwedzki
шведская	szwedzkie
шведская	szwedzka
враг	wróg
враг	wrogowie
враг	wroga
изменилось	zmieniono
изменилось	zmienione
изменилось	zmienił
изменилось	zmieniony
богдана	bohdan
наследник	dziedzica
наследник	dziedzic
коммунистическая	komunistycznej
коммунистическая	komunistą
коммунистическая	komunistyczna
