terapie	terapi
naznačuje	menandakan
naznačuje	menunjukkan
andersson	andersson
věřící	beriman
rytíři	ksatria
rytíři	knights
rytíři	kesatria
rytíři	ksatria
rytíři	knight
rytíři	kesatria
profesní	profesional
profesní	professional
přihlásil	dicatat
nováček	pemula
nováček	newbie
nováček	pemula
nováček	rookie
výslovnost	pengucapan
transportní	transporter
poražen	dipukuli
poražen	dihajar
poražen	mengalahkan
poražen	terkalahkan
poražen	kalah
poražen	dikalahkan
tvarů	bentuk
ukončit	mengakhiri
ukončit	akhiri
ukončit	akhiri
ukončit	end
ukončit	akhir
prsty	fingers
chráněný	terlindung
chráněný	dilindungi
chráněný	terlindungi
law	hukum
law	law
nejvíc	kebanyakan
nejvíc	paling
poznatky	temuan
projít	oper
projít	lulus
projít	pass
úvahy	pertimbangan
úvahy	refleksi
úvahy	renungan
fungují	karya
fungují	bekerja
fungují	works
kolektivní	kolektif
norman	norman
zničeno	dihancurkan
zničeno	hancur
zničeno	dimusnahkan
zničeno	menghancurkan
zničeno	hancur
rudy	rudy
rudy	bijih
rudy	ore
hosté	tamu
klima	iklim
obr	raksasa
obr	giant
platné	valid
platné	sah
teoretické	teoritis
ministrů	menteri
geometrie	geometri
vnuk	cucu
bis	bis
evans	evans
neil	neil
gnu	gnu
sekundy	detik
některý	some
některý	beberapa
ovládá	pengendalian
ovládá	mengontrol
ovládá	mengendalikan
cze	cze
poranění	cedera
poranění	melukai
poranění	cidera
poranění	cedera
kytary	gitar
eds	eds
marina	marina
akt	acp
akt	bertindak
akt	bertindaklah
akt	act
ltd	ltd
teplé	hangat
teplé	warm
španělsky	spanish
španělsky	spanyol
ekologické	lingkungan
ekologické	ekologi
ekologické	organic
ekologické	organik
obal	packaging
obal	pengemasan
obal	kemasan
obal	sampul
obal	cover
obal	penutup
obal	tutupi
roků	tahun
partnerství	kerjasama
partnerství	partnership
partnerství	kemitraan
partnerství	kemitraan
kladně	positif
napsáno	tertulis
napsáno	ditulis
místnost	ruang
místnost	ruangan
místnost	kamar
místnost	forum
místnost	room
autobus	bus
autobus	bis
vlád	pemerintah
vlád	pemerintahan
rámec	framework
rámec	kerangka
rámec	bingkai
rámec	frame
krásný	beautiful
krásný	cantiknya
krásný	cantik
krásný	indah
instrukce	instruksi
instrukce	petunjuk
instrukce	instruksi
chovu	membesarkan
chovu	pembiakan
chovu	pemuliaan
splnění	pemenuhan
splnění	pemenuhan
změněn	diubah
front	front
front	depan
diego	diego
werner	werner
dáma	nona
dáma	nyonya
dáma	lady
stb	stb
komunistická	komunis
experiment	percobaan
experiment	eksperimen
experiment	bereksperimen
rukopis	manuskrip
rukopis	naskah
richter	richter
subjekty	entitas
subjekty	subyek
subjekty	subjek
atentát	pembunuhan
snížit	kurangi
snížit	mengurangi
snížit	kurangi
snížit	mengurangi
snížit	menurun
snížit	berkurang
snížit	penurunan
discovery	temuan
discovery	penemuan
discovery	discovery
grafika	grafis
grafika	sadis
grafika	grafik
grafika	grafis
grafika	grafika
vyučování	mengajarkan
vyučování	mengajari
vyučování	mengajar
vyučování	pengajaran
úkolů	tugas
kirk	kirk
jarmila	jarmila
hlasovací	voting
podzemí	underground
identity	identitas
identity	ijabah
hráz	dam
hráz	waduk
hráz	bendungan
hráz	menodai
blokování	memblokir
blokování	pemblokiran
blokování	blokir
blokování	blok
blokování	block
blokování	blokir
definitivní	definitif
ponorka	selam
ponorka	sub
smíšený	mixed
smíšený	bercampur
smíšený	campuran
smíšený	campur
kritizoval	dikritik
plošina	platform
plošina	plateau
sedí	cocok
hladina	aras
hladina	level
hladina	tingkatan
hladina	tingkat
pruský	prg
uložen	tersimpan
uložen	disimpan
svatební	pernikahan
svatební	wedding
abecedy	alphabet
abecedy	alfabet
abecedy	abjad
povinné	ojek
povinné	wajib
povinné	wajib
ústní	oral
ústní	lisan
dně	bawah
dně	terbawah
dně	bottom
tis	tis
řecká	greek
řecká	yunani
kapacitu	kapasitas
odolnost	perlawanan
odolnost	pemberontak
odolnost	ketahanan
odolnost	resistance
odolnost	ketahanan
připojit	lampirkan
připojit	bergabung
připojit	gabung
připojit	bergabunglah
připojit	join
připojit	sambung
připojit	connect
připojit	hubungkan
připojit	terhubung
připojit	tambah
připojit	ditambahi
zajímavý	menarik
classic	klasik
classic	classic
přispívá	berkontribusi
přispívá	kontribusi
vyhrát	win
vyhrát	menang
vyhrát	menangkan
jídla	food
jídla	makanan
jídla	pangan
jídla	makanan
vyvolat	menimbulkan
vyvolat	membangkitkan
turistika	pariwisata
turistika	wisata
turistika	mendaki
turistika	hiking
rozhovory	percakapan
rozhovory	interview
rozhovory	wawancara
rozhovory	perundingan
rozhovory	pembicaraan
plánované	merencanakan
plánované	terencana
plánované	direncanakan
kfar	kfar
radost	joy
radost	sukacita
radost	senang
radost	bahagia
radost	ibrahimovic
radost	happy
office	perkantoran
office	kantor
office	kantoran
office	office
odměny	imbalan
odměny	reward
eliška	eliška
dostatečné	kecukupan
dědice	pewaris
dědice	waris
ukázat	tunjukkan
ukázat	show
ukázat	tampilkan
ukázat	perlihatkan
ukázat	pertunjukan
impérium	imperium
impérium	empire
impérium	kekaisaran
podrobně	terperinci
podrobně	rinci
dopisy	letters
dopisy	huruf
roberto	roberta
roberto	roberto
ledu	ice
ledu	es
obilí	gandum
obilí	bijian
působnosti	cakupan
působnosti	lingkup
odborník	spesialis
odborník	ahli
odborník	pakar
portály	portal
deklarace	deklarasi
upravené	disunting
upravené	diedit
upravené	disesuaikan
upravené	modifikasi
upravené	diubah
upravené	dimodifikasi
upravené	disesuaikan
přidání	tambahan
přidání	penambahan
přidání	menambahkan
přidání	menambah
přidání	tambah
přidání	add
přidání	tambahkan
náměstek	deputi
plod	janin
plod	fetus
instalace	pemasangan
instalace	instalasi
instalace	pemasangan
instalace	pasang
instalace	penginstalan
instalace	instalasi
instalace	instal
instalace	memasang
instalace	pemasangan
instalace	penginstalan
instalace	instalasi
instalace	memasang
instalace	menginstal
instalace	instalasi
instalace	install
instalace	pasang
instalace	instal
chlapci	boys
organické	organic
organické	organik
nejblíže	terdekat
revize	revisi
indiana	indiana
morální	akhlak
morální	moral
koalici	koalisi
double	double
double	ganda
double	dobel
double	gandakan
nelson	nelson
utrpení	penderitaan
utrpení	derita
utrpení	menderita
utrpení	kesengsaraan
utrpení	misery
nářečí	dialek
závislé	bergantung
báze	base
báze	basis
báze	dasar
báze	pangkalan
báze	base
báze	markas
báze	basis
fotografování	photography
fotografování	fotografi
rozšiřuje	memanjangkan
rozšiřuje	meluas
rozšiřuje	melapangkan
rozšiřuje	mengembang
vysoko	high
vysoko	tinggi
sadu	orchard
sadu	kebun
ken	ken
luigi	luigi
rozšířený	diperluas
rozšířený	extended
rozšířený	diperpanjang
dobýt	taklukkan
dobýt	menaklukkan
získávání	akuisisi
získávání	perolehan
agrární	agraria
vlastník	owner
vlastník	pemilik
vlastník	pemiliknya
politiků	politisi
politiků	politikus
střela	shot
střela	bidikan
střela	tertembak
střela	ditembak
střela	rudal
střela	misil
střela	missile
ptáky	penis
ptáky	birds
ptáky	burung
ptáky	penis
hluboko	sedalam
hluboko	mendalam
hluboko	deep
vítězný	menang
definovat	definisikan
definovat	jelaskan
definovat	mendefinisikan
definovat	tentukan
nacisty	nazi
eddie	eddie
snadné	gampang
snadné	mudah
snadné	easy
barry	barry
vizuální	visual
viditelné	kelihatan
viditelné	nampak
viditelné	terlihat
viditelné	tampak
pochod	march
pochod	maret
pochod	marching
dětská	ank
dětská	anakan
dětská	child
dětská	anak
trpěl	menderita
hit	ramaikan
hit	memukul
připojen	terhubung
připojen	terkoneksi
připojen	tersambung
poznal	dikenal
poznal	dikenali
poznal	diakui
poznal	mengenali
vždycky	always
vždycky	selalu
sankt	sankt
spiknutí	plot
spiknutí	alur
spiknutí	makar
spiknutí	persekongkolan
spiknutí	konspirasi
spiknutí	konspirasi
spiknutí	plot
diskutovat	membahas
diskutovat	bahas
diskutovat	diskusikan
diskutovat	berdiskusi
naději	berharap
naději	harapan
naději	asa
naději	hope
nan	nan
stanoví	menspesifikasikan
továrně	pabrik
pořady	memperlihatkan
pořady	menunjukkan
pořady	menampilkan
pořady	pertunjukan
křesťanská	christian
křesťanská	kristiani
křesťanská	kristen
nepomuk	nepomuk
odhalení	menyingkapkan
odhalení	wahyu
odhalení	wahyu
münchen	münchen
pojmenoval	bernama
pojmenoval	dinamai
pojmenoval	dinamakan
cyril	cyril
keith	keith
toulouse	toulouse
terén	medan
sociolog	sosiolog
trend	trend
trend	tren
dno	bawah
dno	terbawah
dno	bottom
přesvědčen	membujuk
přesvědčen	dibujuk
přesvědčen	meyakinkan
přesvědčen	diyakinkan
aktivista	aktivis
arabové	arab
císařovna	permaisuri
císařovna	maharani
udržovat	pertahankan
udržovat	mempertahankan
zachycuje	menangkap
aspekty	aspek
souvislost	sambungan
souvislost	koneksi
souvislost	pranala
souvislost	link
souvislost	tautan
souvislost	taut
výuky	mengajarkan
výuky	mengajari
výuky	mengajar
výuky	pengajaran
nejoblíbenější	favorite
nejoblíbenější	kesukaan
nejoblíbenější	terfavorit
nejoblíbenější	favorit
pobočka	cabang
pobočka	ranting
pobočka	branch
pobočka	dahan
irena	irena
irena	irene
švýcarské	swiss
ukládání	menyimpan
ukládání	tabungan
ukládání	menabung
dočasné	temporer
dočasné	sementara
chaty	obrolan
chaty	chatting
chaty	chat
chaty	pondok
chaty	kabin
fakta	fakta
admirál	laksamana
admirál	admiral
ontario	ontario
tkáně	jaringan
tkáně	tissue
tkáně	tisu
tkáně	tisu
orel	elang
orel	eagle
orel	ekor
jasný	bersihkan
jasný	clear
jasný	bening
jasný	jelas
jasný	hapus
ozbrojené	dipersenjatai
ozbrojené	bersenjata
poskytl	asalkan
poskytl	disediakan
jennifer	jennifer
značek	merek
podzimní	autumn
patnáct	fifteen
tibetu	tibet
klíčové	kunci
klíčové	key
vypukla	meletus
hity	hits
hity	hantaman
tragédie	tragis
tragédie	tragedi
kritické	kritis
cenné	berharga
cenné	bernilai
faktor	factor
faktor	faktor
hebrejsky	ibrani
soudy	pengadilan
příbuzný	relatif
chodit	berjalan
chodit	walking
chodit	berjalan
chodit	berjalanlah
chodit	walk
vrah	killer
vrah	pembunuh
vrah	pembunuh
tvůrci	pembuat
potenciální	potensi
potenciální	potensial
koho	siapa
koho	who
souboj	duel
znečištění	pencemaran
znečištění	polusi
bytosti	makhluk
bytosti	mahluk
léčení	pemulihan
léčení	penyembuh
léčení	kesembuhan
léčení	penyembuhan
léčení	pengobatan
léčení	perawatan
písničky	lagu
písničky	songs
vyžadují	membutuhkan
vyžadují	memerlukan
vyžadují	mengharuskan
bolest	sakit
bolest	kesakitan
bolest	pain
bolest	nyeri
ploché	kempes
ploché	flat
ploché	rata
ploché	datar
elitní	elit
elitní	elite
peugeot	peugeot
ali	ali
opakování	pengulangan
opakování	perulangan
opakování	kumat
roviny	plains
roviny	dataran
klasického	klasik
wan	wan
bloků	blok
bloků	pemblokiran
bloků	blokir
ohně	kebakaran
doporučená	disarankan
doporučená	dianjurkan
doporučená	direkomendasikan
sněhu	salju
sněhu	snow
veden	dipandu
veden	hidayah
leonard	leonard
florencie	florence
propagaci	promosi
vegas	vegas
stupnice	timbang
stupnice	skala
zeleně	green
zeleně	hijau
stuart	stuart
přehrada	dam
přehrada	waduk
přehrada	bendungan
přehrada	waduk
kristina	kristina
menšiny	minoritas
sebastian	sebastian
ted	ted
prokopa	procopius
odráží	tercermin
photo	photo
photo	foto
usnesení	resolusi
usnesení	resolusi
stěna	wall
stěna	tembok
stěna	dinding
tendence	trend
tendence	kecenderungan
tendence	tren
tendence	kecenderungan
tendence	kecenderungan
berdych	berdych
tma	darkness
tma	kegelapan
madridu	madrid
počítačová	komputer
počítačová	computer
prsten	ring
prsten	cincin
kořist	rampasan
kořist	rampasan
kořist	jarahan
kořist	menjarah
kořist	rampasan
kořist	jarahan
kořist	mangsanya
kořist	mangsa
virginie	virginia
účastníky	peserta
účastníky	partisipan
demonstrace	demonstrasi
demonstrace	demonstrasi
posílení	penguatan
posílení	penguatan
blood	blood
blood	darah
metoděje	metodius
interní	internal
rohy	stek
rohy	tanduk
odstraněny	dibuang
odstraněny	dihapus
tokio	tokyo
spuštění	awalan
spuštění	startup
spuštění	meluncurkan
spuštění	launching
spuštění	peluncuran
spuštění	luncurkan
spuštění	launch
lotus	lotus
lotus	teratai
dodává	menambahkan
dodává	penambahan
váhy	libra
váhy	berat
váhy	bobot
váhy	berat
váhy	timbangan
váhy	sisik
závislá	bergantung
závislá	addicted
závislá	ketagihan
závislá	kecanduan
marseille	marseille
marseille	marseille
bibliografie	bibliografi
hnědá	brown
hnědá	coklat
potter	potter
charlotte	charlotte
roland	roland
vlajku	bendera
těsné	ketat
kibucu	kibbutz
náboje	peluru
náboje	bulet
náboje	cangkang
náboje	selongsong
náboje	kerang
indianapolis	indianapolis
náhradní	serep
náhradní	spare
náhradní	pengganti
náhradní	penggantian
sportovec	atlet
sportovec	atlit
sportovec	olahragawan
fyzika	fisika
warner	warner
krk	krk
krk	leher
krk	neck
rameno	pundak
rameno	bahu
edmund	edmund
udělení	memberikan
udělení	pemberian
pri	pri
klein	klein
automatické	auto
automatické	otomotif
automatické	otomatis
automatické	automatic
automatické	otomatis
oskar	oskar
oskar	oscar
živá	live
živá	jalani
živá	langsung
živá	lively
živá	hidup
živá	alive
spektrum	spectra
spektrum	spektrum
integrace	integrasi
mediawiki	mediawiki
upozornit	beritahu
upozornit	beritahukan
pečlivě	omah
kardinála	cardinal
kardinála	kardinal
pius	pius
vyzval	tertantang
vyzval	ditantang
vyzval	menantang
faktorů	faktor
disciplíny	disiplin
disciplíny	disiplin
robinson	robinson
duo	duo
lékařská	kedokteran
lékařská	medis
lékařská	medical
otevřeně	terangan
arch	lengkungan
arch	arch
vražda	pembunuhan
vražda	pembunuhan
příjmy	pendapatan
příjmy	pendapatan
příjmy	penghasilan
příjmy	pemasukan
příjmy	income
příjmy	kuitansi
hnízdo	sarang
hnízdo	nest
knihovnu	library
knihovnu	pustaka
knihovnu	perpustakaan
argentiny	argentina
rozvod	perceraian
rozvod	bercerai
poskytování	rezeki
poskytování	rezekinya
spotřeba	konsumsi
fyzicky	fisik
herců	aktor
sofie	sofia
sofie	ratih
sofie	sophia
sofie	sherly
sofie	sofie
ponechání	retensi
bohatý	rich
bohatý	kaya
výchova	pelihara
výchova	didikan
výchova	asuhan
konflikty	bentrok
konflikty	konflik
konflikty	konflik
main	utama
růžové	pink
révy	anggur
saturn	saturn
saturn	saturnus
malba	melukis
malba	lukisan
šedé	kelabu
šedé	gray
šedé	kelabu
šedé	grey
graham	graham
atmosféru	atmosfer
atmosféru	suasana
atmosféru	atmosfir
nalezena	menemukan
nalezena	mendapati
nalezena	nemu
nalezena	ditemukan
vánoce	natal
vánoce	christmas
byliny	herbal
byliny	herb
byliny	herbal
byliny	ramuan
dánské	denmark
kvartet	kuartet
pořádání	penyelenggara
pořádání	hosting
pořádání	inang
pořádání	menyelenggarakan
sériové	berantai
sériové	serial
plavání	berenang
plavání	renang
výrazy	ekspresi
výrazy	klu
výrazy	ketentuan
popsat	deskripsikan
popsat	gambarkan
popsat	uraikan
popsat	jelaskan
stewart	stewart
těžká	heavy
těžká	berat
voličů	pemilih
voličů	pemilih
mostů	bridges
mostů	jembatan
svazky	bundel
svazky	volume
svazky	volum
svazky	jilid
předsednictva	bureau
předsednictva	biro
stoupá	rising
stoupá	bangkit
kódování	pengkodean
kódování	coding
kódování	pengodean
kódování	pengkodean
kódování	penyandian
kódování	encoding
výměna	tukar
výměna	exchange
výměna	pertukaran
výměna	bursa
výměna	swap
vyjednávání	negoisasi
vyjednávání	negosiasi
vyjednávání	perundingan
vyjednávání	bernegosiasi
vyjednávání	negosiasi
vyjednávání	perundingan
vyjednávání	negosiasi
smetana	krim
smetana	krem
smetana	cream
zachovat	melestarikan
zachovat	pertahankan
zachovat	mempertahankan
zachovat	keep
zaměstnance	karyawan
zaměstnance	karyawan
alberto	alberta
alberto	alberto
příroda	alam
příroda	nature
maďarská	hongaria
maďarská	hungaria
zubů	gigi
zubů	giginya
formulace	formulasi
formulace	formulasi
experimenty	percobaan
experimenty	eksperimen
experimenty	eksperimen
šířku	lebar
kultur	kultur
obtížně	susah
obtížně	sulit
obtížně	sukar
kosmonautů	angkasawan
kosmonautů	kosmonot
lidský	manusiawi
lidský	manusia
lidský	human
thompson	thompson
svatyně	sanctum
svatyně	sanctuary
svatyně	kuil
svatyně	temple
svatyně	candi
svatyně	kuil
fiat	fiat
ville	ville
jam	yam
jam	ubi
jam	macet
jam	selai
norské	norwegia
potlačení	penindasan
potlačení	penekanan
musica	musica
subjektivní	subyektif
subjektivní	subjektif
lou	lou
lou	lom
omezit	batasi
omezit	membatasi
omezit	kurangi
omezit	mengurangi
omezit	batasi
omezit	batas
omezit	membatasi
omezit	limit
nehody	kecelakaan
úředníků	pejabat
hrobky	makam
hrobky	makam
referendum	referendum
přepis	transkripsi
přepis	transkrip
určeno	dimaksudkan
určeno	ditujukan
larvy	larva
larvy	larva
larvy	belatung
reklamy	iklan
reklamy	iklan
reklamy	periklanan
reklamy	mengiklankan
reklamy	iklan
reklamy	beriklan
vyhnout	hindari
vyhnout	menghindari
vyhnout	dihindari
emigroval	berimigrasi
tenis	tennis
tenis	tenis
bakterií	bakteri
uzel	node
uzel	nodal
uzel	simpul
uzel	noktah
uzel	nodus
uzel	simpul
uzel	yuzuki
uzel	knot
hostinec	inn
hostinec	penginapan
ahoj	hallo
ahoj	helo
ahoj	hello
ahoj	halo
léčby	pengobatan
léčby	perawatan
filharmonie	philharmonic
ann	ann
obranné	defensif
bayern	bayern
návštěva	pengunjung
návštěva	kunjungi
návštěva	kunjungan
návštěva	mengunjungi
návštěva	mengunjungi
návštěva	berkunjung
alpes	alpes
limit	batasi
limit	batas
limit	membatasi
limit	limit
pevný	solid
pevný	padat
pevný	firma
pevný	teguh
pevný	tegas
magic	sihir
magic	ajaib
magic	magic
magic	sulap
přítomen	sajikan
přítomen	hadir
přítomen	present
specifický	spesifik
specifický	tertentu
specifický	khusus
stáhnout	download
stáhnout	unduhan
stáhnout	mengunduh
stáhnout	unduh
stáhnout	withdraw
tennessee	tennessee
kolegové	kolega
kolegové	rekan
hluboká	sedalam
hluboká	mendalam
hluboká	deep
očekávání	antisipasi
očekávání	ekspektasi
očekávání	ekspektasi
nowrap	nowrap
vyrobené	made
vyrobené	dibuat
vyrobené	diproduksi
vyrobené	dihasilkan
vyrobené	diproduksi
catherine	catherine
catherine	katarina
potřebují	membutuhkan
potřebují	perlukan
potřebují	perlu
potřebují	kebutuhan
potřebují	need
potřebují	butuh
překonat	mengatasi
překonat	diatasi
víra	faith
víra	iman
víra	keyakinan
víra	keimanan
víra	kepercayaan
víra	keyakinan
harrison	harrison
swe	swe
joachim	joachim
okrsek	distrik
okrsek	kecamatan
okrsek	raionul
okrsek	kabupaten
okrsek	daerah
spáchal	berkomitmen
marián	marián
specialista	spesialis
strachu	takut
strachu	fear
strachu	ketakutan
erupce	letusan
erupce	letusan
masakr	pembantaian
masakr	jagal
masakr	pembantaian
masakr	pembantaian
nezávislá	independen
nezávislá	independent
nezávislá	mandiri
bezprostřední	immediate
pozdě	terlambat
pozdě	telat
pozdě	larut
bin	bin
kousek	piece
kousek	sepotong
schéma	diagram
schéma	skema
schéma	grafik
schéma	diagram
schéma	bagan
oblíbený	populer
oblíbený	favorite
oblíbený	kesukaan
oblíbený	terfavorit
oblíbený	favorit
bavorsko	bayern
bavorsko	bavaria
posouzení	penilaian
obnova	restorasi
obnova	pemulihan
obnova	recovery
obnova	kesembuhan
obnova	pembaharuan
obnova	pembaruan
obnova	perpanjangan
epidemie	wabah
epidemie	epidemi
epidemie	wabah
satelitní	satellite
satelitní	satelit
přežití	survival
řekové	yunani
aktivitu	kegiatan
aktivitu	aktivitas
přiznal	mengaku
novely	novel
herečky	aktris
herečky	actress
auf	auf
morgan	morgan
reprezentativní	perwakilan
flotily	armada
flotily	fleet
arábie	arabia
arábie	saudi
těhotenství	kehamilan
občan	warga
občan	citizen
ohrožené	terancam
klára	klara
klára	clara
instrumentální	instrumental
alpy	alpen
kiss	cium
kiss	kiss
kiss	ciuman
terry	terry
vajec	eggs
vajec	telur
jakýkoliv	setiap
jakýkoliv	sembarang
jakýkoliv	any
rezervaci	reservasi
rezervaci	pemesanan
prodloužena	diperluas
prodloužena	extended
prodloužena	diperpanjang
spolky	masyarakat
tramvaj	trem
tramvaj	troli
tramvaj	trem
odmítli	menolak
odmítli	ditolak
dáno	diberikan
dáno	diberi
přijel	tiba
specializované	spesialis
daly	daly
provence	provence
parc	parc
beatles	beatles
parky	pertamanan
parky	parks
parky	taman
michigan	michigan
kost	bone
kost	tulang
znalost	pengetahuan
znalost	knowledge
višnjan	višnjan
podvozek	sasis
podvozek	bogie
klobouk	hat
klobouk	topi
protesty	protes
protesty	protes
posloupnost	urutan
skotska	scotland
skotska	skotlandia
nedostatky	kekurangannya
nedostatky	kelemahan
daň	pajak
daň	tax
bohemia	bohemia
soutěžní	kompetisi
soutěžní	persaingan
soutěžní	lomba
soutěžní	bersaing
soutěžní	kompetitif
dodávky	vans
dodávky	pengiriman
dodávky	pasokan
dodávky	perlengkapan
dodávky	persediaan
oblouk	arc
oblouk	busur
oblouk	lengkungan
oblouk	arch
rytíře	ksatria
rytíře	knights
rytíře	kesatria
trenéři	pelatih
konfliktů	bentrok
konfliktů	konflik
pozic	posisi
prvotní	primal
čtrnáct	fourteen
reagoval	bereaksi
reagoval	menanggapi
reagoval	meresponnya
reagoval	ditanggapi
reagoval	menanggapi
reagoval	tanggapi
obývá	mendiami
miluje	kyk
miluje	loves
cestování	perjalanan
cestování	travel
cestování	wisata
cestování	bepergian
cestování	travelling
cestování	bepergian
cestování	berwisata
cestování	traveling
cestování	berpergian
holub	merpati
porodu	melahirkan
porodu	persalinan
logické	logis
logické	logika
železnici	railroad
železnici	rel
pozvání	undangan
pozvání	undangan
pozvání	invite
pozvání	undang
pozvání	undangan
pozvání	kondangan
veronika	veronika
veronika	veronica
hrdinů	heroes
hrdinů	pahlawan
vyrobeny	diproduksi
vyrobeny	made
vyrobeny	dibuat
myšlenek	pemikiran
myšlenek	fikiran
myšlenek	pikiran
bonaparte	bonaparte
minutu	menit
minutu	minute
dolina	dolina
živě	live
živě	jalani
živě	langsung
popření	penyangkalan
mitchell	mitchell
výroční	tahunan
bytů	byte
bytů	bytes
bytů	bita
orange	orange
orange	jingga
orange	jeruk
orange	oranye
náhorní	nagorno
chorvatské	kroasia
prodává	menjual
hektarů	hektar
parků	pertamanan
parků	parks
parků	taman
psáno	tertulis
psáno	ditulis
xml	xml
kate	kate
obrátil	dibalik
obrátil	terbalik
url	url
url	url
liška	fox
liška	rubah
peří	bulu
peří	bulu
carter	carter
výhodu	keuntungan
výhodu	keunggulan
silva	silva
pocity	sensasi
pocity	perasaan
patrik	patrik
patrik	patrick
sopka	berapi
produktu	product
produktu	produk
potraviny	food
potraviny	makanan
potraviny	pangan
potraviny	makanan
potraviny	foods
potraviny	belanjaan
odstraněna	terhapus
odstraněna	dihapus
odstraněna	dibuang
odstraněna	dihapus
kult	sekte
kult	pemujaan
kult	kultus
kůry	kulit
kůry	menggonggong
kůry	gonggongan
silver	perak
silver	silver
kovové	logam
kovové	metalik
trubka	pipe
trubka	pipa
trubka	tabung
trubka	terompet
trubka	sangkakala
joan	joan
zajímá	tertarik
zajímá	berminat
zajímá	minat
reklama	periklanan
reklama	mengiklankan
reklama	iklan
reklama	beriklan
reklama	iklan
matematika	matematika
matematika	matematika
matematika	math
matematika	matematika
návod	manual
návod	petunjuk
návod	instruksi
