ravensburg	ravensburgo
raupen	vikšrai
raupen	lervų
raupen	lervos
delhi	delis
zusammengestellt	surinktas
zusammengestellt	surinkti
zusammengestellt	surenkamos
zusammengestellt	surinktos
eisenbahnen	geležinkelis
eisenbahnen	geležinkeliai
eisenbahnen	traukiniai
beleuchtung	apšvietimas
beleuchtung	apšvietimo
beleuchtung	apšvietimas
beleuchtung	apšvietimo
beleuchtung	žiburiai
beleuchtung	šviesos
zivilisten	civilinis
zivilisten	civilių
zivilisten	civiliai
getauft	pakrikštytas
getauft	pakrikštyta
delle	delle
tötet	nužudyti
tötet	žudo
solothurn	solothurn
garantiert	faktais
gelsenkirchen	gelzenkirchenas
germain	germain
zeitliche	laiko
aktiviert	aktyvinti
aktiviert	aktyvina
aktiviert	įjungtas
spezial	patiekalai
spezial	specialių
agenten	agentai
agenten	agentas
heavy	sunkus
heavy	galinga
filialen	filialai
filialen	šakos
filialen	parduotuvės
filialen	parduotuvėse
scheidung	skyrybos
scheidung	skyrybų
scheidung	išsiskyrė
einschränkung	apribojimas
einschränkung	ribojimas
einschränkung	suvaržymai
einschränkung	apribojimai
einschränkung	ribojimai
psychotherapie	psichoterapija
afrikanische	afrikos
afrikanische	afrika
rauch	dūmai
rauch	dūmų
zivile	civilinis
zivile	civilių
portale	portalų
gemischten	sumaišyti
bergland	aukštuma
bergland	aukštumos
treue	ištikimas
treue	lojalumo
treue	atsidavusi
treue	ištikimas
einigermaßen	pagrįstai
künstlerisch	meno
boxen	dėžės
boxen	dėžių
boxen	dėžėse
boxen	dėžutės
boxen	bokso
playstation	playstation
asiatischen	azijos
wachsende	auga
trocken	sausa
trocken	sausas
trocken	sausos
trocken	džiovintas
trocken	išdžiovinti
trocken	džiovinta
lena	lena
dunkler	tamsus
dunkler	tamsi
dunkler	tamsiai
dunkler	tamsesnė
rex	rex
rückstand	liekanos
rückstand	liekana
rückstand	likučių
rückstand	įsiskolinimo
schloß	pilis
schloß	pilies
schloß	fidi
schachspieler	šachmatų
springs	spyruoklės
reporter	žurnalistų
alma	alma
nagel	nagų
nagel	nagel
joão	joão
überlebte	išgyveno
wirksamkeit	veiksmingumas
wirksamkeit	veiksmingumo
wirksamkeit	efektyvumas
wirksamkeit	stiprumas
semester	semestrą
bundeskanzler	kancleris
grauen	siaubo
grauen	siaubas
grauen	pilka
erforscht	jaunųjų
xxx	xxx
ökonom	ekonomistas
fliegt	skrenda
lópez	lópez
ausgeliehen	nuomojamas
ausgeliehen	paskolinti
schah	shah
constantin	konstantinas
niederlassung	dukterinė
niederlassung	įsteigimas
niederlassung	tarnyba
niederlassung	biuro
niederlassung	biuras
niederlassung	filialas
niederlassung	šaka
ballett	baleto
vorfall	incidentas
verlangte	reikalavo
fernández	fernandez
fernández	fernández
triumph	triumfas
mongolei	mongolija
fließen	srauto
fließen	srautas
fließen	teka
vilnius	vilniaus
vilnius	vilnius
français	français
rodríguez	rodriguez
rodríguez	rodríguez
beitritt	stojimo
weißrussland	jemenas
weißrussland	minsko
challenger	arenos
generals	generolai
werkstätten	seminaras
werkstätten	garažų
paradies	rojų
paradies	rojus
nest	lizdas
kaplan	kapelionas
kaplan	kaplan
verlage	leidėjai
verlage	leidyba
verlage	leidybos
frucht	vaisiai
frucht	vaisiai
frucht	vaisių
baseball	kamuoliukas
baseball	beisbolo
gunther	gunther
luftfahrt	aviacijos
luftfahrt	aviacija
luftfahrt	orlaivis
luftfahrt	orlaiviai
luftfahrt	lėktuvas
förderer	rėmėjas
förderer	konvejerio
förderer	rėmėjų
förderer	rėmėjai
schnittstelle	jungtys
schnittstelle	sąsajos
feststellung	aptikimas
feststellung	aptikimo
feststellung	ryžtas
abwechselnd	kintamoji
abwechselnd	saulėtos
gelblich	gelsvai
fahrten	joja
vetter	pusbrolis
wissenschaftlern	mokslininkai
nachmittag	popietę
millimetern	milimetrų
millimetern	milimetrų
konsequenz	suderinamumas
konsequenz	pastovumas
konsequenz	nuoseklumą
konsequenz	nuoseklumas
archiviert	esančius
hubschrauber	sraigtasparnio
hubschrauber	sraigtasparnis
hubschrauber	sraigtasparnis
hubschrauber	sraigtasparnių
hubschrauber	sraigtasparniai
laz	laz
kopien	kopijas
lächerlich	absurdiška
lächerlich	absurdas
lächerlich	absurdiškas
lächerlich	absurdiška
lächerlich	absurdas
friedens	taikos
friedens	taikai
friedens	fredas
friedens	taika
adligen	didikų
integrieren	integruoti
fortuna	fortuna
reale	tikras
wandern	žygis
wandern	vaikšto
wandern	vaikščiojimo
anmelden	užsisakyti
investitionen	investavimas
investitionen	investicijos
investitionen	investicijos
investitionen	investicija
meyers	meyers
baumann	baumann
gläubigen	tikinčiuosius
gläubigen	atsidavusi
gläubigen	ištikimas
bestrebungen	siekius
bestrebungen	siekiai
hypothese	hipotezė
frédéric	frédéric
frédéric	frederic
margarethe	margarethe
befürworter	rėmėjų
eugène	eugène
arndt	arndt
bibliothekar	bibliotekininkas
spirit	dvasios
spirit	dvasia
schottische	škotijos
bein	kojos
erklärungen	pareiškimai
erklärungen	paaiškinimas
erklärungen	paaiškinimus
erklärungen	paaiškinimai
raimund	raimondas
verbreiten	plinta
wirtschaftswissenschaften	ekonomika
hieronymus	džirolamas
hieronymus	jerome
hieronymus	hieronymus
frey	frey
que	que
pyramide	piramidės
seitlichen	šoninis
noten	reitingus
mäßig	vidutinis
existierten	egzistavo
gesellschafter	akcininkai
gesellschafter	associates
gesellschafter	akcininkas
diskriminierung	diskriminaciją
diskriminierung	diskriminacija
abhandlung	esė
welten	pasauliai
zuständigkeit	jurisdikcijos
zuständigkeit	jurisdikcija
geistige	psichikos
aviv	avivas
mütter	mamas
mütter	motinoms
mütter	motinos
mütter	motina
entstehenden	besiformuojanti
logisch	logiška
logisch	loginis
logisch	logika
kasten	dėžė
kasten	langelyje
kasten	dėžutė
längsten	ilgiausia
längsten	ilgiausiu
piraten	riders
piraten	originalas
piraten	piratas
käse	sūriai
ladung	krovinys
ladung	padavęs
helfer	pagalbininkai
helfer	padėjėjas
helfer	pagalbininkas
gasthaus	smuklė
gasthaus	inn
lotus	lotus
ziegler	ziegler
cohen	cohen
gedichten	eilėraščiai
ausschluss	išsiuntimas
ausschluss	išimtys
universidad	universidad
kameras	kamera
wikis	wikis
gärtner	sodininkai
biologischen	biologinė
pazifischen	ramiojo
kuppel	kupole
kuppel	kupolu
individuell	atskirai
orléans	orleano
kranken	nesveikas
kranken	serga
kiss	bučinys
dreizehn	trylika
luke	lukas
luke	liukas
platziert	pasodinti
verbleiben	likti
granit	granitas
reife	terminas
reife	prinokusių
reife	subrendęs
kunstverlag	kunstverlag
mallorca	maljorka
brünn	brno
dankbar	dėkinga
dankbar	dėkingas
dankbar	dėkingi
dankbar	dėkingas
dankbar	dėkinga
triathlon	triatlono
slawischen	slavų
optischen	optika
relation	santykis
biographische	biografiniai
redir	redir
bert	bert
überwinden	įveikti
diesel	dyzeliniai
diesel	dyzelinas
diesel	dyzelino
gaststätte	smuklė
gaststätte	inn
intro	intro
unterkategorie	subkategorijos
geboten	statymai
erlass	dekretas
erlass	remisija
legal	teisiškai
legal	teisėtai
unglück	negeroves
unglück	nelaimė
unglück	katastrofa
unglück	nelaimės
unglück	vargo
schuldig	atliktų
verteidigt	gina
verteidigt	gintis
verteidigt	ginti
verteidigt	apsiginti
verteidigt	ginti
verteidigt	gina
geprägte	linkstama
kohl	kopūstai
kohl	kopūstų
kohl	kopūstai
kohl	kohl
curt	kurtis
grammy	grammy
hughes	hughes
kongresses	kongresas
claudius	klaudijus
gewünschte	norimą
kiefer	žandikaulio
kiefer	kyferis
kiefer	pušų
kiefer	kojeles
verschwörung	sąmokslo
zar	caras
alliance	aljanso
mechanischen	mechaninis
mechanischen	mechaninė
kennzeichnung	žymėjimas
kennzeichnung	ženklinimas
kennzeichnung	identifikavimo
kennzeichnung	identifikacija
kennzeichnung	identifikavimas
kennzeichnung	ženklinimas
kennzeichnung	ženklinimo
angebunden	pririšti
schmal	liesas
schmal	siauros
schmal	siauras
schmal	siaura
aufbauen	statybos
rica	rika
eugene	eugenijus
geschieden	išsiskyrė
jutta	neil
jutta	jutta
eingesetzte	dislokuoti
kompetenzen	įgūdžiai
kompetenzen	kompetencija
autorität	institucija
apotheker	vaistininkai
apotheker	vaistininko
apotheker	vaistininkas
apotheker	chemikas
lohnt	verta
banner	vėliavas
nerven	nervai
siena	sienna
maya	maja
wiederholung	pasikartojimo
kunde	klientų
kunde	klientui
kunde	klientas
ägyptische	egiptas
ägyptische	egipto
liebt	dievina
liebt	mėgsta
liebt	myli
beschwerden	diskomfortas
gleichgewicht	balansas
gleichgewicht	pusiausvyrą
gleichgewicht	pusiausvyra
heimatland	tėvynę
bourbon	burbono
gebrochen	sulaužė
karsten	karsten
fachzeitschriften	žurnalai
fahrrad	dviračius
fahrrad	dviračiai
fahrrad	dviračiu
fahrrad	dviratis
fahrrad	dviratis
fahrrad	dviračio
fahrrad	dviračių
komponente	komponento
terra	terra
einsicht	įžvalgomis
tänzer	šokėjų
tänzer	šokėja
andrei	andrejus
manuell	rankinis
manuell	rankomis
möller	möller
tafeln	plokštės
tafeln	skydai
tafeln	lentos
ana	ana
bomber	bombonešis
strömung	srauto
strömung	srautas
strömung	srovių
trilogie	trilogija
empfehle	rekomenduoja
gemüse	augalinis
gemüse	daržovės
gemüse	daržovių
balkan	balkanai
balkan	balkanų
balkan	balkanų
befestigung	įtvirtinimų
befestigung	montavimo
befestigung	montavimas
botanischen	botanikos
akademischer	akademinių
weltweite	pasaulyje
kurier	kurjeris
schwieriger	sunkiau
schwieriger	stipriau
optimal	optimali
optimal	optimalus
optimal	optimalų
ästhetik	estetika
ästhetik	estetinės
wohnort	gyventi
strategische	strateginiai
nintendo	nintendo
grafiken	diagramos
grafiken	žemėlapiai
dragon	dragon
behoben	išspręsta
goldenes	auksinis
montenegro	juodkalnija
montenegro	juodkalnijoje
montenegro	juodkalnijos
bernstein	amber
bernstein	gintaro
bernstein	gintaras
bernstein	bernstein
canal	kanalas
bunker	bunkeris
blanc	blanc
she	ji
she	jai
wings	sparnai
wings	sparnus
giacomo	giacomo
hertha	hertha
auvergne	auvergne
konstruktive	konstruktyvi
versprechen	pažadai
versprechen	pažadų
lenz	lenz
vernichtung	naikinimo
vernichtung	sunaikinimas
jensen	jensen
myspace	myspace
innenhof	kieme
innenhof	kiemo
demonstration	demonstravimo
sichere	saugi
untersagt	draudžiama
untersagt	draudžiamos
untersagt	draudžiamas
untersagt	draudžiama
untersagt	uždraustos
kamerun	kamerūnas
franziskus	pranciškus
verweigert	neigia
verweigert	atsisakė
verweigert	atmestas
verweigert	atmesta
hunt	medžioti
träume	svajonė
träume	svajone
träume	svajones
träume	sapnai
träume	svajonės
integrierte	integruotos
integrierte	integruota
oldenbourg	oldenbourg
rassismus	rasizmas
rassismus	rasizmu
vermeidung	išvengti
vermeidung	vengimo
gewachsen	auginamos
observatorium	observatorija
observatorium	observatorijos
hobby	hobis
hobby	pomėgius
eroberten	užkariavo
abel	abel
schießen	šaudymo
beatles	beatles
bomben	bombos
bomben	bomba
bomben	bombos
bomben	bombų
bomben	bombardavimo
naturschutzgebiete	atsargų
naturschutzgebiete	rezervai
alexei	alexei
stände	gardų
kritikern	kritikai
divisionen	skyriai
divisionen	kvadratai
ausreichen	pakanka
ökologie	ekologijos
jude	žydas
jude	jude
europäer	europiečiai
schwimmer	plaukikai
schwimmer	gelbėtojas
schwimmer	plaukikas
hürden	kliūtis
faschismus	fašistų
faschismus	fašizmas
kuhn	kuhn
verschollen	dingo
owen	owen
verbänden	asociacijos
verbänden	asociacijoms
roosevelt	ruzveltas
hesse	hesse
clan	klano
clan	klanai
buslinien	autobusas
buslinien	autobuso
buslinien	autobusų
reims	reims
fängt	fotografuoja
blei	švino
geologische	geologinio
komitees	komitetai
franchise	franšizės
verbund	sujungimo
verbund	sujungimas
leuchtturm	švyturio
leuchtturm	švyturys
leuchtturm	švyturys
angelika	angelika
angelika	angelica
cameron	cameron
schmetterling	drugelis
schmetterling	meškutė
jupiter	jupiterio
verona	verona
schwachen	silpnas
emmanuel	emmanuel
raumschiff	erdvėlaivių
raumschiff	erdvėlaivis
raumschiff	erdvėlaivis
organische	ekologinio
lachen	juokiasi
lachen	juoko
lachen	juokas
lachen	juokiasi
lachen	juoktis
moderierte	surengė
claire	kler
geringfügig	nereikšminga
betonte	pabrėžė
betonte	pabrėžė
rätsel	mįslė
rätsel	galvosūkiai
rätsel	molekulių
rätsel	marijos
rätsel	paslaptis
leeren	tuščia
leeren	tuščias
hardcore	griežti
differenz	skirtumas
differenz	skirtumas
nicola	nicola
diener	tarnas
diener	tarnautojas
friends	draugus
friends	draugų
friends	draugės
friends	draugai
pflichten	įsipareigojimai
pflichten	atsakomybė
pflichten	pareigos
pflichten	pareigas
salt	druskos
salt	druska
beliebtheit	populiarumas
katzen	kačių
katzen	katės
katzen	katės
katzen	katinas
katzen	cat
katzen	katė
gestört	sutrikęs
versicherung	atsargumas
versicherung	draudimas
versicherung	draudimo
patricia	patricija
gemeinnützige	labdaros
dichten	tankus
zweifelhaft	abejotina
zweifelhaft	abejotinas
zweifelhaft	abejotina
neigung	pokrypis
griffen	apdoroti
fabian	fabian
stärkste	stipriausia
orlando	orlando
una	una
napoleons	napoleonas
ausgeübt	praktikuojama
quo	quo
detlef	džeraldas
kanäle	kanalais
kanäle	kanalai
krim	krymo
krim	kryme
krim	krymo
einseitig	vienašališkai
einseitig	vienašališkai
impulse	paskatų
impulse	impulsus
impulse	impulsų
impulse	ankštiniai
impulse	impuls
sullivan	sullivan
hölzernen	medinė
hölzernen	mediniai
rabbiner	rabinas
rabbiner	rabinai
sozialdemokraten	socialistai
anmeldung	pranešimo
anmeldung	pranešimas
anmeldung	registracija
anmeldung	registracijos
anmeldung	registravimas
köpfe	protus
berührt	paliečia
pat	pat
massen	masė
massen	masės
massen	minios
stärkere	stipresnis
siebte	septintasis
siebte	septintoji
morgens	rytais
morgens	ryto
morgens	rytas
morgens	ryte
bang	bang
horizontal	horizontalus
horizontal	horizontali
horizontal	horizontaliai
mer	mer
möglicher	įmanoma
gespannt	susijaudinęs
stabil	stabilus
ahmad	ahmed
überfall	puolimą
überfall	užpuolimas
überfall	reidas
überfall	vagystės
überfall	apiplėšimas
geschenk	dovana
optik	optika
habsburger	habsburg
verurteilung	pasmerkimo
verurteilung	įsitikinimus
verurteilung	įsitikinimas
verurteilung	pažiūrų
tragödie	tragedijos
tragödie	tragedija
missionar	misionieriaus
niger	nigeris
niger	niger
laser	lazerio
fbi	ftb
obst	vaisiai
obst	vaisiai
obst	vaisių
maske	kauke
maske	kaukė
maske	kaukės
padua	padua
drachen	dragon
drachen	aitvarai
drachen	aitvaras
drachen	drakonai
aha	aha
bären	matas
geschmückt	papuošti
got	gavo
zeugnis	diplomas
dicken	storis
dicken	storio
beirat	patariamosios
gewebe	medvilniniai
gewebe	audinių
gewebe	audiniai
bürgerliche	buržuazinių
bürgerliche	pilietinių
bürgerliche	pilietinis
hendrik	hendrik
hendrik	hendrick
jet	jet
impact	poveikio
unerwünscht	nepageidaujamos
unerwünscht	nepageidaujamas
missionen	komandiruotės
missionen	misijų
missionen	misijos
mare	mare
kenia	kenijoje
kenia	kenija
kenia	kenijos
legenden	legendos
verbrannt	sudegino
verbrannt	sudegintas
verbrannt	sudeginamas
fide	fide
mendelssohn	mendelssohn
robertson	robertson
geliebten	mylima
geliebten	mylimas
interpreten	atlikėjai
parkplatz	stovėjimo
fossilien	iškastinio
komponistin	kompozitorius
ärger	pyktis
ärger	bėda
ärger	bėdos
ärger	problemų
ärger	bėdos
eingabe	įvesties
drucker	įrašoma
drucker	spausdintuvai
elster	elsteris
apotheke	vaistinėse
apotheke	vaistinės
apotheke	chemikas
apotheke	vaistinės
apotheke	vaistinė
anschauen	stebi
anschauen	saugok
anschauen	prižiūrėti
uniform	uniformas
uniform	uniformos
uniform	vienodas
animation	animacija
verwandelt	transformacijas
strich	meto
won	laimėjo
dauerhafte	ilgalaikio
erzgebirge	erzgebirge
getrennte	atskirtas
getrennte	atskirta
heil	išsigelbėjimas
heil	šlovė
heil	kruša
astronomischen	astronomijos
auftraggeber	klientas
auftraggeber	rangovai
gesteuert	kontroliuojamų
gesteuert	kontroliuojami
gesteuert	kontroliuojama
gesteuert	vairuojamųjų
wirtschaftswissenschaftler	ekonomistas
wirtschaftswissenschaftler	ekonomistai
pascha	paša
belle	belle
klingen	peiliukai
sweet	sweet
sweet	saldus
sweet	miela
clinton	clinton
litauischer	lietuvos
litauischer	lietuvių
nirgendwo	niekur
nirgendwo	niekur
parish	parapija
stapel	krauti
mentor	apmokymą
dialekte	dialektai
beliebtes	dažniausi
coupé	coupe
einwanderer	migrantų
einwanderer	migrantai
einwanderer	migrantų
einwanderer	migrantai
einwanderer	imigrantai
einwanderer	migrantai
einwanderer	imigracija
einwanderer	imigracijos
einwanderer	emigracijos
einwanderer	migracija
anhöhe	kalvos
bauteile	komponentai
rebellion	maišto
kahl	plikas
herausforderung	sunkumai
herausforderung	iššūkius
herausforderung	iššūkiai
herausforderung	iššūkis
kanzlei	firma
kanzlei	registro
kanzlei	registras
initiativen	iniciatyvas
initiativen	iniciatyvos
stellungen	pozicijas
seat	sėdynės
seat	sėdynė
handy	būsimiems
realisierung	realizavimo
porta	porta
binden	sieti
binden	susieti
late	vėlai
verehrung	maldos
jemandem	kažkas
jemandem	kažkas
kontrast	kontrastais
kontrast	kontrastingas
kontrast	svyravimų
wittgenstein	wittgenstein
karel	karel
jahrestag	jubiliejus
boulevard	bulvare
realismus	realizmo
stiel	kojele
stiel	kamieninių
hansa	hansa
donnerstag	ketvirtadienis
donnerstag	ketvirtadienį
donnerstag	ketvirtadienio
donnerstag	ketvirtadieniais
gras	gras
gras	žole
gras	žolė
gras	žolės
gras	žolė
gras	žolės
schätze	mokesčių
schätze	lobis
schätze	spėjama
maas	masas
großherzog	kunigaikštis
strauß	puokštė
strauß	strauss
strauß	strutis
zuordnen	atributas
zuordnen	požymis
malcolm	malcolm
lebensunterhalt	pragyvenimo
eduardo	eduardo
verl	verl
batterie	baterija
batterie	akumuliatorius
batterie	baterijos
mantel	paltą
mantel	apsiaustas
arsenal	arsenal
eichen	ąžuolo
eichen	ąžuolų
karen	karen
inwiefern	kaip
intel	intel
getreten	išmetė
getreten	atleido
komisch	juokinga
komisch	keistas
komisch	keistai
komisch	keista
komisch	keistas
komisch	keista
melchior	melchior
fischen	žuvys
fischen	žuvis
fischen	žuvys
fischen	žuvų
fischen	žvejyba
fischen	žvejybos
executive	generalinis
libyen	libijos
libyen	libija
krupp	krupp
schmerzen	skausmas
käufer	pirkėjai
käufer	pirkėjas
käufer	pirkėjas
käufer	pirkėjų
käufer	pirkėjai
moderatorin	vedėjai
moderatorin	vedėja
pfeil	dart
cent	centų
töne	skamba
töne	garsus
töne	garsai
technologien	technologijos
technologien	technologijų
technologien	technologijos
technologien	technologija
technologien	technologijų
living	gyventi
living	gyvenimo
living	gyvos
privatdozent	dėstytoja
privatdozent	privatdocentas
vereinigtes	jungtinės
vereinigtes	jungtinė
toledo	toledo
jüngster	jauniausias
dis	dis
botanik	botanika
botanik	botanikos
eiche	ąžuolo
eiche	ąžuolų
blödsinn	nesąmonė
blödsinn	šiukšlių
soccer	futbolas
soccer	futbolo
wünschenswert	pageidautina
léon	léon
léon	leonas
léon	leono
scholz	scholz
pseudo	pseudo
reichtum	gausa
reichtum	turtus
reichtum	turtų
reichtum	turtingumą
vorstadt	priemiesčių
ewige	amžina
unregelmäßig	permainingos
osmanische	osmanų
bedienung	padavėja
departement	departamento
bedeutsam	prasmingas
gesetzgebung	įstatymai
córdoba	kordobos
córdoba	cordova
geformt	formuoti
charakteristische	skiriamasis
charakteristische	skiriamieji
strengen	griežtą
strengen	griežta
strengen	griežtas
strengen	griežti
briefmarken	antspaudas
briefmarken	antspaudus
gewölbe	saugyklą
engelbert	engelbert
radikal	radikalių
guinea	gvinėja
ahl	ahl
curtis	kurtas
curtis	kurtis
curtis	kurti
schuppen	tvartų
schuppen	skalės
bewaffnung	ginklas
bewaffnung	ginklai
bewaffnung	ginklavimuisi
bewaffnung	ginkluotė
konfrontiert	susiduria
vorsicht	atsargumas
vorsicht	atsargiai
mittelfeldspieler	saugas
einwände	protestas
einwände	prieštaravimo
einwände	prieštaravimas
einwände	prieštaravimai
einwände	protestai
einwände	prieštaravimų
kronen	karūna
sojus	soyuz
schlafen	miega
schlafen	miegas
schlafen	miego
schlafen	miega
schlafen	miegas
schlafen	miega
schlafen	miegu
weine	verkti
lions	liūtai
strömungen	srovių
kräftig	energingai
rapid	greitas
revolutionären	revoliucinė
erleichtert	palengvina
verwirklicht	realizuotas
überwacht	integravimo
rufen	vadina
dtv	dtv
rachel	reičel
behinderung	negalia
behinderung	negalia
behinderung	negalią
behinderung	obstrukcija
mythen	mitai
mythen	mitas
vulkan	ugnikalnio
prominenten	įžymybių
prominenten	įžymybių
ionen	jonų
circuit	trasa
circuit	grandinė
schalke	schalke
kleist	kleist
profis	specialistams
profis	profesionalai
carol	kerol
erfassung	surinkimo
erfassung	aprėpties
dreier	trijulė
jesse	džesis
tochterunternehmen	dukterinė
berechtigung	tinkamumas
berechtigung	pagrindimas
berechtigung	pateisinimas
kanals	kanalas
leopoldina	leopoldina
propheten	pranašas
dimensionen	matmenys
briefwechsel	korespondencija
briefwechsel	susirašinėjimas
psychologe	psichologas
psychologe	psichologai
psychologe	psichologija
grove	grove
speed	greitis
speed	greičio
valle	valle
eder	eder
grundstücke	sklypų
fähre	keltų
fähre	keltu
artur	arturas
artur	artūras
intervention	intervencija
hallen	sales
zweige	šakelių
zweige	filialai
zweige	šakos
pianistin	pianistas
verfall	atšaukimas
verfall	skilimo
verfall	skilimas
kommandanten	vadai
rötlich	rausvai
pavillon	paviljone
privilegien	privilegija
privilegien	privilegijos
chirurg	chirurgas
autonomie	autonomija
autonomie	autonomiją
autonomie	autonomijos
autonomie	savarankiškumas
petri	petri
schuljahr	mokykla
schuljahr	mokyklos
läufer	bėgikė
läufer	rotoriaus
läufer	bėgikai
nizza	gražiai
nizza	gražus
nizza	gražūs
nizza	gražu
hunger	badas
hunger	bado
hunger	alkanas
hunger	alkani
hunger	badas
hunger	bado
reuter	reuter
illustration	iliustracija
ried	ried
strenge	griežtas
strenge	griežti
sardinien	sardinijos
amerikanisch	amerikos
staub	dulkes
staub	dulkės
staub	dulkių
airways	airways
schütz	schütz
biennale	biennale
gif	gif
wurzel	root
wurzel	šaknis
wurzel	šaknys
wurzel	šaknų
wurzel	šakniavaisiai
leichnam	lavonas
todesstrafe	sankcija
todesstrafe	bausmę
todesstrafe	bauda
todesstrafe	bausmė
todesstrafe	nuobauda
todesstrafe	mirtis
todesstrafe	mirties
fleck	dėmių
fleck	blur
comeback	sugrįžimas
hilfsmittel	aids
hilfsmittel	komunalinių
bryan	bryan
scherz	pokštas
empfehlungen	rekomendacijos
lie	melas
bildschirm	temperatūrai
bildschirm	ekranas
bildschirm	ekrano
bildschirm	darbastalio
bns	bns
bombe	bombos
bombe	bomba
bestraft	bausti
bestraft	nubausti
bestraft	nubausti
anthropologie	antropologija
vandalen	vandalai
zusammengesetzt	surinktas
zusammengesetzt	surinkti
zusammengesetzt	surenkamos
zusammengesetzt	surinktos
unseres	mūsų
radar	radarai
monde	monde
monde	mėnuliai
abweichungen	neatitikimai
abweichungen	neatitikimų
bonaparte	bonaparte
wünscht	norai
rechteckigen	stačiakampio
rechteckigen	stačiakampis
juri	jurijus
trompete	trimitas
krimi	trileris
satzung	chartija
satzung	chartiją
nobelpreis	nobel
falsches	klaidingai
masuren	mozūrų
