את	你
בעלי	丈夫
יחד	在一起
יחד	一起
בשל	成熟
בשל	到期
פרס	獎勵
פרס	獎賞
פרס	賞金
פרס	賞
פרס	獎品
פרס	獎賞
פרס	獎
פרס	授予
פרס	獎
ראו	rao
ראו	饒
דוד	舅舅
דוד	伯父
דוד	叔叔
דוד	阿叔
דוד	大衛
דוד	david
בעל	丈夫
שלה	她的
בנוסף	加上
בנוסף	加
תחת	屁股
תחת	屁股
תמונה	像片
תמונה	照片
תמונה	影象
תמונה	影像
תמונה	圖片
תמונה	照片
תמונה	圖片
כתב	記者
הקבוצה	群組
הקבוצה	群
הערך	價值
הערך	數值
הערך	值
היום	今日
היום	今天
מי	誰
למרות	儘管
למרות	雖然
למרות	雖然
אחרות	其他
החברה	社會
החברה	公司
המלחמה	戰
המלחמה	戰爭
שונות	不同
שונות	雜項
הארץ	地球
הארץ	大地
מערכת	系統
תאריך	日期
תאריך	約會
בלבד	只
בלבד	只有
עבר	過往
עבר	過去
עבר	感動
אפשר	啟用
אפשר	允許
אפשר	容許
מרכז	中央
מרכז	中心
מרכז	中心
שימוש	用法
שימוש	用量
שימוש	使用
שימוש	使用
שימוש	利用
שימוש	使用
שיש	大理石
שיש	彈珠
רוב	最多
רוב	大部分
רוב	多數
רוב	大多
רוב	大多數
רוב	rob
רוב	多數
כולל	包容
כולל	包容性
כולל	包括
כולל	包括
כולל	包括
גדול	大型
גדול	big
גדול	大
גדול	棒
גדול	偉大
ישראלים	以色列人
יהודי	猶太人
יהודי	猶太
יהודי	猶太教
סוג	善良
סוג	型態
סוג	類型
ראשון	星期日
ראשון	週日
ראשון	星期天
ראשון	周日
ראשון	首先
ראשון	第一
מידע	資訊
מידע	資料
ערכים	指標
ערכים	價值
ערכים	價值觀
ערכים	數值
ערכים	值
ערכים	條目
אנשים	人
אנשים	人們
אנשים	人民
קובץ	文件
קובץ	檔案
דקות	分鐘
חבר	朋友
חבר	好友
חבר	男朋友
חבר	男友
צריך	需求
צריך	需要
צריך	應該
בת	女兒
בת	beth
השם	名字
השם	名稱
השם	姓名
בתוך	內在
בתוך	裡面
בתוך	內心
בתוך	內部
כאן	這裡
מול	mol
לעתים	有時候
הכנסת	會堂
וגם	還
וגם	也
הים	大海
הים	海上
הים	海
השיר	歌曲
השיר	宋
השיר	首歌
השיר	歌
חדש	新
חדש	新的
השלישי	第三
משה	摩西
גרמניה	德文
גרמניה	德語
גרמניה	德國
יורק	約克
הממשלה	政府
מעל	頭頂
מעל	上方
מעל	以上
ארץ	國家
ארץ	陸地
ארץ	土地
ארץ	地球
ארץ	大地
כלי	工具
צרפת	法國
הרבה	許多
אתה	你
נמצא	找到
נמצא	發現
אי	海島
אי	島嶼
אי	島
ילדים	小孩
ילדים	兒童
שלושה	三
שלושה	三個
לאורך	沿
הגיע	抵達
הגיע	到達
אירופה	歐洲
אירופה	歐洲
המלך	國王
המלך	king
המלך	王
כמעט	幾乎
מיליון	百萬
יצחק	isaac
יצחק	yitzhak
האלבום	相簿
האלבום	專輯
יוסף	約瑟夫
יוסף	joseph
יוסף	約瑟
יוסף	yosef
כוח	力氣
כוח	強度
כוח	實力
כוח	力量
כוח	體力
כוח	武力
כוח	電力
כוח	電源
כוח	動力
כוח	權力
נפטר	逝者
נפטר	已故
הלהקה	樂團
הלהקה	樂隊
מלך	國王
מלך	king
מלך	王
מקור	出處
מקור	原產地
מקור	起源
מקור	來源
מקור	源
מקור	喙
תוכנית	方案
תוכנית	程式
תוכנית	計劃
תוכנית	計畫
תוכנית	方案
בתי	女兒
נראה	看起來
לגבי	關於
פעם	一次
פעם	一旦
משתמש	使用
משתמש	使用者
קיבל	接受
עקב	到期
עקב	腳跟
נשים	婦女
נשים	女性
במיוחד	尤其
במיוחד	尤其是
האימפריה	帝國
עדיין	仍然
עדיין	依然
מים	飲水
מים	水
כוחות	權力
פעולה	動作
פעולה	行動
נכון	右
נכון	真實
חוק	法律
יחידה	股
יחידה	單元
יחידה	單位
העונה	季
העונה	季節
שוב	再次
יעקב	jacob
יעקב	雅各
אינה	ina
מדינות	國家
מדינות	國家
מדינות	各國
הבית	首頁
הבית	家
הבית	home
הבית	住家
הבית	屋
הבית	房屋
הבית	房子
לב	心
לב	心臟
מפקד	指揮官
מפקד	司令
שלוש	三
שלוש	三個
שלום	shalom
שלום	平安
שלום	和平
שלום	你好
אזור	區域
אזור	區
אזור	區域
אזור	面積
אזור	地區
אזור	區域
אזור	區
פעמים	時代
פעמים	times
פעמים	時報
קבוצות	群組
קבוצות	團體
קבוצות	團隊
קבוצות	球隊
קבוצות	隊伍
המשחק	game
המשחק	比賽
המשחק	博弈
המשחק	遊戲
האי	海島
האי	島嶼
האי	島
סרט	電影
סרט	影片
סרט	電影
סרט	膠片
סרט	影片
בגלל	因為
המפלגה	黨
המפלגה	政黨
המפלגה	宴會
המפלגה	派對
המפלגה	聚會
בעבר	先前
האחרון	上次
האחרון	最後
קרב	戰
קרב	戰役
קרב	戰鬥
קרב	作戰
האתר	網站
האתר	網頁
קצר	簡短
קצר	短期
קצר	短
קצר	矮
קצר	簡短
ימים	日子
ימים	天數
בהמשך	下方
בהמשך	以下
בר	酒吧
בר	bar
צבא	軍方
צבא	軍事
צבא	集團軍
צבא	軍隊
צבא	軍
צבא	陸軍
ים	大海
ים	海上
ים	海
החיים	生命
החיים	人生
החיים	生活
משחק	game
משחק	比賽
משחק	博弈
משחק	遊戲
משחק	玩
משחק	播放
משחק	演戲
משחק	演技
משחק	代理
ראשי	頭
ראשי	頭部
ראשי	首席
ראשי	科長
ראשי	初級
הזמן	時光
הזמן	時間
למעשה	實際上
למעשה	其實
אברהם	avraham
נבחר	選取
מדי	太
לרוב	大多
פעילות	動態
פעילות	活動
שטח	欄位
שטח	地形
שטח	地勢
שטח	面積
שטח	地區
שטח	區域
שטח	區
מאוחר	晚
מאוחר	遲到
מאוחר	遲
דף	def
קולנוע	電影
קולנוע	影片
קולנוע	電影
קולנוע	攝影
קולנוע	電影院
קולנוע	電影
קולנוע	戲院
קשר	接觸
קשר	聯絡
קשר	結
אחרת	否則
פני	penny
פני	便士
קודם	首先
קודם	第一
עיר	城鎮
עיר	鎮
עיר	城市
עיר	市
עיר	城
לצד	一面
לצד	側
ידוע	已知
הופעות	印象
הופעות	外表
הופעות	表象
הופעות	音樂會
הופעות	演唱會
תקופה	期間
ספרים	圖書
ספרים	書
ספרים	書籍
קטן	小型
קטן	小
קטן	小
למד	學習
למד	學
ברית	聯盟
ברית	同盟
ברית	結盟
ברית	盟友
ברית	盟軍
ברית	盟國
ברית	同盟
תשע	九
תשע	九個
פחות	少
פחות	更少
פחות	少
פחות	少了
משרד	辦公
משרד	辦公室
משרד	辦事處
מעבר	過渡
מעבר	轉型
מעבר	超越
מעבר	通道
איך	如何
גרסאות	變體
גרסאות	版本
זהב	golden
זהב	黃金
זהב	金色
זהב	金
זהב	金子
זהב	黃金
זהב	金色
זהב	gold
עולם	世界
יד	yad
יד	手
מדינה	國家
מדינה	國家
מדינה	州
ארגון	組織
ארגון	組織
לכתוב	撰寫
לכתוב	寫
לכתוב	寫信
לכתוב	寫入
לכתוב	寫作
שונה	不同
שונה	修改
גדולה	大型
גדולה	big
גדולה	大
קשה	難
קשה	硬
קשה	辛苦
קשה	艱難
קשה	強硬
קשה	困難
קשה	難
קשה	艱難
אור	光線
אור	光
אור	燈光
אור	輕
אור	光明
צבי	zvi
צבי	鹿
לדוגמה	範例
אוכלוסייה	人口
בעברית	希伯來
בעברית	希伯來文
קיים	現存
קיים	現有
שלי	礦山
דומה	類似
דומה	相似
דין	dean
שכן	鄰居
מחוז	郡
מחוז	縣
מחוז	省
מחוז	省省
מחוז	省份
מחוז	區
מחוז	地區
ימי	日子
ימי	天數
תואר	度
תואר	程度
תואר	學位
סדרת	系列
למצוא	找到
למצוא	尋找
פשוט	簡單
פשוט	只是
פשוט	只要
עבודה	工作
עבודה	工作
חשוב	重要
כיוון	方向
שלמה	shlomo
שלמה	所羅門
תבנית	圖案
תבנית	格局
תבנית	模式
תבנית	樣板
תבנית	模板
תבנית	格式
תבנית	形式
תבנית	格式化
אמריקאים	美式
הפועל	動詞
אפריקה	非洲
דרום	南方
דרום	南部
דרום	南
דרום	南方
דרום	南部
זכויות	權利
אולי	或許
אולי	或許
אולי	也許
עלה	葉
עלה	葉子
לקבל	接受
לקבל	獲取
לקבל	獲得
לקבל	得到
מבנה	結構
להשתמש	利用
להשתמש	使用
העליון	最高
בברכה	真誠
בברכה	歡迎
בסיס	基地
בסיס	基礎
בסיס	基數
בסיס	基礎
בסיס	依據
מין	性別
מין	性別
מין	性愛
מין	性行為
מין	性
מין	魚種
מין	物種
מין	閔
מין	敏
אינטרנט	web
אינטרנט	網
אינטרנט	網路
אינטרנט	網路
אינטרנט	網際網路
נקודות	點
נקודות	點數
נקודות	積分
נקודות	斑點
קבוצה	群組
קבוצה	群
קבוצה	團隊
קבוצה	球隊
קבוצה	隊伍
הקרב	戰
הקרב	戰役
הקרב	戰鬥
שירים	詩
שירים	詩歌
שירים	歌曲
שירים	歌
התנועה	交通
עת	時光
עת	時間
הר	山
הר	山區
הר	山地
הר	山
הרי	哈利
הרי	harry
תפקיד	作用
תפקיד	角色
למה	為何
למה	為甚麼
למה	為什麼
נולדה	生於
נולדה	誕生
נולדה	出生
נולדה	天生
שמות	人名
שמות	名稱
שמות	姓名
יחסית	相對
הקמת	建立
שערים	門戶
שערים	目標
מערכות	系統
שנייה	第二
שנייה	秒
שנייה	秒
ליצור	創建
מטרים	公尺
מטרים	米
מטרים	公尺
אמריקה	美洲
אמריקה	美國
ליד	近
ליד	靠近
ליד	附近
שר	sher
שר	歌聲
שר	唱歌
שר	歌唱
שר	大臣
שר	部長
קו	line
קו	線
קו	線路
סוף	終結
סוף	結尾
סוף	結束
כסף	金錢
כסף	錢
כסף	銀色
כסף	銀
כסף	白銀
תמונות	像片
תמונות	照片
תמונות	圖片
תמונות	像片
תמונות	圖畫
תמונות	照片
תמונות	影像
תמונות	圖片
נשיא	總統
נשיא	主席
מוזיקה	音樂
חדשים	新
חדשים	新的
מצב	狀況
מצב	狀態
מצב	現況
מצב	模式
מצב	情況
מצב	條件
מצב	狀況
היסטוריה	歷史
שינוי	改變
שינוי	更改
שינוי	變更
שינוי	變
כדורגל	足球
כדורגל	足球
כדורגל	美式足球
כדורגל	橄欖球
ביקורת	批評
ביקורת	批判
ביקורת	批判
ביקורת	審查
חודשים	月
חודשים	月份
אבן	stone
אבן	石
אבן	斯通
אבן	石頭
שחקן	球員
שחקן	玩家
שחקן	男主角
שחקן	演員
משפט	審訊
משפט	審判
משפט	法庭
משפט	法院
משפט	句子
משפט	刑期
משפט	判刑
אמריקאי	美式
חצי	一半
חצי	半
חצי	半數
הארגון	組織
סרטים	影片
סרטים	電影
הבא	下一步
משפחה	家人
משפחה	家屬
משפחה	家庭
במקביל	並行
במקביל	平行
מזרח	東
מזרח	東部
מזרח	東方
מזרח	東區
מזרח	東方
מזרח	東部
ערים	城鎮
ערים	城市
מחוץ	外部
מחוץ	室外
מחוץ	外面
מחוץ	外
שבע	七七
שבע	七個
שבע	七
שבע	seven
חי	生活
חי	活
חי	直播
חי	live
חי	活著
שיר	詩
שיר	歌曲
שיר	宋
שיר	首歌
שיר	歌
טלוויזיה	電視機
טלוויזיה	電視
טלוויזיה	電視台
החוק	法律
רוסיה	俄
רוסיה	俄國
רוסיה	俄羅斯
השתתף	出席
התיכון	中間
אישים	人格
בריטניה	不列顛
גבוהה	高
גבוהה	高
גבוהה	高大
רוצה	想要
מעט	稍微
כהן	cohen
חופשי	free
חופשי	自由
חופשי	免費
חברות	友情
חברות	友誼
חברות	公司
אן	anne
אן	ann
סיים	完成
סיים	完成
סיים	完成
המקום	地方
המקום	地點
מבצע	手術
מבצע	行動
מבצע	運算
מבצע	操作
ברור	清除
רשת	淨
רשת	net
רשת	網
רשת	電網
רשת	網路
רשת	網
הערכים	價值
הערכים	價值觀
הערכים	數值
הערכים	值
רקע	背景
הגיעו	抵達
הגיעו	到達
תיאטרון	電影院
תיאטרון	劇場
תיאטרון	戲劇
תיאטרון	劇院
תיאטרון	戲院
תיאטרון	劇場
תיאטרון	戰區
תיאטרון	戲劇
תיאטרון	劇院
תיאטרון	戲院
דניאל	丹尼爾
דניאל	daniel
דניאל	danielle
איטליה	義大利
צורך	必要
צורך	必需
צורך	必要性
צורך	需求
צורך	需要
חדשה	新
חדשה	新的
אלבום	相簿
אלבום	專輯
הרביעי	第四
דו	doe
המרכז	中心
המרכז	中心
גן	甘
גן	gan
גן	gene
גן	基因
גן	園
גן	園林
גן	花園
גן	園藝
עשרה	十
עשרה	十個
עשרה	ten
תמיד	始終
תמיד	永遠
תמיד	總是
משתמשים	使用者
העתיקה	古代
העתיקה	古老
עליה	她的
מחקר	研究
מחקר	學習
מחקר	研究
תרבות	文化
כללי	通用
למעלה	樓上
הבכורה	首映
הבכורה	首播
עונה	季
עונה	季節
ארבע	四個
ארבע	四
ארבע	四名
ציון	分數
ציון	得分
ציון	比分
חשיבות	重要
חשיבות	重要性
סיום	竣工
סיום	終結
סיום	結尾
סיום	結束
סיום	畢業
ארבעה	四個
ארבעה	四
ארבעה	四名
הכוחות	權力
שי	石
שי	史
שי	施
כדור	球體
כדור	球
כדור	子彈
כדור	彈頭
עשר	十
עשר	十個
עשר	ten
עבד	奴隸
שער	門
שער	大門
שער	目標
שער	門戶
סביב	圍繞著
סביב	圍繞
סביב	周圍
גבוה	高
גבוה	高
גבוה	高大
גבוה	較高
גבוה	更高
נהר	河
נהר	江河
נהר	河流
נהר	江
המקורי	原文
המקורי	原件
המקורי	原創
המקורי	原始
המקורי	原
הנשיא	總統
הנשיא	主席
פה	這裡
אלכסנדר	亞歷山大
אלכסנדר	alexander
משמש	杏子
סמל	象徵
סמל	符號
סמל	圖示
ראה	見
ראה	鋸
ראה	鋸子
גביע	戰利品
גביע	獎盃
גביע	獎杯
גביע	盃
גביע	杯
גביע	杯子
אורך	長度
קיימת	現存
קיימת	現有
דולר	元
דולר	美元
השחקן	男主角
השחקן	演員
מדליות	獎章
מדליות	勳章
מדליות	獎牌
חיילים	士兵
חיילים	部隊
ספרד	西班牙
דגל	旗幟
דגל	國旗
דגל	旗
דגל	旗子
דגל	旗幟
דגל	旗
דגל	旗子
מלחמה	戰
מלחמה	戰爭
צפון	北方
צפון	北
צפון	北部
צפון	北方
צפון	北部
בעלות	所有權
בעלות	擁有權
יהודית	猶太人
יהודית	猶太
יהודית	猶太教
ללמוד	學習
ללמוד	學
אשתו	妻子
פרק	插曲
פרק	集
חברה	女友
חברה	女朋友
חברה	公司
חברה	朋友
חברה	好友
דירוג	評比
דירוג	評分
דירוג	名次
דירוג	排行
דירוג	排名
מדעי	科學
ביחד	在一起
ביחד	一起
האזור	面積
האזור	地區
האזור	區域
האזור	區
שדה	欄位
אפילו	甚至
פעיל	積極
פעיל	活躍
מתחת	下方
מתחת	以下
פתח	開
פתח	營業
פתח	開啟
פתח	開放
אליפות	錦標賽
משחקים	games
משחקים	遊戲
שניות	秒
שניות	秒數
הכל	一切都
הכל	一切
הכל	全部
הכל	所有
הכל	all
מדיניות	政策
מדיניות	政策
שירות	服務
גדולים	大型
גדולים	big
גדולים	大
למנוע	防止
מצרים	埃及
ספורט	體育
ספורט	運動
ספורט	體育
ספורט	運動
שיא	唱片
שיא	記錄
שיא	紀錄
שיא	高潮
שיא	峰
שיא	峰峰
שיא	山頂
מס	納稅
מס	稅務
מס	稅收
מס	稅
מס	稅金
צוות	船員
צוות	團隊
צוות	球隊
צוות	隊伍
נושא	題目
נושא	話題
נושא	專題
נושא	主題
נושא	專題
נושא	主題
נושא	主題
גיל	鰓
גיל	年紀
גיל	年齡
גיל	gil
עורך	編輯
הרכבת	火車
הרכבת	列車
הליגה	聯盟
הליגה	同盟
הליגה	聯賽
לבן	white
לבן	白
לבן	白色
מת	死
סגל	人員
סגל	人事
יו	休
מסע	旅行
מסע	旅費
מסע	旅遊
מסע	旅途
מסע	旅程
מערב	西邊
מערב	西
מערב	西方
מערב	西部
מערב	西方
מערב	西部
שום	大蒜
שום	蒜
עברה	感動
לוח	黑板
לוח	董事會
לוח	牌匾
לוח	石板
לוח	平板
לוח	小組
לוח	面板
חושב	思維
חושב	思考
לידה	出生
תחילת	提早
תחילת	及早
תחילת	早期
תחילת	提前
הבינלאומי	國際
שעות	小時
מאות	嘴巴
מאות	口
מאות	嘴
מאות	口腔
מאות	成百上千
מאות	數百
הצעיר	最小
הצטרף	加入
הצטרף	加入
נכתב	書寫
נכתב	撰寫
השאר	休息
דרור	麻雀
האוניברסיטה	大學
עובד	僱員
עובד	員工
עובד	職工
עובד	工程
עובד	作品
עובד	勞動者
עובד	工人
עובד	工作
פולין	波蘭
אנגליה	英國
אנגליה	英格蘭
התמונה	影象
התמונה	影像
התמונה	圖片
התמונה	照片
התמונה	圖片
הימים	日子
הימים	天數
חדשות	新聞
סיפור	動態
סיפור	故事
הנוער	青年
הנוער	青春
הנוער	青少年
מיוחד	特別
חינוך	教育
חינוך	學歷
הצי	艦隊
הצי	船隊
הצי	車隊
תרגום	翻譯
פרסם	張貼
פרסם	郵政
פרסם	post
פרסם	張貼
פרסם	刊登
פרסם	發表
פרסם	出版
פרסם	發表
לבסוף	最終
לבסוף	終於
מישהו	任何人
מישהו	某人
מישהו	有人
קרן	基金會
קרן	karen
קרן	基金
הסכם	協定
הסכם	協議
הסכם	條約
חברים	朋友
חברים	好友
מלא	飽
מלא	完整
מלא	滿
גוף	屍體
גוף	體
גוף	身體
לוי	levi
רואה	見
קיימים	現存
קיימים	現有
ערב	晚間
ערב	晚上
ערב	傍晚
לונדון	倫敦
ימין	右
קול	聲音
קול	音效
קול	語音
קול	嗓子
קול	聲音
קול	cole
קול	科爾
מעמד	狀況
מעמד	狀態
מעמד	現況
מעמד	階級
מעמד	類
מעמד	類別
מעמד	課堂
מעמד	班級
יהדות	猶太人
יהדות	猶太
יהדות	猶太教
יהדות	猶太教
יהדות	猶太人
יהדות	猶太
המועצה	安理會
סופר	作家
סופר	作者
סופר	編劇
סופר	super
סופר	超
סופר	超級
סופר	作者
דוגמה	教條
דוגמה	範例
עץ	木
עץ	木材
עץ	wood
עץ	木頭
עץ	樹
עץ	樹木
חזרה	排練
חזרה	排演
חזרה	彩排
חזרה	背
חזרה	回
הציבור	公眾
הציבור	公開
הרפובליקה	共和國
הרפובליקה	共和
שחקנים	球員
שחקנים	玩家
שחקנים	演員
אירועים	事件
אירועים	活動
יחידות	各單位
יחידות	單元
יחידות	單位
אלף	千
מנהל	主任
מנהל	導演
מנהל	司長
מנהל	管理者
מנהל	經理人
מנהל	經理
מנהל	署長
מפה	地圖
בעיה	問題
דמויות	數字
דמויות	字元
דמויות	角色
דברים	事情
להוסיף	加上
להוסיף	加
אריה	獅
אריה	獅子
אריה	aryeh
בראשית	創世紀
בראשית	創世
בראשית	起源
קטנה	小型
קטנה	小
קטנה	小
סן	sen
סן	森
סן	san
יוני	六月份
יוני	六月
אודות	關於
מוזיאון	博物館
מוזיאון	博物館
כנסת	會堂
יחסי	親戚
יחסי	相對
יחסי	關係
יכולת	能力
הגיעה	抵達
הגיעה	到達
רחוב	街頭
רחוב	街道
רחוב	街
גברים	男性
גברים	男性
גברים	男人
גברים	男子
דן	丹
דן	dan
השואה	大屠殺
הגוף	屍體
הגוף	體
הגוף	身體
אדום	紅
אדום	red
אדום	紅色
קבע	設
קבע	集
קבע	設定
חד	尖銳
חד	鋒利
חד	銳利
ההיסטוריה	歷史
המערכת	系統
תבניות	樣板
תבניות	模板
תבניות	格局
תבניות	模式
תבניות	格式
עברית	希伯來
עברית	希伯來文
כולם	每個人
כולם	全部
כולם	所有
כולם	all
כולם	大家
כולם	每個人
קטנים	小型
קטנים	小
אפשרות	選項
אפשרות	可能性
נוצר	生成
מקורות	來源
מקורות	起源
בפועל	實際
ספרות	位數
ספרות	文獻
ספרות	文學
קבוע	永久
קבוע	常數
קבוע	定期
קבוע	經常
קבוע	固定
תפקידים	作用
תפקידים	角色
לחלוטין	絕對
לחלוטין	完全
לחלוטין	完全
עולה	費用
עולה	成本
עולה	上升
מפלגת	黨
מפלגת	政黨
מפלגת	宴會
מפלגת	派對
מפלגת	聚會
מקרה	案例
מקרה	個案
מקרה	案件
כיצד	如何
ויליאם	威廉
ברק	閃電
ברק	電光
פנים	內政
פנים	內部
פנים	內地
פנים	臉
פנים	面孔
פנים	臉
פנים	臉部
כמות	數量
כמות	量
צבאי	軍方
צבאי	軍事
סין	中國
העיקרי	初級
תוכניות	方案
תוכניות	計劃
תוכניות	方案
תוכניות	程式
ואז	那
ואז	然後
ואז	那麼
אלוף	拳王
אלוף	冠軍
אלוף	冠軍
הנושא	題目
הנושא	話題
הנושא	專題
הנושא	主題
סדר	訂單
סדר	命令
סדר	秩序
סדר	訂購
סדר	順序
התרבות	文化
התרבות	文明
ניסיון	未遂
ניסיון	企圖
ניסיון	體驗
ניסיון	經驗
חומר	物料
חומר	材質
חומר	材料
חומר	物料
חומר	材料
חומר	實質
חומר	物質
גרסה	版
גרסה	版本
פרי	perry
פרי	果實
פרי	水果
פרי	果
כפר	kfar
כפר	kafr
כפר	村
כפר	鄉村
כפר	村莊
כפר	村落
כפר	村子
רד	紅
רד	red
רד	紅色
ההצבעה	表決
ההצבעה	投票
עניין	興趣
עניין	利息
דם	血液
דם	血
דם	血跡
דם	鮮血
הכפר	村
הכפר	鄉村
הכפר	村莊
הכפר	村落
הכפר	村子
יפן	日本
נשק	武器
נשק	兵器
נשק	武器
נשק	兵器
נשק	軍火
נשק	火器
מיני	mini
מיני	迷你
מיני	性
מיני	米妮
מבנים	建築
מבנים	建築物
מבנים	結構
המועדון	幫會
המועדון	club
המועדון	俱樂部
מלבד	除了
מלבד	除外
אמנות	美術
אמנות	art
אמנות	藝術品
אמנות	藝術
הממלכה	王國
הממלכה	國度
יפה	漂亮
יפה	美
יפה	美女
יפה	美麗
דיון	辯論
בשימוש	使用
מרדכי	mordechai
אילן	ilan
אש	消防
אש	火
אש	火焰
אש	火災
אש	灰
אש	ash
אש	火山灰
אש	灰燼
מרכזי	中央
מרכזי	中心
השירים	歌曲
השירים	歌
משמעות	含義
רוברט	羅伯特
רוברט	robert
אישי	個人
תושבים	居民
קרוב	關閉
עכשיו	現在
שמונה	八個
שמונה	八
רשמי	正規
רשמי	正式
מאי	may
מאי	梅
מאי	五月份
מאי	五月
מאי	mai
מאי	邁
פיתוח	發展
חנה	hannah
חנה	花
חנה	hanna
הקיסר	皇帝
הקיסר	天皇
הקריירה	職業
מאמרים	文章
הכי	最多
הכי	大部分
הכי	多數
הכי	大多
הכי	大多數
גבי	gabi
גבי	gabby
גבי	gaby
פעולות	行動
דמות	字元
דמות	人物
דמות	角色
דמות	性格
דמות	品格
דמות	圖
השאלה	問題
השאלה	提問
הטבע	大自然
הטבע	自然
הטבע	性質
חלקים	部件
חלקים	零件
שלך	你的
חמש	五
חמש	五個
מילים	歌詞
מילים	言語
מילים	詞語
מילים	字
מילים	詞
סדרה	系列
סדרה	序列
סדרה	數列
סדרה	順序
שפה	語言
שפה	語
שפה	語文
אוויר	空中
אוויר	air
אוויר	航空
אוויר	空氣
סיימה	完成
השיחה	對話
אבי	父親
אבי	神父
אבי	父
אבי	avi
אבי	abby
קישור	連結
קישור	link
לקרוא	讀
לקרוא	讀取
לקרוא	閱讀
ערוץ	頻道
ערוץ	海峽
ערוץ	通道
זכות	特權
כבוד	尊敬
כבוד	尊重
כבוד	尊嚴
חמישה	五
חמישה	五個
במקור	原本
הקדוש	聖人
הקדוש	聖
מיזם	項目
טיפול	治療
טיפול	療法
טיפול	治療
המכונה	機械
המכונה	機
המכונה	機器
אוסטרליה	澳大利亞
תנועה	動議
תנועה	運動
תנועה	交通
תנועה	母音
תנועה	運動
ידע	知識
זאב	狼
החמישי	第五
החמישי	第五次
זוכה	勝者
זוכה	贏家
מנחם	安慰
יחיד	單一
יחיד	單人
יחיד	單身
יחיד	單
כוכב	星星
כוכב	恆星
כוכב	star
כוכב	星
כוכב	明星
פרופ	道具
תחנת	站
תחנת	車站
ראשית	首先
ראשית	第一
