berniat	namjeravaju
natrium	natrij
webber	veber
diterjemah	prevedene
diterjemah	preveden
diterjemah	prevedena
jazz	džez
lion	lav
fighting	bori
kesejahteraan	wellness
selera	okus
selera	apetita
kelly	kelly
fiorentina	fiorentina
training	obuke
training	trening
training	obuka
training	treninga
training	obuku
carthage	kartaga
dam	brana
always	uvijek
always	uvek
travel	putovanje
ketepatan	preciznost
ketepatan	preciznosti
ketepatan	tačnost
ketepatan	preciznost
accessdate	accessdate
bak	bak
verona	verona
lockheed	lockheed
kewajipan	dužnosti
kewajipan	dužnost
kewajipan	obaveza
kewajipan	obaveza
navigasi	navigaciju
navigasi	navigaciju
navigasi	plovidbe
sopron	sopron
flash	flash
pengakap	scout
collins	collins
berkecuali	neutral
sevilla	sevilla
takdir	destiny
takdir	sudbina
takdir	sudbinu
ketumpatan	gustoća
honduras	honduras
cinema	kino
cinema	kinematografija
cinema	cinema
jeff	jeff
past	prošlost
akhiran	sufiks
remix	remix
meng	meng
better	bolji
better	bolje
zakar	penis
zakar	cock
zakar	jaja
zakar	lopte
zakar	kugle
unix	unix
mau	mau
tutup	zatvori
tutup	blizu
tutup	bliskoj
tutup	bliski
tutup	blizak
tutup	bliska
few	par
few	nekoliko
pencuci	čišćenje
catherine	catherine
catherine	katarina
constantinople	konstantinopolj
tomato	paradajz
tomato	paradajz
impak	utjecaj
impak	udar
kung	kung
seluar	pantalone
seluar	pantalone
seluar	hlače
merpati	pigeon
merpati	golubovi
queensland	queensland
dave	dave
dave	dava
aya	aja
aya	aya
backgroundcolors	backgroundcolors
grid	mreži
stesyen	stanica
sms	sms
jujukan	sekvenci
jujukan	niz
belalang	skakavac
belalang	skakavaca
active	aktivna
active	aktivni
active	aktivan
claude	claude
mahmood	mahmood
risalah	flyer
mil	miles
mil	milja
mil	km
mil	mil
amatur	amateri
amatur	amatere
amatur	amaterski
motors	motors
dijaga	čuvaju
sign	znak
verdi	verdi
bwf	bwf
radioaktif	radioaktivnih
radioaktif	radioaktivnog
penh	penh
room	sobu
room	soba
room	sobe
room	sobe
target	meta
deal	sporazum
deal	dogovorom
deal	deal
deal	dogovor
himalaya	himalaya
himalaya	himalaji
himalaya	himalayan
mendidik	obrazuju
berjangkit	zarazne
berjangkit	inficirani
krim	krem
krim	krema
inside	unutrašnjost
inside	unutar
masaalah	problem
klon	klon
birmingham	birmingham
tanaka	tanaka
rise	rast
rise	uspon
rise	usponu
anglo	anglosaksonski
anglo	anglo
diasingkan	prognan
johann	johann
effect	efekt
effect	efekat
menjangkau	dostiže
menjangkau	dostigne
felix	felix
chance	šansa
pinggan	jela
kehormatan	počast
kehormatan	čast
kehormatan	časti
kehormatan	čast
senegal	senegal
hikmah	mudrost
galaxy	galaksija
phnom	phnom
biskop	biskup
parasit	paraziti
parasit	parazita
pahit	gorki
anggur	grožđe
anggur	loza
anggur	vino
mars	mars
tengkorak	lobanja
pearl	pearl
pearl	biser
darby	darby
oslo	oslo
bara	bara
bara	ember
sei	sei
mediawiki	mediawiki
urus	upravljanje
kebarangkalian	mogućnostima
kebarangkalian	mogućnosti
kebarangkalian	mogućnost
kebarangkalian	vjerovatnoća
perolehan	prihodi
perolehan	zarada
perolehan	sticanja
firdaus	eden
firdaus	raj
berenang	plivanje
berenang	plivački
berenang	plivanju
inflasi	inflacija
ghost	duh
ghost	duha
touch	dodir
hancur	razbijen
hancur	uništene
hancur	uništen
hancur	uništena
hancur	uništeni
kahwin	udaje
kahwin	udati
kahwin	vjenčanje
kahwin	vjenčanja
rpm	rpm
bear	medvjed
diundi	izglasan
diundi	glasali
diundi	glasao
rovers	rovers
reason	razum
hipotesis	hipoteza
rosa	rosa
goa	goa
keberkesanan	djelotvornost
otto	otto
penggantian	zamjene
penggantian	zamjena
maurice	maurice
subuh	dawn
subuh	zore
subuh	zora
jerry	jerry
penipuan	prevaru
penipuan	prevare
penipuan	prevara
penipuan	prijevara
penipuan	obmane
penipuan	prevara
disambungkan	povezani
disambungkan	povezana
jon	jon
sato	sato
shu	shu
devil	šejtan
farah	farah
tales	priče
rhein	rhein
insulin	inzulin
catur	šah
usb	usb
dhabi	dhabi
málaga	málaga
tergantung	zavisi
fighter	borac
menggulingkan	zbacivanja
sar	sar
teramat	izuzetno
rahib	monk
look	vidi
minami	minami
tren	trend
tren	trendova
tren	trendovi
tren	trendove
tren	trendovima
beauty	ljepota
diberitahu	obavijestila
kebersihan	higijenskih
fikir	misao
fikir	misli
fikir	misle
alba	alba
romance	romantika
mon	mon
dean	din
nancy	nancy
ari	ari
alberto	alberto
tafsir	tefsir
tafsir	tumače
ultimate	krajnji
rod	rod
tabiat	habitus
kawanan	jato
kawanan	stada
poly	poli
melodi	melodija
kent	kent
tualang	tramp
ernst	ernst
oct	oct
mogok	štrajk
pengangguran	nezaposlenost
resipi	recept
antropologi	antropologija
reich	rajh
reich	rajha
nanas	ananas
tian	tian
gerila	gerilsko
gerila	gerilska
austin	austin
austin	ostinu
princeton	princeton
zagreb	zagreb
gelung	petlja
gusi	desni
gusi	gum
peledak	detonator
musytari	jupiter
rela	voljni
rela	voljne
adrian	adrian
direct	direktni
direct	direktna
direct	direktan
sweet	slatko
herbert	herbert
bobby	bobi
bobby	bobby
bleach	bleach
queens	queens
christ	hristos
christ	hrista
samoa	samoa
taksonomi	taxonomy
become	postati
become	postanu
become	postale
become	postao
uhf	uhf
aung	aung
stock	berze
stock	dionica
stock	deonice
stock	dionice
dinamo	dinamo
dinamo	dinamo
hyundai	hyundai
jangkaan	očekivanja
rasional	racionalno
leong	leong
mir	mir
papar	show
papar	emisiju
papar	nastup
papar	šou
papar	sou
ordo	ordo
diproses	prerađena
jacob	jakov
penuntut	tužilaštvo
motivasi	motivacija
pemusnah	razarač
pat	pat
farrel	farrell
sengit	žestoki
sengit	intenzivne
sengit	intenzivan
liter	litar
liter	litara
dongeng	tale
dongeng	bajka
higher	viša
higher	višem
southampton	southampton
meta	meta
kid	mali
kid	dijete
kid	kid
badajoz	badajoz
ragu	sumnja
ragu	sumnje
ragu	sumnju
ragu	sumnjaju
singer	pjevačica
singer	pjevač
beaufort	beaufort
salerno	salerno
parent	roditelja
parent	roditelj
komitmen	opredjeljenje
komitmen	opredjeljenja
komitmen	posvećenost
komitmen	obaveza
batuk	kašlja
batuk	kašalj
cook	cook
bean	grah
raymond	raymond
dinar	dinar
dinar	dinara
nuh	nuh
nuh	nuh
masukkan	ući
pengembara	wanderer
pembuangan	otklanjanje
pembuangan	uklanjanje
eds	eds
hope	nada
hope	nade
wellington	wellington
menganggarkan	procjenjivanje
roberts	roberts
botak	bjeloglavi
botak	ćelavost
memerangi	borbeni
hermann	hermann
dengar	slušaj
yap	yap
mcdonald	mcdonald
asa	asa
celtic	celtic
ramlah	remla
terancang	organizovana
terancang	organizovane
terancang	organizovani
terancang	organizovano
terancang	organizovan
terancang	planirani
terancang	planirano
terancang	planirana
terancang	planirane
gundam	gundam
chola	chola
xiii	xiii
pampasan	kompenzacije
pampasan	kompenzaciju
pampasan	naknadu
pampasan	naknade
pit	jama
mbc	mbc
bermotor	motornog
farid	farid
batin	unutrašnji
batin	unutrašnja
memupuk	potiče
memupuk	njeguje
memupuk	odgoj
emma	ema
emma	emma
perenggan	paragraf
ekosistem	ekosistem
keyboard	tastatura
rita	rita
owned	vlasništvu
diktator	diktator
diktator	diktatori
diktator	diktatura
goal	gol
goal	cilj
stuttgart	stuttgart
satah	avion
satah	avioni
tembakau	duhan
tembakau	duhana
belarus	bjelorusija
belarus	bjeloruski
rule	pravilo
abdi	abdi
wai	wai
masam	kisela
pengilang	proizvođači
pengilang	malta
pengilang	proizvođač
ever	ikada
ever	ikad
ever	ever
yangon	yangon
swansea	swansea
virtual	virtualna
virtual	virtuelna
virtual	virtualni
gus	gus
delima	nara
gusti	hrvanje
loiret	loiret
jeti	wharf
jeti	pier
sunderland	sunderland
nguyen	nguyễn
nguyen	nguyen
banks	banke
tumor	tumor
tumor	tumori
membandingkan	poredi
floor	kata
floor	spratu
floor	poda
floor	sprat
churchill	churchill
stalin	staljin
coca	koka
coca	coca
advanced	naprednim
advanced	napredna
#ffffff	#ffffff
kesinambungan	kontinuitetu
kesinambungan	kontinuitet
norma	normi
norma	normama
norma	norma
norma	norma
norma	norme
corps	korpusa
corps	korpus
disesuaikan	prilagođena
katil	krevet
katil	postelju
katil	bed
wayne	wayne
falak	astronomija
spirit	duh
spirit	džibril
spirit	duhovi
suntikan	injekcije
suntikan	injekcijom
utiliti	komunalne
ketetapan	dekretom
ketetapan	dekret
hab	hab
hab	čvorište
sirius	sirius
dihiasi	ukrašen
penguat	finansijeri
danish	danski
kolkata	kolkata
satria	ratnik
satria	vitez
satria	skakač
satria	viteza
siklon	ciklon
venue	ming
perihal	oko
raf	raf
menguatkan	ojačati
morris	morris
spekulasi	špekulacije
spekulasi	špekulacija
spekulasi	špekulacije
quality	kvalitet
quality	kvaliteta
tadika	vrtić
ringgit	ringit
oak	hrast
sumpahan	prokletstvo
perry	perry
pembangun	graditelja
trend	trend
trend	trendova
trend	trendovi
trend	trendove
trend	trendovima
senibina	arhitektura
pasport	pasoša
pasport	pasoše
pasport	pasoš
intel	intel
penyiasat	istražitelj
jasmin	jasmin
blair	blair
kastam	carina
kastam	carinska
balkan	balkan
balkan	balkanski
balkan	balkan
balkan	balkanska
pengesanan	detekciju
pengesanan	praćenje
pengesanan	praćenja
telekom	telekom
telekom	telecom
telekom	telekom
zaid	zejd
teratai	lotus
pengulas	reviewer
pengulas	komentator
hudson	hudson
kalium	kalij
leading	vodeći
ffm	ffm
glasgow	glasgow
permit	dozvola
permit	dozvolu
permit	dozvole
permit	dozvole
cosenza	cosenza
bologna	bologna
lions	lavovi
simetri	simetrija
pemalar	konstanta
pemalar	konstantama
nasionalisme	nacionalizam
laura	laura
azam	azam
mengenalpasti	identificira
mengenalpasti	identifikuje
mengenalpasti	identifikaciji
mengenalpasti	utvrditi
matawang	valuta
hamburg	hamburg
clear	jasni
clear	jasnih
clear	jasno
clear	jasna
clear	jasan
luke	luke
luke	luk
felipe	felipe
insurans	osiguranje
insurans	osiguranja
indonesian	indonezijski
kemarau	suša
polish	poljski
leverkusen	leverkusen
course	kurs
missouri	missouri
pembubaran	raspada
bayer	bayer
sikh	sikh
ves	ves
menunjuk	ističući
menunjuk	ukazao
menunjuk	istakao
diculik	oteo
diculik	otet
diculik	kidnapovao
diculik	kidnapovan
duo	duo
elektromagnet	elektromagnetno
elektromagnet	elektromagnetne
elektromagnet	elektromagnetni
elektromagnet	elektromagnetna
campbell	campbell
premis	prostorije
premis	prostorija
premis	pretpostavka
cbs	cbs
complex	kompleksan
complex	kompleks
complex	kompleksna
spesifik	specifične
spesifik	konkretne
spesifik	specifična
egg	jaje
rusuk	rebro
esa	esa
landskap	pejzaž
rayon	rayon
bremen	bremen
banting	slam
haid	menstrualnog
haid	menstrualni
haid	menstruacija
imbuhan	afiks
imax	imax
brain	mozak
turkish	turski
justin	justin
hamad	hamada
hamad	hamad
denda	kazne
mengingatkan	podsjetio
lau	lau
nowrap	nowrap
mit	mit
perselisihan	sporova
kaabah	kaba
beracun	otrovni
beracun	otrovan
beracun	otrovni
menghina	vrijeđanje
étienne	étienne
dipertingkatkan	poboljšanje
dipertingkatkan	poboljšan
dipertingkatkan	pojačan
bodoh	fool
bodoh	fools
kansas	kansas
rotor	rotor
diamond	dijamant
penginapan	smještaja
cinematography	kinematografija
fil	fil
amri	amri
pecutan	ubrzanje
alfa	alpha
alfa	alfa
pilih	odabrao
pilih	biraju
pilih	birati
pilih	izabere
pilih	izabrao
pilih	biraju
pilih	odabir
jennifer	jennifer
famous	poznati
famous	poznata
famous	poznat
famous	poznate
famous	slavni
ring	ring
ring	prsten
gandhi	gandhi
ppp	ppp
nara	nara
adunan	kombinacija
manhattan	manhattan
mentega	tirić
mentega	putera
heroes	heroji
biasiswa	stipendije
biasiswa	stipendiju
biasiswa	stipendija
choice	izbor
aduan	pritužbi
aduan	tužba
aduan	tužbi
aduan	tužbe
oceania	okeanija
maskot	maskota
semoga	hopefully
kenneth	kenneth
election	izbori
indiana	indiana
pain	bol
latvia	latvija
latvia	letonski
mubarak	mubaraka
mubarak	mubarak
houston	houston
maryam	merjem
maryam	merjem
naskhah	rukopis
zainab	zejneb
tanzania	tanzaniji
ella	ella
ella	ela
samudera	okean
agresif	agresivno
duck	patak
duck	patka
penterjemahan	prevođenje
penterjemahan	prevode
penterjemahan	prevodilaca
agra	agra
hyde	hyde
pengorbanan	žrtvuje
gencatan	primirje
dicari	tražen
dicari	želio
soccer	nogomet
soccer	fudbal
harmoni	harmoniju
harmoni	harmonije
harmoni	harmonija
icon	ikona
membaiki	popravke
segalanya	sve
dublin	dablinu
mengejut	iznenadnu
mengejut	iznenadne
gita	gita
penyambung	connector
leonardo	leonardo
manan	manan
comic	strip
dahsyat	užasni
kepekatan	koncentracije
kepekatan	koncentracija
kepekatan	koncentraciju
qin	ćin
strong	jaka
strong	jaki
pemeliharaan	očuvanje
rob	rob
mantap	stalan
mantap	postojan
zuhal	saturn
survey	istraživanje
survey	ispitivanje
hun	hun
hun	huni
setaraf	jednako
learning	učenje
rongga	šupljina
exchange	razmjenu
exchange	razmjena
yun	yun
kee	kee
merak	paun
fukuoka	fukuoka
joshua	joshua
kehamilan	trudnoća
jessica	jessica
pendakwa	tužilac
perancang	planeri
bee	pčela
price	cijena
jungle	džungla
email	mail
email	email
pepsi	pepsi
erat	uska
nico	nico
giuseppe	giuseppe
miliknya	njena
stok	berze
stok	dionica
stok	deonice
stok	dionice
itunes	itunes
alabama	alabama
mont	mont
trust	trust
trust	povjerenje
kepupusan	izumiranje
arizona	arizona
pemanasan	zagrijava
ships	brodovi
ships	brodove
ships	brodovima
turner	turner
saitama	saitama
bruno	bruno
perunding	konsalting
perunding	konsultant
perunding	konsultanta
perunding	konsultanti
perunding	pregovarač
perunding	konzulat
perunding	konzulata
lela	lela
tebu	cane
shogun	shogun
khemah	šator
merbahaya	štetnih
merbahaya	štetan
merbahaya	štetno
merbahaya	opasnu
merbahaya	opasna
merbahaya	opasne
merbahaya	opasan
merbahaya	opasni
merbahaya	opasno
harum	mirisni
terputus	isključen
perladangan	poljoprivreda
lisbon	lisabon
officer	oficire
officer	oficir
officer	oficirom
almaty	alma
legion	legija
legion	legiji
legion	legije
cartoon	crtani
cartoon	cartoon
penguin	pingvina
penguin	pingvin
highway	autoput
larian	vođenje
marseille	marseille
barry	barry
prize	nagrada
prize	nagrade
rin	rin
pastikan	osigurati
pastikan	osigurali
pastikan	osigura
phantom	fantom
menyamai	ekvivalentni
menyamai	ekvivalent
menyamai	jednaki
menyamai	jednakih
menyamai	jednake
menyamai	jednaka
sek	sek
mitchell	mitchell
cot	cot
cooper	cooper
terry	terry
majikan	poslodavaca
majikan	poslodavaca
nové	nové
fiji	fidžijski
fiji	fidži
lingga	linga
molise	molise
proto	proto
perpuluhan	decimalna
perpuluhan	decimals
carlo	carlo
silap	krivo
silap	wrong
silap	pogrešan
silap	pogrešno
host	računar
opening	otvaranje
pengebumian	sahrane
pengebumian	ukop
pengebumian	sahrane
pengebumian	sahrane
kerakyatan	državljanstvo
pascal	pascal
kerak	kore
kerak	kora
kerak	koru
diplomat	diplomata
diplomat	diplomata
diplomat	diplomati
helen	helen
sintesis	sinteza
sintesis	sintezu
kandungannya	sadržaj
motto	moto
sewa	zaposli
sewa	najma
sewa	rent
gallen	gallen
fight	borba
dilukis	slikao
spa	banja
spa	spas
ash	pepeo
ash	ash
diperbaharui	obnovio
diperbaharui	obnovljen
diperbaharui	obnovljeni
maksima	maksimalna
maksima	maksimalni
maksima	maksimalne
maksima	maksimum
maksima	maksimalno
produce	proizvoditi
yuen	yuen
terlindung	zaštićeni
terlindung	zaštićen
terlindung	zaštićena
aci	aci
firman	firman
jajaran	poravnanja
came	došao
came	došla
amr	amr
senja	sunset
senja	sumrak
maharani	carica
gang	aleja
henri	henri
dihadkan	zabranjen
pati	suštinu
pati	suštini
pati	srž
pati	škrob
doctor	doktor
kapita	capita
kapita	stanovniku
rowling	rowling
jul	jul
murung	moody
alicante	alicante
ardabil	ardabil
xinjiang	xinjiang
kate	kate
zul	zul
kosovo	kosovo
memorandum	memorandum
julie	julie
caf	caf
shock	šok
dikuatkuasakan	sprovode
shakespeare	shakespeare
timeaxis	timeaxis
primer	primer
primer	primarna
primer	primarni
shadow	sjeni
fortune	bogatstvo
oda	oda
setapak	trag
aerial	vazdušna
husain	husain
mind	um
andalus	andalus
björk	björk
rahang	vilica
jujur	iskreno
jujur	honest
titan	titan
kudus	sveta
kudus	sveti
kudus	sveto
hana	hana
reptilia	gmizavaca
salad	salata
altitud	visini
altitud	visina
momentum	zamajac
serat	fiber
serat	vlakna
brother	brat
aisyah	aiša
grace	grace
haiti	haiti
malaria	malarija
khalil	khalil
harrison	harrison
prasejarah	prahistorija
prasejarah	prahistorijski
prasejarah	prahistorijsko
prasejarah	prahistorijska
storm	oluja
skop	opseg
care	briga
tolak	pad
tolak	odbaci
tolak	odbacuju
tolak	odbijanje
titlestyle	titlestyle
reaktor	reaktor
pendaftar	registar
pes	pes
teresa	teresa
teresa	tereza
maryland	maryland
pemantauan	praćenje
pemantauan	monitoring
wave	talas
muncung	njuška
mengasingkan	izdvoje
mengasingkan	izolacija
semut	ant
semut	ants
blu	blu
pengairan	navodnjavanje
jake	jake
yuri	jurij
lif	lift
lif	podići
lif	podigne
lif	lift
monsun	monsun
dateformat	dateformat
koir	hor
pendengaran	sluh
tobago	tobaga
perakaunan	računovodstvo
mussolini	mussolini
skuasy	squash
premium	premium
flat	ravan
flat	ravne
sai	sai
aka	zvani
storan	skladištenje
storan	skladište
berdoa	mole
uganda	ugandi
udine	udine
terasa	osjeća
turn	okrenuti
turn	pretvaranje
turn	turn
turn	pretvoriti
kerang	granate
kerang	granata
nippon	nippon
kei	kei
diskriminasi	diskriminaciju
diskriminasi	diskriminacije
diskriminasi	diskriminacija
liza	liza
kartunis	karikaturista
asti	asti
menerajui	pionirski
ofc	ofc
pluto	pluton
kings	kraljevi
getaran	tremor
getaran	vibracije
getaran	vibracije
renaissance	renesansa
kincir	vjetrenjača
joan	joan
miami	miami
skema	šeme
skema	šeme
skema	šema
skema	šeme
menyalahkan	krive
menyalahkan	okrivio
ipad	ipad
hokkaidō	hokaido
pal	pal
reggio	reggio
perisytiharan	proglas
perisytiharan	proglašenja
perisytiharan	deklaracija
perisytiharan	proglašenje
persian	perzijski
pengantar	uvođenje
pengantar	upoznavanje
darius	darije
split	splitsko
split	split
split	splitska
took	uzela
took	uzeo
adsl	adsl
nevada	nevada
diaktifkan	aktivirala
diaktifkan	aktiviran
roosevelt	roosevelt
nadia	nadia
kecantikan	ljepota
perlakuan	tretira
cakap	kažu
cakap	govoriti
cakap	govori
wehrmacht	wehrmacht
patricia	patricia
efektif	efikasan
efektif	efikasno
menghadkan	ograničava
menghadkan	ograničavanja
graduan	diplomirani
gif	gif
reina	reina
teatro	teatro
gibraltar	gibraltara
jihlava	jihlava
mengutuk	osuđuje
mengutuk	osudi
mengutuk	osuđujući
françois	françois
sul	sul
koma	koma
koma	comma
koma	commas
gilgamesh	gilgameš
pai	pita
sekata	ujednačen
propaganda	propaganda
pergaduhan	borbe
pergaduhan	borbama
pergaduhan	svađa
audit	revizija
bai	bai
anggapan	pretpostavka
benfica	benfica
nyahkekaburan	čvor
tauhid	tevhid
sega	sega
nafsu	lust
nafsu	strast
nafsu	strastima
nafsu	strasti
majmuk	množina
dipulihkan	obnovljena
koridor	koridor
taip	tip
taip	type
vientiane	vientiane
hearts	srca
hearts	srcima
broadway	broadwayu
issn	issn
watson	watson
astana	astana
ras	trkama
ras	rasa
ras	utrka
ras	utrke
ras	trka
ras	rasa
ras	ras
bmw	bmw
uthman	osman
terhingga	konačni
kekejaman	strahote
kekejaman	zločine
della	della
zim	zim
liberty	sloboda
strike	štrajk
snape	snape
komet	kometa
komet	komete
document	dokument
zaitun	maslina
apache	apache
belgrade	beograd
hawk	soko
hawk	hawk
anhalt	anhalt
runtuhan	kolapsom
runtuhan	kolapsa
runtuhan	kolaps
runtuhan	lavina
runtuhan	ruševina
runtuhan	ruševine
runtuhan	ruševinama
dalil	predlog
flower	cvijet
castellón	castellón
iana	iana
bajet	budžet
bajet	budžetima
berkomunikasi	komunikaciju
berkomunikasi	komunicira
ustring	ustring
anniversary	godišnjica
cetek	plitkih
maldives	maldivi
alignbars	alignbars
num	num
visa	vize
visa	vize
visa	viza
craig	craig
vicenza	vicenza
gelora	burnim
tommy	tommy
ditandakan	označeni
ditandakan	obilježene
ditandakan	obilježena
ditandakan	obilježio
ditandakan	obilježen
logistik	logistika
logistik	logističku
parma	parma
intelligence	inteligencija
melemahkan	oslabiti
minnesota	minnesota
pembeli	kupac
pembeli	kupcima
kwang	kwang
bombay	bombaj
bao	bao
parker	parker
walk	hod
lulusan	diplomaca
speech	govor
yam	yam
songsang	invert
songsang	reverse
boleslav	boleslav
maxwell	maxwell
aet	aet
andre	andre
kekacauan	haos
colin	colin
colin	kolin
bota	bota
pasif	pasivne
pasif	pasivno
pasif	pasivna
asma	astmu
menakluki	osvajanju
osama	osama
ertinya	znači
republikan	republikanske
republikan	republikanska
hills	brdima
hills	brda
hills	hills
universidad	universidad
edgar	edgar
ski	ski
ski	skijanje
lloyd	lloyd
pipit	vrabac
perlaksanaan	implementaciju
dipertimbangkan	smatran
larva	larva
meet	ispuniti
mun	mun
clifford	clifford
penjelajah	istraživač
penjelajah	explorer
penjelajah	istraživači
penjelajah	istraživača
komunisme	komunizam
peso	peso
munasabah	mogući
munasabah	moguće
munasabah	razumni
ukur	mjera
ukur	mjeri
irish	irski
raj	raj
ossetia	osetija
loceng	bell
haj	haj
anita	anita
wen	wen
abbey	opatija
glasier	glečeri
columbus	columbus
columbus	kolumbo
statut	statutu
joint	zajedničke
britannica	britannica
laporan}}	izvještaj}}
merit	zasluge
watanabe	watanabe
sulla	sulla
disebarkan	raspoređen
disebarkan	raspoređena
perwira	oficire
perwira	oficir
perwira	oficirom
perwira	oficiri
perwira	službenici
perwira	oficire
salem	salem
kronik	hronični
kronik	hronična
kronik	hronične
kronik	hroničnih
kronik	hroničnim
kronik	hronika
kronik	bilježe
kronik	hronika
matsui	matsui
keputusannya	odlukom
keputusannya	odluka
kill	ubiju
kill	ubistvo
kill	kill
kill	ubi
kill	ubiti
jasmani	fizički
jasmani	fizičko
jasmani	fizičke
kiamat	apokalipsa
mastif	mastiff
coffee	kahva
dokumentasi	dokumentacija
dokumentasi	dokumentaciju
diadaptasi	prilagođena
rim	obruč
terpakai	primjenjuje
benz	benz
canal	kanal
pérez	pérez
hamil	trudna
samar	samar
berkeley	berkeley
cawan	kup
bersumpah	zakleli
android	android
ambang	praga
ambang	prag
leon	lion
leon	leon
viking	viking
viking	vikinzi
diusir	protjerala
diusir	iseljeni
pablo	pablo
harold	harold
dinosaur	dinosaurusi
dinosaur	dinosaurusa
memancing	ribolov
aquila	aquila
diagnosis	dijagnostika
jamie	jamie
apulia	apulija
romeo	romeo
perkhemahan	logor
perkhemahan	camp
perkhemahan	kamp
perkhemahan	kampu
perkhemahan	logori
perkhemahan	logora
perkhemahan	logore
perkhemahan	logorima
hidden	skriven
hidden	skriveni
hidden	skrivena
esei	esej
esei	eseje
wanderers	wanderers
hobi	hobi
warni	šarena
pucat	pale
pong	pong
dikemaskini	ažurirana
circuit	kolo
kefahaman	ideale
andes	andi
kebahagiaan	sreća
wikitext	wikitext
ost	ost
kepanjangan	stoji
hokkaido	hokaido
neil	neil
neil	nil
stuart	stuart
anderlecht	anderlecht
chennai	chennai
domingo	domingo
stand	stand
stand	stoji
farmasi	pharmaceuticals
farmasi	farmaceutska
memperuntukkan	dodjelom
memperuntukkan	odvojiti
memperuntukkan	odvajaju
menyerbu	invaziju
saud	saud
rail	željeznički
que	que
nuri	nuri
kebuluran	glad
kebuluran	gladi
kebuluran	gladi
lasak	vozila
greatest	najveći
usang	prevaziđen
usang	nosio
hwang	hwang
mahdi	mehdi
mallorca	mallorca
salman	salman
barbara	barbara
marga	marga
cremona	cremona
robinson	robinson
cinderella	cinderella
okinawa	okinava
basilicata	basilicata
ihsan	ihsan
nyamuk	komarac
ritual	ritualnim
rey	rey
tandatangan	potpisa
tandatangan	znak
tandatangan	potpis
hart	hart
hart	rp
penyiar	emitera
penyiar	emiter
charge	optužba
charge	naboj
berprestij	prestižnom
monitor	monitor
monitor	monitora
monitor	monitoru
monitor	posmatrači
monitor	posmatrača
dai	dai
kegelapan	tami
kegelapan	tama
kegelapan	tame
terhenti	prestala
terhenti	zaustavljen
sperma	sperma
sperma	spermatozoida
sperma	spermatozoidi
takrif	definisati
takrif	definisanje
turbo	turbo
frigat	fregata
alkali	alkalni
interwiki	interwiki
natvar	natvar
upahan	plaćenika
penjahat	zločinaca
kriket	kriket
zodiak	zodijak
rwy	rwy
hopkins	hopkins
albion	albion
benci	mržnja
