ब्रह्मचर्य	純潔
झुंड	群れ
घुड़सवार	馬術
प्रसाधन	トイレ
प्रसाधन	便器
प्रसाधन	リソース
प्रसाधन	資源
ईमानदार	正直
जोस	ホセ
जोस	ホセ
मल्टी	マルチ
चंदन	香木
चंदन	サンダル
अंकीय	ディジット
अंकीय	numeric
असेम्बली	アセンブリ
असेम्बली	集会
असेम्बली	組み立て
भिक्षुओं	僧侶
लड़ी	スレッド
चांसलर	宰相
अहसास	気分
अहसास	フィーリング
किपलिंग	kipling
तैमूर	ティムール
तबाह	廃墟
तबाह	遺跡
योद्धाओं	戦士
योद्धाओं	ウォリアーズ
कलाकृति	名作
कलाकृति	傑作
नाइजीरिया	ナイジェリア
मिसिसिपी	ミシシッピ
थ्रिलर	スリラー
अंतरजाल	インターネット
रहो	滞在
रहो	ステイ
ट्रैकिंग	トラッキング
अब्बास	アッバース
गिद्ध	ハゲワシ
पोस्टर	ポスター
पोस्टर	ポスター
वंशजों	子孫
वंशजों	後裔
वंशजों	末裔
रंजक	顔料
उंगलियों	指先
चॉकलेट	チョコレート
राइफल	小銃
राइफल	ライフル
मेक	メイク
मेक	make
बल्ले	bat
बल्ले	コウモリ
बल्ले	バット
स्थलाकृति	地形
स्थलाकृति	地誌
उछाल	バウンス
सुन्दरता	美容
सर्वनाम	代名詞
शेल	シェル
शेल	シェル
शेल	貝殻
सू	スー
सू	スー
रसोई	キッチン
रसोई	台所
वाक	音声
वाक	スピーチ
चिकित्सालय	病院
चट्टानें	岩石
चट्टानें	ロックス
चतुर	賢い
खानपान	ケータリング
अस्वीकृत	辞退
अस्वीकृत	不参加
अस्वीकृत	却下
अस्वीकृत	拒否
सजातीय	均質
परिवर्तक	チェンジャー
परिवर्तक	コンバータ
किराया	料金
किराया	運賃
किराया	レンタル
किराया	家賃
किराया	借りる
किराया	レント
खिलौने	おもちゃ
खिलौने	オモチャ
खिलौने	玩具
महीना	月間
रिपोर्टिंग	レポート
रिपोर्टिंग	報告
नैनो	ナノ
नैनो	nano
नमकीन	塩辛い
पंद्रहवीं	fifteenth
प्लेग	疫病
प्लेग	ペスト
अज्ञान	無知
आर्द्र	湿度
हेल	ヘル
परी	フェアリー
परी	妖精
परी	エンジェル
परी	天使
कीचड़	マッド
स्नायु	靭帯
छुपा	隠し
छुपा	ヒデ
छुपा	隠す
डिफ़ॉल्ट	デフォルト
ड्राफ्ट	ドラフト
ड्राफ्ट	下書き
राइस	ご飯
राइस	ライス
रेफरी	審判員
ताज़ा	フレッシュ
ताज़ा	爽やか
ताज़ा	リフレッシュ
उपेक्षित	無視
ज़िंदगी	生活
ज़िंदगी	生命
ज़िंदगी	人生
ज़िंदगी	ライフ
पेशेवरों	プロフェッショナル
धूमकेतु	彗星
कॉनकॉर्ड	コンコルド
मिश्रधातु	合金
आइटम	アイテム
आइटम	品物
आइटम	アイテム
आइटम	品物
क्षणिक	transient
क्षणिक	刹那
दुर्गम	せつ
जीमेल	gmail
फॉर्मेट	フォーマット
फॉर्मेट	書式
फेस	フェイス
कस्तूरी	ジャコウ
पांव	フィート
पांव	両足
झगड़ा	けんか
मीट्रिक	メトリック
मीट्रिक	指標
मीट्रिक	メートル法
बांग्लादेशी	バングラデシュ
बांग्लादेशी	バングラデシュ
डिज़ाइनर	デザイナー
क्रीड़ा	スポーツ
एकाग्रता	濃度
ईकाई	単位
ईकाई	ユニット
संभाव्यता	確率
दंगे	暴動
मेरिल	メリル
स्तनधारियों	哺乳類
संकेतक	カーソル
संकेतक	ポインタ
संकेतक	ポインター
संकेतक	ポインタ
बेंज	ベンツ
तंजानिया	タンザニア
गोल्डबर्ग	ゴールドバーグ
एडी	エディー
एडी	エディ
एडी	アディ
नहरों	運河
नहरों	運河
पिस्तौल	ピストル
विभेदन	解像度
गुफाएं	洞窟
उज़्बेकिस्तान	ウズベキスタン
सीरियल	ナイジェリア
सीरियल	シリアル
सीरियल	アルジェリア
रिवर्स	リバース
कार्यपालिका	エグゼクティブ
कास्ट	出演
कास्ट	キャスト
कास्ट	ギプス
झटका	ショック
झटका	衝撃
झटका	ジョルト
कैदी	捕虜
कैदी	囚人
कैदी	囚人
साओ	sao
विंडो	ウィンドウ
कैश	キャッシュ
केंट	ケント
लोधी	ローディ
इराकी	イラク
इराकी	イラク
अराजकता	カオス
अराजकता	混沌
मेटा	メタ
आजीविका	経歴
आजीविका	キャリア
आजीविका	生計
फायदे	プロス
फायदे	福利
गूढ़	難解
नवीकरण	リフォーム
नवीकरण	リニューアル
नाममात्र	名目
मल्टीमीडिया	マルチメディア
ग्लेशियर	氷河
निरोध	コンドーム
प्रतिबंधों	制裁
मैराथन	マラソン
पोटेशियम	カリウム
झाड़ी	低木
डेविल	悪魔
अधूरा	未完成
स्क्रीनिंग	選考
स्क्रीनिंग	スクリーニング
युवती	乙女
सर्वसम्मति	合意
टर्बाइन	タービン
कार्यशील	走る
कार्यशील	ランニング
किंवदंती	伝説
छलांग	飛躍
लाओस	ラオス
साइप्रस	キプロス
स्वायत्तता	自治
गाढ़ा	太字
गाढ़ा	ボールド
पित्ताशय	胆嚢
एंथोनी	アンソニー
बीयर	ビール
ड्राइविंग	運転
वेनेजुएला	ベネズエラ
जीनों	遺伝子
बोनस	ボーナス
थाना	刑務所
थाना	監獄
झूठे	ライアー
पिक्सेल	ピクセル
पिक्सेल	ピクセル
लॉयड	ロイド
ब्रेट	ブレット
हीट	ヒート
वायसराय	総督
सुनहरा	ゴールデン
सुनहरा	黄金
सुनहरा	gold
सुनहरा	ゴールド
अंपायर	審判員
नमाज़	サラート
नमाज़	祈り
नमाज़	礼拝
नमाज़	祈祷
शौचालय	トイレ
शौचालय	便器
पर्सनल	パーソナル
पर्सनल	個人
पहिया	ホイール
पहिया	車輪
पहिया	タイヤ
लोकल	ローカル
लोकल	地元
पुनरुद्धार	修復
पुनरुद्धार	復元
पुनरुद्धार	維新
पुनरुद्धार	リバイバル
मस्जिदों	モスク
मस्जिदों	モスク
शाहरुख	srk
डेयरी	酪農
प्रतिरूपण	クローニング
बाय	バイ
जावास्क्रिप्ट	javascript
छू	タッチ
छू	touch
छू	触る
हाइकु	俳句
ट्रेक	トレック
ट्रेक	トレッキング
जेफ	ジェフ
मददगार	ヘルパー
मद	アイテム
मद	品物
मद	アイテム
मद	品物
मिशनरी	宣教師
बियोवुल्फ़	beowulf
पिताजी	ダディ
संधारित्र	コンデンサ
सबवे	地下鉄
वू	ウー
पुनर्जन्म	転生
पर्यायवाची	同義語
पर्यायवाची	類義語
रनर	ランナー
क्रोएशिया	クロアチア
आरा	ara
सेटिंग	セッティング
सेटिंग	セッティング
सेटिंग	設定
नीरो	nero
ग्लासगो	グラスゴー
आंखें	アイズ
परिसंचरण	循環
परिसंचरण	循環
ताश	カード
प्रेषण	伝送
प्रेषण	派遣
प्रेषण	発送
सारनाथ	サールナート
एमिली	エミリー
शील	cob
पोलियो	ポリオ
लिथियम	リチウム
बॉयल	ボイル
पालक	ほうれん草
फैमिली	家族
बॉक्सिंग	ボクシング
हिरन	シカ
चैपल	チャペル
होंडा	本多
होंडा	ホンダ
होंडा	本田
अभिभावक	両親
अभिभावक	保護者
फ्लैट	フラット
बौद्धों	仏教徒
टेन	タン
टेन	テン
टेन	ten
शील्ड	シールド
चीड़	マツ
चीड़	パイン
आइवी	ツタ
आइवी	アイビー
गार्डनर	ガードナー
तोड़कर	速報
हस्तशिल्प	手芸
चुंबक	磁石
चुंबक	マグネット
मॉन्ट्रियल	モントリオール
हेलो	こんにちは
हेलो	ハロー
हेलो	halo
कोका	コカイン
कोका	コカ
रॉड	ロッド
निरस्त	取り消し
निरस्त	キャンセル
निरस्त	取り消す
बुद्धिमत्ता	知能
बुद्धिमत्ता	知恵
नर्स	ナース
उठती	ライジング
उठती	rising
इकट्ठे	集まる
इकट्ठे	組み立てる
मुड़	ツイスト
ब्रोमाइड	臭化物
पकड़कर	持株
जया	ジャヤ
नार्वे	ノルウェー
धैर्य	我慢
धैर्य	忍耐
धैर्य	根気
धैर्य	持久力
फट	バースト
फट	爆裂
उत्पादकों	プロデューサー
महत्वाकांक्षी	野心
त्रिनिदाद	トリニダード
मौतों	訃報
निराकरण	解決
निराकरण	解消
कोल्ड	風邪
कोल्ड	コールド
कोल्ड	冷たい
कोल्ड	寒い
ज़ांज़ीबार	ザンジバル
कै	kai
कै	カイ
प्रकार्य	機能
प्रकार्य	関数
शरणार्थी	難民
शरणार्थी	難民
गुंजाइश	範囲
गुंजाइश	スコープ
धीमे	遅い
धीमे	スロー
धीमे	ゆっくり
धीमे	ゆっくりと
दानों	発疹
समोआ	サモア
लोदी	ローディ
सममिति	対称
अनमोल	尊い
अनमोल	precious
अनमोल	貴重
कक्षों	チェンバーズ
कक्षों	チェンバース
स्पार्टा	スパルタ
रिमोट	リモート
अनियंत्रित	横行
आत्माओं	精神
आत्माओं	スピリット
आत्माओं	スピリッツ
खुशबू	香り
खुशबू	アロマ
कस्बों	タウンズ
इनाम	懸賞
इनाम	賞品
जिन्दगी	生活
जिन्दगी	生命
जिन्दगी	人生
जिन्दगी	ライフ
गरमी	ヒート
नोड	ノード
नोड	ノード
पूर्वाग्रह	バイアス
पूर्वाग्रह	害する
पूर्वाग्रह	偏見
पूर्वाग्रह	先入観
जैकेट	ジャケット
आयतें	十戒
उत्सुक	好奇心
उत्सुक	興味津々
परीक्षक	チェッカー
परीक्षक	テスター
प्रिंटिंग	印刷
टैबलेट	錠剤
टैबलेट	タブレット
चैरिटी	チャリティー
चैरिटी	チャリティ
टैंगो	タンゴ
टैंगो	丹後
न्यूकैसल	ニューカッスル
केट	kate
केट	ケイト
पांचवां	フィフス
प्रयोगकर्ता	ユーザー
प्रयोगकर्ता	ユーザ
अनैतिक	不道徳
रोनाल्ड	ロナルド
कटु	苦い
कटु	ビター
ब्रेकिंग	速報
मोनिका	モニカ
मोनिका	モニカ
ग्रेस	恩寵
ग्रेस	グレース
ग्रेस	グレイス
चोटों	怪我
मैजिक	magic
मैजिक	魔法
मैजिक	マジック
भुट्टो	ブットー
रॉकी	ロッキー
चुम्बक	磁石
चुम्बक	マグネット
रयान	ライアン
एडिडास	アディダス
फास्फोरस	リン
एथलेटिक	アスレチック
नेविगेशन	航法
नेविगेशन	ナビゲーション
शिश्न	陰茎
शिश्न	ペニス
अधूरी	未完成
फ़ौज	アーミー
फ़ौज	軍隊
फ़ौज	陸軍
पागलपन	狂気
रोमांच	スリル
बर्बर	野蛮
सूख	辛口
सूख	ドライ
सूख	乾燥
दिग्गज	巨人
दिग्गज	ジャイアンツ
दिग्गज	退役軍人
इजाजत	許可
इजाजत	許諾
सगाई	婚約
सगाई	婚約
अन्तराल	間隔
अटलांटा	アトランタ
मैडिसन	マディソン
मृदु	メロウ
मृदु	メロー
पैराशूट	パラシュート
अविवाहित	未婚
खरगोश	ウサギ
खरगोश	ウサギ
खरगोश	うさぎ
मेज़बान	ホスト
मेज़बान	主催
तकलीफ	遭難
तकलीफ	不運
मृतक	故人
कैट	ネコ
कैट	ねこ
वीरों	ヒーローズ
वीरों	heroes
लिफ्ट	エレベーター
लिफ्ट	リフト
लिफ्ट	エレベーター
गाँठ	嚢胞
सिंथेटिक	合成
समझौतों	協定
बैरल	バレル
खुजली	かゆい
मूर्ख	愚か者
मूर्ख	フール
मूर्ख	バカ
बीम	ビーム
कोडिंग	コーディング
इम्पीरियल	インペリアル
वहा	そこ
घोषणापत्र	マニフェスト
रेट	レート
रेट	評価
सत्रह	seventeen
सोया	soy
सोया	醤油
मक्खी	fly
मक्खी	ハエ
मक्खी	フライ
मक्खी	飛ぶ
कॉन्सर्ट	コンサート
कॉन्सर्ट	コンサート
छायांकन	シェーディング
छायांकन	撮影
छायांकन	写真
छायांकन	保存
कॉर्नेल	コーネル
वानिकी	林業
वानिकी	農林
टेनेसी	テネシー
नजारा	風景
नजारा	景色
मधुमक्खी	ビー
टिप्पणियां	コメント
गोआ	ゴア
प्रलेखन	ドキュメント
प्रलेखन	ドキュメンテーション
संकेतन	表記
संकेतन	記法
घटी	減らす
पक्षपात	差別
इजरायल	イスラエル
गेंदबाज़ी	ボウリング
गेंदबाज़ी	ボーリング
आबू	アブー
अनुरक्षण	エスコート
अनुरक्षण	護送
डीलर	ディーラー
मीठी	スウィート
मीठी	甘い
मीठी	甘味
ब्रॉडवे	ブロードウェイ
जिगर	レバー
जिगर	肝臓
अंगोला	アンゴラ
अंगोला	モンゴル
एक्सटेंशन	拡張
एक्सटेंशन	延長
एक्सटेंशन	内線
गोथिक	ゴシック
ऐंठन	痙攣
ऐंठन	けいれん
बहुपद	多項式
केसर	サフラン
दस्ते	分隊
आयोडीन	ヨード
परावर्तन	反映
परावर्तन	反射
परावर्तन	リフレクション
छानबीन	調査
छानबीन	捜査
छानबीन	探検
कामुक	ムラムラ
कामुक	角質
नीतियां	ポリシー
नीतियां	施策
नीतियां	方針
लेस	les
विन्स	勝利
मॉरिस	モーリス
मॉरिस	モリス
नारे	スローガン
त्रासदी	悲劇
सीन	現場
सीन	シーン
सीन	場面
कैफे	カフェイン
नींबू	レモン
ओपल	オパール
हडसन	ハドソン
धावक	ランナー
धावक	ランナー
मार्क्सवाद	マルクス主義
लद्दाख	ラダック
बर्न	ベルン
बर्न	焼き
बर्न	火傷
बर्न	やけど
बर्न	burn
इंडेक्स	索引
इंडेक्स	インデックス
तेंदुआ	ヒョウ
अनुशंसा	おすすめ
अनुशंसा	すすめる
अनुशंसा	薦める
अनुशंसा	おすすめ
अनुशंसा	推薦
डिक	ディック
निरर्थक	null
निरर्थक	ヌル
अमान्य	無効
होड़	ラッシュ
कतार	キュー
देयता	責任
शकीरा	シャキーラ
अमेज़न	amazon
अमेज़न	アマゾン
निजाम	ニザーム
एसएमएस	sms
वैंकूवर	バンクーバー
खेलकूद	スポーツ
प्यास	渇き
मार्टिना	マルティナ
अत्याधुनिक	未来
दृष्टांत	インスタンス
पीलिया	黄疸
कीथ	キース
प्रकाशिकी	光学
छुट्टियों	祝日
छुट्टियों	休日
तीर्थों	巡礼
किंडरगार्टन	幼稚園
जबतक	until
जबतक	まで
डेटिंग	デート
डेटिंग	出会い
डेटिंग	交際
कमरा	部屋
कमरा	ルーム
माइनर	マイナー
गड्ढे	ピット
कपडे	被服
कपडे	被服
कपडे	洋服
सोयाबीन	大豆
एनबीए	nbc
एनबीए	nba
असत्य	unreal
चर्चिल	チャーチル
सन्यास	放棄
खजाना	大当たり
खजाना	宝物
खजाना	財宝
आइंस्टीन	アインシュタイン
सुझाया	おすすめ
निर्वासन	exile
निर्वासन	流罪
निर्वासन	亡命
नोटिस	告示
नोटिस	通知
नोटिस	告知
महोदय	サー
सीनेटर	議員
दलाल	ブローカー
आईपीएल	ipl
उदारता	寛大
स्पिरिट	スピリッツ
स्पिरिट	精神
स्पिरिट	スピリット
पार्कर	パーカー
मेलों	縁日
बारबरा	バーバラ
एटीएम	atm
प्रवचन	談話
प्रायोजन	スポンサー
ड्राइंग	図面
ड्राइंग	描画
ड्राइंग	ドローイング
चुप	サイレント
चुप	無音
दिवालिया	破産
दिवालिया	破産
दिवालिया	倒産
द्रुत	快速
ज़िम्मेदारी	責任
ज़िम्मेदारी	責務
सावन	モンスーン
छोड़ो	辞める
छोड़ो	終了
स्क्वाड्रन	戦隊
यूनानियों	ギリシャ
वाचक	話者
सौम्य	穏やか
सौम्य	優しい
मालदीव	モルディブ
डिस्कवरी	ディスカバリー
डिस्कवरी	発見
सत्यापित	認証
सत्यापित	認定
सत्यापित	認証
सत्यापित	検証
बाइक	バイク
बाइक	自転車
बाइक	バイク
बाइक	自転車
राबर्ट	ロベルト
राबर्ट	ロベール
राबर्ट	ロバート
डीज़ल	ディーゼル
बाज़ारों	マーケット
फिशर	フィッシャー
सदाचार	美徳
गुस्सा	怒り
गुस्सा	怒り
यूरिया	尿素
सीढ़ियों	階段
रस्म	セレモニー
रस्म	儀式
रस्म	式典
मऊ	mau
खरीदे	購入
त्वरक	加速器
पहलवानों	レスラー
घाना	ガーナ
कैप	cap
कैप	キャップ
जनम	誕生
क्रोम	クローム
क्रोम	クロム
रोनाल्डो	ロナウド
ऑफ़िस	事務局
ऑफ़िस	事務所
ऑफ़िस	オフィス
तुर्कों	トルコ
तुर्कों	七面鳥
प्लेस्टेशन	playstation
सहकर्मी	同僚
सहकर्मी	同僚
माइक्रोसॉफ़्ट	microsoft
ट्रिगर	引き金
ट्रिगर	トリガー
हत्यारे	暗殺
हत्यारे	キラーズ
विनम्र	謙虚
विनम्र	丁寧
ध्वनिक	アコースティック
एडगर	エドガー
मशीनरी	機械
इलेक्ट्रानिक	エレクトロニック
मिनियापोलिस	ミネアポリス
डायना	ダイアナ
टॉमी	トミー
मिल्क	牛乳
मिल्क	ミルク
नामी	ナミ
व्हील	ホイール
व्हील	車輪
ग्रेनाइट	花崗岩
माथे	おでこ
पत्ता	葉っぱ
इस्तांबुल	イスタンブール
जार	jar
लैरी	ラリー
सिंडरेला	シンデレラ
अफीम	アヘン
स्वीट	スウィート
स्वीट	甘い
बागान	プランテーション
खूनी	ブラッディ
नफरत	憎悪
नफरत	嫌い
नफरत	憎しみ
त्रैमासिक	四半期
एंटोनियो	アントニオ
नाई	理容師
नाई	床屋
लम्बवत	垂直
दाह	ダー
हलचल	攪拌
ऑडिशन	オーディション
मेसोपोटामिया	メソポタミア
सिलाई	裁縫
सिलाई	縫製
सिलाई	スティッチ
सज्जन	紳士
सज्जन	ジェントルマン
असहमति	不一致
ताई	タイ
कार्सिनोमा	癌腫
हिप्पोकैम्पस	海馬
ब्लैकबेरी	blackberry
खरपतवार	雑草
लैन	カウンティ
परिहार	回避
कारा	カラ
कारा	キャラ
दोलन	振動
अव्यवस्था	カオス
अव्यवस्था	混沌
कोको	ココ
कोको	ココ
निवारक	予防
मदीना	マディーナ
मदीना	マディーナ
गोरी	ゴリ
हटाएँ	削除
हटाएँ	取り除く
हटाएँ	削除
खमीर	酵母
विच्छेद	解散
नाच	ダンス
बाल्टीमोर	ボルチモア
लचीलापन	柔軟
लचीलापन	柔軟性
कलेक्टर	コレクター
चित्रकारों	絵画
शैलियाँ	スタイル
शैलियाँ	ジャンル
मिडिया	メディア
केयर	ケア
केयर	介護
कर्ट	クルト
छतरी	アンブレラ
भा	bha
मजिस्ट्रेट	奉行
फीस	手数料
कतर	カタール
लकी	ラッキー
जाम	ジャム
रैम	ラム
रैम	ram
अभिनेत्रियों	女優
वांछनीय	望ましい
मकानों	家屋
फ़िल्टर	フィルタ
फ़िल्टर	フィルター
फ़िल्टर	フィルタ
फ़िल्टर	フィルター
कीड़ों	ミミズ
स्कैनर	スキャナー
स्कैनर	スキャナ
प्रतिशोध	復讐
प्रतिशोध	報復
पार्किंग	駐車
नशा	ドープ
लचीला	フレキシブル
सफ़ाई	クリーニング
सफ़ाई	洗浄
सफ़ाई	清掃
सफ़ाई	掃除
कोलेजन	コラーゲン
प्रोपेन	プロパン
कार्यस्थल	職場
कार्यस्थल	workplace
नर्सरी	保育園
पर्दा	カーテン
बाट	バーツ
टच	タッチ
टच	touch
टच	触る
तोपों	大砲
सिल्क	シルク
झूठा	ライアー
अक्षमता	障害
ईगल	ワシ
ईगल	イーグル
वारंटी	担保
वारंटी	保証
वारंटी	保証書
होमर	ホーマー
मुबारक	ハッピー
मुबारक	幸せ
एकांत	孤独
विंड	wind
आश्वस्त	自信
आकृतियाँ	形状
आकृतियाँ	シェイプ
सुलतान	スルタン
सुलतान	スルターン
लोपेज़	ロペス
लोपेज़	ロペス
पशुधन	家畜
आदी	中毒
लार्वा	幼生
बहरीन	バーレーン
गाजर	ニンジン
गाजर	人参
गाजर	にんじん
गाजर	にんじん
गाजर	ニンジン
उरुग्वे	ウルグアイ
न्यायशास्त्र	法学
निराशाजनक	がっかり
ट्रिनिटी	三位一体
हैट	ハット
हैट	帽子
चाइल्ड	子供
चाइल्ड	児童
शीला	シェイラ
चमगादड़	bat
चमगादड़	コウモリ
चमगादड़	バット
प्रस्तावक	ムーバー
ची	chi
मंचूरिया	満州
तेजस्वी	見事
प्रोग्रामर	プログラマ
प्रोग्रामर	プログラマー
हूवर	フーヴァー
मसौदा	ドラフト
मसौदा	下書き
मसौदा	下書き
हेयर	ヘアー
हेयर	髪の毛
हेयर	ヘア
हेयर	毛髪
जुआन	フアン
बर्ताव	行動
बर्ताव	挙動
बर्ताव	行動
बर्ताव	挙動
चन्दन	サンダル
होप	ホープ
होप	希望
स्काइप	skype
गलियों	ストリート
गलियों	車線
शरणार्थियों	難民
शस्त्रों	武器
शस्त्रों	凶器
हस्ती	セレブリティ
हस्ती	有名人
प्राधिकार	当局
प्राधिकार	権威
प्राधिकार	権限
प्राधिकार	職権
माइकल्स	マイケルズ
रोज़गार	雇用
युनुस	ユーヌス
मोंटे	モンテ
अंसारी	ansari
सलाम	サラーム
सलाम	ピース
सलाम	平和
सलाम	敬礼
सलाम	サラム
टॉड	キノピオ
टॉड	ヒキガエル
टॉड	トッド
मरियम	メアリ
मरियम	メアリー
मरियम	マリアム
मरियम	マルヤム
ओहियो	オハイオ
उंगली	フィンガー
पलक	まぶた
डब्ल्यूडब्ल्यूई	wwe
लिथुआनिया	リトアニア
शहीदों	殉教
फ्लेमिंग	フレミング
मेट्रिक्स	メトリック
मेट्रिक्स	指標
मेट्रिक्स	行列
मेट्रिक्स	マトリックス
कार्यशाला	ワークショップ
कार्यशाला	作業場
मैक्सवेल	マックスウェル
मैक्सवेल	マクスウェル
कॉर्न	コーン
कॉर्न	トウモロコシ
कॉर्न	とうもろこし
कॉर्न	korn
बकिंघम	バッキンガム
मापक	ルーラー
मापक	定規
मापक	スケール
मापक	縮尺
मापक	目盛
यातना	ドゥーム
अनाथ	孤児
अनाथ	孤児
अनाथ	孤児
