フランチェスコ	francesco
流す	flush
流す	spola
流す	spolar
流派	skolor
流派	skolorna
エステル	ester
エステル	estelle
ラルフ	ralf
ラルフ	ralph
ノーマル	normalt
ノーマル	normala
ノーマル	normal
布施	säkring
布施	stubin
インタフェース	gränssnitt
インタフェース	gränssnittet
インタフェース	gränssnitt
遺物	artefakt
遺物	reliker
ナチュラル	naturlig
ナチュラル	naturliga
ナチュラル	natural
ナチュラル	naturligt
ボヘミア	böhmen
紡績	spinning
紡績	snurra
紡績	snurrar
ディアス	díaz
ディアス	díaz
ディアス	diaz
チャイナ	china
チャイナ	kina
こだわり	fixering
こだわり	besatthet
ディフェンダー	försvarare
入国	invandring
入国	immigration
入国	migrationsverket
ラード	ister
代理人	ombud
代理人	företrädare
代理人	representativ
代理人	representativt
代理人	representant
代理人	ombud
代理人	agent
レンツ	lenz
売春	prostitution
不全	insufficiens
ドリル	övning
ドリル	borr
ドリル	drill
ドリル	borra
話し合い	diskussioner
話し合い	diskussion
喫茶店	tehuset
スターリング	sterling
スターリング	stirling
ヘルシンキ	helsingfors
アーノルド	arnold
ハノーファー	hannover
ハノーファー	hannover
製造業	tillverkning
製造業	tillverkning
製造業	tillverkningsindustrin
製造業	tillverkningsindustri
製造業	tillverkar
宣告	domen
宣告	meningen
宣告	mening
マフィア	maffia
マフィア	maffian
ルビ	ruby
山根	yamane
金髪	blonda
金髪	blondiner
金髪	blondin
金髪	blonde
金髪	blont
金髪	blonda
金髪	blond
金髪	blonda
金髪	blont
金髪	blond
ヴィオラ	viola
不幸	olyckliga
不幸	olycklig
不幸	missnöjd
胞子	sporer
胞子	spor
開花	blommande
開花	blommar
開花	blommande
ジュール	jules
ジュール	joule
ジュール	joule
反動	reaktionära
賀茂	kamo
ナミ	nami
回帰	tillbakagång
回帰	regression
アンカー	förankra
アンカー	förankring
アンカー	förankra
アンカー	förankring
アンカー	ankare
アンカー	ankare
ネバダ	nevada
溶接	svetsade
溶接	svetsning
ビクトリア	victoria
給付	nytta
環礁	atoll
手動	manuell
手動	manual
手動	handbok
手動	manuellt
手動	manuellt
マキシ	maxi
パルス	pulsen
パルス	puls
レオナルド	leonardo
許諾	auktorisation
許諾	tillåtelse
許諾	behörighet
許諾	tillstånd
まゆ	ögonbryn
カオス	kaos
カオス	kaoset
マネージメント	management
マネージメント	ledning
マネージメント	hantering
マネージメント	förvaltning
ハングル	hangul
セクシー	sexy
セクシー	sexig
セクシー	sexiga
発光	lysande
発光	lyser
発光	glödande
ちび	tiny
ちび	liten
ダウ	dow
リッチモンド	richmond
注ぐ	häll
注ぐ	hälla
注ぐ	gjuta
注ぐ	häller
海岸線	strandkanten
海岸線	kustlinje
カーネル	kärnan
カーネル	kärna
カーネル	kärnor
電線	kabel
電線	cable
電線	kabeln
スペンサー	spencer
居酒屋	krog
居酒屋	värdshus
ギルバート	gilbert
興奮	spänning
興奮	upphetsning
興奮	upphetsad
モータースポーツ	motorsport
モータースポーツ	motorsports
台地	platå
パルマ	palma
パルマ	parma
日数	dagarna
日数	dagar
日数	days
再戦	returmatch
機密	tystnadsplikt
機密	sekretess
機密	konfidentiellt
未遂	försökt
クライアント	klienten
クライアント	kunden
クライアント	klient
クライアント	kund
クライアント	klienterna
クライアント	klienter
クライアント	kunder
掃除	städning
掃除	rensning
掃除	städar
掃除	rengöring
微生物	mikroorganismer
ウシ	nötboskap
ウシ	nötkreatur
ウシ	boskap
ソマリア	somalia
穀物	säd
穀物	spannmål
パオ	pao
音色	tonerna
音色	toner
抜粋	utdrag
スカイライン	skyline
鉱石	malm
保育園	förskola
シンポジウム	symposium
美香	mika
ブランデンブルク	brandenburg
エドガー	edgar
ローラー	roller
下線	underströk
下線	understryker
下線	understryka
下線	betona
下線	understryka
トラスト	tillit
トラスト	trust
トラスト	förtroende
エリカ	erika
フラット	platt
フラット	platta
フラット	lägenhet
フラット	flat
カバ	flodhäst
カバ	flodhäst
ジョーカー	joker
ジョーカー	jokern
受け入れる	accepterar
受け入れる	godta
受け入れる	acceptera
迫撃砲	murbruk
迫撃砲	granatkastare
補助金	subventioner
補助金	bidrag
補助金	subventionerade
シェフ	kock
シェフ	kocken
スクープ	scoop
歯車	växel
歯車	redskap
歯車	gear
大当たり	jackpot
俊夫	toshio
グレッグ	greg
パスワード	lösenord
パスワード	lösenordet
パスワード	lösenord
メカニック	mekaniker
申告	deklarera
申告	deklarerar
申告	förklaring
申告	deklarationen
申告	försäkran
申告	deklaration
赤ちゃん	bebis
赤ちゃん	älskling
赤ちゃん	spädbarn
細分	indelning
細分	underavdelning
壱岐	iki
スクロール	rullning
スクロール	rullande
スクロール	bläddra
スクロール	rulla
会う	träffas
会う	mötas
会う	möt
会う	möts
会う	träffa
弾頭	stridsspets
セクター	sektor
セクター	sektorn
セクター	branscher
セクター	sektorer
濃い	starkt
濃い	strong
濃い	starka
濃い	stark
減らす	sänkning
減らす	minska
減らす	minskning
減らす	förminska
減らす	minska
減らす	reducera
ショパン	chopin
トロンボーン	trombon
ネック	hals
ネック	nacken
ネック	nacke
ストライキ	strike
ストライキ	strejk
最低限	minimalt
最低限	minst
最低限	minimum
最低限	minsta
スクランブル	scramble
レター	brev
レター	bokstav
レター	skrivelse
回廊	cloister
回廊	korridoren
回廊	korridor
プレゼン	presentation
プレゼン	uppvisande
プレゼン	presenterar
プレゼン	presentationer
知行	förläning
モスク	moskéer
モスク	moské
モスク	moskén
ルーカス	lucas
ルーカス	lukas
プライド	högmod
プライド	stolthet
プライド	pride
清算	likvidation
清算	avveckling
テロリスト	terrorister
テロリスト	terrorist
テロリスト	terroristen
テロリスト	terrorister
バーンズ	barnes
バーンズ	brännskador
バーンズ	burns
バーンズ	brinner
バーンズ	bränner
管理人	admin
管理人	administratör
管理人	administratörer
管理人	handläggare
管理人	administratörer
管理人	förvaltaren
管理人	administratör
管理人	handläggare
持ち込み	bära
持ち込み	bär
サンガ	sanga
コスチューム	dräkt
コスチューム	kostym
コスチューム	kostymer
コスチューム	dräkter
カージナルス	kardinaler
美智子	michiko
波動	våg
波動	vinka
波動	wave
エアバス	airbus
スペック	speck
スペック	specifikationer
スペック	spec
ボリス	boris
サンバ	samba
原告	käranden
原告	sökande
原告	käranden
地主	hyresvärd
チキン	höna
チキン	kyckling
インデックス	förteckning
インデックス	index
インデックス	index
インデックス	förteckningar
中道	måttliga
中道	måttligt
中道	moderata
中道	måttlig
中道	moderat
頼朝	yoritomo
ピックアップ	pickup
コールド	kallt
コールド	förkylning
コールド	kall
コールド	cold
コールド	kyla
プライス	pris
プライス	price
プライス	priset
ハロルド	harold
待遇	behandling
待遇	behandlingen
北極	arktis
北極	arktiska
フレンチ	fransk
フレンチ	franska
フレンチ	franskt
フレンチ	fransmän
すごい	grymt
すごい	häftig
すごい	häftigt
すごい	grym
すごい	otroligt
すごい	fantastiskt
すごい	amazing
すごい	fantastiska
すごい	fantastisk
吹雪	snöstorm
吹雪	snöstorm
ライプツィヒ	leipzig
アダムズ	adams
ジュース	juice
ジュース	saft
ジュース	juicer
ゴルファー	golfare
ルージュ	rouge
従兄弟	kusinen
従兄弟	kusin
用心棒	dörrvakt
ギルド	gille
ニュルンベルク	nürnberg
ブラザー	broder
ブラザー	bror
チューリッヒ	zürich
チューリッヒ	zürich
内線	förlängning
内線	utökning
内線	utbyggnad
内線	utvidgning
ルクス	lux
ステッカー	klistermärken
ステッカー	dekaler
浅い	ytligt
浅い	ytlig
浅い	grunda
浅い	grunt
浅い	ytliga
パウル	paulus
パウル	paul
故人	avlidna
故人	avliden
故人	avlidne
ハンドボール	handboll
オークス	ekar
オークス	oaks
エッグ	ägg
エッグ	egg
エッグ	ägg
更生	omorganisation
更生	omorganisering
更生	rehabilitering
更生	återställande
更生	återuppbyggnad
スキン	skinn
スキン	hud
スキン	skinn
スキン	skin
ピンチ	nypa
まさし	masashi
エマ	emma
ヌード	naket
ヌード	nakenhet
ヌード	naket
ヌード	naken
ヌード	nakna
ヌード	naket
ヌード	nakenbilder
公害	förorening
公害	miljöförstöring
公害	föroreningar
コペンハーゲン	copenhagen
コペンハーゲン	köpenhamn
コペンハーゲン	köpenhamns
りんご	äpplen
りんご	äpple
りんご	apple
ヒカル	hikaru
インフルエンザ	influensa
インフルエンザ	influensa
インフルエンザ	influensan
イラ	ila
関税	taxa
オーボエ	oboe
毒性	giftiga
毒性	toxisk
毒性	giftig
毒性	giftigt
毒性	toxicitet
メカニズム	mekanismer
メカニズム	mekanismerna
メカニズム	mekanism
メカニズム	mekanismen
ファンタジア	fantasia
やさしい	lätta
やさしい	enkelt
やさしい	lätt
やさしい	easy
ジャンボ	jumbo
ネギ	purjolök
燃える	brinnande
燃える	brinner
燃える	bränning
燃える	bränna
燃える	brännande
芳賀	haga
体質	grundlagen
体質	konstitutionen
体質	författning
体質	konstitution
体質	grundlag
イヌ	hund
苦しみ	lidanden
苦しみ	lidande
苦しみ	lidanden
キノコ	svampar
キノコ	svamp
キノコ	svampar
キノコ	svamp
グラン	gran
厚い	tjock
厚い	tjocka
厚い	tjockt
終着駅	terminus
ヤンキー	yankee
飛躍	språng
ボア	boa
麻痺	förlamning
麻痺	pares
中古	begagnade
オリンピア	olympia
クラウス	kraus
クラウス	klaus
証人	vittnen
証人	vittne
証人	vittne
証人	bevittna
石碑	stele
賞賛	beundra
賞賛	beundrar
賞賛	beundran
賞賛	lovsång
賞賛	beröm
賞賛	prisa
賞賛	lovord
シリアル	serie
シリアル	spannmål
シリアル	spannmål
シリアル	flingor
子育て	föräldraskap
ウィンドウ	fönstret
ウィンドウ	fönster
乱闘	bråk
水分	vattenhalt
水分	fukt
水分	fuktighet
聴く	lyssna
バーバラ	barbara
遊ぶ	pjäs
遊ぶ	play
遊ぶ	spela
決済	utbetalningar
決済	betalningar
決済	uppgörelse
決済	bosättning
決済	avveckling
決済	avbetalning
決済	betalning
決済	utbetalning
サニー	soligt
サニー	solig
サニー	soliga
嫉妬	svartsjuk
嫉妬	avundsjuk
嫉妬	svartsjuka
嫉妬	avundsjuka
ディスコ	disco
ブタ	grisar
ブタ	svin
ブタ	grisen
ブタ	gris
ブタ	svin
ノーマン	norman
尾翼	svans
尾翼	stjärt
尾翼	svansen
退却	reträtt
退却	retirera
大場	oba
悪意	elakartad
悪意	skadlig
悪意	illvilja
オタク	nörd
オタク	nörd
伝導	ledningsförmåga
アーロン	aaron
アーロン	aron
アンチ	anti
ベストセラー	bästsäljare
ピコ	pico
タックル	tackla
ステンレス	rostfri
ステンレス	rostfritt
壁画	väggmålningar
壁画	väggmålning
エンブレム	emblem
素敵	härligt
素敵	ljuvlig
素敵	ljuvliga
素敵	underbart
素敵	härlig
素敵	ljuvligt
素敵	snyggt
素敵	trevligt
素敵	fint
素敵	fina
素敵	snygg
素敵	snygga
思想家	tänkare
ピクセル	pixel
ピクセル	bildpunkter
ピクセル	pixlar
ピクセル	bildpunkter
コントローラ	kontrollanter
コントローラ	reglage
たまに	emellanåt
たまに	ibland
外科医	kirurg
外科医	kirurgen
伝送	växellåda
伝送	transmission
伝送	överföring
伝送	sändning
木戸	kido
トロイ	troy
トロイ	troja
タンカー	tanker
タンカー	tankfartyg
気体	gasa
気体	gas
気体	gaser
気体	gaser
処罰	straffa
処罰	straffar
処罰	bestraffa
処罰	bestraffning
処罰	straff
処罰	straffbart
処罰	straffbara
ロータス	lotus
キャンセル	avbryta
キャンセル	annullera
キャンセル	inställt
キャンセル	inställd
キャンセル	avbrutet
キャンセル	avbruten
キャンセル	inställt
キャンセル	inställd
キャンセル	inställda
キャンセル	avbrutet
キャンセル	avbruten
ウィキ	wiki
リスボン	lissabon
リスボン	lissabons
リスボン	lisbon
剥奪	eftersatta
剥奪	berövats
剥奪	berövade
掘削	utgrävning
掘削	borrning
ボリビア	bolivianska
ボリビア	bolivia
棄却	uppsägning
幼虫	yngel
幼虫	larver
悪夢	mardrömmar
悪夢	mardrömmar
悪夢	mardröm
演目	program
標準化	standardisering
チェルシー	chelsea
ナンシー	nancy
カタール	qatar
解読	tyda
ゲイリー	gary
やまと	yamato
出血	blödande
出血	blödningar
出血	blödning
出血	blöder
出血	blödning
タンゴ	tango
濡れ	väta
濡れ	blöt
濡れ	blöta
濡れ	våt
濡れ	vått
濡れ	blött
ロンド	rondo
キックボクシング	kickboxning
台北市	taipei
諮問	konsultation
諮問	samråd
火事	fire
火事	brand
火事	eld
正夫	masao
ジュリエット	julia
ジュリエット	juliet
マクラーレン	mclaren
オアシス	oas
赤道	ekvatorn
クウェート	arboga
クウェート	kuwait
疲労	jobbigt
疲労	ansträngande
疲労	utmattning
疲労	trötthet
疲労	trötthet
疲労	konsumtion
疲労	utmattning
平壌	pyongyang
国々	länderna
国々	länder
ディー	dee
タコ	bläckfisk
タコ	octopus
内訳	uppdelning
内訳	fördelning
内訳	nedbrytning
内訳	översikter
内訳	uppdelning
内訳	uppdelningar
ジャイアント	jätte
バディ	polaren
バディ	buddy
バディ	kompis
出願	applikation
出願	ansökan
出願	tillämpning
ウォーレン	warren
銃弾	kulan
銃弾	kula
妥協	kompromisser
妥協	kompromiss
妥協	kompromissa
ピストン	kolv
鉄拳	tekken
雅美	masami
抗体	antikroppar
抗体	immunglobulin
抗体	antikroppar
抗体	antikropp
トモ	tomo
風船	ballong
風船	ballonger
おばさん	moster
おばさん	tant
おばさん	faster
おばさん	moster
リターン	retur
リターン	återkomst
リターン	avkastning
リターン	återvända
リターン	returnera
ユーラシア	eurasiska
安定性	stabilitet
コメディアン	komiker
コメディアン	komiker
フェリックス	felix
副官	adjutant
エレクトロニクス	electronics
エレクトロニクス	elektronik
パトロール	patrullen
パトロール	patrullera
パトロール	patrull
クレーター	kratrar
クレーター	månkrater
クレーター	krater
キャピタル	huvudstad
キャピタル	kapitalet
キャピタル	capital
キャピタル	huvudstaden
キャピタル	kapital
チャット	chatten
チャット	chatta
チャット	chat
チャット	chatt
高句麗	koguryo
糖尿病	diabetes
ディズニーランド	disneyland
エルフ	älva
エルフ	elf
エルフ	nisse
エルフ	älvor
バーガー	burger
バーガー	hamburgare
カリウム	kalium
サバイバル	överlevnad
シックス	sexa
シックス	six
シックス	sex
蛍光	fluorescerande
蛍光	fluorescens
可愛い	söt
可愛い	söta
可愛い	söt
スピリット	ande
スピリット	anda
スピリット	spirit
グアム	guam
民兵	milisen
民兵	milis
側室	konkubin
ルター	luther
共鳴	resonans
ジュリアン	julian
受領	kvitto
チャーチル	churchill
ロフト	loftet
ロフト	loft
まゆみ	mayumi
湯川	yukawa
シャム	siamesiska
シャム	bluff
帰属	erkännande
モモ	momo
モモ	persika
モモ	peach
コンボ	kombo
デンバー	denver
感度	känslighet
感度	lyhördhet
正午	middagstid
正午	noon
正午	middagstid
ハント	jaga
ハント	jakt
ハント	hunt
ハント	jagar
ドレスデン	dresden
欠席	frånvarande
欠席	avsaknad
欠席	frånvaro
口座	konto
口座	kontot
批准	ratificeringen
批准	ratificering
説教	predikningar
説教	predikan
説教	predikar
説教	predikan
説教	predikar
説教	predika
説教	förkunna
フルーツ	frukter
フルーツ	frukt
フルーツ	frukter
フルーツ	frukt
著しい	anmärkningsvärda
著しい	anmärkningsvärd
著しい	anmärkningsvärt
カウンティ	county
カウンティ	länet
カウンティ	län
カウンティ	län
返済	återbetalning
チャネル	kanaler
チャネル	kanal
チャネル	channel
チャネル	kanalen
淳子	junko
尾根	åsen
尾根	ridge
ウェスタン	västra
ウェスタン	västlig
スキャン	skanna
スキャン	scanna
スキャン	scan
敬意	respekt
敬意	respekten
敬意	respekterar
敬意	respektera
オリエンタル	orientaliska
鋭い	skarp
鋭い	sharp
鋭い	vassa
鋭い	skarpa
鋭い	skarpt
お茶	tea
お茶	te
クローズ	stänga
クローズ	nära
クローズ	stäng
ワープ	warp
ダイナマイト	dynamit
コリンズ	collins
飲む	dricka
飲む	supa
飲む	dricker
飲む	drickande
飲む	dryck
飲む	drick
飲む	dricker
飲む	supa
飲む	dricka
オークション	auktion
オークション	auktioner
ポータブル	bärbar
ポータブル	bärbara
モンロー	monroe
産卵	lekande
トラップ	fällan
トラップ	fälla
トラップ	fällor
ローテーション	rotation
プリズム	prisma
フェアリー	fe
フェアリー	älva
フェアリー	fairey
ポット	kruka
ポット	pot
ポット	pott
ポット	gräs
マッカーサー	macarthur
ハチ	geting
ハチ	bin
ハチ	getingar
ミッチェル	mitchell
カルト	kult
カルト	sekt
家事	hushållning
家事	städning
消える	försvinner
消える	försvinna
消える	försvinner
消える	försvinna
テンション	spänning
テンション	spända
テンション	spänningar
テンション	spänt
個別に	individuellt
ジャスト	bara
フォーカス	fokus
フォーカス	fokusera
フォーカス	focus
ナムコ	namco
分化	differentiering
ウエスタン	västra
ウエスタン	västlig
ラトビア	lettland
ラトビア	lettiska
スタンプ	stämpel
スタンプ	klistermärken
スタンプ	dekaler
スタンプ	stump
スタンス	hållning
発令	utfärdande
発令	utgivande
発令	utgivning
発令	emission
激戦	stenhård
激戦	hård
おいしい	mums
おいしい	utsökt
おいしい	läcker
停滞	stagnation
停滞	stationär
停滞	stillastående
停滞	stationära
スリップ	glida
スリップ	halka
茂雄	shigeo
カブス	ungar
照射	bestrålning
照射	exponeringen
照射	exponering
クルーザー	kryssare
ハンドブック	handboken
ハンドブック	handbok
江藤	eto
アーカンソー	arkansas
パッド	pad
マナー	uppförande
太陽光	solljus
太陽光	solljuset
烏丸	karasuma
バットマン	batman
裁定	styrande
タイル	bricka
タイル	kakel
タイル	brickor
タイル	plattor
螺旋	helix
ホフマン	hoffmann
ホフマン	hoffman
ホフマン	hofmann
鉄砲	teppo
レジスタ	register
レジスタ	registrera
レジスタ	register
レジスタ	registret
ピュア	rena
ピュア	ren
ピュア	rent
蒸留	destillation
蒸留	destillering
蒸留	destillerat
フレイ	frey
ミッドフィールダー	mittfältare
ブーツ	boot
ブーツ	stövel
ブーツ	uppstart
ブーツ	stövlar
ブーツ	boots
ブーツ	kängor
出版物	publikationer
出版物	offentliggörande
出版物	publikation
出版物	publicering
ヒューズ	hughes
ヒューズ	säkring
ヒューズ	stubin
問い合わせ	förfrågan
問い合わせ	förfrågningar
問い合わせ	förfrågan
問い合わせ	sökning
問い合わせ	fråga
問い合わせ	undersökningar
問い合わせ	förfrågningar
連帯	solidaritet
ポーター	bärare
ポーター	porter
帰宅	hem
帰宅	hemma
帰宅	hemmet
帰宅	home
エフェクト	effekter
エフェクト	verkningar
エフェクト	verkan
エフェクト	effekten
エフェクト	effekt
野間	noma
デス	död
デス	döden
デス	death
デス	dödsfall
バター	smör
教職員	fakulteten
結核	tuberkulos
ヨルダン	jordanska
ヨルダン	jordan
ヨルダン	jordanien
コバルト	kobolt
ソフトボール	softball
起業	entreprenör
