метану	hyđrat
середньовічна	medieval
бонус	bonus
бонус	thưởng
однаковий	cùng
десна	desna
белла	bella
сполученням	concatenation
зіл	zil
мисливець	hunter
порятунок	cứu
речень	câu
делегат	delegate
франконія	franconia
поліклініка	clinic
бай	bạch
буа	bois
слабкий	yếu
слабкий	nhược
помсти	thù
обі	obi
давід	david
літати	fly
літати	ruồi
літати	bay
павлова	pavlova
ізяслав	iziaslav
запустити	khởi
запустити	chạy
переказ	paraphrase
караш	caraș
візантійська	byzantine
рассел	russell
блакитна	xanh
вбивають	giết
водоспади	sentinel
пошкоджений	hỏng
юдеї	judah
денніс	dennis
пре	pre
пре	prés
пре	pré
стефано	stefano
саша	sacha
саша	sasha
орлов	orlov
викуп	ransom
публічна	công
чаес	chernobyl
викладала	nbc
дивні	lạ
рош	roche
рош	roch
рош	roches
рош	rosh
кемерон	cameron
рея	rhea
живу	sống
живу	live
арсен	arsenic
арсен	arsen
тіміш	timiș
кантрі	quốc
соль	sol
хасан	hasan
відмінно	đan
валуа	valois
горизонтально	ngang
горизонтально	ngang
сусіди	xóm
захищають	cọc
северина	severina
бачите	xem
пірс	pearce
пірс	pierce
брно	brno
альтернативна	alternative
черга	quay
черга	lượt
черга	cua
черга	flip
бендер	bender
автоматичне	động
автоматичне	tự
дивна	weird
дивна	rar
дивна	lạ
дивна	lạ
документом	liệu
забув	quên
послаблення	damping
макаров	makarov
патріот	patriot
домінування	dominance
перенесені	bọc
олень	elk
олень	hươu
сімейні	đình
фрай	rán
дяченко	dyachenko
крістіна	christina
крістіна	cristina
крістіна	christine
крістіна	kristina
ювілей	jubilee
ювілей	khắc
відрізок	đoạn
барабанщик	drummer
активації	activation
еритреї	eritrea
обмежити	hạn
приведення	casting
полюс	cực
полюс	pole
полюс	cột
мелодія	giai
мелодія	melody
тонка	mỏng
тонка	gầy
тонка	thin
кнопку	button
кнопку	nút
пішки	foot
пішки	bộ
гонщик	speedy
бор	bor
бор	niğde
бор	bohr
бор	boron
орегон	oregon
тигр	tiger
тигр	cọp
тигр	hổ
тигр	tigris
ганновер	hanover
ганновер	hannover
гімнастика	turn
рома	roma
пак	puck
пак	pak
побачення	dating
лорі	lori
лорі	laurie
жах	mayhem
санто	santo
паралелі	parallels
бережани	berezhany
порожня	rỗng
порожня	trống
теоретична	huấn
ворона	quạ
ворона	corvus
ворона	quạ
ворона	raven
поло	polo
жовте	vàng
жовте	nhát
цариця	hậu
сітка	lưới
сітка	mesh
сітка	lưới
помста	thù
робертс	roberts
нара	nara
пробудження	awakening
пробудження	rising
карпов	karpov
мінус	trừ
карпатська	carpathian
хей	hay
фріц	fritz
мод	maud
габсбург	habsburg
ячмінь	hordeum
відійти	dispatch
гестапо	gestapo
конан	conan
клівленд	cleveland
термінатор	terminator
ватикан	vatican
муссоліні	mussolini
закінчилося	qua
закінчилося	hết
закінчилося	over
магнус	magnus
асортимент	tầm
патріархат	patriarchate
шматок	chunk
шматок	mảnh
шматок	miếng
шматок	piece
шматок	vở
шматок	lát
шматок	véc
шматок	slice
кая	kaia
восток	vostok
салоніки	thessaloniki
радіації	xạ
відгук	review
панами	panama
переглядів	views
реконкіста	reconquista
московсько	russo
борошно	bột
сова	cú
сова	owl
завершені	xong
евре	evreux
одружитися	marry
одружитися	cưới
нідерландська	bản
нідерландська	hoà
нідерландська	dutch
дос	dos
баня	banya
баня	banja
мемуари	memoirs
мемуари	memoir
таємна	mật
таємна	bí
альфонс	alfons
альфонс	afonso
альфонс	alphonse
історіографія	historiography
меду	meda
сін	xing
сін	shin
заборонити	ban
заборонити	cấm
газі	ghazi
армавір	armavir
баран	baran
вишня	prunus
зіс	zis
нічия	vẽ
бред	brad
повторне	trùng
лені	leni
бюлетень	bulletin
сором	nhục
логічні	luận
логічні	logic
андерс	anders
ман	mans
семенов	semyonov
японію	japan
алекса	alexa
спуск	descent
старшому	foreman
мудрий	wise
тріумф	triumph
процвітання	vượng
поріг	ngưỡng
етнології	ethnology
рікардо	ricardo
керч	kerch
розріз	rạch
публій	publius
кубі	cuba
барт	bart
барт	barth
мао	mậu
мао	mao
пил	bụi
пил	chốn
ахмад	ahmad
мрія	mơ
мрія	dream
мрія	daydream
хілл	đồi
хілл	ngổn
хілл	hill
хілл	hoan
дрезден	dresden
замбії	zambia
вирощували	farmed
шия	họng
шия	neck
шия	cổ
советский	sovetsky
рости	trồng
рости	mọc
рости	grow
ніндзя	ninja
анд	andes
ненсі	nancy
володимирії	lodomeria
тарту	tartu
азербайджанський	azerbaijan
влад	vlad
преображення	transfiguration
жаби	ếch
сет	sept
сет	seth
захоплює	chụp
збитки	mát
метеликів	lưới
метеликів	web
відбити	parry
нікель	nickel
нікель	niken
скелях	đá
ємен	yemen
ємен	ye
горизонт	horizon
палець	finger
палець	thumb
жорсткий	cứng
жорсткий	khó
жорсткий	khổ
жорсткий	đắng
вероніка	veronica
вероніка	veronika
глухий	điếc
ханти	khanty
кінцевих	trailing
ромен	romain
картопля	khoai
пси	chó
яворський	jaworski
схил	dốc
схил	dec
купувати	mua
глибокої	chín
януш	janusz
кпк	handheld
кпк	pda
веселе	jolly
соломон	salomon
соломон	solomon
тітка	dì
сидів	ngồi
сидів	sat
постріл	bắn
постріл	phát
постріл	bắn
масштаб	phóng
масштаб	zoom
наполовину	nửa
похорон	tang
похорон	lễ
гострих	đâm
успенська	dormition
омськ	omsk
забули	quên
забули	quên
грегорі	gregory
рамон	ramón
рамон	ramon
рамон	ramón
рамон	ramon
тернер	turner
таємні	covert
стрільця	sagittarii
петровський	petrovsky
камбоджі	campuchia
арсеній	arseniy
повінь	lụt
повінь	gượng
повінь	lụt
кабель	cáp
галац	galați
перемикання	switch
перемикання	chuyển
стоп	dừng
стоп	ngừng
ференц	ferenc
наречена	bride
шато	château
наявний	rảnh
анджело	angelo
севілья	sevilla
кейн	cain
кейн	kane
параді	paradis
етьєн	etienne
бенджамін	benjamin
змінна	biến
мукачеве	mukachevo
тисяча	nghìn
тисяча	ngàn
пляшки	lọ
пляшки	chai
пляшки	chai
транс	trance
транс	trans
крістоф	christophe
крістоф	christoph
нескінченно	infinite
нескінченно	vá
нескінченно	endless
гольштейн	holstein
сегмент	đoạn
дача	dacha
сааремаа	saaremaa
квитків	vé
мудрості	wisdom
більбао	bilbao
тма	tma
серйозний	bách
крилом	wing
крилом	cánh
бика	ngưu
бика	bò
бика	bull
височина	highland
віруси	virus
віруси	virut
єлена	jelena
бук	beech
бук	buk
дюймів	cm
колонізація	colonization
киснем	ôxi
киснем	oxygen
киснем	oxy
киснем	ôxy
познані	poznań
краснодар	krasnodar
ватанабе	watanabe
браузер	duyệt
вишні	cherry
спалах	flare
спалах	nến
спалах	nháy
спалах	flash
спалах	blaze
випадкові	cuốc
випадкові	nét
спис	xiên
спис	giáo
спис	spear
висить	dip
висить	vởn
висить	treo
медісон	madison
гліб	gleb
банда	banda
банда	manh
банда	đảng
банда	đám
банда	lũ
прокляття	nguyền
прокляття	hex
прокляття	darn
мефодія	mêthôđiô
зоя	zoya
окуляри	sunglasses
окуляри	kính
пет	pat
пет	vỗ
петр	petr
милі	ngoan
милі	cute
милі	thương
вірити	tin
тріщини	đứt
тріщини	nứt
дуби	oaks
дуби	sồi
граніт	granite
спостерігача	observer
жерар	gérard
жерар	gerard
єкатеринбург	yekaterinburg
засідку	ambush
міць	lỉnh
епідемія	sverdlovsk
епідемія	bùng
стріляти	bắn
турів	tours
гарячі	hot
гарячі	nóng
корейська	hàn
клавіші	keys
клавіші	phím
мстислав	mstislav
винагороду	thưởng
монро	monroe
каскад	cascade
каскад	cascades
карате	karate
прокату	rider
прокату	kỵ
луїзіана	louisiana
янко	janko
вала	vala
копійок	xu
феррарі	ferrari
стоун	đá
стоун	stone
бджоли	ong
бджоли	ong
бджоли	bee
лілі	lili
лілі	lily
воронеж	voronezh
док	doc
джеремі	jeremy
віртуальний	ảo
волошин	voloshin
фільтри	lọc
дайте	đưa
дайте	tặng
дайте	cho
теплі	ấm
уподобання	thích
прапорець	cờ
фізичну	tật
трамваї	trams
флеш	nháy
флеш	flash
арарат	ararat
сліпий	mù
осетії	ossetia
анімація	hoạt
анімація	hoạt
пощастило	may
пощастило	lucky
зречення	abnegation
спенсер	spencer
джеймі	jamie
пекло	thoa
хаос	chaos
ліверпуль	liverpool
боба	boba
системний	hệ
біологи	biologist
сервери	máy
сухе	lau
сухе	khô
класика	classics
класика	classic
риги	riga
варшавський	warszawa
варшавський	warsaw
джонса	johns
кинути	giọt
кинути	bỏ
кинути	thả
кинути	thảy
кинути	chọi
кинути	quăng
кинути	vứt
кинути	ném
кинути	cuộn
кинути	roll
бельгійські	bỉ
язика	lưỡi
нестача	vitamin
гілками	cành
колос	colossus
звільнився	hưu
ідентичність	identity
зіу	ziu
ангела	angela
темряви	darkness
пороги	thác
пороги	rapids
аарон	aaron
аарон	aron
винним	huệ
винним	tội
ненависть	hat
ненависть	ghét
ненависть	hat
роджерс	rodgers
роджерс	rogers
бомба	bomb
бомба	bom
авів	aviv
закінчуючи	maple
первісний	primal
серро	cerro
крейг	craig
прослуховування	audition
гордість	ngạo
доменів	miền
межиріччя	mesopotamia
гаваї	hawaii
чистих	sạch
рушниці	shotgun
рушниці	sên
рушниці	slug
примусово	buộc
небраска	nebraska
нижча	hạ
кістка	xương
кістка	bone
чарівна	thuật
чарівна	magic
включили	tráng
вега	vega
караваджо	caravaggio
втратити	thua
збірників	compilations
мудрість	wisdom
чжу	chu
грамів	gam
грамів	gram
грамів	gamma
грамів	gam
грамів	gram
грамів	grams
воллес	wallace
круті	phũ
круті	chát
круті	dốc
круті	ngầu
круті	tuyệt
круті	mát
круті	cool
збоку	bên
збоку	phe
збоку	trang
кукурудза	maze
кукурудза	ngô
кукурудза	bắp
кукурудза	lúa
вади	rệp
вади	bọ
вади	lỗi
блискуче	brilliant
автомати	xèng
автомати	slots
побажання	muôn
побажання	wishlist
молочний	milky
прадеш	pradesh
кипіння	sôi
бондарчук	bondarchuk
близнюки	twins
почув	nghe
борисівна	pugacheva
померти	die
померти	chết
федеріко	federico
лондонський	đôn
лондонський	london
брешія	brescia
міна	mina
міна	mỏ
міна	mine
вітчизни	motherland
аркуш	tờ
аркуш	mẩu
іспанській	español
досягнув	đa
бредлі	bradley
квінт	quintus
антонова	airlines
антонова	airline
приховані	phone
приховані	ẩn
жуль	jules
вужеві	colubridae
хордові	chordate
віллем	willem
мадагаскар	madagascar
призначити	gán
лазар	lazare
лазар	lazar
векторів	vectors
чисті	sạch
малювати	sơn
малювати	vẽ
азот	nitơ
азот	nitrogen
раю	thiên
подарунки	quà
подарунки	cải
подарунки	quà
приховати	giấu
приховати	trốn
приховати	ẩn
генеральні	cortes
судини	arteries
гібралтар	gibraltar
гравер	grauer
сатурн	saturn
британців	britons
ява	java
розумний	minh
розумний	khôn
мексиканський	mễ
правою	rmb
розваги	entertainment
жарт	joke
жарт	đùa
жарт	đểu
асті	asti
прогресивний	progressive
народності	bantu
козлов	kozlov
канта	cantat
вищими	taller
швидкі	mau
швидкі	nhanh
швидкі	mau
швидкі	nhanh
пародія	parody
слона	voi
мура	mura
доріжки	vết
доріжки	rãnh
доріжки	vết
доріжки	rãnh
прапорці	cờ
циліндр	trụ
фур	fours
сток	stoke
приват	privat
ландау	landau
виразу	regexp
ліра	lira
ліра	lire
бандура	bandura
нет	nat
станіславського	stanislavski
рудник	rudnik
тринадцять	thirteen
дік	dick
радості	joy
зручний	handy
ешлі	ashlee
ешлі	ashleigh
ешлі	ashley
гріх	sin
складки	folder
змішаний	võ
блекберн	blackburn
спирт	rượu
спирт	cồn
стоячи	đứng
тибету	tibet
генетика	genetics
мертвий	chết
свині	lợn
свині	heo
свині	lợn
свині	thối
свині	heo
свині	đẻ
огюст	auguste
допоміжний	auxiliary
коп	cớm
коп	cop
прах	tro
тихо	khẽ
стб	stb
тімоті	timothy
тімоті	tim
кері	carey
кері	keri
сараєво	sarajevo
трибунал	tribunal
перес	perez
кармен	carmen
співала	sang
аналітична	analytic
трансляція	phát
трансляція	sống
трансляція	live
трансляція	podcast
глина	clay
неймовірно	unbelievable
терези	libra
осман	osman
лейпциг	leipzig
коридор	lang
тонни	tấn
тонни	ton
тонни	tấn
лексика	lexicon
деп	dep
штани	quần
штани	quần
нирки	thận
латинські	latin
фоліо	folio
показувати	xem
показувати	hiện
показувати	show
зеніт	zenit
зеніт	zenith
складне	khó
омар	omar
оголошені	tuyên
бухті	cảng
мандрівники	wanderers
мандрівники	travellers
задовольнити	satisfy
занурення	immersion
занурення	chìm
комплексний	integrated
пальцями	ngón
повторити	replay
урарту	urartu
ліве	livet
пошкоджені	hỏng
горло	họng
альта	alta
мазур	mazur
погана	xấu
погана	bad
погана	kém
погана	khiếp
погана	tệ
антверпен	antwerp
удіне	udine
дівчинку	sock
холл	vắng
холл	lang
холл	sảnh
холл	hall
бабусі	bà
стамбула	istanbul
студентська	bmi
кабіна	cockpit
гуртожиток	dorm
довженко	dovzhenko
кристал	crystal
сексуальної	sex
орджонікідзе	ordzhonikidze
нейрони	neuron
веселка	rainbow
жирним	đậm
жирним	bold
порожній	rỗng
порожній	trống
порожній	trống
порожній	blank
відтінків	shades
ведуча	máy
динамічні	động
півтори	nửa
каркас	framework
обійти	gom
обійти	bypass
лоу	lowe
самоа	samoa
чарівний	duyên
маєр	mayer
маєр	meyer
лесь	đọc
лесь	les
орнамент	ornament
кальярі	cagliari
борисов	borisov
гете	goethe
молотова	molotov
корови	bò
формальні	thường
істина	thật
істина	đúng
істина	thật
запасних	chừa
збудника	booster
кабріолет	convertible
вітамін	vitamin
коннор	connor
соломона	salomon
соломона	solomon
вуд	gỗ
вуд	củi
іларіон	hilarion
ваффен	waffen
макаренко	makarenko
вічне	mải
фарбами	oils
ангели	angels
токуґава	tokugawa
самора	zamora
буря	tempest
буря	bão
хижі	chòi
хижі	cabin
хижі	predatory
придбали	đỗ
літію	lithium
літію	liti
згадав	liễu
реактивний	jet
рильський	rila
рецептори	receptors
альтернатива	alternative
еліта	elite
клей	keo
клей	keo
клей	clay
відвідувачі	khách
відвідувачі	khách
аркуші	tờ
аркуші	mẩu
аркуші	sheets
кириченко	andrey
чен	chen
чен	trần
чен	jong
чен	trịnh
чен	thành
чен	cheng
вбудований	nhúng
розбився	crashed
новачок	newbie
магія	thuật
магія	magic
штраф	penalty
штраф	phạt
берн	bern
весняний	spring
весняний	xuân
кредиту	vay
світлина	photo
світлина	foto
світлина	ảnh
яблука	táo
перехоплення	catcher
ларс	lars
познань	poznan
познань	poznań
аркушів	tờ
аркушів	mẩu
аркушів	sheets
здатися	nhường
каса	casa
шию	họng
шию	neck
шию	cổ
вставки	chèn
продавець	salesman
мекленбург	mecklenburg
мекленбург	ludwigslust
минулі	qua
минулі	past
відтінок	sắc
відтінок	huế
відтінок	nhuốm
відтінок	râm
відтінок	khuất
чак	chuck
слон	voi
шлезвіг	schleswig
вінченцо	vincenzo
рузвельт	roosevelt
едвардс	edwards
лінда	linda
вікові	secular
протилежний	ngược
бик	ngưu
бик	bò
бик	bull
справедливо	fair
лаціо	lazio
блага	blaga
джазу	jazz
шепетівка	shepetivka
гранат	lựu
індуїзм	hinduism
туман	mist
піза	pisa
міцкевича	mickiewicz
рецепт	prescription
рецепт	thức
рецепт	recipe
дідусь	nội
дідусь	nội
мальме	malmö
несеуд	năsăud
крішна	krishna
турку	turku
влаштувати	hợp
зросли	tăng
стріла	arrow
клапан	van
улус	huyện
павія	pavia
тони	shades
тони	râm
тони	khuất
мишей	chuột
животі	bụng
розкидані	loãng
суворий	phũ
суворий	chát
суворий	chuỗi
суворий	rough
забути	quên
забути	quên
гіпс	gypsum
спіралі	xoáy
ана	ana
кузня	forge
горіх	nut
горіх	nứt
дим	hút
дим	khói
серіалів	serials
пляма	spot
пляма	điểm
білла	bill
мораль	đạo
зацікавлення	vốn
зацікавлення	lãi
кеннет	kenneth
бані	bani
бані	tắm
квитки	vé
набори	dong
піщаний	sole
броня	armour
броня	giáp
співають	ca
співають	hát
кокс	cox
кокс	coke
кокс	coca
кокс	soda
кокс	cola
кувейт	kuwait
порошок	solids
сімон	simone
сімон	simon
слуху	ear
слуху	tai
беверлі	beverly
зазначений	chất
захар	zakhar
постріли	phát
постріли	viên
священні	thánh
свічки	nến
аварія	nạn
аварія	crash
терористичних	khủng
окб	okb
гонсалес	gonzález
гонсалес	gonzales
кенія	kenya
сот	wto
титан	titan
кайл	kyle
томі	tomi
томі	tommy
ейлера	euler
грошовий	cash
пальми	palms
лазаря	lazarus
каддафі	gaddafi
казали	nói
казали	bảo
казали	said
слідувати	theo
фернандес	fernández
фернандес	fernandes
пірати	pirates
згортання	shading
згортання	gấp
згортання	folding
згортання	gập
згортання	sập
згортання	râm
згортання	khuất
єфремов	yefremov
фантазії	fantasia
фантазії	fantasies
конотоп	konotop
дівоче	maiden
тринідад	trinidad
рональд	ronald
балада	ballad
вечірня	tối
вечірня	vespers
олені	hươu
фіджі	fiji
катандзаро	catanzaro
альба	alba
краматорськ	kramatorsk
дублін	dublin
пій	piô
пій	pius
соловйов	solovyov
антонін	antoninus
антонін	antonín
пітешть	piteşti
пошуком	finder
едвін	edwin
трофеї	cúp
паскаль	pascal
догляд	nursing
догляд	grooming
догляд	care
плече	vai
кругла	hiệp
кругла	vòng
тянь	điền
аліканте	alicante
романенко	romanenko
ібрагім	ibrahim
едіт	edith
грот	groot
грот	grotto
острозька	ostrog
малаві	malawi
шапка	cap
шапка	mũ
шапка	xịt
шапка	nón
оглядач	reviewer
змішана	võ
канаверал	canaveral
сильною	mạnh
сильною	strong
сантос	santos
клінтон	clinton
фей	faye
фей	fay
фей	feuille
ескіз	sketch
євромайдан	euromaidan
ксенія	xenia
симеон	simeon
ноу	nou
картоплю	khoai
калабрія	calabria
згода	thuận
графіті	graffiti
морозова	morozova
тіто	tito
ящірка	lằn
вячеслав	vyacheslav
перевантаження	overrun
саксофон	saxophone
ламп	đèn
холодні	lạnh
гулаг	gulag
метрах	mét
жукова	zhukov
потепління	ấm
грубо	thô
грубо	plump
грубо	rude
пити	nhậu
пити	uống
пити	uống
пити	ly
пити	khát
баритон	baritone
оленя	hươu
льєж	liège
ракоподібних	crustaceans
вхідні	ib
вхідні	inbox
вхідні	nhập
сенегалу	senegal
сармати	sarmatians
рішельє	richelieu
ясен	fraxinus
виграш	winning
виграш	thắng
гданськ	gdansk
константин	konstanty
лозер	lozère
гарріс	harris
зайцев	zaytsev
велико	veliko
кастель	castel
кастель	castell
міккі	mickey
коми	mê
вокер	walker
кулю	viên
розшуку	renew
трактор	tractor
мюррей	murray
іон	ion
іон	yon
мавпи	khỉ
мавпи	khỉ
