עשורים	десетилетия
חלשה	слаб
חלשה	слаба
סערה	буря
סערה	сторм
סערה	бурята
מנגן	пиеси
מנגן	играе
מנגן	играе
מנגן	свирене
מנגן	играят
מנגן	манган
מנצחים	печеливши
מנצחים	победители
מנצחים	победителите
מנצחים	печелившите
הורג	убива
הורג	убиване
הורג	убивам
מל	мел
מל	мал
הומור	хумор
הומור	хумор
ששון	сасон
טיים	времето
טיים	време
השכונות	квартали
אשראי	кредитиране
אשראי	кредит
רוזנברג	розенберг
ארנה	арена
זרמים	потоци
זרמים	течения
זרמים	теченията
זרמים	токове
גדודים	кохорти
גדודים	батальони
רוצח	убийствен
רוצח	убиец
רוצח	убиец
רווחה	благосъстояние
רווחה	благосъстоянието
אורלינס	орлеанс
אורלינס	орлиънс
הפיליפינים	филипините
חסידים	последователите
חסידים	последователи
חסידים	последователи
ניסים	чудеса
ניסים	чудесата
ניסים	нисим
נשימה	дъх
נשימה	дишане
נשימה	диша
נשימה	дишането
המשיח	христос
ריקו	рико
זירת	сцена
סטודיו	студия
סטודיו	ателие
סטודיו	студио
נפגעה	повреден
נפגעה	повредена
נפגעה	повредени
נפגעה	увреден
נפגעה	повредено
פסקול	саундтрак
גורל	съдба
גורל	съдбата
גורל	съдба
גורל	съдбата
אריזונה	аризона
בטוחה	безопасно
בטוחה	безопасен
בטוחה	сейф
בטוחה	уверен
בטוחה	уверено
בטוחה	уверена
בטוחה	уверени
אסטוניה	естония
בודק	проверка
בודק	проверявам
קונצרטים	концерти
קונצרטים	концертите
העמדה	позиция
העמדה	положение
העמדה	длъжност
מסעדות	ресторанти
ארט	арт
ארט	изкуството
ארט	art
ארט	изкуство
יקום	вселената
יקום	вселена
מיניות	сексуалността
מיניות	сексуалност
מיניות	сексуален
מיניות	сексуално
מיניות	сексуална
מיניות	сексуални
סודי	секретно
סודי	тайна
סודי	таен
סודי	тайната
סודי	тайно
סודי	поверително
סודי	поверителни
סודי	поверителна
להבהיר	поясни
להבהיר	изясни
אחי	бро
אחי	пич
אחי	пича
אחי	братко
אחי	брат
פאשה	паша
קדומה	предразсъдъци
דיק	кур
דיק	дик
דיק	хуй
עדים	свидетелите
עדים	свидетели
עדים	очевидци
עדים	свидетел
עדים	свидетели
צפויה	очаквано
צפויה	очаквани
צפויה	очакван
צפויה	очаквана
צפויה	предвидим
צפויה	предвидими
כיס	джобен
כיס	джоб
כיס	джоба
ברמות	нива
ברמות	равнища
שותפות	партньорство
נחת	кацнал
נחת	морски
נחת	пехотинец
נחת	морска
מיר	мире
לטביה	латвия
לטביה	латвийски
שביעי	седмо
שביעי	седма
שביעי	седми
מנהרות	тунели
מנהרות	тунелите
ערובה	заложници
ערובה	заложник
ערובה	гаранция
ערובה	гаранции
מוקף	обкръжени
מוקף	обкръжен
מוקף	обграден
מוקף	обградени
מוקף	заобиколен
גנטית	генетично
גנטית	генетична
גנטית	генетични
גנטית	генетичен
גנטית	генетично
הוסף	добави
הוסף	добавяне
הוסף	добавя
הוסף	добавете
בוואריה	баварски
בוואריה	бавария
אוריינות	ерудиран
אוריינות	грамотност
שושנה	шошана
פשוטות	прост
פשוטות	прости
פשוטות	проста
פשוטות	простичко
אמנותי	артистична
אמנותי	художествена
אמנותי	артистичен
אמנותי	артистично
אורחים	посетителите
אורחים	посетители
אורחים	гостите
אורחים	гости
איומים	заплахи
אטומי	атомна
אטומי	атомни
תקלה	неизправност
תקלה	повреда
תקלה	бъг
מישיגן	мичиган
מישיגן	мичигън
כיסא	стол
כיסא	столче
כיסא	столът
הילדה	хилда
שנפלו	паднал
שנפלו	паднали
שנפלו	паднало
שנפלו	паднала
חינוכי	образователна
חינוכי	образователен
חינוכי	образователно
חינוכי	образователни
הורשע	осъждан
הורשע	осъден
הורשע	осъдени
דחף	тяга
דחף	бутнат
דחף	импулс
דחף	импулсна
דאלאס	далас
טיול	пътуване
טיול	пътешествие
טיול	трип
טיול	екскурзия
הרווח	печалба
הרווח	печалби
קליבלנד	кливлънд
קליבלנד	кливланд
כובע	шапки
כובע	шапките
כובע	капачка
כובע	осп
כובע	кап
כובע	шапка
כובע	шапката
קורפוס	корпус
הצפנה	криптиране
הצפנה	кодиране
סוני	sony
סוני	сони
סוני	сони
בחינם	свободно
בחינם	свободни
בחינם	свободен
בחינם	свободна
בחינם	безплатни
בחינם	безплатно
לכוון	цел
רחמים	съжаление
רחמים	жалост
רחמים	жалко
רחמים	жал
רחמים	мърси
רחמים	милосърдие
רחמים	милост
רפובליקה	република
רומני	румъния
רומני	румънски
רומני	румънска
רומני	ромни
ברטון	бъртън
ברטון	бартън
ברטון	бретон
זרעים	семе
זרעים	семки
זרעים	семена
נידון	осъден
נידון	осъди
נידון	осъдена
נידון	осъден
נידון	осъдени
נירנברג	нюрнберг
מודרניות	модерно
מודרניות	модерни
מודרניות	модерна
מודרניות	съвременно
מודרניות	модерен
מודרניות	съвременен
בהינתן	дадени
בהינתן	дадена
בהינתן	дадено
החזרה	репетицията
החזרה	репетиция
חגים	почивки
חגים	празници
לשדר	предава
הנחיות	упътване
הנחיות	посоки
הנחיות	насоки
הנחיות	директиви
הנחיות	директивите
הנחיות	инструкция
הנחיות	инструкции
הנחיות	указания
פסים	раирана
פסים	райета
פסים	ивици
פסים	райета
חלקיק	частици
חלקיק	частица
חלקיק	частици
נזקים	щети
נזקים	обезщетение
נזקים	вреди
נזקים	обезщетения
נזקים	увреждане
נזקים	щети
נזקים	повреда
נזקים	вреди
נזקים	повреди
בואנוס	буенос
מני	мани
מני	мени
מני	мани
דגלים	знамена
דגלים	флагове
דגלים	знамената
מקל	пръчка
מקל	стик
אטלס	атлас
מעריצים	вентилатори
מעריצים	фенове
מעריצים	почитатели
מעריצים	феновете
מנועים	двигатели
מיאמי	маями
מוסוליני	мусолини
קשתות	арки
קשתות	панделки
קשתות	лъкове
מושבות	колонии
נרשמה	отбелязана
נרשמה	отбеляза
נרשמה	отбелязано
נרשמה	отбелязан
ולס	валс
ולס	уелс
ולס	кладенци
יריב	съперник
יריב	противник
יריב	опонент
יריב	съперник
יריב	противник
רצופים	последователно
רצופים	последователни
בקביעות	редовно
בקביעות	постоянно
בקביעות	непрестанно
בקביעות	непрекъснато
פיה	пия
פיה	пиа
פיה	феята
פיה	фея
ליון	лайън
ליון	лион
ספיידרמן	спайдърмен
טבלה	масата
טבלה	маса
טבלה	масичка
טבלה	таблица
טבלה	диаграма
טבלה	картона
ביתא	бета
נאפולי	неапол
נאפולי	неапол
נאפולי	наполи
חולי	пациенти
חולי	пациентите
חולי	болест
חולי	болести
ארגן	организиране
ארגן	организираме
ארגן	организиране
ארגן	уредено
ארגן	подредени
ארגן	уреден
ארגן	уговорено
הולם	подходящ
הולם	подходяща
הולם	уместно
הולם	подходящи
הולם	подходящо
הולם	адекватно
הולם	адекватни
הולם	задоволителна
הולם	адекватен
הולם	адекватна
הולם	холм
המונים	маси
מעורר	стимулиране
מעורר	стимулиращ
באפט	бъфет
מסת	масов
מסת	меса
מסת	маса
מסת	литургия
מסת	масово
אחיות	сестри
אחיות	сестри
הולנדי	холандец
הולנדי	нидерландски
הולנדי	дъч
הולנדי	холандски
יהונתן	джонатан
נכנסת	входящи
נכנסת	входящ
נכנסת	входящо
פין	пенис
פין	пениса
פין	фин
פין	перка
פין	фин
האחיות	сестри
מאובנים	вкаменелости
ריאות	дроб
ריאות	лунг
ריאות	дробове
שקר	лъжа
שקר	лъжи
שקר	невярно
שקר	фалшиво
שקר	фалшиви
שקר	фалшива
נפשי	психично
נפשי	душевно
נפשי	психични
נפשי	психичното
נפשי	умствена
מציינת	указва
מציינת	отбелязвайки
שמקורם	произход
מכסה	капак
מכסה	прикритие
מכסה	корица
מכסה	покритие
מכסה	покриване
מכסה	квота
מכסה	квоти
מכסה	обхваща
מכסה	корици
מכסה	капаци
מכסה	покриване
התיאור	описание
מסייע	помощничка
מסייע	помощник
מסייע	помага
מסייע	полезна
מסייע	полезно
מסייע	полезни
מסייע	полезен
בונים	бобри
שוחררו	освободена
שוחררו	освободен
שוחררו	освободени
עבאס	абас
מעצמות	суперсили
ננסי	нанси
סוללות	акумулатори
סוללות	батерии
סוללות	батериите
לאבד	губи
לאבד	губиш
לאבד	губя
לאבד	губи
לאבד	губиш
לאבד	губят
המולדת	родино
המולדת	родината
המולדת	родина
המולדת	родина
ליבה	ядро
ליבה	сърцевина
ליבה	ядрото
בטי	бети
קדומות	предразсъдъци
פיצוי	компенсация
פיצוי	компенсиране
פיצוי	обезщетение
פיצוי	компенсации
פיצוי	реституция
גשרים	мостове
גשרים	мостовете
רכיב	елемент
רכיב	компонент
נוחות	удобство
נוחות	комфорт
נוחות	утеха
נוחות	удобство
בעוצמה	интензивно
אורז	опаковане
אורז	ориз
השערות	хипотези
השערות	косми
פלסטין	палестина
לנון	ленън
מתקבלת	траен
ברוקולי	броколи
האדומים	червени
אלת	богиня
אלת	богинята
מתמטי	математически
מתמטי	математическа
מוקדש	посветен
מוקדש	посветена
מוקדש	отдадени
מוקדש	отдадена
עוזב	напускане
לאונרדו	леонардо
מבטא	акцент
מבטא	акцент
בועז	боаз
הזמנה	резервация
הזמנה	резерват
הזמנה	покана
הזמנה	покани
הזמנה	ред
הזמנה	поръчка
הזמנה	резервация
הזמנה	покани
הזמנה	покана
מחברות	тетрадки
כיתה	класна
כיתה	клас
כיתה	класа
תורתו	учения
תורתו	ученията
הקומוניסטים	комунисти
הקומוניסטים	комунистите
העיקרון	принцип
אקדח	пистолет
אקדח	пистолет
אקדח	оръжие
נחמיה	неемия
פיסול	скулптура
פיסול	скулптури
פיסול	скулптор
נתפסו	хваната
נתפסו	уловена
נתפסו	уловени
נתפסו	хванат
נתפסו	хванати
נתפסו	заловен
נתפסו	заловени
נתפסו	пленен
נתפסו	уловен
נתפסו	пленени
מבטיח	обещаваща
מבטיח	обещаващи
מבטיח	обещаващо
מבטיח	обещаващ
הגבלות	ограниченията
הגבלות	ограничения
הגבלות	граници
הגבלות	ограничения
הגבלות	предел
הרייך	райх
קברים	гробници
קברים	гробове
קברים	гробовете
קברים	грейвс
שהו	шо
הכה	удари
הכה	хит
דמוקרטי	демократично
דמוקרטי	демократичен
דמוקרטי	демократични
דמוקרטי	демократична
דמוקרטי	демократ
מתחרים	състезатели
מתחרים	състезатели
מתחרים	конкуренти
מתחרים	съперници
מתחרים	конкурентно
מתחרים	конкурентни
אסד	асад
אסד	асад
ליברמן	либерман
ספציפיים	конкретни
ספציפיים	специфично
ספציפיים	специфичен
ספציפיים	специфична
ספציפיים	специфични
חוקיים	правно
חוקיים	правни
חוקיים	правна
חוקיים	юридически
חוקיים	правен
חוקיים	законно
האנס	ханс
הזדמנויות	възможности
הבלקן	балкани
הבלקן	балканите
חובות	дългове
חובות	мита
חובות	задължения
כומר	преподобни
כומר	жрец
כומר	свещеник
כומר	свещенник
קומית	комично
להתפטר	оставка
ערפאת	арафат
ביו	биология
ביו	биография
ביו	био
הוותיקן	ватикана
נמשכת	привлече
נמשכת	привлечен
נמשכת	привлечени
נמשכת	привлечена
גרינברג	грийнбърг
צלילים	звуци
צלילים	звучи
היופי	красавица
היופי	прелест
היופי	красота
מורי	мори
מורי	мори
מורי	мъри
לפגוש	среща
סיקור	отразяване
סיקור	покритие
פלילי	престъпник
פלילי	престъпно
קומה	подът
קומה	пода
קומה	етаж
לדחות	отложи
לייק	езерото
לייק	лейк
לייק	езеро
המסמך	документа
המסמך	документът
המסמך	документ
חיסול	елиминиране
שותפה	съдружник
שותפה	партньор
שותפה	съквартирант
שותפה	съквартирантка
שותפה	сътрудник
שותפה	съдружник
במימון	финансиран
במימון	финансирани
במימון	финансирана
נסיגה	завръщане
נסיגה	отстъпление
נסיגה	отнемане
נסיגה	теглене
נסיגה	оттегляне
פר	пер
רפורמה	реформата
רפורמה	реформиране
רפורמה	реформи
רפורמה	реформа
הומו	хомо
הומו	обратен
הומו	гей
מעשים	деяния
מעשים	актове
מעשים	дела
מעשים	действия
מעשים	постъпки
מעשים	искове
רבן	рабан
אחסון	склад
אחסון	съхранение
אחסון	складиране
אחסון	съхраняване
אובייקט	предмет
אובייקט	обект
אובייקט	предмети
אובייקט	обектите
אובייקט	обекти
ביג	биг
ביג	голямо
ביג	големи
ביג	голям
ביג	голяма
גלן	глен
גלן	глен
הארט	харт
צנחנים	парашутисти
תורמים	донори
תורמים	дарители
תורמים	дарители
עוקב	следва
עוקב	последовател
עוקב	следене
עוקב	проследяване
מחווה	почит
מחווה	поклон
מחווה	жест
מחווה	почит
מושפע	повлиян
מושפע	повлияни
מושפע	засегната
מושפע	засегнато
מושפע	засегнат
מושפע	засегнати
מוצאת	намира
גלילי	цилиндрични
לאונרד	ленард
לאונרד	леонард
לאונרד	ленърд
מסורתיים	традиционно
מסורתיים	традиционен
מסורתיים	традиционна
מסורתיים	традиционни
מלאך	ейнджъл
מלאך	ангел
מלאך	angel
מלאך	анхел
מהפכה	революция
צוואר	врат
צוואר	врата
צוואר	шия
צוואר	нек
רול	рол
רול	ролка
חשף	разкрита
חשף	разкрити
חשף	разкрита
חשף	разкрито
חשף	разкрити
חשף	разкриха
חשף	разкрит
חשף	разкри
מיטשל	мичел
מיטשל	мичъл
מייצגים	представляват
מייצגים	представляващи
מייצגים	представляваща
מייצגים	представляващ
אורנה	орна
לפתע	внезапно
לפתע	изведнъж
קולומבוס	колумб
מסים	данъците
מסים	данъци
אמינות	надежден
אמינות	надеждно
אמינות	надежден
אמינות	надеждни
אמינות	надеждна
אמינות	надеждност
אמינות	автентичност
נוסחה	формула
קדושה	свято
קדושה	свещено
קדושה	свещена
קדושה	свещени
קדושה	свещен
קדושה	свято
קדושה	свети
קדושה	свята
קדושה	сейнт
קדושה	свети
קדושה	светица
קדושה	светец
קדושה	светейшество
המלאכה	работилница
המלאכה	работилницата
המלאכה	семинар
נעורים	младежта
נעורים	младост
נעורים	младеж
נעורים	младостта
נעורים	младежи
דירה	плоски
דירה	апартамент
דירה	плоско
דירה	плоска
דירה	плосък
דירה	апартамент
בקושי	едвам
בקושי	едва
לאופולד	леополд
ולטר	валтер
ולטר	уолтър
ולטר	валтер
השחר	зора
השחר	даун
השחר	зори
השחר	доун
השחר	зората
תזונה	храненето
תזונה	хранене
ליב	лив
השקעה	инвестиране
השקעה	инвестирането
השקעה	инвестиране
השקעה	инвестиции
השקעה	инвестиция
יוטיוב	youtube
אבירים	рицарите
אבירים	рицари
בבלי	вавилонски
פורה	продуктивни
פורה	плодородна
פורה	плодовит
פורה	ползотворен
אלגברה	алгебра
ראיונות	интервюта
ראיונות	разпити
ראיונות	интервютата
פטרוס	петър
פטרוס	питър
פטרוס	петер
הווה	подарък
הווה	настояще
הווה	присъстващи
דלתות	вратите
דלתות	врати
סכר	язовир
תעודה	удостоверение
תעודה	сертификат
תעודה	свидетелство
גולדמן	голдман
אוריאל	уриел
המלווה	спътник
המלווה	придружител
אירוח	гостоприемството
אירוח	гостоприемство
אירוח	хостинг
פרסומות	реклами
טורקית	турчин
טורקית	турско
טורקית	турски
טורקית	турска
הכרזה	обявяване
הכרזה	съобщение
הכרזה	обявление
ירה	прострелян
ירה	застрелян
ירה	застреляна
ירה	изстрел
ירה	уволнен
ירה	уволнени
ירה	уволнена
מדינאי	държавник
גרפי	графични
גרפי	графичен
גולדה	голда
החופים	плажове
החופים	плажовете
חוש	сетива
חוש	сетивата
חוש	разум
איירון	желязо
איירון	железен
איירון	желязна
איירון	железни
אנונימי	анонимни
אנונימי	анонимна
אנונימי	анонимен
אנונימי	анонимно
דרווין	дарвин
אולמות	зали
אולמות	коридори
שרירים	мускулите
שרירים	мускули
שרירים	мускулно
שרירים	мускул
שרירים	мускули
טובי	тоби
מוג	муг
גבעות	хълмове
גבעות	хилс
היידן	хейдън
היידן	хайдн
כתום	оранжев
כתום	оранжева
כתום	оранжево
כתום	оранжеви
כתום	портокал
הלוואי	желание
הלוואי	пожелание
פלוס	плюс
האירוויזיון	евровизия
דודה	леля
דודה	леля
בלוג	блог
בלוג	блог
השלם	пълна
השלם	пълно
השלם	завършен
השלם	пълен
השלם	завършено
מתמטיקאים	математици
להפיץ	разпространението
להפיץ	разпространение
להפיץ	разпределяне
להפיץ	разпространение
קה	бека
מחליטה	решава
ולנסיה	валенсия
ניגריה	нигерия
מסייעת	помага
טורקי	турчин
טורקי	турско
טורקי	турски
טורקי	турска
פנייה	пеня
פנייה	пеня
מימד	измерение
ייל	йейл
פלישה	инвазия
פלישה	нашествие
פלישה	нахлуване
פתאום	внезапно
פתאום	изведнъж
טרנר	търнър
שקול	благоразумно
דוחה	гадно
דוחה	бруто
עמידה	стои
עמידה	стояща
עמידה	стойка
מימוש	осъществяване
מימוש	прилагане
מימוש	изпълнение
מימוש	внедряване
מימוש	изкупи
ברברוסה	барбароса
הנחות	отстъпки
הנחות	намаления
הנחות	предположения
הנחות	допускания
הנחות	хипотези
האורך	дължина
מרפא	лечител
מרפא	лек
השיח	беседа
נייד	мобилни
נייד	мобилен
נייד	мобилно
נייד	мобилна
נייד	преносим
נייד	преносими
קשורות	свързани
קשורות	свързан
קשורות	свързана
קשורות	свързано
חשבונות	банкноти
חשבונות	сметки
חשבונות	отчети
חשבונות	сметки
חשבונות	акаунти
רכיבים	компоненти
רכיבים	съставки
רכיבים	съставките
איימי	ейми
נרכש	придобит
נרכש	придобита
נרכש	придобити
נרכש	купена
נרכש	купени
נרכש	закупени
נרכש	купен
נבון	интелигентен
נבון	интелигентно
נבון	интелигентна
נבון	интелигентни
נבון	мъдра
נבון	мъдро
נבון	мъдри
נבון	мъдър
ונצואלה	венецуелски
ונצואלה	венецуела
תפילות	молитви
תפילות	молитвите
תפילות	молитва
אמנויות	изкуства
אמנויות	изкуствата
אמנויות	изкуство
טכניים	технически
טכניים	техническа
טכניים	техническо
שומרים	стражи
שומרים	пазачи
שומרים	охрана
שומרים	пазители
שומרים	пазителите
הרקולס	херкулес
גופות	трупове
גופות	телата
גופות	тела
גופות	трупове
שמורות	запазено
שמורות	запазен
שמורות	запазена
שמורות	запазени
פלסטיק	пластмаси
פלסטיק	пластмаса
פלסטיק	пластмаса
פלסטיק	пластмасова
פלסטיק	пластмасови
פלסטיק	найлон
פלסטיק	пластмасов
צמצום	намаление
צמצום	намаляване
צמצום	редуциране
צמצום	редукция
צמצום	тясно
צמצום	тясна
צמצום	тесни
צמצום	тесен
הזוכים	печеливши
הזוכים	победители
הזוכים	победителите
הזוכים	печелившите
מנור	имение
מנור	имението
קלט	входяща
קלט	входящ
קלט	въвеждане
קלט	вход
קלט	принос
חינם	свободно
חינם	свободни
חינם	свободен
חינם	свободна
חינם	безплатни
חינם	безплатно
ריגול	шпионаж
ריגול	шпионин
ריגול	шпионаж
עשן	пуши
עשן	дим
עשן	пушек
סדנאות	семинари
מקסים	прекрасен
מקסים	прекрасни
מקסים	прекрасна
מקסים	очарователни
מקסים	очарователно
מקסים	очарователна
מקסים	очарователен
מקסים	максим
מקסים	очарователен
מקסים	очарователно
מקסים	чаровна
מקסים	очарователна
מקסים	чаровен
קסטיליה	кастилия
רעות	лоша
רעות	зле
רעות	лошо
רעות	лош
רעות	кофти
החלפה	превключвател
החלפה	превключване
החלפה	обмяна
החלפה	замяна
החלפה	размяна
החלפה	обмен
החלפה	борса
החלפה	суап
החלפה	замяна
החלפה	размяна
החלפה	търговия
החלפה	търговско
חזן	кантор
העקרונות	принципи
פקודות	команди
פקודות	командите
פקודות	нареждания
פקודות	заповеди
פקודות	поръчки
זיקה	афинитет
מינימלי	минимални
מינימלי	минимално
מינימלי	минимална
מינימלי	минимален
בודדות	самотен
בודדות	самотно
בודדות	самотна
בודדות	самотни
אונו	оно
אונו	уно
חימום	горещина
חימום	жега
חימום	топлина
חימום	нагряване
חימום	отопление
חימום	парно
חימום	подгряване
חימום	загряване
מוכנה	готови
וינסנט	винсънт
וינסנט	венсан
וינסנט	винсент
המאמינים	вярващи
המאמינים	вярващите
הקלטה	записване
הקלטה	запис
להתנגד	съпротива
להתנגד	устои
לחסל	елиминира
יפים	прекрасни
יפים	прекрасна
יפים	красива
יפים	прекрасен
יפים	красиво
קיצונית	радикално
קיצונית	радикални
קיצונית	радикална
קיצונית	крайно
קיצונית	краен
קיצונית	екстремно
קיצונית	екстремни
קיצונית	крайни
מולדת	родина
זוגי	двойките
זוגי	двойки
דתות	религии
רוקח	фармацевт
רוקח	аптекар
יוטה	юта
צאצאים	потомство
צאצאים	потомци
צאצאים	потомците
צאצאים	потомство
צאצאים	наследници
אצבעות	пръстите
אצבעות	пръстите
אצבעות	пръсти
מאלו	мало
אישורים	одобрения
אישורים	потвърждения
אישורים	разрешителни
אישורים	разрешения
מקדוניה	македония
תוקן	поправено
תוקן	поправен
תוקן	поправена
תוקן	фиксирани
תוקן	фиксирана
תוקן	поправен
תוקן	фиксиран
תוקן	поправено
תוקן	коригиран
תוקן	поправена
תוקן	коригирана
מתיישבים	колонисти
מתיישבים	заселници
מתיישבים	заселниците
רויאל	роял
רויאל	кралско
רויאל	кралска
רויאל	royal
רויאל	кралски
נחיתה	кацане
נחיתה	приземяване
נחיתה	разтоварване
נחיתה	приземяването
גלם	сурово
גלם	сурови
גלם	суров
גלם	сурова
גלם	необработен
יצרני	продуктивни
יצרני	производителите
יצרני	производители
יוזמה	инициатива
ביולוגיה	биология
ביולוגיה	биография
ביולוגיה	био
ביולוגיה	биология
ביולוגיה	биологията
אבטחה	сигурност
אבטחה	охрана
מתכנן	планиране
נשאו	носени
הגה	руля
מרשימה	впечатляваща
מרשימה	впечатляващи
מרשימה	впечатляващо
מרשימה	впечатляващ
זכריה	закария
מתוכנן	насрочено
מתוכנן	планирано
מתוכנן	планирани
מתוכנן	планирана
מתוכנן	планирано
מתוכנן	планиран
מתוכנן	проектирано
מתוכנן	проектирана
מתוכנן	проектиран
מתוכנן	проектирани
הוחלפו	заменен
הוחלפו	заменено
הוחלפו	сменен
הוחלפו	сменени
הוחלפו	заменена
הוחלפו	сменени
הוחלפו	разменени
נדירה	рядко
נדירה	редки
נדירה	рядкост
תחליף	заместител
תחליף	заместване
תחליף	замяна
תחליף	замени
תחליף	заместване
טרומן	труман
אינסוף	безкрайни
אינסוף	безкрайно
אינסוף	безкраен
אינסוף	безкрайна
אינסוף	безкрайност
אינסוף	безкрайността
שוד	грабеж
שוד	грабеж
שוד	обири
שוד	обир
יוהנס	йоханес
שליטי	управници
שליטי	владетели
זן	дзен
זן	зен
זן	видове
זן	вид
הריין	рейн
הידרו	хидро
ניירות	хартии
ניירות	документи
ניירות	вестници
המציא	измислил
המציא	измислен
המציא	измислени
המציא	измислена
המציא	изобретил
שנאה	омраза
שנאה	ненавист
שנאה	омраза
שנאה	мразя
שנאה	мрази
שנאה	омразата
אפריקאי	африканска
אפריקאי	африкански
פרדי	фреди
פרדי	фреди
סחורות	стоки
סחורות	стоки
סחורות	блага
טלסקופ	телескопа
טלסקופ	телескопи
טלסקופ	телескоп
אסי	asi
אסי	аси
קרניים	лъчи
קרניים	рогата
קרניים	рога
עומס	зареди
עומס	натоварване
עומס	зареждане
עומס	товар
עומס	претоварване
המחוקקת	законодателни
המחוקקת	законодателно
המחוקקת	законодателна
המחוקקת	законодателен
המחוקקת	законодател
מסכימים	съгласна
מסכימים	съгласен
מעבורת	совалката
מעבורת	совалка
מעבורת	ферибот
מעבורת	ферибота
מעבורת	фери
אדיר	страхотни
אדיר	страхотен
אדיר	страхотно
אדיר	страхотна
אדיר	супер
האר	хар
טומי	томи
עותק	копиране
עותק	копие
קיסרי	имперски
תקפה	валидна
תקפה	валидни
תקפה	валиден
תקפה	валидно
גופה	тялото
גופה	тяло
גופה	телесно
גופה	труп
אוהדי	вентилатори
אוהדי	фенове
אוהדי	почитатели
אוהדי	феновете
פיוטר	пьотр
פיוטר	пьотр
משקה	пийте
משקה	пий
משקה	питие
משקה	напитка
עממי	фолк
עממי	народни
ואחריו	последва
דיר	деир
תהילה	славата
תהילה	слава
תהילה	слава
תהילה	глори
אחורה	назад
אחורה	обратно
אחורה	гръб
סיפק	предоставено
סיפק	предоставен
סיפק	предоставени
סיפק	осигурени
סיפק	предоставена
סיפק	доставена
סיפק	доставено
סיפק	предоставена
והלחין	композира
תעסוקה	заетост
הסוגים	типове
הסוגים	видове
משלים	допълване
משלים	допълнение
משלים	допълват
משלים	допълващи
אחרונים	последно
אחרונים	последен
אחרונים	последни
אחרונים	последна
אחרונים	скорошна
אחרונים	скорошни
אחרונים	скорошно
אחרונים	отскоро
הדנובה	дунав
דרשה	проповед
ראשונית	предварителна
ראשונית	предварителни
ראשונית	предварителен
ספנסר	спенсър
נור	нур
נור	нур
דנים	датски
דנים	дейнс
דנים	обсъждаме
דנים	дънки
