पेंशन	pensioen
अनुसूची	skedule
अनुसूची	bylae
एनिमेशन	animasie
एनिमेशन	animasies
देखो	kyk
इंतजार	wag
इंतजार	wait
हिम्मत	moed
हिम्मत	durf
हिम्मत	waag
प्रमाणपत्र	sertifikaat
सांकेतिक	simboliese
सांकेतिक	simbolies
सत्रहवीं	seventeenth
असमानता	ongelykheid
झांसी	jhansi
आमदनी	inkomste
टिन	tin
ओलिवर	oliver
घनी	dik
एस्पिरिन	aspirien
जनजातीय	tribal
सोर्स	bronne
सोर्स	bron
पीर	gelyke
विश्लेषक	analis
विश्लेषक	ontleder
चेल्सी	chelsea
पाम	pam
इच्छाओं	begeer
रिश्तों	relationships
रिश्तों	verhoudings
संन्यास	aftrede
पुनर्वास	rehabilitasie
प्रोसेसर	verwerker
स्ट्रीम	strome
स्ट्रीम	stroom
वक्तव्य	stelling
मुमताज़	mumtaz
बारहवीं	xii
बारहवीं	twelfth
स्टुअर्ट	stuart
शर्तें	voorwaardes
शर्तें	toestande
शर्तें	bepalings
शर्तें	voorwaardes
मॉड्यूल	modules
हिरण	takbokke
हिरण	takbok
पिकनिक	piekniek
प्रेषित	gestuur
ज़िन्दगी	lewe
बॉय	seun
बॉय	seuntjie
इब्राहिम	ibrahim
कार्लो	carlo
तपेदिक	tuberkulose
पुर	pur
फिल्मफेयर	filmfare
वीजा	visums
वीजा	visa
बैनर	baniere
बैनर	banier
याहू	yahoo
बुजुर्ग	bejaardes
वेदी	altar
उत्साहित	opgewonde
प्रलय	katastrofe
रिले	riley
रिले	oordra
रिले	relay
चुनौतियों	uitdagings
खासी	kha
अनवर	anwar
फर्ग्यूसन	ferguson
हालात	situasie
हालात	omstandighede
भैंस	buffalo
महाद्वीपों	kontinente
इस्लामाबाद	islamabad
लेनिन	lenin
समाचारपत्र	koerant
संतोषजनक	bevredigende
संतोषजनक	bevredigend
संतोषजनक	voldoening
रनवे	runway
सफ़र	journey
खींचा	drew
सल्फर	swael
सल्फर	swawel
सल्फर	swael
स्क्वैश	verbrysel
लॉक	slot
एबीसी	abc
वाल्टर	walter
डाकू	outlaw
डाकू	rower
पीएचडी	phd
फ़ुटबॉल	voetbal
गॉर्डन	gordon
वाटसन	watson
सहिष्णुता	tolerance
लूथर	luther
परिपक्वता	mauritius
निरंतरता	volhoubaarheid
पनामा	panama
लॉरेंस	lawrence
गणपति	ganapati
कंस	kansa
लड़	bakleiery
लड़	fighting
रेखाचित्र	grafieke
रेखाचित्र	skets
रेखाचित्र	tekening
स्वदेश	nasie
सुपरमैन	superman
बुल	bulldog
बुल	bull
धब्बे	verbeteringe
धब्बे	lappe
धब्बे	ruimtes
धब्बे	kolle
विकिस्रोत	wikisource
निक	nick
निक	niek
पीढी	generasie
माउस	muis
क्राउन	kroon
साड़ी	sari
बहुमुखी	veelvuldige
बहुमुखी	veelvoud
बहुमुखी	veelsydige
पहियों	wta
पहियों	wiele
स्पीयर्स	spears
बहू	bride
बहू	bruid
वेबसाइटों	webwerwe
संभाला	hanteer
स्पा	spa
मातृभूमि	moederland
मातृभूमि	bantoestan
मशीनें	masjiene
पनडुब्बी	duikboot
मुखर	vocal
काउंटर	teller
काउंटर	toonbank
पूर्णांक	heelgetal
शौक	hobby
शौक	stokperdjie
शौक	stokperdjies
निचला	laer
निचला	kleinletters
निचला	verlaag
निचला	sagter
निचला	elektrisiteit
नौकर	dienaar
बोवी	bowie
अफगान	afghaanse
दोहा	doha
टार्ज़न	tarzan
उदासीन	nostalgies
राजमहल	paleis
बसों	busse
मॉर्गन	morgan
सतहों	oppervlaktes
रसेल	russell
संगीतमय	musical
टिक	bosluis
क्राइस्ट	christ
क्राइस्ट	christus
प्रायोजक	borg
प्रायोजक	borge
ब्रिगेड	brigade
पॉलिसी	beleid
कलाई	pols
संभोग	omgang
अल्फ्रेड	alfred
दाखिल	indiening
वेल्श	welsh
वेल्श	wallies
वेल्श	walliese
वेल्श	braille
कराटे	karate
ग्रंथियों	kliere
ट्रैफिक	traffic
ट्रैफिक	verkeer
लिबरल	liberale
खंडहर	puin
कर्क	kreef
कर्क	kanker
लामा	lama
लेज़र	laser
बाइबल	bybel
क्रमांक	nommer
क्रमांक	getalle
क्रमांक	getal
झाँसी	jhansi
धक्का	deurstuur
धक्का	stoot
गोपनीय	geënkripteer
गोपनीय	geheim
गोपनीय	geheime
गोपनीय	sekuriteit
गोपनीय	vertroulik
प्रेत	zombie
स्थलीय	terrestriële
सप्ताहांत	naweke
सप्ताहांत	naweek
कब्रिस्तान	begraafplase
कब्रिस्तान	begraafplaas
बुल्गारिया	bulgaria
पासपोर्ट	paspoort
प्रज्ञा	intelligensie
बेशक	inderdaad
बेशक	sekerlik
आइसलैंड	ysland
प्रमाणीकरण	bekragtiging
टोयोटा	toyota
ब्लाक	blokkeer
ब्लाक	blok
सत्यापन	verifieer
सत्यापन	bekragtiging
सत्यापन	verifikasie
रेशों	silk
प्रत्यावर्ती	afwisselende
वृहद	groter
लॉन्च	eerstes
लॉन्च	lanseer
बीट	beat
बीट	ritme
बीट	klop
कैटरीना	katrina
डिस्ट्रिक्ट	distrik
काठमांडू	katmandoe
सीखना	leer
डॉक्टरों	dokters
पक्का	seker
गला	keel
गला	nek
सुगमता	sigbaarheid
सुगमता	toeganklikheid
स्ट्रॉस	strauss
गार्सिया	garcia
निद्रा	slaap
बहाने	excuses
एक्सप्लोरर	verkenner
एक्सप्लोरर	explorer
छल	teistering
आलम	alam
बिज़नेस	besigheid
प्रतिबद्ध	begaan
कॉलोनी	colony
कॉलोनी	kolonie
आवंटन	toewysing
आवंटन	toewysing
कार्लोस	carlos
अनीता	alice
अनीता	anita
अनोखा	unieke
अनोखा	uniek
अनोखा	roman
रिएक्टर	reaktor
कपाल	skedel
कपाल	skull
श्रोता	luisteraars
श्रोता	luisteraar
श्रोता	gehoor
कॉमन	gemeen
कॉमन	common
कॉमन	gemeenskaplike
आपेक्षिकता	relatiwiteit
लेम्बोर्गिनी	lamborghini
प्याज	ui
प्याज	onion
असीमित	oneindige
असीमित	onbeperk
माउंटबेटन	mountbatten
बग	fout
बग	goggas
बग	bugs
मॉस्को	moskou
सोम	soma
सोम	mon
चन्द्रशेखर	chandrasekhar
टर्नर	turner
हिमानी	gletser
हिमानी	himalaja
ट्रांस	trans
मेहमान	gaste
मेहमान	gas
नियमन	regulering
नियमन	regulasie
जहर	poison
मगरमच्छ	krokodil
गतिज	kinetiese
वेनिस	venesië
वेनिस	venice
खांसी	hoes
आईएसओ	iso
युगांडा	uganda
संख्याएँ	getalle
संख्याएँ	nommers
विभूषण	vibhushan
सुगंध	geure
सुगंध	aroma
जस्टिन	justin
सरकारें	regerings
अहंकार	ego
ज़ाहिर	bekendmaak
अंबेडकर	ambedkar
ठेठ	tipiese
ठेठ	typical
फ़ोर्स	force
फ़ोर्स	forseer
फ़ोर्स	krag
फ़ोर्स	dwing
मोरक्को	morocco
मोरक्को	marokko
सुमात्रा	sumatra
छड़ी	stick
छड़ी	stok
दाम	prys
नहरें	kanaal
नहरें	riviere
नॉर्मन	norman
सराहा	appreciated
माँगा	manga
नाविक	matroos
नाविक	navigator
स्थायित्व	endurance
स्थायित्व	range
स्थायित्व	ranglys
स्थायित्व	stand
इन्दौर	indore
हावर्ड	howard
साम्यवाद	kommunisme
पैमाना	tuis
पैमाना	skaal
तंबाकू	tabak
चिड़िया	voël
पराग	stuifmeel
सूर	sur
उमा	uma
प्री	pre
प्री	vooraf
मैथुन	omgang
मैथुन	seks
मैथुन	geslag
मैथुन	sex
ग्राफिक्स	grafika
संचारित	stuur
पराबैंगनी	ultraviolet
ताम्र	copper
ताम्र	koper
केल्विन	kelvin
अनुपस्थित	absent
अनुपस्थित	ontbreek
अनुपस्थित	vermis
अनुपस्थित	afwesig
फाई	phi
मर्सिडीज	mercedes
सुनहरे	blonde
आगंतुक	besoeker
आगंतुक	bywoner
चीज़ें	dinge
लूप	lus
पेरी	peri
पेरी	perry
चम्मच	lepel
दुकानें	winkels
दुकानें	shops
दुकानें	winkels
अनुपयुक्त	ongebruikte
विरोधाभास	paradoks
जैम	zam
चेयरमैन	chairman
रिश्तेदार	relatief
रिश्तेदार	relatiewe
थैली	vuis
प्रतियोगियों	mededingers
असिमोव	asimov
स्प्रिंग	lente
पिज़्ज़ा	pizza
दैवी	orakel
दैवी	divine
ग़रीब	poor
ग़रीब	arme
ग़रीब	swak
ग़रीब	armes
छात्रवृत्ति	beurs
लिखें	skryf
लिखें	skryf
देवों	devon
सोडा	soda
हुकूमत	koninkryk
विला	villas
विला	villa
सटीकता	akkuraatheid
कोला	kola
कोला	colombo
कोला	cola
धमनियों	arteries
प्रतिजन	antigene
अदालतों	howe
ग्राहम	graham
सर्वोपरि	paramount
प्रमाणन	sertifisering
खरीदी	gekoop
खरीदी	gekoopte
खरीदी	aangekoop
दुखी	hartseer
न्यूट्रॉन	neutron
इमरान	imran
निरीक्षक	inspekteur
निरीक्षक	observer
हैरिस	harris
गियर	toerusting
गियर	gear
राजतंत्र	monargie
सर्कस	sirkus
सर्कस	circus
अल्बानिया	albanië
हीलियम	helium
बादाम	amandel
नागा	naga
प्राचल	parameter
कामकाज	funksionering
मिनेसोटा	minnesota
अंडा	eier
एलर्जी	allergie
माइक्रो	micro
माइक्रो	mikro
वर्दी	uniforms
वर्दी	eenvormige
वर्दी	uniform
उत्कृष्टता	perfeksie
सूर्यास्त	sonsondergang
ताँबा	copper
ताँबा	koper
ऐश	ash
कैलोरी	cal
ईमानदारी	eerlikheid
ईमानदारी	erns
मताधिकार	franchise
वृत्ताकार	sirkelvormige
निर्वासित	outlaw
सरस	sappige
बुनाई	weef
बुनाई	brei
विवाहित	getroude
विवाहित	getrou
विवाहित	getroud
आभा	aura
ईद	eid
बॉन	bonn
बॉन	bon
पाँव	voete
रेखांकित	definieer
कॉलम	kolomme
समस्थानिक	isotoop
कहावत	spreekwoord
कहावत	dictum
कहावत	maxim
टेड	ted
समष्टि	spasie
शायरी	poësie
टेलीग्राफ	telegraph
प्रत्याशी	kandidaat
आवेग	momentum
आवेग	impulse
बर्नार्ड	bernard
बर्नार्ड	barnard
अध्यात्म	spiritualiteit
एमिनेम	eminem
सुनी	geluister
किशोरों	tieners
धर्मार्थ	liefdadigheid
पारा	mercury
पारा	kwik
पारा	para
हार्ले	harley
पेंट	verf
निदेशालय	direktoraat
सोन	seun
नीलामी	veiling
पट्टे	verhuur
नाटो	navo
ब्रह्मचर्य	selibaat
ग्लेन	glen
ग्लेन	glenn
विरल	skaars
आयामी	dimensional
पोर्टफोलियो	portfolio
नवाचार	innovasie
डायमंड	diamond
डायमंड	diamant
फ्रायड	freud
तर्कसंगत	rasionale
पीना	gedrink
पीना	drinking
पीना	drink
पीना	drank
पीना	drankie
स्ट्रिप	strook
स्ट्रिप	strip
संलयन	fusie
अब्दुल्ला	abdullah
वर्जिन	virgin
वर्जिन	maagd
डेप	depp
चक्रों	chakra
सिन्धी	sindhi
मुहाफ़ज़ाह	governorate
अवस्थिति	plasing
अवस्थिति	location
अवस्थिति	ligging
अवस्थिति	liggings
विभिन्नता	variasie
ढोल	drum
ढोल	drom
क्वार्क	kwark
अवकल	differential
राजसी	regal
टिकाऊ	volhoubare
क्रोमियम	chroom
कूप	coupe
कीन	keane
स्टेनली	stanley
लेखनी	pen
अखबारों	koerante
मध्यस्थता	arbitrasie
मध्यस्थता	bemiddeling
सोल	sol
किक	skop
धड़कन	beat
धड़कन	ritme
धड़कन	klop
छल्ले	rings
क्रेन	crane
आखरी	last
आखरी	laas
आखरी	laaste
आखरी	jongste
क्षेत्ररक्षण	kaptein
क्षेत्ररक्षण	fielding
लिली	lili
लिली	lilly
लिली	lily
बेली	bailey
ग्रहीय	planetêre
मॉनिटर	monitor
कोक	coke
मेलबोर्न	melbourne
अकसर	gereeld
अकसर	dikwels
मशरूम	sampioen
शांतिपूर्ण	vreedsame
शांतिपूर्ण	rustige
शांतिपूर्ण	vreedsaam
गरुड़	garuda
फ्लू	flu
नरक	hell
ट्री	boom
बोलना	sprekende
बोलना	speaking
बोलना	gepraat
अवरोधित	geblokkeerde
अवरोधित	geblokkeer
अवरोधित	verhoed
अवरोधित	geblok
आत्मविश्वास	sekerheid
आत्मविश्वास	vertroue
लापता	ontbreek
लापता	vermis
लापता	afwesig
नूर	noor
कंटेनर	houer
राई	rai
दुश्मनों	vyande
वाइड	wyd
फर्नीचर	meubels
फर्नीचर	meubelstuk
वारिस	heir
वारिस	erfgenaam
परिवर्तनशील	veranderlikes
मच्छर	mosquito
अनजान	onbekend
ग्रांट	verleen
ग्रांट	grant
मैग्नीशियम	magnesium
सनी	sunny
सनी	sonnige
सनी	sonnig
प्लेटफॉर्म	platform
भावुक	emosioneel
भावुक	sentimental
कैन	cain
कैन	cannes
घोटाला	scandal
घोटाला	skandaal
घोटाला	bedrog
घोटाला	bedrogspul
रक्षात्मक	verdedigende
मिस्री	egiptiese
चार्टर्ड	chartered
ईर्ष्या	jaloers
अमल	amal
मेडल	medalje
समरूप	homogene
गायों	koeie
जैज़	jazz
गायकों	sangers
गायकों	singers
गायकों	sang
गायकों	sing
गायकों	singing
गायकों	singende
ओक	oak
उड़ा	blow
किनारा	grense
किनारा	rand
किनारा	kant
किनारा	edge
किनारा	grens
किनारा	kante
कौल	kaul
फ्रेड	fred
बुर्ज	tower
बुर्ज	toring
पियरे	pierre
वुड	hout
बंदरगाहों	hawe
बंदरगाहों	port
बंदरगाहों	poort
अलेक्जेंडर	alexander
परिमित	eindige
वर्षगांठ	herdenkings
वर्षगांठ	herdenking
क्योटो	kioto
आर्किटेक्चर	argitektuur
फैक्ट्री	fabriek
वॉर्स	oorloë
वॉर्स	wars
ओंटारियो	ontario
वायरल	virale
एडवेंचर	avontuur
अनुग्रह	grace
स्टीवर्ट	stewart
गिल्ड	guild
डेविडसन	davidson
घंटी	klok
घंटी	klokkie
कूपर	cooper
कैरोलिना	carolina
प्लान	plan
विदा	vida
मिर्जा	mirza
खिंचाव	strek
खिंचाव	rek
माफी	forgiveness
व्लादिमीर	wladimir
प्रणाम	groete
दौलत	rykdom
कोचीन	kochi
बर्गर	burger
बेहोश	bewusteloos
वर्ड	woord
प्रभार	hef
प्रभार	lading
प्रभार	heffing
प्रभार	charge
म्यांमार	mianmar
मार्गरेट	margaret
बांसुरी	fluit
दिशानिर्देश	aanwysings
दिशानिर्देश	voorskrifte
दिशानिर्देश	riglyne
माननीय	agbare
माननीय	geagte
बधाई	geluk
बधाई	greetings
बधाई	geluk
हॉस्पिटल	hospitaal
प्रांगण	perseel
प्रांगण	courtyard
फास्फेट	fosfaat
नीलम	saffier
जलसन्धि	strait
उठी	ingesamel
पोर्टेबल	psp
पोर्टेबल	portable
पोर्टेबल	draagbare
स्विंग	swing
मर्फी	murphy
जेड	jade
हार्बर	hawe
टिप्पणियाँ	opmerkings
प्रिंटर	drukker
प्रिंटर	drukkers
सिनसिनाटी	cincinnati
फुल	vol
फुल	volle
जागरूक	bewus
जागरूक	geweet
अनिश्चितता	onsekerheid
अस्सी	eighty
आंद्रे	andré
सीआईडी	cid
वंदना	vandana
विषयवस्तु	tevrede
विषयवस्तु	temas
विषयवस्तु	kommentaar
सूरीनाम	suriname
फोर्ब्स	forbes
एजेंटों	agente
प्रेमियों	liefhebbers
आनुवंशिकी	genetika
विलीन	oplos
हथेली	palm
अज़ाब	aanslag
अज़ाब	doom
रिक	rick
रिक	rik
बर्मिंघम	birmingham
गुस्से	woede
आर्यन	ariese
लगन	toewyding
लगन	lagan
चाकू	knife
चाकू	mes
परिवर्तनीय	veranderlikes
निर्दोष	onskuldige
निर्दोष	onskuldig
निर्दोष	innocentius
निर्दोष	innocent
महायान	mahayana
लीबिया	libië
उज़बेक	oesbekies
पिछला	last
पिछला	laas
पिछला	laaste
पिछला	jongste
झुंड	herd
घुड़सवार	equestrian
प्रसाधन	toilet
प्रसाधन	hulpbronne
ईमानदार	eerlike
जोस	jose
जोस	josé
मल्टी	multi
चंदन	sandal
अंकीय	syfer
अंकीय	numeries
अंकीय	numeriese
असेम्बली	saamstel
असेम्बली	gemeente
लड़ी	draad
कानों	ore
चांसलर	chancellor
विवेकानंद	vivekananda
अहसास	voel
चक्रीय	siklies
चक्रीय	sikliese
किपलिंग	kipling
अस्थाई	tydelik
अस्थाई	geheue
अस्थाई	tydelike
तैमूर	timoer
योद्धाओं	warriors
कलाकृति	masterpiece
कलाकृति	kunswerk
नाइजीरिया	nigerië
नाइजीरिया	nigeria
मिसिसिपी	mississippi
थ्रिलर	riller
बेलनाकार	silindriese
अंतरजाल	internet
रहो	bly
अब्बास	abbas
गिद्ध	aasvoëls
गिद्ध	aasvoël
पोस्टर	poster
पोस्टर	plakkate
छात्रावास	slaapsaal
वंशजों	afstammelinge
रंजक	pigment
उंगलियों	fingers
उंगलियों	byderhand
चॉकलेट	sjokolade
राइफल	geweer
मेक	maak
बल्ले	vlermuis
उछाल	hop
सुन्दरता	skoonheid
अंतरिम	interim
जबड़े	jaws
सर्वनाम	voornaamwoord
नंदा	nanda
शेल	tolk
शेल	dop
सू	sue
सू	sioux
सू	soo
रसोई	kombuis
वाक	spraak
वाक	toespraak
वाक	speech
चिकित्सालय	hospitaal
फंस	vasgevang
फंस	vasgekeer
चट्टानें	klippe
चट्टानें	rotse
तीतर	patrys
चतुर	hefboom
चतुर	clever
खानपान	spyseniering
अस्वीकृत	afgekeur
अस्वीकृत	geweier
अस्वीकृत	verwerp
अस्वीकृत	afgewys
अस्वीकृत	afgekeur
अस्वीकृत	verwerp
अस्वीकृत	verwerp
सजातीय	homogene
परिवर्तक	converter
किराया	huur
खिलौने	speelgoed
महीना	maand
मंगेशकर	mangeshkar
रिपोर्टिंग	rapporte
नैनो	nano
नमकीन	souterige
नमकीन	salty
चटनी	blatjang
प्लेग	plaag
अज्ञान	ignorance
नबी	profeet
नबी	profesie
नबी	nabi
हेल	hel
परी	barry
परी	fairy
परी	engel
परी	angel
कीचड़	mud
छुपा	versteek
छुपा	weggesteek
छुपा	verberg
छुपा	versteek
छुपा	verberg
ड्राफ्ट	konsep
राइस	rys
मात	maät
रेफरी	skeidsregter
साहसी	courageous
ताज़ा	vars
उपेक्षित	geïgnoreer
ज़िंदगी	lewe
खादी	khadi
दरें	tariewe
अवशिष्ट	residual
पेशेवरों	professionals
श्वार्ज़नेगर	schwarzenegger
धूमकेतु	komeet
कॉनकॉर्ड	concorde
मिश्रधातु	legering
आइटम	items
आइटम	item
क्षणिक	kortstondige
फॉर्मेट	formateer
फेस	gesiggie
फेस	gesig
कस्तूरी	musk
पांव	voete
मीट्रिक	metrieke
मीट्रिक	metriek
बांग्लादेशी	bangladesj
डिज़ाइनर	ontwerper
क्रीड़ा	sportsoorte
क्रीड़ा	sport
एकाग्रता	konsentrasies
एकाग्रता	konsentrasie
एकाग्रता	studierigting
ईकाई	eenheid
भतीजे	neef
भतीजे	nefies
कुंभ	waterdraer
संभाव्यता	waarskynlikheid
अपर	boonste
मेरिल	merrill
स्तनधारियों	mammals
संकेतक	wyser
स्पष्टता	duidelikheid
बेंज	benz
तंजानिया	tanzanië
गोल्डबर्ग	goldberg
एडी	eddie
नहरों	kanaal
पिस्तौल	pistool
विभेदन	resolusie
गुफाएं	caves
सूक्ष्मजैविकी	mikrobiologie
उज़्बेकिस्तान	oesbekistan
सीरियल	nigerië
सीरियल	nigeria
सीरियल	serie
सीरियल	algerië
रिवर्स	omgekeer
रिवर्स	reverse
रिवर्स	agteruit
कार्यपालिका	uitvoerende
ठहरने	habitable
झटका	shock
झटका	skok
कैदी	gevangene
कैदी	gevangenes
साओ	cao
साओ	sao
विंडो	venster
विंडो	kykers
कैश	kas
कैश	cache
लिप्यन्तरण	transliterasie
केंट	kent
इराकी	iraqi
इराकी	irak
अराजकता	anargie
अराजकता	chaos
मेटा	meta
सिग्मा	sigma
पाला	pala
आजीविका	loopbaan
आजीविका	livelihood
फायदे	pros
फायदे	voordele
गिरवी	pion
बार्कलेज	barclays
नवीकरण	hernuwing
नाममात्र	nominaal
मल्टीमीडिया	multimedia
ग्लेशियर	gletser
मैराथन	marathon
मैराथन	maraton
पोटेशियम	kalium
लारा	lara
थर्मल	termiese
झाड़ी	struik
डेविल	duiwel
अधूरा	onvolledige
अधूरा	onvoltooid
अधूरा	onvolledig
स्क्रीनिंग	verwerking
सर्वसम्मति	consensus
टर्बाइन	turbine
कार्यशील	hardloop
किंवदंती	legende
लाओस	laos
साइप्रस	cyprus
गाढ़ा	vet
गाढ़ा	vetdruk
एंथोनी	anthony
बाग़	orchards
बीयर	bier
ड्राइविंग	bestuur
ड्राइविंग	driving
वेनेजुएला	venezuela
जीनों	genes
बोनस	bonus
जलाकर	lit
ज्या	sinus
ज्या	sine
ज्या	skyn
थाना	tronk
थाना	gevangenis
झूठे	leuenaar
अस्थियों	bones
अस्थियों	bene
पिक्सेल	pixels
पिक्सेल	pixel
लॉयड	lloyd
ब्रेट	brett
हीट	heat
हीट	hitte
वायसराय	viceroy
क्राय	krai
सुनहरा	goue
सुनहरा	golden
सुनहरा	goud
नमाज़	gebed
बैंडविड्थ	bandwydte
कर्कट	kreef
कर्कट	kanker
शौचालय	toilet
पर्सनल	persoonlik
पर्सनल	persoonlike
पहिया	wiel
पहिया	tire
लोकल	lokale
लोकल	plaaslike
लोकल	plaaslik
पुनरुद्धार	restourasie
पुनरुद्धार	herlewing
पुनरुद्धार	revival
मस्जिदों	moskees
मस्जिदों	moskee
विकासवादी	evolusionêre
डेयरी	dairy
पुनरुत्थान	resurgence
जावास्क्रिप्ट	javascript
गेल	gela
गेल	gail
छू	touch
छू	aanraking
पंक्तियाँ	rye
पंक्तियाँ	reëls
हाइकु	haiku
जेफ	jeff
मददगार	helper
वर्णनात्मक	beskrywende
मद	items
मद	item
मिशनरी	sendeling
बियोवुल्फ़	beowulf
पिताजी	pa
पिताजी	pappa
प्रसन्नता	gaiety
मोल	moll
सबवे	subway
वू	woo
चोटियों	pieke
पुनर्जन्म	reïnkarnasie
पर्यायवाची	sinoniem
रनर	naaswenner
रनर	runner
जेसन	jason
क्रोएशिया	kroasië
आरा	altaar
आरा	ara
कल्याणकारी	sake
कल्याणकारी	oorsake
सेटिंग	opset
सेटिंग	instelling
सेटिंग	stellings
सेटिंग	verstellings
नीरो	nero
उस्मानी	ottoman
ग्लासगो	glasgow
आंखें	oë
परिसंचरण	sirkulasie
ताश	kaarte
हस्तलिखित	handgeskrewe
प्रेषण	ratkas
प्रेषण	dispatch
एमिली	emily
पोलियो	polio
लिथियम	lithium
बॉयल	boyle
पालक	spinasie
फैमिली	familie
फैमिली	gesin
बॉक्सिंग	boks
हिरन	takbokke
हिरन	takbok
चैपल	kapel
चैपल	chapel
होंडा	honda
मध्यस्थ	mediator
अभिभावक	ouers
अभिभावक	ouer
फ्लैट	plat
टेन	tien
शील्ड	skild
शील्ड	skuld
आइवी	ivy
गार्डनर	gardner
मॉन्ट्रियल	montreal
हेलो	hallo
हेलो	hello
हेलो	halo
कविताएं	poems
कविताएं	gedigte
कोका	coca
रॉड	staaf
रॉड	rod
निरस्त	kanselleer
निरस्त	verander
बुद्धिमत्ता	intelligensie
बुद्धिमत्ता	wysheid
चेचक	pox
नर्स	verpleegsters
नर्स	nurse
नर्स	verpleegster
उठती	toeneem
इकट्ठे	assemble
मुड़	gedraaide
मुड़	twisted
जया	jaya
नार्वे	noorweë
धैर्य	geduld
धैर्य	endurance
फट	bars
उत्पादकों	producers
उत्पादकों	vervaardigers
महत्वाकांक्षी	ambisieuse
त्रिनिदाद	trinidad
बकाया	uitstaande
कोल्ड	cold
कोल्ड	koue
कोल्ड	koud
ज़ांज़ीबार	zanzibar
नागालैण्ड	nagaland
कै	kai
प्रकार्य	kommentaar
गुंजाइश	tuis
देय	betaalbaar
धीमे	stadig
धीमे	stadig
अवांछित	onnodige
अवांछित	ongewensde
अवांछित	ongewenste
समोआ	samoa
सममिति	simmetrie
अनमोल	precious
मार्मिक	aandoenlik
कक्षों	chambers
स्पार्टा	sparta
रिमोट	afgeleë
रिमोट	remote
आत्माओं	gees
आत्माओं	geeste
आत्माओं	spirits
