terra	테라
carol	캐롤
pic	pic
crystal	크리스털
crystal	크리스탈
hindi	힌디어
shorts	반바지
wells	웰스
blokk	차단
blokk	블록
blokk	블럭
overkant	초과
skottlands	스코틀랜드
emily	emily
emily	에밀리
åbo	투르쿠
toer	듀스
benz	벤츠
grekere	그리스인
varighet	기간
arven	레거시
arven	상속
aaron	에런
aaron	아론
pleier	보통
pleier	경향
pleier	경향이
eyes	눈빛
fremgang	진행
cardiff	카디프
utfyllende	포괄적
irakiske	이라크
wind	바람
willie	윌리
adresser	주소
catholic	가톨릭주의
catholic	가톨릭
enormt	거대
enormt	거대한
rettssak	재판
objektet	객체
objektet	개체
objektet	대상
objektet	천체
cohen	코헨
imperial	임페리얼
forfølgelse	박해
mottakelse	접수
lovgivning	입법
lovgivning	법률
lovgivning	법률
feste	party
feste	파티
stranda	바닷가
stranda	해변
stranda	비치
fraser	어구
fraser	문구
fraser	프레이저
penn	pen
lotus	로터스
frekvens	주파수
frekvens	빈도
forsterkninger	강화
presentere	소개합니다
presentere	현재
presentere	선물
umiddelbar	즉석
umiddelbar	인스턴트
umiddelbar	즉시
umiddelbar	즉각
aalborg	올보르
potensielle	잠재력
potensielle	퍼텐셜
potensielle	잠재
potensielle	잠재적
hopkins	홉킨스
today	오늘도
today	오늘
bueskyting	양궁
ocean	바다
ocean	오션
advarsel	경고
advarsel	경고
advarsel	주의
logisk	논리적
kleopatra	클레오파트라
støttes	지원합니다
støttes	지원
støttes	지원함
lines	라인
unikt	고유
unikt	독특한
schneider	슈나이더
elektroner	전자
geologisk	지질학
geologisk	지질
geologisk	지질학
geologisk	지질
portland	포틀랜드
geometri	지오메트리
geometri	기하학
sunderland	선덜랜드
astronomiske	천문
pedagogisk	교육
fredelig	평화로운
fredelig	평화롭고
ekspert	전문가
montreal	몬트리올
søyler	기둥
kabul	카불
sid	시드
sid	sid
hearts	하트
sardinia	사르데냐
trusler	협박
trusler	위협
helikopter	헬리콥터
helikopter	헬기
øyeblikkelig	즉시
øyeblikkelig	즉석
øyeblikkelig	인스턴트
øyeblikkelig	즉시
øyeblikkelig	즉각
øyeblikkelig	즉시
konferanse	회담
konferanse	콘퍼런스
konferanse	회의
magi	마술
magi	마법
magi	magic
magi	매직
etikk	윤리학
etikk	윤리
stigende	라이징
hopper	점프
hopper	장애물
hopper	점핑
hopper	점프
anledningen	행사
misjon	미션
misjon	선교
klein	클라인
originalen	원본
originalen	오리지널
macdonald	맥도널드
macdonald	맥도날드
folkelig	인기가요
folkelig	인기
folkelig	인기가
hoteller	호텔
grenen	지점
grenen	분기
telefon	전화
telefon	전화기
telefon	전화번호
telefon	휴대폰
telefon	전화
telefon	전화기
ving	날개
sopp	곰팡이
sopp	버섯
sopp	버섯
avslutningen	졸업식
avslutningen	졸업
tommer	인치
tommer	인치
bing	bing
uklar	불분명하다
uklar	불분명
performance	공연
performance	성과
performance	성능
gradene	계급
fiji	피지
bevist	입증
åndelig	정신적
medarbeider	직원
medarbeider	동료
strømmer	스트림
kommisjon	위원회
overalt	어디서나
overalt	어디든
overalt	어디든지
taliban	탈레반
rome	로마
misnøye	불만
brått	갑작스럽게
brått	갑자기
avenue	애비뉴
karbon	탄소
domstol	법정
domstol	재판소
domstol	법원
minnesmerke	메모리얼
minnesmerke	기념비
minnesmerke	기념관
jamie	제이미
audi	아우디
mosambik	모잠비크
morrison	모리슨
plikt	듀티
plikt	의무
alberta	앨버타
jenta	girl
jenta	소녀
konsentrerte	농축
korstog	십자군
korstog	십자군
korstog	크루세이더
niger	니제르
weimar	바이마르
overføring	변속기
overføring	전송
overføring	전송
cromwell	크롬웰
vor	vor
dante	단테
catalonia	카탈루냐
catalonia	카탈루냐
afghanske	아프가니스탄
sokker	양말
sokker	socks
avklart	해결되었습니다
avklart	정착
fish	피쉬
fish	피시
fish	생선
fish	물고기
buffalo	버팔로
buffalo	버펄로
landsbyene	마을
borneo	보르네오
fysiologi	생리학
liberty	리버티
templer	신전
templer	사원
keep	유지
alfabetisk	가나다순
alfabetisk	가나다순으로
homofile	게이
homofile	게이이
cortina	코티나
syriske	시리아
concert	연주회
concert	콘서트
sparken	통조림
utredning	조사
utredning	수사
timothy	티모시
butterfly	나비
winston	윈스턴
barndommen	어릴적
barndommen	어린시절
konsept	concept
konsept	컨셉
konsept	개념
luthersk	루터교
utvidelser	확장자
riddere	나이트
jose	조제
spesialist	전문가
sykkel	자전거
sykkel	자전거
statskupp	쿠데타
journalistikk	저널리즘
arrow	화살
arrow	화살표
satser	도박
satser	내기
forsinket	지연
forsinket	뒤늦게
tank	탱크
tank	전차
fremtidig	미래
fremtidig	퓨처
marmor	대리석
rasisme	인종차별
utstedt	발급
utstedt	발행
nåde	자비
nåde	그레이스
nåde	은혜
innvandring	이민
innvandring	이민호
cornwall	콘월
bombe	폭탄
pannen	이마
beregning	계산법
beregning	계산
dominikanske	도미니카
overgi	항복
kinesere	중국인
kinesere	중국어
dukke	인형
beslutninger	결정
klemens	클레멘스
klemens	클레멘트
klemens	클레멘스
sannsynlighet	확률
sannsynlighet	확률론
gjenopprette	복구
gjenopprette	복원하기
gjenopprette	복원
gjenopprette	복구
gjenopprette	회복
utestengt	차단됨
narkotika	약물
narkotika	의약품
narkotika	약품
narkotika	마약
narkotika	마약
dimensjoner	차원
dimensjoner	크기
karibia	캐리비안
karibia	카리브
brente	불태웠다
brente	화상
blokkere	차단
blokkere	차단
blokkere	블록
blokkere	블럭
platon	플라톤
hoffmann	호프먼
hoffmann	호프만
verd	가치
verd	가치가
dyktige	숙련
computer	컴퓨터
sauer	양양
kavaleri	기병대
kavaleri	기병
greier	물건
sjel	영혼
sjel	소울
fasaden	파사드
baltimore	볼티모어
statsborger	시민
statsborger	시티즌
modus	모드
idol	아이돌이
idol	아이돌
engel	천사
engel	엔젤
fiat	피아트
celle	셀프
celle	세포
ekvator	적도
trene	열차
trene	기차
trene	트레인
łódź	우치
kald	춥다
kald	감기
kald	추위
kald	차가운
underground	지하
underground	언더그라운드
polynesia	폴리네시아
sønnesønn	손자
ground	그라운드
kalenderen	달력
kalenderen	캘린더
nekter	거절
demonstrasjoner	시위
gravid	임신
xbox	엑스박스
binder	바인딩
seil	항해
half	절반
belte	벨트
lama	라마
våpenhvile	휴전
våpenhvile	휴전
brenne	굽기
brenne	화상
helter	영웅
helter	히어로
helter	히어로즈
fjern	삭제
fjern	지우기
fjern	제거
fjern	삭제하기
mandolin	만돌린
vegger	성벽
fader	아버지
stevens	스티븐스
avgjørelser	결정
formatet	형식
formatet	포맷
formatet	형식으로
felter	필드
fbi	fbi
leiligheter	아파트
said	말했다
eksklusiv	독점
eksklusiv	단독
sammenligne	비교하기
sammenligne	비교
somerset	서머싯
server	서버
aragón	아라곤
juryen	배심원
betty	베티
belfast	벨파스트
angela	안젤라
angela	안젤로
fortiden	과거
virkelighet	리얼리티
virkelighet	현실
richter	리히터
akt	act
bevise	증명
følges	팔로우
crew	크루
crew	승무원
isolerte	고립
claudia	클로디아
claudia	클라우디아
trombone	트롬본
enkeltpersoner	개인
leslie	레슬리
booth	부스
dataene	자료
dataene	데이터
deling	공유
førti	마흔
slovensk	슬로베니아
slovensk	슬로베니아어
radius	반지름
begravelse	매장
begravelse	장례
begravelse	장례식장
begravelse	장례식
begravelse	장례
mystisk	mysterious
mystisk	신비
mystisk	미스틱
alternativer	대안
alternativer	옵션
klassene	클래스
klassene	수업
idretter	스포츠
musikal	뮤지컬
highway	고속도로
highway	하이웨이
reprise	다시보기
reprise	리플레이
reprise	재생
keiserdømmet	엠파이어
keiserdømmet	제국
kandidaten	후보
kandidaten	후보자
quebec	퀘벡
sko	신발
infanteri	보병
toscana	토스카나
hvaler	고래
planeter	행성
relativ	상대
relativ	상대적
relativ	친척
fiolinist	바이올리니스트
dekkes	커버
dekkes	덮여
forskjellene	차이와
forskjellene	차이
forskjellene	차이점
weber	웨버
returnere	반납
returnere	반환
returnere	리턴
returnere	귀환
returnere	복귀
skinner	빛나고
skinner	빛나
skinner	빛나는
messe	미사
messe	매스
messe	대량
messe	질량
kontroversiell	논란이
kontroversiell	논란
kast	던지기
uranus	천왕성
eksperter	전문가들
eksperter	전문가
seksjoner	섹션
thriller	thriller
thriller	스릴러
varemerke	상표권
varemerke	상표
varemerke	상표
comeback	컴백
richardson	리처드슨
mainz	마인츠
nordmann	노르웨이어
nordmann	노르웨이
definisjoner	정의
drømmer	dreamer
drømmer	드림
drømmer	꿈꾸고
queensland	퀸즐랜드
især	특히
især	특히
forlengelse	확장
forlengelse	연장
forlengelse	확장자
forlengelse	확대
tull	헛소리
studerer	공부하기
studerer	공부
pittsburgh	피츠버그
fleming	플레밍
sannhet	진실
sannhet	진리
smerte	통증
smerte	통증이
smerte	고통
iblant	때로는
iblant	가끔은
iblant	가끔
iblant	때때로
león	레온
obligatorisk	필요함
obligatorisk	필수
obligatorisk	필수
mail	편지
mail	메일
mail	우편
monarki	군주제
monarki	군주
innledning	소개
innledning	도입
innledning	소개팅
poly	폴리
beregne	계산하기
beregne	계산
pensjonert	은퇴
pensjonert	퇴직
perm	파마
oman	오만
oman	오만의
freddy	프레디
lek	놀기
lek	재생
lek	연주
lek	플레이
medisiner	의약품
medisiner	약물
sidney	시드니
kill	킬링
rettferdighet	정의
veiene	도로
delingen	공유해
delingen	공유하기
delingen	공유
elsa	엘사
theodore	시어도어
snu	턴제
samoa	사모아
uoffisielle	비공식
sing	sing
sing	노래
løv	나뭇잎
løv	잎새
bevaring	보존
lojalitet	충성
lojalitet	멤버십
kostnader	청구
kostnader	비용
kostnader	비용
matthias	마티아스
konklusjon	결론
konklusjon	결론
tviler	의심
grus	자갈
derek	데릭
skyggen	섀도우
skyggen	섀도
skyggen	그림자
argumentet	논증
argumentet	인수
argumentet	논쟁
dmitrij	드미트리
glatt	부드럽게
knapp	버튼
knapp	단추
juventus	유벤투스
bordeaux	보르도
hefte	소책자
taipei	타이페이
taipei	타이베이
rocky	록키
rocky	로키
retriever	리트리버
innvirkning	영향
innvirkning	영향력
innvirkning	임팩트
forever	영원
forever	영원히
forever	forever
forever	영원한
myke	부드러워
myke	청량
myke	부드럽게
myke	부드러운
myke	소프트
visjon	비전
visjon	시력
visjon	시각
monarkiet	군주제
monarkiet	군주
sedan	세단
greene	그린
utfallet	결과
tilstedeværelse	존재
innlegget	게시
innlegget	게시글
innlegget	포스트
innlegget	게시물
kommunisere	소통
kommunisere	소통
løfter	약속
keltisk	켈트
keltisk	셀틱
gotiske	고딕
deltager	참가자
rival	라이벌
authority	권위
hviterussisk	벨라루스어
hviterussisk	벨라루스
hjørne	구석
hjørne	모퉁이
hjørne	코너
grammatikk	문법
spesifikk	구체적
spesifikk	특정
spesifikk	구체
titt	표정
record	레코드
record	녹음
record	녹화
record	기록
justice	정의
seksuelt	성적
menneskeheten	인류
menneskeheten	인류
testing	테스트
testing	검사
testing	시험
krønike	크로니클
krønike	연대기
baldwin	보두앵
baldwin	볼드윈
genova	제노바
genova	제노바
beta	베타
ike	아이크
atten	여덟
atten	열여덟
movement	움직임
movement	운동
rettferdig	공정
rettferdig	박람회
rettferdig	페어
røyken	연기
røyken	담배
vietnamesisk	베트남어
vietnamesisk	베트남
vietnamesisk	베트남인
lea	리아
lea	레아
around	주위
around	주변
vurderinger	평가
vurderinger	평점
plantet	심어
nicaragua	니카라과
nicaragua	니카라과의
trilogien	삼부작
wellington	웰링턴
wellington	wellington
bahamas	바하마
sinne	분노
skinn	가죽
skinn	숨기기
imponert	감동
money	머니
money	돈이
drømmen	드림
opphavsrett	저작권
opphavsrett	저작권자
opphavsrett	저작권
skjær	잘라
tortur	고문
tortur	고문의
barnes	반즈
rand	랜드
senegal	세네갈
commission	위원회
interiør	인테리어
interiør	내부
vennene	친구
vennene	프렌즈
vennene	친구들이
vennene	친구들
importert	가져오기
importert	수입
importert	가져온
importert	가져옴
angelo	젤로
angelo	안젤로
eksemplar	견본
regulering	규제
regulering	규정
regulering	교정
virus	바이러스
virus	바이러스
klostre	수도원
originalt	원본
originalt	오리지널
tape	테이프
tape	lose
glen	글렌
skulpturen	조각상
skulpturen	조각
bundesliga	분데스리가
schlesien	실레시아
avstander	거리
randy	랜디
blank	윤기
blank	비어
liters	리터
skulptør	조각가
skulptør	조각가자리
slaveri	노예제도
slaveri	노예제
godta	수락
orientert	지향
tristan	트리스탄
duo	듀오
plikter	의무
lykkelig	해피
lykkelig	행복
lykkelig	행복해
lykkelig	행복하다
lykkelig	행복한
høvding	과장
høvding	치프
føtter	발발
mønstre	패턴
sharp	샤프
sharp	예리
stjålet	도난
synker	침몰
skygge	섀도우
skygge	섀도
skygge	그림자
skygge	그늘
münster	뮌스터
smart	영리한
smart	영리
smart	스마트
kaos	혼란
kaos	혼돈
kaos	카오스
isak	이삭
burns	번스
burns	화상
tilfeldige	무작위
tilfeldige	무작위로
tilfeldige	랜덤
sår	아픔
sår	상처
sår	부상
sår	상처
godset	부동산
blinde	블라인드
innovasjon	혁신
partia	파르티아
opprørere	반군
opprørere	반란군
duett	듀엣
duett	duet
dokumentet	문서로
dokumentet	문서
stage	스테이지
stage	무대
janne	janne
avsluttende	닫기
falls	폭포
oppnår	달성
kolleger	동료들
kolleger	동료들
kolleger	동료
daler	골짜기
publisere	게시
publisere	포스팅
publisere	게시
publisere	출판
publisere	발행
publisere	게시
publisere	출판
pen	예뻐
mørket	어둠
mørket	암흑
berømmelse	명성
berømmelse	페임
rotasjon	회전
avfall	낭비
avfall	폐기물
airbus	에어버스
gale	강풍
gale	미쳐
gale	미친
trærne	나무들
trærne	트리
trærne	나무
forvirring	혼란
forvirring	혼돈
forvirring	혼동
murer	성벽
afc	afc
tuberkulose	폐결핵
tuberkulose	결핵
betaler	지불
betaler	지불
ambisjoner	야망
armer	무기
krigere	전사
krigere	워리어스
uvanlige	특이한
uvanlige	unusual
durham	더럼
tørt	건조
tørt	드라이
fiskere	어부
forandring	바뀌기
forandring	변화
forandring	변경
forandring	바꾸기
cornell	코넬
hubert	휴버트
bekymret	걱정
beboere	레지던트
beboere	주민들
beboere	거주자
connor	코너
møbler	가구
rwanda	르완다
bytter	스위치
bytter	전환
habitat	서식지
prestene	사제들
forhandle	협상
forhandle	협상
klikk	클릭
klikk	클릭
pensjonerte	은퇴
pensjonerte	퇴직
kuwait	쿠웨이트
klager	불평
klager	불평
klager	불만이
klager	불만
kjøring	드라이빙
kjøring	운전
kjøretøyer	차량
forfedre	조상
botswana	보츠와나
mad	mad
variabel	변광성
variabel	변수
mia	mia
mia	미아
malm	광석
legende	전설
legende	레전드
kanton	캔턴
forfatning	헌법
overskriften	헤드라인
overskriften	제목
uniform	유니폼
uendelig	인피니트
uendelig	무한
nøytralt	중성
nøytralt	중립성
nøytralt	중립
becker	becker
claire	클레어
café	카페
café	카페
sitert	인용
sitert	인용된
madonna	성모
madonna	마돈나
gates	게이츠
drikker	음주
drikker	마시기
lensmann	보안관
barrett	배럿
iransk	이란어군
iransk	이란
gjentatt	반복
førere	운전자
førere	드라이버
førere	운전사
lokalbefolkningen	지역주민
balanse	균형
balanse	밸런스
balanse	잔액
ros	칭찬
ros	찬미
ros	찬양
sliter	투쟁
rally	집회
rally	랠리
rally	랠리
grunne	얕은
porsche	포르쉐
ekstrem	극단
ekstrem	익스트림
ekstrem	극한
undersøkelsen	설문조사
louvre	루브르
kjede	사슬
kjede	연쇄
kjede	체인
eden	이든
eden	에덴
grønnsaker	채소
grønnsaker	야채
capitol	캐피틀
capitol	캐피톨
capitol	의사당
capitol	캐피탈
overlever	생존
overlever	살아남기
bahrain	바레인
belize	벨리즈
gjenforent	재결합
alonso	알론소
armensk	아르메니아어
armensk	아르메니아
armensk	아르메니아인
mauritius	모리셔스
samveldet	연방
sms	sms
fordeling	분포
fordeling	분배
fordeling	배포
fordeling	배포판
feiringen	축하
destinasjoner	목적지
skjerm	화면
skjerm	스크린
skjerm	표시
skjerm	표시하기
skjerm	디스플레이
skjerm	모니터
skjerm	모니터링
kule	총알
kule	탄환
spore	트랙
spore	추적
globalt	전세계
globalt	글로벌
globalt	전역
kids	키즈
kids	애들
kids	아이들
kids	어린이
arbeidskraft	노동
ukentlig	주간
ukentlig	매주
armen	팔이
joshua	joshua
joshua	조슈아
seriøst	진심
seriøst	심각하게
seriøst	진지하게
fikse	fix
fikse	고쳐
fikse	고치
fikse	고치기
provence	프로방스
dubai	두바이
ferie	휴일
ferie	명절
ferie	연휴
ferie	홀리데이
ferie	휴가
ferie	공휴일
ferie	방학
ferie	휴가
cut	잘라
talenter	재능
talenter	탤런트
fallet	떨어지지
fallet	떨어지는
fallet	떨어짐
kramer	크레이머
feat	feat
lancaster	랭커스터
sult	굶주림
sult	기아
sult	굶주림
sult	헝거
sult	배고픔
rainbow	레인보우
rainbow	무지개
usbekistan	우즈베키스탄
darmstadt	다름슈타트
wanderers	원더러스
radikal	급진주의
parametre	매개변수
forårsake	원인
vilnius	빌뉴스
inside	인사이드
inside	내부
kuler	총알
uoffisiell	비공식
eksplisitt	명시적으로
eksplisitt	명시
eksplisitt	명시적
progressive	진보주의
progressive	프로그레시브
statuer	동상
statuer	조각상
hytter	객실
berry	베리베리
berry	베리
programmering	프로그래밍
miranda	미란다
strange	이상한
strange	이상하다
face	얼굴
face	얼굴이
sandra	산드라
sandra	샌드라
opplevelse	경험
opplevelse	체험
kapasiteten	용량
manila	마닐라
ofrene	희생자
ofrene	피해자
mistenkt	용의자
inngang	입구
bhutan	부탄
larve	라바
muslimsk	이슬람교
muslimsk	무슬림
parma	파르마
togene	기차
togene	열차
lederskap	지도력
lederskap	리더십
troende	신자
fester	파티
avhengige	중독
avhengige	종속
overordnet	부모
overordnet	부모님
dødsstraff	죽음
dødsstraff	사망
dødsstraff	데스
utfordring	도전
residens	거주지
residens	주택
residens	레지던스
residens	주택지
sitater	따옴표
jentene	소녀
jentene	소녀들
jentene	걸스
volkswagen	폭스바겐
damaskus	다마스쿠스
sats	내기
sats	bet
sats	베팅
støv	먼지
bark	나무껍질
kontinentale	콘티넨탈
kontinentale	대륙
kontinentale	콘티넨털
gravlund	묘지
brand	브랜드
mynt	동전
mynt	뒷면
mynt	꼬리
hood	후드
banjo	밴조
distribuert	분산
savnet	놓쳤다
savnet	실종
savnet	누락
savnet	missing
elliott	엘리엇
howe	하우
kronisk	만성적인
kronisk	만성
ist	ist
fødselsdag	생일
stabilt	안정화
stabilt	안정환
stabilt	안정적
stabilt	안정
fler	기타
anonym	익명
skuldre	어깨
savner	그리워
savner	미스
plattformer	플랫폼
bekrefte	검증
bekrefte	확인
bekrefte	인증
bekrefte	확인하기
bekrefte	확인
godkjenning	승인
unger	키즈
unger	애들
unger	아이들
unger	어린이
stoke	스토크스
stoke	스토크
champagne	샴페인
finansiering	자금
pioner	파이어니어
pioner	파이오니아
reporter	기자
reporter	리포터
seremoni	의식
syrisk	시리아어
syrisk	시리아
vista	비스타
beskyldt	피고
beskyldt	피고인
hero	히어로
hero	영웅
mills	밀스
einstein	아인슈타인
past	과거
framtid	미래
framtid	퓨처
brad	브래드
platina	플래티넘
platina	백금
frøken	그리워
frøken	미스
forvente	기대
stige	사다리
ladies	숙녀
jet	제트
jet	제트기
toyota	토요타
politimann	경찰
politimann	캅카스
politimann	경찰관
portsmouth	포츠머스
slaviske	슬라브어
plymouth	플리머스
måling	측정
kjærligheten	러브
kjærligheten	사랑
legemidler	제약
legemidler	의약품
legemidler	약품
legemidler	의약품
rich	부자
badminton	배드민턴
arbeidsplasser	작업
arbeidsplasser	일자리
arbeidsplasser	직업
arbeidsplasser	잡스
arbeidsplasser	직장
strasbourg	스트라스부르
klatring	등산
klatring	등반
clay	클레이
musical	뮤지컬
arctic	북극
hello	여보세요
hello	헬로
hello	hello
ssp	ssp
høyskole	대학교
høyskole	대학
høyskole	칼리지
høyskole	대학생
independent	독립
independent	독립적
litauisk	리투아니아어
litauisk	리투아니아
vilt	와일드
vilt	야생
konto	계좌
konto	계정
helsinki	헬싱키
portaler	포탈
portaler	포털
stabilitet	안정성
stabilitet	안정
strauss	스트라우스
strauss	슈트라우스
sal	안장
klanen	클랜
gnu	gnu
chapman	채프먼
cox	콕스
nbc	nbc
schumacher	슈마허
gloria	글로리아
frances	프랜시스
twilight	트와일라잇
twilight	황혼
aleksej	알렉세이
aleksej	알렉세이
aleksej	알렉세이
produktene	상품
produktene	제품
dannelse	번식
dannelse	사육
natalie	나탈리
robbie	로비
versailles	베르사이유
versailles	베르사유
jurij	유리
billigere	저렴한
passasjerene	승객
rush	러쉬
cricket	크리켓
montevideo	몬테비데오
unntaket	예외
legender	전설
legender	레전드
homo	호모
seneste	최근
seneste	최신
royce	로이스
elektronikk	일렉트로닉스
elektronikk	전자제품
elektronikk	전자공학
betingelser	약관
betingelser	용어
betingelser	조건
tours	투르
tours	투어
sjøfolk	선원
kunngjort	발표
trinity	트리니티
trinity	삼위일체
tilskudd	덧셈
alive	alive
skilsmisse	이혼
touch	touch
touch	터치
ibrahim	이브라힘
ibrahim	아브라함
dammen	연못
naboer	이웃들
naboer	이웃
naboer	이웃
skyer	구름
nobel	노벨
cecilia	세실리아
heroes	영웅
heroes	히어로
heroes	히어로즈
them	그들
misbruk	남용
misbruk	악용
misbruk	학대
misbruk	남용
misbruk	악용
ghost	귀신
ghost	유령
ghost	고스트
forskeren	과학자
blair	블레어
blair	blair
québec	퀘벡
lukt	냄새
konsentrere	농축
konsentrere	집중
fusjon	융합
fusjon	핵융합
fusjon	퓨전
pluto	명왕성
every	꼴찌
bølge	파도
bølge	웨이브
bølge	물결
bølge	파동
örebro	외레브로
jake	제이크
seminar	세미나
zagreb	자그레브
innlagt	입원
innlagt	인정
utløst	트리거
magasiner	잡지
overtale	설득
sammenbrudd	분석
stamfar	조상
zero	제로
obama	오바마
torres	토레스
lojale	충성
lojale	충실
lokomotiv	기관차
sammendrag	소화
sammendrag	요약
close	닫기
close	닫습니다
close	닫아
uttalelse	성명서
uttalelse	진술
skjønnhet	아름다움
skjønnhet	미녀
skjønnhet	미용
skjønnhet	미모
skjønnhet	미인
moment	순간
margrete	마거릿
margrete	마르그리트
eleanor	엘리너
halvveis	하프웨이
leddene	관절
mansfield	맨스필드
passasjer	여객
passasjer	승객
henderson	헨더슨
bestyrer	관리자
bestyrer	매니저
sletten	평원
sletten	평범
freiburg	프라이부르크
taktikk	전략
taktikk	전술
taktikk	전술
patricia	패트리샤
hør	듣기
kontinent	대륙
omdømme	평판
omdømme	명성
sau	양양
flukten	탈출
arktiske	북극
metaller	금속
ashley	애슐리
tonight	tonight
tonight	오늘밤
easy	쉽게
easy	쉬운
easy	쉬워
easy	아쉬운
monumenter	기념물
monumenter	기념비
ella	엘라
forvist	추방
helsingborg	헬싱보리
tettere	가까워
asiatisk	아시아
uhell	교통사고
uhell	사고
uhell	사고
spekter	범위
nixon	닉슨
overvåke	모니터
overvåke	모니터링
lucia	루시아
watch	시계
gent	헨트
omsorg	배려
omsorg	케어
nash	내시
kingston	킹스턴
kingston	킹스톤
skarpt	샤프
skarpt	예리
strålende	영광
strålende	영광스러운
levi	레비
levi	리바이
banner	배너
banner	현수
capital	자본
capital	수도
capital	캐피탈
capital	자본주의
capital	캐피털
silke	명주
silke	실크
silke	비단
telle	카운트
gruvedrift	광산
gruvedrift	마이닝
gruvedrift	광업
mistenkte	용의자
mistenkte	용의자
sammenstøt	영향
sammenstøt	영향력
sammenstøt	임팩트
shadow	섀도우
shadow	섀도
shadow	그림자
samtykke	승낙
samtykke	동의
datoer	날짜
datoer	데이트
bismarck	비스마르크
sons	아들들
gerard	제라드
helvete	지옥
avstamning	리니지
vatikanet	바티칸
introduksjon	소개
introduksjon	도입
introduksjon	소개팅
forstad	교외
forstad	교외
kandidatene	후보
kandidatene	후보자
premieren	시사회
harlem	할렘
alpha	알파
nærvær	존재
kjeller	지하
kjeller	지하도
paradise	파라다이스
paradise	천국
paradise	낙원
kind	친절한
kind	종류
kind	친절
utforske	탐험
utforske	탐색
utforske	둘러보기
pascal	파스칼
nicole	니콜
flom	대홍수
flom	홍수
flom	홍수
beirut	베이루트
gjenstår	남음
radar	레이더
innser	실현
maling	paint
maling	페인트
maling	페인팅
stakk	아찔한
polo	폴로
støttespillere	지지자들
støttespillere	지지자
støttespillere	후원자
funk	펑크
rolls	롤스
verdensrommet	스페이스
verdensrommet	공간
verdensrommet	우주
trevor	트레버
pålitelige	신뢰
pålitelige	신뢰성
virkemidler	악기
virkemidler	인스트루먼트
truman	트루먼
slagene	전투
semi	세미
herald	헤럴드
reelt	진짜
reelt	리얼
reelt	레알
fanny	파니
sene	힘줄
travel	바쁜
travel	바쁘다
travel	바빠
midnight	자정
midnight	midnight
midnight	미드나이트
midnight	미드나잇
quest	퀘스트
loire	루아르
troja	트로이아
troja	트로이
realistisk	현실적
tragedie	비극
infanteriet	보병
shipping	배송
shipping	발송
deltagerne	참가자
coventry	코번트리
iberiske	이베리아
trone	왕좌
trone	왕위
bowl	사발
bowl	그릇
rediger	편집
rediger	편집하기
rediger	수정
bær	열매
bær	산딸기
buddy	버디
landsbygda	시골
tate	테이트
cruise	크루즈
definitivt	확실히
once	한번
once	once
adel	귀족
ironisk	아이러니
opplysning	계몽주의
opplysning	계몽
speil	거울
speil	미러
speil	거울
speil	미러
motto	좌우명
simone	시몬
simone	시모네
havna	항구
havna	항만
publiserer	게시
publiserer	포스팅
publiserer	게시
publiserer	출판
swing	스윙스
swing	스윙
