referenciado	hivatkozott
bombas	bomba
bombas	bombák
bombas	bombákat
visa	vízum
equipas	csapatok
escocês	skót
debates	viták
debates	vitákat
acusação	vád
acusação	vádirat
acusação	vádemelés
acusação	vádemelés
acusação	ügyészség
acusação	büntetőeljárás
acusação	vád
investigações	nyomozás
investigações	vizsgálatok
adequada	megfelelő
adequada	alkalmas
adequada	megfelelő
misericórdia	irgalom
misericórdia	kegyelem
misericórdia	mercy
mínimos	minimum
mínimos	minimális
mínimos	legkisebb
mínimos	minimálisan
mínimos	minimális
mínimos	minimálisan
válidos	érvényes
assumindo	feltételezve
guiana	guyana
esquadrão	század
esquadrão	brigád
esquadrão	osztag
registo	nyilvántartás
registo	regisztrálj
registo	regisztráció
registo	nyilvántartási
registo	nyilvántartásba
registo	regisztráció
governante	uralkodó
piratas	kalózok
piratas	kalóz
kids	gyerekek
kids	kölykök
corredor	futó
corredor	folyosón
corredor	folyosó
corredor	folyosón
corredor	folyosó
corredor	folyosó
kingdom	királyság
vizinho	szomszédom
vizinho	szomszéd
vizinho	szomszédom
vizinho	szomszédok
vizinho	szomszéd
vestígios	traces
vestígios	nyomokban
vestígios	nyom
sandra	sandra
profundo	mély
profundo	mélyreható
tanques	tartály
tanques	tank
tanques	tankok
tanques	tartályok
ideologia	ideológia
arnold	arnold
gerente	menedzser
gerente	vezető
gerente	kezelő
gerente	igazgató
urss	szovjetunió
reconhecer	felismeri
reconhecer	felismerni
reconhecer	felismerés
reconhecer	felismerve
reconhecer	felismerése
reconhecer	elismerik
reconhecer	felismerni
atrações	látnivalók
adotou	elfogadva
adotou	elfogadott
imposto	adó
imposto	adózás
imposto	adók
prazer	gyönyör
prazer	öröm
prazer	élvezet
prazer	örülök
avisado	figyelmeztetett
rené	rené
actor	színésznek
actor	színész
assinar	aláírás
ofereceu	felajánlott
ofereceu	kínált
ofereceu	felkínált
ofereceu	felajánlotta
intelectuais	értelmiségiek
intelectuais	intellektuális
intelectuais	szellemi
caridade	jótékonyság
caridade	jótékonyság
caridade	jótékonysági
integrada	integrált
carvão	szén
carvão	szenet
carvão	faszén
pistas	lejtő
pistas	lejtőkön
pistas	nyomok
pistas	nyomokat
cordilheira	tartomány
cordilheira	távolság
cordilheira	cordillera
presa	letartóztatott
presa	letartóztatták
presa	zsákmány
presa	préda
internacionalmente	nemzetközileg
noites	éjszakák
noites	éjszakánként
noites	esténként
departamentos	osztályok
amaro	amaro
barcos	csónak
barcos	hajók
arredores	környezet
arredores	környék
malta	máltai
malta	málta
oponente	ellenfél
oponente	ellenfele
básicos	alap
básicos	alapvető
raymond	raymond
dublagem	szinkronizálás
hunter	hunter
hunter	vadász
iniciando	kezdetek
iniciando	kezdete
iniciando	eleje
iniciando	kezdet
iniciando	kezdem
iniciando	kezdő
iniciando	kezdve
iniciando	kezdeményező
forest	erdei
forest	erdő
forest	erdők
consideração	megfontolás
consideração	figyelembe
visitou	meglátogatta
visitou	meglátogatott
visitou	látogatott
visitou	felkeresett
salva	megment
salva	megmenti
salva	sage
salva	mentés
salva	megmenteni
salva	mentése
salva	megmentette
salva	mentve
salva	mentett
premier	premier
extensa	kiterjedt
justo	jogos
justo	vásár
justo	korrekt
justo	tisztességes
justo	fair
justo	igazságos
anéis	gyűrű
anéis	gyűrűket
anéis	gyűrűk
humberto	humbert
humberto	umberto
humberto	hubert
átomos	atom
átomos	atomok
ernst	ernst
vanessa	vanessa
comunistas	kommunisták
comunistas	kommunisták
comunistas	kommunista
transmitir	továbbítja
rodovias	autópályák
sepultado	eltemetve
inspirada	inspirált
joan	joan
joan	jeanne
absurdo	abszurd
frankfurt	frankfurt
lara	lara
inovação	innováció
inovação	innovációs
florida	floridai
florida	floridában
florida	florida
florida	floridába
falhas	hibáit
falhas	hibái
nbc	nbc
meridional	dél
meridional	déli
montana	montana
fundir	egyesülni
fundir	egyesülő
dum	dum
felicidade	boldogság
felicidade	boldogságot
suficientes	elégséges
suficientes	elegendő
performances	előadások
telescópio	teleszkóp
canada	kanada
canada	kanadai
norman	norman
tronco	törzs
caverna	barlang
caverna	barlangot
promessa	ígéret
promessa	fogadalom
promessa	jelölt
historicamente	történelmileg
liverpool	liverpool
alternativas	alternatív
alternativas	alternatíva
alternativas	alternatívák
dourado	golden
dourado	arany
dourado	arany
bebê	baba
bebê	bébi
harold	harold
comparado	összehasonlítva
comparado	képest
virginia	virginiában
virginia	virginia
virginia	virginiai
transformado	átalakított
transformado	átváltozott
resultante	eredő
resultante	létrejövő
resultante	keletkező
portos	kikötők
fixa	rögzített
fixa	fix
fixa	rögzítve
adversários	ellenfelek
minuto	perc
reitor	dean
reitor	dékán
edge	edge
contemporâneo	kortárs
noiva	menyasszony
noiva	menyasszonya
noiva	menyasszony
noiva	menyasszony
noiva	menyasszonya
noiva	jegyesek
noiva	eljegyzés
emi	emi
associadas	társai
associadas	kapcsolódó
associadas	társult
coletiva	kollektív
pavilhão	zászló
pavilhão	megjelölés
pavilhão	lobogó
pavilhão	pavilon
spin	spin
spin	forgás
proximidade	közelség
inserir	beszúrása
insiste	ragaszkodik
wii	wii
borda	rim
borda	edge
borda	határ
borda	határon
borda	határokon
funcionário	alkalmazott
funcionário	alkalmazottak
funcionário	munkavállaló
funcionário	munkatárs
funcionário	hivatalos
funcionário	tisztviselő
percepção	felfogás
percepção	érzékelés
ganho	nyereség
loire	loire
nov	nov
acadêmica	akadémiai
frequentes	gyakori
frequentes	közös
frequentes	gyakori
fechada	bezárt
fechada	zárva
fechada	zárt
cinza	ősz
cinza	gray
cinza	szürke
cinza	hamu
cinza	ash
cinza	ősz
cinza	grey
cinza	szürke
oxigênio	oxigén
oxigênio	oxigént
frequente	közös
frequente	gyakori
frequente	gyakori
phoenix	főnix
phoenix	phoenix
enviada	elküldött
enviada	elküldve
enviada	küldött
muralha	wall
muralha	fali
muralha	falat
muralha	fal
mercedes	mercedes
mercedes	merci
machos	hímek
difíceis	nehéz
difíceis	bonyolult
sargento	őrmester
sargento	őrmester
indicando	jelezve
rachel	rachel
renovação	felújítás
renovação	felújítási
renovação	felújítás
renovação	felújítás
manchete	főcím
consorte	hitves
fragmentos	töredékek
exclusivo	zártkörű
exclusivo	exkluzív
exclusivo	kizárólagos
geometria	geometria
crônica	krónikus
crônica	chronicle
telecomunicações	távközlés
telecomunicações	távközlési
apoiado	támogatott
eficaz	hatékony
eficaz	hatásos
eficaz	effektív
eficaz	eredményes
sweet	édesek
sweet	édes
hopkins	hopkins
prestígio	rangos
prestígio	tekintélyes
prestígio	prestige
coletivo	kollektív
centímetros	centiméter
centímetros	centi
centímetros	hüvelyk
centímetros	centiméter
leipzig	lipcsei
say	mondd
secundárias	középfokú
secundárias	másodlagos
fenômenos	jelenségek
fenômenos	jelenség
fenômenos	jelenség
enterrado	eltemetve
líbia	líbiai
líbia	líbia
líbia	líbia
embarcações	hajók
pouso	landolás
pouso	leszállás
issn	issn
confrontos	összecsapások
confrontos	konfrontáció
confrontos	összecsapás
confrontos	konfrontáció
criaturas	teremtmények
criaturas	lények
euro	euró
euro	euróban
euro	euro
colapso	összeomlás
parágrafo	bekezdés
marx	marx
matheus	matheus
tigre	tigris
tigre	tiger
pescoço	nyakát
pescoço	nyaka
pescoço	nyak
competir	versenyezni
competir	versengő
operar	működési
semestre	szemeszter
semestre	félév
semestre	félévben
ring	gyűrűt
ring	gyűrűvel
ring	ring
ring	gyűrű
ring	gyűrűs
temática	tematikus
temática	téma
derivados	származékok
oficina	műhely
estêvão	stephen
estêvão	istván
estêvão	stefan
dinamarquês	dán
invenção	találmány
invenção	fantázia
hidrogênio	hidrogén
perdida	vesztett
perdida	elveszett
perdida	lost
almas	lelkek
almas	lelkünk
almas	lelkeket
almas	lelkük
timor	timor
hebraico	héber
jurisdição	joghatósága
jurisdição	hatáskör
jurisdição	joghatóság
adolfo	adolfo
adolfo	adolf
bactérias	bakteriális
bactérias	baktérium
bactérias	baktériumok
bactérias	baktérium
progressivo	fokozatos
progressivo	haladó
progressivo	progresszív
colaborou	együttműködött
requer	igényli
requer	megköveteli
alfa	alpha
alfa	alfa
alfa	alfa
tentaram	próbálta
tentaram	próbáltam
reeleito	újraválasztják
verso	vers
harrison	harrison
ligeiramente	enyhén
ligeiramente	kissé
ligeiramente	kevéssé
futuros	jövőbeli
futuros	jövő
futuros	határidős
impróprio	alkalmatlan
impróprio	helytelen
inferiores	alsóbbrendű
fiéis	hívők
fiéis	hűségesek
fiéis	hűséges
potências	powers
potências	hatáskörök
potências	hatáskör
toque	érintés
encontros	találkozók
encontros	ülésein
encontros	ülései
encontros	ülések
encontros	megbeszélések
encontros	randi
encontros	randizni
encontros	társkereső
encontros	találkozások
subiu	mászott
votado	szavaztam
votado	szavazott
viajar	utazás
viajar	utazások
viajar	utazási
viajar	utazás
viajar	utazó
viajar	utazni
viajar	utazás
viajar	utazik
viajar	utazó
turner	turner
incorporada	beágyazott
primárias	elsődleges
primárias	primer
meninos	fiuk
meninos	fiúk
observado	megfigyelhető
observado	megfigyelt
pecuária	állatállomány
rodapé	lábjegyzet
maneiras	módok
maneiras	modor
hills	dombok
hills	hills
absoluto	abszolút
money	pénz
money	pénzt
crenças	hit
moreno	moreno
compreender	értem
compreender	megértés
compreender	egyetértés
compreender	megértő
compreender	megértést
lobos	farkasok
lobos	lobos
denis	denis
patinação	korcsolyázni
airlines	légitársaság
airlines	légitársaságok
airlines	airlines
monstros	szörnyek
sobrevivência	túlélés
acidentes	véletlenek
acidentes	balesetek
silvio	silvio
continha	tartalmazta
continha	tartalmazott
vermelhas	piros
vermelhas	piroska
vermelhas	vörös
negativa	negatív
parentes	hozzátartozók
parentes	rokonok
julia	julia
julia	júlia
orgânica	organikus
orgânica	szerves
realizando	véghezvinni
realizando	teljesítő
significativamente	jelentősen
raro	ritka
caracterizado	kiemelt
mariposa	moly
perfeita	tökéletes
bush	bush
bush	bokor
redonda	kör
redonda	kerek
redonda	forduló
redonda	körbe
sociologia	szociológia
gótico	gót
gótico	gótikus
quadrado	square
quadrado	szögletes
quadrado	négyzetes
quadrado	tér
quadrado	négyzet
quadrado	négyzet
rodríguez	rodriguez
rodríguez	rodríguez
renânia	rajna
atacou	megtámadott
atacou	megtámadta
atacou	megtámadtak
sin	bűn
sin	sin
normais	szokásos
normais	normális
normais	normál
amistoso	baráti
amistoso	barátságosak
amistoso	barátságos
coragem	bátorság
coragem	bátorság
vantagens	juttatások
vantagens	előnyök
vantagens	ellátások
vantagens	előnyök
vantagens	előnyei
eyes	szemed
eyes	szeme
eyes	szem
eyes	szemek
básicas	alapokat
básicas	alapok
básicas	alap
básicas	alapvető
directamente	közvetlenül
ilegal	jogellenes
ilegal	illegális
ilegal	jogellenes
ilegal	törvénytelen
mansão	manor
vítor	viktor
vítor	victor
vítor	viktor
sugeriu	ajánlott
sugeriu	javasolt
submarino	tengeralattjáró
mudado	megváltozott
mudado	változott
intenso	intenzív
intenso	igényes
intenso	heves
intenso	intenzív
ferrari	ferrari
trilhas	nyomok
trilhas	nyomokat
trilhas	sínek
gerando	generáló
assistir	óra
assistir	vigyázz
espelho	tükör
expandir	terjeszkedni
existiu	léteztek
existiu	létezett
fritz	fritz
area	terület
area	környék
impede	megakadályozza
impede	megelőzi
allan	allan
boeing	boeing
assalto	támadás
assalto	rablás
favoráveis	kedvező
favoráveis	kedvező
opa	hoppá
opa	opa
opa	hoppá
bourbon	bourbon
hardy	hardy
fêmeas	nőstények
angelo	angelo
trens	vonatok
sudão	szudáni
sudão	szudán
apareceram	megjelent
verbo	ige
verbo	igét
móvel	mobilos
móvel	mobile
móvel	mobil
ampliação	zoom
abraço	ölelés
abraço	ölelés
copas	szívek
vestido	öltözött
vestido	öltözve
vestido	ruha
muralhas	falak
muralhas	falakat
barragem	gátat
barragem	gát
informar	tájékoztatja
jefferson	jefferson
simão	simon
identificado	megjelöltek
identificado	megjelölt
identificado	azonosított
identificado	azonosítva
residencial	bentlakásos
residencial	lakossági
delegação	felhatalmazás
delegação	küldöttség
delegação	delegáció
michelle	michelle
simmons	simmons
expresso	express
expresso	expressz
expresso	eszpresszó
expresso	kifejezett
expresso	kifejezésre
expresso	kifejtett
human	ember
human	emberi
precipitação	csapadék
khan	kahn
khan	khan
khan	kán
corda	kötelet
corda	kötél
coligação	koalíció
espíritos	lelkek
espíritos	szesz
espíritos	szellemek
ritual	rituálé
ritual	szertartás
ritual	rituális
luna	luna
procurou	átkutatták
concluir	befejezés
teto	mennyezet
teto	plafon
teto	tető
teto	tetőn
possibilidades	lehetőségek
restaurantes	éttermek
cozinha	konyha
cozinha	főz
cozinha	főzés
cozinha	konyha
cozinha	konyhában
mariano	mariano
introduziu	bevezetett
introduziu	bemutatott
explorar	felfedezés
explorar	felfedezni
explorar	felfedező
explorar	felfedezés
explorar	felfedezése
delgada	karcsú
comer	evés
comer	enni
comer	eszik
comer	egyél
mísseis	rakéták
mísseis	rakéta
dívida	tartozás
dívida	adósság
dívida	tartozások
dívida	adóssága
field	mező
complementar	kiegészítő
complementar	kiegészítik
complementar	kiegészítés
complementar	kiegészítő
definidos	meghatározott
definidos	meghatározva
raças	races
raças	versenyek
raças	fajták
albânia	albán
albânia	albánia
second	másodszor
second	másodperc
second	második
únicas	egyedülálló
únicas	páratlan
únicas	egyedi
quebec	quebec
médias	átlagok
luigi	luigi
navarra	navarre
amar	szerető
amar	amar
fio	drót
fio	vezeték
fio	szál
infecção	fertőzések
infecção	fertőzés
aparelhos	eszközök
aparelhos	berendezések
aparelhos	készülékek
aparelhos	berendezés
aparelhos	készülék
aparelhos	készülékek
aparelhos	műszer
ideais	eszmék
ideais	ideális
vizinha	szomszédom
vizinha	szomszéd
vizinha	szomszédom
vizinha	szomszédok
vizinha	szomszéd
fame	hírnév
águia	sas
águia	eagle
antioquia	antioquia
move	mozog
soberania	szuverenitás
biografias	életrajzok
oklahoma	oklahoma
main	fő
main	main
main	főbb
sabor	íze
sabor	íz
sabor	aroma
sabor	íz
kentucky	kentucky
negativo	negatív
causado	előidézett
causado	okozta
causado	okozott
protestantes	protestánsok
protestantes	protestáns
protestantes	tüntetők
protestantes	tüntetők
cantada	sung
inês	inez
inês	ines
inês	agnes
inês	ágnes
bonita	csinos
úteis	hasznos
úteis	segítőkész
úteis	hasznos
navegador	navigátor
navegador	böngésző
vaz	vaz
passe	passz
anfíbio	kétéltű
anfíbio	kétéltű
petersburgo	petersburg
remo	evezés
remo	remus
remo	remo
juízes	bírók
juízes	zsűri
juízes	bírák
iowa	iowa
silver	silver
silver	ezüst
moça	kislány
moça	csaj
moça	lány
moça	hölgy
heaven	mennyben
heaven	mennyország
heaven	menny
corretamente	megfelelően
corretamente	rendesen
corretamente	helyesen
ralph	ralph
entende	megért
entende	értem
responde	válasz
responde	válasz
responde	válaszoljon
georg	georg
fixo	rögzített
fixo	fix
fixo	rögzítve
fixo	vezetékes
penas	tollak
penas	toll
penas	toll
gardens	kertek
segura	biztonságos
segura	biztonságban
segura	széf
segura	biztonság
segura	biztonságos
info	info
info	infó
info	információ
info	infók
info	információk
introduzida	bevezetett
introduzida	bemutatott
faro	faro
jesuítas	jezsuiták
jesuítas	jezsuita
chipre	ciprusi
chipre	ciprus
chipre	cipruson
falcão	sólyom
falcão	hawk
falcão	sólyom
falcão	héja
capturar	elfogni
saudita	szaúdi
saudita	szaúd
marítimo	tengeri
marítimo	tengerészeti
pen	pen
pen	tollat
pen	toll
inseto	rovarok
inseto	rovar
inseto	bogár
inseto	poloska
inseto	bug
expectativa	elvárás
expectativa	elvárások
expectativa	elvárások
expectativa	elvárás
expectativa	várakozások
sultão	szultán
gerenciamento	menedzsment
gerenciamento	irányítás
gerenciamento	vezetőség
gerenciamento	gazdálkodás
gerenciamento	irányítási
estrangeiras	külföldi
estrangeiras	kül
estrangeiras	külföldiek
formados	kialakult
formados	alakított
formados	alakult
financiamento	finanszírozás
financiamento	finanszírozás
protesto	ellenvetés
protesto	tiltakozás
protesto	tüntetés
pecado	bűn
pecado	sin
craig	craig
fugiu	elmenekült
fugiu	megszökött
fugiu	menekült
fugiu	elmenekült
drive	vezetni
drive	vezess
drive	meghajtó
burocratas	bürokraták
burocratas	bürokrata
pensando	gondolkodás
pensando	gondolkodik
pensando	gondolkodom
pensando	gondolkodó
wellington	wellington
pilar	pillér
pilar	oszlop
pilar	pilar
geográfico	földrajzi
geográfico	földrajzi
full	full
full	teljes
roberts	roberts
pato	kacsa
pato	duck
classificadas	rendezve
classificadas	titkosított
classificadas	titkos
participante	résztvevő
concreto	beton
concreto	konkrét
ama	dadus
ama	dada
ama	imád
ama	szereti
ama	szeret
fiável	megbízható
fiável	megbízhatóak
protegido	védett
prefixo	előtag
concedida	nyújtott
square	square
square	szögletes
square	négyzetes
square	tér
square	négyzet
lendas	legendák
emmy	emmy
prato	tál
prato	edény
prato	tányér
prato	lemez
prato	tányért
mixagem	mix
mixagem	keverék
mixagem	keverés
anuais	éves
anuais	évente
difusão	diffúziós
difusão	közvetítés
difusão	adás
difusão	terjesztése
difusão	terjesztés
pas	pas
psd	psd
tributo	tribute
muro	wall
muro	fali
muro	falat
muro	fal
medicamentos	gyógyszerek
fraco	gyenge
fraco	gyengék
dezesseis	tizenhat
demonstração	bemutató
demonstração	demó
demonstração	bemutató
demonstração	demonstrációs
demonstração	tüntetés
faculdades	főiskolák
bull	bull
bull	bika
salário	fizetés
salário	bér
salário	bérek
salário	bér
salário	bérek
rodolfo	rodolfo
rodolfo	rudolph
rodolfo	rudolf
rodolfo	rudolf
wallace	wallace
cole	cole
comandos	kommandósok
comandos	parancsok
comandos	parancsol
comandos	kommandó
comandos	kommandós
comandos	ellenőrzések
recomendação	ajánlás
coberto	fedett
coberto	lefedett
coberto	fedezett
coberto	borított
coberto	fedezett
conspiração	cselekmény
conspiração	összeesküvés
antero	antero
justificar	igazolja
justificar	indokolja
carol	carol
fall	esés
fall	őszi
fall	zuhanás
fall	ősszel
fall	ősz
gilbert	gilbert
jake	jake
concorrentes	versenytársak
concorrentes	versenytársai
concorrentes	versenyzők
bibliotecas	könyvtárak
aníbal	hannibal
sagrada	szent
detalhe	részlet
detalhe	részletes
triste	szomorú
triste	szomorúság
triste	bús
doente	beteg
doente	páciens
doente	türelmes
doente	beteg
doente	beteg
doente	betegek
aveiro	aveiro
happy	boldogság
happy	boldog
prédios	épületek
radar	radar
variados	sokszínű
variados	változatos
variados	válogatott
representações	ábrázolások
bonito	jóképű
bonito	csinos
saboia	savoie
saboia	savoy
pacto	paktum
pacto	fogadalom
pacto	szövetség
cabelos	haj
cabelos	szőr
escândalo	botrány
escândalo	botrányos
escândalo	botrány
escândalo	botrányos
rivais	rivális
rivais	riválisok
lyon	lyon
jessica	jessica
absolutamente	abszolút
contemporâneos	kortárs
pacheco	pacheco
tragédia	tragédia
tyler	tyler
suspeita	gyanú
suspeita	gyanakvó
suspeita	gyanús
suspeita	gyanúsított
suspeita	gyanús
suspeita	feltételezett
interessado	érdeklődő
interessado	érdekel
interessado	érdekelt
interessado	érdekelne
interessado	érdeklődni
diabo	ördög
golpes	fúj
vela	gyertya
vela	gyertyát
vela	vitorlát
vela	hajózás
vela	vitorlázás
vela	vitorlás
vigilância	éberség
vigilância	felügyelet
vigilância	megfigyelés
vigilância	felügyeleti
arquitecto	építész
óbvio	nyilvánvaló
tiger	tigris
tiger	tiger
müller	müller
alexandra	alexandra
hal	hal
pesada	heavy
pesada	súlyos
pesada	nehéz
feiras	kiállítások
alessandro	alessandro
equações	egyenletek
myspace	myspace
bruto	nyers
bruto	bruttó
bruto	durván
bruto	durva
bruto	kemény
regressou	visszatért
interino	időközi
fernández	fernandez
fernández	fernández
trabalhado	bevált
trabalhado	dolgozott
trabalhado	működött
linguística	nyelvészet
linguística	nyelvi
utilizador	felhasználó
utilizador	felhasználói
johns	johns
tiros	lövések
tiros	lövéseket
tiros	lövések
tiros	lövések
tiros	feles
tiros	lövés
etiópia	etiópia
etiópia	etióp
géneros	nemzetségek
géneros	műfajok
dependência	függőség
dependência	függőség
dependência	függőség
compor	komponálni
aprendeu	tanult
aprendeu	megtanult
aprendeu	tanultam
aprendeu	megtanult
adelaide	adelaide
amado	szerette
amado	szerettek
amado	imádott
amado	szeretett
amado	imádott
amado	szeretett
alcançado	elérte
alcançado	elért
alcançado	teljesült
alcançado	megvalósult
alcançado	elért
multidão	maffia
multidão	csőcselék
multidão	tömeg
resolvido	megoldott
resolvido	megoldani
resolvido	megoldódott
resolvido	megoldva
resolvido	megoldott
resolvido	megoldotta
resolvido	megoldva
resolvido	rendezve
lane	lane
lane	sáv
polegadas	hüvelyk
polegadas	centi
polegadas	hüvelyk
teodoro	theodore
guarnição	garrison
roland	roland
permanência	állandóság
completos	komplett
completos	teljes
completos	teljessé
especializado	szakosodott
especializado	szakosított
especializado	szakosodott
especializado	szakosított
especializado	szakember
especializado	specialista
dano	kár
dano	károsodás
dano	kárt
dano	sérülés
dano	károkozás
dano	károk
dano	kártérítés
hesse	hessen
hesse	hesse
reconhece	felismeri
reconhece	elismeri
reconhece	felismeri
reconhece	felismerni
reconhece	elismerik
reconhece	felismerni
reconhece	felismeri
reconhece	elismeri
console	konzol
barreira	korlát
barreira	akadály
protestante	protestáns
mineral	ásványi
promocional	promóciós
fina	vékony
fina	sovány
esperava	várt
esperava	várható
adolescência	serdülő
adolescência	kamasz
adolescência	kamaszkor
mind	elme
líbano	libanon
líbano	libanoni
pete	pete
algarve	algarve
sólido	tömör
sólido	szilárd
dirigentes	vezetői
dirigentes	vezetők
magnético	mágneses
gigantes	giants
gigantes	óriások
gigantes	óriás
licenciatura	fokozat
licenciatura	diploma
licenciatura	fok
licenciatura	diplomás
licenciatura	végzős
ameaças	fenyegetés
ameaças	fenyegetések
ameaças	veszélyek
ameaças	fenyegetés
múltiplos	többszörös
múltiplos	többszörösen
mercadorias	árucikkek
mercadorias	árucikk
mercadorias	áruk
mercadorias	árucikkek
mercadorias	áruk
mercadorias	javak
mercadorias	áru
mercadorias	árut
mercadorias	áru
mercadorias	rakomány
patrícia	patricia
comemoração	megemlékezés
comemoração	ünnep
comemoração	ünneplés
comemoração	ünnepség
sentença	ítélet
sentença	mondat
frutas	gyümölcs
frutas	gyümölcsök
frutas	gyümölcsöt
frutas	gyümölcs
frutas	gyümölcsök
precisava	kellett
precisava	szükséges
índices	mutatók
índices	indexek
índices	index
índices	mutató
índices	indexek
prevenção	megelőzés
prevenção	megelőzési
prevenção	megelőzése
melodia	dallam
melodia	melody
melodia	dallam
